"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","標高","種類","山系","面積","最高峰","最高標高","所在海域","事業主体","海岸線長","開館","外部リンク","開山","国","閉山","水系","場所","延長"
"古秩父湾堆積層及び海棲哺乳類化石群","[097秩父・ようばけ埼玉] 古秩父湾堆積層及び海棲哺乳類化石群 （こちちぶわんたいせきそうおよびかいせいほにゅうるいかせきぐん）は、 埼玉県 秩父地方 にある国指定の 天然記念物 。","https://ja.wikipedia.org/wiki/古秩父湾堆積層及び海棲哺乳類化石群","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","","","","","","","","","","","","","","","","","","","",""
"丹沢山地","[098丹沢山地の変成岩神奈川] 丹沢山地 （たんざわ さんち）は、 神奈川県 北西部に広がる 山地 。東西約40キロメートル、南北約20キロメートルに及び、神奈川県の面積の約6分の1を占める。 秩父山地 等と合わせて 関東山地 とも呼ばれる。丹沢山地の大部分は山岳公園として 丹沢大山国定公園 と 神奈川県立丹沢大山自然公園 に指定されている  。","https://ja.wikipedia.org/wiki/丹沢山地","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯35度29分11秒東経139度8分20秒","神奈川県・山梨県","北緯35度29分11秒東経139度8分20秒﻿ / ﻿北緯35.48639度 東経139.13889度﻿ /35.48639; 139.13889座標:北緯35度29分11秒東経139度8分20秒﻿ / ﻿北緯35.48639度 東経139.13889度﻿ /35.48639; 139.13889","","","","","蛭ヶ岳（1,673m）","","","","","","","","","","","",""
"信濃川","[099信濃川河岸段丘と活褶曲新潟] ただし、 河川法 上は千曲川を含めた信濃川水系の本流を信濃川と規定しているため、信濃川は 日本で一番 長い川となっている。 日本三大河川 のうちの1つである。","https://ja.wikipedia.org/wiki/信濃川","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","","","","","","","","","","","","","","","","","","一級水系信濃川","","367km"
"能登珪藻土 (存在しないページ)","[100能登珪藻土石川]","https://ja.wikipedia.org/w/index.php?title=能登珪藻土&amp;action=edit&amp;redlink=1","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","","","","","","","","","","","","","","","","","","","",""
"犀川 (石川県)","[101犀川沿い大桑層石川] 犀川 （さいがわ）は、 石川県 金沢市 を流れ 日本海 に注ぐ 二級河川 である。 浅野川 の愛称「女川」に対して、 男川 と呼ばれ親しまれている。雅名は、 菊水川 （きくすいがわ）。","https://ja.wikipedia.org/wiki/犀川_(石川県)","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","","","","","","","","","","","","","","","","","","二級水系犀川","","34.25km"
"恐竜渓谷ふくい勝山ジオパーク","[102ふくい恐竜渓谷福井] 恐竜渓谷ふくい勝山ジオパーク （きょうりゅうけいこくふくいかつやまジオパーク）は、 福井県 勝山市 内全域をエリアとする ジオパーク である。一部は 白山 ユネスコエコパーク （白山BR）のエリアと重複しており、 白山国立公園 および 奥越高原県立自然公園 を含む。","https://ja.wikipedia.org/wiki/恐竜渓谷ふくい勝山ジオパーク","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","","","","","","","","","","","","","","","","","","","",""
"昇仙峡","[103昇仙峡山梨] 昇仙峡 （しょうせんきょう）は、 山梨県 甲府市 、 甲府盆地 北側、 荒川  上流に位置する 渓谷 である。 特別名勝 に指定されており、国内有数の景勝地である。「日本五大名峡」の一つに数えられる  。","https://ja.wikipedia.org/wiki/昇仙峡","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯35度44分42秒 東経138度33分59秒","","","","","","","","","","","","","","","","","","",""
"白骨温泉","[104白骨温泉と湯俣の噴湯丘長野] 白骨温泉 （しらほねおんせん）は、 長野県 松本市 安曇 （旧国 信濃国 ）にある 温泉 である。 中部山岳国立公園 区域内にあり、国民保養温泉地にも指定されている  。","https://ja.wikipedia.org/wiki/白骨温泉","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","","長野県松本市安曇","","","","","","","","","","","","","","","","","",""
"鵜沼のチャート (存在しないページ)","[105鵜沼のチャート岐阜・愛知]","https://ja.wikipedia.org/w/index.php?title=鵜沼のチャート&amp;action=edit&amp;redlink=1","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","","","","","","","","","","","","","","","","","","","",""
"瑞浪市化石博物館","[106瑞浪の化石岐阜] 瑞浪市化石博物館 （みずなみしかせきはくぶつかん）とは、 岐阜県 瑞浪市 にある 化石 の収蔵・展示・研究を行う 博物館 である。瑞浪市が運営する。","https://ja.wikipedia.org/wiki/瑞浪市化石博物館","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯35度22分22.7秒東経137度14分6.6秒","〒509-6132岐阜県瑞浪市明世町山野内1-13","北緯35度22分22.7秒東経137度14分6.6秒﻿ / ﻿北緯35.372972度 東経137.235167度﻿ /35.372972; 137.235167座標:北緯35度22分22.7秒東経137度14分6.6秒﻿ / ﻿北緯35.372972度 東経137.235167度﻿ /35.372972; 137.235167","","","","","","","","瑞浪市","","1974年5月","瑞浪市化石博物館","","","","","",""
"沼島","[107南あわじの鞘形褶曲兵庫] 沼島 （ぬしま）は、 淡路島 の南4.6 km、 紀伊水道 北西部に浮かぶ 島 。 兵庫県 南あわじ市 に属する。面積2.71 km 2 、周囲9.53 km  、 最高地点は117.2m。 瀬戸内海国立公園 の一部。人口473人（ 2017年 4月末現在）  。本項ではかつて同区域に所在した 三原郡 沼島村 （ぬしまむら）についても述べる。","https://ja.wikipedia.org/wiki/沼島","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯34度10分5秒東経134度49分33秒","日本（兵庫県）","","","","","2.67km²","","117.2m","紀伊水道","","9.53km","","","","","","","",""
"古座川の一枚岩","[108古座川弧状岩脈和歌山] 古座川の一枚岩 （こざがわのいちまいいわ）とは、 和歌山県 東牟婁郡 古座川町 の 古座川 左岸にある、高さ約150m・幅約800mの一枚の 巨岩 。国指定の 天然記念物 である  。","https://ja.wikipedia.org/wiki/古座川の一枚岩","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯33度32分49.7秒 東経135度43分14秒","","","","","","","","","","","","","","","","","","",""
"山陰海岸ジオパーク","[109山陰海岸鳥取・兵庫] 「日本海形成に伴う多様な地形・地質・人々の風土と暮らし」をテーマとする、東西100km以上、南北約30kmのジオパークである。その範域は、東は京都府 京丹後市 の 経ヶ岬 から兵庫県の 但馬海岸 （ 日和山海岸 、 竹野海岸 、 香住海岸 、 但馬御火浦 ）を経て、西は鳥取県 鳥取市 の 白兎海岸 、浜村海岸、青谷に至る。また、内陸部の 神鍋高原 ・ 小代 ・ 湯村温泉 ・ 雨滝 等も含まれている。 日本列島 が ユーラシア大陸 から分かれて 日本海 が形成される過程が、約4000万年前から今日に至るまでの 地質学 ・ 地形学 的に貴重で多様な地質遺産から確認できる。また、 地質 ・ 地形 ・ 気候 をうまく活用した、多様な生活文化が各地に息づいている。","https://ja.wikipedia.org/wiki/山陰海岸ジオパーク","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","","","","","","","","","","","","","","","","","","","",""
"三瓶小豆原埋没林","[110三瓶埋没林島根] 三瓶小豆原埋没林 （さんべあずきはらまいぼつりん）は 三瓶火山 の活動によって地下に埋積した縄文時代の森林。 島根県 大田市 三瓶町にあり、現地は「さんべ縄文の森ミュージアム（三瓶小豆原埋没林公園）」として、地下展示棟で公開されている。国の 天然記念物 。日本遺産「石見の火山が伝える悠久の歴史」の構成文化財のひとつ。","https://ja.wikipedia.org/wiki/三瓶小豆原埋没林","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯35度10分37秒 東経132度36分2秒","","","","","","","","","","","","","","","","","","",""
"土柱","[111阿波の土柱徳島] 土柱 （どちゅう、earth pillar、hoodoo）は 礫 や 砂 からなる段丘礫層（土柱礫層）が風雨により 侵食 され柱状になったもの。土柱が生成される条件としては直立した崖をつくる礫層があることや、頂部に侵食抵抗性のある地層があることである。 悪地 地形の一種である。","https://ja.wikipedia.org/wiki/土柱","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","","","","","","","","","","","","","","","","","","","",""
"室戸岬","[113室戸岬の斑レイ岩高知] 室戸岬","https://ja.wikipedia.org/wiki/室戸岬","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯33度14分34秒 東経134度10分35秒","","","","","","","","","","","","","","","","","","",""
"竜串","[114竜串・見残し海岸高知] 竜串 （たつくし）は高知県西部の 足摺岬 近辺にある奇勝。 竜串海岸 ともいい、 土佐清水市 にある。狭義では竜串のみを指し、広義では周辺の 見残し海岸 を含める一帯を指す。いずれも 足摺宇和海国立公園 に属する。","https://ja.wikipedia.org/wiki/竜串","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","","","","","","","","","","","","","","","","","","","",""
"平尾台","[115平尾台カルスト福岡] 平尾台 （ひらおだい）は、 福岡県 北東部に位置する 北九州市 小倉南区 、 行橋市 、 田川郡 香春町 、 京都郡 苅田町 、同 みやこ町 に跨る標高370～710m、台上面積約12 km 2 の 結晶質石灰岩 からなる カルスト台地 である。ただし、東北部の一帯はカルスト地帯ではなく、 花崗閃緑岩 からなる。小倉南区の地名でもある。国の 天然記念物 に指定されている。 標高はそこまで高くないが、気候は北九州市街地に比べると寒冷であり、年によっては4月でも降雪がある。","https://ja.wikipedia.org/wiki/平尾台","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯33度45分30秒 東経130度54分00秒","","","","","","","","","","","","","","","","","","",""
"有明海","[116有明海干潟佐賀] 有明海 （ありあけかい）は、 九州 北西部にある海。九州最大の 湾 で、 福岡県 ・ 佐賀県 ・ 長崎県 ・ 熊本県 にまたがり、南は 八代海 とつながっている。日本の湾の中でも干満の大きさ・流入河川の多さ・ 塩分濃度 の変化・濁った海域・日本最大の 干潟 ・独自の生物相などを特徴とする。","https://ja.wikipedia.org/wiki/有明海","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","","","","","","","","","","","","","","","","","","","",""
"小値賀火山島群","[117小値賀島単成火山群長崎] 小値賀火山島群 （おじかかざんとうぐん、Ojika Jima Volcano Group ）は 長崎県 五島列島 の 単成火山 群   。 小値賀島火山群  、 小値賀島単成火山群  の表記も見られる。","https://ja.wikipedia.org/wiki/小値賀火山島群","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","","","","","","","","","","","","","","","","","","","",""
"肥後変成帯 (存在しないページ)","[118肥後変成帯熊本]","https://ja.wikipedia.org/w/index.php?title=肥後変成帯&amp;action=edit&amp;redlink=1","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","","","","","","","","","","","","","","","","","","","",""
"竹田の阿蘇火砕流堆積物 (存在しないページ)","[119竹田の阿蘇火砕流堆積物大分]","https://ja.wikipedia.org/w/index.php?title=竹田の阿蘇火砕流堆積物&amp;action=edit&amp;redlink=1","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","","","","","","","","","","","","","","","","","","","",""
"甑島列島","[120甑島の白亜紀―古第三紀層鹿児島] 甑島列島 （こしきしまれっとう  ）は、 東シナ海 にあり、 鹿児島県 薩摩川内市 に属する 列島 。 甑列島 （こしきれっとう）ともいう。 上甑島 （かみこしきしま）、 中甑島 （なかこしきしま）、 下甑島 （しもこしきしま）の有人島3島と多数の小規模な無人島からなる   。中甑島北部にある「 甑 」（ 蒸籠 ）の形をした大岩を甑大明神として崇拝したことに由来し、かつては「古敷島」「小敷島」「子敷島」「古志岐島」などとも書いた     。列島全体では人口5,576人、面積117.56km 2 、海岸線延長183.3kmである  。","https://ja.wikipedia.org/wiki/甑島列島","日本の地質百選","https://ja.wikipedia.org/wiki/日本の地質百選","表形式","北緯31度45分24秒東経129度47分17秒","","","","","","117.56 km2(45.39 sq mi)","尾岳","604 m (1,982 ft)","","","","","","","","","","東シナ海",""
