"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","開館","外部リンク","事業主体","専門分野","管理運営","正式名称","延床面積","アクセス","前身","館長","ウェブサイト","愛称","建物設計","来館者数","開設","英語名称","略称"
"みさと天文台","[ みさと天文台 - 和歌山県海草郡紀美野町 - 口径105cm反射式望遠鏡] みさと天文台 （みさとてんもんだい）は、 和歌山県 海草郡 紀美野町 にある 天文台 である。 条例 上の正式名称は、 紀美野町星の動物園 （きみのちょうほしのどうぶつえん）である  。","https://ja.wikipedia.org/wiki/みさと天文台","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯34度8分40.3秒東経135度24分22.1秒","〒640-1366日本和歌山県海草郡紀美野町松ヶ峯180","北緯34度8分40.3秒東経135度24分22.1秒﻿ / ﻿北緯34.144528度 東経135.406139度﻿ /34.144528; 135.406139","1995年（平成7年）7月7日","www.obs.jp/","紀美野町","天文学","紀美野町","紀美野町星の動物園","","阪和自動車道海南東ICから国道370号高野山方面へ","","山内千里（2018年現在）","","星の動物園","","","","",""
"かわべ天文公園","[ かわべ天文公園 - 和歌山県日高郡日高川町 - 口径100cm反射式望遠鏡] かわべ天文公園 （かわべてんもんこうえん）は、 和歌山県 日高郡 日高川町 にある 公園 である。","https://ja.wikipedia.org/wiki/かわべ天文公園","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯33度53分40.7秒 東経135度12分58.1秒","","","","","","","","","","","","","","","","","","",""
"鳥取市さじアストロパーク","[ 鳥取市さじアストロパーク・佐治天文台 - 鳥取県鳥取市 - 口径103cm反射式望遠鏡] 鳥取市さじアストロパーク （とっとりしさじアストロパーク、Saji Observatory）は、 鳥取県 鳥取市 佐治町 にある 天文台 。","https://ja.wikipedia.org/wiki/鳥取市さじアストロパーク","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯35度20分31秒東経134度7分10.6秒","〒689-1312日本鳥取県鳥取市佐治町高山1071番1号","北緯35度20分31秒東経134度7分10.6秒﻿ / ﻿北緯35.34194度 東経134.119611度﻿ /35.34194; 134.119611座標:北緯35度20分31秒東経134度7分10.6秒﻿ / ﻿北緯35.34194度 東経134.119611度﻿ /35.34194; 134.119611","1994年7月","http://www.saji.city.tottori.lg.jp/saji103/","鳥取市","","","佐治天文台","","","","台長:香西洋樹","","","","","","",""
"島根県立三瓶自然館","[ 島根県立三瓶自然館 - 島根県大田市 - 口径60cm反射式望遠鏡、口径20cm屈折式望遠鏡] 島根県立三瓶自然館 （しまねけんりつさんべしぜんかん）は、 島根県 大田市 三瓶町多根にある自然系の 博物館 。 サヒメル の愛称がある。","https://ja.wikipedia.org/wiki/島根県立三瓶自然館","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯35度9分9.82秒東経132度37分13.97秒","〒694-0003島根県大田市三瓶町多根1121-8","北緯35度9分9.82秒東経132度37分13.97秒﻿ / ﻿北緯35.1527278度 東経132.6205472度﻿ /35.1527278; 132.6205472座標:北緯35度9分9.82秒東経132度37分13.97秒﻿ / ﻿北緯35.1527278度 東経132.6205472度﻿ /35.1527278; 132.6205472","1991年10月19日","島根県立三瓶自然館","","島根県の自然","公益財団法人しまね自然と環境財団","","","","","","","","","","","",""
"日原天文台","[ 日原天文台 - 島根県鹿足郡津和野町 - 口径75cm反射式望遠鏡] 日原天文台 （にちはらてんもんだい）は、 島根県 鹿足郡 津和野町 （旧 日原町 ）にある 天文台 。口径75cm 反射式望遠鏡 が設置されている。","https://ja.wikipedia.org/wiki/日原天文台","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯34度31分50秒東経131度50分30秒","〒699-5207島根県鹿足郡津和野町枕瀬806-1","北緯34度31分50秒東経131度50分30秒﻿ / ﻿北緯34.53056度 東経131.84167度﻿ /34.53056; 131.84167座標:北緯34度31分50秒東経131度50分30秒﻿ / ﻿北緯34.53056度 東経131.84167度﻿ /34.53056; 131.84167","1985年","にちはら天文台","","天文学","株式会社津和野開発、津和野町","","","JR山口線日原駅から車で5分石見空港から車で30分","","","","","","","","",""
"美星天文台","[ 美星天文台 - 岡山県井原市 - 口径101cm反射式望遠鏡] 岡山県下最大の一般公開用 望遠鏡 （口径101cm）を備える 公開天文台 となっている。また、 渾天儀 の レプリカ が置かれており、この渾天儀は 中国 にある現物をもとに中国にて作られ、中国の技術者により組み立てられた実物大模型となっている。施設の総事業費（建設当時）は4億5840万円（主な内訳は、望遠鏡制作費（ドームを含む）： 1億4300万円、渾天儀制作費： 1500万円）。 ","https://ja.wikipedia.org/wiki/美星天文台","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯34度40分19.2秒東経133度32分43.3秒","〒714-1411岡山県井原市美星町大倉1723番地70","北緯34度40分19.2秒東経133度32分43.3秒﻿ / ﻿北緯34.672000度 東経133.545361度﻿ /34.672000; 133.545361座標:北緯34度40分19.2秒東経133度32分43.3秒﻿ / ﻿北緯34.672000度 東経133.545361度﻿ /34.672000; 133.545361","1993年（平成5年）7月7日","美星天文台 ホームページ","","","","井原市美星天文台","","","","","","","","","","",""
"財団法人倉敷天文台","[ 公益財団法人倉敷天文台 - 岡山県倉敷市 - 口径32cm反射式望遠鏡] 公益財団法人倉敷天文台 （こうえきざいだんほうじんくらしきてんもんだい）は、 岡山県 倉敷市 中央にある民間 天文台 。","https://ja.wikipedia.org/wiki/財団法人倉敷天文台","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯34度35分35.4秒 東経133度46分5.2秒","","","","","","","","","","","","","","","","","","",""
"国立天文台","[ 国立天文台岡山天体物理観測所 - 岡山県浅口市 - 口径188cm反射式望遠鏡、口径91cm反射式望遠鏡] 日本国外の ハワイ観測所 などいくつかの観測所や、 三鷹キャンパス などで研究活動をしており、総称として国立天文台と呼ばれる。本部は 東京都 三鷹市 の 三鷹キャンパス 内にある。","https://ja.wikipedia.org/wiki/国立天文台","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯35度40分30.7秒東経139度32分16.2秒","日本〒181-8588東京都三鷹市大沢2-21-1北緯35度40分30.7秒東経139度32分16.2秒﻿ / ﻿北緯35.675194度 東経139.537833度﻿ /35.675194; 139.537833","","","","","","","国立天文台","","","東京天文台（1888年）","","https://www.nao.ac.jp/","","","","","National Astronomical Observatory of Japan","NAOJ"
"岡山天文博物館","[ 岡山天文博物館 - 岡山県浅口市 - 太陽観測用15cm屈折式望遠鏡、同架望遠鏡8cm屈折式望遠鏡] 岡山天文博物館 （おかやまてんもんはくぶつかん、 Okayama Astronomical Museum ）とは、 岡山県 浅口市 にある 科学館 のことである。","https://ja.wikipedia.org/wiki/岡山天文博物館","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯34度34分35.20秒東経133度35分43.70秒","〒719-0232岡山県浅口市鴨方町本庄3037-5","北緯34度34分35.20秒東経133度35分43.70秒﻿ / ﻿北緯34.5764444度 東経133.5954722度﻿ /34.5764444; 133.5954722","1960年11月","","","天文","浅口市","","","","","","","","","","","",""
"山口県立山口博物館","[ 山口県立山口博物館 - 山口県山口市 - 口径20cm屈折式望遠鏡] 山口県立山口博物館 （やまぐちけんりつやまぐちはくぶつかん）は、 山口県 山口市 にある山口県立の総合 博物館 。 自然科学 および 歴史 を扱っている。","https://ja.wikipedia.org/wiki/山口県立山口博物館","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯34度10分57.13秒東経131度28分21.95秒","〒753-0073日本山口県山口市春日町8番2号","北緯34度10分57.13秒東経131度28分21.95秒﻿ / ﻿北緯34.1825361度 東経131.4727639度﻿ /34.1825361; 131.4727639座標:北緯34度10分57.13秒東経131度28分21.95秒﻿ / ﻿北緯34.1825361度 東経131.4727639度﻿ /34.1825361; 131.4727639","1967年10月","山口県立山口博物館","","自然科学・歴史","山口県","","19,905m2","","防長教育博物館山口県立教育博物館山口県立科学教育研究所山口県立科学博物館","","","","坂倉準三","","","",""
"阿南市科学センター","[ 阿南市科学センター - 徳島県阿南市 - 口径113cm反射式望遠鏡] 阿南市科学センター （あなんしかがくセンター、Anan science center）は、 徳島県 阿南市 那賀川町上福井 にある科学施設。","https://ja.wikipedia.org/wiki/阿南市科学センター","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯33度56分55.9秒東経134度40分54.1秒","〒779-1243日本徳島県阿南市那賀川町上福井南川渕8-1","北緯33度56分55.9秒東経134度40分54.1秒﻿ / ﻿北緯33.948861度 東経134.681694度﻿ /33.948861; 134.681694座標:北緯33度56分55.9秒東経134度40分54.1秒﻿ / ﻿北緯33.948861度 東経134.681694度﻿ /33.948861; 134.681694","1997年7月","http://www.ananscience.jp/science/","阿南市","","阿南市教育委員会","阿南市科学センター","","","那賀川町科学センター","阿南市教育委員会次長兼務","","","","","","",""
"まんのう天文台","[ まんのう天文台 - 香川県仲多度郡まんのう町 - 口径30cm反射式望遠鏡] まんのう天文台 （まんのうてんもんだい）は、 香川県 仲多度郡 まんのう町 （旧 琴南町 ）にある 天文台 。","https://ja.wikipedia.org/wiki/まんのう天文台","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯34度6分56秒東経133度56分35秒","〒766-0202香川県仲多度郡まんのう町中通1156-242","北緯34度6分56秒東経133度56分35秒﻿ / ﻿北緯34.11556度 東経133.94306度﻿ /34.11556; 133.94306座標:北緯34度6分56秒東経133度56分35秒﻿ / ﻿北緯34.11556度 東経133.94306度﻿ /34.11556; 133.94306","2014年","まんのう天文台","","天文学","まんのう町琴南公民館","","222平方ﾒｰﾄﾙ","まんのう町役場から車で50分","","","","","","","","",""
"久万高原天体観測館 (存在しないページ)","[ 久万高原天体観測館 - 愛媛県上浮穴郡久万高原町 - 口径60cm反射式望遠鏡]","https://ja.wikipedia.org/w/index.php?title=久万高原天体観測館&amp;action=edit&amp;redlink=1","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"オーテピア","[ 高知みらい科学館 - 高知県高知市 - 口径60cm反射式望遠鏡] オーテピア （OTEPIA）は、 高知県 高知市 追手筋二丁目1番1号にある 図書館 等複合施設。","https://ja.wikipedia.org/wiki/オーテピア#高知みらい科学館","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯33度33分39.4秒東経133度32分12.9秒","〒780-0842高知県高知市追手筋二丁目1番1号","北緯33度33分39.4秒東経133度32分12.9秒﻿ / ﻿北緯33.560944度 東経133.536917度﻿ /33.560944; 133.536917座標:北緯33度33分39.4秒東経133度32分12.9秒﻿ / ﻿北緯33.560944度 東経133.536917度﻿ /33.560944; 133.536917","2018年（平成30年）7月24日","","高知県・高知市","総合","","","（機械式地下駐車場を除く）22,765.93 m2","","","","","","","","","",""
"梶ヶ森天文台","[ 梶ヶ森天文台 - 高知県長岡郡大豊町 - 口径60cm反射式望遠鏡] 梶ヶ森天文台 （かじがもりてんもんだい）は、 高知県 長岡郡 大豊町 にある  天文台 である。","https://ja.wikipedia.org/wiki/梶ヶ森天文台","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯33度45分32秒東経133度45分44秒","〒789-0255日本高知県長岡郡大豊町佐賀山1248−3","北緯33度45分32秒東経133度45分44秒﻿ / ﻿北緯33.75889度 東経133.76222度﻿ /33.75889; 133.76222","","公式ウェブサイト","大豊町","天文学","","","","","","","","","","","","",""
"芸西天文学習館 (存在しないページ)","[ 芸西天文学習館 - 高知県安芸郡芸西村 - 口径60cm反射式望遠鏡]","https://ja.wikipedia.org/w/index.php?title=芸西天文学習館&amp;action=edit&amp;redlink=1","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"四万十市天体観測施設「四万十天文台」 (存在しないページ)","[ 四万十市天体観測施設「四万十天文台」 - 高知県四万十市 - 口径36cm反射式望遠鏡]","https://ja.wikipedia.org/w/index.php?title=四万十市天体観測施設「四万十天文台」&amp;action=edit&amp;redlink=1","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"小郡市生涯学習センター天体ドーム (存在しないページ)","[ 小郡市生涯学習センター天体ドーム - 福岡県小郡市 - 口径40cm反射式望遠鏡、口径20cm屈折式望遠鏡 - 無料]","https://ja.wikipedia.org/w/index.php?title=小郡市生涯学習センター天体ドーム&amp;action=edit&amp;redlink=1","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"福岡県青少年科学館","[ 福岡県青少年科学館 - 福岡県久留米市 - 口径20cm屈折式望遠鏡] 福岡県青少年科学館 （ふくおかけん・せいしょうねん・かがくかん、英語表記：FUKUOKA SCIENCE MUSEUM）は、 福岡県 久留米市 東櫛原町にある県立の 科学館 。運営は、(公財)福岡県教育文化奨学財団。","https://ja.wikipedia.org/wiki/福岡県青少年科学館","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯33度19分5.1秒東経130度31分42.1秒","〒830-0003福岡県久留米市東櫛原町1713","北緯33度19分5.1秒東経130度31分42.1秒﻿ / ﻿北緯33.318083度 東経130.528361度﻿ /33.318083; 130.528361座標:北緯33度19分5.1秒東経130度31分42.1秒﻿ / ﻿北緯33.318083度 東経130.528361度﻿ /33.318083; 130.528361","1990年5月1日","福岡県青少年科学館","福岡県","科学","(公財)福岡県教育文化奨学財団","福岡県青少年科学館","","西鉄久留米駅から徒歩約15分","","","","","三島・梓・電通設計共同体","","","",""
"久留米市天文台 (存在しないページ)","[ 久留米市天文台 - 福岡県久留米市 - 口径40cm反射式望遠鏡、太陽観測装置 - 土曜日のみ無料]","https://ja.wikipedia.org/w/index.php?title=久留米市天文台&amp;action=edit&amp;redlink=1","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"星の文化館 (存在しないページ)","[ 星の文化館 - 福岡県八女市星野村 - 口径100cm反射式望遠鏡、口径65cm反射式望遠鏡、口径15cm屈折式望遠鏡 - 入館無料、観望有料]","https://ja.wikipedia.org/w/index.php?title=星の文化館&amp;action=edit&amp;redlink=1","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"西与賀コミュニティーセンター (存在しないページ)","[ 西与賀コミュニティーセンター - 佐賀県佐賀市 - - 口径20cm屈折望遠鏡 - 無料]","https://ja.wikipedia.org/w/index.php?title=西与賀コミュニティーセンター&amp;action=edit&amp;redlink=1","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"佐賀県立宇宙科学館","[ 佐賀県立宇宙科学館 - 佐賀県武雄市 - 口径20cm屈折望遠鏡 - 有料] 佐賀県立宇宙科学館 （さがけんりつうちゅうかがくかん）は、 佐賀県 武雄市 にある 宇宙 に関する展示を主とした 科学館 である  。","https://ja.wikipedia.org/wiki/佐賀県立宇宙科学館","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯33度10分45秒東経130度2分7秒","〒843-0021武雄市武雄町永島16351","北緯33度10分45秒東経130度2分7秒﻿ / ﻿北緯33.17917度 東経130.03528度﻿ /33.17917; 130.03528","1999年（平成11年）7月8日","佐賀県立宇宙科学館","佐賀県","宇宙","財団法人佐賀県教育文化振興財団","佐賀県立宇宙科学館","8,294.03㎡","JR武雄温泉駅よりバス「宇宙科学館前」下車徒歩15分","","渡辺勝巳","","ゆめぎんが","佐藤総合計画","年間20万人以上","","",""
"長崎市科学館","[ 長崎市科学館スターシップ - 長崎県長崎市 - 口径70cm反射式望遠鏡、口径15cm屈折式望遠鏡 - 有料] 長崎市科学館 （ながさきしかがくかん、Nagasaki City Science Museum）は、 長崎県 長崎市 油木町にある、 地球科学 ・ 天文学 をメインにおいた 科学館 である。別名はスターシップ。","https://ja.wikipedia.org/wiki/長崎市科学館","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯32度46分44秒東経129度51分12秒","〒852-8035長崎県長崎市油木町7-2","北緯32度46分44秒東経129度51分12秒﻿ / ﻿北緯32.77889度 東経129.85333度﻿ /32.77889; 129.85333","1997年4月26日","長崎市科学館","長崎市教育委員会","地球科学、天文学","（指定管理者）長崎ダイヤモンドスタッフ株式会社","長崎市科学館","13,200.26㎡","JR長崎駅から長崎バス「護国神社裏」下車すぐ","長崎市児童科学館","（名誉館長）草野仁","","スターシップ","環境デザイン・三建設計業務共同企業体","","","",""
"五島市鬼岳天文台","[ 五島市鬼岳天文台 - 長崎県五島市 - 口径60cm反射式望遠鏡、口径10cm屈折式望遠鏡 - 入館無料、観望有料] 五島市鬼岳天文台 （ごとうしおんだけてんもんだい）は、 長崎県 五島市 上大津町、 鬼岳 中腹にある 公開天文台 である。","https://ja.wikipedia.org/wiki/五島市鬼岳天文台","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯32度39分46.07秒東経128度51分6.09秒","〒853-0013長崎県五島市上大津町2873-1","","","","天体観測","","","","","","","","","","","","","",""
"合志市西合志図書館","[ 合志市西合志図書館天文台 - 熊本県合志市 - 口径40cm反射式望遠鏡] 1995年（平成7年）11月に西合志町立図書館として開館。2006年（平成18年） 2月27日 に 菊池郡 合志町 および 西合志町 が合併し、 合志市 となったのに伴い、名称が合志市西合志図書館となる。","https://ja.wikipedia.org/wiki/合志市西合志図書館","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯32度53分26.8秒 東経130度44分41.4秒","〒861-1104熊本県合志市御代志1161番地265","","","","合志市","総合","","","","","西合志町立図書館","","","","","","","",""
"南阿蘇ルナ天文台","[ 南阿蘇ルナ天文台 - 熊本県阿蘇郡南阿蘇村 - 口径82cm反射式望遠鏡、7連式太陽望遠鏡 - 有料、完全予約] 南阿蘇ルナ天文台 （みなみあそルナてんもんだい）は、 熊本県 阿蘇郡 南阿蘇村 にある公開 天文台 。1996年設立。","https://ja.wikipedia.org/wiki/南阿蘇ルナ天文台","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"清和高原天文台","[ 清和高原天文台 - 熊本県上益城郡山都町 - 口径50cm反射式望遠鏡 - 有料] 清和高原天文台 （せいわこうげんてんもんだい）は、 熊本県 上益城郡 山都町 にある、50cmの 反射望遠鏡 を保有する公開 天文台 である。 1993年 4月に開館。 井無田高原 の標高700mに位置する。敷地内にロッジがあり泊りがけの観測に利用できる。","https://ja.wikipedia.org/wiki/清和高原天文台","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"熊本県民天文台 (存在しないページ)","[ 熊本県民天文台 - 熊本県熊本市 - 口径41cm反射式望遠鏡 - 無料（募金制）]","https://ja.wikipedia.org/w/index.php?title=熊本県民天文台&amp;action=edit&amp;redlink=1","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"さかもと八竜天文台 (存在しないページ)","[ さかもと八竜天文台 - 熊本県八代市 - 口径45cm反射式望遠鏡、口径30cm屈折式望遠鏡 - 有料]","https://ja.wikipedia.org/w/index.php?title=さかもと八竜天文台&amp;action=edit&amp;redlink=1","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"ミューイ天文台","[ ミューイ天文台 - 熊本県上天草市 - 口径50cm反射式望遠鏡、口径15cm屈折式望遠鏡 - 有料] ミューイ天文台 （ミューイてんもんだい）は 熊本県 上天草市 （旧 天草郡 龍ヶ岳町 ）の 龍ヶ岳 山頂にある公開 天文台 。 1990年 7月に開館。館内には天体観測室・ プラネタリウム ・映像ホールがある。名称は「見よう」を意味する 天草 の方言からつけられている。","https://ja.wikipedia.org/wiki/ミューイ天文台","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯32度24分08.6秒 東経130度22分40.0秒","","","","","","","","","","","","","","","","","","",""
"梅園の里天文台天球館 (存在しないページ)","[ 梅園の里天文台天球館 - 大分県国東市 - 口径65cm反射式望遠鏡、口径15cm屈折式望遠鏡 - 有料]","https://ja.wikipedia.org/w/index.php?title=梅園の里天文台天球館&amp;action=edit&amp;redlink=1","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"関崎海星館","[ 関崎海星館 - 大分県大分市 - 口径60cm反射式望遠鏡] 関崎海星館 （せきざきかいせいかん）は、 大分県 大分市 大字 佐賀関 にある 天文台 及び展望施設等からなる複合施設である。","https://ja.wikipedia.org/wiki/関崎海星館","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯33度15分57秒 東経131度53分58秒","","","","","","","","","","","","","","","","","","",""
"コンパルホール","[ コンパルホール - 大分県大分市 - 口径30cm反射式望遠鏡] コンパルホール は、 大分県 大分市 府内町 にある大分市の複合施設である。 大分市民図書館 コンパルホール分館、大分中央公民館、文化ホールなどからなる。","https://ja.wikipedia.org/wiki/コンパルホール","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯33度14分7.3秒東経131度36分39秒","〒870-0021大分県大分市府内町一丁目5-38","","","","","","","","23,387.29 m²","","","","","","","","","",""
"たちばな天文台","[ たちばな天文台 - 宮崎県都城市 - 口径50cm反射式望遠鏡、口径20cm屈折式望遠鏡 - 有料] たちばな天文台 （たちばなてんもんだい）は、 宮崎県 都城市 高崎町にある公開 天文台 である。","https://ja.wikipedia.org/wiki/たちばな天文台","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"中小屋天文台昴ドーム (存在しないページ)","[ 中小屋天文台昴ドーム - 宮崎県美郷町 - 口径60cm反射式望遠鏡 - 有料]","https://ja.wikipedia.org/w/index.php?title=中小屋天文台昴ドーム&amp;action=edit&amp;redlink=1","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"せんだい宇宙館","[ せんだい宇宙館 - 鹿児島県薩摩川内市 - 口径50cm反射式望遠鏡、口径15cm屈折式望遠鏡 - 有料] 薩摩川内市せんだい宇宙館 （さつませんだいしせんだいうちゅうかん）は 鹿児島県 薩摩川内市 永利町 にある薩摩川内市立の科学展示館および 天文台 である。","https://ja.wikipedia.org/wiki/せんだい宇宙館","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯31度49分26.43秒東経130度20分23.34秒","〒895-0005鹿児島県薩摩川内市永利町2133-6 寺山いこいの広場地内","北緯31度49分26.43秒東経130度20分23.34秒﻿ / ﻿北緯31.8240083度 東経130.3398167度﻿ /31.8240083; 130.3398167座標:北緯31度49分26.43秒東経130度20分23.34秒﻿ / ﻿北緯31.8240083度 東経130.3398167度﻿ /31.8240083; 130.3398167","1998年","薩摩川内市せんだい宇宙館公式サイト","薩摩川内市","自然科学（天文学）","財団法人薩摩川内市民まちづくり公社","薩摩川内市せんだい宇宙館","788.8630m2","JR鹿児島本線川内駅より車で約20分(8km)","","早水勉","","せんだい宇宙館","","","","",""
"スターランドAIRA","[ スターランドAIRA - 鹿児島県姶良市 - 口径40cm反射式望遠鏡 - 有料] スターランドAIRA （スターランドあいら）は、 鹿児島県 姶良市 北山に位置する姶良市立の 天文台 である。","https://ja.wikipedia.org/wiki/スターランドAIRA","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯31度49分24.19秒 東経130度36分00.16秒","〒899-5541鹿児島県姶良市北山997-16","","","","姶良市教育委員会","天文","","スターランドAIRA","","","","","","","","","","",""
"輝北天球館","[ 輝北天球館 - 鹿児島県鹿屋市 - 口径65cm反射式望遠鏡 - 有料] 輝北天球館 （きほくてんきゅうかん）は、 鹿児島県 鹿屋市 輝北町 市成の輝北うわば公園内に位置する鹿屋市立の天体観測を核とするコミュニティー施設である。","https://ja.wikipedia.org/wiki/輝北天球館","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯31度35分40.7秒東経130度49分34.7秒","鹿児島県鹿屋市輝北町市成","北緯31度35分40.7秒東経130度49分34.7秒﻿ / ﻿北緯31.594639度 東経130.826306度﻿ /31.594639; 130.826306座標:北緯31度35分40.7秒東経130度49分34.7秒﻿ / ﻿北緯31.594639度 東経130.826306度﻿ /31.594639; 130.826306","","","鹿屋市","天文","特定非営利活動法人まちづくり輝北（指定管理者）","輝北うわば公園輝北天球館","","","","","","","","","","",""
"トカラ列島中之島天文台 (存在しないページ)","[ トカラ列島中之島天文台 - 鹿児島県鹿児島郡十島村 - 口径60cm反射式望遠鏡 - 詳細不明]","https://ja.wikipedia.org/w/index.php?title=トカラ列島中之島天文台&amp;action=edit&amp;redlink=1","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"石垣島天文台","[ 石垣島天文台 - 沖縄県石垣市 - 口径105cm反射式望遠鏡 - 無料（要予約）] 石垣島天文台 （いしがきじまてんもんだい）は、 沖縄県 石垣市 にある 天文台 。 自然科学研究機構 国立天文台 、 石垣市 、石垣市教育委員会、 特定非営利活動法人 八重山星の会、沖縄県立石垣青少年の家、 琉球大学 の6者で構成する協議会によって運営される天文台である   。","https://ja.wikipedia.org/wiki/石垣島天文台","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯24度22分24.9秒 東経124度8分21.8秒","","","","","","","","","","","","","","","","","","",""
"波照間島星空観測タワー","[ 波照間島星空観測タワー - 沖縄県八重山郡竹富町 - 口径20cm屈折式望遠鏡 - 有料] 波照間島星空観測タワー （はてるまじまほしぞらかんそくタワー）は、 沖縄県 ・ 八重山諸島 の 波照間島 （ 八重山郡 竹富町 ）にある 天文台 である。","https://ja.wikipedia.org/wiki/波照間島星空観測タワー","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","北緯24度3分0秒 東経123度47分50秒","","","","","","","","","","","","","","","","","","",""
"国立天文台ハワイ観測所","[ 国立天文台ハワイ観測所 - ハワイ州 - 口径8m反射式望遠鏡] 本研究施設は、 国立天文台 の研究施設であるが、ハワイ州立 ハワイ大学 との共同研究施設であるため、以下は日本国内向けの公開情報である。","https://ja.wikipedia.org/wiki/国立天文台ハワイ観測所","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"シャーロットキャンパス天文台 (存在しないページ)","[ シャーロットキャンパス天文台 - フロリダ州 - 35cm反射式望遠鏡[5]]","https://ja.wikipedia.org/w/index.php?title=シャーロットキャンパス天文台&amp;action=edit&amp;redlink=1","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
"UNCシャーロット天文台 (存在しないページ)","[ UNCシャーロット天文台 - フロリダ州 - [6]]","https://ja.wikipedia.org/w/index.php?title=UNCシャーロット天文台&amp;action=edit&amp;redlink=1","公開天文台一覧","https://ja.wikipedia.org/wiki/公開天文台一覧","表形式","","","","","","","","","","","","","","","","","","","",""
