"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","国","面積","総人口","人口密度","地方","都道府県","市町村コード","法人番号","隣接自治体","市長","所在地","外部リンク","市の花","市の木","市の鳥","特記事項","他のシンボル","市の歌","市の花木"
"名取市","[532宮城県04207名取市98.278170.671.9%1,08727.428.0%] 名取市 （なとりし）は、 宮城県 の中央南部に位置する 市 である。 仙台市 の南東に隣接する 太平洋 沿岸の 都市 で、市内には 仙台空港 がある。","https://ja.wikipedia.org/wiki/名取市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯38度10分17.5秒東経140度53分30.5秒","日本","98.17km2","79,229人（推計人口、2021年6月1日）","807人/km2","東北地方","宮城県","04207-2","8000020042072","仙台市、岩沼市、柴田郡村田町","山田司郎","〒981-1292宮城県名取市増田字柳田80北緯38度10分17.5秒東経140度53分30.5秒﻿ / ﻿北緯38.171528度 東経140.891806度﻿ /38.171528; 140.891806","公式ウェブサイト","ハナモモ","クロマツ","","","","",""
"那珂市","[533茨城県08226那珂市97.855582.384.2%65915.916.2%] 那珂市 （なかし）は、 茨城県 県央地域 にある 市  。","https://ja.wikipedia.org/wiki/那珂市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯36度27分26.6秒東経140度29分12.3秒","日本","97.82km2","52,917人（推計人口、2021年6月1日）","541人/km2","関東地方","茨城県","08226-1","5000020082261","水戸市、ひたちなか市、常陸太田市、日立市、常陸大宮市、東茨城郡城里町、那珂郡東海村","先﨑光","〒311-0118茨城県那珂市福田1819-5北緯36度27分26.6秒東経140度29分12.3秒﻿ / ﻿北緯36.457389度 東経140.486750度﻿ /36.457389; 140.486750","公式ウェブサイト","ひまわり","八重桜","白鳥","NTT市外局番：029（市内全域）","","",""
"潟上市","[534秋田県05211潟上市97.733965.767.2%50331.332.0%] 潟上市 （かたがみし）は、 秋田市 の北西、 男鹿市 の南東に位置する市。","https://ja.wikipedia.org/wiki/潟上市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯39度52分59.8秒東経139度59分19.2秒","日本","97.72km2","31,474人（推計人口、2021年6月1日）","322人/km2","東北地方","秋田県","05211-6","5000020052116","秋田市、男鹿市、南秋田郡五城目町、井川町、大潟村","鈴木雄大","〒010-0201秋田県潟上市天王字棒沼台226-1北緯39度52分59.8秒東経139度59分19.2秒﻿ / ﻿北緯39.883278度 東経139.988667度﻿ /39.883278; 139.988667座標:北緯39度52分59.8秒東経139度59分19.2秒﻿ / ﻿北緯39.883278度 東経139.988667度﻿ /39.883278; 139.988667","公式ウェブサイト","バラ","クロマツ","シラサギ","","","",""
"多久市","[535佐賀県41204多久市97.020449.450.9%40048.850.4%] 多久市 （たくし）は、 佐賀県 の中央部に位置する 市 。","https://ja.wikipedia.org/wiki/多久市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯33度17分18.8秒東経130度6分36.7秒","日本","96.96km2（境界未定部分あり）","18,128人（推計人口、2021年6月1日）","187人/km2","九州地方","佐賀県","41204-0","2000020412040","佐賀市、小城市、唐津市、武雄市、杵島郡大町町、江北町","横尾俊彦","〒846-8501佐賀県多久市北多久町大字小侍7-1北緯33度17分18.8秒東経130度6分36.7秒﻿ / ﻿北緯33.288556度 東経130.110194度﻿ /33.288556; 130.110194座標:北緯33度17分18.8秒東経130度6分36.7秒﻿ / ﻿北緯33.288556度 東経130.110194度﻿ /33.288556; 130.110194","公式ウェブサイト","ウメ","カエデ","","","","",""
"小城市","[536佐賀県41208小城市95.846271.975.0%61623.824.9%] 小城市 （おぎし）は、 佐賀県 の中央部に位置する 市 である。","https://ja.wikipedia.org/wiki/小城市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯33度15分1.6秒東経130度12分6.6秒","日本","95.81km2","43,183人（推計人口、2021年6月1日）","451人/km2","九州地方","佐賀県","41208-2","1000020412082","佐賀市、多久市、杵島郡江北町、白石町","江里口秀次","〒845-0021佐賀県小城市三日月町長神田2312番地2北緯33度15分1.6秒東経130度12分6.6秒﻿ / ﻿北緯33.250444度 東経130.201833度﻿ /33.250444; 130.201833座標:北緯33度15分1.6秒東経130度12分6.6秒﻿ / ﻿北緯33.250444度 東経130.201833度﻿ /33.250444; 130.201833","公式ウェブサイト","さくら","桜","","","","",""
"袖ケ浦市","[537千葉県12229袖ケ浦市94.964275.479.4%80820.021.0%] 袖ケ浦市 （そでがうらし）は、 千葉県 の中西部に位置する 市 。","https://ja.wikipedia.org/wiki/袖ケ浦市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯35度25分48秒東経139度57分15.9秒","日本","94.93km2","64,032人（推計人口、2021年6月1日）","675人/km2","関東地方","千葉県","12229-7","6000020122297","市原市、木更津市","粕谷智浩","〒299-0292千葉県袖ケ浦市坂戸市場1番地1北緯35度25分48秒東経139度57分15.9秒﻿ / ﻿北緯35.43000度 東経139.954417度﻿ /35.43000; 139.954417","公式ウェブサイト","ヤマユリ","シイ","","","","",""
"伊豆の国市","[538静岡県22225伊豆の国市94.650942.544.9%1,13452.055.0%] 伊豆の国市 （いずのくにし）は、 静岡県 の 伊豆半島 北部に位置する 市 。","https://ja.wikipedia.org/wiki/伊豆の国市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯35度1分39.8秒東経138度55分43.9秒","日本","94.62km2","46,456人（推計人口、2021年6月1日）","491人/km2","中部地方、東海地方","静岡県","22225-9","1000020222259","熱海市、伊豆市、伊東市、沼津市、田方郡函南町","山下正行","〒410-2292静岡県伊豆の国市長岡340番地の1北緯35度1分39.8秒東経138度55分43.9秒﻿ / ﻿北緯35.027722度 東経138.928861度﻿ /35.027722; 138.928861座標:北緯35度1分39.8秒東経138度55分43.9秒﻿ / ﻿北緯35.027722度 東経138.928861度﻿ /35.027722; 138.928861","公式ウェブサイト（日本語）","すみれ、あやめ","梛（ナギ）","","","","",""
"菊川市","[539静岡県22224菊川市94.249771.976.3%65022.023.4%] 菊川市 （きくがわし）は、 静岡県 の東遠地域にある 都市 である。","https://ja.wikipedia.org/wiki/菊川市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯34度45分27.9秒東経138度5分5.2秒","日本","94.19km2","47,501人（推計人口、2021年6月1日）","504人/km2","中部地方、東海地方","静岡県","22224-1","2000020222241","掛川市、御前崎市、島田市、牧之原市","長谷川寛彦","〒439-8650静岡県菊川市堀之内61北緯34度45分27.9秒東経138度5分5.2秒﻿ / ﻿北緯34.757750度 東経138.084778度﻿ /34.757750; 138.084778座標:北緯34度45分27.9秒東経138度5分5.2秒﻿ / ﻿北緯34.757750度 東経138.084778度﻿ /34.757750; 138.084778","公式ウェブサイト","菊","茶","キセキレイ","","","",""
"勝浦市","[540千葉県12218勝浦市94.020535.738.0%53958.061.7%] 勝浦市 （かつうらし）は、 千葉県 の南東部に位置する 市 。","https://ja.wikipedia.org/wiki/勝浦市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯35度9分7.9秒東経140度19分15秒","日本","93.96km2（境界未定部分あり）","16,626人（推計人口、2021年6月1日）","177人/km2","関東地方","千葉県","12218-1","6000020122181","鴨川市、いすみ市夷隅郡：大多喜町、御宿町","土屋元","〒299-5292千葉県勝浦市新官1343-1北緯35度9分7.9秒東経140度19分15秒﻿ / ﻿北緯35.152194度 東経140.32083度﻿ /35.152194; 140.32083","公式ウェブサイト","","アジサイ","","","","",""
"厚木市","[541神奈川県14212厚木市93.82,40567.271.6%3,35826.528.2%] 厚木市 （あつぎし）は、 神奈川県 のほぼ中央に位置する 市 。 特例市 に指定されている。","https://ja.wikipedia.org/wiki/厚木市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯35度26分35秒東経139度21分45秒","日本","93.84km2","223,964人（推計人口、2021年6月1日）","2,387人/km2","関東地方","神奈川県","14212-3","5000020142123","海老名市、伊勢原市、相模原市、座間市、秦野市、平塚市、愛甲郡愛川町、清川村、高座郡寒川町","小林常良","〒243-8511神奈川県厚木市中町三丁目17番17号北緯35度26分35秒東経139度21分45秒﻿ / ﻿北緯35.44306度 東経139.36250度﻿ /35.44306; 139.36250座標:北緯35度26分35秒東経139度21分45秒﻿ / ﻿北緯35.44306度 東経139.36250度﻿ /35.44306; 139.36250","公式ウェブサイト","サツキ","モミジ","","","","",""
"小野市","[542兵庫県28218小野市92.952357.662.0%84433.936.4%] 小野市 （おのし）は、 兵庫県 の中南部・ 東播磨 のほぼ中心に位置する 市 。 北播磨県民局 に区分されている。北播磨の中心都市である。","https://ja.wikipedia.org/wiki/小野市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯34度51分29.2秒東経134度56分22.5秒","日本","92.94km2（境界未定部分あり）","47,320人（推計人口、2021年6月1日）","509人/km2","近畿地方","兵庫県","28218-9","8000020282189","加古川市、加西市、三木市、加東市","蓬莱務","〒675-1380兵庫県小野市中島町531番地北緯34度51分29.2秒東経134度56分22.5秒﻿ / ﻿北緯34.858111度 東経134.939583度﻿ /34.858111; 134.939583座標:北緯34度51分29.2秒東経134度56分22.5秒﻿ / ﻿北緯34.858111度 東経134.939583度﻿ /34.858111; 134.939583市庁舎位置小野市役所庁舎","公式ウェブサイト","ヒマワリ","ヤナギ","","","-","",""
"春日井市","[543愛知県23206春日井市92.83,30475.581.3%4,06117.218.5%] 春日井市 （かすがいし）は、 愛知県 の北西部に位置する 市 。 施行時特例市 である。","https://ja.wikipedia.org/wiki/春日井市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯35度14分51秒東経136度58分20秒","日本","92.78km2","306,018人（推計人口、2021年5月1日）","3,298人/km2","中部地方、東海地方","愛知県","23206-8","1000020232068","名古屋市、小牧市、瀬戸市、犬山市、西春日井郡豊山町岐阜県多治見市","伊藤太","〒486-8686愛知県春日井市鳥居松町五丁目44番地北緯35度14分51秒東経136度58分20秒﻿ / ﻿北緯35.24750度 東経136.97222度﻿ /35.24750; 136.97222","公式ウェブサイト","サクラ","ケヤキ","","","","",""
"坂出市","[544香川県37203坂出市92.557566.371.7%80226.028.1%] 坂出市 （さかいでし）は、 香川県 北部のほぼ中央に位置する 市 。","https://ja.wikipedia.org/wiki/坂出市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯34度18分58.9秒東経133度51分37.7秒","日本","92.49km2","50,119人（推計人口、2021年6月1日）","542人/km2","四国地方中国・四国地方","香川県","37203-0","9000020372030","高松市、丸亀市、綾歌郡宇多津町、綾川町（海を挟んで）岡山県倉敷市","綾宏","〒762-8601香川県坂出市室町二丁目3番5号北緯34度18分58.9秒東経133度51分37.7秒﻿ / ﻿北緯34.316361度 東経133.860472度﻿ /34.316361; 133.860472座標:北緯34度18分58.9秒東経133度51分37.7秒﻿ / ﻿北緯34.316361度 東経133.860472度﻿ /34.316361; 133.860472","公式ウェブサイト","桜・コスモス","珊瑚樹","","","","",""
"光市","[545山口県35210光市92.155843.146.8%1,19148.953.1%] 光市 （ひかりし）は、 山口県 東南部に位置する 市 。","https://ja.wikipedia.org/wiki/光市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯33度57分42.7秒東経131度56分31.9秒","日本","92.13km2","49,417人（推計人口、2021年6月1日）","536人/km2","中国地方中国・四国地方","山口県","35210-1","6000020352101","下松市、周南市、柳井市、岩国市、熊毛郡田布施町","市川熙","〒743-8501山口県光市中央六丁目1番1号北緯33度57分42.7秒東経131度56分31.9秒﻿ / ﻿北緯33.961861度 東経131.942194度﻿ /33.961861; 131.942194﻿ (光市)座標:北緯33度57分42.7秒東経131度56分31.9秒﻿ / ﻿北緯33.961861度 東経131.942194度﻿ /33.961861; 131.942194﻿ (光市)市庁舎位置","公式ウェブサイト","ウメ","クロマツ","","","","",""
"土佐市","[546高知県39205土佐市91.529642.646.5%63548.052.5%] 土佐市 （とさし）は、 高知県 中部に位置する 市 。面積は県内11市の中で最小となっている。","https://ja.wikipedia.org/wiki/土佐市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯33度29分45.8秒東経133度25分31.3秒","日本","91.50km2","25,560人（推計人口、2021年6月1日）","279人/km2","四国地方中国・四国地方","高知県","39205-7","5000020392057","高知市、須崎市、吾川郡いの町、高岡郡佐川町、日高村","板原啓文","〒781-1192高知県土佐市高岡町甲2017番地1北緯33度29分45.8秒東経133度25分31.3秒﻿ / ﻿北緯33.496056度 東経133.425361度﻿ /33.496056; 133.425361座標:北緯33度29分45.8秒東経133度25分31.3秒﻿ / ﻿北緯33.496056度 東経133.425361度﻿ /33.496056; 133.425361","公式ウェブサイト","ユリ","イチョウ","ムクドリ","","","",""
"多治見市","[547岐阜県21204多治見市91.31,21046.651.0%2,37244.548.8%] 多治見市 （たじみし）は、 岐阜県 の 東濃 地方に位置する 市 。人口は岐阜県で 各務原市 についで4番目であり、 美濃焼 で有名でもある。","https://ja.wikipedia.org/wiki/多治見市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯35度19分58秒東経137度7分55.3秒","日本","91.25km2（境界未定部分あり）","105,889人（推計人口、2021年6月1日）","1,160人/km2","中部地方、東海地方","岐阜県","21204-1","5000020212041","土岐市、可児市愛知県：春日井市、瀬戸市、犬山市","古川雅典","〒507-8703岐阜県多治見市日ノ出町2丁目15北緯35度19分58秒東経137度7分55.3秒﻿ / ﻿北緯35.33278度 東経137.132028度﻿ /35.33278; 137.132028座標:北緯35度19分58秒東経137度7分55.3秒﻿ / ﻿北緯35.33278度 東経137.132028度﻿ /35.33278; 137.132028","公式ウェブサイト","キキョウ","シデコブシ","","面積は、土岐市との間に境界未定部分があるため参考値。","","",""
"相生市","[548兵庫県28208相生市90.433322.324.7%1,35068.175.3%] 相生市 （あいおいし）は、 兵庫県 の島嶼部を除いた地域の南西部に位置する 市 である。 西播磨県民局 管轄地域。","https://ja.wikipedia.org/wiki/相生市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯34度48分12.9秒東経134度28分5.2秒","日本","90.40km2","28,075人（推計人口、2021年6月1日）","311人/km2","近畿地方","兵庫県","28208-1","8000020282081","たつの市、赤穂市、赤穂郡上郡町（海を挟んで隣接）姫路市","谷口芳紀","〒678-8585兵庫県相生市旭一丁目1番3号北緯34度48分12.9秒東経134度28分5.2秒﻿ / ﻿北緯34.803583度 東経134.468111度﻿ /34.803583; 134.468111座標:北緯34度48分12.9秒東経134度28分5.2秒﻿ / ﻿北緯34.803583度 東経134.468111度﻿ /34.803583; 134.468111市庁舎位置","公式ウェブサイト","コスモス","ツバキ","","","","",""
"本庄市","[549埼玉県11211本庄市89.786865.172.6%1,19624.627.4%] 本庄市 （ほんじょうし）は、 埼玉県 の北西部に位置する 市 。","https://ja.wikipedia.org/wiki/本庄市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯36度14分36.9秒東経139度11分25.4秒","日本","89.69km2","76,663人（推計人口、2021年6月1日）","855人/km2","関東地方","埼玉県","11211-9","4000020112119","深谷市児玉郡美里町上里町神川町秩父郡長瀞町皆野町群馬県伊勢崎市佐波郡玉村町","吉田信解","〒367-8501埼玉県本庄市本庄三丁目5番3号北緯36度14分36.9秒東経139度11分25.4秒﻿ / ﻿北緯36.243583度 東経139.190389度﻿ /36.243583; 139.190389市庁舎位置","公式ウェブサイト","ツキミソウ","モクセイ","","","","",""
"下松市","[550山口県35207下松市89.462535.639.8%1,57054.060.4%] 下松市 （くだまつし）は、 山口県 東南部に位置する 市 。","https://ja.wikipedia.org/wiki/下松市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯34度0分53.9秒東経131度52分13.2秒","日本","89.35km2","55,863人（推計人口、2021年6月1日）","625人/km2","中国地方中国・四国地方","山口県","35207-1","2000020352071","周南市、光市","国井益雄","〒744-8585山口県下松市大手町三丁目3番3号北緯34度0分53.9秒東経131度52分13.2秒﻿ / ﻿北緯34.014972度 東経131.870333度﻿ /34.014972; 131.870333﻿ (下松市)座標:北緯34度0分53.9秒東経131度52分13.2秒﻿ / ﻿北緯34.014972度 東経131.870333度﻿ /34.014972; 131.870333﻿ (下松市)市庁舎位置","公式ウェブサイト","サルビア","やまもも","","","","",""
"東金市","[551千葉県12213東金市89.168170.979.6%85517.619.7%] 東金市 （とうがねし）は、 千葉県 の中東部に位置する 市 。 東金の歴史はとても古く、千葉県の中でも特筆すべきものがある。豊かな自然と歴史に裏打ちされた街で観光地としてのニーズも最近になって高まりつつある。","https://ja.wikipedia.org/wiki/東金市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯35度33分35.8秒東経140度21分57.9秒","日本","89.12km2","57,775人（推計人口、2021年6月1日）","648人/km2","関東地方","千葉県","12213-1","7000020122131","千葉市、山武市、八街市、大網白里市山武郡：九十九里町","鹿間陸郎","〒283-8511千葉県東金市東岩崎1番地1北緯35度33分35.8秒東経140度21分57.9秒﻿ / ﻿北緯35.559944度 東経140.366083度﻿ /35.559944; 140.366083","公式ウェブサイト","ソメイヨシノ","ラカンマキ","","","","",""
"本宮市","[552福島県07214本宮市88.035161.069.3%50726.830.5%] 本宮市 （もとみやし）は、 福島県 中通り 中部に位置する 市 。","https://ja.wikipedia.org/wiki/本宮市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯37度30分47.5秒東経140度23分37.8秒","日本","88.02km2","30,177人（推計人口、2021年6月1日）","343人/km2","東北地方","福島県","07214-1","2000020072141","郡山市、二本松市、安達郡大玉村、田村郡三春町","高松義行","〒969-1192福島県本宮市本宮字万世212番地北緯37度30分47.5秒東経140度23分37.8秒﻿ / ﻿北緯37.513194度 東経140.393833度﻿ /37.513194; 140.393833","本宮市役所","ボタン","マユミ","ウグイス","","","",""
"各務原市","[553岐阜県21213各務原市87.81,64869.579.2%2,08118.320.8%] 各務原市 （かかみがはらし）は、 岐阜県 の南部に位置する 市 。","https://ja.wikipedia.org/wiki/各務原市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯35度23分55.7秒東経136度50分54.3秒","日本","87.81km2","144,058人（推計人口、2021年6月1日）","1,641人/km2","中部地方、東海地方","岐阜県","21213-0","7000020212130","岐阜市、関市、加茂郡坂祝町、羽島郡岐南町、笠松町愛知県：一宮市、犬山市、江南市、丹羽郡扶桑町","浅野健司","〒504-8555岐阜県各務原市那加桜町一丁目69番地北緯35度23分55.7秒東経136度50分54.3秒﻿ / ﻿北緯35.398806度 東経136.848417度﻿ /35.398806; 136.848417","公式ウェブサイト","つつじ","松","","","","",""
"筑紫野市","[554福岡県40217筑紫野市87.71,15244.150.3%2,29243.449.4%] 筑紫野市 （ちくしのし）は、 福岡県 の中西部、 筑紫地域 に位置する 市 。「 博多 の奥座敷」と称される 二日市温泉 がある。","https://ja.wikipedia.org/wiki/筑紫野市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯33度29分46.9秒東経130度30分56秒","日本","87.73km2","103,185人（推計人口、2020年9月1日）","1,176人/km2","九州地方","福岡県","40217-6","8000020402176","小郡市、太宰府市、大野城市、飯塚市、那珂川市、糟屋郡宇美町、朝倉郡筑前町佐賀県：鳥栖市、三養基郡基山町","藤田陽三","〒818-8686福岡県筑紫野市石崎一丁目1番1号北緯33度29分46.9秒東経130度30分56秒﻿ / ﻿北緯33.496361度 東経130.51556度﻿ /33.496361; 130.51556座標:北緯33度29分46.9秒東経130度30分56秒﻿ / ﻿北緯33.496361度 東経130.51556度﻿ /33.496361; 130.51556市庁舎位置","筑紫野市公式サイト","サルビア","ツバキ","","","","",""
"可児市","[555岐阜県21214可児市87.61,12752.359.8%1,88633.838.5%] 可児市 （かにし）は、 岐阜県 中南部の 木曽川 南岸に位置する 市 であり、 日本 の 三大都市 の１つである 名古屋 の ベッドタウン である。 歴史 的には 織田信長 の家臣であった 明智光秀 ， 森成利 （蘭丸）の生誕の地で、それら家臣に仕えた 可児吉長 が 槍 の名手として活躍したことでも知られる。また、 織田信長 の生母である 土田御前 の生誕の地でもある。 7世紀 初めから 美濃焼 の 作陶 が盛ん  で、 荒川豊蔵 を筆頭として 人間国宝 が複数人活動したことでも知られている。 花フェスタ'95ぎふ の開催後からは バラ による 国際 交流も行われている  。","https://ja.wikipedia.org/wiki/可児市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯35度25分33.8秒東経137度3分40.8秒","日本","87.57km2","99,469人（推計人口、2021年6月1日）","1,136人/km2","中部地方、東海地方","岐阜県","21214-8","6000020212148","多治見市、美濃加茂市、土岐市、加茂郡八百津町、坂祝町、可児郡御嵩町愛知県犬山市","冨田成輝","〒509-0292岐阜県可児市広見1丁目1番地北緯35度25分33.8秒東経137度3分40.8秒﻿ / ﻿北緯35.426056度 東経137.061333度﻿ /35.426056; 137.061333座標:北緯35度25分33.8秒東経137度3分40.8秒﻿ / ﻿北緯35.426056度 東経137.061333度﻿ /35.426056; 137.061333","公式ウェブサイト","サツキ、バラ","クロマツ","","","","",""
"うるま市","[556沖縄県47213うるま市87.01,36773.284.2%1,62313.815.8%] うるま市 （うるまし）は、 沖縄本島 中部に位置する 沖縄県 第3の都市。","https://ja.wikipedia.org/wiki/うるま市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯26度22分45秒東経127度51分26.7秒","日本","87.02km2","122,373人（推計人口、2021年6月1日）","1,406人/km2","九州地方、沖縄地方","沖縄県","47213-1","5000020472131","沖縄市、国頭郡金武町、恩納村","中村正人","〒904-2292沖縄県うるま市みどり町一丁目1番1号北緯26度22分45秒東経127度51分26.7秒﻿ / ﻿北緯26.37917度 東経127.857417度﻿ /26.37917; 127.857417﻿ (うるま市)座標:北緯26度22分45秒東経127度51分26.7秒﻿ / ﻿北緯26.37917度 東経127.857417度﻿ /26.37917; 127.857417﻿ (うるま市)","公式ウェブサイト","サンタンカ","リュウキュウコクタン","チャーン","","","",""
"湖西市","[557静岡県22221湖西市86.669149.557.1%1,20918.821.7%] 湖西市 （こさいし）は、 静岡県 西部にある 市 。静岡県で最も西に位置し、市域は 浜名湖 西岸から 愛知県 との 県境 に及ぶ  。旧 浜名郡 の一部で、1972年（昭和47年）に 市制 施行した。","https://ja.wikipedia.org/wiki/湖西市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯34度43分6.4秒東経137度31分53.8秒","日本","86.56km2","57,449人（推計人口、2021年6月1日）","664人/km2","中部地方、東海地方","静岡県","22221-6","3000020222216","浜松市愛知県：豊橋市","影山剛士","〒431-0492静岡県湖西市吉美3268北緯34度43分6.4秒東経137度31分53.8秒﻿ / ﻿北緯34.718444度 東経137.531611度﻿ /34.718444; 137.531611座標:北緯34度43分6.4秒東経137度31分53.8秒﻿ / ﻿北緯34.718444度 東経137.531611度﻿ /34.718444; 137.531611","公式ウェブサイト","クチナシ","黒松","","","","",""
"天理市","[558奈良県29204天理市86.478052.460.6%1,28734.039.4%] 天理市 （てんりし）は、 奈良県 北中部に位置する 市 。中心部に 天理教 関連の施設が集中していることなどから、 宗教都市 として知られている  。名称は天理教に由来する。","https://ja.wikipedia.org/wiki/天理市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯34度35分47.7秒東経135度50分14.1秒","日本","86.42km2","63,874人（推計人口、2021年6月1日）","739人/km2","近畿地方","奈良県","29204-4","3000020292044","奈良市、桜井市、大和郡山市、磯城郡田原本町、三宅町、川西町","並河健","〒632-8555奈良県天理市川原城町605番地北緯34度35分47.7秒東経135度50分14.1秒﻿ / ﻿北緯34.596583度 東経135.837250度﻿ /34.596583; 135.837250座標:北緯34度35分47.7秒東経135度50分14.1秒﻿ / ﻿北緯34.596583度 東経135.837250度﻿ /34.596583; 135.837250","公式ウェブサイト","ウメ","イチョウ","","","","",""
"安城市","[559愛知県23212安城市86.12,14086.1100.0%2,1400.00.0%] 安城市 （あんじょうし）は、 愛知県 の中部に位置する 市 。","https://ja.wikipedia.org/wiki/安城市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯34度57分31.4秒東経137度4分49.2秒","日本","86.05km2","188,484人（推計人口、2021年5月1日）","2,190人/km2","中部地方、東海地方","愛知県","23212-2","5000020232122","豊田市、岡崎市、西尾市、刈谷市、碧南市、知立市、高浜市","神谷学","〒446-8501愛知県安城市桜町18-23北緯34度57分31.4秒東経137度4分49.2秒﻿ / ﻿北緯34.958722度 東経137.080333度﻿ /34.958722; 137.080333﻿ (安城市)座標:北緯34度57分31.4秒東経137度4分49.2秒﻿ / ﻿北緯34.958722度 東経137.080333度﻿ /34.958722; 137.080333﻿ (安城市)","公式ウェブサイト","サルビア","クロマツ","","","","",""
"船橋市","[560千葉県12204船橋市85.67,27580.894.4%7,7073.54.1%] 船橋市 （ふなばしし）は、 千葉県 の北西部に位置する 市 。 中核市 に指定されている。","https://ja.wikipedia.org/wiki/船橋市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯35度41分40.4秒東経139度58分57.2秒","日本","85.62km2","642,858人（推計人口、2021年6月1日）","7,508人/km2","関東地方","千葉県","12204-1","6000020122041","市川市、習志野市、鎌ケ谷市、白井市、八千代市","松戸徹","〒273-8501千葉県船橋市湊町二丁目10番25号北緯35度41分40.4秒東経139度58分57.2秒﻿ / ﻿北緯35.694556度 東経139.982556度﻿ /35.694556; 139.982556","公式ウェブサイト","ヒマワリ、カザグルマ（2007年（平成19年）制定）","サザンカ","","","","",""
"木津川市","[561京都府26214木津川市85.185650.459.2%1,44632.738.4%] 木津川市 （きづがわし）は、 京都府 の南部に位置する 市 。","https://ja.wikipedia.org/wiki/木津川市","日本の市の面積一覧","https://ja.wikipedia.org/wiki/日本の市の面積一覧","表形式","北緯34度44分13.7秒東経135度49分12.3秒","日本","85.13km2","78,662人（推計人口、2021年6月1日）","924人/km2","近畿地方","京都府","26214-5","4000020262145","京田辺市、相楽郡精華町、和束町、笠置町、綴喜郡井手町奈良県奈良市","河井規子","〒619-0286京都府木津川市木津南垣外110番地9北緯34度44分13.7秒東経135度49分12.3秒﻿ / ﻿北緯34.737139度 東経135.820083度﻿ /34.737139; 135.820083座標:北緯34度44分13.7秒東経135度49分12.3秒﻿ / ﻿北緯34.737139度 東経135.820083度﻿ /34.737139; 135.820083","公式ウェブサイト","コスモス（2007年11月17日制定）","桜（2007年11月17日制定）","","","","",""
