"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","国","種類","管理者","統計年度","発着数","面積","開港","公式サイト","旅客数","貨物取扱量","最高標高","所在海域","海岸線長","所属諸島","都道府県","係留施設数","最高峰","コンテナ数"
"佐木港","[佐木港] 佐木港 （さぎこう）は、 広島県 三原市 鷺浦町須波にあり、 小佐木島 の桟橋と 佐木島 の佐木桟橋（鷺港）、須ノ上桟橋  を含む 港湾 。港湾管理者は広島県。 地方港湾  。","https://ja.wikipedia.org/wiki/佐木港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","広島県三原市鷺浦町","日本","地方港湾","広島県","","","","","","","","","","","","","","",""
"小用港 (江田島市)","[小用港] 小用港 （こようこう）は、 広島県 江田島市 にある 港湾 。港湾管理者は広島県  。 地方港湾  。","https://ja.wikipedia.org/wiki/小用港_(江田島市)","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯34度14分51.4秒東経132度29分34.6秒","広島県江田島市","日本","地方港湾","広島県","","","","","","","","","","","","","","",""
"中田港 (広島県)","[中田港] 中田港 （なかたこう）は、 広島県 江田島市 にある 港湾 。港湾管理者は広島県  。 地方港湾  。","https://ja.wikipedia.org/wiki/中田港_(広島県)","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯34度13分28.9秒東経132度26分25.5秒","広島県江田島市","日本","地方港湾","広島県","","","","","","","","","","","","","","",""
"生口島","[生口港] 生口島 （いくちじま  、いくちしま  ）は、 瀬戸内海 にある 島 。 広島県 尾道市 に属する  。","https://ja.wikipedia.org/wiki/生口島","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯34度17分15.2秒東経133度6分28.6秒","日本広島県尾道市","","","","","","31.21km²","","","","","472.3m","瀬戸内海","","芸予諸島","","","観音山",""
"三高港","[三高港] 三高港 （みたかこう）は、 広島県 江田島市 沖美町三吉にある 港湾 。港湾管理者は広島県。 地方港湾  。","https://ja.wikipedia.org/wiki/三高港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯34度15分32.37秒東経132度24分27.42秒","広島県江田島市沖美町三吉","日本","地方港湾","広島県","","","","","","","","","","","","","","",""
"須波港","[須波港] 須波港 （すなみこう）は、 広島県 三原市 須波、須波西にある 港湾 。港湾管理者は広島県。 地方港湾  。","https://ja.wikipedia.org/wiki/須波港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯34度21分36.1秒東経133度5分0.2秒","広島県三原市須波","日本","地方港湾","広島県","","","","","","","","","","","","","","",""
"安芸津港","[安芸津港] 安芸津港 （あきつこう）は、 広島県 東広島市 安芸津町 にある 港湾 。港湾管理者は東広島市。 地方港湾  。","https://ja.wikipedia.org/wiki/安芸津港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯34度19分0.7秒東経132度49分5.6秒","広島県東広島市","日本","地方港湾","東広島市","","","","1951年","","","","","","","","","","",""
"阿伏兎港 (存在しないページ)","[阿伏兎港]","https://ja.wikipedia.org/w/index.php?title=阿伏兎港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"福田港 (広島県) (存在しないページ)","[福田港]","https://ja.wikipedia.org/w/index.php?title=福田港_(広島県)&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"椋浦港 (存在しないページ)","[椋浦港]","https://ja.wikipedia.org/w/index.php?title=椋浦港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"小用港 (呉市)","[小用港] 小用港 （こようこう）は、 広島県 呉市 川尻町小用にある 港湾 。港湾管理者は呉市。 地方港湾  。","https://ja.wikipedia.org/wiki/小用港_(呉市)","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯34度14分26.2秒東経132度43分9.4秒","広島県呉市川尻町小用","日本","地方港湾","呉市","","","","","","","","","","","","","","",""
"吉悪港 (存在しないページ)","[吉悪港]","https://ja.wikipedia.org/w/index.php?title=吉悪港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"波多見港 (存在しないページ)","[波多見港]","https://ja.wikipedia.org/w/index.php?title=波多見港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"奥の内港 (存在しないページ)","[奥の内港]","https://ja.wikipedia.org/w/index.php?title=奥の内港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"袋の内港 (存在しないページ)","[袋の内港]","https://ja.wikipedia.org/w/index.php?title=袋の内港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"大迫港 (存在しないページ)","[大迫港]","https://ja.wikipedia.org/w/index.php?title=大迫港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"大須港","[大須港] 大須港 （おおずこう）は、 広島県 江田島市 大須にある 港湾 。港湾管理者は江田島市。 地方港湾  。","https://ja.wikipedia.org/wiki/大須港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯34度17分11秒東経132度26分14秒","広島県江田島市大須","日本","地方港湾","江田島市","","","","","","","","","","","","","","",""
"鷲部矢の浦港 (存在しないページ)","[鷲部矢の浦港]","https://ja.wikipedia.org/w/index.php?title=鷲部矢の浦港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"津久茂港 (存在しないページ)","[津久茂港]","https://ja.wikipedia.org/w/index.php?title=津久茂港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"内海港 (存在しないページ)","[内海港]","https://ja.wikipedia.org/w/index.php?title=内海港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"鹿田港 (存在しないページ)","[鹿田港]","https://ja.wikipedia.org/w/index.php?title=鹿田港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"節を編集: 山口県","[編集] 日本の港湾一覧 （にほんのこうわんいちらん）は、 日本 の 港湾 の 一覧 である。","https://ja.wikipedia.org/w/index.php?title=日本の港湾一覧&amp;action=edit&amp;section=30","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"下関港","[下関港] 下関港 （しものせきこう）は、 山口県 下関市 にある 国際拠点港湾 。 北九州港 と共に 関門港 の一部をなす。港湾管理者は下関市  。 中枢国際港湾 11港の一つであり、 日本海 側拠点港湾の指定に加えて、日本海側拠点港19港のうちの総合的拠点港湾5港の一つ  にも指定されている。","https://ja.wikipedia.org/wiki/下関港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯33度57分28.4秒東経130度56分28.8秒","山口県下関市","日本","国際拠点港湾","下関市","2019年","34,184隻","","1875年","下関市港湾局","3,967,346人","5,489,944 トン","","","","","","","","45,895 TEU"
"徳山下松港","[徳山下松港] 徳山下松港 （とくやまくだまつこう）は、 山口県 周南市 ・ 下松市 ・ 光市 にわたる 港湾 である。港湾管理者は山口県。 港湾法 上の 国際拠点港湾 、 港則法 上の 特定港 に指定されている。 瀬戸内工業地域 の一角である周南 コンビナート 地帯や周辺の工場群と各地を結ぶ拠点港湾として機能している。","https://ja.wikipedia.org/wiki/徳山下松港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","山口県周南市・下松市・光市","日本","国際拠点港湾","山口県","2010年度","","","","","","52,820,000トン","","","","","","","","127,227個"
"岩国港","[岩国港] 岩国港 （いわくにこう）は、 山口県 岩国市 と 玖珂郡 和木町 にまたがる位置にある 港湾 。港湾管理者は山口県であり、 港湾法 上の 重要港湾 に指定されている  。2010年8月には、重要港湾のうち国が重点的に事業をすすめる 重点港湾 に選定された。また、 港則法 上の 特定港 にも指定されている。","https://ja.wikipedia.org/wiki/岩国港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"三田尻中関港","[三田尻中関港] 三田尻中関港 （みたじりなかのせきこう）は、 山口県 防府市 にある山口県管理の 港湾 。隣接する三田尻港と中関港を総称して呼ばれる。 港湾法 上の 重要港湾 、 港則法 上の 特定港 に指定されている。","https://ja.wikipedia.org/wiki/三田尻中関港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","山口県防府市","日本","重要港湾","山口県","2009年度","","","","","","5,870,000トン","","","","","","","","52,920個"
"宇部港","[宇部港] 宇部港 （うべこう）は、 山口県 宇部市 に位置する 重要港湾 。港湾管理者は山口県。 港湾法 上の 重要港湾 、 港則法 上の 特定港 に指定されている。","https://ja.wikipedia.org/wiki/宇部港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"小野田港 (存在しないページ)","[小野田港]","https://ja.wikipedia.org/w/index.php?title=小野田港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"柳井港","[柳井港] 柳井港 （やないこう）は、 山口県 柳井市 柳井にある 地方港湾 。港湾管理者は山口県  。 港則法 による 特定港 に指定されている。","https://ja.wikipedia.org/wiki/柳井港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯33度57分24.9秒東経132度8分0.3秒","山口県柳井市","日本","地方港湾","山口県","","","","","","","","","","","","","","",""
"久賀港 (存在しないページ)","[久賀港]","https://ja.wikipedia.org/w/index.php?title=久賀港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"安下庄港 (存在しないページ)","[安下庄港]","https://ja.wikipedia.org/w/index.php?title=安下庄港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"小松港 (存在しないページ)","[小松港]","https://ja.wikipedia.org/w/index.php?title=小松港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"室津 (上関町)","[室津港] 室津 （むろつ）は、 山口県 熊毛郡 上関町 の 大字 。 2014年 1月末現在の 人口 は1,032人  。 郵便番号 は742-1403（上関郵便局管区）。本項ではかつて同区域に存在した 室津村 （むろつむら）についても述べる。","https://ja.wikipedia.org/wiki/室津_(上関町)","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯33度50分4.7秒 東経132度7分2.9秒","","日本","","","","","","","","","","","","","","山口県","","",""
"厚狭港 (存在しないページ)","[厚狭港]","https://ja.wikipedia.org/w/index.php?title=厚狭港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"特牛港 (存在しないページ)","[特牛港]","https://ja.wikipedia.org/w/index.php?title=特牛港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"萩港","[萩港] 萩港 （はぎこう）は、 山口県 萩市 にある 港湾 。港湾管理者は山口県。 港湾法 上の 地方港湾 、 港則法 上の 特定港 に指定されている。","https://ja.wikipedia.org/wiki/萩港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯34度26分21.3秒東経131度25分7.7秒","山口県萩市","日本","地方港湾","山口県","2015年度","19,047隻（1,124,921総トン）","","1953年3月","","166,726人","","","","","","","","",""
"由宇港 (存在しないページ)","[由宇港]","https://ja.wikipedia.org/w/index.php?title=由宇港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"大畠港 (存在しないページ)","[大畠港]","https://ja.wikipedia.org/w/index.php?title=大畠港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"伊保田港","[伊保田港] 伊保田港 （いほたこう）は、 山口県 大島郡 周防大島町 伊保田にある 地方港湾 。港湾管理者は山口県。","https://ja.wikipedia.org/wiki/伊保田港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯33度56分41秒 東経132度26分20秒","山口県大島郡周防大島町伊保田","日本","地方港湾","山口県","","","","","","","","","","","","","","",""
"山口港 (存在しないページ)","[山口港]","https://ja.wikipedia.org/w/index.php?title=山口港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"角島","[角島港] 角島 （つのしま）は、 山口県 下関市 豊北町大字角島の 日本海 （ 響灘 ）上にある 島 。山口県の北西端。 北長門海岸国定公園 に含まれる。人口726人（平成27年国勢調査）。","https://ja.wikipedia.org/wiki/角島","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯34度21分14秒東経130度51分33秒","日本・山口県","","","","","","4.1km²","","","","","66m","響灘","17.1km","","","","",""
"油谷港 (存在しないページ)","[油谷港]","https://ja.wikipedia.org/w/index.php?title=油谷港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"平生港 (存在しないページ)","[平生港]","https://ja.wikipedia.org/w/index.php?title=平生港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"丸尾港 (存在しないページ)","[丸尾港]","https://ja.wikipedia.org/w/index.php?title=丸尾港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"白木港 (存在しないページ)","[白木港]","https://ja.wikipedia.org/w/index.php?title=白木港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"沖浦港 (存在しないページ)","[沖浦港]","https://ja.wikipedia.org/w/index.php?title=沖浦港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"柱島","[柱島港] 柱島 （はしらじま）は、 瀬戸内海 西部の 安芸灘 の南西に位置する 柱島群島 の本島であり、北は 倉橋島 、 江田島 、南は 屋代島 とその属島、東は中島をはじめとする 忽那諸島 に囲まれており、これらの島々の中央部に位置している。 山口県 岩国市 に属する。","https://ja.wikipedia.org/wiki/柱島","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯34度1分12秒東経132度24分43秒","日本山口県岩国市","","","","","","3.12km²","","","","","290m","瀬戸内海","","","","","",""
"櫃島","[櫃島港] 櫃島 （ひつしま）は、 山口県 萩市 沖の 日本海 に浮かぶ 島 。","https://ja.wikipedia.org/wiki/櫃島","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯34度31分5.3秒東経131度23分16.4秒","日本山口県萩市","","","","","","0.83km²","","","","","90.1m","日本海","4.0km","","","","",""
"山口東港 (存在しないページ)","[山口東港]","https://ja.wikipedia.org/w/index.php?title=山口東港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"秋穂港 (存在しないページ)","[秋穂港]","https://ja.wikipedia.org/w/index.php?title=秋穂港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"青江港 (存在しないページ)","[青江港]","https://ja.wikipedia.org/w/index.php?title=青江港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"日良居港 (存在しないページ)","[日良居港]","https://ja.wikipedia.org/w/index.php?title=日良居港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"油良港 (存在しないページ)","[油良港]","https://ja.wikipedia.org/w/index.php?title=油良港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"笠佐島","[笠佐港] 笠佐島 （かささじま）は、 山口県 大島郡 周防大島町 の有人 島 で、 屋代島 （周防大島、小松港から西へ約2km）と 柳井市 大畠の間に位置する。","https://ja.wikipedia.org/wiki/笠佐島","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯33度56分37秒東経132度09分58秒","日本(山口県大島郡周防大島町)","","","","","","0.94km²","","","","","115m","瀬戸内海","4.1km","防予諸島(周防大島諸島)","","","高尾山",""
"埴生","[埴生港] 埴生 （はぶ）は、 日本国 山口県 西部の地名。 山陽小野田市 西端部、 下関市 と 宇部市 のほぼ中間に位置し、 周防灘 （ 瀬戸内海 ）に面する。 国道2号 と 国道190号 の結節点であり、 山陽オートレース場 が所在する。","https://ja.wikipedia.org/wiki/埴生","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯34度2分22.04秒 東経131度5分38.1秒","〒757-0012山口県山陽小野田市大字埴生275番地","日本","","","","","24.63km²","","","","","","","","","山口県","","",""
"小串港 (存在しないページ)","[小串港]","https://ja.wikipedia.org/w/index.php?title=小串港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"仙崎","[仙崎港] 太平洋戦争 終戦後、海外邦人がかつての領土から本土へ引き揚げるにあたり、かつて 関釜連絡船 として就航していた 興安丸 が母港として釜山と仙崎・ 博多港 を往復したことから、仙崎港は引き揚げ港として知られることになる。仙崎港で受け入れた引き揚げ者は413,961人で、博多港・ 佐世保港 ・ 舞鶴港 ・ 浦賀港 に次ぐ5番目の人数で、 葫蘆島 、 上海 、 釜山 からの上陸者が多かったという  。逆に朝鮮、台湾など祖国へ帰還する 在日外国人 の送り出し港としての役目も果たしており、送り出し人数339,548人は博多港に次いで2番目に多い人数である。","https://ja.wikipedia.org/wiki/仙崎","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯34度23分30.9秒東経131度11分58.0秒","〒759-4106山口県長門市仙崎1374","日本","","","","","","","","","","","","","","山口県","","",""
"深川港 (存在しないページ)","[深川港]","https://ja.wikipedia.org/w/index.php?title=深川港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"飯井港 (存在しないページ)","[飯井港]","https://ja.wikipedia.org/w/index.php?title=飯井港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"尾島港 (存在しないページ)","[尾島港]","https://ja.wikipedia.org/w/index.php?title=尾島港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"羽島港 (存在しないページ)","[羽島港]","https://ja.wikipedia.org/w/index.php?title=羽島港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"相島 (山口県)","[相島港] 相島 （あいしま）は、 山口県 萩市 に属する島である。66世帯139人が住む(2020年<令和2年>4月1日時点)。","https://ja.wikipedia.org/wiki/相島_(山口県)","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯34度30分27.1秒東経131度16分52.6秒","日本山口県萩市","","","","","","2.48km²","","","","","157.1m","日本海","","","","","",""
"田部港 (存在しないページ)","[田部港]","https://ja.wikipedia.org/w/index.php?title=田部港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"須佐港 (存在しないページ)","[須佐港]","https://ja.wikipedia.org/w/index.php?title=須佐港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"肥島 (山口県)","[肥島港] 肥島 （ひしま）とは、 山口県 萩市 にある無人島である。以前は人が住んでいた。","https://ja.wikipedia.org/wiki/肥島_(山口県)","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","北緯34度29分1.75秒東経131度22分43.58秒","日本","","","","","","0.19km²","","","","","56m","日本海","","","","","",""
"沖浦西港 (存在しないページ)","[沖浦西港]","https://ja.wikipedia.org/w/index.php?title=沖浦西港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"節を編集: 徳島県","[編集] 日本の港湾一覧 （にほんのこうわんいちらん）は、 日本 の 港湾 の 一覧 である。","https://ja.wikipedia.org/w/index.php?title=日本の港湾一覧&amp;action=edit&amp;section=31","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"徳島小松島港","[徳島小松島港] 徳島小松島港 （とくしまこまつしまこう）は、 徳島県 の 徳島市 ・ 小松島市 にわたる 港湾 である。港湾管理者は徳島県。","https://ja.wikipedia.org/wiki/徳島小松島港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","徳島県徳島市、小松島市","日本","","","","","","","","","","","","","","","","",""
"橘町 (阿南市)","[橘港] 橘町 （たちばなちょう）は、 徳島県 阿南市 の 町名 。 2014年 3月31日 現在の 人口 は2,728人、 世帯数 は1,251世帯  。 郵便番号 は〒774-0023。字小勝は〒779-1631。","https://ja.wikipedia.org/wiki/橘町_(阿南市)","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","日本","","","","","","","","","","","","","","徳島県","","",""
"折野港 (存在しないページ)","[折野港]","https://ja.wikipedia.org/w/index.php?title=折野港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"撫養港","[撫養港] 撫養港 （むやこう）は、 徳島県 鳴門市 にある 地方港湾 。港湾管理者は徳島県。 港則法 の適用港である。 統計法 に基づく港湾調査規則では乙種港湾に分類されている。","https://ja.wikipedia.org/wiki/撫養港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","徳島県鳴門市","日本","地方港湾","徳島県","2015年度","252隻（54,713総トン）","1,162 ha","1953年9月","徳島県","","","","","","","","11バース","",""
"今切港 (存在しないページ)","[今切港]","https://ja.wikipedia.org/w/index.php?title=今切港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"富岡町 (阿南市)","[富岡港] 富岡町 （とみおかちょう）は、 徳島県 阿南市 の 町名 。 2014年 3月31日 現在の 人口 は3,355人、 世帯数 は1,555世帯  。 郵便番号 は〒774-0030。","https://ja.wikipedia.org/wiki/富岡町_(阿南市)","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","日本","","","","","","","","","","","","","","徳島県","","",""
"日和佐港 (存在しないページ)","[日和佐港]","https://ja.wikipedia.org/w/index.php?title=日和佐港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"浅川港 (存在しないページ)","[浅川港]","https://ja.wikipedia.org/w/index.php?title=浅川港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"那佐港 (存在しないページ)","[那佐港]","https://ja.wikipedia.org/w/index.php?title=那佐港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"中島港 (存在しないページ)","[中島港]","https://ja.wikipedia.org/w/index.php?title=中島港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"亀浦港","[亀浦港] ","https://ja.wikipedia.org/wiki/亀浦港","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"粟津港 (存在しないページ)","[粟津港]","https://ja.wikipedia.org/w/index.php?title=粟津港&amp;action=edit&amp;redlink=1","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"節を編集: 香川県","[編集] 日本の港湾一覧 （にほんのこうわんいちらん）は、 日本 の 港湾 の 一覧 である。","https://ja.wikipedia.org/w/index.php?title=日本の港湾一覧&amp;action=edit&amp;section=32","日本の港湾一覧","https://ja.wikipedia.org/wiki/日本の港湾一覧","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
