"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","標高","種類","面積","時代","完成","発掘期間","関係考古学者","全長","幅","分類","駐車場","バリアフリー","公式サイト","Hidden","Hidden","Hidden","Hidden","Hidden"
"称名寺貝塚","[称名寺貝塚（横浜市金沢区）] 称名寺貝塚 （しょうみょうじかいづか）または 称名寺貝塚群 （しょうみょうじかいづかぐん）は、 神奈川県 横浜市 金沢区 金沢町 から 寺前 1丁目付近に所在する 縄文時代 後期を中心とする 貝塚 である。この 遺跡 を 標式遺跡 として、縄文時代後期初頭に位置づけられる 縄文土器 の 型式 である「 称名寺式土器 」が設定されたことで知られる。","https://ja.wikipedia.org/wiki/称名寺貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯35度20分31秒 東経139度37分46.8秒","","","","","","","","","","","","","","","","","","",""
"野島貝塚","[野島貝塚（横浜市金沢区）] 野島貝塚 （のじまかいづか）は、 神奈川県 横浜市 金沢区 野島町 の 野島 に所在する 縄文時代 早期（およそ8000年前）の 貝塚 。横浜市指定 史跡  。2021年（令和3年）現在では横浜市内最古の貝塚であり、出土した土器の型式は、ここを 標式遺跡 として「野島式」と命名されている。","https://ja.wikipedia.org/wiki/野島貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯35度19分37.8秒 東経139度38分10.8秒","","","","","","","","","","","","","","","","","","",""
"北川貝塚","[北川貝塚（横浜市都筑区）] 北川貝塚 （きたがわかいづか）は、 神奈川県 横浜市 都筑区 早渕 3丁目30付近にあった、 旧石器時代 から 平安時代 にかけての 複合遺跡 である。","https://ja.wikipedia.org/wiki/北川貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯35度32分58.8秒 東経139度36分12.1秒","神奈川県横浜市都筑区早渕3丁目30","","縄文時代の環状集落・貝塚～平安時代の集落","","","","","","","","","","","","","","","",""
"子母口貝塚","[子母口貝塚（川崎市高津区）] 子母口貝塚 （しぼくちかいづか）は、 神奈川県 川崎市 高津区 子母口 に所在する 貝塚 である。 子母口式土器 の 標式遺跡 となっている。神奈川県指定 史跡 。","https://ja.wikipedia.org/wiki/子母口貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯35度34分21.6秒 東経139度37分42.9秒","","","","","","","","","","","","","","","","","","",""
"堤貝塚","[堤貝塚（茅ヶ崎市）] 堤貝塚 （つつみかいづか）は、 神奈川県 茅ヶ崎市 堤にある、 縄文時代 後期の 貝塚 。","https://ja.wikipedia.org/wiki/堤貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"五領ヶ台貝塚","[五領ヶ台貝塚（平塚市）(国指定史跡)] 五領ヶ台貝塚 （ごりょうがだいかいづか）は、 神奈川県 平塚市 広川にある 貝塚 の 遺跡 。 1972年 （昭和47年）7月29日に、国の 史跡 に指定された   。","https://ja.wikipedia.org/wiki/五領ヶ台貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯35度21分15.5秒 東経139度18分02.5秒","","","","","","","","","","","","","","","","","","",""
"諸磯貝塚","[諸磯貝塚（三浦市）] 諸磯貝塚 （もろいそかいづか）、または 諸磯遺跡 （もろいそいせき）は、 神奈川県 三浦市 三崎町 諸磯字新堀にある 縄文時代 の遺跡。縄文時代前期の 土器 型式 諸磯a,b,c式 の 標式遺跡 である。三崎海食台地から浜諸磯へ至る道路の両脇、標高約30メートルの台地上から北斜面の一部にかけてが 遺跡の範囲 になっている。 1967年 （昭和42年）3月28日付、三浦市指定 史跡 （指定名称は「諸磯遺跡」）  。","https://ja.wikipedia.org/wiki/諸磯貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯35度09分01.0秒 東経139度37分13.5秒","","","","","","","","","","","","","","","","","","",""
"夏島貝塚","[夏島貝塚（横須賀市）(国指定史跡)] 夏島貝塚 （なつしまかいづか）は、 神奈川県 横須賀市 夏島町 に所在する 縄文時代 早期・初期に属する最古級の 貝塚 である。第一貝塚と第二貝塚に分かれ、 1972年 （ 昭和 47年） 1月27日 、島全体が国の 史跡 に指定された。また、出土品についても 1998年 （ 平成 10年）に国の 重要文化財 に指定された。","https://ja.wikipedia.org/wiki/夏島貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯35度19分22秒 東経139度38分58.4秒","","","","","","","","","","","","","","","","","","",""
"茅山貝塚","[茅山貝塚（横須賀市）] 茅山貝塚 （かやまかいづか）は、 神奈川県 横須賀市 にある 縄文時代 早期の 貝塚 。 1954年 （昭和29年）12月3日、神奈川県指定 史跡 に指定された  。広さは、東西20メートル・南北10メートル前後。","https://ja.wikipedia.org/wiki/茅山貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯35度14分02.2秒 東経139度41分35.9秒","","","","","","","","","","","","","","","","","","",""
"刈羽貝塚 (存在しないページ)","[刈羽貝塚（佐渡市）]","https://ja.wikipedia.org/w/index.php?title=刈羽貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"藤塚貝塚 (存在しないページ)","[藤塚貝塚（佐渡市）]","https://ja.wikipedia.org/w/index.php?title=藤塚貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"轟貝塚 (新潟県) (存在しないページ)","[轟貝塚 (新潟県)（新発田市）]","https://ja.wikipedia.org/w/index.php?title=轟貝塚_(新潟県)&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"朝日貝塚","[朝日貝塚（氷見市）] 朝日貝塚は市街地の南西部にあり、遺跡の西側は市域中央を西から東に向かって伸びる朝日山丘陵で東南裾であり、ここから東側の湊川まで緩やかな斜面となる。 1918年 （大正7年）の発見以降数度にわたって発掘調査が行われた。国の 史跡 に指定されている  。 縄文時代 前期から 中世 にわたる複合遺跡であり、貝層の上部と表土からは 弥生土器 や 須恵器 が出土する  。","https://ja.wikipedia.org/wiki/朝日貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯36度50分54.1秒 東経136度59分0.7秒","","","","","","","","","","","","","","","","","","",""
"上山田貝塚","[上山田貝塚（かほく市）] 上山田貝塚 （かみやまだかいづか）は、 石川県 かほく市 上山田にある 縄文時代 中期に属する 貝塚 である。","https://ja.wikipedia.org/wiki/上山田貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯36度43分0.2秒 東経136度43分3.8秒","","","","","","","","","","","","","","","","","","",""
"三引貝塚 (存在しないページ)","[三引貝塚（七尾市）]","https://ja.wikipedia.org/w/index.php?title=三引貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鳥浜貝塚","[鳥浜貝塚（若狭町）] 鳥浜貝塚 （とりはまかいづか）は、 福井県 三方上中郡 若狭町 に所在する 縄文時代 草創期から前期にかけて（今から約12,000〜5,000年前）の集落 遺跡 。保存良好な木製遺物等1376点が国の 重要文化財 に指定  されている。若狭町の 若狭三方縄文博物館 に遺物が展示されている。","https://ja.wikipedia.org/wiki/鳥浜貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯35度33分15.6秒 東経135度54分02.6秒","","","","","","","","","","","","","","","","","","",""
"庭田貝塚 (存在しないページ)","[庭田貝塚(海津市)]","https://ja.wikipedia.org/w/index.php?title=庭田貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"羽沢貝塚 (存在しないページ)","[羽沢貝塚(海津市)]","https://ja.wikipedia.org/w/index.php?title=羽沢貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"蜆塚遺跡","[蜆塚遺跡(浜松市)] 蜆塚遺跡 （しじみづかいせき）は、 静岡県 浜松市 中区 蜆塚 にある 縄文時代 後期から晩期（約3～4千年前）頃の 貝塚 、および集落 遺跡 。国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/蜆塚遺跡","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯34度42分48.8秒東経137度42分11.9秒","静岡県浜松市蜆塚4丁目22番１号","","集落・貝塚","","","","","","","","","","","","","","","",""
"大曲輪貝塚","[大曲輪貝塚（名古屋市瑞穂区）] 昭和 14年（ 1939年 ）、 瑞穂陸上競技場 の建設の際に発見され、昭和16年（ 1941年 ）に国の 史跡 に指定された。昭和55年（ 1980年 ）、競技場の改築の為に旧スタンドを取り壊した際に、その下に遺跡が良好な状態で残存している事が確認され、約2200平方メートルの発掘調査  が行なわれたところ、周辺を含めて 縄文時代 前期から 古墳時代 〜中世の複合遺跡と判明した。 山崎川 の対岸で見つかった下内田貝塚も同じ集落に含まれると考えられている。","https://ja.wikipedia.org/wiki/大曲輪貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯35度7分22.8秒 東経136度56分34.4秒","","","","","","","","","","","","","","","","","","",""
"下内田貝塚 (存在しないページ)","[下内田貝塚（名古屋市瑞穂区）]","https://ja.wikipedia.org/w/index.php?title=下内田貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"上ノ山貝塚 (存在しないページ)","[上ノ山貝塚（名古屋市緑区）]","https://ja.wikipedia.org/w/index.php?title=上ノ山貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大根貝塚 (存在しないページ)","[大根貝塚（名古屋市緑区）]","https://ja.wikipedia.org/w/index.php?title=大根貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鉾ノ木貝塚 (存在しないページ)","[鉾ノ木貝塚（名古屋市緑区）]","https://ja.wikipedia.org/w/index.php?title=鉾ノ木貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"光正寺貝塚 (存在しないページ)","[光正寺貝塚（名古屋市緑区）]","https://ja.wikipedia.org/w/index.php?title=光正寺貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"貝殻山貝塚","[貝殻山貝塚（清須市）] 朝日遺跡 （あさひいせき）は、 愛知県 清須市 ・ 名古屋市 西区 にまたがる  弥生時代 の 東海地方 最大級の 環濠集落 遺跡で、範囲は東西1.4キロメートル、南北0.8キロメートル   。推定面積は80～100万㎡にも及び全国でも有数の規模である  。最盛期の人口は約1,000人であったと推定される  。","https://ja.wikipedia.org/wiki/貝殻山貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯35度13分17.4秒 東経136度51分18秒","","","","","","","","","","","","","","","","","","",""
"検見塚","[検見塚（清須市）] 朝日遺跡 （あさひいせき）は、 愛知県 清須市 ・ 名古屋市 西区 にまたがる  弥生時代 の 東海地方 最大級の 環濠集落 遺跡で、範囲は東西1.4キロメートル、南北0.8キロメートル   。推定面積は80～100万㎡にも及び全国でも有数の規模である  。最盛期の人口は約1,000人であったと推定される  。","https://ja.wikipedia.org/wiki/検見塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯35度13分17.4秒 東経136度51分18秒","","","","","","","","","","","","","","","","","","",""
"桟敷貝塚 (存在しないページ)","[桟敷貝塚（大府市）]","https://ja.wikipedia.org/w/index.php?title=桟敷貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"入海貝塚","[入海貝塚（知多郡東浦町）] 入海貝塚 （いりみかいづか）は、 愛知県 知多郡 東浦町 にある 貝塚 。入海式土器の 標式遺跡 として知られ  、1953年（ 昭和 28年）11月14日に国の 史跡 に指定された  。 入海神社 の 境内 にある。","https://ja.wikipedia.org/wiki/入海貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯34度59分8.0秒 東経136度58分10.5秒","","","","","","","","","","","","","","","","","","",""
"大草北貝塚 (存在しないページ)","[大草北貝塚（知多市）]","https://ja.wikipedia.org/w/index.php?title=大草北貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大草南貝塚 (存在しないページ)","[大草南貝塚（知多市）]","https://ja.wikipedia.org/w/index.php?title=大草南貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"西屋敷貝塚 (存在しないページ)","[西屋敷貝塚（知多市）]","https://ja.wikipedia.org/w/index.php?title=西屋敷貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"二股貝塚 (存在しないページ)","[二股貝塚（知多市）]","https://ja.wikipedia.org/w/index.php?title=二股貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"森西貝塚 (存在しないページ)","[森西貝塚（知多市）]","https://ja.wikipedia.org/w/index.php?title=森西貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"西の宮貝塚 (存在しないページ)","[西の宮貝塚（半田市）]","https://ja.wikipedia.org/w/index.php?title=西の宮貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"石瀬貝塚 (存在しないページ)","[石瀬貝塚（常滑市）]","https://ja.wikipedia.org/w/index.php?title=石瀬貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"先苅貝塚 (存在しないページ)","[先苅貝塚（知多郡南知多町）]","https://ja.wikipedia.org/w/index.php?title=先苅貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"咲畑貝塚 (存在しないページ)","[咲畑貝塚（知多郡南知多町）]","https://ja.wikipedia.org/w/index.php?title=咲畑貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"清水ノ上貝塚 (存在しないページ)","[清水ノ上貝塚（知多郡南知多町）]","https://ja.wikipedia.org/w/index.php?title=清水ノ上貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"神明社貝塚 (存在しないページ)","[神明社貝塚（知多郡南知多町）]","https://ja.wikipedia.org/w/index.php?title=神明社貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"林ノ峰貝塚 (存在しないページ)","[林ノ峰貝塚（知多郡南知多町）]","https://ja.wikipedia.org/w/index.php?title=林ノ峰貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"天子神社貝塚 (存在しないページ)","[天子神社貝塚（刈谷市）]","https://ja.wikipedia.org/w/index.php?title=天子神社貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"本刈谷貝塚 (存在しないページ)","[本刈谷貝塚（刈谷市）]","https://ja.wikipedia.org/w/index.php?title=本刈谷貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"堀内貝塚 (存在しないページ)","[堀内貝塚（安城市）]","https://ja.wikipedia.org/w/index.php?title=堀内貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"枯木宮貝塚 (存在しないページ)","[枯木宮貝塚（西尾市）]","https://ja.wikipedia.org/w/index.php?title=枯木宮貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"八王子貝塚 (存在しないページ)","[八王子貝塚（西尾市）]","https://ja.wikipedia.org/w/index.php?title=八王子貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"平井稲荷山貝塚 (存在しないページ)","[平井稲荷山貝塚（豊川市）]","https://ja.wikipedia.org/w/index.php?title=平井稲荷山貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大蚊里貝塚 (存在しないページ)","[大蚊里貝塚（豊橋市）]","https://ja.wikipedia.org/w/index.php?title=大蚊里貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大西貝塚 (存在しないページ)","[大西貝塚（豊橋市）]","https://ja.wikipedia.org/w/index.php?title=大西貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"吉胡貝塚","[吉胡貝塚（田原市）] 「国指定史跡吉胡貝塚の保存及び活用を図るとともに、郷土に残る文化遺産に関する市民の関心を高め、郷土文化の向上に寄与する  」ことを目的として設置された 史跡公園 で、愛称は『シェルマよしご』   。吉胡貝塚資料館のほか、貝塚平面展示施設・貝塚断面展示施設および体験広場からなる。また、園内には 田原藩 11代藩主 三宅康直 の隠居屋敷であった矢崎御殿跡の石垣が残る。","https://ja.wikipedia.org/wiki/吉胡貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯34度40分55.41秒東経137度16分47.88秒","日本愛知県田原市吉胡町矢崎42番地4","","","20,382m2","","","","","","","史跡公園","資料館16台（大型バス1台）公園12台","身障者対応トイレ（1ヶ所）","吉胡貝塚史跡公園","","","","",""
"伊川津貝塚","[伊川津貝塚（田原市）] 伊川津貝塚 （いかわづかいづか）は、 愛知県 田原市 伊川津町 にある、 縄文時代 後期から晩期にかけての大規模な 貝塚 。","https://ja.wikipedia.org/wiki/伊川津貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯34度38分42.6秒 東経137度8分42.8秒","","","","","","","","","","","","","","","","","","",""
"保美貝塚","[保美貝塚（田原市）] 保美貝塚 （ほびかいづか）は、 愛知県 田原市 保美町 字平城に所在する 貝塚 。","https://ja.wikipedia.org/wiki/保美貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯34度37分32秒 東経137度5分43.2秒","","","","","","","","","","","","","","","","","","",""
"石山貝塚","[石山貝塚（大津市）] 石山貝塚 （いしやまかいづか）は、 滋賀県 大津市 の 石山寺 付近にある 貝塚 。市指定史跡となっている  。","https://ja.wikipedia.org/wiki/石山貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"蛍谷貝塚 (存在しないページ)","[蛍谷貝塚（螢谷貝塚）（大津市）]","https://ja.wikipedia.org/w/index.php?title=蛍谷貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"粟津湖底遺跡","[粟津湖底遺跡第1 - 3貝塚（大津市）] 粟津湖底遺跡 （あわづこていいせき）は、 滋賀県 大津市 晴嵐沖の 琵琶湖 湖底にある 縄文時代 の遺跡。","https://ja.wikipedia.org/wiki/粟津湖底遺跡","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"日下貝塚","[日下貝塚（東大阪市）] この記事には 複数の問題があります 。 改善 や ノートページ での議論にご協力ください。","https://ja.wikipedia.org/wiki/日下貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯34度41分31.7秒 東経135度38分53.9秒","","","","","","","","","","","","","","","","","","",""
"日笠山貝塚 (存在しないページ)","[日笠山貝塚（高砂市）]","https://ja.wikipedia.org/w/index.php?title=日笠山貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"中谷貝塚","[中谷貝塚（豊岡市）] 中谷貝塚 （なかのたにかいづか）は、 兵庫県 豊岡市 中谷にある 縄文時代 の 貝塚 遺跡。 但馬地方 を代表する貝塚の一つで、県の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/中谷貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯35度31分51.4秒 東経134度51分09.9秒","","","","","","","","","","","","","","","","","","",""
"佐太講武貝塚 (存在しないページ)","[佐太講武貝塚]","https://ja.wikipedia.org/w/index.php?title=佐太講武貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"朝寝鼻貝塚 (存在しないページ)","[朝寝鼻貝塚（岡山市）]","https://ja.wikipedia.org/w/index.php?title=朝寝鼻貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"彦崎貝塚","[彦崎貝塚（岡山市）] 彦崎貝塚 （ひこざきかいづか）は、 岡山県 岡山市 南区彦崎にある 貝塚 遺跡。2008年（平成20年）3月28日に 国史跡 に指定された。","https://ja.wikipedia.org/wiki/彦崎貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯34度32分58秒 東経133度50分07秒","","","","","","","","","","","","","","","","","","",""
"津雲貝塚","[津雲貝塚（笠岡市）] 津雲貝塚 （つくもかいづか）は、 岡山県 笠岡市 西大島に所在する 縄文時代 晩期の 貝塚 遺跡 。 国史跡 。","https://ja.wikipedia.org/wiki/津雲貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯34度29分4.2秒 東経133度31分59.8秒","","","","","","","","","","","","","","","","","","",""
"黄島貝塚","[黄島貝塚（瀬戸内市）] 黄島貝塚 （きしまかいづか）は、 瀬戸内海 の 黄島 （ 岡山県 瀬戸内市 ）にある 縄文時代 早期の 貝塚  。","https://ja.wikipedia.org/wiki/黄島貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"門田貝塚","[門田貝塚（瀬戸内市）] 本貝塚は、 吉井川 東岸に位置し、吉井川の形成した 自然堤防 上にある。 1933年 （ 昭和 8年）地元の郷土史家・長瀬薫により確認された。1950年（昭和25年）以来、研究者による 発掘調査 が行われていた。 1962年 （昭和37年）より 邑久町 教育委員会による調査が行われ、 1966年 （昭和41年）には岡山県教育委員会による発掘調査が行われた。","https://ja.wikipedia.org/wiki/門田貝塚","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","北緯34度40分0.4秒 東経134度5分40.7秒","","","","","","","","","","","","","","","","","","",""
"洗谷貝塚 (存在しないページ)","[洗谷貝塚（福山市）]","https://ja.wikipedia.org/w/index.php?title=洗谷貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"北迫貝塚 (存在しないページ)","[北迫貝塚]","https://ja.wikipedia.org/w/index.php?title=北迫貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"潮待貝塚 (存在しないページ)","[潮待貝塚]","https://ja.wikipedia.org/w/index.php?title=潮待貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"礼田崎貝塚 (存在しないページ)","[礼田崎貝塚（土庄町）]","https://ja.wikipedia.org/w/index.php?title=礼田崎貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"小蔦島貝塚 (存在しないページ)","[小蔦島貝塚（三豊市）]","https://ja.wikipedia.org/w/index.php?title=小蔦島貝塚&amp;action=edit&amp;redlink=1","日本の貝塚一覧","https://ja.wikipedia.org/wiki/日本の貝塚一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
