"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","ホーム","所在地","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","外部リンク","位置","種類","略称","本社所在地"
"船町駅","船町駅（ふなまちえき）","https://ja.wikipedia.org/wiki/船町駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯34度46分33秒東経137度22分26秒","CD飯田線","1.5 km（豊橋起点）","東海旅客鉄道（JR東海）","地上駅（盛土上）","1927年（昭和2年）6月1日","1面2線","愛知県豊橋市北島町字口戸北緯34度46分33秒東経137度22分26秒﻿ / ﻿北緯34.77583度 東経137.37389度﻿ /34.77583; 137.37389座標:北緯34度46分33秒東経137度22分26秒﻿ / ﻿北緯34.77583度 東経137.37389度﻿ /34.77583; 137.37389","駅員無配置駅*1943年に新船町停留場から改称。","CD  01 ","フナ","260人/日（降車客含まず）-2019年-","","","","","","","",""
"船町口駅","船町口駅（ふなまちぐちえき）","https://ja.wikipedia.org/wiki/船町口駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度3分49秒東経135度0分35.4秒","I加古川線","43.8 km（加古川起点）","西日本旅客鉄道（JR西日本）","地上駅","1924年（大正13年）12月27日","1面1線","兵庫県西脇市黒田庄町船町字川東656北緯35度3分49秒東経135度0分35.4秒﻿ / ﻿北緯35.06361度 東経135.009833度﻿ /35.06361; 135.009833﻿ (船町口駅)","無人駅","","フナ[要出典]","5人/日（降車客含まず）-2019年-","","","","","","","",""
"船見町駅","船見町駅（ふなみちょうえき・休止中）","https://ja.wikipedia.org/wiki/船見町駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度4分33秒東経136度53分56.7秒","汐見町線","0.9 km（東港起点）","名古屋臨海鉄道","地上駅","1965年（昭和40年）8月20日","","愛知県名古屋市港区船見町北緯35度4分33秒東経136度53分56.7秒座標:北緯35度4分33秒 東経136度53分56.7秒","貨物専用駅（休止中）","","","","","","","","","","",""
"船引駅","船引駅（ふねひきえき）","https://ja.wikipedia.org/wiki/船引駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯37度26分34.5秒東経140度34分28.4秒","■磐越東線","62.5 km（いわき起点）","東日本旅客鉄道（JR東日本）","地上駅","1915年（大正4年）3月21日[1]","1面2線[1]","福島県田村市船引町船引字上田中4[1]北緯37度26分34.5秒東経140度34分28.4秒座標:北緯37度26分34.5秒 東経140度34分28.4秒","業務委託駅みどりの窓口有[1]","","フヒ","774人/日（降車客含まず）-2019年-","","","","","","","",""
"分倍河原駅","分倍河原駅（ぶばいがわらえき）","https://ja.wikipedia.org/wiki/分倍河原駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","","","","京王電鉄（京王・駅詳細）東日本旅客鉄道（JR東日本・駅詳細）","","","","東京都府中市片町二丁目21-18","共同使用駅（京王電鉄の管轄駅）","","","","","","","","","","",""
"文挟駅","文挟駅（ふばさみえき）","https://ja.wikipedia.org/wiki/文挟駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯36度38分13.95秒東経139度43分40.99秒","■日光線","22.4 km（宇都宮起点）","東日本旅客鉄道（JR東日本）","地上駅","1890年（明治23年）6月1日","2面2線","栃木県日光市小倉885北緯36度38分13.95秒東経139度43分40.99秒﻿ / ﻿北緯36.6372083度 東経139.7280528度﻿ /36.6372083; 139.7280528座標:北緯36度38分13.95秒東経139度43分40.99秒﻿ / ﻿北緯36.6372083度 東経139.7280528度﻿ /36.6372083; 139.7280528","無人駅（乗車駅証明書発行機 有）","","フハ","","","","","","","","",""
"文の里駅","文の里駅（ふみのさとえき）","https://ja.wikipedia.org/wiki/文の里駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯34度38分9.74秒東経135度31分4.88秒","●谷町線","19.5 km（大日起点）","大阪市高速電気軌道(Osaka Metro)","地下駅","1980年（昭和55年）11月27日","1面2線","大阪市阿倍野区昭和町一丁目北緯34度38分9.74秒東経135度31分4.88秒﻿ / ﻿北緯34.6360389度 東経135.5180222度﻿ /34.6360389; 135.5180222﻿ (文の里駅)",""," T29 ","","5,020人/日（降車客含まず）-2020年-","9,860人/日-2020年-","","","","","","",""
"府屋駅","府屋駅（ふやえき）","https://ja.wikipedia.org/wiki/府屋駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯38度30分50.59秒東経139度31分52.49秒","■羽越本線","95.9 km（新津起点）","東日本旅客鉄道（JR東日本）","地上駅","1924年（大正13年）7月31日","2面3線","新潟県村上市府屋北緯38度30分50.59秒東経139度31分52.49秒座標:北緯38度30分50.59秒 東経139度31分52.49秒","業務委託駅みどりの窓口有","","フヤ","81人/日（降車客含まず）-2019年-","","","","","","","",""
"富良野駅","富良野駅（ふらのえき）","https://ja.wikipedia.org/wiki/富良野駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯43度20分48.74秒東経142度23分28.61秒","■根室本線","54.6 km（滝川起点）","北海道旅客鉄道（JR北海道）日本貨物鉄道（JR貨物）","地上駅","1900年（明治33年）8月1日","2面4線","北海道富良野市日の出町1北緯43度20分48.74秒東経142度23分28.61秒座標:北緯43度20分48.74秒 東経142度23分28.61秒","直営駅（管理駅）みどりの窓口有","○T30","ラノ","596人/日（降車客含まず）-2019年-","","","","","","","",""
"フラワータウン駅","フラワータウン駅","https://ja.wikipedia.org/wiki/フラワータウン駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯34度53分7.86秒東経135度12分8.37秒","公園都市線","2.3km（横山起点）三田から4.3 km","神戸電鉄","地上駅[1]","1991年（平成3年）10月28日[1][3]","1面2線[1]","兵庫県三田市弥生が丘1丁目11[1]北緯34度53分7.86秒東経135度12分8.37秒﻿ / ﻿北緯34.8855167度 東経135.2023250度﻿ /34.8855167; 135.2023250座標:北緯34度53分7.86秒東経135度12分8.37秒﻿ / ﻿北緯34.8855167度 東経135.2023250度﻿ /34.8855167; 135.2023250","無人駅[1]（駅員が居る時間もある）","○KB31","","2,693人/日（降車客含まず）-2019年-","4,357[2]人/日-2019年-","","","","","","",""
"古市駅 (大阪府)","古市駅 (大阪府)（ふるいちえき・近鉄南大阪線・長野線）","https://ja.wikipedia.org/wiki/古市駅_(大阪府)","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯34度33分12.87秒東経135度36分31.91秒","F南大阪線","18.3 km（大阪阿部野橋起点）","近畿日本鉄道（近鉄）","地上駅（橋上駅）","1898年（明治31年）3月24日","2面4線","大阪府羽曳野市古市一丁目1-22北緯34度33分12.87秒東経135度36分31.91秒﻿ / ﻿北緯34.5535750度 東経135.6088639度﻿ /34.5535750; 135.6088639﻿ (古市駅)座標:北緯34度33分12.87秒東経135度36分31.91秒﻿ / ﻿北緯34.5535750度 東経135.6088639度﻿ /34.5535750; 135.6088639﻿ (古市駅)","* 南大阪線大阪阿部野橋方面へ直通"," F16 ","フル","","（特定日）20,937人/日-2018年-","","","","","","",""
"古市駅 (兵庫県)","古市駅 (兵庫県)（ふるいちえき・西日本旅客鉄道福知山線）","https://ja.wikipedia.org/wiki/古市駅_(兵庫県)","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度1分18.94秒東経135度9分18.54秒","G福知山線（JR宝塚線）","53.5km（尼崎起点）大阪から61.2 km","西日本旅客鉄道（JR西日本）","地上駅[1]","1899年（明治32年）3月25日[1]","2面2線[1]","兵庫県丹波篠山市古市字北側199-1[1]北緯35度1分18.94秒東経135度9分18.54秒﻿ / ﻿北緯35.0219278度 東経135.1551500度﻿ /35.0219278; 135.1551500座標:北緯35度1分18.94秒東経135度9分18.54秒﻿ / ﻿北緯35.0219278度 東経135.1551500度﻿ /35.0219278; 135.1551500","無人駅（自動券売機 有）[1]","JR-G67","フル","197人/日（降車客含まず）-2016年-","","","","","","","",""
"古市駅 (広島県)","古市駅 (広島県)（ふるいちえき・広島高速交通広島新交通1号線）","https://ja.wikipedia.org/wiki/古市駅_(広島県)","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯34度27分27.57秒東経132度28分31.05秒","広島新交通1号線","7.8 km（本通起点）","広島高速交通","高架駅","1994年（平成6年）8月20日[1]","1面2線","広島市安佐南区中須一丁目1-16北緯34度27分27.57秒東経132度28分31.05秒﻿ / ﻿北緯34.4576583度 東経132.4752917度﻿ /34.4576583; 132.4752917﻿ (古市駅)座標:北緯34度27分27.57秒東経132度28分31.05秒﻿ / ﻿北緯34.4576583度 東経132.4752917度﻿ /34.4576583; 132.4752917﻿ (古市駅)","業務委託駅","","","2,153人/日（降車客含まず）-2018年-","4,082人/日-2018年-","","","","","","",""
"古市橋駅","古市橋駅（ふるいちばしえき）","https://ja.wikipedia.org/wiki/古市橋駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯34度27分3.43秒東経132度28分5.91秒","B可部線","5.3km（横川起点）広島から8.3 km","西日本旅客鉄道（JR西日本）","地上駅","1910年（明治43年）11月19日","2面2線","広島市安佐南区古市三丁目31-1北緯34度27分3.43秒東経132度28分5.91秒﻿ / ﻿北緯34.4509528度 東経132.4683083度﻿ /34.4509528; 132.4683083座標:北緯34度27分3.43秒東経132度28分5.91秒﻿ / ﻿北緯34.4509528度 東経132.4683083度﻿ /34.4509528; 132.4683083","業務委託駅みどりの窓口有広島市内駅","JR-B07","フイ","1,849人/日（降車客含まず）-2019年-","","","","","","","",""
"フルーツパーク駅","フルーツパーク駅","https://ja.wikipedia.org/wiki/フルーツパーク駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯34度50分04秒東経137度43分56秒","天竜浜名湖線","36.2 km（掛川起点）","天竜浜名湖鉄道","地上駅","1996年（平成8年）3月18日[1]","1面1線","浜松市北区都田町4072-25北緯34度50分04秒東経137度43分56秒﻿ / ﻿北緯34.83444度 東経137.73222度﻿ /34.83444; 137.73222座標:北緯34度50分04秒東経137度43分56秒﻿ / ﻿北緯34.83444度 東経137.73222度﻿ /34.83444; 137.73222","","","","11人/日（降車客含まず）-2018年-","","","","","","","",""
"古江駅","古江駅（ふるええき）","https://ja.wikipedia.org/wiki/古江駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯34度23分10.4秒東経132度24分40.53秒","■宮島線","2.1 km（広電西広島起点）","広島電鉄","地上駅","1922年（大正11年）8月22日","2面2線","広島市西区古江新町4-26[1]北緯34度23分10.4秒東経132度24分40.53秒﻿ / ﻿北緯34.386222度 東経132.4112583度﻿ /34.386222; 132.4112583﻿ (古江駅)座標:北緯34度23分10.4秒東経132度24分40.53秒﻿ / ﻿北緯34.386222度 東経132.4112583度﻿ /34.386222; 132.4112583﻿ (古江駅)","1日当たりの乗車人員は、年間乗車人員を日数で除することで算出した参考値","●M22","","2,587人/日（降車客含まず）-2019年-","","","","","","","",""
"古川駅","古川駅（ふるかわえき）","https://ja.wikipedia.org/wiki/古川駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯38度34分14秒東経140度58分3.9秒","東北新幹線","395.0 km（東京起点）","東日本旅客鉄道（JR東日本）","高架駅（新幹線）地上駅（在来線）","1913年（大正2年）4月20日[1][新聞 1]","2面2線（新幹線）1面2線（在来線）","宮城県大崎市古川駅前大通一丁目7-35北緯38度34分14秒東経140度58分3.9秒座標:北緯38度34分14秒 東経140度58分3.9秒","直営駅（管理駅）みどりの窓口有","","フル","4,704人/日（降車客含まず）-2019年-","","","","","","","",""
"古川橋駅","古川橋駅（ふるかわばしえき）","https://ja.wikipedia.org/wiki/古川橋駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯34度44分24.06秒東経135度35分28.80秒","■京阪本線","10.8 km（淀屋橋起点）","京阪電気鉄道","高架駅","1910年（明治43年）4月15日","2面2線*","大阪府門真市末広町482番地北緯34度44分24.06秒東経135度35分28.80秒﻿ / ﻿北緯34.7400167度 東経135.5913333度﻿ /34.7400167; 135.5913333﻿ (古川橋駅)座標:北緯34度44分24.06秒東経135度35分28.80秒﻿ / ﻿北緯34.7400167度 東経135.5913333度﻿ /34.7400167; 135.5913333﻿ (古川橋駅)","* この間に通過線2本あり","KH  14","古（駅名略称方式）","","21,929人/日-2019年-","","","","","","",""
"古口駅","古口駅（ふるくちえき）","https://ja.wikipedia.org/wiki/古口駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯38度44分14秒東経140度8分43.3秒","■陸羽西線","17.0 km（新庄起点）","東日本旅客鉄道（JR東日本）","地上駅","1913年（大正2年）12月7日","1面2線","山形県最上郡戸沢村大字古口256北緯38度44分14秒東経140度8分43.3秒座標:北緯38度44分14秒 東経140度8分43.3秒","簡易委託駅","","ルチ","32人/日（降車客含まず）-2019年-","","","","","","","",""
"古国府駅","古国府駅（ふるごうえき）","https://ja.wikipedia.org/wiki/古国府駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯33度13分14.4秒東経131度36分27.7秒","■久大本線","138.9 km（久留米起点）","九州旅客鉄道（JR九州）","地上駅","1988年（昭和63年）3月13日[3]","1面1線[2]","大分県大分市古国府3丁目5番1号[1]北緯33度13分14.4秒東経131度36分27.7秒﻿ / ﻿北緯33.220667度 東経131.607694度﻿ /33.220667; 131.607694﻿ (古国府駅)座標:北緯33度13分14.4秒東経131度36分27.7秒﻿ / ﻿北緯33.220667度 東経131.607694度﻿ /33.220667; 131.607694﻿ (古国府駅)","無人駅（自動券売機 有）[4]","","フル","482人/日（降車客含まず）-2019年-","","","","","","","",""
"ふるさと公園駅","ふるさと公園駅（ふるさとこうえんえき）","https://ja.wikipedia.org/wiki/ふるさと公園駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","","会津線","32.5 km（西若松起点）","会津鉄道","地上駅","2002年（平成14年）8月29日[1]","1面1線","","","","フル","14人/日（降車客含まず）-2015年-","","","","","","","",""
"古山駅","古山駅（ふるさんえき）","https://ja.wikipedia.org/wiki/古山駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯42度58分30.92秒東経141度47分38.28秒","室蘭本線","182.2 km（長万部起点）","北海道旅客鉄道（JR北海道）","地上駅","1943年（昭和18年）9月25日","2面2線","北海道夕張郡由仁町古山北緯42度58分30.92秒東経141度47分38.28秒﻿ / ﻿北緯42.9752556度 東経141.7939667度﻿ /42.9752556; 141.7939667﻿ (古山駅)","無人駅","","フサ","","28人/日-2014年-","","","","","","",""
"古島駅","古島駅（ふるじまえき）","https://ja.wikipedia.org/wiki/古島駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯26度13分51.06秒東経127度42分10.96秒","■沖縄都市モノレール線（ゆいレール）","10.0 km（那覇空港起点）","沖縄都市モノレール","高架駅","2003年（平成15年）8月10日[1][2]","2面2線","沖縄県那覇市字古島93-1北緯26度13分51.06秒東経127度42分10.96秒﻿ / ﻿北緯26.2308500度 東経127.7030444度﻿ /26.2308500; 127.7030444座標:北緯26度13分51.06秒東経127度42分10.96秒﻿ / ﻿北緯26.2308500度 東経127.7030444度﻿ /26.2308500; 127.7030444","","12","","1,802人/日（降車客含まず）-2020年-","","","","","","","",""
"古庄駅","古庄駅（ふるしょうえき）","https://ja.wikipedia.org/wiki/古庄駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯34度59分33.77秒東経138度25分9.46秒","S静岡清水線","3.8 km（新静岡起点）","静岡鉄道","地上駅","1908年（明治41年）12月9日","相対式 2面2線","静岡市葵区古庄三丁目20番36号北緯34度59分33.77秒東経138度25分9.46秒﻿ / ﻿北緯34.9927139度 東経138.4192944度﻿ /34.9927139; 138.4192944座標:北緯34度59分33.77秒東経138度25分9.46秒﻿ / ﻿北緯34.9927139度 東経138.4192944度﻿ /34.9927139; 138.4192944","","S 07","","1,798人/日（降車客含まず）-2018年-","3,604人/日-2018年-","","","","","","",""
"古高松駅","古高松駅（ふるたかまつえき）","https://ja.wikipedia.org/wiki/古高松駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯34度20分27秒東経134度6分44.9秒","■志度線","5.7 km（瓦町起点）","高松琴平電気鉄道","地上駅","1911年（明治44年）11月18日","1面1線","香川県高松市高松町字角屋3004番地3北緯34度20分27秒東経134度6分44.9秒﻿ / ﻿北緯34.34083度 東経134.112472度﻿ /34.34083; 134.112472座標:北緯34度20分27秒東経134度6分44.9秒﻿ / ﻿北緯34.34083度 東経134.112472度﻿ /34.34083; 134.112472","無人駅"," S07 ","","","","","","","","","",""
"古高松南駅","古高松南駅（ふるたかまつみなみえき）","https://ja.wikipedia.org/wiki/古高松南駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","","■高徳線","10.8 km（高松起点）","四国旅客鉄道（JR四国）","地上駅","1986年（昭和61年）11月1日","1面1線","","無人駅","○T22","フル","243人/日（降車客含まず）-2018年-","486人/日-2018年-","","","","","","",""
"古館駅","古館駅（ふるだてえき）","https://ja.wikipedia.org/wiki/古館駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯39度34分51.28秒東経141度9分16.65秒","■東北本線","521.5 km（東京起点）","東日本旅客鉄道（JR東日本）","地上駅","1949年（昭和24年）3月1日[2]","2面2線[1]","岩手県紫波郡紫波町中島字落合60北緯39度34分51.28秒東経141度9分16.65秒座標:北緯39度34分51.28秒 東経141度9分16.65秒","業務委託駅","","ルタ","694人/日（降車客含まず）-2019年-","","","","","","","",""
"古津駅","古津駅（ふるつえき）","https://ja.wikipedia.org/wiki/古津駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯37度46分22.1秒東経139度6分52.4秒","■信越本線","117.9 km（直江津起点）","東日本旅客鉄道（JR東日本）","地上駅","1949年（昭和24年）5月28日[1]*","2面2線[1]","新潟市秋葉区朝日[1]北緯37度46分22.1秒東経139度6分52.4秒﻿ / ﻿北緯37.772806度 東経139.114556度﻿ /37.772806; 139.114556座標:北緯37度46分22.1秒東経139度6分52.4秒﻿ / ﻿北緯37.772806度 東経139.114556度﻿ /37.772806; 139.114556","無人駅[1]（自動券売機 有）","","フツ","","","","","","","","",""
"古間駅","古間駅（ふるまえき）","https://ja.wikipedia.org/wiki/古間駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯36度47分31.82秒東経138度13分49.53秒","■北しなの線","25.1 km（長野起点）","しなの鉄道","地上駅[3]","1928年（昭和3年）12月23日[1][2]","1面1線[1][2]","長野県上水内郡信濃町大字富濃409[1][2][3]北緯36度47分31.82秒東経138度13分49.53秒﻿ / ﻿北緯36.7921722度 東経138.2304250度﻿ /36.7921722; 138.2304250座標:北緯36度47分31.82秒東経138度13分49.53秒﻿ / ﻿北緯36.7921722度 東経138.2304250度﻿ /36.7921722; 138.2304250","無人駅標高：633.2m","","ルマ[1]","144人/日（降車客含まず）-2018年-","","","","","","","",""
"ふれあい生力駅","ふれあい生力駅（ふれあいしょうりきえき）","https://ja.wikipedia.org/wiki/ふれあい生力駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯33度42分0.35秒東経130度45分56.47秒","■伊田線","7.6 km（直方起点）","■平成筑豊鉄道","地上駅","1997年（平成9年）3月22日","2面2線","福岡県田川郡福智町赤池1026-2北緯33度42分0.35秒東経130度45分56.47秒","無人駅","HC7","","","263人/日-2006年-","","","","","","",""
"妙見の森リフト","ふれあい広場駅（ふれあいひろばえき）","https://ja.wikipedia.org/wiki/妙見の森リフト","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"不破一色駅","不破一色駅（ふわいしきえき）","https://ja.wikipedia.org/wiki/不破一色駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯35度19分58秒東経136度43分18秒","竹鼻線","7.0 km（笠松起点）","名古屋鉄道","地上駅","1921年（大正10年）6月25日","1面1線","岐阜県羽島市正木町須賀2221-5北緯35度19分58秒東経136度43分18秒﻿ / ﻿北緯35.33278度 東経136.72167度﻿ /35.33278; 136.72167座標:北緯35度19分58秒東経136度43分18秒﻿ / ﻿北緯35.33278度 東経136.72167度﻿ /35.33278; 136.72167","無人駅（駅集中管理システム導入駅）","TH  05 ","","","1,262人/日-2019年-","","","","","","",""
"文化の森駅","文化の森駅（ぶんかのもりえき）","https://ja.wikipedia.org/wiki/文化の森駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯34度2分38.39秒東経134度32分35.05秒","■牟岐線","3.9 km（徳島起点）","四国旅客鉄道（JR四国）","地上駅（盛土上）[1]","1990年（平成2年）11月3日[1]","1面1線","徳島県徳島市八万町二丈[1]北緯34度2分38.39秒東経134度32分35.05秒﻿ / ﻿北緯34.0439972度 東経134.5430694度﻿ /34.0439972; 134.5430694座標:北緯34度2分38.39秒東経134度32分35.05秒﻿ / ﻿北緯34.0439972度 東経134.5430694度﻿ /34.0439972; 134.5430694","無人駅[1]（自動券売機 有）","○M03","フモ","","296[2]人/日-2019年-","","","","","","",""
"碓氷峠鉄道文化むら","ぶんかむら駅","https://ja.wikipedia.org/wiki/碓氷峠鉄道文化むら#トロッコ列車・シェルパ君","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯36度20分11.07秒東経138度44分1.13秒","","","","","","","〒379-0301群馬県安中市松井田町横川407-16","","","","","","","","www.usuitouge.com/bunkamura/index.php","北緯36度20分11.07秒東経138度44分1.13秒﻿ / ﻿北緯36.3364083度 東経138.7336472度﻿ /36.3364083; 138.7336472座標:北緯36度20分11.07秒東経138度44分1.13秒﻿ / ﻿北緯36.3364083度 東経138.7336472度﻿ /36.3364083; 138.7336472","","",""
"豊後荻駅","豊後荻駅（ぶんごおぎえき）","https://ja.wikipedia.org/wiki/豊後荻駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯32度55分36.52秒東経131度17分51.62秒","■豊肥本線","72.6 km（大分起点）","九州旅客鉄道（JR九州）","地上駅","1928年（昭和3年）12月2日[3]","2面2線[1]","大分県竹田市荻町馬場[1]北緯32度55分36.52秒東経131度17分51.62秒","簡易委託駅[4]","","フオ←フヲ","","","","84人/日-2016年[2]-","","","","",""
"豊後清川駅","豊後清川駅（ぶんごきよかわえき）","https://ja.wikipedia.org/wiki/豊後清川駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯32度58分22.63秒東経131度31分24.39秒","■豊肥本線","42.6 km（大分起点）","九州旅客鉄道（JR九州）","地上駅","1922年（大正11年）11月23日[2]","2面2線[1]","大分県豊後大野市清川町雨堤[1]北緯32度58分22.63秒東経131度31分24.39秒","簡易委託駅[3]*1990年に牧口駅から改称[4]。","","フキ","64人/日（降車客含まず）-2015年-","131人/日-2015年-","","","","","","",""
"豊後国分駅","豊後国分駅（ぶんごこくぶえき）","https://ja.wikipedia.org/wiki/豊後国分駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯33度11分43.34秒東経131度33分5.46秒","■久大本線","131.7 km（久留米起点）","九州旅客鉄道（JR九州）","地上駅","1989年（平成元年）3月11日[3]","2面2線[2]","大分県大分市大字国分[1]北緯33度11分43.34秒東経131度33分5.46秒","無人駅[1]（自動券売機 有）[要出典]","","フコ","336人/日（降車客含まず）-2019年-","","","","","","","",""
"豊後竹田駅","豊後竹田駅（ぶんごたけたえき）","https://ja.wikipedia.org/wiki/豊後竹田駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯32度58分14.98秒東経131度23分23.87秒","■豊肥本線","59.8 km（大分起点）","九州旅客鉄道（JR九州）","地上駅（盛土上）","1924年（大正13年）10月15日[3]","1面2線[1]","大分県竹田市大字会々[1]北緯32度58分14.98秒東経131度23分23.87秒","直営駅みどりの窓口有[1]","","ケタ","371人/日（降車客含まず）-2019年[2]-","","","","","","","",""
"豊後豊岡駅","豊後豊岡駅（ぶんごとよおかえき）","https://ja.wikipedia.org/wiki/豊後豊岡駅","日本の鉄道駅一覧_ふ-ほ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ふ-ほ","箇条書き,制限あり","北緯33度21分43.04秒東経131度30分4.85秒","■日豊本線","111.3 km（小倉起点）","九州旅客鉄道（JR九州）","地上駅","1911年（明治44年）7月16日[2]","2面2線[1]","大分県速見郡日出町大字豊岡[1]北緯33度21分43.04秒東経131度30分4.85秒","簡易委託駅","","フト","374人/日（降車客含まず）-2019年-","","","","","","","",""
