"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","標高","所在地","位置","山系","初登頂","プロミネンス","総称","所属山脈","種類","アイソレーション","山の種類","最容易,ルート","最新噴火","最新の噴火","公式サイト","翻訳","公用語","住民の呼称","海外領土"
"マロモコトロ山","[81  マダガスカルマロモコトロ山2,876 m] ","https://ja.wikipedia.org/wiki/マロモコトロ山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","南緯14度01分24秒東経48度57分57秒","2,876 m(9,436 ft) "," マダガスカル","","","","2,876 m(9,436 ft) 世界114位","国内最高峰ウルトラ・プロミネント峰","","","1,042キロメートル (647 mi)","","","","","","","","",""
"ミナス山","[82  ホンジュラスミナス山2,870 m] ホンジュラスは国土の6割以上が 山地 という山がちな国で、そのような国にある山々の中で最も高い山がミナス山である。この山はそんな国の西部に位置していて、この山とその周辺地域は1987年にホンジュラス政府によって国立公園に指定されている。なお地元の縮尺5万分の1地形図でミナス山の標高は2849mになっているが、 Shuttle Radar Topography Mission によればミナス山の標高は2870mであり、2870mの方がより正確な標高であることが示唆されている  。","https://ja.wikipedia.org/wiki/ミナス山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯14度32分03秒西経88度40分48秒","2,870 m(9,420 ft)"," ホンジュラス","","","","2,069 m(6,788 ft) ","国内最高峰ウルトラ・プロミネント峰","","","","","","","","","","","",""
"トリグラウ山","[83  スロベニアトリグラウ山2,864 m] 「Triglav」の初期における表記には、 1612年 の「Terglau」、 1664年 の「Terglou」、 1778年 ～ 1989年 の「Terklou」などいくつかのものがある。この名称は、この山が ゴレンスカ地方 から眺めたときに3つの頂が見えることから、 スロベニア語 で「3つの頭」、すなわち「3つの峰」を意味する「Tri-golvъ」の語に由来している。その一方で、 西スラヴ の 神話 に伝わる 軍神 「 トリグラフ ( ロシア語 : Триглав 、 英語 : Triglav )」との関連性は薄いとされる  。地元の方言では、標準的な スロベニア語 の発音である「Tríglav」とは異なり、名称は「Tərgwòu̯（第2音節にアクセント）と発音される  。","https://ja.wikipedia.org/wiki/トリグラウ山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯46度23分00秒東経13度50分00秒","2,864m","スロベニア、ゴレンスカ地方","北緯46度23分00秒東経13度50分00秒﻿ / ﻿北緯46.38333度 東経13.83333度﻿ /46.38333; 13.83333","ジュリア・アルプス山脈","1778年8月26日","","","","","","","","","","","","","",""
"フォゴ山","[84  カーボベルデフォゴ山2,829 m] フォゴ島は、 ホットスポット によって形成された、カーボベルデ諸島において最も若い火山島で、諸島の西端部に位置している。ホットスポットで順次作られた活火山が アフリカプレート に乗ってホットスポットの上を東に向かって移動し 多島海 を形成している  。","https://ja.wikipedia.org/wiki/フォゴ山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯14度57分00秒西経24度20分30秒","2,829 m(9,281 ft) ","","","","","2,829 m(9,281 ft)","国内最高峰","","","1,674キロメートル (1,040 mi)","複式火山","","","2014年11月","","","","",""
"ビア山","[85  ラオスビア山2,817 m] 降雪は数十年間報告されていないが、20世紀後半の最初の数年間に頂上付近でときおり積もったと記録されている。","https://ja.wikipedia.org/wiki/ビア山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯18度58分54秒東経103度09分07秒","2,819 m(9,249 ft)","ラオス","","","","2,079 m(6,821 ft) ","国内最高峰","アンナン山脈","","","","","","","","","","",""
"ヘルモン山","[86  シリアヘルモン山（シャイフ山）2,814 m] ヘルモン山には3つの主要なピークがあり、ほぼ同じ高さである。山域の面積は1,000 km 2 に及び、うち約70km 2 がイスラエルの支配下にある。標高が高いため、乾燥地帯にあるにもかかわらず多量の降水がある。 ジュラ紀 の 石灰岩 は侵食されて カルスト地形 を形成している。","https://ja.wikipedia.org/wiki/ヘルモン山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯33度25分1.61秒 東経35度51分25.56秒","","","","","","","","","","","","","","","","","","",""
"コラプ山","[87  アルバニアコラプ山2,764 m] コラプ山脈は、シャル山地南西のアルバニア・マケドニア・ コソボ 三国の境界付近に位置し、ブラックドリン川の下流部と支流のラディカ川に挟まれた、南北方向に40キロ以上広がる山脈である。山頂はアルバニア・マケドニア両国の境界を成し、中央山塊は岩塊として、主にペルム紀-三畳紀境界の激しく損傷した石膏と、古生代の頁岩と石灰岩から成る。山の北側はごつごつした岩で構成され、西側は岩壁の急斜面となっている。南東へと伸びる岩稜帯に広がる草原は羊の放牧に利用される。","https://ja.wikipedia.org/wiki/コラプ山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯41度47分28秒東経20度32分52秒","2,764 m(9,068 ft) ","アルバニア・マケドニア国境","","","","2,169 m(7,116 ft) ","アルバニア・マケドニア両国内最高峰","コラプ山脈","","","","","","","","","","",""
"コラプ山","[87  北マケドニア共和国コラプ山2,764 m] コラプ山脈は、シャル山地南西のアルバニア・マケドニア・ コソボ 三国の境界付近に位置し、ブラックドリン川の下流部と支流のラディカ川に挟まれた、南北方向に40キロ以上広がる山脈である。山頂はアルバニア・マケドニア両国の境界を成し、中央山塊は岩塊として、主にペルム紀-三畳紀境界の激しく損傷した石膏と、古生代の頁岩と石灰岩から成る。山の北側はごつごつした岩で構成され、西側は岩壁の急斜面となっている。南東へと伸びる岩稜帯に広がる草原は羊の放牧に利用される。","https://ja.wikipedia.org/wiki/コラプ山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯41度47分28秒東経20度32分52秒","2,764 m(9,068 ft) ","アルバニア・マケドニア国境","","","","2,169 m(7,116 ft) ","アルバニア・マケドニア両国内最高峰","コラプ山脈","","","","","","","","","","",""
"ロライマ山","[89  ガイアナロライマ山約 2,750 m[1] ベネズエラの カナイマ国立公園 内に位置し、 標高 2,810 メートル。ロライマは ペモン族 の言葉で偉大という意味。 サバンナ の真中に、1,000 メートル近く切り立った壁は、遠くから見ると陸に浮かぶ 軍艦 にも形容される。各 大陸 の プレートテクトニクス 活動で、ギアナ高地付近は移動の回転軸にあたると考えられている。このため 火山 噴火や 地震 などの 地質学 的な変化の影響をほとんどうけず、 ゴンドワナ大陸 の頃の、地球では最古の岩盤がそのまま残っていると言われている。","https://ja.wikipedia.org/wiki/ロライマ山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯5度08分36秒西経60度45分45秒","2,810m","ベネズエラガイアナブラジル","北緯5度08分36秒西経60度45分45秒﻿ / ﻿北緯5.14333度 西経60.76250度﻿ /5.14333; -60.76250座標:北緯5度08分36秒西経60度45分45秒﻿ / ﻿北緯5.14333度 西経60.76250度﻿ /5.14333; -60.76250","ギアナ高地","イム・トゥルン、ハリー・パーキンス（1884年）","","","","テーブルマウンテン","","","","","","","","","",""
"ハード島","[90  オーストラリアハード島のモーソン・ピーク2,745 mオーストラリア本土ではコジオスコの2,228 m] この世界遺産は 世界遺産登録基準 のうち、以下の条件を満たし、登録された（以下の基準は 世界遺産センター 公表の 登録基準 からの翻訳、引用である）。","https://ja.wikipedia.org/wiki/ハード島とマクドナルド諸島","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","南緯53度06分 東経73度30分","","","","","","","","","","","","","","","世界遺産センター（英語）","","","",""
"白頭山","[91  北朝鮮白頭山2,744 m] 満州民族 の 満州語 では ゴルミン・シャンギャン・アリン （ 満州文字 : .mw-parser-output .font-mong{font-family:\"Menk Hawang Tig\",\"Menk Qagan Tig\",\"Menk Garqag Tig\",\"Menk Har_a Tig\",\"Menk Scnin Tig\",\"Oyun Gurban Ulus Tig\",\"Oyun Qagan Tig\",\"Oyun Garqag Tig\",\"Oyun Har_a Tig\",\"Oyun Scnin Tig\",\"Oyun Agula Tig\",\"Mongolian BT\",\"Mongolian Baiti\",\"Mongolian Universal White\",\"Noto Sans Mongolian\",\"Mongol Usug\",\"Mongolian White\",\"MongolianScript\",\"Code2000\",\"Menksoft Qagan\"}.mw-parser-output .font-mong-mnc,.mw-parser-output .font-mong:lang(mnc-Mong),.mw-parser-output .font-mong:lang(dta-Mong),.mw-parser-output .font-mong:lang(sjo-Mong){font-family:\"Abkai Xanyan\",\"Abkai Xanyan LA\",\"Abkai Xanyan VT\",\"Abkai Xanyan XX\",\"Abkai Xanyan SC\",\"Abkai Buleku\",\"Daicing White\",\"Mongolian BT\",\"Mongolian Baiti\",\"Mongolian Universal White\",\"Noto Sans Mongolian\"} ᡤᠣᠯᠮᡳᠨ ᡧᠠᠩᡤᡳᠶᠠᠨ ᠠᠯᡳᠨ 、転写：golmin šanggiyan alin、漢字音写：果勒敏珊延阿林、意は「どこまでも白い山」）と 金 の時代より使われ始めた。 清朝 では 長白山 （ちょうはくさん。 中国語 : 簡体字中国語 : 长白山 ; 繁体字 : 長白山 、チャンパイシャン、Chángbáishān）と漢訳され定着している。","https://ja.wikipedia.org/wiki/白頭山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯41度59分34秒東経128度04分38秒","2,744m"," 朝鮮民主主義人民共和国両江道中華人民共和国吉林省","北緯41度59分34秒東経128度04分38秒﻿ / ﻿北緯41.99278度 東経128.07722度﻿ /41.99278; 128.07722座標:北緯41度59分34秒東経128度04分38秒﻿ / ﻿北緯41.99278度 東経128.07722度﻿ /41.99278; 128.07722","","Mr MACKY","","","","火山","","","","","","","","","",""
"エル・ピタル山","[92  エルサルバドルエル・ピタル山2,730 m] エル・ピタル山は、動植物の多くの絶滅危惧種を含む幅広い高度に生息する優れた生物多様性をもった、エルサルバドルで観光客が引き付けられる最も人気のある場所の1つである。雲霧林は、 ケツァール や他の絶滅危惧種を含むエルサルバドル国内の希少な動植物が生息している。","https://ja.wikipedia.org/wiki/エル・ピタル山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯14度23分00秒西経89度07分00秒","2,730m","エルサルバドルチャラテナンゴ県ホンジュラス","北緯14度23分00秒西経89度07分00秒﻿ / ﻿北緯14.38333度 西経89.11667度﻿ /14.38333; -89.11667座標:北緯14度23分00秒西経89度07分00秒﻿ / ﻿北緯14.38333度 西経89.11667度﻿ /14.38333; -89.11667","シエラマドレ山脈","","","","","","","","","","","","","","",""
"ヘラ山","[93  ブルンジヘラ山（英語版）の南東2,684 m[1]]","https://ja.wikipedia.org/w/index.php?title=ヘラ山&amp;action=edit&amp;redlink=1","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"ラ・セル山","[94  ハイチラ・セル山2,680 m] ラ・セル山 （ ハイチ語 、Pik Lasel）は、 カリブ海 にある 大アンティル諸島 に属する島の1つである、 イスパニョーラ島 の南西部に存在する、 山 の1つである。","https://ja.wikipedia.org/wiki/ラ・セル山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"Djeravica","[95  コソボDjeravica2,656 m]","https://ja.wikipedia.orghttps://en.wikipedia.org/wiki/Djeravica","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"ゲルラホウスキー山","[96  スロバキアゲルラホウスキー山（英語版）2,655 m]","https://ja.wikipedia.org/w/index.php?title=ゲルラホウスキー山&amp;action=edit&amp;redlink=1","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"カテリーナ山","[97  エジプトカテリーナ山2,629 m] ","https://ja.wikipedia.org/wiki/カテリーナ山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯28度30分42秒東経33度57分09秒","2,629 m(8,625 ft) ","エジプトシナイ半島","","","","2,404 m(7,887 ft) ","国内最高峰","","","","","","","","","","","",""
"モコ山","[98  アンゴラモコ山2,620 m] ","https://ja.wikipedia.org/wiki/モコ山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","南緯12度28分00秒東経15度10分00秒","2,620m","アンゴラウアンボ州","南緯12度28分00秒東経15度10分00秒﻿ / ﻿南緯12.46667度 東経15.16667度﻿ /-12.46667; 15.16667座標:南緯12度28分00秒東経15度10分00秒﻿ / ﻿南緯12.46667度 東経15.16667度﻿ /-12.46667; 15.16667","","","","","","","","","","","","","","","",""
"ブランドバーグ山","[99  ナミビアブランドバーグ山2,606 m] ブランドバーグ山 （英語、Brandberg Mountain）とは、 ナミビア ・ エロンゴ州 にある 山 。標高は2606m。 花崗岩 質の岩石でできている山体は、約650km 2 にわたって広がっている。この山には別名も存在し、例えば ヘレロ語 では オムクルバロ と呼ぶ。","https://ja.wikipedia.org/wiki/ブランドバーグ山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"グラウシュピッツ","[100  リヒテンシュタイングラウシュピッツ2,599 m] 標高は2599mで、リヒテンシュタインの最高峰。また、シェサプラナ山以西のレティコン山系の最高地点でもある。","https://ja.wikipedia.org/wiki/グラウシュピッツ","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯47度03分10秒東経9度34分55秒","2,599 m(8,527 ft)","リヒテンシュタイン、トリーゼンスイス、グラウビュンデン州","","","","353 m(1,158 ft) ","リヒテンシュタイン最高峰","アルプス山脈レティコン山系","","6.18キロメートル (3.84 mi)","","","","","","くすんだ山(ドイツ語)","","",""
"イニャンガニ山","[101  ジンバブエイニャンガニ山（英語版）2,592 m]","https://ja.wikipedia.org/w/index.php?title=イニャンガニ山&amp;action=edit&amp;redlink=1","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"ドイ・インタノン山","[102  タイドイ・インタノン山（en:Doi Inthanon）2,565 m] ドイ・インタノン山の頂上は、元旦に12,000人を超える来訪者を迎えるなどのタイ国内外両方の観光客に人気の観光地となっている。観光施設のほかには、 タイ王国空軍 の 気象レーダー ・アンテナがある。","https://ja.wikipedia.org/wiki/ドイ・インタノン山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯18度35分15秒東経98度29分12秒","2,565 m(8,415 ft)","タイ王国チエンマイ県","","","","1,850 m(6,070 ft)","国内最高峰","シャンヒルズ地域","","","バソリス（花崗岩）","自動車","","","","","","",""
"モルドヴェアヌ山","[103  ルーマニアモルドヴェアヌ山2,544 m] 登山ルートは、PodraguやSambataの北側から伸びる尾根か、または東側のヴィスタバレーを経由して、ヴィスタマーレ山（2527m）を越えてモルドベアヌ山に到達するルートが最も人気がある。","https://ja.wikipedia.org/wiki/モルドヴェアヌ山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯45度36分00秒東経24度44分16秒","2,544 m(8,346 ft) ","ルーマニアアルジェシュ県","","","","2,046 m(6,713 ft) ","国別の最高地点一覧","トランシルヴァニアアルプス山脈ファガラシュ山群","","","","スクランブリング","","","","","","",""
"ズラ・コラタ","[104  モンテネグロズラ・コラタ2,534 mズラ・コラタがRosni Vrh(Maja Rosit)やBobotov Kukよりも高いというモンテネグロの主張は、2007年8月にGPSを使って裏づけされている。] ","https://ja.wikipedia.org/wiki/ズラ・コラタ","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯42度29分06秒東経19度53分50秒","2,534 m(8,314 ft) ","アルバニア/モンテネグロ国境","","","","100メートル (330 ft)","モンテネグロ最高峰","ディナル・アルプス山脈、プロクレティイェ山系","","","","","","","","","","",""
"ピドゥルタラーガラ山","[105  スリランカピドゥルタラーガラ山2,524 m] ピドゥルタラーガラ山の 山頂 には、スリランカ政府と 陸軍 の無線通信設備と レーダーサイト が設置されており、スリランカの 防空 と国防にとって重要な拠点となっている。山頂はウルトラハイセキュリティゾーンで、警備用の 軍事基地 も設置されており、一般人の立ち入りは厳しく制限されている。","https://ja.wikipedia.org/wiki/ピドゥルタラーガラ山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯07度00分03秒東経80度46分26秒","2,524m","スリランカ中部州","北緯07度00分03秒東経80度46分26秒﻿ / ﻿北緯7.00083度 東経80.77389度﻿ /7.00083; 80.77389座標:北緯07度00分03秒東経80度46分26秒﻿ / ﻿北緯7.00083度 東経80.77389度﻿ /7.00083; 80.77389","","","","","","","","","","","","","","","",""
"リスィ山","[106  ポーランドリスィ山2,499 m] ポーランドとスロバキアにおける呼称「リスィ」が、「かき傷」または「割れ目」を意味するのは、Ż abie尾根西斜面のそれらの形状か、非常に突出した高さ 500m(1,600ft)の渓谷と北側にある多数の小渓谷など、一連の 渓谷 に関係していると専門家はみている。スロバキア側の民間伝承では、名前が「 オオヤマネコ 」を意味している「rysy」が語源であるとされている。しかし、オオヤマネコの生息地は樹木限界線より高い標高には広がっていない。","https://ja.wikipedia.org/wiki/リスィ山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯49度10分46秒東経20度5分17秒","2,503 m(8,212 ft) ","ポーランド/スロバキア","","","","163 m(535 ft) ","国別の最高地点一覧","タトラ山脈（ハイタトラス）","","0.87キロメートル (0.54 mi)","花崗岩","ハイキング","","","","かき傷 または 割れ目(ポーランド語 および スロバキア語)","","",""
"ガルフピッゲン","[107  ノルウェーガルフピッゲン2,469 m] ガルフピッゲンという名の由来は、「Galdhø山の」＋piggen「頂（ピーク）」 である。さらに、 Galdhøの由来は、gald「急な山道」＋hø「（大きく）丸い山」に分けられる。","https://ja.wikipedia.org/wiki/ガルフピッゲン","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯61度38分11秒東経8度18分45秒","2,469m"," ノルウェーオップラン県","北緯61度38分11秒東経8度18分45秒﻿ / ﻿北緯61.63639度 東経8.31250度﻿ /61.63639; 8.31250座標:北緯61度38分11秒東経8度18分45秒﻿ / ﻿北緯61.63639度 東経8.31250度﻿ /61.63639; 8.31250","ヨートゥンハイメン山地","1850年","","","","","","","","","","","","","",""
"シンビリス山","[108  ソマリアシンビリス山2,450 m[1] ","https://ja.wikipedia.org/wiki/シンビリス山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯10度44分09秒東経47度14分42秒","2,460 m(8,070 ft) ","ソマリア","","","","1,495 m(4,905 ft) ","国内最高峰","カル・マドー山地","","","","","","","","","","",""
"ビンガ山","[109  モザンビークビンガ山2,436 m] ","https://ja.wikipedia.org/wiki/ビンガ山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","南緯19度46分36秒東経33度03分44秒","2,436m","モザンビークマニカ州","南緯19度46分36秒東経33度03分44秒﻿ / ﻿南緯19.77667度 東経33.06222度﻿ /-19.77667; 33.06222座標:南緯19度46分36秒東経33度03分44秒﻿ / ﻿南緯19.77667度 東経33.06222度﻿ /-19.77667; 33.06222","シマニマニ山塊","","","","","","","","","","","","","","",""
"チャパル・ワッディ山","[110  ナイジェリアチャパル・ワッディ山2,419 m] ","https://ja.wikipedia.org/wiki/チャパル・ワッディ山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯7度02分07.7秒東経11度42分56.1秒","2,419m","ナイジェリアタラバ州カメルーン","北緯7度02分07.7秒東経11度42分56.1秒﻿ / ﻿北緯7.035472度 東経11.715583度﻿ /7.035472; 11.715583座標:北緯7度02分07.7秒東経11度42分56.1秒﻿ / ﻿北緯7.035472度 東経11.715583度﻿ /7.035472; 11.715583","","","","","","","","","","","","","","","",""
"マグリッチ","[111  ボスニア・ヘルツェゴビナマグリッチ（英語版）2,386 m]","https://ja.wikipedia.org/w/index.php?title=マグリッチ&amp;action=edit&amp;redlink=1","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"カルタラ山","[112  コモロカルタラ山2,360 m] カルタラ山は非常に活発な活火山であり、 19世紀 以降20回の噴火が記録されているが、噴火は山頂部にある3から4㎞四方の カルデラ に限られ、島のほとんどは大規模な山体破壊から免れている。","https://ja.wikipedia.org/wiki/カルタラ山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","南緯11度45分24秒東経43度21分42秒","2,361 m(7,746 ft) ","","","","","2,361 m(7,746 ft) ","ウルトラ・プロミネント峰","","","","楯状火山(活火山)","","","2007年1月","","","","",""
"アゾレス諸島","[113  ポルトガルアゾレス諸島のピコ島のピコ山2,351 mポルトガル本土の最高地点はエストレーラ山脈のトーレ山（英語版））である。標高1,993 m。] アゾレス諸島 （アゾレスしょとう、Azores）は、 大西洋 の中央部（ マカロネシア ）に位置する ポルトガル 領の群島。諸島全体は自治権を持ち、一つの 行政区 でもある。島名の発音は ポルトガル語 では アソーレス (Açores) となる。","https://ja.wikipedia.org/wiki/アゾレス諸島","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"ポポマナセウ山","[114  ソロモン諸島ポポマナセウ山2,335 m一部の人はマカラコンブル山（英語版）が2,447 mで最高地点と主張するが、SRTMによるとPopomanaseu山が最高地点である。] ポポマナセウ山 （ 英語 、Mount Popomanaseu）は、南太平洋にある メラネシア の中の ソロモン諸島 を構成する島の1つである ガダルカナル島 に存在する、 山 の1つである。この山は、ソロモン諸島における 最高峰 である。","https://ja.wikipedia.org/wiki/ポポマナセウ山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","南緯9度42分13秒 東経160度03分43秒","","","","","","","","","","","","","","","","","","",""
"マフィンガ丘陵","[115  ザンビアマフィンガ丘陵の無名の場所。2,329 m] この高原内で最も標高の高い場所はザンビア側にあり、当該地点の標高は2329mであるが、固有の名前は付けられていない。かつてこの地域は 北部州 と 東部州 間を行き来する際の難所であり、特に 雨季 の期間には困難なルートとなっていた。また、行き来の際の車は4輪駆動車であることが推奨されていた。現在は、両州の間にはイソカとムヨンベ間の道路（Isoka-Muyombe Road）が整備されたことで、この新たな斜面の下方を横切る最短のルートが主に使用されている。","https://ja.wikipedia.org/wiki/マフィンガ丘陵","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","南緯9度58分35秒 東経33度20分52秒","","","","","","","","","","","","","","","","","","",""
"ビクー・ビティ","[116  リビアビクー・ビティ2,267 m] チャド 国境 に近い、 サハラ砂漠 でも最も到達困難な地域にある  。2005年12月にジンジ・ファーレンとチャド人のガイドからなるチームが初登頂に成功した  。","https://ja.wikipedia.org/wiki/ビクー・ビティ","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯21度59分53秒東経19度08分37秒","3,376 m(11,076 ft) "," リビア","","","2005年、イギリス隊による","","国内最高峰","ティベスティ山地","","","","","","","","","","",""
"ブルー・マウンテン峰","[117  ジャマイカブルー・マウンテン峰2,256 m] ","https://ja.wikipedia.org/wiki/ブルー・マウンテン峰","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯18度02分48秒西経76度34分45秒","2,256 m(7,402 ft) ","ジャマイカ、ポートランド教区/セント・トーマス教区","","","","2,256 m(7,402 ft) ","最高地点Ultra","ブルー・マウンテン","","","","","","","","","","",""
"ミジュル峰","[119  セルビアミジュル峰（英語版）2,169 mセルビアはコソボの独立を認めておらず、コソボには2,656mのĐeravicaがある。]","https://ja.wikipedia.org/w/index.php?title=ミジュル峰&amp;action=edit&amp;redlink=1","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","","","","","","","","","","","","","","","","","","","",""
"クヴァンナダルスフニュークル","[120  アイスランドクヴァンナダルスフニュークル2,110 m] 大した技術は必要ないが、100m地点から2000mの高低差と雪上を歩く体力が必要である。往復に半日以上要する。 山頂に複雑な登坂がなく初心者から登山家にも人気がある。","https://ja.wikipedia.org/wiki/クヴァンナダルスフニュークル","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯64度0分57秒西経16度40分29秒","2,106m","アイスランドスカフタフェットル国立公園","北緯64度0分57秒西経16度40分29秒﻿ / ﻿北緯64.01583度 西経16.67472度﻿ /64.01583; -16.67472","エーライヴァヨークトル","","","","","","","","","","","","","","",""
"モゴトン山","[121  ニカラグアモゴトン山2,107 m] モゴトン山 （ スペイン語 、Pico Mogotón）は、 アメリカ大陸 中部（いわゆる 中央アメリカ ）に存在する、 山 の1つである。","https://ja.wikipedia.org/wiki/モゴトン山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯13度45分47秒 西経86度23分54秒","","","","","","","","","","","","","","","","","","",""
"ケブネカイセ","[122  スウェーデンケブネカイセ2,104 m[3] ケブネカイセへのアクセスルートは2通りあり、 アビスコ (Abisko)から クングスレーデン (kungsleden)を南下しシンギ(Singi)からやや東寄りに向かって ケブネカイセ山ホテル (Kebnekaise Fjällstation、Svenska Turistföreningen  、通称STF)に至るものと、 ニッカルオクタ (Nikkaluokta)からラッチョ谷(Ladtjovagge)を経てケブネカイセ山ホテルに至るものである。","https://ja.wikipedia.org/wiki/ケブネカイセ","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯67度53分00秒東経18度33分00秒","2,103m","スウェーデン","北緯67度53分00秒東経18度33分00秒﻿ / ﻿北緯67.88333度 東経18.55000度﻿ /67.88333; 18.55000","スカンディナヴィアの山系","1883年チャールズ・ラボト","","","","","","","","","","","","","",""
"ホヴェールラ山","[123  ウクライナホヴェールラ山2,061 m] ホヴェールラ山は 砂岩 と 礫岩 で形成された 円錐 形の山である。斜面には 更新世 の 氷河 の痕跡が残っている。山腰は 椈 や 唐檜 の 森林 に覆われ、森林の上に 高山 草原 が広がっている。麓の東部には プルト川 の 泉 と 滝 がある。","https://ja.wikipedia.org/wiki/ホヴェールラ山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯48度9分38秒東経24度30分1秒","2,061m"," ウクライナ、ザカルパッチャ州","北緯48度9分38秒東経24度30分1秒﻿ / ﻿北緯48.16056度 東経24.50028度﻿ /48.16056; 24.50028","カルパティア山脈","不明","","","","","","","","","","","","","",""
"ムーサ・アリ山","[125  ジブチムーサ・アリ山2,028 m] ムーサ・アリ山 は、 アフリカ大陸 の東端部に存在する、 山 の1つである。","https://ja.wikipedia.org/wiki/ムーサ・アリ山","国別の最高地点一覧","https://ja.wikipedia.org/wiki/国別の最高地点一覧","表形式2","北緯12度28分15秒 東経42度24分18秒","","","","","","","","","","","","","","","","","","",""
