"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","国","外部リンク","都道府県","地方","市町村コード","総人口","隣接自治体","法人番号","人口密度","市の花","市長","市の木","位置","郡","他のシンボル","町の花","標高"
"尾道市","[尾道（広島県）] ","https://ja.wikipedia.org/wiki/尾道市","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯34度24分32秒東経133度12分18.1秒","〒722-8501広島県尾道市久保一丁目15番1号北緯34度24分32秒東経133度12分18.1秒﻿ / ﻿北緯34.40889度 東経133.205028度﻿ /34.40889; 133.205028座標:北緯34度24分32秒東経133度12分18.1秒﻿ / ﻿北緯34.40889度 東経133.205028度﻿ /34.40889; 133.205028尾道市役所庁舎位置","285.11km2","日本","公式ウェブサイト","広島県","中国地方、山陽地方中国・四国地方","34205-0","129,042人（推計人口、2021年6月1日）","福山市、三原市、府中市、世羅郡世羅町愛媛県：今治市、越智郡上島町","8000020342050","453人/km2","サクラ","平谷祐宏","サクラ","","","","",""
"倉敷市","[倉敷（岡山県）] ","https://ja.wikipedia.org/wiki/倉敷市","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯34度35分6.3秒東経133度46分19.6秒","〒710-0833岡山県倉敷市西中新田640番地北緯34度35分6.3秒東経133度46分19.6秒﻿ / ﻿北緯34.585083度 東経133.772111度﻿ /34.585083; 133.772111﻿ (倉敷市)座標:北緯34度35分6.3秒東経133度46分19.6秒﻿ / ﻿北緯34.585083度 東経133.772111度﻿ /34.585083; 133.772111﻿ (倉敷市)市庁舎位置","355.63km2","日本","公式ウェブサイト","岡山県","中国地方、山陽地方中国・四国地方","33202-0","474,185人（推計人口、2021年6月1日）","岡山市、玉野市、総社市、浅口市、小田郡矢掛町、都窪郡早島町（海上で隣接）香川県：坂出市、丸亀市","6000020332020","1,333人/km2","フジ","伊東香織","クスノキ","","","","",""
"津和野町","[津和野（島根県）] ","https://ja.wikipedia.org/wiki/津和野町","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯34度32分37.3秒東経131度50分18.1秒","〒699-5292島根県鹿足郡津和野町日原54番25号北緯34度32分37.3秒東経131度50分18.1秒﻿ / ﻿北緯34.543694度 東経131.838361度﻿ /34.543694; 131.838361役場庁舎位置","307.03km2","日本","公式ウェブサイト","島根県","中国地方、山陰地方中国・四国地方","32501-5","6,793人（推計人口、2021年6月1日）","益田市、鹿足郡吉賀町山口県：山口市、萩市","7000020325015","22.1人/km2","","","","","鹿足郡","白鷺","つわぶき",""
"厳島","[宮島（広島県）] 厳島 （いつくしま）は、日本の 広島県 廿日市市 宮島町にある島。 瀬戸内海 西部、 広島湾 の北西部に位置する。通称は 宮島 （みやじま）。また 安芸の宮島 ともいう。","https://ja.wikipedia.org/wiki/厳島","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯34度16分0秒東経132度18分0秒","日本（広島県廿日市市）","30.39km²","","","","","","","","","","","","","","","","",""
"広島市","[広島（広島県）] ","https://ja.wikipedia.org/wiki/広島市","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯34度23分6.9秒東経132度27分19.1秒","〒730-8586広島県広島市中区国泰寺町一丁目6番34号北緯34度23分6.9秒東経132度27分19.1秒﻿ / ﻿北緯34.385250度 東経132.455306度﻿ /34.385250; 132.455306座標:北緯34度23分6.9秒東経132度27分19.1秒﻿ / ﻿北緯34.385250度 東経132.455306度﻿ /34.385250; 132.455306広島市役所庁舎位置広島市役所庁舎","906.68km2","日本","広島市","広島県","中国地方、山陽地方中国・四国地方","34100-2","1,195,649人（推計人口、2021年6月1日）","呉市、東広島市、安芸高田市、廿日市市安芸郡熊野町、海田町、府中町、坂町山県郡北広島町、安芸太田町（海を隔てて）江田島市","9000020341002","1,319人/km2","キョウチクトウ","松井一實","クスノキ","","","","",""
"高松市","[高松・屋島（香川県）] 〒 760-8571 香川県高松市 番町 一丁目8番15号 .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap} 北緯34度20分34.1秒 東経134度2分47.8秒 ﻿ / ﻿ 北緯34.342806度 東経134.046611度 ﻿ / 34.342806; 134.046611 ﻿ ( 高松市 ) 座標 : 北緯34度20分34.1秒 東経134度2分47.8秒 ﻿ / ﻿ 北緯34.342806度 東経134.046611度 ﻿ / 34.342806; 134.046611 ﻿ ( 高松市 )","https://ja.wikipedia.org/wiki/高松市","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯34度20分34.1秒東経134度2分47.8秒","〒760-8571香川県高松市番町一丁目8番15号北緯34度20分34.1秒東経134度2分47.8秒﻿ / ﻿北緯34.342806度 東経134.046611度﻿ /34.342806; 134.046611﻿ (高松市)座標:北緯34度20分34.1秒東経134度2分47.8秒﻿ / ﻿北緯34.342806度 東経134.046611度﻿ /34.342806; 134.046611﻿ (高松市)市庁舎位置","375.41km2","日本","公式ウェブサイト","香川県","四国地方中国・四国地方","37201-3","416,601人（推計人口、2021年6月1日）","坂出市、さぬき市、木田郡三木町、綾歌郡綾川町、仲多度郡まんのう町徳島県美馬市岡山県玉野市（海をはさんで隣接）香川郡直島町、小豆郡土庄町、小豆島町","1000020372013","1,110人/km2","ツツジ","大西秀人","黒松","","","","",""
"小豆島","[小豆島（香川県）] 小豆島 （しょうどしま）は、 瀬戸内海 ・ 播磨灘 にある 島 。行政区分は 香川県 小豆郡 に属し  、 小豆島町 、 土庄町 の2町からなり、人口は2万8,764人（2016年度推計）。近年、人口が減少の一途をたどっており、2013年6月24日に隣接する 沖之島 とあわせて、 国土交通省 より「 離島振興法 」の指定を受けた。離島振興法の活用で、今後10年間の人口減少率を10%以内に抑えることを目指す  。","https://ja.wikipedia.org/wiki/小豆島","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯34度30分49秒東経134度17分8秒","日本（香川県小豆郡）","153.30km²","","","","","","","","","","","","","","","","",""
"瀬戸大橋","[瀬戸大橋（香川県）] 瀬戸大橋 （せとおおはし）は、 本州 の 岡山県 倉敷市 と 四国 の 香川県 坂出市 を結ぶ  10の橋の総称である。瀬戸内海をまたぐ 本州四国連絡橋 の児島・坂出ルートにあたり、橋の大部分は香川県に属する。1988年（昭和63年）に全線開通。それにより初めて四国と本州が陸路で結ばれた。","https://ja.wikipedia.org/wiki/瀬戸大橋","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯34度23分54秒東経133度48分36秒","香川県坂出市-岡山県倉敷市","","日本","","","","","","","","","","","","","","","",""
"足摺岬","[足摺岬（高知県）] 足摺岬 （あしずりみさき）は、 高知県 南西部 土佐清水市 に属し、 太平洋 （ フィリピン海 ）に突き出る足摺半島の先端の 岬 。 足摺宇和海国立公園 に指定されている。","https://ja.wikipedia.org/wiki/足摺岬","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"松山市","[松山・道後温泉（愛媛県）] ","https://ja.wikipedia.org/wiki/松山市","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯33度50分21秒東経132度45分56.3秒","〒790-8571愛媛県松山市二番町四丁目7番地2北緯33度50分21秒東経132度45分56.3秒﻿ / ﻿北緯33.83917度 東経132.765639度﻿ /33.83917; 132.765639座標:北緯33度50分21秒東経132度45分56.3秒﻿ / ﻿北緯33.83917度 東経132.765639度﻿ /33.83917; 132.765639市庁舎位置","429.40km2","日本","公式ウェブサイト","愛媛県","四国地方中国・四国地方","38201-9","510,570人（推計人口、2021年6月1日）","東温市、今治市、伊予郡松前町、砥部町、上浮穴郡久万高原町（海上により隣接）山口県大島郡周防大島町広島県呉市","3000020382019","1,189人/km2","ヤブツバキ","野志克仁","","","","","",""
"日和佐町","[日和佐（徳島県）] 日和佐町 （ひわさちょう）は、 徳島県 海部郡 に属した 町 。","https://ja.wikipedia.org/wiki/日和佐町","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","","徳島県海部郡日和佐町大字奥河内","15.09km2.","日本","","徳島県","四国地方中国・四国地方","なし","5,927人（国勢調査、1955年）","由岐町、赤河内村","","","","","","","海部郡","","",""
"長崎市","[長崎（長崎県）] 〒 850-8685 長崎県長崎市桜町2番22号 .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap} 北緯32度45分1.2秒 東経129度52分40.3秒 ﻿ / ﻿ 北緯32.750333度 東経129.877861度 ﻿ / 32.750333; 129.877861 ﻿ ( 長崎市 ) 座標 : 北緯32度45分1.2秒 東経129度52分40.3秒 ﻿ / ﻿ 北緯32.750333度 東経129.877861度 ﻿ / 32.750333; 129.877861 ﻿ ( 長崎市 )","https://ja.wikipedia.org/wiki/長崎市","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯32度45分1.2秒東経129度52分40.3秒","〒850-8685長崎県長崎市桜町2番22号北緯32度45分1.2秒東経129度52分40.3秒﻿ / ﻿北緯32.750333度 東経129.877861度﻿ /32.750333; 129.877861﻿ (長崎市)座標:北緯32度45分1.2秒東経129度52分40.3秒﻿ / ﻿北緯32.750333度 東経129.877861度﻿ /32.750333; 129.877861﻿ (長崎市)市庁舎位置","405.86km2","日本","公式ウェブサイト","長崎県","九州地方","42201-1","402,506人（推計人口、2021年6月1日）","諫早市、西海市、西彼杵郡時津町、長与町","6000020422011","992人/km2","アジサイ（1968年3月21日制定）","田上富久","ナンキンハゼ（1975年8月1日制定）","","","","",""
"別府市","[別府（大分県）] ","https://ja.wikipedia.org/wiki/別府市","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯33度17分4.6秒東経131度29分28.6秒","〒874-8511大分県別府市上野口町1番15号北緯33度17分4.6秒東経131度29分28.6秒﻿ / ﻿北緯33.284611度 東経131.491278度﻿ /33.284611; 131.491278座標:北緯33度17分4.6秒東経131度29分28.6秒﻿ / ﻿北緯33.284611度 東経131.491278度﻿ /33.284611; 131.491278","125.34km2（境界未定部分あり）","日本","公式ウェブサイト","大分県","九州地方","44202-0","115,558人（推計人口、2021年6月1日）","大分市、宇佐市、由布市、速見郡日出町","3000020442020","922人/km2","オオムラサキ","長野恭紘","キンモクセイ、クスノキ","","","","",""
"湯布院町","[湯布院温泉（大分県）] 湯布院町 （ゆふいんちょう）は、 大分県 のほぼ中央に位置し、 大分郡 に属していた 町 である。町内に3ヶ所の 温泉 地がある町として町名は有名であった。","https://ja.wikipedia.org/wiki/湯布院町","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯33度15分52秒東経131度21分20秒","〒879-5192大分県大分郡湯布院町大字川上3738-1","127.77km2（境界未定部分あり）","日本","","大分県","九州地方","44364-6","11,667人（2005年6月1日）","別府市、宇佐市、大分郡庄内町、玖珠郡玖珠町、九重町","","","","","","","大分郡","","サザンカ",""
"日南海岸国定公園","[日南海岸（宮崎県）] 日南海岸国定公園 （にちなんかいがんこくていこうえん）は、 宮崎県 南部から 鹿児島県 志布志湾 西岸の 肝属川 河口までの海岸線を包括した 国定公園 。 1955年 6月1日 指定。","https://ja.wikipedia.org/wiki/日南海岸国定公園","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"長崎オランダ村","[長崎オランダ村（長崎県）] 長崎オランダ村 （ながさきオランダむら、英語表記:Nagasaki Holland Village）は、かつて 長崎県 西彼杵郡 西彼町 （現・ 西海市 ）にあった テーマパーク 。 佐世保市 のテーマパーク ハウステンボス のルーツとなった施設である  。 1983年 （ 昭和 58年）開園  、 2001年 （ 平成 13年） 10月21日 に閉園  。","https://ja.wikipedia.org/wiki/長崎オランダ村","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯32度59分49.22秒東経129度45分26.88秒","〒851-3305長崎県西彼杵郡西彼町喰場郷1686-3（閉園時点）","約16万5,000m2","","","","","","","","","","","","","北緯32度59分49.22秒東経129度45分26.88秒﻿ / ﻿北緯32.9970056度 東経129.7574667度﻿ /32.9970056; 129.7574667","","","",""
"高千穂峡","[高千穂峡（宮崎県）] 真名井の滝 （まないのたき）は、高千穂峡の川幅が狭まった部分に流れ落ちる 滝 である。 日本の滝百選 の一つ。","https://ja.wikipedia.org/wiki/高千穂峡","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯32度42分3秒東経131度18分2秒","宮崎県高千穂町","","","","","","","","","","","","","","北緯32度42分3秒東経131度18分2秒﻿ / ﻿北緯32.70083度 東経131.30056度﻿ /32.70083; 131.30056","","","",""
"阿蘇山","[阿蘇（熊本県）] 阿蘇山 （あそさん）は、 日本 の 九州 中央部、 熊本県 阿蘇地方に位置する 火山 。 カルデラ を伴う大型の 複成火山 であり、 活火山 である。","https://ja.wikipedia.org/wiki/阿蘇山","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯32度53分3秒東経131度6分14秒","日本熊本県","","","","","","","","","","","","","","北緯32度53分3秒東経131度6分14秒﻿ / ﻿北緯32.88417度 東経131.10389度﻿ /32.88417; 131.10389座標:北緯32度53分3秒東経131度6分14秒﻿ / ﻿北緯32.88417度 東経131.10389度﻿ /32.88417; 131.10389","","","",""
"国東半島","[国東半島（大分県）] 国東半島 （くにさきはんとう）は、 大分県 の北東部に位置する 半島 である。","https://ja.wikipedia.org/wiki/国東半島","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"雲仙岳","[雲仙（長崎県）] 雲仙岳 （うんぜんだけ）は、 長崎県 の 島原半島 中央部にそびえる 火山 である。半島西方の 橘湾 を中心とする 千々石カルデラ の外輪に位置する。広義では、 火山学 上の「雲仙火山」と同義で、最高峰の 平成新山 をはじめ、三岳（三峰）とも呼ばれる 普賢岳 ・ 国見岳 ・ 妙見岳 、五峰（五岳）とも呼ばれる 野岳 ・ 九千部岳 ・ 矢岳 ・ 高岩山・絹笠山 を含め、東の 眉山から 西の 猿葉山 まで、総計20以上の山々から構成される。雲仙岳の形の複雑さは、三岳五峰（三峰五岳）、八葉、二十四峰、三十六峰などさまざまな数字で表現されたが、観光上のキャッチフレーズとして「三峰五岳の雲仙岳」が多用されるようになった結果、狭義として八つの山（ときには三つの山）のみを指す用法も生まれた。歴史的には海上にそびえる山並み全体を指す名称である。行政区分では 島原市 、 南島原市 、 雲仙市 にまたがる。しばしば、旧最高峰の普賢岳（雲仙普賢岳）の名称と混同して用いられる。","https://ja.wikipedia.org/wiki/雲仙岳","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯32度45分41秒東経130度17分56秒","長崎県島原市、南島原市、雲仙市","","","","","","","","","","","","","","北緯32度45分41秒東経130度17分56秒﻿ / ﻿北緯32.76139度 東経130.29889度﻿ /32.76139; 130.29889座標:北緯32度45分41秒東経130度17分56秒﻿ / ﻿北緯32.76139度 東経130.29889度﻿ /32.76139; 130.29889","","","","1,483m"
"九重山","[くじゅう（大分県・熊本県）] 九重山 （くじゅうさん）は 大分県 玖珠郡 九重町 と 竹田市 久住町 の境界に位置する山々の総称（地質学上の呼称）  。最高峰は 九州 本土最高峰でもある 中岳 (標高1,791m）  。","https://ja.wikipedia.org/wiki/九重山","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯33度05分09秒東経131度14分56秒","大分県","","","","","","","","","","","","","","北緯33度05分09秒東経131度14分56秒﻿ / ﻿北緯33.08583度 東経131.24889度﻿ /33.08583; 131.24889座標:北緯33度05分09秒東経131度14分56秒﻿ / ﻿北緯33.08583度 東経131.24889度﻿ /33.08583; 131.24889","","","",""
"島原市","[島原（長崎県）] ","https://ja.wikipedia.org/wiki/島原市","新日本観光地100選","https://ja.wikipedia.org/wiki/新日本観光地100選","箇条書き,制限あり","北緯32度47分17.3秒東経130度22分12.9秒","〒855-8555長崎県島原市上の町537北緯32度47分17.3秒東経130度22分12.9秒﻿ / ﻿北緯32.788139度 東経130.370250度﻿ /32.788139; 130.370250座標:北緯32度47分17.3秒東経130度22分12.9秒﻿ / ﻿北緯32.788139度 東経130.370250度﻿ /32.788139; 130.370250","82.97km2","日本","公式ウェブサイト","長崎県","九州地方","42203-7","42,502人（推計人口、2021年6月1日）","雲仙市、南島原市（海を隔てて）熊本県熊本市","5000020422037","512人/km2","ウメ","古川隆三郎","くすの木","","","なし","",""
