"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","泉質","交通","泉温（,摂氏,）","外部リンク","宿泊施設数","液性の分類","pH","湧出量","浸透圧の分類","総収容人員数","特記事項","年間浴客数","統計年","営業時間","温泉施設数","登録路線","登録回","登録日"
"湯之谷温泉郷","[（ゆのたに）温泉大湯温泉駒の湯温泉] 湯之谷温泉郷 （ゆのたにおんせんきょう）は、 新潟県 魚沼市 （旧 湯之谷村 ）にある 温泉 の総称（ 温泉郷 ）。小出地区から奥只見に向かう谷沿いに、薬師、葎沢、芋川、折立、大湯、栃尾又、駒の湯の各温泉が並んでいる。 越後駒ヶ岳 （標高2003m）の北隣にあり、晴れた日には駒ヶ岳の勇姿が間近に見える。","https://ja.wikipedia.org/wiki/湯之谷温泉郷","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大湯温泉 (新潟県) (存在しないページ)","[大湯温泉]","https://ja.wikipedia.org/w/index.php?title=大湯温泉_(新潟県)&amp;action=edit&amp;redlink=1","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"駒の湯温泉 (存在しないページ)","[駒の湯温泉]","https://ja.wikipedia.org/w/index.php?title=駒の湯温泉&amp;action=edit&amp;redlink=1","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"六日町温泉","[六日町温泉] 六日町温泉 （むいかまちおんせん）は、 新潟県 南魚沼市 にある 温泉 。","https://ja.wikipedia.org/wiki/六日町温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","新潟県南魚沼市","塩化物泉","JR上越線・北越急行ほくほく線六日町駅下車すぐ","51 - 53°C","","14","","","","","","","","","","","","",""
"大沢山温泉","[大沢山温泉] 大沢山温泉 （おおさわやまおんせん）は、 新潟県 南魚沼市 大沢にある 温泉 である。 上越線 大沢駅 付近から 塩ノ又 に通じる 新潟県道76号十日町当間塩沢線 の 大沢峠 に向かう途中にある。 上越国際スキー場 の 大沢ゲレンデ に近く、スキーシーズンの週末は、スキーヤー、スノーボーダーの宿泊も多い。","https://ja.wikipedia.org/wiki/大沢山温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯37度01分18秒東経138度48分08秒","新潟県南魚沼市","ナトリウム-塩化物・炭酸水素塩","JR上越線大沢駅から約2.5 km","27.2°C","","3","","8.46","","","","","","","","","","",""
"広田温泉 (新潟県) (存在しないページ)","[広田温泉]","https://ja.wikipedia.org/w/index.php?title=広田温泉_(新潟県)&amp;action=edit&amp;redlink=1","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"柏崎温泉 (存在しないページ)","[柏崎温泉]","https://ja.wikipedia.org/w/index.php?title=柏崎温泉&amp;action=edit&amp;redlink=1","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"西谷温泉 (存在しないページ)","[（にしだに）温泉]","https://ja.wikipedia.org/w/index.php?title=西谷温泉&amp;action=edit&amp;redlink=1","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"蓬平温泉","[（よもぎひら）温泉] 蓬平温泉 （よもぎひらおんせん）は、 新潟県 長岡市 蓬平町（旧国 越後国 ）にある 温泉 。","https://ja.wikipedia.org/wiki/蓬平温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯37度21分55秒東経138度53分31秒","新潟県長岡市蓬平町","硫黄泉、単純温泉","鉄道：長岡駅から越後交通バス蓬平行きで40分。終点下車。徒歩10分","","","3","","","","","","","","","","","","",""
"越後長野温泉","[越後長野温泉] 越後長野温泉 （えちごながのおんせん）は、 新潟県 三条市 長野（旧国 越後国 ）にある 温泉 である。ここは嵐渓荘（らんけいそう）一軒のみの温泉である。","https://ja.wikipedia.org/wiki/越後長野温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯37度31分37秒東経139度07分05秒","新潟県三条市長野","塩化物泉","信越本線東三条駅より路線バスで約40分","15.5°C","新潟の温泉旅館 嵐渓荘","1","","7.4","毎分21リットル","","","","","","","","","",""
"赤湯温泉 (新潟県)","[赤湯温泉] 赤湯温泉 （あかゆおんせん）は、 新潟県 南魚沼郡 湯沢町 三国にある 温泉 。 徒歩 でしか行けない 秘湯 である。 越後湯沢温泉 郷のひとつとして扱われる事もある。","https://ja.wikipedia.org/wiki/赤湯温泉_(新潟県)","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯36度48分51秒東経138度43分18秒","新潟県南魚沼郡湯沢町三国","塩化物泉","関越自動車道湯沢ICから車で約1時間、下車後徒歩2時間。","41 - 51°C","赤湯温泉 山口館","1","中性","6.5","3源泉合計で37L/分","","","","","","","","","",""
"五十沢温泉 (存在しないページ)","[五十沢温泉]","https://ja.wikipedia.org/w/index.php?title=五十沢温泉&amp;action=edit&amp;redlink=1","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"馬越温泉 (存在しないページ)","[馬越温泉]","https://ja.wikipedia.org/w/index.php?title=馬越温泉&amp;action=edit&amp;redlink=1","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"塩ノ入温泉 (存在しないページ)","[塩ノ入温泉]","https://ja.wikipedia.org/w/index.php?title=塩ノ入温泉&amp;action=edit&amp;redlink=1","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"かまぶろ温泉 (存在しないページ)","[かまぶろ温泉]","https://ja.wikipedia.org/w/index.php?title=かまぶろ温泉&amp;action=edit&amp;redlink=1","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"三島谷温泉 (存在しないページ)","[三島谷温泉]","https://ja.wikipedia.org/w/index.php?title=三島谷温泉&amp;action=edit&amp;redlink=1","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"寺泊岬温泉 (存在しないページ)","[寺泊岬温泉]","https://ja.wikipedia.org/w/index.php?title=寺泊岬温泉&amp;action=edit&amp;redlink=1","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"桂温泉 (存在しないページ)","[桂温泉]","https://ja.wikipedia.org/w/index.php?title=桂温泉&amp;action=edit&amp;redlink=1","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"月岡温泉","[月岡温泉] 月岡温泉 （つきおかおんせん）は、 新潟県 新発田市 にある 温泉 。硫黄含有量の多さで知られる。温泉が所在する住所も「月岡温泉」となっている。","https://ja.wikipedia.org/wiki/月岡温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯37度52分49秒東経139度18分33秒","新潟県新発田市月岡温泉","含硫黄-ナトリウム-塩化物温泉","アクセスの項を参照","50°C","","","","8","","","","","","","","","","",""
"胎内温泉 (存在しないページ)","[胎内温泉]","https://ja.wikipedia.org/w/index.php?title=胎内温泉&amp;action=edit&amp;redlink=1","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"新胎内温泉 (存在しないページ)","[新胎内温泉]","https://ja.wikipedia.org/w/index.php?title=新胎内温泉&amp;action=edit&amp;redlink=1","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"瀬波温泉","[瀬波温泉] 瀬波温泉 （せなみおんせん）は、 新潟県 村上市 にある 温泉 。","https://ja.wikipedia.org/wiki/瀬波温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯38度12分51.414秒 東経139度26分22.108秒","新潟県村上市瀬波温泉 (新潟県)","塩化物泉","日本海東北自動車道村上瀬波温泉ICより車で11分。または、鉄道で羽越本線村上駅下車後、バスで10分。","","瀬波温泉旅館協同組合","11","","","","","","","","","","","","",""
"岩室温泉","[岩室温泉] 岩室温泉 （いわむろおんせん）は、 新潟県 新潟市 西蒲区 （旧国 越後国 ）にある 温泉 、および 町字 。 郵便番号 は953-0104  。","https://ja.wikipedia.org/wiki/岩室温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯37度44分16.22秒 東経138度50分15.73秒","新潟県新潟市西蒲区","塩化物泉","鉄道 :越後線岩室駅よりバスで約11分","41°C","岩室温泉観光協会","","","","","","","","","","","","","",""
"弥彦温泉","[弥彦温泉] 弥彦温泉 （やひこおんせん）は、 新潟県 西蒲原郡 弥彦村 （旧国 越後国 ）にある 温泉 。","https://ja.wikipedia.org/wiki/弥彦温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","新潟県西蒲原郡弥彦村","単純温泉","鉄道：上越新幹線燕三条駅下車。弥彦線乗り換え弥彦駅下車車：北陸自動車道三条燕ICより国道289号線で弥彦方面へ飛行機:新潟空港よりシャトルバスで新潟駅下車。新潟駅より越後線で吉田駅経由、終点弥彦駅下車","47.9°C","","18","アルカリ性","","毎分570L","","","","","","","","","",""
"咲花温泉","[（さきはな）温泉] 咲花温泉 （さきはなおんせん）は、 新潟県 五泉市 にある 温泉 。","https://ja.wikipedia.org/wiki/咲花温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","新潟県五泉市","硫黄泉","鉄道 :磐越西線咲花駅下車すぐ","54°C","咲花温泉旅館協同組合","","","","毎分2,000L","","","","","","","","","",""
"麒麟山温泉 (存在しないページ)","[奥阿賀温泉郷麒麟山温泉三川温泉津川温泉鹿瀬温泉角神温泉]","https://ja.wikipedia.org/w/index.php?title=麒麟山温泉&amp;action=edit&amp;redlink=1","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"麒麟山温泉 (存在しないページ)","[麒麟山温泉]","https://ja.wikipedia.org/w/index.php?title=麒麟山温泉&amp;action=edit&amp;redlink=1","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"三川温泉 (存在しないページ)","[三川温泉]","https://ja.wikipedia.org/w/index.php?title=三川温泉&amp;action=edit&amp;redlink=1","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"津川温泉 (存在しないページ)","[津川温泉]","https://ja.wikipedia.org/w/index.php?title=津川温泉&amp;action=edit&amp;redlink=1","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鹿瀬温泉 (存在しないページ)","[鹿瀬温泉]","https://ja.wikipedia.org/w/index.php?title=鹿瀬温泉&amp;action=edit&amp;redlink=1","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"角神温泉 (存在しないページ)","[角神温泉]","https://ja.wikipedia.org/w/index.php?title=角神温泉&amp;action=edit&amp;redlink=1","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"塩の湯温泉 (新潟県)","[塩の湯温泉] 塩の湯温泉 （しおのゆおんせん）は、 新潟県 胎内市 （旧国 越後国 ）にある 温泉 。","https://ja.wikipedia.org/wiki/塩の湯温泉_(新潟県)","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯38度03分14秒 東経139度19分24秒","新潟県胎内市","塩化物泉","車 :日本海東北自動車道中条ICより約10分","75.3°C","塩の湯温泉（胎内市のHP）","","","","毎分1,850L","","","","","","","","","",""
"湯田上温泉","[（ゆたがみ）温泉] 湯田上温泉 （ゆたがみおんせん）は、 新潟県 南蒲原郡 田上町 （旧国 越後国 ）にある 温泉 。 由来は、温泉のお湯と所在地である田上を合わせたものである。","https://ja.wikipedia.org/wiki/湯田上温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","新潟県南蒲原郡田上町","塩化物泉","信越本線田上駅よりタクシーで約5分","28°C","","5","","","","","","","","","","","","",""
"五頭温泉郷","[五頭温泉郷村杉温泉今板温泉出湯温泉] 五頭温泉郷 （ごずおんせんごう）は、 新潟県 阿賀野市 、 五頭山 麓にある3つの 温泉 の総称。 村杉温泉 、 今板温泉 、 出湯温泉 から成り  、 環境省 の 国民保養温泉地 に指定されている  。","https://ja.wikipedia.org/wiki/五頭温泉郷","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"村杉温泉","[村杉温泉] 村杉温泉 （むらすぎおんせん）は、 新潟県 阿賀野市 （旧国 越後国 ）にある 温泉 。周辺の 出湯温泉 、 今板温泉 と併せて 五頭温泉郷 （ごずおんせんごう）を構成している。","https://ja.wikipedia.org/wiki/村杉温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯37度48分0秒東経139度17分28秒","新潟県阿賀野市","放射能泉","鉄道 :羽越本線水原駅よりバスで約27分","25°C","五頭温泉郷旅館協同組合","8","","","毎分510L","","","","","","","","","",""
"今板温泉","[今板温泉] 今板温泉 （いまいたおんせん）は、 新潟県 阿賀野市 （旧国 越後国 ）にある 温泉 。周辺の 出湯温泉 、 村杉温泉 と併せて 五頭温泉郷 （ごずおんせんごう）を構成している。","https://ja.wikipedia.org/wiki/今板温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯37度48分23秒東経139度17分37秒","新潟県阿賀野市","放射能泉","鉄道 :羽越本線水原駅よりバスで約25分","18.8","五頭温泉郷旅館協同組合","1","","7.5","毎分103L","","","","","","","","","",""
"出湯温泉","[出湯温泉] 出湯温泉 （でゆおんせん）は、 新潟県 阿賀野市 （旧国 越後国 ）にある 温泉 。周辺の 今板温泉 、 村杉温泉 と併せて 五頭温泉郷 （ごずおんせんごう）を構成している。","https://ja.wikipedia.org/wiki/出湯温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯37度49分6秒東経139度17分58秒","新潟県阿賀野市","放射能泉","羽越本線水原駅よりバスで約20分","18.1","","5","中性","6.6","","","700人/日","","","","","","","",""
"山北ゆり花温泉 (存在しないページ)","[（さんぽく）ゆり（はな）温泉]","https://ja.wikipedia.org/w/index.php?title=山北ゆり花温泉&amp;action=edit&amp;redlink=1","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"荒川峡温泉郷","[荒川峡温泉郷高瀬温泉雲母温泉鷹ノ巣温泉] 荒川峡温泉郷 （あらかわきょうおんせんきょう）は、 新潟県 岩船郡 関川村 、 荒川 沿いにある4 温泉 の総称。これに桂の関温泉（ 1997年 道の駅関川 内にオープン）を加えた5温泉は えちごせきかわ温泉郷 と呼ばれる。","https://ja.wikipedia.org/wiki/荒川峡温泉郷","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"高瀬温泉","[高瀬温泉] 荒川峡温泉郷 （あらかわきょうおんせんきょう）は、 新潟県 岩船郡 関川村 、 荒川 沿いにある4 温泉 の総称。これに桂の関温泉（ 1997年 道の駅関川 内にオープン）を加えた5温泉は えちごせきかわ温泉郷 と呼ばれる。","https://ja.wikipedia.org/wiki/高瀬温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"雲母温泉 (存在しないページ)","[雲母温泉]","https://ja.wikipedia.org/w/index.php?title=雲母温泉&amp;action=edit&amp;redlink=1","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鷹ノ巣温泉","[鷹ノ巣温泉] 鷹ノ巣温泉 （たかのすおんせん）は、 新潟県 岩船郡 関川村 の えちごせきかわ温泉郷 にある温泉。","https://ja.wikipedia.org/wiki/鷹ノ巣温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯38度04分12.2秒東経139度35分55.0秒","〒959-3223新潟県岩船郡関川村大内渕","塩化物泉","日本海東北自動車道荒川胎内ICから国道113号経由で約18 km、約30分","54°C","","","","","","","","","","","","","","",""
"佐渡島の温泉地一覧","[佐渡島の温泉地（佐渡市）] 佐渡島の温泉地一覧（さどがしまのおんせんちいちらん） とは、 新潟県 の 佐渡島 （※現在の 佐渡市 全土）にあり、主に東西沿岸部周辺に集中する 温泉地 の一覧である。","https://ja.wikipedia.org/wiki/佐渡島の温泉地一覧","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"宇奈月温泉","[宇奈月温泉] 宇奈月温泉 （うなづきおんせん）は、 富山県 黒部市 にある 温泉 。 黒部川 の電源開発を背景として1923（大正12）年に開湯された温泉地で、黒部川の渓谷沿いなどに 旅館 や保養所が立ち並ぶ。峡谷美を愛でる 黒部峡谷鉄道 の トロッコ 観光の拠点でもある。","https://ja.wikipedia.org/wiki/宇奈月温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯36度49分1.5秒東経137度34分53.5秒","富山県黒部市宇奈月温泉","単純温泉","鉄道 -富山地方鉄道本線：宇奈月温泉駅北陸新幹線：黒部宇奈月温泉駅車 -北陸自動車道：黒部IC","98°C","黒部・宇奈月温泉観光局","","弱アルカリ性","8.15","","低張性","","","","","","","","",""
"金太郎温泉","[金太郎温泉] 金太郎温泉 （きんたろうおんせん）は、 富山県 魚津市 （旧国 越中国 ）にある 温泉 。 国際観光旅館連盟 に加盟している  。","https://ja.wikipedia.org/wiki/金太郎温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯36度50分22.2秒東経137度26分11.6秒","富山県魚津市","含硫黄（硫化水素型）塩化物泉","鉄道：あいの風とやま鉄道線魚津駅よりバスで約15分","75°C","金太郎温泉","1","","不明（弱アルカリ性）","1500L/分","","500 人/日","","","","","","","",""
"天神山温泉","[天神山温泉] 天神山温泉 （てんじんやまおんせん）は、 富山県 魚津市 （旧国 越中国 ）にあった 温泉 。または、温泉旅館の名。","https://ja.wikipedia.org/wiki/天神山温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯36度49分37.7秒東経137度27分2.7秒","富山県魚津市小川寺6075番地","食塩泉","","48°C","","0","","","","","","","","","","","","",""
"小川温泉 (富山県)","[小川温泉] 小川温泉 （おがわおんせん）は、 富山県 下新川郡 朝日町 （旧国 越中国 ）にある 温泉 。","https://ja.wikipedia.org/wiki/小川温泉_(富山県)","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯36度52分43秒東経137度37分48秒","富山県下新川郡朝日町","塩化物泉","鉄道 -あいの風とやま鉄道線：泊駅車 -北陸自動車道：朝日IC","68°C","小川温泉元湯 ホテルおがわ","2（ホテル1・その他1）","弱アルカリ性","","約420L/分","","","","","","","","","",""
"生地温泉","[生地温泉] 生地温泉 （いくじおんせん）は、 富山県 黒部市 生地（旧国 越中国 ）にある 温泉 。","https://ja.wikipedia.org/wiki/生地温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯36度53分55秒東経137度24分52秒","富山県黒部市生地吉田新","塩化物泉","車 -北陸自動車道：黒部IC鉄道 -あいの風とやま鉄道：生地駅","13.1°C","生地温泉たなかや","1","","","約18,720L/日（約13L/分）","","105 人/日","","","","","","","",""
"黒薙温泉","[黒薙温泉] 黒薙温泉 （くろなぎおんせん）は、 富山県 黒部市 宇奈月温泉（旧国 越中国 ）にある 温泉 。","https://ja.wikipedia.org/wiki/黒薙温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯36度47分09秒 東経137度37分44秒","富山県黒部市宇奈月温泉","単純温泉","アクセスの項を参照","97.2°C","","1","弱アルカリ性","8.15","340L/分","低張性","","黒薙温泉","","","","","","",""
"黒部川明日温泉","[黒部川明日温泉] 黒部川明日温泉 （くろべがわあけびおんせん）は、 富山県 下新川郡 入善町 舟見にある 温泉  。温泉名の「明日」は隣接する 黒部市 の地名であるが、住所上は入善町となっている。","https://ja.wikipedia.org/wiki/黒部川明日温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","富山県下新川郡入善町舟見1677-1","ナトリウム炭酸水素塩化物泉","","","黒部川明日温泉元湯 バーデン明日","1","","","","","","","","","","","","",""
"鐘釣温泉","[鐘釣温泉] 鐘釣温泉 （かねつりおんせん  ）は、 富山県 黒部市 宇奈月温泉（旧国 越中国 ）にある 温泉 。鐘釣温泉旅館を有する『 鐘釣温泉 』と、鐘釣美山荘を有する『 新鐘釣温泉 』で分ける場合もある  。","https://ja.wikipedia.org/wiki/鐘釣温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯36度43分52秒東経137度39分2秒","富山県黒部市宇奈月温泉","単純温泉","鉄道：黒部峡谷鉄道本線鐘釣駅下車","60°C","","2","","","","","","","","","","","","",""
"名剣温泉","[名剣温泉] 名剣温泉 （めいけんおんせん）は、 富山県 黒部市 （旧・ 越中国 ）にある 温泉 。","https://ja.wikipedia.org/wiki/名剣温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯36度41分48秒 東経137度39分52秒","富山県黒部市","硫黄泉","鉄道 :黒部峡谷鉄道欅平駅より徒歩約15分","98°C","名剣温泉旅館","1","低張性","","","","","","","","","","","",""
"祖母谷温泉","[祖母谷温泉] 祖母谷温泉 （ばばだにおんせん）は、 富山県 黒部市 宇奈月町黒部にある 温泉 。","https://ja.wikipedia.org/wiki/祖母谷温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯36度41分56秒 東経137度40分48秒","富山県黒部市宇奈月町黒部","硫黄泉","鉄道 :黒部峡谷鉄道欅平駅より徒歩約45分 - 60分","98°C","","1","","","","","","","","","","","","",""
"東谷温泉","[東谷温泉] 東谷温泉 （ひがしたんおんせん）は、 富山県 の 黒部市 と 立山町 の境界未確定地帯にあった 温泉 である。現在は 仙人谷ダム （黒三ダム）貯水池に水没している。別名は 猿の湯 。","https://ja.wikipedia.org/wiki/東谷温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯36度38分44秒東経137度41分6秒","富山県、黒部市と立山町の境界未確定地帯","単純泉","黒部峡谷鉄道本線欅平駅から水平歩道を利用","","","","","","不明","低張性","","","","","","","","",""
"地獄谷 (立山町)","[地獄谷温泉] 地獄谷 （じごくだに）は、 富山県 中新川郡 立山町 （旧国 越中国 ）の 室堂平 にある火山地形帯。 標高 2,300 m に位置する  。室堂平トレッキングの観光ポイントの一つともなっている。立山火山の最後の活動によって みくりが池 などと共に形成された。以前は噴気帯近くに温泉宿があったが、 火山性ガス の危険のために閉鎖され、現在は地獄谷から湧出した湯を、周囲の「 みくりが池温泉 」や「らいちょう温泉」・「雷鳥沢温泉」へ送って使用している。","https://ja.wikipedia.org/wiki/地獄谷_(立山町)","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯36度35分4秒 東経137度35分41秒","","","","","","","","","","","","","","","","","","",""
"みくりが池温泉","[みくりが池温泉] みくりが池温泉 （みくりがいけおんせん）は、 富山県 中新川郡 立山町 にある 温泉 。 中部山岳国立公園 区域内にある。同名の温泉宿があり、その標高は2,410m  で「 日本最高所の温泉宿 」とされる。","https://ja.wikipedia.org/wiki/みくりが池温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯36度34分55秒東経137度35分46秒","富山県中新川郡立山町","硫黄泉","鉄道：立山黒部貫光立山トンネルトロリーバス室堂駅より徒歩約15分バス：立山黒部貫光立山高原バス室堂バス停（トロリーバス駅と同所）から徒歩","70°C","みくりが池温泉公式HP","1","酸性","3.1","","","","","","","","","","",""
"立山温泉","[立山温泉] 立山温泉 （たてやまおんせん）は、 富山県 中新川郡 立山町 （旧国 越中国 ）にかつてあった 温泉 。","https://ja.wikipedia.org/wiki/立山温泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","富山県中新川郡立山町","単純温泉、炭酸水素塩泉","","","","","弱アルカリ性","","","低張性","","","","","","","","",""
"大谷温泉 (富山県)","[大谷温泉] 大谷温泉 （おおたにおんせん）は、 富山県 魚津市 大海寺新にかつて存在した 温泉 。『 大谷鉱泉 』とも呼ばれていた  。","https://ja.wikipedia.org/wiki/大谷温泉_(富山県)","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯36度47分56.3秒東経137度26分41.1秒","富山県魚津市大海寺新","塩化物泉、硫黄泉","鉄道 :あいの風とやま鉄道魚津駅よりタクシーで約15分","13°C","","0","弱アルカリ性","","","","","","","","","","","",""
"北山鉱泉","[北山鉱泉] 北山鉱泉 （きたやまこうせん）は、 富山県 魚津市 にある 鉱泉 （ 温泉 ）である。 北山温泉 とも表記される場合がある  。","https://ja.wikipedia.org/wiki/北山鉱泉","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","北緯36度46分29.3秒東経137度26分42.7秒","富山県魚津市北山","食塩泉","鉄道：魚津駅から車で約20分乗用車：魚津ICから車で約10分","35°C","北山旅館組合","5","","","","","","","","","","","","",""
"吉峰温泉 (存在しないページ)","[吉峰温泉]","https://ja.wikipedia.org/w/index.php?title=吉峰温泉&amp;action=edit&amp;redlink=1","日本の温泉地一覧","https://ja.wikipedia.org/wiki/日本の温泉地一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
