"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","標高","所在地","初登頂","山系","位置","プロミネンス","所属山脈","最容易,ルート","総称","種類","アイソレーション","全長","翻訳","親山頂","Hidden","Hidden","Hidden","Hidden","Hidden"
"ガンガプルナ","[59ヒマラヤ-32ガンガプルナヒマラヤ ネパール7,45524,4591965北緯28度36分17秒東経83度57分51秒﻿ / ﻿北緯28.60472度 東経83.96417度﻿ /28.60472; 83.96417] しかし、14座ある8000メートル峰の中では10番目の標高であるが、けっして容易な山ではない。北面は常に雪崩の危険がつきまとい、南面は岩と氷の困難な大岩壁が立ちはだかっている。最も登られる北斜面では、初登頂ルートを含む北氷河を通過するルートで雪崩が頻発し、雪崩を避けるために稜線沿いにルートをとった場合でさえ雪崩の死者が多数出ている   。そのため8000メートル峰の中では最も登頂者が少なく、2012年3月の時点で、登頂者数191人に対して死亡者数は61人  に達する。死亡率が高い理由は、エベレストのような商業登山の対象とならず、難度の高いルート、単独ないし アルパイン・スタイル 、無酸素による挑戦の比率が高いことにも起因している。","https://ja.wikipedia.org/wiki/アンナプルナ","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯28度35分00秒東経83度49分00秒","8091m","ネパール中部","モーリス・エルゾーグ、ルイ・ラシュナル（フランス語版）（1950年6月3日）","ヒマラヤ山脈","北緯28度35分00秒東経83度49分00秒﻿ / ﻿北緯28.58333度 東経83.81667度﻿ /28.58333; 83.81667座標:北緯28度35分00秒東経83度49分00秒﻿ / ﻿北緯28.58333度 東経83.81667度﻿ /28.58333; 83.81667","","","","","","","","","","","","","",""
"ポベーダ山","[60天山山脈-01ポベーダ山天山山脈 キルギス 中国7,43924,4061956北緯42度02分06秒東経80度07分32秒﻿ / ﻿北緯42.03500度 東経80.12556度﻿ /42.03500; 80.12556] ポベーダ山はいくつかのピークを持つ山塊であり、主峰のみが7,000mを超える。 ハン・テングリ （7,010m）の16kmほど南西に位置し、南イヌイリチェク（South Engilchek）氷河によって分け隔てられている。双方の山に登るためのベースキャンプはこの氷河に設けられることが多い。","https://ja.wikipedia.org/wiki/ポベーダ山","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯42度02分06秒東経80度07分32秒","7,439m","キルギス中国","ヴィタリー・アバラコフ（1956年）","天山山脈","北緯42度02分06秒東経80度07分32秒﻿ / ﻿北緯42.03500度 東経80.12556度﻿ /42.03500; 80.12556座標:北緯42度02分06秒東経80度07分32秒﻿ / ﻿北緯42.03500度 東経80.12556度﻿ /42.03500; 80.12556","","","","","","","","","","","","","",""
"K12","[61カラコルム-27K12カラコルム パキスタン(カシミール地域)7,42824,3701974北緯35度17分42秒東経77度01分18秒﻿ / ﻿北緯35.29500度 東経77.02167度﻿ /35.29500; 77.02167] K12は シアチェン氷河 の南西に位置する。K12からの氷河は北東の斜面に向かい、シアチェン氷河に続いている。K12の西面はビラフォンド氷河系に続き、そこからダンサム川を経て最終的には インダス川 に流れる。","https://ja.wikipedia.org/wiki/K12_(山)","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯35度19分16.9秒東経76度59分59.9秒","7,428 m(24,370 ft) 世界61位","シアチェン地域。インドが実効支配し、ラダックの一部としている。","1974年 日本・京都大学隊","","","1,978 m(6,490 ft) ","カラコルム山脈サルトロ山地（英語版）","snow/ice climb","ウルトラ・プロミネント峰","","","","","","","","","",""
"ヤングラ","[62ヒマラヤ-33ヤングラ（英語版）/ガネッシュ・ヒマールI峰ヒマラヤ ネパール 中国7,42224,3501955北緯28度23分28秒東経85度07分38秒﻿ / ﻿北緯28.39111度 東経85.12722度﻿ /28.39111; 85.12722]","https://ja.wikipedia.org/w/index.php?title=ヤングラ&amp;action=edit&amp;redlink=1","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","","","","","","","","","","","","","","","","","","","",""
"シア・カンリ","[63カラコルム-28シア・カンリカラコルム パキスタン(カシミール地域)7,42224,3501934北緯35度39分48秒東経76度45分45秒﻿ / ﻿北緯35.66333度 東経76.76250度﻿ /35.66333; 76.76250] シアカンリの初登頂は1934年の国際ヒマラヤ遠征隊に参加したスイス/ドイツの登山家ギュンター・ディーレンフルトが達成した。アタック隊にはディーレンフルトの妻ヘッティも参加しており、当時の女性の 世界最高到達高度記録 を達成した。この記録は以後20年破られなかった。","https://ja.wikipedia.org/wiki/シアカンリ","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯35度39分49秒東経76度45分42秒","7,442 m(24,416 ft) 第63位","インド–パキスタン–中国","1934年 (国際ヒマラヤ遠征隊、ギュンター・ディーレンフルト)","","","640 m(2,100 ft)","バルトロ山群","","","","","","","","","","","",""
"モムヒル・サール","[64カラコルム-29モムヒル・サール（英語版）カラコルム パキスタン(カシミール地域)7,41424,3241964北緯36度19分04秒東経75度02分11秒﻿ / ﻿北緯36.31778度 東経75.03639度﻿ /36.31778; 75.03639]","https://ja.wikipedia.org/w/index.php?title=モムヒル・サール&amp;action=edit&amp;redlink=1","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","","","","","","","","","","","","","","","","","","","",""
"カブルー","[65ヒマラヤ-34カブルーヒマラヤ インド ネパール7,41224,3181994北緯27度38分02秒東経88度07分00秒﻿ / ﻿北緯27.63389度 東経88.11667度﻿ /27.63389; 88.11667] カブルーが属する尾根は、以下の部分から構成される（北から南に）。","https://ja.wikipedia.org/wiki/カブルー","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯27度38分06秒東経88度07分06秒","7,412 m(24,318 ft) 世界65位","インド・ネパール国境","","","","780 m(2,560 ft)","ヒマラヤ山脈","","","","","","","","","","","",""
"スキル・ブルム","[66カラコルム-30スキル・ブルム（英語版）カラコルム パキスタン 中国7,41024,3111957北緯35度51分03秒東経76度25分45秒﻿ / ﻿北緯35.85083度 東経76.42917度﻿ /35.85083; 76.42917]","https://ja.wikipedia.org/w/index.php?title=スキル・ブルム&amp;action=edit&amp;redlink=1","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","","","","","","","","","","","","","","","","","","","",""
"ハラモシュ","[67カラコルム-31ハラモシュ（英語版）カラコルム パキスタン(カシミール地域)7,40924,3081958北緯35度50分24秒東経74度53分51秒﻿ / ﻿北緯35.84000度 東経74.89750度﻿ /35.84000; 74.89750]","https://ja.wikipedia.org/w/index.php?title=ハラモシュ&amp;action=edit&amp;redlink=1","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","","","","","","","","","","","","","","","","","","","",""
"イストルオナ","[68ヒンドゥークシュ-03イストルオナ（英語版）ヒンドゥークシュ パキスタン7,40324,2881969北緯36度22分35秒東経71度53分55秒﻿ / ﻿北緯36.37639度 東経71.89861度﻿ /36.37639; 71.89861]","https://ja.wikipedia.org/w/index.php?title=イストルオナ&amp;action=edit&amp;redlink=1","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","","","","","","","","","","","","","","","","","","","",""
"ゲント・カンリ","[69カラコルム-32ゲント・カンリ（英語版）カラコルム インド(カシミール地域)7,40124,2811961北緯35度31分03秒東経76度48分01秒﻿ / ﻿北緯35.51750度 東経76.80028度﻿ /35.51750; 76.80028]","https://ja.wikipedia.org/w/index.php?title=ゲント・カンリ&amp;action=edit&amp;redlink=1","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","","","","","","","","","","","","","","","","","","","",""
"ウルタール・サール","[70カラコルム-33ウルタール・サールカラコルム パキスタン(カシミール地域)7,38824,2391996北緯36度23分54秒東経74度42分32秒﻿ / ﻿北緯36.39833度 東経74.70889度﻿ /36.39833; 74.70889] 8000メートル峰 が全て攻略され、先鋭登山の主流が未踏の7000m峰に移った後に、政治的な理由などで入山が不可能だった山を除いた「最後の未踏峰」として残された難峰である。熾烈な初登頂争いが展開されたが、頻繁に発生する雪崩と落石、悪天候、ルート取りの困難さなどから一流の登山家を退け続け、「解の見つからない山」「7000mの高さに アイガー 北壁を重ねたようなもの」と評された。","https://ja.wikipedia.org/wiki/ウルタール・サール","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯36度23分59秒東経74度41分31秒","7,388m","パキスタンギルギット・バルティスタン州","山崎彰人・松岡清司（1996年7月11日）","カラコルム山脈バツーラ山群","北緯36度23分59秒東経74度41分31秒﻿ / ﻿北緯36.39972度 東経74.69194度﻿ /36.39972; 74.69194座標:北緯36度23分59秒東経74度41分31秒﻿ / ﻿北緯36.39972度 東経74.69194度﻿ /36.39972; 74.69194","","","","","","","","","","","","","",""
"リモI","[71カラコルム-34リモIカラコルム インド(カシミール地域)7,38524,2291988北緯35度21分21秒東経77度22分05秒﻿ / ﻿北緯35.35583度 東経77.36806度﻿ /35.35583; 77.36806] リモ山群は、「リモ」の名を冠した6峰の山峰から成っている。リモIの他に、以下の山々がある。","https://ja.wikipedia.org/wiki/リモI","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯35度21分21秒東経77度22分05秒","7,385 m(24,229 ft) 71位","インド（パキスタン）ラダック、シアチェン地域","1988年7月28日ニマ・ドルジェ・シェルパ (Nima Dorje Sherpa)ツェワン・セマンラ（英語版）尾形好雄吉田秀樹","","","1,438 m(4,718 ft) ","カラコルム山脈、リモ山群","南壁、南西稜","","","","","","","","","","",""
"チューレン・ヒマール","[72ヒマラヤ-35チューレン・ヒマールヒマラヤ ネパール7,38524,2291970北緯28度44分06秒東経83度12分58秒﻿ / ﻿北緯28.73500度 東経83.21611度﻿ /28.73500; 83.21611]","https://ja.wikipedia.org/w/index.php?title=チューレン・ヒマール&amp;action=edit&amp;redlink=1","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","","","","","","","","","","","","","","","","","","","",""
"テラム・カンリ","[73カラコルム-35テラム・カンリ（英語版）IIIカラコルム インド(カシミール地域)7,38224,2191979北緯35度35分59秒東経77度02分53秒﻿ / ﻿北緯35.59972度 東経77.04806度﻿ /35.59972; 77.04806]","https://ja.wikipedia.org/w/index.php?title=テラム・カンリ&amp;action=edit&amp;redlink=1","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","","","","","","","","","","","","","","","","","","","",""
"シェルピ・カンリ","[74カラコルム-36シェルピ・カンリカラコルム パキスタン(カシミール地域)7,38024,2131976北緯35度27分58秒東経76度46分53秒﻿ / ﻿北緯35.46611度 東経76.78139度﻿ /35.46611; 76.78139] シェルピカンリは、インド、パキスタン両軍の間の 実際の地上位置線 (AGPL) の線上に位置しているとも、それに極めて近い位置にあるともされている。","https://ja.wikipedia.org/wiki/シェルピカンリ","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯35度27分54秒東経76度46分20秒","7,380 m(24,210 ft) 74位","インド/パキスタン紛争地域カシミールサルトロ山地（英語版）","1976年神戸大学隊","","","1,000 m(3,300 ft)","カラコルム","","","","","","","","","","","",""
"ラブチェ・カン","[75ヒマラヤ-36ラブチェ・カンヒマラヤ 中国7,36724,1701987北緯28度18分15秒東経86度21分03秒﻿ / ﻿北緯28.30417度 東経86.35083度﻿ /28.30417; 86.35083] ","https://ja.wikipedia.org/wiki/ラブチェ・カン","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯28度18分15秒東経86度21分03秒","7,367 m(24,170 ft) 世界75位","中国・チベット自治区","1987年10月26日 by A. Deuchi, H. Furukawa, K. Sudo（日本）Diaqiog, Gyala, Lhaji, Wanjia（中国）","","","1,957 m(6,421 ft) ","ヒマラヤ山脈ラブチェ・ヒマール","西稜、氷河・雪","ウルトラ・プロミネント峰","","","","","","","","","",""
"キラット・チャリ","[76ヒマラヤ-37キラット・チャリ（英語版）ヒマラヤ インド ネパール7,36224,1531939北緯27度47分13秒東経88度11分40秒﻿ / ﻿北緯27.78694度 東経88.19444度﻿ /27.78694; 88.19444]","https://ja.wikipedia.org/w/index.php?title=キラット・チャリ&amp;action=edit&amp;redlink=1","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","","","","","","","","","","","","","","","","","","","",""
"アビ・ガミン","[ヒマラヤ-38アビ・ガミン（英語版）ヒマラヤ インド 中国7,35524,1311950北緯30度55分57秒東経79度36分09秒﻿ / ﻿北緯30.93250度 東経79.60250度﻿ /30.93250; 79.60250]","https://ja.wikipedia.org/w/index.php?title=アビ・ガミン&amp;action=edit&amp;redlink=1","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","","","","","","","","","","","","","","","","","","","",""
"ナンパイ・ゴスム","[77ヒマラヤ-39ナンパイ・ゴスム（英語版）ヒマラヤ ネパール 中国7,35024,1141996北緯28度04分20秒東経86度36分52秒﻿ / ﻿北緯28.07222度 東経86.61444度﻿ /28.07222; 86.61444]","https://ja.wikipedia.org/w/index.php?title=ナンパイ・ゴスム&amp;action=edit&amp;redlink=1","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","","","","","","","","","","","","","","","","","","","",""
"ギミゲラ・チュリ","[ヒマラヤ-40ギミゲラ・チュリ（英語版）/ザ・ツインズヒマラヤ インド ネパール7,35024,1141994北緯27度44分24秒東経88度09分28秒﻿ / ﻿北緯27.74000度 東経88.15778度﻿ /27.74000; 88.15778]","https://ja.wikipedia.org/w/index.php?title=ギミゲラ・チュリ&amp;action=edit&amp;redlink=1","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","","","","","","","","","","","","","","","","","","","",""
"サラグラル","[78ヒンドゥークシュ-04サラグラル（英語版）ヒンドゥークシュ パキスタン7,34924,1111959北緯36度32分51秒東経72度06分54秒﻿ / ﻿北緯36.54750度 東経72.11500度﻿ /36.54750; 72.11500]","https://ja.wikipedia.org/w/index.php?title=サラグラル&amp;action=edit&amp;redlink=1","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","","","","","","","","","","","","","","","","","","","",""
"ジョモルハリ","[79ヒマラヤ-41ジョモルハリ（英語版）ヒマラヤ ブータン 中国7,32624,0351937北緯27度49分37秒東経89度16分28秒﻿ / ﻿北緯27.82694度 東経89.27444度﻿ /27.82694; 89.27444]","https://ja.wikipedia.org/w/index.php?title=ジョモルハリ&amp;action=edit&amp;redlink=1","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","","","","","","","","","","","","","","","","","","","",""
"チャムラン","[80ヒマラヤ-42チャムラン（英語版）ヒマラヤ ネパール7,32124,0191961北緯27度46分30秒東経86度58分47秒﻿ / ﻿北緯27.77500度 東経86.97972度﻿ /27.77500; 86.97972]","https://ja.wikipedia.org/w/index.php?title=チャムラン&amp;action=edit&amp;redlink=1","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","","","","","","","","","","","","","","","","","","","",""
"チョンタール","[81カラコルム-37チョンタール（英語版）カラコルム パキスタン 中国7,31523,9991994北緯35度54分46秒東経76度25分47秒﻿ / ﻿北緯35.91278度 東経76.42972度﻿ /35.91278; 76.42972]","https://ja.wikipedia.org/w/index.php?title=チョンタール&amp;action=edit&amp;redlink=1","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","","","","","","","","","","","","","","","","","","","",""
"バルトロ・カンリ","[82カラコルム-38バルトロ・カンリ（英語版）カラコルム パキスタン(カシミール地域)7,31223,9901976北緯35度38分21秒東経76度40分24秒﻿ / ﻿北緯35.63917度 東経76.67333度﻿ /35.63917; 76.67333]","https://ja.wikipedia.org/w/index.php?title=バルトロ・カンリ&amp;action=edit&amp;redlink=1","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","","","","","","","","","","","","","","","","","","","",""
"スークァン・リ","[83ヒマラヤ-43スークァン・リ（英語版）ヒマラヤ 中国7,30923,9801989北緯28度08分49秒東経86度41分06秒﻿ / ﻿北緯28.14694度 東経86.68500度﻿ /28.14694; 86.68500]","https://ja.wikipedia.org/w/index.php?title=スークァン・リ&amp;action=edit&amp;redlink=1","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","","","","","","","","","","","","","","","","","","","",""
"皇冠山","[84カラコルム-39皇冠山/ザ・クラウンカラコルム パキスタン 中国7,29523,9341993北緯36度06分22秒東経76度12分26秒﻿ / ﻿北緯36.10611度 東経76.20722度﻿ /36.10611; 76.20722] 1989年に行われ失敗に終わったイギリス隊の登頂の記録は、1989年に ヒュー・マクマナーズ の\"Crowning the Dragon\"( .mw-parser-output cite.citation{font-style:inherit}.mw-parser-output .citation q{quotes:\"\\"\"\"\\"\"\"'\"\"'\"}.mw-parser-output .id-lock-free a,.mw-parser-output .citation .cs1-lock-free a{background:linear-gradient(transparent,transparent),url(\"//upload.wikimedia.org/wikipedia/commons/6/65/Lock-green.svg\")right 0.1em center/9px no-repeat}.mw-parser-output .id-lock-limited a,.mw-parser-output .id-lock-registration a,.mw-parser-output .citation .cs1-lock-limited a,.mw-parser-output .citation .cs1-lock-registration a{background:linear-gradient(transparent,transparent),url(\"//upload.wikimedia.org/wikipedia/commons/d/d6/Lock-gray-alt-2.svg\")right 0.1em center/9px no-repeat}.mw-parser-output .id-lock-subscription a,.mw-parser-output .citation .cs1-lock-subscription a{background:linear-gradient(transparent,transparent),url(\"//upload.wikimedia.org/wikipedia/commons/a/aa/Lock-red-alt-2.svg\")right 0.1em center/9px no-repeat}.mw-parser-output .cs1-subscription,.mw-parser-output .cs1-registration{color:#555}.mw-parser-output .cs1-subscription span,.mw-parser-output .cs1-registration span{border-bottom:1px dotted;cursor:help}.mw-parser-output .cs1-ws-icon a{background:linear-gradient(transparent,transparent),url(\"//upload.wikimedia.org/wikipedia/commons/4/4c/Wikisource-logo.svg\")right 0.1em center/12px no-repeat}.mw-parser-output code.cs1-code{color:inherit;background:inherit;border:none;padding:inherit}.mw-parser-output .cs1-hidden-error{display:none;font-size:100%}.mw-parser-output .cs1-visible-error{font-size:100%}.mw-parser-output .cs1-maint{display:none;color:#33aa33;margin-left:0.3em}.mw-parser-output .cs1-format{font-size:95%}.mw-parser-output .cs1-kern-left,.mw-parser-output .cs1-kern-wl-left{padding-left:0.2em}.mw-parser-output .cs1-kern-right,.mw-parser-output .cs1-kern-wl-right{padding-right:0.2em}.mw-parser-output .citation .mw-selflink{font-weight:inherit} 0586204253 )として出版された。","https://ja.wikipedia.org/wiki/皇冠山","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯36度06分30秒東経76度12分45秒","7,295 m(23,934 ft) 世界84位","中国新疆ウイグル自治区","1993年 日本隊","","","1,919 m(6,296 ft) ","カラコルム山脈音蘇蓋提（英語版）","YDS グレード VI","ウルトラ・プロミネント峰","","","","","","","","","",""
"ギャラ・ペリ","[85ヒマラヤ-44ギャラ・ペリ（英語版）ヒマラヤ 中国7,29423,9301986北緯29度48分47秒東経94度58分03秒﻿ / ﻿北緯29.81306度 東経94.96750度﻿ /29.81306; 94.96750]","https://ja.wikipedia.org/w/index.php?title=ギャラ・ペリ&amp;action=edit&amp;redlink=1","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","","","","","","","","","","","","","","","","","","","",""
"ポ―ロン・リ","[86ヒマラヤ-45ポ―ロン・リ（英語版）ヒマラヤ 中国7,29223,9241982北緯28度23分22秒東経85度43分17秒﻿ / ﻿北緯28.38944度 東経85.72139度﻿ /28.38944; 85.72139]","https://ja.wikipedia.org/w/index.php?title=ポ―ロン・リ&amp;action=edit&amp;redlink=1","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","","","","","","","","","","","","","","","","","","","",""
"バインター・ブラック","[87カラコルム-40バインター・ブラック（英語版）/オーガカラコルム パキスタン(カシミール地域)7,28523,9011977北緯35度56分51秒東経75度45分12秒﻿ / ﻿北緯35.94750度 東経75.75333度﻿ /35.94750; 75.75333]","https://ja.wikipedia.org/w/index.php?title=バインター・ブラック&amp;action=edit&amp;redlink=1","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","","","","","","","","","","","","","","","","","","","",""
"ユトマル・サール","[88カラコルム-41ユトマル・サール（英語版）カラコルム パキスタン(カシミール地域)7,28323,8941980北緯36度13分40秒東経75度22分05秒﻿ / ﻿北緯36.22778度 東経75.36806度﻿ /36.22778; 75.36806]","https://ja.wikipedia.org/w/index.php?title=ユトマル・サール&amp;action=edit&amp;redlink=1","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","","","","","","","","","","","","","","","","","","","",""
"K6","[89カラコルム-42K6（英語版）/バルティスタン・ピークカラコルム パキスタン(カシミール地域)7,28223,8911970北緯35度25分06秒東経76度33分08秒﻿ / ﻿北緯35.41833度 東経76.55222度﻿ /35.41833; 76.55222]","https://ja.wikipedia.org/w/index.php?title=K6_(山)&amp;action=edit&amp;redlink=1","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","","","","","","","","","","","","","","","","","","","",""
"カンペンチン","[90ヒマラヤ-46カンペンチン（英語版）ヒマラヤ 中国7,28123,8881982北緯28度33分03秒東経85度32分44秒﻿ / ﻿北緯28.55083度 東経85.54556度﻿ /28.55083; 85.54556]","https://ja.wikipedia.org/w/index.php?title=カンペンチン&amp;action=edit&amp;redlink=1","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","","","","","","","","","","","","","","","","","","","",""
"ムスターグ・タワー","[91カラコルム-43ムスターグ・タワーカラコルム パキスタン(カシミール地域)7,27623,8711956北緯35度49分38秒東経76度21分39秒﻿ / ﻿北緯35.82722度 東経76.36083度﻿ /35.82722; 76.36083] ","https://ja.wikipedia.org/wiki/ムスターグ・タワー","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯35度49分36秒東経76度21分42秒","7276m","パキスタン","1956年","カラコルム山脈","北緯35度49分36秒東経76度21分42秒﻿ / ﻿北緯35.82667度 東経76.36167度﻿ /35.82667; 76.36167座標:北緯35度49分36秒東経76度21分42秒﻿ / ﻿北緯35.82667度 東経76.36167度﻿ /35.82667; 76.36167","","","","","","","","","","","","","",""
"マナ","[92ヒマラヤ-47マナ（英語版）ヒマラヤ インド7,27223,8581937北緯30度52分51秒東経79度36分56秒﻿ / ﻿北緯30.88083度 東経79.61556度﻿ /30.88083; 79.61556]","https://ja.wikipedia.org/w/index.php?title=カメット&amp;action=edit&amp;redlink=1","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","","","","","","","","","","","","","","","","","","","",""
"ダウラギリ VI","[ヒマラヤ-48ダウラギリ VIヒマラヤ ネパール7,26823,8451970北緯28度42分29秒東経83度16分21秒﻿ / ﻿北緯28.70806度 東経83.27250度﻿ /28.70806; 83.27250] ダウラギリは、1808年に初めてヨーロッパの人々に知られるようになり、 カンチェンジュンガ の存在が知られるまでの約30年間、世界一高い山と考えられていた。","https://ja.wikipedia.org/wiki/ダウラギリ","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯28度41分47秒東経83度29分43秒","8167m","ネパールダウラギリ県","スイス・オーストリア隊（1960年5月13日）","ヒマラヤ山脈","北緯28度41分47秒東経83度29分43秒﻿ / ﻿北緯28.69639度 東経83.49528度﻿ /28.69639; 83.49528座標:北緯28度41分47秒東経83度29分43秒﻿ / ﻿北緯28.69639度 東経83.49528度﻿ /28.69639; 83.49528","","","","","","","","","","","","","",""
"ディラン","[93カラコルム-44ディラン（英語版）カラコルム パキスタン7,26623,8391968北緯36度07分13秒東経74度39分42秒﻿ / ﻿北緯36.12028度 東経74.66167度﻿ /36.12028; 74.66167]","https://ja.wikipedia.org/w/index.php?title=ディラン_(山)&amp;action=edit&amp;redlink=1","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","","","","","","","","","","","","","","","","","","","",""
"ラブチェ・カン","[94ヒマラヤ-49ラブチェ・カンIII/Eastヒマラヤ 中国7,25023,7861987北緯28度18分05秒東経86度23分02秒﻿ / ﻿北緯28.30139度 東経86.38389度﻿ /28.30139; 86.38389] ","https://ja.wikipedia.org/wiki/ラブチェ・カン","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","北緯28度18分15秒東経86度21分03秒","7,367 m(24,170 ft) 世界75位","中国・チベット自治区","1987年10月26日 by A. Deuchi, H. Furukawa, K. Sudo（日本）Diaqiog, Gyala, Lhaji, Wanjia（中国）","","","1,957 m(6,421 ft) ","ヒマラヤ山脈ラブチェ・ヒマール","西稜、氷河・雪","ウルトラ・プロミネント峰","","","","","","","","","",""
"プタ・ヒウンチュリ","[95ヒマラヤ-50プタ・ヒウンチュリヒマラヤ ネパール7,24623,7731954北緯28度44分52秒東経83度08分46秒﻿ / ﻿北緯28.74778度 東経83.14611度﻿ /28.74778; 83.14611]","https://ja.wikipedia.org/w/index.php?title=プタ・ヒウンチュリ&amp;action=edit&amp;redlink=1","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","","","","","","","","","","","","","","","","","","","",""
"アプサラサス・カンリ","[96カラコルム-45アプサラサス・カンリ（英語版）カラコルム パキスタン7,24523,7701976北緯35度32分19秒東経77度08分55秒﻿ / ﻿北緯35.53861度 東経77.14861度﻿ /35.53861; 77.14861]","https://ja.wikipedia.org/w/index.php?title=アプサラサス・カンリ&amp;action=edit&amp;redlink=1","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","","","","","","","","","","","","","","","","","","","",""
"ムクート・パルバット","[97ヒマラヤ-51ムクート・パルバット（英語版）ヒマラヤ ネパール7,24223,7601951北緯30度56分57秒東経79度34分12秒﻿ / ﻿北緯30.94917度 東経79.57000度﻿ /30.94917; 79.57000]","https://ja.wikipedia.org/w/index.php?title=カメット&amp;action=edit&amp;redlink=1","世界の山一覧_(高さ順)","https://ja.wikipedia.org/wiki/世界の山一覧_(高さ順)","表形式","","","","","","","","","","","","","","","","","","","",""
