"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","標高","所在地","位置","山系","種類","初登頂","最新噴火","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"大崩山","[69おおくえやま大崩山宮崎県延岡市(1)1,643.3地理院地図Googleマップ北緯32度44分16秒東経131度30分47秒﻿ / ﻿北緯32.737715度 東経131.513102度﻿ /32.737715; 131.513102﻿ (大崩山)日本二百名山] 大崩山 （おおくえやま）は、 宮崎県 延岡市 北西部にあり 九州山地 に属する大崩山群の主峰である。","https://ja.wikipedia.org/wiki/大崩山","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯32度44分15秒東経131度30分47秒","1,643.3m","日本宮崎県延岡市","北緯32度44分15秒東経131度30分47秒﻿ / ﻿北緯32.73750度 東経131.51306度﻿ /32.73750; 131.51306","九州山地","変成岩、火成岩","","","","","","","","","","","","","",""
"鉾岳 (存在しないページ)","[70画 像 募 集 中ほこだけ鉾岳宮崎県延岡市1,277地理院地図Googleマップ北緯32度42分12秒東経131度30分54秒﻿ / ﻿北緯32.703261度 東経131.514908度﻿ /32.703261; 131.514908﻿ (鉾岳)鋒岳]","https://ja.wikipedia.org/w/index.php?title=鉾岳&amp;action=edit&amp;redlink=1","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"二つ岳 (存在しないページ)","[71ふたつだけ二ツ岳宮崎県高千穂町・日之影町(3)1,257.1地理院地図Googleマップ北緯32度45分21秒東経131度24分04秒﻿ / ﻿北緯32.755880度 東経131.401027度﻿ /32.755880; 131.401027﻿ (二ツ岳)二つ岳]","https://ja.wikipedia.org/w/index.php?title=二つ岳&amp;action=edit&amp;redlink=1","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"可愛岳","[72画 像 募 集 中えのだけ可愛岳宮崎県延岡市(2)727.7地理院地図Googleマップ北緯32度39分22秒東経131度39分22秒﻿ / ﻿北緯32.656131度 東経131.656015度﻿ /32.656131; 131.656015﻿ (可愛岳)] 可愛岳 （えのたけ、えのだけ）は 宮崎県 延岡市 にある標高728mの山である  。 可愛嶽 とも書かれる。","https://ja.wikipedia.org/wiki/可愛岳","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"行縢山","[73むかばきやま行縢山宮崎県延岡市(2)829.9地理院地図Googleマップ北緯32度37分33秒東経131度34分20秒﻿ / ﻿北緯32.625935度 東経131.572272度﻿ /32.625935; 131.572272﻿ (行縢山)] 行縢山 （むかばきやま）は、 九州 南部に広がる 九州山地 の東部にそびえる 山 である。 宮崎県 延岡市 に位置する。","https://ja.wikipedia.org/wiki/行縢山","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯32度37分33.4秒東経131度34分20.2秒","829.9m","日本宮崎県延岡市","北緯32度37分33.4秒東経131度34分20.2秒﻿ / ﻿北緯32.625944度 東経131.572278度﻿ /32.625944; 131.572278座標:北緯32度37分33.4秒東経131度34分20.2秒﻿ / ﻿北緯32.625944度 東経131.572278度﻿ /32.625944; 131.572278","九州山地","火成岩","","","","","","","","","","","","","",""
"比叡山 (宮崎県)","[74画 像 募 集 中ひえいざん比叡山宮崎県延岡市918地理院地図Googleマップ北緯32度39分08秒東経131度27分44秒﻿ / ﻿北緯32.652188度 東経131.462136度﻿ /32.652188; 131.462136﻿ (比叡山)] 比叡山 （ひえいざん）は 宮崎県 延岡市 北方町 に位置する 標高 760mの 山 である   。なお、山頂については、標高918mの 三角点 のある地点  ではなく、西側の標高760m地点を以って、山頂とすることが多いという  。","https://ja.wikipedia.org/wiki/比叡山_(宮崎県)","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯32度39分10.5秒東経131度26分51.9秒","760m","日本宮崎県延岡市北方町","北緯32度39分10.5秒東経131度26分51.9秒﻿ / ﻿北緯32.652917度 東経131.447750度﻿ /32.652917; 131.447750座標:北緯32度39分10.5秒東経131度26分51.9秒﻿ / ﻿北緯32.652917度 東経131.447750度﻿ /32.652917; 131.447750","大崩山地","","","","","","","","","","","","","","",""
"諸塚山 (存在しないページ)","[75画 像 募 集 中もろつかやま諸塚山宮崎県高千穂町・諸塚村(2)1,341.5地理院地図Googleマップ北緯32度38分05秒東経131度17分15秒﻿ / ﻿北緯32.634592度 東経131.287423度﻿ /32.634592; 131.287423﻿ (諸塚山)]","https://ja.wikipedia.org/w/index.php?title=諸塚山&amp;action=edit&amp;redlink=1","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"祇園山 (存在しないページ)","[76画 像 募 集 中ぎおんやま祇園山宮崎県五ヶ瀬町1,307.1地理院地図Googleマップ北緯32度38分15秒東経131度11分04秒﻿ / ﻿北緯32.637422度 東経131.184350度﻿ /32.637422; 131.184350﻿ (祇園山)]","https://ja.wikipedia.org/w/index.php?title=祇園山&amp;action=edit&amp;redlink=1","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"白岩山 (宮崎県) (存在しないページ)","[77しらいわやま白岩山宮崎県五ヶ瀬町・椎葉村1,620地理院地図Googleマップ北緯32度33分45秒東経131度06分41秒﻿ / ﻿北緯32.562365度 東経131.111366度﻿ /32.562365; 131.111366﻿ (白岩山)]","https://ja.wikipedia.org/w/index.php?title=白岩山_(宮崎県)&amp;action=edit&amp;redlink=1","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"扇山 (宮崎県) (存在しないページ)","[78おうぎやま扇山宮崎県椎葉村(2)1,661.3地理院地図Googleマップ北緯32度31分01秒東経131度07分39秒﻿ / ﻿北緯32.516949度 東経131.127516度﻿ /32.516949; 131.127516﻿ (扇山)]","https://ja.wikipedia.org/w/index.php?title=扇山_(宮崎県)&amp;action=edit&amp;redlink=1","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"三方岳 (存在しないページ)","[79画 像 募 集 中さんぽうだけ三方岳宮崎県椎葉村1,479地理院地図Googleマップ北緯32度22分29秒東経131度11分43秒﻿ / ﻿北緯32.374687度 東経131.195230度﻿ /32.374687; 131.195230﻿ (三方岳)]","https://ja.wikipedia.org/w/index.php?title=三方岳&amp;action=edit&amp;redlink=1","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"尾鈴山","[80おすずやま尾鈴山宮崎県都農町・木城町(1)1,405.2地理院地図Googleマップ北緯32度17分57秒東経131度25分36秒﻿ / ﻿北緯32.299301度 東経131.426587度﻿ /32.299301; 131.426587﻿ (尾鈴山)日本二百名山] 尾鈴山 （おすずやま、御鈴山）は、 九州 南部に広がる 九州山地 の東部に位置する 山 であり、 宮崎県 都農町 と 木城町 にまたがる。","https://ja.wikipedia.org/wiki/尾鈴山","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯32度17分57秒東経131度25分34秒","1,405.2m","日本宮崎県都農町・木城町","北緯32度17分57秒東経131度25分34秒﻿ / ﻿北緯32.29917度 東経131.42611度﻿ /32.29917; 131.42611座標:北緯32度17分57秒東経131度25分34秒﻿ / ﻿北緯32.29917度 東経131.42611度﻿ /32.29917; 131.42611","九州山地","火成岩","","","","","","","","","","","","","",""
"石堂山 (宮崎県) (存在しないページ)","[81画 像 募 集 中いしどうやま石堂山宮崎県西米良村・（椎葉村）(2)1,547.4地理院地図Googleマップ北緯32度18分01秒東経131度10分04秒﻿ / ﻿北緯32.300192度 東経131.167673度﻿ /32.300192; 131.167673﻿ (石堂山)]","https://ja.wikipedia.org/w/index.php?title=石堂山_(宮崎県)&amp;action=edit&amp;redlink=1","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"釈迦ヶ岳 (宮崎県) (存在しないページ)","[82しゃかがたけ釈迦ガ岳宮崎県国富町(2)830.6地理院地図Googleマップ北緯32度03分31秒東経131度13分18秒﻿ / ﻿北緯32.058586度 東経131.221799度﻿ /32.058586; 131.221799﻿ (釈迦ガ岳)]","https://ja.wikipedia.org/w/index.php?title=釈迦ヶ岳_(宮崎県)&amp;action=edit&amp;redlink=1","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"双石山","[83画 像 募 集 中ぼろいしやま双石山宮崎県宮崎市(3)509.3地理院地図Googleマップ北緯31度47分53秒東経131度22分33秒﻿ / ﻿北緯31.798133度 東経131.375802度﻿ /31.798133; 131.375802﻿ (双石山)] 双石山 （ぼろいしやま）は、 鰐塚山地 北東部を構成する鵜戸山地北部にそびえる 山 である。 宮崎県 宮崎市 南部に位置し、周辺は市民の憩いの場となっている。市街地から望むことができ、宮崎市のシンボルの一つとされる  。","https://ja.wikipedia.org/wiki/双石山","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯31度47分53秒東経131度22分33秒","509m","日本（宮崎県）","北緯31度47分53秒東経131度22分33秒﻿ / ﻿北緯31.79806度 東経131.37583度﻿ /31.79806; 131.37583座標:北緯31度47分53秒東経131度22分33秒﻿ / ﻿北緯31.79806度 東経131.37583度﻿ /31.79806; 131.37583","鰐塚山地","堆積岩","-","","","","","","","","","","","","",""
"地蔵岳 (宮崎県) (存在しないページ)","[84画 像 募 集 中じぞうだけ地蔵岳宮崎県西都市1,089地理院地図Googleマップ北緯32度16分52秒東経131度17分48秒﻿ / ﻿北緯32.281158度 東経131.296611度﻿ /32.281158; 131.296611﻿ (地蔵岳)]","https://ja.wikipedia.org/w/index.php?title=地蔵岳_(宮崎県)&amp;action=edit&amp;redlink=1","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"牛ノ峠","[85画 像 募 集 中うしのとうげ牛ノ峠宮崎県都城市・三股町(1)918.0地理院地図Googleマップ北緯31度40分09秒東経131度09分31秒﻿ / ﻿北緯31.669257度 東経131.158749度﻿ /31.669257; 131.158749﻿ (牛ノ峠)] 牛の峠 （うしのとうげ）は、 宮崎県 日南市 酒谷甲と 三股町 樺山の境界にある 峠 、および峠の南西に隣接する 山 である。 鰐塚山地 の南西部にあり、山頂は日南市域より200-300m離れた 都城市 と三股町の境界に聳える。峠の境界には塚石と呼ばれる標柱が置かれている。山頂の北東部（旧道の峠）には、かつて 飫肥藩 と 薩摩藩 の境界論争の舞台となった「牛之峠論所」がある。","https://ja.wikipedia.org/wiki/牛ノ峠","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯31度40分37秒東経131度9分53秒","約680m","宮崎県日南市・三股町","","鰐塚山地","","","","","","","","","","","","","","",""
"白鳥山 (宮崎県)","[86しらとりやま白鳥山（霧島山）宮崎県えびの市(3)1,363.1地理院地図Googleマップ北緯31度57分24秒東経130度50分17秒﻿ / ﻿北緯31.956575度 東経130.838106度﻿ /31.956575; 130.838106﻿ (白鳥山（霧島山）)] 白鳥山 （しらとりやま、しらとりさん、はくちょうざん）は 霧島山 の北西部を構成する 火山 であり、 宮崎県 えびの市 の南部に位置する。","https://ja.wikipedia.org/wiki/白鳥山_(宮崎県)","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯31度57分23.7秒東経130度50分17.1秒","1,363m","日本宮崎県えびの市","北緯31度57分23.7秒東経130度50分17.1秒﻿ / ﻿北緯31.956583度 東経130.838083度﻿ /31.956583; 130.838083座標:北緯31度57分23.7秒東経130度50分17.1秒﻿ / ﻿北緯31.956583度 東経130.838083度﻿ /31.956583; 130.838083","霧島山","複合火山","","","","","","","","","","","","","",""
"韓国岳","[87からくにだけ韓国岳（霧島山）鹿児島県霧島市宮崎県えびの市・小林市(1)1,700.1地理院地図Googleマップ北緯31度56分03秒東経130度51分42秒﻿ / ﻿北緯31.934170度 東経130.861577度﻿ /31.934170; 130.861577﻿ (韓国岳（霧島山）)日本百名山（霧島連山全体を指す）花の百名山新・花の百名山] 韓国岳 （からくにだけ）は、 九州 南部に連なる 霧島山 の最高峰であり、 宮崎県 えびの市 ・ 小林市 、 鹿児島県 霧島市 の境界にまたがる。","https://ja.wikipedia.org/wiki/韓国岳","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯31度56分03秒東経130度51分42秒","1,700.3m","宮崎県えびの市・小林市、鹿児島県霧島市","北緯31度56分03秒東経130度51分42秒﻿ / ﻿北緯31.93417度 東経130.86167度﻿ /31.93417; 130.86167﻿ (韓国岳)座標:北緯31度56分03秒東経130度51分42秒﻿ / ﻿北緯31.93417度 東経130.86167度﻿ /31.93417; 130.86167﻿ (韓国岳)","霧島山(霧島火山群)","火山砕屑丘","","17,000年前","","","","","","","","","","","",""
"高千穂峰","[88たかちほのみね高千穂峰（霧島山）（鹿児島県霧島市）宮崎県高原町(1)1,574.0地理院地図Googleマップ北緯31度53分11秒東経130度55分08秒﻿ / ﻿北緯31.886257度 東経130.918939度﻿ /31.886257; 130.918939﻿ (高千穂峰（霧島山）)日本二百名山新日本百名山] 高千穂峰 （たかちほのみね）は、 宮崎県 と 鹿児島県 の県境に位置する 火山 。標高は1,574 m   で、 霧島 連峰の第二峰。 日本二百名山 の一つ。","https://ja.wikipedia.org/wiki/高千穂峰","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯31度53分11秒東経130度55分08秒","1,573.36m","宮崎県・鹿児島県","北緯31度53分11秒東経130度55分08秒﻿ / ﻿北緯31.88639度 東経130.91889度﻿ /31.88639; 130.91889﻿ (高千穂峰)座標:北緯31度53分11秒東経130度55分08秒﻿ / ﻿北緯31.88639度 東経130.91889度﻿ /31.88639; 130.91889﻿ (高千穂峰)","霧島山(霧島火山群)","成層火山","","","","","","","","","","","","","",""
"大箆柄岳 (存在しないページ)","[89おおのがらだけ大箆柄岳鹿児島県垂水市・鹿屋市(3)1,236.8地理院地図Googleマップ北緯31度29分10秒東経130度49分07秒﻿ / ﻿北緯31.486212度 東経130.818538度﻿ /31.486212; 130.818538﻿ (大箆柄岳)]","https://ja.wikipedia.org/w/index.php?title=大箆柄岳&amp;action=edit&amp;redlink=1","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"甫与志岳","[90ほよしだけ甫与志岳鹿児島県肝付町(1)966.9地理院地図Googleマップ北緯31度15分51秒東経130度59分24秒﻿ / ﻿北緯31.264171度 東経130.990121度﻿ /31.264171; 130.990121﻿ (甫与志岳)] 甫与志岳 （ほよしだけ）は、 大隅半島 南東部に聳える 山 であり、 肝属山地 の最高峰である。 鹿児島県 肝付町 にあり、かつての 高山町 と 内之浦町 の境界部にまたがる。","https://ja.wikipedia.org/wiki/甫与志岳","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯31度15分51秒東経130度59分24秒","966.9m","日本鹿児島県肝属郡肝付町","北緯31度15分51秒東経130度59分24秒﻿ / ﻿北緯31.26417度 東経130.99000度﻿ /31.26417; 130.99000座標:北緯31度15分51秒東経130度59分24秒﻿ / ﻿北緯31.26417度 東経130.99000度﻿ /31.26417; 130.99000","肝属山地","火成岩","","","","","","","","","","","","","",""
"稲尾岳","[91画 像 募 集 中いなおだけ稲尾岳鹿児島県南大隅町・錦江町・（肝付町）(1)959.0地理院地図Googleマップ北緯31度07分46秒東経130度52分49秒﻿ / ﻿北緯31.129576度 東経130.880196度﻿ /31.129576; 130.880196﻿ (稲尾岳)] 稲尾岳 （いなおだけ）は、 九州 の 大隅半島 南部に横たわる 肝属山地 の南東部海岸沿いに聳える 山 である。狭義では稲尾神社のある 標高 930メートルの山を指し、広義では最高峰の 枯木岳 （標高959メートル）などを含む 山塊 を指す。山塊は 鹿児島県 肝属郡 の 肝付町 、 錦江町 、 南大隅町 にまたがる。","https://ja.wikipedia.org/wiki/稲尾岳","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯31度07分24秒東経130度53分04秒","959m","日本鹿児島県肝属郡肝付町・錦江町・南大隅町","北緯31度07分24秒東経130度53分04秒﻿ / ﻿北緯31.12333度 東経130.88444度﻿ /31.12333; 130.88444座標:北緯31度07分24秒東経130度53分04秒﻿ / ﻿北緯31.12333度 東経130.88444度﻿ /31.12333; 130.88444","肝属山地","火成岩","","","","","","","","","","","","","",""
"紫尾山","[92しびさん紫尾山鹿児島県出水市・さつま町(2)1,066.8地理院地図Googleマップ北緯31度58分51秒東経130度22分03秒﻿ / ﻿北緯31.980833度 東経130.367622度﻿ /31.980833; 130.367622﻿ (紫尾山)] 紫尾山 （しびさん）は 鹿児島県 の 出水市 と 薩摩郡 さつま町 に跨る 出水山地 （紫尾山地）の山である。標高は1,067mであり北薩地域（旧 薩摩国 北部）の最高峰である。","https://ja.wikipedia.org/wiki/紫尾山","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯31度58分51秒東経130度22分4秒","1,067m","鹿児島県出水市/薩摩郡さつま町境","北緯31度58分51秒東経130度22分4秒﻿ / ﻿北緯31.98083度 東経130.36778度﻿ /31.98083; 130.36778座標:北緯31度58分51秒東経130度22分4秒﻿ / ﻿北緯31.98083度 東経130.36778度﻿ /31.98083; 130.36778","出水山地","","","","","","","","","","","","","","",""
"冠岳 (鹿児島県いちき串木野市)","[93かんむりだけ冠岳鹿児島県いちき串木野市・（薩摩川内市）(2)516.4地理院地図Googleマップ北緯31度44分55秒東経130度19分52秒﻿ / ﻿北緯31.748703度 東経130.331238度﻿ /31.748703; 130.331238﻿ (冠岳)最高峰は西岳] 冠岳 （かんむりだけ）は、 鹿児島県 いちき串木野市 と 薩摩川内市 の境に聳える 山 である。東西に伸びる稜線に沿って西岳（標高516メートル）、中岳（標高496メートル）、東岳（標高486メートル）が連なる。西岳山頂の上宮祠から 東シナ海 、 霧島山 、 桜島 、 開聞岳 などを一望できる。","https://ja.wikipedia.org/wiki/冠岳_(鹿児島県いちき串木野市)","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯31度44分56秒東経130度19分52秒","516m","鹿児島県いちき串木野市・薩摩川内市","北緯31度44分56秒東経130度19分52秒﻿ / ﻿北緯31.74889度 東経130.33111度﻿ /31.74889; 130.33111座標:北緯31度44分56秒東経130度19分52秒﻿ / ﻿北緯31.74889度 東経130.33111度﻿ /31.74889; 130.33111","北薩火山群","火山岩","","","","","","","","","","","","","",""
"金峰山 (鹿児島県)","[94きんぽうざん金峰山鹿児島県南さつま市(2)636.3地理院地図Googleマップ北緯31度28分04秒東経130度22分59秒﻿ / ﻿北緯31.467668度 東経130.382944度﻿ /31.467668; 130.382944﻿ (金峰山)] 金峯山 （きんぽうざん）は、 鹿児島県 南さつま市 にある本岳・東岳・北岳からなる 標高 636 m の 山 。 九州百名山 に選定されている。 地元では、美人が寝た横顔に見えることから「美人岳」という別名で親しまれている。山頂直下西に 金峰神社 がある。毎年 10月19日 には、人皇27代 安閑天皇 の大祭「金峰山詣り」が開催されている。  ","https://ja.wikipedia.org/wiki/金峰山_(鹿児島県)","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯31度28分04秒東経130度22分59秒","636.28m","九州鹿児島県南さつま市","北緯31度28分04秒東経130度22分59秒﻿ / ﻿北緯31.46778度 東経130.38306度﻿ /31.46778; 130.38306﻿ (金峯山)座標:北緯31度28分04秒東経130度22分59秒﻿ / ﻿北緯31.46778度 東経130.38306度﻿ /31.46778; 130.38306﻿ (金峯山)","揖宿山地","","","","","","","","","","","","","","",""
"開聞岳","[95かいもんだけ開聞岳鹿児島県指宿市924m/ (2)922地理院地図Googleマップ北緯31度10分48秒東経130度31分42秒﻿ / ﻿北緯31.180114度 東経130.528357度﻿ /31.180114; 130.528357﻿ (開聞岳)日本百名山新日本百名山新・花の百名山薩摩富士] 開聞岳 （かいもんだけ）は、 鹿児島県 の 薩摩半島 の南端に位置する 標高 924 m の 火山 。 1964年 （昭和39年）3月16日に、 霧島屋久国立公園 に指定された  。 日本百名山  、 新日本百名山  及び 九州百名山 に選定されている。山麓の北東半分は陸地に、南西半分は 海 に面しており、見事な円錐形の山容から別名「 薩摩富士 」とも呼ばれる。所在地は鹿児島県 指宿市 。","https://ja.wikipedia.org/wiki/開聞岳","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯31度10分48秒東経130度31分42秒","924m","日本鹿児島県指宿市","北緯31度10分48秒東経130度31分42秒﻿ / ﻿北緯31.18000度 東経130.52833度﻿ /31.18000; 130.52833﻿ (開聞岳)座標:北緯31度10分48秒東経130度31分42秒﻿ / ﻿北緯31.18000度 東経130.52833度﻿ /31.18000; 130.52833﻿ (開聞岳)","南薩火山群","成層火山","","","","","","","","","","","","","",""
"野間岳","[96のまだけ野間岳鹿児島県南さつま市(1)591.1地理院地図Googleマップ北緯31度24分16秒東経130度09分30秒﻿ / ﻿北緯31.404520度 東経130.158222度﻿ /31.404520; 130.158222﻿ (野間岳)] 野間岳 （のまだけ）は、 薩摩半島 の南西部、 野間半島 に聳える 火山岩 からなる 山 である。遠方から眺めると急峻な円錐形をなしており、 開聞岳 、 金峰山 と並んで「薩摩半島の三名山」あるいは「薩南の三岳」の一つに数えられる。地元では タケ 、 ノマンダケ 、 ノマンタケドン と呼ばれる  。","https://ja.wikipedia.org/wiki/野間岳","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯31度24分16秒東経130度09分29秒","591.1m","鹿児島県南さつま市","北緯31度24分16秒東経130度09分29秒﻿ / ﻿北緯31.40444度 東経130.15806度﻿ /31.40444; 130.15806座標:北緯31度24分16秒東経130度09分29秒﻿ / ﻿北緯31.40444度 東経130.15806度﻿ /31.40444; 130.15806","南薩火山群","火山岩","","","","","","","","","","","","","",""
"愛子岳 (存在しないページ)","[97あいこだけ愛子岳鹿児島県屋久島町(2)1,235地理院地図Googleマップ北緯30度21分58秒東経130度36分01秒﻿ / ﻿北緯30.365975度 東経130.600217度﻿ /30.365975; 130.600217﻿ (愛子岳)屋久島]","https://ja.wikipedia.org/w/index.php?title=愛子岳&amp;action=edit&amp;redlink=1","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"黒味岳","[98くろみだけ黒味岳鹿児島県屋久島町1,831地理院地図Googleマップ北緯30度19分03秒東経130度30分30秒﻿ / ﻿北緯30.317403度 東経130.508350度﻿ /30.317403; 130.508350﻿ (黒味岳)屋久島] 黒味岳 （くろみだけ）は、 屋久島 の 宮之浦岳 南側に位置する 山 である。標高は屋久島および 九州 において6番目の高峰となる。 九州百名山 の一つに選定されている。","https://ja.wikipedia.org/wiki/黒味岳","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯30度19分03秒東経130度30分31秒","1,831m","鹿児島県屋久島町","北緯30度19分03秒東経130度30分31秒﻿ / ﻿北緯30.31750度 東経130.50861度﻿ /30.31750; 130.50861座標:北緯30度19分03秒東経130度30分31秒﻿ / ﻿北緯30.31750度 東経130.50861度﻿ /30.31750; 130.50861","屋久島","","","","","","","","","","","","","","",""
"モッチョム岳","[99もっちょむだけモッチョム岳鹿児島県屋久島町944地理院地図Googleマップ北緯30度15分24秒東経130度33分51秒﻿ / ﻿北緯30.256653度 東経130.564186度﻿ /30.256653; 130.564186﻿ (モッチョム岳)本富岳屋久島] モッチョム岳 （モッチョムだけ）は、 屋久島 の南部にある 花崗岩 からなる 山 である。漢字では「 本富岳 」と表記する。","https://ja.wikipedia.org/wiki/モッチョム岳","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯30度15分24秒東経130度33分51秒","940m","日本鹿児島県熊毛郡屋久島町","北緯30度15分24秒東経130度33分51秒﻿ / ﻿北緯30.25667度 東経130.56417度﻿ /30.25667; 130.56417﻿ (モッチョム岳)座標:北緯30度15分24秒東経130度33分51秒﻿ / ﻿北緯30.25667度 東経130.56417度﻿ /30.25667; 130.56417﻿ (モッチョム岳)","屋久島","火成岩（花崗岩）","","","","","","","","","","","","","",""
"宮之浦岳","[100みやのうらだけ宮之浦岳鹿児島県屋久島町1,936m/ (1)1,935.0地理院地図Googleマップ北緯30度20分10秒東経130度30分15秒﻿ / ﻿北緯30.336085度 東経130.504173度﻿ /30.336085; 130.504173﻿ (宮之浦岳)日本百名山屋久島鹿児島県最高峰九州最高峰] 宮之浦岳 （みやのうらだけ）は、 鹿児島県 の 屋久島 中央部の 山 である。","https://ja.wikipedia.org/wiki/宮之浦岳","九州百名山","https://ja.wikipedia.org/wiki/九州百名山","表形式","北緯30度20分9.9秒東経130度30分15秒","1,936m","日本鹿児島県熊毛郡屋久島町","北緯30度20分9.9秒東経130度30分15秒﻿ / ﻿北緯30.336083度 東経130.50417度﻿ /30.336083; 130.50417座標:北緯30度20分9.9秒東経130度30分15秒﻿ / ﻿北緯30.336083度 東経130.50417度﻿ /30.336083; 130.50417","屋久島","","","","","","","","","","","","","","",""
