"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","ホーム","所在地","備考","電報略号","乗車人員,-統計年度-","駅番号","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","路線記号","乗車人員,-統計年次-","種類","市場情報","本社所在地"
"百合ヶ丘駅","百合ヶ丘駅（ゆりがおかえき）","https://ja.wikipedia.org/wiki/百合ヶ丘駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度36分32.77秒東経139度30分58.42秒","小田原線","20.5 km（新宿起点）","小田急電鉄","1960年（昭和35年）3月25日","地上駅（橋上駅）","2面2線","川崎市麻生区百合丘一丁目21番地1北緯35度36分32.77秒東経139度30分58.42秒﻿ / ﻿北緯35.6091028度 東経139.5162278度﻿ /35.6091028; 139.5162278座標:北緯35度36分32.77秒東経139度30分58.42秒﻿ / ﻿北緯35.6091028度 東経139.5162278度﻿ /35.6091028; 139.5162278","","","","OH22","21,681人/日-2019年-","","","","","","",""
"百合が原駅","百合が原駅（ゆりがはらえき）","https://ja.wikipedia.org/wiki/百合が原駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯43度7分53.05秒東経141度21分38.6秒","■札沼線（学園都市線）","8.6 km（桑園起点）","北海道旅客鉄道（JR北海道）","1986年（昭和61年）6月28日[1]","地上駅","2面2線","札幌市北区百合が原5丁目北緯43度7分53.05秒東経141度21分38.6秒","札幌市内駅*無人駅","ユリ","860人/日（降車客含まず）-2019年-","○G07","","","","","","","",""
"夜明駅","夜明駅（よあけえき）","https://ja.wikipedia.org/wiki/夜明駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯33度19分12.27秒東経130度51分57.42秒","■久大本線","39.1 km（久留米起点）","九州旅客鉄道（JR九州）","1932年（昭和7年）3月12日[3]","地上駅","2面3線[1]","大分県日田市大字夜明[1]1802北緯33度19分12.27秒東経130度51分57.42秒","無人駅[4]","ヨア","36人/日（降車客含まず）-2016年[2]-","","73人/日-2016年[2]-","","","","","","",""
"余市駅","余市駅（よいちえき）","https://ja.wikipedia.org/wiki/余市駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯43度11分11.22秒東経140度47分40.83秒","■函館本線","232.6 km（函館起点）","北海道旅客鉄道（JR北海道）","1902年（明治35年）12月10日","地上駅","2面3線","北海道余市郡余市町黒川町5丁目43番地7北緯43度11分11.22秒東経140度47分40.83秒﻿ / ﻿北緯43.1864500度 東経140.7946750度﻿ /43.1864500; 140.7946750﻿ (余市駅)","直営駅（管理駅）みどりの窓口 有","イチ","","○S18","1,280人/日-2018年-","","","","","","",""
"八鹿駅","八鹿駅（ようかえき）","https://ja.wikipedia.org/wiki/八鹿駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度24分51.77秒東経134度46分53.21秒","E山陰本線","131.2 km（京都起点）","西日本旅客鉄道（JR西日本）","1908年（明治41年）7月1日[1]","地上駅[1]","2面3線[1]","兵庫県養父市八鹿町八鹿字大森100-2[1]北緯35度24分51.77秒東経134度46分53.21秒﻿ / ﻿北緯35.4143806度 東経134.7814472度﻿ /35.4143806; 134.7814472﻿ (八鹿駅)座標:北緯35度24分51.77秒東経134度46分53.21秒﻿ / ﻿北緯35.4143806度 東経134.7814472度﻿ /35.4143806; 134.7814472﻿ (八鹿駅)","業務委託駅[1]みどりの窓口有","ヤカ","556人/日（降車客含まず）-2016年-","","","","","","","","",""
"用賀駅","用賀駅（ようがえき）","https://ja.wikipedia.org/wiki/用賀駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度37分35秒東経139度38分2秒","■田園都市線","7.6 km（渋谷起点）","東急電鉄","1977年（昭和52年）4月7日[1]","地下駅","2面2線","東京都世田谷区用賀二丁目39番北緯35度37分35秒東経139度38分2秒﻿ / ﻿北緯35.62639度 東経139.63389度﻿ /35.62639; 139.63389座標:北緯35度37分35秒東経139度38分2秒﻿ / ﻿北緯35.62639度 東経139.63389度﻿ /35.62639; 139.63389","東急電鉄直営駅駅カラーは「■みず色」","","","DT06","67,550人/日-2019年-","","","","","","",""
"八日市駅","八日市駅（ようかいちえき）","https://ja.wikipedia.org/wiki/八日市駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度6分52.2秒東経136度11分41.4秒","■■本線","25.3 km（米原起点）","近江鉄道","1898年（明治31年）7月24日","地上駅","2面3線","滋賀県東近江市八日市浜野町485北緯35度6分52.2秒東経136度11分41.4秒﻿ / ﻿北緯35.114500度 東経136.194833度﻿ /35.114500; 136.194833座標:北緯35度6分52.2秒東経136度11分41.4秒﻿ / ﻿北緯35.114500度 東経136.194833度﻿ /35.114500; 136.194833","","","2,146人/日（降車客含まず）-2016年-","OR15","","","","","","","",""
"八日市場駅","八日市場駅（ようかいちばえき）","https://ja.wikipedia.org/wiki/八日市場駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度41分57.4秒東経140度33分7.7秒","■総武本線[1]","93.7 km（東京起点）","東日本旅客鉄道（JR東日本）","1897年（明治30年）6月1日[1]","地上駅[1]","2面2線[1]","千葉県匝瑳市八日市場イ108北緯35度41分57.4秒東経140度33分7.7秒座標:北緯35度41分57.4秒 東経140度33分7.7秒","業務委託駅[1]","ヨチ","1,762人/日（降車客含まず）-2019年-","","","","","","","","",""
"遙堪駅","遙堪駅（ようかんえき）","https://ja.wikipedia.org/wiki/遙堪駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度23分21.56秒東経132度43分32.61秒","大社線","4.8 km（川跡起点）","一畑電車","1930年（昭和5年）2月2日","地上駅","1面1線","島根県出雲市常松町179-4北緯35度23分21.56秒東経132度43分32.61秒座標:北緯35度23分21.56秒 東経132度43分32.61秒","無人駅","","17人/日（降車客含まず）-2018年-","24","33人/日-2018年-","","","","","","",""
"余戸駅","余戸駅（ようごえき）","https://ja.wikipedia.org/wiki/余戸駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯33度48分57.65秒東経132度44分1.18秒","郡中線","","伊予鉄道","1896年7月4日","地上駅","2面2線","愛媛県松山市余戸中6丁目北緯33度48分57.65秒東経132度44分1.18秒﻿ / ﻿北緯33.8160139度 東経132.7336611度﻿ /33.8160139; 132.7336611﻿ (余戸駅)","","","","●IY27","2,496[1]人/日-2019年-","","","","","","",""
"洋光台駅","洋光台駅（ようこうだいえき）","https://ja.wikipedia.org/wiki/洋光台駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度22分43.3秒東経139度35分47.4秒","■根岸線","14.1km（横浜起点）大宮から73.2km八王子から58.5 km","東日本旅客鉄道（JR東日本）","1970年（昭和45年）3月17日","地上駅（橋上駅）","1面2線","横浜市磯子区洋光台三丁目14-1北緯35度22分43.3秒東経139度35分47.4秒座標:北緯35度22分43.3秒 東経139度35分47.4秒","業務委託駅横浜市内駅","ヨタ","20,064人/日（降車客含まず）-2019年-","JK04","","","","","","","",""
"暘谷駅","暘谷駅（ようこくえき）","https://ja.wikipedia.org/wiki/暘谷駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯33度22分12.12秒東経131度31分47.99秒","■日豊本線","108.4 km（小倉起点）","九州旅客鉄道（JR九州）","1987年（昭和62年）3月9日","地上駅","2面2線","大分県速見郡日出町字佐尾北緯33度22分12.12秒東経131度31分47.99秒","業務委託駅","コク","867人/日（降車客含まず）-2019年-","","","","","","","","",""
"養鱒公園駅","養鱒公園駅（ようそんこうえんえき）","https://ja.wikipedia.org/wiki/養鱒公園駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","","会津線","35.1 km（西若松起点）","会津鉄道","1947年（昭和22年）9月20日[1]","地上駅","1面1線","","","アオ←アヲ（転換前）ヨソ（会津鉄道）","11人/日（降車客含まず）-2015年-","","","","","","","","",""
"用土駅","用土駅（ようどえき）","https://ja.wikipedia.org/wiki/用土駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯36度9分12.56秒東経139度12分3.12秒","■八高線","68.4km（八王子起点）高麗川から37.3 km","東日本旅客鉄道（JR東日本）","1933年（昭和8年）1月25日[1]","地上駅","1面1線[1]","埼玉県大里郡寄居町大字用土1724北緯36度9分12.56秒東経139度12分3.12秒﻿ / ﻿北緯36.1534889度 東経139.2008667度﻿ /36.1534889; 139.2008667﻿ (用土駅)","無人駅[1]（乗車駅証明書発行機 有）","ヨト","","","","","","","","","",""
"養老駅","養老駅（ようろうえき）","https://ja.wikipedia.org/wiki/養老駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度17分12.95秒東経136度33分24.24秒","養老線","28.8 km（桑名起点）","養老鉄道","1913年（大正2年）7月31日[1]","地上駅","2面3線","岐阜県養老郡養老町鷲巣白石道1200[1]北緯35度17分12.95秒東経136度33分24.24秒﻿ / ﻿北緯35.2869306度 東経136.5567333度﻿ /35.2869306; 136.5567333座標:北緯35度17分12.95秒東経136度33分24.24秒﻿ / ﻿北緯35.2869306度 東経136.5567333度﻿ /35.2869306; 136.5567333","終日駅員配置","","","","360[2]人/日-2018年-","","","","","","",""
"養老渓谷駅","養老渓谷駅（ようろうけいこくえき）","https://ja.wikipedia.org/wiki/養老渓谷駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度15分59.0秒東経140度9分34.0秒","小湊鉄道線","34.9 km（五井起点）","小湊鉄道","1928年（昭和3年）5月16日","地上駅","1面1線","千葉県市原市朝生原177北緯35度15分59.0秒東経140度9分34.0秒﻿ / ﻿北緯35.266389度 東経140.159444度﻿ /35.266389; 140.159444座標:北緯35度15分59.0秒東経140度9分34.0秒﻿ / ﻿北緯35.266389度 東経140.159444度﻿ /35.266389; 140.159444","","","143人/日（降車客含まず）-2018年-","","","","","","","","",""
"余呉駅","余呉駅（よごえき）","https://ja.wikipedia.org/wiki/余呉駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度32分1.83秒東経136度11分53.04秒","A北陸本線","26.5 km（米原起点）","西日本旅客鉄道（JR西日本）","1957年（昭和32年）10月1日","地上駅","1面2線","滋賀県長浜市余呉町下余呉1727北緯35度32分1.83秒東経136度11分53.04秒﻿ / ﻿北緯35.5338417度 東経136.1980667度﻿ /35.5338417; 136.1980667座標:北緯35度32分1.83秒東経136度11分53.04秒﻿ / ﻿北緯35.5338417度 東経136.1980667度﻿ /35.5338417; 136.1980667","簡易委託駅","アコ","160人/日（降車客含まず）-2019年-","JR-A04","","","","","","","",""
"横磯駅","横磯駅（よこいそえき）","https://ja.wikipedia.org/wiki/横磯駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","","■五能線","61.4 km（東能代起点）","東日本旅客鉄道（JR東日本）","1954年（昭和29年）12月25日[1]","地上駅","1面1線[1]","","無人駅[1]","ヨソ","","","","","","","","","",""
"横江駅","横江駅（よこええき）","https://ja.wikipedia.org/wiki/横江駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯36度34分55.54秒東経137度20分8.29秒","■立山線","13.5 km（寺田起点）","富山地方鉄道","1931年（昭和6年）5月15日","地上駅","単式1面1線","富山県中新川郡立山町横江45北緯36度34分55.54秒東経137度20分8.29秒﻿ / ﻿北緯36.5820944度 東経137.3356361度﻿ /36.5820944; 137.3356361﻿ (横江駅)座標:北緯36度34分55.54秒東経137度20分8.29秒﻿ / ﻿北緯36.5820944度 東経137.3356361度﻿ /36.5820944; 137.3356361﻿ (横江駅)","","","","T52","54人/日-2019年-","","","","","","",""
"横尾駅","横尾駅（よこおえき）","https://ja.wikipedia.org/wiki/横尾駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯34度31分17.93秒東経133度21分48.17秒","Z福塩線","6.1 km（福山起点）","西日本旅客鉄道（JR西日本）","1914年（大正3年）7月21日","地上駅","2面2線","広島県福山市横尾町一丁目30-1北緯34度31分17.93秒東経133度21分48.17秒﻿ / ﻿北緯34.5216472度 東経133.3633806度﻿ /34.5216472; 133.3633806﻿ (横尾駅*)","無人駅（自動券売機 有）","ヨコ","888人/日（降車客含まず）-2018年-","","","","","","","","",""
"横川駅 (群馬県)","横川駅 (群馬県)（よこかわえき・東日本旅客鉄道信越本線）","https://ja.wikipedia.org/wiki/横川駅_(群馬県)","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯36度20分9.92秒東経138度44分12.94秒","■信越本線","29.7 km（高崎起点）","東日本旅客鉄道（JR東日本）","1885年（明治18年）10月15日[1]","地上駅","2面2線[1]","群馬県安中市松井田町横川398北緯36度20分9.92秒東経138度44分12.94秒﻿ / ﻿北緯36.3360889度 東経138.7369278度﻿ /36.3360889; 138.7369278座標:北緯36度20分9.92秒東経138度44分12.94秒﻿ / ﻿北緯36.3360889度 東経138.7369278度﻿ /36.3360889; 138.7369278","業務委託駅","ヨコ","208人/日（降車客含まず）-2019年-","","","","","","","","",""
"横川駅 (広島県)","横川駅 (広島県)（よこがわえき・西日本旅客鉄道山陽本線）","https://ja.wikipedia.org/wiki/横川駅_(広島県)","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯34度24分37.6秒東経132度27分2.5秒","","","西日本旅客鉄道（JR西日本・駅詳細）広島電鉄（駅詳細）","","","","広島市西区横川町三丁目北緯34度24分37.6秒東経132度27分2.5秒﻿ / ﻿北緯34.410444度 東経132.450694度﻿ /34.410444; 132.450694座標:北緯34度24分37.6秒東経132度27分2.5秒﻿ / ﻿北緯34.410444度 東経132.450694度﻿ /34.410444; 132.450694","","","","","","","","","","","",""
"横川一丁目停留場","横川一丁目停留場（よこがわいっちょうめていりゅうじょう）","https://ja.wikipedia.org/wiki/横川一丁目停留場","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯34度24分25.38秒東経132度26分59.68秒","■横川線","1.2 km（十日市町起点）","広島電鉄","1917年（大正6年）11月1日","地上駅","2面2線","広島市西区横川町一丁目[1]北緯34度24分25.38秒東経132度26分59.68秒﻿ / ﻿北緯34.4070500度 東経132.4499111度﻿ /34.4070500; 132.4499111﻿ (横川一丁目停留場)座標:北緯34度24分25.38秒東経132度26分59.68秒﻿ / ﻿北緯34.4070500度 東経132.4499111度﻿ /34.4070500; 132.4499111﻿ (横川一丁目停留場)","","","","●Y4","1,076[2]人/日-2019年-","","","","","","",""
"横川駅 (広島県)","横川駅停留場（よこがわえきていりゅうじょう）","https://ja.wikipedia.org/wiki/横川駅_(広島県)","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯34度24分37.6秒東経132度27分2.5秒","","","西日本旅客鉄道（JR西日本・駅詳細）広島電鉄（駅詳細）","","","","広島市西区横川町三丁目北緯34度24分37.6秒東経132度27分2.5秒﻿ / ﻿北緯34.410444度 東経132.450694度﻿ /34.410444; 132.450694座標:北緯34度24分37.6秒東経132度27分2.5秒﻿ / ﻿北緯34.410444度 東経132.450694度﻿ /34.410444; 132.450694","","","","","","","","","","","",""
"横川目駅","横川目駅（よこかわめえき）","https://ja.wikipedia.org/wiki/横川目駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯39度18分33.37秒東経140度58分19.99秒","■北上線","14.3 km（北上起点）","東日本旅客鉄道（JR東日本）","1921年（大正10年）3月25日[1]","地上駅","1面1線","岩手県北上市和賀町横川目12地割12-2北緯39度18分33.37秒東経140度58分19.99秒座標:北緯39度18分33.37秒 東経140度58分19.99秒","無人駅","ヨメ","","","","","","","","","",""
"横河原駅","横河原駅（よこがわらえき）","https://ja.wikipedia.org/wiki/横河原駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯33度48分12.07秒東経132度53分3.62秒","横河原線","","伊予鉄道","1899年10月4日","地上駅","単式 1面1線","愛媛県東温市横河原北緯33度48分12.07秒東経132度53分3.62秒﻿ / ﻿北緯33.8033528度 東経132.8843389度﻿ /33.8033528; 132.8843389﻿ (横河原駅)","","","","●IY24","1,338[1]人/日-2019年-","","","","","","",""
"横倉駅 (宮城県)","横倉駅 (宮城県)（よこくらえき・阿武隈急行線）","https://ja.wikipedia.org/wiki/横倉駅_(宮城県)","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯37度59分48.57秒東経140度46分33.86秒","■阿武隈急行線","45.2 km（福島起点）","阿武隈急行","1986年（昭和61年）7月1日","地上駅","1面1線","宮城県角田市横倉字宮下北緯37度59分48.57秒東経140度46分33.86秒﻿ / ﻿北緯37.9968250度 東経140.7760722度﻿ /37.9968250; 140.7760722座標:北緯37度59分48.57秒東経140度46分33.86秒﻿ / ﻿北緯37.9968250度 東経140.7760722度﻿ /37.9968250; 140.7760722","無人駅","","","","24人/日-2018年-","","","","","","",""
"横倉駅 (長野県)","横倉駅 (長野県)（よこくらえき・東日本旅客鉄道飯山線）","https://ja.wikipedia.org/wiki/横倉駅_(長野県)","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯36度58分47.55秒東経138度33分1.12秒","■飯山線","46.6 km（豊野起点）","東日本旅客鉄道（JR東日本）","1925年（大正14年）11月19日[1]","地上駅","1面1線[1]","長野県下水内郡栄村大字北信[1]北緯36度58分47.55秒東経138度33分1.12秒﻿ / ﻿北緯36.9798750度 東経138.5503111度﻿ /36.9798750; 138.5503111﻿ (横倉駅)座標:北緯36度58分47.55秒東経138度33分1.12秒﻿ / ﻿北緯36.9798750度 東経138.5503111度﻿ /36.9798750; 138.5503111﻿ (横倉駅)","簡易委託駅[2]標高：288.3m[2]","ヨク[2]","10人/日（降車客含まず）-2019年-","","","","","","","","",""
"横芝駅","横芝駅（よこしばえき）","https://ja.wikipedia.org/wiki/横芝駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度39分42.3秒東経140度29分28.4秒","■総武本線[1]","86.8[1] km（東京起点）","東日本旅客鉄道（JR東日本）","1897年（明治30年）6月1日[1]","地上駅","2面3線[1]","千葉県山武郡横芝光町横芝1360-2北緯35度39分42.3秒東経140度29分28.4秒座標:北緯35度39分42.3秒 東経140度29分28.4秒","業務委託駅[1]","ヨハ","1,358人/日（降車客含まず）-2019年-","","","","","","","","",""
"横須賀駅","横須賀駅（よこすかえき）","https://ja.wikipedia.org/wiki/横須賀駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度17分2.8秒東経139度39分21.2秒","■横須賀線","15.9km（大船起点）東京から品鶴線経由で65.3 km","東日本旅客鉄道（JR東日本）","1889年（明治22年）6月16日","地上駅","2面3線","神奈川県横須賀市東逸見町一丁目1北緯35度17分2.8秒東経139度39分21.2秒座標:北緯35度17分2.8秒 東経139度39分21.2秒","業務委託駅[1]みどりの窓口有","スカ","4,845人/日（降車客含まず）-2019年-","JO03","","","","","","","",""
"横須賀中央駅","横須賀中央駅（よこすかちゅうおうえき）","https://ja.wikipedia.org/wiki/横須賀中央駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度16分42.6秒東経139度40分14.3秒","■本線","49.9 km（品川起点）","京浜急行電鉄","1930年（昭和5年）4月1日[1]","地上駅","2面2線","神奈川県横須賀市若松町二丁目25[1]北緯35度16分42.6秒東経139度40分14.3秒﻿ / ﻿北緯35.278500度 東経139.670639度﻿ /35.278500; 139.670639﻿ (横須賀中央駅)座標:北緯35度16分42.6秒東経139度40分14.3秒﻿ / ﻿北緯35.278500度 東経139.670639度﻿ /35.278500; 139.670639﻿ (横須賀中央駅)","","","","KK59","68,092人/日-2019年-","","","","","","",""
"横瀬駅","横瀬駅（よこぜえき）","https://ja.wikipedia.org/wiki/横瀬駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度59分7.97秒東経139度5分52.15秒","■西武秩父線","16.4 km（吾野起点）池袋から74.2 km","西武鉄道","1969年（昭和44年）10月14日","地上駅","1面2線","埼玉県秩父郡横瀬町横瀬4067北緯35度59分7.97秒東経139度5分52.15秒﻿ / ﻿北緯35.9855472度 東経139.0978194度﻿ /35.9855472; 139.0978194﻿ (横瀬駅)座標:北緯35度59分7.97秒東経139度5分52.15秒﻿ / ﻿北緯35.9855472度 東経139.0978194度﻿ /35.9855472; 139.0978194﻿ (横瀬駅)","","","","SI35","1,712人/日-2019年-","","","","","","",""
"横田駅","横田駅（よこたえき）","https://ja.wikipedia.org/wiki/横田駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度23分10秒東経140度1分13.1秒","■久留里線","9.3 km（木更津起点）","東日本旅客鉄道（JR東日本）","1912年（大正元年）12月28日[1]","地上駅","2面2線","千葉県袖ケ浦市横田2177-2北緯35度23分10秒東経140度1分13.1秒座標:北緯35度23分10秒 東経140度1分13.1秒","直営駅*1915年に中川駅から改称[1]。","ヨタ","165人/日（降車客含まず）-2019年-","","","","","","","","",""
"横堤駅","横堤駅（よこづつみえき）","https://ja.wikipedia.org/wiki/横堤駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯34度42分12.93秒東経135度34分22.04秒","●長堀鶴見緑地線","12.5 km（大正起点）","大阪市高速電気軌道(Osaka Metro)","1990年（平成2年）3月20日","地下駅","1面2線","大阪市鶴見区横堤5丁目北緯34度42分12.93秒東経135度34分22.04秒﻿ / ﻿北緯34.7035917度 東経135.5727889度﻿ /34.7035917; 135.5727889﻿ (横堤駅)","","","8,091人/日（降車客含まず）-2020年-"," N25 ","15,858人/日-2020年-","","","","","","",""
"横手駅","横手駅（よこてえき）","https://ja.wikipedia.org/wiki/横手駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯39度18分36.8秒東経140度33分38秒","■奥羽本線","228.3 km（福島起点）","東日本旅客鉄道（JR東日本）日本貨物鉄道（JR貨物）*","1905年（明治38年）6月15日[1]","地上駅（橋上駅）","3面4線","秋田県横手市駅前町5-1北緯39度18分36.8秒東経140度33分38秒座標:北緯39度18分36.8秒 東経140度33分38秒","直営駅（管理駅）みどりの窓口有","ヨテ","1,194人/日（降車客含まず）-2019年-","","","","","","","","",""
"横浜駅","横浜駅（よこはまえき）","https://ja.wikipedia.org/wiki/横浜駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","","","","東日本旅客鉄道（駅詳細）東急電鉄/横浜高速鉄道（駅詳細）京浜急行電鉄（駅詳細）相模鉄道（駅詳細）横浜市交通局（駅詳細）","","","","横浜市西区","","","","","","","","","","","",""
"横浜羽沢駅","横浜羽沢駅（よこはまはざわえき）","https://ja.wikipedia.org/wiki/横浜羽沢駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度28分57.3秒東経139度35分24.8秒","東海道本線貨物支線（東海道貨物線）","8.8[1] km（鶴見起点）","日本貨物鉄道（JR貨物）東日本旅客鉄道（JR東日本）*","1979年（昭和54年）10月1日","地上駅","","横浜市神奈川区羽沢町83-1北緯35度28分57.3秒東経139度35分24.8秒﻿ / ﻿北緯35.482583度 東経139.590222度﻿ /35.482583; 139.590222座標:北緯35度28分57.3秒東経139度35分24.8秒﻿ / ﻿北緯35.482583度 東経139.590222度﻿ /35.482583; 139.590222","","ハワ","","","","","","","","","",""
"横浜本牧駅","横浜本牧駅（よこはまほんもくえき）","https://ja.wikipedia.org/wiki/横浜本牧駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯35度25分13.7秒東経139度40分16.8秒","本牧線","4.0 km（根岸起点）","神奈川臨海鉄道","1969年（昭和44年）10月1日","地上駅","","横浜市中区錦町15北緯35度25分13.7秒東経139度40分16.8秒﻿ / ﻿北緯35.420472度 東経139.671333度﻿ /35.420472; 139.671333座標:北緯35度25分13.7秒東経139度40分16.8秒﻿ / ﻿北緯35.420472度 東経139.671333度﻿ /35.420472; 139.671333","貨物専用駅","","","","","","","","","","",""
"横堀駅","横堀駅（よこぼりえき）","https://ja.wikipedia.org/wiki/横堀駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯39度3分52.5秒東経140度27分5.4秒","■奥羽本線","198.4 km（福島起点）","東日本旅客鉄道（JR東日本）","1905年（明治38年）7月5日[1]","地上駅","2面3線","秋田県湯沢市小野字西堺127-2北緯39度3分52.5秒東経140度27分5.4秒座標:北緯39度3分52.5秒 東経140度27分5.4秒","簡易委託駅","ヨホ","118人/日（降車客含まず）-2019年-","","","","","","","","",""
"横間駅","横間駅（よこまえき）","https://ja.wikipedia.org/wiki/横間駅","日本の鉄道駅一覧_や-わ行","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_や-わ行","箇条書き,制限あり","北緯40度6分27.3秒東経141度1分36.8秒","■花輪線","40.3 km（好摩起点）","東日本旅客鉄道（JR東日本）","1966年（昭和41年）11月1日","地上駅","1面1線","岩手県八幡平市打田内104北緯40度6分27.3秒東経141度1分36.8秒座標:北緯40度6分27.3秒 東経141度1分36.8秒","無人駅","ヨマ","","","","","","","","","",""
