"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","所在地","ホーム","備考","電報略号","乗車人員,-統計年度-","駅番号","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","乗車人員,-統計年次-","駅数","開業","標高","標高差"
"海の公園柴口駅","海の公園柴口駅（うみのこうえんしばぐちえき）","https://ja.wikipedia.org/wiki/海の公園柴口駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度20分31.6秒東経139度38分9.2秒","■金沢シーサイドライン","8.1 km（新杉田起点）","横浜シーサイドライン","1989年（平成元年）7月5日[1]","高架駅","横浜市金沢区海の公園北緯35度20分31.6秒東経139度38分9.2秒﻿ / ﻿北緯35.342111度 東経139.635889度﻿ /35.342111; 139.635889﻿ (海の公園柴口駅)座標:北緯35度20分31.6秒東経139度38分9.2秒﻿ / ﻿北緯35.342111度 東経139.635889度﻿ /35.342111; 139.635889﻿ (海の公園柴口駅)","島式 1面2線","無人駅","","","11","2,175人/日-2019年-","","","","","","",""
"海の公園南口駅","海の公園南口駅（うみのこうえんみなみぐちえき）","https://ja.wikipedia.org/wiki/海の公園南口駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度20分14秒東経139度37分55.5秒","■金沢シーサイドライン","8.8 km（新杉田起点）","横浜シーサイドライン","1989年（平成元年）7月5日[1]","高架駅","横浜市金沢区海の公園北緯35度20分14秒東経139度37分55.5秒﻿ / ﻿北緯35.33722度 東経139.632083度﻿ /35.33722; 139.632083﻿ (海の公園南口駅)座標:北緯35度20分14秒東経139度37分55.5秒﻿ / ﻿北緯35.33722度 東経139.632083度﻿ /35.33722; 139.632083﻿ (海の公園南口駅)","島式 1面2線","無人駅","","","12","1,693人/日-2019年-","","","","","","",""
"海ノ中道駅","海ノ中道駅（うみのなかみちえき）","https://ja.wikipedia.org/wiki/海ノ中道駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯33度39分51.22秒東経130度21分41.82秒","JD香椎線","2.1 km（西戸崎起点）","九州旅客鉄道（JR九州）","1935年（昭和10年）7月1日","地上駅","福岡市東区大字西戸崎6北緯33度39分51.22秒東経130度21分41.82秒﻿ / ﻿北緯33.6642278度 東経130.3616167度﻿ /33.6642278; 130.3616167座標:北緯33度39分51.22秒東経130度21分41.82秒﻿ / ﻿北緯33.6642278度 東経130.3616167度﻿ /33.6642278; 130.3616167","1面1線","無人駅駅集中管理システム（Smart Support Station）採用福岡市内駅","ナミ","781人/日（降車客含まず）-2019年-","JD  02 ","","","","","","","",""
"梅ヶ丘駅","梅ヶ丘駅（うめがおかえき）","https://ja.wikipedia.org/wiki/梅ヶ丘駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度39分21.3秒東経139度39分13秒","小田原線","6.3 km（新宿起点）","小田急電鉄","1934年（昭和9年）4月1日","高架駅","東京都世田谷区梅丘一丁目31-21北緯35度39分21.3秒東経139度39分13秒﻿ / ﻿北緯35.655917度 東経139.65361度﻿ /35.655917; 139.65361座標:北緯35度39分21.3秒東経139度39分13秒﻿ / ﻿北緯35.655917度 東経139.65361度﻿ /35.655917; 139.65361","2面4線*","*通過線2線含む","","","OH09","34,064人/日-2019年-","","","","","","",""
"梅ケ沢駅","梅ケ沢駅（うめがさわえき）","https://ja.wikipedia.org/wiki/梅ケ沢駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯38度40分54.57秒東経141度5分9.01秒","■東北本線","411.5 km（東京起点）","東日本旅客鉄道（JR東日本）","1953年（昭和28年）3月2日[1]","地上駅","宮城県登米市迫町新田字外沢田53北緯38度40分54.57秒東経141度5分9.01秒座標:北緯38度40分54.57秒 東経141度5分9.01秒","2面2線[1]","無人駅[1]","ウメ","","","","","","","","","",""
"梅ケ谷駅","梅ケ谷駅（うめがだにえき）","https://ja.wikipedia.org/wiki/梅ケ谷駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯34度15分28.80秒東経136度21分23.76秒","紀勢本線","89.5 km（亀山起点）","東海旅客鉄道（JR東海）","1965年（昭和40年）11月1日","地上駅","三重県度会郡大紀町大内山1135北緯34度15分28.80秒東経136度21分23.76秒","1面2線","駅員無配置駅","ウカ","17人/日（降車客含まず）-2019年-","","","","","","","","",""
"梅ケ峠駅","梅ケ峠駅（うめがとうえき）","https://ja.wikipedia.org/wiki/梅ケ峠駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯34度6分6.08秒東経130度54分0.98秒","■山陰本線","658.8 km（京都起点）","西日本旅客鉄道（JR西日本）","1914年（大正3年）4月22日[1]","地上駅","山口県下関市豊浦町大字厚母郷字梅ヶ峠2北緯34度6分6.08秒東経130度54分0.98秒﻿ / ﻿北緯34.1016889度 東経130.9002722度﻿ /34.1016889; 130.9002722座標:北緯34度6分6.08秒東経130度54分0.98秒﻿ / ﻿北緯34.1016889度 東経130.9002722度﻿ /34.1016889; 130.9002722","1面1線","無人駅（自動券売機 有）","ウメ","95人/日（降車客含まず）-2019年-","","","","","","","","",""
"梅小路京都西駅","梅小路京都西駅（うめこうじきょうとにしえき）","https://ja.wikipedia.org/wiki/梅小路京都西駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯34度59分19.6秒東経135度44分35.4秒","E山陰本線（嵯峨野線）","1.7 km（京都起点）","西日本旅客鉄道（JR西日本）","2019年（平成31年）3月16日[1]","高架駅","京都市下京区観喜寺町3番地北緯34度59分19.6秒東経135度44分35.4秒﻿ / ﻿北緯34.988778度 東経135.743167度﻿ /34.988778; 135.743167﻿ (梅小路京都西駅)座標:北緯34度59分19.6秒東経135度44分35.4秒﻿ / ﻿北緯34.988778度 東経135.743167度﻿ /34.988778; 135.743167﻿ (梅小路京都西駅)","2面2線","直営駅みどりの券売機プラス設置駅京都市内駅[2]","シヨ","2,415人/日（降車客含まず）-2019年-","JR-E02","","","","","","","",""
"梅迫駅","梅迫駅（うめざこえき）","https://ja.wikipedia.org/wiki/梅迫駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度20分54.93秒東経135度18分40.01秒","L舞鶴線","8.2 km（綾部起点）","西日本旅客鉄道（JR西日本）","1904年（明治37年）11月3日","地上駅","京都府綾部市梅迫町溝尻1-1北緯35度20分54.93秒東経135度18分40.01秒﻿ / ﻿北緯35.3485917度 東経135.3111139度﻿ /35.3485917; 135.3111139座標:北緯35度20分54.93秒東経135度18分40.01秒﻿ / ﻿北緯35.3485917度 東経135.3111139度﻿ /35.3485917; 135.3111139","2面2線","無人駅","サコ","90人/日（降車客含まず）-2016年-","","","","","","","","",""
"梅郷駅","梅郷駅（うめさとえき）","https://ja.wikipedia.org/wiki/梅郷駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度55分52.7秒東経139度53分28.5秒","■野田線（東武アーバンパークライン）","30.9 km（大宮起点）","東武鉄道","1911年（明治44年）5月9日","地上駅（橋上駅）","千葉県野田市山崎1892北緯35度55分52.7秒東経139度53分28.5秒﻿ / ﻿北緯35.931306度 東経139.891250度﻿ /35.931306; 139.891250座標:北緯35度55分52.7秒東経139度53分28.5秒﻿ / ﻿北緯35.931306度 東経139.891250度﻿ /35.931306; 139.891250","2面2線","","メサ","","TD18","17,015人/日-2019年-","","","","","","",""
"梅島駅","梅島駅（うめじまえき）","https://ja.wikipedia.org/wiki/梅島駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度46分21.3秒東経139度47分51.5秒","■伊勢崎線（東武スカイツリーライン）","10.5 km（浅草起点）","東武鉄道","1924年（大正13年）10月1日","高架駅","東京都足立区梅田七丁目37-1北緯35度46分21.3秒東経139度47分51.5秒﻿ / ﻿北緯35.772583度 東経139.797639度﻿ /35.772583; 139.797639﻿ (梅島駅)座標:北緯35度46分21.3秒東経139度47分51.5秒﻿ / ﻿北緯35.772583度 東経139.797639度﻿ /35.772583; 139.797639﻿ (梅島駅)","1面2線","","ウメ","","TS12","36,020人/日-2019年-","","","","","","",""
"梅田駅 (Osaka Metro)","梅田駅（うめだえき）","https://ja.wikipedia.org/wiki/梅田駅_(Osaka_Metro)","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯34度42分10.2秒東経135度29分51.8秒","●御堂筋線","6.4 km（江坂起点）千里中央から12.3 km","大阪市高速電気軌道(Osaka Metro)","1933年（昭和8年）5月20日","地下駅","大阪市北区角田町8-6北緯34度42分10.2秒東経135度29分51.8秒﻿ / ﻿北緯34.702833度 東経135.497722度﻿ /34.702833; 135.497722﻿ (梅田駅)座標:北緯34度42分10.2秒東経135度29分51.8秒﻿ / ﻿北緯34.702833度 東経135.497722度﻿ /34.702833; 135.497722﻿ (梅田駅)","1面2線","","","171,735人/日（降車客含まず）-2020年-"," M16 ","345,789人/日-2020年-","東梅田駅（Osaka Metro谷町線）西梅田駅（Osaka Metro四つ橋線）大阪梅田駅（阪急神戸本線・宝塚本線・京都本線）大阪梅田駅（阪神本線）大阪駅（JR神戸線・JR京都線・JR宝塚線・大阪環状線）北新地駅（JR東西線）","","","","","",""
"梅坪駅","梅坪駅（うめつぼえき）","https://ja.wikipedia.org/wiki/梅坪駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度5分59.8秒東経137度9分44.7秒","三河線","4.2km（猿投起点）知立から18.4 km","名古屋鉄道","1923年（大正12年）10月26日","高架駅","愛知県豊田市梅坪町7丁目125北緯35度5分59.8秒東経137度9分44.7秒﻿ / ﻿北緯35.099944度 東経137.162417度﻿ /35.099944; 137.162417座標:北緯35度5分59.8秒東経137度9分44.7秒﻿ / ﻿北緯35.099944度 東経137.162417度﻿ /35.099944; 137.162417","島式 1面2線","無人駅（駅集中管理システム導入駅）*全車両が豊田市駅まで乗り入れ。","","","MY  08 ","6,674人/日-2019年[1]-","","","","","","",""
"梅戸井駅","梅戸井駅（うめどいえき）","https://ja.wikipedia.org/wiki/梅戸井駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度4分31.2秒東経136度33分25.3秒","三岐線","13.1 km（富田起点）","三岐鉄道","1931年（昭和6年）7月23日[1]","地上駅","三重県いなべ市大安町梅戸2354-2北緯35度4分31.2秒東経136度33分25.3秒﻿ / ﻿北緯35.075333度 東経136.557028度﻿ /35.075333; 136.557028座標:北緯35度4分31.2秒東経136度33分25.3秒﻿ / ﻿北緯35.075333度 東経136.557028度﻿ /35.075333; 136.557028","1面2線","","メド","135人/日（降車客含まず）-2019年-","","","","","","","","",""
"梅の辻停留場","梅の辻停留場（うめのつじていりゅうじょう）","https://ja.wikipedia.org/wiki/梅の辻停留場","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯33度33分15.8秒東経133度32分36.33秒","桟橋線","1.4 km（高知駅前起点）","とさでん交通","1904年（明治37年）5月2日","地上駅","高知県高知市梅ノ辻北緯33度33分15.8秒東経133度32分36.33秒﻿ / ﻿北緯33.554389度 東経133.5434250度﻿ /33.554389; 133.5434250﻿ (梅の辻停留場)","2面2線","","","","","","","","","","","",""
"梅本駅","梅本駅（うめのもとえき）","https://ja.wikipedia.org/wiki/梅本駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯33度48分4.69秒東経132度50分19.71秒","横河原線","8.2 km（松山市起点）","伊予鉄道","1935年（昭和10年）5月1日","地上駅","愛媛県松山市南梅本町803北緯33度48分4.69秒東経132度50分19.71秒﻿ / ﻿北緯33.8013028度 東経132.8388083度﻿ /33.8013028; 132.8388083﻿ (梅本駅)","1面2線","","","","●IY18","1,597[1]人/日-2019年-","伊予鉄道電車連絡梅本ループ線（バス）","","","","","",""
"梅林駅 (福岡県)","梅林駅 (福岡県)（うめばやしえき・福岡市地下鉄七隈線）","https://ja.wikipedia.org/wiki/梅林駅_(福岡県)","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯33度32分44.9秒東経130度21分17.78秒","地下鉄七隈線","3.4 km（橋本起点）","福岡市交通局","2005年（平成17年）2月3日","地下駅","福岡市城南区梅林四丁目北緯33度32分44.9秒東経130度21分17.78秒﻿ / ﻿北緯33.545806度 東経130.3549389度﻿ /33.545806; 130.3549389﻿ (梅林駅)座標:北緯33度32分44.9秒東経130度21分17.78秒﻿ / ﻿北緯33.545806度 東経130.3549389度﻿ /33.545806; 130.3549389﻿ (梅林駅)","1面2線","業務委託駅","","1,567人/日（降車客含まず）-2017年-","○N05","","","","","","","",""
"梅屋敷駅 (東京都)","梅屋敷駅 (東京都)（うめやしきえき・京急本線）","https://ja.wikipedia.org/wiki/梅屋敷駅_(東京都)","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度34分1.3秒東経139度43分42秒","■本線","7.2 km（品川起点）","京浜急行電鉄（京急）","1901年（明治34年）2月1日","高架駅","東京都大田区蒲田二丁目28番1号北緯35度34分1.3秒東経139度43分42秒﻿ / ﻿北緯35.567028度 東経139.72833度﻿ /35.567028; 139.72833座標:北緯35度34分1.3秒東経139度43分42秒﻿ / ﻿北緯35.567028度 東経139.72833度﻿ /35.567028; 139.72833","2面2線","","","","KK10","16,504人/日-2019年-","","","","","","",""
"梅屋敷駅 (奈良県)","梅屋敷駅 (奈良県)（うめやしきえき・近鉄生駒鋼索線）","https://ja.wikipedia.org/wiki/梅屋敷駅_(奈良県)","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯34度40分59.8秒東経135度41分13.16秒","Y生駒鋼索線（山上線）","1.2km（鳥居前起点）宝山寺から0.3 km","近畿日本鉄道","1929年（昭和4年）3月27日","地上駅","奈良県生駒市門前町18-1北緯34度40分59.8秒東経135度41分13.16秒﻿ / ﻿北緯34.683278度 東経135.6869889度﻿ /34.683278; 135.6869889座標:北緯34度40分59.8秒東経135度41分13.16秒﻿ / ﻿北緯34.683278度 東経135.6869889度﻿ /34.683278; 135.6869889","1面1線","","ウメ",""," Y19 ","","","","","","","",""
"梅山駅","梅山駅（うめやまえき）","https://ja.wikipedia.org/wiki/梅山駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度32分55.58秒東経136度55分4.55秒","越美南線","18.8 km（美濃太田起点）","長良川鉄道","1987年9月21日[1]","地上駅","岐阜県美濃市泉町北緯35度32分55.58秒東経136度55分4.55秒﻿ / ﻿北緯35.5487722度 東経136.9179306度﻿ /35.5487722; 136.9179306座標:北緯35度32分55.58秒東経136度55分4.55秒﻿ / ﻿北緯35.5487722度 東経136.9179306度﻿ /35.5487722; 136.9179306","1面1線","無人駅","ウメ","","12","319人/日-2010年-","","","","","","",""
"敬川駅","敬川駅（うやがわえき）","https://ja.wikipedia.org/wiki/敬川駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯34度58分40秒東経132度10分26.26秒","D山陰本線","460.5 km（京都起点）","西日本旅客鉄道（JR西日本）","1959年（昭和34年）4月1日","地上駅","島根県江津市敬川町1197北緯34度58分40秒東経132度10分26.26秒﻿ / ﻿北緯34.97778度 東経132.1739611度﻿ /34.97778; 132.1739611﻿ (敬川駅)","1面1線","無人駅","ヤワ","27人/日（降車客含まず）-2018年-","","","","","","","","",""
"浦賀駅","浦賀駅（うらがえき）","https://ja.wikipedia.org/wiki/浦賀駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度15分3.4秒東経139度42分54秒","■本線","55.5 km（品川起点）","京浜急行電鉄","1930年（昭和5年）4月1日[1]","地上駅","神奈川県横須賀市浦賀1-1-1北緯35度15分3.4秒東経139度42分54秒﻿ / ﻿北緯35.250944度 東経139.71500度﻿ /35.250944; 139.71500﻿ (浦賀駅)座標:北緯35度15分3.4秒東経139度42分54秒﻿ / ﻿北緯35.250944度 東経139.71500度﻿ /35.250944; 139.71500﻿ (浦賀駅)","1面2線","","","","KK64","20,199人/日-2019年-","","","","","","",""
"浦上駅","浦上駅（うらかみえき）","https://ja.wikipedia.org/wiki/浦上駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯32度45分56.12秒東経129度51分48.73秒","","","九州旅客鉄道（JR九州・駅詳細）長崎電気軌道（長崎電鉄・駅詳細）","","","長崎県長崎市川口町北緯32度45分56.12秒東経129度51分48.73秒﻿ / ﻿北緯32.7655889度 東経129.8635361度﻿ /32.7655889; 129.8635361﻿ (浦上駅)","","","","","","","","","","","","",""
"浦上駅","浦上駅前停留場（うらかみえきまえていりゅうじょう）","https://ja.wikipedia.org/wiki/浦上駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯32度45分56.12秒東経129度51分48.73秒","","","九州旅客鉄道（JR九州・駅詳細）長崎電気軌道（長崎電鉄・駅詳細）","","","長崎県長崎市川口町北緯32度45分56.12秒東経129度51分48.73秒﻿ / ﻿北緯32.7655889度 東経129.8635361度﻿ /32.7655889; 129.8635361﻿ (浦上駅)","","","","","","","","","","","","",""
"浦上車庫停留場","浦上車庫停留場（うらかみしゃこていりゅうじょう）","https://ja.wikipedia.org/wiki/浦上車庫停留場","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯32度46分48.35秒東経129度51分42.01秒","本線（■1号系統・□2号系統・■3号系統）","1.5km（住吉起点）赤迫から1.7 km","長崎電気軌道","1953年（昭和28年）8月1日","地上駅","長崎県長崎市大橋町4番4号先北緯32度46分48.35秒東経129度51分42.01秒﻿ / ﻿北緯32.7800972度 東経129.8616694度﻿ /32.7800972; 129.8616694﻿ (浦上車庫停留場)","3面2線","","","","17","2,300人/日-2015年-","","","","","","",""
"浦川駅","浦川駅（うらかわえき）","https://ja.wikipedia.org/wiki/浦川駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度3分23.18秒東経137度45分50.41秒","CD飯田線","57.3 km（豊橋起点）","東海旅客鉄道（JR東海）","1934年（昭和9年）11月11日[1]","地上駅","浜松市天竜区佐久間町浦川2820北緯35度3分23.18秒東経137度45分50.41秒﻿ / ﻿北緯35.0564389度 東経137.7640028度﻿ /35.0564389; 137.7640028座標:北緯35度3分23.18秒東経137度45分50.41秒﻿ / ﻿北緯35.0564389度 東経137.7640028度﻿ /35.0564389; 137.7640028","1面2線","駅員無配置駅","ウワ","55人/日（降車客含まず）-2019年-","","","","","","","","",""
"うらがわら駅","うらがわら駅","https://ja.wikipedia.org/wiki/うらがわら駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯37度9分32.32秒東経138度25分9.1秒","■ほくほく線","46.8 km（六日町起点）","北越急行","1997年（平成9年）3月22日[1]","高架駅","新潟県上越市浦川原区顕聖寺631-2北緯37度9分32.32秒東経138度25分9.1秒﻿ / ﻿北緯37.1589778度 東経138.419194度﻿ /37.1589778; 138.419194﻿ (うらがわら駅)座標:北緯37度9分32.32秒東経138度25分9.1秒﻿ / ﻿北緯37.1589778度 東経138.419194度﻿ /37.1589778; 138.419194﻿ (うらがわら駅)","1面1線[1]","標高31.9m[1]","ウワ[1]","113人/日（降車客含まず）-2018年-","","","","","","","","",""
"浦佐駅","浦佐駅（うらさえき）","https://ja.wikipedia.org/wiki/浦佐駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯37度10分2.0秒東経138度55分21.9秒","上越新幹線","198.6km（大宮起点）東京から228.9 km","東日本旅客鉄道（JR東日本）","1923年（大正12年）9月1日","高架駅（新幹線）地上駅（在来線）","新潟県南魚沼市浦佐719-2北緯37度10分2.0秒東経138度55分21.9秒座標:北緯37度10分2.0秒 東経138度55分21.9秒","2面2線（新幹線）2面4線（在来線）","直営駅（管理駅）話せる指定席券売機設置駅[1]","ウラ","1,417人/日（降車客含まず）-2019年-","","","","","","","","",""
"浦宿駅","浦宿駅（うらしゅくえき）","https://ja.wikipedia.org/wiki/浦宿駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯38度26分11.4秒東経141度25分17秒","■石巻線（■■仙石東北ライン含む）","42.4km（小牛田起点）仙台から塩釜・矢本経由で61.7 km","東日本旅客鉄道（JR東日本）","1956年（昭和31年）2月12日[1]","地上駅","宮城県牡鹿郡女川町浦宿浜字浦宿北緯38度26分11.4秒東経141度25分17秒座標:北緯38度26分11.4秒 東経141度25分17秒","1面1線[1]","無人駅[1]","ウラ","","","","","","","","","",""
"浦添前田駅","浦添前田駅（うらそえまえだえき）","https://ja.wikipedia.org/wiki/浦添前田駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯26度14分38.04秒東経127度43分55.92秒","■沖縄都市モノレール線（ゆいレール）","16.0 km（那覇空港起点）","沖縄都市モノレール","2019年（令和元年）10月1日[1][2]","高架駅","沖縄県浦添市前田二丁目3北緯26度14分38.04秒東経127度43分55.92秒﻿ / ﻿北緯26.2439000度 東経127.7322000度﻿ /26.2439000; 127.7322000座標:北緯26度14分38.04秒東経127度43分55.92秒﻿ / ﻿北緯26.2439000度 東経127.7322000度﻿ /26.2439000; 127.7322000","1面2線","","","365人/日（降車客含まず）-2020年-","18","","","","","","","",""
"浦田駅 (福岡県)","浦田駅 (福岡県)（うらたえき・九州旅客鉄道筑豊本線）","https://ja.wikipedia.org/wiki/浦田駅_(福岡県)","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯33度39分23.23秒東経130度41分57.73秒","JC筑豊本線[1]（福北ゆたか線）","36.2 km（若松起点）","九州旅客鉄道（JR九州）[1]","1989年（平成元年）3月11日[2][4]","地上駅","福岡県飯塚市鯰田[2]2415-2北緯33度39分23.23秒東経130度41分57.73秒﻿ / ﻿北緯33.6564528度 東経130.6993694度﻿ /33.6564528; 130.6993694﻿ (浦田駅)","2面2線[2][3]","無人駅[1]","ラタ","288人/日（降車客含まず）-2016年-","JC  15 ","534人/日-2016年-","","","","","","",""
"浦田駅 (岡山県)","浦田駅 (岡山県)（うらだえき・水島臨海鉄道水島本線）","https://ja.wikipedia.org/wiki/浦田駅_(岡山県)","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯34度33分40.47秒東経133度44分59.47秒","水島本線","5.5 km（倉敷市起点）","水島臨海鉄道","1988年（昭和63年）3月13日","地上駅","岡山県倉敷市福田町浦田北緯34度33分40.47秒東経133度44分59.47秒座標:北緯34度33分40.47秒 東経133度44分59.47秒","1面1線","無人駅","ウラ","361人/日（降車客含まず）-2018年-","MR4","722人/日-2018年-","","","","","","",""
"浦ノ崎駅","浦ノ崎駅（うらのさきえき）","https://ja.wikipedia.org/wiki/浦ノ崎駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯33度20分5.12秒東経129度47分35.81秒","■西九州線","24.8 km（有田起点）","松浦鉄道","1930年（昭和5年）10月1日1988年（昭和63年）4月1日（転換）","地上駅","佐賀県伊万里市山代町立岩北緯33度20分5.12秒東経129度47分35.81秒","1面1線","","ラサ","40人/日（降車客含まず）-2017年-","","77人/日-2017年-","","","","","","",""
"浦幌駅","浦幌駅（うらほろえき）","https://ja.wikipedia.org/wiki/浦幌駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯42度48分37.77秒東経143度39分5.41秒","■根室本線","231.7 km（滝川起点）","北海道旅客鉄道（JR北海道）","1903年（明治36年）12月25日","地上駅","北海道十勝郡浦幌町本町北緯42度48分37.77秒東経143度39分5.41秒﻿ / ﻿北緯42.8104917度 東経143.6515028度﻿ /42.8104917; 143.6515028﻿ (浦幌駅)","2面2線","直営駅（管理駅）みどりの窓口 有","ウラ","","○K40","110人/日-2018年-","","","","","","",""
"浦本駅","浦本駅（うらもとえき）","https://ja.wikipedia.org/wiki/浦本駅","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","","■日本海ひすいライン","28.3km（市振起点）泊から37.7km米原から322.8 km","えちごトキめき鉄道","1950年（昭和25年）1月28日[2]","高架駅","","2面2線[2]","無人駅[2]","ウモ[2]","8人/日（降車客含まず）-2019年-","","","","","","","","",""
"浦安駅 (鳥取県)","浦安駅 (鳥取県)（うらやすえき・西日本旅客鉄道山陰本線）","https://ja.wikipedia.org/wiki/浦安駅_(鳥取県)","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度29分58.8秒東経133度41分36.1秒","A山陰本線","285.8 km（京都起点）","西日本旅客鉄道（JR西日本）","1903年（明治36年）8月28日","地上駅","鳥取県東伯郡琴浦町大字徳万字大久保田271北緯35度29分58.8秒東経133度41分36.1秒﻿ / ﻿北緯35.499667度 東経133.693361度﻿ /35.499667; 133.693361﻿ (*浦安駅)座標:北緯35度29分58.8秒東経133度41分36.1秒﻿ / ﻿北緯35.499667度 東経133.693361度﻿ /35.499667; 133.693361﻿ (*浦安駅)","2面2線","無人駅（自動券売機 有）","ウラ","","","762人/日-2018年-","","","","","","",""
"浦安駅 (千葉県)","浦安駅 (千葉県)（うらやすえき・東京地下鉄東西線）","https://ja.wikipedia.org/wiki/浦安駅_(千葉県)","日本の鉄道駅一覧_う-え","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_う-え","箇条書き,制限あり","北緯35度39分57秒東経139度53分34.5秒","●[1]東西線","22.8 km（中野起点）","東京地下鉄（東京メトロ）","1969年（昭和44年）3月29日","高架駅","千葉県浦安市北栄一丁目13-1北緯35度39分57秒東経139度53分34.5秒﻿ / ﻿北緯35.66583度 東経139.892917度﻿ /35.66583; 139.892917座標:北緯35度39分57秒東経139度53分34.5秒﻿ / ﻿北緯35.66583度 東経139.892917度﻿ /35.66583; 139.892917","2面2線","駅務管区所在駅","ウラ","","T18[1]","82,712人/日-2019年-","","","","","","",""
