"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","築城主","城郭構造","築城年","遺構","主な城主","指定文化財","廃城年","位置","地図","別名","天守構造","主な改修者","再建造物","所在地","登録文化財","埋蔵文化財,包蔵地番号","宗派","本尊","創建年"
"井出氏館 (存在しないページ)","[井出氏館]","https://ja.wikipedia.org/w/index.php?title=井出氏館&amp;action=edit&amp;redlink=1","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"久能山東照宮","[久能城（久能山城）] 久能山東照宮 （くのうざんとうしょうぐう）は、 日本 の 静岡市 駿河区 根古屋に所在する 神社 である。","https://ja.wikipedia.org/wiki/久能山東照宮","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯34度57分53.47秒東経138度28分3.33秒","","","","","","","","北緯34度57分53.47秒東経138度28分3.33秒﻿ / ﻿北緯34.9648528度 東経138.4675917度﻿ /34.9648528; 138.4675917﻿ (久能山東照宮)座標:北緯34度57分53.47秒東経138度28分3.33秒﻿ / ﻿北緯34.9648528度 東経138.4675917度﻿ /34.9648528; 138.4675917﻿ (久能山東照宮)","久能山東照宮","","","","","静岡市駿河区根古屋390番地","","","","",""
"興津城","[興津城（横山城）] 興津城 （おきつじょう）","https://ja.wikipedia.org/wiki/興津城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"蒲原城","[蒲原城] 蒲原城 （かんばらじょう）は、 静岡県 静岡市 清水区 蒲原城山（旧 蒲原町 ）にある 戦国時代 の 日本の城 跡。静岡市指定 史跡  。","https://ja.wikipedia.org/wiki/蒲原城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯35度07分22.1秒東経138度36分02.5秒","天文（1532年～1555年）年間?","山城","今川氏?","曲輪、堀切、土塁","今川氏・後北条氏・武田氏","静岡市指定史跡","1582年（天正18年）","北緯35度07分22.1秒東経138度36分02.5秒﻿ / ﻿北緯35.122806度 東経138.600694度﻿ /35.122806; 138.600694座標:北緯35度07分22.1秒東経138度36分02.5秒﻿ / ﻿北緯35.122806度 東経138.600694度﻿ /35.122806; 138.600694","蒲原城","","なし","","なし","","","","","",""
"沼津城","[沼津城] 沼津城 （ぬまづじょう）はかつて 駿河国 駿東郡 （現在の 静岡県 沼津市 大手町 ）にあった 日本の城 。別名 観潮城 。","https://ja.wikipedia.org/wiki/沼津城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯35度5分56秒東経138度51分34秒","水野忠友","梯郭式平山城","安永6年（1777年）","石垣","","","","北緯35度5分56秒東経138度51分34秒﻿ / ﻿北緯35.09889度 東経138.85944度﻿ /35.09889; 138.85944","沼津城","観潮城","","","","","","","","",""
"三枚橋城","[三枚橋城] 三枚橋城 （さんまいばしじょう）は、 駿河国 沼津（現在の 静岡県 沼津市 大手町 ）にかつてあった 日本の城 である。別名、観潮城  。","https://ja.wikipedia.org/wiki/三枚橋城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯35度5分56秒東経138度51分34秒","武田勝頼","梯郭式平山城","天正7年（1579年）","石垣","","","","北緯35度5分56秒東経138度51分34秒﻿ / ﻿北緯35.09889度 東経138.85944度﻿ /35.09889; 138.85944","三枚橋城","","","","","","","","","",""
"持船城","[持船城] 持船城 （もち ぶね じょう）は、現在の 静岡県 静岡市 駿河区 用宗城山町の、 JR 東海道本線 用宗駅 裏の標高70mほどの小高い丘陵（城山）にあった 日本の城 。眼下に 駿河湾 を見下ろし、 駿府 の町も一望できることもあり、 東海道 の山越え側 丸子城 と並んで、海側の街道の要衝であった。","https://ja.wikipedia.org/wiki/持船城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯34度55分30.3秒東経138度21分34.8秒","一宮元実","山城","不明（天文年間）","竪堀、曲輪、土塁","関口親永","なし","1582年（天正10年）","北緯34度55分30.3秒東経138度21分34.8秒﻿ / ﻿北緯34.925083度 東経138.359667度﻿ /34.925083; 138.359667座標:北緯34度55分30.3秒東経138度21分34.8秒﻿ / ﻿北緯34.925083度 東経138.359667度﻿ /34.925083; 138.359667","持船城","用宗城、持舟城、用船城","なし","不明","なし","","","","","",""
"丸子城 (駿河国)","[丸子城] 丸子城 （まりこじょう）は 駿河国 （現在の 静岡県 静岡市 駿河区 丸子）にかつてあった 日本の城 （ 山城 ）である。北城と南城があり、北城を指すと見られる 宇津谷城 、 鞠子城 、南城を指すと見られる 三角城 （みかど - ）、 赤目ヶ谷砦 の別名がある  。","https://ja.wikipedia.org/wiki/丸子城_(駿河国)","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯34度57分05.0秒東経138度19分42.2秒","斎藤安元","山城","14世紀末〜15世紀初頭?","曲輪、土塁、堀","山県昌景ほか","未指定","天正18年（1590年）","北緯34度57分05.0秒東経138度19分42.2秒﻿ / ﻿北緯34.951389度 東経138.328389度﻿ /34.951389; 138.328389座標:北緯34度57分05.0秒東経138度19分42.2秒﻿ / ﻿北緯34.951389度 東経138.328389度﻿ /34.951389; 138.328389","丸子城","宇津谷城、鞠子城三角城、赤目ヶ谷砦","なし","","","","","","","",""
"田中城","[田中城] 田中城 （たなかじょう）は 静岡県 藤枝市 田中にあった 日本の城 。形式は 平城 。 江戸時代 には 田中藩 の 藩庁 が置かれた。前身は 徳一色城 。藤枝市指定 史跡 。また関連する建造物4件（田中城本丸櫓、長楽寺村郷蔵、茶室、仲間部屋・厩）と城絵図2件が市指定 有形文化財 である  。","https://ja.wikipedia.org/wiki/田中城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯34度52分19.22秒東経138度16分28.57秒","今川氏","輪郭式平城","天文6年（1537年）","石垣、水堀、移築櫓他","今川氏、一色氏、武田氏、本多氏","藤枝市指定史跡（田中城址）藤枝市指定有形文化財（田中城本丸櫓、長楽寺村郷蔵、茶室、仲間部屋・厩、田中城絵図、田中城古図）文化庁認定日本遺産（田中城址、田中城本丸櫓）","明治元年（1868年）","北緯34度52分19.22秒東経138度16分28.57秒﻿ / ﻿北緯34.8720056度 東経138.2746028度﻿ /34.8720056; 138.2746028座標:北緯34度52分19.22秒東経138度16分28.57秒﻿ / ﻿北緯34.8720056度 東経138.2746028度﻿ /34.8720056; 138.2746028","田中城","亀甲城、亀井城、徳之一色城","2層2階","山県昌景","","","","","","",""
"長久保城","[長久保城] 長久保城 （ながくぼじょう）は、 静岡県 駿東郡 長泉町 下長窪にあった 日本の城 。","https://ja.wikipedia.org/wiki/長久保城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯35度08分51.8秒東経138度53分23.4秒","長久保氏？","山城","不明","曲輪（一部）、土塁、空堀","長久保氏？、清水政勝？、中村一氏","なし","1613年（慶長8年）","北緯35度08分51.8秒東経138度53分23.4秒﻿ / ﻿北緯35.147722度 東経138.889833度﻿ /35.147722; 138.889833","長久保城","長窪城","","","","","","","","",""
"入山瀬城 (存在しないページ)","[入山瀬城]","https://ja.wikipedia.org/w/index.php?title=入山瀬城&amp;action=edit&amp;redlink=1","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"岩本山城 (存在しないページ)","[岩本山城]","https://ja.wikipedia.org/w/index.php?title=岩本山城&amp;action=edit&amp;redlink=1","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"松野城 (存在しないページ)","[松野城]","https://ja.wikipedia.org/w/index.php?title=松野城&amp;action=edit&amp;redlink=1","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"韮山城","[韮山城（龍城）] 韮山城 （にらやまじょう）は、 伊豆国 田方郡 韮山（ 静岡県 伊豆の国市 韮山）にあった 室町時代 後期から 戦国時代 にかけての 日本の城 。 平山城 。","https://ja.wikipedia.org/wiki/韮山城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯35度03分13.3秒東経138度57分20.0秒","不明","平山城","不明（15世紀末？）","水堀、土塁、堀切、郭、虎口、園池、屋敷跡","北条早雲、北条氏規","未指定","1601年（慶長6年）","北緯35度03分13.3秒東経138度57分20.0秒﻿ / ﻿北緯35.053694度 東経138.955556度﻿ /35.053694; 138.955556","韮山城","龍城","","北条早雲、後北条氏","","","","","","",""
"山中城","[山中城] 山中城 （やまなかじょう）は、 静岡県 三島市 山中新田（ 伊豆国 田方郡 山中）にある中世の 日本の城 （ 山城跡 ）で、国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/山中城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯35度9分23.03秒東経138度59分32.71秒","北条氏康","山城","永禄年間（1558年～1570年）","曲輪、堀、土塁","松田氏","国の史跡","1590年（天正18年）","北緯35度9分23.03秒東経138度59分32.71秒﻿ / ﻿北緯35.1563972度 東経138.9924194度﻿ /35.1563972; 138.9924194","","","なし","北条氏政","","","","","","",""
"深根城","[深根城] 稲梓駅 （いなずさえき）は、 静岡県 下田市 落合にある、 伊豆急行 伊豆急行線 の 駅 である。 駅番号 は IZ14 。 普通列車 のみが停車する。","https://ja.wikipedia.org/wiki/深根城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯34度43分16.96秒東経138度56分57.58秒","","","","","","","","","","","","","","静岡県下田市落合92番地の1北緯34度43分16.96秒東経138度56分57.58秒﻿ / ﻿北緯34.7213778度 東経138.9493278度﻿ /34.7213778; 138.9493278座標:北緯34度43分16.96秒東経138度56分57.58秒﻿ / ﻿北緯34.7213778度 東経138.9493278度﻿ /34.7213778; 138.9493278","","","","",""
"高谷城 (存在しないページ)","[高谷城]","https://ja.wikipedia.org/w/index.php?title=高谷城&amp;action=edit&amp;redlink=1","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鎌田城 (存在しないページ)","[鎌田城]","https://ja.wikipedia.org/w/index.php?title=鎌田城&amp;action=edit&amp;redlink=1","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"下田城 (伊豆国)","[下田城（鵜島城）] 下田城 （しもだじょう）は 静岡県 に存在した 日本の城 （ 海城 ）。 戦国時代 末期の 小田原 ・ 北条氏 の 水軍 の拠点。1588年 北条氏直 築城。","https://ja.wikipedia.org/wiki/下田城_(伊豆国)","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯34度40分00.70秒東経138度56分55.40秒","後北条氏","海城","不明","空掘、堀切、障子堀、土塁、郭","後北条氏、清水康英、戸田氏","","江戸時代","北緯34度40分00.70秒東経138度56分55.40秒﻿ / ﻿北緯34.6668611度 東経138.9487222度﻿ /34.6668611; 138.9487222","下田城","鵜嶋城","天守台と伝わる郭有り","","","","","","","",""
"長浜城 (伊豆国)","[長浜城] 長浜城 （ながはまじょう）は、 伊豆国 田方郡 西浦庄長浜・重須（ 静岡県 沼津市 内浦長浜・内浦重須）にあった 日本の城 。現在まで 戦国時代 の海賊城の遺構を多く残していることで知られる。国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/長浜城_(伊豆国)","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯35度1分5.4秒東経138度53分16.5秒","不明","連郭式山城","不明","曲輪、堀切、土塁、空堀","大川氏？","国の史跡","1590年（天正18年）頃","北緯35度1分5.4秒東経138度53分16.5秒﻿ / ﻿北緯35.018167度 東経138.887917度﻿ /35.018167; 138.887917","長浜城","おもす（重須）の城","","北条氏政","","","","","","",""
"戸倉城 (伊豆国)","[戸倉城] 戸倉城 （とくらじょう）は、 駿河国 駿東郡 戸倉（現在の 静岡県 駿東郡 清水町 徳倉）にかつて存在した 日本の城 である。","https://ja.wikipedia.org/wiki/戸倉城_(伊豆国)","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯35度05分43秒東経138度53分55秒","今川氏？または北条氏綱？","山城","文明（1469年～1487年）または天文（1532年～1554年）年間？","曲輪、堀切","笠原政尭","なし","1590年（天正18年）以降？","北緯35度05分43秒東経138度53分55秒﻿ / ﻿北緯35.09528度 東経138.89861度﻿ /35.09528; 138.89861座標:北緯35度05分43秒東経138度53分55秒﻿ / ﻿北緯35.09528度 東経138.89861度﻿ /35.09528; 138.89861","戸倉城","","なし","","なし","","","","","",""
"掛川城","[掛川城] 掛川城 （かけがわじょう）は、 遠江国 佐野郡 掛川（現在の 静岡県 掛川市 掛川）にあった 日本の城 である。","https://ja.wikipedia.org/wiki/掛川城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯34度46分31.5秒東経138度0分53.04秒","朝比奈泰煕","平山城","文明年間（1469年〜1487年）","二の丸御殿・太鼓櫓（移築）・大手門番所（移築）・石垣・土塁・堀（いずれも一部）","朝比奈氏、山内氏、太田氏、石川氏","国の重要文化財（二の丸御殿）","1871年（明治4年）","北緯34度46分31.5秒東経138度0分53.04秒﻿ / ﻿北緯34.775417度 東経138.0147333度﻿ /34.775417; 138.0147333座標:北緯34度46分31.5秒東経138度0分53.04秒﻿ / ﻿北緯34.775417度 東経138.0147333度﻿ /34.775417; 138.0147333","掛川城","懸川城、懸河城、雲霧城、松尾城","不明3重（1621年再建 非現存）複合式望楼型3重4階（1996年木造復元）","山内一豊","天守・門","","","","","",""
"浜松城","[浜松城] 浜松城 （はままつじょう。旧字体表記は「濱松城」）は、 静岡県 浜松市 中区 にある 日本の城 跡。野面積みの石垣で有名。歴代城主の多くが後に 江戸幕府 の重役に出世したことから「出世城」といわれた。","https://ja.wikipedia.org/wiki/浜松城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯34度42分42.39秒東経137度43分29.67秒","今川貞相？","梯郭式平山城","永正年間（1504年-1520年）？","石垣、曲輪","飯尾氏、松平氏、堀尾氏井上氏、水野氏他","浜松城跡(浜松市指定史跡)","1871年（明治4年）","北緯34度42分42.39秒東経137度43分29.67秒﻿ / ﻿北緯34.7117750度 東経137.7249083度﻿ /34.7117750; 137.7249083﻿ (浜松城)座標:北緯34度42分42.39秒東経137度43分29.67秒﻿ / ﻿北緯34.7117750度 東経137.7249083度﻿ /34.7117750; 137.7249083﻿ (浜松城)","浜松城","曳馬城、出世城","不明（望楼型3重4階、鉄筋コンクリート造模擬・1958年（昭和33年））","徳川家康","模擬天守","","","","","",""
"曳馬城","[曳馬城] 浜松城 （はままつじょう。旧字体表記は「濱松城」）は、 静岡県 浜松市 中区 にある 日本の城 跡。野面積みの石垣で有名。歴代城主の多くが後に 江戸幕府 の重役に出世したことから「出世城」といわれた。","https://ja.wikipedia.org/wiki/曳馬城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯34度42分42.39秒東経137度43分29.67秒","今川貞相？","梯郭式平山城","永正年間（1504年-1520年）？","石垣、曲輪","飯尾氏、松平氏、堀尾氏井上氏、水野氏他","浜松城跡(浜松市指定史跡)","1871年（明治4年）","北緯34度42分42.39秒東経137度43分29.67秒﻿ / ﻿北緯34.7117750度 東経137.7249083度﻿ /34.7117750; 137.7249083﻿ (浜松城)座標:北緯34度42分42.39秒東経137度43分29.67秒﻿ / ﻿北緯34.7117750度 東経137.7249083度﻿ /34.7117750; 137.7249083﻿ (浜松城)","浜松城","曳馬城、出世城","不明（望楼型3重4階、鉄筋コンクリート造模擬・1958年（昭和33年））","徳川家康","模擬天守","","","","","",""
"高天神城","[高天神城] 高天神城 （たかてんじんじょう）は、 遠江国 城東郡 土方（ひじかた）、現在の 静岡県 掛川市 上土方・下土方にあった 日本の城 。小規模ながら、山城として堅固さを誇り、 戦国時代 末期には 武田信玄 ・ 勝頼 と 徳川家康 が激しい争奪戦を繰り広げた。優美な山の形から 鶴舞城 の別称を持つ。国の 史跡 に指定されている。また 2017年 （平成29年）4月6日、 続日本100名城 （147番）に選定された。","https://ja.wikipedia.org/wiki/高天神城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯34度41分54.49秒東経138度2分6.98秒","不明","連郭式山城","16世紀初頭","曲輪、土塁","福島氏、小笠原氏、岡部氏","国の史跡","天正9年（1581年）","北緯34度41分54.49秒東経138度2分6.98秒﻿ / ﻿北緯34.6984694度 東経138.0352722度﻿ /34.6984694; 138.0352722","高天神城","鶴舞城","建造されず","武田勝頼","","","","","","",""
"二俣城","[二俣城] 二俣城 （ふたまたじょう）は、 遠江国 豊田郡 二俣（現在の 静岡県 浜松市 天竜区 二俣町二俣）にあった 日本の城 。 山城 。 天竜川 と 二俣川 に挟まれた天嶮に恵まれた中世城郭として名高く、 武田信玄 ・ 勝頼 親子と 徳川家康 がこの城を巡って激しい攻防を繰り広げた。また、家康の嫡男 信康 が悲劇の切腹をとげた城としても知られる。城跡は国の 史跡 に指定されている（指定名称は「二俣城跡及び鳥羽山城跡」）   。","https://ja.wikipedia.org/wiki/二俣城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯34度51分43.29秒東経137度48分32.16秒","二俣昌長","連郭式山城","不明（16世紀前半から半ば）","石垣、土塁、堀","二俣氏、松井氏、中根氏、依田氏大久保氏、堀尾氏","国の史跡","慶長5年（1600年）","北緯34度51分43.29秒東経137度48分32.16秒﻿ / ﻿北緯34.8620250度 東経137.8089333度﻿ /34.8620250; 137.8089333","二俣城","蜷原城","なし","大久保忠世","","","","","","",""
"天方城","[天方城] 天方城 （ あまがたじょう ）は、 遠江国 （現在の 静岡県 周智郡 森町 向天方）にあった 日本の城 。 山城 。「 本城 」と「 新城 」が存在し、 新城 は森町指定 史跡  。","https://ja.wikipedia.org/wiki/天方城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯34度50分52.1秒東経137度56分58.0秒","天方通興","山城","1568年（永禄11年）頃","曲輪、空堀、土塁","天方通興","森町指定史跡","1596年（慶長元年）頃？","北緯34度50分52.1秒東経137度56分58.0秒﻿ / ﻿北緯34.847806度 東経137.949444度﻿ /34.847806; 137.949444座標:北緯34度50分52.1秒東経137度56分58.0秒﻿ / ﻿北緯34.847806度 東経137.949444度﻿ /34.847806; 137.949444","天方新城","","なし","","なし","","","","","",""
"犬居城 (存在しないページ)","[犬居城]","https://ja.wikipedia.org/w/index.php?title=犬居城&amp;action=edit&amp;redlink=1","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"高根城 (浜松市)","[高根城] 高根城 （たかねじょう） は、 静岡県 浜松市 天竜区 水窪町 地頭方にあった山城である。","https://ja.wikipedia.org/wiki/高根城_(浜松市)","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯35度08分58秒東経137度52分02秒","奥山金吾正定則","山城","応永21年（1414年）","曲輪、堀切","奥山氏","市指定史跡","1580年頃","北緯35度08分58秒東経137度52分02秒﻿ / ﻿北緯35.14944度 東経137.86722度﻿ /35.14944; 137.86722座標:北緯35度08分58秒東経137度52分02秒﻿ / ﻿北緯35.14944度 東経137.86722度﻿ /35.14944; 137.86722","高根城","久頭合城、久頭郷城","","武田信玄","","","","","","",""
"諏訪原城","[諏訪原城] 諏訪原城 （すわはらじょう）は、 遠江国 榛原郡 金谷（現在の 静岡県 島田市 金谷）にあった 戦国時代 の 日本の城 （ 山城 ）である。諏訪之原城とも書く。 甲斐 の武田氏が築城。城内に 諏訪大明神 を祀ったことからこの名が付いたとされる。 徳川氏 時代の城名は 牧野城 。『 家忠日記 』には牧野城のほか牧野原城とも記載。東照宮御実紀（徳川実紀）に、牧野の城（諏訪原をいふ）と記載。","https://ja.wikipedia.org/wiki/諏訪原城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯34度49分4.94秒東経138度7分11.4秒","馬場信春？","山城","天正元年（1573年）","土塁、曲輪、堀、馬出、井戸など","今福虎孝、今川氏真、松平家忠等","国の史跡","天正18年（1592年）","北緯34度49分4.94秒東経138度7分11.4秒﻿ / ﻿北緯34.8180389度 東経138.119833度﻿ /34.8180389; 138.119833座標:北緯34度49分4.94秒東経138度7分11.4秒﻿ / ﻿北緯34.8180389度 東経138.119833度﻿ /34.8180389; 138.119833","諏訪原城","牧野城、牧野原城、扇城","なし","松平家忠など","","","","","","",""
"井伊谷城","[井伊谷城] 井伊谷城 （いいのやじょう）は、 遠江国 の 井伊谷 （現在は 静岡県 浜松市 北区 引佐町 ）にあった 日本 の 城 である。浜松市指定 史跡  。","https://ja.wikipedia.org/wiki/井伊谷城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯34度50分12.8秒東経137度40分14.3秒","井伊共保","山城","1032年（万寿9年）","曲輪、土塁、石垣など","井伊氏","浜松市指定史跡1985年（昭和60年）8月26日","不明","北緯34度50分12.8秒東経137度40分14.3秒﻿ / ﻿北緯34.836889度 東経137.670639度﻿ /34.836889; 137.670639座標:北緯34度50分12.8秒東経137度40分14.3秒﻿ / ﻿北緯34.836889度 東経137.670639度﻿ /34.836889; 137.670639","井伊谷城","井伊城","なし","","","","","","","",""
"宇津山城","[宇津山城] 宇津山城 （うつやまじょう、うづやまじょう  ）は、 遠江国 に在る 戦国時代 の 日本の城 跡。現在の 湖西市 入出の 浜名湖 に突き出した正太寺鼻に位置する宇津山（49.5m）にあり、 郭 や 土塁 、 武者走り 、舟隠し場  が残る。 正太寺  （遠州三十三観音25番札所）  の敷地内にある。","https://ja.wikipedia.org/wiki/宇津山城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯34度45分21.4秒東経137度31分59.5秒","今川氏親","山城","大永（1521年～1527年）年間","曲輪、石垣、舟隠し場","長池親能、小原親高、朝比奈泰長、朝比奈泰充、朝比奈真次、小原鎮実、松平家忠、松平清善","なし","不明","北緯34度45分21.4秒東経137度31分59.5秒﻿ / ﻿北緯34.755944度 東経137.533194度﻿ /34.755944; 137.533194座標:北緯34度45分21.4秒東経137度31分59.5秒﻿ / ﻿北緯34.755944度 東経137.533194度﻿ /34.755944; 137.533194","宇津山城","","なし","","","","","","","",""
"堀江城","[堀江城] 堀江城 （ほりえじょう）は、 遠江国 敷知郡 （現在の 静岡県 浜松市 西区 舘山寺町堀江）にあった 城 。 江戸時代 には 堀江陣屋 （ほりえじんや）と称されて 高家 旗本 大沢家の 陣屋 となった。","https://ja.wikipedia.org/wiki/堀江城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"久野城 (遠江国) (存在しないページ)","[久野城]","https://ja.wikipedia.org/w/index.php?title=久野城_(遠江国)&amp;action=edit&amp;redlink=1","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"馬伏塚城 (存在しないページ)","[馬伏塚城]","https://ja.wikipedia.org/w/index.php?title=馬伏塚城&amp;action=edit&amp;redlink=1","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"横須賀城","[横須賀城] 横須賀城 （よこすかじょう）は、 遠江国 城東郡 横須賀 （ 静岡県 掛川市 西大渕）に 戦国時代 から 江戸時代 にあった 日本の城 。平城。国の 史跡 。","https://ja.wikipedia.org/wiki/横須賀城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯34度41分8.46秒東経137度58分17.64秒","大須賀康高","平城","天正6年（1578年）","石垣、曲輪、水堀、移築櫓他","大須賀氏、渡瀬繁詮、大須賀氏、西尾家、他","国の史跡","明治元年（1868年）","北緯34度41分8.46秒東経137度58分17.64秒﻿ / ﻿北緯34.6856833度 東経137.9715667度﻿ /34.6856833; 137.9715667","横須賀城","松尾城、両頭城","不明、3重4階","","","","","","","",""
"横地城","[横地城] 横地城 （よこちじょう/よこじじょう）   は、 静岡県 菊川市 東横地にある 日本の城 跡。別名 金寿城 。城跡は 2004年 （ 平成 16年） 9月30日 に「 菊川城館遺跡群 」の一部として国の 史跡 に指定されている  （菊川城館遺跡群は高田大屋敷遺跡と横地氏城館群で構成されており、横地城跡は後者に属する）。","https://ja.wikipedia.org/wiki/横地城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯34度43分41.7秒東経138度07分04.4秒","横地太郎家長","","室町時代初頭","曲輪、土塁、空堀、井戸","横地氏","国の史跡（菊川城館遺跡群）2004年（平成16年）9月30日","1476年（文明8年）","北緯34度43分41.7秒東経138度07分04.4秒﻿ / ﻿北緯34.728250度 東経138.117889度﻿ /34.728250; 138.117889座標:北緯34度43分41.7秒東経138度07分04.4秒﻿ / ﻿北緯34.728250度 東経138.117889度﻿ /34.728250; 138.117889","横地城","金寿城","","","なし","","","","","",""
"小山城 (遠江国)","[小山城] 小山城 （こやまじょう）は 遠江国 、現在の 静岡県 榛原郡 吉田町 にかつてあった 日本の城 である。吉田町指定 史跡  。","https://ja.wikipedia.org/wiki/小山城_(遠江国)","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯34度46分44.2秒東経138度14分49.4秒","馬場信春","連郭式平山城","元亀2年（1571年）","土塁、曲輪、堀、馬出し","大熊朝秀","吉田町指定史跡","天正10年（1582年）","北緯34度46分44.2秒東経138度14分49.4秒﻿ / ﻿北緯34.778944度 東経138.247056度﻿ /34.778944; 138.247056座標:北緯34度46分44.2秒東経138度14分49.4秒﻿ / ﻿北緯34.778944度 東経138.247056度﻿ /34.778944; 138.247056","小山城","","なし望楼型3層5階（昭和62年、RC造り模擬）","","","","","","","",""
"相良城","[相良城] 相良城 （さがらじょう）は、 遠江国 榛原郡 （現在： 静岡県 牧之原市 ）にあった 日本の城 。江戸時代の一時期には 相良藩 の藩庁が置かれた。","https://ja.wikipedia.org/wiki/相良城","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","北緯34度41分12.5秒東経138度11分53.5秒","相良氏","平城","平安時代末（12世紀末）?","無し（埋没）","相良氏、田沼意次他","未指定","天明8年（1788年）","北緯34度41分12.5秒東経138度11分53.5秒﻿ / ﻿北緯34.686806度 東経138.198194度﻿ /34.686806; 138.198194座標:北緯34度41分12.5秒東経138度11分53.5秒﻿ / ﻿北緯34.686806度 東経138.198194度﻿ /34.686806; 138.198194","相良城","","なし","武田勝頼、田沼意次他","なし","","","","","",""
"一宮城 (尾張国)","[一宮城] 一宮城 （いちのみやじょう）は、現在の 愛知県 一宮市 にかつて存在した、 戦国 ・ 安土桃山時代 の 日本の城 （ 平城 ）である。","https://ja.wikipedia.org/wiki/一宮城_(尾張国)","日本の城一覧","https://ja.wikipedia.org/wiki/日本の城一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
