"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","地図","規模","築造時期","史跡","形状","法人番号","文化財","出土品","山号","宗派","埋葬施設","本尊","別名","創建年","城郭構造","築城主","遺構"
"真福寺貝塚","[真福寺貝塚（しんぷくじかいづか）〔さいたま市岩槻区〕1975年7月19日] 真福寺貝塚 （しんぷくじかいづか）は、 埼玉県 さいたま市 岩槻区 城南 3丁目に所在する 縄文時代 後期から晩期の 集落 跡で、 貝塚 と 泥炭 層からなる。泥炭層は 真福寺泥炭層遺跡 とも呼ばれている。","https://ja.wikipedia.org/wiki/真福寺貝塚","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度56分26.5秒 東経139度42分26.9秒","","","","","","","","","","","","","","","","","","",""
"見沼通船堀","[見沼通船堀（みぬまつうせんぼり）〔さいたま市緑区・川口市〕1982年7月3日] 見沼通船堀 （みぬまつうせんぼり）は、 見沼代用水 （東縁、西縁）と 芝川 とを結ぶ 閘門式 運河 である。 1731年 （ 享保 16年）に作られた。","https://ja.wikipedia.org/wiki/見沼通船堀","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"河越館","[河越館跡（かわごえやかたあと）〔川越市〕1984年12月6日] 河越館 （かわごえかん／かわごえやかた）は、 埼玉県 川越市 上戸 （うわど）に所在した 日本の城 。川越市の北西部、 入間川 右岸に位置し、約二町（218m）四方の占地規模を持つ館跡遺跡。国の 史跡 。","https://ja.wikipedia.org/wiki/河越館","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度55分47.7秒東経139度27分5.5秒","","北緯35度55分47.7秒東経139度27分5.5秒﻿ / ﻿北緯35.929917度 東経139.451528度﻿ /35.929917; 139.451528","河越館","","","","","","","","","","","","鯨井城、上戸城、河越城、上戸陣所","","平城","河越能隆か","土塁・空堀の一部"
"黒浜貝塚","[黒浜貝塚（くろはまかいづか）〔蓮田市〕2006年7月28日] 黒浜貝塚 （くろはまかいづか）は、 埼玉県 蓮田市 黒浜にある 貝塚 群および 環状集落 遺跡 。 元荒川 の左岸、同川と 綾瀬川 に囲まれた標高16メートル、現在の水田面との比高差7メートルないし8メートルの 北足立台地 （大宮台地）の縁辺に立地する 縄文時代 前期から中期に相当する時期の13か所の群小貝塚の総称である。","https://ja.wikipedia.org/wiki/黒浜貝塚","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度59分32.3秒 東経139度39分44.5秒","","","","","","","","","","","","","","","","","","",""
"下里・青山板碑製作遺跡","[下里・青山板碑製作遺跡〔小川町〕2014年10月6日] 下里・青山板碑製作遺跡 （しもざと・あおやまいたびせいさくいせき）は、 埼玉県 比企郡 小川町 にある、 鎌倉時代 から 室町時代 にかけての 板碑 製作遺跡。2014年10月6日、国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/下里・青山板碑製作遺跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯36度03分24秒 東経139度15分42秒","","","","","","","","","","","","","","","","","","",""
"加曽利貝塚","[加曽利貝塚（かそりかいづか）〔千葉市〕] 加曽利貝塚 （かそりかいづか）は、 千葉県 千葉市 若葉区 桜木8丁目にある 縄文時代 の 貝塚 および 環状集落 の 遺跡 である。日本最大級の貝塚であり、学史上でも著名な 標式遺跡 としても知られる。 1971年 （ 昭和 46年）に北貝塚が、 1977年 （昭和52年）に南貝塚が国の 史跡 に指定され、 2017年 （ 平成 29年）に国の 特別史跡 に指定された。北貝塚のE地点の 土器 は、縄文中期後半の 加曽利E式 、南貝塚のB地点の土器は、縄文後期後半の 加曽利B式 として 編年 の指標となる土器と位置づけられている。","https://ja.wikipedia.org/wiki/加曽利貝塚","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度37分24秒東経140度9分53秒","千葉県千葉市若葉区桜木8丁目","","","","","","","","","","","","","","","","","",""
"山崎貝塚 (千葉県)","[山崎貝塚（やまざきかいづか）〔野田市〕1976年12月23日] 山崎貝塚 （やまざきかいづか）は、 千葉県 野田市 山崎貝塚町 にある、 縄文時代 中期から晩期にかけての 馬蹄 型 貝塚 である  。国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/山崎貝塚_(千葉県)","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度55分19.7秒 東経139度53分38.6秒","","","","","","","","","","","","","","","","","","",""
"姥山貝塚","[姥山貝塚（うばやまかいづか）〔市川市〕1967年8月17日] 姥山貝塚 （うばやまかいづか）は、 千葉県 市川市 柏井町 一丁目にある 縄文時代 中期から後期にかけての 貝塚 を伴う 環状集落 の 遺跡 。 大柏川 左岸の標高約24メートルの台地上に広がった東西130メートル・南北120メートルの南に開口した 馬蹄形 の貝塚である。現在は、 姥山貝塚公園 として整備され、国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/姥山貝塚","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度44分14.7秒 東経139度57分54.1秒","","","","","","","","","","","","","","","","","","",""
"下総国分寺","[下総国分寺跡 附 北下瓦窯跡（しもふさこくぶんじあと つけたり きたしたかわらがまあと）〔市川市〕1967年12月27日] 下総国分寺 （しもうさこくぶんじ）は、 千葉県 市川市 にある 真言宗 豊山派 の 寺院 。 山号 は国分山。 本尊 は 薬師如来 。","https://ja.wikipedia.org/wiki/下総国分寺","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度44分38.91秒東経139度54分59.47秒","千葉県市川市国分3丁目20-1","北緯35度44分38.91秒東経139度54分59.47秒﻿ / ﻿北緯35.7441417度 東経139.9165194度﻿ /35.7441417; 139.9165194座標:北緯35度44分38.91秒東経139度54分59.47秒﻿ / ﻿北緯35.7441417度 東経139.9165194度﻿ /35.7441417; 139.9165194","","","","","","1040005004157","","","国分山","真言宗豊山派","","薬師如来","","","","",""
"下総国分尼寺跡","[下総国分尼寺跡（しもうさこくぶんにじあと）〔市川市〕1967年12月27日] 下総国分寺 （しもうさこくぶんじ）は、 千葉県 市川市 にある 真言宗 豊山派 の 寺院 。 山号 は国分山。 本尊 は 薬師如来 。","https://ja.wikipedia.org/wiki/下総国分尼寺跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度44分38.91秒東経139度54分59.47秒","千葉県市川市国分3丁目20-1","北緯35度44分38.91秒東経139度54分59.47秒﻿ / ﻿北緯35.7441417度 東経139.9165194度﻿ /35.7441417; 139.9165194座標:北緯35度44分38.91秒東経139度54分59.47秒﻿ / ﻿北緯35.7441417度 東経139.9165194度﻿ /35.7441417; 139.9165194","","","","","","1040005004157","","","国分山","真言宗豊山派","","薬師如来","","","","",""
"曽谷貝塚","[曽谷貝塚（そやかいづか）〔市川市〕1979年12月22日] 曾谷貝塚 （そやかいづか）は、 千葉県 市川市 曽谷 二丁目にある 縄文時代 中期末から後期末にかけての 貝塚 および 環状集落 の 遺跡 。縄文時代後期末の土器型式である 曾谷式 の 標式遺跡 で、国の 史跡 に指定されている   。貝塚形成以前の縄文前期にあたる 土層 からも 遺構 が検出されており、集落としてはその時期からの歴史を有する。","https://ja.wikipedia.org/wiki/曽谷貝塚","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度44分49.45秒 東経139度56分6.91秒","","","","","","","","","","","","","","","","","","",""
"堀之内貝塚","[堀之内貝塚（ほりのうちかいづか）〔市川市〕1964年7月6日] 堀之内貝塚 （ほりのうちかいづか）は、 千葉県 市川市 堀之内 にある 縄文時代 後期から晩期の 貝塚 および 環状集落 の 遺跡 。国の 史跡 に指定されている  。縄文時代後期前葉の標式土器型式である「堀之内式」の 標式遺跡 として知られている  。","https://ja.wikipedia.org/wiki/堀之内貝塚","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度45分33.6秒 東経139度54分37.9秒","","","","","","","","","","","","","","","","","","",""
"下総小金中野牧跡","[下総小金中野牧跡（しもうさこがねなかのまきあと）〔鎌ヶ谷市〕] 下総小金中野牧跡 （しもうさこがねなかのまきあと）は、 江戸幕府 が軍馬育成のための放牧場として現在の 千葉県 北西部に設置した 中野牧 の一部。中野牧は、 小金五牧 最大の牧で、現在の 松戸市 ・ 柏市 ・ 鎌ケ谷市 ・ 白井市 にまたがって広がり、かつて小金五牧の中核をなした牧であった。","https://ja.wikipedia.org/wiki/下総小金中野牧跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度46分24.1秒 東経139度59分39.5秒","","","","","","","","","","","","","","","","","","",""
"荒屋敷貝塚","[荒屋敷貝塚（あらやしきかいづか）〔千葉市〕1979年3月13日] 縄文時代 中期から後期にかけて形成された 貝塚 とされる。草刈場貝塚や台門貝塚とともに貝塚町貝塚群に含まれる。異表記ないしは別称として、新屋敷貝塚・千葉貝塚・貝塚町貝塚・あらひき（あらしき）貝塚がある。貝層部は環状に近い 馬蹄形 であり、南北約150m・東西約160mの範囲に広がっている  。遺跡の中には 貯蔵穴 と推定される ピット 群や 竪穴住居 群も確認されている  。","https://ja.wikipedia.org/wiki/荒屋敷貝塚","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度37分20.33秒 東経140度8分41.82秒","","","","","","","","","","","","","","","","","","",""
"犢橋貝塚","[犢橋貝塚（こてはしかいづか）〔千葉市〕1981年12月9日] 犢橋貝塚 （こてはしかいづか）は、 千葉市 花見川区 さつきが丘 にある 縄文時代 後期を中心とする大型の 貝塚 を含む集落跡。国の 史跡 。","https://ja.wikipedia.org/wiki/犢橋貝塚","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度39分47.4秒 東経140度5分48.6秒","","","","","","","","","","","","","","","","","","",""
"月ノ木貝塚","[月ノ木貝塚（つきのきかいづか）〔千葉市〕1978年3月16日] 月ノ木貝塚 （つきのきかいづか）は、 千葉県 千葉市 中央区 仁戸名町 にある 貝塚 遺跡。1978年3月16日に一部範囲が 国史跡 に指定され、2006年7月28日に一部範囲が国史跡に追加された。","https://ja.wikipedia.org/wiki/月ノ木貝塚","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度35分43秒 東経140度09分28秒","","","","","","","","","","","","","","","","","","",""
"花輪貝塚","[花輪貝塚（はなわかいづか）〔千葉市〕2006年7月28日] 花輪貝塚 （はなわかいづか）は、 千葉県 千葉市 若葉区 加曽利町 にある 貝塚 遺跡。2006年7月28日に国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/花輪貝塚","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度36分54秒 東経140度09分39秒","","","","","","","","","","","","","","","","","","",""
"井野長割遺跡","[井野長割遺跡（いのながわりいせき）〔佐倉市〕2005年3月2日] 井野長割遺跡 （いのながわりいせき）は、 千葉県 佐倉市 ユーカリが丘 にある 縄文時代 後期 - 晩期の遺跡。国の 史跡 に指定されている（2005年3月2日指定）。","https://ja.wikipedia.org/wiki/井野長割遺跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度35分43秒 東経140度09分28秒","","","","","","","","","","","","","","","","","","",""
"本佐倉城","[本佐倉城跡（もとさくらじょうあと）〔佐倉市・印旛郡酒々井町〕1998年9月11日] 本佐倉城 （もとさくらじょう）は、 千葉県 印旛郡 酒々井町 本佐倉と 佐倉市 大佐倉にまたがる将門山に築かれた 千葉氏 後期の本拠地となった 日本の城 。 文明 年間（ 1469年 - 1486年 ）の築城で、国の 史跡 に指定されている  。 2017年 （平成29年）4月6日、「 続日本100名城 」（121番）に選定された。","https://ja.wikipedia.org/wiki/本佐倉城","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度43分39.13秒東経140度15分32.43秒","","北緯35度43分39.13秒東経140度15分32.43秒﻿ / ﻿北緯35.7275361度 東経140.2590083度﻿ /35.7275361; 140.2590083﻿ (本佐倉城)座標:北緯35度43分39.13秒東経140度15分32.43秒﻿ / ﻿北緯35.7275361度 東経140.2590083度﻿ /35.7275361; 140.2590083﻿ (本佐倉城)","本佐倉城","","","","","","","","","","","","将門山城","","連郭式平山城","千葉輔胤","空堀、土塁、虎口、郭、"
"龍角寺古墳群","[龍角寺古墳群・岩屋古墳（りゅうかくじこふんぐん・いわやこふん）〔印旛郡栄町・成田市〕1941年1月27日、2009年2月12日名称変更・追加] 龍角寺古墳群 （りゅうかくじこふんぐん）  は、 千葉県 成田市 と 印旛郡 栄町 の、 印旛沼 北東部の 下総台地 上に、 6世紀 前半から 7世紀 にかけて造営された古墳群である。","https://ja.wikipedia.org/wiki/龍角寺古墳群","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度49分29.0秒東経140度16分08.7秒","千葉県成田市・印旛郡栄町龍角寺978ほか","北緯35度49分29.0秒東経140度16分08.7秒﻿ / ﻿北緯35.824722度 東経140.269083度﻿ /35.824722; 140.269083座標:北緯35度49分29.0秒東経140度16分08.7秒﻿ / ﻿北緯35.824722度 東経140.269083度﻿ /35.824722; 140.269083","龍角寺古墳群","114基","6世紀前半～7世紀","国の史跡1941年：岩屋古墳のみ指定。2009年：他92基追加指定「龍角寺古墳群・岩屋古墳」","前方後円墳・円墳・方墳","","","","","","横穴式石室","","竜角寺古墳群","","","",""
"龍角寺","[竜角寺境内ノ塔阯（りゅうかくじけいだいのとうし）〔印旛郡栄町〕1933年4月13日] 龍角寺 （りゅうかくじ）は、 千葉県 印旛郡 栄町 龍角寺 にある 天台宗 の寺院。天竺山寂光院と号し、本尊は 薬師如来 。","https://ja.wikipedia.org/wiki/龍角寺","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度49分59.49秒東経140度16分11.26秒","千葉県印旛郡栄町龍角寺239","北緯35度49分59.49秒東経140度16分11.26秒﻿ / ﻿北緯35.8331917度 東経140.2697944度﻿ /35.8331917; 140.2697944","","","","","","7040005006230","銅造薬師如来坐像（国の重要文化財）龍角寺境内の塔址（国の史跡）龍角寺出土遺物（千葉県指定有形文化財）","","天竺山","天台宗","","薬師如来","","伝・和銅2年（709年）","","",""
"阿玉台貝塚","[阿玉台貝塚（あたまだいかいづか）〔香取市〕1968年5月20日] 阿玉台貝塚 （あたまだいかいづか、おたまだいかいづか）は、 千葉県 香取市 阿玉台にある 縄文時代 の貝塚  。 1968年 5月2日、国の 史跡 に指定された   。","https://ja.wikipedia.org/wiki/阿玉台貝塚","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度49分02秒 東経140度37分40秒","","","","","","","","","","","","","","","","","","",""
"伊能忠敬旧宅","[伊能忠敬旧宅（いのうただたかきゅうたく）〔香取市〕1930年4月25日] 伊能忠敬旧宅 （いのうただたかきゅうたく）は、 千葉県 香取市 佐原にある 伊能忠敬 の佐原在住時代の家で、国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/伊能忠敬旧宅","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度53分17.54秒東経140度29分52.56秒","千葉県香取市佐原イ1899","北緯35度53分17.54秒東経140度29分52.56秒﻿ / ﻿北緯35.8882056度 東経140.4979333度﻿ /35.8882056; 140.4979333座標:北緯35度53分17.54秒東経140度29分52.56秒﻿ / ﻿北緯35.8882056度 東経140.4979333度﻿ /35.8882056; 140.4979333","","","","","","","国の史跡","","","","","","","","","",""
"良文貝塚","[良文貝塚（よしぶみかいづか）〔香取市〕1930年2月28日] 利根川 下流 域で最大規模の 貝塚 で、標高約40メートルの下総 台地 に立地し、東西約250メートル、南北約100メートルの範囲に字海ノ内・羽ノ内・台畑・榎谷などの地域の大小9箇所に分布する貝塚群の総称である。 1930年 （ 昭和 5年） 2月 に 国の史跡 に指定された。なお、「 良文 」とはこの地区の市町村合併以前の旧村名である。","https://ja.wikipedia.org/wiki/良文貝塚","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度48分55.1秒 東経140度38分30.5秒","","","","","","","","","","","","","","","","","","",""
"大原幽学","[大原幽学遺跡 旧宅、墓および宅地耕地地割（おおはらゆうがくいせき きゅうたく はかおよびたくちこうちちわり）〔旭市〕1952年10月11日] 大原 幽学 （おおはら ゆうがく、 寛政 9年 3月17日 （ 1797年 4月13日 ） - 安政 5年 3月8日 （ 1858年 4月21日 ））は、 江戸時代 後期の農政学者、農民指導者。 下総国 香取郡 長部（ながべ）村（現在の 旭市 長部）を拠点に、 天保 9年（ 1838年 ）に 先祖株組合 という 農業協同組合 を世界で初めて創設した。","https://ja.wikipedia.org/wiki/大原幽学","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"芝山古墳群","[芝山古墳群（しばやまこふんぐん）〔山武郡横芝光町〕1958年6月28日] 芝山古墳群 （しばやまこふんぐん）は、 千葉県 山武郡 横芝光町 中台にある 古墳群 。名称は芝山古墳群であるが 芝山町 ではなく横芝光町にあり 、 中台古墳群 とも呼ばれる。国の 史跡 。","https://ja.wikipedia.org/wiki/芝山古墳群","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度40分51秒東経140度25分11秒","千葉県山武郡横芝光町中台1462,1440","北緯35度40分51秒東経140度25分11秒﻿ / ﻿北緯35.68083度 東経140.41972度﻿ /35.68083; 140.41972座標:北緯35度40分51秒東経140度25分11秒﻿ / ﻿北緯35.68083度 東経140.41972度﻿ /35.68083; 140.41972","芝山古墳群","全長88m,58.5m","6世紀後半","1958年（昭和33年）国指定","前方後円墳","","","形象埴輪等","","","横穴式石室","","中台古墳群","","","",""
"長柄横穴群","[長柄横穴群（ながらよこあなぐん）〔長生郡長柄町〕1995年3月20日] 長柄横穴群 （ながらよこあなぐん）は 千葉県 長生郡 長柄町 にある 横穴墓群 である。 1995年 （平成7年）、国の 史跡 に指定され、2008年（平成16年）、 ちば遺産100選 に選定された  。","https://ja.wikipedia.org/wiki/長柄横穴群","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度25分58.7秒東経140度14分24.9秒","千葉県長生郡長柄町徳増字源六839ほか","北緯35度25分58.7秒東経140度14分24.9秒﻿ / ﻿北緯35.432972度 東経140.240250度﻿ /35.432972; 140.240250座標:北緯35度25分58.7秒東経140度14分24.9秒﻿ / ﻿北緯35.432972度 東経140.240250度﻿ /35.432972; 140.240250","長柄横穴群千葉県内の位置","横穴墓36基","7世紀末から8世紀初め","1995年（平成7年）3月20日国指定","","","","","","","","","","","","",""
"上総国分寺跡","[上総国分寺跡（かずさこくぶんじあと）〔市原市〕1929年12月17日] 上総国分寺 （かずさこくぶんじ）は、 千葉県 市原市 にある 真言宗 豊山派 の 寺院 。 山号 は医王山。 院号 は清浄院。本尊は 薬師如来 。","https://ja.wikipedia.org/wiki/上総国分寺跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度29分48.92秒東経140度06分40.10秒","千葉県市原市惣社1丁目7-23","北緯35度29分48.92秒東経140度06分40.10秒﻿ / ﻿北緯35.4969222度 東経140.1111389度﻿ /35.4969222; 140.1111389座標:北緯35度29分48.92秒東経140度06分40.10秒﻿ / ﻿北緯35.4969222度 東経140.1111389度﻿ /35.4969222; 140.1111389","","","","","","4040005009500","薬師堂・将門塔・木造金剛力士像（市原市指定文化財）","","医王山","真言宗豊山派","","薬師如来","","","","",""
"上総国分尼寺跡","[上総国分尼寺跡（かずさこくぶんにじあと）〔市原市〕1983年8月3日] 上総国分尼寺跡 （かずさこくぶんにじあと）は、 千葉県 市原市 国分寺台中央 3丁目にある古代 寺院 跡。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/上総国分尼寺跡","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度30分00.28秒 東経140度07分05.84秒","","","","","","","","","","","","","","","","","","",""
"内裏塚古墳","[内裏塚古墳（だいりづかこふん）〔富津市〕2002年6月21日] 内裏塚古墳 （だいりづかこふん）は、 千葉県 富津市 二間塚字東内裏塚にある 前方後円墳 。国の 史跡 に指定されている。千葉県内では最大規模の古墳で  、 5世紀 中頃の築造と推定される。","https://ja.wikipedia.org/wiki/内裏塚古墳","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度19分33.4秒東経139度51分25.8秒","千葉県富津市二間塚字東内裏塚","北緯35度19分33.4秒東経139度51分25.8秒﻿ / ﻿北緯35.325944度 東経139.857167度﻿ /35.325944; 139.857167座標:北緯35度19分33.4秒東経139度51分25.8秒﻿ / ﻿北緯35.325944度 東経139.857167度﻿ /35.325944; 139.857167","内裏塚古墳千葉県内の位置","墳丘長約144m","5世紀中頃","国の史跡「内裏塚古墳」","前方後円墳","","","二体の人骨・青銅鏡・鉄直刀2・鉄鎌1・鉄角棒1・長刀1","","","無袖式横穴式石室","","オダイリヤマ","","","",""
"弁天山古墳 (富津市)","[弁天山古墳（べんてんやまこふん）〔富津市〕1929年12月17日] 弁天山古墳 （べんてんやまこふん）は、 千葉県 富津市 小久保にある 前方後円墳 である。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/弁天山古墳_(富津市)","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度16分54.6秒東経139度51分29.9秒","千葉県富津市小久保字弁天3016-1","北緯35度16分54.6秒東経139度51分29.9秒﻿ / ﻿北緯35.281833度 東経139.858306度﻿ /35.281833; 139.858306座標:北緯35度16分54.6秒東経139度51分29.9秒﻿ / ﻿北緯35.281833度 東経139.858306度﻿ /35.281833; 139.858306","","全長86m、高さ8m","5世紀後半","昭和4年（1929年）国指定","前方後円墳","","","","","","竪穴式石室","","","","","",""
"稲村城","[稲村城跡（いなむらじょうあと）] 稲村城 （いなむらじょう）は、 安房国 安房郡 （現在の 千葉県 館山市 稲付近）にあった 日本の城 である。 2012年 （平成24年） 1月24日 に 岡本城 （ 南房総市 ）とともに「里見氏城跡」として国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/稲村城","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯34度59分47.2秒東経139度54分11.9秒","","北緯34度59分47.2秒東経139度54分11.9秒﻿ / ﻿北緯34.996444度 東経139.903306度﻿ /34.996444; 139.903306","稲村城","","","","","","","","","","","","","","山城","里見義実","曲輪"
"岡本城 (安房国)","[岡本城跡（おかもとじょうあと）] 岡本城 （おかもとじょう）は、 千葉県 南房総市 富浦町豊岡にある 日本の城 。 安房里見氏 の居城。国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/岡本城_(安房国)","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度03分00.2秒東経139度50分07.1秒","","北緯35度03分00.2秒東経139度50分07.1秒﻿ / ﻿北緯35.050056度 東経139.835306度﻿ /35.050056; 139.835306","岡本城","","","","","","","","","","","","","","山城","岡本通輔?","曲輪"
"小石川後楽園","[小石川後楽園（こいしかわこうらくえん）〔文京区〕] 小石川後楽園 （こいしかわこうらくえん）は、 東京都 文京区 後楽 一丁目にある 都立庭園 。 江戸時代 初期に 水戸徳川家 の 江戸 上屋敷内につくられた築山泉水回遊式の 日本庭園 （ 大名庭園 ）である。国の 特別史跡 及び 特別名勝 に指定されている  。","https://ja.wikipedia.org/wiki/小石川後楽園","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度42分18.4秒東経139度44分59.6秒","日本東京都文京区後楽一丁目","","","","","","","","","","","","","","","","","",""
"江戸城","[江戸城跡（えどじょうあと）〔千代田区〕] 江戸城 （えどじょう）は、 武蔵国 豊嶋郡 江戸 （現在の 東京都 千代田区 千代田 ）にあった 日本の城 である。現在は 皇居 となっている  。","https://ja.wikipedia.org/wiki/江戸城","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度41分17.97秒東経139度45分15.72秒","","北緯35度41分17.97秒東経139度45分15.72秒﻿ / ﻿北緯35.6883250度 東経139.7543667度﻿ /35.6883250; 139.7543667","江戸城","","","","","","","","","","","","千代田城","","輪郭式平城または平山城","太田道灌","現存櫓・門、石垣・土塁・堀"
"浜離宮恩賜庭園","[旧浜離宮庭園（きゅうはまりきゅうていえん）〔中央区〕] 浜離宮恩賜庭園 （はまりきゅう おんし ていえん）は、 東京都 中央区 浜離宮庭園 にある 都立庭園 である。","https://ja.wikipedia.org/wiki/浜離宮恩賜庭園","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","北緯35度39分36秒東経139度45分49秒","東京都中央区浜離宮庭園","","","","","","","","","","","","","","","","","",""
"伊能忠敬","[伊能忠敬墓（いのうただたかのはか）〔台東区〕] 伊能 忠敬 （いのう ただたか  、 延享 2年 1月11日 （ 1745年 2月11日 ） - 文化 15年 4月13日 （ 1818年 5月17日 ））は、 江戸時代 の 商人 、 天文学 者・ 地理学 者・ 測量 家である。 通称 は三郎右衛門、勘解由（かげゆ）。 字 は子斉、 号 は東河。","https://ja.wikipedia.org/wiki/伊能忠敬","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","三郎右衛門、勘解由（通称）","","","",""
"蒲生君平","[蒲生君平墓（がもうくんぺいのはか）〔台東区〕] 蒲生 君平 （がもう くんぺい、 明和 5年〈 1768年 〉 - 文化 10年7月5日〈 1813年 7月31日 〉）は、 江戸時代 後期の 儒学者 。 天皇陵 を踏査して『 山陵志 』を著した 尊王論 者、 海防論 者としても知られる。同時代の 仙台藩 の 林子平 や 上野国 の 郷士 高山彦九郎 と共に、「 寛政の三奇人 」の一人に数えられる（「奇」は「優れた」という意味）  。赤貧と波乱の人生を送りながら、忠誠義烈の精神を貫いた。姓は、天明8年（17歳）に祖先が 会津藩 主 蒲生氏郷 であるという家伝（氏郷の子・蒲生帯刀正行が 宇都宮 から会津に転封の際、福田家の娘を身重のため宇都宮に残し、それから4代目が父の正栄という）に倣い改めた。君平は 字 で、 諱 は秀実、通称は伊三郎。 号 に修静庵。","https://ja.wikipedia.org/wiki/蒲生君平","関東地方の史跡一覧","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
