"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","標高","山系","種類","初登頂","最新噴火","最高峰","延長","幅","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"安平路山"," 安平路山 （あんぺいじやま）は、 長野県 飯田市 と 大桑村 にまたがる 木曽山脈 （中央アルプス）南部にある主稜線上の 標高 2,363 m の 山 。 日本二百名山 に選定されている。","https://ja.wikipedia.org/wiki/安平路山","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯35度37分50秒東経137度46分28秒","日本長野県飯田市、木曽郡大桑村","北緯35度37分50秒東経137度46分28秒﻿ / ﻿北緯35.63056度 東経137.77444度﻿ /35.63056; 137.77444座標:北緯35度37分50秒東経137度46分28秒﻿ / ﻿北緯35.63056度 東経137.77444度﻿ /35.63056; 137.77444","2,363.14m","木曽山脈","","","","","","","","","","","","","","",""
"金剛堂山"," 金剛堂山 （こんごうどうざん）は、 富山県 富山市 と 南砺市 にまたがる 標高 1,650 m の 山 。山頂部は富山県にあり、山域の南東面は 岐阜県 飛騨市 に位置する。 日本二百名山 の一つ。 白木水無県立自然公園 内にある。","https://ja.wikipedia.org/wiki/金剛堂山","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯36度22分44秒東経137度02分56秒","日本富山県富山市、南砺市岐阜県飛騨市","北緯36度22分44秒東経137度02分56秒﻿ / ﻿北緯36.37889度 東経137.04889度﻿ /36.37889; 137.04889座標:北緯36度22分44秒東経137度02分56秒﻿ / ﻿北緯36.37889度 東経137.04889度﻿ /36.37889; 137.04889","1,650m","飛騨高地","","","","","","","","","","","","","","",""
"笈ヶ岳"," 笈ヶ岳 （おいずるがたけ）は、 石川県 、 富山県 、 岐阜県 の3県にまたがる 標高 1,841 m 山 。 白山国立公園 内の 両白山地 の北側に位置し、 日本二百名山  に選定されている。","https://ja.wikipedia.org/wiki/笈ヶ岳","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯36度17分55秒東経136度47分32秒","富山県南砺市、石川県白山市、岐阜県大野郡白川村","北緯36度17分55秒東経136度47分32秒﻿ / ﻿北緯36.29861度 東経136.79222度﻿ /36.29861; 136.79222","1841.35m","両白山地","","1518年以前","","","","","","","","","","","","",""
"大日ヶ岳"," 大日ヶ岳 （だいにちがたけ）は、 白山国立公園 内  の 両白山地 南部に位置し、 岐阜県 高山市 と 郡上市 にまたがる 標高 1,709 m の 山 である。","https://ja.wikipedia.org/wiki/大日ヶ岳","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯36度00分05秒東経136度50分16秒","日本岐阜県郡上市、高山市","北緯36度00分05秒東経136度50分16秒﻿ / ﻿北緯36.00139度 東経136.83778度﻿ /36.00139; 136.83778座標:北緯36度00分05秒東経136度50分16秒﻿ / ﻿北緯36.00139度 東経136.83778度﻿ /36.00139; 136.83778","1708.87m","両白山地","","717年 (泰澄上人)","","","","","","","","","","","","",""
"位山"," 位山 （くらいやま）は、 飛騨高地 の中央に位置する 岐阜県 高山市 の 標高 1,529 m の 山 。 飛騨北部と南部の境界であり 宮川 と 飛騨川 の 分水界 である位山分水嶺の山。 飛騨一宮水無神社 の神体である  。 日本二百名山 のひとつであり  、山域は岐阜県の「位山舟山県立自然公園」に指定されている  。","https://ja.wikipedia.org/wiki/位山","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯36度02分18秒東経137度11分48秒","日本岐阜県高山市、下呂市","北緯36度02分18秒東経137度11分48秒﻿ / ﻿北緯36.03833度 東経137.19667度﻿ /36.03833; 137.19667","1,529.15m","飛騨高地","","","","","","","","","","","","","","",""
"能郷白山"," 能郷白山 （のうごうはくさん）は、 岐阜県 本巣市 、 揖斐郡 揖斐川町 と 福井県 大野市 にまたがり、 両白山地 に属する 標高 の1,617 m の 山 。越美山地の 最高峰 。","https://ja.wikipedia.org/wiki/能郷白山","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯35度45分45秒東経136度30分51秒","日本岐阜県本巣市、揖斐郡揖斐川町福井県大野市","北緯35度45分45秒東経136度30分51秒﻿ / ﻿北緯35.76250度 東経136.51417度﻿ /35.76250; 136.51417座標:北緯35度45分45秒東経136度30分51秒﻿ / ﻿北緯35.76250度 東経136.51417度﻿ /35.76250; 136.51417","1,617.33m","両白山地（越美山地）","","（718年泰澄上人が開山）","","","","","","","","","","","","",""
"御在所岳"," 御在所岳 （ございしょだけ）は、 三重県 三重郡 菰野町 と 滋賀県 東近江市 の境にある 標高 1,212 m の 山 で、 御在所山  とも呼ばれる。 鈴鹿国定公園 の中に位置し、 日本二百名山  、 関西百名山  及び 鈴鹿セブンマウンテン  に選定されている。","https://ja.wikipedia.org/wiki/御在所岳","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯35度01分14秒東経136度25分04秒","日本三重県三重郡菰野町滋賀県東近江市","北緯35度01分14秒東経136度25分04秒﻿ / ﻿北緯35.02056度 東経136.41778度﻿ /35.02056; 136.41778座標:北緯35度01分14秒東経136度25分04秒﻿ / ﻿北緯35.02056度 東経136.41778度﻿ /35.02056; 136.41778","1,212m","鈴鹿山脈","隆起（花崗岩）","","","","","","","","","","","","","",""
"釈迦ヶ岳 (奈良県)"," 釈迦ヶ岳 （しゃかがたけ）は、 奈良県 南部の 吉野郡 十津川村 と 下北山村 の境界にある 大峰山系 の 山 。 日本二百名山 に選定されている。 標高 は1,800 mで、 近畿地方 の最高峰である 八経ヶ岳 （八剣山）より南では代表的な山。","https://ja.wikipedia.org/wiki/釈迦ヶ岳_(奈良県)","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯34度06分52秒東経135度54分11秒","奈良県吉野郡十津川村、下北山村","北緯34度06分52秒東経135度54分11秒﻿ / ﻿北緯34.11444度 東経135.90306度﻿ /34.11444; 135.90306","1,800m","大峰山系","","","","","","","","","","","","","","",""
"伯母子岳"," 伯母子岳 （おばこだけ）は、 紀伊山地 西部に属する奥高野の 山 である。 日本二百名山 の一つに数えられる。","https://ja.wikipedia.org/wiki/伯母子岳","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯34度04分39秒東経135度39分03秒","奈良県野迫川村・十津川村","北緯34度04分39秒東経135度39分03秒﻿ / ﻿北緯34.07750度 東経135.65083度﻿ /34.07750; 135.65083","1,344m","紀伊山地","","","","","","","","","","","","","","",""
"金剛山 (金剛山地)"," 金剛山 （こんごうさん、こんごうざん）は、 奈良県 御所市 と 大阪府 南河内郡 千早赤阪村 との境目にある 山 。かつては 高間山・高天山 （たかまやま）や 葛城嶺 （かづらきのみね）といわれていた。 金剛山地 の主峰である。","https://ja.wikipedia.org/wiki/金剛山_(金剛山地)","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯34度25分10秒東経135度40分23秒","奈良県御所市大阪府南河内郡千早赤阪村","北緯34度25分10秒東経135度40分23秒﻿ / ﻿北緯34.41944度 東経135.67306度﻿ /34.41944; 135.67306座標:北緯34度25分10秒東経135度40分23秒﻿ / ﻿北緯34.41944度 東経135.67306度﻿ /34.41944; 135.67306","1,125m","金剛山地","","","","","","","","","","","","","","",""
"武奈ヶ岳"," 武奈ヶ岳 （ぶながたけ）は、 滋賀県 大津市 にある、標高1214.4mの 山 。滋賀県西部、湖西地方に位置する 比良山地 の最高峰である。 琵琶湖国定公園 の一部。 日本二百名山 、近畿百名山の一つ。","https://ja.wikipedia.org/wiki/武奈ヶ岳","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯35度15分52秒東経135度53分48秒","日本滋賀県大津市","北緯35度15分52秒東経135度53分48秒﻿ / ﻿北緯35.26444度 東経135.89667度﻿ /35.26444; 135.89667座標:北緯35度15分52秒東経135度53分48秒﻿ / ﻿北緯35.26444度 東経135.89667度﻿ /35.26444; 135.89667","1,214.4m","比良山地","隆起準平原","","","","","","","","","","","","","",""
"氷ノ山"," 氷ノ山 （ひょうのせん）は、 兵庫県 養父市 と 鳥取県 八頭郡 若桜町 との県境にある 標高 1,510 m の 山 である。 須賀ノ山 とも呼ばれる。 日本二百名山 や ふるさと兵庫50山 のひとつに選定されている。","https://ja.wikipedia.org/wiki/氷ノ山","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯35度21分14秒東経134度30分49秒","日本兵庫県養父市鳥取県八頭郡若桜町","北緯35度21分14秒東経134度30分49秒﻿ / ﻿北緯35.35389度 東経134.51361度﻿ /35.35389; 134.51361座標:北緯35度21分14秒東経134度30分49秒﻿ / ﻿北緯35.35389度 東経134.51361度﻿ /35.35389; 134.51361","1,509.6m","中国山地氷ノ山山系","","","","","","","","","","","","","","",""
"蒜山"," 蒜山 （ひるぜん）は、 岡山県 の 真庭市 北部、 鳥取県 の 倉吉市 南部および 日野郡 江府町 北東部に跨って位置する 火山 である。","https://ja.wikipedia.org/wiki/蒜山","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯35度19分30秒東経133度39分49秒","岡山県真庭市鳥取県倉吉市","北緯35度19分30秒東経133度39分49秒﻿ / ﻿北緯35.32500度 東経133.66361度﻿ /35.32500; 133.66361座標:北緯35度19分30秒東経133度39分49秒﻿ / ﻿北緯35.32500度 東経133.66361度﻿ /35.32500; 133.66361","1,202m","","成層火山","","","","","","","","","","","","","",""
"三瓶山"," 三瓶山 （さんべさん : Mt.sanbe）は、 島根県 のほぼ中央部、 大田市 と 飯石郡 飯南町 にまたがりそびえる 大山火山帯 に属する 火山 。 大山隠岐国立公園 の一部でもある。 2003年 （ 平成 15年）の 活火山 の定義見直しで活火山に指定された。","https://ja.wikipedia.org/wiki/三瓶山","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯35度07分55秒東経132度37分36秒","日本島根県大田市・飯南町","北緯35度07分55秒東経132度37分36秒﻿ / ﻿北緯35.13194度 東経132.62667度﻿ /35.13194; 132.62667座標:北緯35度07分55秒東経132度37分36秒﻿ / ﻿北緯35.13194度 東経132.62667度﻿ /35.13194; 132.62667","1,126m","独立峰","成層火山（活火山ランクC）","","","","","","","","","","","","","",""
"三嶺"," 三嶺 （みうね/さんれい）は、 高知県 と 徳島県 にまたがる 山 である。 標高 1,894 メートル   で、高知県の 最高峰 である。 日本二百名山 および 四国百名山 に選定されている。","https://ja.wikipedia.org/wiki/三嶺","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯33度50分22秒東経133度59分16秒","高知県香美市・徳島県三好市","北緯33度50分22秒東経133度59分16秒﻿ / ﻿北緯33.83944度 東経133.98778度﻿ /33.83944; 133.98778","1,894m","四国山地","","","","","","","","","","","","","","",""
"東赤石山"," 東赤石山 （ひがしあかいしやま）は、 四国 に位置する標高1,706mの 山 である。 愛媛県 四国中央市 （旧 宇摩郡 土居町 ）と 新居浜市 （旧宇摩郡 別子山村 ）の境界に位置する。","https://ja.wikipedia.org/wiki/東赤石山","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯33度52分30秒東経133度22分30秒","日本愛媛県四国中央市、新居浜市","北緯33度52分30秒東経133度22分30秒﻿ / ﻿北緯33.87500度 東経133.37500度﻿ /33.87500; 133.37500座標:北緯33度52分30秒東経133度22分30秒﻿ / ﻿北緯33.87500度 東経133.37500度﻿ /33.87500; 133.37500","1,706.0m","石鎚山脈東部 -法皇山脈","","","","","","","","","","","","","","",""
"笹ヶ峰"," 笹ヶ峰 （ささがみね）は、 四国山地 西部の 石鎚山脈 に属する 山 である。 日本二百名山 および 四国百名山 の一つに数えられる   。山名はなだらかな山頂部が一面の イブキザサ に覆われていることに由来する。","https://ja.wikipedia.org/wiki/笹ヶ峰","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯33度49分41秒東経133度16分28秒","愛媛県西条市・高知県いの町","北緯33度49分41秒東経133度16分28秒﻿ / ﻿北緯33.82806度 東経133.27444度﻿ /33.82806; 133.27444","1,859.47m","四国山地","","","","","","","","","","","","","","",""
"英彦山"," 英彦山 （ひこさん）は、 福岡県 田川郡 添田町 と 大分県 中津市 山国町 にまたがる 標高 1,199mの 山 である   。 耶馬日田英彦山国定公園 の一部をなす。 日本百景 ・ 日本二百名山 の一つ。また、 弥彦山 （ 新潟県 ）・ 雪彦山 （ 兵庫県 ）とともに 日本三彦山 に数えられる。国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/英彦山","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯33度28分34秒東経130度55分34秒","日本大分県中津市福岡県田川郡添田町","北緯33度28分34秒東経130度55分34秒﻿ / ﻿北緯33.47611度 東経130.92611度﻿ /33.47611; 130.92611座標:北緯33度28分34秒東経130度55分34秒﻿ / ﻿北緯33.47611度 東経130.92611度﻿ /33.47611; 130.92611","1,199m","筑紫山地","","","","","","","","","","","","","","",""
"雲仙岳"," 雲仙岳 （うんぜんだけ）は、 長崎県 の 島原半島 中央部にそびえる 火山 である。半島西方の 橘湾 を中心とする 千々石カルデラ の外輪に位置する。広義では、 火山学 上の「雲仙火山」と同義で、最高峰の 平成新山 をはじめ、三岳（三峰）とも呼ばれる 普賢岳 ・ 国見岳 ・ 妙見岳 、五峰（五岳）とも呼ばれる 野岳 ・ 九千部岳 ・ 矢岳 ・ 高岩山・絹笠山 を含め、東の 眉山から 西の 猿葉山 まで、総計20以上の山々から構成される。雲仙岳の形の複雑さは、三岳五峰（三峰五岳）、八葉、二十四峰、三十六峰などさまざまな数字で表現されたが、観光上のキャッチフレーズとして「三峰五岳の雲仙岳」が多用されるようになった結果、狭義として八つの山（ときには三つの山）のみを指す用法も生まれた。歴史的には海上にそびえる山並み全体を指す名称である。行政区分では 島原市 、 南島原市 、 雲仙市 にまたがる。しばしば、旧最高峰の普賢岳（雲仙普賢岳）の名称と混同して用いられる。","https://ja.wikipedia.org/wiki/雲仙岳","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯32度45分41秒東経130度17分56秒","長崎県島原市、南島原市、雲仙市","北緯32度45分41秒東経130度17分56秒﻿ / ﻿北緯32.76139度 東経130.29889度﻿ /32.76139; 130.29889座標:北緯32度45分41秒東経130度17分56秒﻿ / ﻿北緯32.76139度 東経130.29889度﻿ /32.76139; 130.29889","1,483m","","成層火山・溶岩ドーム（活火山ランクA）","","","","","","","","","","","","","",""
"由布岳"," 由布岳 （ゆふだけ、油布嶽）は、 大分県 由布市 にある 標高 1,583メートルの 活火山 。山体が 阿蘇くじゅう国立公園 に指定されている。","https://ja.wikipedia.org/wiki/由布岳","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯33度16分56秒東経131度23分24秒","日本大分県由布市・別府市","北緯33度16分56秒東経131度23分24秒﻿ / ﻿北緯33.28222度 東経131.39000度﻿ /33.28222; 131.39000","1,583.3m","独立峰","成層火山（活火山ランクC）","","","","","","","","","","","","","",""
"大崩山"," 大崩山 （おおくえやま）は、 宮崎県 延岡市 北西部にあり 九州山地 に属する大崩山群の主峰である。","https://ja.wikipedia.org/wiki/大崩山","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯32度44分15秒東経131度30分47秒","日本宮崎県延岡市","北緯32度44分15秒東経131度30分47秒﻿ / ﻿北緯32.73750度 東経131.51306度﻿ /32.73750; 131.51306","1,643.3m","九州山地","変成岩、火成岩","","","","","","","","","","","","","",""
"市房山"," 市房山 （いちふさやま）は、 九州山地 の南部にある 日本 の 山 。 標高 は1,720.8m  。 熊本県 水上村 ・ 宮崎県 椎葉村 ・ 西米良村 にまたがる。","https://ja.wikipedia.org/wiki/市房山","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯32度18分42秒東経131度06分04秒","日本熊本県水上村・宮崎県椎葉村・西米良村","北緯32度18分42秒東経131度06分04秒﻿ / ﻿北緯32.31167度 東経131.10111度﻿ /32.31167; 131.10111座標:北緯32度18分42秒東経131度06分04秒﻿ / ﻿北緯32.31167度 東経131.10111度﻿ /32.31167; 131.10111","1,720.8m","九州山地","花崗岩","","","","","","","","","","","","","",""
"尾鈴山"," 尾鈴山 （おすずやま、御鈴山）は、 九州 南部に広がる 九州山地 の東部に位置する 山 であり、 宮崎県 都農町 と 木城町 にまたがる。","https://ja.wikipedia.org/wiki/尾鈴山","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯32度17分57秒東経131度25分34秒","日本宮崎県都農町・木城町","北緯32度17分57秒東経131度25分34秒﻿ / ﻿北緯32.29917度 東経131.42611度﻿ /32.29917; 131.42611座標:北緯32度17分57秒東経131度25分34秒﻿ / ﻿北緯32.29917度 東経131.42611度﻿ /32.29917; 131.42611","1,405.2m","九州山地","火成岩","","","","","","","","","","","","","",""
"高千穂峰"," 高千穂峰 （たかちほのみね）は、 宮崎県 と 鹿児島県 の県境に位置する 火山 。標高は1,574 m   で、 霧島 連峰の第二峰。 日本二百名山 の一つ。","https://ja.wikipedia.org/wiki/高千穂峰","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯31度53分11秒東経130度55分08秒","宮崎県・鹿児島県","北緯31度53分11秒東経130度55分08秒﻿ / ﻿北緯31.88639度 東経130.91889度﻿ /31.88639; 130.91889﻿ (高千穂峰)座標:北緯31度53分11秒東経130度55分08秒﻿ / ﻿北緯31.88639度 東経130.91889度﻿ /31.88639; 130.91889﻿ (高千穂峰)","1,573.36m","霧島山(霧島火山群)","成層火山","","","","","","","","","","","","","",""
"桜島"," 桜島 （さくらじま）は、 日本 の 九州 南部、 鹿児島県 の 鹿児島湾 （錦江湾）にある東西約12km、南北約10 km、周囲約55 km、面積約77km 2  の 火山 。かつては 島 であったが、 1914年 （ 大正 3年）の噴火により、 鹿児島市 の対岸の 大隅半島 と 陸続き になった         。","https://ja.wikipedia.org/wiki/桜島","日本二百名山","https://ja.wikipedia.org/wiki/日本二百名山","グループ形式","北緯31度35分19秒東経130度39分17秒","日本鹿児島県鹿児島市","北緯31度35分19秒東経130度39分17秒﻿ / ﻿北緯31.58861度 東経130.65472度﻿ /31.58861; 130.65472﻿ (桜島)座標:北緯31度35分19秒東経130度39分17秒﻿ / ﻿北緯31.58861度 東経130.65472度﻿ /31.58861; 130.65472﻿ (桜島)","1,117m","独立峰","成層火山（活火山ランクA）","","","","","","","","","","","","","",""
