"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","開園","位置","管理運営","公式サイト","所有者","専門分野","面積","アクセス","正式名称","園長","頭数","愛称","前身","種数","来園者数","主な飼育動物","分類","事業主体"
"札幌市円山動物園","[札幌市円山動物園] 札幌市円山動物園 （さっぽろしまるやまどうぶつえん）は、北海道札幌市中央区宮ケ丘の 円山公園 内にある 動物園 。札幌市環境局が管理運営を行っている。","https://ja.wikipedia.org/wiki/札幌市円山動物園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯43度3分5.1秒東経141度18分26.7秒","〒064-0959北海道札幌市中央区宮ケ丘3-1","","北緯43度3分5.1秒東経141度18分26.7秒﻿ / ﻿北緯43.051417度 東経141.307417度﻿ /43.051417; 141.307417座標:北緯43度3分5.1秒東経141度18分26.7秒﻿ / ﻿北緯43.051417度 東経141.307417度﻿ /43.051417; 141.307417","札幌市環境局","","札幌市","総合","","","","","","円山動物園","円山児童遊園","","","","",""
"鯖江市西山動物園","[鯖江市西山動物園] 鯖江市制30周年を記念して、 1985年 （ 昭和 60年）  4月11日 に開園した  。日中友好のシンボルとして 中国 ・ 北京動物園 から寄贈を受けた レッサーパンダ は、 1986年 （昭和61年）以来毎年繁殖し、繁殖数が日本有数となっている    。","https://ja.wikipedia.org/wiki/鯖江市西山動物園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","","福井県鯖江市桜町3丁目","1985年（昭和60年）4月11日","","鯖江市","鯖江市西山動物園","","","","","","","","","","","","猿類・雉類など","",""
"サホロリゾート ベア・マウンテン","[サホロリゾート ベア・マウンテン] サホロリゾート ベア・マウンテン （ Sahoro Resort Bear Mountain ）は、 北海道 上川郡 新得町 にある クマ の サファリパーク 。 サホロリゾート にある。","https://ja.wikipedia.org/wiki/サホロリゾート_ベア・マウンテン","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯43度10分41秒東経142度48分28秒","〒081-0039北海道上川郡新得町狩勝高原","2006年4月29日","北緯43度10分41秒東経142度48分28秒﻿ / ﻿北緯43.17806度 東経142.80778度﻿ /43.17806; 142.80778座標:北緯43度10分41秒東経142度48分28秒﻿ / ﻿北緯43.17806度 東経142.80778度﻿ /43.17806; 142.80778","加森観光","サホロリゾート ベア・マウンテン","","クマ","15ヘクタール","国道38号線狩勝峠3合目看板目印","","佐々木和好","12","","","","","エゾヒグマ","",""
"狭山市立智光山公園こども動物園","[狭山市立智光山公園こども動物園] 智光山公園こども動物園 （ちこうざんこうえんこどもどうぶつえん）は、 埼玉県 狭山市 柏原にある 動物園 。","https://ja.wikipedia.org/wiki/狭山市立智光山公園こども動物園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","","〒350-1335埼玉県狭山市柏原864-1","1989年（一部1986年）","","","狭山市立智光山公園こども動物園","","","","","狭山市立智光山公園こども動物園","","","","","","","","",""
"地獄谷野猿公苑","[地獄谷野猿公苑] 地獄谷野猿公苑 （じごくだにやえんこうえん）は、 長野県 下高井郡 山ノ内町 の 地獄谷温泉 にある野性  の ニホンザル （Macaca fuscata）の生態の観察が出来る野猿公園。冬場に温泉にサルが浸かる国際的な観光地。英語圏では“Snow Monkey Mountain”とも呼ばれる  。","https://ja.wikipedia.org/wiki/地獄谷野猿公苑","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯36度43分58秒東経138度27分46秒","","","","","","","","","","","","","","","","","","",""
"渋川動物公園","[渋川動物公園] 渋川動物公園 （しぶかわどうぶつこうえん、 Shibukawa Zoo ）は、 岡山県 玉野市 渋川にある個人経営の 動物園 。","https://ja.wikipedia.org/wiki/渋川動物公園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯34度28分12.49秒東経133度53分37.27秒","〒706-0028岡山県玉野市渋川三丁目1077番地1　","1989年3月29日","北緯34度28分12.49秒東経133度53分37.27秒﻿ / ﻿北緯34.4701361度 東経133.8936861度﻿ /34.4701361; 133.8936861座標:北緯34度28分12.49秒東経133度53分37.27秒﻿ / ﻿北緯34.4701361度 東経133.8936861度﻿ /34.4701361; 133.8936861","","","（有）ナチュレ・ファーム瀬戸内　","総合","","","","","","","","","","","",""
"ジャパンスネークセンター","[ジャパンスネークセンター] ジャパンスネークセンター は、 群馬県 太田市 の 藪塚温泉 に位置する ヘビ 類を専門的に展示する 動物園 である。一般財団法人 日本蛇族学術研究所 が所有、運営管理を行っている。","https://ja.wikipedia.org/wiki/ジャパンスネークセンター","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯36度21分44.6秒東経139度19分19.9秒","〒379-2301群馬県太田市藪塚町3318","","北緯36度21分44.6秒東経139度19分19.9秒﻿ / ﻿北緯36.362389度 東経139.322194度﻿ /36.362389; 139.322194座標:北緯36度21分44.6秒東経139度19分19.9秒﻿ / ﻿北緯36.362389度 東経139.322194度﻿ /36.362389; 139.322194","日本蛇族学術研究所","snake-center.com/","日本蛇族学術研究所","ヘビ","50,000m2","藪塚駅から徒歩10分岩宿駅からタクシーで7分太田藪塚ICから車で10分","","","10,000 匹","","","","","ヘビ","",""
"周南市徳山動物園","[周南市徳山動物園] 周南市徳山動物園 （しゅうなんしとくやまどうぶつえん）は、 山口県 周南市 大字徳山5846番地にある 動物園 。旧 徳山市 の市制25周年にあたる 1960年 （昭和35年） 3月20日 に 徳山市立動物園 として開園した。動物園一帯は、 徳山藩主 毛利氏 の屋敷があった場所で、園内は、毛利氏ゆかりの史跡がある。春には、桜の名所としても有名である。","https://ja.wikipedia.org/wiki/周南市徳山動物園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯34度3分41.1秒東経131度48分53.5秒","〒745-0874山口県周南市大字徳山5846","1960年3月20日","北緯34度3分41.1秒東経131度48分53.5秒﻿ / ﻿北緯34.061417度 東経131.814861度﻿ /34.061417; 131.814861座標:北緯34度3分41.1秒東経131度48分53.5秒﻿ / ﻿北緯34.061417度 東経131.814861度﻿ /34.061417; 131.814861","周南市","","周南市","総合","","","","","","","徳山市立動物園","","","","",""
"昭和新山熊牧場","[昭和新山熊牧場] 昭和新山熊牧場 （しょうわしんざんくまぼくじょう）は、 北海道 有珠郡 壮瞥町 の 昭和新山 にある クマ の動物園（ 観光牧場 、 テーマパーク ）。近距離からの観察のために「人のおり」がある。入園者が給餌ができる。","https://ja.wikipedia.org/wiki/昭和新山熊牧場","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","","〒052-0102北海道有珠郡壮瞥町昭和新山183","1969年","","","kumakuma.co.jp","株式会社昭和新山熊牧場(1969年6月設立)","動物園(クマ牧場)","","洞爺湖から車で約10分、洞爺駅から車で約30分","","","およそ100頭","","","","","","",""
"しろとり動物園","[しろとり動物園] しろとり動物園 （しろとりどうぶつえん）は、 香川県 東かがわ市 にある 動物園 。 株式会社白鳥どうぶつ園 が運営する。1985年に設立  。","https://ja.wikipedia.org/wiki/しろとり動物園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯34度14分56.96秒東経134度23分6.8秒","〒769-2702香川県東かがわ市松原2111番地","","北緯34度14分56.96秒東経134度23分6.8秒﻿ / ﻿北緯34.2491556度 東経134.385222度﻿ /34.2491556; 134.385222座標:北緯34度14分56.96秒東経134度23分6.8秒﻿ / ﻿北緯34.2491556度 東経134.385222度﻿ /34.2491556; 134.385222","株式会社白鳥どうぶつ園","http://shirotorizoo.com/","株式会社白鳥どうぶつ園","","","","","松村美智子","","","","","","","",""
"ズーラシア","[ズーラシア] よこはま動物園ズーラシア （よこはまどうぶつえん ズーラシア）は、神奈川県横浜市旭区にある 動物園 である。正式名称は「 横浜市立よこはま動物園 」  。","https://ja.wikipedia.org/wiki/ズーラシア","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯35度29分43.15秒東経139度31分25.5秒","〒241-0001横浜市旭区上白根町1175番地1","1999年（平成11年）4月24日","北緯35度29分43.15秒東経139度31分25.5秒﻿ / ﻿北緯35.4953194度 東経139.523750度﻿ /35.4953194; 139.523750﻿ (ズーラシア)座標:北緯35度29分43.15秒東経139度31分25.5秒﻿ / ﻿北緯35.4953194度 東経139.523750度﻿ /35.4953194; 139.523750﻿ (ズーラシア)","公益財団法人横浜市緑の協会（指定管理者）","","横浜市","総合","約53.3ha","","","","","ズーラシア","","","年間約122万人（2015年度）","","",""
"須坂市動物園","[須坂市動物園] 須坂市動物園 （すざかしどうぶつえん）は、 長野県 須坂市 臥竜公園 内にある市立 動物園 である。園内に複合 遊具 を併設する。","https://ja.wikipedia.org/wiki/須坂市動物園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯36度38分26.8秒東経138度18分51.1秒","長野県須坂市臥竜2-4-8","1962年10月1日","北緯36度38分26.8秒東経138度18分51.1秒﻿ / ﻿北緯36.640778度 東経138.314194度﻿ /36.640778; 138.314194座標:北緯36度38分26.8秒東経138度18分51.1秒﻿ / ﻿北緯36.640778度 東経138.314194度﻿ /36.640778; 138.314194","須坂市","外部リンク参照","","総合","","須坂駅からバスで臥竜公園入口下車徒歩10分","","","","","","","20万人","カンガルーなど","",""
"生態科学研究機構","[生態科学研究機構] 特定非営利活動法人生態科学研究機構 （せいたいかがくけんきゅうきこう： Organization for Ecological Science Research ： OESR ）は、 千葉県 市川市 に事務局を置く 特定非営利活動法人 である。また 東京都 江戸川区 二之江町に研究所がある。","https://ja.wikipedia.org/wiki/生態科学研究機構","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","","","","","","","","自然環境保護、環境教育","","","","","","","","","","","",""
"仙台市八木山動物公園","[仙台市八木山動物公園] 仙台市八木山動物公園 （せんだいしやぎやまどうぶつこうえん）は、 宮城県 仙台市 太白区 にある仙台市立の 動物園 。開園は 1965年 （昭和40年）。 仙台市都心部 を見下ろす 八木山 に位置する。当園の向かい側には 遊園地 の 八木山ベニーランド があり、また 仙台城 址などがある 青葉山 へは、 八木山橋 を渡ってすぐである。2018年（平成30年）時点での飼育動物の数は130種581点である  。","https://ja.wikipedia.org/wiki/仙台市八木山動物公園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯38度14分39.6秒東経140度50分39.4秒","〒982-0801宮城県仙台市太白区八木山本町1-43","1965年（昭和40年）10月15日","北緯38度14分39.6秒東経140度50分39.4秒﻿ / ﻿北緯38.244333度 東経140.844278度﻿ /38.244333; 140.844278座標:北緯38度14分39.6秒東経140度50分39.4秒﻿ / ﻿北緯38.244333度 東経140.844278度﻿ /38.244333; 140.844278","仙台市","仙台市八木山動物公園","仙台市","総合","14万6463m2","仙台市地下鉄東西線・八木山動物公園駅東北自動車道・仙台宮城IC","","","581点","八木山動物公園 フジサキの杜","仙台市動物園子供動物園","130種","約50万人/年","哺乳類、鳥類、爬虫類","",""
"たいよう (キリン)","[たいよう (キリン)] たいよう は、 秋田県 秋田市 の 大森山動物園 にいた キリン （アミメキリン）である。","https://ja.wikipedia.org/wiki/たいよう_(キリン)","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"高岡古城公園動物園","[高岡古城公園動物園] 高岡古城公園動物園 （たかおかこじょうこうえんどうぶつえん）は、 富山県 高岡市 の 高岡古城公園 （ 高岡城 ）内にある 動物園 である。 1951年 4月開園し、1960年に現在の場所に移転。その後、 1981年 4月に新装開園した  。2013年12月現在、43種162頭が飼育される  。 日本動物園水族館協会 に所属している。","https://ja.wikipedia.org/wiki/高岡古城公園動物園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯36度44分51.8秒東経137度1分21.4秒","〒933-0044富山県高岡市古城1-6","1951年4月","北緯36度44分51.8秒東経137度1分21.4秒﻿ / ﻿北緯36.747722度 東経137.022611度﻿ /36.747722; 137.022611座標:北緯36度44分51.8秒東経137度1分21.4秒﻿ / ﻿北緯36.747722度 東経137.022611度﻿ /36.747722; 137.022611","高岡市","高岡古城公園動物園","高岡市","総合","4,700m2","","高岡古城公園動物園","","","","","","","","",""
"高宕山自然動物園","[高宕山自然動物園] 高宕山自然動物園 （たかごやましぜんどうぶつえん）は、 千葉県 富津市 の 高宕山 のふもとにある自然公園である。","https://ja.wikipedia.org/wiki/高宕山自然動物園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯35度11分17秒 東経139度57分27.2秒","〒299-1742富津市豊岡1779","","","","高宕山自然動物園","","ニホンザル","","JR内房線上総湊駅から戸面原ダム行きバス「関豊」下車徒歩1分","","","","","","","","","",""
"高崎山自然動物園","[高崎山自然動物園] 高崎山自然動物園 （たかさきやましぜんどうぶつえん）は、 大分県 大分市 の 高崎山 にある大分市立の自然公園である。","https://ja.wikipedia.org/wiki/高崎山自然動物園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯33度15分7.1秒東経131度31分26.7秒","〒870-0802大分県大分市大字神崎3078-20","1953年（昭和28年）3月15日","北緯33度15分7.1秒東経131度31分26.7秒﻿ / ﻿北緯33.251972度 東経131.524083度﻿ /33.251972; 131.524083座標:北緯33度15分7.1秒東経131度31分26.7秒﻿ / ﻿北緯33.251972度 東経131.524083度﻿ /33.251972; 131.524083","一般財団法人大分市高崎山管理公社（指定管理者）","http://www.takasakiyama.jp/","大分市","サル類","","","瀬戸内海国立公園高崎山自然動物園","","","","","","","","",""
"ダチョウ王国","[ダチョウ王国] ダチョウ王国 （ダチョウおうこく）は、 日本 の観光 牧場 である。 茨城県 石岡市 に本社を置く 常南グリーンシステム株式会社 （じょうなんグリーンシステム）が運営する。","https://ja.wikipedia.org/wiki/ダチョウ王国","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"ダチョウらんど","[ダチョウらんど] ダチョウらんど は、 沖縄県 国頭郡 にある ダチョウ の 動物園 。","https://ja.wikipedia.org/wiki/ダチョウらんど","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"多摩動物公園","[多摩動物公園] 多摩動物公園 （たまどうぶつこうえん）は、 東京都 日野市 程久保7-1-1に位置する 動物園 。 多摩動物園 と呼ばれることも多く、 恩賜上野動物園 等と並び日本有数の動物園となっている。 都市公園 としての名称は、 都立七生公園 。","https://ja.wikipedia.org/wiki/多摩動物公園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯35度38分59秒東経139度24分8秒","〒191-0042東京都日野市程久保7-1-1","1958年5月5日","北緯35度38分59秒東経139度24分8秒﻿ / ﻿北緯35.64972度 東経139.40222度﻿ /35.64972; 139.40222座標:北緯35度38分59秒東経139度24分8秒﻿ / ﻿北緯35.64972度 東経139.40222度﻿ /35.64972; 139.40222","東京動物園協会2011 - 2015年度指定管理者","http://www.tokyo-zoo.net/zoo/tama/","東京都","総合","60ヘクタール","京王動物園線・多摩都市モノレール線「多摩動物公園駅」","","渡部浩文","","","","","977,731人（平成30年3月末時点）","","",""
"丹頂鶴自然公園 (鶴田町)","[丹頂鶴自然公園 (鶴田町)] 丹頂鶴自然公園 （たんちょうづるしぜんこうえん）とは 青森県 鶴田町 にある タンチョウ 専用の飼育施設である。日本の 天然記念物 であるタンチョウ（丹頂鶴、学名： Grus japonensis ）を展示飼育する施設として、人造湖 津軽富士見湖 の湖畔に立地し  、富士見湖パークや鶴の舞橋、鶴の里ふるさと館などが近接する  。","https://ja.wikipedia.org/wiki/丹頂鶴自然公園_(鶴田町)","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","","〒038-3542青森県北津軽郡鶴田町廻堰大沢81-150","","","","","","","","JR陸奥鶴田駅から車で15分問合せ・鶴田町役場産業観光課","","","","","","","","","","鶴田町"
"智光山公園こども動物園","[智光山公園こども動物園] 智光山公園 （ちこうざんこうえん）は、 埼玉県 狭山市 にある 都市公園 。 アカマツ 、 ナラ 、 クヌギ などの 武蔵野 の豊かな自然を活かした 雑木林 で形成されている。園内には 動物園 ・ 植物園 、 体育館 や キャンプ場 などの多くの施設が点在している。1977（昭和52）年に整備事業を開始、順次施設が整備されてきた  。","https://ja.wikipedia.org/wiki/智光山公園こども動物園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯35度52分39秒東経139度23分21.2秒","日本埼玉県狭山市柏原864-1","","","","www.parks.or.jp/chikozan/","","","53.8ha","","","","","","","","","","",""
"千葉市動物公園","[千葉市動物公園] 千葉市動物公園 （ちばしどうぶつこうえん、 英 : Chiba Zoological Park ）は、 千葉県 千葉市 若葉区 源町280番地にある 動物公園 である。立ち姿で有名な レッサーパンダ の「風太」を飼育することで知られる。 房総の魅力500選 に選定されている。","https://ja.wikipedia.org/wiki/千葉市動物公園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯35度38分40秒東経140度7分31.8秒","〒264-0037千葉県千葉市若葉区源町280","1985年（昭和60年）4月28日","北緯35度38分40秒東経140度7分31.8秒﻿ / ﻿北緯35.64444度 東経140.125500度﻿ /35.64444; 140.125500座標:北緯35度38分40秒東経140度7分31.8秒﻿ / ﻿北緯35.64444度 東経140.125500度﻿ /35.64444; 140.125500","千葉市","千葉動物公園公式ホームページ","","総合","339,722m2","千葉都市モノレール動物公園駅徒歩1分","千葉市動物公園","鏑木一誠","701頭","動物公園","","149種","約697,120人（2016年度）","レッサーパンダなど","",""
"銚子渓","[銚子渓] スカイラインの土庄側入口にある自然動物園「銚子渓お猿の国自然動物園」には餌付けされた約500匹の野生の ニホンザル が生息している。それらは 「銚子渓の日本サル群」として香川県の天然記念物に指定されている。毎日2回モンキーショーも開催される。また、現在は閉園した「 小豆島孔雀園 」の クジャク が当園に多数移送されている。","https://ja.wikipedia.org/wiki/銚子渓","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯34度30分50秒 東経134度14分40秒","","","","","","","","","","","","約500頭","銚子渓お猿の国自然動物園","","","","ニホンザルMacaca fuscata","",""
"東京ドイツ村","[東京ドイツ村] 東京ドイツ村 （とうきょうドイツむら）とは、 千葉県 袖ケ浦市 にある テーマパーク である。通称 ドイツ村 。入場者数は年間約100万人以上  。冬季のイルミネーションは過去(2012-2018)、 関東三大イルミネーション に認定されていた   。","https://ja.wikipedia.org/wiki/東京ドイツ村","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯35度24分20秒東経140度3分34秒","〒299-0204千葉県袖ケ浦市永吉419","2001年3月8日","北緯35度24分20秒東経140度3分34秒﻿ / ﻿北緯35.40556度 東経140.05944度﻿ /35.40556; 140.05944座標:北緯35度24分20秒東経140度3分34秒﻿ / ﻿北緯35.40556度 東経140.05944度﻿ /35.40556; 140.05944","","東京ドイツ村","","","","","","","","","","","","","","明和興産株式会社"
"東京動物園協会","[東京動物園協会] 公益財団法人東京動物園協会 （とうきょうどうぶつえんきょうかい）は、日本の 公益財団法人 で、 東京都監理団体 （ 建設局 ）。英語名は、TOKYO ZOOLOGICAL PARK SOCIETY（TZPS）。","https://ja.wikipedia.org/wiki/東京動物園協会","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯35度42分55秒東経139度46分03秒","日本東京都台東区池之端2-9-7 池之端日殖ビル7階北緯35度42分55秒東経139度46分03秒﻿ / ﻿北緯35.715307度 東経139.767634度﻿ /35.715307; 139.767634座標:北緯35度42分55秒東経139度46分03秒﻿ / ﻿北緯35.715307度 東経139.767634度﻿ /35.715307; 139.767634","","","","","","","","","","","","","","","","","",""
"東武動物公園","[東武動物公園] ハイブリッド・レジャーランド東武動物公園 （ハイブリッド・レジャーランドとうぶどうぶつこうえん）は、 埼玉県 南埼玉郡 宮代町 と 白岡市 にある 遊園地 と 動物園 を併設している レジャーランド 。総面積は 関東 最大級の61 ha 。","https://ja.wikipedia.org/wiki/東武動物公園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯36度1分12.3秒東経139度43分11秒","〒345-0831埼玉県南埼玉郡宮代町須賀110","1981年（昭和56年）3月28日","北緯36度1分12.3秒東経139度43分11秒﻿ / ﻿北緯36.020083度 東経139.71972度﻿ /36.020083; 139.71972座標:北緯36度1分12.3秒東経139度43分11秒﻿ / ﻿北緯36.020083度 東経139.71972度﻿ /36.020083; 139.71972","株式会社 東武レジャー企画","","東武グループ","総合","","","ハイブリッド・レジャーランド 東武動物公園","","","TDK・東武公","","","","","",""
"常盤公園 (宇部市)","[常盤公園 (宇部市)] 常盤公園 （ときわこうえん）は、 山口県 の 宇部市 に所在する 常盤湖 を中心とした 都市公園 （ 総合公園 ）である。公式ホームページなどでは「 ときわ公園 」と表記される。","https://ja.wikipedia.org/wiki/常盤公園_(宇部市)","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯33度56分44.8秒東経131度16分59.1秒","日本山口県宇部市","1925年","","","公式ホームページ","","","189.4ha","","","","","","","","","","都市公園（総合公園）",""
"徳島市総合動植物公園","[徳島市総合動植物公園] 徳島市総合動植物公園 （とくしましそうごうどうしょくぶつこうえん）は、 徳島県 徳島市 方上町 ・ 渋野町 に位置する 都市公園 （動植物園）である  。 動物園 、 植物園 及び 遊園地 によって構成される。総 面積 58.9 ha 。総事業費94.7 億 円 。 2006年 10月28日 完成。 四国 最大規模の動物園。 とくしま88景 に選定。","https://ja.wikipedia.org/wiki/徳島市総合動植物公園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","","日本徳島県徳島市渋野町入道45-1","2006年（平成18年）10月28日","","","","","","58.9ha","","","","","","","","","","都市公園（動植物園）",""
"とくしま動物園","[とくしま動物園] とくしま動物園 （とくしまどうぶつえん）は、 徳島県 徳島市 にある 動物園 。 徳島市総合動植物公園 の施設の一つである。","https://ja.wikipedia.org/wiki/とくしま動物園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯34度0分50.7秒東経134度31分19.6秒","〒771-4267徳島県徳島市渋野町入道22番地の1","1998年","北緯34度0分50.7秒東経134度31分19.6秒﻿ / ﻿北緯34.014083度 東経134.522111度﻿ /34.014083; 134.522111座標:北緯34度0分50.7秒東経134度31分19.6秒﻿ / ﻿北緯34.014083度 東経134.522111度﻿ /34.014083; 134.522111","徳島市","","徳島市","","","","徳島市総合動植物公園 とくしま動物園","","","","徳島市立動物園","","","","",""
"富山市ファミリーパーク","[富山市ファミリーパーク] 富山市ファミリーパーク （とやましファミリーパーク）は、 富山県 富山市 古沢にある 動物園 である。","https://ja.wikipedia.org/wiki/富山市ファミリーパーク","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯36度41分27.1秒東経137度8分53.6秒","〒930-0151富山県富山市古沢254番地","1984年4月28日","北緯36度41分27.1秒東経137度8分53.6秒﻿ / ﻿北緯36.690861度 東経137.148222度﻿ /36.690861; 137.148222座標:北緯36度41分27.1秒東経137度8分53.6秒﻿ / ﻿北緯36.690861度 東経137.148222度﻿ /36.690861; 137.148222","公益財団法人富山市ファミリーパーク公社","","富山市","総合","","","富山市ファミリーパーク","村井仁志","862点(2020年3月31日時点)","","","97種(2020年3月31日時点)","348,101人(2019年度)","","",""
"豊橋総合動植物公園","[豊橋総合動植物公園] 豊橋総合動植物公園 （とよはしそうごうどうしょくぶつこうえん）は、愛知県豊橋市にある動物園・植物園・遊園地・ 自然史博物館 の4ゾーンで構成される複合施設であり、愛称は『 のんほいパーク 』。「のん」（ですね）と「ほい」（やあ、おい）は 東三河地方の方言 。","https://ja.wikipedia.org/wiki/豊橋総合動植物公園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯34度43分16秒東経137度25分55秒","〒441-3147愛知県豊橋市大岩町字大穴1-238","","","総合動植物公園管理事務所財団法人豊橋みどりの協会","","","","","","","","","","","","","","",""
"長崎バイオパーク","[長崎バイオパーク] 長崎バイオパーク （ながさきバイオパーク）は、 長崎県 西海市 にある 動物園 である。 バイオパーク株式会社 が運営している。","https://ja.wikipedia.org/wiki/長崎バイオパーク","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯32度59分23.1秒東経129度47分10.9秒","〒851-3302長崎県西海市西彼町中山郷2291-1","1980年","北緯32度59分23.1秒東経129度47分10.9秒﻿ / ﻿北緯32.989750度 東経129.786361度﻿ /32.989750; 129.786361﻿ (長崎バイオパーク)座標:北緯32度59分23.1秒東経129度47分10.9秒﻿ / ﻿北緯32.989750度 東経129.786361度﻿ /32.989750; 129.786361﻿ (長崎バイオパーク)","バイオパーク株式会社","http://www.biopark.co.jp/","バイオパーク株式会社","総合","","","","","","バイオパーク","","","","","",""
"流しカワウソ","[流しカワウソ] 流しカワウソ （ながしかわうそ）とは、 市川市動植物園 （ 千葉県 ）の造語。コツメカワウソ舎に設置された“ ウォータースライダー ”状の すべり台 を コツメカワウソ が遊んで滑り降りる様子を、日本の夏の 風物詩 “ 流しそうめん ”にかけて表現したもの  。この言葉は当カワウソ舎の看板に用いられている   。","https://ja.wikipedia.org/wiki/流しカワウソ","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"長野市城山動物園","[長野市城山動物園] 長野市城山動物園 （ながのしじょうやまどうぶつえん）は、 長野県 長野市 上松 二丁目にある 動物園 である。社団法人長野市開発公社が 指定管理者 として運営している  。","https://ja.wikipedia.org/wiki/長野市城山動物園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯36度39分54.7秒東経138度11分38.5秒","〒380-0802長野県長野市上松二丁目1番19号","1961年（昭和36年）8月20日","北緯36度39分54.7秒東経138度11分38.5秒﻿ / ﻿北緯36.665194度 東経138.194028度﻿ /36.665194; 138.194028座標:北緯36度39分54.7秒東経138度11分38.5秒﻿ / ﻿北緯36.665194度 東経138.194028度﻿ /36.665194; 138.194028","社団法人長野市開発公社","城山動物園","長野市","総合","14,387m2","当該項目参照","長野市茶臼山動物園城山分園","","196頭","","","37種","年間291,207人（平成20年度）","","",""
"長野市茶臼山動物園","[長野市茶臼山動物園] 長野市茶臼山動物園 （ながのしちゃうすやまどうぶつえん）は、 長野県 長野市 篠ノ井 の 茶臼山 山麓にある 動物園 である。一般社団法人長野市開発公社が 指定管理者 として運営している。","https://ja.wikipedia.org/wiki/長野市茶臼山動物園","日本の動物園","https://ja.wikipedia.org/wiki/Category:日本の動物園","箇条書き,制限あり","北緯36度35分12.2秒東経138度6分55.6秒","〒388-8016長野県長野市篠ノ井有旅570","1983年（昭和58年）8月8日","北緯36度35分12.2秒東経138度6分55.6秒﻿ / ﻿北緯36.586722度 東経138.115444度﻿ /36.586722; 138.115444座標:北緯36度35分12.2秒東経138度6分55.6秒﻿ / ﻿北緯36.586722度 東経138.115444度﻿ /36.586722; 138.115444","社団法人長野市開発公社","茶臼山動物園","長野市","動物園","約15ヘクタール","当該項目参照","","","768頭","","","83種","年間230,610人（平成23年度）","","",""
