"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","登録路線","登録回","登録日","外部リンク","開駅日","営業時間","タイプ","分野","使用言語","閲覧","登録","ライセンス","運営元","設立","設立者","分類","面積","開園"
"道の駅ちくら・潮風王国","ちくら・潮風王国（ちくらしおかぜおうこく）南房総市国道410号千葉-13 ","https://ja.wikipedia.org/wiki/道の駅ちくら・潮風王国","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯34度55分48秒東経139度57分08秒","〒295-0025千葉県南房総市千倉町千田1051","国道410号","第18回（12013）","2002年（平成14年）8月13日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1997年（平成9年）7月16日[1]","8:00 - 17:00","","","","","","","","","","","",""
"道の駅富楽里とみやま","ふらりとみやま富楽里とみやま（ふらりとみやま）南房総市県道184号外野勝山線千葉-14富津館山道路富山PAと連結（ハイウェイオアシス）","https://ja.wikipedia.org/wiki/道の駅富楽里とみやま","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度06分02秒東経139度51分20秒","〒299-2214千葉県南房総市二部1900番地","千葉県道184号","第18回（12014）","2002年8月13日[注釈 1]","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2003年4月4日[2]","9:00 - 18:00","","","","","","","","","","","",""
"道の駅おおつの里","おおつの里（おおつのさと）南房総市県道185号犬掛館山線千葉-15 ","https://ja.wikipedia.org/wiki/道の駅おおつの里","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度03分28秒東経139度51分37秒","〒299-2412千葉県南房総市富浦町大津320","千葉県道185号","第19回（12015）","2003年8月8日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","9:00 - 17:00","","","","","","","","","","","",""
"道の駅オライはすぬま","おらいはすぬまオライはすぬま山武市県道58号松尾蓮沼線千葉-16 ","https://ja.wikipedia.org/wiki/道の駅オライはすぬま","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度36分07秒東経140度30分06秒","〒289-1806千葉県山武市蓮沼ハ4826","千葉県道58号","第20回（12016）","2004年8月9日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2005年3月6日","9:00 - 17:00","","","","","","","","","","","",""
"道の駅ながら","ながら長生郡長柄町県道14号千葉茂原線千葉-17 ","https://ja.wikipedia.org/wiki/道の駅ながら","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度27分26秒東経140度12分24秒","〒297-0233千葉県長生郡長柄町六地蔵138-1","千葉県道14号","第20回（12017）","2004年8月9日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2004年12月","9:30 - 17:00","","","","","","","","","","","",""
"道の駅つどいの郷むつざわ","むつざわスマートウェルネスタウン・道の駅・つどいの郷（むつざわスマートウェルネスタウン・みちのえき・つどいのさと）長生郡睦沢町県道150号大多喜一宮線千葉-18 ","https://ja.wikipedia.org/wiki/道の駅つどいの郷むつざわ","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度21分08秒東経140度18分13秒","〒299-4422千葉県長生郡睦沢町森2－1","千葉県道150号","第20回（12018）","2004年8月9日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2002年7月20日","9:00 - 18:00","","","","","","","","","","","",""
"道の駅白浜野島崎","しらはまのじまざき白浜野島崎（しらはまのじまざき）南房総市国道410号千葉-19 ","https://ja.wikipedia.org/wiki/道の駅白浜野島崎","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯34度54分22秒東経139度52分39秒","〒295-0103千葉県南房総市白浜町滝口9240","国道410号","第21回（12019）","2005年（平成17年）8月10日[1]","国土交通省案内ページ全国道の駅連絡会ページ","2006年（平成18年）3月12日","9:00 - 17:00","","","","","","","","","","","",""
"道の駅南房パラダイス","なんぼうぱらだいす南房パラダイス（なんぼうパラダイス）館山市県道257号南安房公園線千葉-20 ","https://ja.wikipedia.org/wiki/道の駅南房パラダイス","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯34度56分23秒東経139度49分18秒","〒294-0224千葉県館山市藤原1495番地","千葉県道257号","第22回（12020）","2006年8月10日","国土交通省案内ページ全国道の駅連絡会ページ","2006年10月1日","9:00 - 17:00","","","","","","","","","","","",""
"道の駅・川の駅水の郷さわら","みずのさとさわら水の郷さわら（みずのさとさわら）香取市国道356号千葉-21 ","https://ja.wikipedia.org/wiki/道の駅・川の駅水の郷さわら","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度53分45秒東経140度30分24秒","〒287-0003千葉県香取市佐原イ3981-2","国道356号","第33回（12021）","2010年3月1日[1]","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2010年3月27日[2]","9:00 - 19:00（4月-10月）9:00 - 18:00（11月-3月）","","","","","","","","","","","",""
"道の駅風和里しばやま","ふわりしばやま風和里しばやま（ふわりしばやま）山武郡芝山町県道62号成田松尾線千葉-22 ","https://ja.wikipedia.org/wiki/道の駅風和里しばやま","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度41分42秒東経140度24分36秒","〒289-1624千葉県山武郡芝山町小池2568","千葉県道62号","第36回（12022）","2011年8月25日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2012年4月26日","9:00-19:00","","","","","","","","","","","",""
"道の駅和田浦WA・O!","わだうらWAO和田浦WA・O!（わだうらわお）南房総市国道128号千葉-23 ","https://ja.wikipedia.org/wiki/道の駅和田浦WA・O!","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度02分33秒東経140度01分14秒","〒299-2703千葉県南房総市和田町仁我浦243","国道128号","第38回（12023）","2012年9月14日[1]","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2012年11月7日[2]","9:00-19:00","","","","","","","","","","","",""
"道の駅発酵の里こうざき","はっこうのさとこうざき発酵の里こうざき（はっこうのさとこうざき）香取郡神崎町町道松崎356号線千葉-24 ","https://ja.wikipedia.org/wiki/道の駅発酵の里こうざき","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度54分00秒東経140度22分47秒","〒289-0224千葉県香取郡神崎町松崎855","町道松崎356号線","第42回（12024）","2014年10月10日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2015年4月29日[1]","9:00 - 18:00","","","","","","","","","","","",""
"道の駅季楽里あさひ","きらりあさひ季楽里あさひ（きらりあさひ）旭市市道旭1級59号線千葉-25 ","https://ja.wikipedia.org/wiki/道の駅季楽里あさひ","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度43分02秒東経140度40分23秒","〒289-2511千葉県旭市イの5238","市道1級59号線","第43回（12025）","2015年4月15日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2015年10月17日","9:00 - 18:00","","","","","","","","","","","",""
"道の駅保田小学校","ほたしょうがっこう保田小学校（ほたしょうがっこう）安房郡鋸南町県道34号鴨川保田線千葉-26 ","https://ja.wikipedia.org/wiki/道の駅保田小学校","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度08分37秒東経139度50分38秒","〒299-1902千葉県安房郡鋸南町保田724","千葉県道34号","第43回（12026）","2015年4月15日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2015年12月11日[1]","9:00 - 18:00","","","","","","","","","","","",""
"道の駅みのりの郷東金","みのりの郷東金（みのりのさととうがね）東金市国道126号千葉-27 ","https://ja.wikipedia.org/wiki/道の駅みのりの郷東金","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度34分37秒東経140度22分59秒","〒283-0005千葉県東金市田間1300-3","国道126号","第44回（12027）","2015年11月5日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2015年11月7日[1]","9:00 - 18:00","","","","","","","","","","","",""
"道の駅木更津 うまくたの里","きさらづうまくたのさと木更津 うまくたの里（きさらづうまくたのさと）木更津市国道410号千葉-28 ","https://ja.wikipedia.org/wiki/道の駅木更津_うまくたの里","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度21分36秒東経140度03分09秒","〒292-0205千葉県木更津市下郡1369-1","国道410号","第47回（12028）","2017年4月21日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2017年10月20日[1][2]","9:00 - 17:00","","","","","","","","","","","",""
"道の駅いちかわ","いちかわ市川市国道298号千葉-29 ","https://ja.wikipedia.org/wiki/道の駅いちかわ","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度44分56秒東経139度55分10秒","〒272-0834千葉県市川市国分6丁目10-1","国道298号（東京外かく環状道路）","第48回（12029）","2017年11月17日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2018年4月7日","","","","","","","","","","","","",""
"道の駅八王子滝山","はちおうじたきやま八王子滝山（はちおうじたきやま）八王子市都道169号淵上日野線東京-01 ","https://ja.wikipedia.org/wiki/道の駅八王子滝山","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度41分12秒東経139度20分29秒","〒192-0011東京都八王子市滝山町1-592-2","東京都道169号","第21回（13001）","2005年8月10日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2007年4月1日","9:00 - 21:00","","","","","","","","","","","",""
"道の駅箱根峠","はこねとうげ箱根峠（はこねとうげ）足柄下郡箱根町国道1号神奈川-01 ","https://ja.wikipedia.org/wiki/道の駅箱根峠","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度11分12秒東経139度00分56秒","〒250-0521神奈川県足柄下郡箱根町箱根字畑引山381-22","国道1号","第1回（14001）","1995年1月30日","国土交通省案内ページ全国道の駅連絡会ページ","1995年5月30日","9:00 - 17:00","","","","","","","","","","","",""
"道の駅山北","やまきた山北（やまきた）足柄上郡山北町県道76号山北藤野線神奈川-02 ","https://ja.wikipedia.org/wiki/道の駅山北","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度22分47秒東経139度01分53秒","〒258-0123神奈川県足柄上郡山北町湯触317","神奈川県道76号","第12回（14002）","1997年4月11日","国土交通省案内ページ全国道の駅連絡会ページ","不明","9:00 - 17:00","","","","","","","","","","","",""
"道の駅清川","きよかわ清川（きよかわ）愛甲郡清川村県道64号伊勢原津久井線神奈川-03 ","https://ja.wikipedia.org/wiki/道の駅清川","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度28分57秒東経139度16分38秒","〒243-0112神奈川県愛甲郡清川村煤ヶ谷2129番地","神奈川県道64号","第44回（14003）","2015年11月5日[1]","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2015年11月21日[1]","10:00 - 18:00","","","","","","","","","","","",""
"道の駅足柄・金太郎のふるさと","あしがらきんたろうのふるさと足柄・金太郎のふるさと（あしがら・きんたろうのふるさと）南足柄市市道塚原・班目線神奈川-04 ","https://ja.wikipedia.org/wiki/道の駅足柄・金太郎のふるさと","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度19分34.0秒東経139度7分6.2秒","〒250-0111神奈川県南足柄市竹松1117-1","市道塚原・班目線","第52回（14004）","2020年3月13日[1]","全国道の駅連絡会ページ","2020年6月26日[2]","9:00 - 17:00","","","","","","","","","","","",""
"道の駅とみざわ","とみざわ南巨摩郡南部町国道52号山梨-01 ","https://ja.wikipedia.org/wiki/道の駅とみざわ","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度14分31秒東経138度29分06秒","〒409-2102山梨県南巨摩郡南部町福士28507-1","国道52号","第1回（19001）","1993年4月22日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","8:30 - 18:00","","","","","","","","","","","",""
"道の駅甲斐大和","かいやまと甲斐大和（かいやまと）甲州市国道20号山梨-02 ","https://ja.wikipedia.org/wiki/道の駅甲斐大和","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度38分09秒東経138度47分34秒","〒409-1203山梨県甲州市大和町初鹿野2248番地","国道20号","第7回（19002）","1995年1月30日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","9:00 - 18:00","","","","","","","","","","","",""
"道の駅なるさわ","なるさわ南都留郡鳴沢村国道139号山梨-03 ","https://ja.wikipedia.org/wiki/道の駅なるさわ","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度28分40.5秒東経138度41分31.1秒","〒401-0320山梨県南都留郡鳴沢村字ジラゴンノ8532-63","国道139号","第7回（19003）","1995年1月30日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1995年8月","8:30 - 17:00","","","","","","","","","","","",""
"道の駅みとみ","みとみ山梨市国道140号山梨-04 ","https://ja.wikipedia.org/wiki/道の駅みとみ","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度51分33秒東経138度45分22秒","〒404-0201山梨県山梨市三富川浦1822-1","国道140号","第12回（19004）","1997年4月11日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1998年4月10日","9:00 - 17:00","","","","","","","","","","","",""
"道の駅しもべ","しもべ南巨摩郡身延町国道300号山梨-05 ","https://ja.wikipedia.org/wiki/道の駅しもべ","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度28分12秒東経138度30分47秒","〒409-3106山梨県南巨摩郡身延町古関字大境4321","国道300号","第12回（19005）","1997年4月11日","国土交通省案内ページ全国道の駅連絡会ページ","不明","9:00 - 18:00（5月 - 9月）9:00 - 17:00（10月 - 4月）","","","","","","","","","","","",""
"道の駅とよとみ","とよとみ中央市国道140号山梨-06 ","https://ja.wikipedia.org/wiki/道の駅とよとみ","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度35分06秒東経138度32分42秒","〒400-1514山梨県中央市浅利1010-1","国道140号","第14回（19006）","1998年4月17日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","9:00 - 18:00","","","","","","","","","","","",""
"道の駅にらさき","にらさき韮崎市国道141号山梨-07 ","https://ja.wikipedia.org/wiki/道の駅にらさき","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度44分54秒東経138度26分19秒","〒407-0262山梨県韮崎市中田町中條1795","国道141号","第14回（19007）","1998年4月17日","国土交通省案内ページ全国道の駅連絡会ページ","不明","9:00 - 17:30","","","","","","","","","","","",""
"道の駅どうし","どうし南都留郡道志村国道413号山梨-08 ","https://ja.wikipedia.org/wiki/道の駅どうし","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度30分13秒東経138度59分24秒","〒402-0219山梨県南都留郡道志村9745番地","国道413号","第14回（19008）","1998年4月17日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1999年4月[1]","9:00 - 18:009:00 - 19:00（7月、8月）","","","","","","","","","","","",""
"道の駅かつやま","かつやま南都留郡富士河口湖町県道710号青木ヶ原船津線山梨-09 ","https://ja.wikipedia.org/wiki/道の駅かつやま","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度30分17秒東経138度44分04秒","〒401-0310山梨県南都留郡富士河口湖町勝山3758","山梨県道710号","第14回（19009）","1998年4月17日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","9:00 - 17:00","","","","","","","","","","","",""
"道の駅花かげの郷まきおか","はなかげのさとまきおか花かげの郷まきおか（はなかげのさとまきおか）山梨市国道140号山梨-10 ","https://ja.wikipedia.org/wiki/道の駅花かげの郷まきおか","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度45分16秒東経138度43分06秒","〒404-0012山梨県山梨市牧丘町室伏2120","国道140号","第15回（19010）","1999年8月27日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","9:00 - 17:30","","","","","","","","","","","",""
"道の駅はくしゅう","はくしゅう北杜市国道20号県道614号駒ヶ岳公園線山梨-11 ","https://ja.wikipedia.org/wiki/道の駅はくしゅう","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度48分37秒東経138度19分50秒","〒408-0315山梨県北杜市白州町白須1308","国道20号","第16回（19011）","2000年8月18日","国土交通省案内ページ全国道の駅連絡会ページ","不明","9:00 - 18:00","","","","","","","","","","","",""
"道の駅富士吉田","ふじよしだ富士吉田（ふじよしだ）富士吉田市国道138号山梨-12 ","https://ja.wikipedia.org/wiki/道の駅富士吉田","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度27分33秒東経138度48分07秒","〒403-0006山梨県富士吉田市新屋1936-6","国道138号","第18回（19012）","2002年8月13日","国土交通省案内ページ全国道の駅連絡会ページ","不明","9:00 - 19:00","","","","","","","","","","","",""
"道の駅南きよさと","みなみきよさと南きよさと（みなみきよさと）北杜市国道141号山梨-13 ","https://ja.wikipedia.org/wiki/道の駅南きよさと","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度51分57秒東経138度25分40秒","〒408-0001山梨県北杜市高根町長沢760","国道141号","第18回（19013）","2002年8月13日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2000年7月7日","8:30 - 17:00","","","","","","","","","","","",""
"道の駅しらね","しらね南アルプス市国道52号山梨-14 ","https://ja.wikipedia.org/wiki/道の駅しらね","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度38分17秒東経138度28分16秒","〒400-0221山梨県南アルプス市在家塚595-1","国道52号","第18回（19014）","2002年8月13日","国土交通省案内ページ全国道の駅連絡会ページ","不明","9:00 - 17:00","","","","","","","","","","","",""
"道の駅こぶちさわ","こぶちさわ北杜市県道11号北杜富士見線山梨-15 ","https://ja.wikipedia.org/wiki/道の駅こぶちさわ","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度52分46秒東経138度18分57秒","〒408-0044山梨県北杜市小淵沢町2968-1","山梨県道11号北杜富士見線","第20回（19015）","2004年8月9日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2004年4月29日","9:00 - 19:00","","","","","","","","","","","",""
"道の駅みのぶ富士川観光センター","みのぶ富士川観光センター（みのぶふじかわかんこうセンター）南巨摩郡身延町県道37号南アルプス公園線山梨-16旧名称「富士川ふるさと工芸館」","https://ja.wikipedia.org/wiki/道の駅みのぶ富士川観光センター","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","","山梨県南巨摩郡身延町下山1597","","","","","","","","","","","","","","","","都市公園（広域公園）","52.8 ha","1989年5月3日"
"道の駅たばやま","たばやま北都留郡丹波山村国道411号山梨-17 ","https://ja.wikipedia.org/wiki/道の駅たばやま","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度47分23秒東経138度55分26秒","〒409-0305山梨県北都留郡丹波山村2901","国道411号","第28回（19017）","2008年8月8日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2009年4月22日","9:00 - 18:00","","","","","","","","","","","",""
"道の駅富士川","ふじかわ富士川（ふじかわ）南巨摩郡富士川町国道52号山梨-18中部横断自動車道増穂PAと連結（下り線のみ）","https://ja.wikipedia.org/wiki/道の駅富士川","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度33分26秒東経138度28分18秒","〒400-0501山梨県南巨摩郡富士川町青柳町1655-3","国道52号","第41回（19018）","2014年4月4日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2014年7月8日","9:00 - 18:00","","","","","","","","","","","",""
"道の駅こすげ","こすげ北都留郡小菅村村道大久保4号山梨-19 ","https://ja.wikipedia.org/wiki/道の駅こすげ","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度45分14秒東経138度57分01秒","〒409-0211山梨県北都留郡小菅村3445","村道大久保4号","第41回（19019）","2014年4月4日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2015年3月29日","9:00 - 18:00","","","","","","","","","","","",""
"道の駅つる","つる都留市市道大原線山梨-20 ","https://ja.wikipedia.org/wiki/道の駅つる","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度34分57秒東経138度55分50秒","〒402-0002山梨県都留市大原88番地","市道大原線","第45回（19020）","2016年5月10日[1]","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2016年11月5日[2]","9:00 - 17:309:00 - 17:00（1月-3月）","","","","","","","","","","","",""
"道の駅なんぶ","なんぶ南巨摩郡南部町国道52号山梨-21 ","https://ja.wikipedia.org/wiki/道の駅なんぶ","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯35度18分23.7秒東経138度26分48.6秒","〒409-2211山梨県南巨摩郡南部町中野3034-1","国道52号","第48回（19021）","2017年11月17日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2018年7月21日","9:00 - 17:00","","","","","","","","","","","",""
"道の駅信州新町","しんしゅうしんまち信州新町（しんしゅうしんまち）長野市国道19号長野-01(北-01) ","https://ja.wikipedia.org/wiki/道の駅信州新町","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度35分08秒東経138度03分10秒","〒381-2403長野県長野市信州新町水内4619番地","国道19号","第1回（20001）","1993年4月22日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","8:30 - 19:00（4 - 9月）8:30 - 18:00（10 - 3月）","","","","","","","","","","","",""
"道の駅長野市大岡特産センター","ながのしおおおかとくさんセンター長野市大岡特産センター（ながのしおおおかとくさんセンター）長野市国道19号長野-02(北-02)旧名称「大岡村」","https://ja.wikipedia.org/wiki/道の駅長野市大岡特産センター","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度31分35秒東経137度57分29秒","〒381-2704長野県長野市大岡甲5275番地1","国道19号","第1回（20002）","1993年4月22日","国土交通省案内ページ全国道の駅連絡会ページ","不明","9:30 - 18:30（5 - 10月）9:30 - 17:30（11 - 4月）","","","","","","","","","","","",""
"道の駅信越さかえ","しんえつさかえ信越さかえ（しんえつさかえ）下水内郡栄村国道117号長野-03(北-03) ","https://ja.wikipedia.org/wiki/道の駅信越さかえ","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度59分18秒東経138度34分54秒","〒389-2702長野県下水内郡栄村大字北信3746-1","国道117号","第1回（20003）","1993年4月22日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1994年1月6日[1]","9:00 - 18:00","","","","","","","","","","","",""
"道の駅小坂田公園","おさかだこうえん小坂田公園（おさかだこうえん）塩尻市国道20号長野-08(北-04) ","https://ja.wikipedia.org/wiki/道の駅小坂田公園","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度06分23秒東経137度59分17秒","〒399-0712長野県塩尻市大字塩尻町1090番地","国道20号","第8回（20004）","1995年4月11日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1988年4月","9:00 - 18:00","","","","","","","","","","","",""
"道の駅池田","いけだ池田（いけだ）北安曇郡池田町県道51号大町明科線長野-09(北-05) ","https://ja.wikipedia.org/wiki/道の駅池田","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度23分49秒東経137度53分05秒","〒399-8602長野県北安曇郡池田町大字会染6330-1","長野県道51号","第8回（20005）","1995年4月11日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","9:00 - 18:00（4 - 10月）9:00 - 17:00（11 - 3月）","","","","","","","","","","","",""
"道の駅中条","なかじょう中条（なかじょう）長野市県道31号長野大町線長野-10(北-06) ","https://ja.wikipedia.org/wiki/道の駅中条","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度36分14秒東経138度00分58秒","〒381-3205長野県長野市中条住良木1704番地","長野県道31号","第8回（20006）","1995年4月11日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","9:00 - 19:00","","","","","","","","","","","",""
"道の駅みまき","みまき東御市県道40号諏訪白樺湖小諸線長野-11(北-07) ","https://ja.wikipedia.org/wiki/道の駅みまき","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度20分06秒東経138度21分36秒","〒389-0402長野県東御市布下35-4","長野県道40号","第8回（20007）","1995年4月11日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","10:00 - 21:00","","","","","","","","","","","",""
"道の駅白馬","はくば白馬（はくば）北安曇郡白馬村国道148号長野-13(北-08) ","https://ja.wikipedia.org/wiki/道の駅白馬","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度39分12.9秒東経137度50分50.3秒","〒399-9211長野県北安曇郡白馬村大字神城21462番地1","国道148号","第10回（20008）","1996年4月16日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1996年8月9日[1]","9:00 - 19:00","","","","","","","","","","","",""
"道の駅ふるさと豊田","ふるさと豊田（ふるさととよた）中野市国道117号長野-15(北-09) ","https://ja.wikipedia.org/wiki/道の駅ふるさと豊田","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度48分02秒東経138度19分21秒","〒389-2104長野県中野市大字永江2136","国道117号","第13回（20009）","1997年10月22日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1997年10月5日[1]","9:00 - 18:30","","","","","","","","","","","",""
"道の駅マルメロの駅ながと","まるめろのえきながとマルメロの駅ながと（マルメロのえきながと）小県郡長和町国道152号長野-16(北-10) ","https://ja.wikipedia.org/wiki/道の駅マルメロの駅ながと","道の駅一覧_関東地方","https://ja.wikipedia.org/wiki/道の駅一覧_関東地方","表形式","北緯36度16分25秒東経138度15分29秒","〒386-0603長野県小県郡長和町古町2424番地19","国道152号","第13回（20010）","1997年10月22日","国土交通省案内ページ全国道の駅連絡会ページ","1998年3月26日[1]","9:00 - 17:00（情報館）","","","","","","","","","","","",""
