"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","主祭神","位置","社格,等","例祭","創建","本殿の,様式","地図","主な神事","別名","札所等","神体","法人番号","国","地方","面積","総人口","人口密度","外部リンク"
"末吉宮","[末吉宮（沖縄県）] 末吉宮 （すえよしぐう）は、 沖縄県 那覇市 首里末吉町 の 末吉公園 内にある 神社 で 琉球八社 のひとつ。 旧社格 は無格社。","https://ja.wikipedia.org/wiki/末吉宮","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯26度13分48.6秒東経127度42分50.6秒","沖縄県那覇市首里末吉町1-8","伊弉冉神・速玉男尊・事解男尊","北緯26度13分48.6秒東経127度42分50.6秒﻿ / ﻿北緯26.230167度 東経127.714056度﻿ /26.230167; 127.714056﻿ (末吉宮)座標:北緯26度13分48.6秒東経127度42分50.6秒﻿ / ﻿北緯26.230167度 東経127.714056度﻿ /26.230167; 127.714056﻿ (末吉宮)","旧無格社","11月23日","景泰年間（1450年 - 1457年）","流造","末吉宮","","首里社壇","琉球八社","","","","","","","",""
"菅生石部神社","[菅生石部神社（石川県）] 菅生石部神社 （すごういそべじんじゃ）は、 石川県 加賀市 大聖寺敷地にある 神社 。 式内社 、 加賀国 二宮 で、 旧社格 は 国幣小社 。現在は 神社本庁 の 別表神社 。通称を「敷地天神」・「菅生天神」とも。","https://ja.wikipedia.org/wiki/菅生石部神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯36度18分46.95秒東経136度19分14.94秒","石川県加賀市大聖寺敷地ル乙81","菅生石部神","北緯36度18分46.95秒東経136度19分14.94秒﻿ / ﻿北緯36.3130417度 東経136.3208167度﻿ /36.3130417; 136.3208167﻿ (菅生石部神社)","式内社（小）加賀国二宮旧国幣小社別表神社","2月10日","（伝）用明天皇元年（585年）","流造","","","","","","","","","","","",""
"杉原神社","[杉原神社（富山県）] 杉原神社 （すぎはらじんじゃ）は、 富山県 富山市 八尾町黒田にある神社である。","https://ja.wikipedia.org/wiki/杉原神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯36度36分34秒東経137度9分16秒","富山県富山市八尾町黒田3928","杉原彦命","北緯36度36分34秒東経137度9分16秒﻿ / ﻿北緯36.60944度 東経137.15444度﻿ /36.60944; 137.15444﻿ (杉原神社)座標:北緯36度36分34秒東経137度9分16秒﻿ / ﻿北緯36.60944度 東経137.15444度﻿ /36.60944; 137.15444﻿ (杉原神社)","旧村社","","","","杉原神社","","","","","","","","","","",""
"柞原八幡宮","[柞原八幡宮（大分県）] 柞原八幡宮 （ゆすはらはちまんぐう）は、 大分県 大分市 にある 神社 。 豊後国 一宮 。 旧社格 は 国幣小社 で、現在は 神社本庁 の 別表神社 。","https://ja.wikipedia.org/wiki/柞原八幡宮","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯33度14分18.23秒東経131度33分3.63秒","大分県大分市大字八幡987","仲哀天皇応神天皇神功皇后","北緯33度14分18.23秒東経131度33分3.63秒﻿ / ﻿北緯33.2383972度 東経131.5510083度﻿ /33.2383972; 131.5510083﻿ (柞原八幡宮)座標:北緯33度14分18.23秒東経131度33分3.63秒﻿ / ﻿北緯33.2383972度 東経131.5510083度﻿ /33.2383972; 131.5510083﻿ (柞原八幡宮)","豊後国一宮旧国幣小社別表神社","3月15日（初卯祭）","（伝）天長7年（830年）","八幡造","柞原八幡宮大分県の地図を表示柞原八幡宮別府・大分の地図を表示","夏越祭武内大神渡御祭仲秋祭（放生会）","","","","","","","","","",""
"助松神社 (存在しないページ)","[助松神社（大阪府泉大津市）]","https://ja.wikipedia.org/w/index.php?title=助松神社&amp;action=edit&amp;redlink=1","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"洲崎神社","[洲崎神社（千葉県館山市）] 洲崎神社 （すさきじんじゃ/すのさきじんじゃ）は、 千葉県 館山市 洲崎にある 神社 。 式内社 （大社） 論社 で、 江戸時代 に 安房国 一宮 とされた。 旧社格 は 県社 。","https://ja.wikipedia.org/wiki/洲崎神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯34度58分5秒東経139度45分29.60秒","千葉県館山市洲崎1344","天比理乃咩命","北緯34度58分5秒東経139度45分29.60秒﻿ / ﻿北緯34.96806度 東経139.7582222度﻿ /34.96806; 139.7582222座標:北緯34度58分5秒東経139度45分29.60秒﻿ / ﻿北緯34.96806度 東経139.7582222度﻿ /34.96806; 139.7582222","式内社（大）論社（伝）安房国一宮旧県社","8月20日","神武天皇年間","三間社流造銅板葺","","","","","","","","","","","",""
"須我神社","[須我神社（島根県雲南市）] 須我神社 （すがじんじゃ）は、 島根県 雲南市 大東町須賀にある 神社 である。旧 社格 は 県社 。 須佐之男命 が 八岐大蛇 退治の後に建てた宮殿が神社になったものと伝え、「 日本初之宮 （にほんはつのみや）」と自称している。 出雲國神仏霊場 第十六番。 延喜式に記載されていない。","https://ja.wikipedia.org/wiki/須我神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯35度21分14秒東経133度01分53秒","島根県雲南市大東町須賀260","須佐之男命稲田比売命清之湯山主三名狭漏彦八島野命","北緯35度21分14秒東経133度01分53秒﻿ / ﻿北緯35.35389度 東経133.03139度﻿ /35.35389; 133.03139","県社","9月28日","","大社造","","茅之輪神事、茣蓙替祭、鹿食神事他","日本初之宮","出雲國神仏霊場16番","","","","","","","",""
"須賀神社 (長浜市)","[須賀神社（滋賀県長浜市）] 須賀神社 （すがじんじゃ）は、 滋賀県 長浜市 西浅井町 に鎮座する 神社 である。","https://ja.wikipedia.org/wiki/須賀神社_(長浜市)","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯35度27分43.0秒東経136度08分24.2秒","滋賀県長浜市西浅井町菅浦439","淳仁天皇・大山咋神・大山祇神","北緯35度27分43.0秒東経136度08分24.2秒﻿ / ﻿北緯35.461944度 東経136.140056度﻿ /35.461944; 136.140056﻿ (須賀神社)座標:北緯35度27分43.0秒東経136度08分24.2秒﻿ / ﻿北緯35.461944度 東経136.140056度﻿ /35.461944; 136.140056﻿ (須賀神社)","旧郷社","4月3日","天平宝字3年（764年）","","","","","","","","","","","","",""
"須佐神社 (出雲市)","[須佐神社（島根県出雲市）] 須佐神社 （すさじんじゃ）は、 島根県 出雲市 にある 神社 である。 式内小社 で、旧 社格 は 国幣小社 。 出雲國神仏霊場 第十八番。","https://ja.wikipedia.org/wiki/須佐神社_(出雲市)","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯35度14分4.0秒東経132度44分12.9秒","島根県出雲市佐田町須佐730","須佐之男命","北緯35度14分4.0秒東経132度44分12.9秒﻿ / ﻿北緯35.234444度 東経132.736917度﻿ /35.234444; 132.736917﻿ (須佐神社)座標:北緯35度14分4.0秒東経132度44分12.9秒﻿ / ﻿北緯35.234444度 東経132.736917度﻿ /35.234444; 132.736917﻿ (須佐神社)","式内社（小）旧国幣小社別表神社","4月18日","","大社造","","念仏踊り","須佐大宮","出雲國神仏霊場18番","","","","","","","",""
"須倍神社","[須倍神社（静岡県浜松市）] 須倍神社 （すべじんじゃ）は 静岡県 浜松市 北区 にある 神社 。 延喜式内社 で 遠江国 引佐郡 六座のうちの一つ。 旧社格 は郷社。","https://ja.wikipedia.org/wiki/須倍神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯34度49分30秒東経137度42分45秒","静岡県浜松市北区都田町6284","天照皇大神(内宮)豊受姫大神(外宮)","北緯34度49分30秒東経137度42分45秒﻿ / ﻿北緯34.82500度 東経137.71250度﻿ /34.82500; 137.71250座標:北緯34度49分30秒東経137度42分45秒﻿ / ﻿北緯34.82500度 東経137.71250度﻿ /34.82500; 137.71250","旧延喜式内社、郷社","10月","887年(仁和3年)","神明造(本殿二棟)","","","神明宮","","","","","","","","",""
"住吉大社","[本社：住吉大社（大阪市住吉区）] 住吉大社 （すみよしたいしゃ）は、 大阪府 大阪市 住吉区 住吉にある 神社 。 式内社 （ 名神大社 ）、 摂津国 一宮 、 二十二社 （中七社）の1つ。 旧社格 は 官幣大社 で、現在は 神社本庁 の 別表神社 。全国にある 住吉神社 の総本社である。本殿4棟は 国宝 に指定されている。","https://ja.wikipedia.org/wiki/住吉大社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","","大阪府大阪市住吉区住吉2丁目9-89","底筒男命中筒男命表筒男命神功皇后","","式内社（名神大4座）摂津国一宮二十二社（中七社）旧官幣大社別表神社","7月31日（住吉祭）","伝・神功皇后摂政11年","住吉造4棟","住吉大社 (大阪府)大阪府の地図を表示住吉大社 (日本)日本の地図を表示","踏歌神事（1月4日）白馬神事（1月7日）御結鎮神事（1月13日）松苗神事（4月3日）卯之葉神事（5月初卯日）御田植神事（6月14日）神輿洗神事（7月第3月・火曜日）夏越大祓神事（7月31日）宝之市神事（10月17日）","","神仏霊場巡拝の道第42番（大阪第1番）河内飛鳥古社寺霊場客番","","","","","","","",""
"住吉神社 (東京都中央区)","[住吉神社（東京都中央区）] 住吉神社 （すみよしじんじゃ）は、 日本 の 東京都 中央区 佃 にある 神社 である。旧 社格 は 郷社  。","https://ja.wikipedia.org/wiki/住吉神社_(東京都中央区)","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯35度40分4.7秒東経139度46分59.9秒","東京都中央区佃一丁目1-14","住吉三神、息長足姫命、東照御親命","北緯35度40分4.7秒東経139度46分59.9秒﻿ / ﻿北緯35.667972度 東経139.783306度﻿ /35.667972; 139.783306﻿ (住吉神社 (東京都中央区))座標:北緯35度40分4.7秒東経139度46分59.9秒﻿ / ﻿北緯35.667972度 東経139.783306度﻿ /35.667972; 139.783306﻿ (住吉神社 (東京都中央区))","郷社","例大祭（8月6日）","正保3年6月29日（1646年8月10日）","","住吉神社","","","","","","","","","","",""
"住吉神社 (安曇野市)","[住吉神社（長野県安曇野市）] 住吉神社 （すみよしじんじゃ）は、 長野県 安曇野市 にある 神社 。 旧社格 は 県社 。","https://ja.wikipedia.org/wiki/住吉神社_(安曇野市)","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯36度16分6.39秒東経137度52分46.95秒","長野県安曇野市三郷温5932番地","住吉三神、建御名方神、広籏八幡大神","北緯36度16分6.39秒東経137度52分46.95秒﻿ / ﻿北緯36.2684417度 東経137.8797083度﻿ /36.2684417; 137.8797083","県社","お船祭り（毎年4月）","","","","","","","","","","","","","",""
"本住吉神社","[本住吉神社（神戸市）] 本住吉神社 （もとすみよしじんじゃ）は、 兵庫県 神戸市 東灘区 にある 神社 である。旧 社格 は 県社 。","https://ja.wikipedia.org/wiki/本住吉神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯34度43分07秒東経135度15分36.5秒","兵庫県神戸市東灘区住吉宮町7丁目1-2","底筒男命中筒男命表筒男命神功皇后","北緯34度43分07秒東経135度15分36.5秒﻿ / ﻿北緯34.71861度 東経135.260139度﻿ /34.71861; 135.260139﻿ (本住吉神社)座標:北緯34度43分07秒東経135度15分36.5秒﻿ / ﻿北緯34.71861度 東経135.260139度﻿ /34.71861; 135.260139﻿ (本住吉神社)","県社","5月13日","","","本住吉神社本住吉神社 (神戸市)神戸市の地図を表示本住吉神社本住吉神社 (兵庫県)兵庫県の地図を表示","","","","","","","","","","",""
"住吉神社 (明石市)","[住吉神社（明石市）] 住吉神社 （すみよしじんじゃ）は、 兵庫県 明石市 魚住町中尾にある 神社 。 旧社格 は 県社 。明石市市内には数社の住吉神社があり、その代表とされる。","https://ja.wikipedia.org/wiki/住吉神社_(明石市)","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯34度40分37.1秒東経134度54分36.6秒","兵庫県明石市魚住町中尾1031","底筒男命中筒男命表筒男命気長足姫命","北緯34度40分37.1秒東経134度54分36.6秒﻿ / ﻿北緯34.676972度 東経134.910167度﻿ /34.676972; 134.910167﻿ (住吉神社 (明石市))座標:北緯34度40分37.1秒東経134度54分36.6秒﻿ / ﻿北緯34.676972度 東経134.910167度﻿ /34.676972; 134.910167﻿ (住吉神社 (明石市))","旧県社","10月最終日曜日","（伝）雄略天皇8年","","住吉神社","","","","","","","","","","",""
"住吉神社 (加西市)","[住吉神社（加西市）] 住吉神社 （すみよしじんじゃ）は、 兵庫県 加西市 にある 神社 。 住吉酒見社 、 住吉酒見神社 とも。 播磨国 三の宮、旧 社格 は 県社 。","https://ja.wikipedia.org/wiki/住吉神社_(加西市)","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯34度56分7.1秒東経134度49分42.8秒","兵庫県加西市北条町北条1318","酒見神住吉四神（底筒男命、中筒男命、表筒男命、神功皇后）大歳神八幡神","北緯34度56分7.1秒東経134度49分42.8秒﻿ / ﻿北緯34.935306度 東経134.828556度﻿ /34.935306; 134.828556﻿ (住吉神社 (加西市))座標:北緯34度56分7.1秒東経134度49分42.8秒﻿ / ﻿北緯34.935306度 東経134.828556度﻿ /34.935306; 134.828556﻿ (住吉神社 (加西市))","旧県社","","養老元年（717年）","住吉造","住吉神社","節句祭り（4月第1土・日曜日）","住吉酒見社、住吉酒見神社","","","","","","","","",""
"住吉神社 (広島市中区)","[住吉神社（広島市中区）] 住吉神社 （すみよしじんじゃ）は、 広島県 広島市 中区 住吉町  にある 神社 。","https://ja.wikipedia.org/wiki/住吉神社_(広島市中区)","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯34度23分5秒東経132度26分50.6秒","広島県広島市中区住吉町5-10","表筒男命、中筒男命、底筒男命、大国主神、事代主神","北緯34度23分5秒東経132度26分50.6秒﻿ / ﻿北緯34.38472度 東経132.447389度﻿ /34.38472; 132.447389﻿ (住吉神社 (広島市中区))座標:北緯34度23分5秒東経132度26分50.6秒﻿ / ﻿北緯34.38472度 東経132.447389度﻿ /34.38472; 132.447389﻿ (住吉神社 (広島市中区))","","（旧暦）6月14日・15日","1733年（享保18年）","","住吉神社","","","","","","","","","","",""
"住吉神社 (下関市)","[住吉神社（山口県下関市）] 住吉神社 （すみよしじんじゃ）は、 山口県 下関市 一の宮住吉にある 神社 。 式内社 （ 名神大社 ）、 長門国 一宮 。 旧社格 は 官幣中社 で、現在は 神社本庁 の 別表神社 。","https://ja.wikipedia.org/wiki/住吉神社_(下関市)","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯33度59分58.6秒東経130度57分23.6秒","山口県下関市一の宮住吉一丁目11-1","住吉三神応神天皇武内宿彌命神功皇后建御名方命","北緯33度59分58.6秒東経130度57分23.6秒﻿ / ﻿北緯33.999611度 東経130.956556度﻿ /33.999611; 130.956556﻿ (住吉神社 (下関市))座標:北緯33度59分58.6秒東経130度57分23.6秒﻿ / ﻿北緯33.999611度 東経130.956556度﻿ /33.999611; 130.956556﻿ (住吉神社 (下関市))","式内社（名神大3座）長門国一宮旧官幣中社別表神社","12月15日","（紀）仲哀天皇9年","九間社流造","住吉神社","和布刈神事 （旧元旦）御田植祭 （5月第3日曜日）","","","","","","","","","",""
"住吉神社 (福岡市)","[住吉神社（福岡市博多区）] 住吉神社 （すみよしじんじゃ）は、 福岡県 福岡市 博多区 住吉 にある 神社 。 式内社 （ 名神大社 ）、 筑前国 一宮 。 旧社格 は 官幣小社 で、現在は 神社本庁 の 別表神社 。","https://ja.wikipedia.org/wiki/住吉神社_(福岡市)","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯33度35分9.26秒東経130度24分49.33秒","福岡県福岡市博多区住吉3-1-51","底筒男命中筒男命表筒男命","北緯33度35分9.26秒東経130度24分49.33秒﻿ / ﻿北緯33.5859056度 東経130.4137028度﻿ /33.5859056; 130.4137028﻿ (住吉神社 (福岡市))座標:北緯33度35分9.26秒東経130度24分49.33秒﻿ / ﻿北緯33.5859056度 東経130.4137028度﻿ /33.5859056; 130.4137028﻿ (住吉神社 (福岡市))","式内社（名神大3座）筑前国一宮旧官幣小社別表神社","10月13日（相撲会祭）","不詳（伝承上は上古）","住吉造","住吉神社","","","三大住吉","","","","","","","",""
"住吉神社 (壱岐市)","[住吉神社（長崎県壱岐市）] 住吉神社 （すみよしじんじゃ）は、 長崎県 壱岐市 芦辺町住吉東触にある 神社 。 式内社 （ 名神大社 ）、 旧社格 は 国幣中社 で、現在は 神社本庁 の 別表神社 。","https://ja.wikipedia.org/wiki/住吉神社_(壱岐市)","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯33度47分18.5秒東経129度42分23.3秒","長崎県壱岐市芦辺町住吉東触470","底筒男命中筒男命表筒男命","北緯33度47分18.5秒東経129度42分23.3秒﻿ / ﻿北緯33.788472度 東経129.706472度﻿ /33.788472; 129.706472﻿ (住吉神社 (壱岐市))座標:北緯33度47分18.5秒東経129度42分23.3秒﻿ / ﻿北緯33.788472度 東経129.706472度﻿ /33.788472; 129.706472﻿ (住吉神社 (壱岐市))","式内社（名神大）旧国幣中社別表神社","11月9日","（伝）神功皇后摂政年間","三間社流造銅板葺","住吉神社","軍越（いくさごえ）神事（1月17日・5月28日・10月27日）","","壱岐七社","","","","","","","",""
"住吉神社 (宇土市)","[住吉神社（熊本県宇土市）] 住吉神社 （すみよしじんじゃ）は、 熊本県 宇土市 住吉町 住吉自然公園 にある神社。 旧社格 は県社  。","https://ja.wikipedia.org/wiki/住吉神社_(宇土市)","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯32度42分29.5秒東経130度35分27.5秒","熊本県宇土市住吉町2067","底筒之男命中筒之男命表筒之男命神功皇后","北緯32度42分29.5秒東経130度35分27.5秒﻿ / ﻿北緯32.708194度 東経130.590972度﻿ /32.708194; 130.590972﻿ (住吉神社 (宇土市))座標:北緯32度42分29.5秒東経130度35分27.5秒﻿ / ﻿北緯32.708194度 東経130.590972度﻿ /32.708194; 130.590972﻿ (住吉神社 (宇土市))","旧県社","10月13日","延久3年（1071年）","","住吉神社","","","","","","","","","","",""
"諏訪大社","[本社：諏訪大社（長野県）] 諏訪大社 （すわたいしゃ）は、 長野県 の 諏訪湖 周辺4か所にある 神社 。 式内社 （ 名神大社 ）、 信濃国 一宮 。 旧社格 は 官幣大社 で、現在は 神社本庁 の 別表神社 。 神紋 は「梶の葉」。","https://ja.wikipedia.org/wiki/諏訪大社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","","長野県の諏訪湖周辺に4宮（各項参照）","建御名方神八坂刀売神","","式内社（名神大）信濃国一宮旧官幣大社別表神社","","不詳","","","御柱祭、御頭祭、御舟祭 など多数（祭事参照）","諏訪神社、諏訪明神、諏訪大明神、諏訪社 ほか","","","","","","","","",""
"鎮西大社諏訪神社","[諏訪神社（長崎県長崎市）] 鎮西大社諏訪神社 （ちんぜいたいしゃすわじんじゃ）は、 長崎県 長崎市 にある 神社 。現在の正式名称は 諏訪神社 であり、鎮西大社は通称。地元では「 お諏訪さま 」、「 おすわさん 」と呼ばれる。10月7日から9日までの 例祭 は 長崎くんち として有名である。","https://ja.wikipedia.org/wiki/鎮西大社諏訪神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯32度45分14.6秒東経129度52分53.5秒","長崎県長崎市上西山町18-15","建御名方神八坂刀売神","北緯32度45分14.6秒東経129度52分53.5秒﻿ / ﻿北緯32.754056度 東経129.881528度﻿ /32.754056; 129.881528﻿ (鎮西大社諏訪神社)座標:北緯32度45分14.6秒東経129度52分53.5秒﻿ / ﻿北緯32.754056度 東経129.881528度﻿ /32.754056; 129.881528﻿ (鎮西大社諏訪神社)","国幣中社・別表神社","10月8日","","","","","","","","","","","","","",""
"諏訪神社 (南部町) (存在しないページ)","[諏訪神社（青森県南部町）]","https://ja.wikipedia.org/w/index.php?title=諏訪神社_(南部町)&amp;action=edit&amp;redlink=1","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"秋田諏訪宮","[秋田諏訪宮（秋田県美郷町）] 秋田諏訪宮 （あきたすわぐう）は、 秋田県 仙北郡 美郷町 にある 神社 。 旧社格 は県社。現神社本庁別表神社。","https://ja.wikipedia.org/wiki/秋田諏訪宮","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯39度25分25秒東経140度32分34秒","秋田県仙北郡美郷町六郷字本道町19","建御名方富命、八坂刀女命","北緯39度25分25秒東経140度32分34秒﻿ / ﻿北緯39.42361度 東経140.54278度﻿ /39.42361; 140.54278﻿ (秋田諏訪宮)座標:北緯39度25分25秒東経140度32分34秒﻿ / ﻿北緯39.42361度 東経140.54278度﻿ /39.42361; 140.54278﻿ (秋田諏訪宮)","県社・別表神社","8月24日","伝802年（延暦21年）","","秋田諏訪宮","","","","","","","","","","",""
"晴明神社","[晴明神社（京都府）] 晴明神社 （せいめいじんじゃ）は、 京都市 上京区 にある 神社 。 安倍晴明 を祀る。 一条戻橋 のたもと（北西）にあった晴明の屋敷跡に鎮座する。全国各地に同名の神社が存在する。旧 社格 は村社。","https://ja.wikipedia.org/wiki/晴明神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯35度01分40秒東経135度45分04秒","京都府京都市上京区堀川通一条上る晴明町806番地1","安倍晴明御霊神","北緯35度01分40秒東経135度45分04秒﻿ / ﻿北緯35.02778度 東経135.75111度﻿ /35.02778; 135.75111座標:北緯35度01分40秒東経135度45分04秒﻿ / ﻿北緯35.02778度 東経135.75111度﻿ /35.02778; 135.75111","村社","9月秋分日（晴明祭）","寛弘4年（1007年）","","","","","","","","","","","","",""
"世良田東照宮","[世良田東照宮（群馬県 太田市）] 世良田東照宮 （せらだとうしょうぐう）は、 群馬県 太田市 世良田町にある 神社 である。「東照大権現」としての 徳川家康 を祭神とする 東照宮 の1つである。 1617年 （ 元和 3年）に 駿河国 久能山 （ 久能山東照宮 ）より 下野国 日光 （ 日光東照宮 ）へ家康の遺骸を改葬した際に建てられた社殿を、 1644年 （ 寛永 21年）に 上野国 世良田へ移築し、創建された。太田市内の他の社寺、館跡とともに「 新田荘遺跡 」として国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/世良田東照宮","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯36度15分43.02秒東経139度16分31.61秒","群馬県太田市世良田町3119番地1","徳川家康公","北緯36度15分43.02秒東経139度16分31.61秒﻿ / ﻿北緯36.2619500度 東経139.2754472度﻿ /36.2619500; 139.2754472座標:北緯36度15分43.02秒東経139度16分31.61秒﻿ / ﻿北緯36.2619500度 東経139.2754472度﻿ /36.2619500; 139.2754472","郷社","4月17日","寛永21年（1644年）","一間社流造","","","","","","","","","","","",""
"静岡県","[本社：浅間大社（静岡県富士宮市）：⇒富士山本宮浅間大社（せんげん）] ","https://ja.wikipedia.org/wiki/静岡県","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯34度54分59秒東経138度18分59秒","〒420-8601静岡県静岡市葵区追手町 9-6北緯34度54分59秒東経138度18分59秒﻿ / ﻿北緯34.91639度 東経138.31639度﻿ /34.91639; 138.31639座標:北緯34度54分59秒東経138度18分59秒﻿ / ﻿北緯34.91639度 東経138.31639度﻿ /34.91639; 138.31639県庁舎位置","","","","","","","","","","","","7000020220001","日本","中部地方、東海地方","7,777.42km2（境界未定部分あり）","3,615,430人（推計人口、2021年6月1日）","465人/km2","公式ウェブサイト"
"北口本宮冨士浅間神社","[北口本宮冨士浅間神社（山梨県富士吉田市）] 北口本宮冨士浅間神社 （きたぐちほんぐうふじせんげんじんじゃ）は、 山梨県 富士吉田市 上吉田にある 神社 。 旧社格 は 県社 で、現在は 神社本庁 の 別表神社 。 富士登山 吉田口登山道の起点にあたり、「 富士山-信仰の対象と芸術の源泉 」の構成資産のひとつである「富士山域」の一部として 世界文化遺産 に登録されている。","https://ja.wikipedia.org/wiki/北口本宮冨士浅間神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯35度28分14.8秒東経138度47分32.6秒","山梨県富士吉田市上吉田5558","木花開耶姫命天孫彦火瓊瓊杵命大山祇神","北緯35度28分14.8秒東経138度47分32.6秒﻿ / ﻿北緯35.470778度 東経138.792389度﻿ /35.470778; 138.792389﻿ (北口本宮冨士浅間神社)座標:北緯35度28分14.8秒東経138度47分32.6秒﻿ / ﻿北緯35.470778度 東経138.792389度﻿ /35.470778; 138.792389﻿ (北口本宮冨士浅間神社)","旧県社別表神社","初申祭 5月5日","","","北口本宮冨士浅間神社","","","","","","","","","","",""
"東口本宮冨士浅間神社","[東口本宮冨士浅間神社（静岡県小山町）] 東口本宮冨士浅間神社 （ひがしぐちほんぐうふじせんげんじんじゃ）は、 静岡県 駿東郡 小山町 須走にある 神社 。 旧社格 は 県社 。","https://ja.wikipedia.org/wiki/東口本宮冨士浅間神社","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯35度21分45.53秒東経138度51分48.23秒","静岡県駿東郡小山町須走126番地","木花咲耶姫命大己貴命彦火火出見命","北緯35度21分45.53秒東経138度51分48.23秒﻿ / ﻿北緯35.3626472度 東経138.8633972度﻿ /35.3626472; 138.8633972﻿ (東口本宮冨士浅間神社)座標:北緯35度21分45.53秒東経138度51分48.23秒﻿ / ﻿北緯35.3626472度 東経138.8633972度﻿ /35.3626472; 138.8633972﻿ (東口本宮冨士浅間神社)","旧県社","5月5日","大同2年（807年）","権現造","冨士浅間神社","","須走浅間神社","","","","","","","","",""
"静岡市","[浅間神社（静岡市葵区）：⇒静岡浅間神社] ","https://ja.wikipedia.org/wiki/静岡市","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯34度58分32秒東経138度22分57秒","〒420-8602静岡県静岡市葵区追手町5番1号北緯34度58分32秒東経138度22分57秒﻿ / ﻿北緯34.97556度 東経138.38250度﻿ /34.97556; 138.38250市庁舎位置","","","","","","","","","","","","8000020221007","日本","中部地方、東海地方","1,411.90km2（境界未定部分あり）","690,580人（推計人口、2021年6月1日）","489人/km2","https://www.city.shizuoka.lg.jp/"
"富士河口湖町","[浅間神社（山梨県富士河口湖町）：⇒冨士御室浅間神社] ","https://ja.wikipedia.org/wiki/富士河口湖町","神社一覧","https://ja.wikipedia.org/wiki/神社一覧","箇条書き,制限あり","北緯35度29分50.1秒東経138度45分17.8秒","〒401-0392山梨県南都留郡富士河口湖町船津1700北緯35度29分50.1秒東経138度45分17.8秒﻿ / ﻿北緯35.497250度 東経138.754944度﻿ /35.497250; 138.754944","","","","","","","","","","","","9000020194301","日本","中部地方、甲信越地方","158.40km2","25,534人（推計人口、2021年6月1日）","161人/km2","公式ウェブサイト"
