"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","位置","河川","ダム型式","堤高","堤頂長","堤体積","湛水面積","総貯水容量","有効貯水容量","利用目的","事業主体","着手年/竣工年","ダム湖","流域面積","施工業者","発電所名,（認可出力）","電気事業者","所在地","出典"
"江川ダム","[57上秋月湖福岡県朝倉市筑後川小石原川江川ダム水資源機構] 江川ダム （えがわダム）は 福岡県 朝倉市 、 一級河川 ・ 筑後川 水系 小石原川（こいしわらがわ）に建設された ダム である。","https://ja.wikipedia.org/wiki/江川ダム#古都・秋月のダム湖","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯33度27分36秒東経130度44分03秒","北緯33度27分36秒東経130度44分03秒﻿ / ﻿北緯33.46000度 東経130.73417度﻿ /33.46000; 130.73417","筑後川水系小石原川","重力式コンクリートダム","79.2m","297.9 m","261,000m³","86.0ha","25,326,000 m³","24,054,000 m³","かんがい・上水道・工業用水","独立行政法人水資源機構","1967年/1972年","上秋月湖（ダム湖百選）","30.0km²","西松建設・大林組","－","－","左岸:福岡県朝倉市上秋月町大字江川字下戸河内右岸:福岡県朝倉市上秋月町大字江川字下戸河内",""
"寺内ダム","[58美奈宜湖福岡県朝倉市筑後川佐田川寺内ダム水資源機構] 寺内ダム （てらうちダム）は 福岡県 朝倉市 、 一級河川 ・ 筑後川 水系 佐田川に建設された ダム である。","https://ja.wikipedia.org/wiki/寺内ダム","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯33度25分43秒東経130度43分23秒","北緯33度25分43秒東経130度43分23秒﻿ / ﻿北緯33.42861度 東経130.72306度﻿ /33.42861; 130.72306","筑後川水系佐田川","中央土質遮水壁型ロックフィルダム","83.0m","420.0 m","3,000,000m³","90.0ha","18,000,000 m³","16,000,000 m³","洪水調節・不特定利水上水道・かんがい","独立行政法人水資源機構","1970年/1978年","美奈宜湖（ダム湖百選）","51.0km²","間組・日本国土開発","なし","なし","左岸:福岡県朝倉市荷原字中組右岸:福岡県朝倉市荷原字寺内",""
"鷹島ダム","[59鷹島海中ダム湖長崎県松浦市浦田比水路湾鷹島ダム長崎県日本唯一の海中ダム] 鷹島ダム （たかしまダム）は 長崎県 松浦市 鷹島町 里免橘坂、浦田比水路 水系 浦田比水路に建設された 灌漑 用の 重力式コンクリートダム である。別名として 鷹島海中ダム 、 日比湾海中ダム  とも呼ばれる。","https://ja.wikipedia.org/wiki/鷹島ダム#鷹島海中ダム湖","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯33度26分34秒東経129度46分08秒","北緯33度26分34秒東経129度46分08秒﻿ / ﻿北緯33.44278度 東経129.76889度﻿ /33.44278; 129.76889","浦田比水路水系浦田比水路","重力式コンクリートダム","29m","129 m","31,000m³","7ha","593,000 m³","460,000 m³","灌漑","長崎県","1986年/1994年","鷹島海中ダム湖（ダム湖百選）","0.7km²","五洋建設・住友建設・松田建設","","","長崎県松浦市鷹島町里免橘坂","「ダム便覧」 鷹島ダム"
"北川ダム (大分県)","[60北川ダム湖大分県佐伯市五ヶ瀬川北川北川ダム大分県] 北川ダム （きたがわダム）は 大分県 佐伯市 、 一級河川 ・ 五ヶ瀬川 水系 北川 に建設された ダム である。","https://ja.wikipedia.org/wiki/北川ダム_(大分県)","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯32度47分26秒東経131度36分28秒","北緯32度47分26秒東経131度36分28秒﻿ / ﻿北緯32.79056度 東経131.60778度﻿ /32.79056; 131.60778","五ヶ瀬川水系北川","アーチ式コンクリートダム","82.0m","188.3 m","66,000m³","200.0ha","41,000,000 m³","34,700,000 m³","洪水調節・発電","大分県","1958年/1962年","北川ダム湖（ダム湖百選）","211.0km²","梅林建設","北川発電所（25,100kW）","大分県企業局","左岸:大分県佐伯市宇目大字南田原字横手右岸:大分県佐伯市宇目大字南田原",""
"上椎葉ダム","[61日向椎葉湖宮崎県東臼杵郡椎葉村耳川耳川上椎葉ダム九州電力九州中央山地国定公園小説家吉川英治命名] 上椎葉ダム （かみしいばダム）は 宮崎県 東臼杵郡 椎葉村 （しいばそん）、 二級河川 ・ 耳川 本流 最上流部に建設された ダム である。","https://ja.wikipedia.org/wiki/上椎葉ダム#日向椎葉湖","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯32度27分36.6秒東経131度08分58.4秒","北緯32度27分36.6秒東経131度08分58.4秒﻿ / ﻿北緯32.460167度 東経131.149556度﻿ /32.460167; 131.149556","耳川水系耳川","アーチ式コンクリートダム","110.0m","341.0 m","390,000m³","266.0ha","91,550,000 m³","76,000,000 m³","発電","九州電力","1950年/1955年","日向椎葉湖（ダム湖百選）","279.6km²","鹿島建設","上椎葉発電所（90,000kW）","九州電力","左岸:宮崎県東臼杵郡椎葉村大字下福良右岸:宮崎県東臼杵郡椎葉村大字下福良",""
"鶴田ダム","[62大鶴湖鹿児島県薩摩郡さつま町鹿児島県伊佐市川内川川内川鶴田ダム国土交通省九州地方整備局] 鶴田ダム （つるた  ダム、つるだ  ダム）は 鹿児島県 薩摩郡 さつま町 、 一級河川 ・ 川内川 本流 中流 部に建設された ダム である。","https://ja.wikipedia.org/wiki/鶴田ダム#大鶴湖","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯31度59分19秒東経130度29分38秒","北緯31度59分19秒東経130度29分38秒﻿ / ﻿北緯31.98861度 東経130.49389度﻿ /31.98861; 130.49389","川内川水系川内川","重力式コンクリートダム","117.5m","450.0 m","1,119,000m³","361.0ha","123,000,000 m³","77,500,000 m³","洪水調節・発電（不特定利水）","国土交通省九州地方整備局","1959年/1965年","大鶴湖（ダム湖百選）","805.0km²","西松建設","川内川第一発電所(120,000kW)","電源開発","左岸:鹿児島県薩摩郡さつま町大字鶴田右岸:鹿児島県薩摩郡さつま町大字神子",""
"福上湖","[63福上湖沖縄県国頭郡東村福地川福地川福地ダム内閣府沖縄総合事務局] 福上湖 （ふくがみこ）は、 沖縄島 北部の 沖縄県 東村 に位置する 人造湖 であり、1974年（昭和49年）に完成した 福地ダム の貯水池である。 福地ダム湖 とも呼ばれる。","https://ja.wikipedia.org/wiki/福上湖","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯26度39分00秒東経128度12分15秒","北緯26度39分00秒東経128度12分15秒﻿ / ﻿北緯26.65000度 東経128.20417度﻿ /26.65000; 128.20417座標:北緯26度39分00秒東経128度12分15秒﻿ / ﻿北緯26.65000度 東経128.20417度﻿ /26.65000; 128.20417","","","","","","","","","","","","","","","","","日本沖縄県東村",""
"漢那ダム","[64かんな湖沖縄県国頭郡宜野座村漢那福地川漢那福地川漢那ダム内閣府沖縄総合事務局] 漢那ダム （かんなダム）は 沖縄県 国頭郡 宜野座村 を流れる 二級河川 ・ 漢那福地川 本流 に建設された治水、灌漑、上水道供給を目的とする ダム であり、本ダムと脇ダムからなる。ダム湖は かんな湖 と名付けられており、2005年（平成17年）3月16日に ダム湖百選 に認定されている。ダム建設の総事業費は350億円であった  。","https://ja.wikipedia.org/wiki/漢那ダム#かんな湖","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯26度28分55秒東経127度56分58秒","北緯26度28分55秒東経127度56分58秒﻿ / ﻿北緯26.48194度 東経127.94944度﻿ /26.48194; 127.94944","漢那福地川水系漢那福地川","重力式コンクリートダム（ロックフィルダム）","45.0（37.0）m","185.0（500.0） m","72,000（991,000）m³","55ha","8,200,000 m³","7,800,000 m³","洪水調節・不特定利水・灌漑・上水道","内閣府沖縄総合事務局","1987年/1992年","かんな湖","7.6km²","","","","",""
"倉敷ダム","[65倉敷湖沖縄県沖縄市比謝川与那原川倉敷ダム沖縄県] 倉敷ダム （くらしきダム）は、 沖縄島 中部を流れる 二級河川 ・ 比謝川 水系与那原川に建設された ダム である。","https://ja.wikipedia.org/wiki/倉敷ダム","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯26度23分19秒東経127度48分18秒","北緯26度23分19秒東経127度48分18秒﻿ / ﻿北緯26.38861度 東経127.80500度﻿ /26.38861; 127.80500","比謝川水系与那原川","中央土質遮水壁型ロックフィルダム","33.5（15.0）m","441.0（200.0） m","876,000（80,000）m³","77ha","7,100,000 m³","6,900,000 m³","洪水調節・不特定利水・上水道","沖縄県","1989年/1995年","倉敷湖（ダム湖百選）","4.7km²","前田建設工業・大城組","（管理用発電設備）","なし","左岸:沖縄県うるま市字石川楚南地先右岸:沖縄県沖縄市字倉敷地先",""
"富里ダム","[北海道富里湖聖台ダム公園かなやま湖定山湖笹流貯水池] 富里ダム （とみさとダム）は 北海道 北見市 字富里、 一級河川 ・ 常呂川 水系 仁頃川に建設された ダム である。","https://ja.wikipedia.org/wiki/富里ダム","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯43度51分19秒東経143度45分12秒","北緯43度51分19秒東経143度45分12秒﻿ / ﻿北緯43.85528度 東経143.75333度﻿ /43.85528; 143.75333","常呂川水系仁頃川","ロックフィルダム","44.3m","280 m","444,000m³","21ha","2,800,000 m³","26,300,000 m³","灌漑","国土交通省北海道開発局","1969年/1987年","富里湖（ダム湖百選）","8.7km²","日本国土開発","","","北海道北見市字富里","「ダム便覧」富里ダム"
"川内ダム","[東北かわうち湖岩洞湖御所湖田瀬湖錦秋湖七ッ森湖あさひな湖釜房湖七ヶ宿湖宝仙湖月山湖羽鳥湖田子倉湖奥只見湖] 川内ダム （かわうちダム）は 青森県 むつ市 川内町福浦山、 二級河川 ・ 川内川 水系 川内川上流部に建設された ダム である。","https://ja.wikipedia.org/wiki/川内ダム","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯41度16分30秒東経140度53分41秒","北緯41度16分30秒東経140度53分41秒﻿ / ﻿北緯41.27500度 東経140.89472度﻿ /41.27500; 140.89472","川内川水系川内川","重力式コンクリートダム河川維持用水","55m","137 m","94,000m³","147ha","16,500,000 m³","14,500,000 m³","洪水調節・不特定利水・防災・河川維持","青森県","1973年/1994年","かわうち湖（ダム湖百選）","48km²","","","","青森県むつ市川内町福浦山","「ダム便覧」川内ダム"
"矢木沢ダム","[関東奥利根湖ならまた湖野反湖赤谷湖草木湖神流湖狭山湖多摩湖奥多摩湖宮ヶ瀬湖丹沢湖] 矢木沢ダム （やぎさわダム）は 群馬県 利根郡 みなかみ町 、 一級河川 ・ 利根川 本川最上流部に位置する ダム である。","https://ja.wikipedia.org/wiki/矢木沢ダム","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯36度54分41秒東経139度03分23秒","北緯36度54分41秒東経139度03分23秒﻿ / ﻿北緯36.91139度 東経139.05639度﻿ /36.91139; 139.05639","利根川水系利根川","アーチ式コンクリートダム","131.0m","352.0 m","510,000m³","570.0ha","204,300,000 m³","175,800,000 m³","洪水調節・不特定利水かんがい・上水道・発電","水資源機構","1959年/1967年","奥利根湖【ダム湖百選】","167.4km²","熊谷組","矢木沢発電所 (240,000kW)","東京電力","",""
"黒部ダム","[中部黒部湖有峰湖高瀬ダム調整湖奥木曽湖高遠湖美和湖恵那峡阿木川湖佐久間湖三河湖] 黒部ダム （くろべダム）は、 富山県 東部の 立山町 を流れる 黒部川 水系の黒部川に建設された 水力発電 専用の ダム である   。 1956年 （ 昭和 31年）着工、 太田垣士郎 指揮の下、171人の 殉職 者を出し7年の歳月をかけて、1961年1月に送電を開始  し、 1963年 （昭和38年）に完成した  。貯水量2億 トン  。","https://ja.wikipedia.org/wiki/黒部ダム","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯36度33分59秒東経137度39分44秒","北緯36度33分59秒東経137度39分44秒﻿ / ﻿北緯36.56639度 東経137.66222度﻿ /36.56639; 137.66222","黒部川水系黒部川","コンバインダム(アーチ式コンクリートダム+重力式コンクリートダム)","186.0m","492.0 m","1,582,000m³","349.0ha","199,285,000 m³","148,843,000 m³","水力発電","関西電力","1956年/1963年","黒部湖（ダム湖百選）","188.5km²","間組・鹿島建設・熊谷組・大成建設・佐藤工業","黒部川第四発電所(335,000kW)","関西電力","富山県中新川郡立山町芦峅寺",""
"永源寺ダム","[近畿永源寺湖虹の湖天若湖知明湖布引貯水池池原貯水池椿山ダム湖] 永源寺ダム （えいげんじダム）は、 滋賀県 東近江市 、 淀川 水系 愛知川 に建設された ダム である。","https://ja.wikipedia.org/wiki/永源寺ダム","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯35度04分33秒東経136度20分07秒","北緯35度04分33秒東経136度20分07秒﻿ / ﻿北緯35.07583度 東経136.33528度﻿ /35.07583; 136.33528","淀川水系愛知川","コンバインダム","73.5m","392 m","408,000m³","98.0ha","22,741,000 m³","21,984,000 m³","かんがい・発電","滋賀県","1952年/1972年","永源寺湖【ダム湖百選】","131.5km²","前田建設工業","永源寺発電所 (5,000kW)","関西電力","","『ダム便覧』永源寺ダム"
"帝釈川ダム","[中国・四国神竜湖八千代湖龍姫湖本庄貯水池弥栄湖小野湖満濃池朝霧湖さめうら湖] 帝釈川ダム （たいしゃくがわダム）は 広島県 庄原市 と 神石郡 神石高原町 との境、 一級河川 ・ 高梁川 （たかはしがわ）水系 帝釈川 に建設された ダム である。","https://ja.wikipedia.org/wiki/帝釈川ダム","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯34度49分40秒東経133度14分05秒","北緯34度49分40秒東経133度14分05秒﻿ / ﻿北緯34.82778度 東経133.23472度﻿ /34.82778; 133.23472","高梁川水系帝釈川","重力式コンクリートダム","62.4m","39.5 m","45,000m³","66.0ha","14,278,000 m³","7,490,000 m³","発電","中国電力","2002年/2006年","神竜湖（ダム湖百選）","120.0km²","鹿島建設・大本組飛島建設・森本組・田原組","新帝釈川発電所(11,000kW)","中国電力","左岸:広島県庄原市東城町三坂右岸:広島県神石郡神石高原町",""
"江川ダム","[九州・沖縄上秋月湖美奈宜湖鷹島海中ダム湖北川ダム湖日向椎葉湖大鶴湖福上湖かんな湖倉敷湖] 江川ダム （えがわダム）は 福岡県 朝倉市 、 一級河川 ・ 筑後川 水系 小石原川（こいしわらがわ）に建設された ダム である。","https://ja.wikipedia.org/wiki/江川ダム","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","北緯33度27分36秒東経130度44分03秒","北緯33度27分36秒東経130度44分03秒﻿ / ﻿北緯33.46000度 東経130.73417度﻿ /33.46000; 130.73417","筑後川水系小石原川","重力式コンクリートダム","79.2m","297.9 m","261,000m³","86.0ha","25,326,000 m³","24,054,000 m³","かんがい・上水道・工業用水","独立行政法人水資源機構","1967年/1972年","上秋月湖（ダム湖百選）","30.0km²","西松建設・大林組","－","－","左岸:福岡県朝倉市上秋月町大字江川字下戸河内右岸:福岡県朝倉市上秋月町大字江川字下戸河内",""
"日本の湖沼一覧","[関連項目湖沼一覧人造湖ダム国土交通省直轄ダム農水省直轄ダム都道府県営ダム電力会社管理ダム民間企業所有ダム水源地環境センターため池百選] 日本の湖沼一覧 （にほんのこしょういちらん）は、 日本 国内の天然水面からなる 湖沼 の一覧である。湖沼の名称や呼称は地域性や歴史的経緯により異なっており、「 -湖 」、「 -池 」、「 -沼 」、「 -潟 」、「 -浦 」、「 -淵 」、「 -海 」、「 -トー 」などがある。","https://ja.wikipedia.org/wiki/日本の湖沼一覧","ダム湖百選","https://ja.wikipedia.org/wiki/ダム湖百選","表形式","","","","","","","","","","","","","","","","","","","",""
