"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","位置","所在地","標高","山系","種類","最新噴火","最高峰","延長","幅","上位山系","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"蔵王連峰","[64くまのだけ熊野岳山形県1,841地理院地図Googleマップ北緯38度08分37秒東経140度26分22秒﻿ / ﻿北緯38.143660度 東経140.439390度﻿ /38.143660; 140.439390﻿ (熊野岳)日本百名山（蔵王連峰全体を指す）新日本百名山蔵王山] 蔵王連峰 （ざおうれんぽう）は、 東北地方 の中央を南北に連なる 奥羽山脈 の中にあって、 宮城県 と 山形県 の両県南部の県境に位置する 連峰     。奥羽山脈において時と場所を移しながら次々と繰り返された火山活動によって形成された複合火山群である  。","https://ja.wikipedia.org/wiki/蔵王連峰","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯38度08分37秒東経140度26分22秒","北緯38度08分37秒東経140度26分22秒﻿ / ﻿北緯38.14361度 東経140.43944度﻿ /38.14361; 140.43944座標:北緯38度08分37秒東経140度26分22秒﻿ / ﻿北緯38.14361度 東経140.43944度﻿ /38.14361; 140.43944（熊野岳）","宮城県・山形県","","","","","熊野岳（1,841m）","","","奥羽山脈","","","","","","","","",""
"青麻山 (存在しないページ)","[65画 像 募 集 中あおそやま青麻山宮城県799.5地理院地図Googleマップ北緯38度05分05秒東経140度36分27秒﻿ / ﻿北緯38.084774度 東経140.607549度﻿ /38.084774; 140.607549﻿ (青麻山)]","https://ja.wikipedia.org/w/index.php?title=青麻山&amp;action=edit&amp;redlink=1","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"葉山 (村山市)","[66はやま葉山山形県1,462.1地理院地図Googleマップ北緯38度31分45秒東経140度12分38秒﻿ / ﻿北緯38.529268度 東経140.210501度﻿ /38.529268; 140.210501﻿ (葉山)] 葉山 （はやま）は、 山形県 村山市 と 寒河江市 の市境上にある標高1,462mの 山 。全国の他の 葉山 と区別するために 村山葉山 と呼ばれることもあるが、地元では単に葉山と呼ばれる。かつては 山岳信仰 の対象となっていた。","https://ja.wikipedia.org/wiki/葉山_(村山市)","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯38度31分45秒東経140度12分38秒","北緯38度31分45秒東経140度12分38秒﻿ / ﻿北緯38.52917度 東経140.21056度﻿ /38.52917; 140.21056","日本山形県村山市・寒河江市","1,461.7m","出羽山地","成層火山(第三紀)","","","","","","","","","","","","","",""
"月山","[67がっさん月山山形県1,984地理院地図Googleマップ北緯38度32分58秒東経140度01分37秒﻿ / ﻿北緯38.549461度 東経140.027015度﻿ /38.549461; 140.027015﻿ (月山)日本百名山新日本百名山花の百名山新・花の百名山] 月山 （がっさん）は、 山形県 の中央部にあり、 出羽丘陵 の南部に位置する 標高 1,984mの 火山 。山域は 磐梯朝日国立公園 の特別区域に指定され、 日本百名山  、 新日本百名山  、 花の百名山  及び 新・花の百名山  に選定されている。また、山麓は 月山山麓湧水群 として 名水百選  、 月山行人清水の森 として 水源の森百選 にも選定されている。","https://ja.wikipedia.org/wiki/月山","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯38度32分56秒東経140度01分37秒","北緯38度32分56秒東経140度01分37秒﻿ / ﻿北緯38.54889度 東経140.02694度﻿ /38.54889; 140.02694﻿ (月山)座標:北緯38度32分56秒東経140度01分37秒﻿ / ﻿北緯38.54889度 東経140.02694度﻿ /38.54889; 140.02694﻿ (月山)","日本山形県鶴岡市・東田川郡庄内町・最上郡大蔵村・西村山郡西川町","1,984m","出羽山地","成層火山","","","","","","","","","","","","","",""
"摩耶山 (山形県)","[68まやさん摩耶山山形県1,019.9地理院地図Googleマップ北緯38度31分13秒東経139度43分40秒﻿ / ﻿北緯38.520198度 東経139.727835度﻿ /38.520198; 139.727835﻿ (摩耶山)日本三百名山] 摩耶山 （まやさん）は、 山形県 鶴岡市 にある標高1,020mの山。摩耶山は、 新潟県 との県境近くにあり、1,000m程度の標高ながら、極めて峻険な山である。 日本三百名山 の一つである。","https://ja.wikipedia.org/wiki/摩耶山_(山形県)","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯38度31分12秒東経139度43分40秒","北緯38度31分12秒東経139度43分40秒﻿ / ﻿北緯38.52000度 東経139.72778度﻿ /38.52000; 139.72778座標:北緯38度31分12秒東経139度43分40秒﻿ / ﻿北緯38.52000度 東経139.72778度﻿ /38.52000; 139.72778","山形県鶴岡市","1,020m","朝日山地","","","","","","","","","","","","","","",""
"岩岳 (宮城県) (存在しないページ)","[69画 像 募 集 中いわだけ岩岳宮城県430地理院地図Googleマップ北緯37度51分21秒東経140度45分53秒﻿ / ﻿北緯37.855833度 東経140.764722度﻿ /37.855833; 140.764722﻿ (岩岳)]","https://ja.wikipedia.org/w/index.php?title=岩岳_(宮城県)&amp;action=edit&amp;redlink=1","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"霊山 (福島県)","[70りょうぜん霊山福島県825地理院地図Googleマップ北緯37度46分02秒東経140度41分27秒﻿ / ﻿北緯37.767167度 東経140.690839度﻿ /37.767167; 140.690839﻿ (霊山)新日本百名山] 霊山 （りょうぜん）は、 福島県 伊達市 と 相馬市 との境にそびえる標高825メートルの山  。国の 名勝 、 日本百景 、 県立自然公園 および うつくしま百名山 に指定されている。また、 南北朝時代 の重要な 城跡 遺構として国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/霊山_(福島県)","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯37度46分08秒東経140度41分15秒","北緯37度46分08秒東経140度41分15秒﻿ / ﻿北緯37.76889度 東経140.68750度﻿ /37.76889; 140.68750座標:北緯37度46分08秒東経140度41分15秒﻿ / ﻿北緯37.76889度 東経140.68750度﻿ /37.76889; 140.68750","日本福島県伊達市・相馬市","825m","阿武隈高地","","","","","","","","","","","","","","",""
"以東岳","[71いとうだけ以東岳山形県新潟県1,772.0地理院地図Googleマップ北緯38度20分35秒東経139度50分57秒﻿ / ﻿北緯38.342958度 東経139.849045度﻿ /38.342958; 139.849045﻿ (以東岳)日本二百名山越後百山朝日連峰大鳥池] 以東岳 （いとうだけ）は、 山形県 鶴岡市 と 新潟県 村上市 との境にある 標高 1,771.4mの山である。 日本二百名山 の一つ。","https://ja.wikipedia.org/wiki/以東岳","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯38度20分34秒東経139度50分56秒","北緯38度20分34秒東経139度50分56秒﻿ / ﻿北緯38.34278度 東経139.84889度﻿ /38.34278; 139.84889座標:北緯38度20分34秒東経139度50分56秒﻿ / ﻿北緯38.34278度 東経139.84889度﻿ /38.34278; 139.84889","日本山形県鶴岡市新潟県村上市","1,771.4m","朝日山地","","","","","","","","","","","","","","",""
"大朝日岳","[72おおあさひだけ大朝日岳山形県1,870.8地理院地図Googleマップ北緯38度15分38秒東経139度55分20秒﻿ / ﻿北緯38.260537度 東経139.922303度﻿ /38.260537; 139.922303﻿ (大朝日岳)日本百名山（朝日連峰全体を指す）新日本百名山越後百山朝日連峰主峰] 朝日岳 （あさひだけ）は、 山形県 と 新潟県 の県境上、 朝日山地 の南部にある山塊である。主峰の大朝日岳（標高1,870m）は県境ではなく 山形県 に属する。その他北東に小朝日岳（標高1,648m）、北西の県境上に西朝日岳（標高1,814m）がある。","https://ja.wikipedia.org/wiki/大朝日岳","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯38度15分38秒東経139度55分20秒","北緯38度15分38秒東経139度55分20秒﻿ / ﻿北緯38.26056度 東経139.92222度﻿ /38.26056; 139.92222","日本山形県小国町・朝日町・大江町・西川町・新潟県村上市","1,870.3m","朝日連峰","","","","","","","","","","","","","","",""
"祝瓶山","[73いわいがめやま祝瓶山山形県1,417.4地理院地図Googleマップ北緯38度11分51秒東経139度52分47秒﻿ / ﻿北緯38.197614度 東経139.879592度﻿ /38.197614; 139.879592﻿ (祝瓶山)日本三百名山朝日連峰] 祝瓶山 （いわいがめやま）は 山形県 西部に位置する 標高 1,417mの 山 である。山体は山形県 長井市 と 小国町 にまたがっており、 日本三百名山 の一つにも選ばれている。","https://ja.wikipedia.org/wiki/祝瓶山","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯38度11分51秒東経139度52分47秒","北緯38度11分51秒東経139度52分47秒﻿ / ﻿北緯38.19750度 東経139.87972度﻿ /38.19750; 139.87972座標:北緯38度11分51秒東経139度52分47秒﻿ / ﻿北緯38.19750度 東経139.87972度﻿ /38.19750; 139.87972","日本山形県長井市・西置賜郡小国町","1,417.0m","朝日連峰","火成岩（花崗岩）","","","","","","","","","","","","","",""
"白鷹山","[74しらたかやま白鷹山山形県994地理院地図Googleマップ北緯38度13分22秒東経140度10分23秒﻿ / ﻿北緯38.222656度 東経140.173161度﻿ /38.222656; 140.173161﻿ (白鷹山)虚空蔵山] 白鷹山 （しらたかやま）は 山形県 西置賜郡 白鷹町 、 東村山郡 山辺町 、 南陽市 の市町境上にある 火山 。100 - 80万年前に活動。標高994m。","https://ja.wikipedia.org/wiki/白鷹山","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯38度13分22秒東経140度10分23秒","北緯38度13分22秒東経140度10分23秒﻿ / ﻿北緯38.22278度 東経140.17306度﻿ /38.22278; 140.17306","日本山形県白鷹町・山辺町・南陽市","994m","白鷹丘陵","成層火山、溶岩ドーム","","","","","","","","","","","","","",""
"北股岳 (存在しないページ)","[75きたまただけ北股岳山形県新潟県2,024.9地理院地図Googleマップ北緯37度52分48秒東経139度38分19秒﻿ / ﻿北緯37.879957度 東経139.638562度﻿ /37.879957; 139.638562﻿ (北股岳)越後百山飯豊連峰]","https://ja.wikipedia.org/w/index.php?title=北股岳&amp;action=edit&amp;redlink=1","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"飯豊山","[76いいでほんさん飯豊本山福島県2,105.2地理院地図Googleマップ北緯37度51分17秒東経139度42分26秒﻿ / ﻿北緯37.854834度 東経139.707095度﻿ /37.854834; 139.707095﻿ (飯豊本山)日本百名山（飯豊連峰全体を指す）越後百山飯豊連峰] 飯豊山 （いいでさん）は、 飯豊山地  の 標高 2,105.1 m の 山 である。主峰は、通称 飯豊本山 とも呼ばれることもあるが、国土地理院地図における表示は飯豊山のみである。","https://ja.wikipedia.org/wiki/飯豊山","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯37度51分17秒東経139度42分26秒","北緯37度51分17秒東経139度42分26秒﻿ / ﻿北緯37.85472度 東経139.70722度﻿ /37.85472; 139.70722座標:北緯37度51分17秒東経139度42分26秒﻿ / ﻿北緯37.85472度 東経139.70722度﻿ /37.85472; 139.70722","日本山形県西置賜郡小国町新潟県東蒲原郡阿賀町福島県喜多方市","2,105.1m","飯豊山地","","","","","","","","","","","","","","",""
"西吾妻山","[77にしあづまやま西吾妻山福島県山形県2,035地理院地図Googleマップ北緯37度44分17秒東経140度08分27秒﻿ / ﻿北緯37.738128度 東経140.140761度﻿ /37.738128; 140.140761﻿ (西吾妻山)日本百名山（吾妻連峰全体を指す）吾妻連峰] 西吾妻山 （にしあづまやま）は 山形県 米沢市 と 福島県 耶麻郡 北塩原村 の境界に位置する 火山 。 磐梯朝日国立公園 に属する。","https://ja.wikipedia.org/wiki/西吾妻山","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯37度44分17秒東経140度08分27秒","北緯37度44分17秒東経140度08分27秒﻿ / ﻿北緯37.73806度 東経140.14083度﻿ /37.73806; 140.14083座標:北緯37度44分17秒東経140度08分27秒﻿ / ﻿北緯37.73806度 東経140.14083度﻿ /37.73806; 140.14083","日本山形県米沢市・福島県耶麻郡北塩原村","2,035m","吾妻連峰・吾妻火山群","成層火山","","","","","","","","","","","","","",""
"一切経山","[78いっさいきょうざん一切経山福島県1,949.4地理院地図Googleマップ北緯37度44分07秒東経140度14分40秒﻿ / ﻿北緯37.735367度 東経140.244323度﻿ /37.735367; 140.244323﻿ (一切経山)日本三百名山新日本百名山吾妻連峰] 一切経山 （いっさいきょうざん）は、 福島県 福島市 と 猪苗代町 との境にある山である。 吾妻連峰 を構成する山の一つ。今も 火山 活動を続けている 活火山 であり、山頂は岩礫で覆われている。 標高 は1,948.8 メートル 。","https://ja.wikipedia.org/wiki/一切経山","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯37度44分07秒東経140度14分40秒","北緯37度44分07秒東経140度14分40秒﻿ / ﻿北緯37.73528度 東経140.24444度﻿ /37.73528; 140.24444座標:北緯37度44分07秒東経140度14分40秒﻿ / ﻿北緯37.73528度 東経140.24444度﻿ /37.73528; 140.24444","日本福島県福島市・耶麻郡猪苗代町","1,948.8m","吾妻連峰","","","","","","","","","","","","","","",""
"栂峰 (存在しないページ)","[79画 像 募 集 中つがみね栂峰山形県1,541.4地理院地図Googleマップ北緯37度49分41秒東経139度56分14秒﻿ / ﻿北緯37.828097度 東経139.937354度﻿ /37.828097; 139.937354﻿ (栂峰)]","https://ja.wikipedia.org/w/index.php?title=栂峰&amp;action=edit&amp;redlink=1","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"安達太良山","[80あだたらやま安達太良山福島県1,699.9地理院地図Googleマップ北緯37度37分16秒東経140度17分16秒﻿ / ﻿北緯37.621125度 東経140.287871度﻿ /37.621125; 140.287871﻿ (安達太良山)日本百名山新日本百名山花の百名山智恵子抄] 安達太良山 （あだたらやま）は 福島県 中部にある 活火山 である。 日本百名山 、 新日本百名山 、 花の百名山 および うつくしま百名山 に選定されている。山頂には二等三角点「大関平」1699.6m が設置されている。別名は、岳山（だけやま）、安達太郎山。","https://ja.wikipedia.org/wiki/安達太良山","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯37度38分50秒東経140度16分51秒","北緯37度38分50秒東経140度16分51秒﻿ / ﻿北緯37.64722度 東経140.28083度﻿ /37.64722; 140.28083座標:北緯37度38分50秒東経140度16分51秒﻿ / ﻿北緯37.64722度 東経140.28083度﻿ /37.64722; 140.28083","日本福島県福島市・二本松市・郡山市安達郡大玉村・耶麻郡猪苗代町","最高峰箕輪山 1,728m","奥羽山脈南部","成層火山(活火山ランクB)","1900年","","","","","","","","","","","","",""
"磐梯山","[81ばんだいさん磐梯山福島県1,818.6地理院地図Googleマップ北緯37度36分03秒東経140度04分20秒﻿ / ﻿北緯37.600961度 東経140.072244度﻿ /37.600961; 140.072244﻿ (磐梯山)日本百名山新日本百名山会津富士] 磐梯山 （ばんだいさん）は 福島県 耶麻郡 猪苗代町 、 磐梯町 、 北塩原村 にまたがる 山 である。会津盆地側からは、綺麗な三角の頂が見えることから 会津富士 （あいづふじ）、あるいは民謡にあるように 会津磐梯山 （あいづばんだいさん）とも呼ばれている。 日本百名山 に選定されており、福島県のシンボルの一つとされている  。","https://ja.wikipedia.org/wiki/磐梯山","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯37度36分04秒東経140度04分20秒","北緯37度36分04秒東経140度04分20秒﻿ / ﻿北緯37.60111度 東経140.07222度﻿ /37.60111; 140.07222座標:北緯37度36分04秒東経140度04分20秒﻿ / ﻿北緯37.60111度 東経140.07222度﻿ /37.60111; 140.07222","日本福島県猪苗代町・磐梯町・北塩原村","1,816.29m","独立峰","成層火山（活火山ランクB）","","","","","","","","","","","","","",""
"額取山","[82ひたいとりやま額取山福島県1,008.7地理院地図Googleマップ北緯37度27分01秒東経140度13分13秒﻿ / ﻿北緯37.450258度 東経140.220396度﻿ /37.450258; 140.220396﻿ (額取山)] 額取山 （ひたいとりやま）は、 郡山盆地 と 猪苗代湖 の間の 標高 1,000m前後の山々が連なる 尾根 の北端に位置する 山 である。標高は1,008.7m。","https://ja.wikipedia.org/wiki/額取山","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯37度27分00.9秒東経140度13分13.3秒","北緯37度27分00.9秒東経140度13分13.3秒﻿ / ﻿北緯37.450250度 東経140.220361度﻿ /37.450250; 140.220361座標:北緯37度27分00.9秒東経140度13分13.3秒﻿ / ﻿北緯37.450250度 東経140.220361度﻿ /37.450250; 140.220361","日本福島県郡山市","1,008.7m","奥羽山脈","","","","","","","","","","","","","","",""
"二岐山","[83ふたまたやま二岐山福島県1,544.4地理院地図Googleマップ北緯37度14分47秒東経139度58分02秒﻿ / ﻿北緯37.246395度 東経139.967350度﻿ /37.246395; 139.967350﻿ (二岐山)日本三百名山] 二岐山 （ふたまたやま）は、 奥羽山脈 の南部に位置し、 福島県 岩瀬郡 天栄村 と 南会津郡 下郷町 とにまたがる 第四紀 火山である。 標高 1,544.3m。二等 三角点 「二岐山」設置。大川羽鳥県立自然公園に指定されている。","https://ja.wikipedia.org/wiki/二岐山","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯37度14分47.0秒東経139度58分02.5秒","北緯37度14分47.0秒東経139度58分02.5秒﻿ / ﻿北緯37.246389度 東経139.967361度﻿ /37.246389; 139.967361座標:北緯37度14分47.0秒東経139度58分02.5秒﻿ / ﻿北緯37.246389度 東経139.967361度﻿ /37.246389; 139.967361","日本福島県岩瀬郡天栄村・南会津郡下郷町","1,544.3m","奥羽山脈","成層火山、溶岩ドーム","","","","","","","","","","","","","",""
"三本槍岳","[84さんぼんやりだけ三本槍岳福島県栃木県1,916.9地理院地図Googleマップ北緯37度09分01秒東経139度57分41秒﻿ / ﻿北緯37.150143度 東経139.961402度﻿ /37.150143; 139.961402﻿ (三本槍岳)日本百名山(那須岳として)] 三本槍岳 （さんぼんやりだけ）は、 福島県 西白河郡 西郷村 と 栃木県 那須塩原市 との境界にある山である。 標高 1,916.9m。 那須岳 の最高峰。一等 三角点 「三倉山（みくらやま）」設置。 日光国立公園 に属する。","https://ja.wikipedia.org/wiki/三本槍岳","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯37度09分00.5秒東経139度57分41.0秒","北緯37度09分00.5秒東経139度57分41.0秒﻿ / ﻿北緯37.150139度 東経139.961389度﻿ /37.150139; 139.961389座標:北緯37度09分00.5秒東経139度57分41.0秒﻿ / ﻿北緯37.150139度 東経139.961389度﻿ /37.150139; 139.961389","日本福島県西白河郡西郷村栃木県那須塩原市","1,916.9m","那須火山群","成層火山","","","","","","","","","","","","","",""
"小野岳","[85おのだけ小野岳福島県1,383.5地理院地図Googleマップ北緯37度19分33秒東経139度53分12秒﻿ / ﻿北緯37.325921度 東経139.886575度﻿ /37.325921; 139.886575﻿ (小野岳)] 小野岳 （おのだけ）は、 福島県 南会津郡 下郷町 北部にある標高1,383mの山   。二等 三角点 「小野岳」設置。大川羽鳥県立自然公園に属する。","https://ja.wikipedia.org/wiki/小野岳","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯37度19分31秒東経139度53分11秒","北緯37度19分31秒東経139度53分11秒﻿ / ﻿北緯37.32528度 東経139.88639度﻿ /37.32528; 139.88639座標:北緯37度19分31秒東経139度53分11秒﻿ / ﻿北緯37.32528度 東経139.88639度﻿ /37.32528; 139.88639","日本福島県南会津郡下郷町","1,383m","","","","","","","","","","","","","","","",""
"博士山","[86はかせやま博士山福島県1,482.0地理院地図Googleマップ北緯37度21分47秒東経139度42分53秒﻿ / ﻿北緯37.363167度 東経139.714738度﻿ /37.363167; 139.714738﻿ (博士山)] 博士山 （はかせやま）は、 福島県 会津地方 のほぼ中央にあり、 柳津町 、 会津美里町 、 昭和村 の境界をなしている山。標高は1,482.0mで、一等 三角点 「博士山」設置。","https://ja.wikipedia.org/wiki/博士山","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯37度21分47.4秒東経139度42分53.1秒","北緯37度21分47.4秒東経139度42分53.1秒﻿ / ﻿北緯37.363167度 東経139.714750度﻿ /37.363167; 139.714750座標:北緯37度21分47.4秒東経139度42分53.1秒﻿ / ﻿北緯37.363167度 東経139.714750度﻿ /37.363167; 139.714750","日本福島県河沼郡柳津町・大沼郡会津美里町・昭和村","1,482.0m","","","","","","","","","","","","","","","",""
"志津倉山 (存在しないページ)","[87画 像 募 集 中しづくらやま志津倉山福島県1,234地理院地図Googleマップ北緯37度22分09秒東経139度38分25秒﻿ / ﻿北緯37.369089度 東経139.640331度﻿ /37.369089; 139.640331﻿ (志津倉山)]","https://ja.wikipedia.org/w/index.php?title=志津倉山&amp;action=edit&amp;redlink=1","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"七ヶ岳","[88ななつがたけ七ヶ岳福島県1,635.9地理院地図Googleマップ北緯37度07分27秒東経139度39分27秒﻿ / ﻿北緯37.124280度 東経139.657471度﻿ /37.124280; 139.657471﻿ (七ヶ岳)日本三百名山] 七ヶ岳 （ななつがたけ、ななつがだけ）は、 福島県 南会津郡 南会津町 中央部にある 標高 1,635.8mの 山 。一等 三角点 「七ツケ岳」設置。","https://ja.wikipedia.org/wiki/七ヶ岳","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯37度07分27.4秒東経139度39分26.9秒","北緯37度07分27.4秒東経139度39分26.9秒﻿ / ﻿北緯37.124278度 東経139.657472度﻿ /37.124278; 139.657472座標:北緯37度07分27.4秒東経139度39分26.9秒﻿ / ﻿北緯37.124278度 東経139.657472度﻿ /37.124278; 139.657472","日本福島県南会津郡南会津町","1,635.8m","","","","","","","","","","","","","","","",""
"荒海山","[89あらかいさん荒海山福島県栃木県1,580.6地理院地図Googleマップ北緯37度02分11秒東経139度38分41秒﻿ / ﻿北緯37.036393度 東経139.644680度﻿ /37.036393; 139.644680﻿ (荒海山)日本三百名山太郎岳] 荒海山 （あらかいさん、あらかいざん、あらかいやま）は、 福島県 南会津郡 南会津町 と 栃木県 日光市 の境界に位置する 標高 1,581 mの山である。二等 三角点 「太郎岳」（標高1,580.4 m）は山頂の東北東約90 mに位置するピーク東峰にある。福島県側では荒海山、栃木県側では 太郎岳 （たろうだけ）と呼ばれる。江戸時代の文献『 新編会津風土記 』では 荒貝嶽 （あらかいがだけ）と表記されている。","https://ja.wikipedia.org/wiki/荒海山","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯37度02分10秒東経139度38分37秒","北緯37度02分10秒東経139度38分37秒﻿ / ﻿北緯37.03611度 東経139.64361度﻿ /37.03611; 139.64361座標:北緯37度02分10秒東経139度38分37秒﻿ / ﻿北緯37.03611度 東経139.64361度﻿ /37.03611; 139.64361","日本福島県南会津郡南会津町栃木県日光市","1,581m","帝釈山地","","","","","","","","","","","","","","",""
"田代山 (帝釈山脈)","[90たしろやま・たいしゃくやま田代山・帝釈山福島県栃木県1,971m ・2,059.9地理院地図Googleマップ北緯36度58分11秒東経139度27分36秒﻿ / ﻿北緯36.969811度 東経139.459985度﻿ /36.969811; 139.459985﻿ (田代山・帝釈山)日本二百名山(帝釈山)花の百名山] 田代山 （たしろやま）は、 帝釈山脈 にある 標高 1,971mの 山 である。山頂は 福島県 南会津郡 南会津町 に位置するが、山体は南会津町と 栃木県 日光市 にまたがる。 尾瀬国立公園 の一部をなす。","https://ja.wikipedia.org/wiki/田代山_(帝釈山脈)","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯36度58分27.8秒東経139度28分42.6秒","北緯36度58分27.8秒東経139度28分42.6秒﻿ / ﻿北緯36.974389度 東経139.478500度﻿ /36.974389; 139.478500座標:北緯36度58分27.8秒東経139度28分42.6秒﻿ / ﻿北緯36.974389度 東経139.478500度﻿ /36.974389; 139.478500","日本福島県南会津郡南会津町","1,971m","帝釈山脈","","","","","","","","","","","","","","",""
"三岩岳 (存在しないページ)","[91みついわだけ三岩岳福島県2,065.2地理院地図Googleマップ北緯37度04分55秒東経139度22分47秒﻿ / ﻿北緯37.081882度 東経139.379592度﻿ /37.081882; 139.379592﻿ (三岩岳)]","https://ja.wikipedia.org/w/index.php?title=三岩岳&amp;action=edit&amp;redlink=1","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"会津駒ヶ岳","[92あいづこまがたけ会津駒ヶ岳福島県2,132.6地理院地図Googleマップ北緯37度02分51秒東経139度21分14秒﻿ / ﻿北緯37.047601度 東経139.353789度﻿ /37.047601; 139.353789﻿ (会津駒ヶ岳)日本百名山新・花の百名山駒ヶ岳] 会津駒ヶ岳 （あいづこまがだけ）は、 福島県 南会津郡 檜枝岐村 にある 標高 2,133mの 山 である。 日本百名山 の一つ。一等 三角点 「岩駒ケ岳」（標高2,132.4m）設置。","https://ja.wikipedia.org/wiki/会津駒ヶ岳","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯37度02分51.4秒東経139度21分13.6秒","北緯37度02分51.4秒東経139度21分13.6秒﻿ / ﻿北緯37.047611度 東経139.353778度﻿ /37.047611; 139.353778座標:北緯37度02分51.4秒東経139度21分13.6秒﻿ / ﻿北緯37.047611度 東経139.353778度﻿ /37.047611; 139.353778","日本福島県南会津郡檜枝岐村","2,133m","越後山脈","","","","","","","","","","","","","","",""
"燧ヶ岳","[93ひうちがたけ燧ヶ岳福島県2,356地理院地図Googleマップ北緯36度57分19秒東経139度17分19秒﻿ / ﻿北緯36.955143度 東経139.288676度﻿ /36.955143; 139.288676﻿ (燧ヶ岳)日本百名山新・花の百名山柴安嵓・爼嵓福島県最高峰東北地方最高峰尾瀬ヶ原] 燧ヶ岳 （ひうちがたけ）は 福島県 にある 火山 。山頂は 南会津郡 檜枝岐村 に属する。 尾瀬国立公園 内にあり、 至仏山 とともに 尾瀬 を代表する山でもある。 東北地方 最高峰（ 標高 2,356 m）であり 日本百名山 に選定されている。","https://ja.wikipedia.org/wiki/燧ヶ岳","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯36度57分18秒東経139度17分07秒","北緯36度57分18秒東経139度17分07秒﻿ / ﻿北緯36.95500度 東経139.28528度﻿ /36.95500; 139.28528座標:北緯36度57分18秒東経139度17分07秒﻿ / ﻿北緯36.95500度 東経139.28528度﻿ /36.95500; 139.28528","福島県南会津郡檜枝岐村","2,356m","独立峰","複成火山","","","","","","","","","","","","","",""
"御神楽岳","[94みかぐらだけ御神楽岳福島県1,386.2地理院地図Googleマップ北緯37度31分19秒東経139度25分33秒﻿ / ﻿北緯37.521879度 東経139.425853度﻿ /37.521879; 139.425853﻿ (御神楽岳)日本二百名山越後百山] 御神楽岳 （みかぐらだけ）は、 新潟県 東蒲原郡 阿賀町 の南東部にある 山 。標高は1,386.5m。","https://ja.wikipedia.org/wiki/御神楽岳","東北百名山","https://ja.wikipedia.org/wiki/東北百名山","表形式","北緯37度31分18.8秒東経139度25分33.1秒","北緯37度31分18.8秒東経139度25分33.1秒﻿ / ﻿北緯37.521889度 東経139.425861度﻿ /37.521889; 139.425861","新潟県東蒲原郡阿賀町","1,386.5m","越後山脈","","","","","","","","","","","","","","",""
