"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","所在地","駅構造","開業年月日","ホーム","駅番号","備考","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","種類","本社所在地","設立","業種","法人番号"
"新川町停留場","新川町停留場（しんかわちょうていりゅうじょう・函館市企業局交通部湯の川線）","https://ja.wikipedia.org/wiki/新川町停留場","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯41度46分24.87秒東経140度44分7.17秒","函館市電湯の川線","5.6 km（湯の川起点）","函館市企業局交通部","北海道函館市千歳町10-5先、新川町1-24先北緯41度46分24.87秒東経140度44分7.17秒﻿ / ﻿北緯41.7735750度 東経140.7353250度﻿ /41.7735750; 140.7353250﻿ (新川町停留場)座標:北緯41度46分24.87秒東経140度44分7.17秒﻿ / ﻿北緯41.7735750度 東経140.7353250度﻿ /41.7735750; 140.7353250﻿ (新川町停留場)","地上駅（停留場）","1913年6月29日","2面2線","DY15","","","","363[1]人/日-2019年-","","","","","","",""
"新川橋駅","新川橋駅（しんかわばしえき）","https://ja.wikipedia.org/wiki/新川橋駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度11分44.3秒東経136度51分7.7秒","名古屋本線","72.8 km（豊橋起点）","名古屋鉄道","愛知県清須市土器野字北中野199-1北緯35度11分44.3秒東経136度51分7.7秒﻿ / ﻿北緯35.195639度 東経136.852139度﻿ /35.195639; 136.852139座標:北緯35度11分44.3秒東経136度51分7.7秒﻿ / ﻿北緯35.195639度 東経136.852139度﻿ /35.195639; 136.852139","地上駅","1914年（大正3年）1月23日","2面2線","NH  41 ","無人駅（駅集中管理システム導入駅）","","","828人/日-2019年[1]-","","","","","","",""
"新川町駅","新川町駅（しんかわまちえき・名鉄三河線）","https://ja.wikipedia.org/wiki/新川町駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯34度53分47秒東経136度59分25秒","三河線","37.1km（猿投起点）知立から15.8 km","名古屋鉄道","愛知県碧南市新川町三丁目113北緯34度53分47秒東経136度59分25秒﻿ / ﻿北緯34.89639度 東経136.99028度﻿ /34.89639; 136.99028座標:北緯34度53分47秒東経136度59分25秒﻿ / ﻿北緯34.89639度 東経136.99028度﻿ /34.89639; 136.99028","地上駅","1914年（大正3年）2月5日","2面2線","MU  09 ","無人駅（駅集中管理システム導入駅）","","","1,301人/日-2019年-","","","","","","",""
"新蒲原駅","新蒲原駅（しんかんばらえき）","https://ja.wikipedia.org/wiki/新蒲原駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度7分10.2秒東経138度36分29秒","CA東海道本線（静岡地区）","152.5 km（東京起点）","東海旅客鉄道（JR東海）","静岡市清水区蒲原942北緯35度7分10.2秒東経138度36分29秒﻿ / ﻿北緯35.119500度 東経138.60806度﻿ /35.119500; 138.60806﻿ (新蒲原駅)","高架駅（盛土上）","1968年（昭和43年）10月1日","2面2線","CA  10 ","業務委託駅（夜間無人駅）JR全線きっぷうりば有","シカ","1,424人/日（降車客含まず）-2019年-","","","","","","","",""
"新木停留場","新木停留場（しんぎていりゅうじょう・とさでん交通後免線）","https://ja.wikipedia.org/wiki/新木停留場","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯33度33分45.01秒東経133度35分12.8秒","後免線","6.6 km（後免町起点）","とさでん交通","高知県高知市高須新木北緯33度33分45.01秒東経133度35分12.8秒﻿ / ﻿北緯33.5625028度 東経133.586889度﻿ /33.5625028; 133.586889﻿ (新木停留場)","地上駅","1910年（明治43年）10月15日","2面2線","","","","","","","","","","","",""
"新木曽川駅","新木曽川駅（しんきそがわえき）","https://ja.wikipedia.org/wiki/新木曽川駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度20分31秒東経136度46分46秒","名古屋本線","91.2 km（豊橋起点）","名古屋鉄道","愛知県一宮市木曽川町黒田三ノ通り203北緯35度20分31秒東経136度46分46秒﻿ / ﻿北緯35.34194度 東経136.77944度﻿ /35.34194; 136.77944座標:北緯35度20分31秒東経136度46分46秒﻿ / ﻿北緯35.34194度 東経136.77944度﻿ /35.34194; 136.77944","地上駅","1935年（昭和10年）4月29日","2面4線","NH  53 ","終日有人駅","","","6,411人/日-2019年[1]-","","","","","","",""
"新木場駅","新木場駅（しんきばえき）","https://ja.wikipedia.org/wiki/新木場駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）東京地下鉄（東京メトロ・駅詳細）東京臨海高速鉄道（TWR・駅詳細）","東京都江東区新木場一丁目","","","","","","","","","","","","","","",""
"鍼灸大学前駅","鍼灸大学前駅（しんきゅうだいがくまええき）","https://ja.wikipedia.org/wiki/鍼灸大学前駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度10分45.2秒東経135度29分23.44秒","E山陰本線","44.3 km（京都起点）","西日本旅客鉄道（JR西日本）","京都府南丹市日吉町保野田岩ヶ下9-6北緯35度10分45.2秒東経135度29分23.44秒﻿ / ﻿北緯35.179222度 東経135.4898444度﻿ /35.179222; 135.4898444座標:北緯35度10分45.2秒東経135度29分23.44秒﻿ / ﻿北緯35.179222度 東経135.4898444度﻿ /35.179222; 135.4898444","地上駅","1996年（平成8年）3月16日[1]","1面1線","","無人駅（自動券売機 有）","シキ","326人/日（降車客含まず）-2016年-","","","","","","","",""
"新清洲駅","新清洲駅（しんきよすえき）","https://ja.wikipedia.org/wiki/新清洲駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度12分40.7秒東経136度50分8秒","名古屋本線","75.2 km（豊橋起点）","名古屋鉄道","愛知県清須市新清洲一丁目1-1北緯35度12分40.7秒東経136度50分8秒﻿ / ﻿北緯35.211306度 東経136.83556度﻿ /35.211306; 136.83556座標:北緯35度12分40.7秒東経136度50分8秒﻿ / ﻿北緯35.211306度 東経136.83556度﻿ /35.211306; 136.83556","地上駅","1928年（昭和3年）2月3日","2面4線","NH  44 ","* 1948年西清洲より改称","","","8,331人/日-2019年[1]-","","","","","","",""
"新桐生駅","新桐生駅（しんきりゅうえき）","https://ja.wikipedia.org/wiki/新桐生駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯36度23分42.37秒東経139度19分12.89秒","■桐生線","14.6 km（太田起点）","東武鉄道","群馬県桐生市広沢町二丁目2990-4北緯36度23分42.37秒東経139度19分12.89秒﻿ / ﻿北緯36.3951028度 東経139.3202472度﻿ /36.3951028; 139.3202472﻿ (新桐生駅)座標:北緯36度23分42.37秒東経139度19分12.89秒﻿ / ﻿北緯36.3951028度 東経139.3202472度﻿ /36.3951028; 139.3202472﻿ (新桐生駅)","地上駅","1913年（大正2年）3月19日","2面3線","TI55","","キフ","","2,132人/日-2019年（令和元年）-","","","","","","",""
"新宮駅","新宮駅（しんぐうえき）","https://ja.wikipedia.org/wiki/新宮駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯33度43分30.76秒東経135度59分38.97秒","W紀勢本線（きのくに線）（JR西日本）■紀勢本線（JR東海）","180.2 km（亀山起点）","西日本旅客鉄道（JR西日本）*東海旅客鉄道（JR東海）","和歌山県新宮市徐福二丁目1-1北緯33度43分30.76秒東経135度59分38.97秒","地上駅","1913年（大正2年）3月1日[1]","2面3線","","直営駅（管理駅）みどりの窓口有","シク","920人/日（降車客含まず）-2019年-","","","","","","","",""
"神宮寺駅","神宮寺駅（じんぐうじえき）","https://ja.wikipedia.org/wiki/神宮寺駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯39度29分41.8秒東経140度25分34.7秒","■奥羽本線","253.0 km（福島起点）","東日本旅客鉄道（JR東日本）","秋田県大仙市神宮寺字本郷野21北緯39度29分41.8秒東経140度25分34.7秒座標:北緯39度29分41.8秒 東経140度25分34.7秒","地上駅","1904年（明治37年）8月21日","1面2線","","簡易委託駅","クウ","184人/日（降車客含まず）-2019年-","","","","","","","",""
"新宮中央駅","新宮中央駅（しんぐうちゅうおうえき）","https://ja.wikipedia.org/wiki/新宮中央駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯33度42分41.8秒東経130度26分57.09秒","JA鹿児島本線","63.4 km（門司港起点）","九州旅客鉄道（JR九州）","福岡県糟屋郡新宮町中央駅前2丁目北緯33度42分41.8秒東経130度26分57.09秒﻿ / ﻿北緯33.711611度 東経130.4491917度﻿ /33.711611; 130.4491917﻿ (新宮中央駅)","地上駅（橋上駅）","2010年（平成22年）3月13日","2面2線","JA  07 ","業務委託駅みどりの窓口有","シチ","5,101人/日（降車客含まず）-2019年-","","","","","","","",""
"神宮西駅","神宮西駅（じんぐうにしえき）","https://ja.wikipedia.org/wiki/神宮西駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度7分40秒東経136度54分24秒","名城線","15.5 km（大曽根起点）","名古屋市交通局（名古屋市営地下鉄）","名古屋市熱田区神宮一丁目1-4北緯35度7分40秒東経136度54分24秒﻿ / ﻿北緯35.12778度 東経136.90667度﻿ /35.12778; 136.90667座標:北緯35度7分40秒東経136度54分24秒﻿ / ﻿北緯35.12778度 東経136.90667度﻿ /35.12778; 136.90667","地下駅","1974年（昭和49年）3月30日","2面2線","M27","","","4,489人/日（降車客含まず）-2019年-","9,016[1]人/日-2019年-","","","","","","",""
"神宮前駅","神宮前駅（じんぐうまええき）","https://ja.wikipedia.org/wiki/神宮前駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度7分32.3秒東経136度54分45.3秒","名古屋本線","62.2 km（豊橋起点）","名古屋鉄道","名古屋市熱田区三本松町18-1北緯35度7分32.3秒東経136度54分45.3秒﻿ / ﻿北緯35.125639度 東経136.912583度﻿ /35.125639; 136.912583座標:北緯35度7分32.3秒東経136度54分45.3秒﻿ / ﻿北緯35.125639度 東経136.912583度﻿ /35.125639; 136.912583","地上駅（橋上駅）","1913年（大正2年）8月31日","島式 2面4線","NH  33 ","終日駅員配置駅","","","33,766人/日-2019年[1]-","","","","","","",""
"神宮丸太町駅","神宮丸太町駅（じんぐうまるたまちえき）","https://ja.wikipedia.org/wiki/神宮丸太町駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度1分3.61秒東経135度46分19.78秒","■鴨東線","1.0 km（三条起点）淀屋橋から50.3 km","京阪電気鉄道","京都市左京区丸太町橋東詰[1]北緯35度1分3.61秒東経135度46分19.78秒﻿ / ﻿北緯35.0176694度 東経135.7721611度﻿ /35.0176694; 135.7721611﻿ (神宮丸太町駅*)座標:北緯35度1分3.61秒東経135度46分19.78秒﻿ / ﻿北緯35.0176694度 東経135.7721611度﻿ /35.0176694; 135.7721611﻿ (神宮丸太町駅*)","地下駅","1989年（平成元年）10月5日","1面2線","KH  41","*2008年に丸太町駅から改称[2]","丸（駅名略称方式）","","8,486人/日-2019年-","","","","","","",""
"新倉敷駅","新倉敷駅（しんくらしきえき）","https://ja.wikipedia.org/wiki/新倉敷駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯34度33分54.00秒東経133度40分43.20秒","■山陽新幹線","205.5km（新大阪起点）東京から758.1 km","西日本旅客鉄道（JR西日本）","岡山県倉敷市玉島爪崎390-4北緯34度33分54.00秒東経133度40分43.20秒﻿ / ﻿北緯34.5650000度 東経133.6786667度﻿ /34.5650000; 133.6786667座標:北緯34度33分54.00秒東経133度40分43.20秒﻿ / ﻿北緯34.5650000度 東経133.6786667度﻿ /34.5650000; 133.6786667","高架駅（新幹線）地上駅（橋上駅）（在来線）","1891年（明治24年）7月14日","2面2線（新幹線）2面3線（在来線）","JR-W07","直営駅（管理駅）みどりの窓口有*1975年に玉島駅から改称。","シク不明（改称前）","7,730人/日（降車客含まず）-2019年-","","","","","","","",""
"新黒部駅","新黒部駅（しんくろべえき）","https://ja.wikipedia.org/wiki/新黒部駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","","","","西日本旅客鉄道（JR西日本・駅詳細）富山地方鉄道（駅詳細）","富山県黒部市若栗","","","","","","","","","","","","","","",""
"新家駅","新家駅（しんげえき）","https://ja.wikipedia.org/wiki/新家駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯34度22分19.21秒東経135度17分54.91秒","R阪和線","38.6 km（天王寺起点）","西日本旅客鉄道（JR西日本）","大阪府泉南市新家2959-3北緯34度22分19.21秒東経135度17分54.91秒﻿ / ﻿北緯34.3720028度 東経135.2985861度﻿ /34.3720028; 135.2985861座標:北緯34度22分19.21秒東経135度17分54.91秒﻿ / ﻿北緯34.3720028度 東経135.2985861度﻿ /34.3720028; 135.2985861","地上駅","1930年（昭和5年）6月16日","2面2線","JR-R47","業務委託駅","シン","2,719人/日（降車客含まず）-2018年-","","","","","","","",""
"新検見川駅","新検見川駅（しんけみがわえき）","https://ja.wikipedia.org/wiki/新検見川駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度39分6.5秒東経140度4分23秒","■総武線（各駅停車）（正式には総武本線）","33.2 km（東京起点）千葉から6.0 km","東日本旅客鉄道（JR東日本）","千葉市花見川区南花園二丁目1-1北緯35度39分6.5秒東経140度4分23秒座標:北緯35度39分6.5秒 東経140度4分23秒","地上駅（橋上駅）","1951年（昭和26年）7月15日[1]","1面2線","JB36","業務委託駅[2]","ケミ","22,703人/日（降車客含まず）-2019年-","","","","","","","",""
"新小岩駅","新小岩駅（しんこいわえき）","https://ja.wikipedia.org/wiki/新小岩駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度43分0.5秒東経139度51分29.8秒","■総武線（快速）","10.0 km（東京起点）","東日本旅客鉄道（JR東日本）","東京都葛飾区新小岩一丁目45-1北緯35度43分0.5秒東経139度51分29.8秒﻿ / ﻿北緯35.716806度 東経139.858278度﻿ /35.716806; 139.858278座標:北緯35度43分0.5秒東経139度51分29.8秒﻿ / ﻿北緯35.716806度 東経139.858278度﻿ /35.716806; 139.858278","高架駅","1928年（昭和3年）7月10日","2面4線","JO23","2路線とも正式名称は総武本線直営駅（管理駅）みどりの窓口有東京都区内駅","シワ","77,006人/日（降車客含まず）-2019年-","","","","","","","",""
"新小岩信号場駅","新小岩信号場駅（しんこいわしんごうじょうえき）","https://ja.wikipedia.org/wiki/新小岩信号場駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度43分13.3秒東経139度51分47.2秒","総武本線（総武快速線）","10.5 km（東京起点）","日本貨物鉄道（JR貨物）","東京都葛飾区東新小岩一丁目18北緯35度43分13.3秒東経139度51分47.2秒﻿ / ﻿北緯35.720361度 東経139.863111度﻿ /35.720361; 139.863111座標:北緯35度43分13.3秒東経139度51分47.2秒﻿ / ﻿北緯35.720361度 東経139.863111度﻿ /35.720361; 139.863111","地上駅","1968年（昭和43年）6月1日","","","","シソ","","","","","","","","",""
"新郷駅 (埼玉県)","新郷駅 (埼玉県)（しんごうえき・秩父鉄道秩父本線）","https://ja.wikipedia.org/wiki/新郷駅_(埼玉県)","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯36度10分16.49秒東経139度30分37.89秒","■秩父本線","2.6 km（羽生起点）","秩父鉄道","埼玉県羽生市大字上新郷1950-1北緯36度10分16.49秒東経139度30分37.89秒﻿ / ﻿北緯36.1712472度 東経139.5105250度﻿ /36.1712472; 139.5105250座標:北緯36度10分16.49秒東経139度30分37.89秒﻿ / ﻿北緯36.1712472度 東経139.5105250度﻿ /36.1712472; 139.5105250","地上駅","1921年（大正10年）4月1日[1]","1面2線","","","シゴ","143人/日（降車客含まず）-2019年-","304人/日-2019年-","","","","","","",""
"新高円寺駅","新高円寺駅（しんこうえんじえき）","https://ja.wikipedia.org/wiki/新高円寺駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度41分52秒東経139度38分53秒","●[1]丸ノ内線","21.5 km（池袋起点）","東京地下鉄（東京メトロ）","東京都杉並区高円寺南二丁目20-1北緯35度41分52秒東経139度38分53秒﻿ / ﻿北緯35.69778度 東経139.64806度﻿ /35.69778; 139.64806﻿ (新高円寺駅)座標:北緯35度41分52秒東経139度38分53秒﻿ / ﻿北緯35.69778度 東経139.64806度﻿ /35.69778; 139.64806﻿ (新高円寺駅)","地下駅","1961年（昭和36年）11月1日","2面2線","M03[1]","業務委託駅（メトロコマース）","コエ","","38,044人/日-2019年-","","","","","","",""
"新庚申塚停留場","新庚申塚停留場（しんこうしんづかていりゅうじょう）","https://ja.wikipedia.org/wiki/新庚申塚停留場","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度44分28.8秒東経139度43分49.6秒","都電荒川線（東京さくらトラム）","7.6 km（三ノ輪橋起点）","東京都交通局","東京都豊島区西巣鴨三丁目北緯35度44分28.8秒東経139度43分49.6秒﻿ / ﻿北緯35.741333度 東経139.730444度﻿ /35.741333; 139.730444座標:北緯35度44分28.8秒東経139度43分49.6秒﻿ / ﻿北緯35.741333度 東経139.730444度﻿ /35.741333; 139.730444","地上駅","1929年（昭和4年）4月19日","2面2線","SA20","","","","2,649[1]人/日-2019年-","西巣鴨駅（都営地下鉄三田線）","","","","","",""
"新神戸駅","新神戸駅（しんこうべえき）","https://ja.wikipedia.org/wiki/新神戸駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","","","","西日本旅客鉄道（JR西日本・駅詳細）[1]神戸市交通局（駅詳細）","神戸市中央区加納町一丁目[1][2]","","","","","","","","","","","","","","",""
"新古河駅","新古河駅（しんこがえき）","https://ja.wikipedia.org/wiki/新古河駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯36度11分33.6秒東経139度41分12.8秒","■日光線","20.6 km（東武動物公園起点）","東武鉄道","埼玉県加須市向古河732北緯36度11分33.6秒東経139度41分12.8秒﻿ / ﻿北緯36.192667度 東経139.686889度﻿ /36.192667; 139.686889﻿ (新古河駅)座標:北緯36度11分33.6秒東経139度41分12.8秒﻿ / ﻿北緯36.192667度 東経139.686889度﻿ /36.192667; 139.686889﻿ (新古河駅)","地上駅（橋上駅舎）","1929年（昭和4年）4月1日*","2面2線","TN05","*1935年7月21日現在地に移転","シコ","","1,631人/日-2019年-","","","","","","",""
"新小金井駅","新小金井駅（しんこがねいえき）","https://ja.wikipedia.org/wiki/新小金井駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度41分45.1秒東経139度31分35.5秒","■多摩川線","1.9 km（武蔵境起点）","西武鉄道","東京都小金井市東町四丁目24-1北緯35度41分45.1秒東経139度31分35.5秒﻿ / ﻿北緯35.695861度 東経139.526528度﻿ /35.695861; 139.526528座標:北緯35度41分45.1秒東経139度31分35.5秒﻿ / ﻿北緯35.695861度 東経139.526528度﻿ /35.695861; 139.526528","地上駅","1917年（大正6年）10月22日","2面2線","SW02","","","","4,041人/日-2019年-","","","","","","",""
"新越谷駅","新越谷駅（しんこしがやえき）","https://ja.wikipedia.org/wiki/新越谷駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度52分30.67秒東経139度47分23.66秒","■伊勢崎線（東武スカイツリーライン）","22.9 km（浅草起点）","東武鉄道","埼玉県越谷市南越谷一丁目11-4北緯35度52分30.67秒東経139度47分23.66秒﻿ / ﻿北緯35.8751861度 東経139.7899056度﻿ /35.8751861; 139.7899056﻿ (新越谷駅)座標:北緯35度52分30.67秒東経139度47分23.66秒﻿ / ﻿北緯35.8751861度 東経139.7899056度﻿ /35.8751861; 139.7899056﻿ (新越谷駅)","高架駅","1974年（昭和49年）7月23日","2面4線","TS20","業務委託駅","シコヤ","","151,316人/日-2019年-","南越谷駅（■JR武蔵野線）","","","","","",""
"新小平駅","新小平駅（しんこだいらえき）","https://ja.wikipedia.org/wiki/新小平駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度43分50.9秒東経139度28分13.8秒","■武蔵野線","36.2km（鶴見起点）府中本町から7.4 km","東日本旅客鉄道（JR東日本）","東京都小平市小川町二丁目1960北緯35度43分50.9秒東経139度28分13.8秒座標:北緯35度43分50.9秒 東経139度28分13.8秒","地上駅（半地下構造）","1973年（昭和48年）4月1日","2面2線","JM32","業務委託駅","シイ","11,448人/日（降車客含まず）-2019年-","","","","","","","",""
"新琴似駅","新琴似駅（しんことにえき）","https://ja.wikipedia.org/wiki/新琴似駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯43度6分47.1秒東経141度20分6.9秒","■札沼線（学園都市線）","5.6 km（桑園起点）","北海道旅客鉄道（JR北海道）","札幌市北区新琴似8条1丁目4番1号北緯43度6分47.1秒東経141度20分6.9秒","高架駅","1934年（昭和9年）11月20日","2面2線","○G05","札幌市内駅業務委託駅みどりの窓口有話せる券売機設置駅[1]","コニ","4,079人/日（降車客含まず）-2019年-","","麻生駅（札幌市営地下鉄南北線）","","","","","",""
"新子安駅","新子安駅（しんこやすえき）","https://ja.wikipedia.org/wiki/新子安駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯35度29分13.5秒東経139度39分17.2秒","■京浜東北線（正式には東海道本線）","24.8km（東京起点）大宮から55.1 km","東日本旅客鉄道（JR東日本）","横浜市神奈川区子安通2丁目259北緯35度29分13.5秒東経139度39分17.2秒﻿ / ﻿北緯35.487083度 東経139.654778度﻿ /35.487083; 139.654778座標:北緯35度29分13.5秒東経139度39分17.2秒﻿ / ﻿北緯35.487083度 東経139.654778度﻿ /35.487083; 139.654778","地上駅","1943年（昭和18年）11月1日","1面2線","JK14","業務委託駅横浜市内駅","シヤ","23,894人/日（降車客含まず）-2019年-","","","","","","","",""
"新木屋瀬駅","新木屋瀬駅（しんこやのせえき）","https://ja.wikipedia.org/wiki/新木屋瀬駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯33度47分1.62秒東経130度43分28.34秒","筑豊電気鉄道線","12.1 km（黒崎駅前起点）","筑豊電気鉄道","北九州市八幡西区木屋瀬一丁目466-3北緯33度47分1.62秒東経130度43分28.34秒","地上駅","2004年（平成16年）4月28日","2面2線","CK 17","無人駅","","","219人/日-2019年-","","","","","","",""
"しんざ駅","しんざ駅","https://ja.wikipedia.org/wiki/しんざ駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯37度8分22.7秒東経138度46分7.85秒","■ほくほく線","14.4 km（六日町起点）","北越急行","新潟県十日町市新座甲288-4北緯37度8分22.7秒東経138度46分7.85秒﻿ / ﻿北緯37.139639度 東経138.7688472度﻿ /37.139639; 138.7688472﻿ (しんざ駅)座標:北緯37度8分22.7秒東経138度46分7.85秒﻿ / ﻿北緯37.139639度 東経138.7688472度﻿ /37.139639; 138.7688472﻿ (しんざ駅)","地上駅","1997年（平成9年）3月22日","1面1線","","","シサ","","170人/日-2018年-","","","","","","",""
"新在家駅","新在家駅（しんざいけえき）","https://ja.wikipedia.org/wiki/新在家駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯34度42分38.38秒東経135度14分26.46秒","本線","27.5 km（大阪梅田起点）","阪神電気鉄道","神戸市灘区新在家北町一丁目4番1号北緯34度42分38.38秒東経135度14分26.46秒﻿ / ﻿北緯34.7106611度 東経135.2406833度﻿ /34.7106611; 135.2406833﻿ (新在家駅*)座標:北緯34度42分38.38秒東経135度14分26.46秒﻿ / ﻿北緯34.7106611度 東経135.2406833度﻿ /34.7106611; 135.2406833﻿ (新在家駅*)","高架駅[1]","1905年（明治38年）4月12日[1]","2面2線[1]","HS27","*1930年に東明駅から改称[1]","","5,705人/日（降車客含まず）-2019年-","","","","","","","",""
"新西大寺町筋停留場","新西大寺町筋停留場（しんさいだいじちょうすじていりゅうじょう）","https://ja.wikipedia.org/wiki/新西大寺町筋停留場","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯34度39分31.15秒東経133度55分35.03秒","■清輝橋線","0.8km（柳川起点）岡山駅前から1.3 km","岡山電気軌道","岡山市北区田町二丁目・表町三丁目北緯34度39分31.15秒東経133度55分35.03秒﻿ / ﻿北緯34.6586528度 東経133.9263972度﻿ /34.6586528; 133.9263972﻿ (新西大寺町筋停留場)","地上駅","1928年（昭和3年）3月18日","1面2線","○S06","","","","","","","","","","",""
"心斎橋駅","心斎橋駅（しんさいばしえき）","https://ja.wikipedia.org/wiki/心斎橋駅","日本の鉄道駅一覧_しや-しん","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_しや-しん","箇条書き,制限あり","北緯34度40分30.04秒東経135度30分1.18秒","●御堂筋線","9.6 km（江坂起点）千里中央から15.5 km","大阪市高速電気軌道(Osaka Metro)","大阪市中央区心斎橋筋一丁目8-16北緯34度40分30.04秒東経135度30分1.18秒﻿ / ﻿北緯34.6750111度 東経135.5003278度﻿ /34.6750111; 135.5003278﻿ (心斎橋駅)","地下駅","1933年（昭和8年）5月20日","各1面2線"," M19 ","*四ツ橋駅の乗降人員も含む。キロ程・駅間距離は営業キロ。","","67,203*人/日（降車客含まず）-2020年-","138,901*人/日-2020年-","四ツ橋駅-四つ橋線 Y14 （同一駅扱い）","","","","","",""
