"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","法人番号","文化財","宗派","創建年","本尊","山号","面積","開基","札所等","正式名","寺格","分類","別称","運営者","公式サイト","開山","公式HP"
"酬恩庵","[酬恩庵庭園（京田辺市） - 俗に一休寺とも] 酬恩庵 （しゅうおんあん）は、 京都府 京田辺市 にある 臨済宗大徳寺派 の寺院。山号は霊瑞山。本尊は 釈迦如来 。 一休寺 （いっきゅうじ）または「薪（たきぎ）の一休寺」とも称される。 枯山水 の石庭や 一休宗純 の木像のほか、 納豆 の一種である「一休寺納豆」でも有名。","https://ja.wikipedia.org/wiki/酬恩庵","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯34度49分15.7秒東経135度45分27.2秒","京都府京田辺市薪字里ノ内102","北緯34度49分15.7秒東経135度45分27.2秒﻿ / ﻿北緯34.821028度 東経135.757556度﻿ /34.821028; 135.757556座標:北緯34度49分15.7秒東経135度45分27.2秒﻿ / ﻿北緯34.821028度 東経135.757556度﻿ /34.821028; 135.757556","6130005009010","本堂、庫裏、木造一休和尚坐像他（重要文化財）庭園（国の名勝）","臨済宗大徳寺派","正応年間（1288年-1293年）","釈迦如来坐像","霊瑞山","","","","","","","一休寺","","","南浦紹明（大応国師）",""
"聚光院","[聚光院庭園（京都市北区）] 聚光院 （じゅこういん）は、 京都府 京都市 北区 紫野 にある 臨済宗 大徳寺派の寺院。同派大本山 大徳寺 の 塔頭 のひとつ。聚光院という院号は 三好長慶 の法名「聚光院殿前匠作眠室進近大禅定門」から採られたものである。寺内は通常は公開されていない。","https://ja.wikipedia.org/wiki/聚光院","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯35度2分38.44秒東経135度44分43.21秒","京都府京都市北区紫野大徳寺町58","北緯35度2分38.44秒東経135度44分43.21秒﻿ / ﻿北緯35.0440111度 東経135.7453361度﻿ /35.0440111; 135.7453361座標:北緯35度2分38.44秒東経135度44分43.21秒﻿ / ﻿北緯35.0440111度 東経135.7453361度﻿ /35.0440111; 135.7453361","2130005001210","方丈障壁画38面（国宝）方丈（本堂）、茶室、絹本著色三好長慶像（重要文化財）百積の庭（名勝）","臨済宗大徳寺派","永禄9年(1566年)","","","","三好義継","","","大徳寺塔頭","","","","","",""
"清水寺","[成就院庭園（京都市東山区） -清水寺] 清水寺 （きよみずでら）は、 京都市 東山区 清水にある北法相宗の 大本山 。 山号 は音羽山。正式には 音羽山清水寺 （おんわさんきよみずでら）と号する。本尊は 十一面千手観世音菩薩 。もとは 法相宗 に属していたが、現在は独立して北法相宗を名乗る。 西国三十三所 第16番札所。","https://ja.wikipedia.org/wiki/清水寺","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯34度59分41.39秒東経135度47分6.01秒","京都府京都市東山区清水1丁目294","北緯34度59分41.39秒東経135度47分6.01秒﻿ / ﻿北緯34.9948306度 東経135.7850028度﻿ /34.9948306; 135.7850028座標:北緯34度59分41.39秒東経135度47分6.01秒﻿ / ﻿北緯34.9948306度 東経135.7850028度﻿ /34.9948306; 135.7850028","9130005001352","本堂（国宝）仁王門、三重塔、鐘楼ほか（重要文化財）世界遺産","北法相宗（1965年までは法相宗）","伝・宝亀9年（778年）","十一面千手観世音菩薩（秘仏）","音羽山","","","西国三十三所第16番法然上人二十五霊場第13番洛陽三十三所観音霊場第10 - 14番洛陽六阿弥陀めぐり第3番神仏霊場巡拝の道第117番（京都第37番）","音羽山 清水寺","大本山","","","","","伝・延鎮","音羽山 清水寺"
"渉成園","[渉成園（京都市下京区）] 渉成園 （しょうせいえん）は、 京都府 京都市 下京区 にある 真宗大谷派 の本山・ 真宗本廟（東本願寺） の飛地境内地。東本願寺の東方約150メートルに位置し、ほぼ200メートル四方の正方形をなす。面積3.4ヘクタール。西は 間之町通 、東は 河原町通 、北は 上珠数屋町通 、南は 下珠数屋町通 に接する。","https://ja.wikipedia.org/wiki/渉成園","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯34度59分29秒東経135度45分47.6秒","京都府京都市下京区下珠数屋町通間之町東入東玉水町","北緯34度59分29秒東経135度45分47.6秒﻿ / ﻿北緯34.99139度 東経135.763222度﻿ /34.99139; 135.763222","","","真宗大谷派","承応2年（1653年）","","","","","","","「真宗本廟」飛地境内地","","枳殻邸","","","","東本願寺・参拝のご案内「渉成園」"
"綾部市","[照福寺庭園（綾部市）] ","https://ja.wikipedia.org/wiki/綾部市","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯35度17分55.9秒東経135度15分31.7秒","〒623-8501京都府綾部市若竹町8番地の1北緯35度17分55.9秒東経135度15分31.7秒﻿ / ﻿北緯35.298861度 東経135.258806度﻿ /35.298861; 135.258806座標:北緯35度17分55.9秒東経135度15分31.7秒﻿ / ﻿北緯35.298861度 東経135.258806度﻿ /35.298861; 135.258806市庁舎位置","","3000020262030","","","","","","347.10km2","","","","","","","","","",""
"真珠庵","[真珠庵庭園（京都市北区） - 大徳寺塔頭] 真珠庵 （しんじゅあん）は 京都府 京都市 北区 紫野 にある、 臨済宗 大本山 大徳寺 の 塔頭 である。型破りの禅僧として著名な 一休宗純 ゆかりの寺院である。特別公開時を除き、通常は非公開である。","https://ja.wikipedia.org/wiki/真珠庵","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯35度2分39.6秒東経135度44分47.1秒","〒603-8231 京都府京都市北区紫野大徳寺町５２","北緯35度2分39.6秒東経135度44分47.1秒﻿ / ﻿北緯35.044333度 東経135.746417度﻿ /35.044333; 135.746417","3130005001218","","臨済宗大徳寺派","","","","","","","","","","","","","",""
"清風荘庭園","[清風荘庭園（京都市左京区）] 清風荘 （せいふうそう）は、 京都市 左京区 田中にある歴史的建造物及び日本庭園。所有者は国立大学法人 京都大学 。 西園寺公望 の別邸として造られたもので、 小川治兵衛 による 日本庭園 と「 数寄屋造り 」の主屋、茶室等の付属建物から成る。 1944年 に 京都帝国大学 へ寄贈され、 2012年 に主屋などの建造物12棟が 重要文化財 に指定された  。","https://ja.wikipedia.org/wiki/清風荘庭園","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大仙院","[大仙院庭園（京都市北区） - 大徳寺塔頭] 大仙院 （だいせんいん）は、 京都府 京都市 北区 にある 臨済宗 の 大徳寺 内にある 塔頭 寺院 。","https://ja.wikipedia.org/wiki/大仙院","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯35度2分40.44秒東経135度44分45.42秒","京都府京都市北区紫野大徳寺町54-1","北緯35度2分40.44秒東経135度44分45.42秒﻿ / ﻿北緯35.0445667度 東経135.7459500度﻿ /35.0445667; 135.7459500座標:北緯35度2分40.44秒東経135度44分45.42秒﻿ / ﻿北緯35.0445667度 東経135.7459500度﻿ /35.0445667; 135.7459500","2130005001219","方丈、大燈国師墨蹟（国宝）方丈障壁画ほか（重要文化財）書院庭園（史跡、特別名勝）、庭園（名勝）","臨済宗大徳寺派北派","永正6年（1509年）","釈迦牟尼仏","","","古嶽宗亘","","","大徳寺塔頭、北派本庵","","","","","",""
"退蔵院","[退蔵院庭園（京都市右京区） - 妙心寺塔頭] 退蔵院 （たいぞういん）は、 京都市 右京区 花園 にある 臨済宗 の寺院。 臨済宗妙心寺派 大本山 妙心寺 の 塔頭 である。初期水墨画の代表作である 国宝 「 瓢鮎図 」を所蔵することで知られる。","https://ja.wikipedia.org/wiki/退蔵院","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯35度1分18.76秒東経135度43分9.24秒","京都府京都市右京区花園妙心寺町35","北緯35度1分18.76秒東経135度43分9.24秒﻿ / ﻿北緯35.0218778度 東経135.7192333度﻿ /35.0218778; 135.7192333座標:北緯35度1分18.76秒東経135度43分9.24秒﻿ / ﻿北緯35.0218778度 東経135.7192333度﻿ /35.0218778; 135.7192333","5130005001174","紙本墨画淡彩瓢鮎図（国宝）方丈・花園天皇宸翰消息・後奈良天皇宸翰徽号勅書・後奈良天皇宸翰消息（重要文化財）庭園（名勝・史跡）","臨済宗妙心寺派","応永11年（1404年）","","（妙心寺塔頭）","","波多野重通","","","","","","","","無因宗因",""
"対龍山荘","[對龍山荘庭園（京都市左京区）] 対龍山荘 （たいりゅうさんそう）  は、 京都市 左京区 旧 南禅寺 境内に、 庭師七代小川治兵衛（通称：植治） による 日本庭園 と、「 京数奇屋名邸十撰 」にも選ばれる名建築から成る、 南禅寺界隈別荘 の一つ。非公開   。現在は株式会社 ニトリ の保養所・宿泊施設となっている  。","https://ja.wikipedia.org/wiki/対龍山荘","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"智積院","[智積院庭園（京都市東山区）] 智積院 （ちしゃくいん）は、 京都市 東山区 にある 真言宗智山派 総本山の 寺院 。 山号 を五百佛山（いおぶさん）、寺号を根来寺（ねごろじ）という。 本尊 は 金剛界 大日如来 、開山は 玄宥 。智山派の大本山寺院としては、 千葉県 成田市 の 成田山新勝寺 （成田不動）、 神奈川県 川崎市 の川崎大師 平間寺 および 東京都 八王子市 の 高尾山薬王院 がある。寺紋は桔梗紋。","https://ja.wikipedia.org/wiki/智積院","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯34度59分17秒東経135度46分35秒","京都府京都市東山区東大路通七条下ル東瓦町964","北緯34度59分17秒東経135度46分35秒﻿ / ﻿北緯34.98806度 東経135.77639度﻿ /34.98806; 135.77639座標:北緯34度59分17秒東経135度46分35秒﻿ / ﻿北緯34.98806度 東経135.77639度﻿ /34.98806; 135.77639京都市の地図を表示京都市の地図を表示","5130005002189","大書院障壁画25面、松に草花図屏風、金剛経（国宝）絹本著色童子経曼荼羅図、絹本著色孔雀明王像ほか（重要文化財）庭園（名勝）","真言宗智山派","慶長6年（1601年）","金剛界大日如来","五百佛山（いおぶさん）","","","真言宗十八本山第7番神仏霊場巡拝の道第120番（京都第40番）近畿三十六不動尊第20番京都十三仏霊場第1番","五百佛山 根来寺 智積院","総本山","","総本山智積院","","","玄宥","真言宗智山派 総本山智積院"
"双ヶ丘","[雙ヶ岡（京都市右京区）] 双ヶ丘 （ならびがおか）は、 京都府 京都市 右京区 御室 双岡町に所在する古生層の 孤立丘 、国の 名勝 に指定されている。 京都盆地 北西部にあり、標高は116mである。徒然草の作者である吉田兼好が晩年を過ごした地とされている。","https://ja.wikipedia.org/wiki/双ヶ丘","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯35度1分22秒東経135度42分48秒","京都府京都市右京区御室双岡町","北緯35度1分22秒東経135度42分48秒﻿ / ﻿北緯35.02278度 東経135.71333度﻿ /35.02278; 135.71333座標:北緯35度1分22秒東経135度42分48秒﻿ / ﻿北緯35.02278度 東経135.71333度﻿ /35.02278; 135.71333","","","","","","","","","","","","","","","","",""
"南禅院","[南禅院庭園（京都市左京区）] 南禅院 （なんぜんいん）は、 京都市 左京区 南禅寺福地町にある 臨済宗南禅寺派 の 寺院 。 南禅寺 の 塔頭 である。南禅寺の発祥地といわれている。門前には 琵琶湖疏水 事業の一環として建設された水路閣が通る。","https://ja.wikipedia.org/wiki/南禅院","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯35度0分37.08秒東経135度47分37.93秒","京都府京都市左京区南禅寺福地町86","北緯35度0分37.08秒東経135度47分37.93秒﻿ / ﻿北緯35.0103000度 東経135.7938694度﻿ /35.0103000; 135.7938694座標:北緯35度0分37.08秒東経135度47分37.93秒﻿ / ﻿北緯35.0103000度 東経135.7938694度﻿ /35.0103000; 135.7938694","3130005001093","木造亀山法皇坐像、木造一山一寧坐像（重要文化財）庭園（史跡・名勝）","臨済宗南禅寺派","弘安10年（1287年）","","","","亀山上皇","","","南禅寺塔頭","","","","","無関普門（大明国師）",""
"南禅寺","[南禅寺方丈庭園（京都市左京区）] 南禅寺 （なんぜんじ）は、 京都市 左京区 南禅寺福地町にある 臨済宗南禅寺派 の 大本山 の 寺院 。 山号 は瑞龍山、正式には 太平興国南禅禅寺 （たいへいこうこくなんぜんぜんじ）と号する。 開山 は 無関普門 （大明国師）。 開基 は 亀山法皇 。日本最初の 勅願禅寺 であり、 京都五山 および 鎌倉五山 の上に置かれる別格扱いの寺院で、日本の全ての 禅寺 の中で最も高い格式を持つ。","https://ja.wikipedia.org/wiki/南禅寺","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯35度0分43.14秒東経135度47分39.8秒","京都府京都市左京区南禅寺福地町86","北緯35度0分43.14秒東経135度47分39.8秒﻿ / ﻿北緯35.0119833度 東経135.794389度﻿ /35.0119833; 135.794389座標:北緯35度0分43.14秒東経135度47分39.8秒﻿ / ﻿北緯35.0119833度 東経135.794389度﻿ /35.0119833; 135.794389","2130005001094","方丈、亀山天皇宸翰禅林寺御祈願文案（国宝）三門、勅使門、絹本著色大明国師像ほか（重要文化財）境内（国の史跡）方丈庭園（国の名勝）","臨済宗南禅寺派","正応4年（1291年）","釈迦如来","瑞龍山","","亀山法皇","","瑞龍山 太平興国南禅禅寺","大本山京都五山および鎌倉五山の別格上位","","","","","無関普門（大明国師）","臨済宗大本山 南禅寺 公式サイト"
"白沙村荘","[白沙村荘庭園（京都市左京区）] 白沙村荘 （はくさそんそう）は、 京都市 左京区 浄土寺 にある、日本画家の 橋本関雪 が 1916年 （ 大正 5年）から住んだ邸宅である。","https://ja.wikipedia.org/wiki/白沙村荘","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"平等院","[平等院庭園（宇治市）] 平等院 （びょうどういん）は、 京都府 宇治市 にある 単立 の 寺院 。 山号 は 朝日山  。 開基 は 藤原頼通 、 開山 は 明尊 。 本尊 は 阿弥陀如来 坐像。","https://ja.wikipedia.org/wiki/平等院","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯34度53分21.45秒東経135度48分27.69秒","京都府宇治市宇治蓮華116","北緯34度53分21.45秒東経135度48分27.69秒﻿ / ﻿北緯34.8892917度 東経135.8076917度﻿ /34.8892917; 135.8076917座標:北緯34度53分21.45秒東経135度48分27.69秒﻿ / ﻿北緯34.8892917度 東経135.8076917度﻿ /34.8892917; 135.8076917","1130005006854","鳳凰堂・阿弥陀如来坐像ほか（国宝）ユネスコ世界遺産「古都京都の文化財」構成物件","単立","永承7年（1052年）","阿弥陀如来坐像（国宝）","朝日山（※読みは未確認）","","藤原頼通","神仏霊場巡拝の道第125番（京都第45番）","","","","","","","明尊",""
"不審庵","[不審庵（表千家）庭園（京都市上京区）] 表千家 （おもてせんけ）は、 茶道 流派の一つ。 千利休 を祖とする千家の 家督 を継いだ千家流茶道の 本家 であり、宗家は 京都市 上京区 小川通 寺之内通 上るにある。","https://ja.wikipedia.org/wiki/不審庵","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"平安神宮神苑","[平安神宮神苑（京都市左京区）] 平安神宮神苑 （へいあんじんぐうしんえん）は 京都府 京都市 左京区 にある池泉 回遊式 の近代 日本庭園 。 平安神宮 の大極殿背後の周囲三方に配された南神苑、西神苑、中神苑、東神苑で構成される。面積は33,000 平方メートル 、作庭は 小川治兵衛 、1975年（昭和50年）に国の 名勝 に指定されている。","https://ja.wikipedia.org/wiki/平安神宮神苑","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"本法寺 (京都市)","[本法寺庭園（京都市上京区）] 本法寺 （ほんぽうじ）は、 京都府 京都市 上京区 にある、 日蓮宗 の本山（由緒寺院）。山号は叡昌山。塔頭が三院ある（ 尊陽院 、教行院、教蔵院）。","https://ja.wikipedia.org/wiki/本法寺_(京都市)","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯35度2分6秒東経135度45分7.8秒","京都府京都市上京区小川通寺之内上る本法寺前町617","北緯35度2分6秒東経135度45分7.8秒﻿ / ﻿北緯35.03500度 東経135.752167度﻿ /35.03500; 135.752167","2130005002126","紙本著色仏涅槃図（重要文化財）ほか","日蓮宗","1436年（永享8年）","三宝尊","叡昌山","","本阿弥清信","洛中法華21ヶ寺","","本山","","","","","日親",""
"曼殊院","[曼殊院書院庭園（京都市左京区）] 曼殊院 （まんしゅいん）は、 京都市 左京区 にある 天台宗 の寺院。本尊は 阿弥陀如来 、開山は是算（ぜさん）である。竹内門跡とも呼ばれる 門跡 寺院（皇族・貴族の子弟が代々住持となる別格寺院のこと）であり、 青蓮院 、 三千院 （梶井門跡）、 妙法院 、 毘沙門堂 門跡と並び、天台五門跡の1つに数えられる。国宝の 黄不動 画像 曼殊院本古今和歌集 をはじめ、多くの文化財を有する。 紅葉 の名所である。","https://ja.wikipedia.org/wiki/曼殊院","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯35度2分55.7秒東経135度48分11.0秒","京都府京都市左京区一乗寺竹ノ内町42","北緯35度2分55.7秒東経135度48分11.0秒﻿ / ﻿北緯35.048806度 東経135.803056度﻿ /35.048806; 135.803056座標:北緯35度2分55.7秒東経135度48分11.0秒﻿ / ﻿北緯35.048806度 東経135.803056度﻿ /35.048806; 135.803056","9130005001922","黄不動画像・古今和歌集（曼殊院本）1巻（国宝）大書院・小書院・木造慈恵大師坐像ほか（重要文化財）庭園（国の名勝）","天台宗","天暦年間（947年-957年）","阿弥陀如来","なし","","","近畿三十六不動尊第17番　神仏霊場巡拝の道第108番（京都28番）","","門跡寺院","","竹内門跡","","","是算","曼殊院門跡-オフィシャルサイト-"
"妙心寺","[妙心寺庭園（京都市右京区）] 妙心寺 （みょうしんじ）は、 京都市 右京区 花園 妙心寺町にある 臨済宗妙心寺派 の 大本山 の 寺院 。 山号 は正法山。本尊は 釈迦如来 。開基（創立者）は 花園天皇 。開山（初代住職）は 関山慧玄 （無相大師）。寺紋は花園紋（妙心寺八つ藤）。","https://ja.wikipedia.org/wiki/妙心寺","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯35度1分23.39秒東経135度43分12.67秒","京都府京都市右京区花園妙心寺町64","北緯35度1分23.39秒東経135度43分12.67秒﻿ / ﻿北緯35.0231639度 東経135.7201861度﻿ /35.0231639; 135.7201861座標:北緯35度1分23.39秒東経135度43分12.67秒﻿ / ﻿北緯35.0231639度 東経135.7201861度﻿ /35.0231639; 135.7201861","5130005001190","梵鐘、大燈国師墨蹟（国宝）仏殿、法堂、三門他（重要文化財）方丈庭園（国の史跡・名勝）","臨済宗妙心寺派","暦応5年/康永元年（1342年）","釈迦如来","正法山","","花園法皇","","正法山 妙心禅寺","大本山","","","","","関山慧玄",""
"無鄰菴","[無鄰庵庭園（京都市左京区）] 無鄰菴 （むりんあん）は 山縣有朋 の別邸で七代目 小川治兵衛 の作庭。","https://ja.wikipedia.org/wiki/無鄰菴","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"龍安寺","[龍安寺庭園（京都市右京区）] 龍安寺 （りょうあんじ）は、 京都市 右京区 龍安寺御陵下町にある 臨済宗妙心寺派 の 寺院 。 妙心寺 の境外 塔頭 である   。 山号 は大雲山と号し、石庭で知られる。本尊は 釈迦如来 、開基（創建者）は 細川勝元 、 開山 （初代住職）は 義天玄承 である。「 古都京都の文化財 」として 世界遺産 に登録されている。","https://ja.wikipedia.org/wiki/龍安寺","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯35度2分4.18秒東経135度43分5.71秒","京都府京都市右京区龍安寺御陵下町13","北緯35度2分4.18秒東経135度43分5.71秒﻿ / ﻿北緯35.0344944度 東経135.7182528度﻿ /35.0344944; 135.7182528座標:北緯35度2分4.18秒東経135度43分5.71秒﻿ / ﻿北緯35.0344944度 東経135.7182528度﻿ /35.0344944; 135.7182528","3130005001201","方丈、太平記12冊（重要文化財）方丈庭園（史跡・特別名勝）庭園（名勝）世界遺産","臨済宗妙心寺派","宝徳2年（1450年）","釈迦如来","大雲山","","細川勝元","","","境外塔頭","","","","","義天玄承","大雲山 龍安寺"
"るり渓","[瑠璃渓（南丹市）] るり渓  （るりけい）は、 京都府 南丹市 園部町 大河内に位置し、 大堰川 支流、 園部川 が流れる全長4kmの 渓谷 である。1932年に国の 名勝 に指定され、 府立自然公園 にも指定されている  。 日本の音風景100選 にも選定されている。","https://ja.wikipedia.org/wiki/るり渓","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"霊雲院庭園 (存在しないページ)","[霊雲院庭園（京都市右京区） -妙心寺塔頭]","https://ja.wikipedia.org/w/index.php?title=霊雲院庭園&amp;action=edit&amp;redlink=1","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"霊洞院 (存在しないページ)","[霊洞院庭園（京都市東山区） -建仁寺塔頭]","https://ja.wikipedia.org/w/index.php?title=霊洞院&amp;action=edit&amp;redlink=1","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"東福寺","[東福寺本坊庭園（京都市東山区）] 東福寺 （とうふくじ）は、 京都市 東山区 にある 臨済宗東福寺派 大本山 の 寺院 。 山号 は慧日山（えにちさん）。 京都五山 の第四位の 禅 寺として中世、近世を通じて栄えた。近代に入って規模が縮小されたとはいえ、今なお25か寺の 塔頭 （山内寺院）を有する大寺院である。紅葉の名所として有名である。「東福寺の伽藍面（がらんづら）」ともいう。","https://ja.wikipedia.org/wiki/東福寺","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯34度58分37.38秒東経135度46分26.74秒","京都府京都市東山区本町十五丁目778番地","北緯34度58分37.38秒東経135度46分26.74秒﻿ / ﻿北緯34.9770500度 東経135.7740944度﻿ /34.9770500; 135.7740944﻿ (東福寺)座標:北緯34度58分37.38秒東経135度46分26.74秒﻿ / ﻿北緯34.9770500度 東経135.7740944度﻿ /34.9770500; 135.7740944﻿ (東福寺)","8130005001320","三門、宋版太平御覧、絹本著色無準師範像ほか（国宝）常楽庵、禅堂、偃月橋、絹本著色釈迦三尊像、木造地蔵菩薩坐像ほか（重要文化財）庭園（国の名勝）","臨済宗東福寺派","嘉禎2年（1236年）","釈迦如来","慧日山","","九条道家","","慧日山 東福禅寺","大本山京都五山四位","","","","","円爾","臨済宗大本山 東福寺 -日本最古の最大級の伽藍-"
"知恩院","[知恩院方丈庭園（京都市東山区）] 知恩院 （ちおんいん）は、 京都府 京都市 東山区 にある 浄土宗 総本山の 寺院 。 山号 は 華頂山 （かちょうざん）。詳名は 華頂山知恩教院大谷寺 （かちょうざん ちおんきょういん おおたにでら）。本尊は 法然上人像 （本堂）および 阿弥陀如来 （阿弥陀堂）、開基（創立者）は 法然 である。","https://ja.wikipedia.org/wiki/知恩院","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯35度0分18.75秒東経135度47分0.25秒","京都府京都市東山区新橋通大和大路東入三丁目林下町400","北緯35度0分18.75秒東経135度47分0.25秒﻿ / ﻿北緯35.0052083度 東経135.7834028度﻿ /35.0052083; 135.7834028座標:北緯35度0分18.75秒東経135度47分0.25秒﻿ / ﻿北緯35.0052083度 東経135.7834028度﻿ /35.0052083; 135.7834028","1130005000279","（国宝）本堂、三門阿弥陀二十五菩薩来迎図ほか（重要文化財）大方丈、木造阿弥陀如来立像木造善導大師立像、ほか","浄土宗","承安5年（1175年）","法然上人像（本堂）阿弥陀如来（阿弥陀堂）","華頂山（かちょうざん）","","法然","法然上人二十五霊跡25番","華頂山知恩教院大谷寺","総本山","","吉水禅房","","","","総本山知恩院"
"仁和寺","[仁和寺御所庭園（京都市右京区）] 仁和寺 （にんなじ）は、 京都市 右京区 御室 大内にある 真言宗御室派 の 総本山 の 寺院 。 山号 は大内山。 本尊 は 阿弥陀如来 。開基（創立者）は 宇多天皇 。「 古都京都の文化財 」の構成資産として、 世界遺産 に登録されている。","https://ja.wikipedia.org/wiki/仁和寺","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯35度1分51.8秒東経135度42分49.7秒","京都府京都市右京区御室大内33","北緯35度1分51.8秒東経135度42分49.7秒﻿ / ﻿北緯35.031056度 東経135.713806度﻿ /35.031056; 135.713806座標:北緯35度1分51.8秒東経135度42分49.7秒﻿ / ﻿北緯35.031056度 東経135.713806度﻿ /35.031056; 135.713806","3130005002199","金堂ほか（国宝）五重塔ほか（重要文化財）世界遺産","真言宗御室派","仁和4年（888年）","阿弥陀如来","大内山","","宇多天皇","真言宗十八本山第6番京都十三仏霊場第9番近畿三十六不動尊霊場第14番御室八十八ヶ所霊場神仏霊場巡拝の道第92番（京都第12番）","","総本山","","旧御室御所","","","","世界遺産 真言宗御室派総本山 仁和寺"
"南宗寺","[南宗寺庭園（堺市堺区）] 南宗寺 （なんしゅうじ）は、 大阪府 堺市 堺区 にある 臨済宗大徳寺派 の 寺院 。 三好氏 の菩提寺。茶人の 武野紹鴎 、 千利休 が修行をした縁の寺であり、堺の町衆文化の発展に寄与した寺院である。 古田織部 作と伝わる 枯山水庭園 は、国の 名勝 に指定されている。","https://ja.wikipedia.org/wiki/南宗寺","日本国指定名勝の一覧","https://ja.wikipedia.org/wiki/日本国指定名勝の一覧","箇条書き,制限あり","北緯34度34分8.47秒東経135度28分6.52秒","大阪府堺市堺区南旅篭町東3丁1-2","北緯34度34分8.47秒東経135度28分6.52秒﻿ / ﻿北緯34.5690194度 東経135.4684778度﻿ /34.5690194; 135.4684778﻿ (南宗寺)座標:北緯34度34分8.47秒東経135度28分6.52秒﻿ / ﻿北緯34.5690194度 東経135.4684778度﻿ /34.5690194; 135.4684778﻿ (南宗寺)","9120105000932","仏殿・山門・唐門（重要文化財）庭園（国の名勝）","臨済宗大徳寺派","弘治3年（1557年）","釈迦三尊","龍興山","","三好長慶","和泉西国三十三箇所客番","","","","","","","大林宗套",""
