"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","標高","山系","種類","最新噴火","初登頂","上位山系","最高峰","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"赤城山","[赤城山] 赤城山 （あかぎさん、あかぎやま、 後述 ）は、 関東地方 の北部、 群馬県 のほぼ中央に位置する 山 。 太平洋プレート が オホーツクプレート に沈み込んでできた 島弧 型火山である。また、赤城山は、カルデラ湖を伴う カルデラ を持つ、関東地方で有数の 複成火山 である。","https://ja.wikipedia.org/wiki/赤城山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯36度33分39秒東経139度11分37秒","日本群馬県前橋市・桐生市・渋川市・沼田市・利根郡昭和村","北緯36度33分39秒東経139度11分37秒﻿ / ﻿北緯36.5608度 東経139.1936度﻿ /36.5608; 139.1936座標:北緯36度33分39秒東経139度11分37秒﻿ / ﻿北緯36.5608度 東経139.1936度﻿ /36.5608; 139.1936","1,827.6m","独立峰","複成火山（活火山ランクC）","","","","","","","","","","","","","",""
"八溝山","[八溝山] 八溝山 （やみぞさん）は、 茨城県 と 福島県 の県境にある 標高 1,021.8mの 山 である。 茨城県最高峰 の山である。","https://ja.wikipedia.org/wiki/八溝山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯36度55分49秒東経140度16分23秒","日本福島県東白川郡棚倉町・茨城県久慈郡大子町","北緯36度55分49秒東経140度16分23秒﻿ / ﻿北緯36.93028度 東経140.27306度﻿ /36.93028; 140.27306座標:北緯36度55分49秒東経140度16分23秒﻿ / ﻿北緯36.93028度 東経140.27306度﻿ /36.93028; 140.27306","1,021.8m","八溝山地","","","","","","","","","","","","","","",""
"伊豆ヶ岳","[伊豆ヶ岳] 伊豆ヶ岳 （いずがたけ）は、 埼玉県 飯能市 にある 山 である。 標高 は850.9m。","https://ja.wikipedia.org/wiki/伊豆ヶ岳","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯35度55分37秒東経139度09分38秒","埼玉県飯能市","北緯35度55分37秒東経139度09分38秒﻿ / ﻿北緯35.92694度 東経139.16056度﻿ /35.92694; 139.16056座標:北緯35度55分37秒東経139度09分38秒﻿ / ﻿北緯35.92694度 東経139.16056度﻿ /35.92694; 139.16056","850.9m","","","","","","","","","","","","","","","",""
"明神ヶ岳 (神奈川県)","[明神ヶ岳] 明神ヶ岳 （みょうじんがたけ）は 神奈川県 南足柄市 と 箱根町 の境にある 標高 1,169mの山で、 箱根山 の古期外輪山の一峰である。 富士箱根伊豆国立公園 に指定されている。","https://ja.wikipedia.org/wiki/明神ヶ岳_(神奈川県)","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯35度16分45秒東経139度03分08秒","日本神奈川県南足柄市・箱根町","北緯35度16分45秒東経139度03分08秒﻿ / ﻿北緯35.27917度 東経139.05222度﻿ /35.27917; 139.05222座標:北緯35度16分45秒東経139度03分08秒﻿ / ﻿北緯35.27917度 東経139.05222度﻿ /35.27917; 139.05222","1,169m","箱根山","外輪山","","","","","","","","","","","","","",""
"三峰山","[三峰山] 三峰山 （みつみねさん）は、 本来は 奥秩父山塊 にある 妙法が岳 （1332m）、 白岩山 （1921m）、 雲取山 （2017m）の三山の総称。","https://ja.wikipedia.org/wiki/三峰山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"竪破山","[竪破山] 竪破山 （たつわれさん）は、 茨城県 の 多賀山地 （ 阿武隈高地 ）にある 標高 658.3mの 山 である。","https://ja.wikipedia.org/wiki/竪破山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯36度42分39秒東経140度33分44秒","日本茨城県日立市・高萩市","北緯36度42分39秒東経140度33分44秒﻿ / ﻿北緯36.71083度 東経140.56222度﻿ /36.71083; 140.56222座標:北緯36度42分39秒東経140度33分44秒﻿ / ﻿北緯36.71083度 東経140.56222度﻿ /36.71083; 140.56222","658.3m","阿武隈高地","","","","","","","","","","","","","","",""
"飛龍山","[飛龍山] 飛竜山 （ひりゅうさん）は、 埼玉県 秩父市 と 山梨県 北都留郡 丹波山村 との県境にある 標高 2,077mの 山 である。 奥秩父 の山域の主脈の一つ。","https://ja.wikipedia.org/wiki/飛龍山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯35度50分23秒東経138度53分32秒","日本埼玉県秩父市山梨県北都留郡丹波山村","北緯35度50分23秒東経138度53分32秒﻿ / ﻿北緯35.83972度 東経138.89222度﻿ /35.83972; 138.89222座標:北緯35度50分23秒東経138度53分32秒﻿ / ﻿北緯35.83972度 東経138.89222度﻿ /35.83972; 138.89222","2,077m","奥秩父山塊","","","","","","","","","","","","","","",""
"箱根山","[箱根山] 箱根山 （はこねやま）は、 日本 の 神奈川県 足柄下郡 箱根町 を中心に、神奈川県と 静岡県 にまたがる 火山 の総称である（内訳は『主な山』節参照）。 富士箱根伊豆国立公園 に指定されている。地名「 箱根 」は古くは「函根」と記したが、同じく「箱根山」は 函根山 と記し、 函嶺 （かんれい）ともいった（ 函嶺洞門 、 函南町 などといった地名に名残がある）。","https://ja.wikipedia.org/wiki/箱根山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯35度15分35.7秒東経139度1分11.4秒","神奈川県・静岡県","北緯35度15分35.7秒東経139度1分11.4秒﻿ / ﻿北緯35.259917度 東経139.019833度﻿ /35.259917; 139.019833座標:北緯35度15分35.7秒東経139度1分11.4秒﻿ / ﻿北緯35.259917度 東経139.019833度﻿ /35.259917; 139.019833","1,438m","","複成火山","2015年（小規模）","","","","","","","","","","","","",""
"武尊山","[武尊山] 武尊山 （ほたかやま）は、 群馬県 利根郡 みなかみ町 、 川場村 、 片品村 の境にある 標高 2,158 m の 成層火山 である。 北アルプス の 穂高岳 と区別するため、 上州武尊山 とも呼ばれる。 日本百名山  及び 新・花の百名山  に選定されている山である。","https://ja.wikipedia.org/wiki/武尊山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯36度48分19秒東経139度07分57秒","日本群馬県利根郡みなかみ町、川場村、片品村","北緯36度48分19秒東経139度07分57秒﻿ / ﻿北緯36.80528度 東経139.13250度﻿ /36.80528; 139.13250座標:北緯36度48分19秒東経139度07分57秒﻿ / ﻿北緯36.80528度 東経139.13250度﻿ /36.80528; 139.13250","2157.96m","独立峰","成層火山","","","","","","","","","","","","","",""
"吾国山","[吾国山] 吾国山 （わがくにさん）は 茨城県 笠間市 と 石岡市 の境にある標高518mの山。どの方面から見ても端正な円錐形をしており、山頂からの展望がよい。南東に伸びる尾根上に、難台山、愛宕山へのハイキングコースが続いている。山と溪谷社が選定した 関東百名山 のひとつである。","https://ja.wikipedia.org/wiki/吾国山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯36度19分20秒東経140度12分05秒","日本茨城県笠間市","北緯36度19分20秒東経140度12分05秒﻿ / ﻿北緯36.32222度 東経140.20139度﻿ /36.32222; 140.20139座標:北緯36度19分20秒東経140度12分05秒﻿ / ﻿北緯36.32222度 東経140.20139度﻿ /36.32222; 140.20139","340.6m","","","","","","","","","","","","","","","",""
"鷹ノ巣山 (東京都)","[鷹ノ巣山] 鷹ノ巣山 （たかのすやま）は 東京都 西多摩郡 奥多摩町 にある 標高 1,736.6 m の 山 である。 石尾根 の中間に位置する。","https://ja.wikipedia.org/wiki/鷹ノ巣山_(東京都)","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯35度49分48秒東経139度0分44秒","日本東京都西多摩郡奥多摩町","北緯35度49分48秒東経139度0分44秒﻿ / ﻿北緯35.83000度 東経139.01222度﻿ /35.83000; 139.01222座標:北緯35度49分48秒東経139度0分44秒﻿ / ﻿北緯35.83000度 東経139.01222度﻿ /35.83000; 139.01222","1,736.6m","奥多摩","","","","","","","","","","","","","","",""
"幕山","[幕山] 幕山 （まくやま）は、 神奈川県 湯河原町 にある山である。山体は大型の 火山 である 箱根山 の 側火山 として約15万年前  に形成された 溶岩ドーム  である。 柱状節理 の岩壁が山腹を取り囲み、それを 歌舞伎 の幕に例えたことが名称の由来と言われている  。","https://ja.wikipedia.org/wiki/幕山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯35度10分23秒東経139度5分29秒","神奈川県湯河原町","北緯35度10分23秒東経139度5分29秒﻿ / ﻿北緯35.17306度 東経139.09139度﻿ /35.17306; 139.09139座標:北緯35度10分23秒東経139度5分29秒﻿ / ﻿北緯35.17306度 東経139.09139度﻿ /35.17306; 139.09139","626m","箱根山","溶岩ドーム","約15万年前","","","","","","","","","","","","",""
"吾妻耶山","[吾妻耶山] 吾妻耶山 （あづまやさん）は、 群馬県 利根郡 みなかみ町 に位置する山で、ぐんま百名山  である。標高は1,341メートル。","https://ja.wikipedia.org/wiki/吾妻耶山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯36度44分45.36秒東経138度55分34.43秒","日本群馬県利根郡みなかみ町","北緯36度44分45.36秒東経138度55分34.43秒﻿ / ﻿北緯36.7459333度 東経138.9262306度﻿ /36.7459333; 138.9262306座標:北緯36度44分45.36秒東経138度55分34.43秒﻿ / ﻿北緯36.7459333度 東経138.9262306度﻿ /36.7459333; 138.9262306","1,341m","三国山脈","","","","","","","","","","","","","","",""
"加波山","[加波山] 加波山 （かばさん）は、 茨城県 桜川市 と同 石岡市 との境に位置する 標高 709mの 山 である。北から 御嶽山 、 雨引山 、 燕山 、加波山、 丸山 、 足尾山 、 きのこ山 、 弁天山 、 筑波山 の順に連なる 筑波連山 北部の山の一つである。","https://ja.wikipedia.org/wiki/加波山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯36度17分55.7秒東経140度08分37.1秒","日本茨城県桜川市・石岡市","北緯36度17分55.7秒東経140度08分37.1秒﻿ / ﻿北緯36.298806度 東経140.143639度﻿ /36.298806; 140.143639座標:北緯36度17分55.7秒東経140度08分37.1秒﻿ / ﻿北緯36.298806度 東経140.143639度﻿ /36.298806; 140.143639","709.0m","筑波山地","","","","","","","","","","","","","","",""
"雲取山","[雲取山] 雲取山 （くもとりやま・くもとりさん  ）は、 東京都 ・ 埼玉県 ・ 山梨県 の 境界 にある 標高 2,017.13m  の 山 。東京都の最高峰であり、都内の山で2000mを越えるのは、この山のみとなっている。 ","https://ja.wikipedia.org/wiki/雲取山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯35度51分20秒東経138度56分38秒","日本東京都西多摩郡奥多摩町埼玉県秩父市山梨県北都留郡丹波山村","北緯35度51分20秒東経138度56分38秒﻿ / ﻿北緯35.85556度 東経138.94389度﻿ /35.85556; 138.94389座標:北緯35度51分20秒東経138度56分38秒﻿ / ﻿北緯35.85556度 東経138.94389度﻿ /35.85556; 138.94389","2,017.13m","秩父山地","","","","","","","","","","","","","","",""
"天園 (存在しないページ)","[天園]","https://ja.wikipedia.org/w/index.php?title=天園&amp;action=edit&amp;redlink=1","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","","","","","","","","","","","","","","","","","","","",""
"笠ヶ岳 (谷川)","[笠ヶ岳] 笠ヶ岳 （かさがたけ  ）は、 群馬県 利根郡 みなかみ町 に位置する山で、標高1852.1メートルである。ぐんま百名山  で、「ぐんま県境 稜線 トレイル」  谷川岳 ・ 馬蹄 形 縦走 コース  と群馬県自然環境保全地域（朝日岳・白毛門山東面）  にもなっている。","https://ja.wikipedia.org/wiki/笠ヶ岳_(谷川)","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯36度52分12秒東経138度57分46秒","群馬県利根郡みなかみ町","北緯36度52分12秒東経138度57分46秒﻿ / ﻿北緯36.87000度 東経138.96278度﻿ /36.87000; 138.96278座標:北緯36度52分12秒東経138度57分46秒﻿ / ﻿北緯36.87000度 東経138.96278度﻿ /36.87000; 138.96278","1852.1m","","","","","","","","","","","","","","","",""
"筑波山","[筑波山] 筑波山 （つくばさん）は、 日本 の 関東地方 東部、 茨城県 つくば市 北端にある 標高 877mの 山 。 筑波山神社 の 境内 地で西側の 男体山 （標高871m）と東側の 女体山 （標高877m）からなる。雅称は 紫峰 （しほう）。 筑波嶺 （つくばね）とも言い、茨城県のシンボルの一つとされている  。","https://ja.wikipedia.org/wiki/筑波山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯36度13分31秒東経140度6分24秒","日本茨城県つくば市","北緯36度13分31秒東経140度6分24秒﻿ / ﻿北緯36.22528度 東経140.10667度﻿ /36.22528; 140.10667座標:北緯36度13分31秒東経140度6分24秒﻿ / ﻿北緯36.22528度 東経140.10667度﻿ /36.22528; 140.10667","877m","八溝山地","堅牢残丘","","","","","","","","","","","","","",""
"川苔山","[川苔山] 川苔山 または 川乗山 （かわのりやま）は、 東京都 西多摩郡 奥多摩町 にある 標高 1363.3 m の 山 。","https://ja.wikipedia.org/wiki/川苔山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯35度51分03秒東経139度06分25秒","東京都西多摩郡奥多摩町","北緯35度51分03秒東経139度06分25秒﻿ / ﻿北緯35.85083度 東経139.10694度﻿ /35.85083; 139.10694座標:北緯35度51分03秒東経139度06分25秒﻿ / ﻿北緯35.85083度 東経139.10694度﻿ /35.85083; 139.10694","1,363.3m","奥多摩","","","","","","","","","","","","","","",""
"大楠山","[大楠山] 大楠山 （おおぐすやま）は、 神奈川県 横須賀市 西部にある海抜241.3mの 山 である。 三浦丘陵 の一角をなし、 三浦半島 最高峰として知られる。関東100名山の第100番目でもある。","https://ja.wikipedia.org/wiki/大楠山","関東百名山","https://ja.wikipedia.org/wiki/関東百名山","参照,制限あり","北緯35度15分00秒東経139度37分41秒","神奈川県横須賀市","北緯35度15分00秒東経139度37分41秒﻿ / ﻿北緯35.25000度 東経139.62806度﻿ /35.25000; 139.62806","241.3m","三浦丘陵","","","","","","","","","","","","","","",""
