"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","ホーム","所在地","備考","電報略号","駅番号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","製造所","編成","電気方式","最高運転速度","車両定員"
"朝倉神社前停留場","[朝倉神社前停留場（あさくらじんじゃまえていりゅうじょう）] 朝倉神社前停留場 （あさくらじんじゃまえていりゅうじょう）は、 高知県 高知市 朝倉にある とさでん交通 伊野線 の 路面電車停留場 。","https://ja.wikipedia.org/wiki/朝倉神社前停留場","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯33度33分6.97秒東経133度28分51.69秒","伊野線","6.3 km（はりまや橋起点）","とさでん交通","地上駅","1907年（明治40年）9月16日","2面1線","高知県高知市朝倉北緯33度33分6.97秒東経133度28分51.69秒﻿ / ﻿北緯33.5519361度 東経133.4810250度﻿ /33.5519361; 133.4810250﻿ (朝倉神社前停留場)","","","","","","","","","","","",""
"朝地駅","[朝地駅（あさじえき）] ↑ 豊後竹田駅","https://ja.wikipedia.org/wiki/朝地駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯33度0分15.56秒東経131度25分56.36秒","■豊肥本線","53.9 km（大分起点）","九州旅客鉄道（JR九州）","地上駅","1923年（大正12年）12月20日","1面1線","大分県豊後大野市朝地町坪泉北緯33度0分15.56秒東経131度25分56.36秒﻿ / ﻿北緯33.0043222度 東経131.4323222度﻿ /33.0043222; 131.4323222","無人駅（自動券売機有）","アチ","","89人/日（降車客含まず）-2015年-","178人/日-2015年-","","","","","","",""
"朝潮橋駅","[朝潮橋駅（あさしおばしえき）] 朝潮橋駅 （あさしおばしえき）は、 大阪府 大阪市 港区 田中 三丁目にある、 大阪市高速電気軌道 (Osaka Metro) 中央線 の 駅 。駅番号は C12 。","https://ja.wikipedia.org/wiki/朝潮橋駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯34度39分39.15秒東経135度26分55.51秒","●中央線","3.9 km（コスモスクエア起点）","大阪市高速電気軌道(Osaka Metro)","高架駅","1961年（昭和36年）12月11日","2面2線","大阪市港区田中三丁目1-4北緯34度39分39.15秒東経135度26分55.51秒﻿ / ﻿北緯34.6608750度 東経135.4487528度﻿ /34.6608750; 135.4487528座標:北緯34度39分39.15秒東経135度26分55.51秒﻿ / ﻿北緯34.6608750度 東経135.4487528度﻿ /34.6608750; 135.4487528","",""," C12 ","9,426人/日（降車客含まず）-2020年-","18,571人/日-2020年-","","","","","","",""
"安里駅","[安里駅（あさとえき）] 安里駅 （あさとえき）は、 沖縄県 那覇市 字 安里 にある、 沖縄都市モノレール線 （ゆいレール）の 駅 である  。 駅番号 は 10 。","https://ja.wikipedia.org/wiki/安里駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯26度13分0.25秒東経127度41分44.65秒","■沖縄都市モノレール線（ゆいレール）","8.3 km（那覇空港起点）","沖縄都市モノレール","高架駅","2003年（平成15年）8月10日","1面2線","沖縄県那覇市字安里389-7北緯26度13分0.25秒東経127度41分44.65秒﻿ / ﻿北緯26.2167361度 東経127.6957361度﻿ /26.2167361; 127.6957361座標:北緯26度13分0.25秒東経127度41分44.65秒﻿ / ﻿北緯26.2167361度 東経127.6957361度﻿ /26.2167361; 127.6957361","","","10","1,494人/日（降車客含まず）-2020年-","","","","","","","",""
"朝菜町駅","[朝菜町駅（あさなまちえき）] 朝菜町駅 （あさなまちえき）は、 富山県 富山市 堀川町にある 富山地方鉄道上滝線 の 駅 である。駅番号は T62 。","https://ja.wikipedia.org/wiki/朝菜町駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯36度39分37.4秒東経137度13分29.6秒","■上滝線","1.3 km（南富山起点）","富山地方鉄道","地上駅","1958年（昭和33年）4月25日","単式1面1線","富山県富山市堀川町13-13北緯36度39分37.4秒東経137度13分29.6秒﻿ / ﻿北緯36.660389度 東経137.224889度﻿ /36.660389; 137.224889﻿ (朝菜町駅)座標:北緯36度39分37.4秒東経137度13分29.6秒﻿ / ﻿北緯36.660389度 東経137.224889度﻿ /36.660389; 137.224889﻿ (朝菜町駅)","無人駅","","T62","56人/日（降車客含まず）-2019年-","106人/日-2019年-","","","","","","",""
"浅海駅","[浅海駅（あさなみえき）] 浅海駅 （あさなみえき）は、 愛媛県 松山市 浅海本谷にある 四国旅客鉄道 （JR四国） 予讃線 の 駅 である。駅番号は Y46 。","https://ja.wikipedia.org/wiki/浅海駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯34度0分36.08秒東経132度48分9.75秒","■予讃線","170.6 km（高松起点）","四国旅客鉄道（JR四国）","地上駅","1926年（大正15年）3月28日","2面2線","愛媛県松山市浅海本谷北緯34度0分36.08秒東経132度48分9.75秒﻿ / ﻿北緯34.0100222度 東経132.8027083度﻿ /34.0100222; 132.8027083座標:北緯34度0分36.08秒東経132度48分9.75秒﻿ / ﻿北緯34.0100222度 東経132.8027083度﻿ /34.0100222; 132.8027083","無人駅","アミ","○Y46","","142人/日-2019年-","","","","","","",""
"浅野駅","[浅野駅（あさのえき）] 浅野駅 （あさのえき）は、 神奈川県 横浜市 鶴見区 末広町 二丁目にある、 東日本旅客鉄道 （JR東日本） 鶴見線 の 駅 である。JRの 特定都区市内 制度における「横浜市内」の駅。 駅番号 は JI 05 。","https://ja.wikipedia.org/wiki/浅野駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯35度29分51秒東経139度41分45.8秒","■鶴見線（本線）","3.0 km（鶴見起点）","東日本旅客鉄道（JR東日本）","地上駅","1926年（大正15年）3月10日","3面4線","横浜市鶴見区末広町二丁目1北緯35度29分51秒東経139度41分45.8秒﻿ / ﻿北緯35.49750度 東経139.696056度﻿ /35.49750; 139.696056﻿ (浅野駅)","無人駅（自動券売機 有）横浜市内駅","アノ","JI05","894人/日（降車客含まず）-2008年-","","","","","","","",""
"旭駅 (千葉県)","[旭駅 (千葉県)（あさひえき・東日本旅客鉄道総武本線）] 旭駅 （あさひえき）は、 千葉県 旭市 ロにある、 東日本旅客鉄道 （JR東日本） 総武本線 の 駅 である  。","https://ja.wikipedia.org/wiki/旭駅_(千葉県)","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯35度43分18.6秒東経140度39分18.4秒","■総武本線","103.6 km（東京起点）","東日本旅客鉄道（JR東日本）","地上駅","1897年（明治30年）6月1日","2面3線","千葉県旭市ロ677北緯35度43分18.6秒東経140度39分18.4秒﻿ / ﻿北緯35.721833度 東経140.655111度﻿ /35.721833; 140.655111座標:北緯35度43分18.6秒東経140度39分18.4秒﻿ / ﻿北緯35.721833度 東経140.655111度﻿ /35.721833; 140.655111","業務委託駅みどりの窓口有*1959年に旭町駅から改称。","アサ","","1,321人/日（降車客含まず）-2020年-","","","","","","","",""
"旭駅 (高知県)","[旭駅 (高知県)（あさひえき・四国旅客鉄道土讃線）] 旭駅 （あさひえき）は、 高知県 高知市 旭駅前町にある、 四国旅客鉄道 （JR四国） 土讃線 の 駅 である。駅案内パネルのコメントは「 おもかる地蔵尊の駅 」。 駅番号 は K03 。","https://ja.wikipedia.org/wiki/旭駅_(高知県)","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯33度33分31.94秒東経133度30分31.72秒","■土讃線","130.2 km（多度津起点）","四国旅客鉄道（JR四国）","地上駅","1924年（大正13年）11月15日","2面2線","高知県高知市旭駅前町49北緯33度33分31.94秒東経133度30分31.72秒﻿ / ﻿北緯33.5588722度 東経133.5088111度﻿ /33.5588722; 133.5088111座標:北緯33度33分31.94秒東経133度30分31.72秒﻿ / ﻿北緯33.5588722度 東経133.5088111度﻿ /33.5588722; 133.5088111","直営駅POS端末設置","アヒ","○K03","686人/日（降車客含まず）-2018年-","1,372人/日-2018年-","旭駅前通停留場（とさでん交通伊野線）","","","","","",""
"朝日駅","[朝日駅（あさひえき・東海旅客鉄道関西本線）] 朝日駅 （あさひえき）は、 三重県 三重郡 朝日町 大字柿にある、 東海旅客鉄道 （JR東海） 関西本線 の 駅 である。 駅番号 は CJ08 。","https://ja.wikipedia.org/wiki/朝日駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯35度2分2.12秒東経136度39分29.12秒","CJ関西本線（名古屋地区）","28.5 km（名古屋起点）","東海旅客鉄道（JR東海）","地上駅","1983年（昭和58年）8月8日","2面2線","三重県三重郡朝日町大字柿2081北緯35度2分2.12秒東経136度39分29.12秒﻿ / ﻿北緯35.0339222度 東経136.6580889度﻿ /35.0339222; 136.6580889座標:北緯35度2分2.12秒東経136度39分29.12秒﻿ / ﻿北緯35.0339222度 東経136.6580889度﻿ /35.0339222; 136.6580889","駅員無配置駅","アサ","CJ  08 ","697人/日（降車客含まず）-2019年-","","","","","","","",""
"朝陽駅","[朝陽駅（あさひえき・長野電鉄長野線）] 朝陽駅 （あさひえき）は、 長野県 長野市 大字 南堀 にある 長野電鉄長野線 の 駅 である  。 駅番号 は N8 。","https://ja.wikipedia.org/wiki/朝陽駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯36度39分58.2秒東経138度14分29.0秒","長野線","6.3 km（長野起点）","長野電鉄","地上駅","1926年（大正15年）6月28日","1面2線","長野県長野市大字南堀191-1北緯36度39分58.2秒東経138度14分29.0秒﻿ / ﻿北緯36.666167度 東経138.241389度﻿ /36.666167; 138.241389座標:北緯36度39分58.2秒東経138度14分29.0秒﻿ / ﻿北緯36.666167度 東経138.241389度﻿ /36.666167; 138.241389","終日駅員無配置駅","アヒ","N8","1,069人/日（降車客含まず）-2019年-","","","","","","","",""
"旭駅前通停留場","[旭駅前通停留場（あさひえきまえどおりていりゅうじょう）] 旭駅前通停留場 （あさひえきまえどおりていりゅうじょう）は、 高知県 高知市 旭町二丁目にある とさでん交通 伊野線 の 路面電車停留場 。","https://ja.wikipedia.org/wiki/旭駅前通停留場","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯33度33分21.51秒東経133度30分33.72秒","伊野線","3.1 km（はりまや橋起点）","とさでん交通","地上駅","1906年（明治39年）10月9日","2面2線","高知県高知市旭町二丁目北緯33度33分21.51秒東経133度30分33.72秒﻿ / ﻿北緯33.5559750度 東経133.5093667度﻿ /33.5559750; 133.5093667﻿ (旭駅前通停留場*)","* 1938年に赤石前停留場から改称","","","","","旭駅（土讃線）","","","","","",""
"朝日大塚駅","[朝日大塚駅（あさひおおつかえき）] 朝日大塚駅 （あさひおおつかえき）は、 滋賀県 東近江市 大塚町にある 近江鉄道本線 の 駅 である。駅番号は OR30 。","https://ja.wikipedia.org/wiki/朝日大塚駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯35度3分4.02秒東経136度11分36.67秒","■本線（水口・蒲生野線）","32.8 km（米原起点）","近江鉄道","地上駅","1916年（大正5年）10月16日","単式1面1線","滋賀県東近江市大塚町315-3北緯35度3分4.02秒東経136度11分36.67秒﻿ / ﻿北緯35.0511167度 東経136.1935194度﻿ /35.0511167; 136.1935194座標:北緯35度3分4.02秒東経136度11分36.67秒﻿ / ﻿北緯35.0511167度 東経136.1935194度﻿ /35.0511167; 136.1935194","無人駅","","OR30","74人/日（降車客含まず）-2016年-","","","","","","","",""
"旭ヶ丘駅 (宮城県)","[旭ヶ丘駅 (宮城県)（あさひがおかえき・仙台市地下鉄南北線）] 旭ヶ丘駅 （あさひがおかえき）は、 宮城県 仙台市 青葉区 旭ケ丘三丁目にある、 仙台市地下鉄南北線 の 駅 である。駅番号は N04 。副駅名は「日立システムズホール仙台前」（令和7年3月31日まで）。","https://ja.wikipedia.org/wiki/旭ヶ丘駅_(宮城県)","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯38度17分43.45秒 東経140度53分1.06秒","■南北線","3.3 km（泉中央起点）","仙台市交通局（仙台市地下鉄）","地下駅","1987年（昭和62年）7月15日","1面2線","","","","○N04","7,178人/日（降車客含まず）-2019年-","14,682人/日-2019年-","","","","","","",""
"旭ヶ丘停留場","[旭ヶ丘停留場（あさひがおかていりゅうじょう・万葉線高岡軌道線）] 旭ヶ丘停留場 （あさひがおかていりゅうじょう）は、 富山県 高岡市 江尻にある 万葉線 の 停留場 。","https://ja.wikipedia.org/wiki/旭ヶ丘停留場","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯36度45分50.10秒東経137度1分56.65秒","万葉線（高岡軌道線）","3.3 km（高岡駅起点）","万葉線","地上駅","1948年（昭和23年）4月10日","2面2線","富山県高岡市江尻北緯36度45分50.10秒東経137度1分56.65秒﻿ / ﻿北緯36.7639167度 東経137.0324028度﻿ /36.7639167; 137.0324028座標:北緯36度45分50.10秒東経137度1分56.65秒﻿ / ﻿北緯36.7639167度 東経137.0324028度﻿ /36.7639167; 137.0324028","","","","","161人/日-2019年-","","","","","","",""
"旭ケ丘駅 (宮崎県)","[旭ケ丘駅 (宮崎県)（あさひがおかえき・九州旅客鉄道日豊本線）] 旭ケ丘駅 （あさひがおかえき）は、 宮崎県 延岡市 旭ヶ丘 にある、 九州旅客鉄道 （JR九州） 日豊本線 の 駅 である  。","https://ja.wikipedia.org/wiki/旭ケ丘駅_(宮崎県)","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯32度31分41.34秒東経131度40分53.04秒","■日豊本線","263.1 km（小倉起点）","九州旅客鉄道（JR九州）","地上駅","1988年（昭和63年）3月13日","1面1線","宮崎県延岡市旭ヶ丘北緯32度31分41.34秒東経131度40分53.04秒﻿ / ﻿北緯32.5281500度 東経131.6814000度﻿ /32.5281500; 131.6814000","無人駅（自動券売機 有）","アヒ","","131人/日（降車客含まず）-2015年-","","","","","","","",""
"朝日ヶ丘駅","[朝日ヶ丘駅（あさひがおかえき・一畑電気鉄道北松江線）] 朝日ヶ丘駅 （あさひがおかえき）は、 島根県 松江市 古曽志町に位置する 一畑電車北松江線 の 駅 である。駅番号は 20 。島根県の鉄道駅の中で最北端に位置する。","https://ja.wikipedia.org/wiki/朝日ヶ丘駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯35度28分51.2秒東経132度59分16.13秒","北松江線","28.0 km（電鉄出雲市起点）","一畑電車","地上駅","1988年4月1日","1面1線","島根県松江市古曽志町1620-3北緯35度28分51.2秒東経132度59分16.13秒﻿ / ﻿北緯35.480889度 東経132.9878139度﻿ /35.480889; 132.9878139座標:北緯35度28分51.2秒東経132度59分16.13秒﻿ / ﻿北緯35.480889度 東経132.9878139度﻿ /35.480889; 132.9878139","","","20","85人/日（降車客含まず）-2018年-","198人/日-2018年-","","","","","","",""
"旭川駅","[旭川駅（あさひかわえき）] 旭川駅 （あさひかわえき）は、 北海道 旭川市 宮下通8丁目にある、 北海道旅客鉄道 （JR北海道）の 駅 である。 駅番号 は A28 。 事務管コード は▲120108  。","https://ja.wikipedia.org/wiki/旭川駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯43度45分49秒東経142度21分29秒","■函館本線","423.1 km（函館起点）","北海道旅客鉄道（JR北海道)","高架駅","1898年（明治31年）7月16日","4面7線","北海道旭川市宮下通8丁目3番1号北緯43度45分49秒東経142度21分29秒﻿ / ﻿北緯43.76361度 東経142.35806度﻿ /43.76361; 142.35806﻿ (旭川駅)","直営駅（管理駅）みどりの窓口有","アサ","○A28","4,847人/日（降車客含まず）-2019年-","","","","","","","",""
"旭川四条駅","[旭川四条駅（あさひかわよじょうえき）] 旭川四条駅 （あさひかわよじょうえき）は、 北海道 旭川市 4条通18丁目にある 北海道旅客鉄道 （JR北海道） 宗谷本線 の 駅 である。 駅番号 は A29 。宗谷本線のほか、新旭川駅 - 旭川駅間に乗り入れている 石北本線 の列車も停車する。","https://ja.wikipedia.org/wiki/旭川四条駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯43度45分51秒東経142度22分33秒","■宗谷本線","1.8 km（旭川起点）","北海道旅客鉄道（JR北海道）","高架駅","1957年（昭和32年）2月1日","2面2線","北海道旭川市4条通18丁目北緯43度45分51秒東経142度22分33秒﻿ / ﻿北緯43.76417度 東経142.37583度﻿ /43.76417; 142.37583座標:北緯43度45分51秒東経142度22分33秒﻿ / ﻿北緯43.76417度 東経142.37583度﻿ /43.76417; 142.37583","無人駅■石北本線直通含む","アシ","○A29","","76人/日-2014年-","","","","","","",""
"朝日通停留場","[朝日通停留場（あさひどおりていりゅうじょう）] 朝日通停留場 （あさひどおりていりゅうじょう）は、 鹿児島県 鹿児島市 名山町 および 金生町 にある 鹿児島市電 の 停留場 。 鹿児島市電1系統 と 2系統 が使用する。","https://ja.wikipedia.org/wiki/朝日通停留場","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯31度35分40.91秒東経130度33分26.22秒","鹿児島市電第一期線（1系統・2系統）","2.1km（武之橋起点）鹿児島駅前から1.0 km","鹿児島市交通局","地上駅","1914年10月3日","2面2線","鹿児島県鹿児島市名山町（下りホーム）鹿児島県鹿児島市金生町（上りホーム）北緯31度35分40.91秒東経130度33分26.22秒﻿ / ﻿北緯31.5946972度 東経130.5572833度﻿ /31.5946972; 130.5572833﻿ (朝日通停留場)","","","●I05●N05","","1,569人/日-2015年-","","","","","","",""
"朝日野駅","[朝日野駅（あさひのえき）] 朝日野駅 （あさひのえき）は、 滋賀県 東近江市 鋳物師町にある 近江鉄道本線 の 駅 である。駅番号は OR31 。","https://ja.wikipedia.org/wiki/朝日野駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯35度1分53.52秒東経136度12分20.61秒","■本線（水口・蒲生野線）","35.2 km（米原起点）","近江鉄道","地上駅","1900年（明治33年）12月28日","単式1面1線","滋賀県東近江市鋳物師町903-2北緯35度1分53.52秒東経136度12分20.61秒﻿ / ﻿北緯35.0315333度 東経136.2057250度﻿ /35.0315333; 136.2057250座標:北緯35度1分53.52秒東経136度12分20.61秒﻿ / ﻿北緯35.0315333度 東経136.2057250度﻿ /35.0315333; 136.2057250","無人駅","","OR31","38人/日（降車客含まず）-2016年-","","","","","","","",""
"旭橋駅","[旭橋駅（あさひばしえき）] 旭橋駅 （あさひばしえき）は、 沖縄県 那覇市 泉崎 一丁目にある、 沖縄都市モノレール線 （ゆいレール）の 駅 である。 駅番号 は 6 。","https://ja.wikipedia.org/wiki/旭橋駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯26度12分43.01秒東経127度40分31.71秒","■沖縄都市モノレール線（ゆいレール）","5.4 km（那覇空港起点）","沖縄都市モノレール","高架駅","2003年（平成15年）8月10日","2面2線","沖縄県那覇市泉崎一丁目105北緯26度12分43.01秒東経127度40分31.71秒﻿ / ﻿北緯26.2119472度 東経127.6754750度﻿ /26.2119472; 127.6754750座標:北緯26度12分43.01秒東経127度40分31.71秒﻿ / ﻿北緯26.2119472度 東経127.6754750度﻿ /26.2119472; 127.6754750","","","6","2,194人/日（降車客含まず）-2020年-","","","","","","","",""
"旭前駅","[旭前駅（あさひまええき）] 旭前駅 （あさひまええき）は、 愛知県 尾張旭市 旭前町5丁目にある、 名鉄 瀬戸線 の 駅 である。駅番号は ST14 。","https://ja.wikipedia.org/wiki/旭前駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯35度12分51秒東経137度1分11秒","瀬戸線","13.1 km（栄町起点）","名古屋鉄道","地上駅**","1942年（昭和17年）","相対式 2面2線","愛知県尾張旭市旭前町五丁目4-5北緯35度12分51秒東経137度1分11秒﻿ / ﻿北緯35.21417度 東経137.01972度﻿ /35.21417; 137.01972座標:北緯35度12分51秒東経137度1分11秒﻿ / ﻿北緯35.21417度 東経137.01972度﻿ /35.21417; 137.01972","*1942年聾石駅より改称か?（#歴史参照）**2006年より無人化。","","ST  14 ","","6,281人/日-2019年-","","","","","","",""
"旭町一丁目停留場","[旭町一丁目停留場（あさひまちいっちょうめていりゅうじょう）] 旭町一丁目停留場 （あさひまちいっちょうめていりゅうじょう）は、 高知県 高知市 旭町一丁目にある とさでん交通 伊野線 の 路面電車停留場 。","https://ja.wikipedia.org/wiki/旭町一丁目停留場","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯33度33分24.27秒東経133度30分49.73秒","伊野線","2.8 km（はりまや橋起点）","とさでん交通","地上駅","1906年（明治39年）10月9日","2面2線","高知県高知市旭町一丁目北緯33度33分24.27秒東経133度30分49.73秒﻿ / ﻿北緯33.5567417度 東経133.5138139度﻿ /33.5567417; 133.5138139﻿ (旭町一丁目停留場*)","* 1938年に中須賀停留場から改称","","","","","","","","","","",""
"旭町三丁目停留場","[旭町三丁目停留場（あさひまちさんちょうめていりゅうじょう）] 旭町三丁目停留場 （あさひまちさんちょうめていりゅうじょう）は、 高知県 高知市 旭町三丁目にある とさでん交通 伊野線 の 路面電車停留場 。","https://ja.wikipedia.org/wiki/旭町三丁目停留場","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯33度33分20.6秒東経133度30分23.45秒","伊野線","3.4 km（はりまや橋起点）","とさでん交通","地上駅","1906年（明治39年）10月9日","2面2線","高知県高知市旭町三丁目北緯33度33分20.6秒東経133度30分23.45秒﻿ / ﻿北緯33.555722度 東経133.5065139度﻿ /33.555722; 133.5065139﻿ (旭町三丁目停留場*)","* 1938年に下島停留場から改称","","","","","","","","","","",""
"麻生駅","[麻生駅（あさぶえき）] 麻生駅 （あさぶえき）は、 北海道 札幌市 北区 北40条西5丁目 にある 札幌市営地下鉄南北線 の 駅 である。駅番号は N01 。なお、かつてはほぼ同じ位置に 札幌市電 鉄北線の 麻生町停留場 があった。","https://ja.wikipedia.org/wiki/麻生駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯43度6分32.6秒東経141度20分17.3秒","札幌市営地下鉄南北線","0.0 km（麻生起点）","札幌市交通局","地下駅","1978年（昭和53年）3月16日","1面2線","札幌市北区北40条西5丁目北緯43度6分32.6秒東経141度20分17.3秒﻿ / ﻿北緯43.109056度 東経141.338139度﻿ /43.109056; 141.338139座標:北緯43度6分32.6秒東経141度20分17.3秒﻿ / ﻿北緯43.109056度 東経141.338139度﻿ /43.109056; 141.338139","","","○N01","20,242人/日（降車客含まず）-2019年-","","新琴似駅（北海道旅客鉄道札沼線）","","","","","",""
"麻布十番駅","[麻布十番駅（あざぶじゅうばんえき）] 麻布十番駅 （あざぶじゅうばんえき）は、 東京都 港区 麻布十番 にある、 東京地下鉄 （東京メトロ）・ 東京都交通局 （都営地下鉄）の 駅 である。","https://ja.wikipedia.org/wiki/麻布十番駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯35度39分17秒 東経139度44分13秒","●東京メトロ南北線","3.6 km（目黒起点）","東京地下鉄（東京メトロ）東京都交通局（都営地下鉄）","地下駅","2000年（平成12年）9月26日","各1面2線（計2面4線）","","","サフ（東京メトロ）麻（東京都交通局、駅名略称）","N04","","（東京メトロ）-2020年-32,394人/日（東京都交通局）-2019年-37,018人/日","","","","","","",""
"朝熊駅","[朝熊駅（あさまえき）] 朝熊駅 （あさまえき）は、 三重県 伊勢市 朝熊町小坊山にある、 近畿日本鉄道 （近鉄） 鳥羽線 の 駅 である。駅番号は M76 。","https://ja.wikipedia.org/wiki/朝熊駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯34度28分38.42秒東経136度45分31.06秒","M鳥羽線","4.9km（宇治山田起点）伊勢中川から33.2 km","近畿日本鉄道（近鉄）","高架駅","1970年（昭和45年）3月1日","2面2線","三重県伊勢市朝熊町小坊山1486北緯34度28分38.42秒東経136度45分31.06秒﻿ / ﻿北緯34.4773389度 東経136.7586278度﻿ /34.4773389; 136.7586278座標:北緯34度28分38.42秒東経136度45分31.06秒﻿ / ﻿北緯34.4773389度 東経136.7586278度﻿ /34.4773389; 136.7586278","無人駅（乗車駅証明書発行機 有）","アサマ"," M76 ","117人/日（降車客含まず）-2019年-","","","","","","","",""
"阿左美駅","[阿左美駅（あざみえき）] 阿左美駅 （あざみえき）は、 群馬県 みどり市 笠懸町阿左美にある、 東武鉄道 桐生線 の 駅 である。 駅番号 は TI 54 。","https://ja.wikipedia.org/wiki/阿左美駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯36度23分13.64秒東経139度18分31.61秒","■桐生線","13.1 km（太田起点）","東武鉄道","地上駅","1937年（昭和12年）5月5日","1面1線","群馬県みどり市笠懸町阿左美1032-2北緯36度23分13.64秒東経139度18分31.61秒﻿ / ﻿北緯36.3871222度 東経139.3087806度﻿ /36.3871222; 139.3087806﻿ (阿左美駅)座標:北緯36度23分13.64秒東経139度18分31.61秒﻿ / ﻿北緯36.3871222度 東経139.3087806度﻿ /36.3871222; 139.3087806﻿ (阿左美駅)","","アミ","TI54","","420人/日-2020年-","","","","","","",""
"あざみ野駅","[あざみ野駅（あざみのえき）] あざみ野駅 （あざみのえき）は、 神奈川県 横浜市 青葉区 あざみ野 二丁目にある、 東急電鉄 と 横浜市営地下鉄 の 駅 である。","https://ja.wikipedia.org/wiki/あざみ野駅","日本の鉄道駅一覧 あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯35度34分7.4秒 東経139度33分12.8秒","","","東急電鉄（駅詳細）横浜市交通局（駅詳細）","","","","横浜市青葉区あざみ野二丁目","","","","","","","","","","","",""
