"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","所在地","駅構造","開業年月日","ホーム","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","乗車人員,-統計年次-","標高","標高差","最長滑走距離","最大傾斜"
"佃駅","佃駅（つくだえき・四国旅客鉄道土讃線・徳島線）","https://ja.wikipedia.org/wiki/佃駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度1分56.85秒東経133度51分26.51秒","■土讃線","38.8 km（多度津起点）","四国旅客鉄道（JR四国）","徳島県三好市井川町西井川1201番地北緯34度1分56.85秒東経133度51分26.51秒﻿ / ﻿北緯34.0324583度 東経133.8573639度﻿ /34.0324583; 133.8573639座標:北緯34度1分56.85秒東経133度51分26.51秒﻿ / ﻿北緯34.0324583度 東経133.8573639度﻿ /34.0324583; 133.8573639","地上駅","1950年（昭和25年）1月10日","1面2線","無人駅","○D21","ツク","28人/日（降車客含まず）-2014年-","","","","","","","",""
"津久田駅","津久田駅（つくだえき・東日本旅客鉄道上越線）","https://ja.wikipedia.org/wiki/津久田駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯36度33分39.67秒東経139度2分33.86秒","■上越線","30.5 km（高崎起点）","東日本旅客鉄道（JR東日本）","群馬県渋川市赤城町津久田2854-2北緯36度33分39.67秒東経139度2分33.86秒﻿ / ﻿北緯36.5610194度 東経139.0427389度﻿ /36.5610194; 139.0427389﻿ (津久田駅)座標:北緯36度33分39.67秒東経139度2分33.86秒﻿ / ﻿北緯36.5610194度 東経139.0427389度﻿ /36.5610194; 139.0427389﻿ (津久田駅)","地上駅（盛土上）","1948年（昭和23年）1月1日[1]","2面2線","無人駅","","ツク←ツクタ","40人/日（降車客含まず）-2011年-","","","","","","","",""
"津久野駅","津久野駅（つくのえき）","https://ja.wikipedia.org/wiki/津久野駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度32分32.07秒東経135度28分5.98秒","R阪和線","13.7 km（天王寺起点）","西日本旅客鉄道（JR西日本）","堺市西区津久野町一丁2-1北緯34度32分32.07秒東経135度28分5.98秒﻿ / ﻿北緯34.5422417度 東経135.4683278度﻿ /34.5422417; 135.4683278座標:北緯34度32分32.07秒東経135度28分5.98秒﻿ / ﻿北緯34.5422417度 東経135.4683278度﻿ /34.5422417; 135.4683278","地上駅（盛土上）","1960年（昭和35年）9月1日","2面2線","直営駅みどりの券売機プラス設置駅","JR-R32","ツノ","8,448人/日（降車客含まず）-2018年-","","","","","","","",""
"つくば駅","つくば駅","https://ja.wikipedia.org/wiki/つくば駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯36度4分57.96秒東経140度6分41.08秒","つくばエクスプレス","58.3 km（秋葉原起点）","首都圏新都市鉄道","茨城県つくば市吾妻二丁目4番地1北緯36度4分57.96秒東経140度6分41.08秒﻿ / ﻿北緯36.0827667度 東経140.1114111度﻿ /36.0827667; 140.1114111座標:北緯36度4分57.96秒東経140度6分41.08秒﻿ / ﻿北緯36.0827667度 東経140.1114111度﻿ /36.0827667; 140.1114111","地下駅","2005年（平成17年）8月24日","1面2線","駅出入口およびそれらをつなぐ地下通路は駅構内ではなく「都市計画道路南北自由通路[1]」である。","TX20","","18,849人/日（降車客含まず）-2018年-","","","","","","","",""
"筑波観光鉄道筑波山鋼索鉄道線","筑波山頂駅（つくばさんちょうえき）","https://ja.wikipedia.org/wiki/筑波観光鉄道筑波山鋼索鉄道線","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"津久見駅","津久見駅（つくみえき）","https://ja.wikipedia.org/wiki/津久見駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯33度4分22.25秒東経131度51分49.53秒","■日豊本線","178.9 km（小倉起点）","九州旅客鉄道（JR九州）","大分県津久見市中央町1-30[1][2]北緯33度4分22.25秒東経131度51分49.53秒","地上駅（橋上駅）[1]","1916年（大正5年）10月25日[1]","1面3線(3番線はホームを持たないため客扱いはない)[1]","業務委託駅[2]みどりの窓口有[1]","","クミ","819[3]人/日（降車客含まず）-2019年-","","","","","","","",""
"柘植駅","柘植駅（つげえき）","https://ja.wikipedia.org/wiki/柘植駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度50分49.11秒東経136度15分20.5秒","V関西本線","79.9km（名古屋起点）亀山から20.0 km","西日本旅客鉄道（JR西日本）","三重県伊賀市柘植町北緯34度50分49.11秒東経136度15分20.5秒﻿ / ﻿北緯34.8469750度 東経136.255694度﻿ /34.8469750; 136.255694座標:北緯34度50分49.11秒東経136度15分20.5秒﻿ / ﻿北緯34.8469750度 東経136.255694度﻿ /34.8469750; 136.255694","地上駅","1890年（明治23年）2月19日","2面3線","簡易委託駅","","ツケ","308人/日（降車客含まず）-2019年-","","","","","","","",""
"津古駅","津古駅（つこえき）","https://ja.wikipedia.org/wiki/津古駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯33度26分45.27秒東経130度33分55.77秒","■天神大牟田線","23.0 km（西鉄福岡（天神）起点）","西日本鉄道","福岡県小郡市津古北緯33度26分45.27秒東経130度33分55.77秒﻿ / ﻿北緯33.4459083度 東経130.5654917度﻿ /33.4459083; 130.5654917座標:北緯33度26分45.27秒東経130度33分55.77秒﻿ / ﻿北緯33.4459083度 東経130.5654917度﻿ /33.4459083; 130.5654917","地上駅","1924年（大正13年）4月12日","2面2線","","T  18 ","","","2,431人/日-2019年-","","","","","","",""
"辻駅","辻駅（つじえき）","https://ja.wikipedia.org/wiki/辻駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度1分44.37秒東経133度52分23.64秒","■徳島線","1.5 km（佃起点）","四国旅客鉄道（JR四国）","徳島県三好市井川町御領田54番地北緯34度1分44.37秒東経133度52分23.64秒﻿ / ﻿北緯34.0289917度 東経133.8732333度﻿ /34.0289917; 133.8732333座標:北緯34度1分44.37秒東経133度52分23.64秒﻿ / ﻿北緯34.0289917度 東経133.8732333度﻿ /34.0289917; 133.8732333","地上駅","1914年（大正3年）3月25日","1面2線","無人駅","○B23","ツシ","250人/日（降車客含まず）-2014年-","","","","","","","",""
"辻堂駅","辻堂駅（つじどうえき）","https://ja.wikipedia.org/wiki/辻堂駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯35度20分12.6秒東経139度26分49.5秒","■東海道本線","54.8 km（東京起点）","東日本旅客鉄道（JR東日本）","神奈川県藤沢市辻堂一丁目1-1北緯35度20分12.6秒東経139度26分49.5秒﻿ / ﻿北緯35.336833度 東経139.447083度﻿ /35.336833; 139.447083﻿ (辻堂駅)","地上駅（橋上駅）","1916年（大正5年）12月1日[1]","1面2線","業務委託駅みどりの窓口有","JT09","ツト","59,409人/日（降車客含まず）-2019年-","","","","","","","",""
"津島駅","津島駅（つしまえき）","https://ja.wikipedia.org/wiki/津島駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯35度10分41秒東経136度43分52秒","尾西線","8.2 km（弥富起点）","名古屋鉄道","愛知県津島市錦町1番地1北緯35度10分41秒東経136度43分52秒﻿ / ﻿北緯35.17806度 東経136.73111度﻿ /35.17806; 136.73111座標:北緯35度10分41秒東経136度43分52秒﻿ / ﻿北緯35.17806度 東経136.73111度﻿ /35.17806; 136.73111","高架駅","1898年（明治31年）4月3日","島式 1面2線","","TB  07 ","","","11,994人/日-2019年[1]-","","","","","","",""
"津島ノ宮駅","津島ノ宮駅（つしまのみやえき・臨時）","https://ja.wikipedia.org/wiki/津島ノ宮駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度14分18.63秒東経133度42分17.5秒","■予讃線[1]","39.8 km（高松起点）","四国旅客鉄道（JR四国）[1][2]","香川県三豊市三野町大見[2]甲6884-1[3]北緯34度14分18.63秒東経133度42分17.5秒﻿ / ﻿北緯34.2385083度 東経133.704861度﻿ /34.2385083; 133.704861座標:北緯34度14分18.63秒東経133度42分17.5秒﻿ / ﻿北緯34.2385083度 東経133.704861度﻿ /34.2385083; 133.704861","地上駅","1915年（大正4年）5月7日[1][2]","1面1線","臨時駅","","ツミ","9人/日（降車客含まず）-2019年-","","","","","","","",""
"津新町駅","津新町駅（つしんまちえき）","https://ja.wikipedia.org/wiki/津新町駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度42分57.5秒東経136度29分59.37秒","E名古屋線","10.0 km（伊勢中川起点）","近畿日本鉄道（近鉄）","三重県津市新町一丁目5-35北緯34度42分57.5秒東経136度29分59.37秒﻿ / ﻿北緯34.715972度 東経136.4998250度﻿ /34.715972; 136.4998250座標:北緯34度42分57.5秒東経136度29分59.37秒﻿ / ﻿北緯34.715972度 東経136.4998250度﻿ /34.715972; 136.4998250","地上駅","1931年（昭和6年）7月4日","2面3線",""," E40 ","ツシ","6,966人/日（降車客含まず）-2019年-","","","","","","","",""
"都住駅","都住駅（つすみえき）","https://ja.wikipedia.org/wiki/都住駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","","長野線","18.6 km（長野起点）","長野電鉄","","地上駅","1928年（昭和3年）10月11日[1]","1面1線[1]","終日駅員無配置駅[1]","N16","ツス[1]","101人/日（降車客含まず）-2017年-","","","","","","","",""
"津田駅","津田駅（つだえき）","https://ja.wikipedia.org/wiki/津田駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度48分4.2秒東経135度41分51.4秒","H片町線（学研都市線）","21.8 km（木津起点）","西日本旅客鉄道（JR西日本）","大阪府枚方市津田駅前一丁目27-1北緯34度48分4.2秒東経135度41分51.4秒﻿ / ﻿北緯34.801167度 東経135.697611度﻿ /34.801167; 135.697611座標:北緯34度48分4.2秒東経135度41分51.4秒﻿ / ﻿北緯34.801167度 東経135.697611度﻿ /34.801167; 135.697611","地上駅","1898年（明治31年）4月12日","2面2線","業務委託駅みどりの券売機プラス設置駅","JR-H29","ツタ","5,646人/日（降車客含まず）-2019年-","","","","","","","",""
"津田沼駅","津田沼駅（つだぬまえき）","https://ja.wikipedia.org/wiki/津田沼駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯35度41分28秒東経140度1分14秒","■総武線（快速）[* 2]","26.7 km（東京起点）","東日本旅客鉄道（JR東日本）","千葉県習志野市津田沼一丁目1-1[* 1]北緯35度41分28秒東経140度1分14秒﻿ / ﻿北緯35.69111度 東経140.02056度﻿ /35.69111; 140.02056座標:北緯35度41分28秒東経140度1分14秒﻿ / ﻿北緯35.69111度 東経140.02056度﻿ /35.69111; 140.02056","地上駅（橋上駅）","1895年（明治28年）9月21日[1]","3面6線[1]","直営駅みどりの窓口有","JO26","ツヌ","102,846人/日（降車客含まず）-2019年-","","SL23新津田沼駅[2]（新京成電鉄新京成線）","","","","","",""
"津田山駅","津田山駅（つだやまえき）","https://ja.wikipedia.org/wiki/津田山駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯35度36分13.9秒東経139度36分1.8秒","■南武線","13.9 km（川崎起点）","東日本旅客鉄道（JR東日本）","川崎市高津区下作延六丁目2-19北緯35度36分13.9秒東経139度36分1.8秒﻿ / ﻿北緯35.603861度 東経139.600500度﻿ /35.603861; 139.600500座標:北緯35度36分13.9秒東経139度36分1.8秒﻿ / ﻿北緯35.603861度 東経139.600500度﻿ /35.603861; 139.600500","地上駅","1941年（昭和16年）2月5日[1]","1面2線","業務委託駅","JN11","ツヤ←ツタヤ","3,820人/日（降車客含まず）-2019年-","","","","","","","",""
"土浦駅","土浦駅（つちうらえき）","https://ja.wikipedia.org/wiki/土浦駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯36度4分40.52秒東経140度12分21.37秒","■常磐線","63.8 km（日暮里起点）","東日本旅客鉄道（JR東日本）日本貨物鉄道（JR貨物）","茨城県土浦市有明町1-30北緯36度4分40.52秒東経140度12分21.37秒﻿ / ﻿北緯36.0779222度 東経140.2059361度﻿ /36.0779222; 140.2059361座標:北緯36度4分40.52秒東経140度12分21.37秒﻿ / ﻿北緯36.0779222度 東経140.2059361度﻿ /36.0779222; 140.2059361","地上駅（橋上駅）","1895年（明治28年）11月4日","2面3線","直営駅（管理駅）みどりの窓口有","","ツチ","15,956人/日（降車客含まず）-2019年-","","","","","","","",""
"土崎駅","土崎駅（つちざきえき）","https://ja.wikipedia.org/wiki/土崎駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","","■奥羽本線（■男鹿線直通含む）","305.8 km（福島起点）","東日本旅客鉄道（JR東日本）日本貨物鉄道（JR貨物）","","地上駅","1902年（明治35年）10月21日[新聞 1]","2面3線","直営駅（管理駅）","","ツサ","2,032人/日（降車客含まず）-2019年-","","","","","","","",""
"土沢駅","土沢駅（つちざわえき）","https://ja.wikipedia.org/wiki/土沢駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯39度23分0.93秒東経141度13分56.32秒","■釜石線","12.7 km（花巻起点）","東日本旅客鉄道（JR東日本）","岩手県花巻市東和町土沢8-446北緯39度23分0.93秒東経141度13分56.32秒座標:北緯39度23分0.93秒 東経141度13分56.32秒","地上駅","1913年（大正2年）10月25日[1]","2面2線","無人駅","","ツチ","168人/日（降車客含まず）-2017年-","","","","","","","",""
"土樽駅","土樽駅（つちたるえき）","https://ja.wikipedia.org/wiki/土樽駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯36度52分29.64秒東経138度51分44.20秒","■上越線","80.1 km（高崎起点）","東日本旅客鉄道（JR東日本）","新潟県南魚沼郡湯沢町大字土樽北緯36度52分29.64秒東経138度51分44.20秒﻿ / ﻿北緯36.8749000度 東経138.8622778度﻿ /36.8749000; 138.8622778﻿ (土樽駅)座標:北緯36度52分29.64秒東経138度51分44.20秒﻿ / ﻿北緯36.8749000度 東経138.8622778度﻿ /36.8749000; 138.8622778﻿ (土樽駅)","地上駅","1933年（昭和8年）12月8日","2面2線","無人駅","","タル","","","","","","","","",""
"土橋駅 (愛知県)","土橋駅 (愛知県)（つちはしえき・名鉄三河線）","https://ja.wikipedia.org/wiki/土橋駅_(愛知県)","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯35度3分29.8秒東経137度7分47.5秒","三河線","10.2km（猿投起点）知立から11.1 km","名古屋鉄道","愛知県豊田市土橋町八丁目145北緯35度3分29.8秒東経137度7分47.5秒﻿ / ﻿北緯35.058278度 東経137.129861度﻿ /35.058278; 137.129861座標:北緯35度3分29.8秒東経137度7分47.5秒﻿ / ﻿北緯35.058278度 東経137.129861度﻿ /35.058278; 137.129861","橋上駅","1920年（大正9年）7月5日","複式 2面3線","有人駅","MY  05 ","","","8,443人/日-2019年[1]-","","","","","","",""
"土山駅","土山駅（つちやまえき）","https://ja.wikipedia.org/wiki/土山駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度43分13.74秒東経134度53分19.94秒","A山陽本線（JR神戸線）","32.2km（神戸起点）大阪から65.3 km","西日本旅客鉄道（JR西日本）","兵庫県加古郡播磨町野添1616-2**[1]北緯34度43分13.74秒東経134度53分19.94秒﻿ / ﻿北緯34.7204833度 東経134.8888722度﻿ /34.7204833; 134.8888722座標:北緯34度43分13.74秒東経134度53分19.94秒﻿ / ﻿北緯34.7204833度 東経134.8888722度﻿ /34.7204833; 134.8888722","地上駅（橋上駅[2]）","1888年（明治21年）12月23日[1]","2面3線[1]","直営駅[1]みどりの窓口有","JR-A77","ツチ","14,201人/日（降車客含まず）-2019年-","","","","","","","",""
"通津駅","通津駅（つづえき）","https://ja.wikipedia.org/wiki/通津駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度4分6.01秒東経132度12分18.44秒","■山陽本線","358.6 km（神戸起点）","西日本旅客鉄道（JR西日本）","山口県岩国市通津3382北緯34度4分6.01秒東経132度12分18.44秒﻿ / ﻿北緯34.0683361度 東経132.2051222度﻿ /34.0683361; 132.2051222座標:北緯34度4分6.01秒東経132度12分18.44秒﻿ / ﻿北緯34.0683361度 東経132.2051222度﻿ /34.0683361; 132.2051222","地上駅","1934年（昭和9年）8月11日[1]","2面2線","業務委託駅","","ツツ","531人/日（降車客含まず）-2019年-","","","","","","","",""
"筒井駅 (青森県)","筒井駅 (青森県)（つついえき・青い森鉄道線）","https://ja.wikipedia.org/wiki/筒井駅_(青森県)","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯40度48分20秒東経140度46分12秒","■青い森鉄道線","117.5km（目時起点）東京から734.8 km","青い森鉄道","青森県青森市筒井三丁目北緯40度48分20秒東経140度46分12秒﻿ / ﻿北緯40.80556度 東経140.77000度﻿ /40.80556; 140.77000﻿ (筒井駅)座標:北緯40度48分20秒東経140度46分12秒﻿ / ﻿北緯40.80556度 東経140.77000度﻿ /40.80556; 140.77000﻿ (筒井駅)","地上駅[1]","2014年（平成26年）3月15日[1]","2面2線[1]","無人駅（自動券売機 有）[1]","","","795人/日（降車客含まず）-2018年-","","","","","","","",""
"筒井駅 (奈良県)","筒井駅 (奈良県)（つついえき・近鉄橿原線）","https://ja.wikipedia.org/wiki/筒井駅_(奈良県)","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度37分12.9秒東経135度46分50.7秒","B橿原線","8.4km（大和西大寺起点）京都から43.0 km","近畿日本鉄道（近鉄）","奈良県大和郡山市筒井町八王寺640北緯34度37分12.9秒東経135度46分50.7秒﻿ / ﻿北緯34.620250度 東経135.780750度﻿ /34.620250; 135.780750座標:北緯34度37分12.9秒東経135度46分50.7秒﻿ / ﻿北緯34.620250度 東経135.780750度﻿ /34.620250; 135.780750","高架駅","1921年（大正10年）4月1日","2面2線",""," B31 ","ツツイ","4,116人/日（降車客含まず）-2018年-","","","","","","","",""
"筒石駅","筒石駅（つついしえき）","https://ja.wikipedia.org/wiki/筒石駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯37度7分39.4秒東経138度3分38.2秒","■日本海ひすいライン[1]","40.9km（市振起点）泊から50.3km米原から335.4 km","えちごトキめき鉄道[1]","新潟県糸魚川市大字仙納字大谷928[2]北緯37度7分39.4秒東経138度3分38.2秒﻿ / ﻿北緯37.127611度 東経138.060611度﻿ /37.127611; 138.060611座標:北緯37度7分39.4秒東経138度3分38.2秒﻿ / ﻿北緯37.127611度 東経138.060611度﻿ /37.127611; 138.060611","地下駅","1912年（大正元年）12月16日*[1]","2面2線","無人駅","","ツツ[1]","15人/日（降車客含まず）-2019年-","","","","","","","",""
"都筑駅","都筑駅（つづきえき）","https://ja.wikipedia.org/wiki/都筑駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度47分45秒東経137度34分28秒","天竜浜名湖線","53.3 km（掛川起点）","天竜浜名湖鉄道","浜松市北区三ヶ日町都筑1789-3北緯34度47分45秒東経137度34分28秒﻿ / ﻿北緯34.79583度 東経137.57444度﻿ /34.79583; 137.57444座標:北緯34度47分45秒東経137度34分28秒﻿ / ﻿北緯34.79583度 東経137.57444度﻿ /34.79583; 137.57444","地上駅","1938年（昭和13年）4月1日*","1面1線","*1987年までは国鉄二俣線","","ツツ","52人/日（降車客含まず）-2018年-","","","","","","","",""
"都筑ふれあいの丘駅","都筑ふれあいの丘駅（つづきふれあいのおかえき）","https://ja.wikipedia.org/wiki/都筑ふれあいの丘駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯35度32分11.5秒東経139度33分40.5秒","■グリーンライン（4号線）","3.1 km（中山起点）","横浜市交通局（横浜市営地下鉄）","横浜市都筑区葛が谷11番1号[1]北緯35度32分11.5秒東経139度33分40.5秒﻿ / ﻿北緯35.536528度 東経139.561250度﻿ /35.536528; 139.561250﻿ (都筑ふれあいの丘駅)座標:北緯35度32分11.5秒東経139度33分40.5秒﻿ / ﻿北緯35.536528度 東経139.561250度﻿ /35.536528; 139.561250﻿ (都筑ふれあいの丘駅)","地下駅","2008年（平成20年）3月30日","1面2線","業務委託駅（横浜市交通局協力会）[2]","G03","","11,002人/日（降車客含まず）-2019年-","22,282人/日-2019年-","","","","","","",""
"榴ケ岡駅","榴ケ岡駅（つつじがおかえき・東日本旅客鉄道仙石線）","https://ja.wikipedia.org/wiki/榴ケ岡駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯38度15分31.7秒東経140度53分37.5秒","■仙石線","1.3 km（あおば通起点）","東日本旅客鉄道（JR東日本）","仙台市宮城野区榴岡五丁目11-1北緯38度15分31.7秒東経140度53分37.5秒﻿ / ﻿北緯38.258806度 東経140.893750度﻿ /38.258806; 140.893750座標:北緯38度15分31.7秒東経140度53分37.5秒﻿ / ﻿北緯38.258806度 東経140.893750度﻿ /38.258806; 140.893750","地下駅","1925年（大正14年）6月5日","1面2線","業務委託駅仙台市内駅","","ツツ","3,330人/日（降車客含まず）-2019年-","","","","","","","",""
"つつじヶ丘駅","つつじヶ丘駅 (東京都)（つつじがおかえき・京王電鉄京王線）","https://ja.wikipedia.org/wiki/つつじヶ丘駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯35度39分29秒東経139度34分30秒","■京王線","12.5 km（新宿起点）","京王電鉄","東京都調布市西つつじケ丘三丁目35番地1北緯35度39分29秒東経139度34分30秒﻿ / ﻿北緯35.65806度 東経139.57500度﻿ /35.65806; 139.57500﻿ (つつじヶ丘駅*)座標:北緯35度39分29秒東経139度34分30秒﻿ / ﻿北緯35.65806度 東経139.57500度﻿ /35.65806; 139.57500﻿ (つつじヶ丘駅*)","地上駅（橋上駅）","1913年（大正2年）4月15日","2面4線","* 1957年5月15日 金子駅より改称","KO14","","","45,169人/日-2019年-","","","","","","",""
"筑波山ロープウェイ","つつじヶ丘駅 (茨城県)（つつじがおかえき・筑波観光鉄道筑波山ロープウェイ）","https://ja.wikipedia.org/wiki/筑波山ロープウェイ#つつじヶ丘駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鼓ヶ浦駅","鼓ヶ浦駅（つづみがうらえき）","https://ja.wikipedia.org/wiki/鼓ヶ浦駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度49分33.65秒東経136度34分52.36秒","E名古屋線","24.7 km（伊勢中川起点）","近畿日本鉄道（近鉄）","三重県鈴鹿市寺家四丁目16-16北緯34度49分33.65秒東経136度34分52.36秒﻿ / ﻿北緯34.8260139度 東経136.5812111度﻿ /34.8260139; 136.5812111座標:北緯34度49分33.65秒東経136度34分52.36秒﻿ / ﻿北緯34.8260139度 東経136.5812111度﻿ /34.8260139; 136.5812111","地上駅","1915年（大正4年）9月10日","2面2線","無人駅（自動券売機有）*1922年に子安観音駅から改称"," E32 ","ツツミ","644人/日（降車客含まず）-2019年-","","","","","","","",""
"鼓滝駅","鼓滝駅（つづみがたきえき）","https://ja.wikipedia.org/wiki/鼓滝駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯34度51分17.01秒東経135度25分5.88秒","妙見線","3.5 km（川西能勢口起点）","能勢電鉄","兵庫県川西市鼓が滝1-5-1[1]北緯34度51分17.01秒東経135度25分5.88秒﻿ / ﻿北緯34.8547250度 東経135.4183000度﻿ /34.8547250; 135.4183000座標:北緯34度51分17.01秒東経135度25分5.88秒﻿ / ﻿北緯34.8547250度 東経135.4183000度﻿ /34.8547250; 135.4183000","地上駅[1]","1913年（大正2年）4月13日[1]","相対式2面2線[1]","無人駅[1]","●NS05","","","","","5,413[2]人/日-2019年-","","","","",""
"津奈木駅","津奈木駅（つなぎえき）","https://ja.wikipedia.org/wiki/津奈木駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯32度13分57.14秒東経130度27分0.03秒","肥薩おれんじ鉄道線","42.4km（八代起点）274.7 km（門司港起点）","肥薩おれんじ鉄道","熊本県葦北郡津奈木町岩城北緯32度13分57.14秒東経130度27分0.03秒﻿ / ﻿北緯32.2325389度 東経130.4500083度﻿ /32.2325389; 130.4500083座標:北緯32度13分57.14秒東経130度27分0.03秒﻿ / ﻿北緯32.2325389度 東経130.4500083度﻿ /32.2325389; 130.4500083","地上駅","1927年（昭和2年）10月17日","2面2線","無人駅","OR11","オレツナ","","108[1]人/日-2014年-","","","","","","",""
"綱島駅","綱島駅（つなしまえき）","https://ja.wikipedia.org/wiki/綱島駅","日本の鉄道駅一覧_ち-て","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ち-て","箇条書き,制限あり","北緯35度32分13.2秒東経139度38分6秒","■東横線","15.8 km（渋谷起点）","東急電鉄","横浜市港北区綱島西一丁目1-8北緯35度32分13.2秒東経139度38分6秒﻿ / ﻿北緯35.537000度 東経139.63500度﻿ /35.537000; 139.63500﻿ (綱島駅)座標:北緯35度32分13.2秒東経139度38分6秒﻿ / ﻿北緯35.537000度 東経139.63500度﻿ /35.537000; 139.63500﻿ (綱島駅)","高架駅","1926年（大正15年）2月14日[1]","2面2線","東急電鉄直営駅","TY14","","","103,630人/日-2019年-","","","","","","",""
