"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","種類","面積","時代","文化財指定","分類","開園","運営者","公式サイト","管理者","駐車場","位置","形状","規模","出土品","築造時期","史跡","国","都道府県"
"板付遺跡","[板付遺跡（福岡市）] 板付遺跡 （いたづけいせき）は、 福岡市 博多区 板付にある 縄文時代 晩期から 弥生時代 後期の 遺跡 である。国の 史跡  。遺跡は 竪穴住居 や水田が復元された公園になっており、展示施設（板付遺跡弥生館）もある。 佐賀県 唐津市 にある 菜畑遺跡 に次ぐ水稲耕作遺跡であり、福岡県 粕屋町 の 江辻遺跡 に次ぐ、日本でも最初期の 環濠集落 でもある。","https://ja.wikipedia.org/wiki/板付遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯33度33分55.7秒 東経130度27分10.1秒","","","","","","","","","","","","","","","","","","",""
"野方遺跡","[野方遺跡（福岡市）] 野方遺跡 （のかたいせき）は、 福岡県 福岡市 西区 野方 にある 弥生時代 後期・ 古墳時代 前期の遺跡である。国の 史跡 に指定されている（ 1975年 （ 昭和 50年） 6月27日 指定）。","https://ja.wikipedia.org/wiki/野方遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯33度33分19秒 東経130度18分22秒","","","","","","","","","","","","","","","","","","",""
"須玖岡本遺跡","[須玖岡本遺跡（春日市）] 須玖岡本遺跡 （すぐおかもといせき）は、 福岡県 春日市 岡本にある遺跡群。","https://ja.wikipedia.org/wiki/須玖岡本遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯33度32分17.1秒 東経130度27分1.8秒","","","","","","","","","","","","","","","","","","",""
"今宿五郎江・大塚遺跡","[今宿五郎江・大塚遺跡（福岡市）] 今宿五郎江・大塚遺跡 （いまじゅくごろうえ・おおつかいせき）は、 福岡県 福岡市 西区 にある 弥生時代 の 遺跡 。東西200メートル、南北270メートル。4.2ヘクタールの面積を持つ。 伊都国 の 衛星集落 の一つと考えられる。","https://ja.wikipedia.org/wiki/今宿五郎江・大塚遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"吉野ヶ里遺跡","[吉野ヶ里遺跡（吉野ヶ里町）] およそ117 ヘクタール にわたって残る 弥生時代 の大規模な 環濠集落 （環壕集落）跡で知られる。 1986年 （ 昭和 61年）からの 発掘調査 によって発見された。現在は 国営吉野ヶ里歴史公園 として一部を国が管理する公園である。","https://ja.wikipedia.org/wiki/吉野ヶ里遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯33度19分25秒東経130度23分26.5秒","日本佐賀県吉野ヶ里町、神埼市","遺跡","36ha（埋蔵文化財包蔵地）","弥生時代、古墳時代、奈良時代等","1990年国史跡、1991年特別史跡","","","","","公園","","","","","","","","",""
"千塔山遺跡 (存在しないページ)","[千塔山遺跡（基山町）]","https://ja.wikipedia.org/w/index.php?title=千塔山遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"原の辻遺跡","[原の辻遺跡（壱岐市）] 原の辻遺跡 （はるのつじいせき）は、 長崎県 壱岐市 芦辺町 深江栄触・深江鶴亀触、 石田町 石田西触にある 遺跡 。国の 特別史跡 に指定され、出土品は国の 重要文化財 に指定されている。","https://ja.wikipedia.org/wiki/原の辻遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯33度45分34.0秒 東経129度45分11.6秒","長崎県壱岐市芦辺町深江栄触・深江鶴亀触、石田町石田西触","環濠集落（弥生時代前期から古墳時代初期）","","","","","","","","","","","","","","","","",""
"里田原遺跡","[里田原遺跡（平戸市）] 里田原遺跡 （さとたばるいせき）は、 長崎県 平戸市 田平町里免に存在する遺跡。長崎県指定文化財（ 史跡 ）である。","https://ja.wikipedia.org/wiki/里田原遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"富の原遺跡","[富の原遺跡（大村市）] 富の原遺跡 （とみのはらいせき）は、 長崎県 大村市 富の原2丁目に所在する 縄文 ・ 弥生時代 の遺跡である。","https://ja.wikipedia.org/wiki/富の原遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"寄神貝塚 (存在しないページ)","[寄神貝塚]","https://ja.wikipedia.org/w/index.php?title=寄神貝塚&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"カラカミ遺跡","[カラカミ遺跡（壱岐市）] カラカミ遺跡 （カラカミいせき）は、 長崎県 壱岐市 勝本町 立石東触にある 弥生時代 の 環濠集落 遺跡 。壱岐市指定 史跡 に指定されている。","https://ja.wikipedia.org/wiki/カラカミ遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"車出遺跡 (存在しないページ)","[車出遺跡（壱岐市）]","https://ja.wikipedia.org/w/index.php?title=車出遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"方保田東原遺跡","[方保田東原遺跡（山鹿市）] 方保田東原遺跡 （かとうだひがしばるいせき）は、 熊本県 山鹿市 にある 弥生時代 後期から 古墳時代 前期のものと考えられる 遺跡 である  。","https://ja.wikipedia.org/wiki/方保田東原遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯32度59分53.4秒 東経130度43分4.2秒","","","","","","","","","","","","","","","","","","",""
"小野崎遺跡 (存在しないページ)","[小野崎遺跡（菊池市）]","https://ja.wikipedia.org/w/index.php?title=小野崎遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"うてな遺跡 (存在しないページ)","[うてな遺跡（菊池市）]","https://ja.wikipedia.org/w/index.php?title=うてな遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"安国寺集落遺跡","[安国寺集落遺跡（国東市）] 安国寺集落遺跡 （あんこくじしゅうらくいせき、 安国寺遺跡 とも）は、 大分県 国東市 国東地区にある 弥生時代 から 古墳時代 初期にかけての 貝塚 ・集落遺跡である。","https://ja.wikipedia.org/wiki/安国寺集落遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯33度33分58.6秒 東経131度42分58.2秒","","","","","","","","","","","","","","","","","","",""
"檍遺跡 (存在しないページ)","[檍遺跡]","https://ja.wikipedia.org/w/index.php?title=檍遺跡&amp;action=edit&amp;redlink=1","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"広田遺跡","[広田遺跡（南種子町）] 種子島 の南部、 太平洋 に面した海岸砂丘上に立地する墓地遺跡。1957年（昭和32年） - 1959年（昭和34年）に、 盛園尚孝 ・ 国分直一 ・ 金関丈夫 らによって発掘調査が行われ、90基の埋葬遺構から、157体の人骨、44,000点以上の貝製品が出土した。特に、「 貝符 （貝札）」「 竜佩形貝製垂飾 」などの貝製品の出土で知られる。2008年（ 平成 20年） 3月28日 、国の史跡に指定された。","https://ja.wikipedia.org/wiki/広田遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯30度25分29.5秒 東経130度58分2.2秒","","","","","","","","","","","","","","","","","","",""
"仲原遺跡","[仲原遺跡（うるま市）] 仲原遺跡 （なかばるいせき）は、 沖縄県 の 伊計島 にある 縄文時代 晩期 - 弥生時代 前期（ 沖縄貝塚時代 中期）にかけての 村落 跡である。所在地は、沖縄県 うるま市 与那城 伊計。","https://ja.wikipedia.org/wiki/仲原遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯26度23分29.5秒 東経127度59分40.5秒","","","","","","","","","","","","","","","","","","",""
"仲泊遺跡","[仲泊遺跡（恩納村）] 仲泊遺跡 （なかどまりいせき）は、 沖縄県 国頭郡 恩納村 にある沖縄先史時代の遺跡である。","https://ja.wikipedia.org/wiki/仲泊遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯26度26分5秒 東経127度47分30秒","","","","","","","","","","","","","","","","","","",""
"木綿原遺跡","[木綿原遺跡（読谷村）] 読谷村の西海岸の砂丘上にある、 沖縄貝塚時代 前期から後期（日本本土の 弥生時代 に相当）の墓群である。石棺墓または石囲墓7基、土壙墓2基に計14体の遺体が埋葬されていたほか、埋葬施設の確認できない人骨3体が出土した。墓群から40メートルほど離れた後背地には 貝塚 も確認されている   。","https://ja.wikipedia.org/wiki/木綿原遺跡","弥生時代の遺跡一覧","https://ja.wikipedia.org/wiki/弥生時代の遺跡一覧","箇条書き,制限あり","北緯26度22分12秒 東経127度44分06秒","","","","","","","","","","","","","","","","","","",""
