"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","開館","管理運営","事業主体","専門分野","公式サイト","正式名称","アクセス","面積","愛称","種数","館長","前身","頭数","主な飼育動物","水槽総容量","最大水槽容量","来園者数"
"海遊館","[海遊館（大阪府大阪市）★] 海遊館 （かいゆうかん、Osaka Aquarium KAIYUKAN）は、 大阪府 大阪市 港区 海岸通1丁目にある 水族館 。","https://ja.wikipedia.org/wiki/海遊館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯34度39分16.1秒東経135度25分44.0秒","〒552-0022大阪府大阪市港区海岸通1丁目1番10号","北緯34度39分16.1秒東経135度25分44.0秒﻿ / ﻿北緯34.654472度 東経135.428889度﻿ /34.654472; 135.428889座標:北緯34度39分16.1秒東経135度25分44.0秒﻿ / ﻿北緯34.654472度 東経135.428889度﻿ /34.654472; 135.428889","1990年","株式会社 海遊館","株式会社 海遊館","総合","","","","","","","","","","","11,000t","5,400t",""
"NIFREL","[NIFREL（大阪府吹田市、万博記念公園・EXPOCITY内）★] NIFREL （ ニフレル ）は、 日本 の 大阪府 吹田市 千里 万博公園 内  に所在する 博物館 。 水族館 を主体として 動物園 や 美術館 を融合させた博物館といえる。 三井不動産 が エキスポランド 跡地を 再開発 した 複合商業施設 「 EXPOCITY 」に属する 施設 の一つである。水族館は、 人工海水 を使った内陸型で、 海遊館 が 展示 プロデュース する。","https://ja.wikipedia.org/wiki/NIFREL","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯34度48分23.1秒東経135度32分0.9秒","〒565-0826大阪府吹田市千里万博記念公園内23-17","北緯34度48分23.1秒東経135度32分0.9秒﻿ / ﻿北緯34.806417度 東経135.533583度﻿ /34.806417; 135.533583座標:北緯34度48分23.1秒東経135度32分0.9秒﻿ / ﻿北緯34.806417度 東経135.533583度﻿ /34.806417; 135.533583","2015年（平成27年）11月19日","株式会社海遊館","三井不動産","","http://www.nifrel.jp/","","大阪モノレール万博記念公園駅徒歩2分","（建築）約3,500平方メートル（延床）約7,200平方メートル","ニフレル","","","","","","","",""
"あくあぴあ芥川","[高槻市立自然博物館 あくあぴあ芥川（大阪府高槻市、芥川緑地内、鳥類・昆虫館併設）] あくあぴあ芥川 （あくあぴああくたがわ）は 大阪府 高槻市 南平台 にある 水族館 、かつ鳥類・昆虫展示館。正式名称は 高槻市立自然博物館 。 指定管理者制度 により、あくあぴあ芥川共同活動体(NPO法人芥川倶楽部とNPO法人大阪自然史センターの共同事業体)が管理・運営を行っている  。","https://ja.wikipedia.org/wiki/あくあぴあ芥川","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯34度51分51秒 東経135度35分32秒","〒569-1042大阪府高槻市南平台5丁目59-1","","","あくあぴあ芥川共同活動体（NPO法人芥川倶楽部＋認定NPO法人大阪自然史センター）","高槻市","","","高槻市立自然博物館","","","あくあぴあ芥川","","","","","","","",""
"和歌山県立自然博物館","[和歌山県立自然博物館（和歌山県海南市）] 和歌山県立自然博物館 （わかやまけんりつしぜんはくぶつかん）は 和歌山県 海南市 にある自然をテーマにした 博物館 。 1979年 に国際児童年の記念事業として計画立案され、植物・生物・地学等自然科学に関する資料の収集・保管・展示と調査研究を目的として 1982年 に開館した。","https://ja.wikipedia.org/wiki/和歌山県立自然博物館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯34度9分31.1秒東経135度11分31.5秒","〒642-0001和歌山県海南市船尾370番地の1","北緯34度9分31.1秒東経135度11分31.5秒﻿ / ﻿北緯34.158639度 東経135.192083度﻿ /34.158639; 135.192083座標:北緯34度9分31.1秒東経135度11分31.5秒﻿ / ﻿北緯34.158639度 東経135.192083度﻿ /34.158639; 135.192083","1982年","","和歌山県","自然科学（植物・生物・地学）に関する資料の収集・保管・展示調査研究","","","","","","","","","","","","",""
"くじらの博物館","[太地町立くじらの博物館（和歌山県東牟婁郡太地町、くじら浜公園内）] 太地町立くじらの博物館 （たいじちょうりつ くじらのはくぶつかん、 Taiji Whale Museum ）は、沿岸 捕鯨 で栄えた 和歌山県 東牟婁郡 太地町 の くじら浜公園 にある 博物館 。","https://ja.wikipedia.org/wiki/くじらの博物館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯33度36分6.9秒東経135度56分44.9秒","〒649-5171和歌山県東牟婁郡太地町太地2934-2","北緯33度36分6.9秒東経135度56分44.9秒﻿ / ﻿北緯33.601917度 東経135.945806度﻿ /33.601917; 135.945806","1969年","和歌山県太地町","和歌山県太地町","クジラ/捕鯨","","","交通アクセス","","くじらの博物館","","","","","","","",""
"串本海中公園","[串本海中公園（和歌山県東牟婁郡串本町）★] 串本海中公園 （くしもとかいちゅうこうえん）は 和歌山県 東牟婁郡 串本町 有田1157番地にある 海域公園 （旧称：海中公園）で、 吉野熊野国立公園 内に位置する。株式会社串本海中公園センターが管理運営している。","https://ja.wikipedia.org/wiki/串本海中公園","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯33度28分51.1秒東経135度44分41.9秒","〒649-3514和歌山県東牟婁郡串本町有田1157番地","北緯33度28分51.1秒東経135度44分41.9秒﻿ / ﻿北緯33.480861度 東経135.744972度﻿ /33.480861; 135.744972座標:北緯33度28分51.1秒東経135度44分41.9秒﻿ / ﻿北緯33.480861度 東経135.744972度﻿ /33.480861; 135.744972","1971年10月21日","株式会社串本海中公園センター","","海域公園","http://www.kushimoto.co.jp/","","","","","","森美枝","","","","","",""
"アドベンチャーワールド","[アドベンチャーワールド（和歌山県西牟婁郡白浜町、動物園・遊園地併設）] 広大なサファリゾーンでは、1周約1500m（約25分）の 列車型牽引バス 「ケニア号」・1人〜3人乗りの 自転車 ・ 2階建てバス ・ゴルフ用カートや ジープ などの乗物を使って周遊する。ケニア号以外はすべてオプションであり、窓口で料金を支払う必要がある。徒歩でも1.5kmほどのコースを自由に散策することができる。ただし ライオン や クマ などの猛獣ゾーンへはゲートがあり、徒歩・自転車・カートでの立ち入りができない。","https://ja.wikipedia.org/wiki/アドベンチャーワールド","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯33度40分0.16秒 東経135度22分22.49秒","","","","株式会社アワーズ","","サファリパーク・ジャイアントパンダの繁殖","","","","","","","","","","","","",""
"京都大学フィールド科学教育研究センター瀬戸臨海実験所水族館","[京都大学白浜水族館（和歌山県西牟婁郡白浜町、京都大学フィールド科学教育研究センター瀬戸臨海実験所附属）] 京都大学フィールド科学教育研究センター瀬戸臨海実験所水族館 （きょうとだいがくフィールドかがくきょういくけんきゅうセンターせとりんかいじっけんじょすいぞくかん）は 和歌山県 西牟婁郡 白浜町 にある 水族館 。 京都大学 フィールド科学教育研究センター瀬戸臨海実験所の附属施設。","https://ja.wikipedia.org/wiki/京都大学フィールド科学教育研究センター瀬戸臨海実験所水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯33度41分34.4秒東経135度20分17.8秒","〒649-2211和歌山県西牟婁郡白浜町459","北緯33度41分34.4秒東経135度20分17.8秒﻿ / ﻿北緯33.692889度 東経135.338278度﻿ /33.692889; 135.338278","1930年","京都大学","","和歌山県白浜町周辺の海産の魚類・無脊椎動物","京都大学 白浜水族館","","","","京都大学白浜水族館","","","京都帝国大学理学部附属瀬戸臨海研究所水槽室→京都大学理学部附属瀬戸臨海実験所水族館","","","","",""
"すさみ町立エビとカニの水族館","[すさみ町立エビとカニの水族館（旧・すさみ海立エビとカニの水族館、和歌山県西牟婁郡すさみ町）] すさみ町立エビとカニの水族館 （すさみちょうりつエビとカニのすいぞくかん）は、 和歌山県 西牟婁郡 すさみ町 江住にある 水族館 である。 道の駅すさみ に併設されており、 紀伊半島 近海に生息している エビ や カニ などの 甲殻類 を中心に約150種1000点を展示している。2011年3月から2015年9月まで「すさみ 海立 エビとカニの水族館」であった。","https://ja.wikipedia.org/wiki/すさみ町立エビとカニの水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯33度30分16.4秒東経135度35分19.7秒","〒649-3142和歌山県西牟婁郡すさみ町江住808-1","北緯33度30分16.4秒東経135度35分19.7秒﻿ / ﻿北緯33.504556度 東経135.588806度﻿ /33.504556; 135.588806座標:北緯33度30分16.4秒東経135度35分19.7秒﻿ / ﻿北緯33.504556度 東経135.588806度﻿ /33.504556; 135.588806","1999年4月","（株）ネイチャーネットワーク","","甲殻類","","","","","","","","すさみ海立エビとカニの水族館","","","","",""
"城崎マリンワールド","[城崎マリンワールド（兵庫県豊岡市）★] 城崎マリンワールド （きのさきマリンワールド、KINOSAKI MARINE WORLD）は、 兵庫県 豊岡市 の 日和山海岸 に本拠地を置く アトラクション を備える 水族館 である。 魚類 や 海獣 の展示、 ダイビング 疑似体験アトラクション、 イルカ や アシカ のショーが行われる他、イルカとの触れ合いなどの体験活動などが行われる。また、水族館でありながら園内には アジ の 釣り堀 があり、釣ったアジをその場で 天ぷら にして食べることの出来るユニークな催しも行われている。","https://ja.wikipedia.org/wiki/城崎マリンワールド","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯35度39分21秒東経134度49分29.5秒","〒669-6122兵庫県豊岡市瀬戸1090番地","北緯35度39分21秒東経134度49分29.5秒﻿ / ﻿北緯35.65583度 東経134.824861度﻿ /35.65583; 134.824861","1934年5月21日創業","日和山観光株式会社","","総合","","城崎マリンワールド","","","マリンワールド","","","日和山遊園","","","","",""
"神戸市立須磨海浜水族園","[神戸市立須磨海浜水族園（兵庫県神戸市、須磨海浜公園内）★] 神戸市立須磨海浜水族園 （こうべしりつすまかいひんすいぞくえん）は、 神戸市 須磨区 の 須磨海浜公園 内にある 水族館 。愛称「スマスイ」。","https://ja.wikipedia.org/wiki/神戸市立須磨海浜水族園","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯34度38分39秒東経135度07分43秒","〒654-0049兵庫県神戸市須磨区若宮町1-3-5地図","北緯34度38分39秒東経135度07分43秒﻿ / ﻿北緯34.64417度 東経135.12861度﻿ /34.64417; 135.12861座標:北緯34度38分39秒東経135度07分43秒﻿ / ﻿北緯34.64417度 東経135.12861度﻿ /34.64417; 135.12861","1987年","グランビスタ ホテル&リゾート（指定管理者）","兵庫県神戸市","総合","","","","","","","中垣内浩","神戸市立須磨水族館","","","","",""
"姫路市立水族館","[姫路市立水族館（兵庫県姫路市、手柄山中央公園内）★] 姫路市立水族館 は、 兵庫県 姫路市 の 手柄山中央公園 内にある 水族館 である。日本国内の水族館では珍しく山頂近くにあり別名「山の上の水族館」としても知られている。","https://ja.wikipedia.org/wiki/姫路市立水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯34度49分21.8秒東経134度40分33.7秒","〒670-0971兵庫県姫路市西延末440","北緯34度49分21.8秒東経134度40分33.7秒﻿ / ﻿北緯34.822722度 東経134.676028度﻿ /34.822722; 134.676028","1966年6月12日","姫路市教育委員会","姫路市","カメ、オオサンショウウオ","姫路市立水族館","姫路市立水族館","#アクセス参照","8,210平方メートル","","","籭 善之","","約15,000","","","","年間15万人前後"
"アクア東条","[アクア東条（兵庫県加東市）] アクア東条 （アクアとうじょう）は 兵庫県 加東市 にある水辺の生物を飼育している淡水魚の水族館である。 1988年 開館。","https://ja.wikipedia.org/wiki/アクア東条","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯34度55分43.4秒東経135度3分59.8秒","〒673-1301兵庫県兵庫県加東市黒谷1197−23","北緯34度55分43.4秒東経135度3分59.8秒﻿ / ﻿北緯34.928722度 東経135.066611度﻿ /34.928722; 135.066611座標:北緯34度55分43.4秒東経135度3分59.8秒﻿ / ﻿北緯34.928722度 東経135.066611度﻿ /34.928722; 135.066611","1988年","兵庫県釣針協同組合","加東市","淡水魚","　みずうみの水族館アクア東条","加東市内水面関連知識普及教育施設加東市アクア東条","　中国自動車道「ひょうご東条IC」より、自動車で約10分（東条湖畔）","","","約130種","","","","ウーパールーパー、メダカ、タナゴ","","",""
"玉野市立玉野海洋博物館","[玉野市立玉野海洋博物館 渋川マリン水族館（岡山県玉野市）★] 玉野市立玉野海洋博物館 （たまのしりつたまのかいようはくぶつかん、 Tamano Marine Museum ）は、 岡山県 玉野市 渋川にある玉野市立の海洋 博物館 である。愛称は 渋川マリン水族館 （しぶかわマリンすいぞくかん）。","https://ja.wikipedia.org/wiki/玉野市立玉野海洋博物館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯34度27分17.55秒東経133度54分19.72秒","〒706-0028岡山県玉野市渋川二丁目6番1号","北緯34度27分17.55秒東経133度54分19.72秒﻿ / ﻿北緯34.4548750度 東経133.9054778度﻿ /34.4548750; 133.9054778座標:北緯34度27分17.55秒東経133度54分19.72秒﻿ / ﻿北緯34.4548750度 東経133.9054778度﻿ /34.4548750; 133.9054778","1953年","","玉野市","","","玉野市立玉野海洋博物館","","","渋川マリン水族館","","","","","","","",""
"福山大学","[福山大学マリンバイオセンター水族館（広島県尾道市）] 所在地は福山市東村町字三蔵であるが、大学では学園町1番地三蔵の名称を使用。","https://ja.wikipedia.org/wiki/福山大学","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯34度27分30.3秒 東経133度13分45.8秒","","","","","","","","","","","","","","","","","","",""
"宮島水族館","[宮島水族館 みやじマリン（広島県廿日市市）★] 宮島水族館 （みやじますいぞくかん）は、 広島県 廿日市市 宮島町 にある市営の 水族館  である。愛称は みやじマリン （みやじまりん）。","https://ja.wikipedia.org/wiki/宮島水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯34度17分43秒東経132度18分55秒","〒739-0534広島県廿日市市宮島町10-3","北緯34度17分43秒東経132度18分55秒﻿ / ﻿北緯34.295392度 東経132.315356度﻿ /34.295392; 132.315356宮島水族館宮島水族館 (広島県)","","","廿日市市","","宮島水族館","宮島水族館","#アクセス参照","7,218 m2","みやじマリン","約350種","塚本 博一","","13,000点","スナメリ、アシカ、ペンギン、コツメカワウソ","1,837 t","350 t",""
"マリホ水族館 (存在しないページ)","[マリホ水族館（広島県広島市、マリーナホップ内）]","https://ja.wikipedia.org/w/index.php?title=マリホ水族館&amp;action=edit&amp;redlink=1","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"かにっこ館","[鳥取県立とっとり賀露かにっこ館（鳥取県鳥取市）] かにっこ館 （かにっこかん、 Tottori Karo Crab Aquarium ）は、 鳥取県 鳥取市 賀露町にある 水族館 。 2003年 8月10日 に開館した。正式名称は 鳥取県立とっとり賀露かにっこ館 。","https://ja.wikipedia.org/wiki/かにっこ館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","","〒680-0908鳥取県鳥取市賀露町西3丁目27番2号","","2003年8月10日","一般財団法人鳥取県観光事業団","鳥取県","カニ","","鳥取県立とっとり賀露かにっこ館","","","","","","","","","","",""
"島根県立しまね海洋館","[島根県立しまね海洋館アクアス（島根県浜田市）★] 島根県立しまね海洋館 （しまねけんりつしまねかいようかん、Shimane AQUAS Aquarium）は、 島根県 浜田市 久代町と 江津市 波子町にまたがる 水族館 。愛称は アクアス 。管理運営は 公益財団法人 しまね海洋館が行っている。","https://ja.wikipedia.org/wiki/島根県立しまね海洋館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯34度57分34秒東経132度8分40.5秒","〒697-0004島根県浜田市久代町1117-2","北緯34度57分34秒東経132度8分40.5秒﻿ / ﻿北緯34.95944度 東経132.144583度﻿ /34.95944; 132.144583座標:北緯34度57分34秒東経132度8分40.5秒﻿ / ﻿北緯34.95944度 東経132.144583度﻿ /34.95944; 132.144583","2000年（平成12年）4月15日","公益財団法人しまね海洋館","","生物海洋学","www.aquas.or.jp","","","","アクアス","","","","","","","",""
"宍道湖自然館ゴビウス","[宍道湖自然館ゴビウス（島根県出雲市）] 宍道湖自然館ゴビウス （しんじこしぜんかんゴビウス）は、 島根県 出雲市 にある 淡水 ・ 汽水 生物 を展示する体験学習型 水族館 である。","https://ja.wikipedia.org/wiki/宍道湖自然館ゴビウス","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯35度26分50.0秒東経132度51分52.0秒","〒691-0076島根県出雲市園町1659-5","北緯35度26分50.0秒東経132度51分52.0秒﻿ / ﻿北緯35.447222度 東経132.864444度﻿ /35.447222; 132.864444座標:北緯35度26分50.0秒東経132度51分52.0秒﻿ / ﻿北緯35.447222度 東経132.864444度﻿ /35.447222; 132.864444","2001年","公益財団法人ホシザキグリーン財団","島根県","淡水・汽水生物","","島根県立宍道湖自然館","","","ゴビウス","","","","","","","",""
"下関市立しものせき水族館","[下関市立しものせき水族館 海響館（山口県下関市）] 下関市立しものせき水族館 （しものせきしりつしものせきすいぞくかん）は、 山口県 下関市 唐戸 地区あるかぽーとにある 水族館 。 2001年 （ 平成 13年）4月1日に開業した。愛称は 海響館 （かいきょうかん）。 指定管理者制度 により、 公益財団法人 下関海洋科学アカデミー が管理・運営を行っている。","https://ja.wikipedia.org/wiki/下関市立しものせき水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯33度57分16.1秒東経130度56分32.7秒","〒750-0036山口県下関市あるかぽーと6番1号","北緯33度57分16.1秒東経130度56分32.7秒﻿ / ﻿北緯33.954472度 東経130.942417度﻿ /33.954472; 130.942417座標:北緯33度57分16.1秒東経130度56分32.7秒﻿ / ﻿北緯33.954472度 東経130.942417度﻿ /33.954472; 130.942417","2001年（平成13年）4月1日","公益財団法人下関海洋科学アカデミー（指定管理者）","下関市","フグ・ペンギン","","下関市立しものせき水族館","","","海響館","","","下関市立水族館","","","","",""
"なぎさ水族館","[なぎさ水族館（山口県大島郡周防大島町）] なぎさ水族館 （なぎさすいぞくかん）は、 山口県 大島郡 周防大島町 にある 水族館 である   。","https://ja.wikipedia.org/wiki/なぎさ水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯33度57分4.5秒東経132度26分16.5秒","〒742-2601山口県大島郡周防大島町2211-3","北緯33度57分4.5秒東経132度26分16.5秒﻿ / ﻿北緯33.951250度 東経132.437917度﻿ /33.951250; 132.437917座標:北緯33度57分4.5秒東経132度26分16.5秒﻿ / ﻿北緯33.951250度 東経132.437917度﻿ /33.951250; 132.437917","1990年4月","NPO法人周防大島海業研究会（指定管理者）","大島郡周防大島町","","なぎさ水族館","","","","","約80種","","","750匹","","","",""
"四万十川学習センターおさかな館","[四万十川学習センターおさかな館（愛媛県北宇和郡松野町、道の駅虹の森公園まつの内）★] 四万十川学習センターおさかな館 （しまんとがわがくしゅうセンターおさかなかん）は、 愛媛県 松野町 の 道の駅虹の森公園まつの 内にある 水族館 。主に、 四万十川 の 淡水魚 を中心に約120種を展示している。","https://ja.wikipedia.org/wiki/四万十川学習センターおさかな館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯33度13分45秒東経132度42分37秒","〒798-2102愛媛県北宇和郡松野町延野々1510-1","北緯33度13分45秒東経132度42分37秒﻿ / ﻿北緯33.22917度 東経132.71028度﻿ /33.22917; 132.71028座標:北緯33度13分45秒東経132度42分37秒﻿ / ﻿北緯33.22917度 東経132.71028度﻿ /33.22917; 132.71028","1997年4月12日","財団法人松野町観光公社","松野町","","","松野町河川公園 自然体験学習施設(四万十川学習センターおさかな館)","","","おさかな館","","","","","","","",""
"愛媛県立長浜高等学校","[長高水族館（愛媛県大洲市、愛媛県立長浜高等学校内）] 愛媛県立長浜高等学校 （えひめけんりつながはまこうとうがっこう）は、 愛媛県 大洲市 にある 高等学校 である。 通称は「 長高 （ながこう）」","https://ja.wikipedia.org/wiki/愛媛県立長浜高等学校","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯33度36分52秒 東経132度28分47秒","〒799-3401　","","","","","","","","","","","","","","","","","",""
"新屋島水族館","[新屋島水族館（香川県高松市）] 新屋島水族館 （しんやしますいぞくかん、英称： New Yashima Aquarium ）は、 香川県 高松市 屋島東町にある 水族館 。標高約300mの 屋島 山上にある日本でも珍しい水族館である。","https://ja.wikipedia.org/wiki/新屋島水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯34度21分30.5秒東経134度6分0秒","〒761-0111香川県高松市屋島東町字屋島峯1785番地1","北緯34度21分30.5秒東経134度6分0秒﻿ / ﻿北緯34.358472度 東経134.10000度﻿ /34.358472; 134.10000座標:北緯34度21分30.5秒東経134度6分0秒﻿ / ﻿北緯34.358472度 東経134.10000度﻿ /34.358472; 134.10000","2006年12月23日","せとうち夢虫博物館株式会社","","総合","","","","","","","","屋島山上水族館","","","","",""
"四国水族館","[四国水族館(香川県綾歌郡宇多津町)] 四国水族館 （しこくすいぞくかん）は、 香川県 綾歌郡 宇多津町 にある 水族館 。 2020年 4月に開館した。","https://ja.wikipedia.org/wiki/四国水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯34度18分46秒東経133度48分29秒","〒769-0201香川県綾歌郡宇多津町浜一番丁4","北緯34度18分46秒東経133度48分29秒﻿ / ﻿北緯34.31278度 東経133.80806度﻿ /34.31278; 133.80806座標:北緯34度18分46秒東経133度48分29秒﻿ / ﻿北緯34.31278度 東経133.80806度﻿ /34.31278; 133.80806","2020年4月1日（先行開業）","株式会社アクアメント","株式会社四国水族館開発","総合","","","","","","","","","","","","",""
"日和佐うみがめ博物館カレッタ","[日和佐うみがめ博物館カレッタ（徳島県海部郡美波町）] 日和佐うみがめ博物館カレッタ （ひわさうみがめはくぶつかんカレッタ）は、 徳島県 海部郡 美波町 にある ウミガメ に関する 博物館 。館名の「カレッタ」は アカウミガメ の学名に由来する。世界でも珍しいとされるウミガメの博物館である。","https://ja.wikipedia.org/wiki/日和佐うみがめ博物館カレッタ","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯33度44分4.6秒東経134度32分27.7秒","〒779-2304徳島県海部郡美波町日和佐浦374-4","北緯33度44分4.6秒東経134度32分27.7秒﻿ / ﻿北緯33.734611度 東経134.541028度﻿ /33.734611; 134.541028﻿ (日和佐うみがめ博物館カレッタ)座標:北緯33度44分4.6秒東経134度32分27.7秒﻿ / ﻿北緯33.734611度 東経134.541028度﻿ /33.734611; 134.541028﻿ (日和佐うみがめ博物館カレッタ)","1985年（昭和60年）","","美波町","ウミガメに関する資料など","","日和佐うみがめ博物館カレッタ","","","","","","","","","","",""
"モラスコむぎ","[モラスコむぎ（徳島県海部郡牟岐町）] モラスコむぎ は、 徳島県 海部郡 牟岐町 にある 貝類 に関する 資料館 及び 水族館 である。 四国八十八景 選定。","https://ja.wikipedia.org/wiki/モラスコむぎ","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯33度40分1.4秒東経134度26分37.0秒","〒775-0005徳島県海部郡牟岐町灘下浜辺198-1","モラスコむぎ徳島空港徳島県地図北緯33度40分1.4秒東経134度26分37.0秒﻿ / ﻿北緯33.667056度 東経134.443611度﻿ /33.667056; 134.443611座標:北緯33度40分1.4秒東経134度26分37.0秒﻿ / ﻿北緯33.667056度 東経134.443611度﻿ /33.667056; 134.443611","1986年（昭和61年）","","徳島県","貝類","","","","","","","","","","","","",""
"桂浜水族館","[桂浜水族館（高知県高知市）★] 桂浜水族館 （かつらはますいぞくかん）は、 高知県 高知市 にある 水族館 である。 2017年 現在、約250種7000点の海や川の生き物が展示されている。","https://ja.wikipedia.org/wiki/桂浜水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯33度29分49秒東経133度34分24.8秒","〒781-0262高知県高知市浦戸778番地","北緯33度29分49秒東経133度34分24.8秒﻿ / ﻿北緯33.49694度 東経133.573556度﻿ /33.49694; 133.573556座標:北緯33度29分49秒東経133度34分24.8秒﻿ / ﻿北緯33.49694度 東経133.573556度﻿ /33.49694; 133.573556","1931年","公益社団法人桂浜水族館","","総合","","","","","","","","","","","","",""
"トンボ自然公園","[四万十川学遊館さかな館（高知県四万十市、トンボ自然公園内）] この記事には 複数の問題があります 。 改善 や ノートページ での議論にご協力ください。","https://ja.wikipedia.org/wiki/トンボ自然公園","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯32度59分24秒 東経132度54分50秒","","","","","","","","","","","","","","","","","","",""
"足摺海洋館","[足摺海洋館（高知県土佐清水市）★] 高知県立足摺海洋館 （こうちけんりつ あしずりかいようかん）は、 高知県 土佐清水市 にある 水族館 である。","https://ja.wikipedia.org/wiki/足摺海洋館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯32度47分28.8秒東経132度51分46.3秒","〒787-0452高知県土佐清水市三崎字今芝4032","北緯32度47分28.8秒東経132度51分46.3秒﻿ / ﻿北緯32.791333度 東経132.862861度﻿ /32.791333; 132.862861座標:北緯32度47分28.8秒東経132度51分46.3秒﻿ / ﻿北緯32.791333度 東経132.862861度﻿ /32.791333; 132.862861","1975年（昭和50年）","","","","https://kaiyoukan.jp/index.html","","高知西南交通バス停 竜串海洋館前 下車","","足摺海洋館・SATOUMI","約350種","新野大","","","シノノメサカタザメ","","",""
"むろと廃校水族館","[むろと廃校水族館（高知県室戸市）] むろと廃校水族館 （むろとはいこうすいぞくかん）は、 高知県 室戸市 室戸岬町にあった旧室戸市立椎名小学校（1874年創設  。2001年閉校、2006年 廃校  ）を改修して、 2018年 4月26日 に開館した 水族館  。運営管理は 特定非営利活動法人 (NPO)「日本ウミガメ協議会」のメンバーが行っている   。","https://ja.wikipedia.org/wiki/むろと廃校水族館","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯33度19分35秒東経134度11分43.9秒","〒781-7101高知県室戸市室戸岬町533-2","むろと廃校水族館高知空港高知県地図北緯33度19分35秒東経134度11分43.9秒﻿ / ﻿北緯33.32639度 東経134.195528度﻿ /33.32639; 134.195528座標:北緯33度19分35秒東経134度11分43.9秒﻿ / ﻿北緯33.32639度 東経134.195528度﻿ /33.32639; 134.195528","2018年4月26日","日本ウミガメ協議会","","","","","本文参考","","","","若月元樹","","","","","",""
"マリンワールド海の中道","[マリンワールド海の中道（福岡県福岡市）★] マリンワールド海の中道 （マリンワールドうみのなかみち）は、 福岡県 福岡市 東区 にある 水族館 である。正式名称は「 海の中道 海洋生態科学館  」。運営会社の株式会社海の中道海洋生態科学館は 西鉄グループ の企業である。","https://ja.wikipedia.org/wiki/マリンワールド海の中道","日本の水族館","https://ja.wikipedia.org/wiki/日本の水族館","箇条書き,制限あり","北緯33度39分39秒 東経130度21分48秒","〒811-0321福岡県福岡市東区西戸崎18-28","","1989年4月18日","マリンワールドPFI（代表：株式会社海の中道海洋生態科学館）","国土交通省","総合","マリンワールド海の中道","海の中道海洋生態科学館","JR九州香椎線海ノ中道駅から徒歩約7分","48,000m2（敷地）","マリンワールド海の中道","","中村　雅之","","","イルカ、アシカ、ラッコ、スナメリ、サメ(シロワニ、メジロザメ)、ウミガメ、チンアナゴ、イワシ","5,400t","1,400t(ショープールは2,000t)",""
