"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","種類","時代","面積","文化財指定","外部リンク","国","都道府県","標高","分類","運営者","公式サイト","一般公開","地方","市町村コード","法人番号","総人口","人口密度","隣接自治体"
"下野遺跡 (存在しないページ)","[下野遺跡(白山市)]","https://ja.wikipedia.org/w/index.php?title=下野遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"長竹遺跡 (存在しないページ)","[長竹遺跡(白山市)]","https://ja.wikipedia.org/w/index.php?title=長竹遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鳥浜貝塚","[鳥浜貝塚（若狭町）] 鳥浜貝塚 （とりはまかいづか）は、 福井県 三方上中郡 若狭町 に所在する 縄文時代 草創期から前期にかけて（今から約12,000〜5,000年前）の集落 遺跡 。保存良好な木製遺物等1376点が国の 重要文化財 に指定  されている。若狭町の 若狭三方縄文博物館 に遺物が展示されている。","https://ja.wikipedia.org/wiki/鳥浜貝塚","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯35度33分15.6秒 東経135度54分02.6秒","","","","","","","","","","","","","","","","","","",""
"桑野遺跡 (存在しないページ)","[桑野遺跡（あわら市）]","https://ja.wikipedia.org/w/index.php?title=桑野遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"金生遺跡","[金生遺跡（北杜市）] 金生遺跡 （きんせいいせき）は、 山梨県 北杜市 大泉町谷戸寺金生に所在する 複合遺跡 。国指定の 史跡 である。","https://ja.wikipedia.org/wiki/金生遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯35度50分53秒 東経138度23分07秒","山梨県北杜市大泉町谷戸寺金生","縄文集落","","","","","","","","","","","","","","","","",""
"神取遺跡","[神取遺跡（北杜市）] 神取遺跡 （かんとりいせき）は、 山梨県 北杜市 （旧 北巨摩郡 明野村 下神取字神取）にある 遺跡 。 縄文時代 草創期を中心とする 生産遺跡 。","https://ja.wikipedia.org/wiki/神取遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"酒呑場遺跡","[酒呑場遺跡（北杜市）] 酒呑場遺跡 （さけのみばいせき）は、 山梨県 北杜市 （旧 北巨摩郡 長坂町 長坂上条）にある 遺跡 。 縄文時代 の 集落遺跡 。出土品683点が2013年（平成25年）6月19日付けで国の 重要文化財 に指定されている  。","https://ja.wikipedia.org/wiki/酒呑場遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯35度49分12.3秒 東経138度22分11.1秒","","","","","","","","","","","","","","","","","","",""
"津金御所前遺跡 (存在しないページ)","[津金御所前遺跡（北杜市）]","https://ja.wikipedia.org/w/index.php?title=津金御所前遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"釈迦堂遺跡","[釈迦堂遺跡（笛吹市）] 甲府盆地 東部、京戸川扇状地の扇央地に位置し、範囲は南北450メートルにわたる。標高は450メートル前後。 1980年 （昭和55年）から翌年にかけて 中央自動車道 の工事に関連して山梨県教育委員会による 発掘調査 が行われ、多数の縄文時代の 竪穴式住居 跡や1,000点以上におよぶ 土偶 などが出土した。","https://ja.wikipedia.org/wiki/釈迦堂遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯35度38分42.2秒 東経138度42分55.1秒","","","","","","","","","","","","","","","","","","",""
"一の沢遺跡","[一の沢遺跡（笛吹市）] 一の沢遺跡 （いちのさわいせき）は、 山梨県 笛吹市 境川町小黒坂字一の沢）にある 遺跡 。県内では 甲州市 の 安道寺遺跡 と並ぶ 縄文時代 中期を中心とした 集落遺跡 。縄文前期の 諸磯式 期から中期中葉、後期初頭の 堀之内式 期までの遺跡で、縄文中期の集落遺跡。2つの大規模な 環状集落 があり、ひとつは県内でも例のない井戸尻式期の集落。出土品107点が1999年（平成11年）6月7日付けで国の 重要文化財 に指定されている  。","https://ja.wikipedia.org/wiki/一の沢遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯35度35分28.0秒 東経138度37分57.3秒","","","","","","","","","","","","","","","","","","",""
"花鳥山遺跡","[花鳥山遺跡（笛吹市）] 花鳥山遺跡 （はなどりやまいせき）は、 山梨県 笛吹市 （旧 東八代郡 御坂町 竹居から同郡 八代町 竹居）にある 遺跡 。 縄文時代 前期後半の 集落遺跡 で、縄文期の食生活に関わる豊富な資料が出土している。","https://ja.wikipedia.org/wiki/花鳥山遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯35度36分08秒 東経138度40分02秒","","","","","","","","","","","","","","","","","","",""
"殿林遺跡 (存在しないページ)","[殿林遺跡（甲州市）]","https://ja.wikipedia.org/w/index.php?title=殿林遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"安道寺遺跡","[安道寺遺跡（甲州市）] 安道寺遺跡 （あんどうじいせき）は、 山梨県 甲州市 塩山下粟生野（えんざんしもあおの）にある遺跡。 縄文時代 中期の五領ヶ台式期から曽利式期を中心とする 集落遺跡 。出土品は2015年（平成27年）9月14日付けで山梨県の指定 有形文化財 に指定されている  。","https://ja.wikipedia.org/wiki/安道寺遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯35度42分53.0秒 東経138度44分51.6秒","","","","","","","","","","","","","","","","","","",""
"鋳物師屋遺跡","[鋳物師屋遺跡（南アルプス市）] 鋳物師屋遺跡 （いもじやいせき）は、 山梨県 南アルプス市 下市ノ瀬にある 遺跡 。 縄文時代 中期と 平安時代 前期を中心とする 集落遺跡 。出土 遺物 は国の 重要文化財  。","https://ja.wikipedia.org/wiki/鋳物師屋遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯35度35分55秒 東経138度27分29秒","","","","","","","","","","","","","","","","","","",""
"牛石遺跡","[牛石遺跡（都留市）] 牛石遺跡 （うしいしいせき）は、 山梨県 都留市 厚原字牛石にある 遺跡 。 縄文時代 中期末葉の曽利式住居跡を伴う 配石遺構 。","https://ja.wikipedia.org/wiki/牛石遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"古屋敷遺跡 (富士吉田市) (存在しないページ)","[古屋敷遺跡（富士吉田市）]","https://ja.wikipedia.org/w/index.php?title=古屋敷遺跡_(富士吉田市)&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"池之元遺跡","[池之元遺跡（富士吉田市）] 所在する富士吉田市新倉は 富士北麓 地域に位置する。富士北麓は 涌水 が沸き、古富士火山活動が静穏期に入った縄文早期には遺跡数が増加し、富士吉田市域では町域東西両端にあたる 御坂山地 と 道志山地 の両山麓に遺跡が集中している。池之元遺跡は道志山地側の大明日見にある 古屋敷遺跡 とともに富士北山における代表的な早期集落で、涌水の沸く嘯山東麓の尾根上台地に立地する。標高は820メートル付近。","https://ja.wikipedia.org/wiki/池之元遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯35度29分55.1秒 東経138度47分20.5秒","","","","","","","","","","","","","","","","","","",""
"宮崎遺跡 (存在しないページ)","[宮崎遺跡（長野市）]","https://ja.wikipedia.org/w/index.php?title=宮崎遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"井戸尻遺跡","[井戸尻遺跡（富士見町）] 現在は公園内に 井戸尻考古館 があり、出土品を展示している。","https://ja.wikipedia.org/wiki/井戸尻遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯35度52分40.0秒 東経138度16分44.92秒","〒399-0101長野県諏訪郡富士見町境７０５３（富士見町歴史民俗資料館は長野県諏訪郡富士見町境７０５4）","","","","","http://www.nagano-museum.com/info/detail.php?fno=122　長野県博物館協議会ミュージアムガイド井戸尻考古館、富士見町 歴史民俗資料館","","","","","","","","","","","","",""
"尖石遺跡","[尖石遺跡（茅野市）] 尖石・与助尾根遺跡 （とがりいし・よすけおねいせき）は、 長野県 茅野市 豊平にある 縄文時代 中期の集落遺跡。南側の 尖石遺跡 は戦前から発掘されてきた縄文時代を代表する遺跡の1つとして知られているが、現在では同遺跡と浅い沢1つ隔てた北側の台地上にある 与助尾根遺跡 と一括して扱われることが多い。「尖石」の名称は遺跡の南側にあった三角錐状の巨石の通称に由来する。","https://ja.wikipedia.org/wiki/尖石遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯36度00分46.1秒 東経138度13分55.4秒","","","","","","","","","","","","","","","","","","",""
"棚畑遺跡 (存在しないページ)","[棚畑遺跡（茅野市）]","https://ja.wikipedia.org/w/index.php?title=棚畑遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"上原遺跡 (存在しないページ)","[上原遺跡（大町市）]","https://ja.wikipedia.org/w/index.php?title=上原遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"阿久遺跡","[阿久遺跡（原村）] 阿久遺跡 （あきゅういせき）は、 長野県 諏訪郡 原村 に所在する 縄文時代 の 遺跡 であり、現在のところ最古級の 環状集石 が構築されている。 配石 遺構ともいう。 1979年 （昭和54年）7月2日、国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/阿久遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯35度57分53秒東経138度11分18秒","日本長野県諏訪郡原村","","縄文時代","","","","","","","","","","なし","","","","","",""
"大深山遺跡","[大深山遺跡（川上村）] 大深山遺跡 （おおみやまいせき）は、 長野県 南佐久郡 川上村 大字大深山にある 縄文時代 中期の集落跡。 1966年 （ 昭和 41年）国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/大深山遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯35度58分39.4秒 東経138度33分55.3秒","","","","","","","","","","","","","","","","","","",""
"栃原岩陰遺跡","[栃原岩陰遺跡（北相木村）] 栃原岩陰遺跡 （とちばらいわかげいせき）は、 長野県 南佐久郡 北相木村 で 1965年 に発見された 縄文時代 早期の 岩陰遺跡 である。所在地は北相木村字東栃原上ノ段。 1987年 （昭和62年）に国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/栃原岩陰遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯36度3分43.2秒 東経138度30分53.2秒","","","","","","","","","","","","","","","","","","",""
"氷遺跡 (存在しないページ)","[氷遺跡（小諸市）]","https://ja.wikipedia.org/w/index.php?title=氷遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"藤内遺跡 (存在しないページ)","[藤内遺跡（富士見町）]","https://ja.wikipedia.org/w/index.php?title=藤内遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"新道遺跡 (存在しないページ)","[新道遺跡（富士見町）]","https://ja.wikipedia.org/w/index.php?title=新道遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"曾利遺跡 (存在しないページ)","[曾利遺跡（富士見町）]","https://ja.wikipedia.org/w/index.php?title=曾利遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"狢沢遺跡 (存在しないページ)","[狢沢遺跡（富士見町）]","https://ja.wikipedia.org/w/index.php?title=狢沢遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"九兵衛尾根遺跡 (存在しないページ)","[九兵衛尾根遺跡（富士見町）]","https://ja.wikipedia.org/w/index.php?title=九兵衛尾根遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"川原田遺跡 (存在しないページ)","[川原田遺跡（御代田町）]","https://ja.wikipedia.org/w/index.php?title=川原田遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"中村中平遺跡 (存在しないページ)","[中村中平遺跡（飯田市）]","https://ja.wikipedia.org/w/index.php?title=中村中平遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"塚原遺跡公園展示館","[塚原遺跡（関市）] 塚原遺跡公園展示館 （つかはらいせきこうえんてんじかん、Tsukahara Ruins Museum）は、 岐阜県 関市 にある 塚原遺跡公園 内に建てられている塚原遺跡に関する資料館である。 塚原遺跡展示館 と呼ばれる場合もある。","https://ja.wikipedia.org/wiki/塚原遺跡公園展示館","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯35度29分47.13秒東経136度51分54.09秒","〒501-3954岐阜県関市千疋1777－1","","","","","","","","","","","","","","","","","",""
"炉畑遺跡","[炉畑遺跡（各務原市）] 炉畑遺跡 （ろばたいせき）は、 岐阜県 各務原市 にある 各務原台地 のほぼ中央に位置する 縄文時代 中期～晩期の集落遺跡である。 2006年 に炉畑遺跡公園として整備され、縄文時代の風景や生活スタイルを体感し遊びながら縄文時代を学べる。岐阜県指定 史跡 に指定されており  、また出土品が岐阜県指定 重要文化財 に指定されている  。","https://ja.wikipedia.org/wiki/炉畑遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯35度23分40.8秒 東経136度53分41.9秒","","","","","","","","","","","","","","","","","","",""
"塩屋金清神社遺跡 (存在しないページ)","[塩屋金清神社遺跡(飛騨市)]","https://ja.wikipedia.org/w/index.php?title=塩屋金清神社遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"中野山越遺跡 (存在しないページ)","[中野山越遺跡(飛騨市)]","https://ja.wikipedia.org/w/index.php?title=中野山越遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"北裏遺跡 (存在しないページ)","[北裏遺跡(可児市)]","https://ja.wikipedia.org/w/index.php?title=北裏遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"宇佐美遺跡 (存在しないページ)","[宇佐美遺跡（伊東市）]","https://ja.wikipedia.org/w/index.php?title=宇佐美遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大塚遺跡 (存在しないページ)","[大塚遺跡（伊豆市）]","https://ja.wikipedia.org/w/index.php?title=大塚遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"上白岩遺跡","[上白岩遺跡（伊豆市）] 上白岩遺跡 （かみしらいわいせき）は、 静岡県 伊豆市 上白岩にある 縄文時代 の 遺跡  。 1978年 1月27日、国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/上白岩遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯34度57分48秒東経138度59分03秒","日本静岡県伊豆市","","縄文時代","","","","","","","","","","","","","","","",""
"上山地遺跡 (存在しないページ)","[上山地遺跡（長泉町）]","https://ja.wikipedia.org/w/index.php?title=上山地遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"木島遺跡 (存在しないページ)","[木島遺跡（富士市）]","https://ja.wikipedia.org/w/index.php?title=木島遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"蜆塚遺跡","[蜆塚遺跡（浜松市）] 蜆塚遺跡 （しじみづかいせき）は、 静岡県 浜松市 中区 蜆塚 にある 縄文時代 後期から晩期（約3～4千年前）頃の 貝塚 、および集落 遺跡 。国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/蜆塚遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯34度42分48.8秒東経137度42分11.9秒","静岡県浜松市蜆塚4丁目22番１号","集落・貝塚","","","","","","","","","","","","","","","","",""
"清水天王山遺跡 (存在しないページ)","[清水天王山遺跡(静岡市)]","https://ja.wikipedia.org/w/index.php?title=清水天王山遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"清水柳北遺跡 (存在しないページ)","[清水柳北遺跡（沼津市）]","https://ja.wikipedia.org/w/index.php?title=清水柳北遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大鹿窪遺跡","[大鹿窪遺跡（富士宮市）] 大鹿窪遺跡 （おおしかくぼいせき）は、 静岡県 富士宮市 にある 縄文時代 草創期（約1万5,000 - 1万2,000年前）の 遺跡 の1つ。国の 史跡 に指定されている。この時代より古い遺跡は数多くあるが、定住集落跡の例としては、日本最古級であるとされている。","https://ja.wikipedia.org/wiki/大鹿窪遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯35度14分55.2秒東経138度33分43.4秒","静岡県富士宮市","遺跡","縄文時代","","2008年-国史跡","","","","","","","","公開","","","","","",""
"千居遺跡","[千居遺跡（富士宮市）] 千居遺跡 （せんごいせき）は、 静岡県 富士宮市 にある 縄文時代 成熟期（前期末から中期・後期前半まで）の 遺跡 。 ストーンサークル が特徴の遺跡で、国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/千居遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯35度17分28.5秒東経138度35分11.0秒","静岡県富士宮市上条","遺跡","縄文時代","","1975年-国史跡","","","","","","","","公開","","","","","",""
"段間遺跡 (存在しないページ)","[段間遺跡（河津町）]","https://ja.wikipedia.org/w/index.php?title=段間遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"磐田市","[西貝塚（磐田市）] 磐田市 （いわたし）は、 静岡県 西部（ 遠州 ）にある 市 。人口は約16.5万人。市制施行前は 磐田郡 の一部だった。","https://ja.wikipedia.org/wiki/磐田市","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯34度43分4.4秒東経137度51分5.5秒","〒438-8650静岡県磐田市国府台3-1北緯34度43分4.4秒東経137度51分5.5秒﻿ / ﻿北緯34.717889度 東経137.851528度﻿ /34.717889; 137.851528座標:北緯34度43分4.4秒東経137度51分5.5秒﻿ / ﻿北緯34.717889度 東経137.851528度﻿ /34.717889; 137.851528","","","163.45km2（境界未定部分あり）","","公式ウェブサイト","日本","静岡県","","","","","","中部地方、東海地方","22211-9","1000020222119","166,139人（推計人口、2021年6月1日）","1,016人/km2","浜松市、袋井市、周智郡森町"
"若宮遺跡 (存在しないページ)","[若宮遺跡（富士宮市）]","https://ja.wikipedia.org/w/index.php?title=若宮遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"吉胡貝塚","[吉胡貝塚（田原市）] 「国指定史跡吉胡貝塚の保存及び活用を図るとともに、郷土に残る文化遺産に関する市民の関心を高め、郷土文化の向上に寄与する  」ことを目的として設置された 史跡公園 で、愛称は『シェルマよしご』   。吉胡貝塚資料館のほか、貝塚平面展示施設・貝塚断面展示施設および体験広場からなる。また、園内には 田原藩 11代藩主 三宅康直 の隠居屋敷であった矢崎御殿跡の石垣が残る。","https://ja.wikipedia.org/wiki/吉胡貝塚","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯34度40分55.41秒東経137度16分47.88秒","日本愛知県田原市吉胡町矢崎42番地4","","","20,382m2","","","","","","史跡公園","","吉胡貝塚史跡公園","","","","","","",""
"伊川津貝塚","[伊川津貝塚（田原市）] 伊川津貝塚 （いかわづかいづか）は、 愛知県 田原市 伊川津町 にある、 縄文時代 後期から晩期にかけての大規模な 貝塚 。","https://ja.wikipedia.org/wiki/伊川津貝塚","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯34度38分42.6秒 東経137度8分42.8秒","","","","","","","","","","","","","","","","","","",""
"保美貝塚","[保美貝塚（田原市）] 保美貝塚 （ほびかいづか）は、 愛知県 田原市 保美町 字平城に所在する 貝塚 。","https://ja.wikipedia.org/wiki/保美貝塚","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯34度37分32秒 東経137度5分43.2秒","","","","","","","","","","","","","","","","","","",""
"織田井戸遺跡","[織田井戸遺跡（小牧市）] 織田井戸遺跡 （おだいどいせき）は、かつて 愛知県 小牧市 小木にあった、 縄文時代 から 弥生時代 にかけての 遺跡 である。 1981年 に本格的な調査が行なわれ、多数の遺物が出土している。現在遺跡があった場所は、 愛知県道451号名古屋外環状線 となっている。","https://ja.wikipedia.org/wiki/織田井戸遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"酒呑ジュリンナ遺跡 (存在しないページ)","[酒呑ジュリンナ遺跡（豊田市）]","https://ja.wikipedia.org/w/index.php?title=酒呑ジュリンナ遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"今朝平遺跡 (存在しないページ)","[今朝平遺跡(豊田市)]","https://ja.wikipedia.org/w/index.php?title=今朝平遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"枯木宮(寺津)貝塚 (存在しないページ)","[枯木宮(寺津)貝塚（西尾市）]","https://ja.wikipedia.org/w/index.php?title=枯木宮(寺津)貝塚&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"真宮遺跡","[真宮遺跡(岡崎市)] 真宮遺跡 （しんぐういせき）は、 愛知県 岡崎市 真宮町 から 六名 1丁目にかけて所在する遺跡で、 縄文時代 から 鎌倉時代 までの 複合遺跡 である。国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/真宮遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯34度56分45.4秒東経137度9分5.1秒","愛知県岡崎市真宮町～六名1丁目","集落・複合遺跡","","","","","","","","","","","","","","","","",""
"先苅貝塚 (存在しないページ)","[先苅貝塚(南知多町)]","https://ja.wikipedia.org/w/index.php?title=先苅貝塚&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"馬見塚遺跡 (存在しないページ)","[馬見塚遺跡(一宮市)]","https://ja.wikipedia.org/w/index.php?title=馬見塚遺跡&amp;action=edit&amp;redlink=1","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"粥見井尻遺跡","[粥見井尻遺跡（松阪市）] 粥見井尻遺跡 （かゆみいじりいせき）は、 三重県 松阪市 飯南町粥見字井尻で 1996年 （平成8年）に発見された 縄文時代 草創期の 遺跡 である  。県指定 史跡 。日本最古級の 土偶 が出土した  。現在は「粥見井尻遺跡公園」として残されている  。","https://ja.wikipedia.org/wiki/粥見井尻遺跡","縄文時代の遺跡一覧","https://ja.wikipedia.org/wiki/縄文時代の遺跡一覧","箇条書き,制限あり","北緯34度27分18.9秒 東経136度23分54.6秒","","","","","","","","","","","","","","","","","","",""
