"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","面積","最高標高","所在海域","海岸線長","所属諸島","最高峰","人口","都道府県","場所","最大都市","主要な島","時間帯","市町村","諸島","島数","人口密度","言語","郡"
"忽那諸島","[忽那諸島] 忽那諸島 （くつなしょとう）とは、 瀬戸内海 の 安芸灘 と 伊予灘 との間に位置する 島嶼 群。最も面積が大きい中島本島を 主島 とする。7つの有人島と22の無人島からなる。","https://ja.wikipedia.org/wiki/忽那諸島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯33度58分11秒東経132度36分21秒","","","296.1 m (971.5 ft)","","","","大里山（中島）","3881人（2015年時点）","愛媛県山口県","斎灘、伊予灘（瀬戸内海）","","中島、津和地島、怒和島、二神島、睦月島、野忽那島、由利島","日本標準時（UTC+9）","松山市岩国市","防予諸島","29島","","日本語",""
"青島 (愛媛県)","[青島 (愛媛県)] 青島 （あおしま）は 瀬戸内海 （伊予灘）海上に位置する 愛媛県 大洲市 （旧： 喜多郡 長浜町 ）の島。","https://ja.wikipedia.org/wiki/青島_(愛媛県)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯33度44分10秒東経132度29分14秒","日本（愛媛県）","0.49km²","91m","瀬戸内海","4.2km","","","","","","","","","","","","","",""
"嘉島 (宇和島市)","[嘉島 (宇和島市)] 嘉島 （かしま）とは、 愛媛県 宇和島市 より西方約19キロにある有人島。人口は53世帯159人（平成19年9月）。藩政時代より隣接する 戸島 の属島として、 1958年 に周辺四村と 宇和海村 （ 1974年 宇和島市に編入）として合併するまでは 戸島村 を形成していた。","https://ja.wikipedia.org/wiki/嘉島_(宇和島市)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯33度13分37秒東経132度21分46秒","日本（愛媛県）","0.54km²","122m","宇和海","","","","","","","","","","","","","","",""
"御五神島","[御五神島] 御五神島 （おいつかみじま）とは、 愛媛県 宇和島市 に属する 日振島 の南5kmに位置する 無人島 。周辺は好漁場として知られ、また磯釣りの名所としても知られ多くの釣り客が訪れる。藩政期には 宇和島藩 領の日振郷の イワシ 漁場として開発される。中世には漁民が住んでいたとの古文書もある。 1947年 （昭和22年）、日振島から引揚者が入植したが、台風や野 ネズミ の被害に見舞われた。 1960年 には人口65人との国勢調査の記録もあるが、 1965年 （昭和40年）に全員離島し無人島となった。","https://ja.wikipedia.org/wiki/御五神島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯33度6分20秒東経132度19分36秒","","1.32 km2(0.51 sq mi)","195 m (640 ft)","","","","","0","愛媛県","豊後水道","","","日本標準時（UTC+9）","","","","0 /km2(0 /sq mi)","",""
"沖の島 (高知県)","[沖の島- 10.02km2[11] 沖の島 （おきのしま）は、 日本 の 四国 ・ 高知県 の南西部、 宿毛湾 および 大月半島 の南西沖、 北緯32度 43分・ 東経132度 32分の 太平洋 上に所在する 島 である。 面積 10.5 km 2 。 海岸線 長約17 km 、東西約3.5 km、南北約5.8 km。最高所（ 妹背山 頂） 標高 は 404.1 m 。","https://ja.wikipedia.org/wiki/沖の島_(高知県)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯32度43分39秒東経132度33分17秒","日本（高知県）","10.5km²","404m","","17km","","","","","","","","","","","","","",""
"鵜来島","[鵜来島- 1.31km2[11] 鵜来島 （うぐるしま）は 太平洋 上、 高知県 宿毛市 の沖合にある 島 。 足摺宇和海国立公園 に指定されている。","https://ja.wikipedia.org/wiki/鵜来島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯32度48分07秒東経132度29分24秒","日本（高知県）","1.3km²","252m","","6.7km","","","","","","","","","","","","","",""
"大島 (高知県)","[大島- 1.01km2[11] 大島 （おおしま）は 高知県 宿毛市 にある島である。","https://ja.wikipedia.org/wiki/大島_(高知県)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯32度54分57秒東経132度41分48秒","日本高知県宿毛市","1.01km²","91.3m","宿毛湾","4.2km","","","","","","","","","","","","","",""
"柏島","[柏島] 柏島 （かしわじま）は、 高知県 幡多郡 大月町 にある 島 である。 足摺宇和海国立公園 に指定されている。","https://ja.wikipedia.org/wiki/柏島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯32度46分9.7秒東経132度37分17.2秒","日本（高知県）","0.57km²","144.3m","豊後水道、太平洋","3.9km","","","","","","","","","","","","","",""
"大島 (福岡県)","[大島- 7.21km2[11] 大島 （おおしま）は、 響灘 と 玄界灘 の境界部に面する 福岡県 宗像市 の 島 （有人島）である。 筑前大島 ともいい、 宗像七浦 の一つで、 世界遺産 の 宗像大社 中津宮、沖津宮遙拝所がある。キャッチフレーズは「神守る島」。","https://ja.wikipedia.org/wiki/大島_(福岡県)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯33度54分8.1秒東経130度25分32秒","日本（福岡県宗像市）","7.45km²","224m","日本海（響灘）","16.5km","","","","","","","","","","","","","",""
"志賀島","[志賀島- 5.79km2[11] 志賀島 （しかのしま）は、 福岡県 福岡市 東区 に所属する 島 である。 博多湾 の北部に位置し、 海の中道 と陸続きである。","https://ja.wikipedia.org/wiki/志賀島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯33度40分30秒東経130度18分0秒","日本（福岡県福岡市）","5.78km²","168.9m","博多湾（玄界灘）","11km","","","","","","","","","","","","","",""
"能古島","[能古島- 3.93km2[11] 能古島 （のこのしま）は、 福岡県 福岡市 西区 に所属する、 博多湾 の 島 である。福岡市の中心部から、船で10分程度で来られるため、 行楽地 として利用する福岡市民も見られる。福岡県内では アブラナ ・ サクラ ・ コスモス ・ スイセン の花の名所として知られ、これらが咲く時期などは島内が混雑する。","https://ja.wikipedia.org/wiki/能古島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯33度37分15秒東経130度18分12秒","日本（福岡県福岡市）","3.95km²","195.0（三角点の標高）m","博多湾","12km","","","","","","","","","","","","","",""
"地島","[地島- 1.62km2[11] 地島 （じのしま）は、 玄界灘 と 響灘 の境界部に面する 福岡県 宗像市 の島（有人島）である。筑前国続風土記には、昔は 慈島 とあるがのちに地島となったとする。","https://ja.wikipedia.org/wiki/地島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯33度54分21.74秒東経130度29分38秒","日本（福岡県宗像市）","1.57km²","187m","玄界灘・響灘","9.3km","","","","","","","","","","","","","",""
"相島 (福岡県)","[相島- 1.22km2[11] 相島 （あいのしま、あいしま）は、 玄界灘 に浮かぶ 福岡県 糟屋郡 新宮町 の島（有人島）である。新宮海岸から北西に8kmほど離れた所に位置する。","https://ja.wikipedia.org/wiki/相島_(福岡県)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯33度45分44.5秒東経130度21分54.5秒","日本（福岡県糟屋郡新宮町）","約1.25km²","","玄界灘","約8km","","","","","","","","","","","","","",""
"玄界島","[玄界島- 1.16km2[11] 玄界島 （げんかいじま）は、 福岡県 福岡市 西区 に所属する 島 である。東経130度14分、北緯33度41分に位置する。 福岡湾 の出口、 玄界灘 に面している。","https://ja.wikipedia.org/wiki/玄界島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯33度41分24秒東経130度14分0秒","日本（福岡県福岡市）","1.14km²","217.9m","玄界灘","4.4km","","","","","","","","","","","","","",""
"藍島","[藍島] 藍島 （あいのしま）は、 福岡県 北九州市 小倉北区 に属する 響灘 にある島である。","https://ja.wikipedia.org/wiki/藍島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯33度59分25秒東経130度49分05秒","日本（福岡県北九州市）","0.68km²","25m","響灘","","","","","","","","","","","","","","",""
"馬島 (福岡県)","[馬島 (福岡県)] 馬島 （うましま）は、 響灘 上にある 福岡県 北九州市 小倉北区 の標高20ｍ程の丘陵が連なる台地状の有人 島 である  。また、地名（行政区画）としての「馬島」は福岡県北九州市小倉北区の 大字 となっており、全島及び近くにある 和合良島 ・ 片島 などがこれに該当する。","https://ja.wikipedia.org/wiki/馬島_(福岡県)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯33度58分1.8秒東経130度51分14.95秒","日本（福岡県北九州市小倉北区）","0.26km²","34m","響灘","5.4km","","","","","","","","","","","","","",""
"沖ノ島","[沖ノ島] 沖ノ島 （おきのしま）は、 福岡県 宗像市 に属する、九州本土から約60キロメートル離れた 玄界灘 の真っ只中に浮かぶ周囲4キロメートルの 島 。福岡県最北端の地である  。 宗像大社 の神領（ 御神体 島）で、沖津宮（おきつぐう）が鎮座する。","https://ja.wikipedia.org/wiki/沖ノ島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度14分39.4139秒東経130度6分20.7382秒","日本（福岡県宗像市）","0.97km²","243.6m","日本海（玄界灘）","約4km","","","","","","","","","","","","","",""
"小呂島","[小呂島] 小呂島 （おろのしま）は、 玄界灘 上にある 福岡県 福岡市 西区 の 島 （ 離島 ）である。","https://ja.wikipedia.org/wiki/小呂島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯33度52分01秒東経130度02分09秒","日本（福岡県福岡市）","0.43km²","109.3m","日本海（玄界灘）","3.3km","","","","","","","","","","","","","",""
"姫島 (福岡県)","[姫島 (福岡県)] 姫島 （ひめしま）は、 福岡県 西部の 糸島半島 から北西に4kmの 玄界灘 にある 島 である。人口は147人（H27）  。福岡県 糸島市 に属する。","https://ja.wikipedia.org/wiki/姫島_(福岡県)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯33度34分14秒東経130度2分55秒","日本（福岡県糸島市）","0.75km²","186.7m","日本海（玄界灘）","3.8km","","鎮山","","","","","","","","","","","",""
"馬渡島","[馬渡島- 4.24km2[11] 馬渡島 （まだらしま）は、 東松浦半島 最北端の 波戸岬 から約9km西の 玄界灘 にある 島 。 佐賀県 唐津市 に属し、大字は唐津市 鎮西町 馬渡島。","https://ja.wikipedia.org/wiki/馬渡島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯33度34分23秒東経129度45分34秒","日本佐賀県唐津市","4.13km²","237.9m","日本海（玄界灘）","12.5km","（玄海諸島）","番所ノ辻","","","","","","","","","","","",""
"加唐島","[加唐島- 2.83km2[11] 加唐島 （かからしま）は、 東松浦半島 最北端の 波戸岬 から約4km北の 玄界灘 にある 島 である。 佐賀県 唐津市 に属し、大字は唐津市 鎮西町 加唐島。 2009年 に『百済武寧王生誕の伝承』で「 島の宝100景 」に選出された。","https://ja.wikipedia.org/wiki/加唐島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯33度36分3秒東経129度51分22秒","日本佐賀県唐津市","2.83km²","123.4m","日本海（玄界灘）","14.6km","（玄海諸島）","","","","","","","","","","","","",""
"加部島","[加部島- 2.71km2[11] 加部島 （かべしま）は、 東松浦半島 北部、 唐津市 呼子町 の 呼子港 の沖約500mの 玄界灘 に位置する 島 。 佐賀県 唐津市に属し、大字は唐津市呼子町加部島。","https://ja.wikipedia.org/wiki/加部島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯33度33分20秒東経129度53分0秒","日本佐賀県唐津市","2.68km²","112.2m","日本海（玄界灘）","8km","","天童岳","","","","","","","","","","","",""
"神集島","[神集島- 1.39km2[11] 神集島 （かしわじま）は、 東松浦半島 北西部、 唐津市 湊町の沖約1kmの 玄界灘 に位置する 島 。 佐賀県 唐津市に属し、大字は唐津市神集島。","https://ja.wikipedia.org/wiki/神集島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯33度32分0秒東経129度58分20秒","日本佐賀県唐津市","1.41km²","85m","日本海（玄界灘）","6.5km","（玄海諸島）","","","","","","","","","","","","",""
"玄海諸島","[玄海諸島] 玄海諸島 （げんかいしょとう）は、 佐賀県 西北部、 東松浦半島 周辺の 玄界灘 に点在する 島嶼 群。本土から最も遠い島でもおよそ8キロしか離れていない本土近接型離島である。 平成の大合併 により現在は全島が佐賀県 唐津市 に属しているが、平成17年1月1日の市町村合併以前は、唐津市、 呼子町 、 鎮西町 、 肥前町 の1市3町に属していた。","https://ja.wikipedia.org/wiki/玄海諸島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯33度35分57秒東経129度51分20秒","","","237.9 m (780.5 ft)","","","","番所ノ辻（馬渡島）","","佐賀県","玄界灘（日本海）","","高島、神集島、小川島、加部島、加唐島、松島、馬渡島、向島","日本標準時（UTC+9）","唐津市","","","","日本語",""
"高島 (佐賀県)","[高島 (佐賀県)] 高島 （たかしま）は、 唐津湾 中部、 唐津港 と陸続きの大島から西に約1.5km、宝当桟橋に近い 松浦川 河口から北に約2kmの沖に位置する 島 。 佐賀県 唐津市に属し、大字は唐津市高島。 宝くじ が当たるという謂れのある 宝当神社 があり、宝くじのシーズンには多くのファンが訪れる。","https://ja.wikipedia.org/wiki/高島_(佐賀県)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯33度28分26秒東経129度59分28秒","日本佐賀県唐津市","0.62km²","169.7m","唐津湾","3.2km","（玄海諸島）","","","","","","","","","","","","",""
"小川島","[小川島] 小川島 （おがわしま）は、 佐賀県 唐津市 呼子町 の北の沖合に位置する人口348人、142世帯（平成27年国勢調査）の 離島 である。","https://ja.wikipedia.org/wiki/小川島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯33度36分0秒東経129度54分0秒","日本・佐賀県","0.92km²","60.6m","玄界灘","4km","","","","","","","","","","","","","",""
"松島 (佐賀県)","[松島 (佐賀県)] 松島 （まつしま）は、 東松浦半島 最北端の 波戸岬 から約4km北の 玄界灘 にある 島 。 佐賀県 唐津市 に属し、大字は唐津市 鎮西町 松島。","https://ja.wikipedia.org/wiki/松島_(佐賀県)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯33度35分15秒東経129度50分29秒","日本佐賀県唐津市","0.63km²","137.6m","日本海（玄界灘）","3.6km","（玄海諸島）","","","","","","","","","","","","",""
"向島 (佐賀県)","[向島 (佐賀県)] 向島 （むくしま）は、 東松浦半島 西部、 佐賀県 唐津市 に所在する、 玄界灘 に位置する 島 。","https://ja.wikipedia.org/wiki/向島_(佐賀県)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯33度29分30秒東経129度46分35秒","日本佐賀県唐津市肥前町向島","0.30km²","","日本海（玄界灘）","4km","（玄海諸島）","","","","","","","","","","","","",""
"対馬","[対馬- 695.74km2[11] 対馬 （つしま）または対馬島（つしまとう、 英語 ：Tsushima Island）は、 日本 の 九州 の北方の 玄界灘 にある、 長崎県 （ながさきけん）に属する 島 で、島全域が 対馬市 の1島1市体制である。面積は日本第10位である  。島内人口は3万470人である  （2019年9月現在）。","https://ja.wikipedia.org/wiki/対馬","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度25分東経129度20分","日本長崎県対馬市","696.10（属島を含まない）708.5（属島を含む）km²","648.5m","日本海（対馬海峡・朝鮮海峡）","915（属島を含む）km","日本列島","","","","","","","","","","","","",""
"福江島","[福江島- 326.34km2[11] 福江島 （ふくえじま）は、 長崎県 西方沖の 五島列島 を構成する島の一つである。行政区分は 長崎県 五島市 に属する。南に離れた 男女群島 を除けば五島列島の南西端に位置する。島の面積326.43km 2 は五島列島最大、日本国内では11番目の面積を持っている  。","https://ja.wikipedia.org/wiki/福江島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯32度41分43.8秒東経128度50分26.9秒","日本（長崎県五島市）","326.43km²","（父ヶ岳）461m","五島灘","322.1km","五島列島","","","","","","","","","","","","",""
"中通島","[中通島- 168.39km2[11] 中通島 （なかどおりじま）は、 長崎県 の西に浮かぶ 五島列島 を構成する 島 の一つである。全島が 長崎県 南松浦郡 新上五島町 に属する。","https://ja.wikipedia.org/wiki/中通島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯32度59分東経129度05分","日本（長崎県南松浦郡新上五島町）","168.34km²","（番岳）442m","五島灘","278.8km","五島列島","番岳（新上五島町小串郷・立串郷・曽根郷）","","","","","","","","","","","",""
"平戸島","[平戸島- 163.40km2[11] 平戸島 （ひらどじま）は、 長崎県 北部、 北松浦半島 の西海上にある 島 。全域が 長崎県 平戸市 に属する。面積163.42km 2 は、島としては日本で20番目、長崎県で4番目の面積である  。","https://ja.wikipedia.org/wiki/平戸島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯33度22分5秒東経129度33分13秒","日本（長崎県平戸市）","163.42km²","（安満岳）535m","","203.5km","","","","","","","","","","","","","",""
"壱岐島","[壱岐島- 134.63km2[11] 壱岐島 （いきのしま）は、 長崎県 に属する 離島 で、 九州 と 対馬 の間に位置する。南北17 km・東西14 km程度の大きさの壱岐島は、周辺の小さな島々と区別して 壱岐本島 と呼ぶ場合もある。また『 古事記 』では「伊伎島（いきのしま）」と書かれ  、別名を 天比登都柱 （あめひとつばしら）と言う  。","https://ja.wikipedia.org/wiki/壱岐島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯33度47分0秒東経129度43分0秒","日本長崎県壱岐市","133.8 km²","212.8 m","日本海（玄界灘）、壱岐水道、対馬海峡","167.5 km","","","","","","","","","","","","","",""
"久賀島","[久賀島- 37.24km2[11] 久賀島 （ひさかじま）は、 長崎県 の西に浮かぶ 五島列島 の一つの島である。行政区分は 長崎県 五島市 に属する。","https://ja.wikipedia.org/wiki/久賀島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯32度47分東経128度52分","日本（長崎県五島市）","37.35km²","（鵜岳）357m","五島灘","","五島列島","","","","","","","","","","","","",""
"針尾島","[針尾島- 33.16km2[11] 針尾島 （はりおじま）は 長崎県 佐世保市 の南西部に位置し、 佐世保湾 と 大村湾 の間に浮かぶ 島 。 西海市 と 針尾瀬戸 を境に接する。 温州みかん の栽培が盛んである。","https://ja.wikipedia.org/wiki/針尾島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯33度06分33.2秒 東経129度46分41.6秒","日本（長崎県佐世保市）","33.16km²","209.2m","佐世保湾、大村湾","","なし","虚空蔵山","","","","","","","","","","","",""
"若松島","[若松島- 31.14km2[11] 若松島 （わかまつじま）は、 五島列島 を構成する島の一つである。五島列島では4番目に大きな島で、 奈留島 と 中通島 の間に位置する。全島が 長崎県 南松浦郡 新上五島町 に属し、人口は 2010年 国勢調査 確定値時点で1,661人    。","https://ja.wikipedia.org/wiki/若松島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯32度52分東経129度01分","日本（長崎県南松浦郡新上五島町）","30.99km²","339.2m","","123.7km","五島列島","鳥越山","","","","若松","","","","","","","",""
"宇久島","[宇久島- 24.94km2[11] 宇久島 （うくじま）は、 九州 本土から西へ約50km離れた 五島列島 の最北部にある 島 （有人島）。全島が 長崎県 佐世保市 に属する。","https://ja.wikipedia.org/wiki/宇久島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯33度16分10.9秒東経129度6分45.7秒","日本（長崎県佐世保市）","24.93km²","258m","","","","城ヶ岳","","","","","","","","","","","",""
"奈留島","[奈留島- 23.68km2[11] 奈留島 （なるしま）は、 長崎県 の西に浮かぶ 五島列島 を構成する 島 の一つである。五島列島内では 久賀島 と 若松島 の間にあり、全島が 長崎県 五島市 に属する。","https://ja.wikipedia.org/wiki/奈留島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯32度50分15.9秒東経128度56分5.5秒","日本（長崎県五島市）","23.82km²","（鴨越）276m","五島灘","","五島列島","","","","","","","","","","","","",""
"福島 (長崎県)","[福島- 16.94km2[11] 福島 （ふくしま）は、 九州 北西部の 伊万里湾 内にある島。全島が 長崎県 松浦市 に属する。","https://ja.wikipedia.org/wiki/福島_(長崎県)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯33度22分1秒東経129度49分12秒","日本（長崎県）","16.94km²","","伊万里湾","","","","","","","","","","","","","","",""
"生月島","[生月島- 16.55km2[11] 生月島 （いきつきしま）は、 長崎県 の 平戸島 の北西にある 島 （有人島）である。全島が 長崎県 平戸市 に属する（ 2005年 10月1日 の現平戸市発足以前は 北松浦郡 生月町 ）。","https://ja.wikipedia.org/wiki/生月島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯33度23分11.1秒東経129度25分50.4秒","日本（長崎県平戸市）","16.57km²","（番岳）286m","","","","","","","","","","","","","","","",""
"鷹島 (長崎県)","[鷹島- 16.18km2[11] 鷹島 （たかしま）は、 九州 北西部の 伊万里湾 口にある 島 。全島が 長崎県 松浦市  に属する。","https://ja.wikipedia.org/wiki/鷹島_(長崎県)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯33度26分2.5秒東経129度45分21.2秒","日本（長崎県）","16.18km²","牧ノ岳：117m","玄界灘、伊万里湾","","","","","","","","","","","","","","",""
"的山大島","[的山大島- 15.16km2[11] 的山大島 （あづちおおしま）は、 長崎県 の 平戸島 の北方にある 島 （有人島）である。全島が 長崎県 平戸市 に属する（2005年10月1日の現平戸市発足以前は 北松浦郡 大島村 ）。通称で「大島」と呼ばれることも多い。","https://ja.wikipedia.org/wiki/的山大島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯33度28分46.4秒東経129度33分16.8秒","日本（長崎県平戸市）","15.19km²","（魚見岳）183m","","38km","","","","","","","","","","","","","",""
"小値賀島","[小値賀島- 12.26km2[11] 小値賀島 （おぢかじま）は、 九州 本土から西へ約50 キロメートル 離れた 五島列島 の北部にある 島 （有人島）である。全島が 長崎県 北松浦郡 小値賀町 に属する。 人口 - 2,229人（ 2015年 国勢調査 確定値）  。","https://ja.wikipedia.org/wiki/小値賀島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯33度12分2.7秒東経129度3分15.6秒","日本（長崎県北松浦郡小値賀町）","12.22km²","111m","","","","本城岳","","","","","","","","","","","",""
"大島 (長崎県西海市)","[大島- 12.08km2[11] 大島 （おおしま）は、 長崎県 中部の 西彼杵半島 西方にある島。全島が 西海市 に属する。同じ長崎県内の 平戸市 の 的山大島 等と区別して 西彼大島 （せいひおおしま）と呼ばれる場合がある。","https://ja.wikipedia.org/wiki/大島_(長崎県西海市)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯33度2分30秒東経129度36分35秒","日本長崎県西海市","12.14km²","93.6m","","45.9km","","","","","","","","","","","","","",""
"椛島","[椛島- 8.69km2[11] 椛島 （かばしま、 英語 ：Kabashima）は、 五島列島 を構成する島の一つである。行政区分は 長崎県 五島市 に属する。 長崎市 の西方沖約80Kmに位置しており、五島列島では8番目に大きな島である。","https://ja.wikipedia.org/wiki/椛島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯32度45分54.4秒東経128度59分46.6秒","日本（長崎県五島市）","8.68km²","","","27.5km","五島列島","致彦山（326m）","","","","伊福貴","","","","","","","",""
"野崎島","[野崎島- 7.11km2[11] 野崎島 （のざきじま）は、 長崎県 五島列島 の北東部に位置する 島 である。長崎県 北松浦郡 小値賀町 に属する。","https://ja.wikipedia.org/wiki/野崎島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯33度11分12秒東経129度07分50秒","日本（長崎県北松浦郡小値賀町）","7.36km²","350.0m","","19.24km","","","","","","","","","","","","","",""
"松島 (長崎県)","[松島- 6.37km2[11] 松島 （まつしま）は、 長崎県 の 西彼杵半島 の西1km沖の 五島灘 に浮かぶ 島 である。全域が長崎県 西海市 に属する。","https://ja.wikipedia.org/wiki/松島_(長崎県)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯32度55分41秒東経129度36分41秒","日本（長崎県西海市）","6.39km²","（遠見山）217m","五島灘","16.3km","","","","","","","","","","","","","",""
"島山島 (長崎県五島市)","[島山島- 5.51km2[11] 島山島 （しまやまじま）は、 長崎県 五島列島 の 福江島 の南西に位置する有人離島。 五島市 玉之浦 地区に属している。面積は約5.53km 2 で、五島列島の中では10番目に大きな島である。","https://ja.wikipedia.org/wiki/島山島_(長崎県五島市)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯32度38分31.1秒東経128度37分14.9秒","日本（長崎県五島市）","5.53km²","265m","東シナ海","16km","五島列島","","30人（2010年）","","","","","","","","","","",""
"平島 (長崎県)","[平島- 5.47km2[11] 平島 （ひらしま）は、 長崎県 の 西彼杵半島 西方沖にある 島 。全島が 西海市 （ 2005年 3月31日 までは 西彼杵郡 崎戸町 ）に属する。本項では同区域にかつて存在した 西彼杵郡 平島村 （ひらしまむら）についても述べる。","https://ja.wikipedia.org/wiki/平島_(長崎県)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯33度0分23秒東経129度14分39.2秒","日本長崎県西海市","5.49km²","204.8m","","16.9km","","","","","","","","","","","","","",""
"蛎浦島","[蛎浦島- 4.75km2[11] 蛎浦島 （かきのうらしま）は、 長崎県 中部の 西彼杵半島 西方にある 島 。全島が長崎県 西海市 （ 2005年 3月31日 までは 西彼杵郡 崎戸町 ）に属する。","https://ja.wikipedia.org/wiki/蛎浦島","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯33度1分20秒東経129度34分13秒","日本長崎県西海市","4.82km²","126m","","34km","","","","","","","","","","","","","",""
"島山島 (長崎県対馬市)","[島山島- 4.70km2[11] 島山島 （しまやまじま）は 長崎県 対馬市 にある架橋された離島である。","https://ja.wikipedia.org/wiki/島山島_(長崎県対馬市)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯34度19分23秒東経129度19分19秒","日本長崎県対馬市","4.90km²","118m","","","","","","","","","","","","","","","",""
"黒島 (長崎県佐世保市)","[黒島- 4.66km2[11] 黒島 （くろしま）は、 長崎県 北部の 北松浦半島 の南西沖合にある島。全島が 佐世保市 に属している。","https://ja.wikipedia.org/wiki/黒島_(長崎県佐世保市)","日本の島の一覧","https://ja.wikipedia.org/wiki/日本の島の一覧","箇条書き,制限あり","北緯33度8分30.5秒東経129度32分04.0秒","日本（長崎県佐世保市）","4.62km²","134.34m","","","なし（九十九島のひとつ）","","","","","","","","","","","","",""
