"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","標高","位置","山系","種類","最新噴火","山号","宗旨","宗派","本尊","創建年","開山","中興","正式名","札所等","法人番号","Hidden","Hidden","Hidden"
"白木山 (広島県)","[76しらきやま白木山広島県889.3地理院地図Googleマップ北緯34度31分17秒東経132度34分32秒﻿ / ﻿北緯34.521261度 東経132.575438度﻿ /34.521261; 132.575438﻿ (白木山)] 白木山 （しらきやま）は、 広島県 広島市 安佐北区 にある 標高 889  m の 山 。","https://ja.wikipedia.org/wiki/白木山_(広島県)","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯34度31分17秒東経132度34分32秒","広島県広島市安佐北区","888.9m","北緯34度31分17秒東経132度34分32秒﻿ / ﻿北緯34.52139度 東経132.57556度﻿ /34.52139; 132.57556座標:北緯34度31分17秒東経132度34分32秒﻿ / ﻿北緯34.52139度 東経132.57556度﻿ /34.52139; 132.57556","","","","","","","","","","","","","","","",""
"呉娑々宇山 (存在しないページ)","[77画 像 募 集 中ごさそうざん呉娑々宇山広島県682.2地理院地図Googleマップ北緯34度25分22秒東経132度32分52秒﻿ / ﻿北緯34.422894度 東経132.547850度﻿ /34.422894; 132.547850﻿ (呉娑々宇山)]","https://ja.wikipedia.org/w/index.php?title=呉娑々宇山&amp;action=edit&amp;redlink=1","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"天応烏帽子岩山 (存在しないページ)","[78画 像 募 集 中てんのうえぼしいわやま天応烏帽子岩山広島県410地理院地図Googleマップ北緯34度16分47秒東経132度31分50秒﻿ / ﻿北緯34.279842度 東経132.530583度﻿ /34.279842; 132.530583﻿ (天応烏帽子岩山)]","https://ja.wikipedia.org/w/index.php?title=天応烏帽子岩山&amp;action=edit&amp;redlink=1","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"古鷹山 (存在しないページ)","[79ふるたかやま古鷹山広島県394地理院地図Googleマップ北緯34度15分31秒東経132度28分42秒﻿ / ﻿北緯34.258653度 東経132.478338度﻿ /34.258653; 132.478338﻿ (古鷹山)]","https://ja.wikipedia.org/w/index.php?title=古鷹山&amp;action=edit&amp;redlink=1","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"窓ヶ山 (存在しないページ)","[80まどがやま窓ヶ山広島県711.2地理院地図Googleマップ北緯34度26分22秒東経132度20分11秒﻿ / ﻿北緯34.439566度 東経132.336282度﻿ /34.439566; 132.336282﻿ (窓ヶ山)]","https://ja.wikipedia.org/w/index.php?title=窓ヶ山&amp;action=edit&amp;redlink=1","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"大峯山 (広島県) (存在しないページ)","[81画 像 募 集 中おおみねやま大峯山広島県1,039.8地理院地図Googleマップ北緯34度24分56秒東経132度12分58秒﻿ / ﻿北緯34.415511度 東経132.216200度﻿ /34.415511; 132.216200﻿ (大峯山)]","https://ja.wikipedia.org/w/index.php?title=大峯山_(広島県)&amp;action=edit&amp;redlink=1","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"三倉岳 (存在しないページ)","[82みくらだけ三倉岳広島県701.8地理院地図Googleマップ北緯34度19分01秒東経132度08分53秒﻿ / ﻿北緯34.317050度 東経132.148012度﻿ /34.317050; 132.148012﻿ (三倉岳)]","https://ja.wikipedia.org/w/index.php?title=三倉岳&amp;action=edit&amp;redlink=1","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"弥山 (広島県)","[83みせん弥山広島県529.8地理院地図Googleマップ北緯34度16分46秒東経132度19分11秒﻿ / ﻿北緯34.279568度 東経132.319599度﻿ /34.279568; 132.319599﻿ (弥山)新日本百名山宮島厳島神社] 弥山 （みせん）は 広島県 廿日市市 宮島町 の宮島（ 厳島 ）の中央部にある標高535 mの 山 。古くからの信仰の対象になっている。","https://ja.wikipedia.org/wiki/弥山_(広島県)","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯34度16分47秒東経132度19分11秒","日本広島県廿日市市宮島町","535m","北緯34度16分47秒東経132度19分11秒﻿ / ﻿北緯34.27972度 東経132.31972度﻿ /34.27972; 132.31972座標:北緯34度16分47秒東経132度19分11秒﻿ / ﻿北緯34.27972度 東経132.31972度﻿ /34.27972; 132.31972","宮島（厳島）","火成岩","","","","","","","","","","","","","",""
"青野山","[84あおのやま青野山島根県907.6地理院地図Googleマップ北緯34度27分44秒東経131度47分53秒﻿ / ﻿北緯34.462208度 東経131.798081度﻿ /34.462208; 131.798081﻿ (青野山)] 青野山 （あおのやま）は 島根県 鹿足郡 津和野町 に位置する標高907mの 火山  。国の 天然記念物 ・ 名勝 に指定されている   。","https://ja.wikipedia.org/wiki/青野山","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯34度27分45秒東経131度47分53秒","島根県鹿足郡津和野町","907m","北緯34度27分45秒東経131度47分53秒﻿ / ﻿北緯34.46250度 東経131.79806度﻿ /34.46250; 131.79806座標:北緯34度27分45秒東経131度47分53秒﻿ / ﻿北緯34.46250度 東経131.79806度﻿ /34.46250; 131.79806","中国山地および青野山火山群","溶岩ドーム","12.7万年前または23万年前","","","","","","","","","","","","",""
"高岳山 (存在しないページ)","[85画 像 募 集 中たかだけやま高岳山島根県山口県1,040.7地理院地図Googleマップ北緯34度24分00秒東経131度47分05秒﻿ / ﻿北緯34.399946度 東経131.784683度﻿ /34.399946; 131.784683﻿ (高岳山)]","https://ja.wikipedia.org/w/index.php?title=高岳山&amp;action=edit&amp;redlink=1","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"十種ヶ峰","[86画 像 募 集 中とくさがみね十種ヶ峰島根県山口県988.8地理院地図Googleマップ北緯34度26分18秒東経131度41分43秒﻿ / ﻿北緯34.438334度 東経131.695282度﻿ /34.438334; 131.695282﻿ (十種ヶ峰)長門富士] 十種ヶ峰 （とくさがみね）は、 山口県 と 島根県 にまたがる 標高 989mの 山 。俗名は 長門富士 。","https://ja.wikipedia.org/wiki/十種ヶ峰","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯34度26分18秒東経131度41分43秒","日本山口県山口市島根県鹿足郡津和野町","989m","北緯34度26分18秒東経131度41分43秒﻿ / ﻿北緯34.43833度 東経131.69528度﻿ /34.43833; 131.69528座標:北緯34度26分18秒東経131度41分43秒﻿ / ﻿北緯34.43833度 東経131.69528度﻿ /34.43833; 131.69528","中国山地","","","","","","","","","","","","","","",""
"弟見山 (存在しないページ)","[87画 像 募 集 中おととみやま弟見山島根県山口県1,085.3地理院地図Googleマップ北緯34度21分12秒東経131度46分41秒﻿ / ﻿北緯34.353375度 東経131.777993度﻿ /34.353375; 131.777993﻿ (弟見山)]","https://ja.wikipedia.org/w/index.php?title=弟見山&amp;action=edit&amp;redlink=1","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"高山 (山口県) (存在しないページ)","[88画 像 募 集 中たかやま高山山口県319.9地理院地図Googleマップ北緯34度25分19秒東経131度10分36秒﻿ / ﻿北緯34.421848度 東経131.176643度﻿ /34.421848; 131.176643﻿ (高山)]","https://ja.wikipedia.org/w/index.php?title=高山_(山口県)&amp;action=edit&amp;redlink=1","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"馬糞ヶ岳","[89画 像 募 集 中ばふんがだけ馬糞ヶ岳山口県985.2地理院地図Googleマップ北緯34度15分02秒東経131度53分47秒﻿ / ﻿北緯34.250621度 東経131.896392度﻿ /34.250621; 131.896392﻿ (馬糞ヶ岳)] 馬糞ヶ岳 （ばふんがたけ）は、 山口県 周南市 と 岩国市 錦町 との境界にある 山 である。 標高 985.2m。元来の名は、秘密尾岳である。山容が馬糞に似ていることから馬糞ヶ岳と呼ばれるようになった。","https://ja.wikipedia.org/wiki/馬糞ヶ岳","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯34度15分02.3秒東経131度53分46.8秒","日本山口県周南市・岩国市","985.2m","北緯34度15分02.3秒東経131度53分46.8秒﻿ / ﻿北緯34.250639度 東経131.896333度﻿ /34.250639; 131.896333座標:北緯34度15分02.3秒東経131度53分46.8秒﻿ / ﻿北緯34.250639度 東経131.896333度﻿ /34.250639; 131.896333","","","","","","","","","","","","","","","",""
"嘉納山 (存在しないページ)","[90画 像 募 集 中かのうさん嘉納山山口県684.9地理院地図Googleマップ北緯33度54分54秒東経132度14分40秒﻿ / ﻿北緯33.915010度 東経132.244415度﻿ /33.915010; 132.244415﻿ (嘉納山)]","https://ja.wikipedia.org/w/index.php?title=嘉納山&amp;action=edit&amp;redlink=1","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"銭壺山","[91画 像 募 集 中ぜにつぼやま銭壺山山口県540.1地理院地図Googleマップ北緯34度00分40秒東経132度11分48秒﻿ / ﻿北緯34.011088度 東経132.196712度﻿ /34.011088; 132.196712﻿ (銭壺山)] 銭壷山 (ぜにつぼやま) は、 山口県 東部の 岩国市 由宇 と 柳井市 大畠 の境に位置する、 標高 540.1mの 山 である  。","https://ja.wikipedia.org/wiki/銭壺山","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯34度00分40秒東経132度11分48秒","日本山口県岩国市由宇町･柳井市大畠町","540.1m","北緯34度00分40秒東経132度11分48秒﻿ / ﻿北緯34.01111度 東経132.19667度﻿ /34.01111; 132.19667座標:北緯34度00分40秒東経132度11分48秒﻿ / ﻿北緯34.01111度 東経132.19667度﻿ /34.01111; 132.19667","周東山系銭壺山地","","","","","","","","","","","","","","",""
"琴石山 (存在しないページ)","[92画 像 募 集 中こといしやま琴石山山口県545.2地理院地図Googleマップ北緯33度58分24秒東経132度08分57秒﻿ / ﻿北緯33.973409度 東経132.149180度﻿ /33.973409; 132.149180﻿ (琴石山)]","https://ja.wikipedia.org/w/index.php?title=琴石山&amp;action=edit&amp;redlink=1","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"石城山","[93いわきさん石城山山口県350.1地理院地図Googleマップ北緯33度59分19秒東経132度02分05秒﻿ / ﻿北緯33.988564度 東経132.034702度﻿ /33.988564; 132.034702﻿ (石城山)西ノ富士] 石城山 （いわきさん）は、 山口県 光市 と 熊毛郡 田布施町 にまたがる標高362メートルの 山 。山口県立自然公園に指定されており、石城山県立自然公園の中心となる山である。別名は西ノ富士。中国百名山のうちの1つ。","https://ja.wikipedia.org/wiki/石城山","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯33度59分15.42秒東経132度2分20.78秒","日本山口県光市、熊毛郡田布施町石城山-地理院地図石城山-Google マップ","362m","北緯33度59分15.42秒東経132度2分20.78秒﻿ / ﻿北緯33.9876167度 東経132.0391056度﻿ /33.9876167; 132.0391056座標:北緯33度59分15.42秒東経132度2分20.78秒﻿ / ﻿北緯33.9876167度 東経132.0391056度﻿ /33.9876167; 132.0391056","","","","","","","","","","","","","","","",""
"烏帽子岳 (山口県) (存在しないページ)","[94画 像 募 集 中えぼしだけ烏帽子岳山口県696.6地理院地図Googleマップ北緯34度05分13秒東経131度58分10秒﻿ / ﻿北緯34.087065度 東経131.969563度﻿ /34.087065; 131.969563﻿ (烏帽子岳)]","https://ja.wikipedia.org/w/index.php?title=烏帽子岳_(山口県)&amp;action=edit&amp;redlink=1","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"右田ヶ岳","[95みぎたがたけ右田ヶ岳山口県426.0地理院地図Googleマップ北緯34度05分12秒東経131度33分25秒﻿ / ﻿北緯34.086550度 東経131.556949度﻿ /34.086550; 131.556949﻿ (右田ヶ岳)] 右田ヶ岳 （みぎたがだけ）は、 山口県 防府市 にある 標高 426.0mの山である。","https://ja.wikipedia.org/wiki/右田ヶ岳","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯34度05分11.5秒東経131度33分25.0秒","日本山口県防府市","426.0m","北緯34度05分11.5秒東経131度33分25.0秒﻿ / ﻿北緯34.086528度 東経131.556944度﻿ /34.086528; 131.556944座標:北緯34度05分11.5秒東経131度33分25.0秒﻿ / ﻿北緯34.086528度 東経131.556944度﻿ /34.086528; 131.556944","","","","","","","","","","","","","","","",""
"東鳳翩山","[96ひがしほうべんざん東鳳翩山山口県734.2地理院地図Googleマップ北緯34度13分19秒東経131度26分34秒﻿ / ﻿北緯34.221940度 東経131.442855度﻿ /34.221940; 131.442855﻿ (東鳳翩山)新日本百名山] 東鳳翩山 （ひがしほうべんざん）は、 山口県 山口市 と山口県 萩市 に跨る標高734.2mの山で、 中国山地 の一部、長門（ながと）山地を代表する山。 新日本百名山 の一座。","https://ja.wikipedia.org/wiki/東鳳翩山","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯34度13分19秒東経131度26分34秒","山口県山口市上宇野令山口県萩市佐々並","734.2m","北緯34度13分19秒東経131度26分34秒﻿ / ﻿北緯34.22194度 東経131.44278度﻿ /34.22194; 131.44278","","","","","","","","","","","","","","","",""
"龍護峰","[97りゅうごぼう龍護峰山口県425.5地理院地図Googleマップ北緯34度13分59秒東経131度16分51秒﻿ / ﻿北緯34.232983度 東経131.280705度﻿ /34.232983; 131.280705﻿ (龍護峰)秋吉台] 龍護峰 （りゅうごほう）は、 山口県 美祢市 に広がる日本一広い カルスト台地 、 秋吉台 の標高最高地点である。山頂からは360度の展望で、広大な草原の先に山々のパノラマが展開する。中国百名山。","https://ja.wikipedia.org/wiki/龍護峰","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯34度13分57.7秒東経131度16分49.1秒","山口県美祢市","426m","北緯34度13分57.7秒東経131度16分49.1秒﻿ / ﻿北緯34.232694度 東経131.280306度﻿ /34.232694; 131.280306","","","","","","","","","","","","","","","",""
"花尾山","[98はなおさん花尾山山口県669.1地理院地図Googleマップ北緯34度17分02秒東経131度13分16秒﻿ / ﻿北緯34.283882度 東経131.221028度﻿ /34.283882; 131.221028﻿ (花尾山)] 花尾山 （はなおさん）は、 日本 の 山 。","https://ja.wikipedia.org/wiki/花尾山","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"白滝山 (下関市)","[99画 像 募 集 中しらたきやま白滝山山口県667.6地理院地図Googleマップ北緯34度18分11秒東経131度01分23秒﻿ / ﻿北緯34.303095度 東経131.023123度﻿ /34.303095; 131.023123﻿ (白滝山)] 白滝山 （しらたきやま）は、 山口県 下関市 にある標高667.6mの 山 である。","https://ja.wikipedia.org/wiki/白滝山_(下関市)","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯34度18分10.9秒東経131度1分23.8秒","山口県下関市","667.6m","北緯34度18分10.9秒東経131度1分23.8秒﻿ / ﻿北緯34.303028度 東経131.023278度﻿ /34.303028; 131.023278","","","","","","","","","","","","","","","",""
"竜王山 (下関市)","[100画 像 募 集 中りゅうおうざん竜王山山口県613.9地理院地図Googleマップ北緯34度04分06秒東経130度56分09秒﻿ / ﻿北緯34.068408度 東経130.935859度﻿ /34.068408; 130.935859﻿ (竜王山)] 竜王山 （りゅうおうざん）は、 山口県 下関市 にある標高613.9mの 山 である。登山路が複数整備されており、展望がよいことで知られる。 中国百名山 の1つ。","https://ja.wikipedia.org/wiki/竜王山_(下関市)","中国百名山","https://ja.wikipedia.org/wiki/中国百名山","表形式","北緯34度4分5.9秒東経130度56分8.2秒","山口県下関市吉見","613.9m","北緯34度4分5.9秒東経130度56分8.2秒﻿ / ﻿北緯34.068306度 東経130.935611度﻿ /34.068306; 130.935611座標:北緯34度4分5.9秒東経130度56分8.2秒﻿ / ﻿北緯34.068306度 東経130.935611度﻿ /34.068306; 130.935611","","","","","","","","","","","","","","","",""
