"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","コース数","標高","標高差","索道数","公式サイト","最大傾斜","最長滑走距離","コース面積","テレインパーク","開業日","運営者","造設地形","旧名","所有者","正式名称","指定管理者","ナイター営業","面積"
"車山高原スキー場","[車山高原スキー場] 車山高原スキー場 （くるまやまこうげん-じょう）は、 長野県 茅野市 にある スキー場 である。車山高原SKYPARKスキー場とも。スノーボードは全面滑走可能。","https://ja.wikipedia.org/wiki/車山高原スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯36度6分10秒東経138度12分30秒","長野県茅野市北山","8本","1,925 m - 1,560 m","365 m","9本","公式サイト","38度","2,000 m","76 ha","","","","","","","","","",""
"小海リエックス・スキーバレー (存在しないページ)","[小海リエックス・スキーバレー]","https://ja.wikipedia.org/w/index.php?title=小海リエックス・スキーバレー&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"駒ヶ根高原スキー場","[駒ヶ根高原スキー場] 駒ヶ根高原スキー場 （こまがねこうげんスキーじょう）は、 長野県 駒ヶ根市 にある スキー場 。 木曽駒ヶ岳 の南東側に位置する。降雪量は少ないが、 気温 の低さを利用して 人工降雪機 による 人工雪 で天候に左右されないゲレンデ整備が可能。","https://ja.wikipedia.org/wiki/駒ヶ根高原スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","長野県駒ヶ根市赤穂5-879","2本","1,028 m - 895 m","133 m","2本","駒ヶ根高原スキー場","32度","500 m","12.4 ha","","","","","","","","","",""
"治部坂高原スキー場","[治部坂高原スキー場] 治部坂高原スキー場 （じぶざかこうげんスキ-じょう）は、 長野県 下伊那郡 阿智村 にあるスキー場。 国道153号 に面し、東海地方からのアクセスが良好なファミリー向けゲレンデ。","https://ja.wikipedia.org/wiki/治部坂高原スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","〒395-0501長野県下伊那郡阿智村浪合1192","3本","1,350 m - 1,160 m","190 m","4本","www.jibuzaka.co.jp/","30度","1,200 m","- ha","テーブル、レール","","","","","","","","",""
"シャトレーゼスキーリゾート八ヶ岳","[シャトレーゼスキーリゾート八ヶ岳] シャトレーゼスキーリゾート八ヶ岳 （シャトレーゼスキーリゾートやつがたけ）は、 長野県 南佐久郡 川上村 御所平に位置し、 シャトレーゼリゾート八ヶ岳 が運営を行っている スキー場 である。","https://ja.wikipedia.org/wiki/シャトレーゼスキーリゾート八ヶ岳","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯35度55分50秒東経138度29分45秒","〒384-1407長野県南佐久郡川上村御所平","6本","1620 m - 1400 m","220 m","3本","www.chateraiseresort.co.jp/SKI/","32度","1300 m","9.7 ha","レール、テーブルトップ","1989年","","","八ケ岳ザイラーバレースキー場","","","","",""
"白樺高原国際スキー場","[白樺高原国際スキー場] 白樺高原国際スキー場 （しらかばこうげんこくさいスキーじょう）は、 長野県 北佐久郡 立科町 にある スキー場 である。 蓼科山 の北西側に位置する。 人工降雪設備 を有し、天候に左右されないゲレンデ整備が可能となっている。 白樺2in1スキー場 とリフト券が共通である。","https://ja.wikipedia.org/wiki/白樺高原国際スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","長野県北佐久郡立科町芦田八ケ野蓼科牧場745","7本","1,830 m - 1,530 m","300 m","4本","白樺高原国際スキー場","30度","5,000 m","37.00 ha","","","","","","","","","",""
"白樺湖ロイヤルヒルスキー場","[白樺湖ロイヤルヒルスキー場] 白樺湖ロイヤルヒルスキー場 （しらかばこロイヤルヒルスキーじょう）は、 長野県 茅野市 北山白樺湖に位置する スキー場 である。現在の運営会社は株式会社 鈴木商会 。","https://ja.wikipedia.org/wiki/白樺湖ロイヤルヒルスキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯36度5分55秒東経138度14分6秒","長野県茅野市北山白樺湖","8本","1,750 m - 1,450 m","300 m","3本","http://www.royalhill.co.jp/","23度","","25 ha","","","","","","","","","",""
"白樺2in1スキー場","[しらかば2in1スキー場] 白樺2in1スキー場 （しらかば ついんわん スキーじょう）は、 長野県 北佐久郡 立科町 にある スキー場 。","https://ja.wikipedia.org/wiki/白樺2in1スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","長野県北佐久郡立科町大字芦田八ケ野八子ケ峰","12本","1,834 m - 1,565 m","269 m","7本","しらかば2in1スキー場HP","32度","1,800 m","","ボックス、12mレール、テーブルトップ","","","","","","","","",""
"白樺リゾートスキー場","[白樺リゾートスキー場] 池の平スノーパーク（旧白樺リゾートスキー場） （いけのたいらすのーぱーく）は、 長野県 茅野市 白樺湖 にある スキー場 。","https://ja.wikipedia.org/wiki/白樺リゾートスキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","長野県茅野市白樺湖","3本","1,450 m - 1,416 m","75 m","2本","池の平スノーパーク公式サイト","20度","560 m","8 ha","","","","","","","","","",""
"信州松本野麦峠スキー場","[信州松本野麦峠スキー場] 野麦峠スキー場 （のむぎとうげスキーじょう）は、 長野県 松本市 奈川 にある市営の スキー場 。条例での名称は「松本市野麦峠スキー場」である  。 指定管理者 は株式会社岳都リゾート開発  。","https://ja.wikipedia.org/wiki/信州松本野麦峠スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯36度2分55秒東経137度43分0秒","〒390-1611長野県松本市奈川1173番地1","12本","2,130 m - 1,400 m","730 m","4本","公式ウェブサイト","31度","4,000 m","30 ha","テーブルトップ","1981年","","小鉢盛山南西麓","","松本市","松本市野麦峠スキー場","","",""
"千畳敷スキー場","[中央アルプス千畳敷スキー場] 千畳敷スキー場 （せんじょうじきスキーじょう）は、 長野県 駒ヶ根市 にある スキー場 である。中央アルプス観光株式会社が運営している。 中央アルプス 駒ヶ岳ロープウェイ の 千畳敷駅 を起点とする標高2,600mに位置する。（簡易）リフトを備えたスキー場としては日本で最も高い場所にあり、本格的な 山岳スキー ・ スノーボード が楽しめる。","https://ja.wikipedia.org/wiki/千畳敷スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","長野県駒ヶ根市赤穂1","2本","2,830 m - 2,600 m","230 m","1本","千畳敷スキー場","30度","1,500 m","","なし","","","","","","","","",""
"蓼科アソシエイツスキー場 (存在しないページ)","[蓼科アソシエイツスキー場：1996/1997シーズンを最後に営業終了 2005年廃止]","https://ja.wikipedia.org/w/index.php?title=蓼科アソシエイツスキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"蓼科東急スキー場","[蓼科東急スキー場] 蓼科東急スキー場 （たてしなとうきゅうスキーじょう）は、 長野県 茅野市 にある スキー場 である。ファミリー向けスキー場で、ナイター営業は実施していない。","https://ja.wikipedia.org/wiki/蓼科東急スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","長野県茅野市北山字鹿山4026-2","3本","1,400 m - 1,310 m","90 m","2本","公式サイト","28度","600 m","2.5 ha","ワンメイクジャンプ","","","","","","","","",""
"中央道伊那スキーリゾート","[中央道伊那スキーリゾート] 中央道伊那スキーリゾート （ちゅうおうどういなスキーリゾート）は、 長野県 伊那市 西春近にある スキー場 である。 降雪量 は少ないが、 気温 の低さを利用して スノーマシン による 人工雪 で天候に左右されない ゲレンデ 整備が可能。ナイター営業も行っている。利用客のほとんどが中京圏からで、名古屋から中央自動車道経由で2時間程度という近さを売りにしている。","https://ja.wikipedia.org/wiki/中央道伊那スキーリゾート","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","〒399-4431長野県伊那市西春近字細ヶ谷3390","2本","1,086 m - 876 m","210 m","2本","www.inaski.com/","25度","1,200 m","7 ha","","","","","","","","","",""
"乗鞍高原いがやスキー場","[乗鞍高原いがやスキー場] 乗鞍高原いがやスキー場 （のりくらこうげんいがやスキーじょう）は、 長野県 松本市 （旧 安曇村 ）にあったスキー場である。現在は営業していない。","https://ja.wikipedia.org/wiki/乗鞍高原いがやスキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯36度7分15秒東経137度38分50秒","長野県松本市安曇3974","2本","1,380 m - 1,260 m","120 m","1本","","18度","900 m","10 ha","テーブルトップ、キッカー、ウェーレール","","","","","","","","",""
"姫木平スキー場 (存在しないページ)","[姫木平スキー場（1998年廃止）]","https://ja.wikipedia.org/w/index.php?title=姫木平スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"ピラタス蓼科スノーリゾート","[ピラタス蓼科スノーリゾート] ピラタス蓼科スノーリゾート （ぴたらすたてしなすのーりぞーと）は、 長野県 茅野市 の 北八ヶ岳 連峰の 北横岳 の西側に面した スキー場 である。 スノーボード は全面滑走可能。","https://ja.wikipedia.org/wiki/ピラタス蓼科スノーリゾート","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯36度4分8秒東経138度18分7秒","〒391-0301長野県茅野市北山4035-2541","7本","2,240 m - 1,760 m","480 m","3本","http://www.pilatus.jp/","33度","4,000（ルート：樹氷 - かもしか - もみの木 - 白樺） m","25.4 ha","","","","","","","","","",""
"平谷高原赤坂スキー場","[平谷高原赤坂スキー場] 平谷高原赤坂スキー場 （ひらやこうげんあかさか-じょう）は、 長野県 下伊那郡 平谷村 にある スキー場 である。ファミリー向けスキー場。2009-2010シーズンよりナイター営業は無くなった。","https://ja.wikipedia.org/wiki/平谷高原赤坂スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","長野県下伊那郡平谷村新町","4+1(ソリ専用)本","1,100 m - 960 m","140 m","2+1(ロープリフト)本","http://hiraya.boy.jp/","25度","","3 ha","","","","","","","","","",""
"ファミリーゲレンデ霧ヶ峰 (存在しないページ)","[ファミリーゲレンデ霧ヶ峰]","https://ja.wikipedia.org/w/index.php?title=ファミリーゲレンデ霧ヶ峰&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"富士見高原スキー場","[富士見高原スキー場] 富士見高原スキー場 （ふじみこうげんスキーじょう）は、 長野県 諏訪郡 富士見町 にある 富士見高原リゾート の スキー場 である。ファミリー向けスキー場で、週末にはナイター営業がある。 八ヶ岳 連峰の西岳の南西斜面に開かれている。","https://ja.wikipedia.org/wiki/富士見高原スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","長野県諏訪郡富士見町境広原","2本","1,400 m - 1,250 m","150 m","4本","富士見高原リゾート 公式サイト","26度","1,000 m","6 ha","","","","","","","","","",""
"富士見パノラマリゾート","[富士見パノラマリゾート] 富士見パノラマリゾート （ふじみパノラマリゾート）は、 長野県 諏訪郡 富士見町 にある スキー場 。略称は「ふじぱら」。 南アルプス山脈 の北端にあたる 入笠山 の東斜面に面した ゲレンデ である。夏季にはゲレンデを マウンテンバイク のコースとして活用しているほか、 ゴンドラ の山頂駅周辺には 山野草 公園や入笠湿原があり、多くの ハイキング 客で賑わっている。","https://ja.wikipedia.org/wiki/富士見パノラマリゾート","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯35度54分37秒東経138度11分30秒","長野県諏訪郡富士見町富士見6666-703番地","7本","1,780 m - 1,050 m","730 m","7本","富士見パノラマリゾート","27度","3,000 m","29 ha","ミニパンクストレートレール、ボックス、ワンメイク","","","入笠山","","","","","",""
"ブランシュたかやまスキーリゾート","[ブランシュたかやまスキーリゾート] ブランシュたかやまスキーリゾート （ぶらんしゅたかやますきーりぞーと）は、 長野県 小県郡 長和町 にある スキー場 である。長和町が大半を出資する第三セクターの長和町振興公社により運営されている。","https://ja.wikipedia.org/wiki/ブランシュたかやまスキーリゾート","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯36度8分8秒東経138度11分52秒","長野県小県郡長和町大門鷹山","9本","1,807 m - 1,350 m","457 m","6本","www.blanche-ski.com","30度","4,000 m","","","","","","","","","","",""
"ヘブンスそのはらSNOW WORLD","[ヘブンスそのはらSNOW WORLD] ヘブンスそのはらSNOW WORLD （ヘブンスそのはらスノーワールド）は、 長野県 下伊那郡 阿智村 にある スキー場 。 スキー専用ゲレンデとなっており、 スノーボード での滑走はできない。 サンリオ の ハローキティ がゲレンデにやってくることで有名なため、子ども連れのファミリーに人気が高い。 またスキーシーズン以外も営業しており、遊歩道としてコースの一部が開放されている。ゲレンデ最上部には展望台があり、コース上部からは 南アルプス が一望できる。","https://ja.wikipedia.org/wiki/ヘブンスそのはらSNOW_WORLD","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯35度27分19秒東経137度40分7秒","〒395-0304長野県下伊那郡阿智村智里3731-4","5本","1600 m - 1375 m","225 m","6本","www.mt-heavens.com/winter","30度","2000 m","14 ha","なし","1996年","ジェイ・マウンテンズ・セントラル株式会社","","","","","","",""
"Mt.乗鞍","[Mt.乗鞍] Mt.乗鞍 （マウントのりくら）は、 長野県 松本市 にある スキー場 。","https://ja.wikipedia.org/wiki/Mt.乗鞍","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯36度7分12秒東経137度36分45秒","〒390-1520長野県松本市安曇乗鞍高原","19本","2,000 m - 1,500 m","500 m","9本","www.norikura.co.jp","38度","5,000 m","70 ha","ワンメイクジャンプ、スロープスタイル","","株式会社Blue Resort 乗鞍","乗鞍岳東麓","乗鞍高原温泉スキー場","","","","",""
"八千穂高原スキー場","[八千穂高原スキー場] 八千穂高原スキー場 （やちほこうげんスキーじょう）は、 長野県 南佐久郡 佐久穂町 にある スキー場 。","https://ja.wikipedia.org/wiki/八千穂高原スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","長野県南佐久郡佐久穂町大字畑","7本","1,830 m - 1,630 m","200 m","5本","公式サイト","30度","1,300 m","16 ha","フリーライドパーク、ワンメイクジャンプ","","","","","","","","",""
"やぶはら高原スキー場","[やぶはら高原スキー場] やぶはら高原スキー場 （やぶはらこうげんスキーじょう）は、 長野県 木曽郡 木祖村 にある スキー場 。 2005年 8月に、村営から民営に転換した。","https://ja.wikipedia.org/wiki/やぶはら高原スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","長野県木曽郡木祖村大字菅2857-16","8本","1,690 m - 1,100 m","590 m","7本","","34度","3,600 m","30 ha","キッカー、レール、ボックステーブル、ウェーブ","","","","","","","","",""
"レーシングキャンプ野辺山","[レーシングキャンプ野辺山（廃止）] レーシングキャンプ野辺山 （レーシングキャンプのべやま）は、 長野県 南佐久郡 南牧村 大字 野辺山 にあった スキー場 。","https://ja.wikipedia.org/wiki/レーシングキャンプ野辺山","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","長野県南佐久郡南牧村大字野辺山","6本","1610 m - 1410 m","200 m","3本","","32度","1200 m","","","","","","","","","","",""
"和田峠スキー場 (存在しないページ)","[和田峠スキー場：1998年を最後に営業休止]","https://ja.wikipedia.org/w/index.php?title=和田峠スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大町スキー場","[大町スキー場（2008年廃止）] 大町スキー場 （おおまちスキーじょう）は、 長野県 大町市 にあった スキー場 。","https://ja.wikipedia.org/wiki/大町スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","長野県大町市大字大町字中山","7本","1,020 m - 900 m","120 m","2本","omachi-ski.yumedia.jp","30度","1,200 m","","なし","","","","","","","","",""
"サンアルピナ青木湖スキー場","[サンアルピナ青木湖スキー場] サンアルピナ青木湖スキー場 （サンアルピナあおきこスキーじょう）は、 長野県 大町市 青木湖畔に位置する スキー場 である。","https://ja.wikipedia.org/wiki/サンアルピナ青木湖スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","長野県大町市青木湖畔21770","7本","1,350 m - 850 m","500 m","5本","www.aokiko.net/","35度","3,500 m","30 ha","ボックス、レール、ウェーブキッカー、テーブル","","","","","","","","",""
"サンアルピナ鹿島槍スキー場","[サンアルピナ鹿島槍スキー場] 鹿島槍スキー場 （かしまやりスキーじょう）は、 長野県 大町市 平鹿島槍黒沢高原に位置する スキー場 。株式会社鹿島槍（ 日本駐車場開発 の孫会社）が運営している。","https://ja.wikipedia.org/wiki/サンアルピナ鹿島槍スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","長野県大町市平鹿島槍黒沢高原","22本","1,550 m - 830 m","720 m","8本","www.kashimayari.net/","38度","5,000 m","78 ha","ボックス、レール、ウェーブキッカー、テーブル","","","","","","","","",""
"サンアルピナ白馬さのさかスキー場","[サンアルピナ白馬さのさかスキー場] 白馬さのさかスキー場 （はくばさのさかスキーじょう）は、 長野県 北安曇郡 白馬村 に位置する スキー場 である。 以前はサンアルピナ白馬さのさかスキー場(古くは佐野坂高原スキー場)と称していたが、2002-2003シーズンからロゴが 白馬さのさか となり、2009-2010シーズン以後は呼称にサンアルピナと冠することはなくなった。","https://ja.wikipedia.org/wiki/サンアルピナ白馬さのさかスキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","長野県北安曇郡白馬村神城南原458","11本","1,200 m - 740 m","460 m","5本","https://sanosaka.jp/","33度","2,100 m","40 ha","ボックス、レール、ウェーブキッカー、テーブル","","","","","","","","",""
"爺ヶ岳スキー場","[爺ヶ岳スキー場] 爺ガ岳スキー場 （じいがたけスキーじょう）は、 長野県 大町市 にある スキー場 である。 爺ヶ岳 の南東側に位置する。林間のファミリー向けスキー場。","https://ja.wikipedia.org/wiki/爺ヶ岳スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","長野県大町市大字平4819","8本","1,200 m - 940 m","260 m","4本","公式サイト","28度","1,500 m","40 ha","テーブルトップ、ウェーブ、レール、ボックス","","","","","","","","",""
"栂池高原スキー場","[栂池高原スキー場（旧・前山スキー場）] 栂池高原スキー場 （つがいけこうげんスキーじょう）は、 長野県 北安曇郡 小谷村 の 栂池高原 にある スキー場 である。","https://ja.wikipedia.org/wiki/栂池高原スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯36度45分2秒東経137度51分52秒","〒399-9422長野県北安曇郡小谷村栂池高原","11本","1,704 m - 800 m","904 m","20本","栂池高原観光協会","35度","5,000 m","196 ha","ヒットパーク","","","","","","","","",""
"白馬岩岳スキー場","[白馬岩岳スキー場] 白馬岩岳スノーフィールド （はくばいわたけスキーフィールド）は、 長野県 北安曇郡 白馬村 の 岩蕈山 にある スキー場 である。旧名称は 白馬岩岳スキー場 。","https://ja.wikipedia.org/wiki/白馬岩岳スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","長野県北安曇郡白馬村北城岩岳","15本","1,289 m - 750 m","539 m","16本","公式サイト","35度","3,800 m","125 ha","ワンメイクジャンプ","","","","","","","","",""
"白馬五竜スキー場","[白馬五竜スキー場] 白馬五竜スキー場 （はくばごりゅうスキーじょう）は、 長野県 北安曇郡 白馬村 にあるスキー場である。かつて「五竜とおみスキー場」と呼ばれていた。","https://ja.wikipedia.org/wiki/白馬五竜スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","長野県北安曇郡白馬村神城22184番地10","15本","1,676 m - 750 m","926 m","13本","www.hakubaescal.com/","35度","5,000 m","70 ha","レール、ウェーブ、テーブルキッカー、ボックス","","","","","","","","",""
"白馬コルチナ国際スキー場","[白馬コルチナ国際スキー場（旧・池の田スキー場）] 白馬コルチナスキー場 （はくばコルチナスキーじょう）は、 長野県 北安曇郡 小谷村 にある スキー場 である。","https://ja.wikipedia.org/wiki/白馬コルチナ国際スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","長野県北安曇郡小谷村千国乙12860-1","16本","1,402 m - 872 m","530 m","7本","","42度","3,500 m","30 ha","","","","","","","","","",""
"白馬ハイランドスノーパーク","[白馬ハイランドスノーパーク（休止）] 白馬ハイランドスノーパーク （はくばハイランドスノーパーク）は、長野県白馬村に存在したスキー場。スキーブームの頃に呼ばれていた 白馬ハイランドスキー場 の方が通じることがある。隣接する白馬ハイランドホテルは、かつては一体的に経営されていたが、 2007年 より別の経営母体が運営しており、スキー場とは無関係となっている  。","https://ja.wikipedia.org/wiki/白馬ハイランドスノーパーク","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","長野県北安曇郡白馬村北城蕨平","4本","","","","","24度","1,500 m","","","","","","","","","","",""
"白馬八方尾根スキー場","[白馬八方尾根スキー場] 白馬八方尾根スキー場 （はくばはっぽうおねスキーじょう）は、 長野県 北安曇郡 白馬村 八方にある スキー場 で、単体のスキー場としては日本国内最大級のスキー場である。「 八方尾根スキー場 」と呼ばれることが多い。 1998年長野オリンピック の際には アルペンスキー の高速系種目および複合の競技会場となった。","https://ja.wikipedia.org/wiki/白馬八方尾根スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯36度42分9.1秒東経137度50分12.5秒","〒399-9301長野県北安曇郡白馬村北城八方","13本","1,831 m - 760 m","1,071 m","27本","www.happo-one.jp/","35度","8,000 m","200 ha","ボックス、キッカーレール、パイプ","","","","","","","","",""
"Hakuba47ウィンタースポーツパーク","[Hakuba47ウィンタースポーツパーク] Hakuba47ウィンタースポーツパーク （はくばフォーティセブン ウィンタースポーツパーク）は、 長野県 北安曇郡 白馬村 にある スキー場 である。通称「よんなな」。 1990年 12月 にオープン。","https://ja.wikipedia.org/wiki/Hakuba47ウィンタースポーツパーク","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","〒399-9211長野県北安曇郡白馬村神城24196-47","8本","1,610 m - 820 m","790 m","6本","hakuba47.co.jp","32度","6,400 m","35 ha","キッカー、レール、ウェーブボックス、パイプ、テーブル","","","","","","","","",""
"白馬乗鞍温泉スキー場","[白馬乗鞍温泉スキー場蕨平スキー場（1971年に若栗スキー場と統合され、白馬乗鞍温泉スキー場となった[1] 白馬乗鞍温泉スキー場 （はくばのりくらおんせんスキーじょう）は、 長野県 北安曇郡 小谷村 にある スキー場 である。 白馬コルチナ国際スキー場 とつながりが深い。","https://ja.wikipedia.org/wiki/白馬乗鞍温泉スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","長野県北安曇郡小谷村","18本","1,300 m - 800 m","500 m","","公式サイト","38度","2,500 m","","","","","","","","","","",""
"白馬みねかたスキー場 (存在しないページ)","[白馬みねかたスキー場（休止）]","https://ja.wikipedia.org/w/index.php?title=白馬みねかたスキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"ヤナバスキー場","[ヤナバスキー場（ヤナバスノーパーク）(休止)] ヤナバスキー場 （ヤナバスキーじょう）(ヤナバスノーパーク)は、 長野県 大町市 にある スキー場 である。 国道148号 に近接しており、 白馬 より南へ約12kmに位置する。 2016-2017シーズンから営業していない。","https://ja.wikipedia.org/wiki/ヤナバスキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯36度36分19秒東経137度51分18秒","〒398-0001長野県大町市大字平22548","7本","1,130 m - 830 m","300 m","2本","公式サイト","28度","1,500 m","20 ha","ワンメイク","","","","","","","","",""
"やなばパラレルスキー場 (存在しないページ)","[やなばパラレルスキー場（廃止）]","https://ja.wikipedia.org/w/index.php?title=やなばパラレルスキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"石打花岡スキー場 (存在しないページ)","[石打花岡スキー場（廃止）]","https://ja.wikipedia.org/w/index.php?title=石打花岡スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"石打丸山スキー場","[石打丸山スキー場石打ハッカ石スキー場（石打丸山スキー場と合併）] 石打丸山スキー場 （いしうちまるやまスキーじょう）は、 新潟県 南魚沼市 石打にある スキー場 である。","https://ja.wikipedia.org/wiki/石打丸山スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯36度58分34秒東経138度47分41秒","〒949-6372新潟県南魚沼市石打1782-2","25本","920 m - 256 m","664 m","22本","ishiuchi.or.jp","35度","4,000 m","122 ha","","","","","","","","","",""
"五日町スキー場 (存在しないページ)","[五日町スキー場]","https://ja.wikipedia.org/w/index.php?title=五日町スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"一本杉スキー場 (存在しないページ)","[一本杉スキー場]","https://ja.wikipedia.org/w/index.php?title=一本杉スキー場&amp;action=edit&amp;redlink=1","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"岩原スキー場","[岩原スキー場] 岩原スキー場 （いわっぱらスキーじょう）は、 新潟県 南魚沼郡 湯沢町 に位置する スキー場 。経営は 渡辺プロダクション の関連会社で岩原観光 株式会社 が行っていたが、2009年-2010年シーズンからの営業は、株式会社ライフスタイルサービスが運営している。","https://ja.wikipedia.org/wiki/岩原スキー場","日本のスキー場一覧","https://ja.wikipedia.org/wiki/日本のスキー場一覧","箇条書き,制限あり","北緯36度56分20秒東経138度50分40秒","新潟県南魚沼郡湯沢町大字土樽731-8","13本","985 m - 585 m","400 m","","iwa-ppara.com","35度","4,000 m","120 ha","キッカー、レール、パイプ","","ライフスタイルサービス","飯士山","","","","","",""
