"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","開館","位置","外部リンク","専門分野","正式名称","管理運営","事業主体","延床面積","館長","建物設計","収蔵作品数","来館者数","アクセス","愛称","前身","閉館","学芸員","公式サイト"
"箱根美術館","[箱根美術館（神奈川県）] 箱根美術館 （はこねびじゅつかん）は、 神奈川県 足柄下郡 箱根町 にある、箱根で最も古い 美術館 である。 世界救世教 の教祖・ 岡田茂吉 が生前に蒐集した東洋・ 日本美術 のうち、 陶磁器 を公開している。 1952年 （昭和27年） 6月15日 に開館した。","https://ja.wikipedia.org/wiki/箱根美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯35度14分53.4秒東経139度2分33.6秒","〒250-0408神奈川県足柄下郡箱根町強羅1300","午前9時30分","北緯35度14分53.4秒東経139度2分33.6秒﻿ / ﻿北緯35.248167度 東経139.042667度﻿ /35.248167; 139.042667座標:北緯35度14分53.4秒東経139度2分33.6秒﻿ / ﻿北緯35.248167度 東経139.042667度﻿ /35.248167; 139.042667","","陶磁器","箱根美術館","公益財団法人岡田茂吉美術文化財団（旧 MOA美術文化財団）","美術館","","","","","","","","","午後4時 or 午後4時30分（後述）","",""
"岡田美術館","[岡田美術館（神奈川県）] 岡田美術館 （おかだびじゅつかん）は、 神奈川県 足柄下郡 箱根町 にある私設 美術館 。 ユニバーサルエンターテインメント 系列。","https://ja.wikipedia.org/wiki/岡田美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯35度14分17.1秒 東経139度2分46秒","〒250-0406神奈川県足柄下郡箱根町小涌谷493-1","2013年10月4日","","岡田美術館","","","株式会社ユニバーサルエンターテインメント","","約7,700m2","小林忠","三浦 慎","","","","","","","",""
"駒形十吉記念美術館","[駒形十吉記念美術館（新潟県）] 一般財団法人駒形十吉記念美術館 （こまがたじゅうきちきねんびじゅつかん）は、 新潟県 長岡市 今朝白にある 美術館 。 新潟総合テレビ（当時、現在の NST新潟総合テレビ ）の元社長 駒形十吉 がその後の半生に収集、愛蔵してきた日本画、洋画などを公開するために開館した施設である。 1994年 にNST長岡放送センター跡に開館。","https://ja.wikipedia.org/wiki/駒形十吉記念美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯37度26分57.4秒 東経138度51分40秒","","","","","","","","","","","","","","","","","","",""
"敦井美術館","[敦井美術館（新潟県）] 敦井美術館 （つるいびじゅつかん）は、 新潟県 新潟市 中央区 にある 美術館 。","https://ja.wikipedia.org/wiki/敦井美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯37度54分52秒東経139度3分34.5秒","〒950-0087新潟市中央区東大通1-2-23 北陸ビル","1983年","北緯37度54分52秒東経139度3分34.5秒﻿ / ﻿北緯37.91444度 東経139.059583度﻿ /37.91444; 139.059583座標:北緯37度54分52秒東経139度3分34.5秒﻿ / ﻿北緯37.91444度 東経139.059583度﻿ /37.91444; 139.059583","敦井美術館","","敦井美術館（つるいびじゅつかん）","公益財団法人敦井コレクション","","","敦井榮一","","約1,300点","","","","","","",""
"ギャルリ・ミレー","[ギャルリ・ミレー（富山県）] HOKUGINギャルリ・ミレー （ホクギン ギャルリ・ミレー、 HOKUGIN GALERIE MILLET ）は、 富山県 富山市 中央通り にある、 ジャン＝フランソワ・ミレー （JFミレー）と バルビゾン派 の絵画作品を中心とする 美術館 。富山県博物館協会会員。 通称 は ギャルリ・ミレー で、施設案内ではこの名称が使用される  。","https://ja.wikipedia.org/wiki/ギャルリ・ミレー","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯36度41分23.2秒東経137度13分8.3秒","〒930-0044富山県富山市中央通り二丁目1番20号 ルシーダタワー1階","2012年（平成24年）9月1日","北緯36度41分23.2秒東経137度13分8.3秒﻿ / ﻿北緯36.689778度 東経137.218972度﻿ /36.689778; 137.218972座標:北緯36度41分23.2秒東経137度13分8.3秒﻿ / ﻿北緯36.689778度 東経137.218972度﻿ /36.689778; 137.218972","http://www.gmillet.jp/","","HOKUGIN ギャルリ・ミレー","","ギャルリ・ミレー運営委員会（富山県、富山市、富山大学、中央通商店街振興組合など）","","山下富雄","","53点","","","","","","",""
"世界一かわいい美術館","[世界一かわいい美術館（富山県）] 世界一かわいい美術館 （せかいいちかわいいびじゅつかん）とは、 富山県 富山市 水橋伊勢屋にある私設 美術館 である。浅井省己が設立した 特定非営利活動法人 憩いの家世界一かわいい美術館の運営に係り  、 2015年 （ 平成 27年）3月24日に開館した  。","https://ja.wikipedia.org/wiki/世界一かわいい美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯36度44分37.7951秒東経137度17分49.6474秒","〒939-3524富山県富山市水橋伊勢屋257","2015年（平成27年）3月24日","北緯36度44分37.7951秒東経137度17分49.6474秒﻿ / ﻿北緯36.743831972度 東経137.297124278度﻿ /36.743831972; 137.297124278座標:北緯36度44分37.7951秒東経137度17分49.6474秒﻿ / ﻿北緯36.743831972度 東経137.297124278度﻿ /36.743831972; 137.297124278","","日本画","","","特定非営利活動法人憩いの家世界一かわいい美術館","約220m2","","三四五建築研究所協力職藝学院","","","","","","","",""
"秋水美術館","[秋水美術館（富山県）] 秋水美術館 （しゅうすいびじゅつかん、 SHUSUI MUSEUM OF ART ）は、 富山県 富山市 千石町に所在する全国でも数少ない 刀剣 に関する 美術館 。 日本博物館協会 、富山県博物館協会会員。","https://ja.wikipedia.org/wiki/秋水美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯36度41分14.5秒東経137度12分42秒","〒930-0066富山県富山市千石町1丁目3番6号","2016年（平成28年）6月11日","北緯36度41分14.5秒東経137度12分42秒﻿ / ﻿北緯36.687361度 東経137.21167度﻿ /36.687361; 137.21167座標:北緯36度41分14.5秒東経137度12分42秒﻿ / ﻿北緯36.687361度 東経137.21167度﻿ /36.687361; 137.21167","http://www.shusui-museum.jp/","","一般財団法人秋水美術館","","","2,078m2","浅地 豊","三四五建築研究所","","","","","森記念秋水美術館MORI SHUSUI MUSEUM OF ART","","",""
"樂翠亭美術館","[樂翠亭美術館（富山県）] 樂翠亭美術館 （らくすいていびじゅつかん）は、 富山県 富山市 奥田新町に所在する 陶芸 、 工芸 を中心とした現代美術の 美術館 。富山県博物館協会会員。","https://ja.wikipedia.org/wiki/樂翠亭美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯36度42分22.3秒東経137度13分1.8秒","〒930-0857富山県富山市奥田新町2-27","2011年（平成23年）5月22日","北緯36度42分22.3秒東経137度13分1.8秒﻿ / ﻿北緯36.706194度 東経137.217167度﻿ /36.706194; 137.217167座標:北緯36度42分22.3秒東経137度13分1.8秒﻿ / ﻿北緯36.706194度 東経137.217167度﻿ /36.706194; 137.217167","樂翠亭美術館ホームページ","","","","株式会社アイザック","","石崎 由則","","","","","","","","",""
"西田美術館","[西田美術館（富山県）] 西田美術館 （にしだびじゅつかん、 NISHIDA MUSEUM OF ART ）は、 富山県 中新川郡 上市町 郷柿沢に所在する私設の 美術館 。 日本博物館協会 、富山県博物館協会会員。","https://ja.wikipedia.org/wiki/西田美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯36度43分7.3秒東経137度21分48.8秒","〒930-0397富山県中新川郡上市町郷柿沢1","1993年（平成5年）9月4日","北緯36度43分7.3秒東経137度21分48.8秒﻿ / ﻿北緯36.718694度 東経137.363556度﻿ /36.718694; 137.363556座標:北緯36度43分7.3秒東経137度21分48.8秒﻿ / ﻿北緯36.718694度 東経137.363556度﻿ /36.718694; 137.363556","www.nishida-museum.com","","","富士化学工業","富士化学工業","1,240m2","谷内 正立","","","","","","","","",""
"大樋美術館","[大樋美術館（石川県）] 大樋美術館 （おおひびじゅつかん）は、 石川県 金沢市 橋場町 にある個人美術館である。 大樋焼 歴代作品を中心とした、茶道具類の展示をしている。隣接する大樋ギャラリーでは、大樋陶冶斎（十代 長左衛門）、十一代 大樋長左衛門（年雄）の作品等の販売も行っている。","https://ja.wikipedia.org/wiki/大樋美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯36度34分11.91秒東経136度39分52.18秒","〒920-0911石川県金沢市橋場町2-17","1990年","北緯36度34分11.91秒東経136度39分52.18秒﻿ / ﻿北緯36.5699750度 東経136.6644944度﻿ /36.5699750; 136.6644944座標:北緯36度34分11.91秒東経136度39分52.18秒﻿ / ﻿北緯36.5699750度 東経136.6644944度﻿ /36.5699750; 136.6644944","公式ページ","大樋焼、茶道具","大樋焼 十一代 大樋長左衛門窯 大樋美術館","大樋長左衛門","","","","","","","","","","","",""
"アフリカンアートミュージアム","[アフリカンアートミュージアム（山梨県）] アフリカンアートミュージアム （African Art Museum）は、 山梨県 北杜市 長坂町中丸1712-7にあるアフリカアート・オセアニックアート及びプリミティブアート専門の 美術館 。コレクションは、紀元前から近代までの世界有数の アフリカ 美術のコレクション。また、 アジア 、 オセアニア 、 インドネシア 、 フィリピン 、 台湾 や ヒマラヤ などの 少数民族 の美術も合わせて紹介展示する。","https://ja.wikipedia.org/wiki/アフリカンアートミュージアム","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯35度49分26.4秒東経138度21分36.6秒","〒408-0036山梨県北杜市長坂町中丸1712-7","午前9時30分","北緯35度49分26.4秒東経138度21分36.6秒﻿ / ﻿北緯35.824000度 東経138.360167度﻿ /35.824000; 138.360167座標:北緯35度49分26.4秒東経138度21分36.6秒﻿ / ﻿北緯35.824000度 東経138.360167度﻿ /35.824000; 138.360167","","アフリカ・オセアニア・プリミティブ・美術","","一般財団法人アフリカンアートミュージアム","","","","","","","","","","午後5時","",""
"清春白樺美術館","[清春白樺美術館（山梨県）] 清春白樺美術館 （きよはるしらかばびじゅつかん）は、 山梨県 北杜市 長坂町 に所在する 美術館 。有料アトリエ、 図書館 などからなる文化複合施設 清春芸術村 （きよはるげいじゅつむら）の付属施設として開設されている。","https://ja.wikipedia.org/wiki/清春白樺美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯35度49分21.3秒東経138度21分11.8秒","〒413-8511山梨県北杜市長坂町中丸2072","","北緯35度49分21.3秒東経138度21分11.8秒﻿ / ﻿北緯35.822583度 東経138.353278度﻿ /35.822583; 138.353278座標:北緯35度49分21.3秒東経138度21分11.8秒﻿ / ﻿北緯35.822583度 東経138.353278度﻿ /35.822583; 138.353278","","","","財団法人清春白樺美術館","","","","","","","","","","","",""
"清里ポーセリンミュージアム","[清里ポーセリンミュージアム（山梨県）] 清里ポーセリンミュージアム （きよさとポーセリンミュージアム）は、 山梨県 北杜市 にある、 マイセン磁器 コレクションを展示する 美術館 。1997年開館。","https://ja.wikipedia.org/wiki/清里ポーセリンミュージアム","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯35度55分1.9秒 東経138度26分4.5秒","〒407-0301山梨県北杜市高根町清里3545-550","1997年9月27日","","http://www.meissen-kpm.jp/","マイセン磁器","","","","","鈴木義明","","約200点","","JR小海線清里駅より徒歩5分","","","","",""
"須玉美術館 (存在しないページ)","[須玉美術館（山梨県）]","https://ja.wikipedia.org/w/index.php?title=須玉美術館&amp;action=edit&amp;redlink=1","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"フジヤマミュージアム","[フジヤマミュージアム（山梨県）] フジヤマミュージアム は、 山梨県 富士吉田市 新西原にある 美術館 。 公益財団法人 堀内浩庵 会が 富士急行 と共同で運営している。 富士山 をとりあつかった絵画をはじめとする美術品のコレクションは日本最大級。 富士急ハイランド に隣接し、同遊園地公式ホテルであるハイランドリゾートホテル&スパや リサとガスパール タウンからもアクセス可能となっている。設計は、建築家の 大江匡 。","https://ja.wikipedia.org/wiki/フジヤマミュージアム","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"北野美術館","[北野美術館（長野県）] 長野県最大の 建設会社 である 北野建設 を経営する実業家・ 北野吉登 が所有する収蔵美術品を、 美術館 を建設し、広く公開することにより、地域文化の向上に寄与したいとの趣旨により設立された。","https://ja.wikipedia.org/wiki/北野美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯36度37分3.8秒東経138度15分10秒","〒381-0101長野県長野市若穂綿内7963-2","1968年（昭和43年）3月","北緯36度37分3.8秒東経138度15分10秒﻿ / ﻿北緯36.617722度 東経138.25278度﻿ /36.617722; 138.25278座標:北緯36度37分3.8秒東経138度15分10秒﻿ / ﻿北緯36.617722度 東経138.25278度﻿ /36.617722; 138.25278","http://www.kitano-museum.or.jp/","日本画・洋画・彫刻等","北野美術館","公益財団法人北野美術館","","","","","約600点","","","","","","",""
"北野カルチュラルセンター","[北野カルチュラルセンター（長野県）] 北野カルチュラルセンター （きたのカルチュラルセンター）は、 長野県 長野市 西後町 にある 美術館 。正式名称は「公益財団法人北野美術館別館 北野カルチュラルセンター」。","https://ja.wikipedia.org/wiki/北野カルチュラルセンター","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯36度39分11.1秒東経138度11分13.5秒","〒380-0845長野県長野市西後町1603","2003年（平成15年）4月","北緯36度39分11.1秒東経138度11分13.5秒﻿ / ﻿北緯36.653083度 東経138.187083度﻿ /36.653083; 138.187083座標:北緯36度39分11.1秒東経138度11分13.5秒﻿ / ﻿北緯36.653083度 東経138.187083度﻿ /36.653083; 138.187083","http://www.kitano-museum.or.jp/cultural/","","公益財団法人北野美術館別館北野カルチュラルセンター","公益財団法人北野美術館","","","","","","","","","","","",""
"水野美術館","[水野美術館（長野県）] 水野美術館 （みずのびじゅつかん、 英 : Mizuno Museum of art ）は、 長野県 長野市 若里 にある 美術館 。運営は 公益財団法人 水野美術館。 きのこ 生産を営む ホクト 株式会社の創業者である 実業家 ・水野正幸（ 1940年 - 2009年 ）  が長年かけて収集した近・現代の 日本画 （水野コレクション）をもとに、 2002年 （平成14年）に開館した  。","https://ja.wikipedia.org/wiki/水野美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯36度37分41.6秒東経138度11分34.9秒","〒380-0928長野県長野市若里6-2-20","2002年7月","北緯36度37分41.6秒東経138度11分34.9秒﻿ / ﻿北緯36.628222度 東経138.193028度﻿ /36.628222; 138.193028座標:北緯36度37分41.6秒東経138度11分34.9秒﻿ / ﻿北緯36.628222度 東経138.193028度﻿ /36.628222; 138.193028","水野美術館","日本画","水野美術館","公益財団法人水野美術館","","","","","","","","","","","",""
"池田満寿夫美術館","[池田満寿夫美術館（長野県）] 池田満寿夫美術館 （いけだますおびじゅつかん、英: Ikeda Masuo Art Museum）は、 長野県 長野市 松代町 にある 美術館 。 松代城 南側に立地する。","https://ja.wikipedia.org/wiki/池田満寿夫美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯36度33分52秒東経138度11分48秒","〒381-1231長野県長野市松代町松代殿町10","1997年（平成9年）4月","北緯36度33分52秒東経138度11分48秒﻿ / ﻿北緯36.56444度 東経138.19667度﻿ /36.56444; 138.19667座標:北緯36度33分52秒東経138度11分48秒﻿ / ﻿北緯36.56444度 東経138.19667度﻿ /36.56444; 138.19667","http://www.ikedamasuo-museum.jp/","油絵・水彩画・版画等","","株式会社竹風堂","株式会社竹風堂","1626m2","","","","","","","","2017年（平成29年）7月","",""
"北澤美術館","[北澤美術館（長野県）] 北澤美術館 （きたざわびじゅつかん）は、 エミール・ガレ 等の フランス の アール・ヌーヴォー 期の ガラス工芸 と、現代日本画の 長野県 諏訪市 諏訪湖 畔にある 美術館 である。 キッツ 創業者の 北澤利男 創設  。 隣には サンリツ服部美術館 がある。","https://ja.wikipedia.org/wiki/北澤美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯36度3分20.9秒東経138度6分42.2秒","〒392-0027長野県諏訪市湖岸通り1-13-28","1983年5月21日","北緯36度3分20.9秒東経138度6分42.2秒﻿ / ﻿北緯36.055806度 東経138.111722度﻿ /36.055806; 138.111722座標:北緯36度3分20.9秒東経138度6分42.2秒﻿ / ﻿北緯36.055806度 東経138.111722度﻿ /36.055806; 138.111722","","アール・ヌーヴォー期のガラス工芸","","清水雄輔館長","公益財団法人北澤美術館","","","","","","","","","","",""
"SUWAガラスの里の美術館","[SUWAガラスの里の美術館（長野県）] SUWAガラスの里の美術館 （すわガラスのさとのびじゅつかん）は 諏訪湖 畔（ 長野県 諏訪市 の岡谷より）にあるガラスアミューズメント施設「SUWAガラスの里」に併設された アール・デコ 期の ガラス工芸 作家 ルネ・ラリック や、現代 ガラス工芸作家 の 美術館 である。","https://ja.wikipedia.org/wiki/SUWAガラスの里の美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯36度1分42.3秒 東経138度4分49.2秒","〒392-0016長野県諏訪市豊田2400-7","2012年（平成24年）12月","","SUWAガラスの里の美術館","ガラス工芸品","SUWAガラスの里の美術館","株式会社信州諏訪ガラスの里","","","代表取締役社長　岩波太佐衛門尚宏","","","","","ガラスの里","ルネラリック美術館","","",""
"軽井沢絵本の森美術館","[軽井沢絵本の森美術館（長野県）] 軽井沢絵本の森美術館 （かるいざわえほんのもりびじゅつかん）は、 長野県 北佐久郡 軽井沢町 のミュージアムパーク「 ムーゼの森 」にある 絵本 をテーマとする 美術館 。","https://ja.wikipedia.org/wiki/軽井沢絵本の森美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯36度19分36.3秒東経138度35分50.7秒","〒389-0111長野県北佐久郡軽井沢町大字長倉182","1990年7月","北緯36度19分36.3秒東経138度35分50.7秒﻿ / ﻿北緯36.326750度 東経138.597417度﻿ /36.326750; 138.597417座標:北緯36度19分36.3秒東経138度35分50.7秒﻿ / ﻿北緯36.326750度 東経138.597417度﻿ /36.326750; 138.597417","公式ウェブサイト","絵本","","","","","","","","","","","","","",""
"小さな美術館軽井沢草花館","[小さな美術館軽井沢草花館（長野県）] 小さな美術館軽井沢草花館 （ちいさなびじゅつかんかるいざわくさばなかん）は、 長野県 北佐久郡 軽井沢町 にある 個人美術館 。画家・ 石川功一 （1937年（ 昭和 12年） - 2007年（ 平成 19年））が描いた軽井沢に自生する草花図（水彩スケッチ・油彩）を展示する。 1997年 （平成9年）に軽井沢借宿で開館。1999年（平成11年）10月に軽井沢雲場通り移転。さらに2006年（平成18年）4月に現在地（軽井沢東）に移転した。","https://ja.wikipedia.org/wiki/小さな美術館軽井沢草花館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯36度20分48.5秒東経138度38分7.5秒","〒389-0104長野県北佐久郡軽井沢町軽井沢東19-40","1997年","北緯36度20分48.5秒東経138度38分7.5秒﻿ / ﻿北緯36.346806度 東経138.635417度﻿ /36.346806; 138.635417座標:北緯36度20分48.5秒東経138度38分7.5秒﻿ / ﻿北緯36.346806度 東経138.635417度﻿ /36.346806; 138.635417","","軽井沢の草花図","","","","","","","","","","","","","",""
"脇田美術館","[脇田美術館（長野県）] 脇田美術館 （わきたびじゅつかん）は、 長野県 北佐久郡 軽井沢町 にある 美術館 である。 洋画家 の 脇田和 の作品を収蔵・展示する。","https://ja.wikipedia.org/wiki/脇田美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯36度21分3.6秒東経138度38分0.4秒","〒389-0102日本長野県北佐久郡軽井沢町大字軽井沢1570-4","1991年6月2日","北緯36度21分3.6秒東経138度38分0.4秒﻿ / ﻿北緯36.351000度 東経138.633444度﻿ /36.351000; 138.633444座標:北緯36度21分3.6秒東経138度38分0.4秒﻿ / ﻿北緯36.351000度 東経138.633444度﻿ /36.351000; 138.633444","http://www.wakita-museum.com/","脇田和の油彩・素描・版画等","","","財団法人脇田美術館","","","脇田和、鹿島建設","","","JR北陸新幹線・しなの鉄道しなの鉄道線軽井沢駅より徒歩10分","","","","",""
"セゾン現代美術館","[セゾン現代美術館（長野県）] セゾン現代美術館 （セゾンげんだいびじゅつかん）は、 長野県 北佐久郡 軽井沢町 にある 美術館 。一般財団法人セゾン現代美術館が運営する。","https://ja.wikipedia.org/wiki/セゾン現代美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯36度22分11.3秒東経138度34分50.8秒","〒389-0111日本長野県北佐久郡軽井沢町長倉芹ケ沢2140番地","1981年","北緯36度22分11.3秒東経138度34分50.8秒﻿ / ﻿北緯36.369806度 東経138.580778度﻿ /36.369806; 138.580778座標:北緯36度22分11.3秒東経138度34分50.8秒﻿ / ﻿北緯36.369806度 東経138.580778度﻿ /36.369806; 138.580778","smma.or.jp","現代美術","","","一般財団法人セゾン現代美術館","2,078m2","堤たか雄","菊竹清訓","500点","","","","高輪美術館","","",""
"サンリツ服部美術館","[サンリツ服部美術館（長野県）] サンリツ服部美術館 （さんりつはっとりびじゅつかん）は、 長野県 諏訪市 にある 美術館 。運営は、 公益財団法人 サンリツ服部美術館。隣には 北澤美術館本館 がある。","https://ja.wikipedia.org/wiki/サンリツ服部美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯36度3分18.6秒東経138度6分42.8秒","〒392-0027長野県諏訪市湖岸通り2-1-1","1995年（平成7年）","北緯36度3分18.6秒東経138度6分42.8秒﻿ / ﻿北緯36.055167度 東経138.111889度﻿ /36.055167; 138.111889座標:北緯36度3分18.6秒東経138度6分42.8秒﻿ / ﻿北緯36.055167度 東経138.111889度﻿ /36.055167; 138.111889","","日本および東洋の古美術、西洋近現代絵画","","服部孝子館長","財団法人サンリツ服部美術館","","","","","","","","","","",""
"安曇野ジャンセン美術館","[安曇野ジャンセン美術館（長野県）] 安曇野ジャンセン美術館 (あづみのジャンセンびじゅつかん) は、 長野県 安曇野市 にある私立 美術館 で、 アルメニア人 画家 ジャン・ジャンセン の世界初の専門 美術館 として1993年4月24日に開館した。開館当初の名称は 安曇野ジャンセン・塚原美術館 。","https://ja.wikipedia.org/wiki/安曇野ジャンセン美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯36度21分0秒東経137度50分32秒","〒399-8301長野県安曇野市穂高有明4018-6","1993年4月24日","北緯36度21分0秒東経137度50分32秒﻿ / ﻿北緯36.35000度 東経137.84222度﻿ /36.35000; 137.84222座標:北緯36度21分0秒東経137度50分32秒﻿ / ﻿北緯36.35000度 東経137.84222度﻿ /36.35000; 137.84222","","ジャン・ジャンセン","安曇野ジャンセン美術館","","","","","","","","","ジャンセン美術館","","","",""
"安曇野山岳美術館","[安曇野山岳美術館（長野県）] 安曇野山岳美術館 （あずみのさんがくびじゅつかん）は 長野県 安曇野市 にある私立美術館。 安曇野アートライン 加盟施設。　","https://ja.wikipedia.org/wiki/安曇野山岳美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯36度21分8.4秒東経137度50分8.6秒","〒399-8301長野県安曇野市穂高有明3613-26","1983年3月1日","北緯36度21分8.4秒東経137度50分8.6秒﻿ / ﻿北緯36.352333度 東経137.835722度﻿ /36.352333; 137.835722座標:北緯36度21分8.4秒東経137度50分8.6秒﻿ / ﻿北緯36.352333度 東経137.835722度﻿ /36.352333; 137.835722","azumino.mt-museum.jp","","","","","230m2","","","","","","","","","",""
"絵本美術館 森のおうち","[絵本美術館 森のおうち（長野県）] 絵本美術館 森のおうち （えほんびじゅつかん もりのおうち）は）は 長野県 安曇野市 にある私立美術館。日本国内や海外の現代絵本作家などの作品を中心に展示する絵本美術館である。 安曇野アートライン 加盟施設。　","https://ja.wikipedia.org/wiki/絵本美術館_森のおうち","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯36度21分49.8秒東経137度50分16.1秒","〒399-8301長野県安曇野市穂高有明2215-9","1994年4月29日","北緯36度21分49.8秒東経137度50分16.1秒﻿ / ﻿北緯36.363833度 東経137.837806度﻿ /36.363833; 137.837806座標:北緯36度21分49.8秒東経137度50分16.1秒﻿ / ﻿北緯36.363833度 東経137.837806度﻿ /36.363833; 137.837806","www.morinoouchi.com","","","","","","","","","","","","","","",""
"蓼科テディベア美術館","[蓼科テディベア美術館（長野県）] 蓼科テディベア美術館 （たてしなテディベアびじゅつかん）は、 長野県 北佐久郡 立科町 にある 美術館 。","https://ja.wikipedia.org/wiki/蓼科テディベア美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯36度06分31.37秒東経138度14分04.18秒","〒391-0321長野県北佐久郡立科町芦田八ヶ野1522白樺湖畔","","北緯36度06分31.37秒東経138度14分04.18秒﻿ / ﻿北緯36.1087139度 東経138.2344944度﻿ /36.1087139; 138.2344944座標:北緯36度06分31.37秒東経138度14分04.18秒﻿ / ﻿北緯36.1087139度 東経138.2344944度﻿ /36.1087139; 138.2344944","http://www.1027.jp/","世界のテディベア","","パートナーエンターテインメント","","3,300m2","","","11,000点","","茅野駅からバスで50分諏訪ICから車で35分佐久ICから車で50分","","","","",""
"康耀堂美術館","[康耀堂美術館（長野県）] 康耀堂美術館 （こうようどうびじゅつかん）は、 長野県 茅野市 豊平にある美術館。正式名称は 京都造形芸術大学附属康耀堂美術館 。","https://ja.wikipedia.org/wiki/康耀堂美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯35度58分5秒東経138度16分36.6秒","〒391-0115長野県茅野市豊平4734番地215","2001年","北緯35度58分5秒東経138度16分36.6秒﻿ / ﻿北緯35.96806度 東経138.276833度﻿ /35.96806; 138.276833座標:北緯35度58分5秒東経138度16分36.6秒﻿ / ﻿北緯35.96806度 東経138.276833度﻿ /35.96806; 138.276833","","美術館","京都造形芸術大学附属 康耀堂美術館","","","","","","","","中央自動車道諏訪インターチェンジから国道20号諏訪バイパス経由、新井交差点を左折し、国道299号「メルヘン街道」経由","","","","",""
"碌山美術館","[碌山美術館（長野県）] 碌山美術館 （ろくざんびじゅつかん）は 長野県 安曇野市 穂高 にある 美術館 。","https://ja.wikipedia.org/wiki/碌山美術館","美術館の一覧","https://ja.wikipedia.org/wiki/美術館の一覧","箇条書き,制限あり","北緯36度20分37.3秒東経137度52分53秒","〒399-8303長野県安曇野市穂高5095-1","1958年4月","北緯36度20分37.3秒東経137度52分53秒﻿ / ﻿北緯36.343694度 東経137.88139度﻿ /36.343694; 137.88139座標:北緯36度20分37.3秒東経137度52分53秒﻿ / ﻿北緯36.343694度 東経137.88139度﻿ /36.343694; 137.88139","","荻原守衛","","公益財団法人 碌山美術館","","","","","","","","","","","",""
