"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","国","所在地","種類","管理者","漁港番号","開港","公式サイト","漁業協同組合"," • 合計","統計年度","都道府県","等時帯","郵便番号","市外局番","ナンバープレート","市町村","総陸揚量","陸揚金額","標高"
"大井漁港 (存在しないページ)","[大井漁港（おおい - ）萩市]","https://ja.wikipedia.org/w/index.php?title=大井漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"奈古漁港 (存在しないページ)","[奈古漁港（なご - ）阿武郡阿武町]","https://ja.wikipedia.org/w/index.php?title=奈古漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"須佐漁港 (存在しないページ)","[須佐漁港（すさ - ）萩市]","https://ja.wikipedia.org/w/index.php?title=須佐漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"和田漁港 (山口県) (存在しないページ)","[和田漁港（わだ - ）大島郡周防大島町]","https://ja.wikipedia.org/w/index.php?title=和田漁港_(山口県)&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"森野漁港 (存在しないページ)","[森野漁港（もりの - ）大島郡周防大島町]","https://ja.wikipedia.org/w/index.php?title=森野漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"日良居漁港 (存在しないページ)","[日良居漁港（ひらい - ）大島郡周防大島町]","https://ja.wikipedia.org/w/index.php?title=日良居漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"安下庄漁港 (存在しないページ)","[安下庄漁港（あげのしょう - ）大島郡周防大島町]","https://ja.wikipedia.org/w/index.php?title=安下庄漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"浮島漁港 (存在しないページ)","[浮島漁港（うかしま - ）大島郡周防大島町（浮島）]","https://ja.wikipedia.org/w/index.php?title=浮島漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"椋野漁港 (存在しないページ)","[椋野漁港（むくの - ）大島郡周防大島町]","https://ja.wikipedia.org/w/index.php?title=椋野漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"前島漁港 (存在しないページ)","[前島漁港（まえじま - ）大島郡周防大島町（前島）]","https://ja.wikipedia.org/w/index.php?title=前島漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"三蒲漁港 (存在しないページ)","[三蒲漁港（みがま - ）大島郡周防大島町]","https://ja.wikipedia.org/w/index.php?title=三蒲漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"志佐漁港 (存在しないページ)","[志佐漁港（しさ - ）大島郡周防大島町]","https://ja.wikipedia.org/w/index.php?title=志佐漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"出井漁港 (存在しないページ)","[出井漁港（いずい - ）大島郡周防大島町]","https://ja.wikipedia.org/w/index.php?title=出井漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"通津漁港 (存在しないページ)","[通津漁港（つづ - ）岩国市]","https://ja.wikipedia.org/w/index.php?title=通津漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"黒島漁港 (存在しないページ)","[黒島漁港（くろしま - ）岩国市（黒島）]","https://ja.wikipedia.org/w/index.php?title=黒島漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"端島漁港 (存在しないページ)","[端島漁港（はしま - ）岩国市（端島）]","https://ja.wikipedia.org/w/index.php?title=端島漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"由宇漁港 (存在しないページ)","[由宇漁港（ゆう - ）岩国市]","https://ja.wikipedia.org/w/index.php?title=由宇漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"神代漁港 (存在しないページ)","[神代漁港（こうじろ - ）柳井市]","https://ja.wikipedia.org/w/index.php?title=神代漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鳴門漁港 (存在しないページ)","[鳴門漁港（なると - ）柳井市]","https://ja.wikipedia.org/w/index.php?title=鳴門漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"伊保庄漁港 (存在しないページ)","[伊保庄漁港（いほのしょう - ）柳井市]","https://ja.wikipedia.org/w/index.php?title=伊保庄漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"阿月漁港 (存在しないページ)","[阿月漁港（あつき - ）柳井市]","https://ja.wikipedia.org/w/index.php?title=阿月漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"平郡漁港 (存在しないページ)","[平郡漁港（へいぐん - ）柳井市（平郡島）]","https://ja.wikipedia.org/w/index.php?title=平郡漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"室津漁港 (存在しないページ)","[室津漁港（むろつ - ）熊毛郡上関町]","https://ja.wikipedia.org/w/index.php?title=室津漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"八島漁港 (存在しないページ)","[八島漁港（やしま - ）熊毛郡上関町（八島）]","https://ja.wikipedia.org/w/index.php?title=八島漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"祝島漁港 (存在しないページ)","[祝島漁港（いわいしま - ）熊毛郡上関町（祝島）]","https://ja.wikipedia.org/w/index.php?title=祝島漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"粭大島漁港 (存在しないページ)","[粭大島漁港（すくもおおしま - ）周南市]","https://ja.wikipedia.org/w/index.php?title=粭大島漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"戸田漁港","[戸田漁港（へた - ）周南市] 戸田漁港 （へだぎょこう） は、 静岡県 沼津市 戸田にある 港 。歴史的に 戸田港 （へだこう）として知られている。水深は比較的深く、 遠洋漁業 の基地になっている。また 駿河湾 の深い 海底谷 に隣接しているため、 深海魚 や タカアシガニ が多数 水揚げ される。港の周辺には 戸田温泉 が広がっている。","https://ja.wikipedia.org/wiki/戸田漁港","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","北緯34度58分25秒東経138度46分12秒","日本","静岡県沼津市戸田","第2種漁港・港則法適用港","静岡県","","","","","","","","","","","","","","",""
"大津島漁港 (存在しないページ)","[大津島漁港（おおづしま - ）周南市（大津島）]","https://ja.wikipedia.org/w/index.php?title=大津島漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"富海漁港 (存在しないページ)","[富海漁港（とのみ - ）防府市]","https://ja.wikipedia.org/w/index.php?title=富海漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"牟礼漁港 (存在しないページ)","[牟礼漁港（むれ - ）防府市]","https://ja.wikipedia.org/w/index.php?title=牟礼漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"中浦漁港 (山口県) (存在しないページ)","[中浦漁港（なかのうら - ）防府市]","https://ja.wikipedia.org/w/index.php?title=中浦漁港_(山口県)&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"西浦漁港","[西浦漁港（にしのうら - ）防府市] 西浦漁港 （にしうらしぎょこう）は、以下の漁港のことである。","https://ja.wikipedia.org/wiki/西浦漁港","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大道漁港 (存在しないページ)","[大道漁港（だいどう - ）防府市]","https://ja.wikipedia.org/w/index.php?title=大道漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"山口漁港 (存在しないページ)","[山口漁港（やまぐち - ）山口市]","https://ja.wikipedia.org/w/index.php?title=山口漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"相原漁港 (存在しないページ)","[相原漁港（あいばら - ）山口市]","https://ja.wikipedia.org/w/index.php?title=相原漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"阿知須漁港 (存在しないページ)","[阿知須漁港（あじす - ）山口市]","https://ja.wikipedia.org/w/index.php?title=阿知須漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"丸尾漁港 (存在しないページ)","[丸尾漁港（まるお - ）宇部市]","https://ja.wikipedia.org/w/index.php?title=丸尾漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"刈屋漁港 (存在しないページ)","[刈屋漁港（かりや - ）山陽小野田市]","https://ja.wikipedia.org/w/index.php?title=刈屋漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"高泊漁港 (存在しないページ)","[高泊漁港（たかどまり - ）山陽小野田市]","https://ja.wikipedia.org/w/index.php?title=高泊漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"梶漁港 (存在しないページ)","[梶漁港（かじ - ）山陽小野田市]","https://ja.wikipedia.org/w/index.php?title=梶漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"埴生漁港 (存在しないページ)","[埴生漁港（はぶ - ）山陽小野田市]","https://ja.wikipedia.org/w/index.php?title=埴生漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"王喜漁港 (存在しないページ)","[王喜漁港（おうき - ）下関市]","https://ja.wikipedia.org/w/index.php?title=王喜漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"吉母漁港 (存在しないページ)","[吉母漁港（よしも - ）下関市]","https://ja.wikipedia.org/w/index.php?title=吉母漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"六連島漁港 (存在しないページ)","[六連島漁港（むつれじま - ）下関市（六連島）]","https://ja.wikipedia.org/w/index.php?title=六連島漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"蓋井島漁港 (存在しないページ)","[蓋井島漁港（ふたおいじま - ）下関市（蓋井島）]","https://ja.wikipedia.org/w/index.php?title=蓋井島漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"室津下漁港","[室津下漁港（むろつしも - ）下関市] 室津下漁港 （むろつしもぎょこう）は、 山口県 下関市 豊浦町 室津下にある 第1種漁港 である  。","https://ja.wikipedia.org/wiki/室津下漁港","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"涌田漁港 (存在しないページ)","[涌田漁港（わいた - ）下関市]","https://ja.wikipedia.org/w/index.php?title=涌田漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"川棚漁港 (存在しないページ)","[川棚漁港（かわたな - ）下関市]","https://ja.wikipedia.org/w/index.php?title=川棚漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"宇賀漁港 (存在しないページ)","[宇賀漁港（うか - ）下関市]","https://ja.wikipedia.org/w/index.php?title=宇賀漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"二見漁港 (存在しないページ)","[二見漁港（ふたみ - ）下関市]","https://ja.wikipedia.org/w/index.php?title=二見漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"肥中漁港 (存在しないページ)","[肥中漁港（ひじゅう - ）下関市]","https://ja.wikipedia.org/w/index.php?title=肥中漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"角島漁港 (存在しないページ)","[角島漁港（つのしま - ）下関市]","https://ja.wikipedia.org/w/index.php?title=角島漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"伊上漁港 (存在しないページ)","[伊上漁港（いがみ - ）長門市]","https://ja.wikipedia.org/w/index.php?title=伊上漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"久原漁港 (存在しないページ)","[久原漁港（くばら - ）長門市]","https://ja.wikipedia.org/w/index.php?title=久原漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"立石漁港 (存在しないページ)","[立石漁港（たていし - ）長門市]","https://ja.wikipedia.org/w/index.php?title=立石漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"津黄漁港 (存在しないページ)","[津黄漁港（つおう - ）長門市]","https://ja.wikipedia.org/w/index.php?title=津黄漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"小島漁港 (山口県) (存在しないページ)","[小島漁港（こじま - ）長門市]","https://ja.wikipedia.org/w/index.php?title=小島漁港_(山口県)&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大島漁港 (山口県) (存在しないページ)","[大島漁港（おおしま - ）萩市（大島）]","https://ja.wikipedia.org/w/index.php?title=大島漁港_(山口県)&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"相島漁港 (存在しないページ)","[相島漁港（あいしま - ）萩市（相島）]","https://ja.wikipedia.org/w/index.php?title=相島漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"宇田郷漁港 (存在しないページ)","[宇田郷漁港（うたごう - ）阿武郡阿武町]","https://ja.wikipedia.org/w/index.php?title=宇田郷漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"川尻漁港 (存在しないページ)","[川尻漁港（かわじり - ）長門市]","https://ja.wikipedia.org/w/index.php?title=川尻漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"江崎漁港 (存在しないページ)","[江崎漁港（えさき - ）萩市]","https://ja.wikipedia.org/w/index.php?title=江崎漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"見島漁港 (存在しないページ)","[見島漁港（みしま - ）萩市（見島）]","https://ja.wikipedia.org/w/index.php?title=見島漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"牟岐漁港 (存在しないページ)","[牟岐漁港（むぎ - ）海部郡牟岐町]","https://ja.wikipedia.org/w/index.php?title=牟岐漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"粟田漁港 (存在しないページ)","[粟田漁港（あわた - ）鳴門市]","https://ja.wikipedia.org/w/index.php?title=粟田漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"瀬戸漁港 (存在しないページ)","[瀬戸漁港（せと - ）鳴門市]","https://ja.wikipedia.org/w/index.php?title=瀬戸漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"土佐泊漁港 (存在しないページ)","[土佐泊漁港（とさどまり - ）鳴門市]","https://ja.wikipedia.org/w/index.php?title=土佐泊漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"粟津漁港 (存在しないページ)","[粟津漁港（あわづ - ）鳴門市]","https://ja.wikipedia.org/w/index.php?title=粟津漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"長原漁港 (存在しないページ)","[長原漁港（ながはら - ）板野郡松茂町]","https://ja.wikipedia.org/w/index.php?title=長原漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"今津漁港 (存在しないページ)","[今津漁港（いまづ - ）阿南市]","https://ja.wikipedia.org/w/index.php?title=今津漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"中林漁港 (存在しないページ)","[中林漁港（なかばやし - ）阿南市]","https://ja.wikipedia.org/w/index.php?title=中林漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"椿泊漁港 (存在しないページ)","[椿泊漁港（つばきどまり - ）阿南市]","https://ja.wikipedia.org/w/index.php?title=椿泊漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"由岐漁港 (存在しないページ)","[由岐漁港（ゆき - ）海部郡|美波町]","https://ja.wikipedia.org/w/index.php?title=由岐漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"鞆奥漁港 (存在しないページ)","[鞆奥漁港（ともおく - ）海部郡海陽町]","https://ja.wikipedia.org/w/index.php?title=鞆奥漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"宍喰漁港 (存在しないページ)","[宍喰漁港（ししくい - ）海部郡海陽町]","https://ja.wikipedia.org/w/index.php?title=宍喰漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"碁の浦漁港 (存在しないページ)","[碁の浦漁港（ごのうら - ）鳴門市]","https://ja.wikipedia.org/w/index.php?title=碁の浦漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"三津漁港 (徳島県) (存在しないページ)","[三津漁港（みつ - ）鳴門市]","https://ja.wikipedia.org/w/index.php?title=三津漁港_(徳島県)&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大浦漁港 (徳島県) (存在しないページ)","[大浦漁港（おおうら - ）鳴門市]","https://ja.wikipedia.org/w/index.php?title=大浦漁港_(徳島県)&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"櫛木漁港 (存在しないページ)","[櫛木漁港（くしき - ）鳴門市]","https://ja.wikipedia.org/w/index.php?title=櫛木漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"日出漁港 (存在しないページ)","[日出漁港（ひゅうで - ）鳴門市]","https://ja.wikipedia.org/w/index.php?title=日出漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"撫佐漁港 (存在しないページ)","[撫佐漁港（むさ - ）鳴門市]","https://ja.wikipedia.org/w/index.php?title=撫佐漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"室漁港 (存在しないページ)","[室漁港（むろ - ）鳴門市]","https://ja.wikipedia.org/w/index.php?title=室漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"亀浦漁港 (存在しないページ)","[亀浦漁港（かめうら - ）鳴門市]","https://ja.wikipedia.org/w/index.php?title=亀浦漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"大潟漁港","[大潟漁港（おおがた - ）阿南市] 大潟干潟 （おおがたひがた）は、 徳島県 阿南市 大潟町 にある第1種 漁港 に形成された 干潟 である。阿波の 松島 として有名な 橘湾 にあり、 鵜渡島 及び 長島 に囲まれている。","https://ja.wikipedia.org/wiki/大潟漁港","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"小杭漁港 (存在しないページ)","[小杭漁港（こぐい - ）阿南市]","https://ja.wikipedia.org/w/index.php?title=小杭漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"後戸漁港 (存在しないページ)","[後戸漁港（うしろど - ）阿南市]","https://ja.wikipedia.org/w/index.php?title=後戸漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"曲漁港 (存在しないページ)","[曲漁港（まがり - ）阿南市]","https://ja.wikipedia.org/w/index.php?title=曲漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"伊座利漁港 (存在しないページ)","[伊座利漁港（いざり - ）海部郡|美波町]","https://ja.wikipedia.org/w/index.php?title=伊座利漁港&amp;action=edit&amp;redlink=1","日本の漁港一覧","https://ja.wikipedia.org/wiki/日本の漁港一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
