"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","国","所在地","面積","地方","総人口","都道府県","外部リンク","法人番号","人口密度","市町村コード","隣接自治体","市長","市の花","市の木","郡","町長","町の木","町の花","市の鳥"
"宇治市","[宇治（歴史遺産・特産） -平等院鳳凰堂・宇治上神社（世界遺産「古都京都の文化財」の一つ）、宇治茶など。] 宇治市 （うじし）は、 京都府 の南部に位置する 市  。","https://ja.wikipedia.org/wiki/宇治市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯34度53分3.7秒東経135度47分59.3秒","日本","〒611-8501京都府宇治市宇治琵琶33番地北緯34度53分3.7秒東経135度47分59.3秒﻿ / ﻿北緯34.884361度 東経135.799806度﻿ /34.884361; 135.799806座標:北緯34度53分3.7秒東経135度47分59.3秒﻿ / ﻿北緯34.884361度 東経135.799806度﻿ /34.884361; 135.799806市庁舎位置","67.54km2","近畿地方","178,919人（推計人口、2021年6月1日）","京都府","公式ウェブサイト","2000020262048","2,649人/km2","26204-8","京都市、城陽市、綴喜郡宇治田原町、久世郡久御山町滋賀県大津市","松村淳子","やまぶき","もみじ（イロハモミジ）","","","","",""
"八幡市","[八幡（社寺） -石清水八幡宮、松花堂] 八幡市 （やわたし）は、 京都府 の南部に位置する 市 。","https://ja.wikipedia.org/wiki/八幡市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯34度52分32秒東経135度42分27.4秒","日本","〒614-8501京都府八幡市八幡園内75北緯34度52分32秒東経135度42分27.4秒﻿ / ﻿北緯34.87556度 東経135.707611度﻿ /34.87556; 135.707611﻿ (八幡市)座標:北緯34度52分32秒東経135度42分27.4秒﻿ / ﻿北緯34.87556度 東経135.707611度﻿ /34.87556; 135.707611﻿ (八幡市)","24.35km2","近畿地方","70,100人（推計人口、2021年6月1日）","京都府","公式ウェブサイト","6000020262102","2,879人/km2","26210-2","京都市、城陽市、京田辺市、乙訓郡大山崎町、久世郡久御山町大阪府：枚方市、三島郡島本町","堀口文昭","サツキ","クスノキ","","","","",""
"亀岡市","[亀岡（自然・文化・保養） -保津峡、穴太寺、湯の花温泉、丹波松茸など。] 亀岡市 （かめおかし）は、 京都府 の中西部に位置する 市 。","https://ja.wikipedia.org/wiki/亀岡市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯35度0分48.7秒東経135度34分24.7秒","日本","〒621-8501京都府亀岡市安町野々神8番地北緯35度0分48.7秒東経135度34分24.7秒﻿ / ﻿北緯35.013528度 東経135.573528度﻿ /35.013528; 135.573528座標:北緯35度0分48.7秒東経135度34分24.7秒﻿ / ﻿北緯35.013528度 東経135.573528度﻿ /35.013528; 135.573528市庁舎位置","224.80km2","近畿地方","85,999人（推計人口、2021年6月1日）","京都府","公式ウェブサイト","2000020262064","383人/km2","26206-4","京都市、南丹市大阪府：茨木市、高槻市、豊能郡能勢町、豊能町","桂川孝裕","ツツジ","サクラ","","","","",""
"大阪市","[大阪（文化・町並・グルメ・歴史遺産・レジャー、歴史） -ATC、USJ、天保山ハーバービレッジ、OBP、梅田、御堂筋、中之島、難波、道頓堀、大阪城、四天王寺、通天閣、あべのハルカス、住吉大社、高級ホテル、心斎橋、天神祭などの祭事、吉兆などの日本料理、食い倒れ、上方文化など。西日本の中心地。] 大阪市 （おおさかし）は、 大阪府 中部に位置する 市 。大阪府の 府庁所在地 であり、 政令指定都市 である。","https://ja.wikipedia.org/wiki/大阪市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯34度41分37.5秒東経135度30分7.6秒","日本","〒530-8201大阪府大阪市北区中之島一丁目3番20号北緯34度41分37.5秒東経135度30分7.6秒﻿ / ﻿北緯34.693750度 東経135.502111度﻿ /34.693750; 135.502111﻿ (大阪市)座標:北緯34度41分37.5秒東経135度30分7.6秒﻿ / ﻿北緯34.693750度 東経135.502111度﻿ /34.693750; 135.502111﻿ (大阪市)","225.21km2（境界未定部分あり）","近畿地方","2,753,307人（推計人口、2021年6月1日）","大阪府","公式ウェブサイト","6000020271004","12,226人/km2","27100-4","豊中市、吹田市、摂津市、門真市、大東市、東大阪市、守口市、八尾市、堺市、松原市兵庫県尼崎市","松井一郎","パンジー","サクラ","","","","",""
"高槻市","[高槻（自然・歴史遺産）-　摂津峡、神峯山寺、普門寺庭園、今城塚古墳を初めとする大型古墳群] 高槻市 （たかつきし）は、 大阪府 の 北摂 三島 地域に位置する 市 。 中核市 に指定されている。","https://ja.wikipedia.org/wiki/高槻市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯34度50分45.6秒東経135度37分2.1秒","日本","〒569-0067大阪府高槻市桃園町2番1号北緯34度50分45.6秒東経135度37分2.1秒﻿ / ﻿北緯34.846000度 東経135.617250度﻿ /34.846000; 135.617250﻿ (高槻市)座標:北緯34度50分45.6秒東経135度37分2.1秒﻿ / ﻿北緯34.846000度 東経135.617250度﻿ /34.846000; 135.617250﻿ (高槻市)","105.29km2","近畿地方","347,291人（推計人口、2021年6月1日）","大阪府","公式ウェブサイト","4000020272078","3,298人/km2","27207-8","枚方市、茨木市、寝屋川市、摂津市、三島郡島本町京都府：亀岡市、京都市","濱田剛史","ウノハナ","ケヤキ","","","","",""
"吹田市","[吹田（文化）-　万博記念公園（日本庭園、エキスポシティ、国立民族学博物館、吹田サッカースタジアム）] 吹田市 （すいたし）は、 大阪府 の 北摂 三島 地域に位置する 市 。 中核市 に指定されている。","https://ja.wikipedia.org/wiki/吹田市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯34度45分34.1秒東経135度31分0.6秒","日本","〒564-8550大阪府吹田市泉町一丁目3番40号北緯34度45分34.1秒東経135度31分0.6秒﻿ / ﻿北緯34.759472度 東経135.516833度﻿ /34.759472; 135.516833﻿ (吹田市)座標:北緯34度45分34.1秒東経135度31分0.6秒﻿ / ﻿北緯34.759472度 東経135.516833度﻿ /34.759472; 135.516833﻿ (吹田市)","36.09km2","近畿地方","386,645人（推計人口、2021年6月1日）","大阪府","公式ウェブサイト","6000020272051","10,713人/km2","27205-1","茨木市、箕面市、豊中市、大阪市、摂津市","後藤圭二","サツキ","クスノキ","","","","",""
"堺市","[堺（文化・歴史遺産）-　大仙陵古墳、旧堺燈台、南宗寺、妙国寺等の社寺など。] 堺市 （さかいし）は、 大阪府 の 泉北 地域に位置する 市 。 大阪府 では、 大阪市 に次ぐ第二の都市であり、 政令指定都市 である。","https://ja.wikipedia.org/wiki/堺市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯34度34分24秒東経135度28分58.8秒","日本","〒590-0078大阪府堺市堺区南瓦町3番1号北緯34度34分24秒東経135度28分58.8秒﻿ / ﻿北緯34.57333度 東経135.483000度﻿ /34.57333; 135.483000﻿ (堺市)座標:北緯34度34分24秒東経135度28分58.8秒﻿ / ﻿北緯34.57333度 東経135.483000度﻿ /34.57333; 135.483000﻿ (堺市)市庁舎位置","149.82km2","近畿地方","822,119人（推計人口、2021年6月1日）","大阪府","公式ウェブサイト","3000020271403","5,487人/km2","27140-3","大阪市、松原市、羽曳野市、富田林市、大阪狭山市、河内長野市、和泉市、高石市","永藤英機","ハナショウブ","柳","","","","",""
"河内長野市","[河内長野・千早赤坂の奥河内（自然・歴史遺産） -金剛山・岩湧山、国史跡観心寺・金剛寺、高野街道、国史跡千早城址・下赤坂城址など。] 河内長野市 （かわちながのし）は、 大阪府 の 南河内 地域に位置する 市 。","https://ja.wikipedia.org/wiki/河内長野市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯34度27分29.1秒東経135度33分50.9秒","日本","〒586-8501大阪府河内長野市原町一丁目1番1号北緯34度27分29.1秒東経135度33分50.9秒﻿ / ﻿北緯34.458083度 東経135.564139度﻿ /34.458083; 135.564139座標:北緯34度27分29.1秒東経135度33分50.9秒﻿ / ﻿北緯34.458083度 東経135.564139度﻿ /34.458083; 135.564139","109.63km2","近畿地方","99,866人（推計人口、2021年6月1日）","大阪府","公式ウェブサイト","6000020272167","911人/km2","27216-7","堺市、和泉市、大阪狭山市、富田林市、南河内郡千早赤阪村奈良県五條市和歌山県：橋本市、伊都郡かつらぎ町","島田智明","キク","クスノキ","","","","",""
"奈良市","[奈良（歴史遺産・町並・文化） - 世界遺産を始めとする社寺群、奈良公園、平城宮跡、ならまち。国際観光文化都市。] 奈良市 （ならし）は、 奈良県 の北部に位置する 市 。奈良県の 県庁所在地 であり、 中核市 に指定されている。","https://ja.wikipedia.org/wiki/奈良市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯34度41分6秒東経135度48分17.2秒","日本","〒630-8580奈良県奈良市二条大路南一丁目1番1号北緯34度41分6秒東経135度48分17.2秒﻿ / ﻿北緯34.68500度 東経135.804778度﻿ /34.68500; 135.804778﻿ (奈良市)座標:北緯34度41分6秒東経135度48分17.2秒﻿ / ﻿北緯34.68500度 東経135.804778度﻿ /34.68500; 135.804778﻿ (奈良市)市庁舎位置","276.94km2","近畿地方","352,198人（推計人口、2021年6月1日）","奈良県","公式ウェブサイト","4000020292010","1,272人/km2","29201-0","生駒市、大和郡山市、天理市、桜井市、宇陀市、山辺郡山添村京都府：木津川市、相楽郡笠置町、精華町、南山城村三重県伊賀市","仲川元庸","ナラノヤエザクラ","イチイガシ","","","","","ウグイス"
"斑鳩町","[斑鳩（歴史遺産）- 世界遺産である法隆寺と法起寺、中宮寺、藤ノ木古墳など。] 斑鳩町 （いかるがちょう）は、 奈良県 北西部に位置し、 生駒郡 に属する 町 である。","https://ja.wikipedia.org/wiki/斑鳩町","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯34度36分31.8秒東経135度43分50.2秒","日本","〒636-0198奈良県生駒郡斑鳩町法隆寺西三丁目7番12号北緯34度36分31.8秒東経135度43分50.2秒﻿ / ﻿北緯34.608833度 東経135.730611度﻿ /34.608833; 135.730611﻿ (斑鳩町)座標:北緯34度36分31.8秒東経135度43分50.2秒﻿ / ﻿北緯34.608833度 東経135.730611度﻿ /34.608833; 135.730611﻿ (斑鳩町)","14.27km2","近畿地方","27,269人（推計人口、2021年6月1日）","奈良県","公式ウェブサイト","1000020293440","1,911人/km2","29344-0","生駒市、大和郡山市、生駒郡三郷町、平群町、安堵町、北葛城郡王寺町、河合町","","","","生駒郡","中西和夫","クロマツ","サザンカ、ツバキ",""
"橿原市","[橿原（歴史遺産） -橿原神宮、藤原京跡、重伝建「今井町」、大和三山。] 橿原市 （かしはらし）は、 奈良県 中部の 市 。総人口約121,000人と 奈良市 に次ぐ県下第二の都市でもある。","https://ja.wikipedia.org/wiki/橿原市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯34度30分34秒東経135度47分33秒","日本","〒634-8586奈良県橿原市八木町一丁目1番18号北緯34度30分34秒東経135度47分33秒﻿ / ﻿北緯34.50944度 東経135.79250度﻿ /34.50944; 135.79250﻿ (橿原市)座標:北緯34度30分34秒東経135度47分33秒﻿ / ﻿北緯34.50944度 東経135.79250度﻿ /34.50944; 135.79250﻿ (橿原市)","39.56km2","近畿地方","121,242人（推計人口、2021年6月1日）","奈良県","公式ウェブサイト","3000020292052","3,065人/km2","29205-2","御所市、桜井市、大和高田市、北葛城郡広陵町、磯城郡田原本町、高市郡明日香村、高取町","亀田忠彦","くちなし","樫","","","","",""
"天理市","[天理（歴史遺産・文化） -山辺の道にある石上神宮、長岳寺、黒塚古墳、櫛山古墳等の歴史遺産。天理教本部と天理大学附属天理参考館。] 天理市 （てんりし）は、 奈良県 北中部に位置する 市 。中心部に 天理教 関連の施設が集中していることなどから、 宗教都市 として知られている  。名称は天理教に由来する。","https://ja.wikipedia.org/wiki/天理市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯34度35分47.7秒東経135度50分14.1秒","日本","〒632-8555奈良県天理市川原城町605番地北緯34度35分47.7秒東経135度50分14.1秒﻿ / ﻿北緯34.596583度 東経135.837250度﻿ /34.596583; 135.837250座標:北緯34度35分47.7秒東経135度50分14.1秒﻿ / ﻿北緯34.596583度 東経135.837250度﻿ /34.596583; 135.837250","86.42km2","近畿地方","63,874人（推計人口、2021年6月1日）","奈良県","公式ウェブサイト","3000020292044","739人/km2","29204-4","奈良市、桜井市、大和郡山市、磯城郡田原本町、三宅町、川西町","並河健","ウメ","イチョウ","","","","",""
"桜井市","[桜井（歴史遺産）-三輪山、大神神社、談山神社、長谷寺、山辺の道、箸墓古墳。] 桜井市 （さくらいし）は、 奈良県 中部、 中和 地域に位置する 市 である。","https://ja.wikipedia.org/wiki/桜井市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯34度31分7.4秒東経135度50分35.6秒","日本","〒633-8585奈良県桜井市大字粟殿432番地の1北緯34度31分7.4秒東経135度50分35.6秒﻿ / ﻿北緯34.518722度 東経135.843222度﻿ /34.518722; 135.843222﻿ (桜井市)座標:北緯34度31分7.4秒東経135度50分35.6秒﻿ / ﻿北緯34.518722度 東経135.843222度﻿ /34.518722; 135.843222﻿ (桜井市)","98.91km2","近畿地方","54,102人（推計人口、2021年6月1日）","奈良県","公式ウェブサイト","2000020292061","547人/km2","29206-1","奈良市、橿原市、天理市、宇陀市、磯城郡田原本町、高市郡明日香村、吉野郡吉野町","松井正剛","ヤマザクラ","スギ","","","","",""
"明日香村","[明日香（歴史遺産）-高松塚古墳、石舞台古墳、キトラ古墳、万葉文化館、飛鳥寺。] 明日香村 （あすかむら）は、 奈良県 の中央部付近に位置する 村 である。 中央集権 律令国家 の誕生の地であることから飛鳥時代の宮殿や史跡が多く発掘されていることで知られ、「日本人の心の故郷」とも紹介される  。","https://ja.wikipedia.org/wiki/明日香村","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯34度28分16.7秒東経135度49分14.6秒","日本","〒634-0111奈良県高市郡明日香村大字岡55番地北緯34度28分16.7秒東経135度49分14.6秒﻿ / ﻿北緯34.471306度 東経135.820722度﻿ /34.471306; 135.820722﻿ (明日香村)座標:北緯34度28分16.7秒東経135度49分14.6秒﻿ / ﻿北緯34.471306度 東経135.820722度﻿ /34.471306; 135.820722﻿ (明日香村)","24.10km2","近畿地方","5,204人（推計人口、2021年6月1日）","奈良県","公式ウェブサイト","6000020294021","216人/km2","29402-1","橿原市、桜井市、高市郡高取町、吉野郡吉野町","","","","高市郡","","","",""
"宇陀市","[宇陀市（歴史遺産）-室生寺、重伝建「松山」、国史跡宇陀松山城跡など。] 宇陀市 （うだし）は、 奈良県 北東部に位置する 市 。","https://ja.wikipedia.org/wiki/宇陀市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯34度31分40.7秒東経135度57分8.1秒","日本","〒633-0292奈良県宇陀市榛原下井足17番地の3北緯34度31分40.7秒東経135度57分8.1秒﻿ / ﻿北緯34.527972度 東経135.952250度﻿ /34.527972; 135.952250﻿ (宇陀市)座標:北緯34度31分40.7秒東経135度57分8.1秒﻿ / ﻿北緯34.527972度 東経135.952250度﻿ /34.527972; 135.952250﻿ (宇陀市)市庁舎位置","247.50km2","近畿地方","27,555人（推計人口、2021年6月1日）","奈良県","公式ウェブサイト","5000020292125","111人/km2","29212-5","奈良市、桜井市、山辺郡山添村、宇陀郡曽爾村、吉野郡吉野町、東吉野村三重県名張市","金剛一智","すずらん","ひのき","","","","","うぐいす"
"葛城市","[葛城（歴史遺産、自然）-當麻寺、二上山、葛城山、竹内街道。] 葛城山 から 二上山 に延びる山脈の東麓に位置する。山を越えれば、大阪府となる。経済的には大和高田市との結びつきが強い。 気候は 奈良盆地 に位置するため、冬は霜が降りるほどに冷え込み、夏は湿度が高い。また、年間を通して雨が少ないため、水不足の対策としてため池が市内の至る所にあったが、現在は 吉野川 分水によって十分な水が供給されているために利用はされていない。","https://ja.wikipedia.org/wiki/葛城市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯34度29分21.2秒東経135度43分35.2秒","日本","〒639-2197奈良県葛城市柿本166番地新庄庁舎北緯34度29分21.2秒東経135度43分35.2秒﻿ / ﻿北緯34.489222度 東経135.726444度﻿ /34.489222; 135.726444﻿ (葛城市)座標:北緯34度29分21.2秒東経135度43分35.2秒﻿ / ﻿北緯34.489222度 東経135.726444度﻿ /34.489222; 135.726444﻿ (葛城市)〒639-2195奈良県葛城市長尾85番地當麻庁舎北緯34度30分40秒東経135度42分25秒﻿ / ﻿北緯34.51111度 東経135.70694度﻿ /34.51111; 135.70694（當麻庁舎）","33.72km2","近畿地方","37,291人（推計人口、2021年6月1日）","奈良県","公式ウェブサイト","5000020292117","1,106人/km2","29211-7","大和高田市、御所市、香芝市大阪府：南河内郡太子町、河南町","阿古和彦","ボタン・キク","イチイガシ・クスノキ","","","","","ウグイス"
"吉野町","[吉野（自然景観・歴史遺産）- 世界遺産である金峯山寺、千本桜の吉野山、修験道の大峰山、大台ケ原など。] 吉野町 （よしのちょう）は、 奈良県 中部に位置する 町 。桜で有名な 吉野山 があり、近隣の 吉野山地 （紀伊山地）から切り出される 吉野杉 ・ 檜 の集散地でもある。 2012年 に 「日本で最も美しい村」連合 に加盟。","https://ja.wikipedia.org/wiki/吉野町","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯34度23分45.6秒東経135度51分27.3秒","日本","〒639-3192奈良県吉野郡吉野町大字上市80番地の1北緯34度23分45.6秒東経135度51分27.3秒﻿ / ﻿北緯34.396000度 東経135.857583度﻿ /34.396000; 135.857583﻿ (吉野町)座標:北緯34度23分45.6秒東経135度51分27.3秒﻿ / ﻿北緯34.396000度 東経135.857583度﻿ /34.396000; 135.857583﻿ (吉野町)町役場位置","95.65km2","近畿地方","6,047人（推計人口、2021年6月1日）","奈良県","公式ウェブサイト","4000020294411","63.2人/km2","29441-1","桜井市、宇陀市、吉野郡東吉野村、川上村、黒滝村、下市町、大淀町、高市郡明日香村","","","","吉野郡","中井章太","","",""
"高野町","[高野（歴史遺産・味覚） - 世界遺産『紀伊山地の霊場と参詣道』の指定遺産である金剛峯寺・奥の院・徳川家霊台・高野山町石道など高野山、精進料理。] 高野町 （こうやちょう）は、 和歌山県 北東部の 町 。","https://ja.wikipedia.org/wiki/高野町","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯34度12分58.1秒東経135度35分11.5秒","日本","〒648-0281和歌山県伊都郡高野町高野山636番地北緯34度12分58.1秒東経135度35分11.5秒﻿ / ﻿北緯34.216139度 東経135.586528度﻿ /34.216139; 135.586528﻿ (高野町)座標:北緯34度12分58.1秒東経135度35分11.5秒﻿ / ﻿北緯34.216139度 東経135.586528度﻿ /34.216139; 135.586528﻿ (高野町)","137.03km2","近畿地方","2,924人（推計人口、2021年6月1日）","和歌山県","公式ウェブサイト","3000020303445","21.3人/km2","30344-5","橋本市、伊都郡九度山町、かつらぎ町奈良県：五條市、吉野郡野迫川村","","","","伊都郡","平野嘉也","高野槙","シャクナゲ",""
"和歌山市","[和歌山（歴史遺産・レジャー）-和歌山城、紀三井寺、加太、和歌浦、養翠園や番所庭園の日本庭園、和歌山マリーナシティ。] 和歌山市 （わかやまし）は、 和歌山県 の北部に位置する都市。和歌山県の 県庁所在地 で、 中核市 に指定されている。","https://ja.wikipedia.org/wiki/和歌山市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯34度13分49.3秒東経135度10分14.7秒","日本","〒640-8511和歌山県和歌山市七番丁23番地北緯34度13分49.3秒東経135度10分14.7秒﻿ / ﻿北緯34.230361度 東経135.170750度﻿ /34.230361; 135.170750座標:北緯34度13分49.3秒東経135度10分14.7秒﻿ / ﻿北緯34.230361度 東経135.170750度﻿ /34.230361; 135.170750市庁舎位置","208.84km2","近畿地方","355,454人（推計人口、2021年6月1日）","和歌山県","公式ウェブサイト","6000020302015","1,702人/km2","30201-5","和歌山県:海南市、紀の川市、岩出市大阪府:阪南市、泉南郡岬町兵庫県:洲本市（紀淡海峡を挟んで）","尾花正啓","ツツジ","クスノキ","","","","",""
"海南市","[海南（歴史遺産）-黒江の町並み、長保寺や善福院の国宝建造物、温山荘園や長久邸の日本庭園。] 海南市 （かいなんし）は、 和歌山県 の北部沿岸部に位置する 市 。 紀州漆器 の産地。","https://ja.wikipedia.org/wiki/海南市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯34度9分19秒東経135度12分33.2秒","日本","〒642-8501和歌山県海南市南赤坂11番地北緯34度9分19秒東経135度12分33.2秒﻿ / ﻿北緯34.15528度 東経135.209222度﻿ /34.15528; 135.209222﻿ (海南市)座標:北緯34度9分19秒東経135度12分33.2秒﻿ / ﻿北緯34.15528度 東経135.209222度﻿ /34.15528; 135.209222﻿ (海南市)","101.06km2","近畿地方","47,729人（推計人口、2021年6月1日）","和歌山県","公式ウェブサイト","6000020302023","472人/km2","30202-3","和歌山市、有田市、紀の川市、海草郡紀美野町、有田郡有田川町","神出政巳","ミカン","サクラ","","","","","-"
"新宮市","[新宮（自然、歴史遺産）- 世界遺産である「熊野速玉大社」、神倉神社と御燈祭、新宮城、瀞八丁、西村記念館など。] 新宮市 （しんぐうし）は、 和歌山県 南部にある 市 。 熊野川 の河口に位置する。","https://ja.wikipedia.org/wiki/新宮市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯33度43分27秒東経135度59分33.2秒","日本","〒647-8555和歌山県新宮市春日1番1号北緯33度43分27秒東経135度59分33.2秒﻿ / ﻿北緯33.72417度 東経135.992556度﻿ /33.72417; 135.992556座標:北緯33度43分27秒東経135度59分33.2秒﻿ / ﻿北緯33.72417度 東経135.992556度﻿ /33.72417; 135.992556市庁舎位置","255.23km2（境界未定部分あり）","近畿地方","26,864人（推計人口、2021年6月1日）","和歌山県","公式ウェブサイト","4000020302074","105人/km2","30207-4","田辺市、東牟婁郡古座川町、那智勝浦町三重県：熊野市、南牟婁郡紀宝町奈良県吉野郡十津川村","田岡実千年","ハマユウ、川さつき","ナギ、熊野杉、天台烏薬","","","","",""
"田辺市","[紀伊田辺（自然・歴史遺産・保養） -熊野古道、「熊野本宮大社」、川湯温泉、湯の峰温泉、渡瀬温泉、龍神温泉。] 田辺市 （たなべし）は、 和歌山県 中南部に位置する 市 。","https://ja.wikipedia.org/wiki/田辺市","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯33度43分40.7秒東経135度22分39.8秒","日本","〒646-8545和歌山県田辺市新屋敷町1番地北緯33度43分40.7秒東経135度22分39.8秒﻿ / ﻿北緯33.727972度 東経135.377722度﻿ /33.727972; 135.377722﻿ (田辺市)座標:北緯33度43分40.7秒東経135度22分39.8秒﻿ / ﻿北緯33.727972度 東経135.377722度﻿ /33.727972; 135.377722﻿ (田辺市)","1,026.91km2","近畿地方","69,090人（推計人口、2021年6月1日）","和歌山県","公式ウェブサイト","4000020302066","67.3人/km2","30206-6","新宮市、日高郡みなべ町、印南町、日高川町、西牟婁郡白浜町、上富田町、有田郡有田川町、東牟婁郡古座川町奈良県吉野郡十津川村、野迫川村","真砂充敏","ウメ","ウバメガシ","","","","","メジロ"
"那智勝浦町","[那智勝浦（自然景観・歴史遺産・保養地） - 世界遺産の大門坂・那智滝・熊野古道・熊野那智大社、紀の松島、南紀勝浦温泉。] 那智勝浦町 （なちかつうらちょう）は、 和歌山県 東牟婁郡 の 町 である。","https://ja.wikipedia.org/wiki/那智勝浦町","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯33度37分33.8秒東経135度56分27.8秒","日本","〒649-5392和歌山県東牟婁郡那智勝浦町大字築地七丁目1番地1北緯33度37分33.8秒東経135度56分27.8秒﻿ / ﻿北緯33.626056度 東経135.941056度﻿ /33.626056; 135.941056﻿ (那智勝浦町)座標:北緯33度37分33.8秒東経135度56分27.8秒﻿ / ﻿北緯33.626056度 東経135.941056度﻿ /33.626056; 135.941056﻿ (那智勝浦町)","183.31km2（境界未定部分あり）","近畿地方","13,984人（推計人口、2021年6月1日）","和歌山県","公式ウェブサイト","3000020304212","76.3人/km2","30421-2","新宮市、東牟婁郡太地町、串本町、古座川町","","","","東牟婁郡","堀順一郎","カシ","ツツジ",""
"白浜町","[南紀白浜（温泉・レジャー・自然） -南紀白浜温泉、白良浜、三段壁、千畳敷、円月島、南紀白浜アドベンチャーワールド。] 白浜町 （しらはまちょう）は、 和歌山県 西牟婁郡 にあるリゾート町。 千葉県 などにも存在する白浜という地名と区別する意味で、 紀伊半島 あるいは旧 紀伊国 （和歌山県）の南を意味する「南紀」を冠して 南紀白浜 と呼ばれることもある。古くは 奈良時代 から、 温泉街 として有名である。","https://ja.wikipedia.org/wiki/白浜町","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯33度40分41.3秒東経135度20分53.2秒","日本","〒649-2211和歌山県西牟婁郡白浜町1600番地北緯33度40分41.3秒東経135度20分53.2秒﻿ / ﻿北緯33.678139度 東経135.348111度﻿ /33.678139; 135.348111﻿ (白浜町)座標:北緯33度40分41.3秒東経135度20分53.2秒﻿ / ﻿北緯33.678139度 東経135.348111度﻿ /33.678139; 135.348111﻿ (白浜町)","200.98km2","近畿地方","20,116人（推計人口、2021年6月1日）","和歌山県","公式ウェブサイト","8000020304018","100人/km2","30401-8","田辺市、西牟婁郡上富田町、すさみ町、東牟婁郡古座川町","","","","西牟婁郡","井澗誠","さくら","はまゆう",""
"串本町","[串本（自然・味覚・文化施設など） -橋杭岩・潮岬（望楼の芝生）・串本海中公園・海金剛・スキューバダイビングなど] 串本町 （くしもとちょう）は、 和歌山県 東牟婁郡 の 町 。本州最南端の地である。","https://ja.wikipedia.org/wiki/串本町","日本の観光地一覧","https://ja.wikipedia.org/wiki/日本の観光地一覧","箇条書き,制限あり","北緯33度28分21秒東経135度46分53.3秒","日本","〒649-3592和歌山県東牟婁郡串本町串本1800番地北緯33度28分21秒東経135度46分53.3秒﻿ / ﻿北緯33.47250度 東経135.781472度﻿ /33.47250; 135.781472﻿ (串本町)座標:北緯33度28分21秒東経135度46分53.3秒﻿ / ﻿北緯33.47250度 東経135.781472度﻿ /33.47250; 135.781472﻿ (串本町)","135.67km2（境界未定部分あり）","近畿地方","14,803人（推計人口、2021年6月1日）","和歌山県","公式ウェブサイト","9000020304280","109人/km2","30428-0","東牟婁郡古座川町、那智勝浦町、西牟婁郡すさみ町","","","","東牟婁郡","田嶋勝正","ツバキ","モチノキ",""
