"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","築造時期","規模","形状","史跡","出土品","地図","埋葬施設","所属","被葬者","特記事項","別名","有形文化財","外部リンク","国","都道府県","面積","地方"
"尾張戸神社古墳","[尾張戸神社古墳（円墳、国の史跡）] 東谷山 （とうごくさん）の 山頂 に鎮座する。別称として「熱田の奥の院」や「東谷明神」・「当国明神」とも   。","https://ja.wikipedia.org/wiki/尾張戸神社古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度15分22.08秒東経137度3分11.24秒","愛知県瀬戸市十軒町845愛知県名古屋市守山区大字志段味字東谷209","北緯35度15分22.08秒東経137度3分11.24秒﻿ / ﻿北緯35.2561333度 東経137.0531222度﻿ /35.2561333; 137.0531222﻿ (尾張戸神社)座標:北緯35度15分22.08秒東経137度3分11.24秒﻿ / ﻿北緯35.2561333度 東経137.0531222度﻿ /35.2561333; 137.0531222﻿ (尾張戸神社)","","","","","","","","","","","熱田の奥の院・東谷明神・当国明神","","","","","",""
"中社古墳","[中社古墳（前方後円墳、国の史跡）] 東谷山 （とうごくさん）の 山頂 に鎮座する。別称として「熱田の奥の院」や「東谷明神」・「当国明神」とも   。","https://ja.wikipedia.org/wiki/中社古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度15分22.08秒東経137度3分11.24秒","愛知県瀬戸市十軒町845愛知県名古屋市守山区大字志段味字東谷209","北緯35度15分22.08秒東経137度3分11.24秒﻿ / ﻿北緯35.2561333度 東経137.0531222度﻿ /35.2561333; 137.0531222﻿ (尾張戸神社)座標:北緯35度15分22.08秒東経137度3分11.24秒﻿ / ﻿北緯35.2561333度 東経137.0531222度﻿ /35.2561333; 137.0531222﻿ (尾張戸神社)","","","","","","","","","","","熱田の奥の院・東谷明神・当国明神","","","","","",""
"南社古墳","[南社古墳（円墳、国の史跡）] 東谷山 （とうごくさん）の 山頂 に鎮座する。別称として「熱田の奥の院」や「東谷明神」・「当国明神」とも   。","https://ja.wikipedia.org/wiki/南社古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度15分22.08秒東経137度3分11.24秒","愛知県瀬戸市十軒町845愛知県名古屋市守山区大字志段味字東谷209","北緯35度15分22.08秒東経137度3分11.24秒﻿ / ﻿北緯35.2561333度 東経137.0531222度﻿ /35.2561333; 137.0531222﻿ (尾張戸神社)座標:北緯35度15分22.08秒東経137度3分11.24秒﻿ / ﻿北緯35.2561333度 東経137.0531222度﻿ /35.2561333; 137.0531222﻿ (尾張戸神社)","","","","","","","","","","","熱田の奥の院・東谷明神・当国明神","","","","","",""
"勝手社","[勝手塚古墳（前方後円墳、国の史跡）] 張州府志 によると、 南北朝時代 の頃、この地に移り住んだ南朝遺民が 芳野神社 に請うて勝手明神を勧請したとされ、同じ頃に水野又太郎良春が 吉野山 の勝手明神を勧請したとの言い伝えもある。また、 明治 42年（ 1909年 ）に近在の 八剱大明神 から 天照大神 ・ 日本武尊 を、 山之神社 から 大山祇神 を合祀している。","https://ja.wikipedia.org/wiki/勝手社#勝手塚古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度15分10.69秒東経137度02分10.32秒","愛知県名古屋市守山区上志段味字中屋敷1463番地","北緯35度15分10.69秒東経137度02分10.32秒﻿ / ﻿北緯35.2529694度 東経137.0362000度﻿ /35.2529694; 137.0362000座標:北緯35度15分10.69秒東経137度02分10.32秒﻿ / ﻿北緯35.2529694度 東経137.0362000度﻿ /35.2529694; 137.0362000","","","","","","","","","","","","","","","","",""
"青塚古墳 (犬山市)","[青塚古墳（犬山市、前方後円墳、国の史跡）] 愛知県では第2位の規模の古墳で  、 4世紀 中葉（ 古墳時代 前期）頃の築造と推定される。","https://ja.wikipedia.org/wiki/青塚古墳_(犬山市)","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度19分35.03秒東経136度55分44.19秒","愛知県犬山市字青塚（青塚古墳史跡公園内）","北緯35度19分35.03秒東経136度55分44.19秒﻿ / ﻿北緯35.3263972度 東経136.9289417度﻿ /35.3263972; 136.9289417座標:北緯35度19分35.03秒東経136度55分44.19秒﻿ / ﻿北緯35.3263972度 東経136.9289417度﻿ /35.3263972; 136.9289417","4世紀中葉","墳丘長123m高さ12m（後円部）","前方後円墳","国の史跡「青塚古墳」","埴輪・石製品","断夫山古墳青塚古墳白鳥塚古墳","不明","青塚古墳群","（伝）大荒田命（邇波県君祖）","愛知県第2位の規模","茶臼山古墳/王塚/青塚砦","","","","","",""
"東之宮古墳","[東之宮古墳（犬山市、前方後方墳、国の史跡）] 木曽川左岸に東西に長くのびる白山平山（はくさんびらやま）山頂の西端頂に位置する。","https://ja.wikipedia.org/wiki/東之宮古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度23分24秒東経136度57分01秒","愛知県犬山市大字犬山","北緯35度23分24秒東経136度57分01秒﻿ / ﻿北緯35.39000度 東経136.95028度﻿ /35.39000; 136.95028座標:北緯35度23分24秒東経136度57分01秒﻿ / ﻿北緯35.39000度 東経136.95028度﻿ /35.39000; 136.95028","4世紀、または3世紀後葉","墳丘長67メートル","前方後方墳","1975年（昭和50年）国指定","銅鏡11面・石釧・鍬形石・鉄製武器・Y字型鉄器","東之宮古墳愛知県内の位置","竪穴式石槨","","","","","出土品（国の重要文化財）","","","","",""
"妙感寺古墳","[妙感寺古墳（犬山市、前方後円墳、県史跡）] 本墳が位置する標高は60m前後。本墳の西側は 木曽川 が内田地区に向かって大きく湾曲して形成した 河岸段丘 が発達しており、本墳はその端部に立地する。したがって北西側は15m前後の大きな段差が存在し、木曽川や対岸の鵜沼地区が一望できる。現在は 日蓮宗 一翁山 妙感寺 の境内に立地する。","https://ja.wikipedia.org/wiki/妙感寺古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度23分08秒東経136度56分51秒","愛知県犬山市大字犬山字山寺","北緯35度23分08秒東経136度56分51秒﻿ / ﻿北緯35.38556度 東経136.94750度﻿ /35.38556; 136.94750座標:北緯35度23分08秒東経136度56分51秒﻿ / ﻿北緯35.38556度 東経136.94750度﻿ /35.38556; 136.94750","5世紀前半","墳長95m　","前方後円墳","1975年　県指定史跡","なし","","不明","","","","","","","","","",""
"味美二子山古墳","[味美二子山古墳（春日井市、前方後円墳、国の史跡）] 前方部主軸を北西30°に向けた 前方後円墳 で墳丘は全長96 m の2段構築となっており、北東側に 造出 の存在が確認されているほか、墳丘を取り囲む盾型の 周濠 を持つ。同古墳には隣接して 味美白山神社古墳 と 御旅所古墳 があり、500mほど北西にある 味美春日山古墳 などとともに、味美古墳群を形成している。なお、主体部（埋葬施設）は不明だが、後述する複数の調査から築造時期は6世紀初頭とみられている。","https://ja.wikipedia.org/wiki/味美二子山古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度13分34秒東経136度56分12秒","愛知県春日井市二子町2","北緯35度13分34秒東経136度56分12秒﻿ / ﻿北緯35.22611度 東経136.93667度﻿ /35.22611; 136.93667","6世紀前半","全長96m後円部径48m、高さ8m前方部幅65m、長さ54mくびれ部幅38m","前方後円墳","国の史跡（1936年（昭和11年）12月16日指定）","円筒埴輪、須恵器ほか","","","味美古墳群","","","","","","","","",""
"正法寺古墳 (西尾市)","[正法寺古墳（西尾市、前方後円墳、国の史跡）] 医王山正法寺の北西の山中に位置する。","https://ja.wikipedia.org/wiki/正法寺古墳_(西尾市)","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯34度47分22秒東経137度05分08秒","愛知県西尾市吉良町乙川西大山","北緯34度47分22秒東経137度05分08秒﻿ / ﻿北緯34.78944度 東経137.08556度﻿ /34.78944; 137.08556","古墳時代中期前葉","全長94m　","前方後円墳","1936年　国の史跡に指定","円筒埴輪・形象埴輪・小型器台","","不明","","不明","","","","","","","",""
"安城市","[桜井古墳群（安城市）姫小川古墳（前方後円墳、国の史跡）二子古墳（前方後方墳、国の史跡）] 1906年（明治39年）に 碧海郡 安城村と周辺8村で 町制 を施行、1952年（昭和27年）に愛知県で13番目に 市制 を施行した。毎年夏には 安城七夕まつり が開催される。","https://ja.wikipedia.org/wiki/安城市","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯34度57分31.4秒東経137度4分49.2秒","〒446-8501愛知県安城市桜町18-23北緯34度57分31.4秒東経137度4分49.2秒﻿ / ﻿北緯34.958722度 東経137.080333度﻿ /34.958722; 137.080333﻿ (安城市)座標:北緯34度57分31.4秒東経137度4分49.2秒﻿ / ﻿北緯34.958722度 東経137.080333度﻿ /34.958722; 137.080333﻿ (安城市)","","","","","","","","","","","","","","公式ウェブサイト","日本","愛知県","86.05km2","中部地方、東海地方"
"姫小川古墳","[姫小川古墳（前方後円墳、国の史跡）] 矢作川 中流域西岸の沖積低地に面した 碧海台地 の東縁に立地。 古墳時代 前期ごろに築造されたと考えられている。 江戸時代 の薬師堂建造に伴う改変や戦後の埋め立てなどを経て現在に至る。築造当初前方部は長方形に近いと思われたが、実際は台形に近いことがわかっている。後円部の西側と北側に溝があるが、葺き石はない。 埴輪 （ 壺型埴輪 ）の小片などが出土している。1927年10月26日に、古墳は国史跡に指定された  。","https://ja.wikipedia.org/wiki/姫小川古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯34度54分55秒東経137度05分44秒","愛知県安城市姫小川町姫40ほか","北緯34度54分55秒東経137度05分44秒﻿ / ﻿北緯34.91528度 東経137.09556度﻿ /34.91528; 137.09556","古墳時代前期頃","全長66.0m　","前方後方墳","国の史跡（1927年10月26日）","","","","桜井古墳群","","","","","","","","",""
"二子古墳","[二子古墳（前方後方墳、国の史跡）] 二子古墳は 碧海台地 の東縁の 沖積平野 に突き出した突端に位置し、墳丘の北側には約1キロメートルにわたって開析谷が入り込み、南から南西側も小規模な谷となっている。墳頂部は標高18メートル、墳裾は標高12メートルで、沖積地との比高は3.5メートルを測る。本墳の東の沖積地には銅鏃や 須恵器 が出土した二タ子（ふたご）遺跡、南の台地直下の沖積地には 弥生時代 終末期から 古墳時代 前期の 土器 が多量に出土した桜林（おうりん）遺跡が所在する。本墳のすぐ北に 東海道新幹線 、西側墳裾を 県道44号 が通過しているが墳丘の保存状態は比較的良好である  。","https://ja.wikipedia.org/wiki/二子古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯34度55分44秒東経137度05分48秒","愛知県安城市桜井町二タ子・印内","北緯34度55分44秒東経137度05分48秒﻿ / ﻿北緯34.92889度 東経137.09667度﻿ /34.92889; 137.09667","古墳時代前期前半または前期中葉","全長68.2m　","前方後方墳","1927年　国の史跡に指定","なし","","不明","桜井古墳群","不明","","","","","","","",""
"西尾市","[岩場古墳（西尾市、県史跡）] 愛知県中央部を北から南へ流れる 矢作川 流域の南端にある。 抹茶 の産地（ 西尾茶 ）として、また「三河の 小京都 」として知られる。人口は愛知県第9位である。","https://ja.wikipedia.org/wiki/西尾市","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯34度51分42.6秒東経137度3分42.5秒","〒445-8501愛知県西尾市寄住町下田22番地北緯34度51分42.6秒東経137度3分42.5秒﻿ / ﻿北緯34.861833度 東経137.061806度﻿ /34.861833; 137.061806座標:北緯34度51分42.6秒東経137度3分42.5秒﻿ / ﻿北緯34.861833度 東経137.061806度﻿ /34.861833; 137.061806市庁舎位置","","","","","","","","","","","","","","公式ウェブサイト","日本","愛知県","161.22km2","中部地方、東海地方"
"馬越長火塚古墳","[馬越長火塚古墳（豊橋市、前方後円墳、国の史跡）] 1981年 （昭和56年）に愛知県 史跡 、 2016年 （平成28年）3月1日に隣接する大塚南古墳・口明塚南古墳と合わせ、「馬越長火塚古墳群」として国史跡に指定された。","https://ja.wikipedia.org/wiki/馬越長火塚古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","愛知県豊橋市石巻本町字紺屋谷","愛知県豊橋市石巻本町字紺屋谷","6世紀末葉","墳丘長70m高さ5.5m（後円部）","前方後円墳","国史跡","金銅装馬具（棘葉形杏葉）、ガラス製トンボ玉など","","横穴式石室","馬越長火塚古墳群","","","","","","","","",""
"宝塚古墳 (松阪市)","[宝塚古墳（松阪市、前方後円墳ほか、国の史跡）] 宝塚1号墳 は、宝塚古墳群の主墳。形状は 前方後円墳 。 1998 - 2000年 度（ 平成 10-12年度）に松阪市教育委員会による発掘調査が実施されている   。","https://ja.wikipedia.org/wiki/宝塚古墳_(松阪市)","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯34度32分59.12秒 東経136度30分55.03秒","","","","","","","","","","","","","","","","","","",""
"向山古墳 (松阪市)","[向山古墳（松阪市、前方後方墳、国の史跡）] 三重県中部、 中村川 右岸の丘陵端部頂に築造された古墳である  。 1914年 （ 大正 3年）に主体部の発掘が実施されている  。","https://ja.wikipedia.org/wiki/向山古墳_(松阪市)","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯34度36分42.98秒東経136度28分11.53秒","三重県松阪市嬉野下之庄町字向山・小野町字上ノ坂","北緯34度36分42.98秒東経136度28分11.53秒﻿ / ﻿北緯34.6119389度 東経136.4698694度﻿ /34.6119389; 136.4698694座標:北緯34度36分42.98秒東経136度28分11.53秒﻿ / ﻿北緯34.6119389度 東経136.4698694度﻿ /34.6119389; 136.4698694","4世紀後半","墳丘長82.2m高さ6.0m（後方部）","前方後方墳","国の史跡「向山古墳」","銅鏡・刀身・槍身・車輪石・石釧・筒形石製品・壺形土器","向山古墳","粘土槨","","","","","","","","","",""
"波敷野古墳群","[波敷野古墳群（伊賀市）] 波敷野古墳群 （はじきのこふんぐん）は、 三重県 伊賀市 波敷野にある 古墳群 。","https://ja.wikipedia.org/wiki/波敷野古墳群","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"石山古墳","[石山古墳（伊賀市、前方後円墳）] 洪積丘陵の一端を利用して造られた前方後円墳で、 葺石 の顕著なことから石山の名ができたといわれる。墳丘は全長120m、後円部径70m、前方部幅40mある。 円筒埴輪 列は3段に巡るが、さらに後円頂部の内側に長方形の円筒列を設け、またさらにその内側に、家、盾、蓋、 靫 などの形象埴輪がたてられていた。またクビレ部の墳丘外側にも長方形も円筒列があって、そこに多数の家型埴輪が置かれていた。","https://ja.wikipedia.org/wiki/石山古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯34度42分27.81秒東経136度10分22.59秒","三重県伊賀市才良","北緯34度42分27.81秒東経136度10分22.59秒﻿ / ﻿北緯34.7077250度 東経136.1729417度﻿ /34.7077250; 136.1729417﻿ (石山古墳)座標:北緯34度42分27.81秒東経136度10分22.59秒﻿ / ﻿北緯34.7077250度 東経136.1729417度﻿ /34.7077250; 136.1729417﻿ (石山古墳)","4世紀後半","墳丘長120m　","前方後円墳","","石製釧　銅鏡　甲冑","","粘土槨","","","","","","","","","",""
"御墓山古墳","[御墓山古墳（伊賀市、前方後円墳、国の史跡）] 三重県では最大規模の古墳で  、 5世紀 頃（ 古墳時代 中期）  の築造と推定される。","https://ja.wikipedia.org/wiki/御墓山古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯34度48分6.10秒東経136度10分23.77秒","三重県伊賀市佐那具町","北緯34度48分6.10秒東経136度10分23.77秒﻿ / ﻿北緯34.8016944度 東経136.1732694度﻿ /34.8016944; 136.1732694座標:北緯34度48分6.10秒東経136度10分23.77秒﻿ / ﻿北緯34.8016944度 東経136.1732694度﻿ /34.8016944; 136.1732694","5世紀","墳丘長188m高さ14m（後円部）","前方後円墳","国の史跡「御墓山古墳」","円筒埴輪・形象埴輪・家形埴輪など","御墓山古墳","不明","","伊賀地域首長（伝）大彦命","三重県第1位の規模佐紀陵山古墳と相似形","","","","","","",""
"美旗古墳群","[美旗古墳群（名張市、国の史跡）] 美旗古墳群 （みはたこふんぐん）は、 三重県 名張市 にある 古墳群 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/美旗古墳群","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯34度39分43.3秒 東経136度8分4.6秒","","","","","","","","","","","","","","","","","","",""
"能褒野王塚古墳","[能褒野王塚古墳（亀山市、前方後円墳、現日本武尊墓）] 実際の被葬者は明らかでないが、 宮内庁 により「 能褒野墓 （のぼののはか）」として第12代 景行天皇 皇子の 日本武尊 の墓に治定されている。別称を「丁子塚（ちょうじづか）」とも。","https://ja.wikipedia.org/wiki/能褒野王塚古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯34度53分4.36秒東経136度28分55.09秒","三重県亀山市田村町字女ヶ坂","北緯34度53分4.36秒東経136度28分55.09秒﻿ / ﻿北緯34.8845444度 東経136.4819694度﻿ /34.8845444; 136.4819694座標:北緯34度53分4.36秒東経136度28分55.09秒﻿ / ﻿北緯34.8845444度 東経136.4819694度﻿ /34.8845444; 136.4819694","4世紀末","墳丘長90m高さ8.5m（後円部）","前方後円墳","","円筒埴輪・器財埴輪","能褒野王塚古墳","（推定）竪穴式石室","能褒野古墳群","（宮内庁治定）日本武尊","","","","","","","",""
"白鳥塚古墳 (鈴鹿市)","[白鳥塚古墳（鈴鹿市、帆立貝形古墳、県史跡）] 正式名称は 白鳥塚古墳1号墳 で、三重県下最大の帆立貝式古墳である。","https://ja.wikipedia.org/wiki/白鳥塚古墳_(鈴鹿市)","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯34度54分05秒東経136度31分34秒","三重県鈴鹿市上田町","北緯34度54分05秒東経136度31分34秒﻿ / ﻿北緯34.90139度 東経136.52611度﻿ /34.90139; 136.52611座標:北緯34度54分05秒東経136度31分34秒﻿ / ﻿北緯34.90139度 東経136.52611度﻿ /34.90139; 136.52611","5世紀前半","墳長80m、高さ13m","帆立貝式古墳","昭和12年（1937年）三重県指定","円筒埴輪","","","","","","","","","","","",""
"明合古墳","[明合古墳（津市、双方中方墳、国の史跡）] 三重県中部、 安濃川 右岸の経ヶ峰から延びる台地上に築造された大型方墳である。 1949年 （ 昭和 24年）に古墳として発見されている  。","https://ja.wikipedia.org/wiki/明合古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯34度46分2.65秒東経136度26分23.22秒","三重県津市安濃町田端上野（明合古墳歴史公園内）","北緯34度46分2.65秒東経136度26分23.22秒﻿ / ﻿北緯34.7674028度 東経136.4397833度﻿ /34.7674028; 136.4397833座標:北緯34度46分2.65秒東経136度26分23.22秒﻿ / ﻿北緯34.7674028度 東経136.4397833度﻿ /34.7674028; 136.4397833","5世紀前半","一辺60m（墳丘長81m）高さ10m","方墳（または双方中方墳）","国の史跡「明合古墳」","埴輪・須恵器","明合古墳","不明","明合古墳群","","方墳としては全国第10位の規模","","","","","","",""
"津市","[岡南4号墳(津市、前方後円墳、市の史跡)] 伊勢平野 のほぼ中心部にあり、海沿いに市街地がある臨海都市である。人口は 四日市市 に次いで県内第2位。面積は県内最大である。 江戸時代 には 藤堂家 が治める 津藩 の 城下町 として栄えた。旧津市は日本で最初（ 1889年 〈 明治 22年〉 4月1日 ）に 市制 施行した31市の1つで、 この時点で市制施行をしたのは 東海地方 では津市のみ である。三重県内の 官公庁 や国の 出先機関 、文教施設が集約されており、三重県の行政・文教の中心地となっている。また、周辺 自治体 と共に人口50万人の 津都市圏 を形成し  、広義での 中京圏 に属している  。","https://ja.wikipedia.org/wiki/津市","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯34度43分6.4秒東経136度30分20.8秒","〒514-8611三重県津市西丸之内23番1号北緯34度43分6.4秒東経136度30分20.8秒﻿ / ﻿北緯34.718444度 東経136.505778度﻿ /34.718444; 136.505778座標:北緯34度43分6.4秒東経136度30分20.8秒﻿ / ﻿北緯34.718444度 東経136.505778度﻿ /34.718444; 136.505778市庁舎位置","","","","","","","","","","","","","","公式ウェブサイト","日本","三重県","711.19km2","東海地方、近畿地方"
"志摩市","[浜島古墳（志摩市、円墳、県史跡）] 2016年 、 第42回先進国首脳会議 （伊勢志摩サミット）が市内の 賢島 で開催されたことでも知られる  。","https://ja.wikipedia.org/wiki/志摩市","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯34度19分41.5秒東経136度49分46.8秒","〒517-0592三重県志摩市阿児町鵜方3098番地22北緯34度19分41.5秒東経136度49分46.8秒﻿ / ﻿北緯34.328194度 東経136.829667度﻿ /34.328194; 136.829667座標:北緯34度19分41.5秒東経136度49分46.8秒﻿ / ﻿北緯34.328194度 東経136.829667度﻿ /34.328194; 136.829667","","","","","","","","","","","","","","公式ウェブサイト","日本","三重県","178.95km2","東海地方、近畿地方"
"四日市市","[広古墳A群（四日市市、県史跡）] 人口は県庁所在地である 津市 を上回り、県内最大で、国から 施行時特例市 と 保健所政令市 の指定を受けている。また、 都市雇用圏 の人口は、 東海地方 では 名古屋市 、 浜松市 、 静岡市 、 岐阜市 、 豊橋市 に次いで第6位である。 また、 三重県 という県名は、四日市市にある地名が由来となっている。","https://ja.wikipedia.org/wiki/四日市市","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯34度57分54.1秒東経136度37分27.9秒","〒510-8601三重県四日市市諏訪町1番5号北緯34度57分54.1秒東経136度37分27.9秒﻿ / ﻿北緯34.965028度 東経136.624417度﻿ /34.965028; 136.624417座標:北緯34度57分54.1秒東経136度37分27.9秒﻿ / ﻿北緯34.965028度 東経136.624417度﻿ /34.965028; 136.624417","","","","","","","","","","","","","","公式ウェブサイト","日本","三重県","206.44km2","東海地方、近畿地方"
"多気郡","[坂本古墳群（多気郡明和町、県史跡）] 多気郡 （たきぐん）は、 三重県 （ 伊勢国 ）の 郡 。","https://ja.wikipedia.org/wiki/多気郡","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"高倉山古墳 (伊勢市)","[高倉山古墳（伊勢市、円墳、市の史跡）] 全国屈指の規模の 横穴式石室 を有することで知られるが、 伊勢神宮 外宮（ 豊受大神宮 ）の神域内に位置するため現在では立ち入りは制限されている。","https://ja.wikipedia.org/wiki/高倉山古墳_(伊勢市)","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯34度28分55.70秒東経136度41分56.83秒","三重県伊勢市豊川町（豊受大神宮神域内）","北緯34度28分55.70秒東経136度41分56.83秒﻿ / ﻿北緯34.4821389度 東経136.6991194度﻿ /34.4821389; 136.6991194座標:北緯34度28分55.70秒東経136度41分56.83秒﻿ / ﻿北緯34.4821389度 東経136.6991194度﻿ /34.4821389; 136.6991194","6世紀後半","直径35m以上高さ7.5m","円墳","伊勢市指定史跡「高倉山古墳」","金環・玉類・武器・馬具・須恵器・土師器","高倉山古墳","両袖式横穴式石室（高倉山型石室）","","（一説）度会氏首長","","","","","","","",""
"神郷亀塚古墳","[神郷亀塚古墳（東近江市、日本最古級の前方後方墳、県史跡）] かつては 前方後円墳 と考えられていたが、 2000年 12月に行われた第2次調査によって前方後方墳であることが判明し、その後、それまで35.5mとされていた全長も更に1m長いことが分かっている。","https://ja.wikipedia.org/wiki/神郷亀塚古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","","東近江市長勝寺町小字八ノ坪310","","3世紀前半","全長36.5m、高さ3.8m（高さ推定・約5.3m)","前方後方墳","県指定史跡","","","","","","","","","","","","",""
"安土瓢箪山古墳","[安土瓢箪山古墳（近江八幡市、前方後円墳、国の史跡）] 滋賀県では最大規模の古墳で  、 4世紀 中葉（ 古墳時代 前期）頃の築造と推定される。","https://ja.wikipedia.org/wiki/安土瓢箪山古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度8分31.50秒東経136度8分54.25秒","滋賀県近江八幡市安土町宮津","北緯35度8分31.50秒東経136度8分54.25秒﻿ / ﻿北緯35.1420833度 東経136.1484028度﻿ /35.1420833; 136.1484028座標:北緯35度8分31.50秒東経136度8分54.25秒﻿ / ﻿北緯35.1420833度 東経136.1484028度﻿ /35.1420833; 136.1484028","4世紀中葉","墳丘長134m高さ13m（後円部）","前方後円墳","国の史跡「瓢箪山古墳」","副葬品多数・埴輪","安土瓢箪山古墳","後円部：竪穴式石室3基前方部：箱式石棺2基","","","滋賀県第1位の規模","","","","","","",""
"鴨稲荷山古墳","[鴨稲荷山古墳（高島市、前方後円墳、県史跡、男大迹（継体）に妃を出した有力豪族の墓とする説がある）] 6世紀 前半の築造とされる。刳抜式の 家形石棺 とともに多数の豪華副葬品が出土したことで知られる。","https://ja.wikipedia.org/wiki/鴨稲荷山古墳","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度19分1.56秒東経136度0分51.4秒","滋賀県高島市鴨","北緯35度19分1.56秒東経136度0分51.4秒﻿ / ﻿北緯35.3171000度 東経136.014278度﻿ /35.3171000; 136.014278﻿ (稲荷山古墳)","6世紀前半","（推定）墳丘長50m","前方後円墳","滋賀県指定史跡「稲荷山古墳」","冠・環頭大刀・杏葉など副葬品多数","稲荷山古墳","刳抜式家形石棺","","（推定）三尾君首長（推定）第26代継体天皇の皇子","","","","","","","",""
"大津市","[唐臼山古墳（大津市、古墳後期、被葬者を小野妹子とみる説がある）] 天智天皇 が 近江大津宮 に 遷都 して以来、1350年以上の歴史を有する 古都 である  。戦時中の被災や自然災害が少なかったことにより、 世界文化遺産 の 延暦寺 、 園城寺 （三井寺）、 日吉大社 、 石山寺 などの古社寺をはじめ、多くの 文化財 や 史跡 、 名勝 が現存する。市町村単位での国指定文化財保有件数は、 京都市 、 奈良市 に次いで、全国で3番目に多い  。県下随一の規模と歴史を有し、第1回 地域ブランド に認定された おごと温泉 や、日本三名橋の一つ 瀬田の唐橋 、 かるた の聖地として知られる 近江神宮 、 松尾芭蕉 の墓（ 義仲寺 ）、 明智光秀 一族の墓（ 西教寺 ）、都市近郊型高原リゾート びわ湖バレイ も所在する。また、夏は ウォータースポーツ や トレッキング 、冬は スキー などのアウトドアが盛んである。","https://ja.wikipedia.org/wiki/大津市","日本の古墳一覧","https://ja.wikipedia.org/wiki/日本の古墳一覧","箇条書き,制限あり","北緯35度1分4.1秒東経135度51分17秒","〒520-8575滋賀県大津市御陵町3番1号北緯35度1分4.1秒東経135度51分17秒﻿ / ﻿北緯35.017806度 東経135.85472度﻿ /35.017806; 135.85472座標:北緯35度1分4.1秒東経135度51分17秒﻿ / ﻿北緯35.017806度 東経135.85472度﻿ /35.017806; 135.85472","","","","","","","","","","","","","","公式ウェブサイト","日本","滋賀県","464.51km2","近畿地方"
