"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","種類","国・地域","運営者","標高","方向","運用時間","公式サイト","敷地面積","開港","旅客数","貨物取扱量","所有者","母都市","発着回数","所在部隊","開設","面積","国"
"札幌飛行場","[札幌飛行場〔北海道札幌市東区〕丘珠駐屯地（陸自）丘珠空港（民間）] 札幌飛行場は、陸上自衛隊の専用飛行場（ 軍用飛行場 ）であったが、 1961年 に公共用飛行場として指定と民間機の乗り入れが開始され、空港施設の名称から「丘珠空港」と通称されている。設置管理者は防衛省となっており、陸上自衛隊丘珠駐屯地との共用飛行場となっている。","https://ja.wikipedia.org/wiki/札幌飛行場","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯43度07分03秒東経141度22分53秒","北海道札幌市","軍民共用","日本","陸上自衛隊","8m(26.2ft)","14/32","7:30 - 20:30","丘珠空港","","","173,920人","13.7t","防衛省","","","","","",""
"千歳基地","[千歳飛行場〔北海道千歳市〕千歳基地（空自）千歳航空基地（海保）千歳空港（民間） ※通常は、民間は未使用。隣接の新千歳空港と誘導路で接続しているほか管制等は一体で行われている。] 基地司令 は第2航空団司令が兼務する。航空自衛隊基地としては、 アメリカ軍 から返還後 1957年 開庁。東側（18L/36R）滑走路の北側には、滑走路の移動に伴ってできた1,000 メートル もの着陸帯が取られており、物理的には実質4,000m級である（ただし、市街地に隣接しているため、通常は着陸帯を使用することはない）。","https://ja.wikipedia.org/wiki/千歳基地","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯42度47分40秒東経141度39分59秒","北海道千歳市","軍用","日本","航空自衛隊","27m","18L/36R","","https://www.mod.go.jp/asdf/chitose/","","","","","","","","","1926年10月22日","",""
"新千歳空港","[千歳空港（民間） ※通常は、民間は未使用。隣接の新千歳空港と誘導路で接続しているほか管制等は一体で行われている。] 北海道の経済・文化の中心地・ 札幌市 の南東約40kmに位置する国内線の基幹空港。 空港法 に基づいて 国土交通大臣 が設置・管理する 国管理空港 で、国際線や国内線の拠点空港に区分される。空港の利用者数は国内で5番目に多い  。また、旅客数では羽田-新千歳線が世界一位になったこともある。北海道では最大の空港で、鉄道や高速道路もよく整備されているため、実質的に北海道の空の玄関口となっている。","https://ja.wikipedia.org/wiki/新千歳空港","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯42度46分30秒東経141度41分32秒","北海道千歳市","商業","日本","北海道エアポート","21.3m","01L/19R","24時間","新千歳空港","726ha","1988年7月20日","21,545,032","204,693","国土交通省","札幌市","72,676","","","",""
"二海郡","[八雲飛行場〔北海道二海郡八雲町〕八雲分屯基地（空自） ※代替滑走路として管理され、航空機等の配備はない。] 二海郡 （ふたみぐん）は、 北海道 渡島総合振興局 の 郡 。","https://ja.wikipedia.org/wiki/二海郡","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"八雲分屯基地","[八雲分屯基地（空自） ※代替滑走路として管理され、航空機等の配備はない。] 八雲飛行場 （やくもひこうじょう、Yakumo Air Base）は、航空自衛隊八雲分屯基地内にある 飛行場 である。有事の際は、 代替滑走路 として使用される。「室蘭八雲飛行場」と称されることもある。","https://ja.wikipedia.org/wiki/八雲分屯基地","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯42度14分44秒東経140度16分01秒","","","軍用","航空自衛隊","24m","12/30","","","","","","","防衛省","","","","","",""
"むつ市","[大湊飛行場〔青森県むつ市〕大湊航空基地（海自）] むつ市 （むつし）は、 青森県 東北部、 下北地方 に位置する 市 である。","https://ja.wikipedia.org/wiki/むつ市","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯41度17分34.2秒東経141度11分1秒","〒035-8686青森県むつ市中央一丁目8番1号北緯41度17分34.2秒東経141度11分1秒﻿ / ﻿北緯41.292833度 東経141.18361度﻿ /41.292833; 141.18361むつ市役所 新庁舎（2009年8月5日撮影）","","","","","","","","","","","","","","","","","864.12km2","日本"
"大湊基地","[大湊航空基地（海自）] 大湊航空基地 （おおみなとこうくうきち）は、 青森県 むつ市 にある 海上自衛隊 大湊基地内にある 飛行場 である。これまで 大湊地方隊 隷下の「大湊航空隊」（大空）が置かれていたが、 2008年 （平成20年） 3月26日 の海上自衛隊体制移行による部隊再編に伴い、「大湊航空隊」は 第21航空群 隷下に編入され「第25航空隊」に改編された。","https://ja.wikipedia.org/wiki/大湊基地","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯41度14分04秒東経141度08分00秒","青森県むつ市","軍用","日本","海上自衛隊","7m","04/22","","","","","","","防衛省","","","第25航空隊","","",""
"三沢飛行場","[三沢飛行場〔青森県三沢市〕三沢基地（米空・空自）三沢空港（民間）] 三沢飛行場（三沢空港）は、青森県の太平洋岸東南部にある三沢市の市街地の外れ、市域のほぼ中央に位置し（三沢市中央部までバスで約15分）、青森県東部の玄関口となる空港であり、また本州の空港としては最東端に位置する。","https://ja.wikipedia.org/wiki/三沢飛行場","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯40度42分19秒東経141度22分19秒","青森県三沢市大字三沢字下タ沢83番地198","軍民共用","日本","アメリカ空軍","36m(119ft)","10/28","","航空自衛隊 三沢基地三沢空港ターミナル","","","","","防衛省","","","アメリカ空軍第35戦闘航空団航空自衛隊第3航空団","1941年","",""
"八戸市","[八戸飛行場〔青森県八戸市〕八戸航空基地（海自）] 八戸市 （はちのへし）は、 青森県 東部に位置し、 太平洋 に面する 市 である。 中核市 に指定されており、 青森市 や 弘前市 と共に、青森県主要3市の一角を構成する。","https://ja.wikipedia.org/wiki/八戸市","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯40度30分44.2秒東経141度29分18.2秒","〒031-8686（八戸市庁）青森県八戸市内丸一丁目1番1号北緯40度30分44.2秒東経141度29分18.2秒﻿ / ﻿北緯40.512278度 東経141.488389度﻿ /40.512278; 141.488389","","","","","","","","","","","","","","","","","305.56km2","日本"
"八戸航空基地","[八戸航空基地（海自）] 八戸航空基地 （はちのへこうくうきち、JMSDF Hachinohe Air Base）は、 青森県 八戸市 大字河原木字八太郎山官地に所在する、 海上自衛隊 の 基地 である。 八戸飛行場 とも呼ばれる。","https://ja.wikipedia.org/wiki/八戸航空基地","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯40度33分07秒東経141度28分02秒","青森県八戸市大字河原木字八太郎山官地","軍用","日本","海上自衛隊","46m(150ft)","07/25","","","","","","","防衛省","","","第2航空群","1941年","",""
"八戸駐屯地","[八戸駐屯地飛行場〔青森県八戸市〕八戸駐屯地（陸自） ※八戸航空基地・八戸飛行場と隣接するが、独自の滑走路を持つ。] 八戸駐屯地 （はちのへちゅうとんち、JGSDF Camp Hachinohe）は、 青森県 八戸市 大字市川町字桔梗野官地に所在し、 第4地対艦ミサイル連隊 等が駐屯する 陸上自衛隊 の 駐屯地 である。","https://ja.wikipedia.org/wiki/八戸駐屯地","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯40度33分24秒 東経141度27分58秒","青森県八戸市大字市川町字桔梗野官地","","","","","","","","","","","","","","","","","",""
"八戸駐屯地","[八戸駐屯地（陸自） ※八戸航空基地・八戸飛行場と隣接するが、独自の滑走路を持つ。] 八戸駐屯地 （はちのへちゅうとんち、JGSDF Camp Hachinohe）は、 青森県 八戸市 大字市川町字桔梗野官地に所在し、 第4地対艦ミサイル連隊 等が駐屯する 陸上自衛隊 の 駐屯地 である。","https://ja.wikipedia.org/wiki/八戸駐屯地","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯40度33分24秒 東経141度27分58秒","青森県八戸市大字市川町字桔梗野官地","","","","","","","","","","","","","","","","","",""
"東松島市","[松島飛行場〔宮城県東松島市〕松島基地（空自） ※曲芸飛行隊「ブルーインパルス」の本拠地である。] 東松島市 （ひがしまつしまし）は、 宮城県 の中部に位置する 市 である。 仙台湾 沿岸にある。","https://ja.wikipedia.org/wiki/東松島市","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯38度25分34.5秒東経141度12分37.5秒","〒981-0503宮城県東松島市矢本字上河戸36-1北緯38度25分34.5秒東経141度12分37.5秒﻿ / ﻿北緯38.426250度 東経141.210417度﻿ /38.426250; 141.210417","","","","","","","","","","","","","","","","","101.36km2","日本"
"松島基地","[松島基地（空自） ※曲芸飛行隊「ブルーインパルス」の本拠地である。] 所属する航空部隊は F-2B の操縦訓練を実施する 第21飛行隊 （第4航空団隷下）、自衛隊の 展示飛行隊 である 第11飛行隊 （ ブルーインパルス 、第4航空団隷下）、 捜索救難 を行う 松島救難隊 （ 航空救難団 隷下）である。","https://ja.wikipedia.org/wiki/松島基地","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯38度24分17秒東経141度13分10秒","宮城県東松島市矢本字板取85","軍用","日本","航空自衛隊","2m(6ft)","07/25","24時間","","","","","","防衛省","","","第4航空団","","",""
"仙台市","[霞目飛行場〔宮城県仙台市若林区〕霞目駐屯地（陸自）] 仙台市 （せんだいし）は、 宮城県 の中部に位置する 市 。宮城県の 県庁所在地 であり、 東北地方 唯一の 政令指定都市 。人口約109.7万人を有し、東北地方最大の 都市 でもある  。","https://ja.wikipedia.org/wiki/仙台市","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯38度16分5.6秒東経140度52分9.9秒","〒980-8671宮城県仙台市青葉区国分町三丁目7番1号北緯38度16分5.6秒東経140度52分9.9秒﻿ / ﻿北緯38.268222度 東経140.869417度﻿ /38.268222; 140.869417座標:北緯38度16分5.6秒東経140度52分9.9秒﻿ / ﻿北緯38.268222度 東経140.869417度﻿ /38.268222; 140.869417市庁舎位置","","","","","","","","","","","","","","","","","786.30km2","日本"
"霞目駐屯地","[霞目駐屯地（陸自）] 霞目駐屯地 （かすみのめちゅうとんち）は、 宮城県 仙台市 若林区 霞目1-1-1に所在する、 東北方面航空隊 等が駐屯する 陸上自衛隊 の 駐屯地 である。","https://ja.wikipedia.org/wiki/霞目駐屯地","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯38度14分08秒 東経140度55分23秒","宮城県仙台市若林区霞目1-1-1","","","","","","","","","","","","","","","","","",""
"百里飛行場","[百里飛行場〔茨城県小美玉市〕百里基地（空自）茨城空港（民間）] 百里飛行場 （ひゃくりひこうじょう）は、 茨城県 小美玉市 百里 ・与沢にある自衛隊と民間の共用 飛行場 である。","https://ja.wikipedia.org/wiki/百里飛行場","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯36度11分00秒東経140度25分14秒","茨城県小美玉市百里・与沢","軍民共用","日本","航空自衛隊","32m(105ft)","03R/21L","24時間","百里基地茨城空港","","","","","防衛省","","","中部航空方面隊第7航空団航空救難団百里救難隊","","",""
"土浦市","[霞ヶ浦飛行場〔茨城県土浦市〕霞ヶ浦駐屯地（陸自）] 土浦市 （つちうらし）は、 茨城県 の 県南地域 に位置する 人口 約14万人の 市 。 業務核都市 、 国際会議観光都市 。","https://ja.wikipedia.org/wiki/土浦市","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","","〒300-0036茨城県土浦市大和町9番1号","","","","","","","","","","","","","","","","","122.89km2","日本"
"霞ヶ浦駐屯地","[霞ヶ浦駐屯地（陸自）] 霞ヶ浦駐屯地 （かすみがうらちゅうとんち、JGSDF Camp Kasumigaura）は、 茨城県 土浦市 右籾町2410および 阿見町 に所在し、関東補給処等が駐屯する 陸上自衛隊 の 駐屯地 である。","https://ja.wikipedia.org/wiki/霞ヶ浦駐屯地","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯36度2分4秒東経140度11分35秒","茨城県土浦市右籾町2410","","","","","","","","","","","","","","","","","",""
"宇都宮市","[宇都宮飛行場〔栃木県宇都宮市〕北宇都宮駐屯地（陸自）] 宇都宮市 （うつのみやし）は、 栃木県 の中部に位置する 市 。栃木県の 県庁所在地 で、 中核市 に指定されている。","https://ja.wikipedia.org/wiki/宇都宮市","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯36度33分18.4秒東経139度52分57.2秒","〒320-8540栃木県宇都宮市旭一丁目1番5号北緯36度33分18.4秒東経139度52分57.2秒﻿ / ﻿北緯36.555111度 東経139.882556度﻿ /36.555111; 139.882556","","","","","","","","","","","","","","","","","416.85km2","日本"
"北宇都宮駐屯地","[北宇都宮駐屯地（陸自）] 北宇都宮駐屯地 （きたうつのみやちゅうとんち、JGSDF Camp Kita-Utunomiya）は、 栃木県 宇都宮市 上横田町1360に所在し、 航空学校宇都宮校 等が駐屯する 陸上自衛隊 の 駐屯地 である。","https://ja.wikipedia.org/wiki/北宇都宮駐屯地","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯36度30分53秒東経139度52分14秒","栃木県宇都宮市上横田町1360","","","","","","","","","","","","","","","","","",""
"北群馬郡","[相馬原飛行場〔群馬県北群馬郡榛東村〕相馬原駐屯地（陸自）] 北群馬郡 （きたぐんまぐん）は、 群馬県 にある 郡 である。","https://ja.wikipedia.org/wiki/北群馬郡","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"相馬原駐屯地","[相馬原駐屯地（陸自）] 相馬原駐屯地 （そうまがはらちゅうとんち、JGSDF Camp Soumagahara）は、 群馬県 北群馬郡 榛東村 大字新井1017-2に所在し、 第12旅団 司令部等が駐屯する 陸上自衛隊 の 駐屯地 である。","https://ja.wikipedia.org/wiki/相馬原駐屯地","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯36度26分05秒東経138度57分11秒","〒370-3503群馬県北群馬郡榛東村大字新井1017-2","","","","","","","","","","","","","","","","","",""
"狭山市","[入間飛行場〔埼玉県狭山市・入間市〕入間基地（空自）] 狭山市 （さやまし）は、 埼玉県 の南西部に位置する 市 。","https://ja.wikipedia.org/wiki/狭山市","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯35度51分10.7秒東経139度24分43.9秒","〒350-1380埼玉県狭山市入間川一丁目23番5号北緯35度51分10.7秒東経139度24分43.9秒﻿ / ﻿北緯35.852972度 東経139.412194度﻿ /35.852972; 139.412194","","","","","","","","","","","","","","","","","48.99km2","日本"
"入間基地","[入間基地（空自）] 入間基地 （いるまきち、JASDF Iruma Air Base）は、 埼玉県 狭山市 ・ 入間市 域にまたがる 航空自衛隊 の基地。所在地は埼玉県狭山市稲荷山2-3。","https://ja.wikipedia.org/wiki/入間基地","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯35度50分31秒東経139度24分38秒","埼玉県狭山市・入間市","軍用","日本","航空自衛隊","90m(295ft)","17/35","24時間","","","","","","防衛省","","","中部航空方面隊中部航空警戒管制団第1高射群航空救難団第2輸送航空隊第3補給処第4補給処ほか","","",""
"横田飛行場","[横田飛行場〔東京都福生市、西多摩郡瑞穂町ほか〕横田基地（米空・空自）※航空自衛隊航空総隊司令部の他、在日米軍司令部、第5空軍司令部、国連軍（朝鮮戦争）後方司令部、日米共同統合作戦調整センターなどが置かれている。] 大日本帝国陸軍 の航空部隊の基地として開設され、 第二次世界大戦中 は、 イタリア軍 の大型輸送機の「 サヴォイア・マルケッティ SM.75 GA RT」により、イタリアと日本の長距離飛行を行ったり  、大戦末期には首都圏防衛の戦闘機基地となった。","https://ja.wikipedia.org/wiki/横田飛行場","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯35度44分55秒東経139度20分55秒","東京都福生市、瑞穂町、武蔵村山市、羽村市、立川市、昭島市","軍用飛行場","日本","アメリカ空軍、航空自衛隊","","18/36","24時間","https://www.yokota.af.mil/","","","","","在日米軍","","","在日アメリカ軍司令部在日アメリカ空軍司令部アメリカ第5空軍司令部アメリカ第5空軍第374空輸航空団航空自衛隊航空総隊司令部航空自衛隊航空戦術教導団司令部","1940年","",""
"立川飛行場","[立川飛行場〔東京都立川市〕立川駐屯地（陸自） ※警視庁・海上保安庁・東京消防庁と共同の立川広域防災基地が置かれている。] 立川飛行場 （たちかわひこうじょう）は、 東京都 立川市 に所在する 防衛省 所管の 軍用飛行場 。旧立川陸軍飛行場は立川市と 昭島市 にまたがって所在していた。 1945年 （ 昭和 20年）から 1977年 （昭和52年）までは 在日米軍 の 空軍 基地でもあった。","https://ja.wikipedia.org/wiki/立川飛行場","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯35度42分39秒東経139度24分11秒","東京都立川市","軍用","日本","陸上自衛隊","95m","01/19","8:30-17:00 (JST)","","","","","","防衛省","","","東部方面航空隊第1飛行隊警視庁航空隊東京消防庁航空隊","1922年","",""
"立川駐屯地","[立川駐屯地（陸自） ※警視庁・海上保安庁・東京消防庁と共同の立川広域防災基地が置かれている。] 立川駐屯地 （たちかわちゅうとんち、JGSDF Camp Tachikawa）は、 東京都 立川市 緑町 5に所在し、 東部方面航空隊 等が駐屯する 陸上自衛隊 の 駐屯地 である。","https://ja.wikipedia.org/wiki/立川駐屯地","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯35度42分39秒東経139度24分11秒","東京都立川市緑町5","","","","","","","","","","","","","","","","","",""
"小笠原村","[硫黄島飛行場〔東京都小笠原村硫黄島〕硫黄島航空基地（海自）硫黄島分屯基地（空自）] 小笠原村 （おがさわらむら）は、 東京都 の 島嶼部 に位置する 村 。","https://ja.wikipedia.org/wiki/小笠原村","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯27度5分39.1秒東経142度11分30.9秒","〒100-2101東京都小笠原村父島字西町北緯27度5分39.1秒東経142度11分30.9秒﻿ / ﻿北緯27.094194度 東経142.191917度﻿ /27.094194; 142.191917座標:北緯27度5分39.1秒東経142度11分30.9秒﻿ / ﻿北緯27.094194度 東経142.191917度﻿ /27.094194; 142.191917村役場位置","","","","","","","","","","","","","","","","","106.78km2","日本"
"硫黄島航空基地","[硫黄島航空基地（海自）] 硫黄島航空基地 （いおうとうこうくうきち）とは、 東京都 小笠原村 硫黄島 内にある 硫黄島 飛行場 を 海上自衛隊 の硫黄島航空基地隊と 航空自衛隊 の硫黄島分屯基地が運営・統制する実態を表す通称  。","https://ja.wikipedia.org/wiki/硫黄島航空基地","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯24度47分12秒東経141度19分27秒","東京都小笠原村硫黄島","軍用飛行場","日本","海上自衛隊","113m(370ft)","07/25","24時間","","","","","","防衛省","","","海上自衛隊硫黄島航空基地隊航空自衛隊硫黄島基地隊","1968年6月26日（暫定）1970年5月9日（硫黄島飛行場）","",""
"小笠原村","[南鳥島航空基地飛行場〔東京都小笠原村南鳥島〕南鳥島航空基地（海自）] 小笠原村 （おがさわらむら）は、 東京都 の 島嶼部 に位置する 村 。","https://ja.wikipedia.org/wiki/小笠原村","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯27度5分39.1秒東経142度11分30.9秒","〒100-2101東京都小笠原村父島字西町北緯27度5分39.1秒東経142度11分30.9秒﻿ / ﻿北緯27.094194度 東経142.191917度﻿ /27.094194; 142.191917座標:北緯27度5分39.1秒東経142度11分30.9秒﻿ / ﻿北緯27.094194度 東経142.191917度﻿ /27.094194; 142.191917村役場位置","","","","","","","","","","","","","","","","","106.78km2","日本"
"南鳥島航空基地","[南鳥島航空基地（海自）] 南鳥島航空基地 （みなみとりしまこうくうきち）は、 東京都 小笠原村 南鳥島 に所在し、 海上自衛隊 硫黄島航空基地隊 の分遣隊である南鳥島航空派遣隊等が配置されて、島の 飛行場 施設の運用や国境警備に当たっている  。","https://ja.wikipedia.org/wiki/南鳥島航空基地","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯24度17分23秒東経153度58分45秒","東京都小笠原村南鳥島","軍用","日本","海上自衛隊","7m(22ft)","05/23","","","","","","","防衛省","","","南鳥島航空派遣隊","","",""
"座間市","[キャスナー飛行場〔神奈川県座間市、相模原市南区〕キャンプ座間（米陸）] 座間市 （ざまし）は、 神奈川県 の中部に位置する 市 。人口は約13.2万人。","https://ja.wikipedia.org/wiki/座間市","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯35度29分18.9秒東経139度24分27.4秒","〒252-8566神奈川県座間市緑ケ丘一丁目1番1号北緯35度29分18.9秒東経139度24分27.4秒﻿ / ﻿北緯35.488583度 東経139.407611度﻿ /35.488583; 139.407611座標:北緯35度29分18.9秒東経139度24分27.4秒﻿ / ﻿北緯35.488583度 東経139.407611度﻿ /35.488583; 139.407611","","","","","","","","","","","","","","","","","17.57km2","日本"
"厚木海軍飛行場","[厚木海軍飛行場〔神奈川県綾瀬市、大和市〕厚木航空施設（米海）厚木航空基地（海自）] 厚木海軍飛行場 （あつぎかいぐんひこうじょう）は、 神奈川県 綾瀬市 と 大和市 にまたがる 軍用飛行場 で、 アメリカ海軍 と 海上自衛隊 が共同で使用している 軍事基地 。県内で唯一、 固定翼 ジェット機 が離着陸できる航空施設である。 航空管制 は海上自衛隊が行なっている。","https://ja.wikipedia.org/wiki/厚木海軍飛行場","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯35度27分16.6秒東経139度27分0.6秒","神奈川県綾瀬市・大和市","軍用","日本","海上自衛隊","62m(203ft)","01/19","24時間","","","","","","","","","海上自衛隊第4航空群アメリカ海軍第5空母航空団","","",""
"柏市","[下総飛行場〔千葉県柏市・鎌ケ谷市〕下総航空基地（海自）] 柏市 （かしわし）は、 千葉県 の北西部に位置する 市 。 中核市 に指定されている。","https://ja.wikipedia.org/wiki/柏市","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯35度52分3.3秒東経139度58分32.7秒","〒277-8505千葉県柏市柏五丁目10番1号北緯35度52分3.3秒東経139度58分32.7秒﻿ / ﻿北緯35.867583度 東経139.975750度﻿ /35.867583; 139.975750","","","","","","","","","","","","","","","","","114.74km2","日本"
"下総航空基地","[下総航空基地（海自）] 下総航空基地 （しもふさこうくうきち、JMSDF Shimofusa Air Base）は、 千葉県 柏市 にある 海上自衛隊 の 飛行場 ・航空基地。","https://ja.wikipedia.org/wiki/下総航空基地","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯35度47分56秒東経140度00分44秒","千葉県柏市・鎌ケ谷市","軍用","日本","海上自衛隊","30m","01/19","","","","","","","防衛省","","","下総教育航空群","1945年","",""
"木更津市","[木更津飛行場〔千葉県木更津市〕木更津駐屯地（陸自）] 木更津市 （きさらづし）は、 千葉県 の中西部に位置する 市 。","https://ja.wikipedia.org/wiki/木更津市","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯35度22分33.5秒東経139度55分0.6秒","〒292-8501千葉県木更津市富士見一丁目2番1号北緯35度22分33.5秒東経139度55分0.6秒﻿ / ﻿北緯35.375972度 東経139.916833度﻿ /35.375972; 139.916833","","","","","","","","","","","","","","","","","138.95km2","日本"
"木更津駐屯地","[木更津駐屯地（陸自）] 木更津駐屯地 （きさらづちゅうとんち、JGSDF Camp Kisarazu）は、 千葉県 木更津市 吾妻地先に所在し、 第1ヘリコプター団 等が駐屯する 陸上自衛隊 の 駐屯地 である。","https://ja.wikipedia.org/wiki/木更津駐屯地","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯35度23分53秒東経139度54分39秒","千葉県木更津市吾妻地先","","","","","","","","","","","","","","","","","",""
"館山市","[館山飛行場〔千葉県館山市〕館山航空基地（海自）] 館山市 （たてやまし）は、 千葉県 の南部に位置する 市 。","https://ja.wikipedia.org/wiki/館山市","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度59分47.7秒東経139度52分11.9秒","〒294-8601千葉県館山市北条 1145-1北緯34度59分47.7秒東経139度52分11.9秒﻿ / ﻿北緯34.996583度 東経139.869972度﻿ /34.996583; 139.869972","","","","","","","","","","","","","","","","","110.05km2","日本"
"館山航空基地","[館山航空基地（海自）] 館山航空基地 （たてやまこうくうきち、JMSDF Tateyama Air Base）は、 千葉県 館山市 に所在する 海上自衛隊 の 軍用飛行場 である。艦載哨戒ヘリ SH-60J ・ SH-60K と救難ヘリ UH-60J を運用する 第21航空群 の航空基地となっている。","https://ja.wikipedia.org/wiki/館山航空基地","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度59分14秒東経139度49分43秒","千葉県館山市宮城無番地","軍用","日本","海上自衛隊","3m(10ft)","09/27","24時間","","","","","","防衛省","","","第21航空群","1930年","",""
"焼津市","[静浜飛行場〔静岡県焼津市〕静浜基地（空自）] 焼津市 （やいづし）は、 静岡県 中部に位置する 市 。","https://ja.wikipedia.org/wiki/焼津市","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度52分01秒東経138度19分24秒","〒425-8502静岡県焼津市本町二丁目16番32号北緯34度52分01秒東経138度19分24秒﻿ / ﻿北緯34.866889度 東経138.32325度﻿ /34.866889; 138.32325座標:北緯34度52分01秒東経138度19分24秒﻿ / ﻿北緯34.866889度 東経138.32325度﻿ /34.866889; 138.32325市庁舎位置","","","","","","","","","","","","","","","","","70.31km2","日本"
"静浜基地","[静浜基地（空自）] 静浜基地 （しずはまきち、JASDF Shizuhama Airbase）は、第11飛行教育団等が配置されている 航空自衛隊 の 基地 である。 基地司令 は、第11飛行教育団司令が兼務。","https://ja.wikipedia.org/wiki/静浜基地","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度48分46秒東経138度17分53秒","静岡県焼津市","軍用","日本","航空自衛隊","7m(23ft)","09/27","","","","","","","防衛省","","","第11飛行教育団静岡県警航空隊","1944年","",""
"浜松市","[浜松飛行場〔静岡県浜松市〕浜松基地（空自）] 浜松市 （はままつし）は、 静岡県 西部、 遠州 地方に位置する 市 。 政令指定都市 と 国際会議観光都市 に指定されている。 中部地方 では 名古屋市 に次ぐ  、静岡県最大の都市である   。","https://ja.wikipedia.org/wiki/浜松市","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度42分39秒東経137度43分39秒","〒430-0946静岡県浜松市中区元城町103番地の2北緯34度42分39秒東経137度43分39秒﻿ / ﻿北緯34.71083度 東経137.72750度﻿ /34.71083; 137.72750座標:北緯34度42分39秒東経137度43分39秒﻿ / ﻿北緯34.71083度 東経137.72750度﻿ /34.71083; 137.72750市庁舎位置","","","","","","","","","","","","","","","","","1,558.06km2（境界未定部分あり）","日本"
"浜松基地","[浜松基地（空自）] 航空自衛隊 浜松基地 （はままつきち、JASDF Hamamatsu Airbase）は、 静岡県 浜松市 西区 西山町無番地にある 航空自衛隊 の基地。以前は浜松飛行場を中心に南・北の基地が併設されていたが、現在は統合されて一つの基地になっている。","https://ja.wikipedia.org/wiki/浜松基地","日本の空港","https://ja.wikipedia.org/wiki/日本の空港","箇条書き,制限あり","北緯34度45分01秒東経137度42分11秒","静岡県浜松市西区西山町","軍用","日本","航空自衛隊","46m(150ft)","09/27","","","","","","","防衛省","","","第1航空団警戒航空団ほか","1925年","",""
