"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","国","交差物件","全長","形式","幅","建設","最大支間長","材料","路線名","用途","高さ","管理者","開通","竣工","着工","施工者","起点","終点"
"関屋大橋","[関屋大橋（新潟県新潟市中央区、西区）] 関屋大橋 （せきやおおはし）は、 新潟県 新潟市 の 関屋分水 に架かる 新潟県道16号新潟亀田内野線 の 道路 橋梁 。左岸は 中央区 、右岸は 西区 の区域にあたる。","https://ja.wikipedia.org/wiki/関屋大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","新潟県新潟市西区（左岸）新潟県新潟市中央区（右岸）","日本","関屋分水","278.7m","","17.3 m","-1971年","","","","","","","","","","","",""
"阿賀野川深戸橋梁","[阿賀野川深戸橋梁（阿賀町）架け替えで落下式を日本で初めて採用] 阿賀野川深戸橋梁 （あがのがわふかどきょうりょう）は、 新潟県 東蒲原郡 阿賀町 の 阿賀野川 に架かる 東日本旅客鉄道 （JR東日本） 磐越西線 の 鉄道橋 である。","https://ja.wikipedia.org/wiki/阿賀野川深戸橋梁","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯37度41分58.5秒東経139度29分24.8秒","新潟県東蒲原郡阿賀町豊実","日本","阿賀野川","251.892 m","トラス橋","","","92.220 m","鋼","磐越西線","鉄道橋","","東日本旅客鉄道","1914年（大正3年）11月1日","1914年（大正3年）1983年（昭和58年）（中央径間）","","横河工事（中央径間）","",""
"長生橋","[長生橋（新潟県長岡市）2013年に土木学会により土木学会選奨土木遺産に認定[1] 長生橋 （ちょうせいばし）は、 新潟県 長岡市 の 信濃川 に架かる 国道351号 （重複： 国道403号 ・ 国道404号 ）の トラス橋 。","https://ja.wikipedia.org/wiki/長生橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯37度26分40.22秒東経138度50分02.31秒","新潟県長岡市","日本","信濃川","850.8 m","トラス橋","7.0 m","1876年-1876年（初代）1914年-1915年（第2代）1934年-1937年（第3代・現在供用中）","","鋼","国道351号","道路橋","","新潟県長岡地域振興局地域整備部","","","","","",""
"黒部大橋","[黒部大橋（黒部市・下新川郡入善町）] 黒部大橋 （くろべおおはし）は、 富山県 黒部市 と 下新川郡 入善町 の 黒部川 に架かる 富山県道150号魚津入善線 の トラス橋 である。","https://ja.wikipedia.org/wiki/黒部大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯36度54分0.5秒東経137度28分10.4秒","富山県黒部市-下新川郡入善町","日本","黒部川","570.8 m","ワーレントラス橋","7.3 m","","62.5 m","鋼","富山県道150号魚津入善線","道路橋","","富山県","1958年（昭和34年）5月31日","1958年（昭和34年）","","宮地鐵工所","",""
"四十八ヶ瀬大橋","[四十八ヶ瀬大橋（黒部市・下新川郡入善町）] 四十八ヶ瀬大橋 （しじゅうはちがせおおはし）は、 富山県 下新川郡 入善町 - 富山県 黒部市 間の 黒部川 に架かる橋長590.1 m（ メートル ）の 国道8号 入善黒部バイパス の 桁橋 。","https://ja.wikipedia.org/wiki/四十八ヶ瀬大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯36度54分16.7秒東経137度27分1.1秒","富山県下新川郡入善町-黒部市","日本","黒部川","590.100 m","鋼5径間連続箱桁橋2連","12.250 m","","59.500 m","鋼","国道8号入善黒部バイパス","道路橋","","国土交通省北陸地方整備局富山河川国道事務所","2002年（平成14年）12月10日","","","三菱重工業・宮地鐵工所","",""
"下黒部橋","[下黒部橋（黒部市・下新川郡入善町）] 下黒部橋 （しもくろべばし）は、 富山県 黒部市 および 下新川郡 入善町 の 黒部川 河口付近に架かる 富山県道2号魚津生地入善線 の橋長508.17 m（ メートル ）の ランガー橋 ・ 桁橋 である  。","https://ja.wikipedia.org/wiki/下黒部橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯36度55分2.6秒東経137度25分52.7秒","富山県黒部市-下新川郡入善町","日本","黒部川","508.170 m","鋼トラスドランガー橋・鋼合成桁橋","7.000 m","","59.85 m","鋼","富山県道2号魚津生地入善線","道路橋","","富山県","1966年（昭和41年）9月30日","","","川田工業","",""
"権蔵橋 (富山県)","[権蔵橋（黒部市・下新川郡入善町）] 権蔵橋 （ごんぞうばし）は、 富山県 黒部市 および 下新川郡 入善町 の 黒部川 に架かる 富山県道45号黒部朝日公園線 の橋長535 m（ メートル ）の 桁橋 である  。","https://ja.wikipedia.org/wiki/権蔵橋_(富山県)","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯36度53分12.3秒東経137度30分22.1秒","富山県黒部市-下新川郡入善町","日本","黒部川","535.0 m","鋼10径間連続箱桁橋","16.5 m","","53.5 m","鋼","富山県道45号黒部朝日公園線","道路橋","","富山県","2002年（平成14年）5月31日","","1995年（平成7年）","川田工業・佐藤工業","",""
"愛本橋","[愛本橋（黒部市）江戸時代には全長63メートルの刎橋であり、日本三奇橋の1つといわれていた] 愛本橋 （あいもとばし）は、 富山県 黒部市 宇奈月町下立と同市宇奈月町中ノ口に跨る、 黒部川 中流に架かる 橋 。 富山県道13号朝日宇奈月線 の一部を形成する。 1998年 （ 平成 10年）には 日本百名橋 に選定されている。","https://ja.wikipedia.org/wiki/愛本橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯36度51分37秒東経137度33分14秒","富山県黒部市","日本","黒部川","130.000 m","ニールセンローゼ橋","9.300 m","","128.400 m","鋼","富山県道13号朝日宇奈月線","道路橋","","富山県","","1972年（昭和47年）7月","","川田工業","",""
"想影橋","[想影橋（黒部市）] 想影橋 （おもかげばし）は、 富山県 黒部市 宇奈月温泉 の 黒部川 に架かる 主要地方道 朝日宇奈月線 の 橋 である  。","https://ja.wikipedia.org/wiki/想影橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯36度49分7.0秒東経137度34分47.4秒","富山県黒部市","日本","黒部川","107 m","メラン式オープンアーチ橋","6 m","","30 m","鉄筋コンクリート","富山県道13号朝日宇奈月線","道路橋","","富山県","1967年（昭和42年）11月10日","","1966年（昭和41年）11月","佐藤工業","",""
"生地中橋","[生地中橋（黒部市） 世界でも珍しい、日本初の片持ち式の旋回式可動橋] 生地中橋 （いくじなかばし）は、 富山県 黒部市 生地の 黒部漁港 に架かる 可動橋 。昭和期に黒部漁港拡張のために動力 昇降式可動橋 となり、後に現在の、橋の片側を軸として回転する片持ち式の 旋回式可動橋 に架け替えられた。これは日本では最初であり、世界でも珍しい橋である。","https://ja.wikipedia.org/wiki/生地中橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯36度53分30秒東経137度24分55秒","黒部市","日本","黒部漁港","38.4m","旋回式可動橋","7m","1980-1982年","","","","","","","","","","","",""
"落合橋 (片貝川水系)","[落合橋（魚津市・黒部市）] 落合橋 （おちあいばし）は、 富山県 魚津市 経田と 黒部市 石田の 片貝川 ・ 布施川 河口付近に架かる 主要地方道 魚津生地入善線 の 橋 である  。","https://ja.wikipedia.org/wiki/落合橋_(片貝川水系)","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","富山県魚津市、黒部市","日本","片貝川、布施川","206.2 m","RCT桁橋","12.5 m","","","","富山県道2号魚津生地入善線","道路橋","","","1984年（昭和59年）11月26日","","1979年（昭和54年）度","富山県魚津土木事務所","",""
"早月橋","[早月橋（滑川市・魚津市）] 早月橋 （はやつきばし）は、 富山県 滑川市 三ケと 魚津市 三ケの 早月川 河口付近に架かる 主要地方道 富山魚津線 および、 富山立山魚津線 の 橋 である。","https://ja.wikipedia.org/wiki/早月橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","富山県滑川市、魚津市","日本","早月川","328.5 m","PC連続箱桁橋","16.5 - 19.5 m","","","","富山県道1号富山魚津線","道路橋","","","2003年（平成15年）8月28日","","1998年（平成10年）度","","",""
"桜橋 (富山市)","[桜橋（富山市） 国の登録有形文化財に1999年（平成11年）11月18日登録] 桜橋 （さくらばし）は、 富山県 富山市 の中心市街地を流れる 松川 に架かる 橋 。 1935年 （ 昭和 10年）に供用開始された。現在の橋は3代目である。","https://ja.wikipedia.org/wiki/桜橋_(富山市)","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯36度41分44.5秒東経137度12分57.5秒","富山市","日本","神通川水系松川","15.5m","上路式鋼2ヒンジアーチ橋","21.9m","1935年（昭和10年）","","鋼","","","","","","","","","",""
"笹津橋","[笹津橋（富山市） 国の登録有形文化財に2000年（平成12年）2月15日登録] 笹津橋 （ささづばし）は、 岐阜県 を源流とし、 富山県 富山市 を南北に流れる 神通川 に架かる歩行者・自転車専用 橋 。 1941年 （ 昭和 16年）7月に車道橋として供用開始され、のちに 国道41号 の橋となった4代目の橋であり  、国の 登録有形文化財 に登録されている。なお、本項では関連事項として、笹津橋に代わり新たな国道41号の道路橋として架けられた 新笹津橋 についても説明する。","https://ja.wikipedia.org/wiki/笹津橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯36度33分27.7秒東経137度12分54.7秒","富山市","日本","神通川","85.0m","メラミン式鉄骨コンクリートによる上路式固定アーチ橋","6.5m","1941年（昭和16年）7月","65m","鉄骨鉄筋コンクリート","","","","","","","","","",""
"笹津橋","[新笹津橋（富山市）] 笹津橋 （ささづばし）は、 岐阜県 を源流とし、 富山県 富山市 を南北に流れる 神通川 に架かる歩行者・自転車専用 橋 。 1941年 （ 昭和 16年）7月に車道橋として供用開始され、のちに 国道41号 の橋となった4代目の橋であり  、国の 登録有形文化財 に登録されている。なお、本項では関連事項として、笹津橋に代わり新たな国道41号の道路橋として架けられた 新笹津橋 についても説明する。","https://ja.wikipedia.org/wiki/笹津橋#新笹津橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯36度33分27.7秒東経137度12分54.7秒","富山市","日本","神通川","85.0m","メラミン式鉄骨コンクリートによる上路式固定アーチ橋","6.5m","1941年（昭和16年）7月","65m","鉄骨鉄筋コンクリート","","","","","","","","","",""
"舟橋 (富山市)","[舟橋（富山市） 江戸時代には、何艘もの船を鎖で繋いで板を渡した、日本一の舟橋として有名] 舟橋 （ふなはし）は、 富山県 富山市 の 松川 にかかる 富山県道208号小竹諏訪川原線 の 橋 。 江戸時代 には 神通川 に架かる日本一の船橋（ 舟橋 ）として著名になる  。 1998年 （ 平成 10年）には 日本百名橋 に選定されている。","https://ja.wikipedia.org/wiki/舟橋_(富山市)","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯36度41分39.5秒東経137度12分27.5秒","富山県富山市","日本","松川","18 m","","","1989年","","","","","","","","","","","",""
"富山大橋","[富山大橋（富山市）] 富山大橋 （とやまおおはし）は、 神通川 に架かる 富山市内 の 橋梁 。 2012年 （ 平成 24年）に架け替えが行われた（後述）。","https://ja.wikipedia.org/wiki/富山大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯36度41分38.3秒東経137度11分55.5秒","富山市","日本","神通川","466m","桁橋","30.5m","2006年-2012年","61m","鋼板桁、コンクリート橋台","富山県道44号富山高岡線富山地方鉄道富山軌道線","鉄道道路併用橋","","","","","","","",""
"中島大橋","[中島大橋（富山市）] 中島大橋","https://ja.wikipedia.org/wiki/中島大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"萩浦橋","[萩浦橋（富山市）] 萩浦橋 （はぎうらばし）は、 富山県 富山市 の 神通川 河口付近に掛かる 国道415号 ・ 主要地方道富山魚津線 ・都市計画道路草島東線の 道路 橋梁 。橋のデザインは北前船をテーマとしている  。","https://ja.wikipedia.org/wiki/萩浦橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯36度44分45秒東経137度13分6秒","富山県富山市","日本","神通川","524.0 m","鈑桁橋","20 m（上流側・下流側合計）","1996年（平成8年）","","鋼","国道415号","道路橋","","","","","","","",""
"東西橋 (富山県)","[東西橋（富山市）] 東西橋 （とうざいばし）は、 富山県 富山市 の 白岩川 に架かる 富山県道160号水橋停車場線 の 桁橋 である。","https://ja.wikipedia.org/wiki/東西橋_(富山県)","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯36度45分11.5秒東経137度18分13.7秒","富山県富山市","日本","白岩川","91.8 m","連続鈑桁橋","8.7 m","","","","富山県道160号水橋停車場線","道路橋","","富山県","","1957年","","","",""
"今川橋 (富山市)","[今川橋（富山市）] 今川橋 （いまがわばし）は、 富山県 富山市 の 常願寺川 河口付近に架かる 富山県道1号富山魚津線 の 道路 橋梁 である。","https://ja.wikipedia.org/wiki/今川橋_(富山市)","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯36度45分21秒東経137度17分39秒","富山県富山市","日本","常願寺川","342.13 m","桁橋","7.9 m","","","プレストレスト・コンクリート","富山県道1号富山魚津線","道路橋","","","1963年（昭和38年）12月","","","","",""
"常願寺大橋","[常願寺大橋（富山市）] 常願寺大橋 （じょうがんじおおはし）は、 富山県 富山市 の 常願寺川 に架かる 国道415号 の 橋 である。上流にある 雄峰大橋 が架るまでは 国道8号 の橋であった  。","https://ja.wikipedia.org/wiki/常願寺大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","富山県富山市","日本","常願寺川","365.5 m","トラス橋","7.5 m","","","","国道415号","道路橋","","","","1952年（昭和27年）10月","1950年（昭和25年）11月","林建設工業","",""
"雄峰大橋","[雄峰大橋（富山市）] 雄峰大橋 （ゆうほうおおはし）は、 富山県 富山市 にある 一級河川 常願寺川 に架る 国道8号 の 道路 橋梁 。","https://ja.wikipedia.org/wiki/雄峰大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯36度43分6.6秒東経137度16分26.7秒","富山県富山市","日本","常願寺川","704.2 m","PCT桁橋+鋼鈑桁橋","","1983年（昭和58年）","","プレストレスト・コンクリート・鋼","国道8号（滑川富山バイパス）","道路橋","","","","","","","",""
"富立大橋","[富立大橋（中新川郡立山町・富山市）] 富立大橋 （ふりゅうおおはし）は、 富山県 富山市 と 中新川郡 立山町 の 常願寺川 の両端を結ぶ 富山県道6号富山立山公園線 の 橋 である。建設当時の仮称は『 利田大橋 』であった  。","https://ja.wikipedia.org/wiki/富立大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","富山県富山市-中新川郡立山町","日本","常願寺川","509 m","7径間連続非合成鈑桁橋","11 m","","51.3 m","鋼","富山県道6号富山立山公園線","道路橋","","","2005年（平成17年）3月28日","","","","",""
"大日橋","[大日橋（中新川郡立山町・富山市）] 大日橋 （だいにちばし）は、 富山県 富山市 と 中新川郡 立山町 の 常願寺川 両端を結ぶ 富山県道3号富山立山魚津線 の 道路 橋梁 である。","https://ja.wikipedia.org/wiki/大日橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","富山県富山市-中新川郡立山町","日本","常願寺川","540.2 m","ケルバートラス橋","6.5 m","","","","富山県道3号富山立山魚津線","道路橋","","富山県","","","","","",""
"立山橋","[立山橋（中新川郡立山町・富山市）] 立山橋 （たてやまばし）は、 富山県 中新川郡 立山町 と 富山市 を結ぶ、 常願寺川 に架かる 富山県道35号立山山田線 の 桁橋 である。車道橋と歩道橋で構成される。","https://ja.wikipedia.org/wiki/立山橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯36度36分32.9秒東経137度18分38.1秒","富山県中新川郡立山町-富山市","日本","常願寺川","345.8 m","連続合成鈑桁橋","7.5 m","","","","富山県道35号立山山田線","道路橋","","富山県","","1963年","","","",""
"立山大橋","[立山大橋（中新川郡立山町・富山市）] 立山大橋 （たてやまおおはし）は、 富山県 の 常願寺川 に架かる 道路橋 。左岸の 富山市 本宮と右岸の 中新川郡 立山町 芦峅寺を結んでおり、 富山県道67号宇奈月大沢野線 に指定されている。","https://ja.wikipedia.org/wiki/立山大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯36度34分48.1秒東経137度24分21.6秒","富山県富山市-中新川郡立山町","日本","常願寺川","401.0 m","RC固定式アーチ橋、連続PC中空床版橋","13.0 m（有効幅員）","","188.0 m","鉄筋コンクリート","富山県道67号宇奈月大沢野線","道路橋","50 m","富山県","","","","住友・丸新志鷹・岩崎JV","",""
"有沢橋","[有沢橋（富山市）] 有沢橋 （ありさわばし）は、 富山県 富山市 の 神通川 に架かる 橋梁 。 富山県道62号富山小杉線 が通る道路橋である。上流にある 婦中大橋 が架るまでは 国道359号 の橋でもあった  。","https://ja.wikipedia.org/wiki/有沢橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯36度40分48秒東経137度11分45秒","富山県富山市","日本","神通川","457.4m","鋼トラス橋","","","","鋼","","","","","","","","","",""
"婦中大橋","[婦中大橋（富山市）] 婦中大橋 （ふちゅうおおはし）は、 富山県 富山市 内の 神通川 にかかる、 国道359号 および 富山県道56号富山環状線 の片側2車線の橋である。 1995年 まで 富山県道路公社 が管理する 有料道路 であった。開通までの仮称は 富山南大橋 （とやまみなみおおはし）。","https://ja.wikipedia.org/wiki/婦中大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯36度40分1.5秒東経137度11分25秒","富山県富山市","日本","神通川","525.2m","鋼箱桁橋","9.75m+9.75m","","","","","","","","","","","","",""
"新湊大橋","[新湊大橋（射水市）日本海側最大の斜張橋] 新湊大橋 （しんみなとおおはし）は、 富山県 射水市 の 富山新港 に架かる 日本海側 最大の2層構造の 斜張橋 。 2002年 （ 平成 14年）11月に延長3600mの 臨港道路 富山新港東西線の一部として着工  、上層の 車道 部分が 2012年 （平成24年） 9月23日 に開通。下層の 自転車歩行者道 は 2013年 （平成25年） 6月16日 に開通した。夜間は午後10時頃までライトアップされる。 橋の事業主体は 北陸地方整備局 伏木富山港湾事務所である  。","https://ja.wikipedia.org/wiki/新湊大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯36度46分33秒東経137度6分56秒","富山県射水市","日本","富山新港","600m","斜張橋","","2002年-2012年","360m","主径間鋼桁、側径間PC桁（プレストレストコンクリート桁）","臨港道路富山新港東西線","道路橋","塔高127m、橋げた47m（いずれも海面より）","","","","","","",""
"新庄川橋","[新庄川橋（射水市）] 新庄川橋 （しんしょうがわばし）は、 富山県 射水市 の 庄川 河口付近に架かる 国道415号 の 橋 である。","https://ja.wikipedia.org/wiki/新庄川橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯36度47分11秒東経137度04分10秒","富山県射水市","日本","庄川","416.9 m","","6 m（上流側）6.5 m（下流側）","","","","国道415号","道路橋","","","1938年（昭和13年）（上流側）","","1936年（昭和11年）（上流側）","","",""
"高岡大橋","[高岡大橋（高岡市・射水市）] 高岡大橋 （たかおかおおはし）は、 一級河川 の 庄川 を跨ぎ、 富山県 高岡市 と同県 射水市 を結ぶ 下路曲弦ワーレントラス橋 （一部鋼鈑桁橋）  。","https://ja.wikipedia.org/wiki/高岡大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯36度44分35秒東経137度02分43秒","富山県高岡市三女子（左岸）、射水市大島北野（右岸）","日本","庄川","436.2 m","下路曲弦ワーレントラス橋・鈑桁橋","9.8 m","","","鋼","富山県道44号富山高岡線","道路橋","","富山県","1937年（昭和12年）","","","石川島造船所","",""
"高新大橋","[高新大橋（高岡市・射水市）] 高新大橋 （こうしんおおはし  ）は、 富山県 高岡市 と同県 射水市 間の 一級河川 庄川 にかかる 国道8号 の 橋梁 。名称は左岸の高岡市と右岸の 新湊市 （現射水市）の頭文字に由来する。","https://ja.wikipedia.org/wiki/高新大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯36度45分33秒東経137度3分12秒","富山県高岡市（左岸）、射水市（右岸）","日本","庄川","424.2 m","鈑桁橋","20.5 m","","","鋼","国道8号富山高岡バイパス","道路橋","","国土交通省北陸地方整備局富山河川国道事務所","1971年（昭和46年）","","","","",""
"鳳鳴橋","[鳳鳴橋（高岡市）] 鳳鳴橋 （ほうめいばし）は、 富山県 高岡市 市街地西側を流れる 千保川 に架り、同市川原本町と 金屋本町 を結ぶ 橋 。 1953年 （ 昭和 28年）に供用開始された。","https://ja.wikipedia.org/wiki/鳳鳴橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯36度45分1秒東経137度0分27秒","高岡市","日本","千保川","28.38m","","21.8m（中央部は25.6m）","1953年（昭和28年）","","鉄骨鉄筋コンクリート","","","","","","","","","",""
"となみ野大橋","[となみ野大橋（砺波市）] となみ野大橋 （となみのおおはし）は、 富山県 砺波市 の 庄川 に架かる 国道359号 砺波東バイパス の 橋 である。","https://ja.wikipedia.org/wiki/となみ野大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯36度38分18.1秒東経137度0分13.1秒","砺波市","日本","庄川","409 m","","","","","","国道359号（砺波東バイパス）","道路橋","","富山県","2010年（平成22年）3月27日","","","","",""
"雄神大橋","[雄神大橋（砺波市）] 雄神大橋 （おがみおおばし）は、 富山県 砺波市 太田と庄川町三谷を結ぶ 庄川 に架かる 主要地方道 砺波細入線 の 橋 である  。","https://ja.wikipedia.org/wiki/雄神大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯36度36分44.8秒東経136度59分54.2秒","富山県砺波市","日本","庄川","393.000 m","3径間連続鈑桁","12.800 m","","43.500 m","鋼","富山県道25号砺波細入線","道路橋","","富山県","","1989年（平成元年）3月","","川田工業・佐藤工業","",""
"利賀大橋","[利賀大橋（南砺市）] 利賀大橋 （とがおおはし）は、 富山県 南砺市 利賀村栃原と南砺市利賀村長崎の 庄川 に架かる 国道471号 利賀バイパス の橋長368 m ( メートル ) の アーチ橋 である。","https://ja.wikipedia.org/wiki/利賀大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯36度31分32.2秒東経136度59分25.7秒","富山県南砺市","日本","庄川（小牧ダム湖）","368.0 m","上路式アーチ橋","8.5 - 9.0 m","","205.0 m","鋼","国道471号利賀バイパス","道路橋","","富山県","2018年（平成30年）10月14日","2018年（平成30年）10月","1999年（平成11年）7月","エム・エム ブリッジ・宮地エンジニアリングJV","",""
"瀬田の唐橋","[瀬田の唐橋（大津市） 日本三古橋の1つ] 瀬田の唐橋 （せたのからはし、瀬田唐橋〈せたからはし〉  ）は、 滋賀県 大津市 瀬田-唐橋町の 瀬田川 に架かる橋である  。全長223.7 メートル  （大橋約172 m、小橋約52 m  ）で、 滋賀県道2号大津能登川長浜線 がこの橋を渡る。 2015年 時点での調査では平日1日あたり1万1955台の交通量がある  。","https://ja.wikipedia.org/wiki/瀬田の唐橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯34度58分23秒東経135度54分22秒","滋賀県大津市唐橋町-瀬田1丁目","日本","瀬田川","223.7m","","12m","","","","滋賀県道2号大津能登川長浜線","道路橋","","","","1979年（昭和54年）","1974年（昭和49年）","","",""
"近江大橋","[近江大橋（大津市、草津市）] 近江大橋 （おうみおおはし）は、 滋賀県 大津市 丸の内町と同県 草津市 新浜町を結ぶ 琵琶湖 上の 道路橋 である。 近江大橋有料道路 の一部として 滋賀県道路公社 が建設し、管理していたが、2013年12月26日をもって無料開放された。琵琶湖上の他の道路橋として、南側約3kmに瀬田川大橋（ 国道1号 ）、北側約19kmに 琵琶湖大橋 （ 国道477号 ）がある  。","https://ja.wikipedia.org/wiki/近江大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯34度59分50.4秒 東経135度54分6.1秒","","","","","","","","","","","","","","","","","","",""
"琵琶湖大橋","[琵琶湖大橋（大津市、守山市）] 琵琶湖大橋 （びわこおおはし）は、 滋賀県 大津市 と同県 守山市 の間で 琵琶湖 に架かる 国道477号 の 橋 である。 琵琶湖大橋有料道路 の一部として 滋賀県道路公社 が管理している。琵琶湖は当橋を境に北側は「 北湖 」または「 太湖 」と呼ばれ、南側は「 南湖 」と呼ばれる  。","https://ja.wikipedia.org/wiki/琵琶湖大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"近江大鳥橋","[近江大鳥橋（甲賀市、栗東市、大津市）] 近江大鳥橋 （おうみおおどりばし）は 新名神高速道路 信楽IC - 大津JCT にある 橋梁 である。","https://ja.wikipedia.org/wiki/近江大鳥橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯34度56分31.5秒東経136度1分54.8秒","滋賀県甲賀市- 滋賀県大津市- 滋賀県栗東市","日本","大戸川支流","495m（上り線）, 555m（下り線）","エクストラドーズド橋","19.3m","2000年-2007年","170m（上り線）","PC・鋼","","","103m（上り線主塔）","","","","","","",""
"宇治橋 (宇治市)","[宇治橋、山崎橋 (山城国)ともに日本三古橋] 宇治橋 （うじばし）は、 646年 （ 大化 2年）に初めて架けられたという伝承のある、 京都府 宇治市 の 宇治川 に架かる橋である。","https://ja.wikipedia.org/wiki/宇治橋_(宇治市)","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯34度53分34.6秒 東経135度48分22.4秒","","","","","","","","","","","","","","","","","","",""
"三条大橋","[三条大橋（京都市中京区、東山区）] 三条大橋 （さんじょうおおはし）は、 京都市 にある 三条通 の 橋 。一級河川の 鴨川 に架かっている  。","https://ja.wikipedia.org/wiki/三条大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯35度00分32.66秒 東経135度46分18.25秒","","","","","","","","","","","","","","","","","","",""
"四条大橋","[四条大橋（京都市下京区、東山区）] 四条大橋 （しじょうおおはし）は、 京都市 を流れる 鴨川 に架かる 四条通 の 橋 。四条通の東の先は 祇園 、 八坂神社 、鴨川西岸には 先斗町 、 四条河原町 がある。京都を代表する繁華街を結ぶ橋であることから、人通りが多い。","https://ja.wikipedia.org/wiki/四条大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"五条大橋","[五条大橋（京都市下京区、東山区）] 五条大橋 （ごじょうおおはし）は、 京都府 京都市 を流れる 一級河川鴨川 に架設された橋。","https://ja.wikipedia.org/wiki/五条大橋","日本の橋一覧","https://ja.wikipedia.org/wiki/日本の橋一覧","箇条書き,制限あり","北緯34度59分45秒 東経135度46分06秒","","","","","","","","","","","","","","","","","","",""
