"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","所在地","ホーム","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","乗車人員,-統計年次-","種類","本社所在地","設立","業種"
"西線11条停留場","西線11条停留場（にしせんじゅういちじょうていりゅうじょう）","https://ja.wikipedia.org/wiki/西線11条停留場","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯43度2分39.9秒東経141度20分9.3秒","山鼻西線","1.308 km（西15丁目起点）","札幌市交通局（札幌市電）","地上駅（停留場）","1931年11月20日","札幌市中央区南11条西14丁目北緯43度2分39.9秒東経141度20分9.3秒﻿ / ﻿北緯43.044417度 東経141.335917度﻿ /43.044417; 141.335917座標:北緯43度2分39.9秒東経141度20分9.3秒﻿ / ﻿北緯43.044417度 東経141.335917度﻿ /43.044417; 141.335917","2面2線","運行系統上の起点となる西4丁目停留場より2.744 km","○SC07","","","3,308[1]人/日-2019年-","","","","","","",""
"西線14条停留場","西線14条停留場（にしせんじゅうよじょうていりゅうじょう）","https://ja.wikipedia.org/wiki/西線14条停留場","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯43度2分26.3秒東経141度20分11.2秒","山鼻西線","1.790 km（西15丁目起点）","札幌市交通局（札幌市電）","地上駅（停留場）","1931年11月20日","札幌市中央区南14条西14丁目北緯43度2分26.3秒東経141度20分11.2秒﻿ / ﻿北緯43.040639度 東経141.336444度﻿ /43.040639; 141.336444座標:北緯43度2分26.3秒東経141度20分11.2秒﻿ / ﻿北緯43.040639度 東経141.336444度﻿ /43.040639; 141.336444","2面2線","運行系統上の起点となる西4丁目より3.226 km","○SC08","","","3,074[1]人/日-2019年-","","","","","","",""
"西線16条停留場","西線16条停留場（にしせんじゅうろくじょうていりゅうじょう）","https://ja.wikipedia.org/wiki/西線16条停留場","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯43度2分14秒東経141度20分13秒","山鼻西線","2.164 km（西15丁目起点）","札幌市交通局（札幌市電）","地上駅（停留場）","1931年11月6日","札幌市中央区南16条西14丁目北緯43度2分14秒東経141度20分13秒﻿ / ﻿北緯43.03722度 東経141.33694度﻿ /43.03722; 141.33694座標:北緯43度2分14秒東経141度20分13秒﻿ / ﻿北緯43.03722度 東経141.33694度﻿ /43.03722; 141.33694","2面2線","運行系統上の起点となる西4丁目より3.600 km","○SC09","","","2,675[1]人/日-2019年-","","","","","","",""
"西線6条停留場","西線6条停留場（にしせんろくじょうていりゅうじょう）","https://ja.wikipedia.org/wiki/西線6条停留場","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯43度3分5.4秒東経141度20分6.3秒","山鼻西線","0.564 km（西15丁目起点）","札幌市交通局（札幌市電）","地上駅（停留場）","1931年11月20日","札幌市中央区南6条西14丁目北緯43度3分5.4秒東経141度20分6.3秒﻿ / ﻿北緯43.051500度 東経141.335083度﻿ /43.051500; 141.335083座標:北緯43度3分5.4秒東経141度20分6.3秒﻿ / ﻿北緯43.051500度 東経141.335083度﻿ /43.051500; 141.335083","2面2線","運行系統上の起点となる西4丁目停留場より2.000 km","○SC05","","","2,320[1]人/日-2019年-","","","","","","",""
"西添田駅","西添田駅（にしそえだえき）","https://ja.wikipedia.org/wiki/西添田駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯33度34分23.14秒東経130度50分49.94秒","■日田彦山線","38.3 km（城野起点）","九州旅客鉄道（JR九州）","地上駅","1903年（明治36年）12月21日[1]","福岡県田川郡添田町大字庄[1]921北緯33度34分23.14秒東経130度50分49.94秒","1面1線[1]","無人駅[1]*1942年に添田駅から改称[1]。","","ニソ","","","","","","","","",""
"西田井駅","西田井駅（にしだいえき・真岡鐵道真岡線）","https://ja.wikipedia.org/wiki/西田井駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯36度27分12.58秒東経140度2分55.2秒","■真岡線","21.2 km（下館起点）","真岡鐵道","地上駅","1913年（大正2年）7月11日[1]","栃木県真岡市西田井2136-6北緯36度27分12.58秒東経140度2分55.2秒﻿ / ﻿北緯36.4534944度 東経140.048667度﻿ /36.4534944; 140.048667﻿ (西田井駅)座標:北緯36度27分12.58秒東経140度2分55.2秒﻿ / ﻿北緯36.4534944度 東経140.048667度﻿ /36.4534944; 140.048667﻿ (西田井駅)","2面2線","","","ニシ","22人/日（降車客含まず）-2019年-","","","","","","","",""
"西台駅","西台駅（にしだいえき・都営地下鉄三田線）","https://ja.wikipedia.org/wiki/西台駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度47分13秒東経139度40分26.3秒","●[1]三田線","24.0 km（目黒起点）","東京都交通局（都営地下鉄）","高架駅","1968年（昭和43年）12月27日","東京都板橋区高島平九丁目1-1北緯35度47分13秒東経139度40分26.3秒﻿ / ﻿北緯35.78694度 東経139.673972度﻿ /35.78694; 139.673972﻿ (西台駅)座標:北緯35度47分13秒東経139度40分26.3秒﻿ / ﻿北緯35.78694度 東経139.673972度﻿ /35.78694; 139.673972﻿ (西台駅)","2面2線","駅北側に志村車両検修場あり","I24[1]","台（駅名略称）","","27,098人/日-2019年-","","","","","","",""
"西代駅","西代駅（にしだいえき・山陽電気鉄道本線）","https://ja.wikipedia.org/wiki/西代駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度39分44秒東経135度8分38秒","■山陽電気鉄道本線*","0.0 km（西代起点）","山陽電気鉄道（第一種鉄道事業者）阪神電気鉄道（第二種鉄道事業者）神戸高速鉄道（第三種鉄道事業者）","地下駅[1]","1910年（明治43年）3月15日[1]","神戸市長田区御屋敷通二丁目6-1[1]北緯34度39分44秒東経135度8分38秒﻿ / ﻿北緯34.66222度 東経135.14389度﻿ /34.66222; 135.14389座標:北緯34度39分44秒東経135度8分38秒﻿ / ﻿北緯34.66222度 東経135.14389度﻿ /34.66222; 135.14389","2面2線[1]","共同使用駅（山陽の管轄駅）","SY01","","（山陽）1,077人/日（降車客含まず）（阪神）3,123人/日（降車客含まず）-2017年-","","","","","","","",""
"西太子堂駅","西太子堂駅（にしたいしどうえき）","https://ja.wikipedia.org/wiki/西太子堂駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度38分40.7秒東経139度39分58.4秒","■世田谷線","0.3 km（三軒茶屋起点）","東急電鉄","地上駅","1925年（大正14年）1月18日","東京都世田谷区太子堂4-10-3北緯35度38分40.7秒東経139度39分58.4秒﻿ / ﻿北緯35.644639度 東経139.666222度﻿ /35.644639; 139.666222座標:北緯35度38分40.7秒東経139度39分58.4秒﻿ / ﻿北緯35.644639度 東経139.666222度﻿ /35.644639; 139.666222","相対式　2面2線","1939年　西山駅より改称","SG02","","","","","","","","","",""
"西高岡駅","西高岡駅（にしたかおかえき）","https://ja.wikipedia.org/wiki/西高岡駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯36度43分27.87秒東経136度57分54.22秒","■あいの風とやま鉄道線","17.5 km（倶利伽羅起点）金沢から35.3 km米原から211.9 km","あいの風とやま鉄道","地上駅","1957年（昭和32年）4月25日","富山県高岡市立野高池町319北緯36度43分27.87秒東経136度57分54.22秒﻿ / ﻿北緯36.7244083度 東経136.9650611度﻿ /36.7244083; 136.9650611座標:北緯36度43分27.87秒東経136度57分54.22秒﻿ / ﻿北緯36.7244083度 東経136.9650611度﻿ /36.7244083; 136.9650611","2面2線","簡易委託駅","","ニタ","593人/日（降車客含まず）-2019年-","","","","","","","",""
"西高蔵駅","西高蔵駅（にしたかくらえき）","https://ja.wikipedia.org/wiki/西高蔵駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度8分4秒東経136度54分7秒","名城線","16.4 km（大曽根起点）","名古屋市交通局（名古屋市営地下鉄）","地下駅","1974年（昭和49年）3月30日","名古屋市熱田区五本松町9-34北緯35度8分4秒東経136度54分7秒﻿ / ﻿北緯35.13444度 東経136.90194度﻿ /35.13444; 136.90194座標:北緯35度8分4秒東経136度54分7秒﻿ / ﻿北緯35.13444度 東経136.90194度﻿ /35.13444; 136.90194","2面2線","","M28","","3,297人/日（降車客含まず）-2019年-","6,651[1]人/日-2019年-","","","","","","",""
"西高島平駅","西高島平駅（にしたかしまだいらえき）","https://ja.wikipedia.org/wiki/西高島平駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度47分30秒東経139度38分45秒","●[1]三田線","26.5 km（目黒起点）","東京都交通局（都営地下鉄）","高架駅","1976年（昭和51年）5月6日","東京都板橋区高島平六丁目1北緯35度47分30秒東経139度38分45秒﻿ / ﻿北緯35.79167度 東経139.64583度﻿ /35.79167; 139.64583﻿ (西高島平駅)座標:北緯35度47分30秒東経139度38分45秒﻿ / ﻿北緯35.79167度 東経139.64583度﻿ /35.79167; 139.64583﻿ (西高島平駅)","2面2線","直営駅","I27[1]","西高（駅名略称）","","13,606人/日-2019年-","","","","","","",""
"西高須停留場","西高須停留場（にしたかすていりゅうじょう）","https://ja.wikipedia.org/wiki/西高須停留場","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯33度33分30.06秒東経133度34分23.67秒","後免線","8.0 km（後免町起点）","とさでん交通","地上駅","1964年（昭和39年）8月30日","高知県高知市葛島一丁目北緯33度33分30.06秒東経133度34分23.67秒﻿ / ﻿北緯33.5583500度 東経133.5732417度﻿ /33.5583500; 133.5732417﻿ (西高須停留場)","2面2線","","","","","","","","","","","",""
"西鷹巣駅","西鷹巣駅（にしたかのすえき）","https://ja.wikipedia.org/wiki/西鷹巣駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯40度13分28.86秒東経140度21分28.52秒","■秋田内陸線","1.3 km（鷹巣起点）","秋田内陸縦貫鉄道","地上駅","1989年（平成元年）4月1日","秋田県北秋田市鷹巣字東中岱57北緯40度13分28.86秒東経140度21分28.52秒﻿ / ﻿北緯40.2246833度 東経140.3579222度﻿ /40.2246833; 140.3579222座標:北緯40度13分28.86秒東経140度21分28.52秒﻿ / ﻿北緯40.2246833度 東経140.3579222度﻿ /40.2246833; 140.3579222","1面1線","無人駅","","","","8人/日-2018年-","","","","","","",""
"西高屋駅","西高屋駅（にしたかやえき）","https://ja.wikipedia.org/wiki/西高屋駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度26分47.15秒東経132度47分16.94秒","G山陽本線","268.3 km（神戸起点）","西日本旅客鉄道（JR西日本）","地上駅","1926年（大正15年）10月1日","広島県東広島市高屋町中島441-3北緯34度26分47.15秒東経132度47分16.94秒﻿ / ﻿北緯34.4464306度 東経132.7880389度﻿ /34.4464306; 132.7880389座標:北緯34度26分47.15秒東経132度47分16.94秒﻿ / ﻿北緯34.4464306度 東経132.7880389度﻿ /34.4464306; 132.7880389","2面2線","業務委託駅みどりの窓口有","JR-G11","ニヤ","4,949人/日（降車客含まず）-2019年-","","","","","","","",""
"西滝沢駅","西滝沢駅（にしたきさわえき）","https://ja.wikipedia.org/wiki/西滝沢駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯39度16分41.79秒東経140度6分59.07秒","鳥海山ろく線","15.7 km（羽後本荘起点）","由利高原鉄道","地上駅","1937年（昭和12年）12月15日[1]","秋田県由利本荘市蟹沢北緯39度16分41.79秒東経140度6分59.07秒﻿ / ﻿北緯39.2782750度 東経140.1164083度﻿ /39.2782750; 140.1164083座標:北緯39度16分41.79秒東経140度6分59.07秒﻿ / ﻿北緯39.2782750度 東経140.1164083度﻿ /39.2782750; 140.1164083","1面1線","","","ニサ","","60人/日-2018年-","","","","","","",""
"西太刀洗駅","西太刀洗駅（にしたちあらいえき）","https://ja.wikipedia.org/wiki/西太刀洗駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯33度24分28.22秒東経130度35分57.69秒","■甘木鉄道甘木線","8.4 km（基山起点）","■甘木鉄道","地上駅","1939年（昭和14年）4月28日","福岡県三井郡大刀洗町大字山隈北緯33度24分28.22秒東経130度35分57.69秒﻿ / ﻿北緯33.4078389度 東経130.5993583度﻿ /33.4078389; 130.5993583座標:北緯33度24分28.22秒東経130度35分57.69秒﻿ / ﻿北緯33.4078389度 東経130.5993583度﻿ /33.4078389; 130.5993583","1面1線","無人駅","","ニタ","183人/日（降車客含まず）-2018年-","","","","","","","",""
"西立川駅","西立川駅（にしたちかわえき）","https://ja.wikipedia.org/wiki/西立川駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度42分12.7秒東経139度23分37.1秒","■青梅線","1.9 km（立川起点）東京から39.4 km","東日本旅客鉄道（JR東日本）","地上駅（橋上駅）","1931年（昭和6年）11月15日","東京都立川市富士見町一丁目36-10*北緯35度42分12.7秒東経139度23分37.1秒﻿ / ﻿北緯35.703528度 東経139.393639度﻿ /35.703528; 139.393639﻿ (西立川駅)","1面2線[1]","業務委託駅","JC51","ニワ←ニシワ","6,661人/日（降車客含まず）-2019年-","","","","","","","",""
"西田辺駅","西田辺駅（にしたなべえき）","https://ja.wikipedia.org/wiki/西田辺駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯34度37分17.85秒東経135度30分54.54秒","●御堂筋線","17.0 km（江坂起点）千里中央から22.9 km","大阪市高速電気軌道(Osaka Metro)","地下駅","1952年（昭和27年）10月5日","大阪市阿倍野区西田辺町一丁目1-25北緯34度37分17.85秒東経135度30分54.54秒﻿ / ﻿北緯34.6216250度 東経135.5151500度﻿ /34.6216250; 135.5151500﻿ (西田辺駅)","2面2線",""," M25 ","","10,650人/日（降車客含まず）-2020年-","20,954人/日-2020年-","","","","","","",""
"西田平駅","西田平駅（にしたびらえき）","https://ja.wikipedia.org/wiki/西田平駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯33度20分42.94秒東経129度35分25.22秒","■西九州線","53.8 km（有田起点）","松浦鉄道","地上駅","1989年（平成元年）3月11日","長崎県平戸市田平町荻田免北緯33度20分42.94秒東経129度35分25.22秒","1面1線","","","","","363人/日-2017年-","","","","","","",""
"西田原本駅","西田原本駅（にしたわらもとえき）","https://ja.wikipedia.org/wiki/西田原本駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","","","","近畿日本鉄道（近鉄）","","","奈良県磯城郡田原本町","","","","","","","","","","","","",""
"西千葉駅","西千葉駅（にしちばえき）","https://ja.wikipedia.org/wiki/西千葉駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度37分21.3秒東経140度6分11.8秒","■総武線（各駅停車）（正式には総武本線）","37.8 km（東京起点）千葉から1.4 km","東日本旅客鉄道（JR東日本）","高架駅","1942年（昭和17年）10月1日[1]","千葉市中央区春日二丁目24-2北緯35度37分21.3秒東経140度6分11.8秒座標:北緯35度37分21.3秒 東経140度6分11.8秒","1面2線","業務委託駅","JB38","ニチ","22,000人/日（降車客含まず）-2019年-","","","","","","","",""
"西町停留場","西町停留場（にしちょうていりゅうじょう）","https://ja.wikipedia.org/wiki/西町停留場","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯36度41分20.7秒東経137度12分56.5秒","富山軌道線（本線）","2.1 km（南富山駅前起点）","富山地方鉄道","地上駅","1913年（大正2年）9月1日","富山県富山市西町北緯36度41分20.7秒東経137度12分56.5秒﻿ / ﻿北緯36.689083度 東経137.215694度﻿ /36.689083; 137.215694﻿ (西町停留場)座標:北緯36度41分20.7秒東経137度12分56.5秒﻿ / ﻿北緯36.689083度 東経137.215694度﻿ /36.689083; 137.215694﻿ (西町停留場)","相対式2面2線","","C08","","","1,489[1]人/日-2019年-","","","","","","",""
"西調布駅","西調布駅（にしちょうふえき）","https://ja.wikipedia.org/wiki/西調布駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度39分25.4秒東経139度31分48.8秒","■京王線","17.0 km（新宿起点）","京王電鉄","地上駅（橋上駅）","1916年（大正5年）9月1日","東京都調布市上石原一丁目25-17北緯35度39分25.4秒東経139度31分48.8秒﻿ / ﻿北緯35.657056度 東経139.530222度﻿ /35.657056; 139.530222﻿ (西調布駅)座標:北緯35度39分25.4秒東経139度31分48.8秒﻿ / ﻿北緯35.657056度 東経139.530222度﻿ /35.657056; 139.530222﻿ (西調布駅)","2面2線","1959年に上石原駅から改称","KO19","","","17,610人/日-2019年-","","","","","","",""
"二十軒駅","二十軒駅（にじっけんえき）","https://ja.wikipedia.org/wiki/二十軒駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度24分0.48秒東経136度53分21.10秒","各務原線","12.4 km（名鉄岐阜起点）","名古屋鉄道","地上駅","1926年（大正15年）8月1日","岐阜県各務原市鵜沼三ツ池町三丁目212北緯35度24分0.48秒東経136度53分21.10秒﻿ / ﻿北緯35.4001333度 東経136.8891944度﻿ /35.4001333; 136.8891944﻿ (二十軒駅)座標:北緯35度24分0.48秒東経136度53分21.10秒﻿ / ﻿北緯35.4001333度 東経136.8891944度﻿ /35.4001333; 136.8891944﻿ (二十軒駅)","2面2線","無人駅管理駅：名鉄岐阜","KG  05 ","","","1,031人/日-2019年-","","","","","","",""
"西燕駅","西燕駅（にしつばめえき）","https://ja.wikipedia.org/wiki/西燕駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯37度40分47.15秒東経138度54分33.57秒","■弥彦線","8.0 km（弥彦起点）","東日本旅客鉄道（JR東日本）","地上駅","1954年（昭和29年）12月25日[1]","新潟県燕市花見富永分[1]北緯37度40分47.15秒東経138度54分33.57秒","1面1線[1]","無人駅（自動券売機 有）[1]","","ニメ","","","","","","","","",""
"西敦賀駅","西敦賀駅（にしつるがえき）","https://ja.wikipedia.org/wiki/西敦賀駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯35度37分5.25秒東経136度4分3.59秒","■小浜線","3.3 km（敦賀起点）","西日本旅客鉄道（JR西日本）","地上駅","1962年（昭和37年）9月1日","福井県敦賀市山泉北緯35度37分5.25秒東経136度4分3.59秒﻿ / ﻿北緯35.6181250度 東経136.0676639度﻿ /35.6181250; 136.0676639座標:北緯35度37分5.25秒東経136度4分3.59秒﻿ / ﻿北緯35.6181250度 東経136.0676639度﻿ /35.6181250; 136.0676639","1面1線","無人駅","","ニツ","117人/日（降車客含まず）-2019年-","","","","","","","",""
"西鉄小郡駅","西鉄小郡駅（にしてつおごおりえき）","https://ja.wikipedia.org/wiki/西鉄小郡駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯33度23分47.03秒東経130度33分12.48秒","■天神大牟田線","28.7 km（西鉄福岡（天神）起点）","西日本鉄道","地上駅","1924年（大正13年）4月12日","福岡県小郡市祇園一丁目北緯33度23分47.03秒東経130度33分12.48秒﻿ / ﻿北緯33.3963972度 東経130.5534667度﻿ /33.3963972; 130.5534667座標:北緯33度23分47.03秒東経130度33分12.48秒﻿ / ﻿北緯33.3963972度 東経130.5534667度﻿ /33.3963972; 130.5534667","2面4線","","T  22 ","","","10,890人/日-2019年-","小郡駅（甘木鉄道甘木線）","","","","","",""
"西鉄香椎駅","西鉄香椎駅（にしてつかしいえき）","https://ja.wikipedia.org/wiki/西鉄香椎駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯33度39分33.75秒東経130度26分30.31秒","■西鉄貝塚線","3.6 km（貝塚起点）","西日本鉄道","高架駅","1924年（大正13年）5月23日","福岡市東区香椎駅前二丁目北緯33度39分33.75秒東経130度26分30.31秒﻿ / ﻿北緯33.6593750度 東経130.4417528度﻿ /33.6593750; 130.4417528座標:北緯33度39分33.75秒東経130度26分30.31秒﻿ / ﻿北緯33.6593750度 東経130.4417528度﻿ /33.6593750; 130.4417528","1面2線","","NK  05 ","","","4,108人/日-2019年-","","","","","","",""
"西鉄銀水駅","西鉄銀水駅（にしてつぎんすいえき）","https://ja.wikipedia.org/wiki/西鉄銀水駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯33度3分6.2秒東経130度27分30.5秒","■天神大牟田線","72.1 km（西鉄福岡（天神）起点）","西日本鉄道","地上駅","1938年（昭和13年）10月1日","福岡県大牟田市大字草木北緯33度3分6.2秒東経130度27分30.5秒﻿ / ﻿北緯33.051722度 東経130.458472度﻿ /33.051722; 130.458472座標:北緯33度3分6.2秒東経130度27分30.5秒﻿ / ﻿北緯33.051722度 東経130.458472度﻿ /33.051722; 130.458472","1面2線","","T  48 ","","","674人/日-2019年-","","","","","","",""
"西鉄久留米駅","西鉄久留米駅（にしてつくるめえき）","https://ja.wikipedia.org/wiki/西鉄久留米駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯33度18分44.53秒東経130度31分15.93秒","■天神大牟田線","38.6 km（西鉄福岡（天神）起点）","西日本鉄道","高架駅","1924年（大正13年）4月12日","福岡県久留米市東町北緯33度18分44.53秒東経130度31分15.93秒﻿ / ﻿北緯33.3123694度 東経130.5210917度﻿ /33.3123694; 130.5210917座標:北緯33度18分44.53秒東経130度31分15.93秒﻿ / ﻿北緯33.3123694度 東経130.5210917度﻿ /33.3123694; 130.5210917","2面4線","","T  27 ","","","33,854人/日-2019年-","","","","","","",""
"西鉄五条駅","西鉄五条駅（にしてつごじょうえき）","https://ja.wikipedia.org/wiki/西鉄五条駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯33度30分40.72秒東経130度31分34.71秒","■太宰府線","1.4 km（西鉄二日市起点）","西日本鉄道","地上駅","1928年（昭和3年）5月3日[1]","福岡県太宰府市五条二丁目北緯33度30分40.72秒東経130度31分34.71秒﻿ / ﻿北緯33.5113111度 東経130.5263083度﻿ /33.5113111; 130.5263083座標:北緯33度30分40.72秒東経130度31分34.71秒﻿ / ﻿北緯33.5113111度 東経130.5263083度﻿ /33.5113111; 130.5263083","2面2線","","D  01 ","","","5,748人/日-2019年-","","","","","","",""
"西鉄新宮駅","西鉄新宮駅（にしてつしんぐうえき）","https://ja.wikipedia.org/wiki/西鉄新宮駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯33度42分50.01秒東経130度26分12.12秒","■西鉄貝塚線","11.0 km（貝塚起点）","西日本鉄道","地上駅","1925年（大正14年）7月1日","福岡県糟屋郡新宮町下府5丁目北緯33度42分50.01秒東経130度26分12.12秒﻿ / ﻿北緯33.7138917度 東経130.4367000度﻿ /33.7138917; 130.4367000座標:北緯33度42分50.01秒東経130度26分12.12秒﻿ / ﻿北緯33.7138917度 東経130.4367000度﻿ /33.7138917; 130.4367000","1面2線","","NK  10 ","","","1,428人/日-2019年-","","","","","","",""
"千早駅","西鉄千早駅（にしてつちはやえき）","https://ja.wikipedia.org/wiki/千早駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","","","","西日本鉄道（西鉄・駅詳細）九州旅客鉄道（JR九州・駅詳細）","","","福岡市東区千早四丁目","","","","","","","","","","","","",""
"西鉄中島駅","西鉄中島駅（にしてつなかしまえき）","https://ja.wikipedia.org/wiki/西鉄中島駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯33度7分21.77秒東経130度26分24.03秒","■天神大牟田線","63.5 km（西鉄福岡（天神）起点）","西日本鉄道","高架駅","1938年（昭和13年）10月1日","福岡県柳川市大和町中島北緯33度7分21.77秒東経130度26分24.03秒﻿ / ﻿北緯33.1227139度 東経130.4400083度﻿ /33.1227139; 130.4400083座標:北緯33度7分21.77秒東経130度26分24.03秒﻿ / ﻿北緯33.1227139度 東経130.4400083度﻿ /33.1227139; 130.4400083","1面1線","","T  42 ","","","861人/日-2019年-","","","","","","",""
"西鉄平尾駅","西鉄平尾駅（にしてつひらおえき）","https://ja.wikipedia.org/wiki/西鉄平尾駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯33度34分24.95秒東経130度24分22.6秒","■天神大牟田線","1.8 km（西鉄福岡（天神）起点）","西日本鉄道","高架駅","1924年（大正13年）4月12日","福岡市中央区平尾二丁目北緯33度34分24.95秒東経130度24分22.6秒﻿ / ﻿北緯33.5735972度 東経130.406278度﻿ /33.5735972; 130.406278座標:北緯33度34分24.95秒東経130度24分22.6秒﻿ / ﻿北緯33.5735972度 東経130.406278度﻿ /33.5735972; 130.406278","2面2線","","T  03 ","","","13,580人/日-2019年-","","","","","","",""
"西鉄福岡（天神）駅","西鉄福岡（天神）駅（にしてつふくおか（てんじん）えき）","https://ja.wikipedia.org/wiki/西鉄福岡（天神）駅","日本の鉄道駅一覧_に","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_に","箇条書き,制限あり","北緯33度35分19.6秒東経130度23分59.6秒","■天神大牟田線","0.0 km（西鉄福岡（天神）起点）","西日本鉄道","高架駅","1924年（大正13年）4月12日","福岡市中央区天神二丁目11番2号北緯33度35分19.6秒東経130度23分59.6秒﻿ / ﻿北緯33.588778度 東経130.399889度﻿ /33.588778; 130.399889座標:北緯33度35分19.6秒東経130度23分59.6秒﻿ / ﻿北緯33.588778度 東経130.399889度﻿ /33.588778; 130.399889","4面3線","","T  01 ","","","136,277人/日-2019年-","福岡市地下鉄空港線（天神駅）福岡市地下鉄七隈線（天神南駅）","","","","","",""
