"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","開園","公式サイト","事業主体","位置","専門分野","管理運営","学校種別","設置者","本部所在地","学部","ウェブサイト","面積","研究科","正式名称","前身","キャンパス","分類","運営者"
"京王フローラルガーデンANGE","[京王フローラルガーデンANGE] 京王フローラルガーデンANGE （けいおうフローラルガーデンアンジェ）は、 東京都 調布市 多摩川にある 京王グループ の 植物園 である。本項は前身の 京王百花苑 （けいおうひゃっかえん）も記す。","https://ja.wikipedia.org/wiki/京王フローラルガーデンANGE","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度38分43秒 東経139度32分09秒","","","","","","","","","","","","","","","","","","",""
"練馬区立温室植物園 (存在しないページ)","[練馬区立温室植物園（東京都練馬区）]","https://ja.wikipedia.org/w/index.php?title=練馬区立温室植物園&amp;action=edit&amp;redlink=1","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"国立科学博物館付属自然教育園","[国立科学博物館付属自然教育園（東京都港区）] 国立科学博物館附属 自然教育園 （こくりつかがくはくぶつかんふぞく しぜんきょういくえん）は、 東京都 港区 白金台 五丁目に存在する 国立科学博物館 附属の自然緑地である。","https://ja.wikipedia.org/wiki/国立科学博物館付属自然教育園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度38分17秒東経139度43分10秒","〒108-0071東京都港区白金台五丁目21番5号","1949年","国立科学博物館附属自然教育園","独立行政法人国立科学博物館","北緯35度38分17秒東経139度43分10秒﻿ / ﻿北緯35.63806度 東経139.71944度﻿ /35.63806; 139.71944座標:北緯35度38分17秒東経139度43分10秒﻿ / ﻿北緯35.63806度 東経139.71944度﻿ /35.63806; 139.71944","植物研究・教育","","","","","","","","","","旧白金御料地","","",""
"国分寺万葉植物園","[国分寺万葉植物園（東京都国分寺市）] 武蔵国分寺 （むさしこくぶんじ）は、 東京都 国分寺市 にある 真言宗 豊山派 の寺院。 山号 は医王山。 院号 は最勝院。本尊は 薬師如来 。","https://ja.wikipedia.org/wiki/国分寺万葉植物園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度41分39.6秒東経139度28分15.8秒","東京都国分寺市西元町1-13-16","","","","北緯35度41分39.6秒東経139度28分15.8秒﻿ / ﻿北緯35.694333度 東経139.471056度﻿ /35.694333; 139.471056座標:北緯35度41分39.6秒東経139度28分15.8秒﻿ / ﻿北緯35.694333度 東経139.471056度﻿ /35.694333; 139.471056","","","","","","","","","","","","","",""
"都立八丈植物公園 (存在しないページ)","[都立八丈植物公園（東京都八丈町）]","https://ja.wikipedia.org/w/index.php?title=都立八丈植物公園&amp;action=edit&amp;redlink=1","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"向島百花園","[向島百花園] 向島百花園 （むこうじまひゃっかえん）は、 東京都 墨田区 東向島 三丁目にある 都立庭園 で、 江戸時代 に発祥をもつ花園である。みどころは早春の 梅 と秋の 萩 である。 隅田川七福神 の発祥の地であり 佐原鞠塢 が所有していた、ともいわれる「 福禄寿 」が祭られている。","https://ja.wikipedia.org/wiki/向島百花園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度43分27.1秒東経139度48分55.6秒","東京都墨田区東向島三丁目","","公式ホームページ","","","","","","","","","","8,718.52m2","","","","","都立庭園・名勝・史跡","東京都公園協会2011～2015年度指定管理者"
"谷津遊園","[谷津遊園] 谷津遊園 （やつゆうえん）は、 千葉県 習志野市 谷津にかつて存在した 遊園地 。 京成電鉄 が直営運営を行っていた。 1982年 （ 昭和 57年） 12月21日 に閉園。現在は施設内の バラ園 が、習志野市営の 谷津バラ園 として現存している。","https://ja.wikipedia.org/wiki/谷津遊園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度40分51.1秒 東経140度0分20秒","","","","","","","","","","","","","","","","","","",""
"堀切菖蒲園","[堀切菖蒲園] 堀切菖蒲園 （ほりきりしょうぶえん）は、 東京都 葛飾区 堀切 二丁目にある葛飾区所管の 公園 （ 植物園 ）である。 花菖蒲 の名所として知られる。また、最寄り駅の 京成本線 堀切菖蒲園駅 およびその周辺地域の通称でもある。 ペット同伴はケージ、カートに入っていれば可。","https://ja.wikipedia.org/wiki/堀切菖蒲園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度44分32.5秒東経139度49分33.5秒","日本東京都葛飾区堀切2-19-1","1975年4月1日（区立公園として）","","","","","","","","","","","8,747.87m2","","","東京都立堀切菖蒲園","","都市公園","葛飾区"
"牧野記念庭園","[牧野記念庭園] 練馬区立牧野記念庭園 （ねりまくりつまきのきねんていえん）は 東京都 練馬区 東大泉 にある 都市公園 （ 植物園 ）。","https://ja.wikipedia.org/wiki/牧野記念庭園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度44分47秒東経139度35分08秒","〒178-0063東京都練馬区東大泉六丁目34-4","1958年（昭和33年）","","練馬区","北緯35度44分47秒東経139度35分08秒﻿ / ﻿北緯35.74639度 東経139.58556度﻿ /35.74639; 139.58556座標:北緯35度44分47秒東経139度35分08秒﻿ / ﻿北緯35.74639度 東経139.58556度﻿ /35.74639; 139.58556","総合","練馬区","","","","","","","","練馬区立牧野記念庭園","","","",""
"長久保公園都市緑化植物園","[長久保公園都市緑化植物園（神奈川県藤沢市）] 長久保公園都市緑化植物園 （ながくぼこうえんとしりょっかしょくぶつえん）は 神奈川県 藤沢市 辻堂太平台 二丁目にある 公園  。","https://ja.wikipedia.org/wiki/長久保公園都市緑化植物園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度19分58.9秒東経139度27分59.9秒","日本神奈川県藤沢市辻堂太平台二丁目13番35号","","公式サイト（日本語）","","","","","","","","","","約4.4ha","","","","","都市公園（総合公園）","藤沢市"
"江の島サムエル・コッキング苑","[江の島サムエル・コッキング苑（神奈川県藤沢市）] 江の島サムエル・コッキング苑 （えのしまサムエル・コッキングえん）は、 神奈川県 藤沢市 江の島 二丁目にある、藤沢市立の有料観光施設。苑内に 江ノ島電鉄 の経営する 江の島展望灯台 などを含む。また 日本で初めて の フレンチトースト 専門店『LON CAFE』がある。","https://ja.wikipedia.org/wiki/江の島サムエル・コッキング苑","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度17分59秒東経139度28分42秒","日本神奈川県藤沢市江の島二丁目3-28","2003年4月29日","江の島シーキャンドル (展望灯台) 江の島サムエルコッキング苑（江ノ島電鉄）","","","","","","","","","","","","","江の島植物園","","観光施設（法令上の公園に非該当）","藤沢市（指定管理者：江ノ島電鉄）"
"神奈川県立花と緑のふれあいセンター 花菜ガーデン","[神奈川県立花と緑のふれあいセンター 花菜ガーデン] この記事には 複数の問題があります 。 改善 や ノートページ での議論にご協力ください。","https://ja.wikipedia.org/wiki/神奈川県立花と緑のふれあいセンター_花菜ガーデン","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度21分30.8秒 東経139度18分42.5秒","","","","","","","","","","","","","","","","","","",""
"神奈川県立大船フラワーセンター","[神奈川県立大船フラワーセンター] 神奈川県立大船フラワーセンター （かながわけんりつおおふなフラワーセンター）、愛称「 日比谷花壇大船フラワーセンター 」（ひびやかだんおおふなふらわーせんたー）は、 神奈川県 鎌倉市 岡本 にある総面積63,900 平方メートル の 植物園 。 1967年 （ 昭和 42年）に 神奈川県農業試験場 の跡地に開設された。","https://ja.wikipedia.org/wiki/神奈川県立大船フラワーセンター","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度20分52.7秒 東経139度31分15.4秒","〒247-0072神奈川県鎌倉市岡本1,018","1967年","www.fcofuna-kanagawa.jp","神奈川県","","","神奈川県","","","","","","","","神奈川県立大船フラワーセンター","神奈川県農業試験場","","",""
"くりはま花の国","[くりはま花の国] 現在  通年を通して営業しているレストランはない。春と秋のシーズン中のみの営業である。","https://ja.wikipedia.org/wiki/くりはま花の国","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","","日本神奈川県横須賀市神明町1","","公式ウェブサイト","","","","","","","","","","583,330平方メートル","","","アメリカ軍の倉庫","","都市公園（都市緑地）","横須賀市（指定管理者：横須賀・西武パートナーズ）"
"強羅公園","[強羅公園] 強羅公園 （ごうらこうえん）は、 神奈川県 足柄下郡 箱根町 にある、 箱根登山鉄道 が運営する 公園 である。国の 登録記念物 。","https://ja.wikipedia.org/wiki/強羅公園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度14分55秒 東経139度2分42.5秒","","","","","","","","","","","","","","","","","","",""
"松田町寄ロウバイ園","[松田町寄ロウバイ園] 松田町寄ロウバイ園 （まつだまちやどりきロウバイえん、 英文名称 Yadoriki Robai Park ）とは 神奈川県 足柄上郡 松田町 寄 にある ロウバイ (Chimonanthus praecox)園である。","https://ja.wikipedia.org/wiki/松田町寄ロウバイ園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度23分46.8秒東経139度8分26.1秒","日本神奈川県足柄上郡松田町寄","平成25年1月19日～平成25年2月28日（例年ロウバイ開花時期)","","","","","","","","","","","","","","","","",""
"横須賀しょうぶ園","[横須賀しょうぶ園] 横須賀しょうぶ園 （よこすかしょうぶえん）は、 神奈川県 横須賀市 阿部倉にある市立の公園（ 庭園 ）  。 指定管理者 の横須賀緑化造園協同組合が管理・運営をしている  。面積は約3.8ha。","https://ja.wikipedia.org/wiki/横須賀しょうぶ園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度15分24.32秒東経139度38分24.87秒","神奈川県横須賀市阿部倉18-1","1988年（昭和63年）6月","","","","","","","","","","","約3.8ha","","","","","庭園","横須賀市(指定管理者:横須賀緑化造園協同組合)"
"山中湖花の都公園","[山中湖花の都公園] 山中湖村 （やまなかこむら）は、 山梨県 南東部の郡内地方に位置する 村 。","https://ja.wikipedia.org/wiki/山中湖花の都公園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度24分37.8秒東経138度51分39.4秒","〒401-0595山梨県南都留郡山中湖村山中237-1北緯35度24分37.8秒東経138度51分39.4秒﻿ / ﻿北緯35.410500度 東経138.860944度﻿ /35.410500; 138.860944座標:北緯35度24分37.8秒東経138度51分39.4秒﻿ / ﻿北緯35.410500度 東経138.860944度﻿ /35.410500; 138.860944","","","","","","","","","","","","53.05km2","","","","","",""
"山梨県立フラワーセンター ハイジの村","[山梨県立フラワーセンター ハイジの村] 山梨県立フラワーセンター ハイジの村 （やまなしけんりつ フラワーセンター ハイジのむら）は、 日本 の 山梨県 北杜市 にある『 アルプスの少女ハイジ 』をイメージした花と星の テーマパーク である。","https://ja.wikipedia.org/wiki/山梨県立フラワーセンター_ハイジの村","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度46分50.9秒 東経138度27分53.8秒","","","","","","","","","","","","","","","","","","",""
"山梨県笛吹川フルーツ公園","[山梨県笛吹川フルーツ公園（山梨県山梨市）] 山梨県笛吹川フルーツ公園 （やまなしけんふえふきがわフルーツこうえん）は、 山梨県 山梨市 に位置する 都市公園  。県が整備した公共整備区域（19.5ha）と民活整備区域（12.7ha）からなる。公共整備区域については、 指定管理者制度 に基づき、笛吹川マネジメントグループが運営・管理を行なっている。公園敷地内で営業している フルーツパーク富士屋ホテル についても併せて記述する。","https://ja.wikipedia.org/wiki/山梨県笛吹川フルーツ公園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度42分8秒 東経138度39分55秒","山梨県山梨市江曽原","1995年10月","","","","","","","","","","","32.2 ha","","","","","都市公園（総合公園）","山梨県（指定管理者：笛吹川マネジメントグループ）"
"氷見市海浜植物園","[氷見市海浜植物園（富山県氷見市）] 氷見市海浜植物園 （ひみしかいひんしょくぶつえん、 Himi Seaside Botanical Garden ）は、 富山県 氷見市 柳田に所在する 植物園 である。富山県各地の特色ある植物園を繋いで県全体を一つの巨大植物公園とする計画、「富山県植物公園構想」における 海浜植物 の専門植物園である。富山県博物館協会会員。","https://ja.wikipedia.org/wiki/氷見市海浜植物園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯36度50分13秒東経137度00分16秒","〒935-0031富山県氷見市柳田3583","1996年（平成8年）5月14日","氷見市海浜植物園","富山県氷見市","北緯36度50分13秒東経137度00分16秒﻿ / ﻿北緯36.83694度 東経137.00444度﻿ /36.83694; 137.00444座標:北緯36度50分13秒東経137度00分16秒﻿ / ﻿北緯36.83694度 東経137.00444度﻿ /36.83694; 137.00444","海浜植物","一般財団法人氷見市花と緑のまちづくり協会","","","","","","","","氷見市海浜植物園","","","",""
"南砺市園芸植物園フローラルパーク (存在しないページ)","[南砺市園芸植物園フローラルパーク（富山県南砺市）]","https://ja.wikipedia.org/w/index.php?title=南砺市園芸植物園フローラルパーク&amp;action=edit&amp;redlink=1","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"二上山公園万葉植物園","[二上山公園万葉植物園（富山県高岡市）] 二上山 （ふたがみやま）は、 富山県 の 高岡市 と 氷見市 に跨がる 標高 274mの 山 。","https://ja.wikipedia.org/wiki/二上山公園万葉植物園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯36度47分24秒東経137度00分55秒","日本富山県高岡市・氷見市","","","","北緯36度47分24秒東経137度00分55秒﻿ / ﻿北緯36.789990度 東経137.015386度﻿ /36.789990; 137.015386座標:北緯36度47分24秒東経137度00分55秒﻿ / ﻿北緯36.789990度 東経137.015386度﻿ /36.789990; 137.015386","","","","","","","","","","","","","",""
"チューリップ四季彩館","[チューリップ四季彩館〔砺波チューリップ公園〕（富山県砺波市）] 砺波市 では 日本 における本格的な チューリップ 球根栽培に早くから取り組み、代表的な特産品になっている。チューリップ四季彩館は、チューリップの情報発信の拠点として、 1996年 （ 平成 8年）に建設された。開館から20年を迎えた 2016年 （平成28年）3月に、展示内容を刷新しリニューアルオープンした。","https://ja.wikipedia.org/wiki/チューリップ四季彩館","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯36度38分28.2秒東経136度57分53.6秒","〒939-1381富山県砺波市中村100-1北緯36度38分28.2秒東経136度57分53.6秒﻿ / ﻿北緯36.641167度 東経136.964889度﻿ /36.641167; 136.964889座標:北緯36度38分28.2秒東経136度57分53.6秒﻿ / ﻿北緯36.641167度 東経136.964889度﻿ /36.641167; 136.964889","","チューリップ四季彩館ホームページ","砺波市","","チューリップ","（公財）砺波市花と緑と文化の財団（指定管理者）","","","","","","","","","","","",""
"石川県農林総合研究センター林業試験場","[石川県農林総合研究センター林業試験場（石川県金沢市）] 石川県庁 （いしかわけんちょう）は 地方公共団体 である 石川県 の 行政機関 （ 役所 ）である。","https://ja.wikipedia.org/wiki/石川県農林総合研究センター林業試験場","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯36度35分41秒東経136度37分31.9秒","石川県金沢市鞍月一丁目1番北緯36度35分41秒東経136度37分31.9秒﻿ / ﻿北緯36.59472度 東経136.625528度﻿ /36.59472; 136.625528座標:北緯36度35分41秒東経136度37分31.9秒﻿ / ﻿北緯36.59472度 東経136.625528度﻿ /36.59472; 136.625528","","","","","","","","","","","","","","","金沢藩","","",""
"能登町柳田植物公園","[能登町柳田植物公園（石川県能登町）] 能登町柳田植物公園 （のとちょうやなぎだしょくぶつこうえん）は、 石川県 鳳珠郡 能登町 上町（かんまち）及び合鹿（ごうろく）地内にある植物 公園 である。遊歩道や芝生公園のほか、レストランや天体望遠鏡、宿泊施設を備えている。","https://ja.wikipedia.org/wiki/能登町柳田植物公園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯37度20分7.4秒 東経137度8分14秒","石川県能登町字上町ロ部15-1","","","能登町","","","朝日建物株式会社・株式会社アドバンス社・株式会社メディアンコンサルティンググループ","","","","","","","","ふれあいの里施設柳田植物公園","","","",""
"のと蘭ノ国","[のと蘭ノ国（石川県七尾市）] 七尾フラワーパーク・のと蘭ノ国 （ななおフラワーパーク・のとらんのくに）は、 石川県 七尾市 に所在する 植物園 である。","https://ja.wikipedia.org/wiki/のと蘭ノ国","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","","〒926-0822石川県七尾市細口町渡リスイ153","2000年（平成12年）4月29日","","七尾市株式会社能登郡七尾西南部地区蘭生産組合","","花き","株式会社創生ななお株式会社能登郡七尾西南部地区蘭生産組合","","","","","","","","七尾フラワーパーク・のと蘭ノ国","新設","","",""
"かたくり園","[かたくり園（長野県松本市）] かたくり園 （-えん）は、 長野県 松本市 波田 上海渡集落の東南側で、 カタクリ 等が群生する山の中の民有地である。16区カタクリ園友会という ボランティア 団体が管理している。カタクリの見ごろは毎年4月中旬である。","https://ja.wikipedia.org/wiki/かたくり園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"風越公園 (軽井沢町)","[風越公園 (軽井沢町)（長野県北佐久郡軽井沢町）] 風越公園 （かざこしこうえん）は、 長野県 北佐久郡 軽井沢町 にある 都市公園 （ 総合公園 ）である  。公園内にある 風越公園アリーナ は 1998年 （ 平成 10年）の 長野オリンピック で カーリング 会場として使用された  。","https://ja.wikipedia.org/wiki/風越公園_(軽井沢町)","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯36度19分26秒 東経138度35分55秒","長野県北佐久郡軽井沢町大字発地1157-6","","軽井沢風越公園","","","","","","","","","","","","","","","都市公園（総合公園）","軽井沢町"
"おぎはら植物園 (存在しないページ)","[おぎはら植物園（長野県北佐久郡軽井沢町）]","https://ja.wikipedia.org/w/index.php?title=おぎはら植物園&amp;action=edit&amp;redlink=1","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"東館山高山植物園","[東館山高山植物園（長野県下高井郡山ノ内町）] 東館山高山植物園 （ひがしだてやまこうざんしょくぶつえん）は 長野県 山ノ内町 の 志賀高原 にある 植物園 。","https://ja.wikipedia.org/wiki/東館山高山植物園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯36度43分43秒 東経138度31分16秒","","","","","","","","","","","","","","","","","","",""
"加茂花菖蒲園","[加茂花菖蒲園（静岡県掛川市）] 加茂花菖蒲園 （かもはなしょうぶえん）は、 静岡県 掛川市 原里にある花菖蒲園（ 植物園 ）である。園主は 加茂元照 。庄屋屋敷 加茂荘 （かもそう）の 庭園 にあたる。2014年8月1日、 加茂荘花鳥園 に名称変更した  。","https://ja.wikipedia.org/wiki/加茂花菖蒲園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯34度49分33.970秒東経137度57分55.922秒","〒436-0105静岡県掛川市原里110","1957年","","加茂元照","北緯34度49分33.970秒東経137度57分55.922秒﻿ / ﻿北緯34.82610278度 東経137.96553389度﻿ /34.82610278; 137.96553389座標:北緯34度49分33.970秒東経137度57分55.922秒﻿ / ﻿北緯34.82610278度 東経137.96553389度﻿ /34.82610278; 137.96553389加茂花菖蒲園 (静岡県)静岡県の地図を表示加茂花菖蒲園 (日本)日本の地図を表示","ハナショウブ（植物）","","","","","","","","","加茂花菖蒲園","","","",""
"河津バガテル公園","[河津バガテル公園（静岡県賀茂郡河津町）] 河津バガテル公園 （かわづバガテルこうえん）は、 静岡県 賀茂郡 河津町 に所在する 公園 。","https://ja.wikipedia.org/wiki/河津バガテル公園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯34度45分10秒 東経138度58分55秒","〒413-0511静岡県賀茂郡河津町峰1073","2001年（平成13年）","公式ウェブサイト","","","","河津町","","","","","","","","","","","",""
"熱川バナナワニ園","[熱川バナナワニ園（静岡県賀茂郡東伊豆町）] 熱川バナナワニ園 （あたがわバナナワニえん）とは、 静岡県 賀茂郡 東伊豆町 奈良本にある ワニ や 熱帯 性 植物 を主に扱う動植物園。","https://ja.wikipedia.org/wiki/熱川バナナワニ園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯34度48分58秒東経139度4分4秒","〒413-0302静岡県賀茂郡東伊豆町奈良本1253-10","1958年（昭和33年）9月20日","http://bananawani.jp/","","北緯34度48分58秒東経139度4分4秒﻿ / ﻿北緯34.81611度 東経139.06778度﻿ /34.81611; 139.06778座標:北緯34度48分58秒東経139度4分4秒﻿ / ﻿北緯34.81611度 東経139.06778度﻿ /34.81611; 139.06778","ワニ・レッサーパンダ・熱帯植物","株式会社熱川バナナワニ園","","","","","","","","","","","",""
"伊豆アニマルキングダム","[伊豆アニマルキングダム（静岡県賀茂郡東伊豆町）] 伊豆アニマルキングダム （いずアニマルキングダム）は、 静岡県 賀茂郡 東伊豆町 稲取にある 動物園 （動植物自然公園  、 サファリパーク ）、 遊園地 。旧伊豆バイオパークを改修  。","https://ja.wikipedia.org/wiki/伊豆アニマルキングダム","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯34度47分49.5秒東経139度2分22.3秒","〒413-0411静岡県賀茂郡東伊豆町稲取3344伊豆アニマルキングダム伊豆アニマルキングダム (日本)日本の地図を表示伊豆アニマルキングダム伊豆アニマルキングダム (静岡県)静岡県の地図を表示","1977年10月1日","izu-kamori.jp/izu-biopark/","","北緯34度47分49.5秒東経139度2分22.3秒﻿ / ﻿北緯34.797083度 東経139.039528度﻿ /34.797083; 139.039528座標:北緯34度47分49.5秒東経139度2分22.3秒﻿ / ﻿北緯34.797083度 東経139.039528度﻿ /34.797083; 139.039528","動植物園及び遊園地","(株)伊豆バイオパーク","","","","","","540,600平方メートル","","","伊豆バイオパーク（伊豆急行）","","",""
"杉山バラ園","[杉山バラ園（静岡県駿東郡清水町）] 杉山バラ園有限会社 （すぎやまバラえん）は、 静岡県 駿東郡 清水町 にある バラ 園。愛称は、 エルローザ (el-rosa)。","https://ja.wikipedia.org/wiki/杉山バラ園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"富士竹類植物園","[富士竹類植物園（静岡県駿東郡長泉町）] この記事には 複数の問題があります 。 改善 や ノートページ での議論にご協力ください。","https://ja.wikipedia.org/wiki/富士竹類植物園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度09分40秒 東経138度53分17秒","","","","","","","","","","","","","","","","","","",""
"赤塚山公園","[赤塚山公園（愛知県豊川市）] 赤塚山公園 （あかつかやまこうえん）は、 愛知県 豊川市 にある 総合公園  。","https://ja.wikipedia.org/wiki/赤塚山公園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯34度50分50.1秒東経137度21分28.37秒","日本愛知県豊川市市田町東堤上1-30","1993年7月","http://www.akatsukayama.jp/","","","","","","","","","","25.1ha","","","","","総合公園","豊川市"
"鞍ヶ池公園","[鞍ヶ池公園（愛知県豊田市）] 鞍ケ池公園 （くらがいけこうえん）は、 愛知県 豊田市 にある 公園 で地域の憩いの場となっている。地形的には、鞍ケ池という灌漑用の池と若草山と呼ばれる丘などから構成される。園内には約1,500本の サクラ が植樹されている。","https://ja.wikipedia.org/wiki/鞍ヶ池公園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度5分54.62秒東経137度13分0.66秒","日本愛知県豊田市矢並町法沢714-5","","公式ホームページ","","","","","","","","","","約96ha","","","","","風致公園（特殊公園）",""
"あおいパーク","[あおいパーク（愛知県碧南市）] あおいパーク は、 愛知県 碧南市 にある 農業 と 食 と 健康 をテーマとした体験型施設である。正式名称は「 碧南市農業活性化センター あおいパーク 」。","https://ja.wikipedia.org/wiki/あおいパーク","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯34度51分3.58秒 東経136度58分7.23秒","","","","","","","","","","","","","","","","","","",""
"あいち健康の森公園","[あいち健康の森 薬草園（愛知県大府市）] あいち健康の森公園 （あいちけんこうのもりこうえん）は、 愛知県 大府市 と 東浦町 の 丘陵地 にまたがる愛知県営の 都市公園 （広域公園）である  。前身は県立大府運動公園で、管理運営は 指定管理者 である公益財団法人愛知県都市整備協会が行っている。","https://ja.wikipedia.org/wiki/あいち健康の森公園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯34度59分55.35秒東経136度56分51.83秒","日本愛知県大府市森岡町九丁目300","1997年（平成9年）10月","あいち健康の森公園","","","","","","","","","","51.5ha","","","県立大府運動公園","","都市公園（広域公園）","愛知県（指定管理者：公益財団法人愛知県都市整備協会）"
"於大公園","[於大公園（愛知県知多郡東浦町）] 於大公園 （おだいこうえん）は、 愛知県 知多郡 東浦町 にある 公園 である。公園分類は、「総合公園」。","https://ja.wikipedia.org/wiki/於大公園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯34度58分40.39秒東経136度57分45.17秒","日本愛知県知多郡東浦町大字緒川字沙弥田2-1","","於大公園","","","","","","","","","","121,000m2","","","","","総合公園",""
"愛知県森林公園","[愛知県森林公園（愛知県名古屋市守山区･尾張旭市）] 愛知県森林公園 （あいちけんしんりんこうえん）は、 愛知県 尾張旭市 と同県 名古屋市 守山区 にまたがる愛知県立のレクレーション施設  。","https://ja.wikipedia.org/wiki/愛知県森林公園","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度14分6.56秒東経137度3分8.04秒","日本愛知県名古屋市守山区及び尾張旭市","","愛知県森林公園","","","","","","","","","","1,870,000m2","","","","","レクレーション施設","愛知県"
"荒子川公園ガーデンプラザ (存在しないページ)","[荒子川公園ガーデンプラザ（愛知県名古屋市港区）]","https://ja.wikipedia.org/w/index.php?title=荒子川公園ガーデンプラザ&amp;action=edit&amp;redlink=1","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"庄内緑地","[庄内緑地（愛知県名古屋市西区）] 庄内緑地 （しょうないりょくち）は、 愛知県 名古屋市 西区 山田町 にある 庄内川 の小田井遊水地を利用した 公園 である  。","https://ja.wikipedia.org/wiki/庄内緑地","日本の植物園一覧","https://ja.wikipedia.org/wiki/日本の植物園一覧","箇条書き,制限あり","北緯35度12分33.48秒東経136度52分56.07秒","日本愛知県名古屋市西区山田町大字上小田井字敷地3527","1986年4月","庄内緑地","","","","","","","","","","約44ha","","","","","総合公園",""
