"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","標高","位置","山系","種類","最新噴火","初登頂","最高峰","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"黒斑山","[66黒斑山くろふやま2,404m群馬県長野県ヒメシャジン地理院地図Google Map浅間山の外輪山] 黒斑山 （くろふやま）は、 群馬県 嬬恋村 と 長野県 小諸市 にある 浅間山 の第一 外輪山 の 最高峰 である 標高 2,404 m の 山 。","https://ja.wikipedia.org/wiki/黒斑山","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯36度24分19秒東経138度29分19秒","日本群馬県嬬恋村長野県小諸市","2,404m","北緯36度24分19秒東経138度29分19秒﻿ / ﻿北緯36.40528度 東経138.48861度﻿ /36.40528; 138.48861座標:北緯36度24分19秒東経138度29分19秒﻿ / ﻿北緯36.40528度 東経138.48861度﻿ /36.40528; 138.48861","浅間山","馬蹄形カルデラ外輪山","","","","","","","","","","","","","",""
"浅間山","[67浅間山あさまやま2,568m群馬県長野県ムラサキ地理院地図Google Map日本百名山カルデラ] 浅間山 （あさまやま）は、 長野県 北佐久郡 軽井沢町 及び 御代田町 と 群馬県 吾妻郡 嬬恋村 との境にある 安山岩 質の 標高 2,568 メートル (m) の 成層火山 。山体は 円錐 形で カルデラ も形成されており、活発な 活火山 として知られる。","https://ja.wikipedia.org/wiki/浅間山","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯36度24分23秒東経138度31分23秒","日本群馬県吾妻郡嬬恋村長野県北佐久郡軽井沢町・御代田町","2,568m","北緯36度24分23秒東経138度31分23秒﻿ / ﻿北緯36.40639度 東経138.52306度﻿ /36.40639; 138.52306座標:北緯36度24分23秒東経138度31分23秒﻿ / ﻿北緯36.40639度 東経138.52306度﻿ /36.40639; 138.52306","浅間山系","成層火山（活火山ランクA）","","","","","","","","","","","","","",""
"槍ヶ岳","[68槍ヶ岳やりがたけ3,180m長野県岐阜県トウヤクリンドウ地理院地図Google Map中部山岳国立公園日本百名山、新日本百名山各都道府県の最高峰日本の山一覧 (高さ順)(第5位)] 槍ヶ岳 （やりがたけ）は、 飛騨山脈 南部にある 標高 3,180 m の 山 である。山域は 中部山岳国立公園 に指定されており  、 日本で5番目に高い山 である。 長野県 松本市 ・ 大町市 ・ 岐阜県 高山市 の境界にある。初登攀は 僧 の 播隆上人 。 日本百名山  、 新日本百名山  及び 花の百名山  に選定されている。通称「槍」。","https://ja.wikipedia.org/wiki/槍ヶ岳","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯36度20分31秒東経137度38分51秒","日本長野県松本市、大町市岐阜県高山市","3,180m","北緯36度20分31秒東経137度38分51秒﻿ / ﻿北緯36.34194度 東経137.64750度﻿ /36.34194; 137.64750座標:北緯36度20分31秒東経137度38分51秒﻿ / ﻿北緯36.34194度 東経137.64750度﻿ /36.34194; 137.64750","飛騨山脈","氷食尖峰","","1828年7月20日 (旧暦)（播隆上人）","","","","","","","","","","","",""
"白馬岳","[69白馬岳しろうまだけ2,932m長野県富山県コマクサ地理院地図Google Mapウルップソウ白馬大雪渓中部山岳国立公園新・花の百名山日本百名山、新日本百名山日本の山一覧 (高さ順)(第26位)] 白馬岳 （しろうまだけ）は、 飛騨山脈 （北アルプス）北部の 後立山連峰 にある 標高 2,932 m の 山 。 長野県 と 富山県 とにまたがり、 中部山岳国立公園  内にある。","https://ja.wikipedia.org/wiki/白馬岳","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯36度45分31秒東経137度45分31秒","日本長野県北安曇郡白馬村富山県黒部市、下新川郡朝日町","2,932.24m","北緯36度45分31秒東経137度45分31秒﻿ / ﻿北緯36.75861度 東経137.75861度﻿ /36.75861; 137.75861座標:北緯36度45分31秒東経137度45分31秒﻿ / ﻿北緯36.75861度 東経137.75861度﻿ /36.75861; 137.75861","飛騨山脈（後立山連峰）","褶曲・隆起","","1883年（北安曇郡長ら）","","","","","","","","","","","",""
"木曽駒ヶ岳","[70木曽駒ヶ岳きそこまがたけ2,956m長野県ヒメウスユキソウ地理院地図Google Map中央アルプスの主峰駒ヶ岳ロープウェイ日本百名山、新日本百名山日本の山一覧 (高さ順)(第25位)] 木曽駒ヶ岳 （きそこまがたけ）は 長野県 上松町 ・ 木曽町 ・ 宮田村 の境界にそびえる 標高 2,956 m の 山 で、 木曽山脈 （中央アルプス）の最高峰。 日本百名山  、 新日本百名山  、 花の百名山  に選定されている。 木曾駒ヶ岳 とも表記され、また略して 木曽駒 と呼ばれる事もある。","https://ja.wikipedia.org/wiki/木曽駒ヶ岳","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯35度47分22秒東経137度48分16秒","長野県木曽郡上松町・木曽町上伊那郡宮田村","2,955.95m","北緯35度47分22秒東経137度48分16秒﻿ / ﻿北緯35.78944度 東経137.80444度﻿ /35.78944; 137.80444","木曽山脈（中央アルプス）","","","","","","","","","","","","","","",""
"御嶽山","[71御嶽山おんたけさん3,067m長野県岐阜県リンネソウ地理院地図Google Map巨大な独立峰火口湖日本百名山日本の山一覧 (高さ順)(第14位)] 御嶽山  （おんたけさん）は、 長野県 木曽郡 木曽町 ・ 王滝村 と 岐阜県 下呂市 ・ 高山市 にまたがり、 東日本火山帯 の西端に位置する 標高 3,067 m の複合 成層火山 である   。大きな裾野を広げる 独立峰 である   。","https://ja.wikipedia.org/wiki/御嶽山","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯35度53分34秒東経137度28分49秒","日本長野県木曽郡木曽町・王滝村岐阜県下呂市・高山市","最高峰剣ヶ峰 3,067m","北緯35度53分34秒東経137度28分49秒﻿ / ﻿北緯35.89278度 東経137.48028度﻿ /35.89278; 137.48028座標:北緯35度53分34秒東経137度28分49秒﻿ / ﻿北緯35.89278度 東経137.48028度﻿ /35.89278; 137.48028","独立峰（御嶽山系）","成層火山活火山ランクB、噴火警戒レベル1(活火山であることに留意)","2014年（継続中）","（702年に役小角が開山）","","","","","","","","","","","",""
"西穂高岳","[72西穂高岳にしほたかだけ2,909m長野県岐阜県センジュガンピ地理院地図Google Map新穂高ロープウェイ中部山岳国立公園日本の山一覧 (高さ順)(第31位)] 西穂高岳 （にしほたかだけ）は、 長野県 松本市 と 岐阜県 高山市 にまたがる 標高 2,909 m の 飛騨山脈 （北アルプス）南部の 山 である。山域は 中部山岳国立公園 に指定され  、 花の百名山 に選定されている  。","https://ja.wikipedia.org/wiki/西穂高岳","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯36度16分44秒東経137度37分45秒","長野県松本市岐阜県高山市","2,908.59m","北緯36度16分44秒東経137度37分45秒﻿ / ﻿北緯36.27889度 東経137.62917度﻿ /36.27889; 137.62917座標:北緯36度16分44秒東経137度37分45秒﻿ / ﻿北緯36.27889度 東経137.62917度﻿ /36.27889; 137.62917","飛騨山脈","","","1906年　（阿部郡治）","","","","","","","","","","","",""
"戸隠山","[73戸隠山とがくしやま1,904m長野県クリンソウ地理院地図Google Map北信五岳] 戸隠山 （とがくしやま）は、 長野県 長野市 にある山。 戸隠連峰 の一峰で、 標高 は1,904m。400万年前から270万年前頃の 新第三紀 の 海底火山 由来の 火成岩 が、山体を作っていると考えられる  。","https://ja.wikipedia.org/wiki/戸隠山","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯36度46分13秒東経138度03分18秒","日本長野県長野市","1,904m","北緯36度46分13秒東経138度03分18秒﻿ / ﻿北緯36.77028度 東経138.05500度﻿ /36.77028; 138.05500座標:北緯36度46分13秒東経138度03分18秒﻿ / ﻿北緯36.77028度 東経138.05500度﻿ /36.77028; 138.05500","戸隠連峰","","","","","","","","","","","","","","",""
"火打山","[74火打山ひうちやま2,462m新潟県ハクサンコザクラ地理院地図Google Map頸城三山日本百名山高谷池ヒュッテ湿原] 火打山 （ひうちやま）は、 妙高戸隠連山国立公園 内の 新潟県 糸魚川市 と 妙高市 にまたがる 標高 2,462 m の 頸城山塊 の 最高峰 である   。 日本百名山  、及び 花の百名山   に選定されている。","https://ja.wikipedia.org/wiki/火打山","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯36度55分22秒東経138度04分05秒","日本新潟県糸魚川市、妙高市","2,461.77m","北緯36度55分22秒東経138度04分05秒﻿ / ﻿北緯36.92278度 東経138.06806度﻿ /36.92278; 138.06806座標:北緯36度55分22秒東経138度04分05秒﻿ / ﻿北緯36.92278度 東経138.06806度﻿ /36.92278; 138.06806","頸城山塊","","","","","","","","","","","","","","",""
"縞枯山","[75縞枯山しまがれやま2,403m長野県オサバグサ地理院地図Google Map八ヶ岳連峰（北八ヶ岳）] 縞枯山 （しまがれやま）は、 八ヶ岳連峰 の 北八ヶ岳 にある標高2,403mの山。","https://ja.wikipedia.org/wiki/縞枯山","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯36度04分31秒東経138度19分53秒","日本長野県南佐久郡佐久穂町・茅野市","2,403m","北緯36度04分31秒東経138度19分53秒﻿ / ﻿北緯36.07528度 東経138.33139度﻿ /36.07528; 138.33139座標:北緯36度04分31秒東経138度19分53秒﻿ / ﻿北緯36.07528度 東経138.33139度﻿ /36.07528; 138.33139","八ヶ岳連峰","","","","","","","","","","","","","","",""
"爺ヶ岳","[76爺ヶ岳じいがたけ2,670m富山県長野県カライトソウ地理院地図Google Map中部山岳国立公園新・花の百名山日本三百名山日本の山一覧 (高さ順)(第99位)] 爺ヶ岳 （じいがたけ）は、 富山県 中新川郡 立山町 と 長野県 大町市 にまたがる、 飛騨山脈 （北アルプス）・ 後立山連峰 南部の 標高 2,670 m の 山 。山名は長野県側では「 じ いがたけ」と頭高型 アクセント で発音される。また栂山・栂谷ノ峯・後立山・五六ヶ岳・爺岳・爺子岳の別称を持つ  。","https://ja.wikipedia.org/wiki/爺ヶ岳","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯36度35分18秒東経137度45分03秒","日本富山県中新川郡立山町長野県大町市","2,669.82m","北緯36度35分18秒東経137度45分03秒﻿ / ﻿北緯36.58833度 東経137.75083度﻿ /36.58833; 137.75083座標:北緯36度35分18秒東経137度45分03秒﻿ / ﻿北緯36.58833度 東経137.75083度﻿ /36.58833; 137.75083","飛騨山脈（後立山連峰）","褶曲・隆起","","","","","","","","","","","","","",""
"鹿島槍ヶ岳","[77鹿島槍ヶ岳かしまやりがたけ2,889m富山県長野県タカネツメクサ地理院地図Google Map双耳峰中部山岳国立公園新・花の百名山日本百名山日本の山一覧 (高さ順)(第36位)] 鹿島槍ヶ岳 （かしまやりがたけ）は、 富山県 黒部市 、 中新川郡 立山町 および 長野県 大町市 にまたがる 後立山連峰 （ 飛騨山脈 ）の 標高 2,889 m の 山   。 中部山岳国立公園 内にある   。後立山連峰の盟主とされる   。","https://ja.wikipedia.org/wiki/鹿島槍ヶ岳","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯36度37分28秒東経137度44分49秒","日本富山県黒部市・立山町長野県大町市","2,889.08m","北緯36度37分28秒東経137度44分49秒﻿ / ﻿北緯36.62444度 東経137.74694度﻿ /36.62444; 137.74694座標:北緯36度37分28秒東経137度44分49秒﻿ / ﻿北緯36.62444度 東経137.74694度﻿ /36.62444; 137.74694","飛騨山脈（後立山連峰）","褶曲・隆起","","","","","","","","","","","","","",""
"五頭山","[78五頭山ごずさん912m新潟県オオイワカガミ地理院地図Google Map五頭五峰] 五頭山 （ごずさん）は 新潟県 阿賀野市 と 東蒲原郡 阿賀町 にまたがる 山 。 標高は912m。","https://ja.wikipedia.org/wiki/五頭山","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯37度48分03秒東経139度20分45秒","新潟県阿賀野市・東蒲原郡阿賀町","912m","北緯37度48分03秒東経139度20分45秒﻿ / ﻿北緯37.80083度 東経139.34583度﻿ /37.80083; 139.34583","五頭連峰","","","","","","","","","","","","","","",""
"高峰山","[79高峰山たかみねさん2,106m長野県コウリンカ地理院地図Google Map高峰高原] 高峰山 （たかみねやま他）","https://ja.wikipedia.org/wiki/高峰山","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"霧ヶ峰","[80霧ヶ峰きりがみね1,925m長野県ヤナギラン地理院地図Google Map日本百名山] 霧ヶ峰 （きりがみね）は、長野県中部の 茅野市 、 諏訪市 、 諏訪郡 下諏訪町 にまたがる 火山  。 八ヶ岳中信高原国定公園 内にある  。","https://ja.wikipedia.org/wiki/霧ヶ峰","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯36度06分11秒東経138度11分48秒","長野県茅野市・諏訪市・諏訪郡下諏訪町・小県郡長和町","車山1,925m","北緯36度06分11秒東経138度11分48秒﻿ / ﻿北緯36.10306度 東経138.19667度﻿ /36.10306; 138.19667座標:北緯36度06分11秒東経138度11分48秒﻿ / ﻿北緯36.10306度 東経138.19667度﻿ /36.10306; 138.19667","","火山","約75万年前","","","","","","","","","","","","",""
"志賀高原","[81志賀高原しがこうげん2,036m長野県イブキジャコウソウ地理院地図Google Map志賀山] 志賀高原 （しがこうげん）は、 上信越高原国立公園 の一部である 長野県 下高井郡 山ノ内町 とその周辺一帯に広がる 高原 である  。","https://ja.wikipedia.org/wiki/志賀高原","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯36度42分20秒 東経138度30分28秒","","","","","","","","","","","","","","","","","","",""
"浜石岳","[82浜石岳はまいしだけ707m静岡県ヤマユリ地理院地図Google Map富士山展望] 浜石岳 （はまいしだけ）は、 静岡県 静岡市 清水区   の北東部に位置する 標高 707 m の 山   。東山麓の旧 由比町 での別名が西山  。","https://ja.wikipedia.org/wiki/浜石岳","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯35度07分0秒東経138度32分0秒","日本静岡県静岡市清水区","706.81m","北緯35度07分0秒東経138度32分0秒﻿ / ﻿北緯35.11667度 東経138.53333度﻿ /35.11667; 138.53333座標:北緯35度07分0秒東経138度32分0秒﻿ / ﻿北緯35.11667度 東経138.53333度﻿ /35.11667; 138.53333","赤石山脈（南アルプス）中央連嶺の大井川左岸山系","","","","","","","","","","","","","","",""
"三上山","[83三上山みかみやま432m滋賀県イワナシ地理院地図Google Map近江富士] 三上山 （みかみやま）は 滋賀県 野洲市 三上にある 山 。一般には 近江富士 として知られる。 標高 432m。ふもとには 御上神社 や 滋賀県希望が丘文化公園 がある。","https://ja.wikipedia.org/wiki/三上山","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯35度03分01秒東経136度02分16秒","日本滋賀県野洲市","432m","北緯35度03分01秒東経136度02分16秒﻿ / ﻿北緯35.05028度 東経136.03778度﻿ /35.05028; 136.03778座標:北緯35度03分01秒東経136度02分16秒﻿ / ﻿北緯35.05028度 東経136.03778度﻿ /35.05028; 136.03778","","残丘","","","","","","","","","","","","","",""
"藤原岳","[84藤原岳ふじわらだけ1,140m三重県滋賀県アワコバイモ[[Image:画像募集中|128px] 藤原岳 （ふじわらだけ）は 鈴鹿国定公園 の 三重県 いなべ市 と 滋賀県 東近江市 との境界にある 山 。 標高 1,144 m  。 鈴鹿山脈 の北部に位置し、 日本三百名山 及び 関西百名山 、 花の百名山 に選定されている。","https://ja.wikipedia.org/wiki/藤原岳","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯35度09分31秒東経136度27分10秒","日本三重県いなべ市滋賀県東近江市","1,144m","北緯35度09分31秒東経136度27分10秒﻿ / ﻿北緯35.15861度 東経136.45278度﻿ /35.15861; 136.45278座標:北緯35度09分31秒東経136度27分10秒﻿ / ﻿北緯35.15861度 東経136.45278度﻿ /35.15861; 136.45278","鈴鹿山脈","堆積岩（石灰岩）","","","","","","","","","","","","","",""
"霊仙山","[85霊仙山りょうぜんさん1,083m滋賀県ヒロハノアマナ地理院地図Google Map鈴鹿山脈の最北端カルスト台地ミスミソウフクジュソウ] 霊仙山 （りょうぜんざん、りょうぜんやま）は、 滋賀県 の 犬上郡 多賀町 と 米原市 にまたがる 鈴鹿山脈 の最北に位置する 標高 1,094 m の 山 。山の東山腹は 岐阜県 大垣市 上石津町 と 不破郡 関ケ原町 に属する。北側には 伊吹山 が対峙している。『 花の百名山 』  として花の多い山であることが知られていて  、シーズン中は多くの登山者が訪れる。","https://ja.wikipedia.org/wiki/霊仙山","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯35度16分45秒東経136度22分53秒","日本滋賀県犬上郡多賀町、米原市岐阜県大垣市上石津町、不破郡関ケ原町","1,094m","北緯35度16分45秒東経136度22分53秒﻿ / ﻿北緯35.27917度 東経136.38139度﻿ /35.27917; 136.38139","鈴鹿山脈","堆積岩（石灰岩）","","","","","","","","","","","","","",""
"二上山","[86二上山にじょうざん517m奈良県大阪府テイショウソウ地理院地図Google Map双耳峰金剛山地] 二上山 （にじょうさん  ）は、 奈良県 葛城市 と 大阪府 南河内郡 太子町 にまたがる 山 。かつては 大和言葉 による読みで「 ふたかみやま 」と呼ばれた。 金剛山地 北部に位置し、北方の 雄岳 （517m）と南方の 雌岳 （474m）の2つの山頂がある双耳峰で、 大阪みどりの百選 に選定されている  。また、 石器 に使われた 讃岐岩 （サヌカイト）の産地である。","https://ja.wikipedia.org/wiki/二上山_(奈良県・大阪府)","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯34度31分32秒東経135度40分39秒","日本奈良県葛城市加守大阪府南河内郡太子町大字山田","雄岳 517m、雌岳 474m","北緯34度31分32秒東経135度40分39秒﻿ / ﻿北緯34.52556度 東経135.67750度﻿ /34.52556; 135.67750座標:北緯34度31分32秒東経135度40分39秒﻿ / ﻿北緯34.52556度 東経135.67750度﻿ /34.52556; 135.67750","金剛山地","","","","","","","","","","","","","","",""
"葛城山","[87葛城山かつらぎさん959m奈良県大阪府ミヤマラッキョウ[[Image:画像募集中|128px] 大和葛城山 （やまとかつらぎさん）は、 奈良県 御所市 と 大阪府 南河内郡 千早赤阪村 との境に位置する標高959.2mの 山 である。単に 葛城山 と呼ばれることもある。","https://ja.wikipedia.org/wiki/大和葛城山","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯34度27分22秒東経135度40分56秒","日本奈良県御所市・大阪府南河内郡千早赤阪村","959.2m","北緯34度27分22秒東経135度40分56秒﻿ / ﻿北緯34.45611度 東経135.68222度﻿ /34.45611; 135.68222座標:北緯34度27分22秒東経135度40分56秒﻿ / ﻿北緯34.45611度 東経135.68222度﻿ /34.45611; 135.68222","金剛山地","","","","","","","","","","","","","","",""
"愛宕山","[88愛宕山あたごやま924m京都府オタカラコウ地理院地図Google Map愛宕神社の総本山] 愛宕山 （あたごやま、あたごさん）は、 京都府 京都市 右京区 の北西部、 山城国 と 丹波国 の国境にある 山 である。京都市街を取り巻く山の中で、 比叡山 と並びよく目立っており、信仰の山としても知られる。","https://ja.wikipedia.org/wiki/愛宕山_(京都市)","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯35度03分36秒東経135度38分03秒","日本京都府京都市右京区","924m","北緯35度03分36秒東経135度38分03秒﻿ / ﻿北緯35.06000度 東経135.63417度﻿ /35.06000; 135.63417座標:北緯35度03分36秒東経135度38分03秒﻿ / ﻿北緯35.06000度 東経135.63417度﻿ /35.06000; 135.63417","","","","","","","","","","","","","","","",""
"御池岳","[89御池岳おいけだけ1,247m滋賀県ヤマエンゴサク地理院地図Google Map鈴鹿山脈の最高峰カルスト台地日本三百名山鈴鹿セブンマウンテン] 御池岳 （おいけだけ）は、 滋賀県 東近江市 の 鈴鹿国定公園 内にある 標高 1,247 m の 山 。山腹の北東面は 三重県 いなべ市 との境界に位置する。 鈴鹿山脈 および東近江市の 最高峰 。","https://ja.wikipedia.org/wiki/御池岳","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯35度10分43秒東経136度24分54秒","日本滋賀県東近江市（三重県いなべ市）","1,247m","北緯35度10分43秒東経136度24分54秒﻿ / ﻿北緯35.17861度 東経136.41500度﻿ /35.17861; 136.41500座標:北緯35度10分43秒東経136度24分54秒﻿ / ﻿北緯35.17861度 東経136.41500度﻿ /35.17861; 136.41500","鈴鹿山脈","堆積岩（石灰岩）","","","","","","","","","","","","","",""
"大台ケ原山","[90大台ケ原山おおだいがはらやま1,695m奈良県三重県イナモリソウ地理院地図Google Map多雨地帯日本百名山新日本百名山各都道府県の最高峰] 大台ヶ原山 （おおだいがはらやま）は 奈良県 と 三重県 の 県境 にある 標高 1695.1m  の 山 である。 深田久弥 によって「 日本百名山 」に選ばれたほか、 日本百景 、 日本の秘境100選 にも選ばれている。 1980年 （昭和55年）に 国際連合教育科学文化機関 の 生物圏保護区 （ユネスコエコパーク）に登録された（登録名：大台ケ原・ 大峯山 ・ 大杉谷 ）  。","https://ja.wikipedia.org/wiki/大台ケ原山","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯34度11分7秒東経136度6分33秒","奈良県吉野郡上北山村、川上村、三重県多気郡大台町","1,695.1m","北緯34度11分7秒東経136度6分33秒﻿ / ﻿北緯34.18528度 東経136.10917度﻿ /34.18528; 136.10917座標:北緯34度11分7秒東経136度6分33秒﻿ / ﻿北緯34.18528度 東経136.10917度﻿ /34.18528; 136.10917","台高山脈","隆起準平原","","","","","","","","","","","","","",""
"大山","[91大山だいせん1,709m鳥取県ダイセンクワガタ[[Image:画像募集中|128px] 大山 （だいせん）は、 日本 の 鳥取県 にある 標高 1,729mの 山 。 成層火山 であるが、 活火山 としては扱われていない  。鳥取県および 中国地方 の最高峰でもある。 角盤山 （かくばんざん）とも呼ばれるほか、鳥取県西部の 旧国名 が 伯耆国 であったことから 伯耆大山 （ほうきだいせん）、あるいはその山容から 郷土富士 として 伯耆富士 や 出雲富士 とも呼ばれる  。 日本百名山 や 日本百景 にも選定され、鳥取県のシンボルの一つとされている  。","https://ja.wikipedia.org/wiki/大山_(鳥取県)","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯35度22分16秒東経133度32分24秒","日本鳥取県大山町・琴浦町・江府町など","1,729m","北緯35度22分16秒東経133度32分24秒﻿ / ﻿北緯35.37111度 東経133.54000度﻿ /35.37111; 133.54000座標:北緯35度22分16秒東経133度32分24秒﻿ / ﻿北緯35.37111度 東経133.54000度﻿ /35.37111; 133.54000","独立峰（大山山系）","成層火山・溶岩ドーム","約2万800年前","","","","","","","","","","","","",""
"天狗高原","[92天狗高原てんぐこうげん1,484m高知県愛媛県ユキモチソウ地理院地図Google Map国民宿舎] 天狗高原 （てんぐこうげん）は、 高知県 高岡郡 津野町 にある標高1000～1400メートルの 高原 である  。","https://ja.wikipedia.org/wiki/天狗高原","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯33度28分28.75秒東経132度59分40.38秒","愛媛県上浮穴郡久万高原町・高知県高岡郡津野町・吾川郡仁淀川町","1,485.0m","北緯33度28分28.75秒東経132度59分40.38秒﻿ / ﻿北緯33.4746528度 東経132.9945500度﻿ /33.4746528; 132.9945500","四国山地","","","","","","","","","","","","","","",""
"東赤石山","[93東赤石山ひがしあかいしやま1,706m愛媛県コイチヨウラン地理院地図Google Map日本二百名山] 東赤石山 （ひがしあかいしやま）は、 四国 に位置する標高1,706mの 山 である。 愛媛県 四国中央市 （旧 宇摩郡 土居町 ）と 新居浜市 （旧宇摩郡 別子山村 ）の境界に位置する。","https://ja.wikipedia.org/wiki/東赤石山","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯33度52分30秒東経133度22分30秒","日本愛媛県四国中央市、新居浜市","1,706.0m","北緯33度52分30秒東経133度22分30秒﻿ / ﻿北緯33.87500度 東経133.37500度﻿ /33.87500; 133.37500座標:北緯33度52分30秒東経133度22分30秒﻿ / ﻿北緯33.87500度 東経133.37500度﻿ /33.87500; 133.37500","石鎚山脈東部 -法皇山脈","","","","","","","","","","","","","","",""
"横倉山","[94横倉山よこくらやま793m高知県オオバノトンボソウ地理院地図Google Map横倉宮] 横倉山 （よこくらやま）は、 高知県 高岡郡 越知町 にある 標高 800mの 山 。 四国百名山 では高知市周辺の山に分類されており、山頂には横倉宮がある歴史と伝説の山である  。 横倉山県立自然公園 に指定されている。","https://ja.wikipedia.org/wiki/横倉山_(高知県)","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯33度32分9秒東経133度12分28秒","高知県高岡郡越知町","800m","北緯33度32分9秒東経133度12分28秒﻿ / ﻿北緯33.53583度 東経133.20778度﻿ /33.53583; 133.20778","四国山地","","","","","","","","","","","","","","",""
"石鎚山","[95石鎚山いしづちやま1,982m愛媛県キレンゲショウマ地理院地図Google Map修験者の山新・花の百名山日本百名山、新日本百名山各都道府県の最高峰] 石鎚山 （いしづちさん、いしづちやま）は、 四国山地 西部に位置する標高1,982 mの 山 で、 近畿 以西を「西日本」とした場合の 西日本 最高峰である。 愛媛県 西条市 と 久万高原町 の境界に位置する。","https://ja.wikipedia.org/wiki/石鎚山","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯33度46分03秒東経133度06分54秒","日本愛媛県西条市・久万高原町","1,982m","北緯33度46分03秒東経133度06分54秒﻿ / ﻿北緯33.76750度 東経133.11500度﻿ /33.76750; 133.11500座標:北緯33度46分03秒東経133度06分54秒﻿ / ﻿北緯33.76750度 東経133.11500度﻿ /33.76750; 133.11500","四国山地","","","850年（嘉祥3年）（灼然、寂仙）","","","","","","","","","","","",""
"丸笹山","[96丸笹山まるささやま1,712m徳島県ワチガイソウ地理院地図Google Map剣山の北] 丸笹山 （まるささやま）は、 徳島県 三好市 ・ 美馬市 ・ 美馬郡 つるぎ町 の境界に位置する 山 である。 標高 1,711.9 m 。 花の百名山 、 四国百名山 指定。","https://ja.wikipedia.org/wiki/丸笹山","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯33度52分27秒東経134度05分24秒","徳島県三好市・美馬市・美馬郡つるぎ町","1,711.9m","北緯33度52分27秒東経134度05分24秒﻿ / ﻿北緯33.87417度 東経134.09000度﻿ /33.87417; 134.09000","四国山地剣山系","","","","","","","","","","","","","","",""
"剣山","[97剣山つるぎさん1,955m徳島県クリンユキフデ地理院地図Google Map笹原の穏やかな山容日本百名山、新日本百名山各都道府県の最高峰] ","https://ja.wikipedia.org/wiki/剣山","花の百名山","https://ja.wikipedia.org/wiki/花の百名山","表形式","北緯33度51分13秒東経134度05分39秒","日本徳島県三好市・美馬市・那賀郡那賀町","1,954.65m","北緯33度51分13秒東経134度05分39秒﻿ / ﻿北緯33.85361度 東経134.09417度﻿ /33.85361; 134.09417座標:北緯33度51分13秒東経134度05分39秒﻿ / ﻿北緯33.85361度 東経134.09417度﻿ /33.85361; 134.09417","四国山地","","","","","","","","","","","","","","",""
