"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","ホーム","所在地","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","標高","標高差","最長滑走距離","最大傾斜","コース数"
"八丁牟田駅","八丁牟田駅（はっちょうむたえき）","https://ja.wikipedia.org/wiki/八丁牟田駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯33度12分33.62秒東経130度26分16.08秒","■天神大牟田線","52.9 km（西鉄福岡（天神）起点）","西日本鉄道","地上駅","1937年（昭和12年）10月1日","2面2線","福岡県三潴郡大木町大字八町牟田北緯33度12分33.62秒東経130度26分16.08秒﻿ / ﻿北緯33.2093389度 東経130.4378000度﻿ /33.2093389; 130.4378000座標:北緯33度12分33.62秒東経130度26分16.08秒﻿ / ﻿北緯33.2093389度 東経130.4378000度﻿ /33.2093389; 130.4378000","","T  36 ","","","1,244人/日-2019年-","","","","","","",""
"八東駅","八東駅（はっとうえき）","https://ja.wikipedia.org/wiki/八東駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","","若桜線","9.8 km（郡家起点）","若桜鉄道","地上駅","1930年（昭和5年）1月20日","2面2線","","簡易委託駅","","ハト","","60人/日-2018年-","","","","","","",""
"初富駅","初富駅（はつとみえき）","https://ja.wikipedia.org/wiki/初富駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","","■新京成線","13.3 km（松戸起点）","新京成電鉄","高架駅","1949年（昭和24年）10月7日","島式ホーム1面2線","","","SL12","","","5,575人/日-2019年-","","","","","","",""
"服部駅 (岡山県)","服部駅（はっとりえき）","https://ja.wikipedia.org/wiki/服部駅_(岡山県)","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯34度41分27.93秒東経133度46分30.59秒","U吉備線（桃太郎線）","16.2 km（岡山起点）","西日本旅客鉄道（JR西日本）","地上駅","1908年（明治41年）4月20日","1面1線","岡山県総社市北溝手243-6北緯34度41分27.93秒東経133度46分30.59秒﻿ / ﻿北緯34.6910917度 東経133.7751639度﻿ /34.6910917; 133.7751639﻿ (服部駅)","無人駅（自動券売機 有）","JR-U08","ハト","828人/日（降車客含まず）-2019年-","","","","","","","",""
"服部川駅","服部川駅（はっとりがわえき）","https://ja.wikipedia.org/wiki/服部川駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯34度37分34.5秒東経135度38分29.4秒","J信貴線","2.0 km（河内山本起点）","近畿日本鉄道（近鉄）","地上駅","1930年（昭和5年）12月15日","1面1線","大阪府八尾市服部川七丁目258北緯34度37分34.5秒東経135度38分29.4秒﻿ / ﻿北緯34.626250度 東経135.641500度﻿ /34.626250; 135.641500座標:北緯34度37分34.5秒東経135度38分29.4秒﻿ / ﻿北緯34.626250度 東経135.641500度﻿ /34.626250; 135.641500",""," J13 ","ハトリ","1,171人/日（降車客含まず）-2016年-","","","","","","","",""
"服部天神駅","服部天神駅（はっとりてんじんえき）","https://ja.wikipedia.org/wiki/服部天神駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯34度45分47.93秒東経135度28分29.80秒","■宝塚本線","7.5 km（大阪梅田起点）","阪急電鉄","地上駅","1910年（明治43年）3月10日","2面2線","大阪府豊中市服部元町一丁目1番1号[1]北緯34度45分47.93秒東経135度28分29.80秒﻿ / ﻿北緯34.7633139度 東経135.4749444度﻿ /34.7633139; 135.4749444座標:北緯34度45分47.93秒東経135度28分29.80秒﻿ / ﻿北緯34.7633139度 東経135.4749444度﻿ /34.7633139; 135.4749444","上下ホームは改札口が別","HK43","","","（特定日）25,511人/日-2016年-","","（通年平均）23,909人/日-2017年-","","","","",""
"初野駅","初野駅（はつのえき）","https://ja.wikipedia.org/wiki/初野駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯44度30分47.7秒東経142度20分8.7秒","■宗谷本線","101.9 km（旭川起点）","北海道旅客鉄道（JR北海道）","地上駅","1948年（昭和23年）6月","1面1線","北海道中川郡美深町字富岡北緯44度30分47.7秒東経142度20分8.7秒座標:北緯44度30分47.7秒 東経142度20分8.7秒","無人駅","○W55","ハノ","","10人/日-2014年-","","","","","","",""
"鳩ヶ谷駅","鳩ヶ谷駅（はとがやえき）","https://ja.wikipedia.org/wiki/鳩ヶ谷駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯35度49分51.01秒東経139度44分9.30秒","■埼玉高速鉄道線（埼玉スタジアム線）","5.9 km（赤羽岩淵起点）","埼玉高速鉄道","地下駅","2001年（平成13年）3月28日","1面2線","埼玉県川口市大字里1650番地の1北緯35度49分51.01秒東経139度44分9.30秒﻿ / ﻿北緯35.8308361度 東経139.7359167度﻿ /35.8308361; 139.7359167﻿ (鳩ヶ谷駅)座標:北緯35度49分51.01秒東経139度44分9.30秒﻿ / ﻿北緯35.8308361度 東経139.7359167度﻿ /35.8308361; 139.7359167﻿ (鳩ヶ谷駅)","","SR22","","11,990人/日（降車客含まず）-2019年-","","","","","","","",""
"鳩ノ巣駅","鳩ノ巣駅（はとのすえき）","https://ja.wikipedia.org/wiki/鳩ノ巣駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯35度48分53.8秒東経139度7分43.5秒","■青梅線（東京アドベンチャーライン）","33.8 km（立川起点）","東日本旅客鉄道（JR東日本）","地上駅","1944年（昭和19年）7月1日[2]","2面2線[1]","東京都西多摩郡奥多摩町棚沢390北緯35度48分53.8秒東経139度7分43.5秒座標:北緯35度48分53.8秒 東経139度7分43.5秒","無人駅（乗車駅証明書発行機 有）","JC72","トノ","181人/日（降車客含まず）-2014年-","","","","","","","",""
"羽鳥駅","羽鳥駅（はとりえき）","https://ja.wikipedia.org/wiki/羽鳥駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯36度14分50.30秒東経140度17分12.48秒","■常磐線","86.5 km（日暮里起点）","東日本旅客鉄道（JR東日本）","地上駅(橋上駅)","1895年（明治28年）12月1日","2面3線","茨城県小美玉市羽鳥2665北緯36度14分50.30秒東経140度17分12.48秒座標:北緯36度14分50.30秒 東経140度17分12.48秒","業務委託駅","","ハト","2,290人/日（降車客含まず）-2019年-","","","","","","","",""
"英彦山花園スロープカー","花駅（はなえき）","https://ja.wikipedia.org/wiki/英彦山花園スロープカー#乗降場","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"花泉駅","花泉駅（はないずみえき）","https://ja.wikipedia.org/wiki/花泉駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯38度50分0.43秒東経141度10分48.20秒","■東北本線","431.2 km（東京起点）","東日本旅客鉄道（JR東日本）","地上駅","1890年（明治23年）4月16日[1]","2面3線[1]","岩手県一関市花泉町花泉字地平17北緯38度50分0.43秒東経141度10分48.20秒","業務委託駅","","ハナ","326人/日（降車客含まず）-2019年-","","","","","","","",""
"花隈駅","花隈駅（はなくまえき）","https://ja.wikipedia.org/wiki/花隈駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯34度41分10.02秒東経135度10分53.5秒","■神戸高速線（東西線）","1.5km（新開地起点*）阪急神戸三宮から1.3km大阪梅田から33.6 km","阪急電鉄（神戸高速鉄道）","地下駅[1]","1968年（昭和43年）4月7日[1]","2面2線[1]","神戸市中央区北長狭通六丁目[1]北緯34度41分10.02秒東経135度10分53.5秒﻿ / ﻿北緯34.6861167度 東経135.181528度﻿ /34.6861167; 135.181528﻿ (花隈駅)座標:北緯34度41分10.02秒東経135度10分53.5秒﻿ / ﻿北緯34.6861167度 東経135.181528度﻿ /34.6861167; 135.181528﻿ (花隈駅)","* 起点→終点の方向が上り","HK17","","4,768人/日（降車客含まず）-2019年-","","","（通年平均） 7,121人/日-2019年-","","","","",""
"花小金井駅","花小金井駅（はなこがねいえき）","https://ja.wikipedia.org/wiki/花小金井駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯35度43分34秒東経139度30分47.6秒","■新宿線","19.9 km（西武新宿起点）","西武鉄道","地上駅（橋上駅）","1927年（昭和2年）4月16日","1面2線","東京都小平市花小金井一丁目10-5北緯35度43分34秒東経139度30分47.6秒﻿ / ﻿北緯35.72611度 東経139.513222度﻿ /35.72611; 139.513222﻿ (花小金井駅)座標:北緯35度43分34秒東経139度30分47.6秒﻿ / ﻿北緯35.72611度 東経139.513222度﻿ /35.72611; 139.513222﻿ (花小金井駅)","","SS18","","","59,220人/日-2019年-","","","","","","",""
"花崎駅","花崎駅（はなさきえき）","https://ja.wikipedia.org/wiki/花崎駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯36度6分35.7秒東経139度38分0.9秒","■伊勢崎線","54.8 km（浅草起点）","東武鉄道","地上駅","1927年（昭和2年）4月1日","2面2線","埼玉県加須市花崎157北緯36度6分35.7秒東経139度38分0.9秒﻿ / ﻿北緯36.109917度 東経139.633583度﻿ /36.109917; 139.633583﻿ (花崎駅)座標:北緯36度6分35.7秒東経139度38分0.9秒﻿ / ﻿北緯36.109917度 東経139.633583度﻿ /36.109917; 139.633583﻿ (花崎駅)","業務委託駅","TI04","ハナ","","10,682人/日-2019年-","","","","","","",""
"花白温泉駅","花白温泉駅（はなしろおんせんえき）","https://ja.wikipedia.org/wiki/花白温泉駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯35度21分18.25秒東経137度24分25.96秒","明知線","18.3 km（恵那起点）","明知鉄道","地上駅","1967年（昭和42年）11月15日[1]","1面1線","岐阜県恵那市山岡町馬場山田北緯35度21分18.25秒東経137度24分25.96秒﻿ / ﻿北緯35.3550694度 東経137.4072111度﻿ /35.3550694; 137.4072111座標:北緯35度21分18.25秒東経137度24分25.96秒﻿ / ﻿北緯35.3550694度 東経137.4072111度﻿ /35.3550694; 137.4072111","","4","","17人/日（降車客含まず）-2016年-","","","","","","","",""
"花園駅 (京都府)","花園駅 (京都府)（はなぞのえき・西日本旅客鉄道山陰本線）","https://ja.wikipedia.org/wiki/花園駅_(京都府)","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯35度1分7.01秒東経135度43分4.01秒","E山陰本線（嵯峨野線）","6.9 km（京都起点）","西日本旅客鉄道（JR西日本）","高架駅","1898年（明治31年）1月1日","1面2線","京都市右京区花園寺ノ内町5北緯35度1分7.01秒東経135度43分4.01秒﻿ / ﻿北緯35.0186139度 東経135.7177806度﻿ /35.0186139; 135.7177806﻿ (花園駅)座標:北緯35度1分7.01秒東経135度43分4.01秒﻿ / ﻿北緯35.0186139度 東経135.7177806度﻿ /35.0186139; 135.7177806﻿ (花園駅)","業務委託駅みどりの窓口有京都市内駅","JR-E06","ハソ","3,967人/日（降車客含まず）-2019年-","","","","","","","",""
"花園駅 (香川県)","花園駅 (香川県)（はなぞのえき・高松琴平電気鉄道長尾線）","https://ja.wikipedia.org/wiki/花園駅_(香川県)","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯34度20分3.3秒東経134度3分34秒","■長尾線","0.9km（瓦町起点）高松築港から2.6 km","高松琴平電気鉄道","地上駅","1954年（昭和29年）8月1日","相対式2面2線","香川県高松市花園町一丁目12番14号北緯34度20分3.3秒東経134度3分34秒﻿ / ﻿北緯34.334250度 東経134.05944度﻿ /34.334250; 134.05944座標:北緯34度20分3.3秒東経134度3分34秒﻿ / ﻿北緯34.334250度 東経134.05944度﻿ /34.334250; 134.05944","無人駅"," N03 ","","","1,025人/日-2018年-","","","","","","",""
"花園町駅","花園町駅（はなぞのちょうえき）","https://ja.wikipedia.org/wiki/花園町駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯34度38分39.73秒東経135度29分47.89秒","●四つ橋線","6.6 km（西梅田起点）","大阪市高速電気軌道(Osaka Metro)","地下駅","1942年（昭和17年）5月10日","2面2線","大阪市西成区旭一丁目5-2北緯34度38分39.73秒東経135度29分47.89秒﻿ / ﻿北緯34.6443694度 東経135.4966361度﻿ /34.6443694; 135.4966361﻿ (花園町駅)",""," Y17 ","","7,354人/日（降車客含まず）-2020年-","14,537人/日-2020年-","","","","","","",""
"花田口停留場","花田口停留場（はなたぐちていりゅうじょう）","https://ja.wikipedia.org/wiki/花田口停留場","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯34度34分53.73秒東経135度28分36.42秒","■阪堺線","8.7km（恵美須町起点）天王寺駅前から8.5 km","阪堺電気軌道","地上駅","1911年（明治44年）12月1日","相対式 2面2線","堺市堺区車之町東1丁北緯34度34分53.73秒東経135度28分36.42秒﻿ / ﻿北緯34.5815917度 東経135.4767833度﻿ /34.5815917; 135.4767833座標:北緯34度34分53.73秒東経135度28分36.42秒﻿ / ﻿北緯34.5815917度 東経135.4767833度﻿ /34.5815917; 135.4767833",""," HN21 ","","","","","","","","","",""
"放出駅","放出駅（はなてんえき）","https://ja.wikipedia.org/wiki/放出駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯34度41分16.95秒東経135度33分46.8秒","H片町線（学研都市線）","41.6 km（木津起点）","西日本旅客鉄道（JR西日本）","地上駅（橋上駅）","1895年（明治28年）8月22日","2面4線","大阪市鶴見区放出東三丁目21-52北緯34度41分16.95秒東経135度33分46.8秒﻿ / ﻿北緯34.6880417度 東経135.563000度﻿ /34.6880417; 135.563000﻿ (放出駅)座標:北緯34度41分16.95秒東経135度33分46.8秒﻿ / ﻿北緯34.6880417度 東経135.563000度﻿ /34.6880417; 135.563000﻿ (放出駅)","直営駅（管理駅）みどりの窓口有大阪市内駅","JR-H39","ハナ","17,054人/日（降車客含まず）-2019年-","","","","","","","",""
"花畑駅","花畑駅（はなばたけえき）","https://ja.wikipedia.org/wiki/花畑駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯33度18分21.86秒東経130度30分55.09秒","■天神大牟田線","39.5 km（西鉄福岡（天神）起点）","西日本鉄道","高架駅","1932年（昭和7年）12月28日","2面4線","福岡県久留米市花畑一丁目北緯33度18分21.86秒東経130度30分55.09秒﻿ / ﻿北緯33.3060722度 東経130.5153028度﻿ /33.3060722; 130.5153028座標:北緯33度18分21.86秒東経130度30分55.09秒﻿ / ﻿北緯33.3060722度 東経130.5153028度﻿ /33.3060722; 130.5153028","","T  28 ","","","7,791人/日-2019年-","","","","","","",""
"花畑町停留場","花畑町停留場（はなばたちょうていりゅうじょう）","https://ja.wikipedia.org/wiki/花畑町停留場","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯32度48分4.5秒東経130度42分20.00秒","幹線（■A系統・■B系統）","2.4km（熊本駅前起点）田崎橋から2.9 km","熊本市交通局","地上駅","1924年（大正13年）8月1日","2面2線","熊本市中央区花畑町北緯32度48分4.5秒東経130度42分20.00秒﻿ / ﻿北緯32.801250度 東経130.7055556度﻿ /32.801250; 130.7055556座標:北緯32度48分4.5秒東経130度42分20.00秒﻿ / ﻿北緯32.801250度 東経130.7055556度﻿ /32.801250; 130.7055556","","□9　","","","2,323人/日-2015年-","","","","","","",""
"花巻駅","花巻駅（はなまきえき）","https://ja.wikipedia.org/wiki/花巻駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯39度23分35.53秒東経141度6分38.34秒","■東北本線","500.0 km（東京起点）","東日本旅客鉄道（JR東日本）","地上駅","1890年（明治23年）11月1日[2]","2面3線[1]","岩手県花巻市大通り一丁目1-43-2北緯39度23分35.53秒東経141度6分38.34秒座標:北緯39度23分35.53秒 東経141度6分38.34秒","業務委託駅みどりの窓口有[1]","","ハキ","3,269人/日（降車客含まず）-2019年-","","","","","","","",""
"花巻空港駅","花巻空港駅（はなまきくうこうえき）","https://ja.wikipedia.org/wiki/花巻空港駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯39度26分33.42秒東経141度7分39.77秒","■東北本線","505.7 km（東京起点）","東日本旅客鉄道（JR東日本）日本貨物鉄道（JR貨物）**","地上駅","1932年（昭和7年）11月20日[1]","2面3線[1]","岩手県花巻市二枚橋第5地割118北緯39度26分33.42秒東経141度7分39.77秒座標:北緯39度26分33.42秒 東経141度7分39.77秒","業務委託駅","","ハクニハ（改称前）","646人/日（降車客含まず）-2019年-","","","","","","","",""
"はなみずき通駅","はなみずき通駅（はなみずきどおりえき）","https://ja.wikipedia.org/wiki/はなみずき通駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯35度10分39秒東経137度2分8秒","■東部丘陵線（リニモ）","1.4 km（藤が丘起点）","愛知高速交通","地上駅","2005年（平成17年）3月6日[1]","2面2線","愛知県長久手市久保山北緯35度10分39秒東経137度2分8秒﻿ / ﻿北緯35.17750度 東経137.03556度﻿ /35.17750; 137.03556座標:北緯35度10分39秒東経137度2分8秒﻿ / ﻿北緯35.17750度 東経137.03556度﻿ /35.17750; 137.03556","シンボルマーク：","L02","","1,475人/日（降車客含まず）-2019年-","2,883人/日-2019年-","","","","","","",""
"花水坂駅","花水坂駅（はなみずざかえき）","https://ja.wikipedia.org/wiki/花水坂駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯37度49分38.7秒東経140度27分2.6秒","福島交通飯坂線","8.7 km（福島駅起点）","福島交通","地上駅","1924年（大正13年）4月13日","1面1線","福島県福島市飯坂町字町裏5-1北緯37度49分38.7秒東経140度27分2.6秒﻿ / ﻿北緯37.827417度 東経140.450722度﻿ /37.827417; 140.450722座標:北緯37度49分38.7秒東経140度27分2.6秒﻿ / ﻿北緯37.827417度 東経140.450722度﻿ /37.827417; 140.450722","1924年飯坂駅として開業1927年現駅名に改称","","","","555人/日-2018年-","","","","","","",""
"花山駅","花山駅（はなやまえき）","https://ja.wikipedia.org/wiki/花山駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯34度46分10.32秒東経135度11分12.76秒","有馬線","15.4km（湊川起点）新開地から15.8 km","神戸電鉄","地上駅[1]","1965年（昭和40年）12月1日[1]","2面2線[1]","神戸市北区花山台1-1[1]北緯34度46分10.32秒東経135度11分12.76秒﻿ / ﻿北緯34.7695333度 東経135.1868778度﻿ /34.7695333; 135.1868778座標:北緯34度46分10.32秒東経135度11分12.76秒﻿ / ﻿北緯34.7695333度 東経135.1868778度﻿ /34.7695333; 135.1868778","無人駅[1]","○KB11","","1,899人/日（降車客含まず）-2019年-","3,113[2]人/日-2019年-","","","","","","",""
"花輪駅","花輪駅（はなわえき）","https://ja.wikipedia.org/wiki/花輪駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯36度31分14.87秒東経139度18分28.33秒","■わたらせ渓谷線","21.0 km（桐生起点）","わたらせ渓谷鐵道","地上駅","1912年（大正元年）12月31日","1面1線","群馬県みどり市東町花輪99北緯36度31分14.87秒東経139度18分28.33秒﻿ / ﻿北緯36.5207972度 東経139.3078694度﻿ /36.5207972; 139.3078694座標:北緯36度31分14.87秒東経139度18分28.33秒﻿ / ﻿北緯36.5207972度 東経139.3078694度﻿ /36.5207972; 139.3078694","","WK09","ハワ","","53人/日-2018年-","","","","","","",""
"花堂駅","花堂駅（はなんどうえき）","https://ja.wikipedia.org/wiki/花堂駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯36度2分26.5秒東経136度12分54.5秒","福武線","16.9 km（越前武生駅起点）","福井鉄道","地上駅","1925年（大正14年）7月26日","2面2線","福井県福井市花堂北一丁目北緯36度2分26.5秒東経136度12分54.5秒﻿ / ﻿北緯36.040694度 東経136.215139度﻿ /36.040694; 136.215139座標:北緯36度2分26.5秒東経136度12分54.5秒﻿ / ﻿北緯36.040694度 東経136.215139度﻿ /36.040694; 136.215139","無人駅","○F17","","","68人/日-2019年-","","","","","","",""
"羽生駅","羽生駅（はにゅうえき）","https://ja.wikipedia.org/wiki/羽生駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯36度10分13.27秒東経139度32分2.66秒","","","東武鉄道（駅詳細）秩父鉄道（駅詳細）","","","","埼玉県羽生市南一丁目1-62北緯36度10分13.27秒東経139度32分2.66秒﻿ / ﻿北緯36.1703528度 東経139.5340722度﻿ /36.1703528; 139.5340722﻿ (羽生駅)座標:北緯36度10分13.27秒東経139度32分2.66秒﻿ / ﻿北緯36.1703528度 東経139.5340722度﻿ /36.1703528; 139.5340722﻿ (羽生駅)","","","","","","","","","","","",""
"羽生田駅","羽生田駅（はにゅうだえき）","https://ja.wikipedia.org/wiki/羽生田駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯37度41分36.5秒東経139度3分38.5秒","■信越本線","107.9 km（直江津起点）","東日本旅客鉄道（JR東日本）","地上駅","1903年（明治36年）4月19日[2]","2面3線[1]","新潟県南蒲原郡田上町大字羽生田[1]98北緯37度41分36.5秒東経139度3分38.5秒﻿ / ﻿北緯37.693472度 東経139.060694度﻿ /37.693472; 139.060694座標:北緯37度41分36.5秒東経139度3分38.5秒﻿ / ﻿北緯37.693472度 東経139.060694度﻿ /37.693472; 139.060694","業務委託駅","","ハニ","489人/日（降車客含まず）-2019年-","","","","","","","",""
"羽貫駅","羽貫駅（はぬきえき）","https://ja.wikipedia.org/wiki/羽貫駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯36度0分26.3秒東経139度36分31.0秒","■伊奈線（ニューシャトル）","11.6 km（大宮起点）","埼玉新都市交通","高架駅","1983年（昭和58年）12月22日[1]","1面2線","埼玉県北足立郡伊奈町学園一丁目1番地北緯36度0分26.3秒東経139度36分31.0秒﻿ / ﻿北緯36.007306度 東経139.608611度﻿ /36.007306; 139.608611座標:北緯36度0分26.3秒東経139度36分31.0秒﻿ / ﻿北緯36.007306度 東経139.608611度﻿ /36.007306; 139.608611","","NS12","","","4,467人/日-2016年-","","","","","","",""
"波根駅","波根駅（はねえき）","https://ja.wikipedia.org/wiki/波根駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯35度14分24.95秒東経132度31分33.88秒","D山陰本線","411.5 km（京都起点）","西日本旅客鉄道（JR西日本）","地上駅","1915年（大正4年）7月11日[1]","1面2線","島根県大田市波根町中浜1327北緯35度14分24.95秒東経132度31分33.88秒﻿ / ﻿北緯35.2402639度 東経132.5260778度﻿ /35.2402639; 132.5260778﻿ (波根駅)","無人駅","","ハネ","43人/日（降車客含まず）-2018年-","","","","","","","",""
"羽根尾駅","羽根尾駅（はねおえき）","https://ja.wikipedia.org/wiki/羽根尾駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","","■吾妻線","46.4 km（渋川起点）","東日本旅客鉄道（JR東日本）","地上駅（盛土上）","1971年（昭和46年）3月7日[1]","1面2線[1]","","無人駅[1]標高：669m","","ハネ","41人/日（降車客含まず）-2011年-","","","","","","","",""
"羽田空港第1・第2ターミナル駅","羽田空港第1・第2ターミナル駅（はねだくうこうだいいち・だいにターミナルえき・京浜急行電鉄空港線）","https://ja.wikipedia.org/wiki/羽田空港第1・第2ターミナル駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯35度33分0秒東経139度47分11.2秒","■空港線","6.5 km（京急蒲田起点）","京浜急行電鉄","地下駅","1998年（平成10年）11月18日","1面2線","東京都大田区羽田空港三丁目3-4北緯35度33分0秒東経139度47分11.2秒﻿ / ﻿北緯35.55000度 東経139.786444度﻿ /35.55000; 139.786444座標:北緯35度33分0秒東経139度47分11.2秒﻿ / ﻿北緯35.55000度 東経139.786444度﻿ /35.55000; 139.786444","","KK17","","","97,330人/日-2019年-","東京モノレール（羽田空港第1ターミナル・羽田空港第2ターミナル）","","","","","",""
"羽田空港第1ターミナル駅","羽田空港第1ターミナル駅（はねだくうこうだいいちターミナルえき・東京モノレール羽田空港線）","https://ja.wikipedia.org/wiki/羽田空港第1ターミナル駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯35度32分56.9秒東経139度47分5秒","東京モノレール羽田空港線","16.9 km（モノレール浜松町起点）","東京モノレール","地下駅","1993年（平成5年）9月27日","1面2線","東京都大田区羽田空港三丁目3-2北緯35度32分56.9秒東経139度47分5秒﻿ / ﻿北緯35.549139度 東経139.78472度﻿ /35.549139; 139.78472座標:北緯35度32分56.9秒東経139度47分5秒﻿ / ﻿北緯35.549139度 東経139.78472度﻿ /35.549139; 139.78472","","MO10","","","27,549人/日-2019年-","羽田空港第1・第2ターミナル駅（京浜急行電鉄空港線）","","","","","",""
"羽田空港第2ターミナル駅","羽田空港第2ターミナル駅（はねだくうこうだいにターミナルえき・東京モノレール羽田空港線）","https://ja.wikipedia.org/wiki/羽田空港第2ターミナル駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","北緯35度33分2.8秒東経139度47分16.8秒","東京モノレール羽田空港線","17.8 km（モノレール浜松町起点）","東京モノレール","地下駅","2004年（平成16年）12月1日[1]","2面3線","東京都大田区羽田空港三丁目4-2北緯35度33分2.8秒東経139度47分16.8秒﻿ / ﻿北緯35.550778度 東経139.788000度﻿ /35.550778; 139.788000座標:北緯35度33分2.8秒東経139度47分16.8秒﻿ / ﻿北緯35.550778度 東経139.788000度﻿ /35.550778; 139.788000","","MO11","","","29,417人/日-2019年-","羽田空港第1・第2ターミナル駅（京急空港線）","","","","","",""
"羽田空港第3ターミナル駅","羽田空港第3ターミナル駅（はねだくうこうだいさんターミナルえき）","https://ja.wikipedia.org/wiki/羽田空港第3ターミナル駅","日本の鉄道駅一覧_は","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_は","箇条書き,制限あり","","","","京浜急行電鉄（駅詳細）東京モノレール（駅詳細）","","","","東京都大田区羽田空港二丁目6-5","","","","","","","","","","","",""
