"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","所在地","駅構造","開業年月日","ホーム","備考","電報略号","駅番号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","路線記号","乗車人員,-統計年次-","正式名称","愛称","専門分野"
"松尾駅 (千葉県)","松尾駅 (千葉県)（まつおえき・東日本旅客鉄道総武本線）","https://ja.wikipedia.org/wiki/松尾駅_(千葉県)","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯35度38分9.4秒東経140度27分27.5秒","■総武本線[1]","82.5[1] km（東京起点）","東日本旅客鉄道（JR東日本）","千葉県山武市松尾町五反田1955北緯35度38分9.4秒東経140度27分27.5秒座標:北緯35度38分9.4秒 東経140度27分27.5秒","地上駅","1898年（明治31年）2月25日[1]","2面2線[1]","業務委託駅[1]","マオ←マヲ","","895人/日（降車客含まず）-2019年-","","","","","","","",""
"松尾駅 (三重県)","松尾駅 (三重県)（まつおえき・近鉄志摩線）","https://ja.wikipedia.org/wiki/松尾駅_(三重県)","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯34度25分58.23秒東経136度50分25.3秒","M志摩線","6.9km（鳥羽起点）伊勢中川から48.4 km","近畿日本鉄道（近鉄）","三重県鳥羽市松尾町南599-4北緯34度25分58.23秒東経136度50分25.3秒﻿ / ﻿北緯34.4328417度 東経136.840361度﻿ /34.4328417; 136.840361座標:北緯34度25分58.23秒東経136度50分25.3秒﻿ / ﻿北緯34.4328417度 東経136.840361度﻿ /34.4328417; 136.840361","地上駅","1929年（昭和4年）7月23日","2面2線","無人駅（乗車駅証明書発行機 有）","マツオ"," M83 ","87人/日（降車客含まず）-2019年-","","","","","","","",""
"松尾駅 (長崎県)","松尾駅 (長崎県)（まつおえき・島原鉄道）","https://ja.wikipedia.org/wiki/松尾駅_(長崎県)","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯32度50分3.06秒東経130度20分51.76秒","■島原鉄道線","35.2 km（諫早起点）","島原鉄道","長崎県島原市有明町松崎北緯32度50分3.06秒東経130度20分51.76秒﻿ / ﻿北緯32.8341833度 東経130.3477111度﻿ /32.8341833; 130.3477111﻿ (松尾駅)","地上駅","1931年（昭和6年）10月1日","1面1線","* 年間乗車人員を日数で除算","","","*10人/日（降車客含まず）-2017年-","23人/日-2017年-","","","","","","",""
"松岡駅","松岡駅（まつおかえき）","https://ja.wikipedia.org/wiki/松岡駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯36度5分38.5秒東経136度18分6.5秒","■勝山永平寺線","8.4 km（福井起点）","えちぜん鉄道","福井県吉田郡永平寺町松岡神明1丁目98-1北緯36度5分38.5秒東経136度18分6.5秒﻿ / ﻿北緯36.094028度 東経136.301806度﻿ /36.094028; 136.301806座標:北緯36度5分38.5秒東経136度18分6.5秒﻿ / ﻿北緯36.094028度 東経136.301806度﻿ /36.094028; 136.301806","地上駅","1914年（大正3年）2月11日","2面2線","有人駅","","○E10","","407人/日-2019年-","","","","","","",""
"松尾大社駅","松尾大社駅（まつおたいしゃえき）","https://ja.wikipedia.org/wiki/松尾大社駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯35度0分2.28秒東経135度41分16.86秒","■嵐山線","2.8 km（桂起点）","阪急電鉄","京都市西京区嵐山宮ノ前町49番地[1]北緯35度0分2.28秒東経135度41分16.86秒﻿ / ﻿北緯35.0006333度 東経135.6880167度﻿ /35.0006333; 135.6880167座標:北緯35度0分2.28秒東経135度41分16.86秒﻿ / ﻿北緯35.0006333度 東経135.6880167度﻿ /35.0006333; 135.6880167","地上駅","1928年（昭和3年）11月9日","2面2線","","","HK97","","5,858人/日-2019年-","","（通年平均）5,174人/日-2019年-","","","","",""
"松尾八幡平駅","松尾八幡平駅（まつおはちまんたいえき）","https://ja.wikipedia.org/wiki/松尾八幡平駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯39度58分9.3秒東経141度2分38.1秒","■花輪線","17.8 km（好摩起点）","東日本旅客鉄道（JR東日本）","岩手県八幡平市松尾第3地割109北緯39度58分9.3秒東経141度2分38.1秒座標:北緯39度58分9.3秒 東経141度2分38.1秒","地上駅","1926年（大正15年）11月10日","2面2線","無人駅[1]*1988年に岩手松尾駅から改称。","マオイツ（改称前）","","","","","","","","","",""
"松ケ浦駅","松ケ浦駅（まつがうらえき）","https://ja.wikipedia.org/wiki/松ケ浦駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯31度15分31.97秒東経130度23分40.25秒","指宿枕崎線","78.1 km（鹿児島中央起点）","九州旅客鉄道（JR九州）","鹿児島県南九州市知覧町南別府25067北緯31度15分31.97秒東経130度23分40.25秒","地上駅","1963年（昭和38年）10月31日","1面1線","無人駅","マツ","","0.4人/日（降車客含まず）-2015年-","0.7人/日-2015年-","","","","","","",""
"松ヶ崎駅 (三重県)","松ヶ崎駅 (三重県)（まつがさきえき・近鉄山田線）","https://ja.wikipedia.org/wiki/松ヶ崎駅_(三重県)","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯34度35分47.27秒東経136度31分7.43秒","M山田線*","5.7 km（伊勢中川起点）","近畿日本鉄道（近鉄）","三重県松阪市久米町1274-2北緯34度35分47.27秒東経136度31分7.43秒﻿ / ﻿北緯34.5964639度 東経136.5187306度﻿ /34.5964639; 136.5187306座標:北緯34度35分47.27秒東経136度31分7.43秒﻿ / ﻿北緯34.5964639度 東経136.5187306度﻿ /34.5964639; 136.5187306","地上駅","1937年（昭和12年）11月3日**","2面2線","無人駅[1]（自動券売機 有）","マサキ"," M63 ","533人/日（降車客含まず）-2019年-","","","","","","","",""
"松ヶ崎駅 (京都府)","松ヶ崎駅 (京都府)（まつがさきえき・京都市営地下鉄烏丸線）","https://ja.wikipedia.org/wiki/松ヶ崎駅_(京都府)","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯35度3分5.96秒東経135度46分37.61秒","烏丸線","1.6 km（国際会館起点）","京都市交通局（京都市営地下鉄）","京都市左京区松ヶ崎六ノ坪町北緯35度3分5.96秒東経135度46分37.61秒﻿ / ﻿北緯35.0516556度 東経135.7771139度﻿ /35.0516556; 135.7771139座標:北緯35度3分5.96秒東経135度46分37.61秒﻿ / ﻿北緯35.0516556度 東経135.7771139度﻿ /35.0516556; 135.7771139","地下駅","1997年（平成9年）6月3日","1面2線","","","●K02","","11,484人/日-2019年-","","","","","","",""
"松風町停留場","松風町停留場（まつかぜちょうていりゅうじょう）","https://ja.wikipedia.org/wiki/松風町停留場","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯41度46分17.18秒東経140度43分59.08秒","函館市電湯の川線*","6.0 km（湯の川起点）","函館市企業局交通部","北海道函館市松風町12-4先、11-15先北緯41度46分17.18秒東経140度43分59.08秒﻿ / ﻿北緯41.7714389度 東経140.7330778度﻿ /41.7714389; 140.7330778﻿ (松風町停留場)座標:北緯41度46分17.18秒東経140度43分59.08秒﻿ / ﻿北緯41.7714389度 東経140.7330778度﻿ /41.7714389; 140.7330778﻿ (松風町停留場)","地上駅（停留場）","1913年10月30日","2面2線","*直通運転を実施","","DY16","","1,045[1]人/日-2019年-","","","","","","",""
"松神駅","松神駅（まつかみえき）","https://ja.wikipedia.org/wiki/松神駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","","■五能線","44.7 km（東能代起点）","東日本旅客鉄道（JR東日本）","","地上駅","1932年（昭和7年）10月14日[1]","1面1線[1]","無人駅[1]","マカ","","","","","","","","","",""
"松が谷駅","松が谷駅（まつがやえき）","https://ja.wikipedia.org/wiki/松が谷駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯35度37分54.5秒東経139度25分19.6秒","多摩都市モノレール線","15.1 km（上北台起点）","多摩都市モノレール","東京都八王子市松が谷40北緯35度37分54.5秒東経139度25分19.6秒﻿ / ﻿北緯35.631806度 東経139.422111度﻿ /35.631806; 139.422111座標:北緯35度37分54.5秒東経139度25分19.6秒﻿ / ﻿北緯35.631806度 東経139.422111度﻿ /35.631806; 139.422111","高架駅","2000年（平成12年）1月10日","2面2線","無人駅","","TT02","1,323人/日（降車客含まず）-2019年-","2,713人/日-2019年-","","","","","","",""
"松川駅","松川駅（まつかわえき）","https://ja.wikipedia.org/wiki/松川駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯37度39分13.8秒東経140度29分4.0秒","■東北本線","259.5 km（東京起点）","東日本旅客鉄道（JR東日本）日本貨物鉄道（JR貨物）*","福島県福島市松川町字原9北緯37度39分13.8秒東経140度29分4.0秒座標:北緯37度39分13.8秒 東経140度29分4.0秒","地上駅","1887年（明治20年）12月15日","2面3線","業務委託駅","マワ","","1,086人/日（降車客含まず）-2019年-","","","","","","","",""
"松岸駅","松岸駅（まつぎしえき）","https://ja.wikipedia.org/wiki/松岸駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯35度44分22.3秒東経140度47分42.9秒","■総武本線","117.3 km（東京起点）","東日本旅客鉄道（JR東日本）","千葉県銚子市長塚町五丁目1260-23北緯35度44分22.3秒東経140度47分42.9秒座標:北緯35度44分22.3秒 東経140度47分42.9秒","地上駅","1897年（明治30年）6月1日[1]","2面3線","業務委託駅","キシ","","468人/日（降車客含まず）-2019年-","","","","","","","",""
"松木平駅","松木平駅（まつきたいえき）","https://ja.wikipedia.org/wiki/松木平駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯40度33分38.07秒東経140度29分50.22秒","大鰐線","8.4 km（大鰐起点）","弘南鉄道","青森県弘前市大字小栗山長田31-3北緯40度33分38.07秒東経140度29分50.22秒﻿ / ﻿北緯40.5605750度 東経140.4972833度﻿ /40.5605750; 140.4972833座標:北緯40度33分38.07秒東経140度29分50.22秒﻿ / ﻿北緯40.5605750度 東経140.4972833度﻿ /40.5605750; 140.4972833","地上駅","1952年（昭和27年）1月26日","1面1線","無人駅","","KW 07","","40人/日-2017年-","","","","","","",""
"松草駅","松草駅（まつくさえき）","https://ja.wikipedia.org/wiki/松草駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯39度38分8.59秒東経141度26分15.45秒","■山田線","43.6 km（盛岡起点）","東日本旅客鉄道（JR東日本）","岩手県宮古市区界4-28北緯39度38分8.59秒東経141度26分15.45秒座標:北緯39度38分8.59秒 東経141度26分15.45秒","地上駅","1930年（昭和5年）10月31日[1]","1面1線","無人駅","マク","","","","","","","","","",""
"松倉駅","松倉駅（まつくらえき）","https://ja.wikipedia.org/wiki/松倉駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯39度15分22.92秒東経141度48分6.20秒","■釜石線","83.2 km（花巻起点）","東日本旅客鉄道（JR東日本）","岩手県釜石市甲子町10-44北緯39度15分22.92秒東経141度48分6.20秒座標:北緯39度15分22.92秒 東経141度48分6.20秒","地上駅","1945年（昭和20年）6月15日[1]","1面1線","無人駅","クラ","","","","","","","","","",""
"松阪駅","松阪駅（まつさかえき）","https://ja.wikipedia.org/wiki/松阪駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","","■紀勢本線（JR東海）","34.6 km（亀山起点）","東海旅客鉄道（JR東海）近畿日本鉄道（近鉄）","","地上駅","1893年（明治26年）12月31日[1]（JR）1930年（昭和5年）3月27日[2]（近鉄）","5面7線","共同使用駅JR東海：駅長配置駅（管理駅）JR東海：JR全線きっぷうりば有","マサ"," M64 ","（JR東海）-2019年-1,702人/日（降車客含まず）（近鉄）-2019年-7,533人/日（降車客含まず）","","","","","","","",""
"松崎駅 (鳥取県)","松崎駅 (鳥取県)（まつざきえき・西日本旅客鉄道山陰本線）","https://ja.wikipedia.org/wiki/松崎駅_(鳥取県)","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯35度28分7.63秒東経133度54分7.16秒","A山陰本線","264.6 km（京都起点）","西日本旅客鉄道（JR西日本）","鳥取県東伯郡湯梨浜町大字中興寺字松原388北緯35度28分7.63秒東経133度54分7.16秒﻿ / ﻿北緯35.4687861度 東経133.9019889度﻿ /35.4687861; 133.9019889﻿ (松崎駅)","地上駅","1904年（明治37年）3月15日","2面2線","無人駅","サキ","","","420人/日-2018年-","","","","","","",""
"松崎駅 (福岡県)","松崎駅 (福岡県)（まつざきえき・甘木鉄道甘木線）","https://ja.wikipedia.org/wiki/松崎駅_(福岡県)","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯33度23分58.92秒東経130度34分56.2秒","■甘木鉄道甘木線","6.4 km（基山起点）","■甘木鉄道","福岡県小郡市松崎北緯33度23分58.92秒東経130度34分56.2秒﻿ / ﻿北緯33.3997000度 東経130.582278度﻿ /33.3997000; 130.582278座標:北緯33度23分58.92秒東経130度34分56.2秒﻿ / ﻿北緯33.3997000度 東経130.582278度﻿ /33.3997000; 130.582278","地上駅","1939年（昭和14年）4月28日","1面2線","無人駅","チマ（転換前）","","355人/日（降車客含まず）-2018年-","","","","","","","",""
"松下駅","松下駅（まつしたえき）","https://ja.wikipedia.org/wiki/松下駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯34度29分47.26秒東経136度47分55.96秒","参宮線","23.7 km（多気起点）","東海旅客鉄道（JR東海）","三重県伊勢市二見町松下776北緯34度29分47.26秒東経136度47分55.96秒﻿ / ﻿北緯34.4964611度 東経136.7988778度﻿ /34.4964611; 136.7988778座標:北緯34度29分47.26秒東経136度47分55.96秒﻿ / ﻿北緯34.4964611度 東経136.7988778度﻿ /34.4964611; 136.7988778","地上駅（盛土上）","1963年（昭和38年）4月1日[1]","1面1線","駅員無配置駅","マツ","","33人/日（降車客含まず）-2019年-","","","","","","","",""
"松島駅","松島駅（まつしまえき）","https://ja.wikipedia.org/wiki/松島駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯38度22分47.4秒東経141度3分58秒","■東北本線","375.2 km（東京起点）","東日本旅客鉄道（JR東日本）","宮城県宮城郡松島町松島字小梨屋7-4北緯38度22分47.4秒東経141度3分58秒座標:北緯38度22分47.4秒 東経141度3分58秒","地上駅","1956年（昭和31年）7月9日[1]","2面3線[1]","業務委託駅みどりの窓口有[1]","マシママ（信号場時代）","","799人/日（降車客含まず）-2019年-","","","","","","","",""
"松島海岸駅","松島海岸駅（まつしまかいがんえき）","https://ja.wikipedia.org/wiki/松島海岸駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯38度22分6.45秒東経141度3分31.49秒","■仙石線","23.2 km（あおば通起点）","東日本旅客鉄道（JR東日本）","宮城県宮城郡松島町松島字浪打浜10北緯38度22分6.45秒東経141度3分31.49秒﻿ / ﻿北緯38.3684583度 東経141.0587472度﻿ /38.3684583; 141.0587472﻿ (松島海岸駅*)座標:北緯38度22分6.45秒東経141度3分31.49秒﻿ / ﻿北緯38.3684583度 東経141.0587472度﻿ /38.3684583; 141.0587472﻿ (松島海岸駅*)","高架駅","1927年（昭和2年）4月18日","1面2線","直営駅（管理駅）みどりの窓口有*1944年に松島公園駅から改称。","ツカ","","1,187人/日（降車客含まず）-2019年-","","","","","","","",""
"松島二丁目駅","松島二丁目駅（まつしまにちょうめえき）","https://ja.wikipedia.org/wiki/松島二丁目駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯34度20分24秒東経134度3分52.5秒","■志度線","1.2 km（瓦町起点）","高松琴平電気鉄道","香川県高松市松福町二丁目15番2号北緯34度20分24秒東経134度3分52.5秒﻿ / ﻿北緯34.34000度 東経134.064583度﻿ /34.34000; 134.064583座標:北緯34度20分24秒東経134度3分52.5秒﻿ / ﻿北緯34.34000度 東経134.064583度﻿ /34.34000; 134.064583","地上駅","1911年（明治44年）11月18日","相対式2面2線","無人駅",""," S02 ","","563人/日-2018年-","","","","","","",""
"松田駅","松田駅（まつだえき）","https://ja.wikipedia.org/wiki/松田駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","","CB御殿場線","10.2 km（国府津起点）","東海旅客鉄道（JR東海）日本貨物鉄道（JR貨物）","","地上駅","1889年（明治22年）2月1日","2面3線","JR東海：駅長配置駅（管理駅）JR全線きっぷうりば有","マタ","CB  04 ","3,305人/日（降車客含まず）-2018年-","","新松田駅（小田急小田原線）*","","","","","",""
"まつだい駅","まつだい駅","https://ja.wikipedia.org/wiki/まつだい駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯37度7分55.87秒東経138度36分50.02秒","■ほくほく線","29.2 km（六日町起点）","北越急行","新潟県十日町市松代3701-2北緯37度7分55.87秒東経138度36分50.02秒﻿ / ﻿北緯37.1321861度 東経138.6138944度﻿ /37.1321861; 138.6138944﻿ (まつだい駅)座標:北緯37度7分55.87秒東経138度36分50.02秒﻿ / ﻿北緯37.1321861度 東経138.6138944度﻿ /37.1321861; 138.6138944﻿ (まつだい駅)","地上駅","1997年（平成9年）3月22日","2面2線","簡易委託駅","マツ","","","453人/日-2018年-","","","","","","",""
"松田町停留場","松田町停留場（まつだちょうていりゅうじょう）","https://ja.wikipedia.org/wiki/松田町停留場","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯34度38分21.50秒東経135度30分3.24秒","■阪堺線","1.7 km（恵美須町起点）","阪堺電気軌道","大阪市西成区天下茶屋2丁目大阪市西成区天下茶屋東2丁目北緯34度38分21.50秒東経135度30分3.24秒﻿ / ﻿北緯34.6393056度 東経135.5009000度﻿ /34.6393056; 135.5009000座標:北緯34度38分21.50秒東経135度30分3.24秒﻿ / ﻿北緯34.6393056度 東経135.5009000度﻿ /34.6393056; 135.5009000","地上駅","1911年（明治44年）12月1日","単式 2面2線","",""," HN55 ","","","","","","","","",""
"真土駅","真土駅（まつちえき）","https://ja.wikipedia.org/wiki/真土駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯33度13分26.6秒東経132度44分42.7秒","■予土線","51.3 km（若井起点）","四国旅客鉄道（JR四国）","愛媛県北宇和郡松野町蕨生北緯33度13分26.6秒東経132度44分42.7秒﻿ / ﻿北緯33.224056度 東経132.745194度﻿ /33.224056; 132.745194座標:北緯33度13分26.6秒東経132度44分42.7秒﻿ / ﻿北緯33.224056度 東経132.745194度﻿ /33.224056; 132.745194","地上駅","1960年（昭和35年）10月1日","1面1線","無人駅","ツチ","○G36","","6人/日-2018年-","","","","","","",""
"松塚駅","松塚駅（まつづかえき）","https://ja.wikipedia.org/wiki/松塚駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯34度31分14.59秒東経135度45分42.91秒","D大阪線","31.8 km（大阪上本町起点）","近畿日本鉄道（近鉄）","奈良県大和高田市松塚24-2北緯34度31分14.59秒東経135度45分42.91秒﻿ / ﻿北緯34.5207194度 東経135.7619194度﻿ /34.5207194; 135.7619194座標:北緯34度31分14.59秒東経135度45分42.91秒﻿ / ﻿北緯34.5207194度 東経135.7619194度﻿ /34.5207194; 135.7619194","地上駅（盛土上）","1925年（大正14年）3月21日[1]","2面2線","無人駅","マツツ"," D26 ","610人/日（降車客含まず）-2018年-","","","","","","","",""
"松戸駅","松戸駅（まつどえき）","https://ja.wikipedia.org/wiki/松戸駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）新京成電鉄（駅詳細）","千葉県松戸市松戸","","","","","","","","","","","","","","",""
"松任駅","松任駅（まっとうえき）","https://ja.wikipedia.org/wiki/松任駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯36度31分36.03秒東経136度33分59.58秒","■北陸本線","167.2 km（米原起点）","西日本旅客鉄道（JR西日本）*日本貨物鉄道（JR貨物）","石川県白山市相木町1020北緯36度31分36.03秒東経136度33分59.58秒﻿ / ﻿北緯36.5266750度 東経136.5665500度﻿ /36.5266750; 136.5665500座標:北緯36度31分36.03秒東経136度33分59.58秒﻿ / ﻿北緯36.5266750度 東経136.5665500度﻿ /36.5266750; 136.5665500","地上駅（橋上駅）","1898年（明治31年）4月1日[1]","2面3線","直営駅みどりの窓口有","マト","","3,758人/日（降車客含まず）-2019年-","","","","","","","",""
"松戸新田駅","松戸新田駅（まつどしんでんえき）","https://ja.wikipedia.org/wiki/松戸新田駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯35度47分26.2秒東経139度55分22.2秒","■新京成線","2.4 km（松戸起点）","新京成電鉄","千葉県松戸市松戸新田264番地の2北緯35度47分26.2秒東経139度55分22.2秒﻿ / ﻿北緯35.790611度 東経139.922833度﻿ /35.790611; 139.922833座標:北緯35度47分26.2秒東経139度55分22.2秒﻿ / ﻿北緯35.790611度 東経139.922833度﻿ /35.790611; 139.922833","地上駅","1955年（昭和30年）4月21日","2面2線","","","SL03","","6,681人/日-2019年-","","","","","","",""
"松永駅","松永駅（まつながえき）","https://ja.wikipedia.org/wiki/松永駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯34度27分3.17秒東経133度15分30.81秒","X山陽本線","212.4 km（神戸起点）","西日本旅客鉄道（JR西日本）","広島県福山市松永町342-10北緯34度27分3.17秒東経133度15分30.81秒﻿ / ﻿北緯34.4508806度 東経133.2585583度﻿ /34.4508806; 133.2585583座標:北緯34度27分3.17秒東経133度15分30.81秒﻿ / ﻿北緯34.4508806度 東経133.2585583度﻿ /34.4508806; 133.2585583","地上駅（橋上駅）","1891年（明治24年）11月3日","2面3線","直営駅みどりの窓口有","ツカ","JR-X16","4,677人/日（降車客含まず）-2018年-","","","","","","","",""
"松尾寺駅","松尾寺駅（まつのおでらえき）","https://ja.wikipedia.org/wiki/松尾寺駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯35度29分8.64秒東経135度27分3.60秒","■小浜線","78.2 km（敦賀起点）","西日本旅客鉄道（JR西日本）","京都府舞鶴市字吉坂113-4北緯35度29分8.64秒東経135度27分3.60秒﻿ / ﻿北緯35.4857333度 東経135.4510000度﻿ /35.4857333; 135.4510000座標:北緯35度29分8.64秒東経135度27分3.60秒﻿ / ﻿北緯35.4857333度 東経135.4510000度﻿ /35.4857333; 135.4510000","地上駅","1922年（大正11年）12月20日","1面1線","無人駅","マテ","","47人/日（降車客含まず）-2018年-","","","","","","","",""
"松ノ浜駅","松ノ浜駅（まつのはまえき）","https://ja.wikipedia.org/wiki/松ノ浜駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯34度30分32.8秒東経135度24分55.22秒","■南海本線","19.5 km（難波起点）","南海電気鉄道","大阪府泉大津市二田町一丁目1番15号北緯34度30分32.8秒東経135度24分55.22秒﻿ / ﻿北緯34.509111度 東経135.4153389度﻿ /34.509111; 135.4153389座標:北緯34度30分32.8秒東経135度24分55.22秒﻿ / ﻿北緯34.509111度 東経135.4153389度﻿ /34.509111; 135.4153389","高架駅","1914年（大正3年）12月10日","2面2線","*1960年に助松駅から改称無人駅","マツ","NK 19","","","","3,944人/日-2019年-","","","","",""
"松ノ馬場駅","松ノ馬場駅（まつのばんばえき）","https://ja.wikipedia.org/wiki/松ノ馬場駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯35度3分55.95秒東経135度52分13.46秒","▼石山坂本線","13.5 km（石山寺起点）","京阪電気鉄道","滋賀県大津市坂本二丁目10番66号北緯35度3分55.95秒東経135度52分13.46秒﻿ / ﻿北緯35.0655417度 東経135.8704056度﻿ /35.0655417; 135.8704056座標:北緯35度3分55.95秒東経135度52分13.46秒﻿ / ﻿北緯35.0655417度 東経135.8704056度﻿ /35.0655417; 135.8704056","地上駅","1927年（昭和2年）5月15日","2面2線","無人駅","","OT  20","888人/日（降車客含まず）-2019年-","1,563人/日-2019年-","","","","","","",""
"松葉駅","松葉駅（まつばえき）","https://ja.wikipedia.org/wiki/松葉駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯39度44分38.82秒東経140度35分25.11秒","■秋田内陸線","75.0 km（鷹巣起点）","秋田内陸縦貫鉄道","秋田県仙北市西木町桧木内字松葉北緯39度44分38.82秒東経140度35分25.11秒﻿ / ﻿北緯39.7441167度 東経140.5903083度﻿ /39.7441167; 140.5903083座標:北緯39度44分38.82秒東経140度35分25.11秒﻿ / ﻿北緯39.7441167度 東経140.5903083度﻿ /39.7441167; 140.5903083","地上駅","1970年（昭和45年）11月1日","1面1線","無人駅[1]","マツ","","","102人/日-2018年-","","","","","","",""
"松橋駅","松橋駅（まつばせえき）","https://ja.wikipedia.org/wiki/松橋駅","日本の鉄道駅一覧_ま","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_ま","箇条書き,制限あり","北緯32度39分8.33秒東経130度40分14.1秒","■鹿児島本線","212.3 km（門司港起点）","九州旅客鉄道（JR九州）","熊本県宇城市不知火町御領710[1][2]北緯32度39分8.33秒東経130度40分14.1秒﻿ / ﻿北緯32.6523139度 東経130.670583度﻿ /32.6523139; 130.670583﻿ (松橋駅)","地上駅（橋上駅）","1895年（明治28年）1月28日[1]","1面2線[1]","業務委託駅[2]みどりの窓口有","マツ","","1,724人/日（降車客含まず）-2019年-","","","","","","","",""
