"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","所在地","ホーム","備考","電報略号","乗車人員,-統計年度-","駅番号","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","通称","種別","起終点","駅数","開業"
"柴崎体育館駅","柴崎体育館駅（しばさきたいいくかんえき）","https://ja.wikipedia.org/wiki/柴崎体育館駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度41分22.9秒東経139度24分33.4秒","多摩都市モノレール線","6.5 km（上北台起点）","多摩都市モノレール","2000年（平成12年）1月10日[1]","高架駅","東京都立川市柴崎町六丁目107北緯35度41分22.9秒東経139度24分33.4秒﻿ / ﻿北緯35.689694度 東経139.409278度﻿ /35.689694; 139.409278座標:北緯35度41分22.9秒東経139度24分33.4秒﻿ / ﻿北緯35.689694度 東経139.409278度﻿ /35.689694; 139.409278","2面2線","","","2,266人/日（降車客含まず）-2019年-","TT10","4,361人/日-2019年-","","","","","","",""
"柴宿駅","柴宿駅（しばじゅくえき）","https://ja.wikipedia.org/wiki/柴宿駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯38度59分48.8秒東経141度16分20.5秒","■大船渡線","26.1 km（一ノ関起点）","東日本旅客鉄道（JR東日本）","1962年（昭和37年）5月15日","地上駅","岩手県一関市東山町長坂字柴宿北緯38度59分48.8秒東経141度16分20.5秒﻿ / ﻿北緯38.996889度 東経141.272361度﻿ /38.996889; 141.272361﻿ (柴宿駅)座標:北緯38度59分48.8秒東経141度16分20.5秒﻿ / ﻿北緯38.996889度 東経141.272361度﻿ /38.996889; 141.272361﻿ (柴宿駅)","1面1線","無人駅","シク","","","","","","","","","",""
"柴田駅","柴田駅（しばたえき・名古屋鉄道常滑線）","https://ja.wikipedia.org/wiki/柴田駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度4分20秒東経136度54分33秒","常滑線","6.1 km（神宮前起点）","名古屋鉄道","1912年（明治45年）2月18日","高架駅","名古屋市南区元柴田東町二丁目5北緯35度4分20秒東経136度54分33秒﻿ / ﻿北緯35.07222度 東経136.90917度﻿ /35.07222; 136.90917座標:北緯35度4分20秒東経136度54分33秒﻿ / ﻿北緯35.07222度 東経136.90917度﻿ /35.07222; 136.90917","相対式 2面2線","*1917年星崎駅から改称。駅員無配置駅","","","TA  05 ","4,541人/日-2019年[1]-","","","","","","",""
"新発田駅","新発田駅（しばたえき・東日本旅客鉄道羽越本線・白新線）","https://ja.wikipedia.org/wiki/新発田駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯37度56分38.4秒東経139度20分5.3秒","■羽越本線","26.0 km（新津起点）","東日本旅客鉄道（JR東日本）日本貨物鉄道（JR貨物）","1912年（大正元年）9月2日[1]","地上駅","新潟県新発田市諏訪町[1]一丁目1-5北緯37度56分38.4秒東経139度20分5.3秒﻿ / ﻿北緯37.944000度 東経139.334806度﻿ /37.944000; 139.334806座標:北緯37度56分38.4秒東経139度20分5.3秒﻿ / ﻿北緯37.944000度 東経139.334806度﻿ /37.944000; 139.334806","2面4線[1]","直営駅みどりの窓口有[1]","シタ","3,505人/日（降車客含まず）-2019年-","","","","","","","","",""
"柴橋駅","柴橋駅（しばはしえき）","https://ja.wikipedia.org/wiki/柴橋駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯38度22分49.35秒東経140度13分39.64秒","■左沢線","22.3 km（北山形起点）","東日本旅客鉄道（JR東日本）","1951年（昭和26年）12月25日[1]","地上駅","山形県寒河江市大字松川字木ノ沢453北緯38度22分49.35秒東経140度13分39.64秒座標:北緯38度22分49.35秒 東経140度13分39.64秒","1面1線","無人駅","ハシ","13人/日（降車客含まず）-2004年-","","","","","","","","",""
"柴原阪大前駅","柴原阪大前駅（しばはらはんだいまええき）","https://ja.wikipedia.org/wiki/柴原阪大前駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度48分1.43秒東経135度27分30.78秒","■本線","3.1 km（大阪空港起点）","大阪モノレール","1994年（平成6年）9月30日[1]","高架駅","大阪府豊中市柴原町北緯34度48分1.43秒東経135度27分30.78秒﻿ / ﻿北緯34.8003972度 東経135.4585500度﻿ /34.8003972; 135.4585500座標:北緯34度48分1.43秒東経135度27分30.78秒﻿ / ﻿北緯34.8003972度 東経135.4585500度﻿ /34.8003972; 135.4585500","島式 1面2線","","",""," 13 ","","","10,247人/日-2019年-","","","","",""
"柴平駅","柴平駅（しばひらえき）","https://ja.wikipedia.org/wiki/柴平駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯40度13分50.9秒東経140度47分16.6秒","■花輪線","74.4 km（好摩起点）","東日本旅客鉄道（JR東日本）","1923年（大正12年）11月10日","地上駅","秋田県鹿角市花輪字堰ノ口北緯40度13分50.9秒東経140度47分16.6秒座標:北緯40度13分50.9秒 東経140度47分16.6秒","1面1線","無人駅[1]","シヒ","","","","","","","","","",""
"柴又駅","柴又駅（しばまたえき）","https://ja.wikipedia.org/wiki/柴又駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度45分23.4秒東経139度52分31.1秒","●金町線","1.0 km（京成高砂起点）","京成電鉄","帝釈人車鉄道→帝釈人車軌道：　1899年（明治32年）12月17日京成電気軌道→京成電鉄：　1912年（大正元年）11月3日","地上駅","東京都葛飾区柴又四丁目8-14北緯35度45分23.4秒東経139度52分31.1秒﻿ / ﻿北緯35.756500度 東経139.875306度﻿ /35.756500; 139.875306座標:北緯35度45分23.4秒東経139度52分31.1秒﻿ / ﻿北緯35.756500度 東経139.875306度﻿ /35.756500; 139.875306","2面2線","","","","KS50","9,631人/日-2019年-","","","","","","",""
"柴山駅","柴山駅（しばやまえき）","https://ja.wikipedia.org/wiki/柴山駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度38分47.04秒東経134度39分49.5秒","A山陰本線","175.7 km（京都起点）","西日本旅客鉄道（JR西日本）","1947年（昭和22年）6月26日[2]","地上駅[1]","兵庫県美方郡香美町香住区浦上字小畑308-1[1]北緯35度38分47.04秒東経134度39分49.5秒﻿ / ﻿北緯35.6464000度 東経134.663750度﻿ /35.6464000; 134.663750﻿ (柴山駅)","1面1線[1]","無人駅[1]","シハ","89人/日（降車客含まず）-2016年-","","","","","","","","",""
"芝山千代田駅","芝山千代田駅（しばやまちよだえき）","https://ja.wikipedia.org/wiki/芝山千代田駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","","●芝山鉄道線","2.2 km（東成田起点）","芝山鉄道[1]","2002年（平成14年）10月27日[1]","高架駅","","1面1線","","","","SR01","1,139人/日-2020年-","","","","","","",""
"渋川駅","渋川駅（しぶかわえき）","https://ja.wikipedia.org/wiki/渋川駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯36度29分26.5秒東経139度0分30.28秒","■上越線","21.1 km（高崎起点）","東日本旅客鉄道（JR東日本）日本貨物鉄道（JR貨物）","1921年（大正10年）7月1日[3][4]","地上駅","群馬県渋川市渋川辰巳町1651-4[1]北緯36度29分26.5秒東経139度0分30.28秒﻿ / ﻿北緯36.490694度 東経139.0084111度﻿ /36.490694; 139.0084111座標:北緯36度29分26.5秒東経139度0分30.28秒﻿ / ﻿北緯36.490694度 東経139.0084111度﻿ /36.490694; 139.0084111","2面3線[2]","直営駅（管理駅）みどりの窓口有","シカ","3,263人/日（降車客含まず）-2019年-","","","","","","","","",""
"渋木駅","渋木駅（しぶきえき）","https://ja.wikipedia.org/wiki/渋木駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度18分41.96秒東経131度11分47.29秒","■美祢線","37.1 km（厚狭起点）","西日本旅客鉄道（JR西日本）","1924年（大正13年）3月23日","地上駅","山口県長門市深川湯本字畑河内1786北緯34度18分41.96秒東経131度11分47.29秒﻿ / ﻿北緯34.3116556度 東経131.1964694度﻿ /34.3116556; 131.1964694﻿ (渋木駅)座標:北緯34度18分41.96秒東経131度11分47.29秒﻿ / ﻿北緯34.3116556度 東経131.1964694度﻿ /34.3116556; 131.1964694﻿ (渋木駅)","2面2線","無人駅","シフ","8人/日（降車客含まず）-2019年-","","","","","","","","",""
"地福駅","地福駅（じふくえき）","https://ja.wikipedia.org/wiki/地福駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度21分46.47秒東経131度40分27.97秒","■山口線","43.9 km（新山口起点）","西日本旅客鉄道（JR西日本）","1918年（大正7年）11月3日","地上駅","山口県山口市阿東地福上字惣原北緯34度21分46.47秒東経131度40分27.97秒﻿ / ﻿北緯34.3629083度 東経131.6744361度﻿ /34.3629083; 131.6744361座標:北緯34度21分46.47秒東経131度40分27.97秒﻿ / ﻿北緯34.3629083度 東経131.6744361度﻿ /34.3629083; 131.6744361","1面2線","無人駅","チフ","20人/日（降車客含まず）-2019年-","","","","","","","","",""
"渋沢駅","渋沢駅（しぶさわえき）","https://ja.wikipedia.org/wiki/渋沢駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度22分27秒東経139度11分4秒","小田原線","65.6 km（新宿起点）","小田急電鉄","1927年（昭和2年）4月1日","地上駅（橋上駅）[1]","神奈川県秦野市曲松一丁目1-1北緯35度22分27秒東経139度11分4秒﻿ / ﻿北緯35.37417度 東経139.18444度﻿ /35.37417; 139.18444座標:北緯35度22分27秒東経139度11分4秒﻿ / ﻿北緯35.37417度 東経139.18444度﻿ /35.37417; 139.18444","2面2線","","","","OH40","27,175人/日-2019年-","","","","","","",""
"志布志駅","志布志駅（しぶしえき）","https://ja.wikipedia.org/wiki/志布志駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯31度28分22.57秒東経131度5分52.70秒","日南線","88.9 km（南宮崎起点）","九州旅客鉄道（JR九州）","1925年（大正14年）3月30日[2]","地上駅","鹿児島県志布志市志布志町志布志二丁目28-11[1]北緯31度28分22.57秒東経131度5分52.70秒﻿ / ﻿北緯31.4729361度 東経131.0979722度﻿ /31.4729361; 131.0979722座標:北緯31度28分22.57秒東経131度5分52.70秒﻿ / ﻿北緯31.4729361度 東経131.0979722度﻿ /31.4729361; 131.0979722","1面1線[2]","無人駅[2]","シシ","7人/日（降車客含まず）-2015年-","","25人/日-2015年-","","","","","","",""
"渋民駅","渋民駅（しぶたみえき）","https://ja.wikipedia.org/wiki/渋民駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯39度50分5.5秒東経141度9分16.2秒","■いわて銀河鉄道線（■JR花輪線直通含む）","16.6km（盛岡起点）東京から551.9 km","IGRいわて銀河鉄道","1950年（昭和25年）12月1日[2]","地上駅","岩手県盛岡市下田字陣場65-1北緯39度50分5.5秒東経141度9分16.2秒座標:北緯39度50分5.5秒 東経141度9分16.2秒","2面2線","社員配置駅","シタ","","","659人/日-2019年-","","","","","","",""
"渋谷駅","渋谷駅（しぶやえき）","https://ja.wikipedia.org/wiki/渋谷駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）京王電鉄（駅詳細）東急電鉄（駅詳細）東京地下鉄（東京メトロ・駅詳細）","","","東京都渋谷区道玄坂","","","","","","","","","","","","",""
"志文駅","志文駅（しぶんえき）","https://ja.wikipedia.org/wiki/志文駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯43度9分31.88秒東経141度44分40.53秒","室蘭本線","203.9 km（長万部起点）","北海道旅客鉄道（JR北海道）","1902年（明治35年）8月1日","地上駅","北海道岩見沢市志文本町1条4丁目北緯43度9分31.88秒東経141度44分40.53秒﻿ / ﻿北緯43.1588556度 東経141.7445917度﻿ /43.1588556; 141.7445917﻿ (志文駅)","2面2線","無人駅","フン","","","14人/日-2014年-","","","","","","",""
"標茶駅","標茶駅（しべちゃえき）","https://ja.wikipedia.org/wiki/標茶駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯43度17分54.31秒東経144度36分30.29秒","■釧網本線","121.0 km（網走起点）","北海道旅客鉄道（JR北海道）","1927年（昭和2年）9月15日","地上駅","北海道川上郡標茶町旭1丁目1-1北緯43度17分54.31秒東経144度36分30.29秒","2面3線","業務委託駅みどりの窓口有","シチ","150人/日（降車客含まず）-2010年[1]-","○B61","","","","","","","",""
"士別駅","士別駅（しべつえき）","https://ja.wikipedia.org/wiki/士別駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯44度10分21秒東経142度23分17.8秒","■宗谷本線","53.9 km（旭川起点）","北海道旅客鉄道（JR北海道）","1900年（明治33年）8月5日","地上駅","北海道士別市西3条8丁目北緯44度10分21秒東経142度23分17.8秒座標:北緯44度10分21秒 東経142度23分17.8秒","2面3線","直営駅（管理駅）みどりの窓口 有","シヘ","293人/日（降車客含まず）-2019年-","○W42","","","","","","","",""
"志摩赤崎駅","志摩赤崎駅（しまあかさきえき）","https://ja.wikipedia.org/wiki/志摩赤崎駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度28分11.67秒東経136度50分31.08秒","M志摩線","2.3km（鳥羽起点）伊勢中川から43.8 km","近畿日本鉄道（近鉄）","1949年（昭和24年）7月25日","地上駅","三重県鳥羽市鳥羽五丁目4-27北緯34度28分11.67秒東経136度50分31.08秒﻿ / ﻿北緯34.4699083度 東経136.8419667度﻿ /34.4699083; 136.8419667座標:北緯34度28分11.67秒東経136度50分31.08秒﻿ / ﻿北緯34.4699083度 東経136.8419667度﻿ /34.4699083; 136.8419667","2面2線","無人駅（乗車駅証明書発行機 有）","アカ","232人/日（降車客含まず）-2019年-"," M80 ","","","","","","","",""
"志摩磯部駅","志摩磯部駅（しまいそべえき）","https://ja.wikipedia.org/wiki/志摩磯部駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度22分11.69秒東経136度48分19.47秒","M志摩線","16.0km（鳥羽起点）伊勢中川から57.5 km","近畿日本鉄道（近鉄）","1929年（昭和4年）7月23日","地上駅（橋上駅）","三重県志摩市磯部町迫間1819北緯34度22分11.69秒東経136度48分19.47秒﻿ / ﻿北緯34.3699139度 東経136.8054083度﻿ /34.3699139; 136.8054083座標:北緯34度22分11.69秒東経136度48分19.47秒﻿ / ﻿北緯34.3699139度 東経136.8054083度﻿ /34.3699139; 136.8054083","2面3線","*1970年に迫間駅から改称。","イソ","482人/日（降車客含まず）-2019年-"," M88 ","","","","","","","",""
"島氏永駅","島氏永駅（しまうじながえき）","https://ja.wikipedia.org/wiki/島氏永駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度16分16.6秒東経136度48分3.15秒","名古屋本線","82.9 km（豊橋起点）","名古屋鉄道","1928年（昭和3年）1月24日","地上駅","（下り）稲沢市島町北浦162（上り）一宮市大和町氏永下垂534-3北緯35度16分16.6秒東経136度48分3.15秒﻿ / ﻿北緯35.271278度 東経136.8008750度﻿ /35.271278; 136.8008750座標:北緯35度16分16.6秒東経136度48分3.15秒﻿ / ﻿北緯35.271278度 東経136.8008750度﻿ /35.271278; 136.8008750","2面2線","無人駅（駅集中管理システム導入駅）*1930年大和駅より改称","","","NH  48 ","2,008人/日-2019年[1]-","","","","","","",""
"島内駅","島内駅（しまうちえき）","https://ja.wikipedia.org/wiki/島内駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯36度14分49.20秒東経137度56分41.87秒","■大糸線","2.6 km（松本起点）","東日本旅客鉄道（JR東日本）","1915年（大正4年）11月1日[3]","地上駅","長野県松本市大字島内[1]北緯36度14分49.20秒東経137度56分41.87秒﻿ / ﻿北緯36.2470000度 東経137.9449639度﻿ /36.2470000; 137.9449639座標:北緯36度14分49.20秒東経137度56分41.87秒﻿ / ﻿北緯36.2470000度 東経137.9449639度﻿ /36.2470000; 137.9449639","1面2線[1]","無人駅（自動券売機 有）[1]標高：579.8m[1]","マチ[1]","371人/日（降車客含まず）-2011年-","□40[2]","","","","","","","",""
"島尾駅","島尾駅（しまおえき）","https://ja.wikipedia.org/wiki/島尾駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯36度49分42.24秒東経137度0分45.69秒","■氷見線","13.5 km（高岡起点）","西日本旅客鉄道（JR西日本）","1912年（明治45年）4月5日","地上駅","富山県氷見市島尾2015北緯36度49分42.24秒東経137度0分45.69秒﻿ / ﻿北緯36.8284000度 東経137.0126917度﻿ /36.8284000; 137.0126917座標:北緯36度49分42.24秒東経137度0分45.69秒﻿ / ﻿北緯36.8284000度 東経137.0126917度﻿ /36.8284000; 137.0126917","1面1線","無人駅（自動券売機 有）","シオ←シヲ","199人/日（降車客含まず）-2018年-","","","","","","","","",""
"島ケ原駅","島ケ原駅（しまがはらえき）","https://ja.wikipedia.org/wiki/島ケ原駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度46分3.67秒東経136度3分15.06秒","V関西本線","101.8 km（名古屋起点）亀山から41.9 km","西日本旅客鉄道（JR西日本）","1897年（明治30年）11月11日","地上駅","三重県伊賀市島ヶ原5770北緯34度46分3.67秒東経136度3分15.06秒﻿ / ﻿北緯34.7676861度 東経136.0541833度﻿ /34.7676861; 136.0541833座標:北緯34度46分3.67秒東経136度3分15.06秒﻿ / ﻿北緯34.7676861度 東経136.0541833度﻿ /34.7676861; 136.0541833","2面2線","簡易委託駅","マハ","113人/日（降車客含まず）-2019年-","","","","","","","","",""
"志摩神明駅","志摩神明駅（しましんめいえき）","https://ja.wikipedia.org/wiki/志摩神明駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度18分58.33秒東経136度49分47.91秒","M志摩線","23.1km（鳥羽起点）伊勢中川から64.6 km","近畿日本鉄道（近鉄）","1929年（昭和4年）7月23日","地上駅","三重県志摩市阿児町神明1158-3北緯34度18分58.33秒東経136度49分47.91秒﻿ / ﻿北緯34.3162028度 東経136.8299750度﻿ /34.3162028; 136.8299750座標:北緯34度18分58.33秒東経136度49分47.91秒﻿ / ﻿北緯34.3162028度 東経136.8299750度﻿ /34.3162028; 136.8299750","1面2線","無人駅（乗車駅証明書発行機 有）","シンメ","113人/日（降車客含まず）-2019年-"," M92 ","","","","","","","",""
"島田駅 (山口県)","島田駅 (山口県)（しまたえき・西日本旅客鉄道山陽本線）","https://ja.wikipedia.org/wiki/島田駅_(山口県)","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯33度59分25.04秒東経131度57分39.4秒","■山陽本線","395.9 km（神戸起点）","西日本旅客鉄道（JR西日本）","1897年（明治30年）9月25日","地上駅","山口県光市上島田四丁目8-1北緯33度59分25.04秒東経131度57分39.4秒﻿ / ﻿北緯33.9902889度 東経131.960944度﻿ /33.9902889; 131.960944座標:北緯33度59分25.04秒東経131度57分39.4秒﻿ / ﻿北緯33.9902889度 東経131.960944度﻿ /33.9902889; 131.960944","2面2線","無人駅（自動券売機 有）","シマ","522人/日（降車客含まず）-2019年-","","","","","","","","",""
"島田駅 (静岡県)","島田駅 (静岡県)（しまだえき・東海旅客鉄道東海道本線）","https://ja.wikipedia.org/wiki/島田駅_(静岡県)","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度49分48.21秒東経138度10分27.22秒","CA東海道本線（静岡地区）","207.8 km（東京起点）","東海旅客鉄道（JR東海）日本貨物鉄道（JR貨物）","1889年（明治22年）4月16日","地上駅（橋上駅）","静岡県島田市日之出町4788北緯34度49分48.21秒東経138度10分27.22秒座標:北緯34度49分48.21秒 東経138度10分27.22秒","2面3線","駅長配置駅（管理駅）JR全線きっぷうりば有","シマ","5,537人/日（降車客含まず）-2019年-","CA  24 ","","","","","","","",""
"島高松駅","島高松駅（しまたかまつえき）","https://ja.wikipedia.org/wiki/島高松駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯36度14分46.98秒東経137度55分53.35秒","■大糸線","3.8 km（松本起点）","東日本旅客鉄道（JR東日本）","1926年（大正15年）4月14日[3][4]","地上駅","長野県松本市大字島内高松[1]北緯36度14分46.98秒東経137度55分53.35秒﻿ / ﻿北緯36.2463833度 東経137.9314861度﻿ /36.2463833; 137.9314861座標:北緯36度14分46.98秒東経137度55分53.35秒﻿ / ﻿北緯36.2463833度 東経137.9314861度﻿ /36.2463833; 137.9314861","1面1線[1]","無人駅（自動券売機 有）[1]標高：589.9m[1]","シマ[1]","274人/日（降車客含まず）-2011年-","□39[2]","","","","","","","",""
"島越駅","島越駅（しまのこしえき）","https://ja.wikipedia.org/wiki/島越駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯39度55分01.0秒東経141度56分21.3秒","■リアス線","125.6 km（盛起点）","三陸鉄道","1984年（昭和59年）4月1日","高架駅","岩手県下閉伊郡田野畑村1-1-20北緯39度55分01.0秒東経141度56分21.3秒座標:北緯39度55分01.0秒 東経141度56分21.3秒","1面1線","","シコ","","","30人/日-2018年-","","","","","","",""
"島ノ関駅","島ノ関駅（しまのせきえき）","https://ja.wikipedia.org/wiki/島ノ関駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯35度0分28.11秒東経135度52分14.22秒","▼石山坂本線","6.0 km（石山寺起点）","京阪電気鉄道","1913年3月1日","地上駅","滋賀県大津市島の関10番7号北緯35度0分28.11秒東経135度52分14.22秒﻿ / ﻿北緯35.0078083度 東経135.8706167度﻿ /35.0078083; 135.8706167座標:北緯35度0分28.11秒東経135度52分14.22秒﻿ / ﻿北緯35.0078083度 東経135.8706167度﻿ /35.0078083; 135.8706167","2面2線","","","1,117人/日（降車客含まず）-2019年-","OT  11","2,219人/日-2019年-","","","","","","",""
"島原駅","島原駅（しまばらえき）","https://ja.wikipedia.org/wiki/島原駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯32度47分24.53秒東経130度22分13.98秒","■島原鉄道線","40.5 km（諫早起点）","島原鉄道","1913年（大正2年）9月24日","地上駅","長崎県島原市片町北緯32度47分24.53秒東経130度22分13.98秒﻿ / ﻿北緯32.7901472度 東経130.3705500度﻿ /32.7901472; 130.3705500﻿ (島原駅)","2面2線","* 年間乗車人員を日数で除算","","*455人/日（降車客含まず）-2017年-","","885人/日-2017年-","","","","","","",""
"島原港駅","島原港駅（しまばらこうえき）","https://ja.wikipedia.org/wiki/島原港駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯32度46分7.77秒東経130度22分13.1秒","■島原鉄道線","43.2 km（諫早起点）","島原鉄道","1960年（昭和35年）11月11日","地上駅","長崎県島原市下川尻町北緯32度46分7.77秒東経130度22分13.1秒﻿ / ﻿北緯32.7688250度 東経130.370306度﻿ /32.7688250; 130.370306﻿ (島原港駅)","1面1線","* 年間乗車人員を日数で除算","","*73人/日（降車客含まず）-2017年-","","160人/日-2017年-","","","","","","",""
"島原船津駅","島原船津駅（しまばらふなつえき）","https://ja.wikipedia.org/wiki/島原船津駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯32度46分33.43秒東経130度22分32.22秒","■島原鉄道線","42.3 km（諫早起点）","島原鉄道","1913年（大正2年）9月24日","地上駅","長崎県島原市津町北緯32度46分33.43秒東経130度22分32.22秒﻿ / ﻿北緯32.7759528度 東経130.3756167度﻿ /32.7759528; 130.3756167﻿ (島原船津駅)","2面3線","* 年間乗車人員を日数で除算","","*27人/日（降車客含まず）-2017年-","","55人/日-2017年-","","","","","","",""
"島松駅","島松駅（しままつえき）","https://ja.wikipedia.org/wiki/島松駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯42度55分18.51秒東経141度34分24.43秒","■千歳線","34.1 km（沼ノ端起点）","北海道旅客鉄道（JR北海道）日本貨物鉄道（JR貨物）*","1926年（大正15年）8月21日[1]","地上駅","北海道恵庭市島松仲町1丁目北緯42度55分18.51秒東経141度34分24.43秒﻿ / ﻿北緯42.9218083度 東経141.5734528度﻿ /42.9218083; 141.5734528﻿ (島松駅)","3面4線","社員配置駅みどりの窓口有話せる券売機設置駅[2]","ママ","1,984人/日（降車客含まず）-2019年-","○H08","","","","","","","",""
"島本駅","島本駅（しまもとえき）","https://ja.wikipedia.org/wiki/島本駅","日本の鉄道駅一覧_し-しも","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_し-しも","箇条書き,制限あり","北緯34度52分50.33秒東経135度39分46秒","A東海道本線（JR京都線）","529.9km（東京起点）京都から16.3 km","西日本旅客鉄道（JR西日本）","2008年（平成20年）3月15日","地上駅（橋上駅）","大阪府三島郡島本町桜井一丁目3番39号北緯34度52分50.33秒東経135度39分46秒﻿ / ﻿北緯34.8806472度 東経135.66278度﻿ /34.8806472; 135.66278座標:北緯34度52分50.33秒東経135度39分46秒﻿ / ﻿北緯34.8806472度 東経135.66278度﻿ /34.8806472; 135.66278","1面2線","業務委託駅みどりの券売機プラス設置駅","シマ","7,036人/日（降車客含まず）-2019年-","JR-A37","","","","","","","",""
