"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","所在地","駅構造","開業年月日","ホーム","備考","電報略号","駅番号","乗降人員,-統計年度-","乗車人員,-統計年度-","乗換","乗降人員,-統計年次-","外部リンク","種類","市場情報","本社所在地","設立"
"唐湊停留場","唐湊停留場（とそていりゅうじょう）","https://ja.wikipedia.org/wiki/唐湊停留場","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯31度34分13.9秒東経130度32分27.79秒","鹿児島市電唐湊線（2系統）","1.5km（鹿児島中央駅前起点）鹿児島駅前から4.4 km","鹿児島市交通局","鹿児島県鹿児島市郡元一丁目北緯31度34分13.9秒東経130度32分27.79秒﻿ / ﻿北緯31.570528度 東経130.5410528度﻿ /31.570528; 130.5410528﻿ (唐湊停留場)","地上駅","1957年3月29日","2面2線","","","●N16","466人/日-2015年-","","","","","","","",""
"土底浜駅","土底浜駅（どそこはまえき）","https://ja.wikipedia.org/wiki/土底浜駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯37度13分22.32秒東経138度19分29.96秒","■信越本線","9.4 km（直江津起点）","東日本旅客鉄道（JR東日本）","新潟県上越市大潟区土底浜[1]字蜘ケ池道西1803北緯37度13分22.32秒東経138度19分29.96秒座標:北緯37度13分22.32秒 東経138度19分29.96秒","地上駅","1960年（昭和35年）3月15日[1]","2面2線[1]","無人駅[1]（自動券売機 有[1]）","ソコ","","","192人/日（降車客含まず）-2010年-","","","","","","",""
"戸田駅 (愛知県)","戸田駅 (愛知県)（とだえき・近鉄名古屋線）","https://ja.wikipedia.org/wiki/戸田駅_(愛知県)","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度7分58.3秒東経136度48分28.65秒","E名古屋線","70.4 km（伊勢中川起点）","近畿日本鉄道（近鉄）","名古屋市中川区水里三丁目137北緯35度7分58.3秒東経136度48分28.65秒﻿ / ﻿北緯35.132861度 東経136.8079583度﻿ /35.132861; 136.8079583座標:北緯35度7分58.3秒東経136度48分28.65秒﻿ / ﻿北緯35.132861度 東経136.8079583度﻿ /35.132861; 136.8079583","地上駅","1938年（昭和13年）6月26日","2面2線","","トタ"," E07 ","","2,176人/日（降車客含まず）-2019年-","","","","","","",""
"戸田駅 (埼玉県)","戸田駅 (埼玉県)（とだえき・東日本旅客鉄道埼京線）","https://ja.wikipedia.org/wiki/戸田駅_(埼玉県)","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度49分3.57秒東経139度40分10.53秒","■埼京線（正式には東北本線支線）","6.8 km（赤羽起点）大崎から25.7 km","東日本旅客鉄道（JR東日本）","埼玉県戸田市大字新曽字柳原350-2北緯35度49分3.57秒東経139度40分10.53秒﻿ / ﻿北緯35.8176583度 東経139.6695917度﻿ /35.8176583; 139.6695917﻿ (戸田駅)","高架駅","1985年（昭和60年）9月30日","1面2線","業務委託駅","タト","JA19","","21,355人/日（降車客含まず）-2019年-","","","","","","",""
"戸田公園駅","戸田公園駅（とだこうえんえき）","https://ja.wikipedia.org/wiki/戸田公園駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度48分28.93秒東経139度40分40.95秒","■埼京線（正式には東北本線支線）","5.5 km（赤羽起点）大崎から24.4 km","東日本旅客鉄道（JR東日本）","埼玉県戸田市本町四丁目15-1北緯35度48分28.93秒東経139度40分40.95秒﻿ / ﻿北緯35.8080361度 東経139.6780417度﻿ /35.8080361; 139.6780417﻿ (戸田公園駅)","高架駅","1985年（昭和60年）9月30日","1面2線（通過線2線あり）","直営駅（管理駅）みどりの窓口有","トコ","JA18","","34,478人/日（降車客含まず）-2019年-","","","","","","",""
"戸田小浜駅","戸田小浜駅（とだこはまえき）","https://ja.wikipedia.org/wiki/戸田小浜駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯34度40分23.3秒東経131度44分16.27秒","■山陰本線","524.3 km（京都起点）","西日本旅客鉄道（JR西日本）","島根県益田市戸田町イ596北緯34度40分23.3秒東経131度44分16.27秒﻿ / ﻿北緯34.673139度 東経131.7378528度﻿ /34.673139; 131.7378528座標:北緯34度40分23.3秒東経131度44分16.27秒﻿ / ﻿北緯34.673139度 東経131.7378528度﻿ /34.673139; 131.7378528","地上駅","1925年（大正14年）3月8日","2面2線","無人駅","コハ","","","11人/日（降車客含まず）-2018年-","","","","","","",""
"栃ヶ沢公園駅","栃ヶ沢公園駅（とちがさわこうえんえき）","https://ja.wikipedia.org/wiki/栃ヶ沢公園駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","","■大船渡線BRT","83.7 km（一ノ関起点）","東日本旅客鉄道（JR東日本）","","地上駅","2018年（平成30年）4月1日","","無人駅","","","","21人/日（降車客含まず）-2019年-","","","","","","",""
"栃木駅","栃木駅（とちぎえき）","https://ja.wikipedia.org/wiki/栃木駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）東武鉄道（駅詳細）","栃木県栃木市沼和田町","","","","","","","","","","","","","","",""
"栃原駅","栃原駅（とちはらえき）","https://ja.wikipedia.org/wiki/栃原駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯34度26分40.60秒東経136度30分33.61秒","紀勢本線","55.1 km（亀山起点）","東海旅客鉄道（JR東海）","三重県多気郡大台町栃原1247北緯34度26分40.60秒東経136度30分33.61秒","地上駅","1923年（大正12年）3月20日[1]","2面2線","駅員無配置駅","トチ","","","117人/日（降車客含まず）-2019年-","","","","","","",""
"栃屋駅","栃屋駅（とちやえき）","https://ja.wikipedia.org/wiki/栃屋駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯36度52分11.22秒東経137度30分21.12秒","■本線","42.8 km（電鉄富山起点）","富山地方鉄道","富山県黒部市宇奈月町栃屋953北緯36度52分11.22秒東経137度30分21.12秒﻿ / ﻿北緯36.8697833度 東経137.5058667度﻿ /36.8697833; 137.5058667﻿ (栃屋駅)座標:北緯36度52分11.22秒東経137度30分21.12秒﻿ / ﻿北緯36.8697833度 東経137.5058667度﻿ /36.8697833; 137.5058667﻿ (栃屋駅)","地上駅","1922年（大正11年）11月5日","単式1面1線","","","T34","77人/日-2019年-","","","","","","","",""
"都庁前駅","都庁前駅（とちょうまええき）","https://ja.wikipedia.org/wiki/都庁前駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度41分26.1秒東経139度41分33.2秒","●[2]大江戸線（飯田橋・両国方面）","0.0 km（都庁前起点）","東京都交通局（都営地下鉄）","東京都新宿区西新宿二丁目8-1北緯35度41分26.1秒東経139度41分33.2秒﻿ / ﻿北緯35.690583度 東経139.692556度﻿ /35.690583; 139.692556座標:北緯35度41分26.1秒東経139度41分33.2秒﻿ / ﻿北緯35.690583度 東経139.692556度﻿ /35.690583; 139.692556","地下駅","1997年（平成9年）12月19日[1]","2面4線","駅務管区所在駅* 環状部経由の距離","都（駅名略称）","E28[2]","51,967人/日-2019年-","","","","","","","",""
"戸塚駅","戸塚駅（とつかえき）","https://ja.wikipedia.org/wiki/戸塚駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）横浜市交通局（駅詳細）","横浜市戸塚区戸塚町","","","","","","","","","","","","","","",""
"戸塚安行駅","戸塚安行駅（とづかあんぎょうえき）","https://ja.wikipedia.org/wiki/戸塚安行駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度51分31.94秒東経139度45分13.28秒","■埼玉高速鉄道線（埼玉スタジアム線）","10.0 km（赤羽岩淵起点）","埼玉高速鉄道","埼玉県川口市大字長蔵新田331番地の1北緯35度51分31.94秒東経139度45分13.28秒﻿ / ﻿北緯35.8588722度 東経139.7536889度﻿ /35.8588722; 139.7536889﻿ (戸塚安行駅)座標:北緯35度51分31.94秒東経139度45分13.28秒﻿ / ﻿北緯35.8588722度 東経139.7536889度﻿ /35.8588722; 139.7536889﻿ (戸塚安行駅)","地下駅","2001年（平成13年）3月28日","1面2線","","","SR24","","8,276人/日（降車客含まず）-2019年-","","","","","","",""
"獨協大学前駅","獨協大学前駅（どっきょうだいがくまええき）","https://ja.wikipedia.org/wiki/獨協大学前駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度50分35.50秒東経139度48分2.62秒","■伊勢崎線（東武スカイツリーライン）","19.2 km（浅草起点）","東武鉄道","埼玉県草加市松原一丁目1-1北緯35度50分35.50秒東経139度48分2.62秒﻿ / ﻿北緯35.8431944度 東経139.8007278度﻿ /35.8431944; 139.8007278﻿ (獨協大学前〈草加松原〉駅)座標:北緯35度50分35.50秒東経139度48分2.62秒﻿ / ﻿北緯35.8431944度 東経139.8007278度﻿ /35.8431944; 139.8007278﻿ (獨協大学前〈草加松原〉駅)","高架駅","1962年（昭和37年）12月1日","1面2線","業務委託駅","トク","TS17","59,443人/日-2019年-","","","","","","","",""
"鳥取駅","鳥取駅（とっとりえき）","https://ja.wikipedia.org/wiki/鳥取駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度29分39.54秒東経134度13分31.32秒","A山陰本線","230.3 km（京都起点）","西日本旅客鉄道（JR西日本）","鳥取県鳥取市東品治町111-1北緯35度29分39.54秒東経134度13分31.32秒﻿ / ﻿北緯35.4943167度 東経134.2253667度﻿ /35.4943167; 134.2253667﻿ (鳥取駅)座標:北緯35度29分39.54秒東経134度13分31.32秒﻿ / ﻿北緯35.4943167度 東経134.2253667度﻿ /35.4943167; 134.2253667﻿ (鳥取駅)","高架駅","1908年（明治41年）4月5日","2面4線","直営駅みどりの窓口、みどりの券売機有","トリ","","","5,186人/日（降車客含まず）-2019年-","","","","","","",""
"鳥取大学前駅","鳥取大学前駅（とっとりだいがくまええき）","https://ja.wikipedia.org/wiki/鳥取大学前駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度31分5.54秒東経134度10分28.11秒","A山陰本線","235.8 km（京都起点）","西日本旅客鉄道（JR西日本）","鳥取県鳥取市湖山町南五丁目199-22[1]北緯35度31分5.54秒東経134度10分28.11秒﻿ / ﻿北緯35.5182056度 東経134.1744750度﻿ /35.5182056; 134.1744750﻿ (鳥取大学前駅)","地上駅","1995年（平成7年）7月27日[1]","1面1線","直営駅みどりの券売機プラス設置駅","トタ","","","1,929人/日（降車客含まず）-2019年-","","","","","","",""
"鳥取ノ荘駅","鳥取ノ荘駅（とっとりのしょうえき）","https://ja.wikipedia.org/wiki/鳥取ノ荘駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯34度21分4.78秒東経135度13分53秒","■南海本線","44.6 km（難波起点）","南海電気鉄道","大阪府阪南市鳥取665番地北緯34度21分4.78秒東経135度13分53秒﻿ / ﻿北緯34.3513278度 東経135.23139度﻿ /34.3513278; 135.23139座標:北緯34度21分4.78秒東経135度13分53秒﻿ / ﻿北緯34.3513278度 東経135.23139度﻿ /34.3513278; 135.23139","地上駅","1919年（大正8年）3月1日","2面2線","無人駅","トリ","NK 38","","","","3,435人/日-2019年-","","","","",""
"戸手駅","戸手駅（とでえき）","https://ja.wikipedia.org/wiki/戸手駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯34度32分47.5秒東経133度18分3.41秒","Z福塩線","17.0 km（福山起点）","西日本旅客鉄道（JR西日本）","広島県福山市新市町大字戸手2335-4北緯34度32分47.5秒東経133度18分3.41秒﻿ / ﻿北緯34.546528度 東経133.3009472度﻿ /34.546528; 133.3009472﻿ (戸手駅)","地上駅","1914年（大正3年）7月21日","1面1線","無人駅（自動券売機 有）","トテ","","","323人/日（降車客含まず）-2018年-","","","","","","",""
"都電雑司ヶ谷停留場","都電雑司ヶ谷停留場（とでんぞうしがやていりゅうじょう）","https://ja.wikipedia.org/wiki/都電雑司ヶ谷停留場","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度43分27.3秒東経139度43分4.8秒","都電荒川線（東京さくらトラム）","10.2 km（三ノ輪橋起点）","東京都交通局","東京都豊島区南池袋三丁目北緯35度43分27.3秒東経139度43分4.8秒﻿ / ﻿北緯35.724250度 東経139.718000度﻿ /35.724250; 139.718000座標:北緯35度43分27.3秒東経139度43分4.8秒﻿ / ﻿北緯35.724250度 東経139.718000度﻿ /35.724250; 139.718000","地上駅","1925年（大正14年）3月30日","2面2線","","","SA26","1,067[1]人/日-2019年-","","","","","","","",""
"土々呂駅","土々呂駅（ととろえき）","https://ja.wikipedia.org/wiki/土々呂駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯32度30分28.06秒東経131度40分29.77秒","■日豊本線","265.7 km（小倉起点）","九州旅客鉄道（JR九州）","宮崎県延岡市土々呂町[1]北緯32度30分28.06秒東経131度40分29.77秒","地上駅","1922年（大正11年）2月11日[1]","2面2線[1]","無人駅[1]","トト","","","67人/日（降車客含まず）-2015年-","","","","","","",""
"驫木駅","驫木駅（とどろきえき・東日本旅客鉄道五能線）","https://ja.wikipedia.org/wiki/驫木駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","","■五能線[1]","76.0 km（東能代起点）","東日本旅客鉄道（JR東日本）","","地上駅","1934年（昭和9年）12月13日[2]","1面1線[2]","無人駅[2][1]","トト","","","","","","","","","",""
"等々力駅","等々力駅（とどろきえき・東急大井町線）","https://ja.wikipedia.org/wiki/等々力駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度36分30秒東経139度38分53秒","■大井町線","8.3 km（大井町起点）","東急電鉄","東京都世田谷区等々力三丁目1番1号北緯35度36分30秒東経139度38分53秒﻿ / ﻿北緯35.60833度 東経139.64806度﻿ /35.60833; 139.64806座標:北緯35度36分30秒東経139度38分53秒﻿ / ﻿北緯35.60833度 東経139.64806度﻿ /35.60833; 139.64806","地上駅","1929年（昭和4年）11月1日[1]","1面2線","","","OM13","21,331人/日-2020年-","","","","","","","",""
"砺波駅","砺波駅（となみえき）","https://ja.wikipedia.org/wiki/砺波駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯36度38分11.65秒東経136度57分13.29秒","■城端線","13.3 km（高岡起点）","西日本旅客鉄道（JR西日本）","富山県砺波市表町1-1北緯36度38分11.65秒東経136度57分13.29秒﻿ / ﻿北緯36.6365694度 東経136.9536917度﻿ /36.6365694; 136.9536917座標:北緯36度38分11.65秒東経136度57分13.29秒﻿ / ﻿北緯36.6365694度 東経136.9536917度﻿ /36.6365694; 136.9536917","地上駅（橋上駅）","1897年（明治30年）5月4日","2面2線","業務委託駅みどりの窓口有*1954年に出町駅から改称。","トナ","","","1,201人/日（降車客含まず）-2018年-","","","","","","",""
"舎人駅","舎人駅（とねりえき）","https://ja.wikipedia.org/wiki/舎人駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度48分20.4秒東経139度46分12.3秒","日暮里・舎人ライナー","8.7 km（日暮里起点）","東京都交通局","東京都足立区舎人一丁目16-15北緯35度48分20.4秒東経139度46分12.3秒﻿ / ﻿北緯35.805667度 東経139.770083度﻿ /35.805667; 139.770083﻿ (舎人駅)座標:北緯35度48分20.4秒東経139度46分12.3秒﻿ / ﻿北緯35.805667度 東経139.770083度﻿ /35.805667; 139.770083﻿ (舎人駅)","高架駅","2008年（平成20年）3月30日[1]","1面2線","無人駅","舎（駅名略称）","NT12","8,733人/日-2019年-","","","","","","","",""
"舎人公園駅","舎人公園駅（とねりこうえんえき）","https://ja.wikipedia.org/wiki/舎人公園駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度47分47秒東経139度46分12.6秒","日暮里・舎人ライナー","7.7 km（日暮里起点）","東京都交通局","東京都足立区舎人公園1-10北緯35度47分47秒東経139度46分12.6秒﻿ / ﻿北緯35.79639度 東経139.770167度﻿ /35.79639; 139.770167﻿ (舎人公園駅)座標:北緯35度47分47秒東経139度46分12.6秒﻿ / ﻿北緯35.79639度 東経139.770167度﻿ /35.79639; 139.770167﻿ (舎人公園駅)","高架駅","2008年（平成20年）3月30日[1]","2面3線","","公（駅名略称）","NT11","4,760人/日-2019年-","","","","","","","",""
"富木駅","富木駅（とのきえき）","https://ja.wikipedia.org/wiki/富木駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯34度31分22.3秒東経135度27分5.86秒","R阪和線","16.3 km（天王寺起点）","西日本旅客鉄道（JR西日本）","大阪府高石市取石二丁目1-3北緯34度31分22.3秒東経135度27分5.86秒﻿ / ﻿北緯34.522861度 東経135.4516278度﻿ /34.522861; 135.4516278座標:北緯34度31分22.3秒東経135度27分5.86秒﻿ / ﻿北緯34.522861度 東経135.4516278度﻿ /34.522861; 135.4516278","地上駅","1940年（昭和15年）3月1日","2面2線","業務委託駅みどりの券売機プラス設置駅","トノ","JR-R34","","3,970人/日（降車客含まず）-2018年-","","","","","","",""
"富野荘駅","富野荘駅（とのしょうえき）","https://ja.wikipedia.org/wiki/富野荘駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯34度50分23.54秒東経135度46分22.46秒","B京都線","17.4 km（京都起点）","近畿日本鉄道（近鉄）","京都府城陽市枇杷庄鹿背田58北緯34度50分23.54秒東経135度46分22.46秒﻿ / ﻿北緯34.8398722度 東経135.7729056度﻿ /34.8398722; 135.7729056座標:北緯34度50分23.54秒東経135度46分22.46秒﻿ / ﻿北緯34.8398722度 東経135.7729056度﻿ /34.8398722; 135.7729056","地上駅（地下駅舎）","1928年（昭和3年）11月3日","2面2線","","トノシ"," B15 ","","（全日）3,478人/日（降車客含まず）-2019年-","","","","","","",""
"富海駅","富海駅（とのみえき）","https://ja.wikipedia.org/wiki/富海駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯34度2分54.63秒東経131度38分20.35秒","■山陽本線","434.2 km（神戸起点）","西日本旅客鉄道（JR西日本）","山口県防府市大字富海1990北緯34度2分54.63秒東経131度38分20.35秒﻿ / ﻿北緯34.0485083度 東経131.6389861度﻿ /34.0485083; 131.6389861座標:北緯34度2分54.63秒東経131度38分20.35秒﻿ / ﻿北緯34.0485083度 東経131.6389861度﻿ /34.0485083; 131.6389861","地上駅","1898年（明治31年）3月17日","2面2線","無人駅（自動券売機 有）","トノ","","","188人/日（降車客含まず）-2019年-","","","","","","",""
"殿山駅","殿山駅（とのやまえき）","https://ja.wikipedia.org/wiki/殿山駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯36度20分59.85秒東経140度36分7.08秒","湊線","9.6 km（勝田起点）","ひたちなか海浜鉄道","茨城県ひたちなか市牛久保二丁目7北緯36度20分59.85秒東経140度36分7.08秒﻿ / ﻿北緯36.3499583度 東経140.6019667度﻿ /36.3499583; 140.6019667座標:北緯36度20分59.85秒東経140度36分7.08秒﻿ / ﻿北緯36.3499583度 東経140.6019667度﻿ /36.3499583; 140.6019667","地上駅","1928年7月17日","1面1線","無人駅（自動券売機 有）","","","169[1]人/日-2019年-","","","","","","","",""
"鳥羽駅","鳥羽駅（とばえき）","https://ja.wikipedia.org/wiki/鳥羽駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯34度29分11.31秒東経136度50分34.03秒","■参宮線（JR東海）","29.1 km（多気起点）","東海旅客鉄道（JR東海）近畿日本鉄道（近鉄）","三重県鳥羽市鳥羽一丁目8-13北緯34度29分11.31秒東経136度50分34.03秒﻿ / ﻿北緯34.4864750度 東経136.8427861度﻿ /34.4864750; 136.8427861座標:北緯34度29分11.31秒東経136度50分34.03秒﻿ / ﻿北緯34.4864750度 東経136.8427861度﻿ /34.4864750; 136.8427861","地上駅（一部橋上駅）","1911年（明治44年）7月21日[2]（JR）1929年（昭和4年）7月23日[3]（近鉄）","3面7線[1]","JR東海：無人駅[4]JR東海：指定席券売機設置有[5]","トハ"," M78 ","","（JR東海）-2019年-318人/日（降車客含まず）（近鉄）-2019年-1,789人/日（降車客含まず）","","","","","","",""
"鳥羽街道駅","鳥羽街道駅（とばかいどうえき）","https://ja.wikipedia.org/wiki/鳥羽街道駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯34度58分23.4秒東経135度46分11.74秒","■京阪本線","45.2 km（淀屋橋起点）","京阪電気鉄道","京都市東山区福稲下高松町4番地北緯34度58分23.4秒東経135度46分11.74秒﻿ / ﻿北緯34.973167度 東経135.7699278度﻿ /34.973167; 135.7699278﻿ (鳥羽街道駅)","地上駅","1910年（明治43年）4月15日","2面2線","ホームの有効長は7両無人駅（自動券売機有）","鳥（駅名略称方式）","KH  35","3,104人/日-2019年-","","","","","","","",""
"土橋停留場","土橋停留場（どばしていりゅうじょう・広島電鉄本線・江波線）","https://ja.wikipedia.org/wiki/土橋停留場","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯34度23分40.11秒東経132度26分46.73秒","■本線","3.4 km（広島駅起点）","広島電鉄","広島市中区堺町一丁目北緯34度23分40.11秒東経132度26分46.73秒﻿ / ﻿北緯34.3944750度 東経132.4463139度﻿ /34.3944750; 132.4463139﻿ (土橋停留場)座標:北緯34度23分40.11秒東経132度26分46.73秒﻿ / ﻿北緯34.3944750度 東経132.4463139度﻿ /34.3944750; 132.4463139﻿ (土橋停留場)","地上駅","1912年（大正元年）12月8日","2面2線","","","●M13","7,548[1]人/日-2019年-","","","","","","","",""
"土橋駅 (愛媛県)","土橋駅 (愛媛県)（どばしえき・伊予鉄道郡中線）","https://ja.wikipedia.org/wiki/土橋駅_(愛媛県)","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯33度49分57.92秒東経132度45分22.89秒","郡中線","","伊予鉄道","愛媛県松山市土橋町北緯33度49分57.92秒東経132度45分22.89秒﻿ / ﻿北緯33.8327556度 東経132.7563583度﻿ /33.8327556; 132.7563583﻿ (土橋駅)","地上駅","1953年4月15日","1面1線","","","●IY25","989[1]人/日-2019年-","","","","","","","",""
"戸畑駅","戸畑駅（とばたえき）","https://ja.wikipedia.org/wiki/戸畑駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯33度53分48.89秒東経130度49分13.74秒","JA鹿児島本線","17.2 km（門司港起点）","九州旅客鉄道（JR九州）","北九州市戸畑区汐井町[1]1-1北緯33度53分48.89秒東経130度49分13.74秒﻿ / ﻿北緯33.8969139度 東経130.8204833度﻿ /33.8969139; 130.8204833座標:北緯33度53分48.89秒東経130度49分13.74秒﻿ / ﻿北緯33.8969139度 東経130.8204833度﻿ /33.8969139; 130.8204833","高架駅（盛土上）","1902年（明治35年）12月27日[1]","1面2線[1]","業務委託駅みどりの窓口有北九州市内駅","トハ","JA  25 ","","9,622人/日（降車客含まず）-2019年-","","","","","","",""
"鳥羽中駅","鳥羽中駅（とばなかえき）","https://ja.wikipedia.org/wiki/鳥羽中駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度58分53.5秒東経136度11分15秒","福武線","9.7 km（越前武生駅起点）","福井鉄道","福井県鯖江市神明町五丁目北緯35度58分53.5秒東経136度11分15秒﻿ / ﻿北緯35.981528度 東経136.18750度﻿ /35.981528; 136.18750座標:北緯35度58分53.5秒東経136度11分15秒﻿ / ﻿北緯35.981528度 東経136.18750度﻿ /35.981528; 136.18750","地上駅","1935年（昭和10年）10月1日[1][2]","1面1線","無人駅","","○F9","","93人/日（降車客含まず）-2019年-","","","","","","",""
"騰波ノ江駅","騰波ノ江駅（とばのええき）","https://ja.wikipedia.org/wiki/騰波ノ江駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯36度13分23.68秒東経139度58分35.13秒","常総線","41.0 km（取手起点）","関東鉄道","茨城県下妻市若柳甲533-7北緯36度13分23.68秒東経139度58分35.13秒﻿ / ﻿北緯36.2232444度 東経139.9764250度﻿ /36.2232444; 139.9764250﻿ (騰波ノ江駅)座標:北緯36度13分23.68秒東経139度58分35.13秒﻿ / ﻿北緯36.2232444度 東経139.9764250度﻿ /36.2232444; 139.9764250﻿ (騰波ノ江駅)","地上駅","1926年（大正15年）8月15日[2]","2面2線","無人駅","","","66人/日-2019年[1]-","","","","","","","",""
"飛田給駅","飛田給駅（とびたきゅうえき）","https://ja.wikipedia.org/wiki/飛田給駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯35度39分36.7秒東経139度31分24秒","■京王線","17.7 km（新宿起点）","京王電鉄","東京都調布市飛田給一丁目42-11北緯35度39分36.7秒東経139度31分24秒﻿ / ﻿北緯35.660194度 東経139.52333度﻿ /35.660194; 139.52333﻿ (飛田給駅)座標:北緯35度39分36.7秒東経139度31分24秒﻿ / ﻿北緯35.660194度 東経139.52333度﻿ /35.660194; 139.52333﻿ (飛田給駅)","地上駅（橋上駅）[1]","1916年（大正5年）9月1日","2面3線","","","KO20","28,284人/日-2019年-","","","","","","","",""
"土深井駅","土深井駅（どぶかいえき）","https://ja.wikipedia.org/wiki/土深井駅","日本の鉄道駅一覧_と","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_と","箇条書き,制限あり","北緯40度13分20.88秒東経140度42分46.38秒","■花輪線","84.6 km（好摩起点）","東日本旅客鉄道（JR東日本）","秋田県鹿角市十和田末広字下モ平北緯40度13分20.88秒東経140度42分46.38秒座標:北緯40度13分20.88秒 東経140度42分46.38秒","地上駅","1915年（大正4年）12月25日","1面1線","無人駅*1942年に尾去沢駅から改称。","トカ","","","","","","","","","",""
