"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","ホーム","所在地","備考","電報略号","駅番号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","製造所","編成","電気方式","最高運転速度","車両定員"
"麻生駅","麻生駅（あさぶえき）","https://ja.wikipedia.org/wiki/麻生駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯43度6分32.6秒東経141度20分17.3秒","札幌市営地下鉄南北線","0.0 km（麻生起点）","札幌市交通局","地下駅","1978年（昭和53年）3月16日","1面2線","札幌市北区北40条西5丁目.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯43度6分32.6秒東経141度20分17.3秒﻿ / ﻿北緯43.109056度 東経141.338139度﻿ /43.109056; 141.338139座標:北緯43度6分32.6秒東経141度20分17.3秒﻿ / ﻿北緯43.109056度 東経141.338139度﻿ /43.109056; 141.338139","","","○N01","20,242人/日（降車客含まず）-2019年-","","新琴似駅（北海道旅客鉄道札沼線）","","","","","",""
"麻布十番駅","麻布十番駅（あざぶじゅうばんえき）","https://ja.wikipedia.org/wiki/麻布十番駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","","●[3]東京メトロ南北線","3.6 km（目黒起点）","東京地下鉄（東京メトロ）東京都交通局（都営地下鉄）","地下駅","2000年（平成12年）9月26日[1][2]","各1面2線（計2面4線）","","","サフ（東京メトロ）麻（東京都交通局、駅名略称）","N04[3]","","（東京メトロ）-2019年-49,267人/日（東京都交通局）-2019年-37,018人/日","","","","","","",""
"朝熊駅","朝熊駅（あさまえき）","https://ja.wikipedia.org/wiki/朝熊駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯34度28分38.42秒東経136度45分31.06秒","M鳥羽線","4.9km（宇治山田起点）伊勢中川から33.2 km","近畿日本鉄道（近鉄）","高架駅","1970年（昭和45年）3月1日","2面2線","三重県伊勢市朝熊町小坊山1486.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯34度28分38.42秒東経136度45分31.06秒﻿ / ﻿北緯34.4773389度 東経136.7586278度﻿ /34.4773389; 136.7586278座標:北緯34度28分38.42秒東経136度45分31.06秒﻿ / ﻿北緯34.4773389度 東経136.7586278度﻿ /34.4773389; 136.7586278","無人駅（乗車駅証明書発行機 有）","アサマ"," M76 ","117人/日（降車客含まず）-2019年-","","","","","","","",""
"阿左美駅","阿左美駅（あざみえき）","https://ja.wikipedia.org/wiki/阿左美駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯36度23分13.64秒東経139度18分31.61秒","■桐生線","13.1 km（太田起点）","東武鉄道","地上駅","1937年（昭和12年）5月5日","1面1線","群馬県みどり市笠懸町阿左美1032-2[1].mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯36度23分13.64秒東経139度18分31.61秒﻿ / ﻿北緯36.3871222度 東経139.3087806度﻿ /36.3871222; 139.3087806﻿ (阿左美駅)座標:北緯36度23分13.64秒東経139度18分31.61秒﻿ / ﻿北緯36.3871222度 東経139.3087806度﻿ /36.3871222; 139.3087806﻿ (阿左美駅)","","アミ","TI54","","606[2]人/日-2016年（平成28年）[2]-","","","","","","",""
"あざみ野駅","あざみ野駅（あざみのえき）","https://ja.wikipedia.org/wiki/あざみ野駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","","","","東急電鉄（駅詳細）横浜市交通局（駅詳細）","","","","横浜市青葉区あざみ野二丁目","","","","","","","","","","","",""
"浅海井駅","浅海井駅（あざむいえき）","https://ja.wikipedia.org/wiki/浅海井駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯33度2分37.4秒東経131度55分9.3秒","■日豊本線","188.2 km（小倉起点）","九州旅客鉄道（JR九州）","地上駅","1916年（大正5年）10月25日[1]","1面2線[1]","大分県佐伯市上浦大字浅海井浦[1].mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯33度2分37.4秒東経131度55分9.3秒﻿ / ﻿北緯33.043722度 東経131.919250度﻿ /33.043722; 131.919250座標:北緯33度2分37.4秒東経131度55分9.3秒﻿ / ﻿北緯33.043722度 東経131.919250度﻿ /33.043722; 131.919250","無人駅[1]","アム","","72人/日（降車客含まず）-2015年-","145人/日-2015年-","","","","","","",""
"浅虫温泉駅","浅虫温泉駅（あさむしおんせんえき）","https://ja.wikipedia.org/wiki/浅虫温泉駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯40度53分27.56秒東経140度51分43.92秒","■青い森鉄道線","104.7km（目時起点）東京から722.0 km","青い森鉄道","地上駅","1891年（明治24年）9月1日[1]","2面3線","青森県青森市大字浅虫字螢谷70北緯40度53分27.56秒東経140度51分43.92秒座標:北緯40度53分27.56秒 東経140度51分43.92秒","直営駅*1986年に浅虫駅から改称[2]。","ムシ","","","682人/日-2017年-","","","","","","",""
"朝里駅","朝里駅（あさりえき・北海道旅客鉄道函館本線）","https://ja.wikipedia.org/wiki/朝里駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯43度10分36.7秒東経141度3分51.8秒","■函館本線","259.3 km（函館起点）","北海道旅客鉄道（JR北海道）","地上駅","1880年（明治13年）11月28日","2面2線","北海道小樽市朝里1丁目北緯43度10分36.7秒東経141度3分51.8秒","無人駅","アリ","○S12","","620人/日-2014年-","","","","","","",""
"浅利駅","浅利駅（あさりえき・西日本旅客鉄道山陰本線）","https://ja.wikipedia.org/wiki/浅利駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯35度2分12.62秒東経132度16分29.63秒","D山陰本線","448.0 km（京都起点）","西日本旅客鉄道（JR西日本）","地上駅","1918年（大正7年）11月25日","1面1線","島根県江津市浅利町102.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯35度2分12.62秒東経132度16分29.63秒﻿ / ﻿北緯35.0368389度 東経132.2748972度﻿ /35.0368389; 132.2748972﻿ (浅利駅)","無人駅","サリ","","37人/日（降車客含まず）-2018年-","","","","","","","",""
"足尾駅","足尾駅（あしおえき）","https://ja.wikipedia.org/wiki/足尾駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯36度38分29.99秒東経139度26分52.70秒","■わたらせ渓谷線","42.8 km（桐生起点）","わたらせ渓谷鐵道","地上駅","1912年（大正元年）12月31日","2面2線","栃木県日光市足尾町掛水6.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯36度38分29.99秒東経139度26分52.70秒﻿ / ﻿北緯36.6416639度 東経139.4479722度﻿ /36.6416639; 139.4479722座標:北緯36度38分29.99秒東経139度26分52.70秒﻿ / ﻿北緯36.6416639度 東経139.4479722度﻿ /36.6416639; 139.4479722","","アシ","WK16","","57人/日-2018年-","","","","","","",""
"味岡駅","味岡駅（あじおかえき）","https://ja.wikipedia.org/wiki/味岡駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯35度18分33.2秒東経136度56分25秒","小牧線","12.4 km（上飯田起点）","名古屋鉄道","高架駅","1931年（昭和6年）4月29日","1面1線","愛知県小牧市岩崎143.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯35度18分33.2秒東経136度56分25秒﻿ / ﻿北緯35.309222度 東経136.94028度﻿ /35.309222; 136.94028座標:北緯35度18分33.2秒東経136度56分25秒﻿ / ﻿北緯35.309222度 東経136.94028度﻿ /35.309222; 136.94028","無人駅（駅集中管理システム導入駅）*1987年高架化","","KM  04 ","","4,942人/日-2019年[1]-","","","","","","",""
"阿字ヶ浦駅","阿字ヶ浦駅（あじがうらえき）","https://ja.wikipedia.org/wiki/阿字ヶ浦駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯36度23分0.56秒東経140度36分44.78秒","湊線","14.3 km（勝田起点）","ひたちなか海浜鉄道","地上駅（終着駅）","1928年7月7日","1面2線*","茨城県ひたちなか市阿字ヶ浦町204-4.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯36度23分0.56秒東経140度36分44.78秒﻿ / ﻿北緯36.3834889度 東経140.6124389度﻿ /36.3834889; 140.6124389座標:北緯36度23分0.56秒東経140度36分44.78秒﻿ / ﻿北緯36.3834889度 東経140.6124389度﻿ /36.3834889; 140.6124389","*乗降は片側のみ。","","","","80[1]人/日-2019年-","","","","","","",""
"足利駅","足利駅（あしかがえき）","https://ja.wikipedia.org/wiki/足利駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯36度19分55.39秒東経139度27分21.77秒","■両毛線","38.2 km（小山起点）","東日本旅客鉄道（JR東日本）","地上駅","1888年（明治21年）5月22日[1]","2面2線[1]","栃木県足利市伊勢町一丁目118.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯36度19分55.39秒東経139度27分21.77秒﻿ / ﻿北緯36.3320528度 東経139.4560472度﻿ /36.3320528; 139.4560472座標:北緯36度19分55.39秒東経139度27分21.77秒﻿ / ﻿北緯36.3320528度 東経139.4560472度﻿ /36.3320528; 139.4560472","直営駅（管理駅）","アカ","","3,158人/日（降車客含まず）-2019年-","","","","","","","",""
"足利市駅","足利市駅（あしかがしえき）","https://ja.wikipedia.org/wiki/足利市駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯36度19分46.14秒東経139度26分53.07秒","■伊勢崎線","86.8 km（浅草起点）","東武鉄道","高架駅","1907年（明治40年）8月27日","1面2線","栃木県足利市南町3694.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯36度19分46.14秒東経139度26分53.07秒﻿ / ﻿北緯36.3294833度 東経139.4480750度﻿ /36.3294833; 139.4480750﻿ (足利市駅*)座標:北緯36度19分46.14秒東経139度26分53.07秒﻿ / ﻿北緯36.3294833度 東経139.4480750度﻿ /36.3294833; 139.4480750﻿ (足利市駅*)","*1924年足利町駅から改称。業務委託駅","アシ","TI15","","6,010人/日-2019年-","","","","","","",""
"あしかがフラワーパーク駅","あしかがフラワーパーク駅","https://ja.wikipedia.org/wiki/あしかがフラワーパーク駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯36度18分54.6秒東経139度31分7秒","■両毛線","32.0 km（小山起点）","東日本旅客鉄道（JR東日本）","地上駅","2018年（平成30年）4月1日","1面1線","栃木県足利市迫間町字本郷533番.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯36度18分54.6秒東経139度31分7秒﻿ / ﻿北緯36.315167度 東経139.51861度﻿ /36.315167; 139.51861座標:北緯36度18分54.6秒東経139度31分7秒﻿ / ﻿北緯36.315167度 東経139.51861度﻿ /36.315167; 139.51861","無人駅（自動券売機 有）","アフ","","","","","","","","","",""
"芦ヶ久保駅","芦ヶ久保駅（あしがくぼえき）","https://ja.wikipedia.org/wiki/芦ヶ久保駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯35度58分35.62秒東経139度8分9.55秒","■西武秩父線","12.4 km（吾野起点）池袋から70.2 km","西武鉄道","地上駅","1969年（昭和44年）10月14日","1面2線","埼玉県秩父郡横瀬町芦ヶ久保1925.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯35度58分35.62秒東経139度8分9.55秒﻿ / ﻿北緯35.9765611度 東経139.1359861度﻿ /35.9765611; 139.1359861﻿ (芦ヶ久保駅)座標:北緯35度58分35.62秒東経139度8分9.55秒﻿ / ﻿北緯35.9765611度 東経139.1359861度﻿ /35.9765611; 139.1359861﻿ (芦ヶ久保駅)","","","SI34","","340人/日-2019年-","","","","","","",""
"鰺ケ沢駅","鰺ケ沢駅（あじがさわえき）","https://ja.wikipedia.org/wiki/鰺ケ沢駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","","■五能線","103.8 km（東能代起点）","東日本旅客鉄道（JR東日本）","地上駅","1925年（大正14年）5月15日[1]","2面2線[1]","","業務委託駅みどりの窓口有[1]","アチ","","254人/日（降車客含まず）-2019年-","","","","","","","",""
"海鹿島駅","海鹿島駅（あしかじまえき）","https://ja.wikipedia.org/wiki/海鹿島駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯35度43分18.4秒東経140度51分48.8秒","■銚子電気鉄道線","3.6 km（銚子起点）","銚子電気鉄道","地上駅","1923年（大正12年）7月5日","1面1線","千葉県銚子市小畑新町8505-1北緯35度43分18.4秒東経140度51分48.8秒座標:北緯35度43分18.4秒 東経140度51分48.8秒","無人駅","","CD07","84人/日（降車客含まず）-2018年-","","","","","","","",""
"足ケ瀬駅","足ケ瀬駅（あしがせえき）","https://ja.wikipedia.org/wiki/足ケ瀬駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯39度15分17.31秒東経141度38分44.48秒","■釜石線","61.2 km（花巻起点）","東日本旅客鉄道（JR東日本）","地上駅","1915年（大正4年）11月23日[1]","1面2線","岩手県遠野市上郷町細越38北緯39度15分17.31秒東経141度38分44.48秒座標:北緯39度15分17.31秒 東経141度38分44.48秒","無人駅[2]","アセ","","","","","","","","","",""
"足柄駅 (神奈川県)","足柄駅 (神奈川県)（あしがらえき・小田急小田原線）","https://ja.wikipedia.org/wiki/足柄駅_(神奈川県)","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯35度16分18秒東経139度9分16秒","小田原線","80.8 km（新宿起点）","小田急電鉄","地上駅","1927年（昭和2年）4月1日","2面3線","神奈川県小田原市扇町三丁目32-27.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯35度16分18秒東経139度9分16秒﻿ / ﻿北緯35.27167度 東経139.15444度﻿ /35.27167; 139.15444﻿ (足柄駅)座標:北緯35度16分18秒東経139度9分16秒﻿ / ﻿北緯35.27167度 東経139.15444度﻿ /35.27167; 139.15444﻿ (足柄駅)","","","OH46","","3,893人/日-2019年-","","","","","","",""
"足柄駅 (静岡県)","足柄駅 (静岡県)（あしがらえき・東海旅客鉄道御殿場線）","https://ja.wikipedia.org/wiki/足柄駅_(静岡県)","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯35度19分58.99秒東経138度58分53.47秒","CB御殿場線","28.9 km（国府津起点）","東海旅客鉄道（JR東海）","地上駅","1947年（昭和22年）9月15日[1]","1面2線","静岡県駿東郡小山町竹之下4011.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯35度19分58.99秒東経138度58分53.47秒﻿ / ﻿北緯35.3330528度 東経138.9815194度﻿ /35.3330528; 138.9815194座標:北緯35度19分58.99秒東経138度58分53.47秒﻿ / ﻿北緯35.3330528度 東経138.9815194度﻿ /35.3330528; 138.9815194","駅員無配置駅","アラ","CB  09 ","450人/日（降車客含まず）-2019年-","","","","","","","",""
"芦川駅 (山梨県)","芦川駅（あしがわえき）","https://ja.wikipedia.org/wiki/芦川駅_(山梨県)","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯35度33分46.32秒東経138度30分39.32秒","CC身延線","71.7 km（富士起点）","東海旅客鉄道（JR東海）","地上駅","1929年（昭和4年）2月11日[1]","1面1線","山梨県西八代郡市川三郷町上野.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯35度33分46.32秒東経138度30分39.32秒﻿ / ﻿北緯35.5628667度 東経138.5109222度﻿ /35.5628667; 138.5109222座標:北緯35度33分46.32秒東経138度30分39.32秒﻿ / ﻿北緯35.5628667度 東経138.5109222度﻿ /35.5628667; 138.5109222","無人駅","アシ","","82人/日（降車客含まず）-2018年-","","","","","","","",""
"安治川口駅","安治川口駅（あじかわぐちえき）","https://ja.wikipedia.org/wiki/安治川口駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯34度40分25.56秒東経135度26分38.76秒","P桜島線（JRゆめ咲線）","2.4 km（西九条起点）","西日本旅客鉄道（JR西日本）日本貨物鉄道（JR貨物）","地上駅（橋上駅）","1898年（明治31年）4月5日","1面2線","大阪市此花区島屋六丁目1-101.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯34度40分25.56秒東経135度26分38.76秒﻿ / ﻿北緯34.6737667度 東経135.4441000度﻿ /34.6737667; 135.4441000﻿ (安治川口駅)座標:北緯34度40分25.56秒東経135度26分38.76秒﻿ / ﻿北緯34.6737667度 東経135.4441000度﻿ /34.6737667; 135.4441000﻿ (安治川口駅)","業務委託駅みどりの券売機プラス設置駅大阪市内駅","アク","JR-P15","13,107人/日（降車客含まず）-2019年-","","","","","","","",""
"安食駅","安食駅（あじきえき）","https://ja.wikipedia.org/wiki/安食駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯35度50分8.5秒東経140度14分31.4秒","■成田線（我孫子支線）","23.2 km（我孫子起点）","東日本旅客鉄道（JR東日本）","地上駅","1901年（明治34年）2月2日[1]","2面2線","千葉県印旛郡栄町安食3461北緯35度50分8.5秒東経140度14分31.4秒座標:北緯35度50分8.5秒 東経140度14分31.4秒","業務委託駅みどりの窓口有","シキ←ジキ","","2,427人/日（降車客含まず）-2019年-","","","","","","","",""
"味坂駅","味坂駅（あじさかえき）","https://ja.wikipedia.org/wiki/味坂駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯33度21分12.6秒東経130度32分27.13秒","■天神大牟田線","33.7 km（西鉄福岡（天神）起点）","西日本鉄道","地上駅","1924年（大正13年）4月12日","2面2線","福岡県小郡市赤川.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯33度21分12.6秒東経130度32分27.13秒﻿ / ﻿北緯33.353500度 東経130.5408694度﻿ /33.353500; 130.5408694座標:北緯33度21分12.6秒東経130度32分27.13秒﻿ / ﻿北緯33.353500度 東経130.5408694度﻿ /33.353500; 130.5408694","無人駅","","T  24 ","","206人/日-2019年-","","","","","","",""
"芦沢駅","芦沢駅（あしさわえき）","https://ja.wikipedia.org/wiki/芦沢駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯38度39分19.76秒東経140度21分39.83秒","■奥羽本線（山形線）","133.7 km（福島起点）","東日本旅客鉄道（JR東日本）","地上駅","1916年（大正5年）12月1日","2面2線","山形県尾花沢市大字芦沢1012北緯38度39分19.76秒東経140度21分39.83秒座標:北緯38度39分19.76秒 東経140度21分39.83秒","簡易委託駅","アハ","","44人/日（降車客含まず）-2019年-","","","","","","","",""
"阿知須駅","阿知須駅（あじすえき）","https://ja.wikipedia.org/wiki/阿知須駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯34度0分38.86秒東経131度21分24.57秒","■宇部線","10.2 km（新山口起点）","西日本旅客鉄道（JR西日本）","地上駅","1924年（大正13年）8月17日[1]","1面2線","山口県山口市阿知須4775.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯34度0分38.86秒東経131度21分24.57秒﻿ / ﻿北緯34.0107944度 東経131.3568250度﻿ /34.0107944; 131.3568250座標:北緯34度0分38.86秒東経131度21分24.57秒﻿ / ﻿北緯34.0107944度 東経131.3568250度﻿ /34.0107944; 131.3568250","簡易委託駅POS端末設置*1950年に本阿知須駅から改称。","アシ","","311人/日（降車客含まず）-2019年-","","","","","","","",""
"足滝駅","足滝駅（あしだきえき）","https://ja.wikipedia.org/wiki/足滝駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯36度59分56.35秒東経138度36分13.35秒","■飯山線","52.5 km（豊野起点）","東日本旅客鉄道（JR東日本）","地上駅","1960年（昭和35年）7月15日[1]","1面1線[1]","新潟県中魚沼郡津南町大字上郷寺石[1].mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯36度59分56.35秒東経138度36分13.35秒﻿ / ﻿北緯36.9989861度 東経138.6037083度﻿ /36.9989861; 138.6037083﻿ (足滝駅)座標:北緯36度59分56.35秒東経138度36分13.35秒﻿ / ﻿北緯36.9989861度 東経138.6037083度﻿ /36.9989861; 138.6037083﻿ (足滝駅)","無人駅[1]標高：251.2m[2]","アシ[2]","","","","","","","","","",""
"足立駅","足立駅（あしだちえき）","https://ja.wikipedia.org/wiki/足立駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯35度2分20.07秒東経133度23分1.09秒","V伯備線","77.0km（倉敷起点）岡山から92.9 km","西日本旅客鉄道（JR西日本）","地上駅","1926年（大正15年）12月1日","1面2線","岡山県新見市神郷油野1333-5.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯35度2分20.07秒東経133度23分1.09秒﻿ / ﻿北緯35.0389083度 東経133.3836361度﻿ /35.0389083; 133.3836361﻿ (足立駅)","無人駅","アチ","","4人/日（降車客含まず）-2019年-","","","","","","","",""
"阿品駅","阿品駅（あじなえき）","https://ja.wikipedia.org/wiki/阿品駅","日本の鉄道駅一覧_あ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_あ","箇条書き,制限あり","北緯34度19分23.1秒東経132度18分51.48秒","R山陽本線","324.8 km（神戸起点）","西日本旅客鉄道（JR西日本）","地上駅（橋上駅）","1989年（平成元年）8月11日[1]","2面2線","広島県廿日市市阿品二丁目29-1.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯34度19分23.1秒東経132度18分51.48秒﻿ / ﻿北緯34.323083度 東経132.3143000度﻿ /34.323083; 132.3143000座標:北緯34度19分23.1秒東経132度18分51.48秒﻿ / ﻿北緯34.323083度 東経132.3143000度﻿ /34.323083; 132.3143000","業務委託駅みどりの窓口有","シナ","JR-R09","2,301人/日（降車客含まず）-2018年-","","","","","","","",""
