"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","登録回","登録日","外部リンク","開駅日","登録路線","営業時間","所属路線","起点からの距離","供用開始日","備考","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"メルヘンの丘めまんべつ","[めるへんのおかめまんべつメルヘンの丘めまんべつ（メルヘンのおかめまんべつ）オホーツク網走郡大空町国道39号北海道-079 ] 道の駅メルヘンの丘めまんべつ （みちのえき メルヘンのおかめまんべつ）は、 北海道 網走郡 大空町 女満別昭和にある 国道39号 の 道の駅 である。2003年（平成15年）8月8日に登録された。","https://ja.wikipedia.org/wiki/道の駅メルヘンの丘めまんべつ","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯43度55分02秒東経144度11分19秒","〒099-2356北海道網走郡大空町女満別昭和96","第19回（01079）","2003年8月8日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2003年8月8日","国道39号","9:00 - 18:00","","","","","","","","","","","",""
"むかわ四季の館","[むかわ四季の館（むかわしきのやかた）道央勇払郡むかわ町国道235号北海道-080 ] 道の駅むかわ四季の館 （みちのえき むかわしきのやかた）は、 北海道 勇払郡 むかわ町 にある 国道235号 の 道の駅 。","https://ja.wikipedia.org/wiki/道の駅むかわ四季の館","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯42度34分26秒東経141度55分30秒","〒054-0042北海道勇払郡むかわ町美幸3丁目3-1","第19回（01080）","2003年8月8日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2003年8月10日","国道235号","9:00 - 22:00","","","","","","","","","","","",""
"あいおい","[あいおいオホーツク網走郡津別町国道240号北海道-081旧北見相生駅跡] 道の駅あいおい （みちのえき あいおい）は、 北海道 網走郡 津別町 にある 国道240号 の 道の駅 。","https://ja.wikipedia.org/wiki/道の駅あいおい","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯43度32分44秒東経143度58分50秒","〒092-0361北海道網走郡津別町字相生","第19回（01081）","2003年8月8日","国土交通省案内ページ全国道の駅連絡会ページ","2003年8月8日","国道240号","9:00-18:00（4-10月）9:00-17:00（11-3月）","","","","","","","","","","","",""
"しかおい","[しかおい十勝河東郡鹿追町国道274号北海道-082 ] 道の駅しかおい （みちのえき しかおい）は、 北海道 河東郡 鹿追町 にある 国道274号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅しかおい","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯43度05分54秒東経142度59分19秒","〒081-0222北海道河東郡鹿追町東町3丁目2","第19回（01082）","2003年8月8日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2003年8月8日","国道274号","町民ホール 9:00 - 22:00直売所 9:00 - 17:00","","","","","","","","","","","",""
"しらたき","[しらたきオホーツク紋別郡遠軽町国道450号旭川紋別自動車道北海道-083旭川紋別自動車道白滝PA/奥白滝ICに隣接国道333号からもアクセス可能] 白滝パーキングエリア （しらたきパーキングエリア）は、 北海道 紋別郡 遠軽町 にある 旭川紋別自動車道 上にある パーキングエリア 。","https://ja.wikipedia.org/wiki/道の駅しらたき","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯43度52分13.0秒東経143度4分30.6秒","〒099-0126北海道紋別郡遠軽町奥白滝北緯43度52分13.0秒東経143度4分30.6秒﻿ / ﻿北緯43.870278度 東経143.075167度﻿ /43.870278; 143.075167座標:北緯43度52分13.0秒東経143度4分30.6秒﻿ / ﻿北緯43.870278度 東経143.075167度﻿ /43.870278; 143.075167","","","","","","","E39旭川紋別自動車道","53.9 km（比布JCT起点）","2002年（平成14年）3月30日","奥白滝IC併設","","","","","","","",""
"あしょろ銀河ホール21","[あしょろぎんがホール21あしょろ銀河ホール21（あしょろぎんがホール21）十勝足寄郡足寄町国道241号国道242号北海道-084旧足寄駅に併設] 道の駅あしょろ銀河ホール21 （みちのえき あしょろぎんがホールにじゅういち）は、 北海道 足寄郡 足寄町 にある 国道241号 および 国道242号 の 道の駅 である  。","https://ja.wikipedia.org/wiki/道の駅あしょろ銀河ホール21","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯43度14分40秒東経143度32分47秒","〒089-3701北海道足寄郡足寄町北1条1丁目","第20回（01084）","2004年8月9日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2004年8月9日","国道241号・国道242号","10:00 - 18:00（4月20日-10月31日）10:00 - 17:00（11月1日-4月19日）","","","","","","","","","","","",""
"サーモンパーク千歳","[さーもんぱーくちとせサーモンパーク千歳（サーモンパークちとせ）道央千歳市国道337号北海道-085 ] 道の駅サーモンパーク千歳 （みちのえきサーモンパークちとせ）は、 北海道 千歳市 にある 道の駅 。","https://ja.wikipedia.org/wiki/道の駅サーモンパーク千歳","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯42度50分02秒東経141度39分34秒","〒066-0028北海道千歳市花園2丁目4-2","第20回（01085）","2004年8月9日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2005年6月25日","国道337号","9:00 - 20:30（一部店舗は18:00まで）","","","","","","","","","","","",""
"ひがしかわ「道草館」","[ひがしかわ「道草館」（ひがしかわみちくさかん）道北上川郡東川町道道1160号旭川旭岳温泉線北海道-086 ] 道の駅ひがしかわ「道草館」 （みちのえき ひがしかわ「みちくさかん」）は、 北海道 上川郡 東川町 にある 北海道道1160号旭川旭岳温泉線 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅ひがしかわ「道草館」","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯43度41分50秒東経142度30分32秒","〒071-1423北海道上川郡東川町東町1丁目1-15","第20回（01086）","2004年8月9日","国土交通省案内ページ全国道の駅連絡会ページ","2004年8月9日","北海道道1160号","8:30 - 18:00（5-10月）8:30 - 17:00（11-4月）","","","","","","","","","","","",""
"花ロードえにわ","[はなろーどえにわ花ロードえにわ（はなロードえにわ）道央恵庭市国道36号北海道-087 ] 道と川の駅花ロードえにわ （みちとかわのえき はなロードえにわ）は、 北海道 恵庭市 にある 国道36号 （ 恵庭バイパス ）の 道の駅 である。国道と 漁川 の交点に位置していることから河川緑地と一体的な整備を進めてきたほか  、 花の拠点「はなふる」 を構成する施設となっている  。","https://ja.wikipedia.org/wiki/道と川の駅花ロードえにわ","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯42度53分50秒東経141度35分09秒","〒061-1375北海道恵庭市南島松817-18","第21回（01087）","2005年8月10日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2006年7月1日","国道36号","9:00 - 19:00（4-10月）9:00 - 17:30（11-3月）","","","","","","","","","","","",""
"シェルプラザ・港","[しぇるぷらざみなとシェルプラザ・港（シェルプラザみなと）道央磯谷郡蘭越町国道229号北海道-088 ] 道の駅シェルプラザ・港 （みちのえき シェルプラザ・みなと）は、 北海道 磯谷郡 蘭越町 にある 国道229号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅シェルプラザ・港","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯42度52分49秒東経140度22分12秒","〒048-0341北海道磯谷郡蘭越町港町1402-1","第21回（01088）","2005年8月10日","国土交通省案内ページ全国道の駅連絡会ページ","2005年10月1日","国道229号","9:00 - 17:00","","","","","","","","","","","",""
"真狩フラワーセンター","[まっかりフラワーセンター真狩フラワーセンター（まっかりフラワーセンター）道央虻田郡真狩村道道66号岩内洞爺線北海道-089 ] 道の駅真狩フラワーセンター （みちのえき まっかりフラワーセンター）は、 北海道 虻田郡 真狩村 にある 北海道道66号岩内洞爺線 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅真狩フラワーセンター","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯42度45分43秒東経140度48分29秒","〒048-1611北海道虻田郡真狩村字光8-3","第21回（01089）","2005年8月10日","国土交通省案内ページ全国道の駅連絡会ページ","2006年4月28日","北海道道66号","9:00 - 18:00（4月下旬-10月31日）9:00 - 17:00（11月1日-4月下旬）","","","","","","","","","","","",""
"鐘のなるまち・ちっぷべつ","[かねのなるまちちっぷべつ鐘のなるまち・ちっぷべつ（かねのなるまちちっぷべつ）道央雨竜郡秩父別町国道233号北海道-090 ] 道の駅鐘のなるまち・ちっぷべつ （みちのえき かねのなるまち・ちっぷべつ）は、 北海道 雨竜郡 秩父別町 にある 国道233号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅鐘のなるまち・ちっぷべつ","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯43度45分54秒東経141度58分00秒","〒078-2100北海道雨竜郡秩父別町2085","第21回（01090）","2005年8月10日","国土交通省案内ページ全国道の駅連絡会ページ","2005年8月20日","国道233号","9:00～18:00（4月～10月）、9:00～17:00（11月～3月）","","","","","","","","","","","",""
"あぷた","[あぷた道央虻田郡洞爺湖町国道37号北海道-091 ] 道の駅あぷた （みちのえき あぷた）は、 北海道 虻田郡 洞爺湖町 にある 国道37号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅あぷた","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯42度31分44秒東経140度46分43秒","〒049-5603北海道虻田郡洞爺湖町入江84-2","第21回（01091）","2005年8月10日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2005年10月1日","国道37号","9:00 - 18:00（4-10月）9:00 - 17:00（11-3月）","","","","","","","","","","","",""
"うりまく","[うりまく十勝河東郡鹿追町国道274号北海道-092 ] 道の駅うりまく （みちのえき うりまく）は、 北海道 河東郡 鹿追町 にある 国道274号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅うりまく","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯43度10分11秒東経143度01分30秒","〒081-0341北海道河東郡鹿追町瓜幕西3丁目1","第21回（01092）","2005年8月10日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2005年8月10日","国道274号","9:00 - 17:00","","","","","","","","","","","",""
"絵本の里けんぶち","[えほんのさとけんぶち絵本の里けんぶち（えほんのさとけんぶち）道北上川郡剣淵町国道40号北海道-093 ] 道の駅絵本の里けんぶち （みちのえき えほんのさとけんぶち）は、 北海道 上川郡 剣淵町 にある 国道40号 の 道の駅   。","https://ja.wikipedia.org/wiki/道の駅絵本の里けんぶち","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯44度05分38秒東経142度23分28秒","〒098-0341北海道上川郡剣淵町東町2420","第22回（01093）","2006年8月10日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2006年9月21日","国道40号","9:00 - 18:00（5-10月）9:30 - 17:00（11-4月）","","","","","","","","","","","",""
"風Wとままえ","[ふわっととままえ風Wとままえ（ふわっととままえ）道北苫前郡苫前町国道232号北海道-094 ] 道の駅風Wとままえ （みちのえき ふわっととままえ）は、 北海道 苫前郡 苫前町 にある 国道232号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅風Wとままえ","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯44度18分48秒東経141度39分25秒","〒078-3701北海道苫前郡苫前町字苫前119-1","第22回（01094）","2006年8月10日","国土交通省案内ページ全国道の駅連絡会ページ","2006年11月17日","国道232号","7:00 - 22:00","","","","","","","","","","","",""
"しほろ温泉","[しほろ温泉（しほろおんせん）十勝河東郡士幌町道道134号本別士幌線北海道-095 ] 道の駅しほろ温泉 （みちのえき しほろおんせん）は、 北海道 河東郡 士幌町 にある 北海道道134号本別士幌線 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅しほろ温泉","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯43度8分20.0秒東経143度22分4.6秒","〒080-1282北海道河東郡士幌町字下居辺西2線134","第22回（01095）","2006年8月10日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2006年9月15日","北海道道134号","10:00～21:00","","","","","","","","","","","",""
"名水の郷きょうごく","[めいすいのさときょうごく名水の郷きょうごく（めいすいのさときょうごく）道央虻田郡京極町道道478号京極倶知安線北海道-096 ] 道の駅名水の郷きょうごく （みちのえき めいすいのさときょうごく）は、 北海道 虻田郡 京極町 にある 北海道道478号京極倶知安線 の 道の駅 である。 ふきだし公園 にあり、園内にある「羊蹄のふきだし湧水」は、 環境省 による『 名水百選 』や『 北海道遺産 』などに選定されている。","https://ja.wikipedia.org/wiki/道の駅名水の郷きょうごく","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯42度51分32秒東経140度52分15秒","〒044-0131北海道虻田郡京極町字川西45-1","（01096）","2007年3月1日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2007年5月1日","北海道道478号","8:00-17:00","","","","","","","","","","","",""
"びえい「丘のくら」","[びえいおかのくらびえい「丘のくら」（びえいおかのくら）道北上川郡美瑛町道道213号天人峡美瑛線北海道-097 ] 道の駅びえい「丘のくら」 （みちのえき びえいおかのくら）は、 北海道 上川郡 美瑛町 にある 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅びえい「丘のくら」","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯43度35分32秒東経142度27分50秒","〒071-0208北海道上川郡美瑛町本町1丁目9-21","第23回（01097）","2007年3月1日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2007年4月28日","北海道道213号","9:00 - 19:00（6月から8月）9:00 - 18:00（5月・9月）9:00 - 17:00（10月から4月）","","","","","","","","","","","",""
"☆ロマン街道しょさんべつ","[ろまんかいどうしょさんべつ☆ロマン街道しょさんべつ（ロマンかいどうしょさんべつ）道北苫前郡初山別村国道232号北海道-098 ] 道の駅☆ロマン街道しょさんべつ （みちのえき ロマンかいどうしょさんべつ）は、 北海道 苫前郡 初山別村 にある 国道232号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅☆ロマン街道しょさんべつ","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯44度33分48秒東経141度46分39秒","〒078-4431北海道苫前郡初山別村字豊岬153-1","第23回（01098）","2007年3月1日","国土交通省案内ページ全国道の駅連絡会ページ","2007年6月1日","国道232号","10:00-21:00（4-10月）10:00-20:00（11-3月）※冬季開館時間の変更の場合有り","","","","","","","","","","","",""
"うとろ・シリエトク","[うとろ・シリエトクオホーツク斜里郡斜里町国道334号北海道-099 ] 道の駅うとろ・シリエトク （みちのえき うとろシリエトク）は、 北海道 斜里郡 斜里町 ウトロ にある 道の駅 である  。「シリエトク」(sir-etok) とは、 アイヌ語 で「陸地・大地」 (sir) の「先端・前」 (etok) を意味した「大地の突端（行き詰まり）」を表す言葉であり、知床の語源でもある。","https://ja.wikipedia.org/wiki/道の駅うとろ・シリエトク","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯44度04分09秒東経144度59分26秒","〒099-4354北海道斜里郡斜里町ウトロ西186-8","第23回（01099）","2007年3月1日","国土交通省案内ページ全国道の駅連絡会ページ","2007年4月25日","国道334号","8:30 - 18:30（5月から10月）9:00 - 17:30（11月から4月）","","","","","","","","","","","",""
"しゃり","[しゃりオホーツク斜里郡斜里町道道92号斜里停車場線北海道-100 ] 道の駅しゃり （みちのえき しゃり）は、 北海道 斜里郡 斜里町 にある 北海道道92号斜里停車場線 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅しゃり","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯43度54分42秒東経144度39分51秒","〒099-4192北海道斜里郡斜里町本町37","第23回（01100）","2007年3月1日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2007年4月27日","北海道道92号","9:00 - 19:00","","","","","","","","","","","",""
"パパスランドさっつる","[ぱぱすランドさっつるパパスランドさっつるオホーツク斜里郡清里町道道1115号摩周湖斜里線北海道-101 ] 道の駅パパスランドさっつる （みちのえき パパスランドさっつる）は、 北海道 斜里郡 清里町 にある 北海道道1115号摩周湖斜里線 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅パパスランドさっつる","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯43度47分26秒東経144度32分04秒","〒099-4521北海道斜里郡清里町字神威1071","第24回（01101）","2007年8月10日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2007年11月1日","北海道道1115号","9:00 - 21:00","","","","","","","","","","","",""
"もち米の里☆なよろ","[もち米の里☆なよろ（もちごめのさとなよろ）道北名寄市国道40号北海道-102 ] 道の駅もち米の里☆なよろ （みちのえき もちごめのさとなよろ）は、 北海道 名寄市 にある 国道40号 の 道の駅 である  。","https://ja.wikipedia.org/wiki/道の駅もち米の里☆なよろ","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯44度17分14秒東経142度24分50秒","〒049-5831北海道名寄市風連町西町334-1","第26回（01102）","2008年4月17日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2008年4月20日","国道40号","9:00 - 18:00","","","","","","","","","","","",""
"みなとま〜れ寿都","[みなとま〜れ寿都（みなとま〜れすっつ）道央寿都郡寿都町道道9号寿都黒松内線北海道-103 ] 道の駅みなとま〜れ寿都 （みちのえき みなとま〜れすっつ）は、 北海道 寿都郡 寿都町 にある 北海道道9号寿都黒松内線 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅みなとま〜れ寿都","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯42度47分43秒東経140度13分54秒","〒048-0404北海道寿都郡寿都町字大磯町29-1","第26回（01103）","2008年4月17日","国土交通省案内ページ全国道の駅連絡会ページ","2008年4月26日","北海道道9号","9:00 - 18:00（4-10月）9:00 - 17:00（11-3月）","","","","","","","","","","","",""
"とうや湖","[とうや湖（とうやこ）道央虻田郡洞爺湖町国道230号北海道-104 ] 道の駅とうや湖 （みちのえき とうやこ）は、 北海道 虻田郡 洞爺湖町 にある 国道230号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅とうや湖","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯42度39分52秒東経140度49分19秒","〒049-5831北海道虻田郡洞爺湖町香川9-4","第26回（01104）","2008年4月17日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2008年4月26日","国道230号","9:00 - 18:00（4-10月）9:00 - 17:00（11-3月）","","","","","","","","","","","",""
"流氷街道網走","[りゅうひょうかいどうあばしり流氷街道網走（りゅうひょうかいどうあばしり）オホーツク網走市道道1083号網走港線北海道-105 ] 道の駅流氷街道網走 （みちのえき りゅうひょうかいどうあばしり）は、 北海道 網走市 にある 道の駅 である  。施設名は「みなと観光交流センター」であり  、 網走港 の みなとオアシス 「みなとオアシス網走」の中心施設となっている  。冬期間は流氷観光砕氷船「おーろら」の発着場としても利用している  。","https://ja.wikipedia.org/wiki/道の駅流氷街道網走","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯44度01分19秒東経144度16分26秒","〒093-0003北海道網走市南3条東4丁目","第29回（01105）","2008年12月10日","国土交通省案内ページ全国道の駅連絡会ページ","2009年1月19日","北海道道1083号","9:00 - 18:30","","","","","","","","","","","",""
"北前船 松前","[きたまえぶねまつまえ北前船 松前（きたまえぶねまつまえ）道南松前郡松前町国道228号北海道-106 ] 道の駅北前船 松前 （みちのえき きたまえぶね まつまえ）は、 北海道 松前郡 松前町 にある 国道228号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅北前船_松前","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯41度25分36秒東経140度06分26秒","〒049-1506北海道松前郡松前町字唐津379","第30回（01106）","2009年3月12日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2009年4月26日","国道228号","9:00 - 18:00（4-10月）9:00 - 17:00（11-3月）","","","","","","","","","","","",""
"ステラ★ほんべつ","[すてらほんべつステラ★ほんべつ十勝中川郡本別町国道242号北海道-107旧本別駅に併設] 道の駅ステラ★ほんべつ （みちのえき ステラほんべつ）は、 北海道 中川郡 本別町 にある 国道242号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅ステラ★ほんべつ","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯43度07分33秒東経143度36分48秒","〒089-3334北海道中川郡本別町北3丁目1-1","第30回（01107）","2009年3月12日","国土交通省案内ページ全国道の駅連絡会ページ","2009年4月26日","国道242号","9:00 - 19:00（4-10月）9:00 - 17:00（11-3月）","","","","","","","","","","","",""
"ウトナイ湖","[うとないこウトナイ湖（ウトナイこ）道央苫小牧市国道36号北海道-108 ] 道の駅ウトナイ湖 （みちのえき ウトナイこ）は、 北海道 苫小牧市 にある 国道36号 の 道の駅  。","https://ja.wikipedia.org/wiki/道の駅ウトナイ湖","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯42度41分59秒東経141度41分40秒","〒059-1365北海道苫小牧市植苗156-30","第32回（01108）","2009年7月31日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2009年10月1日","国道36号","9:00 - 19:00","","","","","","","","","","","",""
"うらほろ","[うらほろ十勝十勝郡浦幌町国道38号北海道-109] 道の駅うらほろ （みちのえき うらほろ）は、 北海道 十勝郡 浦幌町 にある 国道38号 の 道の駅 である  。","https://ja.wikipedia.org/wiki/道の駅うらほろ","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯42度48分50秒東経143度39分49秒","〒089-5621北海道十勝郡浦幌町字北町16","第32回（01109）","2009年7月31日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2009年9月11日","国道38号","9:00～18:30（4月～10月）、9:00～17:00（11月～3月）","","","","","","","","","","","",""
"しんしのつ","[しんしのつ道央石狩郡新篠津村道道139号江別奈井江線北海道-110 ] 道の駅しんしのつ （みちのえき しんしのつ）は、 北海道 石狩郡 新篠津村 にある 北海道道139号江別奈井江線 の 道の駅  。","https://ja.wikipedia.org/wiki/道の駅しんしのつ","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯43度12分51秒東経141度38分34秒","〒068-1100北海道石狩郡新篠津村第45線北2","第34回（01110）","2010年8月9日","国土交通省案内ページ全国道の駅連絡会ページ","2010年11月3日","北海道道139号","10:00 - 22:00","","","","","","","","","","","",""
"夕張メロード","[ゆうばりメロード夕張メロード（ゆうばりメロード）道央夕張市国道274号北海道-111 ] 道の駅夕張メロード （みちのえき ゆうばりメロード）は、 北海道 夕張市 にある 国道274号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅夕張メロード","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯42度56分13秒東経142度02分17秒","〒068-0755北海道夕張市紅葉山526-19","第35回（01111）","2011年3月3日","国土交通省案内ページ全国道の駅連絡会ページ","2011年6月18日","国道274号","10:00 - 19:00","","","","","","","","","","","",""
"おだいとう","[おだいとう釧路・根室野付郡別海町国道244号北海道-112] 道の駅おだいとう （みちのえき おだいとう）は、 北海道 野付郡 別海町 にある 国道244号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅おだいとう","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯43度32分00秒東経145度14分13秒","〒086-1641北海道野付郡別海町尾岱沼5-27","第35回（01112）","2011年3月3日","国土交通省案内ページ全国道の駅連絡会ページ","2011年4月1日","国道244号","9:00 - 17:00（5-10月）9:00 - 16:00（11-4月）","","","","","","","","","","","",""
"縄文ロマン 南かやべ","[じょうもんろまんみなみかやべ縄文ロマン 南かやべ（じょうもんろまんみなみかやべ）道南函館市国道278号尾札部道路北海道-113 ] 道の駅縄文ロマン 南かやべ （みちのえき じょうもんロマン みなみかやべ）は、 北海道 函館市 臼尻町にある 国道278号 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅縄文ロマン_南かやべ","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯41度55分41秒東経140度56分41秒","〒041-1613北海道函館市臼尻町551-1","第36回（01113）","2011年8月25日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2011年10月1日","国道278号","9:00 - 19:00（5-10月）9:00 - 18:00（11-4月）","","","","","","","","","","","",""
"わっかない","[わっかない道北稚内市国道40号北海道-114稚内駅・稚内港に併設] 道の駅わっかない （みちのえきわっかない）は、 北海道 稚内市 にある 道の駅 。複合施設「 キタカラ 」（KITAcolor）にあり  、日本最北端の道の駅になっている  。","https://ja.wikipedia.org/wiki/道の駅わっかない","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯45度25分02秒東経141度40分38秒","〒097-0023北海道稚内市開運2丁目1","第37回（01114）","2012年3月26日","国土交通省案内ページ全国道の駅連絡会ページ","2012年5月3日","国道40号","10:00 - 18:00","","","","","","","","","","","",""
"あかいがわ","[あかいがわ道央余市郡赤井川村国道393号北海道-115 ] 道の駅あかいがわ （みちのえき あかいがわ）は、 北海道 余市郡 赤井川村 にある 道の駅 で、国道393号と 道道36号 の交差点のすぐ近くにある。","https://ja.wikipedia.org/wiki/道の駅あかいがわ","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯43度03分04秒東経140度50分41秒","〒046-0541北海道余市郡赤井川村字都190-16","第43回（01115）","2015年4月15日","国土交通省案内ページ全国道の駅連絡会ページ","2015年4月15日","国道393号","（5月-9月） 8:30 - 19:00（10月-4月） 9:00 - 17:00","","","","","","","","","","","",""
"みそぎの郷 きこない","[みそぎの郷 きこない（みそぎのさときこない）道南上磯郡木古内町道道383号木古内停車場線北海道-116 ] 道の駅みそぎの郷 きこない （みちのえき みそぎのさときこない）は、 北海道 上磯郡 木古内町 にある 北海道道383号木古内停車場線 の 道の駅 である。","https://ja.wikipedia.org/wiki/道の駅みそぎの郷_きこない","道の駅一覧_北海道地方","https://ja.wikipedia.org/wiki/道の駅一覧_北海道地方","表形式","北緯41度40分40秒東経140度26分06秒","〒049-0422北海道上磯郡木古内町字本町338-14","第44回（01116）","2015年11月5日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","2016年1月13日","北海道道383号木古内停車場線","9:00 - 18:00","","","","","","","","","","","",""
