"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","位置","所在地","地図","築造時期","城郭構造","築城年","廃城年","指定文化財","形状","規模","別名","築城主","遺構","史跡","主な城主","法人番号","天守構造","埋葬施設","出土品"
"浦間茶臼山古墳","[浦間茶臼山古墳（うらまちゃうすやまこふん）〔岡山市〕] 浦間茶臼山古墳 （うらまちゃうすやまこふん）は、 岡山県 岡山市 東区 浦間にある古墳。形状は 前方後円墳 である。国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/浦間茶臼山古墳","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度42分36.2秒東経134度4分1.3秒","北緯34度42分36.2秒東経134度4分1.3秒﻿ / ﻿北緯34.710056度 東経134.067028度﻿ /34.710056; 134.067028","岡山県岡山市東区浦間","","3世紀末","","","","","前方後円墳","墳長138m前方長61m後円部径81m後円部高13.8m","","","","国の史跡","","","","竪穴式石室","埴輪・細線式獣帯鏡片・銅鏃・鉄鏃・鉄刀・鉄剣・鉄のみ・鉄斧・ヤス等"
"大多羅寄宮跡","[大多羅寄宮跡（おおだらよせみやあと）〔岡山市〕1927年4月8日] 大多羅寄宮 （おおだらよせみや）は、 岡山県 岡山市 東区 大多羅町 にあった 神社 。跡地は「大多羅寄宮跡」として国の史跡に指定されている。","https://ja.wikipedia.org/wiki/大多羅寄宮跡","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度40分9.2秒 東経134度0分29.8秒","","","","","","","","","","","","","","","","","","",""
"大廻小廻山城","[大廻小廻山城跡（おおめぐりこめぐりさんじょうあと）〔岡山市〕] 大廻小廻山城 （おおめぐりこめぐりさんじょう  /おおめぐりこめぐりやまじょう  、築地山城<ついじさんじょう>   ）は、 備前国 上道郡 の大廻・小廻山（現在の 岡山県 岡山市 東区 草ヶ部・瀬戸町観音寺・瀬戸町笹岡）にあった 日本 の 古代山城 （分類は 神籠石系山城 ）。城跡は国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/大廻小廻山城","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度43分11.28秒東経134度1分23.13秒","北緯34度43分11.28秒東経134度1分23.13秒﻿ / ﻿北緯34.7198000度 東経134.0230917度﻿ /34.7198000; 134.0230917座標:北緯34度43分11.28秒東経134度1分23.13秒﻿ / ﻿北緯34.7198000度 東経134.0230917度﻿ /34.7198000; 134.0230917","","","","古代山城（神籠石系山城）","不明","不明","国の史跡「大廻小廻山城跡」","","","築地山城","","水門・石塁・土塁","","","","","",""
"岡山城","[岡山城跡（おかやまじょうあと）〔岡山市〕1987年5月30日] 岡山城 （おかやまじょう）は、 備前国 御野郡 岡山  （現・ 岡山県 岡山市 北区 ）にあった 日本の城 。国指定の 史跡 。別名は 烏城 （うじょう）、 金烏城 （きんうじょう）  。","https://ja.wikipedia.org/wiki/岡山城","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度39分54.65秒東経133度56分9.79秒","北緯34度39分54.65秒東経133度56分9.79秒﻿ / ﻿北緯34.6651806度 東経133.9360528度﻿ /34.6651806; 133.9360528座標:北緯34度39分54.65秒東経133度56分9.79秒﻿ / ﻿北緯34.6651806度 東経133.9360528度﻿ /34.6651806; 133.9360528","","岡山城","","梯郭式平山城","1346年-1369年（正平年間）","1873年（明治6年）","国の重要文化財（月見櫓、西の丸西手櫓）国の史跡","","","烏城、金烏城","上神高直?","櫓、石垣、堀","","宇喜多氏、小早川氏、池田氏","","複合式望楼型4重6階（1597年築）（鉄筋コンクリート造外観復元・1966年）","",""
"岡山藩","[岡山藩主池田家墓所 附 津田永忠墓（おかやまはんしゅいけだけぼしょ つけたり つだながただのはか）〔岡山市円山、備前市吉永町、和気郡和気町〕 -曹源寺、和意谷池田家墓所] 岡山藩 （おかやまはん）は、 備前 一国および 備中 の一部を領有した 外様 の大 藩 である。藩庁は 岡山城 （備前国 御野郡 、現 岡山県 岡山市 北区 ）。ほとんどの期間を 池田氏 が治めた。 国主 、本国持。 支藩 に 鴨方藩 と 生坂藩 、また短期間 児島藩 があった。","https://ja.wikipedia.org/wiki/岡山藩","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"尾上車山古墳","[尾上車山古墳（おのうえくるまやまこふん）〔岡山市〕1972年7月19日] 尾上車山古墳 （おのうえくるまやまこふん）は、 岡山県 岡山市 北区 尾上にある 古墳 。形状は 前方後円墳 。国の 史跡 に指定されている。別名を「ぎりぎり山古墳（ギリギリ山古墳）」とも    。","https://ja.wikipedia.org/wiki/尾上車山古墳","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度39分32.28秒東経133度51分54.51秒","北緯34度39分32.28秒東経133度51分54.51秒﻿ / ﻿北緯34.6589667度 東経133.8651417度﻿ /34.6589667; 133.8651417座標:北緯34度39分32.28秒東経133度51分54.51秒﻿ / ﻿北緯34.6589667度 東経133.8651417度﻿ /34.6589667; 133.8651417","岡山県岡山市北区尾上","尾上車山古墳","4世紀後半","","","","","前方後円墳（柄鏡式）","墳丘長138.5m高さ11m（後円部）","","","","国の史跡「尾上車山古墳」","","","","（推定）竪穴式石室","埴輪"
"岡山藩藩学","[旧岡山藩藩学（きゅうおかやまはんはんがく）〔岡山市〕1922年3月8日] 岡山藩藩学 （おかやまはんはんがく）は、 江戸時代 前期に 岡山藩 によって他藩に先駆けて開かれた最古の 藩校 である。所在地は 岡山県 岡山市 北区 蕃山町。 国学 、 岡山学校 と呼ばれた。国の 史跡 。","https://ja.wikipedia.org/wiki/岡山藩藩学","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度40分2.9秒 東経133度55分38.3秒","","","","","","","","","","","","","","","","","","",""
"賞田廃寺跡","[賞田廃寺跡（しょうだはいじあと）〔岡山市〕1972年3月16日] 賞田廃寺跡 （しょうだはいじあと）は 岡山県 岡山市 中区 賞田にある仏教寺院の遺跡。国の 史跡 。","https://ja.wikipedia.org/wiki/賞田廃寺跡","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度41分53.8秒 東経133度57分43.1秒","","","","","","","","","","","","","","","","","","",""
"神宮寺山古墳","[神宮寺山古墳（じんぐうじやまこふん）〔岡山市〕1959年5月13日] 神宮寺山古墳 （じんぐうじやまこふん）は、 岡山県 岡山市 北区 中井町にある 古墳 。形状は 前方後円墳 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/神宮寺山古墳","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度41分1.46秒東経133度55分49.77秒","北緯34度41分1.46秒東経133度55分49.77秒﻿ / ﻿北緯34.6837389度 東経133.9304917度﻿ /34.6837389; 133.9304917座標:北緯34度41分1.46秒東経133度55分49.77秒﻿ / ﻿北緯34.6837389度 東経133.9304917度﻿ /34.6837389; 133.9304917","岡山県岡山市北区中井町1丁目","神宮寺山古墳","4世紀後半-5世紀初頭","","","","","前方後円墳","墳丘長150m（推定155m）高さ13m（後円部）","","","","国の史跡「神宮寺山古墳」","","","","後円部：竪穴式石室前方部：（推定）不明主体","副葬品多数・円筒埴輪"
"1928年","[惣爪塔跡（そうづめとうあと）〔岡山市〕1928年2月7日] 1928年 （1928 ねん）は、 西暦 （ グレゴリオ暦 ）による、 日曜日から始まる閏年 。 昭和 3年。","https://ja.wikipedia.org/wiki/1928年","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"高松城 (備中国)","[高松城跡 附 水攻築堤跡（たかまつじょうあと つけたり みずぜめちくていあと）〔岡山市〕1929年12月17日] 高松城 （たかまつじょう）は、 戦国時代 、 備中国 賀陽郡 中島村高松  （現・ 岡山県 岡山市 北区 高松 ）に存在した 日本の城 。 讃岐高松城 と区別して 備中高松城 とも呼ばれる。 羽柴秀吉 による水攻めで有名である（詳細は「 備中高松城の戦い 」参照）。","https://ja.wikipedia.org/wiki/高松城_(備中国)","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度41分34.8秒東経133度49分19.36秒","北緯34度41分34.8秒東経133度49分19.36秒﻿ / ﻿北緯34.693000度 東経133.8220444度﻿ /34.693000; 133.8220444座標:北緯34度41分34.8秒東経133度49分19.36秒﻿ / ﻿北緯34.693000度 東経133.8220444度﻿ /34.693000; 133.8220444","","備中高松城","","梯郭式平城","不明","江戸時代初期","国の史跡","","","　","石川氏","水攻め堰堤の一部、石積みの一部","","石川氏、清水氏、花房氏","","なし","",""
"造山古墳 (岡山市)","[造山古墳第一、二、三、四、五、六古墳（つくりやまこふん だいいち・に・さん・し・ご・ろくこふん）〔岡山市新庄下〕1921年3月3日] 造山古墳 （つくりやまこふん）は、 岡山県 岡山市 北区 新庄下にある 古墳 。形状は 前方後円墳 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/造山古墳_(岡山市)","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度40分25.63秒東経133度48分13.35秒","北緯34度40分25.63秒東経133度48分13.35秒﻿ / ﻿北緯34.6737861度 東経133.8037083度﻿ /34.6737861; 133.8037083座標:北緯34度40分25.63秒東経133度48分13.35秒﻿ / ﻿北緯34.6737861度 東経133.8037083度﻿ /34.6737861; 133.8037083","岡山県岡山市北区新庄下","造山古墳","5世紀前半","","","","","前方後円墳","墳丘長350m高さ29m（後円部）","","","","国の史跡「造山古墳 第一、二、三、四、五、六古墳」","","","","",""
"津島遺跡","[津島遺跡（つしまいせき）〔岡山市〕1971年1月15日] 津島遺跡 （つしまいせき）は、 岡山県 岡山市 北区 いずみ町の 岡山県総合グラウンド およびその周辺にひろがる、 弥生時代 を中心とした 集落 遺跡 。","https://ja.wikipedia.org/wiki/津島遺跡","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度40分45秒 東経133度54分59秒","","","","","","","","","","","","","","","","","","",""
"幡多廃寺塔跡","[幡多廃寺塔跡（はたはいじとうあと）〔岡山市〕1944年11月7日] 幡多廃寺塔跡 （はたはいじとうあと）は 岡山県 岡山市 中区 赤田にある仏教寺院跡に残る塔跡の遺跡である。国の 史跡 。","https://ja.wikipedia.org/wiki/幡多廃寺塔跡","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度40分51.7秒 東経133度57分41.9秒","","","","","","","","","","","","","","","","","","",""
"真金一里塚","[真金一里塚（まがねいちりづか）〔岡山市〕1928年3月24日] 真金一里塚 （まがねいちりづか  ）は 岡山県 岡山市 北区 吉備津 に現存する 山陽道 ・ 西国街道 の 一里塚 である。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/真金一里塚","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度40分36.8秒東経133度51分00.2秒","","岡山県岡山市北区吉備津","","","","","","","","","","","","","","","","",""
"万富東大寺瓦窯跡","[万富東大寺瓦窯跡（まんとみとうだいじかわらがまあと）〔岡山市万富〕] 万富東大寺瓦窯跡 （まんとみとうだいじがようあと  /まんとみとうだいじかわらがまあと）は、 岡山県 岡山市 東区 瀬戸町 にある 東大寺 の 瓦 を製造した 窯 の跡である。国の 史跡 。","https://ja.wikipedia.org/wiki/万富東大寺瓦窯跡","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度45分43.2秒 東経134度4分43.7秒","","","","","","","","","","","","","","","","","","",""
"牟佐大塚古墳","[牟佐大塚古墳（むさおおつかこふん）〔岡山市〕1930年2月28日] 牟佐大塚古墳 （むさおおつかこふん）は、 岡山県 岡山市 北区 牟佐にある 古墳 。形状は 円墳 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/牟佐大塚古墳","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度43分30.81秒東経133度58分36.48秒","北緯34度43分30.81秒東経133度58分36.48秒﻿ / ﻿北緯34.7252250度 東経133.9768000度﻿ /34.7252250; 133.9768000座標:北緯34度43分30.81秒東経133度58分36.48秒﻿ / ﻿北緯34.7252250度 東経133.9768000度﻿ /34.7252250; 133.9768000","岡山県岡山市北区牟佐","牟佐大塚古墳","6世紀末頃","","","","","円墳","直径30m高さ8.5m","","","","国の史跡「牟佐大塚古墳」","","","","横穴式石室（内部に刳抜式家形石棺）",""
"鬼ノ城","[鬼城山（きのじょうざん）〔総社市〕] 鬼ノ城 （きのじょう）は、 岡山県 総社市 の鬼城山（きのじょうさん）に築かれた  、 日本 の 古代山城 （ 神籠石式山城 ）である。城跡は国の 史跡 「鬼城山」（1986年（昭和61年）3月25日指定）の指定範囲に包含される  。","https://ja.wikipedia.org/wiki/鬼ノ城","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度43分35.53秒東経133度45分46.49秒","北緯34度43分35.53秒東経133度45分46.49秒﻿ / ﻿北緯34.7265361度 東経133.7629139度﻿ /34.7265361; 133.7629139座標:北緯34度43分35.53秒東経133度45分46.49秒﻿ / ﻿北緯34.7265361度 東経133.7629139度﻿ /34.7265361; 133.7629139","","鬼ノ城","","古代山城（神籠石式山城）","（推定）7世紀後半頃","不明","国の史跡「鬼城山」に包含","","","","（推定）大和朝廷","城門、角楼、石塁、土塁、水門、敷石","","","","","",""
"こうもり塚古墳","[こうもり塚古墳（こうもりづかこふん）〔総社市〕] こうもり塚古墳 （こうもりづかこふん）は、 岡山県 総社市 にある 古墳 。形状は 前方後円墳 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/こうもり塚古墳","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度40分3.35秒東経133度47分11.79秒","北緯34度40分3.35秒東経133度47分11.79秒﻿ / ﻿北緯34.6675972度 東経133.7866083度﻿ /34.6675972; 133.7866083","岡山県総社市上林","","6世紀後半","","","","","前方後円墳","墳長100m後円部径55~60m","","","","国の史跡","","","","横穴式石室刳抜式家型石棺・陶棺・木棺","武具・馬具・装飾品など"
"作山古墳","[作山古墳第一古墳（つくりやまこふん だいいちこふん）〔総社市〕] 作山古墳 （つくりやまこふん、三須作山古墳）は、 岡山県 総社市 三須（みす）にある 古墳 。形状は 前方後円墳 。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/作山古墳","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度39分51.18秒東経133度46分8.52秒","北緯34度39分51.18秒東経133度46分8.52秒﻿ / ﻿北緯34.6642167度 東経133.7690333度﻿ /34.6642167; 133.7690333座標:北緯34度39分51.18秒東経133度46分8.52秒﻿ / ﻿北緯34.6642167度 東経133.7690333度﻿ /34.6642167; 133.7690333","岡山県総社市三須","作山古墳","5世紀中頃","","","","","前方後円墳","墳丘長282m高さ24m（後円部）","三須作山古墳","","","国の史跡「作山古墳 第一古墳」","","","","不明","円筒埴輪・朝顔形埴輪"
"備中国分寺","[備中国分寺跡（びっちゅうこくぶんじあと）〔総社市〕] 備中国分寺 （びっちゅうこくぶんじ）は、 岡山県 総社市 にある 真言宗 御室派 の 寺院 。 山号 は日照山。本尊は 薬師如来 。","https://ja.wikipedia.org/wiki/備中国分寺","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度39分59.08秒東経133度46分55.77秒","北緯34度39分59.08秒東経133度46分55.77秒﻿ / ﻿北緯34.6664111度 東経133.7821583度﻿ /34.6664111; 133.7821583座標:北緯34度39分59.08秒東経133度46分55.77秒﻿ / ﻿北緯34.6664111度 東経133.7821583度﻿ /34.6664111; 133.7821583","岡山県総社市上林1046","","","","","","","","","","","","","","6260005004618","","",""
"福山城 (備中国)","[福山城跡（ふくやまじょうあと）〔総社市〕] 福山城 （ふくやまじょう）は 日本の城 。国の 史跡  。所在地は 岡山県 総社市 清音三因 （きよねみより）。","https://ja.wikipedia.org/wiki/福山城_(備中国)","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度38分47.26秒東経133度45分35.38秒","北緯34度38分47.26秒東経133度45分35.38秒﻿ / ﻿北緯34.6464611度 東経133.7598278度﻿ /34.6464611; 133.7598278","","福山城","","連郭式山城","建武2年（1335年）","延元元年（1336年）","国の史跡","","","","荘兼祐","石垣、空堀、石列、井戸跡","","荘氏、大井田氏","","なし","",""
"楯築遺跡","[楯築遺跡（たてつきいせき）〔倉敷市〕] 楯築遺跡 （たてつきいせき）ないし 楯築墳丘墓 （たてつきふんきゅうぼ）は、 岡山県 倉敷市 矢部 にある 墳丘墓 。形状は 双方中円形墳丘墓 。国の 史跡 に指定され、旋帯文石は国の 重要文化財 に指定されている。","https://ja.wikipedia.org/wiki/楯築遺跡","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度39分47秒東経133度49分31.75秒","北緯34度39分47秒東経133度49分31.75秒﻿ / ﻿北緯34.66306度 東経133.8254861度﻿ /34.66306; 133.8254861","岡山県倉敷市矢部","","2世紀後半-3世紀前半","","","","","双方中円形墳丘墓","両端72m墳丘直径50m","片岡山古墳","","","国の史跡「楯築遺跡」","","","","","鉄剣・首飾・ガラス玉・小管玉"
"箭田大塚古墳","[箭田大塚古墳（やたおおつかこふん）〔倉敷市〕] 箭田大塚古墳 （やたおおつかこふん）は、 岡山県 倉敷市 にある 古墳 。","https://ja.wikipedia.org/wiki/箭田大塚古墳","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度38分8.18秒東経133度40分52.76秒","北緯34度38分8.18秒東経133度40分52.76秒﻿ / ﻿北緯34.6356056度 東経133.6813222度﻿ /34.6356056; 133.6813222","岡山県倉敷市真備町箭田","","6世紀後半～7世紀","","","","","円墳","直径54m、高さ7m","","","","昭和4年（1929年）国指定","","","","横穴式石室組合せ式石棺3基","土器、刀剣、馬具、金環、勾玉など"
"下道氏 (存在しないページ)","[下道氏墓（しもつみちうじのはか）〔小田郡矢掛町〕]","https://ja.wikipedia.org/w/index.php?title=下道氏&amp;action=edit&amp;redlink=1","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"津雲貝塚","[津雲貝塚（つくもかいづか）〔笠岡市〕] 津雲貝塚 （つくもかいづか）は、 岡山県 笠岡市 西大島に所在する 縄文時代 晩期の 貝塚 遺跡 。 国史跡 。","https://ja.wikipedia.org/wiki/津雲貝塚","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度29分4.2秒 東経133度31分59.8秒","","","","","","","","","","","","","","","","","","",""
"高梁市","[笠神の文字岩（かさがみのもじいわ）〔高梁市〕] 高梁市 （たかはしし）は、 岡山県 にある 市 である。県中西部に位置し、 広島県 と境を接する。市の中心部は 備中松山藩 の 城下町 であり、 山城 の 備中松山城 で知られる。","https://ja.wikipedia.org/wiki/高梁市","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度47分27.7秒東経133度37分0.6秒","","〒716-8501岡山県高梁市松原通2043番地北緯34度47分27.7秒東経133度37分0.6秒﻿ / ﻿北緯34.791028度 東経133.616833度﻿ /34.791028; 133.616833﻿ (高梁市)座標:北緯34度47分27.7秒東経133度37分0.6秒﻿ / ﻿北緯34.791028度 東経133.616833度﻿ /34.791028; 133.616833﻿ (高梁市)市庁舎位置","","","","","","","","","","","","","","3000020332097","","",""
"松山城 (備中国)","[備中松山城跡（びっちゅうまつやまじょうあと）〔高梁市〕] 松山城 （まつやまじょう）は、 岡山県 高梁市 内山下 にあった 日本の城 （ 山城 ）である。別名、 高梁城 （たかはしじょう）。 愛媛県 松山市 にある 松山城 を初め、各地の同名の城との混同を避けるために、一般的には「 備中松山城 （びっちゅうまつやまじょう）」と呼ぶことが多い。 日本100名城 の一つ。 現存天守 12城の一つでもあり、この中で唯一の山城である  。 臥牛山 山頂（標高487m）から南稜線にかけて遺構が残っており、そのうち一つである小松山城跡に現存天守（標高430m）がある。","https://ja.wikipedia.org/wiki/松山城_(備中国)","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度48分32.68秒東経133度37分20.29秒","北緯34度48分32.68秒東経133度37分20.29秒﻿ / ﻿北緯34.8090778度 東経133.6223028度﻿ /34.8090778; 133.6223028座標:北緯34度48分32.68秒東経133度37分20.29秒﻿ / ﻿北緯34.8090778度 東経133.6223028度﻿ /34.8090778; 133.6223028","","備中松山城","","連郭式山城","1240年","明治7年（1874年）","重要文化財（天守、二重櫓、土塀）国の史跡","","","高梁城","秋庭三郎重信","現存天守・櫓・塀、石垣、土塁","","三村氏、水谷氏、板倉氏","","複合式望楼型2重2階（天和元年（1681年）改）","",""
"大谷・定古墳群","[大谷・定古墳群（おおや・さだこふんぐん ）〔真庭市〕] 定東塚古墳 （さだひがしづかこふん）は、真庭市上中津井定にある古墳。形状は 方墳 。 1994 - 1997年 （平成6-9年）に発掘調査が実施されている。","https://ja.wikipedia.org/wiki/大谷・定古墳群","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度56分29.37秒 東経133度37分52.90秒","","","","","","","","","","","","","","","","","","",""
"四ツ塚古墳群 (存在しないページ)","[四ツ塚古墳群（よつづかこふんぐん）〔真庭市〕]","https://ja.wikipedia.org/w/index.php?title=四ツ塚古墳群&amp;action=edit&amp;redlink=1","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"作楽神社","[院庄館跡（児島高徳伝説地）（いんのしょうやかたあと（こじまたかのりでんせつち））〔津山市〕] 作楽神社 （さくらじんじゃ）は、 岡山県 津山市 神戸 にある神社である。 鎌倉時代 から 室町時代 にかけて 美作国 守護 の館（「院庄館」）があった地に、 後醍醐天皇 とその忠臣 児島高徳 を祭神として、明治2年（ 1869年 ）、 津山藩 主 松平慶倫 により創建された。","https://ja.wikipedia.org/wiki/作楽神社","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度3分44秒東経133度56分35秒","北緯35度3分44秒東経133度56分35秒﻿ / ﻿北緯35.06222度 東経133.94306度﻿ /35.06222; 133.94306﻿ (作楽神社)座標:北緯35度3分44秒東経133度56分35秒﻿ / ﻿北緯35.06222度 東経133.94306度﻿ /35.06222; 133.94306﻿ (作楽神社)","岡山県津山市神戸433","作楽神社","","","","","","","","","","","","","","","",""
"三成古墳","[三成古墳（さんなりこふん）〔津山市〕] 三成古墳 （さんなりこふん）は、 岡山県 津山市 中北下にある 古墳 。1979年10月23日、国の 史跡 に指定された。","https://ja.wikipedia.org/wiki/三成古墳","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"津山城","[津山城跡（つやまじょうあと）〔津山市〕] 津山城 （つやまじょう）は、 美作国 苫田郡 （のち 西北条郡 ）  津山(現・ 岡山県 津山市 山下 ）にあった 日本の城 。別名・鶴山城（かくざんじょう）。城跡は国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/津山城","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度3分45.97秒東経134度0分17.83秒","北緯35度3分45.97秒東経134度0分17.83秒﻿ / ﻿北緯35.0627694度 東経134.0049528度﻿ /35.0627694; 134.0049528","","津山城","","梯郭式平山城","嘉吉年間（1441年～1444年）","明治6年（1873年）","国の史跡","","","鶴山城","山名忠政","石垣、堀","","山名氏、森氏、松平氏","","独立式層塔型4重5階（非現存）","",""
"美作国分寺","[美作国分寺跡（みまさかこくぶんじあと）〔津山市〕] 美作国分寺 （みまさかこくぶんじ）は、 岡山県 津山市 国分寺にある 天台宗 の 寺院 。 山号 は龍壽山。 本尊 は 薬師如来 。","https://ja.wikipedia.org/wiki/美作国分寺","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度03分00.16秒東経134度02分30.76秒","北緯35度03分00.16秒東経134度02分30.76秒﻿ / ﻿北緯35.0500444度 東経134.0418778度﻿ /35.0500444; 134.0418778座標:北緯35度03分00.16秒東経134度02分30.76秒﻿ / ﻿北緯35.0500444度 東経134.0418778度﻿ /35.0500444; 134.0418778","岡山県津山市国分寺483","","","","","","","","","","","","","","8260005006785","","",""
"美和山古墳群","[美和山古墳群（みわやまこふんぐん）〔津山市〕] 美和山古墳群 （みわやまこふんぐん）は、 岡山県 津山市 二宮にある 古墳群 。4基が国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/美和山古墳群","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度3分47.04秒 東経133度57分59.31秒","","","","","","","","","","","","","","","","","","",""
"箕作阮甫旧宅","[箕作阮甫旧宅（みつくりげんぽきゅうたく）〔津山市〕] 箕作阮甫旧宅 （みつくりげんぽきゅうたく）は、 岡山県 津山市 、旧 出雲街道 沿いにある 津山藩 の洋学者・ 箕作阮甫 の生家で、国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/箕作阮甫旧宅","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯35度3分46.7秒東経134度0分58.7秒","北緯35度3分46.7秒東経134度0分58.7秒﻿ / ﻿北緯35.062972度 東経134.016306度﻿ /35.062972; 134.016306座標:北緯35度3分46.7秒東経134度0分58.7秒﻿ / ﻿北緯35.062972度 東経134.016306度﻿ /35.062972; 134.016306","","","","","","","","","","","","","","","","","",""
"廉塾ならびに菅茶山旧宅","[廉塾ならびに菅茶山旧宅（れんじゅく ならびに かんちゃざんきゅうたく）〔福山市〕] 廉塾 （れんじゅく）は、 江戸時代 の 儒学者 ・ 菅茶山 によって 備後国 （現・広島県 福山市 神辺町 ）に開かれた 私塾 。「廉」という字には「倹約（けんやく）をする・贅沢（ぜいたく）をしない」という意味があり、茶山の教育方針に沿ったものと考えられている。","https://ja.wikipedia.org/wiki/廉塾ならびに菅茶山旧宅","中国地方の史跡一覧","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","箇条書き,制限あり","北緯34度32分41.0秒 東経133度23分04.0秒","","","","","","","","","","","","","","","","","","",""
