"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","文化財","法人番号","山号","創建年","宗派","本尊","開基","寺格","正式名","札所等","公式HP","面積","分類","開山","公式サイト","運営者","駐車場"
"渉成園","[渉成園] 渉成園 （しょうせいえん）は、 京都府 京都市 下京区 にある 真宗大谷派 の本山・ 真宗本廟（東本願寺） の飛地境内地。東本願寺の東方約150メートルに位置し、ほぼ200メートル四方の正方形をなす。面積3.4ヘクタール。西は 間之町通 、東は 河原町通 、北は 上珠数屋町通 、南は 下珠数屋町通 に接する。","https://ja.wikipedia.org/wiki/渉成園","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯34度59分29秒東経135度45分47.6秒","京都府京都市下京区下珠数屋町通間之町東入東玉水町","北緯34度59分29秒東経135度45分47.6秒﻿ / ﻿北緯34.99139度 東経135.763222度﻿ /34.99139; 135.763222","","","","承応2年（1653年）","真宗大谷派","","","「真宗本廟」飛地境内地","","","東本願寺・参拝のご案内「渉成園」","","","","","",""
"慶雲館","[慶雲館庭園 （滋賀県長浜市） -七代目・小川治兵衛（植治）作] 慶雲館 （けいうんかん）は、 滋賀県 長浜市 にある市の迎賓館。","https://ja.wikipedia.org/wiki/慶雲館","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯35度22分33秒 東経136度15分58.6秒","","","","","","","","","","","","","","","","","","",""
"円山公園 (京都府)","[円山公園（京都府京都市東山区） ― 七代目・小川治兵衛（植治）作] 円山公園 （まるやまこうえん）は、 京都府 京都市 東山区 にある 公園 。国の 名勝 に指定されている。園域は 八坂神社 、 知恩院 に隣接する。 圓山公園 とも表記される。「祇園枝垂桜」に代表される 桜 の名所である。","https://ja.wikipedia.org/wiki/円山公園_(京都府)","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯35度0分12.2秒東経135度46分53.2秒","日本京都府京都市東山区","","","","","","","","","","","","","86,641m2","","","円山公園／京都市 建設局 緑地管理課","京都市","あり（地下駐車場134台）"
"無鄰菴","[無鄰庵（京都府京都市左京区） - 七代目・小川治兵衛（植治）作] 無鄰菴 （むりんあん）は 山縣有朋 の別邸で七代目 小川治兵衛 の作庭。","https://ja.wikipedia.org/wiki/無鄰菴","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯35度0分41.7秒 東経135度47分13.8秒","","","","","","","","","","","","","","","","","","",""
"平安神宮神苑","[平安神宮神苑（京都府京都市左京区） - 七代目・小川治兵衛（植治）作] 平安神宮神苑 （へいあんじんぐうしんえん）は 京都府 京都市 左京区 にある池泉 回遊式 の近代 日本庭園 。 平安神宮 の大極殿背後の周囲三方に配された南神苑、西神苑、中神苑、東神苑で構成される。面積は33,000 平方メートル 、作庭は 小川治兵衛 、1975年（昭和50年）に国の 名勝 に指定されている。","https://ja.wikipedia.org/wiki/平安神宮神苑","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯35度0分59.3秒 東経135度47分0.0秒","","","","","","","","","","","","","","","","","","",""
"碧雲荘","[碧雲荘（京都府京都市左京区） ― 七代目・小川治兵衛（植治）作。非公開] 碧雲荘 （へきうんそう）は、日本の実業家である二代目 野村徳七 （のむらとくしち）が、大正時代から昭和時代にかけて 京都市 ・ 南禅寺 付近に築造した 数寄屋造り の別邸。 南禅寺界隈別荘 の一つ。「野村碧雲荘」とも呼ばれる。2006年12月19日、国の 重要文化財 に指定された。所有者は 野村ホールディングス 株式会社及び 野村殖産 株式会社  。（大和銀行との共同所有であったがりそなショック後持分を旧野村財閥グループ会社へ売却）","https://ja.wikipedia.org/wiki/碧雲荘","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯35度0分48.5秒 東経135度47分32.5秒","","","","","","","","","","","","","","","","","","",""
"楽々荘","[楽々荘庭園 （京都府亀岡市） - 七代目・小川治兵衛（植治）作] 楽々荘 （らくらくそう）は 京都府 亀岡市 にある旧 田中源太郎 邸を使用した ホテル 。 1898年 （明治31年）頃建築の 洋館 と七代目 小川治兵衛 作庭の 日本庭園 が有名。","https://ja.wikipedia.org/wiki/楽々荘","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯35度0分57.4秒 東経135度34分35.74秒","","","","","","","","","","","","","","","","","","",""
"白沙村荘","[白沙村荘庭園（京都市左京区）] 白沙村荘 （はくさそんそう）は、 京都市 左京区 浄土寺 にある、日本画家の 橋本関雪 が 1916年 （ 大正 5年）から住んだ邸宅である。","https://ja.wikipedia.org/wiki/白沙村荘","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯35度1分36.77秒 東経135度47分37.21秒","","","","","","","","","","","","","","","","","","",""
"慶沢園","[慶沢園（大阪府大阪市天王寺区） - 七代目・小川治兵衛（植治）作] 慶沢園 （けいたくえん）は、 大阪市 天王寺区 にある 天王寺公園 内の 日本庭園 である。命名は 伏見宮貞愛親王 。","https://ja.wikipedia.org/wiki/慶沢園","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯34度38分58.8秒 東経135度30分41.5秒","","","","","","","","","","","","","","","","","","",""
"相楽園","[相楽園（兵庫県神戸市中央区） -国登録記念物の最初の登録物件] 相楽園 （そうらくえん）は 兵庫県 神戸市 中央区 にある広さ20,000m²の 都市公園 ・ 日本庭園 。日本の 文化財保護法 に基づく 登録記念物 の最初の登録物件である。 ツツジ の名所として知られる。","https://ja.wikipedia.org/wiki/相楽園","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯34度41分33秒 東経135度10分54秒","兵庫県神戸市中央区中山手通5-3-1","","","","","","","","","","","","","20,000m²","池泉回遊式日本庭園","","","",""
"依水園","[依水園（奈良県奈良市） - 裏千家十二世又妙斎作] 依水園 （いすいえん）は 奈良県 奈良市 にある 池泉回遊式庭園 （ 日本庭園 ）。国の 名勝 に指定されている。","https://ja.wikipedia.org/wiki/依水園","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯34度41分8.254秒 東経135度50分15.216秒","","","","","","","","","","","","","","","","","","",""
"温山荘園","[温山荘園（和歌山県海南市） - 潮入式池泉回遊庭園、個人庭園として造られたものとしては日本最大] 琴ノ浦 温山荘園 （ことのうら おんざんそうえん）は、 和歌山県 海南市 にある 日本庭園 。国の 名勝 。","https://ja.wikipedia.org/wiki/温山荘園","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯34度9分29.32秒 東経135度11分40.18秒","","","","","","","","","","","","","","","","","","",""
"揚亀園","[揚亀園（青森県弘前市）- 小幡亭月作] 揚亀園 （ようきえん）は、 青森県 弘前市 亀甲町の観光施設 津軽藩ねぷた村 にある 日本庭園 。 津軽 で盛んであった大石武学流の造園を代表する 庭園 である。国の 登録記念物 。","https://ja.wikipedia.org/wiki/揚亀園","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"金平成園","[金平成園（澤成園）（青森県黒石市、名勝）] 金平成園 （かねひらなりえん）とは、 青森県 黒石市 にある 日本庭園 。別名「 澤成園 （ さわなりえん ）」  。 津軽 で盛んであった 大石武学流 の造園を代表する庭園である。国の 名勝 。","https://ja.wikipedia.org/wiki/金平成園","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯40度38分36.7秒東経140度35分32.4秒","日本青森県黒石市大字内町4","","","","","","","","","","","","","5662m2","日本庭園","","国指定名勝 盛美園","黒石市教育委員会",""
"瑞楽園","[瑞楽園（青森県弘前市、名勝）] 瑞楽園 （ずいらくえん）は、 青森県 弘前市 宮舘 字宮舘沢にある 日本庭園 。流派は大石武学流。国の 名勝 。","https://ja.wikipedia.org/wiki/瑞楽園","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯40度38分58.0秒 東経140度24分49.2秒","青森県弘前市","","","","","","","","","","","","","","","","","弘前市",""
"盛美園","[盛美園（青森県平川市）- 清藤盛美作] 盛美園 （せいびえん）とは、 青森県 平川市 猿賀石林にある 日本庭園 。 津軽 で盛んであった 大石武学流 の造園を代表する庭園である。国の 名勝 。","https://ja.wikipedia.org/wiki/盛美園","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯40度37分0.1秒東経140度34分11.7秒","日本青森県平川市猿賀字石林1","","","","","","","","","","","","","12,000m2","日本庭園","","国指定名勝 盛美園","","20台、大型10台"
"香雪園","[香雪園（北海道函館市）- 岩船峯次郎作] 香雪園 （こうせつえん）は 北海道 函館市 にある 庭園 （ 風景式庭園 ）。 見晴公園 内にある。","https://ja.wikipedia.org/wiki/香雪園","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯41度47分37秒東経140度48分10秒","日本北海道函館市","","","","","","","","","","","","","13.3ヘクタール","","","見晴公園","函館市住宅土地施設公社（指定管理者）","あり"
"齋藤氏庭園","[齋藤氏庭園（宮城県石巻市、名勝）] 齋藤氏庭園 （さいとうしていえん）は、 宮城県 石巻市 前谷地 （旧 桃生郡 河南町 ）にある 明治時代 後期に造られた 日本庭園 。当地の旧家で大 地主 であった齋藤氏の庭園である。 2005年 （ 平成 17年） 7月14日 に国の 名勝 に指定された。 2011年 （平成23年） 3月11日 に発生した 東日本大震災 により被災し休園していたが、同年 7月31日 から観覧を再開した。一部見学できない施設等があり、観覧料は無料となっている。","https://ja.wikipedia.org/wiki/齋藤氏庭園","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯38度30分23.9秒東経141度11分37.5秒","〒987-1101宮城県石巻市前谷地字黒沢73-1","","","","","","","","","","","","","","","","","",""
"旧池田氏庭園","[旧池田氏庭園（秋田県大仙市、名勝）] 旧池田氏庭園 （きゅういけだしていえん）は、 秋田県 大仙市 高梨にある明治時代後期 - 大正時代作庭の日本庭園。当地の旧家で大地主であった池田家の庭園である。2004年（平成16年）2月27日に国の 名勝 に指定された。","https://ja.wikipedia.org/wiki/旧池田氏庭園","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯39度27分22.0秒 東経140度30分36.0秒","","","","","","","","","","","","","","","","","","",""
"野田市","[高梨氏庭園（千葉県野田市、名勝）] 野田市 （のだし）は、 千葉県 の北西部に位置する 市 。","https://ja.wikipedia.org/wiki/野田市","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯35度57分18.3秒東経139度52分29.3秒","〒278-8550千葉県野田市鶴奉7-1北緯35度57分18.3秒東経139度52分29.3秒﻿ / ﻿北緯35.955083度 東経139.874806度﻿ /35.955083; 139.874806座標:北緯35度57分18.3秒東経139度52分29.3秒﻿ / ﻿北緯35.955083度 東経139.874806度﻿ /35.955083; 139.874806市庁舎位置","","","4000020122084","","","","","","","","","","103.55km2","","","","",""
"戸定邸","[旧徳川昭武庭園（戸定邸庭園）（千葉県松戸市、名勝）] 戸定邸 （とじょうてい）は、 千葉県 東葛飾郡 松戸（現在の 松戸市 松戸 ）に 水戸藩 最後（11代）の藩主であった 徳川昭武 が造った別邸  。","https://ja.wikipedia.org/wiki/戸定邸","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯35度46分39.6秒東経139度53分56.3秒","〒271-0092千葉県松戸市松戸642-1","","国の重要文化財、国の名勝（庭園）","","","","","","","","","","","","","","","",""
"旧堀田邸","[旧堀田正倫庭園（千葉県佐倉市、名勝）] 旧堀田邸 （きゅうほったてい）は、 千葉県 佐倉市 にある旧 佐倉藩 主 堀田正倫 が 明治時代 に建造した邸宅である。歴史的建造物、国の 重要文化財 。重要文化財指定名称は、 旧堀田家住宅 。","https://ja.wikipedia.org/wiki/旧堀田邸","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯35度42分50.39秒東経140度14分9.04秒","〒285-0025千葉県佐倉市鏑木町274","","国の重要文化財、国の名勝（庭園）","","","","","","","","","","","","","","","",""
"三溪園","[三溪園（神奈川県横浜市）-原富太郎作] 三溪園 （さんけいえん）は、 神奈川県 横浜市 中区 にある 庭園 。17.5 ha の敷地に17棟の日本建築が配置されている。実業家で 茶人 の 原富太郎 によって 1906年 に造園され  、現在は 公益財団法人 三溪園保勝会が運営している。名称の三溪園は原の号である 三溪 から。 2006年 11月17日に国の 名勝 に指定された。財団公式サイトでは 旧字体 の「溪」を使うが、横浜市公式サイトなど 新字体 で 三渓園 と表記することも多い。","https://ja.wikipedia.org/wiki/三溪園","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯35度25分1秒東経139度39分32秒","神奈川県横浜市中区本牧三之谷58-1","","","","","","","","","","","","","175,000m2","法人経営における公園","","http://www.sankeien.or.jp/","公益財団法人三溪園保勝会","80台（バスと兼用）"
"六華苑","[旧諸戸氏庭園（三重県桑名市、名勝）] 六華苑 （ろっかえん）は、 三重県 桑名市 大字桑名字鷹場663番の5にある観光施設。旧 諸戸清六（2代目） 邸（東諸戸邸）の総称。国の 重要文化財 ・ 名勝 。 洋館 とそれに連なる和館、複数の蔵などの建造物と池泉回遊式 日本庭園 を持ち、総面積は18,000平方メートル余に及ぶ。","https://ja.wikipedia.org/wiki/六華苑","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯35度4分15.4秒東経136度41分32.8秒","三重県桑名市桑名663-5","北緯35度4分15.4秒東経136度41分32.8秒﻿ / ﻿北緯35.070944度 東経136.692444度﻿ /35.070944; 136.692444座標:北緯35度4分15.4秒東経136度41分32.8秒﻿ / ﻿北緯35.070944度 東経136.692444度﻿ /35.070944; 136.692444","国の重要文化財・名勝","","","","","","","","","","","","","","","",""
"諸戸氏庭園","[諸戸氏庭園（三重県桑名市、名勝）] 諸戸氏庭園 （もろとしていえん）は 三重県 桑名市 にある 庭園 。旧諸戸清六邸（西諸戸邸）。","https://ja.wikipedia.org/wiki/諸戸氏庭園","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯35度4分11.8秒東経136度41分31.2秒","三重県桑名市太一丸18","北緯35度4分11.8秒東経136度41分31.2秒﻿ / ﻿北緯35.069944度 東経136.692000度﻿ /35.069944; 136.692000座標:北緯35度4分11.8秒東経136度41分31.2秒﻿ / ﻿北緯35.069944度 東経136.692000度﻿ /35.069944; 136.692000","国の重要文化財・名勝","","","","","","","","","","","","","","","",""
"堀庭園","[旧堀氏庭園（島根県鹿足郡津和野町、名勝）] 堀庭園 （ほりていえん）は、 島根県 鹿足郡 津和野町 にある 日本庭園 。国の 名勝 に指定されている。","https://ja.wikipedia.org/wiki/堀庭園","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯34度29分40.79秒 東経131度43分37.42秒","","","","","","","","","","","","","","","","","","",""
"毛利邸","[毛利氏庭園（山口県防府市、名勝）] 元長州藩士で、当時 内務大臣 であった 井上馨 が、 多々良山 の南麓に場所を選定したとされる。敷地面積は約5万3千平方メートル。本邸は、建築面積1,002平方メートル、10棟60部屋から成る ヒノキ 造りの木造 瓦葺き 。軒唐 破風 付きの車寄せや 格天井 の広間などの 書院造 を踏襲した和風建築であるが、シャンデリアの電灯を備え、椅子と テーブル を備えた 絨毯 敷きの応接室（唯一の洋室）もある。また、建材にコンクリート（塀や柱の中空部分や石垣の裏側をコンクリートで補強している  ）や トタン を用いたり、 湯殿 には 大理石 の浴槽に湯の出る蛇口を備えるなど、当時の最新技術が随所に用いられていた。なお、屋内外の電灯に供給される電力は、海外から輸入した電灯用瓦斯（ガス）機関による発電機によるもので、日中に発電機を稼働させて蓄電し、夜に電気を利用していた  。総工費は当時で約38万円（現在価格で150億円程度）とされる。","https://ja.wikipedia.org/wiki/毛利邸","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"立花氏庭園","[立花氏庭園（福岡県柳川市、名勝）] 立花氏庭園 （たちばなしていえん）は 福岡県 柳川市 にある旧 柳川藩 主 立花家 の御屋敷と庭園。 江戸時代 元文三年（1738）に柳川藩五代藩主、立花貞俶が、柳川城の南西隅にあたる、当時、 御花畠と呼ばれていたこの地に藩主家の人々が暮らす別邸を築いたことに始まる。明治時代、立花家は伯爵となり、建物や庭園も新しく整えられ、明治43年に洋館と和館が並び立つ新しいスタイルの立花伯爵家住宅が完成し、それが現在の立花氏庭園の主要建造物を構成している。","https://ja.wikipedia.org/wiki/立花氏庭園","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯33度9分28.69秒 東経130度23分53.85秒","","","","","","","","","","","","","","","","","","",""
"九年庵","[九年庵（旧伊丹氏別邸）庭園（佐賀県神埼市、名勝）] 九年庵 （くねんあん）は 佐賀県 神埼市 神埼町的仁比山にある  数寄屋造り の  邸宅および 日本庭園 である。","https://ja.wikipedia.org/wiki/九年庵","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯33度21分27.3秒 東経130度21分50.0秒","","","","","","","","","","","","","","","","","","",""
"無鄰菴","[無鄰菴] 無鄰菴 （むりんあん）は 山縣有朋 の別邸で七代目 小川治兵衛 の作庭。","https://ja.wikipedia.org/wiki/無鄰菴","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯35度0分41.7秒 東経135度47分13.8秒","","","","","","","","","","","","","","","","","","",""
"慶沢園","[慶沢園] 慶沢園 （けいたくえん）は、 大阪市 天王寺区 にある 天王寺公園 内の 日本庭園 である。命名は 伏見宮貞愛親王 。","https://ja.wikipedia.org/wiki/慶沢園","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯34度38分58.8秒 東経135度30分41.5秒","","","","","","","","","","","","","","","","","","",""
"温山荘園","[温山荘園] 琴ノ浦 温山荘園 （ことのうら おんざんそうえん）は、 和歌山県 海南市 にある 日本庭園 。国の 名勝 。","https://ja.wikipedia.org/wiki/温山荘園","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯34度9分29.32秒 東経135度11分40.18秒","","","","","","","","","","","","","","","","","","",""
"相楽園","[相楽園] 相楽園 （そうらくえん）は 兵庫県 神戸市 中央区 にある広さ20,000m²の 都市公園 ・ 日本庭園 。日本の 文化財保護法 に基づく 登録記念物 の最初の登録物件である。 ツツジ の名所として知られる。","https://ja.wikipedia.org/wiki/相楽園","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯34度41分33秒 東経135度10分54秒","兵庫県神戸市中央区中山手通5-3-1","","","","","","","","","","","","","20,000m²","池泉回遊式日本庭園","","","",""
"東福寺","[東福寺方丈（京都府京都市東山区） -重森三玲作] 東福寺 （とうふくじ）は、 京都市 東山区 にある 臨済宗東福寺派 大本山 の 寺院 。 山号 は慧日山（えにちさん）。 京都五山 の第四位の 禅 寺として中世、近世を通じて栄えた。近代に入って規模が縮小されたとはいえ、今なお25か寺の 塔頭 （山内寺院）を有する大寺院である。紅葉の名所として有名である。「東福寺の伽藍面（がらんづら）」ともいう。","https://ja.wikipedia.org/wiki/東福寺","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯34度58分37.38秒東経135度46分26.74秒","京都府京都市東山区本町十五丁目778番地","北緯34度58分37.38秒東経135度46分26.74秒﻿ / ﻿北緯34.9770500度 東経135.7740944度﻿ /34.9770500; 135.7740944﻿ (東福寺)座標:北緯34度58分37.38秒東経135度46分26.74秒﻿ / ﻿北緯34.9770500度 東経135.7740944度﻿ /34.9770500; 135.7740944﻿ (東福寺)","三門、宋版太平御覧、絹本著色無準師範像ほか（国宝）常楽庵、禅堂、偃月橋、絹本著色釈迦三尊像、木造地蔵菩薩坐像ほか（重要文化財）庭園（国の名勝）","8130005001320","慧日山","嘉禎2年（1236年）","臨済宗東福寺派","釈迦如来","九条道家","大本山京都五山四位","慧日山 東福禅寺","","臨済宗大本山 東福寺 -日本最古の最大級の伽藍-","","","円爾","","",""
"松尾大社","[松尾大社松風苑（京都府京都市西京区） - 重森三玲作] 松尾大社 （まつのおたいしゃ/まつおたいしゃ）は、 京都府 京都市 西京区 嵐山宮町にある 神社 。 式内社 （ 名神大社 ）で、 二十二社 （上七社）の一社。 旧社格 は 官幣大社 で、現在は 神社本庁 の 別表神社 。","https://ja.wikipedia.org/wiki/松尾大社","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯34度59分59.87秒東経135度41分6.62秒","京都府京都市西京区嵐山宮町3","北緯34度59分59.87秒東経135度41分6.62秒﻿ / ﻿北緯34.9999639度 東経135.6851722度﻿ /34.9999639; 135.6851722﻿ (松尾大社)座標:北緯34度59分59.87秒東経135度41分6.62秒﻿ / ﻿北緯34.9999639度 東経135.6851722度﻿ /34.9999639; 135.6851722﻿ (松尾大社)","","","","","","","","","","神仏霊場巡拝の道第87番（京都第7番）","","","","","","",""
"城南宮","[城南宮楽水苑 （京都府京都市伏見区） -中根金作作] 城南宮 （じょうなんぐう）は、 京都市 伏見区 にある 神社 。旧社格は 府社 。「 方除 の大社」として知られている。 摂社 の真幡寸神社は 式内社 であった。","https://ja.wikipedia.org/wiki/城南宮","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯34度57分4.03秒東経135度44分47.6秒","京都府京都市伏見区中島鳥羽離宮町7","北緯34度57分4.03秒東経135度44分47.6秒﻿ / ﻿北緯34.9511194度 東経135.746556度﻿ /34.9511194; 135.746556座標:北緯34度57分4.03秒東経135度44分47.6秒﻿ / ﻿北緯34.9511194度 東経135.746556度﻿ /34.9511194; 135.746556","","","","","","","","","","神仏霊場巡拝の道第83番（京都第3番）","","","","","","",""
"大仙公園","[大仙公園日本庭園 （大阪府堺市堺区） - 中根金作作] 大仙公園 （だいせんこうえん）は、 大阪府 堺市 堺区 にある 都市公園 （総合公園）である  。","https://ja.wikipedia.org/wiki/大仙公園","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯34度33分31.1秒東経135度28分56.4秒","日本大阪府堺市堺区百舌鳥夕雲町2丁142-1大仙公園周辺地図大仙公園 (大阪府)大阪府地図","","","","","","","","","","","","","約81ha","都市公園（総合公園）","","堺市のサイト","堺市","大仙公園仁徳御陵駐車場 - 108台大仙公園日本庭園駐車場 - 121台大仙公園西駐車場 - 61台"
"足立美術館","[足立美術館（島根県安来市） - 中根金作作。アメリカの専門誌『ジャーナル・オブ・ジャパニーズ・ガーデニング』の「優れた日本の庭園ランキング」で2003年以降、毎年グランプリを獲得] 足立美術館 （あだちびじゅつかん）は、 島根県 安来市 にある、近代 日本画 を中心とした島根県の登録 博物館 。運営は、 公益財団法人 足立美術館。130点におよぶ 横山大観 の作品と 日本庭園 で有名。","https://ja.wikipedia.org/wiki/足立美術館","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯35度22分48.1秒東経133度11分38.9秒","〒692-0064島根県安来市古川町320","北緯35度22分48.1秒東経133度11分38.9秒﻿ / ﻿北緯35.380028度 東経133.194139度﻿ /35.380028; 133.194139﻿ (足立美術館)","","","","","","","","","","","","","","","","",""
"等々力渓谷","[等々力渓谷公園内日本庭園(東京都世田谷区) -飯田十基作] 谷沢川 （やざわがわ）は、 東京都 世田谷区 を流れる 多摩川 水系の 一級河川 である。","https://ja.wikipedia.org/wiki/等々力渓谷","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"万博記念公園","[万博記念公園日本庭園（大阪府吹田市） -田治六郎作。Expo '70出展作品] 日本万国博覧会記念公園 （にほんばんこくはくらんかいきねんこうえん）は、 大阪府 吹田市 にある 公園 。 日本万国博覧会 （大阪万博）の跡地を整備した公園で  、 万博記念公園 （ばんぱくきねんこうえん）や 万博公園 （ばんぱくこうえん）とも呼称される。","https://ja.wikipedia.org/wiki/万博記念公園","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯34度48分34.28秒東経135度31分56.67秒","日本大阪府吹田市千里万博公園","","","","","","","","","","","","","264ヘクタール","公の施設","","https://www.expo70-park.jp/","大阪府",""
"長久邸","[長久邸庭園（和歌山県海南市）] 長久邸 （ちょうきゅうてい）は、 和歌山県 海南市 にある 邸宅 。広大な池泉式 日本庭園 があることで知られる。","https://ja.wikipedia.org/wiki/長久邸","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯34度08分49秒 東経135度12分19秒","","","","","","","","","","","","","","","","","","",""
"山本亭","[山本亭庭園（東京都葛飾区）] 山本亭 （やまもとてい）は、 東京都 葛飾区 柴又 七丁目にある、1920年代に建てられた近代和風建築の邸宅。現在は葛飾区の所有となり一般公開されている。 寅さん記念館 の裏にある。","https://ja.wikipedia.org/wiki/山本亭","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯35度45分28.85秒東経139度52分48.16秒","東京都葛飾区柴又7-19-32","北緯35度45分28.85秒東経139度52分48.16秒﻿ / ﻿北緯35.7580139度 東経139.8800444度﻿ /35.7580139; 139.8800444座標:北緯35度45分28.85秒東経139度52分48.16秒﻿ / ﻿北緯35.7580139度 東経139.8800444度﻿ /35.7580139; 139.8800444","都選定歴史的建造物","","","","","","","","","","","","","","","",""
"東福寺","[東福寺方丈庭園] 東福寺 （とうふくじ）は、 京都市 東山区 にある 臨済宗東福寺派 大本山 の 寺院 。 山号 は慧日山（えにちさん）。 京都五山 の第四位の 禅 寺として中世、近世を通じて栄えた。近代に入って規模が縮小されたとはいえ、今なお25か寺の 塔頭 （山内寺院）を有する大寺院である。紅葉の名所として有名である。「東福寺の伽藍面（がらんづら）」ともいう。","https://ja.wikipedia.org/wiki/東福寺","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯34度58分37.38秒東経135度46分26.74秒","京都府京都市東山区本町十五丁目778番地","北緯34度58分37.38秒東経135度46分26.74秒﻿ / ﻿北緯34.9770500度 東経135.7740944度﻿ /34.9770500; 135.7740944﻿ (東福寺)座標:北緯34度58分37.38秒東経135度46分26.74秒﻿ / ﻿北緯34.9770500度 東経135.7740944度﻿ /34.9770500; 135.7740944﻿ (東福寺)","三門、宋版太平御覧、絹本著色無準師範像ほか（国宝）常楽庵、禅堂、偃月橋、絹本著色釈迦三尊像、木造地蔵菩薩坐像ほか（重要文化財）庭園（国の名勝）","8130005001320","慧日山","嘉禎2年（1236年）","臨済宗東福寺派","釈迦如来","九条道家","大本山京都五山四位","慧日山 東福禅寺","","臨済宗大本山 東福寺 -日本最古の最大級の伽藍-","","","円爾","","",""
"城南宮","[城南宮楽水苑] 城南宮 （じょうなんぐう）は、 京都市 伏見区 にある 神社 。旧社格は 府社 。「 方除 の大社」として知られている。 摂社 の真幡寸神社は 式内社 であった。","https://ja.wikipedia.org/wiki/城南宮","日本庭園","https://ja.wikipedia.org/wiki/日本庭園","箇条書き,制限あり","北緯34度57分4.03秒東経135度44分47.6秒","京都府京都市伏見区中島鳥羽離宮町7","北緯34度57分4.03秒東経135度44分47.6秒﻿ / ﻿北緯34.9511194度 東経135.746556度﻿ /34.9511194; 135.746556座標:北緯34度57分4.03秒東経135度44分47.6秒﻿ / ﻿北緯34.9511194度 東経135.746556度﻿ /34.9511194; 135.746556","","","","","","","","","","神仏霊場巡拝の道第83番（京都第3番）","","","","","","",""
