"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","ホーム","所在地","備考","電報略号","駅番号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","乗車人員,-統計年次-","種類","本社所在地","設立","業種"
"行田市駅","行田市駅（ぎょうだしえき）","https://ja.wikipedia.org/wiki/行田市駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯36度8分36.86秒東経139度27分32.79秒","■秩父本線","8.3 km（羽生起点）","秩父鉄道","1921年（大正10年）4月1日","地上駅（橋上駅）[2]","1面2線[2]","埼玉県行田市中央19-18[1]北緯36度8分36.86秒東経139度27分32.79秒﻿ / ﻿北緯36.1435722度 東経139.4591083度﻿ /36.1435722; 139.4591083座標:北緯36度8分36.86秒東経139度27分32.79秒﻿ / ﻿北緯36.1435722度 東経139.4591083度﻿ /36.1435722; 139.4591083","","ギョ","","831人/日（降車客含まず）-2019年-","1,686人/日-2019年-","","","","","","",""
"京田辺駅","京田辺駅（きょうたなべえき）","https://ja.wikipedia.org/wiki/京田辺駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯34度49分14.80秒東経135度46分7.84秒","H片町線（学研都市線）","12.4 km（木津起点）","西日本旅客鉄道（JR西日本）","1898年（明治31年）4月12日","地上駅（橋上駅）","2面3線","京都府京田辺市田辺久戸27北緯34度49分14.80秒東経135度46分7.84秒﻿ / ﻿北緯34.8207778度 東経135.7688444度﻿ /34.8207778; 135.7688444座標:北緯34度49分14.80秒東経135度46分7.84秒﻿ / ﻿北緯34.8207778度 東経135.7688444度﻿ /34.8207778; 135.7688444","直営駅みどりの窓口有*1997年に田辺駅から改称[1]。","キナ","JR-H24","6,399人/日（降車客含まず）-2019年-","","新田辺駅（近鉄京都線）","","","","","",""
"京丹後大宮駅","京丹後大宮駅（きょうたんごおおみやえき）","https://ja.wikipedia.org/wiki/京丹後大宮駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯35度34分45.56秒東経135度5分38.31秒","宮津線（宮豊線）**","42.7 km（西舞鶴起点）","WILLER TRAINS（京都丹後鉄道）","1925年（大正14年）11月3日[1]","地上駅","2面2線","京都府京丹後市大宮町口大野380-2北緯35度34分45.56秒東経135度5分38.31秒﻿ / ﻿北緯35.5793222度 東経135.0939750度﻿ /35.5793222; 135.0939750﻿ (京丹後大宮駅*)座標:北緯35度34分45.56秒東経135度5分38.31秒﻿ / ﻿北緯35.5793222度 東経135.0939750度﻿ /35.5793222; 135.0939750﻿ (京丹後大宮駅*)","有人駅（簡易委託駅）* 駅名改称1963年口大野→丹後大宮2015年丹後大宮→京丹後大宮**1990年に西日本旅客鉄道から移管[1]。2015年に北近畿タンゴ鉄道から移管。","オミクオ（口大野駅時代）","T18","123人/日（降車客含まず）-2019年-","","","","","","","",""
"経塚駅","経塚駅（きょうづかえき）","https://ja.wikipedia.org/wiki/経塚駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯26度14分11.76秒東経127度43分41.88秒","■沖縄都市モノレール線（ゆいレール）","15.0 km（那覇空港起点）","沖縄都市モノレール","2019年（令和元年）10月1日[1][2]","高架駅","1面2線","沖縄県浦添市前田字1140北緯26度14分11.76秒東経127度43分41.88秒﻿ / ﻿北緯26.2366000度 東経127.7283000度﻿ /26.2366000; 127.7283000座標:北緯26度14分11.76秒東経127度43分41.88秒﻿ / ﻿北緯26.2366000度 東経127.7283000度﻿ /26.2366000; 127.7283000","","","17","505人/日（降車客含まず）-2020年-","","","","","","","",""
"競艇場前駅 (東京都)","競艇場前駅（きょうていじょうまええき）","https://ja.wikipedia.org/wiki/競艇場前駅_(東京都)","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯35度39分22.3秒東経139度29分58.4秒","■多摩川線","7.0 km（武蔵境起点）","西武鉄道","1919年（大正8年）6月1日","地上駅","1面1線","東京都府中市小柳町四丁目10-11北緯35度39分22.3秒東経139度29分58.4秒﻿ / ﻿北緯35.656194度 東経139.499556度﻿ /35.656194; 139.499556座標:北緯35度39分22.3秒東経139度29分58.4秒﻿ / ﻿北緯35.656194度 東経139.499556度﻿ /35.656194; 139.499556","*1954年に「常久駅」から改称。","","SW05","","2,924人/日-2019年-","","","","","","",""
"経田駅","経田駅（きょうでんえき）","https://ja.wikipedia.org/wiki/経田駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯36度50分57.45秒東経137度24分58.56秒","■本線","32.9 km（電鉄富山起点）","富山地方鉄道","1936年（昭和11年）10月1日","地上駅","単式1面1線","富山県魚津市浜経田437-1北緯36度50分57.45秒東経137度24分58.56秒﻿ / ﻿北緯36.8492917度 東経137.4162667度﻿ /36.8492917; 137.4162667﻿ (経田駅)座標:北緯36度50分57.45秒東経137度24分58.56秒﻿ / ﻿北緯36.8492917度 東経137.4162667度﻿ /36.8492917; 137.4162667﻿ (経田駅)","","","T25","463人/日（降車客含まず）-2017年-","","","","","","","",""
"京都駅","京都駅（きょうとえき）","https://ja.wikipedia.org/wiki/京都駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","","","","西日本旅客鉄道（JR西日本・駅詳細）東海旅客鉄道（JR東海・駅詳細）近畿日本鉄道（近鉄・駅詳細）京都市交通局（京都市営地下鉄・駅詳細）","","","","京都市下京区","","","","","","","","","","","",""
"経堂駅","経堂駅（きょうどうえき）","https://ja.wikipedia.org/wiki/経堂駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯35度39分5秒東経139度38分13秒","小田原線","8.0 km（新宿起点）","小田急電鉄","1927年（昭和2年）4月1日","高架駅","2面5線*","東京都世田谷区経堂二丁目1番3号北緯35度39分5秒東経139度38分13秒﻿ / ﻿北緯35.65139度 東経139.63694度﻿ /35.65139; 139.63694座標:北緯35度39分5秒東経139度38分13秒﻿ / ﻿北緯35.65139度 東経139.63694度﻿ /35.65139; 139.63694","*通過線1線含む","","OH11","","82,540人/日-2019年-","","","","","","",""
"京都貨物駅","京都貨物駅（きょうとかもつえき）","https://ja.wikipedia.org/wiki/京都貨物駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯34度59分7秒東経135度44分29秒","東海道本線","515.4 km（東京起点）","日本貨物鉄道（JR貨物）","1913年（大正2年）6月21日","地上駅","","京都市下京区梅小路頭町10北緯34度59分7秒東経135度44分29秒﻿ / ﻿北緯34.98528度 東経135.74139度﻿ /34.98528; 135.74139﻿ (京都貨物駅*)座標:北緯34度59分7秒東経135度44分29秒﻿ / ﻿北緯34.98528度 東経135.74139度﻿ /34.98528; 135.74139﻿ (京都貨物駅*)","貨物専用駅","ウメ","","","","","","","","","",""
"京都河原町駅","京都河原町駅（きょうとかわらまちえき）","https://ja.wikipedia.org/wiki/京都河原町駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯35度0分13.5秒東経135度46分7.4秒","■京都本線","45.3 km（十三起点）大阪梅田から47.7 km","阪急電鉄","1963年（昭和38年）6月17日","地下駅","1面3線[* 2]","京都市下京区四条通河原町西入ル真町52番地先[1]北緯35度0分13.5秒東経135度46分7.4秒﻿ / ﻿北緯35.003750度 東経135.768722度﻿ /35.003750; 135.768722﻿ (京都河原町駅)座標:北緯35度0分13.5秒東経135度46分7.4秒﻿ / ﻿北緯35.003750度 東経135.768722度﻿ /35.003750; 135.768722﻿ (京都河原町駅)","","","HK86","","80,074人/日-2019年-","京阪本線祇園四条駅（徒歩連絡・東へ約250m）","（通年平均）78,595人/日-2019年-","","","","",""
"行徳駅","行徳駅（ぎょうとくえき）","https://ja.wikipedia.org/wiki/行徳駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯35度40分57.5秒東経139度54分51秒","●[1]東西線","25.5 km（中野起点）","東京地下鉄（東京メトロ）","1969年（昭和44年）3月29日","高架駅","2面2線","千葉県市川市行徳駅前二丁目4-1北緯35度40分57.5秒東経139度54分51秒﻿ / ﻿北緯35.682639度 東経139.91417度﻿ /35.682639; 139.91417座標:北緯35度40分57.5秒東経139度54分51秒﻿ / ﻿北緯35.682639度 東経139.91417度﻿ /35.682639; 139.91417","","トク","T20[1]","","57,818人/日-2019年-","","","","","","",""
"京都市役所前駅","京都市役所前駅（きょうとしやくしょまええき）","https://ja.wikipedia.org/wiki/京都市役所前駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯35度0分39.61秒東経135度46分7.78秒","東西線","12.6 km（六地蔵起点）","京都市交通局（京都市営地下鉄）","1997年（平成9年）10月12日","地下駅","1面2線","京都市中京区下丸屋町北緯35度0分39.61秒東経135度46分7.78秒﻿ / ﻿北緯35.0110028度 東経135.7688278度﻿ /35.0110028; 135.7688278座標:北緯35度0分39.61秒東経135度46分7.78秒﻿ / ﻿北緯35.0110028度 東経135.7688278度﻿ /35.0110028; 135.7688278","","","●T12","","29,452人/日-2019年-","","","","","","",""
"京都精華大前駅","京都精華大前駅（きょうとせいかだいまええき）","https://ja.wikipedia.org/wiki/京都精華大前駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯35度4分23.13秒東経135度46分8.37秒","■鞍馬線","3.5km（宝ケ池起点）出町柳から7.3 km","叡山電鉄","1989年（平成元年）9月21日[1]","地上駅","2面2線","京都市左京区静市市原町871[1]北緯35度4分23.13秒東経135度46分8.37秒﻿ / ﻿北緯35.0730917度 東経135.7689917度﻿ /35.0730917; 135.7689917﻿ (京都精華大前駅)座標:北緯35度4分23.13秒東経135度46分8.37秒﻿ / ﻿北緯35.0730917度 東経135.7689917度﻿ /35.0730917; 135.7689917﻿ (京都精華大前駅)","",""," E12 ","570人/日（降車客含まず）-2017年-","","","","","","","",""
"京橋駅 (東京都)","京橋駅 (東京都)（きょうばしえき・東京地下鉄銀座線）","https://ja.wikipedia.org/wiki/京橋駅_(東京都)","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯35度40分36.6秒東経139度46分12.5秒","●[1]銀座線","6.4 km（浅草起点）","東京地下鉄（東京メトロ）","1932年（昭和7年）12月24日","地下駅","1面2線","東京都中央区京橋二丁目2-10北緯35度40分36.6秒東経139度46分12.5秒﻿ / ﻿北緯35.676833度 東経139.770139度﻿ /35.676833; 139.770139座標:北緯35度40分36.6秒東経139度46分12.5秒﻿ / ﻿北緯35.676833度 東経139.770139度﻿ /35.676833; 139.770139","","キヨ","G10[1]","","63,693人/日-2019年-","","","","","","",""
"京橋駅 (大阪府)","京橋駅 (大阪府)（きょうばしえき・西日本旅客鉄道大阪環状線・片町線・JR東西線・京阪電気鉄道京阪本線・Osaka Metro長堀鶴見緑地線）","https://ja.wikipedia.org/wiki/京橋駅_(大阪府)","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","","","","西日本旅客鉄道（JR西日本・駅詳細）京阪電気鉄道（駅詳細）大阪市高速電気軌道（Osaka Metro・駅詳細）","","","","大阪市城東区・都島区","","","","","","","","","","","",""
"京橋停留場","京橋停留場（きょうばしていりゅうじょう・岡山電気軌道東山本線・臨時）","https://ja.wikipedia.org/wiki/京橋停留場","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","","■東山本線（1系統）","","岡山電気軌道","1995年（平成7年）12月24日","地上駅","2面2線","岡山市北区京橋町","備前岡山京橋朝市開催日のうち、毎年5月と10月のみ停車する臨時停留場","","","","","","","","","","",""
"京終駅","京終駅（きょうばてえき）","https://ja.wikipedia.org/wiki/京終駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯34度40分11.48秒東経135度49分43.78秒","U桜井線（万葉まほろば線）","1.9 km（奈良起点）","西日本旅客鉄道（JR西日本）","1898年（明治31年）5月11日[1]","地上駅","2面2線","奈良県奈良市南京終町211北緯34度40分11.48秒東経135度49分43.78秒","無人駅（コミュニティ駅長[注釈 1]配置）","ハテ","","740人/日（降車客含まず）-2019年-","","","","","","","",""
"京町温泉駅","京町温泉駅（きょうまちおんせんえき）","https://ja.wikipedia.org/wiki/京町温泉駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯32度2分42.89秒東経130度46分2.27秒","吉都線","5.0 km（吉松起点）","九州旅客鉄道（JR九州）","1912年（大正元年）10月1日[1]","地上駅","1面1線","宮崎県えびの市大字向江590北緯32度2分42.89秒東経130度46分2.27秒","無人駅*1990年に京町駅から改称[2]。","キヨ","","69人/日（降車客含まず）-2015年-","","","","","","","",""
"共和駅","共和駅（きょうわえき）","https://ja.wikipedia.org/wiki/共和駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯35度2分5.992秒東経136度57分16.815秒","CA東海道本線（名古屋地区）","349.5 km（東京起点）","東海旅客鉄道（JR東海）","1933年（昭和8年）12月7日","地上駅（橋上駅）","2面3線","愛知県大府市共栄町九丁目2-15北緯35度2分5.992秒東経136度57分16.815秒","業務委託駅JR全線きっぷうりば有","キワ","CA  61 ","9,798人/日（降車客含まず）-2019年-","","","","","","","",""
"清川駅","清川駅（きよかわえき）","https://ja.wikipedia.org/wiki/清川駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","","■陸羽西線","31.1 km（新庄起点）","東日本旅客鉄道（JR東日本）","1914年（大正3年）6月14日","地上駅","1面1線","","無人駅","キヨ","","74人/日（降車客含まず）-2004年-","","","","","","","",""
"清川口駅","清川口駅（きよかわぐちえき）","https://ja.wikipedia.org/wiki/清川口駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯41度49分28.2秒東経140度39分9.4秒","■道南いさりび鉄道線","7.6 km（五稜郭起点）","道南いさりび鉄道","1956年（昭和31年）10月1日[1]","地上駅","1面1線[1]","北海道北斗市中央1丁目[1]北緯41度49分28.2秒東経140度39分9.4秒﻿ / ﻿北緯41.824500度 東経140.652611度﻿ /41.824500; 140.652611﻿ (清川口駅)","無人駅（自動券売機 有）","キヨ","●sh08","","170[2]人/日-2019年-","","","","","","",""
"玉桂寺前駅","玉桂寺前駅（ぎょくけいじまええき）","https://ja.wikipedia.org/wiki/玉桂寺前駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯34度53分8.56秒東経136度4分10.20秒","信楽線","13.4 km（貴生川起点）","信楽高原鐵道","1987年（昭和62年）7月13日","地上駅","単式1面1線","滋賀県甲賀市信楽町勅旨字奥出北緯34度53分8.56秒東経136度4分10.20秒﻿ / ﻿北緯34.8857111度 東経136.0695000度﻿ /34.8857111; 136.0695000座標:北緯34度53分8.56秒東経136度4分10.20秒﻿ / ﻿北緯34.8857111度 東経136.0695000度﻿ /34.8857111; 136.0695000","","","","7人/日（降車客含まず）-2017年-","","","","","","","",""
"清里駅","清里駅（きよさとえき）","https://ja.wikipedia.org/wiki/清里駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯35度55分8.76秒東経138度26分12.23秒","■小海線","17.5 km（小淵沢起点）","東日本旅客鉄道（JR東日本）","1933年（昭和8年）7月27日[1]","地上駅","2面2線[1]","山梨県北杜市高根町清里[1]北緯35度55分8.76秒東経138度26分12.23秒﻿ / ﻿北緯35.9191000度 東経138.4367306度﻿ /35.9191000; 138.4367306座標:北緯35度55分8.76秒東経138度26分12.23秒﻿ / ﻿北緯35.9191000度 東経138.4367306度﻿ /35.9191000; 138.4367306","業務委託駅標高：1,275 m（JRグループ第2位）","キヨ[1]","","175人/日（降車客含まず）-2019年-","","","","","","","",""
"清里町駅","清里町駅（きよさとちょうえき）","https://ja.wikipedia.org/wiki/清里町駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯43度50分19.09秒東経144度35分38.08秒","■釧網本線","49.2 km（網走起点）","北海道旅客鉄道（JR北海道）","1929年（昭和4年）11月14日","地上駅","2面2線","北海道斜里郡清里町水元町北緯43度50分19.09秒東経144度35分38.08秒﻿ / ﻿北緯43.8386361度 東経144.5939111度﻿ /43.8386361; 144.5939111座標:北緯43度50分19.09秒東経144度35分38.08秒﻿ / ﻿北緯43.8386361度 東経144.5939111度﻿ /43.8386361; 144.5939111","無人駅","キサ","○B69","","96人/日-2014年-","","","","","","",""
"清荒神駅","清荒神駅（きよしこうじんえき）","https://ja.wikipedia.org/wiki/清荒神駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯34度48分41.01秒東経135度21分11.84秒","■宝塚本線","23.3 km（大阪梅田起点）","阪急電鉄","1910年（明治43年）3月10日[2]","地上駅[2]","2面2線[2]","兵庫県宝塚市清荒神一丁目9番3号[1]北緯34度48分41.01秒東経135度21分11.84秒﻿ / ﻿北緯34.8113917度 東経135.3532889度﻿ /34.8113917; 135.3532889座標:北緯34度48分41.01秒東経135度21分11.84秒﻿ / ﻿北緯34.8113917度 東経135.3532889度﻿ /34.8113917; 135.3532889","","","HK55","","","","（通年平均） 8,245人/日（特定日）8,212人/日-2019年-","","","","",""
"清洲駅","清洲駅（きよすえき）","https://ja.wikipedia.org/wiki/清洲駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯35度13分28.671秒東経136度50分7.814秒","CA東海道本線（名古屋地区）","373.8 km（東京起点）","東海旅客鉄道（JR東海）日本貨物鉄道（JR貨物）","1934年（昭和9年）2月24日","地上駅","1面2線","愛知県稲沢市北市場町古三味390-1北緯35度13分28.671秒東経136度50分7.814秒","業務委託駅JR全線きっぷうりば有","キス","CA  70 ","4,138人/日（降車客含まず）-2019年-","","","","","","","",""
"清澄白河駅","清澄白河駅（きよすみしらかわえき）","https://ja.wikipedia.org/wiki/清澄白河駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","","●[2]都営地下鉄大江戸線","13.3 km（都庁前起点）","東京都交通局（都営地下鉄）東京地下鉄（東京メトロ）","2000年（平成12年）12月12日[1]。","地下駅","2面3線（大江戸線）1面2線（半蔵門線）","","","清（東京都交通局、駅名略称）キシ（東京メトロ）","E14[2]","","（東京都交通局）-2019年-43,537人/日（東京メトロ）-2019年-58,961人/日","","","","","","",""
"清瀬駅","清瀬駅（きよせえき）","https://ja.wikipedia.org/wiki/清瀬駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯35度46分19.6秒東経139度31分11.7秒","■池袋線","19.6km（池袋起点）小竹向原から16.2 km","西武鉄道","1924年（大正13年）6月11日","地上駅（橋上駅）","2面4線","東京都清瀬市元町一丁目2-4北緯35度46分19.6秒東経139度31分11.7秒﻿ / ﻿北緯35.772111度 東経139.519917度﻿ /35.772111; 139.519917座標:北緯35度46分19.6秒東経139度31分11.7秒﻿ / ﻿北緯35.772111度 東経139.519917度﻿ /35.772111; 139.519917","","","SI15","","69,578人/日-2019年-","","","","","","",""
"清滝駅","清滝駅（きよたきえき）","https://ja.wikipedia.org/wiki/清滝駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","","","","","","","","","","","","","","","","","株式会社","日本〒193-8511東京都八王子市高尾町2205","1921年（大正10年）9月29日","陸運業"
"清武駅","清武駅（きよたけえき）","https://ja.wikipedia.org/wiki/清武駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯31度51分33.98秒東経131度23分21.33秒","日豊本線","347.8 km（小倉起点）","九州旅客鉄道（JR九州）","1915年（大正4年）3月20日[1]","地上駅","1面2線[1]","宮崎県宮崎市清武町船引484[1][2]北緯31度51分33.98秒東経131度23分21.33秒﻿ / ﻿北緯31.8594389度 東経131.3892583度﻿ /31.8594389; 131.3892583座標:北緯31度51分33.98秒東経131度23分21.33秒﻿ / ﻿北緯31.8594389度 東経131.3892583度﻿ /31.8594389; 131.3892583","業務委託駅[2]POS端末設置","ヨケ","","620人/日（降車客含まず）-2019年-","","","","","","","",""
"清音駅","清音駅（きよねえき）","https://ja.wikipedia.org/wiki/清音駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯34度38分37.12秒東経133度43分59.98秒","V伯備線*（JR西日本）","7.3km（倉敷起点）岡山から23.2 km","西日本旅客鉄道（JR西日本）井原鉄道","1925年（大正14年）2月17日","地上駅","2面3線**","岡山県総社市清音上中島185-2北緯34度38分37.12秒東経133度43分59.98秒","共同使用駅JR西日本：無人駅[1]井原鉄道：業務委託駅","キネ","JR-V06","（JR西日本）1,650人/日（降車客含まず）-2017年-（井原鉄道）641人/日（降車客含まず）-2013年-","","","","","","","",""
"清水五条駅","清水五条駅（きよみずごじょうえき）","https://ja.wikipedia.org/wiki/清水五条駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯34度59分45.99秒東経135度46分6.7秒","■京阪本線","47.7 km（淀屋橋起点）","京阪電気鉄道","1910年（明治43年）4月15日","地下駅","1面2線","京都市東山区五条大橋東詰[1]北緯34度59分45.99秒東経135度46分6.7秒﻿ / ﻿北緯34.9961083度 東経135.768528度﻿ /34.9961083; 135.768528﻿ (清水五条駅*)座標:北緯34度59分45.99秒東経135度46分6.7秒﻿ / ﻿北緯34.9961083度 東経135.768528度﻿ /34.9961083; 135.768528﻿ (清水五条駅*)","*2008年に五条駅から改称[2]","五（駅名略称方式）","KH  38","","9,292人/日-2019年-","","","","","","",""
"吉良吉田駅","吉良吉田駅（きらよしだえき）","https://ja.wikipedia.org/wiki/吉良吉田駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯34度47分39.6秒東経137度4分15.8秒","西尾線","24.7 km（新安城起点）","名古屋鉄道","1928年（昭和3年）8月25日*","地上駅","3面3線","愛知県西尾市吉良町吉田船戸5北緯34度47分39.6秒東経137度4分15.8秒﻿ / ﻿北緯34.794333度 東経137.071056度﻿ /34.794333; 137.071056座標:北緯34度47分39.6秒東経137度4分15.8秒﻿ / ﻿北緯34.794333度 東経137.071056度﻿ /34.794333; 137.071056","駅員配置駅*三河鉄道の三河吉田駅として開業","","GN  13 ","","2,893人/日-2019年-","","","","","","",""
"切石駅","切石駅（きりいしえき）","https://ja.wikipedia.org/wiki/切石駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯35度30分44.47秒東経137度48分32.60秒","CD飯田線","127.7 km（豊橋起点）","東海旅客鉄道（JR東海）","1926年（大正15年）12月17日[1]","地上駅","1面1線[1]","長野県飯田市鼎切石[1]北緯35度30分44.47秒東経137度48分32.60秒﻿ / ﻿北緯35.5123528度 東経137.8090556度﻿ /35.5123528; 137.8090556座標:北緯35度30分44.47秒東経137度48分32.60秒﻿ / ﻿北緯35.5123528度 東経137.8090556度﻿ /35.5123528; 137.8090556","駅員無配置駅[1]標高：493m[1]","キリ[1]","","107人/日（降車客含まず）-2018年-","","","","","","","",""
"吉里吉里駅","吉里吉里駅（きりきりえき）","https://ja.wikipedia.org/wiki/吉里吉里駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","","リアス線","52.3 km（盛起点）","三陸鉄道","1938年（昭和13年）4月5日[1]","地上駅（盛土上）","1面1線","","無人駅","","","","","","","","","","",""
"霧島温泉駅","霧島温泉駅（きりしまおんせんえき）","https://ja.wikipedia.org/wiki/霧島温泉駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯31度52分5.06秒東経130度44分3.61秒","肥薩線","106.5 km（八代起点）","九州旅客鉄道（JR九州）","1908年（明治41年）7月11日[1]","地上駅","1面2線","鹿児島県霧島市牧園町宿窪田169-3北緯31度52分5.06秒東経130度44分3.61秒﻿ / ﻿北緯31.8680722度 東経130.7343361度﻿ /31.8680722; 130.7343361﻿ (霧島温泉駅*)","無人駅","キチ","","241人/日（降車客含まず）-2016年-","490人/日-2016年-","","","","","","",""
"霧島神宮駅","霧島神宮駅（きりしまじんぐうえき）","https://ja.wikipedia.org/wiki/霧島神宮駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯31度49分7.31秒東経130度50分12.34秒","日豊本線","419.4 km（小倉起点）","九州旅客鉄道（JR九州）","1930年（昭和5年）7月10日","地上駅（盛土上）","1面2線","鹿児島県霧島市霧島大窪465北緯31度49分7.31秒東経130度50分12.34秒","業務委託駅","キリ","","203人/日（降車客含まず）-2016年-","400人/日-2016年-","","","","","","",""
"切通駅","切通駅（きりどおしえき）","https://ja.wikipedia.org/wiki/切通駅","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯35度24分0.25秒東経136度47分45.77秒","各務原線","3.9 km（名鉄岐阜起点）","名古屋鉄道","1926年（大正15年）1月21日","2面2線","地上駅","岐阜県岐阜市切通二丁目16北緯35度24分0.25秒東経136度47分45.77秒﻿ / ﻿北緯35.4000694度 東経136.7960472度﻿ /35.4000694; 136.7960472﻿ (切通駅)座標:北緯35度24分0.25秒東経136度47分45.77秒﻿ / ﻿北緯35.4000694度 東経136.7960472度﻿ /35.4000694; 136.7960472﻿ (切通駅)","無人駅管理駅：名鉄岐阜","","KG  14 ","","1,628人/日-2019年[1]-","","","","","","",""
"桐原駅 (新潟県)","桐原駅 (新潟県)（きりはらえき・東日本旅客鉄道越後線）","https://ja.wikipedia.org/wiki/桐原駅_(新潟県)","日本の鉄道駅一覧_き","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_き","箇条書き,制限あり","北緯37度36分5.98秒東経138度47分32.74秒","■越後線","36.2 km（柏崎起点）","東日本旅客鉄道（JR東日本）","1919年（大正8年）12月5日[1]","地上駅","1面1線[1]","新潟県長岡市寺泊五分一[1]北緯37度36分5.98秒東経138度47分32.74秒座標:北緯37度36分5.98秒 東経138度47分32.74秒","無人駅[1]（自動券売機 有）","キラ","","55人/日（降車客含まず）-2010年-","","","","","","","",""
