"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","ホーム","所在地","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","乗車人員,-統計年次-","Hidden","Hidden","Hidden","Hidden"
"極楽橋駅","極楽橋駅（ごくらくばしえき）","https://ja.wikipedia.org/wiki/極楽橋駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度14分2.3秒東経135度34分55.48秒","■高野線","64.5km（汐見橋起点）難波から63.8 km","南海電気鉄道","地上駅","1929年（昭和4年）2月21日","3面4線（高野線）2面1線（鋼索線）","和歌山県伊都郡高野町大字高野山国有林第8林班北緯34度14分2.3秒東経135度34分55.48秒﻿ / ﻿北緯34.233972度 東経135.5820778度﻿ /34.233972; 135.5820778座標:北緯34度14分2.3秒東経135度34分55.48秒﻿ / ﻿北緯34.233972度 東経135.5820778度﻿ /34.233972; 135.5820778","業務委託駅","NK 86","コ゛ク","","56人/日-2019年-","","","","","","",""
"国立競技場駅","国立競技場駅（こくりつきょうぎじょうえき）","https://ja.wikipedia.org/wiki/国立競技場駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度40分48.2秒東経139度42分50.8秒","●[1]大江戸線","25.7 km（都庁前起点）","東京都交通局（都営地下鉄）","地下駅","2000年（平成12年）4月20日","1面2線","東京都新宿区霞ヶ丘町10-3*北緯35度40分48.2秒東経139度42分50.8秒﻿ / ﻿北緯35.680056度 東経139.714111度﻿ /35.680056; 139.714111座標:北緯35度40分48.2秒東経139度42分50.8秒﻿ / ﻿北緯35.680056度 東経139.714111度﻿ /35.680056; 139.714111","直営駅","E25[1]","国（駅名略称）","","10,764人/日-2019年-","千駄ケ谷駅（JR中央・総武緩行線）","","","","","",""
"小栗山駅","小栗山駅（こぐりやまえき）","https://ja.wikipedia.org/wiki/小栗山駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯40度33分51.68秒東経140度29分10.76秒","大鰐線","9.3 km（大鰐起点）","弘南鉄道","地上駅","1952年（昭和27年）1月26日","1面1線","青森県弘前市大字小栗山字川合19-2北緯40度33分51.68秒東経140度29分10.76秒﻿ / ﻿北緯40.5643556度 東経140.4863222度﻿ /40.5643556; 140.4863222座標:北緯40度33分51.68秒東経140度29分10.76秒﻿ / ﻿北緯40.5643556度 東経140.4863222度﻿ /40.5643556; 140.4863222","無人駅","KW 06","","","18人/日-2017年-","","","","","","",""
"国領駅","国領駅（こくりょうえき）","https://ja.wikipedia.org/wiki/国領駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度39分1秒東経139度33分31秒","■京王線","14.2 km（新宿起点）","京王電鉄","地下駅","1913年（大正2年）4月15日","1面2線","東京都調布市国領町三丁目18番地1北緯35度39分1秒東経139度33分31秒﻿ / ﻿北緯35.65028度 東経139.55861度﻿ /35.65028; 139.55861﻿ (国領駅)座標:北緯35度39分1秒東経139度33分31秒﻿ / ﻿北緯35.65028度 東経139.55861度﻿ /35.65028; 139.55861﻿ (国領駅)","1927年に現在地に移設2012年地下化","KO16","","","38,713人/日-2019年-","","","","","","",""
"蚕桑駅","蚕桑駅（こぐわえき）","https://ja.wikipedia.org/wiki/蚕桑駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯38度9分41秒東経140度2分48.37秒","フラワー長井線","24.6 km（赤湯起点）","山形鉄道","地上駅","1922年（大正11年）12月11日","1面1線","山形県西置賜郡白鷹町高玉北緯38度9分41秒東経140度2分48.37秒座標:北緯38度9分41秒 東経140度2分48.37秒","無人駅","","クワ","26人/日（降車客含まず）-2017年-","","","","","","","",""
"苔縄駅","苔縄駅（こけなわえき）","https://ja.wikipedia.org/wiki/苔縄駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度53分46.91秒東経134度21分13.82秒","智頭線","4.8 km（上郡起点）","智頭急行","高架駅[1]","1994年（平成6年）12月3日[1]","1面1線","兵庫県赤穂郡上郡町苔縄554-2[1]北緯34度53分46.91秒東経134度21分13.82秒﻿ / ﻿北緯34.8963639度 東経134.3538389度﻿ /34.8963639; 134.3538389座標:北緯34度53分46.91秒東経134度21分13.82秒﻿ / ﻿北緯34.8963639度 東経134.3538389度﻿ /34.8963639; 134.3538389","無人駅[1]","","コケ","","8人/日-2018年-","","","","","","",""
"五香駅","五香駅（ごこうえき）","https://ja.wikipedia.org/wiki/五香駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度47分49秒東経139度57分57.5秒","■新京成線","7.4 km（松戸起点）","新京成電鉄","地上駅（橋上駅）","1955年（昭和30年）4月21日","1面2線","千葉県松戸市金ヶ作408番地の8北緯35度47分49秒東経139度57分57.5秒﻿ / ﻿北緯35.79694度 東経139.965972度﻿ /35.79694; 139.965972座標:北緯35度47分49秒東経139度57分57.5秒﻿ / ﻿北緯35.79694度 東経139.965972度﻿ /35.79694; 139.965972","","SL07","","","29,725人/日-2019年-","","","","","","",""
"護国寺駅","護国寺駅（ごこくじえき）","https://ja.wikipedia.org/wiki/護国寺駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度43分8.5秒東経139度43分39秒","●[1]有楽町線","13.5 km（和光市起点）","東京地下鉄（東京メトロ）","地下駅","1974年（昭和49年）10月30日","1面2線","東京都文京区大塚五丁目40-8北緯35度43分8.5秒東経139度43分39秒﻿ / ﻿北緯35.719028度 東経139.72750度﻿ /35.719028; 139.72750座標:北緯35度43分8.5秒東経139度43分39秒﻿ / ﻿北緯35.719028度 東経139.72750度﻿ /35.719028; 139.72750","","Y11[1]","ココ","","43,428人/日-2019年-","","","","","","",""
"古虎渓駅","古虎渓駅（ここけいえき）","https://ja.wikipedia.org/wiki/古虎渓駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度18分11.354秒東経137度6分3.599秒","CF中央本線（名古屋地区）","365.3km（東京起点）名古屋から31.6 km","東海旅客鉄道（JR東海）","地上駅","1952年（昭和27年）4月1日","2面2線","岐阜県多治見市諏訪町神田北緯35度18分11.354秒東経137度6分3.599秒","簡易委託駅","CF  11 ","コケ","384人/日（降車客含まず）-2019年-","","","","","","","",""
"小牛田駅","小牛田駅（こごたえき）","https://ja.wikipedia.org/wiki/小牛田駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯38度32分27.98秒東経141度3分51.49秒","■東北本線","395.0 km（東京起点）","東日本旅客鉄道（JR東日本）","地上駅","1890年（明治23年）4月16日[1]","2面4線[1]","宮城県遠田郡美里町字藤ケ崎町117北緯38度32分27.98秒東経141度3分51.49秒座標:北緯38度32分27.98秒 東経141度3分51.49秒","直営駅（管理駅）みどりの窓口有[1]","","ココ","2,034人/日（降車客含まず）-2019年-","","","","","","","",""
"九重駅","九重駅（ここのええき）","https://ja.wikipedia.org/wiki/九重駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度59分51.8秒東経139度54分39.8秒","■内房線","91.7 km（蘇我起点）千葉から95.5 km","東日本旅客鉄道（JR東日本）","地上駅","1921年（大正10年）6月1日[1]","2面2線","千葉県館山市二子93北緯34度59分51.8秒東経139度54分39.8秒座標:北緯34度59分51.8秒 東経139度54分39.8秒","無人駅（乗車駅証明書発行機 有）","","コノ","103人/日（降車客含まず）-2006年-","","","","","","","",""
"小篭通停留場","小篭通停留場（こごめどおりていりゅうじょう）","https://ja.wikipedia.org/wiki/小篭通停留場","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯33度34分34.82秒東経133度37分32.64秒","後免線","2.4 km（後免町起点）","とさでん交通","地上駅","1911年（明治44年）1月27日","2面2線","高知県南国市小籠北緯33度34分34.82秒東経133度37分32.64秒﻿ / ﻿北緯33.5763389度 東経133.6257333度﻿ /33.5763389; 133.6257333﻿ (小篭通停留場)","","","","","","","","","","","",""
"古座駅","古座駅（こざえき）","https://ja.wikipedia.org/wiki/古座駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯33度31分9.36秒東経135度49分15.3秒","W紀勢本線（きのくに線）","215.0km（亀山起点）新宮から34.8 km","西日本旅客鉄道（JR西日本）","地上駅","1936年（昭和11年）12月11日[1]","1面2線","和歌山県東牟婁郡串本町西向232北緯33度31分9.36秒東経135度49分15.3秒座標:北緯33度31分9.36秒 東経135度49分15.3秒","無人駅[2](自動券売機あり)","","コサ","124人/日（降車客含まず）-2019年-","","","","","","","",""
"小坂井駅","小坂井駅（こざかいえき）","https://ja.wikipedia.org/wiki/小坂井駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度47分51秒東経137度21分47.3秒","CD飯田線","4.4 km（豊橋起点）","東海旅客鉄道（JR東海）","地上駅","1898年（明治31年）3月13日","2面2線","愛知県豊川市小坂井町倉屋敷72北緯34度47分51秒東経137度21分47.3秒﻿ / ﻿北緯34.79750度 東経137.363139度﻿ /34.79750; 137.363139座標:北緯34度47分51秒東経137度21分47.3秒﻿ / ﻿北緯34.79750度 東経137.363139度﻿ /34.79750; 137.363139","駅員無配置駅","CD  03 ","コイ←カヰ","443人/日（降車客含まず）-2017年-","","","","","","","",""
"小砂川駅","小砂川駅（こさがわえき）","https://ja.wikipedia.org/wiki/小砂川駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","","■羽越本線","194.8 km（新津起点）","東日本旅客鉄道（JR東日本）","地上駅","1921年（大正10年）11月15日[1]","2面3線","","無人駅","","スナ","29人/日（降車客含まず）-2014年-","","","","","","","",""
"小佐越駅","小佐越駅（こさごええき）","https://ja.wikipedia.org/wiki/小佐越駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯36度48分8.3秒東経139度42分23.7秒","■鬼怒川線","9.9 km（下今市起点）","東武鉄道","地上駅","1924年（大正13年）11月11日","1面2線","栃木県日光市鬼怒川温泉大原29北緯36度48分8.3秒東経139度42分23.7秒﻿ / ﻿北緯36.802306度 東経139.706583度﻿ /36.802306; 139.706583﻿ (小佐越駅)座標:北緯36度48分8.3秒東経139度42分23.7秒﻿ / ﻿北緯36.802306度 東経139.706583度﻿ /36.802306; 139.706583﻿ (小佐越駅)","","TN54","コサ","","215人/日-2019年-","","","","","","",""
"小佐野駅","小佐野駅（こさのえき）","https://ja.wikipedia.org/wiki/小佐野駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯39度15分51.73秒東経141度50分11.07秒","■釜石線","86.5 km（花巻起点）","東日本旅客鉄道（JR東日本）","地上駅","1945年（昭和20年）6月15日[1][2]","1面2線","岩手県釜石市小佐野町一丁目6-1北緯39度15分51.73秒東経141度50分11.07秒座標:北緯39度15分51.73秒 東経141度50分11.07秒","無人駅","","コノ","39人/日（降車客含まず）-2019年-","","","","","","","",""
"小沢駅","小沢駅（こざわえき）","https://ja.wikipedia.org/wiki/小沢駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯42度58分18.76秒東経140度40分39.28秒","■函館本線","203.6 km（函館起点）","北海道旅客鉄道（JR北海道）","地上駅","1904年（明治37年）7月18日","1面2線","北海道岩内郡共和町小沢北緯42度58分18.76秒東経140度40分39.28秒","無人駅","○S22","サワ","","34人/日-2014年-","","","","","","",""
"後三年駅","後三年駅（ごさんねんえき）","https://ja.wikipedia.org/wiki/後三年駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","","■奥羽本線","234.7 km（福島起点）","東日本旅客鉄道（JR東日本）","地上駅","1921年（大正10年）12月12日[1]","2面3線","","無人駅","","ネン","","","","","","","","",""
"越ケ浜駅","越ケ浜駅（こしがはまえき）","https://ja.wikipedia.org/wiki/越ケ浜駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度26分20.35秒東経131度25分21.1秒","■山陰本線","569.1 km（京都起点）","西日本旅客鉄道（JR西日本）","高架駅","1960年（昭和35年）4月1日","1面1線","山口県萩市大字椿東字長畠659北緯34度26分20.35秒東経131度25分21.1秒﻿ / ﻿北緯34.4389861度 東経131.422528度﻿ /34.4389861; 131.422528座標:北緯34度26分20.35秒東経131度25分21.1秒﻿ / ﻿北緯34.4389861度 東経131.422528度﻿ /34.4389861; 131.422528","無人駅","","コシ","11人/日（降車客含まず）-2019年-","","","","","","","",""
"越谷駅","越谷駅（こしがやえき）","https://ja.wikipedia.org/wiki/越谷駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度53分17.73秒東経139度47分9.78秒","■伊勢崎線（東武スカイツリーライン）","24.4 km（浅草起点）","東武鉄道","高架駅","1920年（大正9年）4月17日","2面6線（うち通過線2線）","埼玉県越谷市弥生町4-11北緯35度53分17.73秒東経139度47分9.78秒﻿ / ﻿北緯35.8882583度 東経139.7860500度﻿ /35.8882583; 139.7860500﻿ (越谷駅)座標:北緯35度53分17.73秒東経139度47分9.78秒﻿ / ﻿北緯35.8882583度 東経139.7860500度﻿ /35.8882583; 139.7860500﻿ (越谷駅)","","TS21","コヤ","","50,714人/日-2019年-","","","","","","",""
"越谷貨物ターミナル駅","越谷貨物ターミナル駅（こしがやかもつたーみなるえき）","https://ja.wikipedia.org/wiki/越谷貨物ターミナル駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度53分12.79秒東経139度47分59.4秒","武蔵野線","72.7 km（鶴見起点）","日本貨物鉄道（JR貨物）","地上駅","1973年（昭和48年）10月1日","","埼玉県越谷市南越谷2丁目10番北緯35度53分12.79秒東経139度47分59.4秒﻿ / ﻿北緯35.8868861度 東経139.799833度﻿ /35.8868861; 139.799833﻿ (越谷貨物ターミナル駅)座標:北緯35度53分12.79秒東経139度47分59.4秒﻿ / ﻿北緯35.8868861度 東経139.799833度﻿ /35.8868861; 139.799833﻿ (越谷貨物ターミナル駅)","貨物専用駅","","コタ","","","","","","","","",""
"越谷レイクタウン駅","越谷レイクタウン駅（こしがやレイクタウンえき）","https://ja.wikipedia.org/wiki/越谷レイクタウン駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度52分34.87秒東経139度49分19.84秒","■武蔵野線","75.1 km（鶴見起点）府中本町から46.3 km","東日本旅客鉄道（JR東日本）","高架駅","2008年（平成20年）3月15日","2面2線","埼玉県越谷市レイクタウン八丁目[1][2]北緯35度52分34.87秒東経139度49分19.84秒﻿ / ﻿北緯35.8763528度 東経139.8221778度﻿ /35.8763528; 139.8221778﻿ (越谷レイクタウン駅)座標:北緯35度52分34.87秒東経139度49分19.84秒﻿ / ﻿北緯35.8763528度 東経139.8221778度﻿ /35.8763528; 139.8221778﻿ (越谷レイクタウン駅)","業務委託駅","JM21","コレ","28,675人/日（降車客含まず）-2019年-","","","","","","","",""
"腰越駅","腰越駅（こしごええき）","https://ja.wikipedia.org/wiki/腰越駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","","江ノ島電鉄線","3.9 km（藤沢起点）","江ノ島電鉄","地上駅","1903年（明治36年）6月20日","1面1線","","4両編成は1両分ドアカット","EN07","","","2,945人/日-2019年-","","","","","","",""
"越戸駅","越戸駅（こしどえき）","https://ja.wikipedia.org/wiki/越戸駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度6分27.55秒東経137度10分48秒","三河線","2.2km（猿投起点）知立から19.1 km","名古屋鉄道","高架駅[1]","1922年（大正11年）1月17日","相対式 2面2線[1]","愛知県豊田市越戸町梅盛4北緯35度6分27.55秒東経137度10分48秒﻿ / ﻿北緯35.1076528度 東経137.18000度﻿ /35.1076528; 137.18000座標:北緯35度6分27.55秒東経137度10分48秒﻿ / ﻿北緯35.1076528度 東経137.18000度﻿ /35.1076528; 137.18000","無人駅（駅集中管理システム導入駅）","MY  09 ","","","898人/日-2019年[2]-","","","","","","",""
"越ノ潟駅","越ノ潟駅（こしのかたえき）","https://ja.wikipedia.org/wiki/越ノ潟駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯36度46分29.6秒東経137度6分42.2秒","新湊港線","0.0 km（越ノ潟起点）","万葉線","地上駅","1930年（昭和5年）10月12日","1面1線","富山県射水市堀岡新明神北緯36度46分29.6秒東経137度6分42.2秒﻿ / ﻿北緯36.774889度 東経137.111722度﻿ /36.774889; 137.111722﻿ (越ノ潟駅)座標:北緯36度46分29.6秒東経137度6分42.2秒﻿ / ﻿北緯36.774889度 東経137.111722度﻿ /36.774889; 137.111722﻿ (越ノ潟駅)","","","","","729人/日-2016年[1]-","","","","","","",""
"越部駅","越部駅（こしべえき）","https://ja.wikipedia.org/wiki/越部駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度23分9.86秒東経135度48分9.69秒","F吉野線","18.7km（橿原神宮前起点）大阪阿部野橋から58.4 km","近畿日本鉄道（近鉄）","地上駅","1927年（昭和2年）7月1日","2面2線","奈良県吉野郡大淀町越部4北緯34度23分9.86秒東経135度48分9.69秒﻿ / ﻿北緯34.3860722度 東経135.8026917度﻿ /34.3860722; 135.8026917座標:北緯34度23分9.86秒東経135度48分9.69秒﻿ / ﻿北緯34.3860722度 東経135.8026917度﻿ /34.3860722; 135.8026917","無人駅"," F53 ","コシ","423人/日（降車客含まず）-2018年-","","","","","","","",""
"児島駅","児島駅（こじまえき）","https://ja.wikipedia.org/wiki/児島駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度27分45.22秒東経133度48分28.11秒","M本四備讃線（瀬戸大橋線）","12.9 km（茶屋町起点）岡山から27.8 km","■西日本旅客鉄道（JR西日本）*■四国旅客鉄道（JR四国）","高架駅","1988年（昭和63年）3月20日[1]","2面4線","岡山県倉敷市児島駅前一丁目107番地北緯34度27分45.22秒東経133度48分28.11秒﻿ / ﻿北緯34.4625611度 東経133.8078083度﻿ /34.4625611; 133.8078083座標:北緯34度27分45.22秒東経133度48分28.11秒﻿ / ﻿北緯34.4625611度 東経133.8078083度﻿ /34.4625611; 133.8078083","直営駅（管理駅）みどりの窓口有","JR-M12","コシ","4,553人/日（降車客含まず）-2019年-","","","","","","","",""
"小島新田駅","小島新田駅（こじましんでんえき）","https://ja.wikipedia.org/wiki/小島新田駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度32分5.0秒東経139度44分53.0秒","■大師線","4.5 km（京急川崎起点）","京浜急行電鉄","地上駅","1944年（昭和19年）10月1日","1面2線","神奈川県川崎市川崎区田町二丁目13-5北緯35度32分5.0秒東経139度44分53.0秒﻿ / ﻿北緯35.534722度 東経139.748056度﻿ /35.534722; 139.748056座標:北緯35度32分5.0秒東経139度44分53.0秒﻿ / ﻿北緯35.534722度 東経139.748056度﻿ /35.534722; 139.748056","1964年 現在地に移設","KK26","","","22,743人/日-2019年-","","","","","","",""
"越水駅","越水駅（こしみずえき）","https://ja.wikipedia.org/wiki/越水駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","","■五能線","111.0 km（東能代起点）","東日本旅客鉄道（JR東日本）","地上駅","1954年（昭和29年）11月20日[1]","1面1線[1]","","無人駅[1]","","コシ","","","","","","","","",""
"五社駅","五社駅（ごしゃえき）","https://ja.wikipedia.org/wiki/五社駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","","三田線","1.4km（有馬口起点）湊川から21.4km新開地から21.8 km","神戸電鉄","地上駅[1]","1928年（昭和3年）12月18日[1]","1面1線[1]","","無人駅[1]","○KB21","","1,022人/日（降車客含まず）-2019年-","1,914[2]人/日-2019年-","","","","","","",""
"五条駅 (京都府)","五条駅 (京都府)（ごじょうえき・京都市営地下鉄烏丸線）","https://ja.wikipedia.org/wiki/五条駅_(京都府)","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度59分42.62秒東経135度45分35.06秒","烏丸線","9.3 km（国際会館起点）","京都市交通局（京都市営地下鉄）","地下駅","1981年（昭和56年）5月29日","1面2線","京都市下京区大坂町北緯34度59分42.62秒東経135度45分35.06秒﻿ / ﻿北緯34.9951722度 東経135.7597389度﻿ /34.9951722; 135.7597389座標:北緯34度59分42.62秒東経135度45分35.06秒﻿ / ﻿北緯34.9951722度 東経135.7597389度﻿ /34.9951722; 135.7597389","","●K10","","","14,814人/日-2019年-","","","","","","",""
"五条駅 (奈良県)","五条駅 (奈良県)（ごじょうえき・西日本旅客鉄道和歌山線）","https://ja.wikipedia.org/wiki/五条駅_(奈良県)","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯34度21分20.22秒東経135度41分55.92秒","T和歌山線","35.4 km（王寺起点）","西日本旅客鉄道（JR西日本）","地上駅","1896年（明治29年）10月25日[1]","2面3線","奈良県五條市須恵三丁目1-9北緯34度21分20.22秒東経135度41分55.92秒﻿ / ﻿北緯34.3556167度 東経135.6988667度﻿ /34.3556167; 135.6988667座標:北緯34度21分20.22秒東経135度41分55.92秒﻿ / ﻿北緯34.3556167度 東経135.6988667度﻿ /34.3556167; 135.6988667","業務委託駅（運転業務は直営）みどりの窓口有","","コテ","1,348人/日（降車客含まず）-2018年-","","","","","","","",""
"虎杖浜駅","虎杖浜駅（こじょうはまえき）","https://ja.wikipedia.org/wiki/虎杖浜駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯42度27分52.90秒東経141度12分54.33秒","■室蘭本線","98.1 km（長万部起点）","北海道旅客鉄道（JR北海道）","地上駅","1928年（昭和3年）8月5日","2面2線","北海道白老郡白老町字虎杖浜北緯42度27分52.90秒東経141度12分54.33秒﻿ / ﻿北緯42.4646944度 東経141.2150917度﻿ /42.4646944; 141.2150917﻿ (虎杖浜駅)","無人駅","○H27","コヨ","","108人/日-2014年-","","","","","","",""
"五所川原駅","五所川原駅（ごしょがわらえき）","https://ja.wikipedia.org/wiki/五所川原駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","","","","東日本旅客鉄道（JR東日本・駅詳細）津軽鉄道（駅詳細）","","","","青森県五所川原市字大町[1]38","","","","","","","","","","","",""
"小杉駅 (富山県射水市)","小杉駅 (富山県射水市)（こすぎえき・あいの風とやま鉄道線）","https://ja.wikipedia.org/wiki/小杉駅_(富山県射水市)","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯36度43分15.25秒東経137度5分33.90秒","■あいの風とやま鉄道線","30.2 km（倶利伽羅起点）金沢から48.0 km米原から224.6 km","あいの風とやま鉄道[1]","地上駅","1899年（明治32年）3月20日","2面3線","富山県射水市三ケ（錦町）4156-2北緯36度43分15.25秒東経137度5分33.90秒﻿ / ﻿北緯36.7209028度 東経137.0927500度﻿ /36.7209028; 137.0927500座標:北緯36度43分15.25秒東経137度5分33.90秒﻿ / ﻿北緯36.7209028度 東経137.0927500度﻿ /36.7209028; 137.0927500","直営駅みどりの窓口有","","コス","3,228人/日（降車客含まず）-2019年-","","","","","","","",""
"小杉駅 (富山市)","小杉駅 (富山市)（こすぎえき・富山地方鉄道上滝線）","https://ja.wikipedia.org/wiki/小杉駅_(富山市)","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯36度38分57.8秒東経137度13分59.4秒","■上滝線","2.7 km（南富山起点）","富山地方鉄道","地上駅","2003年（平成15年）3月25日[1]","単式1面1線","富山県富山市小杉70-3北緯36度38分57.8秒東経137度13分59.4秒﻿ / ﻿北緯36.649389度 東経137.233167度﻿ /36.649389; 137.233167﻿ (小杉駅)座標:北緯36度38分57.8秒東経137度13分59.4秒﻿ / ﻿北緯36.649389度 東経137.233167度﻿ /36.649389; 137.233167﻿ (小杉駅)","平日朝・夕方のみ係員配置駅","T64","","193人/日（降車客含まず）-2019年-","381人/日-2019年-","","","","","","",""
"小菅駅","小菅駅（こすげえき）","https://ja.wikipedia.org/wiki/小菅駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯35度45分32.2秒東経139度48分46.2秒","■伊勢崎線（東武スカイツリーライン）","8.2 km（浅草起点）","東武鉄道","高架駅","1924年（大正13年）10月1日1950年（昭和25年）11月15日再開","1面2線","東京都足立区足立二丁目46番11号北緯35度45分32.2秒東経139度48分46.2秒﻿ / ﻿北緯35.758944度 東経139.812833度﻿ /35.758944; 139.812833﻿ (小菅駅)座標:北緯35度45分32.2秒東経139度48分46.2秒﻿ / ﻿北緯35.758944度 東経139.812833度﻿ /35.758944; 139.812833﻿ (小菅駅)","","TS10","コス","","6,177人/日-2019年-","","","","","","",""
"越河駅","越河駅（こすごうえき）","https://ja.wikipedia.org/wiki/越河駅","日本の鉄道駅一覧_こ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_こ","箇条書き,制限あり","北緯37度56分1.96秒東経140度36分16.21秒","■東北本線","298.6 km（東京起点）","東日本旅客鉄道（JR東日本）","地上駅","1891年（明治24年）1月12日","2面3線","宮城県白石市越河五賀字海道下1北緯37度56分1.96秒東経140度36分16.21秒座標:北緯37度56分1.96秒 東経140度36分16.21秒","無人駅","","コス","","","","","","","","",""
