"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","標高","位置","山系","種類","初登頂","インペリアル,換算","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"大和葛城山","[57やまとかつらぎさん大和葛城山奈良県大阪府958.9地理院地図Googleマップ北緯34度27分22秒東経135度40分56秒﻿ / ﻿北緯34.456157度 東経135.682317度﻿ /34.456157; 135.682317﻿ (大和葛城山)日本三百名山花の百名山大阪50山奈良百遊山近畿百名山葛城山大阪府最高峰] 大和葛城山 （やまとかつらぎさん）は、 奈良県 御所市 と 大阪府 南河内郡 千早赤阪村 との境に位置する標高959.2mの 山 である。単に 葛城山 と呼ばれることもある。","https://ja.wikipedia.org/wiki/大和葛城山","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯34度27分22秒東経135度40分56秒","日本奈良県御所市・大阪府南河内郡千早赤阪村","959.2m","北緯34度27分22秒東経135度40分56秒﻿ / ﻿北緯34.45611度 東経135.68222度﻿ /34.45611; 135.68222座標:北緯34度27分22秒東経135度40分56秒﻿ / ﻿北緯34.45611度 東経135.68222度﻿ /34.45611; 135.68222","金剛山地","","","","","","","","","","","","","","",""
"岩湧山","[58いわわきさん岩湧山大阪府897.1地理院地図Googleマップ北緯34度22分27秒東経135度33分04秒﻿ / ﻿北緯34.374078度 東経135.551011度﻿ /34.374078; 135.551011﻿ (岩湧山)新日本百名山大阪50山近畿百名山] 岩湧山 （いわわきさん）とは、 大阪府 河内長野市 にある 山 。 標高 897.1m  で、河内長野市を代表する山である。河内長野市の最高地点は岩湧山の南方にある 南葛城山 （標高922m）付近にある。 奥河内 の観光地の一つ。","https://ja.wikipedia.org/wiki/岩湧山","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯34度22分27秒東経135度33分03秒","大阪府河内長野市","897.1m","北緯34度22分27秒東経135度33分03秒﻿ / ﻿北緯34.37417度 東経135.55083度﻿ /34.37417; 135.55083座標:北緯34度22分27秒東経135度33分03秒﻿ / ﻿北緯34.37417度 東経135.55083度﻿ /34.37417; 135.55083","和泉山脈","","","","","","","","","","","","","","",""
"和泉葛城山","[59画 像 募 集 中いずみかつらぎさん和泉葛城山大阪府和歌山県858地理院地図Googleマップ北緯34度20分53秒東経135度26分04秒﻿ / ﻿北緯34.348003度 東経135.434333度﻿ /34.348003; 135.434333﻿ (和泉葛城山)大阪50山近畿百名山葛城山一等三角点] 和泉葛城山 （いずみかつらぎさん）は、 大阪府 と 和歌山県 の境にある 標高 858m  の山。 和泉山脈 を構成する一峰。葛城連峰の中心として昔から親しまれている山である。 1996年 （平成8年） 10月2日 に和泉山脈一帯が 金剛生駒紀泉国定公園 に編入された。","https://ja.wikipedia.org/wiki/和泉葛城山","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯34度20分53秒東経135度26分03秒","日本大阪府岸和田市塔原町・貝塚市蕎原和歌山県紀の川市切畑","858m","北緯34度20分53秒東経135度26分03秒﻿ / ﻿北緯34.34806度 東経135.43417度﻿ /34.34806; 135.43417座標:北緯34度20分53秒東経135度26分03秒﻿ / ﻿北緯34.34806度 東経135.43417度﻿ /34.34806; 135.43417","和泉山脈","","","","","","","","","","","","","","",""
"倶留尊山","[60くろそやま倶留尊山三重県奈良県1,037.3地理院地図Googleマップ北緯34度31分51秒東経136度10分13秒﻿ / ﻿北緯34.530913度 東経136.170310度﻿ /34.530913; 136.170310﻿ (倶留尊山)日本三百名山東海の百山奈良百遊山近畿百名山] 倶留尊山 （くろそやま）は、 三重県 津市 と 奈良県 宇陀郡 曽爾村 にまたがる 高見山地 の標高1,037 m の 山 である。 日本三百名山 の一つに数えられる  。","https://ja.wikipedia.org/wiki/倶留尊山","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯34度31分51秒東経136度10分13秒","日本三重県津市・奈良県宇陀郡曽爾村","1,037.27m","北緯34度31分51秒東経136度10分13秒﻿ / ﻿北緯34.53083度 東経136.17028度﻿ /34.53083; 136.17028座標:北緯34度31分51秒東経136度10分13秒﻿ / ﻿北緯34.53083度 東経136.17028度﻿ /34.53083; 136.17028","高見山地","","","","","","","","","","","","","","",""
"古光山 (存在しないページ)","[61こごやま古光山奈良県952.4地理院地図Googleマップ北緯34度30分19秒東経136度09分09秒﻿ / ﻿北緯34.505179度 東経136.152457度﻿ /34.505179; 136.152457﻿ (古光山)奈良百遊山近畿百名山]","https://ja.wikipedia.org/w/index.php?title=古光山&amp;action=edit&amp;redlink=1","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"尼ヶ岳","[62あまがたけ尼ヶ岳三重県957.4地理院地図Googleマップ北緯34度33分27秒東経136度13分11秒﻿ / ﻿北緯34.557587度 東経136.219675度﻿ /34.557587; 136.219675﻿ (尼ヶ岳)東海の百山</small近畿百名山] 尼ヶ岳 （あまがたけ）は、 標高 957.4mの 独立峰 の 山 である     。 関西百名山 のひとつに選定されている   。 　　","https://ja.wikipedia.org/wiki/尼ヶ岳","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯34度33分27.3秒東経136度13分10.7秒","日本三重県　伊賀市高尾・津市美杉町太郎生・美杉町八知","957.4m","北緯34度33分27.3秒東経136度13分10.7秒﻿ / ﻿北緯34.557583度 東経136.219639度﻿ /34.557583; 136.219639座標:北緯34度33分27.3秒東経136度13分10.7秒﻿ / ﻿北緯34.557583度 東経136.219639度﻿ /34.557583; 136.219639","布引山地・室生火山群","","","","","","","","","","","","","","",""
"大洞山 (三重県)","[63おおぼらやま大洞山三重県984.8地理院地図Googleマップ北緯34度32分01秒東経136度13分06秒﻿ / ﻿北緯34.533544度 東経136.218385度﻿ /34.533544; 136.218385﻿ (大洞山)近畿百名山] 大洞山 （おおぼらやま）は、 三重県 津市 美杉町の中央部にそびえている雄岳、雌岳の二峰で構成される 盾状火山 であった 死火山 の 山 である     。雄岳の標高は1013m、雌岳の標高は985mである  。","https://ja.wikipedia.org/wiki/大洞山_(三重県)","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯34度32分19.1秒東経136度12分53.5秒","日本三重県　津市美杉町太郎生・美杉町八知","雄岳 1,013.0m雌岳   984.8m","北緯34度32分19.1秒東経136度12分53.5秒﻿ / ﻿北緯34.538639度 東経136.214861度﻿ /34.538639; 136.214861座標:北緯34度32分19.1秒東経136度12分53.5秒﻿ / ﻿北緯34.538639度 東経136.214861度﻿ /34.538639; 136.214861","布引山地・室生火山群","","","","","","","","","","","","","","",""
"学能堂山","[64がくのどうやま学能堂山奈良県三重県1,021.4地理院地図Googleマップ北緯34度29分31秒東経136度13分47秒﻿ / ﻿北緯34.491952度 東経136.229809度﻿ /34.491952; 136.229809﻿ (学能堂山)奈良百遊山近畿百名山岳の洞] 学能堂山 （がくのどうやま）は、 高見山地 に属する1,021 mの 山 。 関西百名山 の一峰。三重県では「岳の洞」とも呼ばれている  。山頂は360度の展望があり、 三峰山 や 高見山 、 大洞山 や 尼ヶ岳 などを一望できる  。","https://ja.wikipedia.org/wiki/学能堂山","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯34度29分31秒東経136度13分47秒","三重県津市・奈良県御杖村","1,021m","北緯34度29分31秒東経136度13分47秒﻿ / ﻿北緯34.49194度 東経136.22972度﻿ /34.49194; 136.22972座標:北緯34度29分31秒東経136度13分47秒﻿ / ﻿北緯34.49194度 東経136.22972度﻿ /34.49194; 136.22972","高見山地","","","","","","","","","","","","","","",""
"住塚山 (存在しないページ)","[65すみつかやま住塚山奈良県1,009.2地理院地図Googleマップ北緯34度30分35秒東経136度05分11秒﻿ / ﻿北緯34.509641度 東経136.086289度﻿ /34.509641; 136.086289﻿ (住塚山)奈良百遊山近畿百名山]","https://ja.wikipedia.org/w/index.php?title=住塚山&amp;action=edit&amp;redlink=1","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"鎧岳 (存在しないページ)","[66よろいだけ・かぶとだけ鎧岳・兜岳奈良県893.6・920地理院地図Googleマップ北緯34度31分44秒東経136度07分49秒﻿ / ﻿北緯34.528758度 東経136.130260度﻿ /34.528758; 136.130260﻿ (鎧岳・兜岳)奈良百遊山]","https://ja.wikipedia.org/w/index.php?title=鎧岳&amp;action=edit&amp;redlink=1","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"額井岳","[67ぬかいだけ額井岳奈良県821.3地理院地図Googleマップ北緯34度33分32秒東経135度58分08秒﻿ / ﻿北緯34.558852度 東経135.969020度﻿ /34.558852; 135.969020﻿ (額井岳)奈良百遊山近畿百名山大和富士] 額井岳 （ぬかいだけ）は、 奈良県 宇陀市 と 奈良市 の境に位置する 山 である。 標高 812.3m。別名は 大和富士 。 関西百名山 の一つである。","https://ja.wikipedia.org/wiki/額井岳","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯34度33分31.8秒東経135度58分08.4秒","日本奈良県宇陀市・奈良市","812.3m","北緯34度33分31.8秒東経135度58分08.4秒﻿ / ﻿北緯34.558833度 東経135.969000度﻿ /34.558833; 135.969000座標:北緯34度33分31.8秒東経135度58分08.4秒﻿ / ﻿北緯34.558833度 東経135.969000度﻿ /34.558833; 135.969000","室生山地","","","","","","","","","","","","","","",""
"音羽山 (奈良県) (存在しないページ)","[68画 像 募 集 中おとわやま音羽山奈良県851.3地理院地図Googleマップ北緯34度28分39秒東経135度53分14秒﻿ / ﻿北緯34.477460度 東経135.887121度﻿ /34.477460; 135.887121﻿ (音羽山)奈良百遊山]","https://ja.wikipedia.org/w/index.php?title=音羽山_(奈良県)&amp;action=edit&amp;redlink=1","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"三輪山","[69みわさん三輪山奈良県466.8地理院地図Googleマップ北緯34度32分06秒東経135度52分01秒﻿ / ﻿北緯34.535033度 東経135.866812度﻿ /34.535033; 135.866812﻿ (三輪山)奈良百遊山] 三輪山 （みわやま）は、 奈良県 桜井市 にあるなだらかな 円錐 形の 山 。奈良県北部 奈良盆地 の南東部に位置し、 標高 は467.1m、周囲は16kmである。 三諸山 （みもろやま）ともいう。そのほか 記紀 においては「美和山」、「御諸岳」などとも記される。","https://ja.wikipedia.org/wiki/三輪山","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯34度32分06秒東経135度52分01秒","日本奈良県桜井市","467.1m","北緯34度32分06秒東経135度52分01秒﻿ / ﻿北緯34.53500度 東経135.86694度﻿ /34.53500; 135.86694座標:北緯34度32分06秒東経135度52分01秒﻿ / ﻿北緯34.53500度 東経135.86694度﻿ /34.53500; 135.86694","","","","","","","","","","","","","","","",""
"局ヶ岳","[70つぼねがたけ局ヶ岳三重県1,028.7地理院地図Googleマップ北緯34度27分38秒東経136度19分37秒﻿ / ﻿北緯34.460466度 東経136.327036度﻿ /34.460466; 136.327036﻿ (局ヶ岳)東海の百山近畿百名山伊勢三山] 局ヶ岳 （つぼねがだけ）は、 三重県 松阪市 にある山である。 標高 は1,029 m 。ピラミッド型の姿から「南伊勢の 槍ヶ岳 」と呼ばれている。山頂では、東に 伊勢湾 、西に 高見山 を望むことができる。","https://ja.wikipedia.org/wiki/局ヶ岳","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯34度27分38秒東経136度19分37秒","日本三重県松阪市","1,028.7m","北緯34度27分38秒東経136度19分37秒﻿ / ﻿北緯34.46056度 東経136.32694度﻿ /34.46056; 136.32694座標:北緯34度27分38秒東経136度19分37秒﻿ / ﻿北緯34.46056度 東経136.32694度﻿ /34.46056; 136.32694","高見山地","","","","","","","","","","","","","","",""
"高見山","[71たかみやま高見山三重県奈良県1,248.4地理院地図Googleマップ北緯34度25分43秒東経136度05分18秒﻿ / ﻿北緯34.428659度 東経136.088468度﻿ /34.428659; 136.088468﻿ (高見山)日本三百名山東海の百山奈良百遊山近畿百名山] 高見山 （たかみさん、たかみやま）は、 奈良県 吉野郡 東吉野村 と 三重県 松阪市 （旧 飯南郡 飯高町 ）との境界にある山である。 標高 は1,248.4m。","https://ja.wikipedia.org/wiki/高見山","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯34度25分43秒東経136度05分19秒","奈良県吉野郡東吉野村・三重県松阪市","1,248.4m","北緯34度25分43秒東経136度05分19秒﻿ / ﻿北緯34.42861度 東経136.08861度﻿ /34.42861; 136.08861座標:北緯34度25分43秒東経136度05分19秒﻿ / ﻿北緯34.42861度 東経136.08861度﻿ /34.42861; 136.08861","高見山地・台高山脈","","","","","","","","","","","","","","",""
"三峰山 (三重県・奈良県)","[72みうねやま三峰山三重県奈良県1,235.2地理院地図Googleマップ北緯34度26分55秒東経136度12分23秒﻿ / ﻿北緯34.448712度 東経136.206263度﻿ /34.448712; 136.206263﻿ (三峰山)日本三百名山東海の百山奈良百遊山近畿百名山一等三角点] 三峰山 （みうねやま）は、 高見山地 に属する 山 である。 日本三百名山 の一つに数えられる  。","https://ja.wikipedia.org/wiki/三峰山_(三重県・奈良県)","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯34度26分55秒東経136度12分23秒","三重県松阪市・津市奈良県御杖村","1,235.2m","北緯34度26分55秒東経136度12分23秒﻿ / ﻿北緯34.44861度 東経136.20639度﻿ /34.44861; 136.20639座標:北緯34度26分55秒東経136度12分23秒﻿ / ﻿北緯34.44861度 東経136.20639度﻿ /34.44861; 136.20639","高見山地","","","","","","","","","","","","","","",""
"迷岳 (存在しないページ)","[73まよいだけ迷岳三重県1,309.1地理院地図Googleマップ北緯34度21分01秒東経136度12分27秒﻿ / ﻿北緯34.350139度 東経136.207558度﻿ /34.350139; 136.207558﻿ (迷岳)近畿百名山]","https://ja.wikipedia.org/w/index.php?title=迷岳&amp;action=edit&amp;redlink=1","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"池木屋山 (存在しないページ)","[74画 像 募 集 中いけごややま池木屋山三重県奈良県1,395.9地理院地図Googleマップ北緯34度18分58秒東経136度07分46秒﻿ / ﻿北緯34.316079度 東経136.129450度﻿ /34.316079; 136.129450﻿ (池木屋山)奈良百遊山近畿百名山]","https://ja.wikipedia.org/w/index.php?title=池木屋山&amp;action=edit&amp;redlink=1","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"明神岳 (三重県・奈良県)","[75みょうじんだけ明神岳奈良県三重県1,432地理院地図Googleマップ北緯34度21分39秒東経136度05分41秒﻿ / ﻿北緯34.360950度 東経136.094750度﻿ /34.360950; 136.094750﻿ (明神岳)奈良百遊山明神平] 明神岳 （みょうじんだけ）は、 奈良県 川上村 ・ 三重県 松阪市 に跨る 標高 1,432 m の 山 。 台高山脈 の主稜を構成する。 関西百名山 ・ 奈良百遊山 に選定されている。","https://ja.wikipedia.org/wiki/明神岳_(三重県・奈良県)","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯34度21分39秒東経136度5分42秒","奈良県川上村・三重県松阪市","1,432m","北緯34度21分39秒東経136度5分42秒﻿ / ﻿北緯34.36083度 東経136.09500度﻿ /34.36083; 136.09500座標:北緯34度21分39秒東経136度5分42秒﻿ / ﻿北緯34.36083度 東経136.09500度﻿ /34.36083; 136.09500","台高山脈","","","","","","","","","","","","","","",""
"桧塚 (存在しないページ)","[76ひのきづか桧塚三重県1,402.1地理院地図Googleマップ北緯34度21分55秒東経136度07分02秒﻿ / ﻿北緯34.365404度 東経136.117163度﻿ /34.365404; 136.117163﻿ (桧塚)桧塚奥峰]","https://ja.wikipedia.org/w/index.php?title=桧塚&amp;action=edit&amp;redlink=1","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"大台ヶ原山","[77おおだいがはらやま大台ヶ原山奈良県三重県1,695.1地理院地図Googleマップ北緯34度11分07秒東経136度06分33秒﻿ / ﻿北緯34.185227度 東経136.109199度﻿ /34.185227; 136.109199﻿ (大台ヶ原山)日本百名山花の百名山新日本百名山新・花の百名山一等三角点百名山東海の百山奈良百遊山近畿百名山日出ヶ岳三重県最高峰一等三角点] 大台ヶ原山 （おおだいがはらやま）は 奈良県 と 三重県 の 県境 にある 標高 1695.1m  の 山 である。 深田久弥 によって「 日本百名山 」に選ばれたほか、 日本百景 、 日本の秘境100選 にも選ばれている。 1980年 （昭和55年）に 国際連合教育科学文化機関 の 生物圏保護区 （ユネスコエコパーク）に登録された（登録名：大台ケ原・ 大峯山 ・ 大杉谷 ）  。","https://ja.wikipedia.org/wiki/大台ヶ原山","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯34度11分7秒東経136度6分33秒","奈良県吉野郡上北山村、川上村、三重県多気郡大台町","1,695.1m","北緯34度11分7秒東経136度6分33秒﻿ / ﻿北緯34.18528度 東経136.10917度﻿ /34.18528; 136.10917座標:北緯34度11分7秒東経136度6分33秒﻿ / ﻿北緯34.18528度 東経136.10917度﻿ /34.18528; 136.10917","台高山脈","隆起準平原","","","","","","","","","","","","","",""
"吉野山","[78よしのやま吉野山奈良県858.0地理院地図Googleマップ北緯34度20分29秒東経135度53分17秒﻿ / ﻿北緯34.341406度 東経135.887930度﻿ /34.341406; 135.887930﻿ (吉野山)奈良百遊山青根ヶ峰] 吉野山 （よしのやま）は 奈良県 の中央部・ 吉野郡 吉野町 にある 吉野川（紀の川） 南岸から 大峰山脈 へと南北に続く約8 キロメートル に及ぶ 尾根 続きの山稜の総称、または 金峯山寺 を中心とした社寺が点在する地域の広域地名である。","https://ja.wikipedia.org/wiki/吉野山","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","","日本奈良県吉野郡吉野町","","","紀伊山地（大峰山脈）","","","","","","","","","","","","","","",""
"山上ヶ岳","[79さんじょうがたけ山上ヶ岳奈良県1,719.3地理院地図Googleマップ北緯34度15分09秒東経135度56分28秒﻿ / ﻿北緯34.252390度 東経135.941058度﻿ /34.252390; 135.941058﻿ (山上ヶ岳)日本三百名山一等三角点百名山金峰山大峯山寺] 大峰山 （おおみねさん）は、 奈良県 の南部にある 山 。現在では広義には 大峰山脈 を、狭義には 山上ヶ岳 （さんじょうがたけ）を指す。歴史的には「大峰山」は、大峰山脈のうち山上ヶ岳の南にある小篠（おざさ）から 熊野 までの峰々の呼び名であった。対して小篠から山上ヶ岳を含み尾根沿いに 吉野川 河岸までを 金峰山 という。","https://ja.wikipedia.org/wiki/山上ヶ岳","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"稲村ヶ岳","[80いなむらがたけ稲村ヶ岳奈良県1,726.1地理院地図Googleマップ北緯34度14分15秒東経135度55分25秒﻿ / ﻿北緯34.237625度 東経135.923634度﻿ /34.237625; 135.923634﻿ (稲村ヶ岳)奈良百遊山近畿百名山] 稲村ヶ岳 （いなむらがたけ）は、 奈良県 吉野郡 天川村 にある 大峰山脈 の 山 。 標高 1,726.1 m 、 関西百名山 の一座。女人大峯、稲邑ヶ岳とも記される  。","https://ja.wikipedia.org/wiki/稲村ヶ岳","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯34度14分15秒東経135度55分25秒","奈良県吉野郡天川村洞川","1,726.1m","北緯34度14分15秒東経135度55分25秒﻿ / ﻿北緯34.23750度 東経135.92361度﻿ /34.23750; 135.92361座標:北緯34度14分15秒東経135度55分25秒﻿ / ﻿北緯34.23750度 東経135.92361度﻿ /34.23750; 135.92361","紀伊山地","","","","","","","","","","","","","","",""
"大普賢岳","[81だいふげんだけ大普賢岳奈良県1,780.1地理院地図Googleマップ北緯34度13分40秒東経135度57分46秒﻿ / ﻿北緯34.227853度 東経135.962800度﻿ /34.227853; 135.962800﻿ (大普賢岳)奈良百遊山近畿百名山] 大普賢岳 （だいふげんだけ）は、 奈良県 の大峰山脈を形成する山の一つで、大峰縦走線歩道（ 大峯奥駈道 ）上にある。 大天井ヶ岳 から 八経ヶ岳 へ至る山脈の中間あたりに位置し、南に 国見岳 、 七曜岳 、 行者還岳 と続く。","https://ja.wikipedia.org/wiki/大普賢岳","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯34度13分40秒東経135度57分46秒","日本奈良県吉野郡","1,780m","北緯34度13分40秒東経135度57分46秒﻿ / ﻿北緯34.22778度 東経135.96278度﻿ /34.22778; 135.96278座標:北緯34度13分40秒東経135度57分46秒﻿ / ﻿北緯34.22778度 東経135.96278度﻿ /34.22778; 135.96278","大峰山脈","","","","","","","","","","","","","","",""
"八経ヶ岳","[82はっきょうがたけ八経ヶ岳奈良県1,915.1地理院地図Googleマップ北緯34度10分25秒東経135度54分27秒﻿ / ﻿北緯34.173586度 東経135.907550度﻿ /34.173586; 135.907550﻿ (八経ヶ岳)日本百名山（大峰山脈全体を指す）奈良百遊山近畿百名山八剣山仏経ヶ岳奈良県最高峰近畿最高峰] 八経ヶ岳 （はっきょうがたけ）は 紀伊山地 の一角として 奈良県 吉野郡 天川村 と 上北山村 の境に位置する 山 である。 標高 1,915 m で、奈良県および 近畿地方 の最高峰である。 八剣山 （はちけんざん）とも呼ばれるほか、 役行者 が 法華経 八巻を埋納したと伝わることから 仏経ヶ岳 （ぶっきょうがたけ）とも呼ばれる  。","https://ja.wikipedia.org/wiki/八経ヶ岳","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯34度10分25秒東経135度54分27秒","日本奈良県吉野郡天川村・上北山村","1,915m","北緯34度10分25秒東経135度54分27秒﻿ / ﻿北緯34.17361度 東経135.90750度﻿ /34.17361; 135.90750座標:北緯34度10分25秒東経135度54分27秒﻿ / ﻿北緯34.17361度 東経135.90750度﻿ /34.17361; 135.90750","紀伊山地","","","","","","","","","","","","","","",""
"釈迦ヶ岳 (奈良県)","[83しゃかがたけ釈迦ヶ岳奈良県1,799.6地理院地図Googleマップ北緯34度06分52秒東経135度54分11秒﻿ / ﻿北緯34.114325度 東経135.903111度﻿ /34.114325; 135.903111﻿ (釈迦ヶ岳)日本二百名山新日本百名山一等三角点百名山奈良百遊山近畿百名山一等三角点] 釈迦ヶ岳 （しゃかがたけ）は、 奈良県 南部の 吉野郡 十津川村 と 下北山村 の境界にある 大峰山系 の 山 。 日本二百名山 に選定されている。 標高 は1,800 mで、 近畿地方 の最高峰である 八経ヶ岳 （八剣山）より南では代表的な山。","https://ja.wikipedia.org/wiki/釈迦ヶ岳_(奈良県)","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯34度06分52秒東経135度54分11秒","奈良県吉野郡十津川村、下北山村","1,800m","北緯34度06分52秒東経135度54分11秒﻿ / ﻿北緯34.11444度 東経135.90306度﻿ /34.11444; 135.90306","大峰山系","","","","","","","","","","","","","","",""
"行者還岳","[84ぎょうじゃがえりだけ行者還岳奈良県1,546.5地理院地図Googleマップ北緯34度12分17秒東経135度56分41秒﻿ / ﻿北緯34.204678度 東経135.944820度﻿ /34.204678; 135.944820﻿ (行者還岳)奈良百遊山] 行者還岳 （ぎょうじゃがえりだけ）は、 奈良県 の 天川村 と 上北山村 にまたがる 標高 1,546mの 山 。","https://ja.wikipedia.org/wiki/行者還岳","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯34度12分17秒東経135度56分41秒","奈良県吉野郡天川村・上北山村","1,546.2m","北緯34度12分17秒東経135度56分41秒﻿ / ﻿北緯34.20472度 東経135.94472度﻿ /34.20472; 135.94472","大峰山脈","","","","","","","","","","","","","","",""
"笠捨山 (存在しないページ)","[85かさすてやま笠捨山奈良県1,352.6地理院地図Googleマップ北緯33度58分58秒東経135度53分54秒﻿ / ﻿北緯33.982804度 東経135.898319度﻿ /33.982804; 135.898319﻿ (笠捨山)奈良百遊山近畿百名山]","https://ja.wikipedia.org/w/index.php?title=笠捨山&amp;action=edit&amp;redlink=1","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"玉置山","[86画 像 募 集 中たまきさん玉置山奈良県1,076.8地理院地図Googleマップ北緯33度55分36秒東経135度49分54秒﻿ / ﻿北緯33.926584度 東経135.831617度﻿ /33.926584; 135.831617﻿ (玉置山)奈良百遊山近畿百名山一等三角点] 玉置山 （たまきさん）は、 奈良県 吉野郡 十津川村 にある 山 。 大峰山系 の最南端で標高1,076.4メートル、主に 石英斑岩 で形成される  。","https://ja.wikipedia.org/wiki/玉置山","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯33度55分36秒東経135度49分54秒","日本奈良県吉野郡十津川村","1,076.4m","北緯33度55分36秒東経135度49分54秒﻿ / ﻿北緯33.92667度 東経135.83167度﻿ /33.92667; 135.83167座標:北緯33度55分36秒東経135度49分54秒﻿ / ﻿北緯33.92667度 東経135.83167度﻿ /33.92667; 135.83167","大峰山系","","","","","","","","","","","","","","",""
"五大尊岳 (存在しないページ)","[87画 像 募 集 中ごだいそんだけ五大尊岳和歌山県825地理院地図Googleマップ北緯33度53分15秒東経135度48分12秒﻿ / ﻿北緯33.887581度 東経135.803444度﻿ /33.887581; 135.803444﻿ (五大尊岳)]","https://ja.wikipedia.org/w/index.php?title=五大尊岳&amp;action=edit&amp;redlink=1","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"龍門山","[88りゅうもんざん龍門山和歌山県755.9地理院地図Googleマップ北緯34度14分17秒東経135度24分41秒﻿ / ﻿北緯34.238005度 東経135.411366度﻿ /34.238005; 135.411366﻿ (龍門山)近畿百名山紀州富士] 龍門山 （りゅうもんざん）は、 和歌山県 紀の川市 にある 標高 755.9 m の山である。 龍門山脈 の主峰。","https://ja.wikipedia.org/wiki/龍門山","関西百名山#近畿百名山","https://ja.wikipedia.org/wiki/関西百名山#近畿百名山","表形式","北緯34度14分16.8秒東経135度24分40.8秒","日本和歌山県紀の川市","755.9m","北緯34度14分16.8秒東経135度24分40.8秒﻿ / ﻿北緯34.238000度 東経135.411333度﻿ /34.238000; 135.411333座標:北緯34度14分16.8秒東経135度24分40.8秒﻿ / ﻿北緯34.238000度 東経135.411333度﻿ /34.238000; 135.411333","龍門山脈","","","","","","","","","","","","","","",""
