"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","標高","所在地","位置","山系","種類","初登頂","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"竜王山 (讃岐山脈)","[64りゅうおうざん竜王山徳島県美馬市香川県高松市まんのう町1,059.8地理院地図Googleマップ北緯34度06分56秒東経134度02分54秒﻿ / ﻿北緯34.115455度 東経134.048205度﻿ /34.115455; 134.048205﻿ (竜王山)香川県最高峰] 竜王山 （りゅうおうざん）は 香川県 と 徳島県 の県境に位置する 標高 1059.8mの 山 である。 香川のみどり百選 に選定されている  。別名は 鷹山 。","https://ja.wikipedia.org/wiki/竜王山_(讃岐山脈)","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯34度6分55秒東経134度2分55秒","1,059.77m","香川県高松市・仲多度郡まんのう町・徳島県美馬市","北緯34度6分55秒東経134度2分55秒﻿ / ﻿北緯34.11528度 東経134.04861度﻿ /34.11528; 134.04861","讃岐山脈","","","","","","","","","","","","","","",""
"大滝山 (讃岐山脈)","[65おおたきさん大滝山香川県高松市徳島県美馬市946地理院地図Googleマップ北緯34度07分23秒東経134度07分37秒﻿ / ﻿北緯34.1231278度 東経134.127039度﻿ /34.1231278; 134.127039﻿ (大滝山)] 大滝山 （おおたきさん）は 香川県 と 徳島県 の県境に位置する 山 。 讃岐山脈 の一部で、標高は946m。讃岐山脈で3番目に高い山であり、 香川のみどり百選 にも選定されている  。山頂に 四国別格二十霊場 二十番札所の 大瀧寺 や 西照神社 （にしてるじんじゃ）があり、登山者も多い。","https://ja.wikipedia.org/wiki/大滝山_(讃岐山脈)","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯34度7分23秒東経134度7分37秒","946m","香川県高松市・徳島県美馬市","北緯34度7分23秒東経134度7分37秒﻿ / ﻿北緯34.12306度 東経134.12694度﻿ /34.12306; 134.12694座標:北緯34度7分23秒東経134度7分37秒﻿ / ﻿北緯34.12306度 東経134.12694度﻿ /34.12306; 134.12694","讃岐山脈","","","","","","","","","","","","","","",""
"大川山","[66だいせんざん大川山徳島県三好市香川県まんのう町1,042.9地理院地図Googleマップ北緯34度06分55秒東経133度56分23秒﻿ / ﻿北緯34.115143度 東経133.939649度﻿ /34.115143; 133.939649﻿ (大川山)] 大川山 （だいせんざん、おおかわやま）は、 香川県 まんのう町 （旧 琴南町 ）と 徳島県 三好市 （旧 三野町 ）の境界に位置する 讃岐山脈 に属する 山 である。標高1042.9m。 香川のみどり百選 選定。","https://ja.wikipedia.org/wiki/大川山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯34度6分54.5164秒東経133度56分22.736秒","1,059.77m","香川県まんのう町、徳島県三好市","北緯34度6分54.5164秒東経133度56分22.736秒﻿ / ﻿北緯34.115143444度 東経133.93964889度﻿ /34.115143444; 133.93964889座標:北緯34度6分54.5164秒東経133度56分22.736秒﻿ / ﻿北緯34.115143444度 東経133.93964889度﻿ /34.115143444; 133.93964889","讃岐山脈","","","","","","","","","","","","","","",""
"雲辺寺山","[67うんぺんじやま雲辺寺山香川県観音寺市徳島県三好市927地理院地図Googleマップ北緯34度02分06秒東経133度43分22秒﻿ / ﻿北緯34.0349639度 東経133.722803度﻿ /34.0349639; 133.722803﻿ (雲辺寺山)第66番札所雲辺寺] 雲辺寺山 （うんぺんじさん）は、 徳島県 三好市 （旧 池田町 ）と 香川県 観音寺市 （旧 大野原町 ）の境界に位置する 讃岐山脈 に属する 山 である。標高927m。","https://ja.wikipedia.org/wiki/雲辺寺山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯34度2分6秒東経133度43分22秒","927m","徳島県三好市、香川県観音寺市","北緯34度2分6秒東経133度43分22秒﻿ / ﻿北緯34.03500度 東経133.72278度﻿ /34.03500; 133.72278座標:北緯34度2分6秒東経133度43分22秒﻿ / ﻿北緯34.03500度 東経133.72278度﻿ /34.03500; 133.72278","讃岐山脈","","","","","","","","","","","","","","",""
"大麻山 (徳島県)","[68おおあさやま大麻山徳島県鳴門市538地理院地図Googleマップ北緯34度11分11秒東経134度29分59秒﻿ / ﻿北緯34.1863472度 東経134.499636度﻿ /34.1863472; 134.499636﻿ (大麻山)] 大麻山 （おおあさやま）は、 徳島県 鳴門市 にある 山 である。 標高 538m。別名「弥山」、「十八山」。「大麻さん」とも呼ばれる。 讃岐山脈 に属している。","https://ja.wikipedia.org/wiki/大麻山_(徳島県)","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯34度11分10秒東経134度29分57秒","538m","日本徳島県鳴門市","北緯34度11分10秒東経134度29分57秒﻿ / ﻿北緯34.18611度 東経134.49917度﻿ /34.18611; 134.49917座標:北緯34度11分10秒東経134度29分57秒﻿ / ﻿北緯34.18611度 東経134.49917度﻿ /34.18611; 134.49917","讃岐山脈","","","","","","","","","","","","","","",""
"国見山 (徳島県)","[69くにみやま国見山徳島県三好市1,409.0地理院地図Googleマップ北緯33度54分27秒東経133度47分05秒﻿ / ﻿北緯33.907541度 東経133.784674度﻿ /33.907541; 133.784674﻿ (国見山)] 国見山 （くにみやま）は、 徳島県 三好市 に位置する 山 である。 標高 1,409.0 m 。 四国百名山 選定。","https://ja.wikipedia.org/wiki/国見山_(徳島県)","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度54分27秒東経133度47分5秒","1,409.0m","徳島県三好市","北緯33度54分27秒東経133度47分5秒﻿ / ﻿北緯33.90750度 東経133.78472度﻿ /33.90750; 133.78472座標:北緯33度54分27秒東経133度47分5秒﻿ / ﻿北緯33.90750度 東経133.78472度﻿ /33.90750; 133.78472","四国山地剣山系","","","","","","","","","","","","","","",""
"寒峰","[70 *かんぽう寒峰徳島県三好市1,604.6地理院地図Googleマップ北緯33度54分07秒東経133度54分14秒﻿ / ﻿北緯33.901822度 東経133.903973度﻿ /33.901822; 133.903973﻿ (寒峰)] 寒峰 （かんぽう）は、 徳島県 三好市 に位置する 山 である。 標高 1,604.6 m 。 四国百名山 選定。","https://ja.wikipedia.org/wiki/寒峰","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度54分06.4秒東経133度54分14.2秒","1,604.6m","日本徳島県三好市","北緯33度54分06.4秒東経133度54分14.2秒﻿ / ﻿北緯33.901778度 東経133.903944度﻿ /33.901778; 133.903944座標:北緯33度54分06.4秒東経133度54分14.2秒﻿ / ﻿北緯33.901778度 東経133.903944度﻿ /33.901778; 133.903944","四国山地剣山系","","","","","","","","","","","","","","",""
"烏帽子山 (徳島県)","[71えぼしやま烏帽子山徳島県三好市1,669.9地理院地図Googleマップ北緯33度55分40秒東経133度55分37秒﻿ / ﻿北緯33.927796度 東経133.927082度﻿ /33.927796; 133.927082﻿ (烏帽子山)] 烏帽子山 （えぼしやま）は、 徳島県 三好市 に位置する 山 である。 標高 1,669.9 m 。 四国百名山 選定。","https://ja.wikipedia.org/wiki/烏帽子山_(徳島県)","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度55分41.45秒東経133度55分38.39秒","1,669.9m","日本徳島県三好市","北緯33度55分41.45秒東経133度55分38.39秒﻿ / ﻿北緯33.9281806度 東経133.9273306度﻿ /33.9281806; 133.9273306座標:北緯33度55分41.45秒東経133度55分38.39秒﻿ / ﻿北緯33.9281806度 東経133.9273306度﻿ /33.9281806; 133.9273306","四国山地剣山系","","","","","","","","","","","","","","",""
"石堂山 (徳島県)","[72 *いしどうやま石堂山徳島県三好市つるぎ町1,636地理院地図Googleマップ北緯33度56分19秒東経133度57分59秒﻿ / ﻿北緯33.9385083度 東経133.966303度﻿ /33.9385083; 133.966303﻿ (石堂山)] 石堂山 （いしどうやま）は、 徳島県 三好市 と 美馬郡 つるぎ町 にまたがり、 剣山地 の 祖谷山 系に属する 標高 1,636mの 山 である。","https://ja.wikipedia.org/wiki/石堂山_(徳島県)","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度56分19.52秒東経133度57分58.83秒","1,636m","徳島県三好市・美馬郡つるぎ町","北緯33度56分19.52秒東経133度57分58.83秒﻿ / ﻿北緯33.9387556度 東経133.9663417度﻿ /33.9387556; 133.9663417座標:北緯33度56分19.52秒東経133度57分58.83秒﻿ / ﻿北緯33.9387556度 東経133.9663417度﻿ /33.9387556; 133.9663417","四国山地","","","","","","","","","","","","","","",""
"矢筈山 (三好市・つるぎ町)","[73やはずやま矢筈山徳島県三好市つるぎ町1,848.7地理院地図Googleマップ北緯33度55分30秒東経133度58分30秒﻿ / ﻿北緯33.925053度 東経133.974905度﻿ /33.925053; 133.974905﻿ (矢筈山)] 矢筈山 （やはずやま/やはずさん）は、 四国山地 東部の 剣山地 の中の祖谷山系の盟主である。 一ノ森 に次ぐ 徳島県 第5位の高峰で 四国百名山 に選定されている  。","https://ja.wikipedia.org/wiki/矢筈山_(三好市・つるぎ町)","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度55分30秒東経133度58分30秒","1,848.7m","徳島県三好市・つるぎ町","北緯33度55分30秒東経133度58分30秒﻿ / ﻿北緯33.92500度 東経133.97500度﻿ /33.92500; 133.97500","四国山地","","","","","","","","","","","","","","",""
"黒笠山","[74 *くろがさやま黒笠山徳島県三好市つるぎ町1,700地理院地図Googleマップ北緯33度55分05秒東経134度00分12秒﻿ / ﻿北緯33.9181139度 東経134.003400度﻿ /33.9181139; 134.003400﻿ (黒笠山)] 黒笠山 （くろがさやま）は、 徳島県 三好市 と 美馬郡 つるぎ町 の境界に位置する 山 である。 標高 1,703 m 。 四国百名山 選定。","https://ja.wikipedia.org/wiki/黒笠山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度55分05.2秒東経134度00分12.2秒","1,703m","日本徳島県三好市・美馬郡つるぎ町","北緯33度55分05.2秒東経134度00分12.2秒﻿ / ﻿北緯33.918111度 東経134.003389度﻿ /33.918111; 134.003389座標:北緯33度55分05.2秒東経134度00分12.2秒﻿ / ﻿北緯33.918111度 東経134.003389度﻿ /33.918111; 134.003389","四国山地剣山系","","","","","","","","","","","","","","",""
"津志嶽","[75 *つしだけ津志嶽徳島県つるぎ町1,493.5地理院地図Googleマップ北緯33度55分54秒東経134度01分44秒﻿ / ﻿北緯33.931558度 東経134.028922度﻿ /33.931558; 134.028922﻿ (津志嶽)] 津志嶽 （つしだけ）は、 徳島県 美馬郡 つるぎ町 にあり、 祖谷山系 の東部に座する 標高 1,493.7mの 山 である  。","https://ja.wikipedia.org/wiki/津志嶽","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度55分55.85秒東経134度1分44.17秒","1,493.7m","徳島県美馬郡つるぎ町","北緯33度55分55.85秒東経134度1分44.17秒﻿ / ﻿北緯33.9321806度 東経134.0289361度﻿ /33.9321806; 134.0289361","四国山地","","","","","","","","","","","","","","",""
"土佐矢筈山","[76とさやはずやま土佐矢筈山高知県香美市徳島県三好市1,606.5地理院地図Googleマップ北緯33度48分18秒東経133度53分36秒﻿ / ﻿北緯33.804935度 東経133.893358度﻿ /33.804935; 133.893358﻿ (土佐矢筈山)] 土佐矢筈山 （とさやはずやま）は、 徳島県 三好市 と 高知県 香美市 にまたがる剣山系西部に座する 標高 1,606.6mの 山 である。 祖谷山林道笹谷線の矢筈峠から1時間ほどで登れ、剣山地の名だたる山が望め、広大なササのスロープで高山の趣を感じられる山である  。","https://ja.wikipedia.org/wiki/土佐矢筈山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度48分16.69秒東経133度53分35.26秒","1,606.6m","徳島県三好市・高知県香美市","北緯33度48分16.69秒東経133度53分35.26秒﻿ / ﻿北緯33.8046361度 東経133.8931278度﻿ /33.8046361; 133.8931278","四国山地","","","","","","","","","","","","","","",""
"綱附森","[77つなつけもり綱附森徳島県三好市高知県物部村1,643.1地理院地図Googleマップ北緯33度47分57秒東経133度56分28秒﻿ / ﻿北緯33.799125度 東経133.941245度﻿ /33.799125; 133.941245﻿ (綱附森)] 綱附森 （つなつきもり）は、 徳島県 三好市 と 高知県 香美市 の境界に位置する 山 である。 標高 1,643.1 m 。 四国百名山 選定。","https://ja.wikipedia.org/wiki/綱附森","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度48分1.46秒東経133度56分28.6秒","1,643.1m","日本徳島県三好市、高知県香美市","北緯33度48分1.46秒東経133度56分28.6秒﻿ / ﻿北緯33.8004056度 東経133.941278度﻿ /33.8004056; 133.941278座標:北緯33度48分1.46秒東経133度56分28.6秒﻿ / ﻿北緯33.8004056度 東経133.941278度﻿ /33.8004056; 133.941278","四国山地剣山系","","","","","","","","","","","","","","",""
"天狗塚","[78てんぐづか天狗塚徳島県三好市1,812地理院地図Googleマップ北緯33度49分37秒東経133度56分36秒﻿ / ﻿北緯33.8269083度 東経133.943336度﻿ /33.8269083; 133.943336﻿ (天狗塚)] 天狗塚 （てんぐづか）は、 徳島県 三好市 に位置する 山 である。 標高 1,812 m 。 四国百名山 、 とくしま88景 選定。","https://ja.wikipedia.org/wiki/天狗塚","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度49分37.24秒東経133度56分35.94秒","1,812m","日本徳島県三好市","北緯33度49分37.24秒東経133度56分35.94秒﻿ / ﻿北緯33.8270111度 東経133.9433167度﻿ /33.8270111; 133.9433167座標:北緯33度49分37.24秒東経133度56分35.94秒﻿ / ﻿北緯33.8270111度 東経133.9433167度﻿ /33.8270111; 133.9433167","四国山地剣山系","","","","","","","","","","","","","","",""
"三嶺","[79みうね/さんれい三嶺高知県香美市徳島県三好市1,893.4地理院地図Googleマップ北緯33度50分22秒東経133度59分16秒﻿ / ﻿北緯33.839401度 東経133.987666度﻿ /33.839401; 133.987666﻿ (三嶺)日本二百名山高知県最高峰] 三嶺 （みうね/さんれい）は、 高知県 と 徳島県 にまたがる 山 である。 標高 1,894 メートル   で、高知県の 最高峰 である。 日本二百名山 および 四国百名山 に選定されている。","https://ja.wikipedia.org/wiki/三嶺","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度50分22秒東経133度59分16秒","1,894m","高知県香美市・徳島県三好市","北緯33度50分22秒東経133度59分16秒﻿ / ﻿北緯33.83944度 東経133.98778度﻿ /33.83944; 133.98778","四国山地","","","","","","","","","","","","","","",""
"次郎笈","[80 *じろうぎゅう次郎笈徳島県三好市那賀町1,930.0地理院地図Googleマップ北緯33度50分35秒東経134度05分09秒﻿ / ﻿北緯33.843065度 東経134.085957度﻿ /33.843065; 134.085957﻿ (次郎笈)那賀川源流] 次郎笈 （じろうぎゅう）は、 四国山地 東部の 剣山地 に属する 山 である。山名は太郎笈と呼ばれる 剣山 に対峙することによる。 四国百名山 の一つに選定されている。一帯は 剣山国定公園 に指定されている。","https://ja.wikipedia.org/wiki/次郎笈","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度50分35秒東経134度5分10秒","1,930.0m","徳島県三好市・那賀町","北緯33度50分35秒東経134度5分10秒﻿ / ﻿北緯33.84306度 東経134.08611度﻿ /33.84306; 134.08611座標:北緯33度50分35秒東経134度5分10秒﻿ / ﻿北緯33.84306度 東経134.08611度﻿ /33.84306; 134.08611","四国山地","","","","","","","","","","","","","","",""
"剣山","[81つるぎさん剣山徳島県三好市美馬市那賀郡那賀町1,954.7地理院地図Googleマップ北緯33度51分13秒東経134度05分39秒﻿ / ﻿北緯33.853576度 東経134.094281度﻿ /33.853576; 134.094281﻿ (剣山)日本百名山新日本百名山花の百名山一等三角点百名山太郎笈徳島県最高峰] 剣山 （つるぎさん）は徳島県 三好市 東祖谷、 美馬市 木屋平 、 那賀郡 那賀町 木沢の間に位置する 標高 1,955mの 山 で、 徳島県 の最高峰である。 日本百名山 の一つに選定され、徳島県では県のシンボルとされている  。別名 太郎笈 （たろうぎゅう）と呼ばれ、南西側の 次郎笈 と対峙する。","https://ja.wikipedia.org/wiki/剣山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度51分13秒東経134度05分39秒","1,954.65m","日本徳島県三好市・美馬市・那賀郡那賀町","北緯33度51分13秒東経134度05分39秒﻿ / ﻿北緯33.85361度 東経134.09417度﻿ /33.85361; 134.09417座標:北緯33度51分13秒東経134度05分39秒﻿ / ﻿北緯33.85361度 東経134.09417度﻿ /33.85361; 134.09417","四国山地","","","","","","","","","","","","","","",""
"塔丸","[82とうのまる塔ノ丸徳島県三好市1,713.0地理院地図Googleマップ北緯33度52分01秒東経134度02分21秒﻿ / ﻿北緯33.866938度 東経134.039254度﻿ /33.866938; 134.039254﻿ (塔ノ丸)] 塔丸 （とうのまる）は、 徳島県 三好市 に位置する 山 。標高1,713.0 m 。別名は 東祖谷山 。「塔ノ丸」と書かれる事もある。 四国百名山 選定。","https://ja.wikipedia.org/wiki/塔丸","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度52分0.32秒東経134度2分20.96秒","1,713.0m","徳島県三好市","北緯33度52分0.32秒東経134度2分20.96秒﻿ / ﻿北緯33.8667556度 東経134.0391556度﻿ /33.8667556; 134.0391556座標:北緯33度52分0.32秒東経134度2分20.96秒﻿ / ﻿北緯33.8667556度 東経134.0391556度﻿ /33.8667556; 134.0391556","四国山地剣山系","","","","","","","","","","","","","","",""
"丸笹山","[83まるささやま丸笹山徳島県三好市美馬市1,711.9地理院地図Googleマップ北緯33度52分27秒東経134度05分24秒﻿ / ﻿北緯33.874221度 東経134.089867度﻿ /33.874221; 134.089867﻿ (丸笹山)花の百名山] 丸笹山 （まるささやま）は、 徳島県 三好市 ・ 美馬市 ・ 美馬郡 つるぎ町 の境界に位置する 山 である。 標高 1,711.9 m 。 花の百名山 、 四国百名山 指定。","https://ja.wikipedia.org/wiki/丸笹山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度52分27秒東経134度05分24秒","1,711.9m","徳島県三好市・美馬市・美馬郡つるぎ町","北緯33度52分27秒東経134度05分24秒﻿ / ﻿北緯33.87417度 東経134.09000度﻿ /33.87417; 134.09000","四国山地剣山系","","","","","","","","","","","","","","",""
"一ノ森","[84 *いちのもり一ノ森徳島県美馬市那賀町1,879.6地理院地図Googleマップ北緯33度51分06秒東経134度06分40秒﻿ / ﻿北緯33.851723度 東経134.111142度﻿ /33.851723; 134.111142﻿ (一ノ森)] 一ノ森 （いちのもり）は、 徳島県 美馬市 と同県 那賀郡 那賀町 の境界に位置する 山 。標高1,879.2 m 。徳島県下第4位の高峰である。 四国百名山 選定。","https://ja.wikipedia.org/wiki/一ノ森","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度51分13秒東経134度6分37.5秒","1,879.2m","徳島県美馬市、那賀町","北緯33度51分13秒東経134度6分37.5秒﻿ / ﻿北緯33.85361度 東経134.110417度﻿ /33.85361; 134.110417座標:北緯33度51分13秒東経134度6分37.5秒﻿ / ﻿北緯33.85361度 東経134.110417度﻿ /33.85361; 134.110417","四国山地剣山系","","","","","","","","","","","","","","",""
"白髪山 (高知県香美市)","[85しらがやま白髪山高知県香美市1,769.7地理院地図Googleマップ北緯33度48分36秒東経133度59分35秒﻿ / ﻿北緯33.810133度 東経133.992926度﻿ /33.810133; 133.992926﻿ (白髪山)土佐富士] 白髪山 （しらがやま）は、 高知県 香美市 （旧・ 物部村 ）に位置する 剣山 系の 標高 1,769.7mの 山 で、 四国百名山 に選ばれている。","https://ja.wikipedia.org/wiki/白髪山_(高知県香美市)","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度48分36秒東経133度59分35秒","1,769.7m","日本高知県香美市","北緯33度48分36秒東経133度59分35秒﻿ / ﻿北緯33.81000度 東経133.99306度﻿ /33.81000; 133.99306座標:北緯33度48分36秒東経133度59分35秒﻿ / ﻿北緯33.81000度 東経133.99306度﻿ /33.81000; 133.99306","四国山地剣山系","","","","","","","","","","","","","","",""
"石立山","[86いしたてやま石立山徳島県那賀町高知県香美市1,707.7地理院地図Googleマップ北緯33度47分05秒東経134度03分18秒﻿ / ﻿北緯33.784832度 東経134.054873度﻿ /33.784832; 134.054873﻿ (石立山)] 石立山 （いしだてやま）は、 徳島県 那賀町 と 高知県 香美市 の境界に位置する 山 である。 標高 1,707.7 m 。 四国百名山 選定。","https://ja.wikipedia.org/wiki/石立山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度47分6秒東経134度3分18秒","1,707.7m","徳島県那賀町、高知県香美市","北緯33度47分6秒東経134度3分18秒﻿ / ﻿北緯33.78500度 東経134.05500度﻿ /33.78500; 134.05500座標:北緯33度47分6秒東経134度3分18秒﻿ / ﻿北緯33.78500度 東経134.05500度﻿ /33.78500; 134.05500","四国山地剣山系","","","","","","","","","","","","","","",""
"権田山","[87 *ごんたやま権田山徳島県那賀町1,605.5地理院地図Googleマップ北緯33度49分15秒東経134度09分17秒﻿ / ﻿北緯33.820842度 東経134.154751度﻿ /33.820842; 134.154751﻿ (権田山)] 権田山 （ごんたやま）は、 徳島県 那賀郡 那賀町 に位置する 山 である。 標高 1,605.5 m 。 四国百名山 選定。「権太山」とも表記される。","https://ja.wikipedia.org/wiki/権田山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度49分15秒東経134度9分18秒","1,605.5m","日本徳島県那賀町","北緯33度49分15秒東経134度9分18秒﻿ / ﻿北緯33.82083度 東経134.15500度﻿ /33.82083; 134.15500座標:北緯33度49分15秒東経134度9分18秒﻿ / ﻿北緯33.82083度 東経134.15500度﻿ /33.82083; 134.15500","四国山地剣山系","","","","","","","","","","","","","","",""
"高城山 (徳島県)","[88たかしろやま高城山徳島県那賀町1,632地理院地図Googleマップ北緯33度53分29秒東経134度14分28秒﻿ / ﻿北緯33.8913444度 東経134.241014度﻿ /33.8913444; 134.241014﻿ (高城山)] 高城山 （たかしろやま）は、 徳島県 那賀郡 那賀町 と 美馬市 との境に位置する 山 である。 標高 1,627.9 m 。 四国百名山 選定。","https://ja.wikipedia.org/wiki/高城山_(徳島県)","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度53分30秒東経134度14分25秒","1,627.9m","徳島県那賀郡那賀町・美馬市","北緯33度53分30秒東経134度14分25秒﻿ / ﻿北緯33.89167度 東経134.24028度﻿ /33.89167; 134.24028座標:北緯33度53分30秒東経134度14分25秒﻿ / ﻿北緯33.89167度 東経134.24028度﻿ /33.89167; 134.24028","四国山地剣山系","","","","","","","","","","","","","","",""
"八面山 (徳島県)","[89やつらさん八面山徳島県美馬市つるぎ町1,312.3地理院地図Googleマップ北緯33度55分24秒東経134度05分59秒﻿ / ﻿北緯33.923431度 東経134.099840度﻿ /33.923431; 134.099840﻿ (八面山)] 八面山 （やつらさん）は、 徳島県 美馬市 と 美馬郡 つるぎ町 との境界に位置する 山 である。 標高 1,312.3 m 。 四国百名山 選定。","https://ja.wikipedia.org/wiki/八面山_(徳島県)","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度55分24.3秒東経134度05分59.5秒","1,312.3m","日本徳島県美馬市・美馬郡つるぎ町","北緯33度55分24.3秒東経134度05分59.5秒﻿ / ﻿北緯33.923417度 東経134.099861度﻿ /33.923417; 134.099861座標:北緯33度55分24.3秒東経134度05分59.5秒﻿ / ﻿北緯33.923417度 東経134.099861度﻿ /33.923417; 134.099861","四国山地剣山系","","","","","","","","","","","","","","",""
"東宮山","[90とうぐうさん東宮山徳島県美馬市神山町1,090.5地理院地図Googleマップ北緯33度57分19秒東経134度14分03秒﻿ / ﻿北緯33.955377度 東経134.234297度﻿ /33.955377; 134.234297﻿ (東宮山)] 東宮山 （とうぐうさん）は、 徳島県 名西郡 神山町 と 美馬市 の境界に位置する 剣山 系の 山 である。 標高 1,090.5m。 四国百名山 の一つ。","https://ja.wikipedia.org/wiki/東宮山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度57分19.3秒東経134度14分3.4秒","1,090.5m","日本徳島県美馬市・名西郡神山町","北緯33度57分19.3秒東経134度14分3.4秒﻿ / ﻿北緯33.955361度 東経134.234278度﻿ /33.955361; 134.234278座標:北緯33度57分19.3秒東経134度14分3.4秒﻿ / ﻿北緯33.955361度 東経134.234278度﻿ /33.955361; 134.234278","四国山地剣山系","","","","","","","","","","","","","","",""
"雲早山","[91くもそうやま雲早山徳島県上勝町神山町那賀町1,495.9地理院地図Googleマップ北緯33度54分21秒東経134度17分41秒﻿ / ﻿北緯33.905736度 東経134.294771度﻿ /33.905736; 134.294771﻿ (雲早山)] 雲早山 （くもさやま、通称くもそうやま）は、 徳島県 上勝町 、 神山町 、 那賀町 の境界に位置する 山 である。 標高 1,495.9 m。 四国百名山 。","https://ja.wikipedia.org/wiki/雲早山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度54分20.6秒東経134度17分41.1秒","1,495.9m","日本徳島県勝浦郡上勝町・名西郡神山町・那賀郡那賀町","北緯33度54分20.6秒東経134度17分41.1秒﻿ / ﻿北緯33.905722度 東経134.294750度﻿ /33.905722; 134.294750座標:北緯33度54分20.6秒東経134度17分41.1秒﻿ / ﻿北緯33.905722度 東経134.294750度﻿ /33.905722; 134.294750","四国山地剣山系","","","","","","","","","","","","","","",""
"高丸山 (上勝町・那賀町)","[92たかまるやま高丸山徳島県那賀町上勝町1,438.8地理院地図Googleマップ北緯33度53分13秒東経134度19分31秒﻿ / ﻿北緯33.887001度 東経134.325228度﻿ /33.887001; 134.325228﻿ (高丸山)] 高丸山 （たかまるやま）は、 徳島県 勝浦郡 上勝町 と同県 那賀郡 那賀町 の境界に位置する 山 である。 標高 1,438.8 m 。 中部山渓県立自然公園 に属する。 四国百名山 指定。高丸山東斜面は 徳島県立高丸山千年の森 として整備されている。","https://ja.wikipedia.org/wiki/高丸山_(上勝町・那賀町)","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯33度53分13秒東経134度19分30秒","1,438.8m","徳島県勝浦郡上勝町・那賀郡那賀町","北緯33度53分13秒東経134度19分30秒﻿ / ﻿北緯33.88694度 東経134.32500度﻿ /33.88694; 134.32500座標:北緯33度53分13秒東経134度19分30秒﻿ / ﻿北緯33.88694度 東経134.32500度﻿ /33.88694; 134.32500","四国山地剣山系","","","","","","","","","","","","","","",""
"高越山","[93こうつざん高越山徳島県吉野川市1,133地理院地図Googleマップ北緯34度01分02秒東経134度11分46秒﻿ / ﻿北緯34.0172306度 東経134.195997度﻿ /34.0172306; 134.195997﻿ (高越山)阿波富士] 高越山 （こうつさん）は、 徳島県 吉野川市 に位置する 山 である。 標高 1,133m。別名「 阿波 富士 」と呼ばれ、地元民からは「オコーツァン」と呼ばれている。 四国百名山 。","https://ja.wikipedia.org/wiki/高越山","四国百名山","https://ja.wikipedia.org/wiki/四国百名山","表形式","北緯34度01分02秒東経134度11分45秒","1,133m","日本徳島県吉野川市","北緯34度01分02秒東経134度11分45秒﻿ / ﻿北緯34.01722度 東経134.19583度﻿ /34.01722; 134.19583座標:北緯34度01分02秒東経134度11分45秒﻿ / ﻿北緯34.01722度 東経134.19583度﻿ /34.01722; 134.19583","剣山地","","","","","","","","","","","","","","",""
