"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","地図","指定文化財","城郭構造","築城主","遺構","別名","築城年","主な城主","史跡","廃城年","形状","規模","築造時期","天守構造","出土品","時代","主な改修者"
"平出遺跡","[平出遺跡（ひらいでいせき）〔塩尻市〕] 平出遺跡 （ひらいでいせき）は、 長野県 塩尻市 宗賀 平出にある 縄文時代 から 平安時代 にかけての集落 遺跡 。国指定の 史跡 である  。古代住居が復元され、 塩尻市立平出博物館 ・平出遺跡公園ガイダンス棟が整備されている。","https://ja.wikipedia.org/wiki/平出遺跡","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯36度06分12.94秒 東経137度56分31.53秒","","","","","","","","","","","","","","","","","","",""
"梨久保遺跡","[梨久保遺跡（なしくぼいせき）〔岡谷市〕] 梨久保遺跡 （なしくぼいせき）は、 長野県 岡谷市 長地にある 縄文時代 の集落 遺跡 である。 1984年 （昭和59年） 1月11日 に国の 史跡 に指定され  、 1986年 （昭和61年） 6月16日 に追加指定が行われた    。また、出土品を含めて 日本遺産 「星降る中部高地の縄文世界－数千年を遡る 黒曜石 鉱山と 縄文人 に出会う旅－」の構成文化財にも選定されている。","https://ja.wikipedia.org/wiki/梨久保遺跡","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯36度05分18秒東経138度03分34秒","長野県岡谷市","","","","","","","","","","","","","","","","","縄文時代",""
"高島藩主諏訪家墓所","[高島藩主諏訪家墓所（たかしまはんしゅすわけぼしょ）（温泉寺 (諏訪市)墓所、頼岳寺(茅野市)墓所）〔諏訪市・茅野市〕] 高島藩主諏訪家墓所 （たかしまはんしゅすわけぼしょ）は、 長野県 諏訪市 および 茅野市 にある、 江戸時代 の 諏訪高島藩 を治めた 諏訪氏 の歴代藩主の墓所である。 2017年 （ 平成 25年） 2月9日 、国の 史跡 に指定された  。","https://ja.wikipedia.org/wiki/高島藩主諏訪家墓所","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯36度03分01秒 東経138度07分09秒","","","","","","","","","","","","","","","","","","",""
"星ヶ塔黒曜石原産地遺跡","[星ヶ塔黒曜石原産地遺跡（ほしがとうこくようせきげんさんちいせき）〔諏訪郡下諏訪町〕] 星ヶ塔黒曜石原産地遺跡 （ほしがとうこくようせきげんさんちいせき）は、 長野県 諏訪郡 下諏訪町 にある 縄文時代 の遺跡  。2015年（平成27年）3月10日、 国史跡 に指定された。また、 日本遺産 『星降る中部高地の縄文世界』の構成文化財にも認定されている  。","https://ja.wikipedia.org/wiki/星ヶ塔黒曜石原産地遺跡","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯36度06分12秒 東経138度06分36秒","","","","","","","","","","","","","","","","","","",""
"上之段石器時代遺跡","[上之段石器時代遺跡（うえのだんせっきじだいいせき）〔茅野市〕] 上之段石器時代遺跡 （うえのだんせっきじだいいせき）は、 長野県 の 八ヶ岳 ・ 蓼科山 の山麓（ 茅野市 北山湯川）にある、 縄文時代 の代表的な 遺跡 。 1942年 10月14日に国史跡に指定された  。","https://ja.wikipedia.org/wiki/上之段石器時代遺跡","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯36度02分37秒 東経138度13分38秒","","","","","","","","","","","","","","","","","","",""
"駒形遺跡","[駒形遺跡（こまがたいせき）〔茅野市〕] 駒形遺跡 （こまがたいせき）は、 長野県 茅野市 米沢北大塩にある 縄文時代 を中心とする 遺跡 。国の 史跡 に指定されている。また2018年（平成30年）に 日本遺産 ストーリー『星降る中部高地の縄文世界-数千年を遡る黒曜石鉱山と縄文人に出会う旅-』の構成文化財の1つに認定された  。","https://ja.wikipedia.org/wiki/駒形遺跡","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯36度02分22秒 東経138度11分21秒","","","","","","","","","","","","","","","","","","",""
"阿久遺跡","[阿久遺跡（あきゅういせき）〔諏訪郡原村〕] 阿久遺跡 （あきゅういせき）は、 長野県 諏訪郡 原村 に所在する 縄文時代 の 遺跡 であり、現在のところ最古級の 環状集石 が構築されている。 配石 遺構ともいう。 1979年 （昭和54年）7月2日、国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/阿久遺跡","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯35度57分53秒東経138度11分18秒","日本長野県諏訪郡原村","","","","","","","","","","","","","","","","","縄文時代",""
"井戸尻遺跡","[井戸尻遺跡（いどじりいせき）〔諏訪郡富士見町〕] 現在は公園内に 井戸尻考古館 があり、出土品を展示している。","https://ja.wikipedia.org/wiki/井戸尻遺跡","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯35度52分40.0秒 東経138度16分44.92秒","〒399-0101長野県諏訪郡富士見町境７０５３（富士見町歴史民俗資料館は長野県諏訪郡富士見町境７０５4）","","","","","","","","","","","","","","","","","",""
"高遠城","[高遠城跡（たかとおじょうあと）〔伊那市（旧高遠町）〕] 高遠城 （たかとおじょう）は、 長野県 伊那市 高遠町 （旧・ 信濃国 伊那郡 （のち 上伊那郡 ）  高遠）にある 日本の城 跡。兜山城の別名をもつ。 サクラ の名所としても有名であり、特に珍しい品種である タカトオコヒガン 1,500本の樹林が名高い。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/高遠城","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯35度49分59.08秒東経138度3分46.09秒","","北緯35度49分59.08秒東経138度3分46.09秒﻿ / ﻿北緯35.8330778度 東経138.0628028度﻿ /35.8330778; 138.0628028座標:北緯35度49分59.08秒東経138度3分46.09秒﻿ / ﻿北緯35.8330778度 東経138.0628028度﻿ /35.8330778; 138.0628028","高遠城","国の史跡","平山城","不明","石垣、土塁、空堀、門","兜山城","不明","高遠氏、秋山氏、武田氏、仁科氏、下條氏、保科氏、毛利氏、京極氏、鳥居氏、内藤氏","","1872年（明治5年）","","","","なし","","","武田信玄"
"神坂峠遺跡","[神坂峠遺跡（みさかとうげいせき）〔下伊那郡阿智村〕] 神坂峠遺跡 （みさかとうげいせき）は、 長野県 下伊那郡 阿智村 にある 神坂峠 の 祭祀遺跡 。遺跡は1972年に全国初の峠祭祀遺跡として長野県史跡に指定され、1981年9月4日には 国史跡 に指定された  。発掘された遺物は現在、阿智村の中央公民館に保管・展示されている。","https://ja.wikipedia.org/wiki/神坂峠遺跡","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯35度28分16秒 東経137度37分58秒","","","","","","","","","","","","","","","","","","",""
"福島関所","[福島関跡（ふくしませきあと）〔木曽郡木曽町（旧木曽福島町）〕] 福島関所 （ふくしませきしょ）は、 中山道 にあった 関所 の一つ。諸国関所一覧表によると、福島（福島関所）は、所在地が 信濃国 筑摩郡 で、管理者が 山村甚兵衛家 、管理者身分が 尾張藩 代官 であった。また、関所の最重とされ、東海道の 今切関所 、 箱根関所 と同等の扱いであった  。現在は 長野県 木曾郡 木曽町 福島。 関所 は、宿場の北入口にあった。","https://ja.wikipedia.org/wiki/福島関所","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯35度85分06.9秒 東経137度70分25.4秒","","","","","","","","","","","","","","","","","","",""
"飯田古墳群","[飯田古墳群（いいだこふんぐん）〔飯田市〕2016年10月3日] 飯田古墳群 （いいだこふんぐん）は、 長野県 飯田市 にある 古墳群 。13基が国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/飯田古墳群","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"恒川官衙遺跡","[恒川官衙遺跡（ごんがかんがいせき）〔飯田市〕2016年10月3日] 恒川官衙遺跡 （ごんがかんがいせき）は、 長野県 飯田市 にある、 奈良時代 から 平安時代 にかけての 官衙 遺跡 。 2014年 （平成26年）3月18日に一部が国の 史跡 となり、2年後の 2016年 （平成28年）10月3日に一部範囲が追加指定された  。","https://ja.wikipedia.org/wiki/恒川官衙遺跡","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯35度30分53秒 東経137度49分19秒","","","","","","","","","","","","","","","","","","",""
"関ヶ原の戦い","[関ヶ原古戦場 附 徳川家康最初陣地 徳川家康最後陣地 石田三成陣地 岡山烽火場 大谷吉隆墓 東首塚 西首塚（せきがはらこせんじょう つけたりとくがわいえやすさいしょのじんち とくがわいえやすさいごのじんち いしだみつなりじんち おかやまほうかじょう おおたによしたかはか ひがしくびづか にしくびづか）〔不破郡関ケ原町〕] 関ヶ原の戦い （せきがはらのたたかい）は、 安土桃山時代 の 慶長 5年 9月15日 （ 西暦 1600年 10月21日 ）に、 美濃国 不破郡 関ヶ原（ 岐阜県 不破郡 関ケ原町 ）を主戦場として行われた野戦。関ヶ原における決戦を中心に日本の全国各地で 戦闘 が行われ、 関ヶ原の合戦 、 関ヶ原合戦 とも呼ばれる  。合戦当時は 南北朝時代 の古戦場・「 青野原 」や「青野カ原」と書かれた文献もある   。","https://ja.wikipedia.org/wiki/関ヶ原の戦い","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯35度22分14秒 東経136度27分42秒","","","","","","","","","","","","","","","","","","",""
"垂井一里塚","[垂井一里塚（たるいいちりづか）〔不破郡垂井町〕] 垂井一里塚 （たるいいちりづか）は、 岐阜県 不破郡 垂井町 にある 一里塚 である。 中山道 沿いに設置され、 日本橋 から112里にある。南側の1基のみが現存している。中山道の一里塚で国の 史跡 に指定されている2件のうちの1つである（他の1件は志村一里塚）。一里塚の整備以前に行われた 関ヶ原の戦い では、この場所に 浅野幸長 が陣をかまえた。","https://ja.wikipedia.org/wiki/垂井一里塚","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯35度22分14.6秒東経136度30分42.2秒","","","","","","","","","","","","","","","","","","",""
"美濃国府跡","[美濃国府跡（みのこくふあと）〔不破郡垂井町〕] 美濃国府跡 （みのこくふあと）は 岐阜県 不破郡 垂井町 府中に所在する古代の 官衙 遺跡 である。","https://ja.wikipedia.org/wiki/美濃国府跡","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"昼飯大塚古墳","[昼飯大塚古墳（ひるいおおつかこふん）〔大垣市〕2000年5月19日] 昼飯大塚古墳 （ひるいおおつかこふん）は、 岐阜県 大垣市 昼飯町にある 古墳 。形状は 前方後円墳 。不破古墳群を構成する古墳の1つ。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/昼飯大塚古墳","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯35度23分15.29秒東経136度34分17.49秒","岐阜県大垣市昼飯町字大塚（昼飯大塚古墳歴史公園内）","北緯35度23分15.29秒東経136度34分17.49秒﻿ / ﻿北緯35.3875806度 東経136.5715250度﻿ /35.3875806; 136.5715250﻿ (昼飯大塚古墳)座標:北緯35度23分15.29秒東経136度34分17.49秒﻿ / ﻿北緯35.3875806度 東経136.5715250度﻿ /35.3875806; 136.5715250﻿ (昼飯大塚古墳)","昼飯大塚古墳坊の塚古墳琴塚古墳","","","","","","","","国の史跡「昼飯大塚古墳」","","前方後円墳","墳丘長150m高さ13m（後円部）","4世紀末","","副葬品・供献儀礼品・埴輪片・土器片","",""
"美濃国分寺","[美濃国分寺跡（みのこくぶんじあと）〔大垣市〕] 美濃国分寺 （みのこくぶんじ）は、 岐阜県 大垣市 青野町にある 寺院 。 高野山真言宗 の 準別格本山 、 西美濃三十三霊場 満願札所。山号は金銀山。 本尊 は 薬師如来 。","https://ja.wikipedia.org/wiki/美濃国分寺","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯35度23分13.05秒東経136度33分6.53秒","岐阜県大垣市青野町419","北緯35度23分13.05秒東経136度33分6.53秒﻿ / ﻿北緯35.3869583度 東経136.5518139度﻿ /35.3869583; 136.5518139﻿ (美濃国分寺)座標:北緯35度23分13.05秒東経136度33分6.53秒﻿ / ﻿北緯35.3869583度 東経136.5518139度﻿ /35.3869583; 136.5518139﻿ (美濃国分寺)","","","","","","","","","","","","","","","","",""
"西高木家陣屋","[西高木家陣屋跡（にしたかぎけじんやあと）〔大垣市〕2014年10月6日] 西高木家陣屋 （にしたかぎけじんや）は 岐阜県 大垣市 上石津町（旧 養老郡 上石津町 ）（ 美濃国 石津郡 ）多良郷にあった 平城 である。別名、多良城、多羅城、高木陣屋とも称する。陣屋跡は、 2014年 （ 平成 26年）10月6日に「西高木家陣屋跡」（にしたかぎけじんやあと）として、国の史跡に指定された。","https://ja.wikipedia.org/wiki/西高木家陣屋","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"東町田墳墓群","[東町田墳墓群（ひがしちょうだふんぼぐん）〔大垣市〕2017年2月9日] 東町田墳墓群 （ひがしちょうだふんぼぐん）は、 岐阜県 大垣市 昼飯町（ひるいちょう）字東町田にある 弥生時代 から 古墳時代 にかけての墳墓群。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/東町田墳墓群","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"船来山古墳群","[船来山古墳群（ふなきやまこふんぐん） 〔本巣市〕2018年] 船来山古墳群 （ふなきやまこふんぐん）は 岐阜県 本巣市 と 岐阜市 にまたがる船来山および郡府山上にある 古墳時代 前期から後期にかけて形成された 群集墳 。国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/船来山古墳群","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯35度28分30.2秒東経136度41分03.5秒","岐阜県本巣市・岐阜市","","","","","","","","","","","","","","","","","",""
"千本松原 (岐阜県)","[油島千本松締切堤（あぶらじませんぼんまつしめきりづつみ）〔海津市〕] 千本松原 （せんぼんまつばら）は 岐阜県 海津市 海津町 油島にある 松 が植えられた 堤防 。 木曽三川 （ 木曽川 ・ 長良川 ・ 揖斐川 ）の 三川分流工事 に伴い、分流堤に約1000本の松が植えられた。 油島千本松締切堤 ともいい  、 1940年 （昭和15年） 7月12日 に国の 史跡 に指定された  。岐阜県の「千本松原県立自然公園」（面積42 ha ）である  。","https://ja.wikipedia.org/wiki/千本松原_(岐阜県)","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯35度8分20秒 東経136度40分8秒","","","","","","","","","","","","","","","","","","",""
"野古墳群","[野古墳群（のこふんぐん）〔揖斐郡大野町〕] 野古墳群 （のこふんぐん）は、 岐阜県 揖斐郡 大野町 にある 古墳 群。5世紀 - 6世紀の古墳という。","https://ja.wikipedia.org/wiki/野古墳群","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","","岐阜県揖斐郡大野町大字野","","","","","","","","","","国の史跡「野古墳群」","","古墳群","1km四方","5世紀中葉~6世紀初頭","","埴輪、刀、銅鏡、馬具、鏃、木器","",""
"老洞・朝倉須恵器窯跡","[老洞・朝倉須恵器窯跡（おいぼら・あさくらすえきかまあと）〔岐阜市〕] 老洞・朝倉須恵器窯跡 （おいぼらあさくらすえきかまあと）は 岐阜県 岐阜市 芥見の諏訪山西麓にある 須恵器 の窯跡群。西北側の老洞古窯跡群と南西側の朝倉古窯跡群に大別される。岐阜市、 各務原市 および 関市 に分布する美濃須衛窯跡群の支群でその西端に位置する。国の 史跡 に指定されており、出土物の一部は考古資料として 重要文化財 に指定されている。","https://ja.wikipedia.org/wiki/老洞・朝倉須恵器窯跡","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"加納城","[加納城跡（かのうじょうあと）〔岐阜市〕] 加納城 （かのうじょう）は、 岐阜県 岐阜市 加納 丸の内にあった 日本の城 である。 徳川家康 による 天下普請 によって築かれた 平城 で、 江戸時代 には 加納藩 藩主家の居城となった。城跡は 加納城跡 （かのうじょうあと）として国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/加納城","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯35度23分58.58秒東経136度45分37.22秒","","北緯35度23分58.58秒東経136度45分37.22秒﻿ / ﻿北緯35.3996056度 東経136.7603389度﻿ /35.3996056; 136.7603389","加納城","国の史跡","平城","奥平信昌","石垣、堀跡","","慶長7年（1602年）","奥平氏、戸田氏、安藤氏、永井氏","","明治4年（1871年）","","","","御三階櫓（独立式層塔型3重4階（1602年）非現存）","","",""
"岐阜城","[岐阜城跡（ぎふじょうあと）〔岐阜市〕] 岐阜城 （ぎふじょう）は、 美濃国 井之口の山（ 稲葉山 （現・ 岐阜県 岐阜市 の 金華山 ））にあった 城 （ 山城跡 ）。もとは稲葉山城と言い、 鎌倉時代 以来の歴史があり  、本格的に整備されたのは 戦国時代 の 斎藤道三 の時期だと考えられ、 織田信長 が1567年の 稲葉山城の戦い により 斎藤龍興 から奪取し、本拠地を小牧山から当城へと移し、その 縄張り を破却して新たに造営したものが岐阜城である。『 信長公記 』に「 尾張国 小真木山 より濃州稲葉山へ御越しなり。井口と申すを今度改めて、岐阜と名付けさせられ」と記載されており、ここから天下布武、天下統一をおこなうという意味をこめて、信長が山頂にある城や麓にある町などを「井口」から「岐阜」へと改名したことにより「岐阜城」と呼ばれることになった。 ","https://ja.wikipedia.org/wiki/岐阜城","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯35度26分2.66秒東経136度46分55.97秒","","北緯35度26分2.66秒東経136度46分55.97秒﻿ / ﻿北緯35.4340722度 東経136.7822139度﻿ /35.4340722; 136.7822139座標:北緯35度26分2.66秒東経136度46分55.97秒﻿ / ﻿北緯35.4340722度 東経136.7822139度﻿ /35.4340722; 136.7822139","岐阜城","国指定の史跡","山城","二階堂行政","曲輪、石垣、土塁、堀切","稲葉山城、金華山城、井口城","1201年（建仁元年）","斎藤氏、織田氏","","1600年（慶長5年）","","","","不明・非現存独立式望楼型3重4階（RC造復興・1956年再建）","","","織田信長"
"琴塚古墳","[琴塚古墳（ことづかこふん）〔岐阜市〕] 琴塚古墳 （ことづかこふん）は、 岐阜県 岐阜市 にある 前方後円墳 。岐阜県内では3番目の大きさである（1位は大垣市の 昼飯大塚古墳 ）。5世紀頃の古墳である。 1934年 （ 昭和 9年） 8月9日 、国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/琴塚古墳","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯35度25分5.47秒東経136度48分53.07秒","岐阜県岐阜市琴塚3-5-37","北緯35度25分5.47秒東経136度48分53.07秒﻿ / ﻿北緯35.4181861度 東経136.8147417度﻿ /35.4181861; 136.8147417","昼飯大塚古墳坊の塚古墳琴塚古墳","","","","","","","","1934年（昭和9年）国指定","","前方後円墳（二重壕あり）","全長115m後円部高さ10.5m","5世紀","","埴輪、勾玉、金環耳環など","",""
"弥勒寺官衙遺跡","[弥勒寺官衙遺跡（みろくじかんがいせき）〔関市〕] 弥勒寺官衙遺跡 （みろくじかんがいせき）、または 弥勒寺官衙遺跡群 （みろくじかんがいせきぐん）は、 岐阜県 関市 池尻にある 遺跡 である。 弥勒寺跡 の東に隣接することから 弥勒寺東遺跡 とも呼ばれる。国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/弥勒寺官衙遺跡","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯35度30分20秒東経136度53分37秒","岐阜県関市池尻","","","","","","","","","","","","","","","","","",""
"弥勒寺跡 (関市)","[弥勒寺跡（みろくじあと）〔関市〕] 弥勒寺跡 （みろくじあと）は、 岐阜県 関市 池尻にある 廃寺 跡である。 弥勒寺官衙遺跡群 の1つとして国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/弥勒寺跡_(関市)","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯35度30分22.9秒 東経136度53分39.3秒","","","","","","","","","","","","","","","","","","",""
"美濃市","[丸山古窯跡（まるやまこようあと）〔美濃市〕] 美濃市 （みのし）は、 岐阜県 、 中濃 地方の中央に位置する 市 。","https://ja.wikipedia.org/wiki/美濃市","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯35度32分41.1秒東経136度54分27.2秒","〒501-3792岐阜県美濃市1350番地北緯35度32分41.1秒東経136度54分27.2秒﻿ / ﻿北緯35.544750度 東経136.907556度﻿ /35.544750; 136.907556座標:北緯35度32分41.1秒東経136度54分27.2秒﻿ / ﻿北緯35.544750度 東経136.907556度﻿ /35.544750; 136.907556","","","","","","","","","","","","","","","","","",""
"長塚古墳","[長塚古墳（ながつかこふん）〔可児市〕] 長塚古墳 （ながつかこふん）とは、 岐阜県 可児市 にある 前方後円墳 。 古墳時代 中期（5世紀前半）築造されたと考えられている。","https://ja.wikipedia.org/wiki/長塚古墳","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯35度25分51.3秒東経137度4分6.9秒","岐阜県可児市中恵土中野1990-1","北緯35度25分51.3秒東経137度4分6.9秒﻿ / ﻿北緯35.430917度 東経137.068583度﻿ /35.430917; 137.068583","","","","","","","","","昭和31年（1956年）国の史跡に指定","","前方後円墳","全長72m、高さ約7m","4世紀後半","","石釧、管玉、琥珀玉、ガラス玉","",""
"金山城 (美濃国)","[美濃金山城跡（みのかねやまじょうあと）〔可児市〕] 金山城 （かねやまじょう）は 美濃国 可児郡 （現在の 岐阜県 可児市 兼山）に存在した 日本の城 （ 山城 ）。城跡は「美濃金山城跡」（みのかねやまじょうあと）として、2013年に国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/金山城_(美濃国)","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯35度27分23.93秒東経137度5分50.34秒","","北緯35度27分23.93秒東経137度5分50.34秒﻿ / ﻿北緯35.4566472度 東経137.0973167度﻿ /35.4566472; 137.0973167","美濃金山城","国の史跡","梯郭式山城","斎藤正義","移築門、石垣、土塁、堀、井戸跡、石碑","兼山城、烏峰城、烏ヶ峰城","天文6年（1537年）","斉藤氏、森氏、石川氏","","慶長5年（1600年）","","","","複合式層塔型2重2階・非現存","","","斎藤正義"
"乙塚古墳","[乙塚古墳附 段尻巻古墳（おとづかこふん つけたり だんじりまきこふん）〔土岐市〕] 乙塚古墳 （おとつかこふん）は 岐阜県 土岐市 泉町久尻にある古墳時代後期の方墳で、東濃地方最大級の石室を有する。もとは 円墳 とみられていたため、資料によってはそのように記述されているものがある。付近にある段尻巻古墳とともに国の史跡に指定されている。","https://ja.wikipedia.org/wiki/乙塚古墳","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","","岐阜県土岐市泉町久尻1167","","","","","","","","","","1938年（昭和13年）国の史跡","","方墳","直径約20m","7世紀前葉から中葉","","須恵器、土師器、勾玉など","",""
"元屋敷陶器窯跡","[元屋敷陶器窯跡（もとやしきとうきかまあと）〔土岐市〕] 元屋敷陶器窯跡 （もとやしきとうきかまあと）は、 岐阜県 土岐市 久尻にある 江戸時代 初期の陶器 窯跡 。岐阜県内最古の 連房式登窯 がある。国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/元屋敷陶器窯跡","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯35度21分56秒東経137度10分34秒","日本岐阜県土岐市","","","","","","","","","","","","","","","","","戦国時代-江戸時代",""
"正家廃寺","[正家廃寺跡（しょうげはいじあと）〔恵那市〕] 正家廃寺 （しょうげはいじ）は、 美濃国 恵那郡 （現在の 岐阜県 恵那市 ）にかつて存在した古代仏教寺院。 奈良時代 に創建され 平安時代 中期には廃絶したと考えられ、 法隆寺 式伽藍配置の堂塔の遺構が残る。寺名が不明のため、正家廃寺と呼ばれている。寺跡は昭和34年（1959年）に岐阜県史跡に、平成13年（2001年）に国の 史跡 に指定されている  。","https://ja.wikipedia.org/wiki/正家廃寺","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"苗木城","[苗木城跡（なえぎじょうあと）〔中津川市〕] 苗木城 （なえぎじょう）は、 岐阜県 中津川市 にあった 日本の城 。別名は霞ケ城。 苗木藩 の藩庁が置かれた。国の 史跡 に指定されている。","https://ja.wikipedia.org/wiki/苗木城","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯35度30分47.52秒東経137度29分6.94秒","","北緯35度30分47.52秒東経137度29分6.94秒﻿ / ﻿北緯35.5132000度 東経137.4852611度﻿ /35.5132000; 137.4852611","苗木城","国の史跡","山城","遠山正廉","石垣、堀、井戸、門部材","霞ヶ城赤壁城","","遠山氏森氏川尻氏","","1871年（明治4年）","","","","不明","","",""
"中山道","[中山道（なかせんどう）〔岐阜県中津川市・可児郡御嵩町・長野県小県郡長和町・木曽郡南木曽町〕] 中山道 （なかせんどう）は、 江戸時代 に整備された 五街道 の1つで、 江戸 の 日本橋 と 京都 の 三条大橋 を内陸経由で結ぶ街道である   。「 中仙道 」、「 仲仙道  」とも表記するほか、「 木曾街道 」や「 木曽路  」の異称も有した。","https://ja.wikipedia.org/wiki/中山道","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"赤保木瓦窯跡","[赤保木瓦窯跡（あかほぎかわらかまあと）〔高山市〕] 赤保木瓦窯跡 （あかほぎかわらかまあと/あかほぎがようあと）は 岐阜県 高山市 赤保木町釜洞の 見量山 （みはかやま）東南斜面にある 奈良時代 の 瓦 の 窯跡 。ここで生産された瓦は 飛騨国分寺 で用いられたことが知られている。1976年（昭和51年）11月9日付けで国の 史跡 に指定された  。","https://ja.wikipedia.org/wiki/赤保木瓦窯跡","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯36度09分39秒東経137度13分11秒","日本岐阜県高山市","","","","","","","","","","","","","","","","","奈良時代",""
"高山陣屋","[高山陣屋跡（たかやまじんやあと）〔高山市〕] 高山陣屋 （たかやまじんや）は、 江戸幕府 が 飛騨国 を 直轄領 として管理するために設置した 代官所 ・ 飛騨郡代 役所（ 陣屋 ）。現在の 岐阜県 高山市 八軒町に置かれた。","https://ja.wikipedia.org/wiki/高山陣屋","中部地方の史跡一覧","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","箇条書き,制限あり","北緯36度8分22.9秒 東経137度15分27.1秒","","","","","","","","","","","","","","","","","","",""
