"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","駅構造","開業年月日","所在地","ホーム","駅番号","備考","電報略号","乗降人員,-統計年度-","乗車人員,-統計年度-","乗換","通称","国","種類","起点","終点","駅数"
"黒川駅 (愛知県)","黒川駅 (愛知県)（くろかわえき・名古屋市営地下鉄名城線）","https://ja.wikipedia.org/wiki/黒川駅_(愛知県)","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度11分50秒東経136度54分37秒","名城線","2.8 km（大曽根起点）","名古屋市交通局（名古屋市営地下鉄）","地下駅","1971年（昭和46年）12月20日[2]","名古屋市北区城見通3丁目13北緯35度11分50秒東経136度54分37秒﻿ / ﻿北緯35.19722度 東経136.91028度﻿ /35.19722; 136.91028座標:北緯35度11分50秒東経136度54分37秒﻿ / ﻿北緯35.19722度 東経136.91028度﻿ /35.19722; 136.91028","1面2線","M09","","","28,882[1]人/日-2019年-","14,574人/日（降車客含まず）-2019年-","","","","","","",""
"能勢電鉄妙見の森ケーブル","黒川駅 (兵庫県)（くろかわえき・能勢電鉄妙見の森ケーブル）","https://ja.wikipedia.org/wiki/能勢電鉄妙見の森ケーブル","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","","","","","","","兵庫県川西市","","","","","","","","妙見の森ケーブル","日本","鋼索鉄道（単線2両交走式）","黒川駅","ケーブル山上駅","2駅"
"黒川駅 (香川県)","黒川駅 (香川県)（くろかわえき・四国旅客鉄道土讃線）","https://ja.wikipedia.org/wiki/黒川駅_(香川県)","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯34度7分59.5秒東経133度49分12秒","■土讃線","21.6 km（多度津起点）","四国旅客鉄道（JR四国）","地上駅","1961年（昭和36年）10月1日","香川県仲多度郡まんのう町新目北緯34度7分59.5秒東経133度49分12秒﻿ / ﻿北緯34.133194度 東経133.82000度﻿ /34.133194; 133.82000﻿ (黒川駅)","1面1線","○D17","無人駅","クロ","40[1]人/日-2019年-","","","","","","","",""
"黒子駅","黒子駅（くろごえき）","https://ja.wikipedia.org/wiki/黒子駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯36度14分50.63秒東経139度58分30.5秒","常総線","43.6 km（取手起点）","関東鉄道","地上駅","1913年（大正2年）11月1日[2]","茨城県筑西市辻1520-3北緯36度14分50.63秒東経139度58分30.5秒﻿ / ﻿北緯36.2473972度 東経139.975139度﻿ /36.2473972; 139.975139﻿ (黒子駅)座標:北緯36度14分50.63秒東経139度58分30.5秒﻿ / ﻿北緯36.2473972度 東経139.975139度﻿ /36.2473972; 139.975139﻿ (黒子駅)","2面3線","","無人駅","","156人/日-2019年[1]-","","","","","","","",""
"黒川駅 (佐賀県)","黒川駅 (佐賀県)（くろごうえき・松浦鉄道西九州線）","https://ja.wikipedia.org/wiki/黒川駅_(佐賀県)","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯33度11分41.77秒東経129度51分19.61秒","■西九州線","2.8 km（有田起点）","松浦鉄道","地上駅","1997年（平成9年）3月22日","佐賀県西松浦郡有田町黒川北緯33度11分41.77秒東経129度51分19.61秒","1面1線","","","","78人/日-2017年-","35人/日（降車客含まず）-2017年-","","","","","","",""
"黒坂駅","黒坂駅（くろさかえき）","https://ja.wikipedia.org/wiki/黒坂駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度12分23.39秒東経133度23分0.61秒","V伯備線","103.7km（倉敷起点）岡山から119.6 km","西日本旅客鉄道（JR西日本）","地上駅","1922年（大正11年）11月10日","鳥取県日野郡日野町黒坂字上堀1573北緯35度12分23.39秒東経133度23分0.61秒﻿ / ﻿北緯35.2064972度 東経133.3835028度﻿ /35.2064972; 133.3835028﻿ (黒坂駅)","2面2線","","無人駅","クカ","48人/日-2018年-","","","","","","","",""
"黒崎駅","黒崎駅（くろさきえき）","https://ja.wikipedia.org/wiki/黒崎駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯33度52分0.6秒東経130度45分58.07秒","","","九州旅客鉄道（JR九州・駅詳細）日本貨物鉄道（JR貨物・駅詳細）筑豊電気鉄道（筑豊電鉄・駅詳細）","","","北九州市八幡西区黒崎三丁目15-1北緯33度52分0.6秒東経130度45分58.07秒﻿ / ﻿北緯33.866833度 東経130.7661306度﻿ /33.866833; 130.7661306﻿ (黒崎駅)座標:北緯33度52分0.6秒東経130度45分58.07秒﻿ / ﻿北緯33.866833度 東経130.7661306度﻿ /33.866833; 130.7661306﻿ (黒崎駅)","","","","","","","","","","","","",""
"黒崎駅","黒崎駅前駅（くろさきえきまええき）","https://ja.wikipedia.org/wiki/黒崎駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯33度52分0.6秒東経130度45分58.07秒","","","九州旅客鉄道（JR九州・駅詳細）日本貨物鉄道（JR貨物・駅詳細）筑豊電気鉄道（筑豊電鉄・駅詳細）","","","北九州市八幡西区黒崎三丁目15-1北緯33度52分0.6秒東経130度45分58.07秒﻿ / ﻿北緯33.866833度 東経130.7661306度﻿ /33.866833; 130.7661306﻿ (黒崎駅)座標:北緯33度52分0.6秒東経130度45分58.07秒﻿ / ﻿北緯33.866833度 東経130.7661306度﻿ /33.866833; 130.7661306﻿ (黒崎駅)","","","","","","","","","","","","",""
"黒笹駅","黒笹駅（くろざさえき）","https://ja.wikipedia.org/wiki/黒笹駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","","豊田線","7.1km（赤池起点）上小田井から27.5 km","名古屋鉄道","高架駅","1979年（昭和54年）7月29日","","相対式 2面2線","TT  04 ","無人駅（駅集中管理システム導入駅）","","3,311人/日-2019年[1]-","","","","","","","",""
"黒沢駅 (秋田県横手市)","黒沢駅 (秋田県横手市)（くろさわえき・東日本旅客鉄道北上線）","https://ja.wikipedia.org/wiki/黒沢駅_(秋田県横手市)","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯39度16分34.3秒東経140度41分58.7秒","■北上線","44.3 km（北上起点）","東日本旅客鉄道（JR東日本）","地上駅","1921年（大正10年）11月27日[1][2]","秋田県横手市山内黒沢字蒲坂57北緯39度16分34.3秒東経140度41分58.7秒座標:北緯39度16分34.3秒 東経140度41分58.7秒","1面2線","","無人駅[3]","ロワ","","","","","","","","",""
"黒沢駅 (秋田県由利本荘市)","黒沢駅 (秋田県由利本荘市)（くろさわえき・由利高原鉄道鳥海山ろく線）","https://ja.wikipedia.org/wiki/黒沢駅_(秋田県由利本荘市)","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯39度19分13.29秒東経140度5分36.23秒","鳥海山ろく線","9.5 km（羽後本荘起点）","由利高原鉄道","地上駅","1922年（大正11年）8月1日[1]","秋田県由利本荘市黒沢北緯39度19分13.29秒東経140度5分36.23秒﻿ / ﻿北緯39.3203583度 東経140.0933972度﻿ /39.3203583; 140.0933972﻿ (黒沢駅)座標:北緯39度19分13.29秒東経140度5分36.23秒﻿ / ﻿北緯39.3203583度 東経140.0933972度﻿ /39.3203583; 140.0933972﻿ (黒沢駅)","1面1線","","","クロ","10人/日-2018年-","","","","","","","",""
"黒田駅 (愛知県)","黒田駅 (愛知県)（くろだえき・名古屋鉄道名古屋本線）","https://ja.wikipedia.org/wiki/黒田駅_(愛知県)","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度21分1秒東経136度46分39秒","名古屋本線","92.1 km（豊橋起点）","名古屋鉄道","地上駅","1936年（昭和11年）9月15日","愛知県一宮市木曽川町黒田西針口北ノ切12-4北緯35度21分1秒東経136度46分39秒﻿ / ﻿北緯35.35028度 東経136.77750度﻿ /35.35028; 136.77750座標:北緯35度21分1秒東経136度46分39秒﻿ / ﻿北緯35.35028度 東経136.77750度﻿ /35.35028; 136.77750","2面2線","NH  54 ","無人駅（駅集中管理システム導入駅）","","2,287人/日-2019年[1]-","","","","","","","",""
"黒田駅 (奈良県)","黒田駅 (奈良県)（くろだえき・近鉄田原本線）","https://ja.wikipedia.org/wiki/黒田駅_(奈良県)","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯34度34分6.5秒東経135度46分38.94秒","I田原本線","8.1 km（新王寺起点）","近畿日本鉄道（近鉄）","地平駅","1918年（大正7年）4月26日","奈良県磯城郡田原本町大字黒田277-2345北緯34度34分6.5秒東経135度46分38.94秒﻿ / ﻿北緯34.568472度 東経135.7774833度﻿ /34.568472; 135.7774833座標:北緯34度34分6.5秒東経135度46分38.94秒﻿ / ﻿北緯34.568472度 東経135.7774833度﻿ /34.568472; 135.7774833","1面1線"," I37 ","無人駅","クロタ","","414人/日（降車客含まず）-2018年-","","","","","","",""
"黒田庄駅","黒田庄駅（くろだしょうえき）","https://ja.wikipedia.org/wiki/黒田庄駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度1分21.28秒東経134度59分32.74秒","I加古川線","38.5 km（加古川起点）","西日本旅客鉄道（JR西日本）","地上駅","1924年（大正13年）12月27日","兵庫県西脇市黒田庄町岡643北緯35度1分21.28秒東経134度59分32.74秒﻿ / ﻿北緯35.0225778度 東経134.9924278度﻿ /35.0225778; 134.9924278﻿ (黒田庄駅)","1面1線","","無人駅","クロ","","32人/日（降車客含まず）-2019年-","","","","","","",""
"黒田原駅","黒田原駅（くろだはらえき）","https://ja.wikipedia.org/wiki/黒田原駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯37度1分22.21秒東経140度7分10.47秒","■東北本線","171.5 km（東京起点）","東日本旅客鉄道（JR東日本）","地上駅","1891年（明治24年）9月1日","栃木県那須郡那須町大字寺子丙2北緯37度1分22.21秒東経140度7分10.47秒座標:北緯37度1分22.21秒 東経140度7分10.47秒","2面2線","","業務委託駅","ロハ","","440人/日（降車客含まず）-2019年-","","","","","","",""
"黒薙駅","黒薙駅（くろなぎえき）","https://ja.wikipedia.org/wiki/黒薙駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯36度47分11.7秒東経137度37分29.1秒","黒部峡谷鉄道本線","6.5 km（宇奈月起点）","黒部峡谷鉄道","地上駅","1953年11月16日","富山県黒部市宇奈月町音澤北緯36度47分11.7秒東経137度37分29.1秒﻿ / ﻿北緯36.786583度 東経137.624750度﻿ /36.786583; 137.624750﻿ (黒薙駅*)座標:北緯36度47分11.7秒東経137度37分29.1秒﻿ / ﻿北緯36.786583度 東経137.624750度﻿ /36.786583; 137.624750﻿ (黒薙駅*)","1面1線","","","","","","","","","","","",""
"黒姫駅","黒姫駅（くろひめえき）","https://ja.wikipedia.org/wiki/黒姫駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","","■北しなの線","28.9 km（長野起点）","しなの鉄道","地上駅[3]","1888年（明治21年）5月1日[1]","","2面3線[1][2]","","業務委託駅[4][5]標高：671.8m[6]","ヒメ[1]シワ（改称前）","","270人/日（降車客含まず）-2018年-","","","","","","",""
"黒部駅","黒部駅（くろべえき）","https://ja.wikipedia.org/wiki/黒部駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯36度52分12.74秒東経137度26分3.61秒","■あいの風とやま鉄道線","73.4 km（倶利伽羅起点）金沢から91.2 km米原から267.8 km","あいの風とやま鉄道日本貨物鉄道（JR貨物）","地上駅","1910年（明治43年）4月16日","富山県黒部市天神新5北緯36度52分12.74秒東経137度26分3.61秒﻿ / ﻿北緯36.8702056度 東経137.4343361度﻿ /36.8702056; 137.4343361座標:北緯36度52分12.74秒東経137度26分3.61秒﻿ / ﻿北緯36.8702056度 東経137.4343361度﻿ /36.8702056; 137.4343361","2面3線","","直営駅みどりの窓口有*1956年に三日市駅から改称。","クロミチ（三日市駅時代）","","1,337人/日（降車客含まず）-2019年-","","","","","","",""
"黒部宇奈月温泉駅","黒部宇奈月温泉駅（くろべうなづきおんせんえき）","https://ja.wikipedia.org/wiki/黒部宇奈月温泉駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","","","","西日本旅客鉄道（JR西日本・駅詳細）富山地方鉄道（駅詳細）","","","富山県黒部市若栗","","","","","","","","","","","","",""
"黒部川第四発電所","黒部川第四発電所前駅（くろべがわだいよんはつでんしょまええき）","https://ja.wikipedia.org/wiki/黒部川第四発電所","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"黒部湖駅","黒部湖駅（くろべこえき）","https://ja.wikipedia.org/wiki/黒部湖駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯36度33分59.86秒東経137度39分31.13秒","黒部ケーブルカー（鋼索線）","0.0 km（黒部湖起点）","立山黒部貫光","地下駅","1969年（昭和44年）7月20日","富山県中新川郡立山町北緯36度33分59.86秒東経137度39分31.13秒","2面1線","","標高：1,455m","","","","関西電力関電トンネル電気バス黒部ダム駅（徒歩15分）","","","","","",""
"黒部平駅","黒部平駅（くろべだいらえき）","https://ja.wikipedia.org/wiki/黒部平駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯36度34分0.39秒東経137度39分0.54秒","黒部ケーブルカー（鋼索線）","0.8 km（黒部湖起点）","立山黒部貫光","地下駅（ケーブルカー）地上駅（ロープウェイ）","1969年（昭和44年）7月20日","富山県中新川郡立山町北緯36度34分0.39秒東経137度39分0.54秒﻿ / ﻿北緯36.5667750度 東経137.6501500度﻿ /36.5667750; 137.6501500﻿ (黒部平駅)","","","標高：1,828m","","","","","","","","","",""
"黒部ダム駅","黒部ダム駅（くろべダムえき）","https://ja.wikipedia.org/wiki/黒部ダム駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯36度34分0秒東経137度39分58.2秒","関電トンネル電気バス","6.1 km（扇沢起点）","関西電力","地下駅","1964年（昭和39年）8月1日[1]","富山県中新川郡立山町芦峅寺北緯36度34分0秒東経137度39分58.2秒﻿ / ﻿北緯36.56667度 東経137.666167度﻿ /36.56667; 137.666167﻿ (黒部ダム駅)座標:北緯36度34分0秒東経137度39分58.2秒﻿ / ﻿北緯36.56667度 東経137.666167度﻿ /36.56667; 137.666167﻿ (黒部ダム駅)","","","標高：1,470mキロ程はトロリーバス時代のものトロリーバスから電気バスへの転換により、現在はバス停留所となっている。","","","","立山黒部貫光黒部ケーブルカー黒部湖駅（徒歩15分）","","","","","",""
"黒松駅 (宮城県)","黒松駅 (宮城県)（くろまつえき・仙台市地下鉄南北線）","https://ja.wikipedia.org/wiki/黒松駅_(宮城県)","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯38度18分12.03秒東経140度53分11.34秒","■南北線","2.5 km（泉中央起点）","仙台市交通局（仙台市地下鉄）","地上駅（半地下駅）","1987年（昭和62年）7月15日","仙台市泉区旭丘堤二丁目22-1北緯38度18分12.03秒東経140度53分11.34秒﻿ / ﻿北緯38.3033417度 東経140.8864833度﻿ /38.3033417; 140.8864833座標:北緯38度18分12.03秒東経140度53分11.34秒﻿ / ﻿北緯38.3033417度 東経140.8864833度﻿ /38.3033417; 140.8864833","1面2線","○N03","","","8,484[1]人/日-2019年-","4,274人/日（降車客含まず）-2019年-","","","","","","",""
"黒松駅 (島根県)","黒松駅 (島根県)（くろまつえき・西日本旅客鉄道山陰本線）","https://ja.wikipedia.org/wiki/黒松駅_(島根県)","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度3分23.36秒東経132度18分47.6秒","D山陰本線","443.6 km（京都起点）","西日本旅客鉄道（JR西日本）","地上駅","1918年（大正7年）11月25日","島根県江津市黒松町355北緯35度3分23.36秒東経132度18分47.6秒﻿ / ﻿北緯35.0564889度 東経132.313222度﻿ /35.0564889; 132.313222﻿ (黒松駅)","1面2線","","無人駅","クロ","","17人/日（降車客含まず）-2018年-","","","","","","",""
"黒松内駅","黒松内駅（くろまつないえき）","https://ja.wikipedia.org/wiki/黒松内駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯42度40分10.59秒東経140度18分20.53秒","■函館本線","132.3 km（函館起点）","北海道旅客鉄道（JR北海道）","地上駅","1903年（明治36年）11月3日","北海道寿都郡黒松内町字黒松内北緯42度40分10.59秒東経140度18分20.53秒座標:北緯42度40分10.59秒 東経140度18分20.53秒","2面3線","○S30","無人駅","マツ","120人/日-2014年-","","","","","","","",""
"黒山駅","黒山駅（くろやまえき）","https://ja.wikipedia.org/wiki/黒山駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯37度56分14.85秒東経139度14分30.25秒","■白新線","18.0 km（新潟起点）","東日本旅客鉄道（JR東日本）日本貨物鉄道（JR貨物）","地上駅","1957年（昭和32年）2月11日[1]","新潟市北区太田[1]2314北緯37度56分14.85秒東経139度14分30.25秒座標:北緯37度56分14.85秒 東経139度14分30.25秒","2面2線[1]","","無人駅[1]（自動券売機 有）","クヤ","","192人/日（降車客含まず）-2010年-","","","","","","",""
"桑川駅","桑川駅（くわがわえき）","https://ja.wikipedia.org/wiki/桑川駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯38度22分30.55秒東経139度27分31.8秒","■羽越本線","78.3 km（新津起点）","東日本旅客鉄道（JR東日本）","地上駅","1924年（大正13年）7月31日","新潟県村上市桑川892-5北緯38度22分30.55秒東経139度27分31.8秒座標:北緯38度22分30.55秒 東経139度27分31.8秒","2面3線","","無人駅（自動券売機 有）","クカ","","","","","","","","",""
"国土交通省立山砂防工事専用軌道","桑谷駅（くわだにえき）","https://ja.wikipedia.org/wiki/国土交通省立山砂防工事専用軌道","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"桑名駅","桑名駅（くわなえき）","https://ja.wikipedia.org/wiki/桑名駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","","","","東海旅客鉄道（JR東海・駅詳細）近畿日本鉄道（近鉄・駅詳細）養老鉄道（駅詳細）","","","三重県桑名市大字東方","","","","","","","西桑名駅（三岐鉄道北勢線）","","","","","",""
"桑名川駅","桑名川駅（くわながわえき）","https://ja.wikipedia.org/wiki/桑名川駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯36度58分32.84秒東経138度27分29.29秒","■飯山線","37.6 km（豊野起点）","東日本旅客鉄道（JR東日本）","地上駅","1923年（大正12年）7月6日[1]","長野県飯山市大字照岡[1]北緯36度58分32.84秒東経138度27分29.29秒﻿ / ﻿北緯36.9757889度 東経138.4581361度﻿ /36.9757889; 138.4581361﻿ (桑名川駅)座標:北緯36度58分32.84秒東経138度27分29.29秒﻿ / ﻿北緯36.9757889度 東経138.4581361度﻿ /36.9757889; 138.4581361﻿ (桑名川駅)","1面2線[1]","","無人駅[1]標高：303.7m[2]","クワ[2]","","16人/日（降車客含まず）-2011年-","","","","","","",""
"桑野駅","桑野駅（くわのえき）","https://ja.wikipedia.org/wiki/桑野駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯33度52分28.93秒東経134度36分47.21秒","■牟岐線","32.6 km（徳島起点）","四国旅客鉄道（JR四国）","地上駅","1936年（昭和11年）3月27日","徳島県阿南市桑野町岡元4北緯33度52分28.93秒東経134度36分47.21秒﻿ / ﻿北緯33.8747028度 東経134.6131139度﻿ /33.8747028; 134.6131139座標:北緯33度52分28.93秒東経134度36分47.21秒﻿ / ﻿北緯33.8747028度 東経134.6131139度﻿ /33.8747028; 134.6131139","2面2線","○M15","無人駅","クワ","238[1]人/日-2019年-","","","","","","","",""
"桑町駅","桑町駅（くわまちえき）","https://ja.wikipedia.org/wiki/桑町駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯34度45分15.79秒東経136度8分11.24秒","■伊賀線","5.8 km（伊賀上野起点）","伊賀鉄道","地上駅","1922年（大正11年）7月18日","三重県伊賀市四十九町北緯34度45分15.79秒東経136度8分11.24秒﻿ / ﻿北緯34.7543861度 東経136.1364556度﻿ /34.7543861; 136.1364556座標:北緯34度45分15.79秒東経136度8分11.24秒﻿ / ﻿北緯34.7543861度 東経136.1364556度﻿ /34.7543861; 136.1364556","1面1線","","無人駅","","","109人/日（降車客含まず）-2019年-","","","","","","",""
"神水交差点停留場","神水交差点停留場（くわみずこうさてんていりゅうじょう）","https://ja.wikipedia.org/wiki/神水交差点停留場","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","","健軍線（■A系統・■B系統）","1.5km（水前寺公園起点）田崎橋から7.7 km","熊本市交通局","地上駅","1945年（昭和20年）5月6日","","2面2線","□22","","","1,385人/日-2015年-","","","","","","","",""
"栗田駅","栗田駅（くんだえき）","https://ja.wikipedia.org/wiki/栗田駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯35度32分37.71秒東経135度14分7.45秒","宮津線（宮舞線）*","20.2 km（西舞鶴起点）","WILLER TRAINS（京都丹後鉄道）","地上駅","1924年（大正13年）4月12日[1]","京都府宮津市上司384-2北緯35度32分37.71秒東経135度14分7.45秒﻿ / ﻿北緯35.5438083度 東経135.2354028度﻿ /35.5438083; 135.2354028﻿ (栗田駅)座標:北緯35度32分37.71秒東経135度14分7.45秒﻿ / ﻿北緯35.5438083度 東経135.2354028度﻿ /35.5438083; 135.2354028﻿ (栗田駅)","2面2線","M13","有人駅（簡易委託駅）*1990年西日本旅客鉄道から移管[1]","クン","","183人/日（降車客含まず）-2019年-","","","","","","",""
"郡中駅","郡中駅（ぐんちゅうえき）","https://ja.wikipedia.org/wiki/郡中駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯33度45分38.21秒東経132度42分14.08秒","郡中線","10.7 km（松山市起点）","伊予鉄道","地上駅","1896年（明治29年）7月4日","愛媛県伊予市下吾川北緯33度45分38.21秒東経132度42分14.08秒﻿ / ﻿北緯33.7606139度 東経132.7039111度﻿ /33.7606139; 132.7039111﻿ (郡中駅)","1面1線","●IY34","","","1,032人/日-2019年-","","","","","","","",""
"郡中港駅","郡中港駅（ぐんちゅうこうえき）","https://ja.wikipedia.org/wiki/郡中港駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯33度45分21.79秒東経132度42分7.66秒","郡中線","11.3 km（松山市起点）","伊予鉄道","地上駅","1939年（昭和14年）5月10日","愛媛県伊予市米湊北緯33度45分21.79秒東経132度42分7.66秒﻿ / ﻿北緯33.7560528度 東経132.7021278度﻿ /33.7560528; 132.7021278﻿ (郡中港駅)","1面1線","●IY35","","","1,017人/日-2019年-","","JR伊予市駅（■予讃線）","","","","","",""
"国縫駅","国縫駅（くんぬいえき）","https://ja.wikipedia.org/wiki/国縫駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯42度26分21.6秒東経140度19分15.2秒","■函館本線","102.8 km（函館起点）","北海道旅客鉄道（JR北海道）","地上駅","1903年（明治36年）11月3日","北海道山越郡長万部町字国縫北緯42度26分21.6秒東経140度19分15.2秒﻿ / ﻿北緯42.439333度 東経140.320889度﻿ /42.439333; 140.320889﻿ (国縫駅)","2面3線","○H49","無人駅","クニ","8人/日-2014年-","","","","","","","",""
"群馬大津駅","群馬大津駅（ぐんまおおつえき）","https://ja.wikipedia.org/wiki/群馬大津駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","","■吾妻線","44.2 km（渋川起点）","東日本旅客鉄道（JR東日本）","地上駅","1971年（昭和46年）3月7日[1]","","1面1線[1]","","無人駅[1]標高：629m","クオ","","86人/日（降車客含まず）-2011年-","","","","","","",""
"群馬総社駅","群馬総社駅（ぐんまそうじゃえき）","https://ja.wikipedia.org/wiki/群馬総社駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯36度24分56.91秒東経139度1分56.66秒","■上越線（■吾妻線直通含む）","12.1 km（高崎起点）","東日本旅客鉄道（JR東日本）","地上駅","1921年（大正10年）7月1日","群馬県前橋市総社町植野588北緯36度24分56.91秒東経139度1分56.66秒﻿ / ﻿北緯36.4158083度 東経139.0324056度﻿ /36.4158083; 139.0324056﻿ (群馬総社駅)座標:北緯36度24分56.91秒東経139度1分56.66秒﻿ / ﻿北緯36.4158083度 東経139.0324056度﻿ /36.4158083; 139.0324056﻿ (群馬総社駅)","2面2線","","業務委託駅みどりの窓口有","ソヤ","","1,725人/日（降車客含まず）-2019年-","","","","","","",""
"群馬原町駅","群馬原町駅（ぐんまはらまちえき）","https://ja.wikipedia.org/wiki/群馬原町駅","日本の鉄道駅一覧_く-け","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_く-け","箇条書き,制限あり","北緯36度34分18.18秒東経138度49分27.76秒","■吾妻線","22.9 km（渋川起点）","東日本旅客鉄道（JR東日本）","地上駅","1945年（昭和20年）8月5日[1]","群馬県吾妻郡東吾妻町大字原町627北緯36度34分18.18秒東経138度49分27.76秒座標:北緯36度34分18.18秒 東経138度49分27.76秒","1面1線","","無人駅（自動券売機 有）","クン","","488人/日（降車客含まず）-2015年-","","","","","","",""
