"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","標高","山系","種類","初登頂","最新噴火","最高峰","上位山系","延長","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden","Hidden"
"守門岳","[69守門岳すもんだけ1,537m新潟県ヒメシャガ地理院地図Google Map成層火山] 守門岳 （すもんだけ）は、 新潟県 魚沼市 、 三条市 、 長岡市 にまたがる第四紀火山である。標高は袴岳の1537.2m。 日本二百名山 の一つでもある。","https://ja.wikipedia.org/wiki/守門岳","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯37度24分0秒東経139度8分0秒","新潟県魚沼市・三条市・長岡市","北緯37度24分0秒東経139度8分0秒﻿ / ﻿北緯37.40000度 東経139.13333度﻿ /37.40000; 139.13333座標:北緯37度24分0秒東経139度8分0秒﻿ / ﻿北緯37.40000度 東経139.13333度﻿ /37.40000; 139.13333","1,537.2m","越後山脈","成層火山","","","","","","","","","","","","","",""
"浅草岳","[70浅草岳あさくさだけ1,585m福島県新潟県タニギキョウヒメサユリ地理院地図Google Map日本三百名山] 浅草岳 （あさくさだけ）は、 越後山脈 に位置し、 新潟県 魚沼市 、 福島県 南会津郡 只見町 にまたがる第四紀火山である。標高1,585.5m。一等 三角点 「浅草岳」設置。 越後三山只見国定公園 に属する。","https://ja.wikipedia.org/wiki/浅草岳","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯37度20分36.9秒東経139度14分00.8秒","日本新潟県魚沼市・福島県南会津郡只見町","北緯37度20分36.9秒東経139度14分00.8秒﻿ / ﻿北緯37.343583度 東経139.233556度﻿ /37.343583; 139.233556座標:北緯37度20分36.9秒東経139度14分00.8秒﻿ / ﻿北緯37.343583度 東経139.233556度﻿ /37.343583; 139.233556","1,585.5m","越後山脈","成層火山","","","","","","","","","","","","","",""
"日倉山","[71日倉山ひぐらやま844m新潟県ユキツバキ地理院地図Google Map日本平山]","https://ja.wikipedia.org/w/index.php?title=日倉山&amp;action=edit&amp;redlink=1","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"角田山","[72角田山かくだやま482m新潟県スカシユリ地理院地図Google Map長者原山] 角田山 （かくだやま）は、 新潟県 新潟市 西蒲区 にある 標高 481.7 m の 山 。 長者原山 とも言われる。","https://ja.wikipedia.org/wiki/角田山","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯37度46分50秒東経138度50分12秒","日本新潟県新潟市西蒲区","北緯37度46分50秒東経138度50分12秒﻿ / ﻿北緯37.78056度 東経138.83667度﻿ /37.78056; 138.83667座標:北緯37度46分50秒東経138度50分12秒﻿ / ﻿北緯37.78056度 東経138.83667度﻿ /37.78056; 138.83667","481.7m","弥彦山塊","","","","","","","","","","","","","","",""
"金北山","[73金北山きんぽくさん1,172m新潟県イワカガミ地理院地図Google Map佐渡島日本三百名山] 金北山 （きんぽくさん）は、 新潟県 佐渡市 にある 山 。標高1,171.9mと、島内で最も高い山である。 大佐渡山地 のほぼ中央に位置する。","https://ja.wikipedia.org/wiki/金北山","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯38度06分14秒東経138度20分59秒","新潟県佐渡市","北緯38度06分14秒東経138度20分59秒﻿ / ﻿北緯38.10389度 東経138.34972度﻿ /38.10389; 138.34972","1,171.9m","大佐渡山地","","","","","","","","","","","","","","",""
"早月尾根","[74早月尾根はやつきおね1,921m富山県ベニバナイチゴ地理院地図Google Map(三角点の位置)剱岳、馬場島中部山岳国立公園]","https://ja.wikipedia.org/w/index.php?title=早月尾根&amp;action=edit&amp;redlink=1","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"大日連峰","[75大日連峰だいにちれんぽう2,611m富山県タマガワホトトギスカライトソウウサギギク地理院地図Google Map奥大日岳大日岳中部山岳国立公園日本二百名山] 大日連峰 （だいにちれんぽう）は、 飛騨山脈 （北アルプス） 立山連峰 のうち、主 稜線 から派生して 尾根 をなす 山 群。 大日連山 （だいにちれんざん）ともいう。","https://ja.wikipedia.org/wiki/大日連峰","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯36度35分54秒東経137度34分51秒","富山県","北緯36度35分54秒東経137度34分51秒﻿ / ﻿北緯36.59833度 東経137.58083度﻿ /36.59833; 137.58083座標:北緯36度35分54秒東経137度34分51秒﻿ / ﻿北緯36.59833度 東経137.58083度﻿ /36.59833; 137.58083","","","","","","奥大日岳（2,611m）","飛騨山脈（立山連峰）","","","","","","","","","",""
"太郎兵衛平","[76太郎兵衛平たろべえだいら2,330m富山県ミズバショウ地理院地図Google Map太郎平小屋薬師岳太郎山中部山岳国立公園] 太郎兵衛平 （たろうべえだいら）とは、 富山県 富山市 の 立山連峰 中の 太郎山 の周囲にある、標高2,300mあたりに位置する高原である。 ミズバショウ 群生地として 新・花の百名山 に選ばれている  。","https://ja.wikipedia.org/wiki/太郎兵衛平","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"北ノ俣岳","[77北ノ俣岳きたのまただけ2,662m岐阜県富山県ミヤマキンポウゲ地理院地図Google Mapチングルマハクサンイチゲ上ノ岳中部山岳国立公園] 北ノ俣岳 （きたのまただけ）は、 富山市 と 飛騨市 にまたがる 飛騨山脈 の 標高 2,662 m の 山 である。別名は、 上ノ岳 （かみのだけ）。","https://ja.wikipedia.org/wiki/北ノ俣岳","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯36度25分16秒東経137度30分44秒","日本富山県富山市岐阜県飛騨市","北緯36度25分16秒東経137度30分44秒﻿ / ﻿北緯36.42111度 東経137.51222度﻿ /36.42111; 137.51222座標:北緯36度25分16秒東経137度30分44秒﻿ / ﻿北緯36.42111度 東経137.51222度﻿ /36.42111; 137.51222","2,662m","飛騨山脈（立山連峰）","","","","","","","","","","","","","","",""
"医王山","[78医王山いおうぜん939m石川県富山県ベニバナイチヤクソウ地理院地図Google Map奥医王山日本三百名山] 医王山 （いおうぜん）  は、 石川県 金沢市 と 富山県 南砺市 にまたがる 標高 939 m の 山塊 である。白兀山、奥医王山及び前医王山などの山塊の総称で、最高点の 奥医王山 には 一等三角点 が設置されている  。 日本三百名山  及び 新・花の百名山  に選定されている。","https://ja.wikipedia.org/wiki/医王山","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯36度30分46秒東経136度47分46秒","石川県金沢市富山県南砺市","北緯36度30分46秒東経136度47分46秒﻿ / ﻿北緯36.51278度 東経136.79611度﻿ /36.51278; 136.79611","939.07m","両白山地","","719年（泰澄大師）","","","","","","","","","","","","",""
"白山","[79白山はくさん2,702m石川県岐阜県ハクサンコザクラモミジカラマツハクサンチドリ地理院地図Google Mapハクサンフウロ、ハクサンシャクナゲ白山国立公園花の百名山日本百名山、新日本百名山石川県の最高峰日本の山一覧 (高さ順)(第90位)] 白山 （はくさん）は、 日本 の 北陸地方 、 白山国立公園 内  の 石川県 白山市 と 岐阜県 大野郡 白川村 にまたがる 標高 2,702 m の 活火山 である。","https://ja.wikipedia.org/wiki/白山","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯36度09分18秒東経136度46分17秒","日本石川県白山市岐阜県大野郡白川村","北緯36度09分18秒東経136度46分17秒﻿ / ﻿北緯36.15500度 東経136.77139度﻿ /36.15500; 136.77139座標:北緯36度09分18秒東経136度46分17秒﻿ / ﻿北緯36.15500度 東経136.77139度﻿ /36.15500; 136.77139","2,702.14m","両白山地","成層火山（活火山ランクC）","717年 （泰澄上人）","","","","","","","","","","","","",""
"笠ヶ岳","[80笠ヶ岳かさがたけ2,897m岐阜県シナノキンバイミヤマダイコンソウヒメレンゲ地理院地図Google Mapササユリ、コバイケイソウミヤマトリカブト中部山岳国立公園日本百名山] 笠ヶ岳 （かさがたけ）は、 岐阜県 高山市 にある 飛騨山脈 の 標高 2,898 m の 山 である   。 中部山岳国立公園 内にあり  、 日本百名山  及び 新・花の百名山  に選定されている。","https://ja.wikipedia.org/wiki/笠ヶ岳","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯36度18分56秒東経137度33分01秒","日本岐阜県高山市","北緯36度18分56秒東経137度33分01秒﻿ / ﻿北緯36.31556度 東経137.55028度﻿ /36.31556; 137.55028座標:北緯36度18分56秒東経137度33分01秒﻿ / ﻿北緯36.31556度 東経137.55028度﻿ /36.31556; 137.55028","2,897.48m","飛騨山脈","氷食尖峰","1683年（円空開山）","","","","","","","","","","","","",""
"弓張山地","[81弓張山地ゆみはりさんち63m愛知県静岡県チゴユリミカワバイケイソウキリンソウ地理院地図Google Map葦毛湿原] 弓張山地 （ゆみはりさんち）は、 赤石山脈 の南側の 愛知県 豊橋市 ・ 新城市 と 静岡県 湖西市 ・ 浜松市 北区 にまたがる 山地 。 八名弓張山地 （やなゆみはりさんち）とも呼ばれる  。","https://ja.wikipedia.org/wiki/弓張山地","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯34度55分58秒東経137度39分2秒","日本静岡県・愛知県","北緯34度55分58秒東経137度39分2秒﻿ / ﻿北緯34.93278度 東経137.65056度﻿ /34.93278; 137.65056座標:北緯34度55分58秒東経137度39分2秒﻿ / ﻿北緯34.93278度 東経137.65056度﻿ /34.93278; 137.65056","","","","","","鳶ノ巣山（706m）","","50km","","","","","","","","",""
"猿投山","[82猿投山さなげやま629m愛知県センボンヤリ地理院地図Google Map東海自然歩道] 猿投山 （さなげやま）は、 愛知県 豊田市 と 瀬戸市 にまたがる 標高 629 m の 山 である。","https://ja.wikipedia.org/wiki/猿投山","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯35度12分21秒東経137度10分01秒","愛知県豊田市・瀬戸市","北緯35度12分21秒東経137度10分01秒﻿ / ﻿北緯35.20583度 東経137.16694度﻿ /35.20583; 137.16694","628.92m","美濃三河高原","隆起（花崗岩）","","","","","","","","","","","","","",""
"藤原岳","[83藤原岳ふじわらだけ1,140m三重県滋賀県フクジュソウヒロハアマナアワコバイモエンレイソウ地理院地図Google Mapセツブンソウ、カタクリエイザンスミレ花の百名山日本三百名山鈴鹿セブンマウンテン] 藤原岳 （ふじわらだけ）は 鈴鹿国定公園 の 三重県 いなべ市 と 滋賀県 東近江市 との境界にある 山 。 標高 1,144 m  。 鈴鹿山脈 の北部に位置し、 日本三百名山 及び 関西百名山 、 花の百名山 に選定されている。","https://ja.wikipedia.org/wiki/藤原岳","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯35度09分31秒東経136度27分10秒","日本三重県いなべ市滋賀県東近江市","北緯35度09分31秒東経136度27分10秒﻿ / ﻿北緯35.15861度 東経136.45278度﻿ /35.15861; 136.45278座標:北緯35度09分31秒東経136度27分10秒﻿ / ﻿北緯35.15861度 東経136.45278度﻿ /35.15861; 136.45278","1,144m","鈴鹿山脈","堆積岩（石灰岩）","","","","","","","","","","","","","",""
"大杉谷","[84大杉谷おおすぎたに1,695m三重県奈良県ササユリイワチドリ地理院地図Google Map多雨地帯大台ヶ原日本百名山、新日本百名山] 大杉谷 （おおすぎだに）は、 三重県 多気郡 大台町 の 宮川 上流、 吉野熊野国立公園 内にある 渓谷 。日本国の 天然記念物 （天然保護区域）に指定されている。","https://ja.wikipedia.org/wiki/大杉谷","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯34度12分45秒 東経136度9分40秒","","","","","","","","","","","","","","","","","","",""
"熊野路","[85熊野路くまのじ546m和歌山県奈良県三重県センブリ地理院地図Google Map世界遺産(文化遺産)、熊野古道)熊野那智大社]","https://ja.wikipedia.org/w/index.php?title=熊野路&amp;action=edit&amp;redlink=1","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"冷水山","[86冷水山ひやみずやま546m和歌山県奈良県イワナンテン地理院地図Google Map果無山脈] 冷水山 （ひやみずさん、ひやみずやま、れいすいざん）","https://ja.wikipedia.org/wiki/冷水山","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"伊吹山","[87伊吹山いぶきやま1,377m滋賀県イブキジャコウソウ地理院地図Google Mapイブキトラノオ、イブキボウフウイブキフウロ伊吹山ドライブウェイ日本百名山滋賀県の最高峰] 伊吹山 （いぶきやま〈いぶきさん〉  ）は、 滋賀県 米原市 、 岐阜県 揖斐郡 揖斐川町 、 不破郡 関ケ原町 にまたがる 伊吹山地 の主峰（ 最高峰 ） 標高 1,377 m の 山 である  。 一等三角点 が置かれている山頂部は滋賀県米原市に属し  、 滋賀県最高峰 の山であり、山域は 琵琶湖国定公園 に指定されている  。","https://ja.wikipedia.org/wiki/伊吹山","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯35度25分04秒東経136度24分23秒","日本滋賀県米原市岐阜県揖斐郡揖斐川町、不破郡関ケ原町","北緯35度25分04秒東経136度24分23秒﻿ / ﻿北緯35.41778度 東経136.40639度﻿ /35.41778; 136.40639座標:北緯35度25分04秒東経136度24分23秒﻿ / ﻿北緯35.41778度 東経136.40639度﻿ /35.41778; 136.40639","1,377.31m","伊吹山地","堆積岩（石灰岩）","","","","","","","","","","","","","",""
"小谷山","[88小谷山おだにやま495m滋賀県イチヤクソウ地理院地図Google Map小谷城] 小谷山 （おだにやま）は、 滋賀県 長浜市 湖北町 伊部 にある 伊吹山地 に属する山。標高は494.6m  。別名・浅井岳  。","https://ja.wikipedia.org/wiki/小谷山","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯35度27分57秒東経136度16分25秒","滋賀県長浜市","北緯35度27分57秒東経136度16分25秒﻿ / ﻿北緯35.46583度 東経136.27361度﻿ /35.46583; 136.27361座標:北緯35度27分57秒東経136度16分25秒﻿ / ﻿北緯35.46583度 東経136.27361度﻿ /35.46583; 136.27361","494.6m","伊吹山地","","","","","","","","","","","","","","",""
"大江山","[89大江山おおえやま833m京都府オオバギボウシ地理院地図Google Map丹後山地] 大江山 （おおえやま）は 京都府 丹後半島 の付け根に位置し 与謝野町 、 福知山市 、 宮津市 にまたがる連山である。標高832m   。別称、 大枝山 ・ 与謝大山 ・ 千丈ヶ嶽 。","https://ja.wikipedia.org/wiki/大江山","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯35度27分12秒東経135度06分24秒","日本京都府与謝野町・福知山市・宮津市","北緯35度27分12秒東経135度06分24秒﻿ / ﻿北緯35.45333度 東経135.10667度﻿ /35.45333; 135.10667座標:北緯35度27分12秒東経135度06分24秒﻿ / ﻿北緯35.45333度 東経135.10667度﻿ /35.45333; 135.10667","832m","丹波高地（丹後山地）","","","","","","","","","","","","","","",""
"船上山","[90船上山せんじょうせん687m鳥取県シラヒゲソウ地理院地図Google Map大山日本百名山] 船上山 （せんじょうさん）は、 鳥取県 東伯郡 琴浦町 にある 標高 687 メートル の山である。","https://ja.wikipedia.org/wiki/船上山","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯35度25分42秒東経133度35分29秒","日本鳥取県東伯郡琴浦町","北緯35度25分42秒東経133度35分29秒﻿ / ﻿北緯35.42833度 東経133.59139度﻿ /35.42833; 133.59139座標:北緯35度25分42秒東経133度35分29秒﻿ / ﻿北緯35.42833度 東経133.59139度﻿ /35.42833; 133.59139","687m","大山山系","","","","","","","","","","","","","","",""
"氷ノ山","[91氷ノ山ひょうのせん1,510m兵庫県鳥取県シロバナエンレイソウ地理院地図Google Map日本二百名山新日本百名山兵庫県の最高峰] 氷ノ山 （ひょうのせん）は、 兵庫県 養父市 と 鳥取県 八頭郡 若桜町 との県境にある 標高 1,510 m の 山 である。 須賀ノ山 とも呼ばれる。 日本二百名山 や ふるさと兵庫50山 のひとつに選定されている。","https://ja.wikipedia.org/wiki/氷ノ山","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯35度21分14秒東経134度30分49秒","日本兵庫県養父市鳥取県八頭郡若桜町","北緯35度21分14秒東経134度30分49秒﻿ / ﻿北緯35.35389度 東経134.51361度﻿ /35.35389; 134.51361座標:北緯35度21分14秒東経134度30分49秒﻿ / ﻿北緯35.35389度 東経134.51361度﻿ /35.35389; 134.51361","1,509.6m","中国山地氷ノ山山系","","","","","","","","","","","","","","",""
"大山","[92大山だいせん1,709m鳥取県コケモモ地理院地図Google Map伯耆大山、伯耆富士花の百名山日本百名山、新日本百名山鳥取県の最高峰] 大山 （だいせん）は、 日本 の 鳥取県 にある 標高 1,729mの 山 。 成層火山 であるが、 活火山 としては扱われていない  。鳥取県および 中国地方 の最高峰でもある。 角盤山 （かくばんざん）とも呼ばれるほか、鳥取県西部の 旧国名 が 伯耆国 であったことから 伯耆大山 （ほうきだいせん）、あるいはその山容から 郷土富士 として 伯耆富士 や 出雲富士 とも呼ばれる  。 日本百名山 や 日本百景 にも選定され、鳥取県のシンボルの一つとされている  。","https://ja.wikipedia.org/wiki/大山_(鳥取県)","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯35度22分16秒東経133度32分24秒","日本鳥取県大山町・琴浦町・江府町など","北緯35度22分16秒東経133度32分24秒﻿ / ﻿北緯35.37111度 東経133.54000度﻿ /35.37111; 133.54000座標:北緯35度22分16秒東経133度32分24秒﻿ / ﻿北緯35.37111度 東経133.54000度﻿ /35.37111; 133.54000","1,729m","独立峰（大山山系）","成層火山・溶岩ドーム","","約2万800年前","","","","","","","","","","","",""
"道後山","[93道後山どうごやま1,268m鳥取県広島県アケボノソウ地理院地図Google Map日本三百名山] 道後山 （どうごやま）は、 中国山地 中部に属する 山 である。 日本三百名山 の一つに数えられる  。","https://ja.wikipedia.org/wiki/道後山","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯35度04分12秒東経133度14分09秒","日本鳥取県日野郡日南町・広島県庄原市","北緯35度04分12秒東経133度14分09秒﻿ / ﻿北緯35.07000度 東経133.23583度﻿ /35.07000; 133.23583座標:北緯35度04分12秒東経133度14分09秒﻿ / ﻿北緯35.07000度 東経133.23583度﻿ /35.07000; 133.23583","1,268m","中国山地","","","","","","","","","","","","","","",""
"比婆山","[94比婆山ひばやま1,299m広島県ショウジョウバカマ地理院地図Google Map比婆山地] 比婆山 （ひばやま）は、 広島県 庄原市 にある標高1264  m の山。 中国山地 中部にあり、 比婆道後帝釈国定公園 に属している。","https://ja.wikipedia.org/wiki/比婆山","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯35度03分06秒東経133度03分56秒","広島県庄原市","北緯35度03分06秒東経133度03分56秒﻿ / ﻿北緯35.05167度 東経133.06556度﻿ /35.05167; 133.06556","1,299m","比婆山地","","","","","","","","","","","","","","",""
"石鎚山","[95石鎚山いしづちやま1,982m愛媛県キレンゲショウマフガクスズムシソウ地理院地図Google Map修験者の山花の百名山日本百名山、新日本百名山愛媛県の最高峰] 石鎚山 （いしづちさん、いしづちやま）は、 四国山地 西部に位置する標高1,982 mの 山 で、 近畿 以西を「西日本」とした場合の 西日本 最高峰である。 愛媛県 西条市 と 久万高原町 の境界に位置する。","https://ja.wikipedia.org/wiki/石鎚山","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯33度46分03秒東経133度06分54秒","日本愛媛県西条市・久万高原町","北緯33度46分03秒東経133度06分54秒﻿ / ﻿北緯33.76750度 東経133.11500度﻿ /33.76750; 133.11500座標:北緯33度46分03秒東経133度06分54秒﻿ / ﻿北緯33.76750度 東経133.11500度﻿ /33.76750; 133.11500","1,982m","四国山地","","850年（嘉祥3年）（灼然、寂仙）","","","","","","","","","","","","",""
"別子銅山越","[96別子銅山越べっしどうざんごえ1,294m愛媛県ツガザクラ地理院地図Google Map別子銅山西赤石山]","https://ja.wikipedia.org/w/index.php?title=別子銅山越&amp;action=edit&amp;redlink=1","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","","","","","","","","","","","","","","","","","","","",""
"古処山","[97古処山こしょざん859m福岡県シュウメイギク地理院地図Google Map筑紫山地] 古処山 （こしょさん）は、 福岡県 朝倉市 と 嘉麻市 にまたがる 標高 859.5メートルの 山 。国の 特別天然記念物 および福岡県の 天然記念物 に指定されている ツゲ の 原始林 があることで知られる   。","https://ja.wikipedia.org/wiki/古処山","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯33度29分1秒東経130度43分32秒","福岡県朝倉市・嘉麻市","北緯33度29分1秒東経130度43分32秒﻿ / ﻿北緯33.48361度 東経130.72556度﻿ /33.48361; 130.72556座標:北緯33度29分1秒東経130度43分32秒﻿ / ﻿北緯33.48361度 東経130.72556度﻿ /33.48361; 130.72556","859.5m","筑紫山地","","","","","","","","","","","","","","",""
"阿蘇高原","[98阿蘇高原あそこうげん1,592m熊本県リンドウ地理院地図Google Map阿蘇山カルデラ日本百名山、新日本百名山] 阿蘇山 （あそさん）は、 日本 の 九州 中央部、 熊本県 阿蘇地方に位置する 火山 。 カルデラ を伴う大型の 複成火山 であり、 活火山 である。","https://ja.wikipedia.org/wiki/阿蘇山","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯32度53分3秒東経131度6分14秒","日本熊本県","北緯32度53分3秒東経131度6分14秒﻿ / ﻿北緯32.88417度 東経131.10389度﻿ /32.88417; 131.10389座標:北緯32度53分3秒東経131度6分14秒﻿ / ﻿北緯32.88417度 東経131.10389度﻿ /32.88417; 131.10389","","","複成火山(活火山ランクA)","","","高岳（1,592m）","","","","","","","","","","",""
"霧島連峰","[99霧島連峰きりしまれんぽう1,700m宮崎県鹿児島県マイヅルソウ地理院地図Google Map最高峰韓国岳花の百名山日本百名山、新日本百名山] 霧島山 （きりしまやま）は、 九州 南部の 宮崎県 と 鹿児島県 県境付近に広がる 火山 群の総称であり、 霧島連山 、 霧島連峰 、 霧島山地 あるいは 霧島火山群 とも呼ばれる。最高峰の 韓国岳 （標高1,700m）と、 霊峰 高千穂峰 （標高1,574m   ）の間や周辺に山々が連なって 山塊 を成している。","https://ja.wikipedia.org/wiki/霧島連峰","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯31度56分03秒東経130度51分42秒","日本宮崎県・鹿児島県","北緯31度56分03秒東経130度51分42秒﻿ / ﻿北緯31.93417度 東経130.86167度﻿ /31.93417; 130.86167座標:北緯31度56分03秒東経130度51分42秒﻿ / ﻿北緯31.93417度 東経130.86167度﻿ /31.93417; 130.86167","","","成層火山(活火山ランクB)","","","韓国岳（1,700m）","","","","","","","","","","",""
"開聞岳","[100開聞岳かいもんだけ922m鹿児島県ヤマタツナミソウ地理院地図Google Map薩摩富士日本百名山、新日本百名山] 開聞岳 （かいもんだけ）は、 鹿児島県 の 薩摩半島 の南端に位置する 標高 924 m の 火山 。 1964年 （昭和39年）3月16日に、 霧島屋久国立公園 に指定された  。 日本百名山  、 新日本百名山  及び 九州百名山 に選定されている。山麓の北東半分は陸地に、南西半分は 海 に面しており、見事な円錐形の山容から別名「 薩摩富士 」とも呼ばれる。所在地は鹿児島県 指宿市 。","https://ja.wikipedia.org/wiki/開聞岳","新・花の百名山","https://ja.wikipedia.org/wiki/新・花の百名山","表形式","北緯31度10分48秒東経130度31分42秒","日本鹿児島県指宿市","北緯31度10分48秒東経130度31分42秒﻿ / ﻿北緯31.18000度 東経130.52833度﻿ /31.18000; 130.52833﻿ (開聞岳)座標:北緯31度10分48秒東経130度31分42秒﻿ / ﻿北緯31.18000度 東経130.52833度﻿ /31.18000; 130.52833﻿ (開聞岳)","924m","南薩火山群","成層火山","","","","","","","","","","","","","",""
