"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","球場規模","所有者","グラウンド","照明","開場","管理・運用者","フェンス","スコアボード","設計者","起工","創設","監督","閉場","建設者","建設費","分類","面積","運営者"
"越前市丹南総合公園野球場 (存在しないページ)","[越前市丹南総合公園野球場]","https://ja.wikipedia.org/w/index.php?title=越前市丹南総合公園野球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"皇子山球場","[皇子山球場] 皇子山球場 （おうじやまきゅうじょう）は、 滋賀県 大津市 の 皇子山総合運動公園 にある 野球場 。正式名称は 皇子山総合運動公園野球場 。 1960年 開場。 高校野球 や 大学野球 などに使用されている。施設は大津市が所有し、公益財団法人大津市公園緑地協会が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/皇子山球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯35度1分14.5秒東経135度51分24.2秒","滋賀県大津市御陵町4-1","グラウンド面積：－m2両翼：100 m、中堅：122 m","滋賀県大津市","内野：黒土混合土外野：天然芝","照明塔：6基最大照度：投捕間 1800Lx内野 1000Lx外野 500Lx","1960年","公益財団法人大津市公園緑地協会","m","","","","","","","","","","",""
"滋賀県立彦根総合運動場","[滋賀県立彦根球場] 滋賀県立彦根総合運動場 （しがけんりつひこねそうごううんどうじょう）は、 滋賀県 彦根市 にある 運動公園 である。","https://ja.wikipedia.org/wiki/滋賀県立彦根総合運動場#施設","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯35度16分51.38秒東経136度15分19.91秒","滋賀県彦根市松原町3028","","","","","","","","","","","","","","","","運動公園","140,000m2","公益財団法人滋賀県スポーツ協会"
"高島市今津総合運動公園","[高島市今津総合運動公園今津スタジアム] 高島市今津総合運動公園 （たかしまし いまづうんどうこうえん）とは、 滋賀県 高島市 にある 運動公園 である。施設は高島市が所有し、公益財団法人ひばりが 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/高島市今津総合運動公園#野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯35度25分3.38秒東経135度59分58.2秒","日本滋賀県高島市今津町日置前3110","","","","","","","","","","","","","","","","運動公園","","公益財団法人ひばり"
"龍谷大学瀬田球場 (存在しないページ)","[龍谷大学瀬田球場]","https://ja.wikipedia.org/w/index.php?title=龍谷大学瀬田球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"草津グリーンスタジアム (存在しないページ)","[草津グリーンスタジアム]","https://ja.wikipedia.org/w/index.php?title=草津グリーンスタジアム&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"彦根球場","[彦根球場] 滋賀県立彦根総合運動場 （しがけんりつひこねそうごううんどうじょう）は、 滋賀県 彦根市 にある 運動公園 である。","https://ja.wikipedia.org/wiki/彦根球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯35度16分51.38秒東経136度15分19.91秒","滋賀県彦根市松原町3028","","","","","","","","","","","","","","","","運動公園","140,000m2","公益財団法人滋賀県スポーツ協会"
"甲賀市民スタジアム","[甲賀市民スタジアム] 甲賀市水口スポーツの森野球場 （こうかし・みなぐちスポーツのもり・やきゅうじょう）は、 滋賀県 甲賀市 の 甲賀市水口スポーツの森 にある 野球場 。愛称 甲賀市民スタジアム （こうかしみんスタジアム）。甲賀市が所有し、指定管理者の一般社団法人甲賀市スポーツ協会が管理している。","https://ja.wikipedia.org/wiki/甲賀市民スタジアム","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯34度57分39.2秒東経136度9分37.4秒","滋賀県甲賀市水口町北内貴230","グラウンド面積：13,720m2両翼：100 m中堅：122 m","甲賀市","内野：クレー舗装外野：ロングパイル人工芝","照明塔：4基内野　750Lx、外野　400Lx","2006年4月1日","甲賀市","","","","","","","","","","","",""
"湖東スタジアム (存在しないページ)","[湖東スタジアム]","https://ja.wikipedia.org/w/index.php?title=湖東スタジアム&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"京都市西京極総合運動公園野球場","[京都市西京極総合運動公園野球場（わかさスタジアム京都）] 京都市西京極総合運動公園野球場 （きょうとしにしきょうごくそうごううんどうこうえんやきゅうじょう）は、 京都府 京都市 右京区 の 京都市西京極総合運動公園 内にある 野球場 。施設は京都市が所有し、京都市スポーツ協会が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/京都市西京極総合運動公園野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯34度59分32.7秒東経135度42分56.7秒","京都府京都市右京区西京極新明町29（西京極総合運動公園内）","グラウンド面積：-m2両翼：100m、中堅：117m","京都市","内野：クレー舗装外野：天然芝","照明塔：6基、最大照度：投捕間2120Lx、内野1650Lx、外野1088Lx","1932年","京都市スポーツ協会（指定管理者）","4.4m","LEDフリーボード式（2015年改修）","","","","","","","","","",""
"東舞鶴公園野球場","[東舞鶴公園野球場（舞鶴球場）] 東舞鶴公園野球場 （ひがしまいづるこうえんやきゅうじょう）は 京都府 舞鶴市 の 東舞鶴公園 内にある 野球場 である。 1976年 （昭和51年）に舞鶴市が建設すると、 京都府北部 で唯一の本格的、大型野球場として 高校野球 のみならず、 プロ野球 の二軍戦などが行われている。また土日休日等には市民野球や少年野球の大会なども開かれる。通称は 舞鶴球場 。現在は 特定非営利活動法人 ガバナンス舞鶴が指定管理を受けている。","https://ja.wikipedia.org/wiki/東舞鶴公園野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯35度27分16.4秒東経135度23分25.2秒","京都府舞鶴市行永","グラウンド面積：m2両翼 - 91 m中堅 - 118 m","舞鶴市","内野：クレー舗装、外野：天然芝","なし　","","特定非営利活動法人ガバナンス舞鶴（指定管理者）","","","","1976年","","","","","","","",""
"京都府立山城総合運動公園","[太陽が丘野球場] 京都府立山城総合運動公園 （きょうとふりつ やましろそうごううんどうこうえん）は、 京都府 宇治市 に位置する 都市公園 （広域公園）である  。 指定管理者制度 に基づき、 公益財団法人 京都府公園公社が管理・運営している。愛称は「太陽が丘」である。公園の総面積は約108 ヘクタール  （1,082,000 平方メートル ）。運動施設が充実しており、年間100万人の利用者  が訪れ、様々な大会などが行われている。ロックバンド 10-FEET が主催する音楽フェスイベント『 京都大作戦 』が開催される会場としても有名である。","https://ja.wikipedia.org/wiki/京都府立山城総合運動公園#施設","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯34度52分10.72秒東経135度48分14.34秒","日本京都府宇治市広野町八軒屋谷1","","","","","","","","","空間創研","","","","","","","都市公園（広域公園）","約108ha","京都府（指定管理者：公益財団法人京都府公園公社）"
"伏見桃山城運動公園野球場 (存在しないページ)","[伏見桃山城運動公園野球場]","https://ja.wikipedia.org/w/index.php?title=伏見桃山城運動公園野球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"あやべ球場","[あやべ球場] 綾部市総合運動公園あやべ球場 （あやべしそうごううんどうこうえんあやべきゅうじょう）は、 京都府 綾部市 上杉町 にある 綾部市総合運動公園 内の野球場である。2000年(平成12年)に綾部市が整備した野球場で、 全国高等学校野球選手権大会 の京都府予選大会や大学野球などのほか少年野球を含む市民の野球競技にも使用されている。","https://ja.wikipedia.org/wiki/あやべ球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯35度21分50.75秒東経135度18分38.01秒","京都府綾部市上杉町大宝山10","","綾部市","","","2000年","","","","","","","","","","","","",""
"峰山球場 (存在しないページ)","[峰山球場（京丹後夢球場）]","https://ja.wikipedia.org/w/index.php?title=峰山球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"福知山球場 (存在しないページ)","[福知山球場]","https://ja.wikipedia.org/w/index.php?title=福知山球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"宮津球場 (存在しないページ)","[宮津球場]","https://ja.wikipedia.org/w/index.php?title=宮津球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"奈良市鴻ノ池球場","[奈良市鴻ノ池球場（ならでんスタジアム）] 奈良市鴻ノ池球場 （ならし こうのいけ きゅうじょう）は、 奈良県 奈良市 鴻ノ池運動公園 敷地内にある 野球場 。 施設命名権 （ネーミングライツ）の売却により、以下の愛称を使用している。","https://ja.wikipedia.org/wiki/奈良市鴻ノ池球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯34度41分53.7秒東経135度49分34.5秒","奈良県奈良市法蓮佐保山4丁目3番1号","グラウンド面積:13,300m2","","","ナイター用照明塔：4基（照度の関係でプロ野球ナイターの開催には使われない）","1955年","","両翼：91m、中堅：120m","","","","","","","","","","",""
"大和郡山市営球場","[大和郡山市営球場(ならっきー球場)] 大和郡山市営球場 （やまとこおりやましえいきゅうじょう）は 奈良県 大和郡山市 矢田山町の大和郡山市総合運動公園施設内にある球場である。 1984年 7月1日 に完成。","https://ja.wikipedia.org/wiki/大和郡山市営球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯34度38分45秒東経135度44分41秒","奈良県大和郡山市矢田山町（和郡山市総合運動公園内）","グラウンド面積：-m2両翼：92 m中堅：118 m","大和郡山市","内外野：透水性砂入り人工芝","照明塔：6基最大照度：投捕間700Lx　　　　　内　野　－Lx　　　　　外　野　－Lx","1995年","財団法人大和郡山市文化体育振興公社","","","","","","","","","","","",""
"橿原市営球場 (存在しないページ)","[橿原市営球場]","https://ja.wikipedia.org/w/index.php?title=橿原市営球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"奈良県立橿原公苑野球場","[奈良県立橿原公苑野球場（佐藤薬品スタジアム）] 奈良県立橿原公苑野球場 （ならけんりつ・かしはらこうえん・やきゅうじょう）は、 奈良県 橿原市 の 橿原公苑 にある 野球場 である。","https://ja.wikipedia.org/wiki/奈良県立橿原公苑野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯34度29分13秒東経135度47分33秒","奈良県橿原市畝傍町52（橿原公苑内）","グラウンド面積: 12,572m2両翼93m、中堅120m","","内野：黒土、外野：人工芝（ロングパイル・ドリームターフ）","照明塔: 6基（内野1,200Lx、外野700Lx）","1952年（昭和27年）7月","","2.3m","","","","","","","","","","",""
"和歌山県営紀三井寺野球場","[和歌山県営紀三井寺野球場] 和歌山県営紀三井寺野球場 （わかやまけんえいきみいでらやきゅうじょう）は、 和歌山県 和歌山市 の 紀三井寺公園 内にある 野球場 。施設は和歌山県が所有し、紀の国はまゆう（近畿電設工業・弘安建設・日本体育・はまゆうJAPANによる共同企業体）が 指定管理者 として運営管理を行っている。 この野球場は県営紀三井寺球場、紀三井寺野球場、紀三井寺球場などと呼称されているが、和歌山県と指定管理者では名称として紀三井寺公園野球場を使用している。","https://ja.wikipedia.org/wiki/和歌山県営紀三井寺野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯34度9分57.9秒東経135度11分24.9秒","和歌山県和歌山市毛見200（紀三井寺公園内）北緯34度9分57.9秒東経135度11分24.9秒﻿ / ﻿北緯34.166083度 東経135.190250度﻿ /34.166083; 135.190250","グラウンド面積：12,477m2両翼：98 m中堅：120 m","和歌山県","内野：クレー舗装外野：天然芝","照明塔：6基最大照度：投捕間1500Lx内野1500Lx外野800Lx","1965年","紀の国はまゆう（指定管理者、近畿電設工業・弘安建設・日本体育・はまゆうJAPANによる共同企業体）","","","","","","","","","","","",""
"和歌山市民球場","[和歌山市民球場] 和歌山市民球場 （わかやましみんきゅうじょう）は、 和歌山県 和歌山市 にある 野球場 。","https://ja.wikipedia.org/wiki/和歌山市民球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯34度13分12秒東経135度11分55.6秒","和歌山県和歌山市有家347","グラウンド面積14,500m2両翼92m、中堅116m","和歌山市","内野：クレー舗装外野：天然芝","なし","","","","","","","","","","","","","",""
"海南市民球場","[海南市民球場] 海南市民運動場 （かいなんしみんうんどうじょう）は、 和歌山県 海南市 にある多目的グラウンド。施設は海南市が所有し、海南市文化スポーツ振興事業団が 指定管理者 として運営管理を行っている。主に 野球場 ・ サッカー場 として使用される。野球場として使用する場合は 海南市民球場 （かいなんしみんきゅうじょう）とも呼ばれる。当施設の近くには 阪和自動車道 海南東インターチェンジ がある。","https://ja.wikipedia.org/wiki/海南市民球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯34度9分35.6秒 東経135度14分2.7秒","","","","","","","","","","","","","","","","","","",""
"貴志川スポーツ公園野球場","[貴志川スポーツ公園野球場] 貴志川スポーツ公園野球場 （きしがわスポーツこうえんやきゅうじょう）は、 和歌山県 紀の川市 にある 野球場 。通称 貴志川球場。","https://ja.wikipedia.org/wiki/貴志川スポーツ公園野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯34度11分38.9秒 東経135度19分40.9秒","","","","","","","","","","","","","","","","","","",""
"有田市立有田市民球場","[有田市立有田市民球場（マツゲン有田球場）] 有田市立有田市民球場 （ありだしりつ ありだしみんきゅうじょう）は、 和歌山県 有田市 にある 野球場 。","https://ja.wikipedia.org/wiki/有田市立有田市民球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯34度4分27.8秒東経135度5分29秒","和歌山県有田市宮崎町2497-2","グラウンド面積：11,771m2両翼：98m中堅：122m","有田市","内野：クレー舗装外野：天然芝","なし","1995年8月31日","特定非営利活動法人和歌山箕島球友会","","","株式会社 イーストアジア・コーポレーション","1994年2月22日","","","","","15億5000万円","","",""
"関西電力琴の浦球場 (存在しないページ)","[関西電力琴の浦球場]","https://ja.wikipedia.org/w/index.php?title=関西電力琴の浦球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"御坊市立市民球場 (存在しないページ)","[御坊市立市民球場]","https://ja.wikipedia.org/w/index.php?title=御坊市立市民球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"白浜球場 (存在しないページ)","[白浜球場]","https://ja.wikipedia.org/w/index.php?title=白浜球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"サン・ナンタンランド野球場 (存在しないページ)","[サン・ナンタンランド野球場]","https://ja.wikipedia.org/w/index.php?title=サン・ナンタンランド野球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"湯浅なぎの里野球場 (存在しないページ)","[湯浅なぎの里野球場]","https://ja.wikipedia.org/w/index.php?title=湯浅なぎの里野球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"天満球場","[天満球場] 天満球場 （てんまきゅうじょう）は、 和歌山県 東牟婁郡 那智勝浦町 にある 野球場 。","https://ja.wikipedia.org/wiki/天満球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯33度38分23.8秒東経135度55分40.8秒","和歌山県東牟婁郡那智勝浦町天満1785","グラウンド面積：8,700m2両翼：87m中堅：105m","那智勝浦町","","","1978年","","","","","","","","","","","","",""
"くろしおスタジアム","[くろしおスタジアム] くろしおスタジアム は、 和歌山県 新宮市 にある 野球場 。","https://ja.wikipedia.org/wiki/くろしおスタジアム","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯33度40分21.82秒東経135度58分0.33秒","和歌山県新宮市佐野723","グラウンド面積：13,859.38m2両翼：98m中堅：122m","新宮市","内野：クレー舗装外野：天然芝","なし","2003年","","","","","","","","","","13億4000万円","","",""
"舞洲ベースボールスタジアム","[舞洲ベースボールスタジアム（大阪シティ信用金庫スタジアム）] 舞洲ベースボールスタジアム （まいしまベースボールスタジアム）は、 大阪府 大阪市 此花区 の 舞洲スポーツアイランド 内にある 野球場 で、 1996年 4月 に開場。 大阪シティ信用金庫 が 命名権 を取得した 2017年 6月15日 からは、 大阪シティ信用金庫スタジアム （おおさかシティしんようきんこスタジアム）という呼称を用いている  。以下の本文中には便宜上、大阪シティ信用金庫が命名権を取得するまでの舞洲ベースボールスタジアムを「 舞洲スタジアム 」、命名権取得後の同スタジアムを「 シティ信金スタジアム 」と略記する。","https://ja.wikipedia.org/wiki/舞洲ベースボールスタジアム","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯34度39分46.9秒東経135度23分48.5秒","大阪府大阪市此花区北港緑地2-3-142（舞洲スポーツアイランド内）","グラウンド面積：13,587m2両翼：100 m中堅：122 m","大阪シティドーム","内野：クレー舗装外野：天然芝","照明塔：6基最大照度：投捕間－Lx　　　　　内　野－Lx　　　　　外　野－Lx","1996年","","","","","","","","","","","","",""
"大阪市南港中央野球場","[大阪市南港中央野球場] 大阪市南港中央野球場 （おおさかしなんこうちゅうおうやきゅうじょう）は、 大阪府 大阪市 住之江区 の 南港中央公園 内にある 野球場 。施設は大阪市が所有し、平成26年4月1日より指定管理者として南港中央SAグループ（ 代表者:大阪スポーツみどり財団、構成員:イオンディライト株式会社）が運営管理を行っている。","https://ja.wikipedia.org/wiki/大阪市南港中央野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯34度37分47.4秒東経135度25分56秒","大阪府大阪市住之江区南港東8（南港中央公園内）","グラウンド面積：14,000m2両翼：98 m中堅：122 m","大阪市","内外野：透水性砂入り人工芝","照明塔：6基最大照度：投捕間2000Lx　　　　　内　野　－Lx　　　　　外　野　－Lx","1995年","南港中央SAグループ 代表者:一般財団法人大阪スポーツみどり財団、構成員:イオンディライト株式会社","","","","","","","","","","","",""
"住之江公園","[住之江公園野球場] 住之江公園 （すみのえこうえん）は、 大阪府 大阪市 住之江区 南加賀屋1丁目に設置されている都市公園。大阪府が運営管理を行っている。","https://ja.wikipedia.org/wiki/住之江公園#野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯34度36分40.91秒東経135度28分31.88秒","日本大阪府大阪市住之江区南加賀屋","","","","","","","","","","","","","","","","都市公園","",""
"万博記念公園野球場","[万博記念公園野球場] 万博記念公園野球場 （ばんぱくきねんこうえんやきゅうじょう）は、 大阪府 吹田市 の 万博記念公園 内にある 野球場 。 大阪府 が運営管理を行っている。","https://ja.wikipedia.org/wiki/万博記念公園野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯34度48分19.6秒東経135度32分24.7秒","大阪府吹田市千里万博公園1-1","グラウンド面積：12,788m2両翼：90 m中堅：120 m","大阪府","内野：土外野：天然芝","","","大阪府","","磁気反転式","","","","","","","","","",""
"豊中ローズ球場","[豊中ローズ球場（豊中市豊島公園野球場）] 豊中市豊島公園野球場 （とよなかし てしまこうえん やきゅうじょう）は、 大阪府 豊中市 にある 野球場 。愛称 豊中ローズ球場 。同市が運営管理を担っている。","https://ja.wikipedia.org/wiki/豊中ローズ球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯34度45分59.3秒東経135度28分11.8秒","大阪府豊中市曽根南町1-4-2","グラウンド面積：両翼：95m中堅：115 m","豊中市","内野：クレー舗装外野：天然芝","照明塔6基","1967年","豊中市","","","","","","","","","","","",""
"久宝寺緑地野球場 (存在しないページ)","[久宝寺緑地野球場]","https://ja.wikipedia.org/w/index.php?title=久宝寺緑地野球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"八尾市立山本球場","[八尾市立山本球場] 八尾市立山本球場 （やおしりつやまもときゅうじょう）は、 大阪府 八尾市 にある 野球場 。施設は八尾市が所有し、八尾体育振興会が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/八尾市立山本球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯34度37分15.7秒東経135度37分17.2秒","大阪府八尾市山本町南7-9-11","グラウンド面積：9,865m2両翼：90 m中堅：100 m","八尾市","内野：クレー舗装外野：天然芝","なし","1938年","八尾体育振興会（指定管理者）","","","","","","","","","","","",""
"寝屋川公園野球場 (存在しないページ)","[寝屋川公園野球場]","https://ja.wikipedia.org/w/index.php?title=寝屋川公園野球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"パナソニックベースボールスタジアム","[パナソニックベースボールスタジアム] パナソニックベースボールスタジアム は、 大阪府 枚方市 にある 野球場 。 パナソニック野球部 が練習場として使用している。","https://ja.wikipedia.org/wiki/パナソニックベースボールスタジアム","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯34度48分18.3秒東経135度39分4.9秒","大阪府枚方市山之上北町2－1","両翼：93 m中堅：122 m","パナソニック","内野：土外野：天然芝","照明塔：なし","","同上","4m","","","","","","","","","","",""
"守口市市民球場","[守口市市民球場] 守口市市民球場 （もりぐちし・しみんきゅうじょう）は、 大阪府 守口市 の大枝公園内にある 野球場 。守口市が運営管理を行っていた。","https://ja.wikipedia.org/wiki/守口市市民球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","大阪府守口市松下町1-58（大枝公園内）","グラウンド面積：12,572m2両翼：90 m中堅：110 m","守口市","内野：クレー舗装外野：天然芝","なし","","守口市","","","","","","","","","","","",""
"高槻市萩谷総合運動公園","[高槻市萩谷総合運動公園野球場] 萩谷総合公園 （はぎたにそうごうこうえん）は、 大阪府 高槻市 にある 都市公園 （ 総合公園 ）である  。","https://ja.wikipedia.org/wiki/高槻市萩谷総合運動公園#主な施設","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯34度53分6秒東経135度34分4秒","日本大阪府高槻市大字萩谷111-1","","","","","","","","","","","","","","","","都市公園（総合公園）","33.98ha","高槻市"
"富田林市立総合スポーツ公園野球場","[富田林市立総合スポーツ公園野球場（富田林バファローズスタジアム）] 富田林市立総合スポーツ公園野球場 （とんだばやししりつそうごうスポーツこうえんやきゅうじょう）は、 大阪府 富田林市 の 富田林市立総合スポーツ公園 内にある 野球場 。愛称は 富田林バファローズスタジアム 。","https://ja.wikipedia.org/wiki/富田林市立総合スポーツ公園野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯34度27分19.7秒東経135度36分42.7秒","大阪府富田林市佐備2467-1（富田林市立総合スポーツ公園内）","グラウンド面積：13,280m2両翼：95 m、中堅：120 m","富田林市","内野：黒土混合土外野：天然芝","照明灯 - 4基照度 - バッテリー間：1338ルクス、内野：933ルクス、内野：530ルクス","1994年6月","オーエンス（指定管理者）","","","","","","","","","","","",""
"泉南市民球場 (存在しないページ)","[泉南市民球場（J:COMサザンスタジアム）]","https://ja.wikipedia.org/w/index.php?title=泉南市民球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
"神戸総合運動公園野球場","[神戸総合運動公園野球場（ほっともっとフィールド神戸）] 神戸総合運動公園野球場 （こうべそうごううんどうこうえんやきゅうじょう）は、 兵庫県 神戸市 須磨区 緑台の 神戸総合運動公園 内にある 野球場 。","https://ja.wikipedia.org/wiki/神戸総合運動公園野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯34度40分50.37秒東経135度4分24.3秒","兵庫県神戸市須磨区緑台3251番地10（神戸総合運動公園内）","グラウンド面積： -m2両翼：99.1 m（約325.1 ft）中堅：122 m（約400.3 ft）左右中間：117 m （約383.9 ft）","神戸市","内野：クレー舗装及び天然芝（1999年まではクレー舗装のみ）外野：天然芝","照明塔 - 4基（内野球場外に2基、外野スタンド上部に2基）内野屋根庇先 - 2基照度投捕間：2500Lx内野：2400Lx外野：1700Lx","1988年3月6日","オリックス野球クラブ（都市公園法に基づく管理許可制度による","2.45 m （約8.0 ft）（ラバーフェンス：1.05 m + ステンレスネットフェンス：1.40 m）","","日建設計","","","","","","60億円","","",""
"北神戸田園スポーツ公園野球場","[北神戸田園スポーツ公園野球場（あじさいスタジアム北神戸）] 北神戸田園スポーツ公園野球場 （きたこうべでんえんスポーツこうえんやきゅうじょう）は、 日本 の 兵庫県 神戸市 北区 の 北神戸田園スポーツ公園 内にある 野球場 。愛称 あじさいスタジアム北神戸 。施設は神戸市が所有し、 神戸電鉄 が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/北神戸田園スポーツ公園野球場","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","北緯34度50分41.8秒東経135度13分14.3秒","兵庫県神戸市北区有野町二郎753-1（北神戸田園スポーツ公園内）","グラウンド面積：－m2両翼：99 m中堅：122 m","神戸市","内野：クレー舗装外野：人工芝","照明塔：4基最大照度：内野1500Lx　　　　　外野 800Lx","2000年","神戸電鉄（指定管理者）","m","","","","","","","","","","",""
"赤穂城南公園野球場 (存在しないページ)","[赤穂城南公園野球場]","https://ja.wikipedia.org/w/index.php?title=赤穂城南公園野球場&amp;action=edit&amp;redlink=1","日本の野球場一覧","https://ja.wikipedia.org/wiki/日本の野球場一覧","表2・箇条書き","","","","","","","","","","","","","","","","","","","",""
