"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","標高","位置","山系","種類","初登頂","法人番号","最新噴火","国","地方","都道府県","市町村コード","面積","総人口","人口密度","隣接自治体","市の木","市の花","市長"
"寺地山","[100寺地山てらじやま1,966.02　三等大山飛騨市・富山県] 寺地山 （てらじやま）は、 富山県 富山市 と 岐阜県 飛騨市  にまたがる 標高 1,996 m の 立山連峰 の 山   。","https://ja.wikipedia.org/wiki/寺地山","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯36度25分31秒東経137度28分27秒","日本富山県富山市岐阜県飛騨市","1,996.04m","北緯36度25分31秒東経137度28分27秒﻿ / ﻿北緯36.42528度 東経137.47417度﻿ /36.42528; 137.47417座標:北緯36度25分31秒東経137度28分27秒﻿ / ﻿北緯36.42528度 東経137.47417度﻿ /36.42528; 137.47417","飛騨山脈（立山連峰）","","","","","","","","","","","","","","",""
"桑崎山 (存在しないページ)","[101桑崎山くわさきやま1,728.06　三等深戸高山市・飛騨市]","https://ja.wikipedia.org/w/index.php?title=桑崎山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"天蓋山 (岐阜県) (存在しないページ)","[102天蓋山てんがいざん1,527.29　二等廿五山飛騨市]","https://ja.wikipedia.org/w/index.php?title=天蓋山_(岐阜県)&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"二十五山 (存在しないページ)","[103二十五山にじゅうごやま1,219飛騨市]","https://ja.wikipedia.org/w/index.php?title=二十五山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"流葉山 (存在しないページ)","[104流葉山ながれはやま1,422.47　二等流葉飛騨市]","https://ja.wikipedia.org/w/index.php?title=流葉山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"猪臥山 (存在しないページ)","[105猪臥山いぶせやま1,519.07　二等池本山高山市・飛騨市]","https://ja.wikipedia.org/w/index.php?title=猪臥山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"蕎麦角山 (存在しないページ)","[106蕎麦角山そばかどやま1,222.35　三等滝ノ上飛騨市]","https://ja.wikipedia.org/w/index.php?title=蕎麦角山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"白木峰","[107白木峰しらきみね1,596飛騨市日本三百名山] 白木峰 （しらきみね）は、 富山県 富山市 と 岐阜県 飛騨市 の県境に位置する標高1,596mの山である。山頂に広大な草原と様々な高山植物が見られるのが特徴。 白木水無県立自然公園 の中心の山。 日本三百名山 、 ぎふ百山 に選ばれている。","https://ja.wikipedia.org/wiki/白木峰","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯36度24分56.1秒東経137度6分44.5秒","日本富山県富山市・岐阜県飛騨市","1,596m","北緯36度24分56.1秒東経137度6分44.5秒﻿ / ﻿北緯36.415583度 東経137.112361度﻿ /36.415583; 137.112361座標:北緯36度24分56.1秒東経137度6分44.5秒﻿ / ﻿北緯36.415583度 東経137.112361度﻿ /36.415583; 137.112361","飛騨高地","","","","","","","","","","","","","","",""
"水無山 (存在しないページ)","[108水無山みずなしやま1,505.73　二等大当火飛騨市]","https://ja.wikipedia.org/w/index.php?title=水無山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"籾糠山","[109籾糠山もみぬかやま1,744.34　三等籾糠山飛騨市・白川村] 籾糠山 （もみぬかやま）は、 岐阜県 飛騨市 と 大野郡 白川村 にまたがる 飛騨高地 の 標高 1,744 m の 山 。","https://ja.wikipedia.org/wiki/籾糠山","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯36度14分4秒東経136度57分12秒","日本岐阜県飛騨市、大野郡白川村","1,744.34m","北緯36度14分4秒東経136度57分12秒﻿ / ﻿北緯36.23444度 東経136.95333度﻿ /36.23444; 136.95333座標:北緯36度14分4秒東経136度57分12秒﻿ / ﻿北緯36.23444度 東経136.95333度﻿ /36.23444; 136.95333","飛騨高地","","","","","","","","","","","","","","",""
"猿ヶ馬場山 (岐阜県)","[110猿ヶ馬場山さるがばんばやま1,875白川村日本三百名山] 猿ヶ馬場山 （さるがばんばやま）は、 岐阜県 大野郡 白川村 の 白川郷 の東側に位置する 飛騨高地 最高峰 の 標高 1,875 m の 山 。","https://ja.wikipedia.org/wiki/猿ヶ馬場山_(岐阜県)","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯36度13分33秒東経136度56分34秒","日本岐阜県大野郡白川村","1,875m","北緯36度13分33秒東経136度56分34秒﻿ / ﻿北緯36.22583度 東経136.94278度﻿ /36.22583; 136.94278座標:北緯36度13分33秒東経136度56分34秒﻿ / ﻿北緯36.22583度 東経136.94278度﻿ /36.22583; 136.94278","飛騨高地","","","","","","","","","","","","","","",""
"火山 (高山市) (存在しないページ)","[111火山ひやま1,379.22　二等火山高山市]","https://ja.wikipedia.org/w/index.php?title=火山_(高山市)&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"日照岳","[112日照岳ひでりだけ1,751.28　二等尾神岳高山市・白川村] 日照岳 （ひでりだけ）は、 岐阜県 高山市  と 大野郡 白川村 にまたがる 両白山地 の 標高 1,751 m の 山    。","https://ja.wikipedia.org/wiki/日照岳","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯36度6分21.22秒東経136度53分39.34秒","日本岐阜県高山市、大野郡白川村","1,751.02m","北緯36度6分21.22秒東経136度53分39.34秒﻿ / ﻿北緯36.1058944度 東経136.8942611度﻿ /36.1058944; 136.8942611座標:北緯36度6分21.22秒東経136度53分39.34秒﻿ / ﻿北緯36.1058944度 東経136.8942611度﻿ /36.1058944; 136.8942611","両白山地","","","","","","","","","","","","","","",""
"別山 (両白山地)","[113別山べっさん2,399.35　二等別山白川村・石川県] 別山 （べっさん）は、 石川県 白山市 と 岐阜県 大野郡 白川村 及び 高山市 にまたがる 白山国立公園 内  両白山地 にある 標高 2,399 m の 山 である。山頂には二等 三角点 があり  、北側に 白山 を望むことができる。山頂のすぐ西には別山神社がある。","https://ja.wikipedia.org/wiki/別山_(両白山地)","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯36度06分20秒東経136度45分56秒","日本石川県白山市岐阜県大野郡白川村、高山市","2,399.31m","北緯36度06分20秒東経136度45分56秒﻿ / ﻿北緯36.10556度 東経136.76556度﻿ /36.10556; 136.76556座標:北緯36度06分20秒東経136度45分56秒﻿ / ﻿北緯36.10556度 東経136.76556度﻿ /36.10556; 136.76556","両白山地","","","","","","","","","","","","","","",""
"三方崩山","[114三方崩山さんぽうくずれやま2,058.82　二等三方崩岳白川村] 三方崩山 （さんぽうくずれやま）は、 岐阜県 大野郡 白川村 の 両白山地 の東部に位置する 標高 2,059 m の 山 である。 白山国立公園 内にある  。","https://ja.wikipedia.org/wiki/三方崩山","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯36度10分44秒東経136度51分37秒","日本岐阜県大野郡白川村","2,058.65m","北緯36度10分44秒東経136度51分37秒﻿ / ﻿北緯36.17889度 東経136.86028度﻿ /36.17889; 136.86028座標:北緯36度10分44秒東経136度51分37秒﻿ / ﻿北緯36.17889度 東経136.86028度﻿ /36.17889; 136.86028","両白山地","","","","","","","","","","","","","","",""
"白山","[115白山はくさん2,702.17　一等白山白川村・石川県日本百名山] 白山 （はくさん）は、 日本 の 北陸地方 、 白山国立公園 内  の 石川県 白山市 と 岐阜県 大野郡 白川村 にまたがる 標高 2,702 m の 活火山 である。","https://ja.wikipedia.org/wiki/白山","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯36度09分18秒東経136度46分17秒","日本石川県白山市岐阜県大野郡白川村","2,702.14m","北緯36度09分18秒東経136度46分17秒﻿ / ﻿北緯36.15500度 東経136.77139度﻿ /36.15500; 136.77139座標:北緯36度09分18秒東経136度46分17秒﻿ / ﻿北緯36.15500度 東経136.77139度﻿ /36.15500; 136.77139","両白山地","成層火山（活火山ランクC）","717年 （泰澄上人）","","","","","","","","","","","","",""
"野谷荘司山 (存在しないページ)","[116野谷荘司山妙法山のだにしょうじやまみょうほうざん1,797.291,775.59　二等三等野谷荘司妙法山白川村・石川県白川村・石川県]","https://ja.wikipedia.org/w/index.php?title=野谷荘司山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"三方岩岳","[117三方岩岳さんぽういわだけ1,736白川村・石川県日本三百名山] 三方岩岳 （さんぽういわだけ）は、 石川県 白山市 と 岐阜県 大野郡 白川村 にまたがり、 両白山地 の北部に位置する 標高 1,736 m の 山 である。 白山国立公園 内にあり  、 日本三百名山  及び ぎふ百山  に選定されている。","https://ja.wikipedia.org/wiki/三方岩岳","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯36度15分30秒東経136度50分40秒","石川県白山市岐阜県大野郡白川村","1,736m","北緯36度15分30秒東経136度50分40秒﻿ / ﻿北緯36.25833度 東経136.84444度﻿ /36.25833; 136.84444座標:北緯36度15分30秒東経136度50分40秒﻿ / ﻿北緯36.25833度 東経136.84444度﻿ /36.25833; 136.84444","両白山地","火山","","","","","","","","","","","","","",""
"人形山","[118人形山にんぎょうさん1,726白川村・富山県日本三百名山] 人形山 （にんぎょうざん）は、 富山県 南砺市 （ 五箇山 地域）と 岐阜県 白川村 （ 白川郷 ）にまたがる 飛騨高地 北部に位置する 標高 1,726 m の 山 である  。 日本三百名山  、 新日本百名山  および ぎふ百山  の一つに選定されている。 登山 口は富山県側にある。","https://ja.wikipedia.org/wiki/人形山","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯36度20分56秒東経136度56分23秒","日本富山県南砺市岐阜県大野郡白川村","1,726m","北緯36度20分56秒東経136度56分23秒﻿ / ﻿北緯36.34889度 東経136.93972度﻿ /36.34889; 136.93972座標:北緯36度20分56秒東経136度56分23秒﻿ / ﻿北緯36.34889度 東経136.93972度﻿ /36.34889; 136.93972","飛騨高地","","","","","","","","","","","","","","",""
"オゾウゾ山 (存在しないページ)","[119オゾウゾ山おぞうぞやま1,085.29　三等小白川白川村・富山県]","https://ja.wikipedia.org/w/index.php?title=オゾウゾ山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"笈ヶ岳","[120笈ヶ岳おいずるがたけ1,841.35　三等笈岳白川村・石川県・富山県日本二百名山] 笈ヶ岳 （おいずるがたけ）は、 石川県 、 富山県 、 岐阜県 の3県にまたがる 標高 1,841 m 山 。 白山国立公園 内の 両白山地 の北側に位置し、 日本二百名山  に選定されている。","https://ja.wikipedia.org/wiki/笈ヶ岳","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯36度17分55秒東経136度47分32秒","富山県南砺市、石川県白山市、岐阜県大野郡白川村","1841.35m","北緯36度17分55秒東経136度47分32秒﻿ / ﻿北緯36.29861度 東経136.79222度﻿ /36.29861; 136.79222","両白山地","","1518年以前","","","","","","","","","","","","",""
"烏帽子岳 (鈴鹿山脈)","[1烏帽子岳えぼしだけ864.73　二等烏帽子岳大垣市・三重県いなべ市鈴鹿山脈、最高点872 m] 烏帽子岳 （えぼしだけ）は、 岐阜県 大垣市 と 三重県 いなべ市 にまたがる 鈴鹿山脈 の北部に位置する 標高 865 m の 山 。 続ぎふ百山 に選定されている  。","https://ja.wikipedia.org/wiki/烏帽子岳_(鈴鹿山脈)","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯35度13分41秒東経136度26分04秒","日本岐阜県大垣市三重県いなべ市藤原町篠立","864.73m","北緯35度13分41秒東経136度26分04秒﻿ / ﻿北緯35.22806度 東経136.43444度﻿ /35.22806; 136.43444座標:北緯35度13分41秒東経136度26分04秒﻿ / ﻿北緯35.22806度 東経136.43444度﻿ /35.22806; 136.43444","鈴鹿山脈","堆積岩（石灰岩）","","","","","","","","","","","","","",""
"多度山","[2多度山たどやま402.74　二等柚井村海津市・三重県桑名市養老山地] 多度山 （たどやま、たどさん）は 三重県 桑名市 と 岐阜県 海津市 にまたがる 標高 403 m の 山 。 養老山地 の南端に位置する。","https://ja.wikipedia.org/wiki/多度山","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯35度08分40.4秒東経136度37分32.3秒","日本三重県桑名市多度町岐阜県海津市南濃町","402.74m","北緯35度08分40.4秒東経136度37分32.3秒﻿ / ﻿北緯35.144556度 東経136.625639度﻿ /35.144556; 136.625639座標:北緯35度08分40.4秒東経136度37分32.3秒﻿ / ﻿北緯35.144556度 東経136.625639度﻿ /35.144556; 136.625639","養老山地","","","","","","","","","","","","","","",""
"霊仙山","[3霊仙山りょうぜんさん1,094（二等・1,083.45）霊仙山大垣市・滋賀県多賀町鈴鹿山脈] 霊仙山 （りょうぜんざん、りょうぜんやま）は、 滋賀県 の 犬上郡 多賀町 と 米原市 にまたがる 鈴鹿山脈 の最北に位置する 標高 1,094 m の 山 。山の東山腹は 岐阜県 大垣市 上石津町 と 不破郡 関ケ原町 に属する。北側には 伊吹山 が対峙している。『 花の百名山 』  として花の多い山であることが知られていて  、シーズン中は多くの登山者が訪れる。","https://ja.wikipedia.org/wiki/霊仙山","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯35度16分45秒東経136度22分53秒","日本滋賀県犬上郡多賀町、米原市岐阜県大垣市上石津町、不破郡関ケ原町","1,094m","北緯35度16分45秒東経136度22分53秒﻿ / ﻿北緯35.27917度 東経136.38139度﻿ /35.27917; 136.38139","鈴鹿山脈","堆積岩（石灰岩）","","","","","","","","","","","","","",""
"凡天 (存在しないページ)","[4凡天ぼんてん617.78　二等今須村関ケ原町・大垣市]","https://ja.wikipedia.org/w/index.php?title=凡天&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"笙ヶ岳","[5笙ヶ岳しょうがたけ908.30　四等笙ヶ岳大垣市養老山地の最高峰] 笙ヶ岳 （しょうがたけ）は、 岐阜県 大垣市 （旧 養老郡 上石津町 ）にある、 養老山地 の 最高峰 の 標高 908.3 m の 山 。山頂には 四等三角点  が設置されており、一帯は 揖斐関ヶ原養老国定公園 に指定されている。","https://ja.wikipedia.org/wiki/笙ヶ岳","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯35度17分01.1027秒東経136度30分40.3453秒","日本岐阜県大垣市","908.30m","北緯35度17分01.1027秒東経136度30分40.3453秒﻿ / ﻿北緯35.283639639度 東経136.511207028度﻿ /35.283639639; 136.511207028","養老山地","堆積岩（石灰岩）","","","","","","","","","","","","","",""
"南宮山","[6南宮山なんぐうさん419.23　二等牧田村垂井町・大垣市南宮大社] 南宮山 （なんぐうさん）は、 岐阜県 大垣市  、 不破郡 垂井町 、 関ケ原町 、 養老郡 養老町 にまたがる 標高 419 m の 山   。山頂は大垣市と垂井町の境界にある  。山域は 1970年 （ 昭和 45年）12月28日に、 揖斐関ヶ原養老国定公園 の指定を受けている  。別名が、「美濃ノ中山」  。","https://ja.wikipedia.org/wiki/南宮山","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯35度20分48.5815秒東経136度30分35.2634秒","日本岐阜県大垣市、不破郡垂井町、関ケ原町、養老郡養老町","419.02m","北緯35度20分48.5815秒東経136度30分35.2634秒﻿ / ﻿北緯35.346828194度 東経136.509795389度﻿ /35.346828194; 136.509795389座標:北緯35度20分48.5815秒東経136度30分35.2634秒﻿ / ﻿北緯35.346828194度 東経136.509795389度﻿ /35.346828194; 136.509795389","独立峰","","","","","","","","","","","","","","",""
"金生山","[7金生山きんしょうざん217石灰岩採掘大垣市] 金生山 （正式名称：かなぶやま。通称：きんしょうざん）は、 岐阜県 大垣市 赤坂町 から 揖斐郡 池田町 に跨る  、 伊吹山地 の南東端に位置する 山 である。","https://ja.wikipedia.org/wiki/金生山","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯35度24分20.2秒東経136度34分24.4秒","日本岐阜県大垣市赤坂町、揖斐郡池田町","217m","北緯35度24分20.2秒東経136度34分24.4秒﻿ / ﻿北緯35.405611度 東経136.573444度﻿ /35.405611; 136.573444","伊吹山地","隆起石灰層","（689年役小角が開基）","","","","","","","","","","","","",""
"ブンゲン (存在しないページ)","[8ブンゲンぶんげん1,259.72　三等大岩谷揖斐川町・滋賀県米原市グランスノー奥伊吹、別名は射能山]","https://ja.wikipedia.org/w/index.php?title=ブンゲン&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"鍋倉山 (存在しないページ)","[9鍋倉山なべくらやま1,049.88　三等前谷揖斐川町東海自然歩道]","https://ja.wikipedia.org/w/index.php?title=鍋倉山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"三国岳","[10三国岳みくにだけ1,209揖斐川町・滋賀県長浜市・福井県南越前町夜叉ヶ池] 三国岳 （みくにだけ/さんごくだけ）は、 日本 各地に見られる 山 の名称である  。例外も存在するが、 三国山 (曖昧さ回避) と同様に多くが三国の国境の交点に鎮座する。山頂部が三国の国境の交点からずれる場合も少なくない。","https://ja.wikipedia.org/wiki/三国岳","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"烏帽子山","[11烏帽子山えぼしやま1,242.18　三等烏帽子揖斐川町] 烏帽子山 （えぼしやま）、または 烏帽子岳 （えぼしだけ）という名の山は日本各地に存在する。何れも形が 烏帽子 の形をしていることから名付けられる場合が多い。","https://ja.wikipedia.org/wiki/烏帽子山","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"湧谷山 (存在しないページ)","[12湧谷山わくたにやま1,079.66　三等湧谷揖斐川町遊らんど坂内スキー場]","https://ja.wikipedia.org/w/index.php?title=湧谷山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"飯盛山","[13飯盛山いいもりやま745揖斐川町西津汲] 飯盛山 は、 日本 の 山 の 名前 である。","https://ja.wikipedia.org/wiki/飯盛山","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"鏡山","[14鏡山かがみやま1,086揖斐川町徳山湖] 鏡山 （かがみやま）","https://ja.wikipedia.org/wiki/鏡山","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"杉倉 (存在しないページ)","[15杉倉すぎくら1,281.57　三等杉谷揖斐川町・福井県大野市]","https://ja.wikipedia.org/w/index.php?title=杉倉&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"磯倉 (存在しないページ)","[16磯倉いそくら1,541揖斐川町・福井県大野市能郷白山の南西]","https://ja.wikipedia.org/w/index.php?title=磯倉&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"青波 (存在しないページ)","[17青波あおなみ1,080.55　二等青波揖斐川町・本巣市]","https://ja.wikipedia.org/w/index.php?title=青波&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"西台山 (存在しないページ)","[18西台山せいだいさん949揖斐川町・本巣市]","https://ja.wikipedia.org/w/index.php?title=西台山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"塔ノ倉 (存在しないページ)","[19塔ノ倉とうのくら715.66　三等塔ノ倉揖斐川町]","https://ja.wikipedia.org/w/index.php?title=塔ノ倉&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"妙法ヶ岳","[20妙法ヶ岳みょうほうがだけ666.93　三等岐礼揖斐川町東海自然歩道・麓に華厳寺] 妙法ヶ岳 （みょうほうがたけ）","https://ja.wikipedia.org/wiki/妙法ヶ岳","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"岩岳","[21岩岳いわたけ999.48　三等桧山本巣市] 岩岳 （いわたけ、いわだけ）","https://ja.wikipedia.org/wiki/岩岳","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"魚金山 (存在しないページ)","[22魚金山いおがねやま940（三等・921.15）（魚金）本巣市]","https://ja.wikipedia.org/w/index.php?title=魚金山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"祐向山 (存在しないページ)","[23祐向山ゆうこやま374.26　三等城本巣市・岐阜市]","https://ja.wikipedia.org/w/index.php?title=祐向山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"釜ヶ谷山 (存在しないページ)","[24釜ヶ谷山かまがたにやま696.04　二等釜ケ谷本巣市・山県市]","https://ja.wikipedia.org/w/index.php?title=釜ヶ谷山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"天狗ヶ城 (存在しないページ)","[25天狗ヶ城てんぐがじょう684山県市天狗城]","https://ja.wikipedia.org/w/index.php?title=天狗ヶ城&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"明神山","[26明神山みょうじんやま1,136本巣市・関市上大須ダム] 明神山 （みょうじんやま、みょうじんさん）","https://ja.wikipedia.org/wiki/明神山","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"平家岳","[27平家岳へいけだけ1,441.54　二等平家岳関市・福井県大野市] 平家岳 （へいけだけ）は 岐阜県 と 福井県 の 県境 にある、 標高 1,442 m の 山 。山頂部は福井県 大野市 にある  。","https://ja.wikipedia.org/wiki/平家岳","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯35度48分35秒東経136度43分08秒","日本福井県大野市・岐阜県関市","1,441.54m","北緯35度48分35秒東経136度43分08秒﻿ / ﻿北緯35.80972度 東経136.71889度﻿ /35.80972; 136.71889座標:北緯35度48分35秒東経136度43分08秒﻿ / ﻿北緯35.80972度 東経136.71889度﻿ /35.80972; 136.71889","両白山地","","","","","","","","","","","","","","",""
"金華山 (岐阜県)","[28金華山きんかざん328.86　二等金花山岐阜市岐阜城] 金華山 （きんかざん）は、 岐阜県 岐阜市 にある 標高 329 m の 山 。旧称 稲葉山 （いなばやま）。","https://ja.wikipedia.org/wiki/金華山_(岐阜県)","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯35度26分00秒東経136度46分53秒","岐阜県岐阜市","328.86m","北緯35度26分00秒東経136度46分53秒﻿ / ﻿北緯35.43333度 東経136.78139度﻿ /35.43333; 136.78139","独立峰","堆積岩（チャート）","","","","","","","","","","","","","",""
"舟伏山 (岐阜市) (存在しないページ)","[29舟伏山ふなぶせやま261.95　三等船伏山岐阜市]","https://ja.wikipedia.org/w/index.php?title=舟伏山_(岐阜市)&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"百々ヶ峰","[30百々ヶ峰どどがみね417.85　三等百々峰岐阜市岐阜市の最高峰] 百々ヶ峰 （どどがみね）は、 岐阜県 岐阜市 の 最高峰 である 標高 417.9 m の 山 である。 長良川 の北側にあり、その対岸の 金華山 と対峙している。北側の山腹を 東海自然歩道 が通り  、 三田洞 地区から 長良古津 地区には「ながら川ふれあいの森」（管理区域233 ha ）が整備され、四季の森センターや各種 広場 ・ キャンプ場 のほか  、周辺には遊歩道が整備されている  。","https://ja.wikipedia.org/wiki/百々ヶ峰","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","北緯35度27分47秒東経136度48分00秒","岐阜県岐阜市","417.86m","北緯35度27分47秒東経136度48分00秒﻿ / ﻿北緯35.46306度 東経136.80000度﻿ /35.46306; 136.80000座標:北緯35度27分47秒東経136度48分00秒﻿ / ﻿北緯35.46306度 東経136.80000度﻿ /35.46306; 136.80000","伊自良山地","堆積岩（チャート）","","","","","","","","","","","","","",""
"眉山 (岐阜市)","[31眉山びざん231.17　三等岩崎岐阜市] 眉山 （びざん）は、 岐阜県 岐阜市 にある標高231 m の 山  。低い山だが、 岐阜県山岳連盟 （編）『 続ぎふ百山 』 岐阜新聞社 （ 1987年 7月）に紹介されている  。","https://ja.wikipedia.org/wiki/眉山_(岐阜市)","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","日本岐阜県岐阜市","231.18m","","","","","","","","","","","","","","","","",""
"如来ヶ岳 (存在しないページ)","[32如来ヶ岳にょらいがたけ276.05　一等檜峠岐阜市・山県市]","https://ja.wikipedia.org/w/index.php?title=如来ヶ岳&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"古城山 (存在しないページ)","[33古城山こじょうざん407.46　二等大桑城山山県市]","https://ja.wikipedia.org/w/index.php?title=古城山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"分陽寺山 (存在しないページ)","[34分陽寺山ぶんようじやま519.61　三等谷口関市]","https://ja.wikipedia.org/w/index.php?title=分陽寺山&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"相戸岳 (存在しないページ)","[35相戸岳あいどだけ671.71　二等柿野山県市]","https://ja.wikipedia.org/w/index.php?title=相戸岳&amp;action=edit&amp;redlink=1","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
"北山","[36北山きたやま925（三等・907.52）（乾）山県市] 北山 （きたやま、ほくざん）","https://ja.wikipedia.org/wiki/北山","ぎふ百山","https://ja.wikipedia.org/wiki/ぎふ百山","表形式","","","","","","","","","","","","","","","","","","","",""
