"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","位置","所属事業者","所属路線","キロ程","電報略号","駅構造","ホーム","乗車人員,-統計年度-","開業年月日","備考","乗降人員,-統計年度-","駅番号","乗降人員,-統計年次-","乗換","乗車人員,-統計年次-","標高","Hidden","Hidden","Hidden","Hidden"
"稲尾駅","稲尾駅（いなおえき）","https://ja.wikipedia.org/wiki/稲尾駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","長野県大町市平稲尾[1]北緯36度33分15.53秒東経137度50分33.36秒﻿ / ﻿北緯36.5543139度 東経137.8426000度﻿ /36.5543139; 137.8426000座標:北緯36度33分15.53秒東経137度50分33.36秒﻿ / ﻿北緯36.5543139度 東経137.8426000度﻿ /36.5543139; 137.8426000","","東日本旅客鉄道（JR東日本）","■大糸線","41.6 km（松本起点）","イナ[1]","地上駅","1面1線[1]","6人/日（降車客含まず）-2011年-","1960年（昭和35年）7月20日[2][3]","無人駅[2]標高：769.7m[1]","","□20[報道 1]","","","","","","",""
"伊那大島駅","伊那大島駅（いなおおしまえき）","https://ja.wikipedia.org/wiki/伊那大島駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","長野県下伊那郡松川町元大島[1]1415-3北緯35度35分44.24秒東経137度54分47.10秒﻿ / ﻿北緯35.5956222度 東経137.9130833度﻿ /35.5956222; 137.9130833座標:北緯35度35分44.24秒東経137度54分47.10秒﻿ / ﻿北緯35.5956222度 東経137.9130833度﻿ /35.5956222; 137.9130833","","東海旅客鉄道（JR東海）","CD飯田線","143.1 km（豊橋起点）","イオ[1]←イヲ","地上駅","2面2線[1]","361人/日（降車客含まず）-2018年-","1922年（大正11年）7月13日[1]","簡易委託駅[1]標高：519m[1]","","","","","","","","",""
"田舎館駅","田舎館駅（いなかだてえき）","https://ja.wikipedia.org/wiki/田舎館駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","青森県南津軽郡田舎館村大字高樋字深山林10-7北緯40度38分12.97秒東経140度34分16.39秒﻿ / ﻿北緯40.6369361度 東経140.5712194度﻿ /40.6369361; 140.5712194座標:北緯40度38分12.97秒東経140度34分16.39秒﻿ / ﻿北緯40.6369361度 東経140.5712194度﻿ /40.6369361; 140.5712194","","弘南鉄道","弘南線","13.8 km（弘前起点）","","地上駅","1面2線","","1950年（昭和25年）7月1日","無人駅","179人/日-2017年-","","","","","","","",""
"伊那上郷駅","伊那上郷駅（いなかみさとえき）","https://ja.wikipedia.org/wiki/伊那上郷駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","長野県飯田市上郷黒田[1]276北緯35度31分12.56秒東経137度50分20.33秒﻿ / ﻿北緯35.5201556度 東経137.8389806度﻿ /35.5201556; 137.8389806座標:北緯35度31分12.56秒東経137度50分20.33秒﻿ / ﻿北緯35.5201556度 東経137.8389806度﻿ /35.5201556; 137.8389806","","東海旅客鉄道（JR東海）","CD飯田線","131.1 km（豊橋起点）","イナ[1]","地上駅","1面1線[1]","675人/日（降車客含まず）-2018年-","1923年（大正12年）8月から12月ごろ**[1]","駅員無配置駅[1]標高：500m[1]","","","","","","","","",""
"稲城駅","稲城駅（いなぎえき）","https://ja.wikipedia.org/wiki/稲城駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","東京都稲城市東長沼3108番地北緯35度38分10秒東経139度30分1秒﻿ / ﻿北緯35.63611度 東経139.50028度﻿ /35.63611; 139.50028﻿ (稲城駅)座標:北緯35度38分10秒東経139度30分1秒﻿ / ﻿北緯35.63611度 東経139.50028度﻿ /35.63611; 139.50028﻿ (稲城駅)","","京王電鉄","■相模原線","5.5 km（調布起点）新宿から21.0 km","","地上駅（橋上駅）","2面2線（有効長210m）","","1974年（昭和49年）10月18日","","21,522人/日-2019年-","KO38","","","","","","",""
"伊那北駅","伊那北駅（いなきたえき）","https://ja.wikipedia.org/wiki/伊那北駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","長野県伊那市山寺[1]1930北緯35度50分42.14秒東経137度57分50.92秒﻿ / ﻿北緯35.8450389度 東経137.9641444度﻿ /35.8450389; 137.9641444座標:北緯35度50分42.14秒東経137度57分50.92秒﻿ / ﻿北緯35.8450389度 東経137.9641444度﻿ /35.8450389; 137.9641444","","東海旅客鉄道（JR東海）","CD飯田線","178.9 km（豊橋起点）","ナキ[1]","地上駅","2面3線[1]","1,024人/日（降車客含まず）-2018年-","1912年（明治45年）1月4日[1]","駅員無配置駅[1]標高：643m[1]","","","","","","","","",""
"稲城長沼駅","稲城長沼駅（いなぎながぬまえき）","https://ja.wikipedia.org/wiki/稲城長沼駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","東京都稲城市東長沼556北緯35度38分39.4秒東経139度30分9.9秒﻿ / ﻿北緯35.644278度 東経139.502750度﻿ /35.644278; 139.502750座標:北緯35度38分39.4秒東経139度30分9.9秒﻿ / ﻿北緯35.644278度 東経139.502750度﻿ /35.644278; 139.502750","","東日本旅客鉄道（JR東日本）","■南武線","24.1 km（川崎起点）","ナヌ","高架駅","2面4線","8,242人/日（降車客含まず）-2019年-","1927年（昭和2年）11月1日[1]","業務委託駅[報道 1][2]","","JN18","","","","","","",""
"稲毛駅","稲毛駅（いなげえき）","https://ja.wikipedia.org/wiki/稲毛駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","千葉市稲毛区稲毛東三丁目19-11北緯35度38分14秒東経140度5分33秒﻿ / ﻿北緯35.63722度 東経140.09250度﻿ /35.63722; 140.09250﻿ (稲毛駅)座標:北緯35度38分14秒東経140度5分33秒﻿ / ﻿北緯35.63722度 東経140.09250度﻿ /35.63722; 140.09250﻿ (稲毛駅)","","東日本旅客鉄道（JR東日本）","■総武線（快速）[※ 1]","35.9 km（東京起点）","ナケ","高架駅","2面4線","49,966人/日（降車客含まず）-2019年-","1899年（明治32年）9月13日[1]","直営駅（管理駅）みどりの窓口有","","JO27","","","","","","",""
"稲毛海岸駅","稲毛海岸駅（いなげかいがんえき）","https://ja.wikipedia.org/wiki/稲毛海岸駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","千葉県千葉市美浜区高洲三丁目24-1北緯35度37分46.2秒東経140度4分26秒﻿ / ﻿北緯35.629500度 東経140.07389度﻿ /35.629500; 140.07389﻿ (稲毛海岸駅)","","東日本旅客鉄道（JR東日本）","■京葉線","35.3 km（東京起点）","ナイ","高架駅","2面2線","21,716人/日（降車客含まず）-2019年-","1986年（昭和61年）3月3日[1]","業務委託駅[2][3]","","JE15","","","","","","",""
"依那古駅","依那古駅（いなこえき・伊賀鉄道伊賀線）","https://ja.wikipedia.org/wiki/依那古駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","三重県伊賀市沖北緯34度42分55.34秒東経136度9分10.36秒﻿ / ﻿北緯34.7153722度 東経136.1528778度﻿ /34.7153722; 136.1528778座標:北緯34度42分55.34秒東経136度9分10.36秒﻿ / ﻿北緯34.7153722度 東経136.1528778度﻿ /34.7153722; 136.1528778","","伊賀鉄道","■伊賀線","10.6 km（伊賀上野起点）","","地上駅","1面1線","49人/日（降車客含まず）-2019年-","1922年（大正11年）7月18日","無人駅","","","","","","","","",""
"稲子駅","稲子駅（いなこえき・東海旅客鉄道身延線）","https://ja.wikipedia.org/wiki/稲子駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","静岡県富士宮市下稲子355北緯35度13分50.45秒東経138度32分12.67秒","","東海旅客鉄道（JR東海）","CC身延線","24.0 km（富士起点）","イコ","地上駅","1面1線","8人/日（降車客含まず）-2019年-","1929年（昭和4年）8月15日[1]","駅員無配置駅","","","","","","","","",""
"伊那小沢駅","伊那小沢駅（いなこざわえき）","https://ja.wikipedia.org/wiki/伊那小沢駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","長野県下伊那郡天龍村平岡[1]1876北緯35度15分14.80秒東経137度50分5.18秒﻿ / ﻿北緯35.2541111度 東経137.8347722度﻿ /35.2541111; 137.8347722座標:北緯35度15分14.80秒東経137度50分5.18秒﻿ / ﻿北緯35.2541111度 東経137.8347722度﻿ /35.2541111; 137.8347722","","東海旅客鉄道（JR東海）","CD飯田線","90.1 km（豊橋起点）","コサ[1]","地上駅","2面2線[1]","2人/日（降車客含まず）-2018年-","1936年（昭和11年）12月30日[1]","駅員無配置駅[1]標高：291m[1]","","","","","","","","",""
"稲佐山","稲佐岳駅（いなさだけえき）","https://ja.wikipedia.org/wiki/稲佐山","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","日本長崎県長崎市","北緯32度45分12.1秒東経129度50分57.6秒座標:北緯32度45分12.1秒 東経129度50分57.6秒","","","","","","","","","","","","","","","333m","","",""
"稲沢駅","稲沢駅（いなざわえき）","https://ja.wikipedia.org/wiki/稲沢駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","愛知県稲沢市駅前一丁目9-1北緯35度15分8.546秒東経136度49分16.381秒","","東海旅客鉄道（JR東海）日本貨物鉄道（JR貨物）","CA東海道本線（名古屋地区）","377.1 km（東京起点）","イナ","地上駅（橋上駅）","1面2線","9,023人/日（降車客含まず）-2019年-","1904年（明治37年）8月5日","業務委託駅JR全線きっぷうりば有","","CA  71 ","","","","","","",""
"伊那市駅","伊那市駅（いなしえき）","https://ja.wikipedia.org/wiki/伊那市駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","長野県伊那市荒井[1]3465北緯35度50分18.96秒東経137度57分33.48秒﻿ / ﻿北緯35.8386000度 東経137.9593000度﻿ /35.8386000; 137.9593000座標:北緯35度50分18.96秒東経137度57分33.48秒﻿ / ﻿北緯35.8386000度 東経137.9593000度﻿ /35.8386000; 137.9593000","","東海旅客鉄道（JR東海）","CD飯田線","178.0 km（豊橋起点）","ナシ[1]","地上駅","2面2線[1]","1,252人/日（降車客含まず）-2018年-","1912年（明治45年）5月14日[1]","駅長配置駅（管理駅）[1]JR全線きっぷうりば有*1954年に伊那町駅から改称[1]。標高：640m[1]","","","","","","","","",""
"伊那新町駅","伊那新町駅（いなしんまちえき）","https://ja.wikipedia.org/wiki/伊那新町駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","","","東海旅客鉄道（JR東海）","CD飯田線","193.4 km（豊橋起点）","イマ[1]","地上駅","1面2線[1]","67人/日（降車客含まず）-2018年-","1909年（明治42年）12月28日**","駅員無配置駅[1]標高：719m[1]","","","","","","","","",""
"稲梓駅","稲梓駅（いなずさえき）","https://ja.wikipedia.org/wiki/稲梓駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","静岡県下田市落合92番地の1北緯34度43分16.96秒東経138度56分57.58秒﻿ / ﻿北緯34.7213778度 東経138.9493278度﻿ /34.7213778; 138.9493278座標:北緯34度43分16.96秒東経138度56分57.58秒﻿ / ﻿北緯34.7213778度 東経138.9493278度﻿ /34.7213778; 138.9493278","","伊豆急行","■伊豆急行線","40.7 km（伊東起点）熱海から57.6 km","","地上駅","1面2線","25人/日（降車客含まず）-2019年-","1961年（昭和36年）12月10日","無人駅","","IZ14","","","","","","",""
"稲田駅","稲田駅（いなだえき）","https://ja.wikipedia.org/wiki/稲田駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","茨城県笠間市稲田2333北緯36度22分6.77秒東経140度12分51.51秒座標:北緯36度22分6.77秒 東経140度12分51.51秒","","東日本旅客鉄道（JR東日本）","■水戸線","40.1 km（小山起点）","イナ","地上駅","2面2線","147人/日（降車客含まず）-2019年-","1898年（明治31年）5月8日","簡易委託駅","","","","","","","","",""
"伊那田島駅","伊那田島駅（いなたじまえき）","https://ja.wikipedia.org/wiki/伊那田島駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","長野県上伊那郡中川村片桐[1]2199北緯35度37分39.00秒東経137度54分36.77秒﻿ / ﻿北緯35.6275000度 東経137.9102139度﻿ /35.6275000; 137.9102139座標:北緯35度37分39.00秒東経137度54分36.77秒﻿ / ﻿北緯35.6275000度 東経137.9102139度﻿ /35.6275000; 137.9102139","","東海旅客鉄道（JR東海）","CD飯田線","148.2 km（豊橋起点）","ナタ[1]","地上駅","1面1線[1]","9人/日（降車客含まず）-2018年-","1920年（大正9年）11月22日[1]","駅員無配置駅[1]標高：635m[1]","","","","","","","","",""
"稲田堤駅","稲田堤駅（いなだづつみえき）","https://ja.wikipedia.org/wiki/稲田堤駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","川崎市多摩区菅稲田堤一丁目1-1北緯35度38分1.1秒東経139度32分7秒﻿ / ﻿北緯35.633639度 東経139.53528度﻿ /35.633639; 139.53528﻿ (稲田堤駅)座標:北緯35度38分1.1秒東経139度32分7秒﻿ / ﻿北緯35.633639度 東経139.53528度﻿ /35.633639; 139.53528﻿ (稲田堤駅)","","東日本旅客鉄道（JR東日本）","■南武線","20.8 km（川崎起点）","ツツ","地上駅","2面2線","26,453人/日（降車客含まず）-2019年-","1927年（昭和2年）11月1日[1]","業務委託駅","","JN16","","京王稲田堤駅（京王相模原線）","","","","",""
"伊奈中央駅","伊奈中央駅（いなちゅうおうえき）","https://ja.wikipedia.org/wiki/伊奈中央駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","埼玉県北足立郡伊奈町大字小室北緯35度59分58.1秒東経139度37分1.8秒﻿ / ﻿北緯35.999472度 東経139.617167度﻿ /35.999472; 139.617167座標:北緯35度59分58.1秒東経139度37分1.8秒﻿ / ﻿北緯35.999472度 東経139.617167度﻿ /35.999472; 139.617167","","埼玉新都市交通","■伊奈線（ニューシャトル）","10.5 km（大宮起点）","","高架駅","1面2線","","1983年（昭和58年）12月22日[1]","","2,017人/日-2016年-","NS11","","","","","","",""
"稲積公園駅","稲積公園駅（いなづみこうえんえき）","https://ja.wikipedia.org/wiki/稲積公園駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","札幌市手稲区富丘1条4丁目北緯43度6分43.1秒東経141度15分25.52秒﻿ / ﻿北緯43.111972度 東経141.2570889度﻿ /43.111972; 141.2570889﻿ (稲積公園駅)","","北海道旅客鉄道（JR北海道）","■函館本線","277.0 km（函館起点）","スミ","高架駅","2面2線","4,673人/日（降車客含まず）-2018年-","1986年（昭和61年）11月1日[1]","札幌市内駅*業務委託駅*みどりの窓口 有","","○S06","","","","","","",""
"猪名寺駅","猪名寺駅（いなでらえき）","https://ja.wikipedia.org/wiki/猪名寺駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","兵庫県尼崎市猪名寺二丁目1番1号[1]北緯34度45分50.71秒東経135度25分21.4秒﻿ / ﻿北緯34.7640861度 東経135.422611度﻿ /34.7640861; 135.422611座標:北緯34度45分50.71秒東経135度25分21.4秒﻿ / ﻿北緯34.7640861度 東経135.422611度﻿ /34.7640861; 135.422611","","西日本旅客鉄道（JR西日本）","G福知山線（JR宝塚線）","3.9km（尼崎起点）大阪から11.6 km","イテ","地上駅（橋上駅）[1]","2面2線[1]","9,732人/日（降車客含まず）-2019年-","1981年（昭和56年）4月1日[1]","直営駅[1]みどりの券売機プラス設置駅","","JR-G51","","","","","","",""
"稲戸井駅","稲戸井駅（いなといえき）","https://ja.wikipedia.org/wiki/稲戸井駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","茨城県取手市米ノ井2-2北緯35度55分35.03秒東経140度1分20.77秒﻿ / ﻿北緯35.9263972度 東経140.0224361度﻿ /35.9263972; 140.0224361﻿ (稲戸井駅)座標:北緯35度55分35.03秒東経140度1分20.77秒﻿ / ﻿北緯35.9263972度 東経140.0224361度﻿ /35.9263972; 140.0224361﻿ (稲戸井駅)","","関東鉄道","■常総線","5.4 km（取手起点）","","地上駅","2面2線","","1913年（大正2年）11月1日[2]","無人駅","1,412[1]人/日-2019年-","","","","","","","",""
"稲野駅","稲野駅（いなのえき）","https://ja.wikipedia.org/wiki/稲野駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","兵庫県伊丹市稲野町1丁目50番地1[1]北緯34度45分53.38秒東経135度24分56.02秒﻿ / ﻿北緯34.7648278度 東経135.4155611度﻿ /34.7648278; 135.4155611座標:北緯34度45分53.38秒東経135度24分56.02秒﻿ / ﻿北緯34.7648278度 東経135.4155611度﻿ /34.7648278; 135.4155611","","阪急電鉄","■伊丹線","1.4 km（塚口起点）","","地上駅[2]","2面2線[2]","","1921年（大正10年）5月10日[2]","","（特定日）8,383人/日-2016年-","○HK-18","（通年平均）7,654人/日-2017年-","","","","","",""
"因幡船岡駅","因幡船岡駅（いなばふなおかえき）","https://ja.wikipedia.org/wiki/因幡船岡駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","","","若桜鉄道","若桜線","2.4 km（郡家起点）","フオ","地上駅","1面1線","","1930年（昭和5年）1月20日","簡易委託駅","35人/日-2018年-","","","","","","","",""
"因幡社駅","因幡社駅（いなばやしろえき）","https://ja.wikipedia.org/wiki/因幡社駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","鳥取県鳥取市用瀬町宮原43北緯35度18分45.00秒東経134度11分47.89秒","","西日本旅客鉄道（JR西日本）","B因美線","24.9 km（鳥取起点）","ヤロ","地上駅","1面1線","19人/日（降車客含まず）-2019年-","1923年（大正12年）6月5日","簡易委託駅","","","","","","","","",""
"稲原駅","稲原駅（いなはらえき）","https://ja.wikipedia.org/wiki/稲原駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","","","西日本旅客鉄道（JR西日本）","W紀勢本線（きのくに線）","313.6km（亀山起点）新宮から133.4 km","イラ","地上駅","2面2線","68人/日（降車客含まず）-2019年-","1930年（昭和5年）12月14日[1]","無人駅","","","","","","","","",""
"伊那福岡駅","伊那福岡駅（いなふくおかえき）","https://ja.wikipedia.org/wiki/伊那福岡駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","長野県駒ヶ根市赤穂福岡[1]北緯35度42分45.30秒東経137度56分1.77秒﻿ / ﻿北緯35.7125833度 東経137.9338250度﻿ /35.7125833; 137.9338250座標:北緯35度42分45.30秒東経137度56分1.77秒﻿ / ﻿北緯35.7125833度 東経137.9338250度﻿ /35.7125833; 137.9338250","","東海旅客鉄道（JR東海）","CD飯田線","162.9 km（豊橋起点）","イフ[1]","地上駅","2面2線[1]","324人/日（降車客含まず）-2018年-","1914年（大正3年）12月26日[1]","駅員無配置駅[1]標高：663m[1]","","","","","","","","",""
"稲穂駅","稲穂駅（いなほえき）","https://ja.wikipedia.org/wiki/稲穂駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","札幌市手稲区稲穂1条5丁目北緯43度7分41.05秒東経141度13分22.27秒","","北海道旅客鉄道（JR北海道）","■函館本線","273.7 km（函館起点）","イナ","地上駅","2面2線","915人/日（降車客含まず）-2018年-","1986年（昭和61年）11月1日[1]","札幌市内駅*無人駅","","○S08","","","","","","",""
"伊那本郷駅","伊那本郷駅（いなほんごうえき）","https://ja.wikipedia.org/wiki/伊那本郷駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","長野県上伊那郡飯島町本郷[1]1886北緯35度39分55.33秒東経137度55分57.14秒﻿ / ﻿北緯35.6653694度 東経137.9325389度﻿ /35.6653694; 137.9325389座標:北緯35度39分55.33秒東経137度55分57.14秒﻿ / ﻿北緯35.6653694度 東経137.9325389度﻿ /35.6653694; 137.9325389","","東海旅客鉄道（JR東海）","CD飯田線","155.1 km（豊橋起点）","イウ[1]","地上駅","2面2線[1]","43人/日（降車客含まず）-2018年-","1918年（大正7年）7月23日[1]","駅員無配置駅[1]標高：645m[1]","","","","","","","","",""
"伊那松島駅","伊那松島駅（いなまつしまえき）","https://ja.wikipedia.org/wiki/伊那松島駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","","","東海旅客鉄道（JR東海）","CD飯田線","187.1 km（豊橋起点）","ママ[1]","地上駅[1]","2面2線[1]","506人/日（降車客含まず）-2018年-","1909年（明治42年）12月28日[1]","簡易委託駅*1923年に松島駅から改称[1]。標高：680m[1]","","","","","","","","",""
"印南駅","印南駅（いなみえき）","https://ja.wikipedia.org/wiki/印南駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","","","西日本旅客鉄道（JR西日本）","W紀勢本線（きのくに線）","309.3km（亀山起点）新宮から129.1 km","イミ","地上駅","2面3線","155人/日（降車客含まず）-2019年-","1930年（昭和5年）12月14日[1]","簡易委託駅","","","","","","","","",""
"稲村ヶ崎駅","稲村ヶ崎駅（いなむらがさきえき）","https://ja.wikipedia.org/wiki/稲村ヶ崎駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","神奈川県鎌倉市稲村ガ崎二丁目8-1北緯35度18分15.4秒東経139度31分20.2秒﻿ / ﻿北緯35.304278度 東経139.522278度﻿ /35.304278; 139.522278﻿ (稲村ヶ崎駅)座標:北緯35度18分15.4秒東経139度31分20.2秒﻿ / ﻿北緯35.304278度 東経139.522278度﻿ /35.304278; 139.522278﻿ (稲村ヶ崎駅)","","江ノ島電鉄","江ノ島電鉄線","6.8 km（藤沢起点）","","地上駅","1面2線","","1904年（明治37年）4月1日","","4,309人/日-2019年-","EN10","","","","","","",""
"伊那八幡駅","伊那八幡駅（いなやわたえき）","https://ja.wikipedia.org/wiki/伊那八幡駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","長野県飯田市八幡町[1]2191北緯35度29分48.13秒東経137度50分29.15秒﻿ / ﻿北緯35.4967028度 東経137.8414306度﻿ /35.4967028; 137.8414306座標:北緯35度29分48.13秒東経137度50分29.15秒﻿ / ﻿北緯35.4967028度 東経137.8414306度﻿ /35.4967028; 137.8414306","","東海旅客鉄道（JR東海）","CD飯田線","123.6 km（豊橋起点）","ヤハ[1]","地上駅","2面2線[1]","199人/日（降車客含まず）-2018年-","1926年（大正15年）12月17日[1]","駅員無配置駅[1]標高：414m[1]","","","","","","","","",""
"稲荷駅","稲荷駅（いなりえき）","https://ja.wikipedia.org/wiki/稲荷駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","京都市伏見区深草稲荷御前町北緯34度58分0.6秒東経135度46分15.06秒﻿ / ﻿北緯34.966833度 東経135.7708500度﻿ /34.966833; 135.7708500﻿ (稲荷駅)座標:北緯34度58分0.6秒東経135度46分15.06秒﻿ / ﻿北緯34.966833度 東経135.7708500度﻿ /34.966833; 135.7708500﻿ (稲荷駅)","","西日本旅客鉄道（JR西日本）","D奈良線","32.0 km（木津起点）","イナ","地上駅","2面2線","8,877人/日（降車客含まず）-2019年-","1879年（明治12年）8月18日","業務委託駅みどりの券売機プラス設置駅京都市内駅","","JR-D03","","","","","","",""
"稲荷口駅","稲荷口駅（いなりぐちえき）","https://ja.wikipedia.org/wiki/稲荷口駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","愛知県豊川市駅前通三丁目33北緯34度49分6.5秒東経137度23分15.6秒﻿ / ﻿北緯34.818472度 東経137.387667度﻿ /34.818472; 137.387667座標:北緯34度49分6.5秒東経137度23分15.6秒﻿ / ﻿北緯34.818472度 東経137.387667度﻿ /34.818472; 137.387667","","名古屋鉄道","豊川線","6.0 km（国府起点）","","地上駅","1面2線","","1954年（昭和29年）4月1日","無人駅（国府駅管理）","1,045人/日-2019年[1]-","TK  03 ","","","","","","",""
"稲荷町駅 (東京都)","稲荷町駅 (東京都)（いなりちょうえき・東京地下鉄銀座線）","https://ja.wikipedia.org/wiki/稲荷町駅_(東京都)","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","東京都台東区東上野三丁目33-11北緯35度42分40.8秒東経139度46分58秒﻿ / ﻿北緯35.711333度 東経139.78278度﻿ /35.711333; 139.78278座標:北緯35度42分40.8秒東経139度46分58秒﻿ / ﻿北緯35.711333度 東経139.78278度﻿ /35.711333; 139.78278","","東京地下鉄（東京メトロ）","●[1]銀座線","1.5 km（浅草起点）","イナ","地下駅","2面2線","","1927年（昭和2年）12月30日","業務委託駅（メトロコマース）","18,410人/日-2019年-","G17[1]","","","","","","",""
"稲荷町駅 (富山県)","稲荷町駅 (富山県)（いなりまちえき・富山地方鉄道本線・不二越線）","https://ja.wikipedia.org/wiki/稲荷町駅_(富山県)","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","富山県富山市稲荷町4丁目1番73号北緯36度41分47.75秒東経137度13分52.49秒﻿ / ﻿北緯36.6965972度 東経137.2312472度﻿ /36.6965972; 137.2312472﻿ (稲荷町駅)座標:北緯36度41分47.75秒東経137度13分52.49秒﻿ / ﻿北緯36.6965972度 東経137.2312472度﻿ /36.6965972; 137.2312472﻿ (稲荷町駅)","","富山地方鉄道","■本線","1.6 km（電鉄富山起点）","","地上駅","3面3線","557人/日（降車客含まず）-2018年-","1914年（大正3年）12月6日","直営駅","1,185人/日-2018年-","T02","","","","","","",""
"稲荷町停留場","稲荷町停留場（いなりまちていりゅうじょう・広島電鉄本線）","https://ja.wikipedia.org/wiki/稲荷町停留場","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","広島市南区稲荷町・的場町一丁目北緯34度23分33.59秒東経132度28分16.38秒﻿ / ﻿北緯34.3926639度 東経132.4712167度﻿ /34.3926639; 132.4712167﻿ (稲荷町停留場)座標:北緯34度23分33.59秒東経132度28分16.38秒﻿ / ﻿北緯34.3926639度 東経132.4712167度﻿ /34.3926639; 132.4712167﻿ (稲荷町停留場)","","広島電鉄","■本線","0.8 km（広島駅起点）","","地上駅","2面2線","","1912年（大正元年）11月23日","","2,109[1]人/日-2019年-","●M4","","","","","","",""
"稲荷山駅","稲荷山駅（いなりやまえき）","https://ja.wikipedia.org/wiki/稲荷山駅","日本の鉄道駅一覧_い","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_い","","長野県長野市篠ノ井塩崎[1]北緯36度33分9.8秒東経138度6分29.61秒﻿ / ﻿北緯36.552722度 東経138.1082250度﻿ /36.552722; 138.1082250座標:北緯36度33分9.8秒東経138度6分29.61秒﻿ / ﻿北緯36.552722度 東経138.1082250度﻿ /36.552722; 138.1082250","","東日本旅客鉄道（JR東日本）","■篠ノ井線","3.3 km（篠ノ井起点）","ナリ","地上駅","2面2線[1]","329人/日（降車客含まず）-2019年-","1900年（明治33年）11月1日[1]","簡易委託駅標高：358.0m","","","","","","","","",""
