"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","所在地","開業年月日","駅構造","ホーム","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","種類","本社所在地","業種","法人番号","代表者","外部リンク"
"笹平駅","笹平駅（ささだいらえき）","https://ja.wikipedia.org/wiki/笹平駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯36度47分0.06秒東経137度37分26.33秒","黒部峡谷鉄道本線","7.0 km（宇奈月起点）","黒部峡谷鉄道","富山県黒部市北緯36度47分0.06秒東経137度37分26.33秒座標:北緯36度47分0.06秒 東経137度37分26.33秒","1953年11月16日","","単式 1面1線","専用駅","","","","","","","","","","",""
"笹津駅","笹津駅（ささづえき）","https://ja.wikipedia.org/wiki/笹津駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯36度33分43.50秒東経137度12分40.68秒","■高山本線","200.5 km（岐阜起点）猪谷から11.3 km","西日本旅客鉄道（JR西日本）","富山県富山市笹津860北緯36度33分43.50秒東経137度12分40.68秒座標:北緯36度33分43.50秒 東経137度12分40.68秒","1929年（昭和4年）10月1日","地上駅","1面2線","無人駅（自動券売機 有）","","ササ","100人/日（降車客含まず）-2019年-","","","","","","","",""
"笹塚駅","笹塚駅（ささづかえき）","https://ja.wikipedia.org/wiki/笹塚駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度40分25.2秒東経139度40分2秒","■京王線","3.6 km（京王線新宿起点）","京王電鉄","東京都渋谷区笹塚一丁目56番7号北緯35度40分25.2秒東経139度40分2秒﻿ / ﻿北緯35.673667度 東経139.66722度﻿ /35.673667; 139.66722﻿ (笹塚駅)座標:北緯35度40分25.2秒東経139度40分2秒﻿ / ﻿北緯35.673667度 東経139.66722度﻿ /35.673667; 139.66722﻿ (笹塚駅)","1913年（大正2年）4月15日","高架駅","2面4線","","KO04","","","82,813人/日-2019年-","","","","","","",""
"笹貫停留場","笹貫停留場（ささぬきていりゅうじょう）","https://ja.wikipedia.org/wiki/笹貫停留場","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯31度32分22.45秒東経130度32分2.45秒","鹿児島市電谷山線（1系統）","4.9km（武之橋起点）鹿児島駅前から7.9 km","鹿児島市交通局","鹿児島県鹿児島市東谷山一丁目北緯31度32分22.45秒東経130度32分2.45秒﻿ / ﻿北緯31.5395694度 東経130.5340139度﻿ /31.5395694; 130.5340139﻿ (笹貫停留場)","1915年10月25日","地上駅","2面2線","","●I23","","","1,648人/日-2015年-","","","","","","",""
"篠原駅 (愛知県)","篠原駅 (愛知県)（ささばらえき・愛知環状鉄道）","https://ja.wikipedia.org/wiki/篠原駅_(愛知県)","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度9分17秒東経137度7分14.3秒","■愛知環状鉄道線","29.2 km（岡崎起点）","愛知環状鉄道","愛知県豊田市篠原町砂ケ入15-3北緯35度9分17秒東経137度7分14.3秒﻿ / ﻿北緯35.15472度 東経137.120639度﻿ /35.15472; 137.120639座標:北緯35度9分17秒東経137度7分14.3秒﻿ / ﻿北緯35.15472度 東経137.120639度﻿ /35.15472; 137.120639","1988年（昭和63年）1月31日","高架駅","2面2線","無人駅","○17","ササ","","294人/日-2019年-","","","","","","",""
"笹原田駅","笹原田駅（ささはらだえき）","https://ja.wikipedia.org/wiki/笹原田駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯36度32分2.27秒東経140度8分41.01秒","■真岡線","38.1 km（下館起点）","真岡鐵道","栃木県芳賀郡市貝町笹原田59-1北緯36度32分2.27秒東経140度8分41.01秒﻿ / ﻿北緯36.5339639度 東経140.1447250度﻿ /36.5339639; 140.1447250﻿ (笹原田駅)座標:北緯36度32分2.27秒東経140度8分41.01秒﻿ / ﻿北緯36.5339639度 東経140.1447250度﻿ /36.5339639; 140.1447250﻿ (笹原田駅)","1992年（平成4年）3月14日[1]","地上駅","1面1線","","","","4人/日（降車客含まず）-2019年-","","","","","","","",""
"笹原駅","笹原駅（ささばるえき）","https://ja.wikipedia.org/wiki/笹原駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯33度33分11.79秒東経130度26分55.01秒","JB鹿児島本線","83.3 km（門司港起点）","九州旅客鉄道（JR九州）","福岡市南区井尻三丁目17北緯33度33分11.79秒東経130度26分55.01秒﻿ / ﻿北緯33.5532750度 東経130.4486139度﻿ /33.5532750; 130.4486139﻿ (笹原駅)","1987年（昭和62年）3月9日","地上駅","2面2線","業務委託駅みどりの窓口有福岡市内駅","JB  02 ","サル","5,531人/日（降車客含まず）-2019年-","","","","","","","",""
"笹部駅","笹部駅（ささべえき）","https://ja.wikipedia.org/wiki/笹部駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯34度53分37.59秒東経135度24分58.58秒","妙見線","8.6 km（川西能勢口起点）","能勢電鉄","兵庫県川西市笹部字川原277-2[1]北緯34度53分37.59秒東経135度24分58.58秒﻿ / ﻿北緯34.8937750度 東経135.4162722度﻿ /34.8937750; 135.4162722座標:北緯34度53分37.59秒東経135度24分58.58秒﻿ / ﻿北緯34.8937750度 東経135.4162722度﻿ /34.8937750; 135.4162722","1923年（大正12年）11月3日[2]","地上駅[1]","単式1面1線[1]","無人駅[1]","●NS11","","","","","","","","","",""
"笹谷駅","笹谷駅（ささやえき）","https://ja.wikipedia.org/wiki/笹谷駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯37度47分15.2秒東経140度26分22.9秒","福島交通飯坂線","4.2 km（福島駅起点）","福島交通","福島県福島市笹谷字三本松18-2北緯37度47分15.2秒東経140度26分22.9秒﻿ / ﻿北緯37.787556度 東経140.439694度﻿ /37.787556; 140.439694座標:北緯37度47分15.2秒東経140度26分22.9秒﻿ / ﻿北緯37.787556度 東経140.439694度﻿ /37.787556; 140.439694","1924年（大正13年）4月13日","地上駅","1面2線","1924年前谷地駅として開業1925年現駅名に改称。","","","","1,146人/日-2018年-","","","","","","",""
"篠山口駅","篠山口駅（ささやまぐちえき）","https://ja.wikipedia.org/wiki/篠山口駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度3分22.35秒東経135度10分39.46秒","G福知山線（当駅より南矢代方はJR宝塚線）","58.4 km（尼崎起点）大阪から66.1 km","西日本旅客鉄道（JR西日本）","兵庫県丹波篠山市大沢字高伏ノ坪165-3[1]北緯35度3分22.35秒東経135度10分39.46秒﻿ / ﻿北緯35.0562083度 東経135.1776278度﻿ /35.0562083; 135.1776278﻿ (篠山口駅)座標:北緯35度3分22.35秒東経135度10分39.46秒﻿ / ﻿北緯35.0562083度 東経135.1776278度﻿ /35.0562083; 135.1776278﻿ (篠山口駅)","1899年（明治32年）3月25日[1]","地上駅（橋上駅）[1]","2面3線[1]","直営駅[1]（管理駅）みどりの券売機プラス設置駅[2]","JR-G69（JR宝塚線）","サク","3,532人/日（降車客含まず）-2016年-","","","","","","","",""
"佐志生駅","佐志生駅（さしうえき）","https://ja.wikipedia.org/wiki/佐志生駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","","■日豊本線","159.0 km（小倉起点）","九州旅客鉄道（JR九州）","","1947年（昭和22年）10月1日[1]","地上駅","1面2線[1]","無人駅[1]（自動券売機 有）","","サウ","66人/日（降車客含まず）-2015年-","","","","","","","",""
"指扇駅","指扇駅（さしおうぎえき）","https://ja.wikipedia.org/wiki/指扇駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度55分1.27秒東経139度33分54.35秒","■川越線","7.7 km（大宮起点）大崎から44.6 km","東日本旅客鉄道（JR東日本）","さいたま市西区大字宝来1716北緯35度55分1.27秒東経139度33分54.35秒﻿ / ﻿北緯35.9170194度 東経139.5650972度﻿ /35.9170194; 139.5650972﻿ (指扇駅)","1940年（昭和15年）7月22日[1]","地上駅（橋上駅）","2面2線[1]","業務委託駅","","サシ","10,761人/日（降車客含まず）-2019年-","","","","","","","",""
"佐敷駅","佐敷駅（さしきえき）","https://ja.wikipedia.org/wiki/佐敷駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯32度18分9.1秒東経130度29分49.6秒","肥薩おれんじ鉄道線","29.8km（八代起点）262.1 km（門司港起点）","肥薩おれんじ鉄道","熊本県葦北郡芦北町大字花岡字西1653番地4北緯32度18分9.1秒東経130度29分49.6秒﻿ / ﻿北緯32.302528度 東経130.497111度﻿ /32.302528; 130.497111座標:北緯32度18分9.1秒東経130度29分49.6秒﻿ / ﻿北緯32.302528度 東経130.497111度﻿ /32.302528; 130.497111","1925年（大正14年）4月15日","地上駅","2面3線（実質2面2線）","簡易委託駅","OR09","オレサシ","263人/日（降車客含まず）-2018年-","","","","","","","",""
"刺巻駅","刺巻駅（さしまきえき）","https://ja.wikipedia.org/wiki/刺巻駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯39度40分7秒東経140度41分31.1秒","■田沢湖線","31.2 km（大曲起点）","東日本旅客鉄道（JR東日本）","秋田県仙北市田沢湖刺巻字大道242北緯39度40分7秒東経140度41分31.1秒﻿ / ﻿北緯39.66861度 東経140.691972度﻿ /39.66861; 140.691972座標:北緯39度40分7秒東経140度41分31.1秒﻿ / ﻿北緯39.66861度 東経140.691972度﻿ /39.66861; 140.691972","1923年（大正12年）8月31日","地上駅","2面2線","無人駅[1]","","サシ","","","","","","","","",""
"佐世保駅","佐世保駅（させぼえき）","https://ja.wikipedia.org/wiki/佐世保駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯33度9分49.90秒東経129度43分32.63秒","■佐世保線（■大村線直通含む）","48.8 km（肥前山口起点）","■九州旅客鉄道（JR九州）■松浦鉄道","長崎県佐世保市三浦町21-1北緯33度9分49.90秒東経129度43分32.63秒﻿ / ﻿北緯33.1638611度 東経129.7257306度﻿ /33.1638611; 129.7257306﻿ (佐世保駅)","1898年（明治31年）1月20日","高架駅","（JR九州）3面6線（松浦鉄道）1面2線","共同使用駅JR九州：直営駅JR九州：みどりの窓口有松浦鉄道：直営駅","","サホ","（JR九州）3,838人/日（降車客含まず）-2018年-（松浦鉄道）789人/日（降車客含まず）-2017年-","（松浦鉄道）1,514人/日-2017年-","","","","","","",""
"佐世保中央駅","佐世保中央駅（させぼちゅうおうえき）","https://ja.wikipedia.org/wiki/佐世保中央駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯33度10分15.66秒東経129度43分14.70秒","■西九州線","92.8 km（有田起点）","松浦鉄道","長崎県佐世保市島瀬町北緯33度10分15.66秒東経129度43分14.70秒","1990年（平成2年）3月10日","高架駅","1面1線","窓口・自動券売機は昼間のみ","","","","909人/日-2018年-","","","","","","",""
"貞光駅","貞光駅（さだみつえき）","https://ja.wikipedia.org/wiki/貞光駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯34度2分21.67秒東経134度3分31.59秒","■徳島線","19.4 km（佃起点）","四国旅客鉄道（JR四国）","徳島県美馬郡つるぎ町貞光字馬出56北緯34度2分21.67秒東経134度3分31.59秒﻿ / ﻿北緯34.0393528度 東経134.0587750度﻿ /34.0393528; 134.0587750座標:北緯34度2分21.67秒東経134度3分31.59秒﻿ / ﻿北緯34.0393528度 東経134.0587750度﻿ /34.0393528; 134.0587750","1914年（大正3年）3月25日","地上駅","1面2線","業務委託駅","○B18","サミ","432人/日（降車客含まず）-2014年-","","","","","","","",""
"英彦山花園スロープカー","幸駅 (福岡県)（さちえき・英彦山花園スロープカー）","https://ja.wikipedia.org/wiki/英彦山花園スロープカー#乗降場","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"幸浦駅","幸浦駅（さちうらえき）","https://ja.wikipedia.org/wiki/幸浦駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度21分30秒東経139度38分37.4秒","■金沢シーサイドライン","4.3 km（新杉田起点）","横浜シーサイドライン","横浜市金沢区幸浦二丁目北緯35度21分30秒東経139度38分37.4秒﻿ / ﻿北緯35.35833度 東経139.643722度﻿ /35.35833; 139.643722﻿ (幸浦駅)座標:北緯35度21分30秒東経139度38分37.4秒﻿ / ﻿北緯35.35833度 東経139.643722度﻿ /35.35833; 139.643722﻿ (幸浦駅)","1989年（平成元年）7月5日[1]","高架駅","島式 1面2線","","6","","2,866人/日（降車客含まず）-2019年-","5,631人/日-2019年-","","","","","","",""
"佐津駅","佐津駅（さつえき）","https://ja.wikipedia.org/wiki/佐津駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度39分12.18秒東経134度41分7.34秒","A山陰本線","173.4 km（京都起点）","西日本旅客鉄道（JR西日本）","兵庫県美方郡香美町香住区無南垣字左近谷口186-1[1]北緯35度39分12.18秒東経134度41分7.34秒﻿ / ﻿北緯35.6533833度 東経134.6853722度﻿ /35.6533833; 134.6853722﻿ (佐津駅)","1911年（明治44年）10月25日[1]","地上駅[1]","1面2線[1]","無人駅[1]","","サツ","118人/日（降車客含まず）-2016年-","","","","","","","",""
"撮影所前駅","撮影所前駅（さつえいしょまええき）","https://ja.wikipedia.org/wiki/撮影所前駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度0分56.7秒東経135度42分10秒","■北野線","3.5 km（北野白梅町起点）","京福電気鉄道","京都市右京区太秦上ノ段町1-5[1]北緯35度0分56.7秒東経135度42分10秒﻿ / ﻿北緯35.015750度 東経135.70278度﻿ /35.015750; 135.70278座標:北緯35度0分56.7秒東経135度42分10秒﻿ / ﻿北緯35.015750度 東経135.70278度﻿ /35.015750; 135.70278","2016年（平成28年）4月1日[2]","地上駅","相対式2面1線[1]","","●B1","","","607人/日-2019年-","太秦駅（嵯峨野線）","","","","","",""
"札苅駅","札苅駅（さつかりえき）","https://ja.wikipedia.org/wiki/札苅駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯41度41分57.2秒東経140度28分5.3秒","■道南いさりび鉄道線","34.0 km（五稜郭起点）","道南いさりび鉄道","北海道上磯郡木古内町字札苅鉄道用地[1]北緯41度41分57.2秒東経140度28分5.3秒﻿ / ﻿北緯41.699222度 東経140.468139度﻿ /41.699222; 140.468139﻿ (札苅駅)","1930年（昭和5年）10月25日[1]","地上駅","2面2線[1]","簡易委託駅","●sh02","サカ","","10[2]人/日-2019年-","","","","","","",""
"五月台駅","五月台駅（さつきだいえき）","https://ja.wikipedia.org/wiki/五月台駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯35度36分0.5秒東経139度29分37秒","多摩線","1.5 km（新百合ヶ丘起点）新宿から23.0 km","小田急電鉄","川崎市麻生区五力田3丁目18番1号北緯35度36分0.5秒東経139度29分37秒﻿ / ﻿北緯35.600139度 東経139.49361度﻿ /35.600139; 139.49361座標:北緯35度36分0.5秒東経139度29分37秒﻿ / ﻿北緯35.600139度 東経139.49361度﻿ /35.600139; 139.49361","1974年（昭和49年）6月1日","地上駅（橋上駅）","2面2線","","OT01","","","10,192人/日-2019年-","","","","","","",""
"さつき野駅","さつき野駅（さつきのえき）","https://ja.wikipedia.org/wiki/さつき野駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯37度48分47.9秒東経139度7分1.7秒","■信越本線（■磐越西線直通含む）","122.6 km（直江津起点）","東日本旅客鉄道（JR東日本）","新潟市秋葉区さつき野[1]一丁目1-10北緯37度48分47.9秒東経139度7分1.7秒﻿ / ﻿北緯37.813306度 東経139.117139度﻿ /37.813306; 139.117139座標:北緯37度48分47.9秒東経139度7分1.7秒﻿ / ﻿北緯37.813306度 東経139.117139度﻿ /37.813306; 139.117139","1991年（平成3年）3月16日[1]","地上駅（橋上駅）","2面2線[1]","業務委託駅","","サキ","960人/日（降車客含まず）-2019年-","","","","","","","",""
"咲来駅","咲来駅（さっくるえき）","https://ja.wikipedia.org/wiki/咲来駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯44度41分34秒東経142度16分3秒","■宗谷本線","124.7 km（旭川起点）","北海道旅客鉄道（JR北海道）","北海道中川郡音威子府村字咲来北緯44度41分34秒東経142度16分3秒","1912年（大正元年）11月5日","地上駅","1面1線","無人駅","○W60","クル","","2人/日-2014年-","","","","","","",""
"雑餉隈駅","雑餉隈駅（ざっしょのくまえき）","https://ja.wikipedia.org/wiki/雑餉隈駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯33度32分50.01秒東経130度27分45.72秒","■天神大牟田線","8.0 km（西鉄福岡（天神）起点）","西日本鉄道","福岡市博多区麦野四丁目北緯33度32分50.01秒東経130度27分45.72秒﻿ / ﻿北緯33.5472250度 東経130.4627000度﻿ /33.5472250; 130.4627000座標:北緯33度32分50.01秒東経130度27分45.72秒﻿ / ﻿北緯33.5472250度 東経130.4627000度﻿ /33.5472250; 130.4627000","1924年（大正13年）4月12日","地上駅","2面2線","","T  07 ","","","16,089人/日-2019年-","","","","","","",""
"札弦駅","札弦駅（さっつるえき）","https://ja.wikipedia.org/wiki/札弦駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯43度47分11.39秒東経144度31分54.19秒","■釧網本線","57.0 km（網走起点）","北海道旅客鉄道（JR北海道）","北海道斜里郡清里町札弦町北緯43度47分11.39秒東経144度31分54.19秒","1929年（昭和4年）11月14日","地上駅","1面1線","無人駅","○B68","ツル","","18人/日-2014年-","","","","","","",""
"幸手駅","幸手駅（さってえき）","https://ja.wikipedia.org/wiki/幸手駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯36度4分29.14秒東経139度42分54.51秒","■日光線","5.8 km（東武動物公園起点）","東武鉄道","埼玉県幸手市中一丁目1番23号北緯36度4分29.14秒東経139度42分54.51秒﻿ / ﻿北緯36.0747611度 東経139.7151417度﻿ /36.0747611; 139.7151417座標:北緯36度4分29.14秒東経139度42分54.51秒﻿ / ﻿北緯36.0747611度 東経139.7151417度﻿ /36.0747611; 139.7151417","1929年（昭和4年）4月1日","地上駅（橋上駅舎）","2面2線","","TN02","サテ","","13,574人/日-2019年（令和元年）-","","","","","","",""
"札内駅","札内駅（さつないえき）","https://ja.wikipedia.org/wiki/札内駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯42度54分45.71秒東経143度15分22.49秒","■根室本線","184.9 km（滝川起点）","北海道旅客鉄道（JR北海道）","北海道中川郡幕別町札内中央町北緯42度54分45.71秒東経143度15分22.49秒﻿ / ﻿北緯42.9126972度 東経143.2562472度﻿ /42.9126972; 143.2562472﻿ (札内駅)","1910年（明治43年）1月7日","地上駅","2面2線","業務委託駅みどりの窓口 有","○K32","サナ","","626人/日-2018年-","","","","","","",""
"さっぽろ駅","さっぽろ駅（札幌市営地下鉄南北線）","https://ja.wikipedia.org/wiki/さっぽろ駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯43度3分59.1秒東経141度21分2秒","南北線","4.9 km（麻生起点）","札幌市交通局","北海道札幌市中央区北4条西4丁目（南北線）・北4条西2丁目（東豊線）北緯43度3分59.1秒東経141度21分2秒﻿ / ﻿北緯43.066417度 東経141.35056度﻿ /43.066417; 141.35056座標:北緯43度3分59.1秒東経141度21分2秒﻿ / ﻿北緯43.066417度 東経141.35056度﻿ /43.066417; 141.35056","1971年（昭和46年）12月16日","地下駅","島式 2面4線","","○N06","","87,120人/日（降車客含まず）-2019年-","","北海道旅客鉄道（JR北海道）札幌駅（函館本線・千歳線・札沼線）","","","","","",""
"札幌駅","札幌駅（さっぽろえき・北海道旅客鉄道函館本線）","https://ja.wikipedia.org/wiki/札幌駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯43度4分7秒東経141度21分2.8秒","■■函館本線（■札沼線・■千歳線直通含む）","286.3 km（函館起点）","北海道旅客鉄道（JR北海道）","札幌市北区北6条西4丁目1-1（駅ビルは中央区北5条）北緯43度4分7秒東経141度21分2.8秒﻿ / ﻿北緯43.06861度 東経141.350778度﻿ /43.06861; 141.350778﻿ (札幌駅)座標:北緯43度4分7秒東経141度21分2.8秒﻿ / ﻿北緯43.06861度 東経141.350778度﻿ /43.06861; 141.350778﻿ (札幌駅)","1880年（明治13年）11月28日","高架駅","5面10線","札幌市内駅（中心駅）直営駅（管理駅）みどりの窓口有話せる券売機設置駅[1]","○01","サツ","98,122人/日（降車客含まず）-2019年-","","札幌市営地下鉄さっぽろ駅南北線（○N06）東豊線（○H07）","","","","","",""
"札幌貨物ターミナル駅","札幌貨物ターミナル駅（さっぽろかもつターミナルえき）","https://ja.wikipedia.org/wiki/札幌貨物ターミナル駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯43度2分37.6秒東経141度26分38.3秒","函館本線","295.1 km（函館起点）","日本貨物鉄道（JR貨物）","札幌市白石区流通センター3丁目1-48北緯43度2分37.6秒東経141度26分38.3秒﻿ / ﻿北緯43.043778度 東経141.443972度﻿ /43.043778; 141.443972座標:北緯43度2分37.6秒東経141度26分38.3秒﻿ / ﻿北緯43.043778度 東経141.443972度﻿ /43.043778; 141.443972","1968年（昭和43年）10月1日","地上駅","なし","貨物専用駅","","タミ","","","","","","","","",""
"サッポロビール庭園駅","サッポロビール庭園駅（サッポロビールていえんえき）","https://ja.wikipedia.org/wiki/サッポロビール庭園駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯42度52分2.96秒東経141度36分17.31秒","■千歳線","27.1 km（沼ノ端起点）","北海道旅客鉄道（JR北海道）","北海道恵庭市戸磯北緯42度52分2.96秒東経141度36分17.31秒座標:北緯42度52分2.96秒 東経141度36分17.31秒","1990年（平成2年）7月1日[1]","地上駅","島式 2面4線","無人駅","○H11","サホ","","338人/日-2014年-","","","","","","",""
"薩摩板敷駅","薩摩板敷駅（さつまいたしきえき）","https://ja.wikipedia.org/wiki/薩摩板敷駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯31度15分44.37秒東経130度19分51.59秒","指宿枕崎線","84.4 km（鹿児島中央起点）","九州旅客鉄道（JR九州）","鹿児島県枕崎市板敷南町3418北緯31度15分44.37秒東経130度19分51.59秒","1963年（昭和38年）10月31日","地上駅","1面1線","無人駅","","サイ","50人/日（降車客含まず）-2015年-","102人/日-2015年-","","","","","","",""
"薩摩今和泉駅","薩摩今和泉駅（さつまいまいずみえき）","https://ja.wikipedia.org/wiki/薩摩今和泉駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯31度17分27.33秒東経130度35分55.45秒","指宿枕崎線","37.9 km（鹿児島中央起点）","九州旅客鉄道（JR九州）","鹿児島県指宿市岩本2972北緯31度17分27.33秒東経130度35分55.45秒","1934年（昭和9年）12月19日","地上駅","1面2線","無人駅","","イマ","446人/日（降車客含まず）-2019年-","","","","","","","",""
"薩摩大川駅","薩摩大川駅（さつまおおかわえき）","https://ja.wikipedia.org/wiki/薩摩大川駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯31度56分58.23秒東経130度13分9.19秒","肥薩おれんじ鉄道線","95.7km（八代起点）328.0 km（門司港起点）","肥薩おれんじ鉄道","鹿児島県阿久根市大川北緯31度56分58.23秒東経130度13分9.19秒﻿ / ﻿北緯31.9495083度 東経130.2192194度﻿ /31.9495083; 130.2192194座標:北緯31度56分58.23秒東経130度13分9.19秒﻿ / ﻿北緯31.9495083度 東経130.2192194度﻿ /31.9495083; 130.2192194","1936年（昭和11年）12月15日","地上駅","相対式 2面2線","無人駅","OR23","オレサオ","13人/日（降車客含まず）-2015年-","27人/日-2015年-","","","","","","",""
"薩摩川尻駅","薩摩川尻駅（さつまかわしりえき）","https://ja.wikipedia.org/wiki/薩摩川尻駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯31度11分41.41秒東経130度33分55.40秒","指宿枕崎線","57.8 km（鹿児島中央起点）","九州旅客鉄道（JR九州）","鹿児島県指宿市開聞仙田4771北緯31度11分41.41秒東経130度33分55.40秒","1960年（昭和35年）3月22日","地上駅","1面1線","無人駅","","ワリ","17人/日（降車客含まず）-2015年-","34人/日-2015年-","","","","","","",""
"薩摩塩屋駅","薩摩塩屋駅（さつましおやえき）","https://ja.wikipedia.org/wiki/薩摩塩屋駅","日本の鉄道駅一覧_さ","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_さ","箇条書き,制限あり","北緯31度15分25.47秒東経130度22分33.89秒","指宿枕崎線","79.9 km（鹿児島中央起点）","九州旅客鉄道（JR九州）","鹿児島県南九州市知覧町塩屋27023北緯31度15分25.47秒東経130度22分33.89秒","1963年（昭和38年）10月31日","地上駅","1面1線","無人駅","","シヤ","0.1人/日（降車客含まず）-2015年-","0.3人/日-2015年-","","","","","","",""
