"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","開館","専門分野","事業主体","管理運営","外部リンク","正式名称","延床面積","前身","アクセス","館長","愛称","建物設計","来館者数","収蔵作品数","閉館","公式サイト","研究職員"
"国立科学博物館","[国立科学博物館] 国立科学博物館 （こくりつかがくはくぶつかん、英称:National Museum of Nature and Science、略称:かはく、科博）は、 独立行政法人国立科学博物館 が運営する 日本 の 博物館 。","https://ja.wikipedia.org/wiki/国立科学博物館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯35度42分58.89秒東経139度46分35.16秒","〒110-8718東京都台東区上野公園7番20号","北緯35度42分58.89秒東経139度46分35.16秒﻿ / ﻿北緯35.7163583度 東経139.7764333度﻿ /35.7163583; 139.7764333座標:北緯35度42分58.89秒東経139度46分35.16秒﻿ / ﻿北緯35.7163583度 東経139.7764333度﻿ /35.7163583; 139.7764333","1926年11月2日（開館式挙行日。設立は1877年1月）","自然科学","","独立行政法人国立科学博物館","公式サイト","","91,871m2（2012年4月1日時点、分館等含む）","東京科学博物館・東京教育博物館","JR・東京メトロ上野駅京成本線京成上野駅より徒歩","林良博","科博、かはく","本館 - 日本館－糟谷謙三（文部省大臣官房建築課）地球館－国土交通省関東地方整備局、芦原建築設計研究所","288万4,518人（2017年度）","約470万点（2019年度時点）常設展示は2011年度時点で約1万4千点（2011年度時点）","","","60人（2012年度）"
"神奈川県立生命の星・地球博物館","[神奈川県立生命の星・地球博物館] 神奈川県立生命の星・地球博物館 （かながわけんりつせいめいのほし・ちきゅうはくぶつかん）は、 神奈川県 小田原市 にある 自然科学 系の 博物館  。「地球及び生命の営みに関する資料の収集、保管及び展示並びにこれに関する調査研究、情報提供等を行い、県民の学習活動を支援すること  。」を目的に神奈川県が設置・運営を行っている。館長は 平田大二 。","https://ja.wikipedia.org/wiki/神奈川県立生命の星・地球博物館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯35度14分21.2秒東経139度7分16.5秒","〒250-0031日本神奈川県小田原市入生田499番地","北緯35度14分21.2秒東経139度7分16.5秒﻿ / ﻿北緯35.239222度 東経139.121250度﻿ /35.239222; 139.121250","1995年3月","自然科学関連","神奈川県","神奈川県教育委員会","https://nh.kanagawa-museum.jp/","神奈川県立生命の星・地球博物館","","神奈川県立博物館自然史部門","入生田駅徒歩3分箱根口インターチェンジより600m山崎インターチェンジより700m","","地球博物館","","","","","",""
"藤子・F・不二雄ミュージアム","[藤子・F・不二雄ミュージアム] 川崎市 藤子・F・不二雄ミュージアム （かわさきし ふじこ・エフ・ふじおミュージアム）は、 神奈川県 川崎市 多摩区 に立地する、 漫画家 藤子・F・不二雄 （藤本弘）の作品原画やその関連資料を中心に展示する 博物館 である。 2011年 （ 平成 23年） 9月3日 開館。","https://ja.wikipedia.org/wiki/藤子・F・不二雄ミュージアム","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯35度36分36秒東経139度34分25秒","〒214-0023神奈川県川崎市多摩区長尾2丁目8-1","北緯35度36分36秒東経139度34分25秒﻿ / ﻿北緯35.61000度 東経139.57361度﻿ /35.61000; 139.57361座標:北緯35度36分36秒東経139度34分25秒﻿ / ﻿北緯35.61000度 東経139.57361度﻿ /35.61000; 139.57361","2011年（平成23年）9月3日","藤子・F・不二雄の漫画作品","川崎市","株式会社藤子ミュージアム","川崎市 藤子・F・不二雄ミュージアム","川崎市藤子・F・不二雄ミュージアム","約3,600m2","","向ヶ丘遊園駅・宿河原駅から徒歩15-16分登戸駅から専用有料シャトルバス久地駅・二子玉川駅・梶が谷駅・溝の口駅・武蔵溝ノ口駅より路線バス","宮野哲也","藤子・F・不二雄ミュージアム、Fミュージアム、Fミュ","","400万人（2021年4月24日現在）","","","",""
"横須賀市自然・人文博物館","[横須賀市自然・人文博物館] 横須賀市自然・人文博物館 （よこすかししぜん・じんぶんはくぶつかん）とは 神奈川県 横須賀市 にある市営の 博物館 である。自然博物館と人文博物館の2館で成り立っており、 三浦半島 の自然と人文、両分野の資料の展示や保存、研究を行っている。","https://ja.wikipedia.org/wiki/横須賀市自然・人文博物館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯35度16分28.5秒東経139度40分25秒","〒238-0016神奈川県横須賀市深田台95","北緯35度16分28.5秒東経139度40分25秒﻿ / ﻿北緯35.274583度 東経139.67361度﻿ /35.274583; 139.67361座標:北緯35度16分28.5秒東経139度40分25秒﻿ / ﻿北緯35.274583度 東経139.67361度﻿ /35.274583; 139.67361","1954年（昭和29年）","三浦半島の自然・歴史・文化","横須賀市","横須賀市","横須賀市自然・人文博物館","","","","","","","","","","","",""
"川崎市市民ミュージアム","[川崎市市民ミュージアム] 川崎市市民ミュージアム （かわさきししみんミュージアム）は、 神奈川県 川崎市 中原区 の 等々力緑地 にある公立 博物館 ・ 美術館 。ミュージアムショップ、図書閲覧室などの施設もある、総合的な文化施設である。","https://ja.wikipedia.org/wiki/川崎市市民ミュージアム","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯35度35分18.9秒東経139度38分50.1秒","〒211-0052神奈川県川崎市中原区等々力1-2","北緯35度35分18.9秒東経139度38分50.1秒﻿ / ﻿北緯35.588583度 東経139.647250度﻿ /35.588583; 139.647250座標:北緯35度35分18.9秒東経139度38分50.1秒﻿ / ﻿北緯35.588583度 東経139.647250度﻿ /35.588583; 139.647250","1988年11月","博物館・美術館","川崎市","","川崎市市民ミュージアム","川崎市市民ミュージアム","19,542m2","","","大野正勝（2018年 - ）","","菊竹清訓","","","","",""
"相模原市立博物館","[相模原市立博物館] 相模原市立博物館 （さがみはらしりつはくぶつかん）は、 相模原市 中央区 にある市立 博物館 である。","https://ja.wikipedia.org/wiki/相模原市立博物館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯35度33分33.37秒東経139度23分35.02秒","〒252-0221神奈川県相模原市中央区高根3-1-15","北緯35度33分33.37秒東経139度23分35.02秒﻿ / ﻿北緯35.5592694度 東経139.3930611度﻿ /35.5592694; 139.3930611座標:北緯35度33分33.37秒東経139度23分35.02秒﻿ / ﻿北緯35.5592694度 東経139.3930611度﻿ /35.5592694; 139.3930611","1995年11月20日","","相模原市","","相模原市立博物館","","9,510.24m2","","","","","","","","","",""
"新潟県立自然科学館","[新潟県立自然科学館] 新潟県立自然科学館 （にいがたけんりつしぜんかがくかん）は、 新潟市 中央区 女池南3丁目にある新潟県立の 科学館 。財団法人科学技術広報財団、株式会社コングレの共同事業体「サイエンス・フューチャーグループ」が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/新潟県立自然科学館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯37度53分26.6秒東経139度2分59.1秒","〒950-0948新潟県新潟市中央区女池南3-1-1","北緯37度53分26.6秒東経139度2分59.1秒﻿ / ﻿北緯37.890722度 東経139.049750度﻿ /37.890722; 139.049750座標:北緯37度53分26.6秒東経139度2分59.1秒﻿ / ﻿北緯37.890722度 東経139.049750度﻿ /37.890722; 139.049750","1981年11月1日","科学館","新潟県","サイエンス・フューチャーグループ","公式ウェブサイト","新潟県立自然科学館","15,314.9m2","","","赤池学","","石本建築事務所","","","","",""
"新潟県立歴史博物館","[新潟県立歴史博物館] 新潟県立歴史博物館 （にいがたけんりつれきしはくぶつかん）は、 新潟県 長岡市 関原町一丁目にある歴史 博物館 。","https://ja.wikipedia.org/wiki/新潟県立歴史博物館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","","〒940-2035新潟県長岡市関原町1丁目字権現堂2247番2","","2000年8月1日","新潟県の歴史、縄文文化","新潟県","新潟県","公式ウェブサイト（日本語）","新潟県立歴史博物館","10,007.79m2","","","","","","","","","",""
"長岡戦災資料館","[長岡戦災資料館] 長岡戦災資料館 （ながおかせんさいしりょうかん）は、 新潟県 長岡市 にある 長岡空襲 に関する資料の展示施設。","https://ja.wikipedia.org/wiki/長岡戦災資料館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯37度26分55秒東経138度51分09秒","〒940-0061新潟県長岡市城内町2-6-7　森山ビル","北緯37度26分55秒東経138度51分09秒﻿ / ﻿北緯37.44861度 東経138.8525度﻿ /37.44861; 138.8525座標:北緯37度26分55秒東経138度51分09秒﻿ / ﻿北緯37.44861度 東経138.8525度﻿ /37.44861; 138.8525","2003年7月12日","長岡空襲の惨禍を今に伝える","","","長岡戦災資料館（長岡市）","","","","","","","","","","","",""
"新潟市歴史博物館","[新潟市歴史博物館] 新潟市歴史博物館 （にいがたし れきしはくぶつかん）は、 新潟県 新潟市 中央区 柳島町に所在する 博物館 。愛称 みなとぴあ 。施設は新潟市が所有し、財団法人新潟市芸術文化振興財団が 指定管理者 として運営管理を行っている。","https://ja.wikipedia.org/wiki/新潟市歴史博物館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯37度55分47.4秒東経139度3分27.8秒","〒950-3324新潟県新潟市中央区柳島町2丁目10番地","北緯37度55分47.4秒東経139度3分27.8秒﻿ / ﻿北緯37.929833度 東経139.057722度﻿ /37.929833; 139.057722座標:北緯37度55分47.4秒東経139度3分27.8秒﻿ / ﻿北緯37.929833度 東経139.057722度﻿ /37.929833; 139.057722","2004年（平成16年）3月27日","新潟市の歴史・文化","新潟市","財団法人新潟市芸術文化振興財団（指定管理者）","","新潟市歴史博物館","","","","","みなとぴあ","","","","","",""
"新潟市新津鉄道資料館","[新潟市新津鉄道資料館] 新潟市新津鉄道資料館 （にいがたし にいつてつどうしりょうかん、英称：Niigata-City Niitsu Railway Museum）は、 新潟県 新潟市 秋葉区 に所在する 鉄道保存展示施設 である。","https://ja.wikipedia.org/wiki/新潟市新津鉄道資料館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯37度48分6.2秒東経139度8分30.5秒","【本館】〒956-0816新潟市秋葉区新津東町2丁目5番6号新津地域学園 資料棟1・2階【新津駅中サテライト】〒956-0864新潟市秋葉区新津本町1丁目1番1号新津駅東口","北緯37度48分6.2秒東経139度8分30.5秒﻿ / ﻿北緯37.801722度 東経139.141806度﻿ /37.801722; 139.141806座標:北緯37度48分6.2秒東経139度8分30.5秒﻿ / ﻿北緯37.801722度 東経139.141806度﻿ /37.801722; 139.141806","【本館】1983年（昭和58年）10月14日【新津駅中サテライト】2013年（平成25年）6月8日","鉄道","新潟市","新潟市（文化観光・スポーツ部歴史文化課、秋葉区役所地域課）","公式ウェブサイト","新潟市新津鉄道資料館","【本館】990 m2（うち展示室面積 670 m2）【新津駅中サテライト】60 m2","新津市鉄道資料館","","","","","","","","",""
"燕市産業史料館","[燕市産業史料館] 燕市産業史料館 （つばめしさんぎょうしりょうかん）は、 新潟県 燕市 にある 市立 の史料館。","https://ja.wikipedia.org/wiki/燕市産業史料館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯37度39分10秒東経138度55分9秒","〒959-1263新潟県燕市大曲4330番地1","北緯37度39分10秒東経138度55分9秒﻿ / ﻿北緯37.65278度 東経138.91917度﻿ /37.65278; 138.91917","1973年（昭和48年）","","","","公式ウェブサイト","燕市産業史料館","","","","","","","","","","",""
"三条市歴史民俗産業資料館","[三条市歴史民俗産業資料館] 三条市歴史民俗産業資料館 （さんじょうしれきしみんぞくさんぎょうしりょうかん）は、 新潟県 三条市 にある 博物館 である。","https://ja.wikipedia.org/wiki/三条市歴史民俗産業資料館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯37度37分54.9秒東経138度57分24.2秒","〒955-0071新潟県三条市本町3丁目1番4号","北緯37度37分54.9秒東経138度57分24.2秒﻿ / ﻿北緯37.631917度 東経138.956722度﻿ /37.631917; 138.956722","1989年","三条市の郷土資料","三条市","図書館流通センター（指定管理者制度）","三条市歴史民俗産業資料館","三条市歴史民俗産業資料館","673.95m2","","","","","","","","","",""
"上越市立歴史博物館","[上越市立歴史博物館] 上越市立歴史博物館 （じょうえつしりつ れきしはくぶつかん）は、 新潟県 上越市 の 高田城址公園 にある 博物館 である。建築家 吉田五十八 が設計した国の登録有形文化財 小林古径邸 に隣接している。","https://ja.wikipedia.org/wiki/上越市立歴史博物館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯37度6分42.2秒東経138度15分18.6秒","〒943-0835新潟県上越市本城町7-7","北緯37度6分42.2秒東経138度15分18.6秒﻿ / ﻿北緯37.111722度 東経138.255167度﻿ /37.111722; 138.255167座標:北緯37度6分42.2秒東経138度15分18.6秒﻿ / ﻿北緯37.111722度 東経138.255167度﻿ /37.111722; 138.255167","1972年4月","考古・歴史・民俗・美術","上越市","上越市","","上越市立歴史博物館","","","ETR高田駅から徒歩約20分","","","","","","","",""
"フォッサマグナミュージアム","[フォッサマグナミュージアム] フォッサマグナミュージアム は、 新潟県 糸魚川市 の美山公園にある糸魚川市立の 博物館 。","https://ja.wikipedia.org/wiki/フォッサマグナミュージアム","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯37度01分32.0秒東経137度52分12.3秒","新潟県糸魚川市大字一ノ宮1313","北緯37度01分32.0秒東経137度52分12.3秒﻿ / ﻿北緯37.025556度 東経137.870083度﻿ /37.025556; 137.870083座標:北緯37度01分32.0秒東経137度52分12.3秒﻿ / ﻿北緯37.025556度 東経137.870083度﻿ /37.025556; 137.870083","1994年4月25日","地質学、鉱物学","糸魚川市","糸魚川市","","糸魚川フォッサマグナミュージアム","","","","","","","","","","",""
"高志の国文学館","[高志の国文学館] 高志の国 文学館 （こしのくにぶんがくかん、 KOSHINOKUNI Museum of Literature ）は、 富山県 富山市 舟橋南町にある富山県立の 博物館 （ 文学館 ）。 2012年 （ 平成 24年）7月6日に開館した  。 日本博物館協会 、富山県博物館協会会員。","https://ja.wikipedia.org/wiki/高志の国文学館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯36度41分43.8秒東経137度12分22.6秒","〒930-0095日本富山県富山市舟橋南町2-22","北緯36度41分43.8秒東経137度12分22.6秒﻿ / ﻿北緯36.695500度 東経137.206278度﻿ /36.695500; 137.206278座標:北緯36度41分43.8秒東経137度12分22.6秒﻿ / ﻿北緯36.695500度 東経137.206278度﻿ /36.695500; 137.206278","2012年（平成24年）7月6日","富山県を中心とした文学資料","富山県","公益財団法人富山県文化振興財団","高志の国文学館ホームページ","高志の国 文学館","2,890m2","","","中西進","","シーラカンスアンドアソシエイツ","","","","",""
"富山県立山博物館","[富山県立山（たてやま）博物館] 富山県立山博物館 （とやまけんたてやまはくぶつかん）は、 富山県 立山町 の 芦峅寺 （あしくらじ）地区に11  の展示施設が集まる 公立 の広域分散型 博物館 である。「とやまけんりつ やま（山）はくぶつかん」と誤認されるのを避けるため、 富山県［立山博物館］ と角括弧を用いて表記される。","https://ja.wikipedia.org/wiki/富山県立山博物館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯36度34分57.76秒東経137度23分36.56秒","〒930-1406富山県中新川郡立山町芦峅寺93-1","北緯36度34分57.76秒東経137度23分36.56秒﻿ / ﻿北緯36.5827111度 東経137.3934889度﻿ /36.5827111; 137.3934889座標:北緯36度34分57.76秒東経137度23分36.56秒﻿ / ﻿北緯36.5827111度 東経137.3934889度﻿ /36.5827111; 137.3934889","1991年（平成3年）11月1日","立山の自然、立山と人間の関わり","富山県","公益財団法人富山県文化振興財団","富山県［立山博物館］ホームページ","富山県［立山博物館］","","","","高岡陽一","","磯崎新（展示館・遥望館）","","","","",""
"富山市科学博物館","[富山市科学博物館] 富山市科学博物館 （とやましかがくはくぶつかん、 Toyama Science Museum ）は 富山県 富山市 西中野町にある、おもに富山の自然の特徴をテーマにした 自然科学 と 宇宙科学 を紹介し楽しく分かりやすく学ぶことを目的にした 公立 博物館 。 日本博物館協会 、富山県博物館協会会員。","https://ja.wikipedia.org/wiki/富山市科学博物館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯36度40分51秒東経137度12分42秒","〒939-8084富山県富山市西中野町一丁目８番31号","北緯36度40分51秒東経137度12分42秒﻿ / ﻿北緯36.68083度 東経137.21167度﻿ /36.68083; 137.21167座標:北緯36度40分51秒東経137度12分42秒﻿ / ﻿北緯36.68083度 東経137.21167度﻿ /36.68083; 137.21167","1979年（昭和54年）11月23日","","","","www.tsm.toyama.toyama.jp","富山市科学博物館","","富山市科学文化センター","","","","","","","","",""
"富山市郷土博物館","[富山市郷土博物館] 富山市郷土博物館 （とやましきょうどはくぶつかん、 TOYAMA MUNICIPAL FOLK MUSEUM ）は、 富山県 富山市 本丸の 富山城址公園 内にある 公立 博物館 である。また同じ城址公園内に近接する「 佐藤記念美術館 」の運営も一体で行なっている。 日本博物館協会 、全国歴史民俗系博物館協議会、富山県博物館協会会員。","https://ja.wikipedia.org/wiki/富山市郷土博物館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯36度41分34秒東経137度12分41秒","〒930-0081富山県富山市本丸1-62","北緯36度41分34秒東経137度12分41秒﻿ / ﻿北緯36.69278度 東経137.21139度﻿ /36.69278; 137.21139座標:北緯36度41分34秒東経137度12分41秒﻿ / ﻿北緯36.69278度 東経137.21139度﻿ /36.69278; 137.21139","1954年（昭和29年）11月17日","富山城・周辺の歴史","富山市","富山市","www.city.toyama.toyama.jp/etc/muse/","","","富山市街復興事業完了記念建築物","","","富山城","","","","","",""
"高岡市立博物館","[高岡市立博物館] 高岡市立博物館 （たかおかしりつはくぶつかん）は、 富山県 高岡市 古城の、国 史跡 高岡古城公園 内にある 公立 の郷土 博物館 。 日本博物館協会 、全国歴史民俗系博物館協議会、富山県博物館協会会員。","https://ja.wikipedia.org/wiki/高岡市立博物館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯36度44分47.3秒東経137度1分15.7秒","〒933-0044富山県高岡市古城1-5","北緯36度44分47.3秒東経137度1分15.7秒﻿ / ﻿北緯36.746472度 東経137.021028度﻿ /36.746472; 137.021028座標:北緯36度44分47.3秒東経137度1分15.7秒﻿ / ﻿北緯36.746472度 東経137.021028度﻿ /36.746472; 137.021028","1970年（昭和45年）6月1日","歴史、民俗、伝統産業","","（公財）高岡市民文化振興事業団","高岡市立博物館ホームページ","","1905.17m2","高岡市立美術館（現 本館）","","","","","","","","",""
"魚津埋没林博物館","[魚津埋没林博物館] 日本博物館協会 、富山県博物館協会会員。魚津埋没林博物館のある一帯は、 ジオパーク に認定された 立山黒部ジオパーク のエリア内であり、これらについての紹介と展示も行っている。魚津港一帯は みなとオアシス の登録をしていて、当館は みなとオアシス魚津 を構成する施設の一である。","https://ja.wikipedia.org/wiki/魚津埋没林博物館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯36度49分21秒東経137度23分42秒","〒937-0067日本富山県魚津市釈迦堂814","北緯36度49分21秒東経137度23分42秒﻿ / ﻿北緯36.82250度 東経137.39500度﻿ /36.82250; 137.39500座標:北緯36度49分21秒東経137度23分42秒﻿ / ﻿北緯36.82250度 東経137.39500度﻿ /36.82250; 137.39500","1954年（昭和29年）","魚津埋没林、蜃気楼","","魚津市","魚津埋没林博物館","特別天然記念物 魚津埋没林博物館","3,501m2","埋没林自然保存館","","","ねっこランド","","","","","",""
"ほたるいかミュージアム","[ほたるいかミュージアム] ホタルイカ をテーマとした博物館で、建物はホタルイカの胴体の形をしており、 道の駅ウェーブパークなめりかわ 、 深層水体験施設 タラソピア と隣接している。開館時間は午前9時から、午後5時まで（入館は午後4時半まで）。休館日は 年末年始 （12月31日、1月1日）、6月1日～3月19日の毎週火曜日（火曜日が祝日の場合はその翌日）、1月最終月曜日から3日間。","https://ja.wikipedia.org/wiki/ほたるいかミュージアム","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯36度46分28秒東経137度20分40秒","〒936-0021富山県滑川市中川原410","北緯36度46分28秒東経137度20分40秒﻿ / ﻿北緯36.77444度 東経137.34444度﻿ /36.77444; 137.34444座標:北緯36度46分28秒東経137度20分40秒﻿ / ﻿北緯36.77444度 東経137.34444度﻿ /36.77444; 137.34444","1998年（平成10年）4月17日","海洋博物館","滑川市","株式会社WAVE滑川（指定管理者）","ほたるいかミュージアムホームページ","ほたるいかミュージアム","","","","","","","","","","",""
"石川県立歴史博物館","[石川県立歴史博物館] 石川県立歴史博物館 （いしかわけんりつれきしはくぶつかん）は、 石川県 金沢市 出羽町にある石川県の 歴史 を扱う 博物館 である。","https://ja.wikipedia.org/wiki/石川県立歴史博物館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯36度33分31秒東経136度39分46秒","〒920-0963石川県金沢市出羽町3番1号","北緯36度33分31秒東経136度39分46秒﻿ / ﻿北緯36.55861度 東経136.66278度﻿ /36.55861; 136.66278座標:北緯36度33分31秒東経136度39分46秒﻿ / ﻿北緯36.55861度 東経136.66278度﻿ /36.55861; 136.66278","1986年10月25日","石川県の歴史","","石川県","石川県立歴史博物館","石川県立歴史博物館","7,541m2","石川県立郷土資料館","金沢駅からバス20分","","いしかわ赤レンガミュージアム","","","","","",""
"福井県立恐竜博物館","[福井県立恐竜博物館] 博物館に程近い勝山市北谷町の 手取層群 北谷層 （ 英語版 ） （下部 白亜系 ）からは、恐竜のほか、 ワニ 、 カメ 、 魚類 、淡水生貝類、陸生植物などの化石が産出している  。この化石発掘現場は、2014年7月から野外恐竜博物館の一部として、見学することができる。2009年10月に、勝山市全域が 恐竜渓谷ふくい勝山ジオパーク として 日本ジオパーク に認定された  。2017年2月には、 勝山で発見された5種の新種の恐竜 の化石標本とその発掘現場が「学術上重要な標本とその産地として貴重である」と認められ、「勝山恐竜化石群及び産地」として国指定 天然記念物 （ 地質・鉱物 ）に指定された    。","https://ja.wikipedia.org/wiki/福井県立恐竜博物館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯36度4分59秒東経136度30分24秒","〒911-8601日本福井県勝山市村岡町寺尾51-11","北緯36度4分59秒東経136度30分24秒﻿ / ﻿北緯36.08306度 東経136.50667度﻿ /36.08306; 136.50667座標:北緯36度4分59秒東経136度30分24秒﻿ / ﻿北緯36.08306度 東経136.50667度﻿ /36.08306; 136.50667","2000年（平成12年）7月14日","恐竜、自然史","福井県","","FPDM:福井県立恐竜博物館","福井県立恐竜博物館","15,000m2（2015年現在）","福井県立博物館","","竹内利寿","","黒川紀章建築都市設計事務所","901,119人（2016年度、野外恐竜博物館を含む）","約4万1千点","","","26名（2016年4月1日現在）"
"福井市立郷土歴史博物館","[福井市立郷土歴史博物館] 福井市立郷土歴史博物館 （ふくいしりつきょうどれきしはくぶつかん）は、 福井県 福井市 宝永 3丁目にある 博物館 である。","https://ja.wikipedia.org/wiki/福井市立郷土歴史博物館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯36度4分5.94秒東経136度13分22.43秒","〒910-0004福井県福井市宝永3丁目12-1","北緯36度4分5.94秒東経136度13分22.43秒﻿ / ﻿北緯36.0683167度 東経136.2228972度﻿ /36.0683167; 136.2228972座標:北緯36度4分5.94秒東経136度13分22.43秒﻿ / ﻿北緯36.0683167度 東経136.2228972度﻿ /36.0683167; 136.2228972","1953年","福井藩、越前松平家","福井県福井市","","福井市立郷土歴史博物館","福井市立郷土歴史博物館","3,915.19m2","","","（名誉館長松平宗紀）","","","","","","",""
"山梨県立博物館","[山梨県立博物館] 山梨県立博物館 （やまなしけんりつはくぶつかん）は、 山梨県 笛吹市 御坂町成田にある総合 博物館 である。 2005年 （ 平成 17年） 10月15日 に開館した。愛称は甲斐とミュージアムをかけた「 かいじあむ 」。2018年現在、館長は 守屋正彦 である。前館長の 平川南 は名誉館長に就任した。","https://ja.wikipedia.org/wiki/山梨県立博物館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯35度38分25.32秒 東経138度38分54.8秒","〒406-0801山梨県笛吹市御坂町成田1501-1","","2005年10月15日","山梨県に関する自然展示、歴史展示","","山梨県","","","8,760m2","","","守屋正彦","かいじあむ","","","","","",""
"長野県立歴史館","[長野県立歴史館] 博物館の性格を持つと共に、文書館、考古館の役割も持つ。長野県内の個人や団体から寄贈や寄託された古文書、長野県が作成した行政文書の公開を行っている。長野県内の高速道路や新幹線建設などに伴う発掘は長野県埋蔵文化財センターが行い、考古資料の整理、報告書の発行の後、長野県立歴史館に移管され、公開されている。 収蔵資料は、展示資料2,301点、図書 119,736冊、考古資料29,204箱、文献史料291,848点（平成26年度）。","https://ja.wikipedia.org/wiki/長野県立歴史館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯36度32分2.1秒東経138度8分6.5秒","〒387-0007長野県千曲市屋代260-6","北緯36度32分2.1秒東経138度8分6.5秒﻿ / ﻿北緯36.533917度 東経138.135139度﻿ /36.533917; 138.135139座標:北緯36度32分2.1秒東経138度8分6.5秒﻿ / ﻿北緯36.533917度 東経138.135139度﻿ /36.533917; 138.135139","9:00 (入館は閉館30分前まで)","長野県の歴史および公文書","","","www.npmh.net","長野県立歴史館","6702㎡","","","笹本正治","","地上2階","","","17:00 12月~2月は16:00","",""
"岐阜県博物館","[岐阜県博物館] 岐阜県博物館 （ぎふけんはくぶつかん、Gifu Prefectural Museum）は、 岐阜県 関市 にある県営の 博物館 である。","https://ja.wikipedia.org/wiki/岐阜県博物館","日本の博物館の一覧","https://ja.wikipedia.org/wiki/日本の博物館の一覧","箇条書き,制限あり","北緯35度28分41.54秒東経136度52分7.19秒","〒501-3941岐阜県関市小屋名1989（岐阜県百年公園内 北口よりすぐ）","北緯35度28分41.54秒東経136度52分7.19秒﻿ / ﻿北緯35.4782056度 東経136.8686639度﻿ /35.4782056; 136.8686639座標:北緯35度28分41.54秒東経136度52分7.19秒﻿ / ﻿北緯35.4782056度 東経136.8686639度﻿ /35.4782056; 136.8686639","1976年（昭和51年）5月5日","総合","岐阜県","岐阜県","公式サイト","","10,242.49m2","","","副島　雅浩","","日建設計、岐阜県","","","","",""
