"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","位置","面積","法人番号","国","外部リンク","都道府県","地方","市町村コード","総人口","隣接自治体","地図","人口密度","別名","札所等","市の木","市の花","市長","城郭構造"
"神戸ルミナリエ","[神戸ルミナリエ（兵庫）] 神戸ルミナリエ （こうべルミナリエ）は、 1995年 から12月に 神戸市 の 旧居留地 で開催されている祭典および、開催期間中に電飾が施されているエリアの名称である  。通りや広場を独特の幾何学模様で構成された イルミネーション （電飾）で飾り、昼間とは異なる風景を現出させてその景観を楽しむ。","https://ja.wikipedia.org/wiki/神戸ルミナリエ","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"高野山","[高野山（和歌山）] 地名としての「高野山」とは、八葉の峰（今来峰・宝珠峰・鉢伏山・弁天岳・姑射山・転軸山・楊柳山・摩尼山）と呼ばれる峰々に囲まれた 盆地 状の平地の地域を指す（行政上の字名としての「高野山」もおおよそこれと同じ地域である）。8つの峰々に囲まれているその地形は「 蓮 の花が開いたような」と形容されており、 仏教 の聖地としては 両界曼荼羅 のうちの 胎蔵曼荼羅 の「中台八葉院」に擬せられている  。転軸山・楊柳山・摩尼山の三山を 高野三山 という。なお、 高野山 という名称の単独の峰はない。","https://ja.wikipedia.org/wiki/高野山","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"熊野古道","[熊野古道（和歌山・奈良・三重）] 熊野古道 （くまのこどう）は、 熊野三山 （ 熊野本宮大社 、 熊野速玉大社 、 熊野那智大社 ）へと通じる 参詣道 の総称。 熊野参詣道 ともよばれる。 紀伊半島 に位置し、道は 三重県 、 奈良県 、 和歌山県 、 大阪府 に跨る。2004年に 世界文化遺産 に登録。","https://ja.wikipedia.org/wiki/熊野古道","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"四国八十八箇所","[四国霊場八十八か所（香川・徳島・高知・愛媛）] ","https://ja.wikipedia.org/wiki/四国八十八箇所","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"金刀比羅宮","[金刀比羅宮（香川）] 金刀比羅宮 （ことひらぐう）は、 香川県 仲多度郡 琴平町 の 象頭山 中腹に鎮座する 単立 神社 である。明治初年の神仏分離以前は 金毘羅大権現 と称され  、以降は、「さぬきの こんぴらさん 」の呼び名で知られる  。","https://ja.wikipedia.org/wiki/金刀比羅宮","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯34度11分2.41秒東経133度48分34.33秒","香川県仲多度郡琴平町字川西892番地1","北緯34度11分2.41秒東経133度48分34.33秒﻿ / ﻿北緯34.1840028度 東経133.8095361度﻿ /34.1840028; 133.8095361﻿ (金刀比羅宮)座標:北緯34度11分2.41秒東経133度48分34.33秒﻿ / ﻿北緯34.1840028度 東経133.8095361度﻿ /34.1840028; 133.8095361﻿ (金刀比羅宮)","","","","","","","","","","金刀比羅宮金刀比羅宮の位置香川県の地図を表示金刀比羅宮金刀比羅宮 (日本)日本の地図を表示","","","さぬき十五社13番","","","",""
"直島町","[直島（香川）] ","https://ja.wikipedia.org/wiki/直島町","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","","〒761-3110香川県香川郡直島町字鎧山1122番地1町役場位置","","14.22km2（境界未定部分あり）","9000020373648","日本","公式ウェブサイト","香川県","四国地方中国・四国地方","37364-8","3,088人（推計人口、2021年6月1日）","岡山県：玉野市（海を挟んで隣接）香川県：高松市、小豆郡土庄町","","217人/km2","","","","","",""
"鳴門の渦潮","[鳴門の渦潮（徳島）] 鳴門の渦潮 （なるとのうずしお）は、 徳島県 鳴門市 と 兵庫県 南あわじ市 の間にある 鳴門海峡 で発生する 渦潮 である。大潮の際には 渦 の直径は最大で30mに達するといわれ  、渦の大きさは世界最大級といわれる  。","https://ja.wikipedia.org/wiki/鳴門の渦潮","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"四万十川","[四万十川（高知）] 四万十川 （しまんとがわ）は、 高知県 の西部を流れる 一級河川 で渡川水系の本流である  。全長196km、 流域 面積2186km 2   。 四国 内で最長の川である。本流に大規模なダムが建設されていないことから「日本最後の 清流 」、また 柿田川 ・ 長良川 とともに「 日本三大清流 の一つ」と呼ばれる。 名水百選  、 日本の秘境100選 にも選ばれている。","https://ja.wikipedia.org/wiki/四万十川","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"道後温泉","[道後温泉（愛媛）] 道後温泉 （どうごおんせん）は、 四国 ・ 愛媛県 松山市 （旧国 伊予国 ）に湧出する 温泉 である。 日本三古湯 の一つといわれる。","https://ja.wikipedia.org/wiki/道後温泉","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯33度51分7.2秒東経132度47分11.2秒","日本愛媛県松山市道後温泉松山駅愛媛県地図","","","","","道後温泉道後温泉物語 - 道後温泉旅館協同組合","","","","","","","","","","","","",""
"鳥取砂丘","[鳥取砂丘（鳥取）] 座標 : .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap} 北緯35度32分33秒 東経134度13分49秒 ﻿ / ﻿ 北緯35.54250度 東経134.23028度 ﻿ / 35.54250; 134.23028","https://ja.wikipedia.org/wiki/鳥取砂丘","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"宍道湖","[宍道湖（島根）] 宍道湖 （しんじこ）は、 島根県 松江市 と 出雲市 にまたがる 湖  。 一級水系 の 斐伊川 の一部である  。","https://ja.wikipedia.org/wiki/宍道湖","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯35度27分東経132度58分","日本島根県松江市、出雲市","北緯35度27分東経132度58分﻿ / ﻿北緯35.45度 東経132.97度﻿ /35.45; 132.97座標:北緯35度27分東経132度58分﻿ / ﻿北緯35.45度 東経132.97度﻿ /35.45; 132.97","79.25km2","","","","","","","","","","","","","","","",""
"出雲大社","[出雲大社（島根）] 出雲大社 （いずもおおやしろ  、正仮名遣いでは「いづもおほやしろ」/ いずもたいしゃ）は、 島根県 出雲市 大社町杵築東にある 神社 。 祭神 は 大国主大神  。 式内社 （ 名神大 ）、 出雲国 一宮 で旧 社格 は官幣大社  。 神社本庁 の 別表神社  。 宗教法人 出雲大社教 の宗祠。","https://ja.wikipedia.org/wiki/出雲大社","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯35度24分07.4秒東経132度41分07.6秒","島根県出雲市大社町杵築東195","北緯35度24分07.4秒東経132度41分07.6秒﻿ / ﻿北緯35.402056度 東経132.685444度﻿ /35.402056; 132.685444﻿ (出雲大社)座標:北緯35度24分07.4秒東経132度41分07.6秒﻿ / ﻿北緯35.402056度 東経132.685444度﻿ /35.402056; 132.685444﻿ (出雲大社)","","","","","","","","","","出雲大社","","杵築大社","出雲國神仏霊場1番","","","",""
"倉敷美観地区","[倉敷（岡山）] 倉敷美観地区 （くらしきびかんちく、 Kurashiki Bikan historical quarter ）は、 岡山県 倉敷市 にある町並保存地区・観光地区である。","https://ja.wikipedia.org/wiki/倉敷美観地区","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"秋吉台","[秋吉台（山口）] 秋吉台 （あきよしだい）は、 山口県 美祢市 中・東部に広がる日本最大の カルスト台地 。北東方向に約16km、北西方向に約6kmの広がりを有し、台地上の総面積54 km 2 、石灰岩の分布（沖積面下の潜在部を含む）総面積93km 2 、台地面の標高180〜420mである。","https://ja.wikipedia.org/wiki/秋吉台","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"太宰府天満宮","[太宰府天満宮（福岡）] 太宰府天満宮 （だざいふてんまんぐう）は、 福岡県 太宰府市 宰府 （さいふ）にある 神社 。旧 社格 は 官幣中社 で、現在は 神社本庁 の 別表神社 。神紋は梅紋である。 菅原道真 （菅原道真公、菅公）を祭神として祀る 天満宮 の一つ（天神様のお膝元）。 初詣 の際には 九州 はもとより 日本 全国から毎年200万人以上  、年間にすると850万人以上  の参詣者がある。現在、 京都 の 北野天満宮 とともに全国天満宮の総本社とされ、また菅公の霊廟として篤く信仰されている。","https://ja.wikipedia.org/wiki/太宰府天満宮","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯33度31分17.49秒東経130度32分5.45秒","福岡県太宰府市宰府4丁目7番1号","北緯33度31分17.49秒東経130度32分5.45秒﻿ / ﻿北緯33.5215250度 東経130.5348472度﻿ /33.5215250; 130.5348472﻿ (太宰府天満宮)座標:北緯33度31分17.49秒東経130度32分5.45秒﻿ / ﻿北緯33.5215250度 東経130.5348472度﻿ /33.5215250; 130.5348472﻿ (太宰府天満宮)","","","","","","","","","","太宰府天満宮","","","菅公聖蹟二十五拝","","","",""
"吉野ヶ里遺跡","[吉野ヶ里遺跡（佐賀）] 吉野ヶ里遺跡 （ よしのがりいせき ） は、 佐賀県 神埼郡 吉野ヶ里町 と 神埼市 にまたがる吉野ヶ里丘陵にある遺跡。国の 特別史跡 に指定されている。","https://ja.wikipedia.org/wiki/吉野ヶ里遺跡","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯33度19分25秒東経130度23分26.5秒","日本佐賀県吉野ヶ里町、神埼市","","36ha（埋蔵文化財包蔵地）","","","","","","","","","","","","","","","",""
"平和公園","[平和公園（長崎）] 平和公園 （へいわこうえん、 英 : Peace Park ）は、 長崎県 長崎市 松山町 に位置する 公園 。「平和記念（祈念）公園」と呼称する場合もあるが、正確には誤りである。","https://ja.wikipedia.org/wiki/平和公園","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"雲仙岳","[雲仙岳（長崎）] 雲仙岳 （うんぜんだけ）は、 長崎県 の 島原半島 中央部にそびえる 火山 である。半島西方の 橘湾 を中心とする 千々石カルデラ の外輪に位置する。広義では、 火山学 上の「雲仙火山」と同義で、最高峰の 平成新山 をはじめ、三岳（三峰）とも呼ばれる 普賢岳 ・ 国見岳 ・ 妙見岳 、五峰（五岳）とも呼ばれる 野岳 ・ 九千部岳 ・ 矢岳 ・ 高岩山・絹笠山 を含め、東の 眉山から 西の 猿葉山 まで、総計20以上の山々から構成される。雲仙岳の形の複雑さは、三岳五峰（三峰五岳）、八葉、二十四峰、三十六峰などさまざまな数字で表現されたが、観光上のキャッチフレーズとして「三峰五岳の雲仙岳」が多用されるようになった結果、狭義として八つの山（ときには三つの山）のみを指す用法も生まれた。歴史的には海上にそびえる山並み全体を指す名称である。行政区分では 島原市 、 南島原市 、 雲仙市 にまたがる。しばしば、旧最高峰の普賢岳（雲仙普賢岳）の名称と混同して用いられる。","https://ja.wikipedia.org/wiki/雲仙岳","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯32度45分41秒東経130度17分56秒","長崎県島原市、南島原市、雲仙市","北緯32度45分41秒東経130度17分56秒﻿ / ﻿北緯32.76139度 東経130.29889度﻿ /32.76139; 130.29889座標:北緯32度45分41秒東経130度17分56秒﻿ / ﻿北緯32.76139度 東経130.29889度﻿ /32.76139; 130.29889","","","","","","","","","","","","","","","","",""
"熊本城","[熊本城（熊本）] 熊本城 （くまもとじょう）は、 肥後国 飽田郡 熊本  （現在の 熊本県 熊本市 中央区 ）に築かれた 安土桃山時代 から 江戸時代 の 日本の城 。別名「銀杏城（ぎんなんじょう）」  。","https://ja.wikipedia.org/wiki/熊本城","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯32度48分21.7秒東経130度42分21.23秒","","北緯32度48分21.7秒東経130度42分21.23秒﻿ / ﻿北緯32.806028度 東経130.7058972度﻿ /32.806028; 130.7058972﻿ (熊本城)座標:北緯32度48分21.7秒東経130度42分21.23秒﻿ / ﻿北緯32.806028度 東経130.7058972度﻿ /32.806028; 130.7058972﻿ (熊本城)","","","","","","","","","","熊本城熊本市の地図を表示熊本城熊本県の地図を表示熊本城日本の地図を表示","","千葉城（出田氏）、六実城、隈本城（鹿子木氏、菊池氏、城氏、佐々氏、加藤氏半国期）、銀杏城","","","","","梯郭式平山城"
"別府温泉","[別府八湯（大分）] 別府温泉 （べっぷおんせん）は、 大分県 別府市 内各地に数百ある 温泉 の総称。広義には 別府 温泉郷   ともいい、特に古くから由来のある八つの温泉地は 別府八湯 （べっぷはっとう、1996年（平成8年）8月8日選定）と呼ばれている  。狭義には広義の別府温泉（別府八湯）を構成する温泉のうちの別府市中心部にある 温泉街 （歴史的には北浜温泉）をいう（「 #別府温泉 」参照）  。 温泉都市 として知られる別府は、 源泉 数、 湧出量 ともに 日本一  。","https://ja.wikipedia.org/wiki/別府温泉","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","","","","","","","温泉ハイスタンダード極楽地獄 別府","","","","","","","","","","","","",""
"由布院温泉","[由布院（大分）] 由布院温泉 （ゆふいんおんせん）は、 大分県 由布市 （旧国 豊後国 速見郡 ）にある温泉。 由布岳 （標高1,584m）の麓に広がる温泉地である。","https://ja.wikipedia.org/wiki/由布院温泉","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯33度15分45秒東経131度21分18秒","大分県由布市","","","","","由布院温泉観光協会","","","","","","","","","","","","",""
"桜島","[桜島（鹿児島）] 桜島 （さくらじま）は、 日本 の 九州 南部、 鹿児島県 の 鹿児島湾 （錦江湾）にある東西約12km、南北約10 km、周囲約55 km、面積約77km 2  の 火山 。かつては 島 であったが、 1914年 （ 大正 3年）の噴火により、 鹿児島市 の対岸の 大隅半島 と 陸続き になった         。","https://ja.wikipedia.org/wiki/桜島","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯31度35分19秒東経130度39分17秒","日本鹿児島県鹿児島市","北緯31度35分19秒東経130度39分17秒﻿ / ﻿北緯31.58861度 東経130.65472度﻿ /31.58861; 130.65472﻿ (桜島)座標:北緯31度35分19秒東経130度39分17秒﻿ / ﻿北緯31.58861度 東経130.65472度﻿ /31.58861; 130.65472﻿ (桜島)","","","","","","","","","","","","","","","","",""
"竹富島","[竹富島（沖縄）] 竹富島 （たけとみじま）は、 沖縄県 の 八重山列島 にある 島 である。全島が沖縄県 八重山郡 竹富町 に属している。","https://ja.wikipedia.org/wiki/竹富島","平成百景","https://ja.wikipedia.org/wiki/平成百景","箇条書き,制限あり","北緯24度19分47秒東経124度05分12秒","日本沖縄県八重山郡竹富町","","5.43km²","","","","","","","","","","","","","","","",""
