"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","本部所在地","学校種別","設置者","学部","ウェブサイト","研究科","大学設置","創立","キャンパス","大学設置/創立","学生数","廃止","学校設置/創立","大学校種別","学部相当","学長","大学校設置/創立","大学校設置","設立"
"浜松医科大学","[浜松医科大学　国] 本来は 静岡大学 医学部として 静岡市 に建設される計画であり、 静岡県議会 でも可決された事項であった。しかし、当時の県知事 竹山祐太郎 が県議会決定を無視し、独断で浜松市への設置手続きを行い、浜松医科大学として発足することになった。この議会決定を無視した竹山の独断と設置手続きの件が発端で静岡県中部、県東部の 自民党 県会議員が竹山および浜松医科大学設置を承認した国に反発し、集団離党するという事態に発展した。","https://ja.wikipedia.org/wiki/浜松医科大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","","静岡県浜松市東区半田山1-20-1","国立","国立大学法人浜松医科大学","医学部","https://www.hama-med.ac.jp/","医学系研究科","","","浜松（東区半田山）","1974年","","","","","","","","",""
"浜松学院大学","[浜松学院大学] ","https://ja.wikipedia.org/wiki/浜松学院大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","","静岡県浜松市中区布橋三丁目2番3号","私立","学校法人興誠学園","現代コミュニケーション学部短期大学部","https://www.hamagaku.ac.jp/","","2004年","1933年","布橋（本部・現代コミュニケーション学部）住吉（短期大学部）","","","","","","","","","",""
"ハリウッド大学院大学","[ハリウッド大学院大学] ハリウッドビューティ専門学校を運営する 学校法人メイ・ウシヤマ学園 により、ビューティビジネス専門職大学院として設立された  。ビューティビジネスマネジメントにおける高度な知識・スキルを学び、ビューティビジネス修士号を取得することを目的としている  。","https://ja.wikipedia.org/wiki/ハリウッド大学院大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯35度39分41秒東経139度43分49秒","東京都港区六本木6-4-1　六本木ヒルズ ハリウッドプラザ北緯35度39分41秒東経139度43分49秒﻿ / ﻿北緯35.66139度 東経139.73028度﻿ /35.66139; 139.73028座標:北緯35度39分41秒東経139度43分49秒﻿ / ﻿北緯35.66139度 東経139.73028度﻿ /35.66139; 139.73028","大学院","学校法人メイ・ウシヤマ学園","なし","https://mba.hollywood.ac.jp/","ビューティビジネス研究科","","","","2008年","","","","","","","","",""
"阪南大学","[阪南大学] 「すすんで世界に雄飛していくに足る 有能有為な人材、 真の国際商業人の育成」","https://ja.wikipedia.org/wiki/阪南大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯34度35分28.7秒東経135度32分5.7秒","大阪府松原市天美東5-4-33北緯34度35分28.7秒東経135度32分5.7秒﻿ / ﻿北緯34.591306度 東経135.534917度﻿ /34.591306; 135.534917座標:北緯34度35分28.7秒東経135度32分5.7秒﻿ / ﻿北緯34.591306度 東経135.534917度﻿ /34.591306; 135.534917","私立","学校法人阪南大学","流通学部経済学部経営情報学部国際コミュニケーション学部国際観光学部","https://www.hannan-u.ac.jp/","企業情報研究科","1965年","1951年","本キャンパス（松原市天美東5-4-33）南キャンパス（松原市天美南1-108-1）あべのハルカスキャンパス（大阪市阿倍野区阿倍野筋1-1-43あべのハルカス23F）","","","","","","","","","",""
"東大阪大学","[東大阪大学] 2003年度発足の大学で、附属高校である 東大阪大学敬愛高等学校 （通称・敬愛高校）は同敷地内に位置する。","https://ja.wikipedia.org/wiki/東大阪大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","","大阪府東大阪市西堤学園町3丁目1-1","私立","学校法人村上学園","こども学部","http://www.higashiosaka.ac.jp/","","2003年","1965年","","","","","","","","","","",""
"東日本国際大学","[東日本国際大学] いわき短期大学 商経科を改組し転換して開学した。 儒学 系の大学であり、 孔子 の教えを建学の精神としている。学長は 吉村作治 。","https://ja.wikipedia.org/wiki/東日本国際大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯37度3分27.52秒東経140度54分27.28秒","福島県いわき市平鎌田字寿金沢37北緯37度3分27.52秒東経140度54分27.28秒﻿ / ﻿北緯37.0576444度 東経140.9075778度﻿ /37.0576444; 140.9075778座標:北緯37度3分27.52秒東経140度54分27.28秒﻿ / ﻿北緯37.0576444度 東経140.9075778度﻿ /37.0576444; 140.9075778","私立","学校法人昌平黌","経済経営学部健康福祉学部","http://www.shk-ac.jp","","1995年","1903年","","","","","","","","","","",""
"光産業創成大学院大学","[光産業創成大学院大学] 光産業創成大学院大学は、 光 科学 を中心とする 科学技術 系の 大学院大学 として 静岡県 浜松市 に設置された。 学校の設置者 である 学校法人 光産業創成大学院大学は、 理事長 に 浜松ホトニクス 株式会社 社長 の晝馬輝夫が就くなど  、 産業 界による支援がなされている。","https://ja.wikipedia.org/wiki/光産業創成大学院大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","","静岡県浜松市西区呉松町1955番1","私立","学校法人光産業創成大学院大学","（未設置）","https://www.gpi.ac.jp/","光産業創成研究科","","","","2005年","","","","","","","","",""
"ビジネス・ブレークスルー大学","[ビジネス・ブレークスルー大学] 日本初の遠隔教育による経営大学院（MBA）を持つ 大学院大学 として文科省の認可を受け開学。その後、経営学部が設置され、 学士課程 も整えた。。","https://ja.wikipedia.org/wiki/ビジネス・ブレークスルー大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯35度41分10秒東経139度44分14秒","東京都千代田区六番町1－7北緯35度41分10秒東経139度44分14秒﻿ / ﻿北緯35.68611度 東経139.73722度﻿ /35.68611; 139.73722座標:北緯35度41分10秒東経139度44分14秒﻿ / ﻿北緯35.68611度 東経139.73722度﻿ /35.68611; 139.73722","株式会社立","株式会社ビジネス・ブレークスルー","経営学部","https://bbt.ac/","経営学研究科（専門職大学院）","","","","2005年","","","","","","","","",""
"比治山大学","[比治山大学] 比治山大学は、 広島文理科大学 （現・国立大学法人 広島大学 ）の 教育実習 校として多くの地元市民の支援を受けて設置された広島昭和高等女学校を起源とし、比治山女子短期大学（現・ 比治山大学短期大学部 ）を基に 1994年 に 女子大学 として設置された。大学名の由来は広島市民に古くから親しまれている標高71.1mの 比治山 である。","https://ja.wikipedia.org/wiki/比治山大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯34度25分42.6秒 東経132度28分30.9秒","広島県広島市東区牛田新町4-1-1","私立","学校法人比治山学園","現代文化学部健康栄養学部","https://www.hijiyama-u.ac.jp/","現代文化研究科","1994年","1939年","","","","","","","","","","",""
"一橋大学","[一橋大学　国] 一橋大学は 森有礼 が 渋沢栄一 の援助を得て  、 1875年 （ 明治 8年）に開いた 商法講習所 を源流とする日本で最も古い 社会科学 系の 大学 である。 第二次世界大戦 前には商学専門の官立大学（ 旧制東京商科大学 ）として開設されていた。森有礼は、 幕末期 に ロンドン大学 に学び、のち初代 米国 代理公使 として ワシントン に滞在した。英米両国では 実業家 が 官僚 や 政治家 に劣らず活動していること、国家 独立 の基礎は経済の富強にあって、そのためには 経済人 の育成が急務だと痛感したこと、それらが一橋大学の学校設立の端緒となっている。","https://ja.wikipedia.org/wiki/一橋大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","","東京都国立市中2丁目1番地","国立","国立大学法人一橋大学","商学部経済学部法学部社会学部","https://www.hit-u.ac.jp/index.html","経営管理研究科経済学研究科法学研究科社会学研究科言語社会研究科国際・公共政策研究部・教育部","1920年","1875年","国立（東京都国立市）千代田（東京都千代田区、学術総合センタービル内）小平国際（東京都小平市）","","6,200","","","","","","","",""
"姫路大学","[姫路大学] 設置者は 兵庫県 豊岡市 に於いて 豊岡短期大学 を運営する 学校法人弘徳学園 。沿革上、 近畿大学 とは関係を有す。","https://ja.wikipedia.org/wiki/姫路大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯34度46分19.5秒東経134度45分29秒","兵庫県姫路市大塩町2042番2北緯34度46分19.5秒東経134度45分29秒﻿ / ﻿北緯34.772083度 東経134.75806度﻿ /34.772083; 134.75806座標:北緯34度46分19.5秒東経134度45分29秒﻿ / ﻿北緯34.772083度 東経134.75806度﻿ /34.772083; 134.75806","私立","学校法人弘徳学園","看護学部教育学部","http://himeji.koutoku.ac.jp/index.html","看護学研究科","","","大塩(兵庫県姫路市)","2007年","","","","","","","","",""
"姫路獨協大学","[姫路獨協大学] 兵庫県の姫路市がハードウェアとしての土地建物を、 学校法人獨協学園 がソフトウェアとしての教育システムを、それぞれ担う初の官学協働「公私協力方式」で設置された大学で、その後全国各地に設けられた 公設民営大学 のモデルである。","https://ja.wikipedia.org/wiki/姫路獨協大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯34度52分19.6秒東経134度41分22.6秒","兵庫県姫路市上大野7-2-1北緯34度52分19.6秒東経134度41分22.6秒﻿ / ﻿北緯34.872111度 東経134.689611度﻿ /34.872111; 134.689611座標:北緯34度52分19.6秒東経134度41分22.6秒﻿ / ﻿北緯34.872111度 東経134.689611度﻿ /34.872111; 134.689611","私立","学校法人獨協学園","人間社会学群医療保健学部薬学部看護学部","https://www.himeji-du.ac.jp/","言語教育研究科法学研究科経済情報研究科","1987年","1883年","姫路（姫路市上大野）駅前サテライト（姫路市白銀町）","","","","","","","","","",""
"兵庫大学","[兵庫大学] 1995年 に 兵庫女子短期大学 から4年制大学へ移行し、 1998年 に短期大学を 兵庫大学短期大学部 に改組した。兵庫大学、兵庫大学短期大学部を運営している学校法人睦学園は、その他に 兵庫大学附属須磨ノ浦高等学校 、 神戸国際中学校・高等学校 、兵庫大学附属須磨幼稚園、兵庫大学附属加古川幼稚園を運営している。","https://ja.wikipedia.org/wiki/兵庫大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯34度44分48秒東経134度52分53秒","兵庫県加古川市平岡町新在家2301北緯34度44分48秒東経134度52分53秒﻿ / ﻿北緯34.74667度 東経134.88139度﻿ /34.74667; 134.88139座標:北緯34度44分48秒東経134度52分53秒﻿ / ﻿北緯34.74667度 東経134.88139度﻿ /34.74667; 134.88139","私立","学校法人睦学園","現代ビジネス学部健康科学部生涯福祉学部看護学部","http://www.hyogo-dai.ac.jp","現代ビジネス研究科（修士課程）看護学研究科（博士前期課程・博士後期課程）","1995年","1921年","","","","","","","","","","",""
"兵庫医科大学","[兵庫医科大学] 兵庫医科大学は、兵庫県で医学部を擁する唯一の私立大学であり、1972年当地にあった武庫川病院を経営する精神科医 森村茂樹 が中心となって設立された医科単科大学である。","https://ja.wikipedia.org/wiki/兵庫医科大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯34度43分7.0秒東経135度22分44.8秒","兵庫県西宮市武庫川町1-1北緯34度43分7.0秒東経135度22分44.8秒﻿ / ﻿北緯34.718611度 東経135.379111度﻿ /34.718611; 135.379111座標:北緯34度43分7.0秒東経135度22分44.8秒﻿ / ﻿北緯34.718611度 東経135.379111度﻿ /34.718611; 135.379111","私立","学校法人兵庫医科大学","医学部","https://www.hyo-med.ac.jp/","医学研究科","","","西宮（兵庫県西宮市）篠山（兵庫県丹波篠山市）神戸（兵庫県神戸市中央区）","1972年","","","","","","","","",""
"兵庫医療大学","[兵庫医療大学] 薬学部 、 看護学部 、 リハビリテーション学部 ( 理学療法学科 、 作業療法学科 )の3学部4学科を設置し、同一法人下に姉妹大学として医科大学を持つ医療総合大学。 2022年 4月を目途に既存の 兵庫医科大学 に吸収合併される予定。","https://ja.wikipedia.org/wiki/兵庫医療大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯34度40分0.8秒 東経135度12分15.7秒","兵庫県神戸市中央区港島一丁目3-6","私立","学校法人兵庫医科大学","薬学部看護学部リハビリテーション学部","https://www.huhs.ac.jp/","薬学研究科看護学研究科医療科学研究科","","","兵庫県神戸市中央区","2007年","","","","","","","","",""
"兵庫教育大学","[兵庫教育大学　国] 学校教育学部は、主として初等教育教員（小学校の教員）養成のために設置された。 新構想大学 のうちの一つであり、教員養成系（新教育大学）としては他に 上越教育大学 、 鳴門教育大学 がある   。幼稚園・中学校・高等学校教員免許および 保育士 資格の取得も可能。学校教育学部の教員就職率は、トップクラス（6年連続全国一位（平成15～20年度全国国立教員養成大学・学部中））である。","https://ja.wikipedia.org/wiki/兵庫教育大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯34度54分42.1秒 東経135度0分57.4秒","兵庫県加東市下久米942-1","国立","国立大学法人兵庫教育大学","学校教育学部","https://www.hyogo-u.ac.jp/","大学院学校教育研究科（修士課程・専門職学位課程）大学院連合学校教育研究科（博士課程）","","","加東（兵庫県加東市下久米）神戸ハーバーランド（兵庫県神戸市中央区）連合大学院大阪サテライト（大阪府大阪市北区中之島）","1978年","","","","","","","","",""
"兵庫県立大学","[兵庫県立大学　公] 兵庫県立大学は2004年に誕生した大学である。かつて兵庫県に存在した、旧 神戸商科大学 ・旧 姫路工業大学 ・旧 兵庫県立看護大学 の3大学が統合された。前身校はそれぞれ 関西 ではよく知られた大学であったが、 第二次世界大戦 後は伝統を異にして発展した経緯から、大学としての一体感は醸成途上にある。 公立大学 としては、日本有数の歴史・日本最大級の規模を誇る。","https://ja.wikipedia.org/wiki/兵庫県立大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯34度40分41.7秒東経135度03分7.6秒","兵庫県神戸市西区学園西町8-2-1北緯34度40分41.7秒東経135度03分7.6秒﻿ / ﻿北緯34.678250度 東経135.052111度﻿ /34.678250; 135.052111座標:北緯34度40分41.7秒東経135度03分7.6秒﻿ / ﻿北緯34.678250度 東経135.052111度﻿ /34.678250; 135.052111","公立","公立大学法人兵庫県立大学","経済学部経営学部国際商経学部理学部工学部看護学部環境人間学部社会情報科学部","https://www.u-hyogo.ac.jp/","社会科学研究科経済学研究科経営学研究科経営研究科会計研究科理学研究科物質理学研究科生命理学研究科工学研究科情報科学研究科応用情報科学研究科シミュレーション学研究科看護学研究科環境人間学研究科減災復興政策研究科緑環境景観マネジメント研究科地域資源マネジメント研究科","","","神戸商科（神戸市西区）姫路工学（姫路市）播磨理学（赤穂郡上郡町・たつの市）姫路環境人間（姫路市）明石看護（明石市）神戸情報科学（神戸市中央区）淡路緑景観（淡路市）豊岡ジオ・コウノトリキャンパス（豊岡市祥雲寺）神戸防災（神戸市中央区）","2004年","","","","","","","","",""
"弘前大学","[弘前大学　国] 1949年 、 弘前高等学校 ・ 青森師範学校 ・ 青森青年師範学校 ・ 青森医学専門学校 ・ 弘前医科大学 を母体とし統合してできた 国立大学 である。発足当初は 文理学部 ・ 教育学部 ・ 医学部 の3学部であったが、発展・改組を重ね、2020年5月時点で5学部（ 人文社会科学部 ・教育学部・医学部・ 理工学部 ・ 農学生命科学部 ）・9大学院研究科・2付属研究所等を設置する総合大学として北海道・東北地方を中心に全国から学生が集まる。","https://ja.wikipedia.org/wiki/弘前大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯40度35分21.2秒東経140度28分17.6秒","青森県弘前市文京町1北緯40度35分21.2秒東経140度28分17.6秒﻿ / ﻿北緯40.589222度 東経140.471556度﻿ /40.589222; 140.471556座標:北緯40度35分21.2秒東経140度28分17.6秒﻿ / ﻿北緯40.589222度 東経140.471556度﻿ /40.589222; 140.471556","国立","国立大学法人弘前大学","人文社会科学部人文学部（2016年度に募集停止）教育学部医学部理工学部農学生命科学部","https://www.hirosaki-u.ac.jp/","人文社会科学研究科教育学研究科医学研究科保健学研究科理工学研究科農学生命科学研究科地域社会研究科連合農学研究科","1949年","1876年","文京町地区（青森県弘前市）富野町地区（青森県弘前市）学園町地区（青森県弘前市）本町地区（青森県弘前市）","","","","","","","","","",""
"弘前医療福祉大学","[弘前医療福祉大学] ","https://ja.wikipedia.org/wiki/弘前医療福祉大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯40度35分22秒東経140度30分2秒","青森県弘前市大字小比内3丁目18-1北緯40度35分22秒東経140度30分2秒﻿ / ﻿北緯40.58944度 東経140.50056度﻿ /40.58944; 140.50056座標:北緯40度35分22秒東経140度30分2秒﻿ / ﻿北緯40.58944度 東経140.50056度﻿ /40.58944; 140.50056","私立","学校法人城東学園","保健学部","https://www.hirosakiuhw.jp/","","2009年","1965年","","","","","","","","","","",""
"弘前学院大学","[弘前学院大学] 創立者は明治期の キリスト教 学者 本多庸一 である。","https://ja.wikipedia.org/wiki/弘前学院大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯40度35分3秒東経140度28分5秒","青森県弘前市稔町13-1北緯40度35分3秒東経140度28分5秒﻿ / ﻿北緯40.58417度 東経140.46806度﻿ /40.58417; 140.46806座標:北緯40度35分3秒東経140度28分5秒﻿ / ﻿北緯40.58417度 東経140.46806度﻿ /40.58417; 140.46806","私立","学校法人弘前学院","文学部社会福祉学部看護学部","http://www.hirogaku-u.ac.jp/","文学研究科社会福祉学研究科","1971年","1886年","","","","","","","","","","",""
"広島大学","[広島大学　国] 文部科学省 が実施している スーパーグローバル大学 事業のトップ型指定校、また 研究大学 強化促進事業の支援対象機関であり、 旧官立大学 の一つでもある。","https://ja.wikipedia.org/wiki/広島大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","","広島県東広島市鏡山1丁目3-2","国立","国立大学法人広島大学","総合科学部文学部教育学部法学部経済学部理学部医学部歯学部薬学部工学部生物生産学部情報科学部","https://www.hiroshima-u.ac.jp/","人間社会科学研究科先進理工系科学研究科統合生命科学研究科医系科学研究科","1949年","1874年","東広島（広島県東広島市）霞（広島市南区）東千田（広島市中区）","","15,226","","","","","","","",""
"広島経済大学","[広島経済大学] 略称 は 経大 あるいは 経済大 がよく使われるが、全国の他の「経済大学」と区別するため、 広経（ひろけい） 、 広経大 と呼ばれる。また、大学の 門 や 学生証 などには英字表記の頭文字である HUE が用いられている。創立以来、約一世紀に渡り「Be Student-oriented」（すべては学生のために）の精神の下、「学生本位の大学」を追求。","https://ja.wikipedia.org/wiki/広島経済大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯34度26分54.5秒 東経132度27分23.9秒","広島県広島市安佐南区祇園5-37-1","私立","学校法人石田学園","経済学部経営学部メディアビジネス学部","https://www.hue.ac.jp/","経済学研究科","","","","1967年","","","","","","","","",""
"広島工業大学","[広島工業大学] 広島県広島市 佐伯区 に位置する 工業大学 である。4学部13学科と1つの研究科を有し、約4千人の学生が学んでいる。","https://ja.wikipedia.org/wiki/広島工業大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯34度22分15.6秒 東経132度20分37.5秒","広島県広島市佐伯区三宅2-1-1","私立","学校法人鶴学園","工学部情報学部環境学部生命学部","https://www.it-hiroshima.ac.jp/","工学系研究科","1963年","1961年","五日市キャンパス(広島市佐伯区)広島校舎(広島市中区)八千代校舎(安芸高田市)沼田校舎(広島市安佐南区)","","","","","","","","","",""
"広島国際大学","[広島国際大学] 当大学は本部機能を持つ東広島キャンパスの他に、呉キャンパス、広島キャンパスを有し、2013年度時点で7学部10学科、4研究科10専攻という、 中国・四国地方 有数の規模を持つ、医療系を中心とした総合大学である。","https://ja.wikipedia.org/wiki/広島国際大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯34度18分48.1秒 東経132度41分12.6秒","広島県東広島市黒瀬学園台555-36","私立","学校法人常翔学園","保健医療学部医療福祉学部看護学部心理学部総合リハビリテーション学部薬学部","http://www.hirokoku-u.ac.jp/","医療・福祉科学研究科心理科学研究科看護学研究科工学研究科","1998年","1922年","東広島（広島県東広島市）呉（広島県呉市）広島（広島県広島市中区）","","","","","","","","","",""
"広島国際学院大学","[広島国際学院大学] 同市内の上瀬野キャンパスにはスポーツ施設と 自動車短期大学部 を設置している。","https://ja.wikipedia.org/wiki/広島国際学院大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯34度24分35.6秒 東経132度34分46.5秒","広島県広島市安芸区中野6-20-1","私立","学校法人広島国際学院","工学部情報文化学部","https://www.hkg.ac.jp/html/","工学研究科現代社会学研究科","","","中野キャンパス（大学）上瀬野キャンパス（短大部）","1967年","","","","","","","","",""
"広島修道大学","[広島修道大学] 1725年 に創始された 藩校 「講学所」を起源とする学校法人修道学園が 1952年 開学の 修道短期大学 を改組して 1960年 に広島商科大学を開設。当初は商学部のみの単科大学だったが、 1973年 に人文学部を増設するにあたって校名を 広島修道大学 に変更。以後も文系学部の拡充を進めた。 2020年現在は7学部13学科1専攻及び法科大学院を含めた大学院4研究科を有する文科系の 総合大学 となっている。","https://ja.wikipedia.org/wiki/広島修道大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯34度25分59.7秒東経132度24分17.7秒","広島県広島市安佐南区大塚東1-1-1北緯34度25分59.7秒東経132度24分17.7秒﻿ / ﻿北緯34.433250度 東経132.404917度﻿ /34.433250; 132.404917座標:北緯34度25分59.7秒東経132度24分17.7秒﻿ / ﻿北緯34.433250度 東経132.404917度﻿ /34.433250; 132.404917","私立","学校法人修道学園","商学部人文学部法学部経済科学部人間環境学部健康科学部国際コミュニティ学部","https://www.shudo-u.ac.jp/","商学研究科人文科学研究科法学研究科経済科学研究科","1960年","1725年","大塚東（広島県広島市安佐南区）","","","","","","","","","",""
"広島女学院大学","[広島女学院大学] 「CUM DEO LABORAMUS（我らは神と共に働く者なり）」（ 新約聖書 、 コリントの信徒への手紙一 　第3章第9節）","https://ja.wikipedia.org/wiki/広島女学院大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯34度24分46.7秒 東経132度29分1.5秒","広島県広島市東区牛田東4-13-1","私立","学校法人広島女学院","国際教養学部人間生活学部","https://www.hju.ac.jp/","言語文化研究科人間生活学研究科","1949年","1886年","牛田キャンパス","","","","","","","","","",""
"広島市立大学","[広島市立大学　公] 「私立」との混同を避けるため、通称「ひろしまいちりつだいがく」と呼ばれる。 2010年 4月 をもって法人化され、大学設置者が 広島市 から 公立大学法人 広島市立大学となった。","https://ja.wikipedia.org/wiki/広島市立大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯34度26分18.5秒 東経132度24分51.9秒","広島県広島市安佐南区大塚東3丁目4番1号","公立","公立大学法人広島市立大学","国際学部情報科学部芸術学部","https://www.hiroshima-cu.ac.jp/","国際学研究科情報科学研究科芸術学研究科平和学研究科","","","大塚（広島市安佐南区）","1994年","","","","","","","","",""
"広島都市学園大学","[広島都市学園大学] 所在地は広島県 広島市 南区 宇品西五丁目 13番18号。","https://ja.wikipedia.org/wiki/広島都市学園大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯34度21分36秒東経132度27分28秒","広島県広島市南区宇品西五丁目13番18号北緯34度21分36秒東経132度27分28秒﻿ / ﻿北緯34.36000度 東経132.45778度﻿ /34.36000; 132.45778座標:北緯34度21分36秒東経132度27分28秒﻿ / ﻿北緯34.36000度 東経132.45778度﻿ /34.36000; 132.45778","私立","学校法人古沢学園","健康科学部子ども教育学部","https://www.hcu.ac.jp/","保健学研究科","2009年","1974年","宇品キャンパス西風新都キャンパス","","","","","","","","","",""
"広島文化学園大学","[広島文化学園大学] 国内・学術交流等協定校","https://ja.wikipedia.org/wiki/広島文化学園大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯34度17分18.8秒 東経132度38分13.1秒","広島県呉市郷原学びの丘1-1-1","私立","学校法人広島文化学園","社会情報学部看護学部学芸学部短期大学","http://www.hbg.ac.jp","社会情報研究科看護学研究科","1995年","1986年","郷原キャンパス阿賀キャンパス長束キャンパス坂キャンパス呉駅キャンパス","","","","","","","","","",""
"広島文教大学","[広島文教大学] 文教の名を冠しているが、 北海道文教大学 、 東北文教大学 、 文教大学 、 愛知文教大学 、 京都文教大学 との関連性は特にない。","https://ja.wikipedia.org/wiki/広島文教大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯34度30分18.8秒東経132度31分12.2秒","広島県広島市安佐北区可部東1丁目2番1号北緯34度30分18.8秒東経132度31分12.2秒﻿ / ﻿北緯34.505222度 東経132.520056度﻿ /34.505222; 132.520056座標:北緯34度30分18.8秒東経132度31分12.2秒﻿ / ﻿北緯34.505222度 東経132.520056度﻿ /34.505222; 132.520056","私立","学校法人武田学園","人間科学部","https://www.h-bunkyo.ac.jp/university/","人間科学研究科","1966年","1948年","","","","","","","","","","",""
"びわこ学院大学","[びわこ学院大学] 　 沖田行司","https://ja.wikipedia.org/wiki/びわこ学院大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","","滋賀県東近江市布施町29","私立","学校法人滋賀学園","教育福祉学部","https://www.biwakogakuin.ac.jp/","なし","1990年","1933年","","","","","","","","","","",""
"びわこ成蹊スポーツ大学","[びわこ成蹊スポーツ大学] 学校法人大阪成蹊学園 が 2003年 に設立。体育（スポーツ系）系専門の単科大学である。 大阪成蹊大学 、 大阪成蹊短期大学 と運営母体を一にする。","https://ja.wikipedia.org/wiki/びわこ成蹊スポーツ大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯35度13分38.2秒東経135度56分54.3秒","滋賀県大津市北比良1204番北緯35度13分38.2秒東経135度56分54.3秒﻿ / ﻿北緯35.227278度 東経135.948417度﻿ /35.227278; 135.948417座標:北緯35度13分38.2秒東経135度56分54.3秒﻿ / ﻿北緯35.227278度 東経135.948417度﻿ /35.227278; 135.948417","私立","学校法人大阪成蹊学園","スポーツ学部","https://biwako-seikei.jp/","スポーツ学研究科","","","","2003年","","","","","","","","",""
"フェリス女学院大学","[フェリス女学院大学] 1870年 （明治3年）、 アメリカ改革派教会 の宣教師 メアリー・E・キダー が、 ヘボン 施療所で、女子を対象に英語の授業を開始した。これが女子校として最も古い歴史を持つフェリス女学院の発祥とされる（のちに男子部は 明治学院 となる）。 1875年 （明治8年）、アメリカ改革派教会外国伝道局総主事であったフェリス父子の支援によって、横浜・ 山手 178番に校舎・寄宿舎が落成、「フェリス・セミナリー」と名づけられ、 フェリス女学院中学校・高等学校 の基となった。","https://ja.wikipedia.org/wiki/フェリス女学院大学","日本の大学一覧","https://ja.wikipedia.org/wiki/日本の大学一覧","箇条書き,制限あり","北緯35度26分17秒 東経139度38分51秒","神奈川県横浜市泉区緑園4-5-3","私立","学校法人フェリス女学院","文学部国際交流学部音楽学部","https://www.ferris.ac.jp/","人文科学研究科国際交流研究科音楽研究科","1965年","1870年","緑園キャンパス山手キャンパス","","2,563","","","","","","","",""
