"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所属路線","キロ程","所属事業者","開業年月日","駅構造","所在地","ホーム","備考","駅番号","電報略号","乗車人員,-統計年度-","乗降人員,-統計年度-","乗換","乗降人員,-統計年次-","種類","本社所在地","設立","業種","法人番号"
"滝谷駅 (大阪府)","滝谷駅 (大阪府)（たきだにえき・南海高野線）","https://ja.wikipedia.org/wiki/滝谷駅_(大阪府)","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度28分45.1秒東経135度33分44.6秒","■高野線","24.6 km（汐見橋起点）難波から23.9 km","南海電気鉄道","1898年（明治31年）3月29日","地上駅","大阪府富田林市須賀二丁目26番1号北緯34度28分45.1秒東経135度33分44.6秒﻿ / ﻿北緯34.479194度 東経135.562389度﻿ /34.479194; 135.562389座標:北緯34度28分45.1秒東経135度33分44.6秒﻿ / ﻿北緯34.479194度 東経135.562389度﻿ /34.479194; 135.562389","2面2線","無人駅","NK 67","タキ","","","","5,292人/日-2019年-","","","","",""
"滝谷不動駅","滝谷不動駅（たきだにふどうえき）","https://ja.wikipedia.org/wiki/滝谷不動駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度28分51.6秒東経135度35分11.0秒","O長野線","8.7km（古市起点）大阪阿部野橋から27.0 km","近畿日本鉄道（近鉄）","1902年（明治35年）3月25日","地上駅","大阪府富田林市錦織東二丁目15-1北緯34度28分51.6秒東経135度35分11.0秒﻿ / ﻿北緯34.481000度 東経135.586389度﻿ /34.481000; 135.586389座標:北緯34度28分51.6秒東経135度35分11.0秒﻿ / ﻿北緯34.481000度 東経135.586389度﻿ /34.481000; 135.586389","2面2線",""," O21 ","フト","","（特定日）6,914人/日-2018年-","","","","","","",""
"滝野駅","滝野駅（たきのえき）","https://ja.wikipedia.org/wiki/滝野駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度56分28.73秒東経134度57分20.57秒","I加古川線","27.3 km（加古川起点）","西日本旅客鉄道（JR西日本）","1913年（大正2年）9月1日","地上駅","兵庫県加東市上滝野宮前887北緯34度56分28.73秒東経134度57分20.57秒﻿ / ﻿北緯34.9413139度 東経134.9557139度﻿ /34.9413139; 134.9557139﻿ (滝野駅)","1面1線","無人駅（自動券売機 有）","","タノ","265人/日（降車客含まず）-2019年-","","","","","","","",""
"滝ノ上駅","滝ノ上駅（たきのうええき）","https://ja.wikipedia.org/wiki/滝ノ上駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯42度54分36.9秒東経141度58分34.57秒","■石勝線","35.8 km（南千歳起点）","北海道旅客鉄道（JR北海道）","1897年（明治30年）2月16日[1]","地上駅","北海道夕張市滝ノ上北緯42度54分36.9秒東経141度58分34.57秒﻿ / ﻿北緯42.910250度 東経141.9762694度﻿ /42.910250; 141.9762694﻿ (滝ノ上駅)","2面3線","無人駅","○K18","ウヘ","","6人/日-2014年-","","","","","","",""
"滝野川一丁目停留場","滝野川一丁目停留場（たきのがわいっちょうめていりゅうじょう）","https://ja.wikipedia.org/wiki/滝野川一丁目停留場","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度44分50.5秒東経139度44分7.4秒","都電荒川線（東京さくらトラム）","6.9 km（三ノ輪橋起点）","東京都交通局","1911年（明治44年）8月20日","地上駅","東京都北区滝野川一丁目北緯35度44分50.5秒東経139度44分7.4秒﻿ / ﻿北緯35.747361度 東経139.735389度﻿ /35.747361; 139.735389座標:北緯35度44分50.5秒東経139度44分7.4秒﻿ / ﻿北緯35.747361度 東経139.735389度﻿ /35.747361; 139.735389","2面2線","","SA18","","","1,610[1]人/日-2019年-","","","","","","",""
"滝の茶屋駅","滝の茶屋駅（たきのちゃやえき）","https://ja.wikipedia.org/wiki/滝の茶屋駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度37分51.30秒東経135度4分19.37秒","本線","7.8km（西代起点）梅田から44.9 km","山陽電気鉄道","1917年（大正6年）4月12日[1][2]","地上駅（橋上駅）[1]","神戸市垂水区城が山1丁目1-1[1]北緯34度37分51.30秒東経135度4分19.37秒﻿ / ﻿北緯34.6309167度 東経135.0720472度﻿ /34.6309167; 135.0720472﻿ (滝の茶屋駅)座標:北緯34度37分51.30秒東経135度4分19.37秒﻿ / ﻿北緯34.6309167度 東経135.0720472度﻿ /34.6309167; 135.0720472﻿ (滝の茶屋駅)","2面2線[1]","","●SY 09","","2,740人/日（降車客含まず）-2017年-","","","","","","","",""
"滝ノ間駅","滝ノ間駅（たきのまえき）","https://ja.wikipedia.org/wiki/滝ノ間駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","","■五能線","24.5 km（東能代起点）","東日本旅客鉄道（JR東日本）","1963年（昭和38年）4月20日[1]","地上駅[1]","","1面1線[1]","無人駅[1]","","タキ","","","","","","","","",""
"滝宮駅","滝宮駅（たきのみやえき）","https://ja.wikipedia.org/wiki/滝宮駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度14分53.3秒東経133度55分19.8秒","■琴平線","20.7 km（高松築港起点）","高松琴平電気鉄道","1926年（大正15年）12月21日","地上駅","香川県綾歌郡綾川町滝宮546北緯34度14分53.3秒東経133度55分19.8秒﻿ / ﻿北緯34.248139度 東経133.922167度﻿ /34.248139; 133.922167座標:北緯34度14分53.3秒東経133度55分19.8秒﻿ / ﻿北緯34.248139度 東経133.922167度﻿ /34.248139; 133.922167","相対式2面2線",""," K15 ","","","550人/日-2018年-","","","","","","",""
"多喜浜駅","多喜浜駅（たきはまえき）","https://ja.wikipedia.org/wiki/多喜浜駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯33度58分13.94秒東経133度19分27.19秒","■予讃線","99.4 km（高松起点）","四国旅客鉄道（JR四国）","1921年（大正10年）6月21日","地上駅","愛媛県新居浜市又野一丁目北緯33度58分13.94秒東経133度19分27.19秒﻿ / ﻿北緯33.9705389度 東経133.3242194度﻿ /33.9705389; 133.3242194座標:北緯33度58分13.94秒東経133度19分27.19秒﻿ / ﻿北緯33.9705389度 東経133.3242194度﻿ /33.9705389; 133.3242194","1面2線","無人駅","○Y28","タハ","","156[1]人/日-2019年-","","","","","","",""
"滝原駅","滝原駅（たきはらえき）","https://ja.wikipedia.org/wiki/滝原駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度21分36.37秒東経136度24分43.38秒","紀勢本線","73.0 km（亀山起点）","東海旅客鉄道（JR東海）","1926年（大正15年）8月18日[1]","地上駅","三重県多気郡大台町大ヶ所155北緯34度21分36.37秒東経136度24分43.38秒","2面2線","駅員無配置駅","","タラ","37人/日（降車客含まず）-2019年-","","","","","","","",""
"滝不動駅","滝不動駅（たきふどうえき）","https://ja.wikipedia.org/wiki/滝不動駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度44分15.8秒東経140度1分33.5秒","■新京成線","18.5 km（松戸起点）","新京成電鉄","1948年（昭和23年）8月26日","地上駅（橋上駅）","千葉県船橋市南三咲三丁目23番1号北緯35度44分15.8秒東経140度1分33.5秒﻿ / ﻿北緯35.737722度 東経140.025972度﻿ /35.737722; 140.025972座標:北緯35度44分15.8秒東経140度1分33.5秒﻿ / ﻿北緯35.737722度 東経140.025972度﻿ /35.737722; 140.025972","相対式、2面2線","","SL16","","","7,496人/日-2019年-","","","","","","",""
"滝部駅","滝部駅（たきべえき）","https://ja.wikipedia.org/wiki/滝部駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度17分2.56秒東経130度56分48.02秒","■山陰本線","635.1 km（京都起点）","西日本旅客鉄道（JR西日本）","1925年（大正14年）8月16日","地上駅","山口県下関市豊北町大字滝部字森友452北緯34度17分2.56秒東経130度56分48.02秒﻿ / ﻿北緯34.2840444度 東経130.9466722度﻿ /34.2840444; 130.9466722座標:北緯34度17分2.56秒東経130度56分48.02秒﻿ / ﻿北緯34.2840444度 東経130.9466722度﻿ /34.2840444; 130.9466722","2面2線","簡易委託駅","","キヘ","212人/日（降車客含まず）-2019年-","","","","","","","",""
"滝水駅","滝水駅（たきみずえき）","https://ja.wikipedia.org/wiki/滝水駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯32度56分0.38秒東経131度14分34.20秒","■豊肥本線","78.8 km（大分起点）","九州旅客鉄道（JR九州）","1928年（昭和3年）12月2日[2]","地上駅","熊本県阿蘇市波野大字滝水[1]北緯32度56分0.38秒東経131度14分34.20秒","1面1線[1]","無人駅[1]","","タキ","","","","","","","","",""
"滝本駅","滝本駅（たきもとえき）","https://ja.wikipedia.org/wiki/滝本駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","","","","","","","","","","","","","","","","株式会社","日本〒198-0174東京都青梅市御岳2丁目483番地","1927年11月20日","陸運業","9013101004059"
"滝谷駅 (福島県)","滝谷駅 (福島県)（たきやえき・東日本旅客鉄道只見線）","https://ja.wikipedia.org/wiki/滝谷駅_(福島県)","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","","■只見線","39.6 km（会津若松起点）","東日本旅客鉄道（JR東日本）","1941年（昭和16年）10月28日","地上駅","","1面1線","無人駅","","キヤ","16人/日（降車客含まず）-2004年-","","","","","","","",""
"滝山駅","滝山駅（たきやまえき）","https://ja.wikipedia.org/wiki/滝山駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度50分33.48秒東経135度25分15.72秒","妙見線","2.1 km（川西能勢口起点）","能勢電鉄","1913年（大正2年）4月13日[1]","地上駅[1]","兵庫県川西市滝山町12-3[1]北緯34度50分33.48秒東経135度25分15.72秒﻿ / ﻿北緯34.8426333度 東経135.4210333度﻿ /34.8426333; 135.4210333座標:北緯34度50分33.48秒東経135度25分15.72秒﻿ / ﻿北緯34.8426333度 東経135.4210333度﻿ /34.8426333; 135.4210333","相対式2面2線[1]","無人駅[1]","●NS03","","","","","2,071[2]人/日-2019年-","","","","",""
"田京駅","田京駅（たきょうえき）","https://ja.wikipedia.org/wiki/田京駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度0分53.95秒東経138度56分45.67秒","■駿豆線","14.2 km（三島起点）","伊豆箱根鉄道","1899年（明治32年）7月17日","地上駅","静岡県伊豆の国市田京675番地の3北緯35度0分53.95秒東経138度56分45.67秒﻿ / ﻿北緯35.0149861度 東経138.9460194度﻿ /35.0149861; 138.9460194座標:北緯35度0分53.95秒東経138度56分45.67秒﻿ / ﻿北緯35.0149861度 東経138.9460194度﻿ /35.0149861; 138.9460194","2面3線","","IS10","","1,281人/日（降車客含まず）-2019年-","","","","","","","",""
"田切駅","田切駅（たぎりえき）","https://ja.wikipedia.org/wiki/田切駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度41分41.54秒東経137度55分58.11秒","CD飯田線","160.1 km（豊橋起点）","東海旅客鉄道（JR東海）","1918年（大正7年）2月11日[1]","高架駅（盛土上[1]）","長野県上伊那郡飯島町田切[1]2795北緯35度41分41.54秒東経137度55分58.11秒﻿ / ﻿北緯35.6948722度 東経137.9328083度﻿ /35.6948722; 137.9328083座標:北緯35度41分41.54秒東経137度55分58.11秒﻿ / ﻿北緯35.6948722度 東経137.9328083度﻿ /35.6948722; 137.9328083","1面1線[1]","駅員無配置駅[1]標高：637m[1]","","タリ[1]","48人/日（降車客含まず）-2018年-","","","","","","","",""
"多久駅","多久駅（たくえき）","https://ja.wikipedia.org/wiki/多久駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯33度17分16.85秒東経130度5分45.74秒","■唐津線","15.2 km（久保田起点）","九州旅客鉄道（JR九州）","1899年（明治32年）12月25日","地上駅（橋上駅）","佐賀県多久市北多久町大字小侍1024北緯33度17分16.85秒東経130度5分45.74秒﻿ / ﻿北緯33.2880139度 東経130.0960389度﻿ /33.2880139; 130.0960389﻿ (多久駅*)","1面2線","無人駅*1934年に莇原駅から改称。","","タツ","339人/日（降車客含まず）-2019年-","","","","","","","",""
"拓北駅","拓北駅（たくほくえき）","https://ja.wikipedia.org/wiki/拓北駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯43度9分20.15秒東経141度22分52.02秒","■札沼線（学園都市線）","12.2 km（桑園起点）","北海道旅客鉄道（JR北海道）","1967年（昭和42年）12月15日[新聞 1]","地上駅","札幌市北区拓北6条3丁目9番1号北緯43度9分20.15秒東経141度22分52.02秒","2面2線","札幌市内駅業務委託駅みどりの窓口有話せる券売機設置駅[1]","○G09","タク","2,553人/日（降車客含まず）-2019年-","","","","","","","",""
"詫間駅","詫間駅（たくまえき）","https://ja.wikipedia.org/wiki/詫間駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度13分14.97秒東経133度41分33.85秒","■予讃線","42.0 km（高松起点）","四国旅客鉄道（JR四国）","1913年（大正2年）12月20日","地上駅","香川県三豊市詫間町松崎715番地北緯34度13分14.97秒東経133度41分33.85秒﻿ / ﻿北緯34.2208250度 東経133.6927361度﻿ /34.2208250; 133.6927361座標:北緯34度13分14.97秒東経133度41分33.85秒﻿ / ﻿北緯34.2208250度 東経133.6927361度﻿ /34.2208250; 133.6927361","1面2線","直営駅みどりの券売機プラス設置駅","○Y14","タク","841人/日（降車客含まず）-2019年-","","","","","","","",""
"竹浦駅","竹浦駅（たけうらえき）","https://ja.wikipedia.org/wiki/竹浦駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯42度29分34.22秒東経141度15分37.42秒","■室蘭本線","102.9 km（長万部起点）","北海道旅客鉄道（JR北海道）","1897年（明治30年）2月16日","地上駅","北海道白老郡白老町字竹浦（メップ）北緯42度29分34.22秒東経141度15分37.42秒﻿ / ﻿北緯42.4928389度 東経141.2603944度﻿ /42.4928389; 141.2603944﻿ (竹浦駅)","2面3線","無人駅","○H26","タケ","","86人/日-2014年-","","","","","","",""
"武雄温泉駅","武雄温泉駅（たけおおんせんえき）","https://ja.wikipedia.org/wiki/武雄温泉駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯33度11分46.64秒東経130度1分22.44秒","■佐世保線","13.7 km（肥前山口起点）","九州旅客鉄道（JR九州）","1895年（明治28年）5月5日","高架駅","佐賀県武雄市武雄町大字富岡8260北緯33度11分46.64秒東経130度1分22.44秒﻿ / ﻿北緯33.1962889度 東経130.0229000度﻿ /33.1962889; 130.0229000座標:北緯33度11分46.64秒東経130度1分22.44秒﻿ / ﻿北緯33.1962889度 東経130.0229000度﻿ /33.1962889; 130.0229000","2面3線","直営駅みどりの窓口有","","ケオ←タケヲ","1,700人/日（降車客含まず）-2019年-","","","","","","","",""
"竹岡駅","竹岡駅（たけおかえき）","https://ja.wikipedia.org/wiki/竹岡駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度11分51.5秒東経139度49分47.5秒","■内房線","60.2 km（蘇我起点）千葉から64.0 km","東日本旅客鉄道（JR東日本）","1926年（大正15年）6月16日[1]","地上駅","千葉県富津市萩生1105北緯35度11分51.5秒東経139度49分47.5秒座標:北緯35度11分51.5秒 東経139度49分47.5秒","2面2線","無人駅（乗車駅証明書発行機 有）","","タオ←タヲ","64人/日（降車客含まず）-2006年-","","","","","","","",""
"武川駅","武川駅（たけかわえき）","https://ja.wikipedia.org/wiki/武川駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯36度8分31.49秒東経139度16分57.59秒","■秩父本線","24.8 km（羽生起点）","秩父鉄道","1901年（明治34年）10月7日","地上駅","埼玉県深谷市田中77-1北緯36度8分31.49秒東経139度16分57.59秒﻿ / ﻿北緯36.1420806度 東経139.2826639度﻿ /36.1420806; 139.2826639座標:北緯36度8分31.49秒東経139度16分57.59秒﻿ / ﻿北緯36.1420806度 東経139.2826639度﻿ /36.1420806; 139.2826639","1面2線","直営駅（管理駅）1903年 田中駅から改称","","タケ","471人/日（降車客含まず）-2019年-","948人/日-2019年-","","","","","","",""
"竹駒駅","竹駒駅（たけこまえき）","https://ja.wikipedia.org/wiki/竹駒駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","","■大船渡線BRT","3.0km（陸前矢作起点）一ノ関から82.5 km","東日本旅客鉄道（JR東日本）","2013年（平成25年）3月2日*","地上駅","","","無人駅","","","10人/日（降車客含まず）-2019年-","","","","","","","",""
"武里駅","武里駅（たけさとえき）","https://ja.wikipedia.org/wiki/武里駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度56分56.53秒東経139度46分14.13秒","■伊勢崎線（東武スカイツリーライン）","31.1 km（浅草起点）","東武鉄道","1899年（明治32年）12月20日","地上駅（橋上駅舎）","埼玉県春日部市大場450北緯35度56分56.53秒東経139度46分14.13秒﻿ / ﻿北緯35.9490361度 東経139.7705917度﻿ /35.9490361; 139.7705917﻿ (武里駅)座標:北緯35度56分56.53秒東経139度46分14.13秒﻿ / ﻿北緯35.9490361度 東経139.7705917度﻿ /35.9490361; 139.7705917﻿ (武里駅)","2面2線","業務委託駅","TS25","タケ","","15,804人/日-2019年-","","","","","","",""
"竹沢駅","竹沢駅（たけざわえき）","https://ja.wikipedia.org/wiki/竹沢駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯36度4分31.68秒東経139度13分47.83秒","■八高線","56.3km（八王子起点）高麗川から25.2 km","東日本旅客鉄道（JR東日本）","1934年（昭和9年）10月6日[1]","地上駅","埼玉県比企郡小川町大字勝呂719北緯36度4分31.68秒東経139度13分47.83秒﻿ / ﻿北緯36.0754667度 東経139.2299528度﻿ /36.0754667; 139.2299528﻿ (竹沢駅)","1面1線","無人駅（乗車駅証明書発行機 有）","","ケサ","31人/日（降車客含まず）-2010年-","","","","","","","",""
"武志駅","武志駅（たけしえき）","https://ja.wikipedia.org/wiki/武志駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度23分17.82秒東経132度46分23.55秒","北松江線","4.1 km（電鉄出雲市起点）","一畑電車","1914年（大正3年）4月29日","地上駅","島根県出雲市武志町42-2北緯35度23分17.82秒東経132度46分23.55秒座標:北緯35度23分17.82秒 東経132度46分23.55秒","1面1線","無人駅","4","","30人/日（降車客含まず）-2018年-","51人/日-2018年-","","","","","","",""
"竹下駅","竹下駅（たけしたえき）","https://ja.wikipedia.org/wiki/竹下駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯33度34分7.25秒東経130度25分53.13秒","JB鹿児島本線","80.9 km（門司港起点）","九州旅客鉄道（JR九州）","1913年（大正2年）9月21日","地上駅（橋上駅）","福岡市博多区竹下四丁目16-16北緯33度34分7.25秒東経130度25分53.13秒﻿ / ﻿北緯33.5686806度 東経130.4314250度﻿ /33.5686806; 130.4314250﻿ (竹下駅)","1面2線","業務委託駅みどりの窓口有福岡市内駅","JB  01 ","タケ","8,693人/日（降車客含まず）-2019年-","","","","","","","",""
"竹芝駅","竹芝駅（たけしばえき）","https://ja.wikipedia.org/wiki/竹芝駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度39分14.3秒東経139度45分42.9秒","東京臨海新交通臨海線","1.6 km（新橋起点）","ゆりかもめ","1995年(平成7年)11月1日[1]","高架駅","東京都港区海岸一丁目13-10北緯35度39分14.3秒東経139度45分42.9秒﻿ / ﻿北緯35.653972度 東経139.761917度﻿ /35.653972; 139.761917座標:北緯35度39分14.3秒東経139度45分42.9秒﻿ / ﻿北緯35.653972度 東経139.761917度﻿ /35.653972; 139.761917","2面2線","無人駅","U03","","","4,508人/日-2019年-","","","","","","",""
"竹田駅 (兵庫県)","竹田駅 (兵庫県)（たけだえき・西日本旅客鉄道播但線）","https://ja.wikipedia.org/wiki/竹田駅_(兵庫県)","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","","J播但線","59.9 km（姫路起点）","西日本旅客鉄道（JR西日本）","1906年（明治39年）4月1日[1]","地上駅[1]","","2面2線[1]","簡易委託駅[1]","","ケタ","173人/日（降車客含まず）-2016年-","","","","","","","",""
"竹田駅 (京都府)","竹田駅 (京都府)（たけだえき・近鉄京都線・京都市営地下鉄烏丸線）","https://ja.wikipedia.org/wiki/竹田駅_(京都府)","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度57分24.82秒東経135度45分22.01秒","京都市営地下鉄烏丸線","13.7 km（国際会館起点）","京都市交通局（京都市営地下鉄）近畿日本鉄道（近鉄）","1928年（昭和3年）11月15日","地上駅（橋上駅）","京都市伏見区竹田桶ノ井町北緯34度57分24.82秒東経135度45分22.01秒﻿ / ﻿北緯34.9568944度 東経135.7561139度﻿ /34.9568944; 135.7561139﻿ (竹田駅*)座標:北緯34度57分24.82秒東経135度45分22.01秒﻿ / ﻿北緯34.9568944度 東経135.7561139度﻿ /34.9568944; 135.7561139﻿ (竹田駅*)","2面4線","共同使用駅（京都市交通局の管轄駅）","●K15","タケタ（近鉄）","","（京都市交通局）55,195人/日**-2019年-（近鉄）52,702**人/日-2019年-","","","","","","",""
"武田尾駅","武田尾駅（たけだおえき）","https://ja.wikipedia.org/wiki/武田尾駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度51分18.23秒東経135度18分21.82秒","G福知山線（JR宝塚線）","25.1 km（尼崎起点）大阪から32.8 km","西日本旅客鉄道（JR西日本）","1899年1月25日[1]","高架駅*","兵庫県宝塚市玉瀬字イズリハ1[1]北緯34度51分18.23秒東経135度18分21.82秒﻿ / ﻿北緯34.8550639度 東経135.3060611度﻿ /34.8550639; 135.3060611座標:北緯34度51分18.23秒東経135度18分21.82秒﻿ / ﻿北緯34.8550639度 東経135.3060611度﻿ /34.8550639; 135.3060611","2面2線[1]","無人駅（自動券売機 有）[1]* 一部は山岳トンネル内[1]","JR-G59","タケ","595人/日（降車客含まず）-2019年-","","","","","","","",""
"武豊駅","武豊駅（たけとよえき）","https://ja.wikipedia.org/wiki/武豊駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯34度51分11秒東経136度55分16秒","CE武豊線","19.3 km（大府起点）","東海旅客鉄道（JR東海）","1886年（明治19年）3月1日","地上駅","愛知県知多郡武豊町字金下北緯34度51分11秒東経136度55分16秒﻿ / ﻿北緯34.85306度 東経136.92111度﻿ /34.85306; 136.92111座標:北緯34度51分11秒東経136度55分16秒﻿ / ﻿北緯34.85306度 東経136.92111度﻿ /34.85306; 136.92111","1面1線","駅員無配置駅","CE  09 ","タト","697人/日（降車客含まず）-2019年-","","知多武豊駅徒歩15分","","","","","",""
"竹中駅","竹中駅（たけなかえき）","https://ja.wikipedia.org/wiki/竹中駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯33度7分17.53秒東経131度38分58.35秒","■豊肥本線","17.2 km（大分起点）","九州旅客鉄道（JR九州）","1916年（大正5年）9月1日[2]","地上駅","大分県大分市大字端登[1]北緯33度7分17.53秒東経131度38分58.35秒","1面2線[1]","無人駅[2]（自動券売機有）","","ケナ","36人/日（降車客含まず）-2016年-","","","","","","","",""
"武並駅","武並駅（たけなみえき）","https://ja.wikipedia.org/wiki/武並駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度26分15.626秒東経137度21分14.162秒","CF中央本線（名古屋地区）","334.0km（東京起点）名古屋から62.9 km","東海旅客鉄道（JR東海）","1926年（大正15年）4月1日[1]","地上駅","岐阜県恵那市武並町竹折[1]北緯35度26分15.626秒東経137度21分14.162秒","2面2線[1]","簡易委託駅[1]","CF  16 ","ケナ","455人/日（降車客含まず）-2019年-","","","","","","","",""
"竹野駅","竹野駅（たけのえき）","https://ja.wikipedia.org/wiki/竹野駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度38分59.88秒東経134度45分23.48秒","A山陰本線","166.0 km（京都起点）","西日本旅客鉄道（JR西日本）","1911年（明治44年）10月25日[1]","地上駅[1]","兵庫県豊岡市竹野町草飼字釜藤557-3[1]北緯35度38分59.88秒東経134度45分23.48秒﻿ / ﻿北緯35.6499667度 東経134.7565222度﻿ /35.6499667; 134.7565222﻿ (竹野駅)","2面2線[1]","簡易委託駅[1]","","タケ","226人/日（降車客含まず）-2017年-","","","","","","","",""
"竹ノ塚駅","竹ノ塚駅（たけのつかえき）","https://ja.wikipedia.org/wiki/竹ノ塚駅","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯35度47分40.2秒東経139度47分26.8秒","■伊勢崎線（東武スカイツリーライン）","13.4 km（浅草起点）","東武鉄道","1900年（明治33年）3月21日","地上駅","東京都足立区竹の塚六丁目6番1号北緯35度47分40.2秒東経139度47分26.8秒﻿ / ﻿北緯35.794500度 東経139.790778度﻿ /35.794500; 139.790778﻿ (竹ノ塚駅)座標:北緯35度47分40.2秒東経139度47分26.8秒﻿ / ﻿北緯35.794500度 東経139.790778度﻿ /35.794500; 139.790778﻿ (竹ノ塚駅)","仮設ホーム1面2線","高架化工事中","TS14","ツカ","","72,689人/日-2019年-","","","","","","",""
"武之橋停留場","武之橋停留場（たけのはしていりゅうじょう）","https://ja.wikipedia.org/wiki/武之橋停留場","日本の鉄道駅一覧_た","https://ja.wikipedia.org/wiki/日本の鉄道駅一覧_た","箇条書き,制限あり","北緯31度34分46.24秒東経130度33分14.7秒","鹿児島市電第一期線（1系統）","0.0km（武之橋起点）鹿児島駅前から3.0 km","鹿児島市交通局","1912年12月1日","地上駅","鹿児島県鹿児島市高麗町北緯31度34分46.24秒東経130度33分14.7秒﻿ / ﻿北緯31.5795111度 東経130.554083度﻿ /31.5795111; 130.554083﻿ (武之橋停留場)","2面2線","","●I11","","","681人/日-2015年-","","","","","","",""
